ENSORLP00000011382	ENSTNIP00000006282
ENSORLP00000003243	ENSTNIP00000020689
ENSORLP00000013178	ENSTNIP00000010887
ENSORLP00000021323	ENSTNIP00000021883
ENSORLP00000008585	ENSTNIP00000021431
ENSORLP00000012814	ENSTNIP00000021057
ENSORLP00000021828	ENSTNIP00000018584
ENSORLP00000020822	ENSTNIP00000020563
ENSORLP00000025306	ENSTNIP00000017263
ENSORLP00000002614	ENSTNIP00000015314
ENSORLP00000021812	ENSTNIP00000020641
ENSORLP00000023561	ENSTNIP00000019827
ENSORLP00000006376	ENSTNIP00000007081
ENSORLP00000020723	ENSTNIP00000002296
ENSORLP00000017283	ENSTNIP00000020347
ENSORLP00000019321	ENSTNIP00000001653
ENSORLP00000002104	ENSTNIP00000019957
ENSORLP00000015446	ENSTNIP00000003727
ENSORLP00000021345	ENSTNIP00000005723
ENSORLP00000021980	ENSTNIP00000020081
ENSORLP00000006256	ENSTNIP00000000829
ENSORLP00000004152	ENSTNIP00000022215
ENSORLP00000022436	ENSTNIP00000006467
ENSORLP00000003775	ENSTNIP00000000186
ENSORLP00000006361	ENSTNIP00000009228
ENSORLP00000018342	ENSTNIP00000013970
ENSORLP00000000494	ENSTNIP00000002168
ENSORLP00000017859	ENSTNIP00000012131
ENSORLP00000017999	ENSTNIP00000020402
ENSORLP00000001148	ENSTNIP00000007715
ENSORLP00000022707	ENSTNIP00000013635
ENSORLP00000022426	ENSTNIP00000004648
ENSORLP00000011262	ENSTNIP00000021157
ENSORLP00000010168	ENSTNIP00000011922
ENSORLP00000010566	ENSTNIP00000017400
ENSORLP00000024016	ENSTNIP00000006361
ENSORLP00000008012	ENSTNIP00000021648
ENSORLP00000002272	ENSTNIP00000008907
ENSORLP00000000244	ENSTNIP00000004911
ENSORLP00000004298	ENSTNIP00000005718
ENSORLP00000009022	ENSTNIP00000011862
ENSORLP00000010698	ENSTNIP00000013215
ENSORLP00000011805	ENSTNIP00000019644
ENSORLP00000010106	ENSTNIP00000011017
ENSORLP00000013915	ENSTNIP00000020846
ENSORLP00000016231	ENSTNIP00000015267
ENSORLP00000020930	ENSTNIP00000001471
ENSORLP00000018662	ENSTNIP00000015450
ENSORLP00000005348	ENSTNIP00000021301
ENSORLP00000020541	ENSTNIP00000019426
ENSORLP00000005516	ENSTNIP00000017283
ENSORLP00000004264	ENSTNIP00000014174
ENSORLP00000005046	ENSTNIP00000003920
ENSORLP00000008900	ENSTNIP00000011501
ENSORLP00000022821	ENSTNIP00000018720
ENSORLP00000016795	ENSTNIP00000015252
ENSORLP00000001280	ENSTNIP00000016574
ENSORLP00000013008	ENSTNIP00000012789
ENSORLP00000013654	ENSTNIP00000007675
ENSORLP00000002328	ENSTNIP00000011305
ENSORLP00000021497	ENSTNIP00000005906
ENSORLP00000020053	ENSTNIP00000011632
ENSORLP00000020331	ENSTNIP00000019554
ENSORLP00000007167	ENSTNIP00000022151
ENSORLP00000021655	ENSTNIP00000017016
ENSORLP00000001018	ENSTNIP00000002037
ENSORLP00000012502	ENSTNIP00000021047
ENSORLP00000013287	ENSTNIP00000003018
ENSORLP00000018097	ENSTNIP00000008097
ENSORLP00000005077	ENSTNIP00000008591
ENSORLP00000008607	ENSTNIP00000011488
ENSORLP00000009584	ENSTNIP00000020186
ENSORLP00000022020	ENSTNIP00000011323
ENSORLP00000005695	ENSTNIP00000014635
ENSORLP00000022851	ENSTNIP00000020177
ENSORLP00000019677	ENSTNIP00000017366
ENSORLP00000010876	ENSTNIP00000015675
ENSORLP00000007022	ENSTNIP00000014001
ENSORLP00000010817	ENSTNIP00000008502
ENSORLP00000007342	ENSTNIP00000011795
ENSORLP00000011413	ENSTNIP00000008278
ENSORLP00000008226	ENSTNIP00000018932
ENSORLP00000014132	ENSTNIP00000016220
ENSORLP00000025151	ENSTNIP00000007358
ENSORLP00000010993	ENSTNIP00000019625
ENSORLP00000022256	ENSTNIP00000019819
ENSORLP00000001811	ENSTNIP00000003984
ENSORLP00000019505	ENSTNIP00000020469
ENSORLP00000004295	ENSTNIP00000016383
ENSORLP00000020546	ENSTNIP00000020539
ENSORLP00000013879	ENSTNIP00000004866
ENSORLP00000020030	ENSTNIP00000018333
ENSORLP00000012324	ENSTNIP00000007331
ENSORLP00000012321	ENSTNIP00000007401
ENSORLP00000000585	ENSTNIP00000018800
ENSORLP00000020019	ENSTNIP00000018334
ENSORLP00000013874	ENSTNIP00000000638
ENSORLP00000005138	ENSTNIP00000012825
ENSORLP00000004358	ENSTNIP00000005462
ENSORLP00000025595	ENSTNIP00000007968
ENSORLP00000002330	ENSTNIP00000019031
ENSORLP00000014471	ENSTNIP00000016206
ENSORLP00000002265	ENSTNIP00000011294
ENSORLP00000005351	ENSTNIP00000010267
ENSORLP00000016415	ENSTNIP00000015043
ENSORLP00000003185	ENSTNIP00000019913
ENSORLP00000018585	ENSTNIP00000013793
ENSORLP00000013734	ENSTNIP00000006090
ENSORLP00000007804	ENSTNIP00000010816
ENSORLP00000022675	ENSTNIP00000011747
ENSORLP00000025617	ENSTNIP00000017521
ENSORLP00000012489	ENSTNIP00000003575
ENSORLP00000002135	ENSTNIP00000007340
ENSORLP00000025830	ENSTNIP00000016040
ENSORLP00000010622	ENSTNIP00000002898
ENSORLP00000003679	ENSTNIP00000019065
ENSORLP00000013378	ENSTNIP00000005691
ENSORLP00000014034	ENSTNIP00000017462
ENSORLP00000021378	ENSTNIP00000007089
ENSORLP00000021967	ENSTNIP00000008582
ENSORLP00000008922	ENSTNIP00000011876
ENSORLP00000010172	ENSTNIP00000011020
ENSORLP00000024935	ENSTNIP00000016188
ENSORLP00000018772	ENSTNIP00000017116
ENSORLP00000008322	ENSTNIP00000021725
ENSORLP00000012679	ENSTNIP00000002453
ENSORLP00000017769	ENSTNIP00000014024
ENSORLP00000016516	ENSTNIP00000010487
ENSORLP00000011838	ENSTNIP00000019645
ENSORLP00000019208	ENSTNIP00000001588
ENSORLP00000013358	ENSTNIP00000021255
ENSORLP00000011314	ENSTNIP00000002745
ENSORLP00000015239	ENSTNIP00000010184
ENSORLP00000011704	ENSTNIP00000009698
ENSORLP00000005017	ENSTNIP00000019101
ENSORLP00000021947	ENSTNIP00000011332
ENSORLP00000025301	ENSTNIP00000016007
ENSORLP00000013828	ENSTNIP00000005820
ENSORLP00000011216	ENSTNIP00000016915
ENSORLP00000022337	ENSTNIP00000016960
ENSORLP00000004811	ENSTNIP00000019096
ENSORLP00000015050	ENSTNIP00000008096
ENSORLP00000022670	ENSTNIP00000011744
ENSORLP00000010397	ENSTNIP00000018861
ENSORLP00000017872	ENSTNIP00000015224
ENSORLP00000009355	ENSTNIP00000011521
ENSORLP00000008594	ENSTNIP00000012246
ENSORLP00000008023	ENSTNIP00000004001
ENSORLP00000022797	ENSTNIP00000009462
ENSORLP00000011723	ENSTNIP00000019057
ENSORLP00000025157	ENSTNIP00000004593
ENSORLP00000001341	ENSTNIP00000000291
ENSORLP00000020522	ENSTNIP00000005847
ENSORLP00000021264	ENSTNIP00000017010
ENSORLP00000009115	ENSTNIP00000021609
ENSORLP00000022663	ENSTNIP00000022824
ENSORLP00000001104	ENSTNIP00000019191
ENSORLP00000002977	ENSTNIP00000017983
ENSORLP00000002814	ENSTNIP00000012711
ENSORLP00000017167	ENSTNIP00000009000
ENSORLP00000004009	ENSTNIP00000012359
ENSORLP00000003938	ENSTNIP00000012383
ENSORLP00000006530	ENSTNIP00000016697
ENSORLP00000023720	ENSTNIP00000005696
ENSORLP00000012925	ENSTNIP00000016193
ENSORLP00000008407	ENSTNIP00000021720
ENSORLP00000000034	ENSTNIP00000004730
ENSORLP00000013671	ENSTNIP00000013737
ENSORLP00000012537	ENSTNIP00000005501
ENSORLP00000006742	ENSTNIP00000022314
ENSORLP00000014072	ENSTNIP00000002392
ENSORLP00000001903	ENSTNIP00000017622
ENSORLP00000009294	ENSTNIP00000021604
ENSORLP00000006181	ENSTNIP00000012073
ENSORLP00000018956	ENSTNIP00000018794
ENSORLP00000014883	ENSTNIP00000020092
ENSORLP00000017224	ENSTNIP00000009396
ENSORLP00000004455	ENSTNIP00000005167
ENSORLP00000007575	ENSTNIP00000016316
ENSORLP00000007606	ENSTNIP00000018191
ENSORLP00000020003	ENSTNIP00000010080
ENSORLP00000019078	ENSTNIP00000013946
ENSORLP00000018441	ENSTNIP00000011716
ENSORLP00000002784	ENSTNIP00000011173
ENSORLP00000021454	ENSTNIP00000005793
ENSORLP00000020818	ENSTNIP00000005481
ENSORLP00000016131	ENSTNIP00000003187
ENSORLP00000021474	ENSTNIP00000003719
ENSORLP00000002773	ENSTNIP00000011174
ENSORLP00000018416	ENSTNIP00000011717
ENSORLP00000003316	ENSTNIP00000017159
ENSORLP00000024376	ENSTNIP00000010479
ENSORLP00000015721	ENSTNIP00000016889
ENSORLP00000005075	ENSTNIP00000002630
ENSORLP00000005033	ENSTNIP00000013618
ENSORLP00000004103	ENSTNIP00000005469
ENSORLP00000016539	ENSTNIP00000010829
ENSORLP00000008843	ENSTNIP00000006525
ENSORLP00000002555	ENSTNIP00000009163
ENSORLP00000015324	ENSTNIP00000013679
ENSORLP00000011019	ENSTNIP00000008113
ENSORLP00000002202	ENSTNIP00000007337
ENSORLP00000003059	ENSTNIP00000012410
ENSORLP00000018136	ENSTNIP00000000096
ENSORLP00000018833	ENSTNIP00000004169
ENSORLP00000004173	ENSTNIP00000019810
ENSORLP00000002542	ENSTNIP00000004172
ENSORLP00000025253	ENSTNIP00000008001
ENSORLP00000018825	ENSTNIP00000018390
ENSORLP00000004274	ENSTNIP00000012366
ENSORLP00000015164	ENSTNIP00000005750
ENSORLP00000022758	ENSTNIP00000007463
ENSORLP00000022396	ENSTNIP00000015353
ENSORLP00000016308	ENSTNIP00000015048
ENSORLP00000001218	ENSTNIP00000006337
ENSORLP00000009657	ENSTNIP00000018112
ENSORLP00000018316	ENSTNIP00000017584
ENSORLP00000022635	ENSTNIP00000000796
ENSORLP00000007380	ENSTNIP00000010808
ENSORLP00000013444	ENSTNIP00000008567
ENSORLP00000010626	ENSTNIP00000022432
ENSORLP00000001311	ENSTNIP00000016575
ENSORLP00000013607	ENSTNIP00000021248
ENSORLP00000025288	ENSTNIP00000005097
ENSORLP00000019460	ENSTNIP00000015493
ENSORLP00000020897	ENSTNIP00000013925
ENSORLP00000017788	ENSTNIP00000006412
ENSORLP00000013845	ENSTNIP00000009433
ENSORLP00000013381	ENSTNIP00000008008
ENSORLP00000008608	ENSTNIP00000013057
ENSORLP00000001374	ENSTNIP00000019177
ENSORLP00000014802	ENSTNIP00000017433
ENSORLP00000013843	ENSTNIP00000013744
ENSORLP00000011582	ENSTNIP00000006953
ENSORLP00000018111	ENSTNIP00000000410
ENSORLP00000005218	ENSTNIP00000022974
ENSORLP00000009200	ENSTNIP00000002900
ENSORLP00000013299	ENSTNIP00000015607
ENSORLP00000016364	ENSTNIP00000015045
ENSORLP00000016628	ENSTNIP00000003017
ENSORLP00000006481	ENSTNIP00000000369
ENSORLP00000019561	ENSTNIP00000001462
ENSORLP00000011906	ENSTNIP00000013657
ENSORLP00000016312	ENSTNIP00000020379
ENSORLP00000003022	ENSTNIP00000012718
ENSORLP00000002839	ENSTNIP00000001947
ENSORLP00000022007	ENSTNIP00000008352
ENSORLP00000007991	ENSTNIP00000018929
ENSORLP00000007691	ENSTNIP00000009314
ENSORLP00000022338	ENSTNIP00000001079
ENSORLP00000014848	ENSTNIP00000007481
ENSORLP00000025861	ENSTNIP00000016052
ENSORLP00000021466	ENSTNIP00000020615
ENSORLP00000012741	ENSTNIP00000019677
ENSORLP00000016856	ENSTNIP00000017029
ENSORLP00000015714	ENSTNIP00000020397
ENSORLP00000011487	ENSTNIP00000003024
ENSORLP00000007848	ENSTNIP00000018920
ENSORLP00000011358	ENSTNIP00000013063
ENSORLP00000020718	ENSTNIP00000009402
ENSORLP00000025692	ENSTNIP00000014457
ENSORLP00000013293	ENSTNIP00000015608
ENSORLP00000017749	ENSTNIP00000004502
ENSORLP00000019122	ENSTNIP00000013944
ENSORLP00000019397	ENSTNIP00000010409
ENSORLP00000007945	ENSTNIP00000000680
ENSORLP00000019211	ENSTNIP00000017205
ENSORLP00000002458	ENSTNIP00000011284
ENSORLP00000002704	ENSTNIP00000017707
ENSORLP00000011850	ENSTNIP00000018493
ENSORLP00000018365	ENSTNIP00000014875
ENSORLP00000020399	ENSTNIP00000013202
ENSORLP00000003855	ENSTNIP00000012018
ENSORLP00000008892	ENSTNIP00000018958
ENSORLP00000024191	ENSTNIP00000006044
ENSORLP00000021108	ENSTNIP00000001381
ENSORLP00000021096	ENSTNIP00000004644
ENSORLP00000021088	ENSTNIP00000023021
ENSORLP00000008411	ENSTNIP00000012426
ENSORLP00000002451	ENSTNIP00000012427
ENSORLP00000002066	ENSTNIP00000019044
ENSORLP00000013901	ENSTNIP00000004610
ENSORLP00000016596	ENSTNIP00000016631
ENSORLP00000012171	ENSTNIP00000010696
ENSORLP00000000631	ENSTNIP00000000583
ENSORLP00000000643	ENSTNIP00000013315
ENSORLP00000004624	ENSTNIP00000017802
ENSORLP00000002777	ENSTNIP00000017728
ENSORLP00000003863	ENSTNIP00000007749
ENSORLP00000003521	ENSTNIP00000014995
ENSORLP00000024553	ENSTNIP00000003726
ENSORLP00000003946	ENSTNIP00000020639
ENSORLP00000010202	ENSTNIP00000014072
ENSORLP00000013325	ENSTNIP00000021071
ENSORLP00000018264	ENSTNIP00000015466
ENSORLP00000004025	ENSTNIP00000019074
ENSORLP00000003087	ENSTNIP00000017165
ENSORLP00000008236	ENSTNIP00000008726
ENSORLP00000001054	ENSTNIP00000013799
ENSORLP00000015074	ENSTNIP00000005762
ENSORLP00000025646	ENSTNIP00000005334
ENSORLP00000008488	ENSTNIP00000010559
ENSORLP00000019732	ENSTNIP00000002104
ENSORLP00000019739	ENSTNIP00000020483
ENSORLP00000005562	ENSTNIP00000010273
ENSORLP00000005568	ENSTNIP00000010274
ENSORLP00000019744	ENSTNIP00000020485
ENSORLP00000010004	ENSTNIP00000006251
ENSORLP00000004538	ENSTNIP00000002694
ENSORLP00000020669	ENSTNIP00000009400
ENSORLP00000022406	ENSTNIP00000015355
ENSORLP00000019916	ENSTNIP00000020495
ENSORLP00000006018	ENSTNIP00000010366
ENSORLP00000007203	ENSTNIP00000018895
ENSORLP00000022541	ENSTNIP00000006777
ENSORLP00000021818	ENSTNIP00000018579
ENSORLP00000001585	ENSTNIP00000021319
ENSORLP00000009486	ENSTNIP00000011229
ENSORLP00000024109	ENSTNIP00000017504
ENSORLP00000020069	ENSTNIP00000017217
ENSORLP00000020061	ENSTNIP00000014347
ENSORLP00000013463	ENSTNIP00000015091
ENSORLP00000009537	ENSTNIP00000021464
ENSORLP00000018070	ENSTNIP00000015472
ENSORLP00000010133	ENSTNIP00000014070
ENSORLP00000011283	ENSTNIP00000022535
ENSORLP00000008432	ENSTNIP00000021633
ENSORLP00000022136	ENSTNIP00000006529
ENSORLP00000019865	ENSTNIP00000012589
ENSORLP00000022013	ENSTNIP00000008351
ENSORLP00000021863	ENSTNIP00000011343
ENSORLP00000007508	ENSTNIP00000009832
ENSORLP00000019672	ENSTNIP00000010059
ENSORLP00000002659	ENSTNIP00000008124
ENSORLP00000013177	ENSTNIP00000005460
ENSORLP00000021900	ENSTNIP00000020028
ENSORLP00000012795	ENSTNIP00000000589
ENSORLP00000005479	ENSTNIP00000009807
ENSORLP00000025635	ENSTNIP00000016240
ENSORLP00000001420	ENSTNIP00000018847
ENSORLP00000000891	ENSTNIP00000002068
ENSORLP00000023919	ENSTNIP00000022138
ENSORLP00000014312	ENSTNIP00000004489
ENSORLP00000021168	ENSTNIP00000019601
ENSORLP00000008713	ENSTNIP00000018159
ENSORLP00000023858	ENSTNIP00000000759
ENSORLP00000006956	ENSTNIP00000018605
ENSORLP00000020381	ENSTNIP00000015414
ENSORLP00000021195	ENSTNIP00000000110
ENSORLP00000002046	ENSTNIP00000012771
ENSORLP00000025494	ENSTNIP00000016036
ENSORLP00000004640	ENSTNIP00000008856
ENSORLP00000003433	ENSTNIP00000017156
ENSORLP00000009051	ENSTNIP00000010967
ENSORLP00000008276	ENSTNIP00000005107
ENSORLP00000014984	ENSTNIP00000011131
ENSORLP00000018887	ENSTNIP00000009154
ENSORLP00000005319	ENSTNIP00000014948
ENSORLP00000007383	ENSTNIP00000010510
ENSORLP00000016940	ENSTNIP00000001447
ENSORLP00000018843	ENSTNIP00000013909
ENSORLP00000014859	ENSTNIP00000007319
ENSORLP00000017630	ENSTNIP00000007704
ENSORLP00000011608	ENSTNIP00000021294
ENSORLP00000009706	ENSTNIP00000011909
ENSORLP00000014784	ENSTNIP00000017076
ENSORLP00000012878	ENSTNIP00000005877
ENSORLP00000013942	ENSTNIP00000015101
ENSORLP00000023283	ENSTNIP00000012610
ENSORLP00000002967	ENSTNIP00000016469
ENSORLP00000004076	ENSTNIP00000018450
ENSORLP00000003771	ENSTNIP00000022225
ENSORLP00000001487	ENSTNIP00000014871
ENSORLP00000019927	ENSTNIP00000005455
ENSORLP00000020153	ENSTNIP00000009582
ENSORLP00000008018	ENSTNIP00000018175
ENSORLP00000024390	ENSTNIP00000010208
ENSORLP00000009719	ENSTNIP00000012663
ENSORLP00000014935	ENSTNIP00000011128
ENSORLP00000014367	ENSTNIP00000011373
ENSORLP00000009264	ENSTNIP00000018971
ENSORLP00000000031	ENSTNIP00000020317
ENSORLP00000019354	ENSTNIP00000006380
ENSORLP00000011881	ENSTNIP00000021291
ENSORLP00000004619	ENSTNIP00000008855
ENSORLP00000001629	ENSTNIP00000007470
ENSORLP00000021591	ENSTNIP00000020627
ENSORLP00000011736	ENSTNIP00000005864
ENSORLP00000021464	ENSTNIP00000004290
ENSORLP00000014691	ENSTNIP00000000564
ENSORLP00000025699	ENSTNIP00000004971
ENSORLP00000013267	ENSTNIP00000015609
ENSORLP00000018746	ENSTNIP00000019862
ENSORLP00000001680	ENSTNIP00000022187
ENSORLP00000009187	ENSTNIP00000012230
ENSORLP00000004783	ENSTNIP00000013606
ENSORLP00000018713	ENSTNIP00000018400
ENSORLP00000025092	ENSTNIP00000008151
ENSORLP00000008947	ENSTNIP00000001004
ENSORLP00000023765	ENSTNIP00000005989
ENSORLP00000007330	ENSTNIP00000022156
ENSORLP00000019821	ENSTNIP00000001946
ENSORLP00000011260	ENSTNIP00000005006
ENSORLP00000015135	ENSTNIP00000009610
ENSORLP00000015125	ENSTNIP00000009607
ENSORLP00000020032	ENSTNIP00000011635
ENSORLP00000018578	ENSTNIP00000013963
ENSORLP00000024718	ENSTNIP00000016718
ENSORLP00000016238	ENSTNIP00000008250
ENSORLP00000013929	ENSTNIP00000018027
ENSORLP00000007935	ENSTNIP00000011823
ENSORLP00000019558	ENSTNIP00000003620
ENSORLP00000019521	ENSTNIP00000022375
ENSORLP00000020501	ENSTNIP00000015408
ENSORLP00000005391	ENSTNIP00000005958
ENSORLP00000001836	ENSTNIP00000013297
ENSORLP00000002802	ENSTNIP00000012416
ENSORLP00000004251	ENSTNIP00000009466
ENSORLP00000019486	ENSTNIP00000009886
ENSORLP00000007785	ENSTNIP00000012902
ENSORLP00000011537	ENSTNIP00000004377
ENSORLP00000008561	ENSTNIP00000011486
ENSORLP00000003224	ENSTNIP00000013856
ENSORLP00000020210	ENSTNIP00000008963
ENSORLP00000003955	ENSTNIP00000014678
ENSORLP00000009447	ENSTNIP00000012223
ENSORLP00000016755	ENSTNIP00000005888
ENSORLP00000014402	ENSTNIP00000010928
ENSORLP00000017370	ENSTNIP00000017140
ENSORLP00000015976	ENSTNIP00000014563
ENSORLP00000010846	ENSTNIP00000008143
ENSORLP00000012076	ENSTNIP00000014905
ENSORLP00000007577	ENSTNIP00000021357
ENSORLP00000014408	ENSTNIP00000010929
ENSORLP00000025237	ENSTNIP00000004448
ENSORLP00000015224	ENSTNIP00000014536
ENSORLP00000007474	ENSTNIP00000001002
ENSORLP00000014665	ENSTNIP00000001466
ENSORLP00000019899	ENSTNIP00000014393
ENSORLP00000021608	ENSTNIP00000020628
ENSORLP00000014160	ENSTNIP00000013668
ENSORLP00000006974	ENSTNIP00000012089
ENSORLP00000013016	ENSTNIP00000015747
ENSORLP00000010417	ENSTNIP00000008779
ENSORLP00000020789	ENSTNIP00000021891
ENSORLP00000016157	ENSTNIP00000015555
ENSORLP00000004278	ENSTNIP00000015859
ENSORLP00000020050	ENSTNIP00000018329
ENSORLP00000008218	ENSTNIP00000012257
ENSORLP00000012723	ENSTNIP00000020893
ENSORLP00000007001	ENSTNIP00000022303
ENSORLP00000014484	ENSTNIP00000015197
ENSORLP00000021697	ENSTNIP00000020055
ENSORLP00000017936	ENSTNIP00000000468
ENSORLP00000010702	ENSTNIP00000018071
ENSORLP00000008138	ENSTNIP00000021451
ENSORLP00000007930	ENSTNIP00000019168
ENSORLP00000019891	ENSTNIP00000011646
ENSORLP00000001824	ENSTNIP00000012443
ENSORLP00000002382	ENSTNIP00000011287
ENSORLP00000004957	ENSTNIP00000014958
ENSORLP00000004962	ENSTNIP00000014957
ENSORLP00000019309	ENSTNIP00000003806
ENSORLP00000019320	ENSTNIP00000017340
ENSORLP00000020797	ENSTNIP00000018295
ENSORLP00000005762	ENSTNIP00000010657
ENSORLP00000009470	ENSTNIP00000018639
ENSORLP00000006865	ENSTNIP00000018217
ENSORLP00000005349	ENSTNIP00000014946
ENSORLP00000013786	ENSTNIP00000020248
ENSORLP00000004088	ENSTNIP00000014676
ENSORLP00000005176	ENSTNIP00000012347
ENSORLP00000008062	ENSTNIP00000010345
ENSORLP00000010903	ENSTNIP00000002910
ENSORLP00000003924	ENSTNIP00000022222
ENSORLP00000005958	ENSTNIP00000012854
ENSORLP00000009004	ENSTNIP00000011254
ENSORLP00000023060	ENSTNIP00000005179
ENSORLP00000012905	ENSTNIP00000021102
ENSORLP00000012089	ENSTNIP00000008225
ENSORLP00000011879	ENSTNIP00000021024
ENSORLP00000017466	ENSTNIP00000010120
ENSORLP00000016407	ENSTNIP00000003138
ENSORLP00000002498	ENSTNIP00000020783
ENSORLP00000009834	ENSTNIP00000012656
ENSORLP00000015225	ENSTNIP00000017061
ENSORLP00000005899	ENSTNIP00000007116
ENSORLP00000000178	ENSTNIP00000003073
ENSORLP00000018925	ENSTNIP00000015440
ENSORLP00000016932	ENSTNIP00000010493
ENSORLP00000013330	ENSTNIP00000000910
ENSORLP00000006703	ENSTNIP00000000060
ENSORLP00000020649	ENSTNIP00000011180
ENSORLP00000013120	ENSTNIP00000012573
ENSORLP00000021408	ENSTNIP00000018552
ENSORLP00000017806	ENSTNIP00000015480
ENSORLP00000015964	ENSTNIP00000005714
ENSORLP00000022239	ENSTNIP00000019833
ENSORLP00000024786	ENSTNIP00000009287
ENSORLP00000012533	ENSTNIP00000010042
ENSORLP00000004693	ENSTNIP00000019093
ENSORLP00000022311	ENSTNIP00000015175
ENSORLP00000021091	ENSTNIP00000020582
ENSORLP00000013449	ENSTNIP00000019695
ENSORLP00000009845	ENSTNIP00000012955
ENSORLP00000006238	ENSTNIP00000017286
