ENSGACP00000024945	ENSLOCP00000011371
ENSGACP00000024033	ENSLOCP00000013021
ENSGACP00000003038	ENSLOCP00000006143
ENSGACP00000002405	ENSLOCP00000008680
ENSGACP00000016753	ENSLOCP00000018224
ENSGACP00000011399	ENSLOCP00000018185
ENSGACP00000016404	ENSLOCP00000020346
ENSGACP00000026319	ENSLOCP00000019133
ENSGACP00000015343	ENSLOCP00000019133
ENSGACP00000010214	ENSLOCP00000012778
ENSGACP00000020270	ENSLOCP00000005737
ENSGACP00000018406	ENSLOCP00000006828
ENSGACP00000024658	ENSLOCP00000018546
ENSGACP00000020271	ENSLOCP00000005812
ENSGACP00000005379	ENSLOCP00000005812
ENSGACP00000024661	ENSLOCP00000018544
ENSGACP00000021658	ENSLOCP00000016171
ENSGACP00000018417	ENSLOCP00000006853
ENSGACP00000008623	ENSLOCP00000006853
ENSGACP00000022764	ENSLOCP00000010912
ENSGACP00000015439	ENSLOCP00000010447
ENSGACP00000027196	ENSLOCP00000010447
ENSGACP00000004121	ENSLOCP00000012104
ENSGACP00000001213	ENSLOCP00000013595
ENSGACP00000006111	ENSLOCP00000008505
ENSGACP00000023493	ENSLOCP00000008505
ENSGACP00000009940	ENSLOCP00000017548
ENSGACP00000002481	ENSLOCP00000016248
ENSGACP00000014394	ENSLOCP00000019163
ENSGACP00000008802	ENSLOCP00000009632
ENSGACP00000019210	ENSLOCP00000010916
ENSGACP00000002834	ENSLOCP00000003607
ENSGACP00000002348	ENSLOCP00000015072
ENSGACP00000023091	ENSLOCP00000015072
ENSGACP00000022066	ENSLOCP00000003380
ENSGACP00000010750	ENSLOCP00000002426
ENSGACP00000012695	ENSLOCP00000012613
ENSGACP00000007203	ENSLOCP00000012613
ENSGACP00000005237	ENSLOCP00000019084
ENSGACP00000024500	ENSLOCP00000016794
ENSGACP00000015235	ENSLOCP00000002147
ENSGACP00000025056	ENSLOCP00000021122
ENSGACP00000022065	ENSLOCP00000006545
ENSGACP00000003704	ENSLOCP00000004953
ENSGACP00000003704	ENSLOCP00000000660
ENSGACP00000016370	ENSLOCP00000012614
ENSGACP00000022984	ENSLOCP00000003234
ENSGACP00000017542	ENSLOCP00000006565
ENSGACP00000004888	ENSLOCP00000009421
ENSGACP00000002403	ENSLOCP00000016126
ENSGACP00000008807	ENSLOCP00000005393
ENSGACP00000017318	ENSLOCP00000019213
ENSGACP00000008998	ENSLOCP00000007722
ENSGACP00000020352	ENSLOCP00000012552
ENSGACP00000018750	ENSLOCP00000012928
ENSGACP00000014494	ENSLOCP00000014564
ENSGACP00000023747	ENSLOCP00000011332
ENSGACP00000004440	ENSLOCP00000009470
ENSGACP00000005070	ENSLOCP00000012355
ENSGACP00000002886	ENSLOCP00000011077
ENSGACP00000007201	ENSLOCP00000017982
ENSGACP00000024497	ENSLOCP00000017982
ENSGACP00000000952	ENSLOCP00000017364
ENSGACP00000010311	ENSLOCP00000011435
ENSGACP00000020639	ENSLOCP00000003826
ENSGACP00000026334	ENSLOCP00000020442
ENSGACP00000006806	ENSLOCP00000011874
ENSGACP00000011680	ENSLOCP00000020061
ENSGACP00000015215	ENSLOCP00000020061
ENSGACP00000017136	ENSLOCP00000021247
ENSGACP00000005071	ENSLOCP00000018907
ENSGACP00000001491	ENSLOCP00000018175
ENSGACP00000006953	ENSLOCP00000016135
ENSGACP00000010693	ENSLOCP00000014009
ENSGACP00000000220	ENSLOCP00000012449
ENSGACP00000012914	ENSLOCP00000014471
ENSGACP00000015985	ENSLOCP00000019926
ENSGACP00000009347	ENSLOCP00000016691
ENSGACP00000025450	ENSLOCP00000016691
ENSGACP00000019821	ENSLOCP00000016003
ENSGACP00000024285	ENSLOCP00000010175
ENSGACP00000024263	ENSLOCP00000010143
ENSGACP00000023016	ENSLOCP00000003063
ENSGACP00000024823	ENSLOCP00000010443
ENSGACP00000013546	ENSLOCP00000010443
ENSGACP00000019572	ENSLOCP00000010983
ENSGACP00000014238	ENSLOCP00000018480
ENSGACP00000023940	ENSLOCP00000001254
ENSGACP00000008454	ENSLOCP00000001148
ENSGACP00000000960	ENSLOCP00000009433
ENSGACP00000010767	ENSLOCP00000007419
ENSGACP00000009332	ENSLOCP00000007419
ENSGACP00000003473	ENSLOCP00000007580
ENSGACP00000006347	ENSLOCP00000003101
ENSGACP00000008366	ENSLOCP00000015600
ENSGACP00000011689	ENSLOCP00000015600
ENSGACP00000021542	ENSLOCP00000014762
ENSGACP00000012439	ENSLOCP00000014762
ENSGACP00000012414	ENSLOCP00000014741
ENSGACP00000006985	ENSLOCP00000007457
ENSGACP00000010409	ENSLOCP00000015152
ENSGACP00000000436	ENSLOCP00000015152
ENSGACP00000026167	ENSLOCP00000019453
ENSGACP00000003272	ENSLOCP00000011251
ENSGACP00000000772	ENSLOCP00000004793
ENSGACP00000014142	ENSLOCP00000004793
ENSGACP00000006410	ENSLOCP00000016120
ENSGACP00000017305	ENSLOCP00000016120
ENSGACP00000018854	ENSLOCP00000011258
ENSGACP00000003269	ENSLOCP00000011258
ENSGACP00000023946	ENSLOCP00000016726
ENSGACP00000027538	ENSLOCP00000017308
ENSGACP00000004022	ENSLOCP00000010754
ENSGACP00000021129	ENSLOCP00000005040
ENSGACP00000021829	ENSLOCP00000004226
ENSGACP00000015846	ENSLOCP00000004226
ENSGACP00000021132	ENSLOCP00000005055
ENSGACP00000021827	ENSLOCP00000004207
ENSGACP00000023370	ENSLOCP00000002039
ENSGACP00000011775	ENSLOCP00000004212
ENSGACP00000013084	ENSLOCP00000020195
ENSGACP00000016079	ENSLOCP00000019518
ENSGACP00000003931	ENSLOCP00000003844
ENSGACP00000022235	ENSLOCP00000016149
ENSGACP00000024618	ENSLOCP00000013403
ENSGACP00000018219	ENSLOCP00000003765
ENSGACP00000019166	ENSLOCP00000008575
ENSGACP00000008117	ENSLOCP00000015553
ENSGACP00000005801	ENSLOCP00000015536
ENSGACP00000002055	ENSLOCP00000021066
ENSGACP00000020184	ENSLOCP00000007452
ENSGACP00000019859	ENSLOCP00000015909
ENSGACP00000005941	ENSLOCP00000019661
ENSGACP00000005138	ENSLOCP00000014558
ENSGACP00000025436	ENSLOCP00000014569
ENSGACP00000005130	ENSLOCP00000014579
ENSGACP00000005832	ENSLOCP00000021145
ENSGACP00000005837	ENSLOCP00000021146
ENSGACP00000012209	ENSLOCP00000004485
ENSGACP00000000820	ENSLOCP00000004485
ENSGACP00000023196	ENSLOCP00000015256
ENSGACP00000005211	ENSLOCP00000015256
ENSGACP00000019610	ENSLOCP00000017733
ENSGACP00000017490	ENSLOCP00000017733
ENSGACP00000013771	ENSLOCP00000001796
ENSGACP00000020523	ENSLOCP00000001796
ENSGACP00000008747	ENSLOCP00000006578
ENSGACP00000013296	ENSLOCP00000010716
ENSGACP00000026778	ENSLOCP00000004271
ENSGACP00000023174	ENSLOCP00000008619
ENSGACP00000025537	ENSLOCP00000017785
ENSGACP00000023395	ENSLOCP00000016973
ENSGACP00000024826	ENSLOCP00000016973
ENSGACP00000027605	ENSLOCP00000012649
ENSGACP00000004758	ENSLOCP00000015071
ENSGACP00000014374	ENSLOCP00000019197
ENSGACP00000010091	ENSLOCP00000001084
ENSGACP00000003129	ENSLOCP00000007361
ENSGACP00000008282	ENSLOCP00000013226
ENSGACP00000001795	ENSLOCP00000018127
ENSGACP00000006053	ENSLOCP00000018322
ENSGACP00000007790	ENSLOCP00000013456
ENSGACP00000016640	ENSLOCP00000013456
ENSGACP00000025425	ENSLOCP00000008342
ENSGACP00000023045	ENSLOCP00000002711
ENSGACP00000008872	ENSLOCP00000018119
ENSGACP00000011374	ENSLOCP00000014306
ENSGACP00000016639	ENSLOCP00000014306
ENSGACP00000005392	ENSLOCP00000019589
ENSGACP00000013919	ENSLOCP00000015075
ENSGACP00000007495	ENSLOCP00000020291
ENSGACP00000007430	ENSLOCP00000008490
ENSGACP00000017514	ENSLOCP00000021287
ENSGACP00000001068	ENSLOCP00000002488
ENSGACP00000012167	ENSLOCP00000002663
ENSGACP00000008702	ENSLOCP00000002663
ENSGACP00000008073	ENSLOCP00000021031
ENSGACP00000011673	ENSLOCP00000004459
ENSGACP00000012756	ENSLOCP00000005530
ENSGACP00000017036	ENSLOCP00000020773
ENSGACP00000014609	ENSLOCP00000001781
ENSGACP00000010177	ENSLOCP00000001299
ENSGACP00000015729	ENSLOCP00000004757
ENSGACP00000016633	ENSLOCP00000013465
ENSGACP00000010104	ENSLOCP00000014258
ENSGACP00000026169	ENSLOCP00000018471
ENSGACP00000026691	ENSLOCP00000005419
ENSGACP00000009650	ENSLOCP00000018476
ENSGACP00000020789	ENSLOCP00000006667
ENSGACP00000013293	ENSLOCP00000006667
ENSGACP00000019511	ENSLOCP00000017850
ENSGACP00000017434	ENSLOCP00000011010
ENSGACP00000005074	ENSLOCP00000011010
ENSGACP00000011768	ENSLOCP00000005447
ENSGACP00000000857	ENSLOCP00000020933
ENSGACP00000015220	ENSLOCP00000007685
ENSGACP00000006905	ENSLOCP00000017282
ENSGACP00000022342	ENSLOCP00000017282
ENSGACP00000006402	ENSLOCP00000012111
ENSGACP00000009977	ENSLOCP00000012148
ENSGACP00000007159	ENSLOCP00000008429
ENSGACP00000021629	ENSLOCP00000008429
ENSGACP00000001510	ENSLOCP00000016725
ENSGACP00000011518	ENSLOCP00000019526
ENSGACP00000011514	ENSLOCP00000019528
ENSGACP00000007653	ENSLOCP00000017582
ENSGACP00000007537	ENSLOCP00000017755
ENSGACP00000012152	ENSLOCP00000019207
ENSGACP00000005156	ENSLOCP00000016494
ENSGACP00000012277	ENSLOCP00000012612
ENSGACP00000005372	ENSLOCP00000001689
ENSGACP00000015965	ENSLOCP00000019939
ENSGACP00000023911	ENSLOCP00000019939
ENSGACP00000020863	ENSLOCP00000015630
ENSGACP00000006436	ENSLOCP00000001541
ENSGACP00000022656	ENSLOCP00000001021
ENSGACP00000013194	ENSLOCP00000007379
ENSGACP00000012821	ENSLOCP00000018274
ENSGACP00000011152	ENSLOCP00000012349
ENSGACP00000011147	ENSLOCP00000012336
ENSGACP00000014281	ENSLOCP00000020213
ENSGACP00000012830	ENSLOCP00000018271
ENSGACP00000011138	ENSLOCP00000012326
ENSGACP00000025165	ENSLOCP00000001894
ENSGACP00000011630	ENSLOCP00000004623
ENSGACP00000021908	ENSLOCP00000004643
ENSGACP00000006350	ENSLOCP00000012176
ENSGACP00000010944	ENSLOCP00000008344
ENSGACP00000021347	ENSLOCP00000012014
ENSGACP00000022338	ENSLOCP00000004731
ENSGACP00000014096	ENSLOCP00000004731
ENSGACP00000013148	ENSLOCP00000009358
ENSGACP00000014174	ENSLOCP00000018216
ENSGACP00000020152	ENSLOCP00000006899
ENSGACP00000026379	ENSLOCP00000019725
ENSGACP00000015814	ENSLOCP00000019725
ENSGACP00000014601	ENSLOCP00000013506
ENSGACP00000001037	ENSLOCP00000018203
ENSGACP00000016075	ENSLOCP00000018203
ENSGACP00000012318	ENSLOCP00000012560
ENSGACP00000003744	ENSLOCP00000012560
ENSGACP00000015693	ENSLOCP00000014625
ENSGACP00000018115	ENSLOCP00000011702
ENSGACP00000010283	ENSLOCP00000004516
ENSGACP00000016549	ENSLOCP00000011163
ENSGACP00000006709	ENSLOCP00000011163
ENSGACP00000017867	ENSLOCP00000020251
ENSGACP00000007480	ENSLOCP00000020287
ENSGACP00000023702	ENSLOCP00000007217
ENSGACP00000008047	ENSLOCP00000000876
ENSGACP00000002773	ENSLOCP00000003376
ENSGACP00000009197	ENSLOCP00000011255
ENSGACP00000007682	ENSLOCP00000021189
ENSGACP00000023139	ENSLOCP00000002235
ENSGACP00000009670	ENSLOCP00000003249
ENSGACP00000016283	ENSLOCP00000019473
ENSGACP00000019711	ENSLOCP00000019473
ENSGACP00000020139	ENSLOCP00000013472
ENSGACP00000022997	ENSLOCP00000018778
ENSGACP00000016288	ENSLOCP00000017623
ENSGACP00000026639	ENSLOCP00000017623
ENSGACP00000001220	ENSLOCP00000009993
ENSGACP00000019660	ENSLOCP00000009993
ENSGACP00000017963	ENSLOCP00000001969
ENSGACP00000014611	ENSLOCP00000001969
ENSGACP00000003972	ENSLOCP00000022429
ENSGACP00000007261	ENSLOCP00000021935
ENSGACP00000011199	ENSLOCP00000022309
ENSGACP00000005865	ENSLOCP00000019632
ENSGACP00000013405	ENSLOCP00000011378
ENSGACP00000015077	ENSLOCP00000019045
ENSGACP00000026557	ENSLOCP00000019295
ENSGACP00000026559	ENSLOCP00000019299
ENSGACP00000003636	ENSLOCP00000014495
ENSGACP00000022041	ENSLOCP00000002207
ENSGACP00000022171	ENSLOCP00000011741
ENSGACP00000014617	ENSLOCP00000000046
ENSGACP00000023960	ENSLOCP00000016875
ENSGACP00000003253	ENSLOCP00000014518
ENSGACP00000025585	ENSLOCP00000017175
ENSGACP00000013823	ENSLOCP00000010114
ENSGACP00000006910	ENSLOCP00000009013
ENSGACP00000000546	ENSLOCP00000011158
ENSGACP00000008541	ENSLOCP00000006055
ENSGACP00000013570	ENSLOCP00000002443
ENSGACP00000006743	ENSLOCP00000011588
ENSGACP00000005245	ENSLOCP00000013253
ENSGACP00000022509	ENSLOCP00000013271
ENSGACP00000016976	ENSLOCP00000013984
ENSGACP00000021564	ENSLOCP00000021070
ENSGACP00000023933	ENSLOCP00000001317
ENSGACP00000010018	ENSLOCP00000001059
ENSGACP00000022273	ENSLOCP00000015979
ENSGACP00000016434	ENSLOCP00000007485
ENSGACP00000015645	ENSLOCP00000018776
ENSGACP00000007726	ENSLOCP00000021177
ENSGACP00000015785	ENSLOCP00000010750
ENSGACP00000026399	ENSLOCP00000019055
ENSGACP00000013147	ENSLOCP00000019055
ENSGACP00000010158	ENSLOCP00000013710
ENSGACP00000010766	ENSLOCP00000013710
ENSGACP00000001488	ENSLOCP00000018177
ENSGACP00000014594	ENSLOCP00000015642
ENSGACP00000013836	ENSLOCP00000010004
ENSGACP00000012065	ENSLOCP00000005107
ENSGACP00000002976	ENSLOCP00000004821
ENSGACP00000009782	ENSLOCP00000001873
ENSGACP00000014610	ENSLOCP00000000044
ENSGACP00000010870	ENSLOCP00000007623
ENSGACP00000016740	ENSLOCP00000003613
ENSGACP00000005835	ENSLOCP00000003613
ENSGACP00000017221	ENSLOCP00000002575
ENSGACP00000006610	ENSLOCP00000013512
ENSGACP00000014035	ENSLOCP00000009795
ENSGACP00000017022	ENSLOCP00000003601
ENSGACP00000020724	ENSLOCP00000004697
ENSGACP00000003172	ENSLOCP00000004697
ENSGACP00000016230	ENSLOCP00000008012
ENSGACP00000020231	ENSLOCP00000008012
ENSGACP00000024519	ENSLOCP00000014668
ENSGACP00000022977	ENSLOCP00000014668
ENSGACP00000002710	ENSLOCP00000006242
ENSGACP00000004756	ENSLOCP00000007493
ENSGACP00000024428	ENSLOCP00000007493
ENSGACP00000008120	ENSLOCP00000009760
ENSGACP00000026911	ENSLOCP00000009760
ENSGACP00000023362	ENSLOCP00000001848
ENSGACP00000009622	ENSLOCP00000008215
ENSGACP00000009627	ENSLOCP00000008179
ENSGACP00000026912	ENSLOCP00000008179
ENSGACP00000018009	ENSLOCP00000020161
ENSGACP00000026115	ENSLOCP00000020161
ENSGACP00000012368	ENSLOCP00000020208
ENSGACP00000025431	ENSLOCP00000018594
ENSGACP00000002501	ENSLOCP00000003504
ENSGACP00000024161	ENSLOCP00000018276
ENSGACP00000015442	ENSLOCP00000020373
ENSGACP00000015186	ENSLOCP00000002245
ENSGACP00000019007	ENSLOCP00000005952
ENSGACP00000009364	ENSLOCP00000017532
ENSGACP00000022283	ENSLOCP00000017532
ENSGACP00000016040	ENSLOCP00000021347
ENSGACP00000000574	ENSLOCP00000005221
ENSGACP00000023040	ENSLOCP00000015051
ENSGACP00000027323	ENSLOCP00000015458
ENSGACP00000011344	ENSLOCP00000006402
ENSGACP00000007394	ENSLOCP00000002216
ENSGACP00000010244	ENSLOCP00000002216
ENSGACP00000015467	ENSLOCP00000019565
ENSGACP00000012004	ENSLOCP00000014030
ENSGACP00000008427	ENSLOCP00000014030
ENSGACP00000020774	ENSLOCP00000004614
ENSGACP00000019686	ENSLOCP00000004050
ENSGACP00000007393	ENSLOCP00000004811
ENSGACP00000014077	ENSLOCP00000000246
ENSGACP00000002623	ENSLOCP00000000246
ENSGACP00000015404	ENSLOCP00000016808
ENSGACP00000024486	ENSLOCP00000016808
ENSGACP00000018930	ENSLOCP00000006604
ENSGACP00000022151	ENSLOCP00000006604
ENSGACP00000024490	ENSLOCP00000016806
ENSGACP00000016156	ENSLOCP00000016806
ENSGACP00000014072	ENSLOCP00000000222
ENSGACP00000003890	ENSLOCP00000001823
ENSGACP00000026723	ENSLOCP00000003174
ENSGACP00000017760	ENSLOCP00000008710
ENSGACP00000023207	ENSLOCP00000008710
ENSGACP00000008971	ENSLOCP00000021302
ENSGACP00000010715	ENSLOCP00000021302
ENSGACP00000009867	ENSLOCP00000002027
ENSGACP00000005055	ENSLOCP00000003711
ENSGACP00000019506	ENSLOCP00000003711
ENSGACP00000010781	ENSLOCP00000001407
ENSGACP00000012507	ENSLOCP00000013996
ENSGACP00000018335	ENSLOCP00000000159
ENSGACP00000020593	ENSLOCP00000003313
ENSGACP00000003601	ENSLOCP00000005911
ENSGACP00000008287	ENSLOCP00000003804
ENSGACP00000003954	ENSLOCP00000003804
ENSGACP00000011110	ENSLOCP00000019706
ENSGACP00000008952	ENSLOCP00000013492
ENSGACP00000006976	ENSLOCP00000013006
ENSGACP00000007269	ENSLOCP00000000003
ENSGACP00000018118	ENSLOCP00000020482
ENSGACP00000023081	ENSLOCP00000018516
ENSGACP00000008408	ENSLOCP00000005726
ENSGACP00000017819	ENSLOCP00000005332
ENSGACP00000012231	ENSLOCP00000006003
ENSGACP00000009734	ENSLOCP00000008839
ENSGACP00000005364	ENSLOCP00000013373
ENSGACP00000011957	ENSLOCP00000013953
ENSGACP00000020024	ENSLOCP00000010520
ENSGACP00000020028	ENSLOCP00000010551
ENSGACP00000010507	ENSLOCP00000011038
ENSGACP00000015759	ENSLOCP00000010581
ENSGACP00000027242	ENSLOCP00000010581
ENSGACP00000006238	ENSLOCP00000018383
ENSGACP00000013450	ENSLOCP00000005593
ENSGACP00000007062	ENSLOCP00000022225
ENSGACP00000018621	ENSLOCP00000001520
ENSGACP00000025390	ENSLOCP00000021137
ENSGACP00000015595	ENSLOCP00000002445
ENSGACP00000027075	ENSLOCP00000006609
ENSGACP00000011371	ENSLOCP00000006609
ENSGACP00000014438	ENSLOCP00000007633
ENSGACP00000002482	ENSLOCP00000007633
ENSGACP00000000527	ENSLOCP00000014915
ENSGACP00000016509	ENSLOCP00000014499
ENSGACP00000010138	ENSLOCP00000002749
ENSGACP00000002636	ENSLOCP00000017868
ENSGACP00000014484	ENSLOCP00000007449
ENSGACP00000007335	ENSLOCP00000019935
ENSGACP00000014770	ENSLOCP00000011379
ENSGACP00000016172	ENSLOCP00000017777
ENSGACP00000024357	ENSLOCP00000007280
ENSGACP00000016778	ENSLOCP00000003880
ENSGACP00000023333	ENSLOCP00000018190
ENSGACP00000010547	ENSLOCP00000012033
ENSGACP00000014945	ENSLOCP00000000818
ENSGACP00000014826	ENSLOCP00000002181
ENSGACP00000001426	ENSLOCP00000018932
ENSGACP00000005705	ENSLOCP00000018932
ENSGACP00000010458	ENSLOCP00000015379
ENSGACP00000007957	ENSLOCP00000015379
ENSGACP00000007626	ENSLOCP00000020033
ENSGACP00000011322	ENSLOCP00000001598
ENSGACP00000021331	ENSLOCP00000007296
ENSGACP00000013049	ENSLOCP00000007296
ENSGACP00000004140	ENSLOCP00000010070
ENSGACP00000014740	ENSLOCP00000011440
ENSGACP00000025750	ENSLOCP00000015471
ENSGACP00000019148	ENSLOCP00000014096
ENSGACP00000009024	ENSLOCP00000007824
ENSGACP00000019139	ENSLOCP00000014117
ENSGACP00000019142	ENSLOCP00000014107
ENSGACP00000021558	ENSLOCP00000008628
