ENSP00000262384	ENSACAP00000005936
ENSP00000355968	ENSACAP00000016069
ENSP00000233535	ENSACAP00000007667
ENSP00000363394	ENSACAP00000017526
ENSP00000415011	ENSACAP00000010676
ENSP00000261867	ENSACAP00000015435
ENSP00000415900	ENSACAP00000014665
ENSP00000362195	ENSACAP00000000942
ENSP00000263409	ENSACAP00000009728
ENSP00000395461	ENSACAP00000018182
ENSP00000261721	ENSACAP00000013525
ENSP00000384545	ENSACAP00000001427
ENSP00000376337	ENSACAP00000015468
ENSP00000260743	ENSACAP00000004783
ENSP00000329926	ENSACAP00000008216
ENSP00000445952	ENSACAP00000007865
ENSP00000424126	ENSACAP00000018145
ENSP00000340594	ENSACAP00000012872
ENSP00000341489	ENSACAP00000019293
ENSP00000368566	ENSACAP00000012146
ENSP00000348429	ENSACAP00000009720
ENSP00000258873	ENSACAP00000005943
ENSP00000233156	ENSACAP00000000973
ENSP00000222543	ENSACAP00000013030
ENSP00000311184	ENSACAP00000001579
ENSP00000324763	ENSACAP00000012461
ENSP00000217428	ENSACAP00000020075
ENSP00000376652	ENSACAP00000022538
ENSP00000355809	ENSACAP00000005645
ENSP00000348753	ENSACAP00000001953
ENSP00000345405	ENSACAP00000002296
ENSP00000281156	ENSACAP00000006602
ENSP00000355094	ENSACAP00000003200
ENSP00000328694	ENSACAP00000009074
ENSP00000379366	ENSACAP00000012719
ENSP00000271139	ENSACAP00000001753
ENSP00000427695	ENSACAP00000001589
ENSP00000331305	ENSACAP00000019903
ENSP00000290551	ENSACAP00000009777
ENSP00000348300	ENSACAP00000006466
ENSP00000269053	ENSACAP00000013796
ENSP00000423541	ENSACAP00000008206
ENSP00000299134	ENSACAP00000015089
ENSP00000262953	ENSACAP00000010728
ENSP00000221561	ENSACAP00000010728
ENSP00000452871	ENSACAP00000014628
ENSP00000365735	ENSACAP00000002919
ENSP00000256999	ENSACAP00000014585
ENSP00000432481	ENSACAP00000014351
ENSP00000351484	ENSACAP00000006234
ENSP00000353224	ENSACAP00000000607
ENSP00000420525	ENSACAP00000019708
ENSP00000223026	ENSACAP00000018133
ENSP00000401853	ENSACAP00000008532
ENSP00000266031	ENSACAP00000019778
ENSP00000337425	ENSACAP00000008554
ENSP00000350937	ENSACAP00000006509
ENSP00000157600	ENSACAP00000004623
ENSP00000295902	ENSACAP00000000901
ENSP00000365494	ENSACAP00000010851
ENSP00000401060	ENSACAP00000003028
ENSP00000404911	ENSACAP00000002875
ENSP00000373648	ENSACAP00000010760
ENSP00000262916	ENSACAP00000012326
ENSP00000383901	ENSACAP00000014689
ENSP00000337354	ENSACAP00000008887
ENSP00000216513	ENSACAP00000006450
ENSP00000247182	ENSACAP00000020101
ENSP00000304502	ENSACAP00000003697
ENSP00000260653	ENSACAP00000003684
ENSP00000328596	ENSACAP00000016389
ENSP00000264380	ENSACAP00000009858
ENSP00000337159	ENSACAP00000010293
ENSP00000216602	ENSACAP00000023319
ENSP00000357927	ENSACAP00000008109
ENSP00000310491	ENSACAP00000022398
ENSP00000346151	ENSACAP00000008947
ENSP00000304604	ENSACAP00000000177
ENSP00000324729	ENSACAP00000014072
ENSP00000164227	ENSACAP00000009330
ENSP00000325663	ENSACAP00000011900
ENSP00000380109	ENSACAP00000019169
ENSP00000312988	ENSACAP00000009364
ENSP00000311837	ENSACAP00000005299
ENSP00000429842	ENSACAP00000012130
ENSP00000217381	ENSACAP00000008363
ENSP00000338191	ENSACAP00000003188
ENSP00000378965	ENSACAP00000009106
ENSP00000357484	ENSACAP00000014036
ENSP00000419378	ENSACAP00000007060
ENSP00000414921	ENSACAP00000017072
ENSP00000410811	ENSACAP00000020615
ENSP00000333836	ENSACAP00000000594
ENSP00000266041	ENSACAP00000008014
ENSP00000218436	ENSACAP00000011635
ENSP00000233630	ENSACAP00000000027
ENSP00000354724	ENSACAP00000000226
ENSP00000337500	ENSACAP00000007738
ENSP00000461961	ENSACAP00000013047
ENSP00000355026	ENSACAP00000003852
ENSP00000056217	ENSACAP00000002156
ENSP00000264051	ENSACAP00000006137
ENSP00000367629	ENSACAP00000017488
ENSP00000348828	ENSACAP00000006741
ENSP00000366387	ENSACAP00000021155
ENSP00000366477	ENSACAP00000021463
ENSP00000402584	ENSACAP00000009209
ENSP00000371434	ENSACAP00000003253
ENSP00000254325	ENSACAP00000015434
ENSP00000332208	ENSACAP00000013959
ENSP00000369702	ENSACAP00000012315
ENSP00000368908	ENSACAP00000016268
ENSP00000287585	ENSACAP00000021250
ENSP00000444350	ENSACAP00000010157
ENSP00000441214	ENSACAP00000016001
ENSP00000342222	ENSACAP00000006310
ENSP00000301365	ENSACAP00000001714
ENSP00000313670	ENSACAP00000005065
ENSP00000264276	ENSACAP00000000988
ENSP00000291536	ENSACAP00000002892
ENSP00000356436	ENSACAP00000002010
ENSP00000306163	ENSACAP00000002775
ENSP00000360762	ENSACAP00000007811
ENSP00000321679	ENSACAP00000006245
ENSP00000430985	ENSACAP00000014205
ENSP00000263674	ENSACAP00000019837
ENSP00000250894	ENSACAP00000003452
ENSP00000262013	ENSACAP00000022607
ENSP00000418744	ENSACAP00000023161
ENSP00000278937	ENSACAP00000007133
ENSP00000352513	ENSACAP00000009262
ENSP00000278947	ENSACAP00000007144
ENSP00000322460	ENSACAP00000007166
ENSP00000266712	ENSACAP00000011447
ENSP00000442046	ENSACAP00000012845
ENSP00000343871	ENSACAP00000003423
ENSP00000362824	ENSACAP00000014516
ENSP00000283296	ENSACAP00000013145
ENSP00000307831	ENSACAP00000008617
ENSP00000361995	ENSACAP00000016589
ENSP00000268125	ENSACAP00000000766
ENSP00000275162	ENSACAP00000001550
ENSP00000428402	ENSACAP00000005884
ENSP00000302843	ENSACAP00000016217
ENSP00000347872	ENSACAP00000013260
ENSP00000303129	ENSACAP00000010212
ENSP00000399805	ENSACAP00000011210
ENSP00000323678	ENSACAP00000005192
ENSP00000375647	ENSACAP00000016275
ENSP00000436836	ENSACAP00000011119
ENSP00000300105	ENSACAP00000016014
ENSP00000262138	ENSACAP00000000189
ENSP00000270458	ENSACAP00000018669
ENSP00000376914	ENSACAP00000002209
ENSP00000400258	ENSACAP00000005144
ENSP00000362444	ENSACAP00000013190
ENSP00000247191	ENSACAP00000015982
ENSP00000359132	ENSACAP00000003038
ENSP00000379032	ENSACAP00000014062
ENSP00000363398	ENSACAP00000017531
ENSP00000367446	ENSACAP00000008252
ENSP00000388658	ENSACAP00000016064
ENSP00000400101	ENSACAP00000014392
ENSP00000322020	ENSACAP00000022803
ENSP00000329033	ENSACAP00000012143
ENSP00000272937	ENSACAP00000020312
ENSP00000307513	ENSACAP00000013258
ENSP00000283243	ENSACAP00000012231
ENSP00000356587	ENSACAP00000012123
ENSP00000454062	ENSACAP00000015884
ENSP00000345393	ENSACAP00000008258
ENSP00000350369	ENSACAP00000010223
ENSP00000344903	ENSACAP00000011216
ENSP00000297282	ENSACAP00000011928
ENSP00000194130	ENSACAP00000006406
ENSP00000279027	ENSACAP00000016440
ENSP00000392411	ENSACAP00000011920
ENSP00000406220	ENSACAP00000011449
ENSP00000358747	ENSACAP00000019094
ENSP00000365251	ENSACAP00000000792
ENSP00000435582	ENSACAP00000019131
ENSP00000388275	ENSACAP00000010667
ENSP00000353249	ENSACAP00000008195
ENSP00000360905	ENSACAP00000021848
ENSP00000353422	ENSACAP00000005631
ENSP00000379500	ENSACAP00000000062
ENSP00000355751	ENSACAP00000002993
ENSP00000222271	ENSACAP00000014378
ENSP00000339730	ENSACAP00000016349
ENSP00000357362	ENSACAP00000002530
ENSP00000383909	ENSACAP00000007132
ENSP00000319651	ENSACAP00000017264
ENSP00000360500	ENSACAP00000008704
ENSP00000371686	ENSACAP00000002301
ENSP00000190165	ENSACAP00000002289
ENSP00000227451	ENSACAP00000006631
ENSP00000257600	ENSACAP00000004423
ENSP00000447873	ENSACAP00000019584
ENSP00000316532	ENSACAP00000011435
ENSP00000410852	ENSACAP00000014149
ENSP00000005286	ENSACAP00000017519
ENSP00000356275	ENSACAP00000003635
ENSP00000431813	ENSACAP00000015536
ENSP00000160373	ENSACAP00000007357
ENSP00000271277	ENSACAP00000017648
ENSP00000237172	ENSACAP00000004922
ENSP00000346560	ENSACAP00000010908
ENSP00000303758	ENSACAP00000016710
ENSP00000261889	ENSACAP00000006787
ENSP00000363349	ENSACAP00000017120
ENSP00000238994	ENSACAP00000007712
ENSP00000308318	ENSACAP00000002813
ENSP00000360035	ENSACAP00000003779
ENSP00000408288	ENSACAP00000006029
ENSP00000284601	ENSACAP00000006838
ENSP00000336630	ENSACAP00000003121
ENSP00000356205	ENSACAP00000004681
ENSP00000276218	ENSACAP00000008548
ENSP00000391299	ENSACAP00000019498
ENSP00000342313	ENSACAP00000008475
ENSP00000440674	ENSACAP00000017189
ENSP00000361366	ENSACAP00000004745
ENSP00000332723	ENSACAP00000008306
ENSP00000411770	ENSACAP00000016647
ENSP00000214869	ENSACAP00000015154
ENSP00000359305	ENSACAP00000005587
ENSP00000356381	ENSACAP00000006756
ENSP00000369989	ENSACAP00000005040
ENSP00000368959	ENSACAP00000007413
ENSP00000254901	ENSACAP00000007085
ENSP00000438346	ENSACAP00000011502
ENSP00000303482	ENSACAP00000007942
ENSP00000362863	ENSACAP00000010004
ENSP00000358159	ENSACAP00000010045
ENSP00000295488	ENSACAP00000020018
ENSP00000264233	ENSACAP00000011328
ENSP00000317123	ENSACAP00000000445
ENSP00000253083	ENSACAP00000015725
ENSP00000267984	ENSACAP00000011167
ENSP00000316029	ENSACAP00000011157
ENSP00000365411	ENSACAP00000008008
ENSP00000263915	ENSACAP00000000803
ENSP00000381793	ENSACAP00000008345
ENSP00000403459	ENSACAP00000003367
ENSP00000427458	ENSACAP00000000928
ENSP00000369442	ENSACAP00000004184
ENSP00000257408	ENSACAP00000007474
ENSP00000264162	ENSACAP00000001458
ENSP00000240285	ENSACAP00000014103
ENSP00000365397	ENSACAP00000014765
ENSP00000358854	ENSACAP00000004657
ENSP00000262394	ENSACAP00000008815
ENSP00000319474	ENSACAP00000016406
ENSP00000387078	ENSACAP00000010376
ENSP00000349727	ENSACAP00000005810
ENSP00000372160	ENSACAP00000011557
ENSP00000262593	ENSACAP00000015652
ENSP00000344277	ENSACAP00000013834
ENSP00000263512	ENSACAP00000020730
ENSP00000245312	ENSACAP00000002635
ENSP00000273861	ENSACAP00000006227
ENSP00000216540	ENSACAP00000005008
ENSP00000313681	ENSACAP00000008138
ENSP00000245222	ENSACAP00000015424
ENSP00000216264	ENSACAP00000004083
ENSP00000347581	ENSACAP00000011214
ENSP00000404121	ENSACAP00000015437
ENSP00000265069	ENSACAP00000007790
ENSP00000360065	ENSACAP00000011160
ENSP00000242317	ENSACAP00000005916
ENSP00000380308	ENSACAP00000016208
ENSP00000264968	ENSACAP00000012562
ENSP00000338487	ENSACAP00000015914
ENSP00000474896	ENSACAP00000010954
ENSP00000354458	ENSACAP00000006737
ENSP00000360281	ENSACAP00000006791
ENSP00000322061	ENSACAP00000010102
ENSP00000309270	ENSACAP00000014348
ENSP00000362207	ENSACAP00000017517
ENSP00000341206	ENSACAP00000007540
ENSP00000307911	ENSACAP00000009392
ENSP00000354842	ENSACAP00000005518
ENSP00000344724	ENSACAP00000008283
ENSP00000219746	ENSACAP00000012104
ENSP00000436500	ENSACAP00000004731
ENSP00000441032	ENSACAP00000005602
ENSP00000311657	ENSACAP00000020911
ENSP00000440288	ENSACAP00000015474
ENSP00000351717	ENSACAP00000003716
ENSP00000275016	ENSACAP00000012914
ENSP00000310721	ENSACAP00000016554
ENSP00000301645	ENSACAP00000005262
ENSP00000318867	ENSACAP00000006654
ENSP00000244043	ENSACAP00000015593
ENSP00000259808	ENSACAP00000017421
ENSP00000220751	ENSACAP00000010082
ENSP00000332454	ENSACAP00000005303
ENSP00000363852	ENSACAP00000008303
ENSP00000229729	ENSACAP00000010652
ENSP00000336888	ENSACAP00000015583
ENSP00000359892	ENSACAP00000011008
ENSP00000262032	ENSACAP00000005226
ENSP00000413025	ENSACAP00000008088
ENSP00000344544	ENSACAP00000003237
ENSP00000357881	ENSACAP00000017194
ENSP00000473474	ENSACAP00000001065
ENSP00000297679	ENSACAP00000007432
ENSP00000343526	ENSACAP00000007692
ENSP00000303434	ENSACAP00000002841
ENSP00000346643	ENSACAP00000009466
ENSP00000292432	ENSACAP00000006764
ENSP00000223366	ENSACAP00000011676
ENSP00000367542	ENSACAP00000010706
ENSP00000340243	ENSACAP00000016592
ENSP00000342962	ENSACAP00000001387
ENSP00000319796	ENSACAP00000004700
ENSP00000420863	ENSACAP00000016253
ENSP00000262809	ENSACAP00000010516
ENSP00000274140	ENSACAP00000002693
ENSP00000427223	ENSACAP00000005027
ENSP00000379118	ENSACAP00000020603
ENSP00000309141	ENSACAP00000002664
ENSP00000361672	ENSACAP00000000234
ENSP00000363377	ENSACAP00000014973
ENSP00000366746	ENSACAP00000005221
ENSP00000368818	ENSACAP00000009754
ENSP00000413697	ENSACAP00000019924
ENSP00000330631	ENSACAP00000021507
ENSP00000043402	ENSACAP00000018980
ENSP00000335397	ENSACAP00000007124
ENSP00000340328	ENSACAP00000017651
ENSP00000294635	ENSACAP00000011453
ENSP00000263212	ENSACAP00000001435
ENSP00000312411	ENSACAP00000010853
ENSP00000417659	ENSACAP00000020401
ENSP00000254654	ENSACAP00000006453
ENSP00000477341	ENSACAP00000012667
ENSP00000343909	ENSACAP00000020519
ENSP00000378830	ENSACAP00000012381
ENSP00000338673	ENSACAP00000016922
ENSP00000376345	ENSACAP00000006419
ENSP00000339186	ENSACAP00000007282
ENSP00000378324	ENSACAP00000005918
ENSP00000414398	ENSACAP00000008890
ENSP00000307280	ENSACAP00000010473
ENSP00000450385	ENSACAP00000021421
ENSP00000379210	ENSACAP00000005023
ENSP00000229824	ENSACAP00000016397
ENSP00000365630	ENSACAP00000002138
ENSP00000262094	ENSACAP00000008651
ENSP00000379601	ENSACAP00000006753
ENSP00000334300	ENSACAP00000003485
ENSP00000316674	ENSACAP00000002637
ENSP00000406933	ENSACAP00000006956
ENSP00000376615	ENSACAP00000016035
ENSP00000261461	ENSACAP00000022406
ENSP00000417963	ENSACAP00000005328
ENSP00000412733	ENSACAP00000007568
ENSP00000296220	ENSACAP00000009697
ENSP00000379804	ENSACAP00000014333
ENSP00000263650	ENSACAP00000000069
ENSP00000378349	ENSACAP00000011496
ENSP00000320893	ENSACAP00000005420
ENSP00000328327	ENSACAP00000009596
ENSP00000218008	ENSACAP00000003677
ENSP00000250111	ENSACAP00000014160
ENSP00000356790	ENSACAP00000010477
ENSP00000473410	ENSACAP00000010901
ENSP00000326708	ENSACAP00000000040
ENSP00000407158	ENSACAP00000004163
ENSP00000396538	ENSACAP00000003541
ENSP00000379330	ENSACAP00000012873
ENSP00000388910	ENSACAP00000009101
ENSP00000377867	ENSACAP00000009314
ENSP00000325748	ENSACAP00000001074
ENSP00000361892	ENSACAP00000011982
ENSP00000429744	ENSACAP00000015922
ENSP00000344546	ENSACAP00000005063
ENSP00000320485	ENSACAP00000016351
ENSP00000343126	ENSACAP00000014875
ENSP00000368189	ENSACAP00000021025
ENSP00000263270	ENSACAP00000011452
ENSP00000379891	ENSACAP00000004483
ENSP00000352167	ENSACAP00000022711
ENSP00000413049	ENSACAP00000001127
ENSP00000381782	ENSACAP00000012621
ENSP00000354886	ENSACAP00000013194
ENSP00000326305	ENSACAP00000011919
ENSP00000397563	ENSACAP00000016452
ENSP00000257177	ENSACAP00000008110
ENSP00000365130	ENSACAP00000000313
ENSP00000263063	ENSACAP00000007345
ENSP00000373420	ENSACAP00000010090
ENSP00000325594	ENSACAP00000016181
ENSP00000410862	ENSACAP00000017024
ENSP00000344465	ENSACAP00000014873
ENSP00000274473	ENSACAP00000002634
ENSP00000266214	ENSACAP00000010493
ENSP00000340330	ENSACAP00000008731
ENSP00000259021	ENSACAP00000004991
ENSP00000287239	ENSACAP00000008638
ENSP00000380136	ENSACAP00000012299
ENSP00000406037	ENSACAP00000006585
ENSP00000316948	ENSACAP00000016562
ENSP00000394734	ENSACAP00000016745
ENSP00000337194	ENSACAP00000017382
ENSP00000263864	ENSACAP00000021502
ENSP00000379602	ENSACAP00000006541
ENSP00000264245	ENSACAP00000004525
ENSP00000310561	ENSACAP00000023387
ENSP00000320038	ENSACAP00000019231
ENSP00000410561	ENSACAP00000007683
ENSP00000266970	ENSACAP00000005327
ENSP00000236877	ENSACAP00000013634
ENSP00000384582	ENSACAP00000013363
ENSP00000272433	ENSACAP00000007878
ENSP00000347924	ENSACAP00000016618
ENSP00000316905	ENSACAP00000014723
ENSP00000224807	ENSACAP00000022465
ENSP00000358909	ENSACAP00000004166
ENSP00000266771	ENSACAP00000014143
ENSP00000227880	ENSACAP00000017508
ENSP00000340402	ENSACAP00000014223
ENSP00000365686	ENSACAP00000016319
ENSP00000417085	ENSACAP00000004859
ENSP00000418070	ENSACAP00000007835
ENSP00000264025	ENSACAP00000003381
ENSP00000359000	ENSACAP00000014235
ENSP00000274710	ENSACAP00000002316
ENSP00000020673	ENSACAP00000013882
ENSP00000417706	ENSACAP00000000312
ENSP00000292782	ENSACAP00000007273
ENSP00000319482	ENSACAP00000009601
ENSP00000334625	ENSACAP00000005938
ENSP00000298139	ENSACAP00000003095
ENSP00000317636	ENSACAP00000006802
ENSP00000269228	ENSACAP00000000255
ENSP00000265565	ENSACAP00000000582
ENSP00000332353	ENSACAP00000012890
ENSP00000361266	ENSACAP00000015220
ENSP00000396722	ENSACAP00000017475
ENSP00000330862	ENSACAP00000019058
ENSP00000350364	ENSACAP00000004143
ENSP00000270642	ENSACAP00000010300
ENSP00000264668	ENSACAP00000010100
ENSP00000337459	ENSACAP00000016309
ENSP00000297494	ENSACAP00000008039
ENSP00000419970	ENSACAP00000011014
ENSP00000283122	ENSACAP00000000116
ENSP00000319052	ENSACAP00000015561
ENSP00000355480	ENSACAP00000020950
ENSP00000387536	ENSACAP00000007054
ENSP00000282077	ENSACAP00000015656
ENSP00000005178	ENSACAP00000013895
ENSP00000378405	ENSACAP00000006857
ENSP00000333633	ENSACAP00000013368
ENSP00000349076	ENSACAP00000005359
ENSP00000417654	ENSACAP00000010049
ENSP00000247138	ENSACAP00000007555
ENSP00000320566	ENSACAP00000006929
ENSP00000322142	ENSACAP00000000627
ENSP00000380024	ENSACAP00000006051
ENSP00000364929	ENSACAP00000006030
ENSP00000307183	ENSACAP00000006812
ENSP00000377265	ENSACAP00000005200
ENSP00000362332	ENSACAP00000017085
ENSP00000201031	ENSACAP00000015839
ENSP00000008391	ENSACAP00000020539
ENSP00000300209	ENSACAP00000012833
ENSP00000267273	ENSACAP00000002871
ENSP00000406482	ENSACAP00000013157
ENSP00000290902	ENSACAP00000010105
ENSP00000316881	ENSACAP00000000539
ENSP00000323696	ENSACAP00000013484
ENSP00000347649	ENSACAP00000017612
ENSP00000379951	ENSACAP00000005762
ENSP00000253024	ENSACAP00000010492
ENSP00000340507	ENSACAP00000013329
ENSP00000351250	ENSACAP00000002604
ENSP00000384876	ENSACAP00000009851
ENSP00000428657	ENSACAP00000009897
ENSP00000419185	ENSACAP00000009206
ENSP00000261726	ENSACAP00000002273
ENSP00000417003	ENSACAP00000009605
ENSP00000268676	ENSACAP00000009365
ENSP00000270560	ENSACAP00000022120
ENSP00000305852	ENSACAP00000007351
ENSP00000433102	ENSACAP00000015084
ENSP00000373272	ENSACAP00000014625
ENSP00000305161	ENSACAP00000007687
ENSP00000338964	ENSACAP00000009415
ENSP00000381340	ENSACAP00000003382
ENSP00000323714	ENSACAP00000006904
ENSP00000393324	ENSACAP00000013644
ENSP00000242480	ENSACAP00000010152
ENSP00000331327	ENSACAP00000002453
ENSP00000177694	ENSACAP00000006911
ENSP00000374205	ENSACAP00000011639
ENSP00000409738	ENSACAP00000001501
ENSP00000321951	ENSACAP00000008250
ENSP00000314380	ENSACAP00000005246
ENSP00000437402	ENSACAP00000005451
ENSP00000387194	ENSACAP00000009946
ENSP00000221476	ENSACAP00000005341
ENSP00000357106	ENSACAP00000014643
ENSP00000227348	ENSACAP00000004818
ENSP00000395359	ENSACAP00000001155
ENSP00000475496	ENSACAP00000012306
ENSP00000268099	ENSACAP00000016795
ENSP00000307275	ENSACAP00000002704
ENSP00000355387	ENSACAP00000016876
ENSP00000302177	ENSACAP00000002265
ENSP00000324944	ENSACAP00000003075
ENSP00000314196	ENSACAP00000002860
ENSP00000245615	ENSACAP00000015895
