ENSTGUP00000008915	ENSMGAP00000004951
ENSTGUP00000002402	ENSMGAP00000005019
ENSTGUP00000007645	ENSMGAP00000017433
ENSTGUP00000006436	ENSMGAP00000003400
ENSTGUP00000005879	ENSMGAP00000004974
ENSTGUP00000006914	ENSMGAP00000000263
ENSTGUP00000007511	ENSMGAP00000004440
ENSTGUP00000017731	ENSMGAP00000011375
ENSTGUP00000006604	ENSMGAP00000015477
ENSTGUP00000010836	ENSMGAP00000015641
ENSTGUP00000010829	ENSMGAP00000015643
ENSTGUP00000001184	ENSMGAP00000005906
ENSTGUP00000012380	ENSMGAP00000012790
ENSTGUP00000012993	ENSMGAP00000014176
ENSTGUP00000002856	ENSMGAP00000003923
ENSTGUP00000003773	ENSMGAP00000005521
ENSTGUP00000015109	ENSMGAP00000014885
ENSTGUP00000006194	ENSMGAP00000004134
ENSTGUP00000006171	ENSMGAP00000010708
ENSTGUP00000003831	ENSMGAP00000005425
ENSTGUP00000012053	ENSMGAP00000013930
ENSTGUP00000000074	ENSMGAP00000015553
ENSTGUP00000004874	ENSMGAP00000006584
ENSTGUP00000003687	ENSMGAP00000010970
ENSTGUP00000014440	ENSMGAP00000004536
ENSTGUP00000003097	ENSMGAP00000017297
ENSTGUP00000012631	ENSMGAP00000013514
ENSTGUP00000007507	ENSMGAP00000006458
ENSTGUP00000001791	ENSMGAP00000005038
ENSTGUP00000016009	ENSMGAP00000007620
ENSTGUP00000000912	ENSMGAP00000010640
ENSTGUP00000002202	ENSMGAP00000003316
ENSTGUP00000002880	ENSMGAP00000010940
ENSTGUP00000015082	ENSMGAP00000000717
ENSTGUP00000009297	ENSMGAP00000009863
ENSTGUP00000013988	ENSMGAP00000015359
ENSTGUP00000012744	ENSMGAP00000014406
ENSTGUP00000001335	ENSMGAP00000007874
ENSTGUP00000012121	ENSMGAP00000014447
ENSTGUP00000008788	ENSMGAP00000009216
ENSTGUP00000000920	ENSMGAP00000006576
ENSTGUP00000006514	ENSMGAP00000002105
ENSTGUP00000000930	ENSMGAP00000000989
ENSTGUP00000013468	ENSMGAP00000014828
ENSTGUP00000012077	ENSMGAP00000012273
ENSTGUP00000005575	ENSMGAP00000002149
ENSTGUP00000003238	ENSMGAP00000006010
ENSTGUP00000007749	ENSMGAP00000006655
ENSTGUP00000007512	ENSMGAP00000011192
ENSTGUP00000008852	ENSMGAP00000007478
ENSTGUP00000015232	ENSMGAP00000000881
ENSTGUP00000000891	ENSMGAP00000000569
ENSTGUP00000006775	ENSMGAP00000007423
ENSTGUP00000013703	ENSMGAP00000015017
ENSTGUP00000014768	ENSMGAP00000009294
ENSTGUP00000009104	ENSMGAP00000009228
ENSTGUP00000000722	ENSMGAP00000004502
ENSTGUP00000000421	ENSMGAP00000004061
ENSTGUP00000008875	ENSMGAP00000009429
ENSTGUP00000013567	ENSMGAP00000014704
ENSTGUP00000016110	ENSMGAP00000001781
ENSTGUP00000004977	ENSMGAP00000001755
ENSTGUP00000004581	ENSMGAP00000000418
ENSTGUP00000007902	ENSMGAP00000007539
ENSTGUP00000001208	ENSMGAP00000007950
ENSTGUP00000000228	ENSMGAP00000011139
ENSTGUP00000002076	ENSMGAP00000017915
ENSTGUP00000013718	ENSMGAP00000004635
ENSTGUP00000000180	ENSMGAP00000003014
ENSTGUP00000013997	ENSMGAP00000015236
ENSTGUP00000000954	ENSMGAP00000003757
ENSTGUP00000005782	ENSMGAP00000007537
ENSTGUP00000005006	ENSMGAP00000010071
ENSTGUP00000004870	ENSMGAP00000001751
ENSTGUP00000008308	ENSMGAP00000008128
ENSTGUP00000013118	ENSMGAP00000014040
ENSTGUP00000003528	ENSMGAP00000010374
ENSTGUP00000007385	ENSMGAP00000001944
ENSTGUP00000012794	ENSMGAP00000013734
ENSTGUP00000011773	ENSMGAP00000016788
ENSTGUP00000006138	ENSMGAP00000010718
ENSTGUP00000005627	ENSMGAP00000000217
ENSTGUP00000003067	ENSMGAP00000002878
ENSTGUP00000005646	ENSMGAP00000000231
ENSTGUP00000004744	ENSMGAP00000004553
ENSTGUP00000001808	ENSMGAP00000005399
ENSTGUP00000007259	ENSMGAP00000001795
ENSTGUP00000010021	ENSMGAP00000012130
ENSTGUP00000000269	ENSMGAP00000007701
ENSTGUP00000000869	ENSMGAP00000005494
ENSTGUP00000011510	ENSMGAP00000000432
ENSTGUP00000004236	ENSMGAP00000006701
ENSTGUP00000002050	ENSMGAP00000010996
ENSTGUP00000001084	ENSMGAP00000004600
ENSTGUP00000017815	ENSMGAP00000004769
ENSTGUP00000004062	ENSMGAP00000008135
ENSTGUP00000004566	ENSMGAP00000007577
ENSTGUP00000001855	ENSMGAP00000011438
ENSTGUP00000007193	ENSMGAP00000007028
ENSTGUP00000010614	ENSMGAP00000010974
ENSTGUP00000004826	ENSMGAP00000005346
ENSTGUP00000011805	ENSMGAP00000011943
ENSTGUP00000009073	ENSMGAP00000006673
ENSTGUP00000010457	ENSMGAP00000019154
ENSTGUP00000006886	ENSMGAP00000018976
ENSTGUP00000005604	ENSMGAP00000002706
ENSTGUP00000000719	ENSMGAP00000005664
ENSTGUP00000010484	ENSMGAP00000008306
ENSTGUP00000001484	ENSMGAP00000008756
ENSTGUP00000017785	ENSMGAP00000005181
ENSTGUP00000008916	ENSMGAP00000012044
ENSTGUP00000008359	ENSMGAP00000015568
ENSTGUP00000003284	ENSMGAP00000001772
ENSTGUP00000005747	ENSMGAP00000005589
ENSTGUP00000008668	ENSMGAP00000006564
ENSTGUP00000013552	ENSMGAP00000014728
ENSTGUP00000001739	ENSMGAP00000000062
ENSTGUP00000011408	ENSMGAP00000013566
ENSTGUP00000013534	ENSMGAP00000014847
ENSTGUP00000004152	ENSMGAP00000008226
ENSTGUP00000003859	ENSMGAP00000010913
ENSTGUP00000002713	ENSMGAP00000019750
ENSTGUP00000003338	ENSMGAP00000001752
ENSTGUP00000001990	ENSMGAP00000001356
ENSTGUP00000013056	ENSMGAP00000014625
ENSTGUP00000004793	ENSMGAP00000007848
ENSTGUP00000017288	ENSMGAP00000006346
ENSTGUP00000000367	ENSMGAP00000010300
ENSTGUP00000003797	ENSMGAP00000003617
ENSTGUP00000009690	ENSMGAP00000009825
ENSTGUP00000002403	ENSMGAP00000000491
ENSTGUP00000002610	ENSMGAP00000001010
ENSTGUP00000002629	ENSMGAP00000017672
ENSTGUP00000004020	ENSMGAP00000011815
ENSTGUP00000002508	ENSMGAP00000007078
ENSTGUP00000010870	ENSMGAP00000011134
ENSTGUP00000010505	ENSMGAP00000013574
ENSTGUP00000007392	ENSMGAP00000000718
ENSTGUP00000007382	ENSMGAP00000000730
ENSTGUP00000005260	ENSMGAP00000012182
ENSTGUP00000002415	ENSMGAP00000002485
ENSTGUP00000005613	ENSMGAP00000018544
ENSTGUP00000010013	ENSMGAP00000015716
ENSTGUP00000003654	ENSMGAP00000003367
ENSTGUP00000007258	ENSMGAP00000009944
ENSTGUP00000003652	ENSMGAP00000003349
ENSTGUP00000007261	ENSMGAP00000009979
ENSTGUP00000013781	ENSMGAP00000015126
ENSTGUP00000003258	ENSMGAP00000016886
ENSTGUP00000002891	ENSMGAP00000009563
ENSTGUP00000001094	ENSMGAP00000002250
ENSTGUP00000007581	ENSMGAP00000007392
ENSTGUP00000002648	ENSMGAP00000006485
ENSTGUP00000002636	ENSMGAP00000005750
ENSTGUP00000001638	ENSMGAP00000003262
ENSTGUP00000002190	ENSMGAP00000003178
ENSTGUP00000008066	ENSMGAP00000011128
ENSTGUP00000002551	ENSMGAP00000006160
ENSTGUP00000013312	ENSMGAP00000014264
ENSTGUP00000012297	ENSMGAP00000014136
ENSTGUP00000010642	ENSMGAP00000010923
ENSTGUP00000010646	ENSMGAP00000010925
ENSTGUP00000010652	ENSMGAP00000010926
ENSTGUP00000012303	ENSMGAP00000014141
ENSTGUP00000012301	ENSMGAP00000014140
ENSTGUP00000011871	ENSMGAP00000012934
ENSTGUP00000016488	ENSMGAP00000019333
ENSTGUP00000000761	ENSMGAP00000005125
ENSTGUP00000000742	ENSMGAP00000008318
ENSTGUP00000006629	ENSMGAP00000009205
ENSTGUP00000003796	ENSMGAP00000010936
ENSTGUP00000006828	ENSMGAP00000006503
ENSTGUP00000010330	ENSMGAP00000008212
ENSTGUP00000006934	ENSMGAP00000006256
ENSTGUP00000011117	ENSMGAP00000011385
ENSTGUP00000000374	ENSMGAP00000001142
ENSTGUP00000011415	ENSMGAP00000004457
ENSTGUP00000001560	ENSMGAP00000008988
ENSTGUP00000009514	ENSMGAP00000008872
ENSTGUP00000002561	ENSMGAP00000000679
ENSTGUP00000013124	ENSMGAP00000014048
ENSTGUP00000004234	ENSMGAP00000008543
ENSTGUP00000012102	ENSMGAP00000012880
ENSTGUP00000002417	ENSMGAP00000004391
ENSTGUP00000013346	ENSMGAP00000014779
ENSTGUP00000003376	ENSMGAP00000001404
ENSTGUP00000003334	ENSMGAP00000001360
ENSTGUP00000007617	ENSMGAP00000006544
ENSTGUP00000013353	ENSMGAP00000014780
ENSTGUP00000017623	ENSMGAP00000004289
ENSTGUP00000012988	ENSMGAP00000013592
ENSTGUP00000009670	ENSMGAP00000018702
ENSTGUP00000009752	ENSMGAP00000008743
ENSTGUP00000008638	ENSMGAP00000011153
ENSTGUP00000009518	ENSMGAP00000008868
ENSTGUP00000010255	ENSMGAP00000016657
ENSTGUP00000008451	ENSMGAP00000016637
ENSTGUP00000000354	ENSMGAP00000003533
ENSTGUP00000004287	ENSMGAP00000009178
ENSTGUP00000008720	ENSMGAP00000009175
ENSTGUP00000007254	ENSMGAP00000005907
ENSTGUP00000009842	ENSMGAP00000007940
ENSTGUP00000004389	ENSMGAP00000008522
ENSTGUP00000004395	ENSMGAP00000008533
ENSTGUP00000004777	ENSMGAP00000000892
ENSTGUP00000014311	ENSMGAP00000005766
ENSTGUP00000005434	ENSMGAP00000009232
ENSTGUP00000010722	ENSMGAP00000010471
ENSTGUP00000009765	ENSMGAP00000009367
ENSTGUP00000006018	ENSMGAP00000009748
ENSTGUP00000017723	ENSMGAP00000006262
ENSTGUP00000013065	ENSMGAP00000014629
ENSTGUP00000012921	ENSMGAP00000013528
ENSTGUP00000007668	ENSMGAP00000006394
ENSTGUP00000009461	ENSMGAP00000007961
ENSTGUP00000005049	ENSMGAP00000001311
ENSTGUP00000005107	ENSMGAP00000002246
ENSTGUP00000008600	ENSMGAP00000008585
ENSTGUP00000013380	ENSMGAP00000014342
ENSTGUP00000013381	ENSMGAP00000014345
ENSTGUP00000009936	ENSMGAP00000009243
ENSTGUP00000001041	ENSMGAP00000000980
ENSTGUP00000005581	ENSMGAP00000004449
ENSTGUP00000010929	ENSMGAP00000011431
ENSTGUP00000002766	ENSMGAP00000005911
ENSTGUP00000017804	ENSMGAP00000018438
ENSTGUP00000009875	ENSMGAP00000009521
ENSTGUP00000013550	ENSMGAP00000014536
ENSTGUP00000012344	ENSMGAP00000013170
ENSTGUP00000008206	ENSMGAP00000019340
ENSTGUP00000013344	ENSMGAP00000014778
ENSTGUP00000011271	ENSMGAP00000011272
ENSTGUP00000003913	ENSMGAP00000001815
ENSTGUP00000012263	ENSMGAP00000014108
ENSTGUP00000002408	ENSMGAP00000000499
ENSTGUP00000013640	ENSMGAP00000015092
ENSTGUP00000004846	ENSMGAP00000015391
ENSTGUP00000005066	ENSMGAP00000001688
ENSTGUP00000002184	ENSMGAP00000007468
ENSTGUP00000005736	ENSMGAP00000007440
ENSTGUP00000001303	ENSMGAP00000007893
ENSTGUP00000000660	ENSMGAP00000003355
ENSTGUP00000008161	ENSMGAP00000016365
ENSTGUP00000007176	ENSMGAP00000016855
ENSTGUP00000008762	ENSMGAP00000011869
ENSTGUP00000003743	ENSMGAP00000002479
ENSTGUP00000005880	ENSMGAP00000000518
ENSTGUP00000002152	ENSMGAP00000004109
ENSTGUP00000002182	ENSMGAP00000004197
ENSTGUP00000000131	ENSMGAP00000007245
ENSTGUP00000001243	ENSMGAP00000002593
ENSTGUP00000007549	ENSMGAP00000001163
ENSTGUP00000011679	ENSMGAP00000011290
ENSTGUP00000000911	ENSMGAP00000005748
ENSTGUP00000001271	ENSMGAP00000007519
ENSTGUP00000013613	ENSMGAP00000014476
ENSTGUP00000008110	ENSMGAP00000011156
ENSTGUP00000002531	ENSMGAP00000000369
ENSTGUP00000000391	ENSMGAP00000001091
ENSTGUP00000011372	ENSMGAP00000013568
ENSTGUP00000012284	ENSMGAP00000014124
ENSTGUP00000018091	ENSMGAP00000015691
ENSTGUP00000003299	ENSMGAP00000001251
ENSTGUP00000003300	ENSMGAP00000001264
ENSTGUP00000003301	ENSMGAP00000001278
ENSTGUP00000010657	ENSMGAP00000007400
ENSTGUP00000003950	ENSMGAP00000004554
ENSTGUP00000008770	ENSMGAP00000008420
ENSTGUP00000001715	ENSMGAP00000000085
ENSTGUP00000007703	ENSMGAP00000004074
ENSTGUP00000009107	ENSMGAP00000000745
ENSTGUP00000016151	ENSMGAP00000018204
ENSTGUP00000007045	ENSMGAP00000006573
ENSTGUP00000007634	ENSMGAP00000006390
ENSTGUP00000009034	ENSMGAP00000000887
ENSTGUP00000000219	ENSMGAP00000002328
ENSTGUP00000010553	ENSMGAP00000008286
ENSTGUP00000005825	ENSMGAP00000015441
ENSTGUP00000006209	ENSMGAP00000004156
ENSTGUP00000011373	ENSMGAP00000011947
ENSTGUP00000011300	ENSMGAP00000011837
ENSTGUP00000011340	ENSMGAP00000011911
ENSTGUP00000011360	ENSMGAP00000011893
ENSTGUP00000003563	ENSMGAP00000000762
ENSTGUP00000008691	ENSMGAP00000008714
ENSTGUP00000012771	ENSMGAP00000014425
ENSTGUP00000003264	ENSMGAP00000010586
ENSTGUP00000009628	ENSMGAP00000008852
ENSTGUP00000008404	ENSMGAP00000001395
ENSTGUP00000016541	ENSMGAP00000005769
ENSTGUP00000000840	ENSMGAP00000002271
ENSTGUP00000004600	ENSMGAP00000009255
ENSTGUP00000007997	ENSMGAP00000008040
ENSTGUP00000006527	ENSMGAP00000008876
ENSTGUP00000000237	ENSMGAP00000003422
ENSTGUP00000013904	ENSMGAP00000015273
ENSTGUP00000000233	ENSMGAP00000003689
ENSTGUP00000008091	ENSMGAP00000011606
ENSTGUP00000008275	ENSMGAP00000011689
ENSTGUP00000011791	ENSMGAP00000014117
ENSTGUP00000011245	ENSMGAP00000015781
ENSTGUP00000007184	ENSMGAP00000009299
ENSTGUP00000013609	ENSMGAP00000015109
ENSTGUP00000013603	ENSMGAP00000015118
ENSTGUP00000005413	ENSMGAP00000003710
ENSTGUP00000011588	ENSMGAP00000011655
ENSTGUP00000008513	ENSMGAP00000008858
ENSTGUP00000012176	ENSMGAP00000014047
ENSTGUP00000011569	ENSMGAP00000011625
ENSTGUP00000003599	ENSMGAP00000011759
ENSTGUP00000015009	ENSMGAP00000000744
ENSTGUP00000004590	ENSMGAP00000005385
ENSTGUP00000017430	ENSMGAP00000005473
ENSTGUP00000013582	ENSMGAP00000014873
ENSTGUP00000002938	ENSMGAP00000004123
ENSTGUP00000009423	ENSMGAP00000006694
ENSTGUP00000010729	ENSMGAP00000012758
ENSTGUP00000009389	ENSMGAP00000016378
ENSTGUP00000006373	ENSMGAP00000006418
ENSTGUP00000011052	ENSMGAP00000013338
ENSTGUP00000004516	ENSMGAP00000007499
ENSTGUP00000004301	ENSMGAP00000011954
ENSTGUP00000004460	ENSMGAP00000007180
ENSTGUP00000004279	ENSMGAP00000002574
ENSTGUP00000005971	ENSMGAP00000003711
ENSTGUP00000013320	ENSMGAP00000014767
ENSTGUP00000001792	ENSMGAP00000004080
ENSTGUP00000003524	ENSMGAP00000000265
ENSTGUP00000013464	ENSMGAP00000014427
ENSTGUP00000005217	ENSMGAP00000006889
ENSTGUP00000010583	ENSMGAP00000010920
ENSTGUP00000012701	ENSMGAP00000013161
ENSTGUP00000013721	ENSMGAP00000015001
ENSTGUP00000008583	ENSMGAP00000010402
ENSTGUP00000001687	ENSMGAP00000010056
ENSTGUP00000010139	ENSMGAP00000009371
ENSTGUP00000016204	ENSMGAP00000017047
ENSTGUP00000000051	ENSMGAP00000000497
ENSTGUP00000002961	ENSMGAP00000001518
ENSTGUP00000005561	ENSMGAP00000003946
ENSTGUP00000003162	ENSMGAP00000000859
ENSTGUP00000006712	ENSMGAP00000011580
ENSTGUP00000017666	ENSMGAP00000002371
ENSTGUP00000006931	ENSMGAP00000008030
ENSTGUP00000004803	ENSMGAP00000002995
ENSTGUP00000013116	ENSMGAP00000013724
ENSTGUP00000010757	ENSMGAP00000016876
ENSTGUP00000003663	ENSMGAP00000005211
ENSTGUP00000008481	ENSMGAP00000002247
ENSTGUP00000011888	ENSMGAP00000014035
ENSTGUP00000004522	ENSMGAP00000008702
ENSTGUP00000006158	ENSMGAP00000005660
ENSTGUP00000009193	ENSMGAP00000008955
ENSTGUP00000008651	ENSMGAP00000009069
ENSTGUP00000007870	ENSMGAP00000003984
ENSTGUP00000015337	ENSMGAP00000014886
ENSTGUP00000008844	ENSMGAP00000011317
ENSTGUP00000004191	ENSMGAP00000004230
ENSTGUP00000009196	ENSMGAP00000007542
ENSTGUP00000009228	ENSMGAP00000007616
ENSTGUP00000012466	ENSMGAP00000014484
ENSTGUP00000010031	ENSMGAP00000012872
ENSTGUP00000014507	ENSMGAP00000004677
ENSTGUP00000003709	ENSMGAP00000003309
ENSTGUP00000005681	ENSMGAP00000005030
ENSTGUP00000009575	ENSMGAP00000011808
ENSTGUP00000005669	ENSMGAP00000017043
ENSTGUP00000005672	ENSMGAP00000019018
ENSTGUP00000004672	ENSMGAP00000003362
ENSTGUP00000007357	ENSMGAP00000010091
ENSTGUP00000003986	ENSMGAP00000012887
ENSTGUP00000002936	ENSMGAP00000004102
ENSTGUP00000005026	ENSMGAP00000002106
ENSTGUP00000004960	ENSMGAP00000002027
ENSTGUP00000006525	ENSMGAP00000006474
ENSTGUP00000017474	ENSMGAP00000004874
ENSTGUP00000017458	ENSMGAP00000019025
ENSTGUP00000001355	ENSMGAP00000001538
ENSTGUP00000007730	ENSMGAP00000011398
ENSTGUP00000016201	ENSMGAP00000001897
ENSTGUP00000004958	ENSMGAP00000009060
ENSTGUP00000017828	ENSMGAP00000004606
ENSTGUP00000001481	ENSMGAP00000000642
ENSTGUP00000004119	ENSMGAP00000012789
ENSTGUP00000004758	ENSMGAP00000000728
ENSTGUP00000001167	ENSMGAP00000009313
ENSTGUP00000001284	ENSMGAP00000008536
ENSTGUP00000005641	ENSMGAP00000007353
ENSTGUP00000005351	ENSMGAP00000003187
ENSTGUP00000008758	ENSMGAP00000016272
ENSTGUP00000005051	ENSMGAP00000009488
ENSTGUP00000008220	ENSMGAP00000005069
ENSTGUP00000005553	ENSMGAP00000009336
ENSTGUP00000006849	ENSMGAP00000006249
ENSTGUP00000010366	ENSMGAP00000008115
ENSTGUP00000001424	ENSMGAP00000005020
ENSTGUP00000018065	ENSMGAP00000016743
ENSTGUP00000011327	ENSMGAP00000010642
ENSTGUP00000004064	ENSMGAP00000003290
ENSTGUP00000006355	ENSMGAP00000000429
ENSTGUP00000012708	ENSMGAP00000013176
ENSTGUP00000013371	ENSMGAP00000014789
ENSTGUP00000014657	ENSMGAP00000010924
ENSTGUP00000006126	ENSMGAP00000008195
ENSTGUP00000002118	ENSMGAP00000004589
ENSTGUP00000011714	ENSMGAP00000013287
ENSTGUP00000012054	ENSMGAP00000016002
ENSTGUP00000000875	ENSMGAP00000004013
ENSTGUP00000001057	ENSMGAP00000006825
ENSTGUP00000000004	ENSMGAP00000010088
ENSTGUP00000011132	ENSMGAP00000013864
ENSTGUP00000005347	ENSMGAP00000003424
ENSTGUP00000012638	ENSMGAP00000014323
ENSTGUP00000002235	ENSMGAP00000008303
ENSTGUP00000010871	ENSMGAP00000013753
ENSTGUP00000014902	ENSMGAP00000001419
ENSTGUP00000003269	ENSMGAP00000001207
ENSTGUP00000008191	ENSMGAP00000017075
ENSTGUP00000001925	ENSMGAP00000017633
ENSTGUP00000001177	ENSMGAP00000019054
ENSTGUP00000010058	ENSMGAP00000009053
ENSTGUP00000007219	ENSMGAP00000011324
ENSTGUP00000008212	ENSMGAP00000019123
ENSTGUP00000012158	ENSMGAP00000015982
ENSTGUP00000009157	ENSMGAP00000012956
ENSTGUP00000012145	ENSMGAP00000013146
ENSTGUP00000002564	ENSMGAP00000005889
ENSTGUP00000010617	ENSMGAP00000010883
ENSTGUP00000015957	ENSMGAP00000005466
ENSTGUP00000012594	ENSMGAP00000013654
ENSTGUP00000010318	ENSMGAP00000012674
ENSTGUP00000000419	ENSMGAP00000003801
ENSTGUP00000009545	ENSMGAP00000008615
ENSTGUP00000008754	ENSMGAP00000009543
ENSTGUP00000005134	ENSMGAP00000002974
ENSTGUP00000008315	ENSMGAP00000012582
ENSTGUP00000003893	ENSMGAP00000018681
ENSTGUP00000009747	ENSMGAP00000009417
ENSTGUP00000011981	ENSMGAP00000013979
ENSTGUP00000007205	ENSMGAP00000008333
ENSTGUP00000004174	ENSMGAP00000004205
ENSTGUP00000010482	ENSMGAP00000012517
ENSTGUP00000001775	ENSMGAP00000001548
ENSTGUP00000008537	ENSMGAP00000010456
ENSTGUP00000010492	ENSMGAP00000015665
ENSTGUP00000002386	ENSMGAP00000002696
ENSTGUP00000001392	ENSMGAP00000001583
ENSTGUP00000008173	ENSMGAP00000011636
ENSTGUP00000009905	ENSMGAP00000012013
ENSTGUP00000009932	ENSMGAP00000012026
ENSTGUP00000002273	ENSMGAP00000005302
ENSTGUP00000002291	ENSMGAP00000010401
ENSTGUP00000011073	ENSMGAP00000016750
ENSTGUP00000004253	ENSMGAP00000004470
ENSTGUP00000008716	ENSMGAP00000016579
ENSTGUP00000008640	ENSMGAP00000016575
ENSTGUP00000008979	ENSMGAP00000017241
ENSTGUP00000007190	ENSMGAP00000010142
ENSTGUP00000011516	ENSMGAP00000011560
ENSTGUP00000007729	ENSMGAP00000004515
ENSTGUP00000013806	ENSMGAP00000015154
ENSTGUP00000004537	ENSMGAP00000001088
ENSTGUP00000010327	ENSMGAP00000017435
ENSTGUP00000015676	ENSMGAP00000010087
ENSTGUP00000005720	ENSMGAP00000003283
ENSTGUP00000013634	ENSMGAP00000015103
ENSTGUP00000011596	ENSMGAP00000011665
ENSTGUP00000011472	ENSMGAP00000011513
ENSTGUP00000000259	ENSMGAP00000016934
ENSTGUP00000002243	ENSMGAP00000018477
ENSTGUP00000012150	ENSMGAP00000012426
ENSTGUP00000005584	ENSMGAP00000015431
ENSTGUP00000000273	ENSMGAP00000004052
ENSTGUP00000000348	ENSMGAP00000007852
ENSTGUP00000005800	ENSMGAP00000007586
ENSTGUP00000010766	ENSMGAP00000012793
ENSTGUP00000008158	ENSMGAP00000006493
ENSTGUP00000002315	ENSMGAP00000002459
ENSTGUP00000011706	ENSMGAP00000012144
ENSTGUP00000004524	ENSMGAP00000007000
ENSTGUP00000009307	ENSMGAP00000018506
ENSTGUP00000004490	ENSMGAP00000003019
ENSTGUP00000010115	ENSMGAP00000012292
ENSTGUP00000002464	ENSMGAP00000003179
ENSTGUP00000013397	ENSMGAP00000016183
ENSTGUP00000011921	ENSMGAP00000016019
ENSTGUP00000008113	ENSMGAP00000012498
ENSTGUP00000004114	ENSMGAP00000004241
ENSTGUP00000000496	ENSMGAP00000004359
ENSTGUP00000013261	ENSMGAP00000017211
ENSTGUP00000013268	ENSMGAP00000014745
ENSTGUP00000013258	ENSMGAP00000014741
ENSTGUP00000003236	ENSMGAP00000005564
ENSTGUP00000011148	ENSMGAP00000010368
ENSTGUP00000001928	ENSMGAP00000017391
ENSTGUP00000000739	ENSMGAP00000005791
ENSTGUP00000014708	ENSMGAP00000000187
ENSTGUP00000005396	ENSMGAP00000003686
ENSTGUP00000012194	ENSMGAP00000014073
ENSTGUP00000010522	ENSMGAP00000010967
ENSTGUP00000003660	ENSMGAP00000003799
ENSTGUP00000001065	ENSMGAP00000004977
ENSTGUP00000007834	ENSMGAP00000006067
ENSTGUP00000005998	ENSMGAP00000001692
ENSTGUP00000000081	ENSMGAP00000000222
ENSTGUP00000002845	ENSMGAP00000006182
ENSTGUP00000012497	ENSMGAP00000014252
ENSTGUP00000012368	ENSMGAP00000016530
ENSTGUP00000007495	ENSMGAP00000001734
ENSTGUP00000012460	ENSMGAP00000013517
ENSTGUP00000001329	ENSMGAP00000007819
ENSTGUP00000009743	ENSMGAP00000008651
ENSTGUP00000007525	ENSMGAP00000004409
ENSTGUP00000011194	ENSMGAP00000013445
ENSTGUP00000005970	ENSMGAP00000019781
ENSTGUP00000010901	ENSMGAP00000016437
ENSTGUP00000006607	ENSMGAP00000016406
ENSTGUP00000003184	ENSMGAP00000017742
ENSTGUP00000007643	ENSMGAP00000007199
ENSTGUP00000011495	ENSMGAP00000010914
ENSTGUP00000006741	ENSMGAP00000005390
ENSTGUP00000002579	ENSMGAP00000008577
ENSTGUP00000007324	ENSMGAP00000009032
ENSTGUP00000001772	ENSMGAP00000003987
ENSTGUP00000009243	ENSMGAP00000008400
ENSTGUP00000001909	ENSMGAP00000012893
ENSTGUP00000002283	ENSMGAP00000005258
ENSTGUP00000003698	ENSMGAP00000018005
ENSTGUP00000008195	ENSMGAP00000008339
ENSTGUP00000008899	ENSMGAP00000009787
ENSTGUP00000010036	ENSMGAP00000015712
ENSTGUP00000001501	ENSMGAP00000005690
ENSTGUP00000015876	ENSMGAP00000004158
ENSTGUP00000003402	ENSMGAP00000003532
