ENSACAP00000005936	ENSCAFP00000014731
ENSACAP00000003697	ENSCAFP00000003716
ENSACAP00000003684	ENSCAFP00000003708
ENSACAP00000016389	ENSCAFP00000022960
ENSACAP00000009858	ENSCAFP00000020170
ENSACAP00000010293	ENSCAFP00000012996
ENSACAP00000023319	ENSCAFP00000027024
ENSACAP00000008109	ENSCAFP00000018239
ENSACAP00000015543	ENSCAFP00000001241
ENSACAP00000022398	ENSCAFP00000013467
ENSACAP00000008947	ENSCAFP00000006489
ENSACAP00000000177	ENSCAFP00000019378
ENSACAP00000014072	ENSCAFP00000021364
ENSACAP00000009330	ENSCAFP00000006932
ENSACAP00000011900	ENSCAFP00000014166
ENSACAP00000019169	ENSCAFP00000009996
ENSACAP00000005299	ENSCAFP00000004775
ENSACAP00000012130	ENSCAFP00000010009
ENSACAP00000008363	ENSCAFP00000011007
ENSACAP00000003188	ENSCAFP00000030087
ENSACAP00000009106	ENSCAFP00000001366
ENSACAP00000014036	ENSCAFP00000001321
ENSACAP00000007060	ENSCAFP00000043077
ENSACAP00000017072	ENSCAFP00000004485
ENSACAP00000020615	ENSCAFP00000040526
ENSACAP00000000594	ENSCAFP00000015470
ENSACAP00000016644	ENSCAFP00000042532
ENSACAP00000008014	ENSCAFP00000035513
ENSACAP00000000027	ENSCAFP00000012421
ENSACAP00000000226	ENSCAFP00000024642
ENSACAP00000007738	ENSCAFP00000010770
ENSACAP00000013047	ENSCAFP00000024338
ENSACAP00000020901	ENSCAFP00000006187
ENSACAP00000003852	ENSCAFP00000025113
ENSACAP00000002156	ENSCAFP00000005216
ENSACAP00000006137	ENSCAFP00000017041
ENSACAP00000017488	ENSCAFP00000039810
ENSACAP00000006741	ENSCAFP00000012677
ENSACAP00000021155	ENSCAFP00000002774
ENSACAP00000000981	ENSCAFP00000020878
ENSACAP00000009209	ENSCAFP00000002131
ENSACAP00000003253	ENSCAFP00000003031
ENSACAP00000015434	ENSCAFP00000024289
ENSACAP00000013959	ENSCAFP00000001307
ENSACAP00000012315	ENSCAFP00000042339
ENSACAP00000016268	ENSCAFP00000008984
ENSACAP00000021250	ENSCAFP00000036076
ENSACAP00000016001	ENSCAFP00000008259
ENSACAP00000006310	ENSCAFP00000026616
ENSACAP00000013784	ENSCAFP00000028568
ENSACAP00000001714	ENSCAFP00000028560
ENSACAP00000005065	ENSCAFP00000041145
ENSACAP00000000988	ENSCAFP00000018218
ENSACAP00000002892	ENSCAFP00000031887
ENSACAP00000002010	ENSCAFP00000020325
ENSACAP00000002775	ENSCAFP00000035638
ENSACAP00000007811	ENSCAFP00000010756
ENSACAP00000014205	ENSCAFP00000004620
ENSACAP00000019837	ENSCAFP00000008390
ENSACAP00000003452	ENSCAFP00000028873
ENSACAP00000022607	ENSCAFP00000025456
ENSACAP00000001464	ENSCAFP00000028160
ENSACAP00000023161	ENSCAFP00000030020
ENSACAP00000007133	ENSCAFP00000018839
ENSACAP00000009262	ENSCAFP00000041849
ENSACAP00000007144	ENSCAFP00000042471
ENSACAP00000007166	ENSCAFP00000037953
ENSACAP00000011447	ENSCAFP00000009132
ENSACAP00000012845	ENSCAFP00000015936
ENSACAP00000003423	ENSCAFP00000008783
ENSACAP00000013145	ENSCAFP00000003035
ENSACAP00000008617	ENSCAFP00000031600
ENSACAP00000016589	ENSCAFP00000013874
ENSACAP00000016612	ENSCAFP00000039644
ENSACAP00000000766	ENSCAFP00000017037
ENSACAP00000001550	ENSCAFP00000001426
ENSACAP00000005884	ENSCAFP00000010681
ENSACAP00000016217	ENSCAFP00000008523
ENSACAP00000013260	ENSCAFP00000021553
ENSACAP00000010212	ENSCAFP00000029683
ENSACAP00000012546	ENSCAFP00000020737
ENSACAP00000005192	ENSCAFP00000000032
ENSACAP00000011119	ENSCAFP00000039820
ENSACAP00000016014	ENSCAFP00000039613
ENSACAP00000018669	ENSCAFP00000037408
ENSACAP00000002209	ENSCAFP00000029570
ENSACAP00000005144	ENSCAFP00000024003
ENSACAP00000013190	ENSCAFP00000005367
ENSACAP00000015982	ENSCAFP00000022150
ENSACAP00000003038	ENSCAFP00000029639
ENSACAP00000014062	ENSCAFP00000013939
ENSACAP00000017531	ENSCAFP00000018700
ENSACAP00000008252	ENSCAFP00000001191
ENSACAP00000016064	ENSCAFP00000018942
ENSACAP00000014392	ENSCAFP00000003177
ENSACAP00000012143	ENSCAFP00000023790
ENSACAP00000020312	ENSCAFP00000018292
ENSACAP00000013258	ENSCAFP00000019683
ENSACAP00000012231	ENSCAFP00000014137
ENSACAP00000012123	ENSCAFP00000020384
ENSACAP00000015884	ENSCAFP00000017429
ENSACAP00000008258	ENSCAFP00000036652
ENSACAP00000010223	ENSCAFP00000008824
ENSACAP00000011216	ENSCAFP00000024276
ENSACAP00000011928	ENSCAFP00000004919
ENSACAP00000006406	ENSCAFP00000005317
ENSACAP00000016440	ENSCAFP00000015478
ENSACAP00000011920	ENSCAFP00000027600
ENSACAP00000011449	ENSCAFP00000022673
ENSACAP00000019094	ENSCAFP00000020233
ENSACAP00000000792	ENSCAFP00000001958
ENSACAP00000019131	ENSCAFP00000012263
ENSACAP00000010667	ENSCAFP00000004740
ENSACAP00000008195	ENSCAFP00000006886
ENSACAP00000005631	ENSCAFP00000002376
ENSACAP00000000062	ENSCAFP00000013729
ENSACAP00000014378	ENSCAFP00000021570
ENSACAP00000016349	ENSCAFP00000013230
ENSACAP00000002530	ENSCAFP00000025076
ENSACAP00000007132	ENSCAFP00000036551
ENSACAP00000017264	ENSCAFP00000002446
ENSACAP00000008704	ENSCAFP00000038471
ENSACAP00000002301	ENSCAFP00000002925
ENSACAP00000002289	ENSCAFP00000002924
ENSACAP00000006631	ENSCAFP00000011342
ENSACAP00000019584	ENSCAFP00000031222
ENSACAP00000011435	ENSCAFP00000027100
ENSACAP00000014149	ENSCAFP00000010211
ENSACAP00000017519	ENSCAFP00000024154
ENSACAP00000018385	ENSCAFP00000027229
ENSACAP00000003635	ENSCAFP00000038401
ENSACAP00000015536	ENSCAFP00000013877
ENSACAP00000007357	ENSCAFP00000005116
ENSACAP00000017648	ENSCAFP00000020107
ENSACAP00000004922	ENSCAFP00000003966
ENSACAP00000010908	ENSCAFP00000013583
ENSACAP00000016710	ENSCAFP00000019645
ENSACAP00000006787	ENSCAFP00000025091
ENSACAP00000017120	ENSCAFP00000004554
ENSACAP00000007712	ENSCAFP00000042713
ENSACAP00000002813	ENSCAFP00000009964
ENSACAP00000003779	ENSCAFP00000018157
ENSACAP00000006029	ENSCAFP00000016851
ENSACAP00000006838	ENSCAFP00000004942
ENSACAP00000003121	ENSCAFP00000020374
ENSACAP00000004681	ENSCAFP00000015121
ENSACAP00000008548	ENSCAFP00000027678
ENSACAP00000019498	ENSCAFP00000021753
ENSACAP00000008475	ENSCAFP00000028620
ENSACAP00000017189	ENSCAFP00000020375
ENSACAP00000004745	ENSCAFP00000023164
ENSACAP00000017734	ENSCAFP00000036831
ENSACAP00000008306	ENSCAFP00000038936
ENSACAP00000016647	ENSCAFP00000004845
ENSACAP00000015123	ENSCAFP00000036441
ENSACAP00000022446	ENSCAFP00000000299
ENSACAP00000015154	ENSCAFP00000026000
ENSACAP00000005587	ENSCAFP00000029873
ENSACAP00000006756	ENSCAFP00000000550
ENSACAP00000005040	ENSCAFP00000009897
ENSACAP00000007413	ENSCAFP00000032071
ENSACAP00000007085	ENSCAFP00000001786
ENSACAP00000011502	ENSCAFP00000038509
ENSACAP00000007942	ENSCAFP00000014184
ENSACAP00000010004	ENSCAFP00000037679
ENSACAP00000010045	ENSCAFP00000005292
ENSACAP00000020018	ENSCAFP00000013398
ENSACAP00000015725	ENSCAFP00000011536
ENSACAP00000011167	ENSCAFP00000020404
ENSACAP00000011157	ENSCAFP00000003172
ENSACAP00000008008	ENSCAFP00000006427
ENSACAP00000000803	ENSCAFP00000015605
ENSACAP00000008345	ENSCAFP00000005101
ENSACAP00000003367	ENSCAFP00000024052
ENSACAP00000000928	ENSCAFP00000024306
ENSACAP00000004184	ENSCAFP00000009488
ENSACAP00000007474	ENSCAFP00000023599
ENSACAP00000001458	ENSCAFP00000007651
ENSACAP00000014103	ENSCAFP00000011875
ENSACAP00000014765	ENSCAFP00000024108
ENSACAP00000004657	ENSCAFP00000015277
ENSACAP00000008815	ENSCAFP00000027492
ENSACAP00000016406	ENSCAFP00000014581
ENSACAP00000010376	ENSCAFP00000035619
ENSACAP00000005810	ENSCAFP00000024019
ENSACAP00000011557	ENSCAFP00000031589
ENSACAP00000015652	ENSCAFP00000017479
ENSACAP00000013834	ENSCAFP00000036252
ENSACAP00000020730	ENSCAFP00000036663
ENSACAP00000002635	ENSCAFP00000008996
ENSACAP00000006227	ENSCAFP00000002884
ENSACAP00000005008	ENSCAFP00000024409
ENSACAP00000008138	ENSCAFP00000007560
ENSACAP00000015424	ENSCAFP00000005895
ENSACAP00000004083	ENSCAFP00000001057
ENSACAP00000011214	ENSCAFP00000005803
ENSACAP00000015437	ENSCAFP00000026118
ENSACAP00000007790	ENSCAFP00000027873
ENSACAP00000011160	ENSCAFP00000027380
ENSACAP00000005916	ENSCAFP00000040628
ENSACAP00000016208	ENSCAFP00000018734
ENSACAP00000012562	ENSCAFP00000003369
ENSACAP00000015914	ENSCAFP00000000511
ENSACAP00000010954	ENSCAFP00000008964
ENSACAP00000006737	ENSCAFP00000027972
ENSACAP00000006791	ENSCAFP00000027955
ENSACAP00000010102	ENSCAFP00000027458
ENSACAP00000014348	ENSCAFP00000013818
ENSACAP00000017517	ENSCAFP00000021258
ENSACAP00000021427	ENSCAFP00000029749
ENSACAP00000007540	ENSCAFP00000029933
ENSACAP00000009392	ENSCAFP00000011826
ENSACAP00000005518	ENSCAFP00000010606
ENSACAP00000008283	ENSCAFP00000013783
ENSACAP00000012104	ENSCAFP00000014278
ENSACAP00000002914	ENSCAFP00000008430
ENSACAP00000004731	ENSCAFP00000017072
ENSACAP00000005602	ENSCAFP00000010647
ENSACAP00000020911	ENSCAFP00000026031
ENSACAP00000001116	ENSCAFP00000017880
ENSACAP00000006511	ENSCAFP00000001183
ENSACAP00000015474	ENSCAFP00000011396
ENSACAP00000003716	ENSCAFP00000007003
ENSACAP00000012914	ENSCAFP00000002982
ENSACAP00000016554	ENSCAFP00000010757
ENSACAP00000005262	ENSCAFP00000010535
ENSACAP00000006654	ENSCAFP00000008003
ENSACAP00000015593	ENSCAFP00000016804
ENSACAP00000017421	ENSCAFP00000013721
ENSACAP00000010082	ENSCAFP00000013170
ENSACAP00000005303	ENSCAFP00000014998
ENSACAP00000008303	ENSCAFP00000004081
ENSACAP00000010652	ENSCAFP00000000938
ENSACAP00000015583	ENSCAFP00000026148
ENSACAP00000011008	ENSCAFP00000030253
ENSACAP00000005226	ENSCAFP00000036535
ENSACAP00000008088	ENSCAFP00000005014
ENSACAP00000003237	ENSCAFP00000024021
ENSACAP00000017194	ENSCAFP00000035949
ENSACAP00000002437	ENSCAFP00000038277
ENSACAP00000007432	ENSCAFP00000024667
ENSACAP00000007938	ENSCAFP00000014770
ENSACAP00000007692	ENSCAFP00000027739
ENSACAP00000002841	ENSCAFP00000005389
ENSACAP00000003050	ENSCAFP00000022385
ENSACAP00000005716	ENSCAFP00000012208
ENSACAP00000009466	ENSCAFP00000035961
ENSACAP00000006764	ENSCAFP00000024410
ENSACAP00000011676	ENSCAFP00000004364
ENSACAP00000016592	ENSCAFP00000013933
ENSACAP00000001387	ENSCAFP00000001409
ENSACAP00000004700	ENSCAFP00000019708
ENSACAP00000016253	ENSCAFP00000013071
ENSACAP00000010516	ENSCAFP00000021775
ENSACAP00000002693	ENSCAFP00000014784
ENSACAP00000005027	ENSCAFP00000012942
ENSACAP00000020603	ENSCAFP00000034803
ENSACAP00000002664	ENSCAFP00000035306
ENSACAP00000015074	ENSCAFP00000023001
ENSACAP00000000234	ENSCAFP00000042901
ENSACAP00000016353	ENSCAFP00000008944
ENSACAP00000014973	ENSCAFP00000024882
ENSACAP00000005221	ENSCAFP00000006746
ENSACAP00000009754	ENSCAFP00000027221
ENSACAP00000019924	ENSCAFP00000002508
ENSACAP00000021507	ENSCAFP00000037475
ENSACAP00000007124	ENSCAFP00000041417
ENSACAP00000017651	ENSCAFP00000021028
ENSACAP00000001435	ENSCAFP00000022735
ENSACAP00000010853	ENSCAFP00000042451
ENSACAP00000020401	ENSCAFP00000021134
ENSACAP00000006453	ENSCAFP00000042686
ENSACAP00000012667	ENSCAFP00000014131
ENSACAP00000020519	ENSCAFP00000025104
ENSACAP00000012381	ENSCAFP00000017529
ENSACAP00000004402	ENSCAFP00000028361
ENSACAP00000016922	ENSCAFP00000029349
ENSACAP00000006419	ENSCAFP00000042579
ENSACAP00000007282	ENSCAFP00000001854
ENSACAP00000005918	ENSCAFP00000020955
ENSACAP00000008890	ENSCAFP00000019966
ENSACAP00000010473	ENSCAFP00000020445
ENSACAP00000021421	ENSCAFP00000000155
ENSACAP00000005023	ENSCAFP00000020040
ENSACAP00000016397	ENSCAFP00000002028
ENSACAP00000008651	ENSCAFP00000000213
ENSACAP00000006753	ENSCAFP00000023411
ENSACAP00000001891	ENSCAFP00000004772
ENSACAP00000003485	ENSCAFP00000004139
ENSACAP00000002637	ENSCAFP00000027393
ENSACAP00000006956	ENSCAFP00000013536
ENSACAP00000016035	ENSCAFP00000010967
ENSACAP00000022406	ENSCAFP00000018144
ENSACAP00000005328	ENSCAFP00000002550
ENSACAP00000009697	ENSCAFP00000018686
ENSACAP00000014333	ENSCAFP00000008070
ENSACAP00000000069	ENSCAFP00000015204
ENSACAP00000011496	ENSCAFP00000026719
ENSACAP00000011764	ENSCAFP00000033192
ENSACAP00000005420	ENSCAFP00000013266
ENSACAP00000009596	ENSCAFP00000015703
ENSACAP00000013561	ENSCAFP00000030657
ENSACAP00000003677	ENSCAFP00000027307
ENSACAP00000014160	ENSCAFP00000024567
ENSACAP00000004990	ENSCAFP00000011460
ENSACAP00000010477	ENSCAFP00000022476
ENSACAP00000010901	ENSCAFP00000016511
ENSACAP00000000040	ENSCAFP00000015952
ENSACAP00000004163	ENSCAFP00000010131
ENSACAP00000003541	ENSCAFP00000030051
ENSACAP00000012873	ENSCAFP00000017095
ENSACAP00000009101	ENSCAFP00000018240
ENSACAP00000001074	ENSCAFP00000008426
ENSACAP00000011982	ENSCAFP00000014145
ENSACAP00000015922	ENSCAFP00000000711
ENSACAP00000005063	ENSCAFP00000000859
ENSACAP00000016351	ENSCAFP00000018208
ENSACAP00000014875	ENSCAFP00000026472
ENSACAP00000021025	ENSCAFP00000026469
ENSACAP00000011452	ENSCAFP00000006235
ENSACAP00000004483	ENSCAFP00000023862
ENSACAP00000022711	ENSCAFP00000040579
ENSACAP00000001127	ENSCAFP00000036692
ENSACAP00000012621	ENSCAFP00000037502
ENSACAP00000013194	ENSCAFP00000026420
ENSACAP00000011919	ENSCAFP00000017789
ENSACAP00000016452	ENSCAFP00000013295
ENSACAP00000008110	ENSCAFP00000005569
ENSACAP00000000313	ENSCAFP00000001916
ENSACAP00000007345	ENSCAFP00000005913
ENSACAP00000010090	ENSCAFP00000020169
ENSACAP00000012660	ENSCAFP00000004319
ENSACAP00000016181	ENSCAFP00000000488
ENSACAP00000017024	ENSCAFP00000020929
ENSACAP00000014873	ENSCAFP00000024294
ENSACAP00000002634	ENSCAFP00000000867
ENSACAP00000010493	ENSCAFP00000041094
ENSACAP00000008731	ENSCAFP00000019618
ENSACAP00000004991	ENSCAFP00000024952
ENSACAP00000008638	ENSCAFP00000022633
ENSACAP00000012299	ENSCAFP00000008454
ENSACAP00000006585	ENSCAFP00000024765
ENSACAP00000002580	ENSCAFP00000024968
ENSACAP00000016562	ENSCAFP00000000360
ENSACAP00000016745	ENSCAFP00000017572
ENSACAP00000017382	ENSCAFP00000013819
ENSACAP00000021502	ENSCAFP00000011416
ENSACAP00000006541	ENSCAFP00000022317
ENSACAP00000004525	ENSCAFP00000039921
ENSACAP00000023387	ENSCAFP00000015042
ENSACAP00000007683	ENSCAFP00000007463
ENSACAP00000005327	ENSCAFP00000000121
ENSACAP00000013634	ENSCAFP00000006156
ENSACAP00000013363	ENSCAFP00000012130
ENSACAP00000007878	ENSCAFP00000013151
ENSACAP00000016618	ENSCAFP00000017820
ENSACAP00000014723	ENSCAFP00000024586
ENSACAP00000022465	ENSCAFP00000014427
ENSACAP00000004166	ENSCAFP00000015058
ENSACAP00000014143	ENSCAFP00000010182
