ENSORLP00000011382	ENSDARP00000122973
ENSORLP00000007952	ENSDARP00000112135
ENSORLP00000021688	ENSDARP00000020894
ENSORLP00000025578	ENSDARP00000117890
ENSORLP00000001368	ENSDARP00000040549
ENSORLP00000024257	ENSDARP00000105765
ENSORLP00000003220	ENSDARP00000016657
ENSORLP00000020860	ENSDARP00000043465
ENSORLP00000008989	ENSDARP00000117927
ENSORLP00000001290	ENSDARP00000036715
ENSORLP00000005579	ENSDARP00000013849
ENSORLP00000008446	ENSDARP00000128322
ENSORLP00000002593	ENSDARP00000052396
ENSORLP00000021702	ENSDARP00000122573
ENSORLP00000006265	ENSDARP00000096293
ENSORLP00000008437	ENSDARP00000097747
ENSORLP00000011200	ENSDARP00000102479
ENSORLP00000008024	ENSDARP00000039324
ENSORLP00000007708	ENSDARP00000004394
ENSORLP00000008651	ENSDARP00000017456
ENSORLP00000015785	ENSDARP00000075275
ENSORLP00000002804	ENSDARP00000118774
ENSORLP00000023779	ENSDARP00000097050
ENSORLP00000020633	ENSDARP00000025441
ENSORLP00000019791	ENSDARP00000097768
ENSORLP00000021946	ENSDARP00000111923
ENSORLP00000011714	ENSDARP00000060526
ENSORLP00000007530	ENSDARP00000128832
ENSORLP00000007515	ENSDARP00000128926
ENSORLP00000000443	ENSDARP00000104196
ENSORLP00000000994	ENSDARP00000105356
ENSORLP00000019941	ENSDARP00000072778
ENSORLP00000023088	ENSDARP00000123389
ENSORLP00000019930	ENSDARP00000072786
ENSORLP00000018127	ENSDARP00000122905
ENSORLP00000014267	ENSDARP00000129294
ENSORLP00000008956	ENSDARP00000036929
ENSORLP00000015452	ENSDARP00000114466
ENSORLP00000015272	ENSDARP00000109018
ENSORLP00000010748	ENSDARP00000093306
ENSORLP00000016221	ENSDARP00000053157
ENSORLP00000004226	ENSDARP00000099910
ENSORLP00000013894	ENSDARP00000121246
ENSORLP00000008997	ENSDARP00000007140
ENSORLP00000016307	ENSDARP00000111663
ENSORLP00000019966	ENSDARP00000104491
ENSORLP00000006561	ENSDARP00000042193
ENSORLP00000003243	ENSDARP00000099879
ENSORLP00000013178	ENSDARP00000076418
ENSORLP00000021323	ENSDARP00000070109
ENSORLP00000008585	ENSDARP00000002973
ENSORLP00000021828	ENSDARP00000087079
ENSORLP00000021812	ENSDARP00000067607
ENSORLP00000023561	ENSDARP00000071278
ENSORLP00000020723	ENSDARP00000016139
ENSORLP00000019321	ENSDARP00000087500
ENSORLP00000002104	ENSDARP00000009865
ENSORLP00000005874	ENSDARP00000010426
ENSORLP00000015446	ENSDARP00000103041
ENSORLP00000021345	ENSDARP00000106740
ENSORLP00000021980	ENSDARP00000062853
ENSORLP00000006256	ENSDARP00000015027
ENSORLP00000022436	ENSDARP00000036016
ENSORLP00000003775	ENSDARP00000104838
ENSORLP00000006361	ENSDARP00000110537
ENSORLP00000018930	ENSDARP00000066622
ENSORLP00000010509	ENSDARP00000022709
ENSORLP00000017999	ENSDARP00000100111
ENSORLP00000001148	ENSDARP00000101968
ENSORLP00000022426	ENSDARP00000056678
ENSORLP00000019667	ENSDARP00000011396
ENSORLP00000011262	ENSDARP00000122393
ENSORLP00000010168	ENSDARP00000060945
ENSORLP00000010566	ENSDARP00000086789
ENSORLP00000024016	ENSDARP00000078040
ENSORLP00000008012	ENSDARP00000110256
ENSORLP00000002272	ENSDARP00000020784
ENSORLP00000000244	ENSDARP00000111457
ENSORLP00000004298	ENSDARP00000013157
ENSORLP00000009022	ENSDARP00000052440
ENSORLP00000011805	ENSDARP00000105799
ENSORLP00000011799	ENSDARP00000058512
ENSORLP00000010106	ENSDARP00000107372
ENSORLP00000013915	ENSDARP00000129253
ENSORLP00000016231	ENSDARP00000107527
ENSORLP00000020930	ENSDARP00000107947
ENSORLP00000018662	ENSDARP00000053660
ENSORLP00000020541	ENSDARP00000063724
ENSORLP00000004264	ENSDARP00000114340
ENSORLP00000005046	ENSDARP00000117746
ENSORLP00000008900	ENSDARP00000005170
ENSORLP00000022821	ENSDARP00000056104
ENSORLP00000016795	ENSDARP00000118166
ENSORLP00000021772	ENSDARP00000089131
ENSORLP00000001280	ENSDARP00000052306
ENSORLP00000013008	ENSDARP00000069080
ENSORLP00000010763	ENSDARP00000017762
ENSORLP00000013654	ENSDARP00000052420
ENSORLP00000025491	ENSDARP00000128041
ENSORLP00000002328	ENSDARP00000109966
ENSORLP00000021497	ENSDARP00000010384
ENSORLP00000020331	ENSDARP00000086597
ENSORLP00000007167	ENSDARP00000106043
ENSORLP00000025625	ENSDARP00000118811
ENSORLP00000021655	ENSDARP00000016959
ENSORLP00000001018	ENSDARP00000003829
ENSORLP00000013287	ENSDARP00000036828
ENSORLP00000018097	ENSDARP00000123474
ENSORLP00000005077	ENSDARP00000098876
ENSORLP00000008607	ENSDARP00000049623
ENSORLP00000009584	ENSDARP00000119476
ENSORLP00000009605	ENSDARP00000116057
ENSORLP00000022020	ENSDARP00000105575
ENSORLP00000005695	ENSDARP00000055224
ENSORLP00000022851	ENSDARP00000005680
ENSORLP00000009589	ENSDARP00000059973
ENSORLP00000019677	ENSDARP00000129595
ENSORLP00000011292	ENSDARP00000049899
ENSORLP00000007022	ENSDARP00000052060
ENSORLP00000020711	ENSDARP00000121183
ENSORLP00000010817	ENSDARP00000129116
ENSORLP00000007342	ENSDARP00000008475
ENSORLP00000011413	ENSDARP00000058968
ENSORLP00000008226	ENSDARP00000113959
ENSORLP00000014132	ENSDARP00000074144
ENSORLP00000025151	ENSDARP00000098571
ENSORLP00000022256	ENSDARP00000079823
ENSORLP00000001811	ENSDARP00000008223
ENSORLP00000019505	ENSDARP00000104791
ENSORLP00000014720	ENSDARP00000075280
ENSORLP00000020546	ENSDARP00000127915
ENSORLP00000013879	ENSDARP00000019171
ENSORLP00000020030	ENSDARP00000098897
ENSORLP00000012324	ENSDARP00000039553
ENSORLP00000012321	ENSDARP00000007058
ENSORLP00000000585	ENSDARP00000105944
ENSORLP00000013874	ENSDARP00000106138
ENSORLP00000004387	ENSDARP00000102041
ENSORLP00000005138	ENSDARP00000102786
ENSORLP00000004358	ENSDARP00000084650
ENSORLP00000025595	ENSDARP00000084598
ENSORLP00000002330	ENSDARP00000121158
ENSORLP00000014471	ENSDARP00000102048
ENSORLP00000002265	ENSDARP00000101583
ENSORLP00000022693	ENSDARP00000062009
ENSORLP00000016415	ENSDARP00000099266
ENSORLP00000003185	ENSDARP00000097967
ENSORLP00000019519	ENSDARP00000057433
ENSORLP00000018585	ENSDARP00000063051
ENSORLP00000013734	ENSDARP00000036150
ENSORLP00000018984	ENSDARP00000081844
ENSORLP00000006254	ENSDARP00000115372
ENSORLP00000022675	ENSDARP00000113492
ENSORLP00000025617	ENSDARP00000044573
ENSORLP00000012489	ENSDARP00000115965
ENSORLP00000002135	ENSDARP00000101420
ENSORLP00000025830	ENSDARP00000112407
ENSORLP00000003679	ENSDARP00000040837
ENSORLP00000013378	ENSDARP00000018863
ENSORLP00000014034	ENSDARP00000026323
ENSORLP00000013805	ENSDARP00000099506
ENSORLP00000010172	ENSDARP00000110909
ENSORLP00000024935	ENSDARP00000102910
ENSORLP00000008322	ENSDARP00000102260
ENSORLP00000023595	ENSDARP00000077830
ENSORLP00000012679	ENSDARP00000012147
ENSORLP00000016516	ENSDARP00000073893
ENSORLP00000011838	ENSDARP00000104859
ENSORLP00000019208	ENSDARP00000025072
ENSORLP00000013358	ENSDARP00000057731
ENSORLP00000022565	ENSDARP00000053426
ENSORLP00000011314	ENSDARP00000093847
ENSORLP00000015239	ENSDARP00000002635
ENSORLP00000021947	ENSDARP00000108255
ENSORLP00000011216	ENSDARP00000073523
ENSORLP00000004811	ENSDARP00000105139
ENSORLP00000015050	ENSDARP00000112991
ENSORLP00000022670	ENSDARP00000030625
ENSORLP00000010397	ENSDARP00000054692
ENSORLP00000012944	ENSDARP00000091900
ENSORLP00000017118	ENSDARP00000106795
ENSORLP00000008594	ENSDARP00000084007
ENSORLP00000020183	ENSDARP00000087668
ENSORLP00000008023	ENSDARP00000124333
ENSORLP00000022797	ENSDARP00000091436
ENSORLP00000011723	ENSDARP00000109870
ENSORLP00000025157	ENSDARP00000124246
ENSORLP00000020522	ENSDARP00000128596
ENSORLP00000021264	ENSDARP00000100072
ENSORLP00000001104	ENSDARP00000129124
ENSORLP00000002977	ENSDARP00000070686
ENSORLP00000002814	ENSDARP00000092253
ENSORLP00000018923	ENSDARP00000055491
ENSORLP00000004009	ENSDARP00000087935
ENSORLP00000006530	ENSDARP00000109838
ENSORLP00000023720	ENSDARP00000106457
ENSORLP00000012925	ENSDARP00000012791
ENSORLP00000018812	ENSDARP00000101326
ENSORLP00000008407	ENSDARP00000006540
ENSORLP00000013671	ENSDARP00000056073
ENSORLP00000012537	ENSDARP00000105119
ENSORLP00000017746	ENSDARP00000122424
ENSORLP00000006742	ENSDARP00000111869
ENSORLP00000014072	ENSDARP00000065396
ENSORLP00000001903	ENSDARP00000053775
ENSORLP00000009294	ENSDARP00000059618
ENSORLP00000018956	ENSDARP00000106564
ENSORLP00000014883	ENSDARP00000022147
ENSORLP00000017224	ENSDARP00000066366
ENSORLP00000004455	ENSDARP00000095220
ENSORLP00000007575	ENSDARP00000127731
ENSORLP00000007606	ENSDARP00000119088
ENSORLP00000020003	ENSDARP00000121875
ENSORLP00000019078	ENSDARP00000073048
ENSORLP00000020818	ENSDARP00000109154
ENSORLP00000016131	ENSDARP00000019674
ENSORLP00000021474	ENSDARP00000056452
ENSORLP00000002773	ENSDARP00000068816
ENSORLP00000018416	ENSDARP00000019643
ENSORLP00000024376	ENSDARP00000106374
ENSORLP00000015721	ENSDARP00000122397
ENSORLP00000005075	ENSDARP00000053606
ENSORLP00000004108	ENSDARP00000057298
ENSORLP00000005033	ENSDARP00000063586
ENSORLP00000005082	ENSDARP00000064460
ENSORLP00000004103	ENSDARP00000116789
ENSORLP00000008843	ENSDARP00000095720
ENSORLP00000003294	ENSDARP00000024272
ENSORLP00000015324	ENSDARP00000022487
ENSORLP00000011019	ENSDARP00000050473
ENSORLP00000002202	ENSDARP00000074794
ENSORLP00000003059	ENSDARP00000025373
ENSORLP00000018136	ENSDARP00000063985
ENSORLP00000004173	ENSDARP00000062984
ENSORLP00000002542	ENSDARP00000117105
ENSORLP00000018825	ENSDARP00000080352
ENSORLP00000015164	ENSDARP00000109601
ENSORLP00000022758	ENSDARP00000039906
ENSORLP00000016308	ENSDARP00000091774
ENSORLP00000001218	ENSDARP00000099065
ENSORLP00000024941	ENSDARP00000092792
ENSORLP00000009657	ENSDARP00000028904
ENSORLP00000018316	ENSDARP00000114008
ENSORLP00000022635	ENSDARP00000010917
ENSORLP00000007380	ENSDARP00000025094
ENSORLP00000018715	ENSDARP00000101279
ENSORLP00000010626	ENSDARP00000001617
ENSORLP00000012886	ENSDARP00000097628
ENSORLP00000001311	ENSDARP00000080655
ENSORLP00000013607	ENSDARP00000097784
ENSORLP00000025288	ENSDARP00000098809
ENSORLP00000019460	ENSDARP00000020703
ENSORLP00000017788	ENSDARP00000072810
ENSORLP00000013381	ENSDARP00000092056
ENSORLP00000008608	ENSDARP00000052905
ENSORLP00000010861	ENSDARP00000109890
ENSORLP00000001374	ENSDARP00000079273
ENSORLP00000014802	ENSDARP00000123999
ENSORLP00000013843	ENSDARP00000053749
ENSORLP00000011582	ENSDARP00000107734
ENSORLP00000018111	ENSDARP00000047652
ENSORLP00000005218	ENSDARP00000081855
ENSORLP00000009200	ENSDARP00000109462
ENSORLP00000013299	ENSDARP00000025648
ENSORLP00000016364	ENSDARP00000098282
ENSORLP00000016628	ENSDARP00000089635
ENSORLP00000006481	ENSDARP00000107258
ENSORLP00000019561	ENSDARP00000109709
ENSORLP00000011906	ENSDARP00000045814
ENSORLP00000016312	ENSDARP00000060763
ENSORLP00000022007	ENSDARP00000046463
ENSORLP00000007691	ENSDARP00000010533
ENSORLP00000014848	ENSDARP00000105365
ENSORLP00000025861	ENSDARP00000094247
ENSORLP00000021466	ENSDARP00000069273
ENSORLP00000012741	ENSDARP00000091908
ENSORLP00000016856	ENSDARP00000106068
ENSORLP00000020277	ENSDARP00000094400
ENSORLP00000011487	ENSDARP00000113517
ENSORLP00000011358	ENSDARP00000120338
ENSORLP00000020718	ENSDARP00000064175
ENSORLP00000025692	ENSDARP00000012382
ENSORLP00000013293	ENSDARP00000049239
ENSORLP00000019122	ENSDARP00000031665
ENSORLP00000019397	ENSDARP00000050948
ENSORLP00000015603	ENSDARP00000119208
ENSORLP00000007945	ENSDARP00000129242
ENSORLP00000011850	ENSDARP00000078459
ENSORLP00000018365	ENSDARP00000106886
ENSORLP00000020399	ENSDARP00000078354
ENSORLP00000008892	ENSDARP00000089497
ENSORLP00000024191	ENSDARP00000075190
ENSORLP00000021096	ENSDARP00000096338
ENSORLP00000021088	ENSDARP00000117865
ENSORLP00000008411	ENSDARP00000045678
ENSORLP00000002451	ENSDARP00000109120
ENSORLP00000001579	ENSDARP00000073505
ENSORLP00000012171	ENSDARP00000122069
ENSORLP00000000631	ENSDARP00000128113
ENSORLP00000000643	ENSDARP00000068002
ENSORLP00000003863	ENSDARP00000114765
ENSORLP00000003521	ENSDARP00000122045
ENSORLP00000024553	ENSDARP00000068054
ENSORLP00000003946	ENSDARP00000128272
ENSORLP00000010202	ENSDARP00000054743
ENSORLP00000013325	ENSDARP00000012600
ENSORLP00000018264	ENSDARP00000102221
ENSORLP00000004025	ENSDARP00000059513
ENSORLP00000002826	ENSDARP00000093008
ENSORLP00000003087	ENSDARP00000079805
ENSORLP00000001054	ENSDARP00000122368
ENSORLP00000015074	ENSDARP00000108227
ENSORLP00000025646	ENSDARP00000026364
ENSORLP00000008488	ENSDARP00000123087
ENSORLP00000019739	ENSDARP00000028379
ENSORLP00000005562	ENSDARP00000075251
ENSORLP00000008483	ENSDARP00000072527
ENSORLP00000019744	ENSDARP00000110487
ENSORLP00000010004	ENSDARP00000093395
ENSORLP00000000954	ENSDARP00000114103
ENSORLP00000022406	ENSDARP00000069214
ENSORLP00000019916	ENSDARP00000116818
ENSORLP00000006018	ENSDARP00000077012
ENSORLP00000022541	ENSDARP00000077905
ENSORLP00000009486	ENSDARP00000077013
ENSORLP00000024109	ENSDARP00000034827
ENSORLP00000020061	ENSDARP00000118891
ENSORLP00000013463	ENSDARP00000103999
ENSORLP00000009537	ENSDARP00000117089
ENSORLP00000019839	ENSDARP00000099612
ENSORLP00000018070	ENSDARP00000113608
ENSORLP00000010133	ENSDARP00000044422
ENSORLP00000013279	ENSDARP00000119378
ENSORLP00000011283	ENSDARP00000106287
ENSORLP00000008432	ENSDARP00000098186
ENSORLP00000022136	ENSDARP00000015303
ENSORLP00000019865	ENSDARP00000109941
ENSORLP00000022013	ENSDARP00000077021
ENSORLP00000021863	ENSDARP00000083042
ENSORLP00000007508	ENSDARP00000104940
ENSORLP00000019672	ENSDARP00000061134
ENSORLP00000002659	ENSDARP00000076249
ENSORLP00000013177	ENSDARP00000119520
ENSORLP00000021900	ENSDARP00000035859
ENSORLP00000005479	ENSDARP00000030813
ENSORLP00000025635	ENSDARP00000088399
ENSORLP00000001420	ENSDARP00000014010
ENSORLP00000000591	ENSDARP00000110320
ENSORLP00000023919	ENSDARP00000109557
ENSORLP00000017003	ENSDARP00000036256
ENSORLP00000017575	ENSDARP00000039821
ENSORLP00000014312	ENSDARP00000011705
ENSORLP00000021168	ENSDARP00000006334
ENSORLP00000004254	ENSDARP00000109638
ENSORLP00000008713	ENSDARP00000114769
ENSORLP00000015312	ENSDARP00000029675
ENSORLP00000006956	ENSDARP00000105398
ENSORLP00000020381	ENSDARP00000072911
ENSORLP00000021195	ENSDARP00000066933
ENSORLP00000021465	ENSDARP00000066932
ENSORLP00000002046	ENSDARP00000092355
ENSORLP00000025494	ENSDARP00000001039
ENSORLP00000004640	ENSDARP00000095486
ENSORLP00000008276	ENSDARP00000127303
ENSORLP00000014984	ENSDARP00000098618
ENSORLP00000018887	ENSDARP00000098684
ENSORLP00000005319	ENSDARP00000111989
ENSORLP00000016940	ENSDARP00000102224
ENSORLP00000014859	ENSDARP00000097773
ENSORLP00000011608	ENSDARP00000108057
ENSORLP00000009706	ENSDARP00000041235
ENSORLP00000014784	ENSDARP00000124460
ENSORLP00000012878	ENSDARP00000104544
ENSORLP00000013942	ENSDARP00000032295
ENSORLP00000023283	ENSDARP00000116051
ENSORLP00000002967	ENSDARP00000126208
ENSORLP00000003771	ENSDARP00000109588
ENSORLP00000019927	ENSDARP00000038316
ENSORLP00000020153	ENSDARP00000066188
ENSORLP00000008018	ENSDARP00000116649
ENSORLP00000009719	ENSDARP00000111119
ENSORLP00000014935	ENSDARP00000104626
ENSORLP00000009264	ENSDARP00000121795
ENSORLP00000016385	ENSDARP00000094167
ENSORLP00000011881	ENSDARP00000024335
ENSORLP00000004619	ENSDARP00000098001
ENSORLP00000013902	ENSDARP00000074975
ENSORLP00000011736	ENSDARP00000101793
ENSORLP00000021464	ENSDARP00000110965
ENSORLP00000014691	ENSDARP00000120365
ENSORLP00000025699	ENSDARP00000082784
ENSORLP00000013267	ENSDARP00000098142
ENSORLP00000014496	ENSDARP00000103750
ENSORLP00000001680	ENSDARP00000062190
ENSORLP00000009187	ENSDARP00000077039
ENSORLP00000004783	ENSDARP00000091264
ENSORLP00000018713	ENSDARP00000110333
ENSORLP00000025092	ENSDARP00000067629
ENSORLP00000008947	ENSDARP00000085044
ENSORLP00000023765	ENSDARP00000005975
ENSORLP00000007330	ENSDARP00000018632
ENSORLP00000021066	ENSDARP00000051402
ENSORLP00000017966	ENSDARP00000114502
ENSORLP00000019821	ENSDARP00000095328
ENSORLP00000011260	ENSDARP00000032601
ENSORLP00000003189	ENSDARP00000101478
ENSORLP00000015135	ENSDARP00000092068
ENSORLP00000015125	ENSDARP00000084700
ENSORLP00000011254	ENSDARP00000079303
ENSORLP00000020032	ENSDARP00000051104
ENSORLP00000018578	ENSDARP00000067260
ENSORLP00000024718	ENSDARP00000128595
ENSORLP00000016238	ENSDARP00000086446
ENSORLP00000013929	ENSDARP00000109667
ENSORLP00000019521	ENSDARP00000113889
ENSORLP00000020501	ENSDARP00000094710
ENSORLP00000005391	ENSDARP00000117556
ENSORLP00000001836	ENSDARP00000095187
ENSORLP00000002802	ENSDARP00000026805
ENSORLP00000019486	ENSDARP00000109180
ENSORLP00000007785	ENSDARP00000091828
ENSORLP00000008561	ENSDARP00000057524
ENSORLP00000003224	ENSDARP00000077702
ENSORLP00000020210	ENSDARP00000080290
ENSORLP00000003955	ENSDARP00000073439
ENSORLP00000009447	ENSDARP00000106240
ENSORLP00000016755	ENSDARP00000118753
ENSORLP00000014402	ENSDARP00000119475
ENSORLP00000017370	ENSDARP00000126045
ENSORLP00000015976	ENSDARP00000098491
ENSORLP00000010846	ENSDARP00000055022
ENSORLP00000012076	ENSDARP00000099217
ENSORLP00000014408	ENSDARP00000094670
ENSORLP00000015224	ENSDARP00000043931
ENSORLP00000007474	ENSDARP00000096674
ENSORLP00000014665	ENSDARP00000121065
ENSORLP00000019899	ENSDARP00000113858
ENSORLP00000013511	ENSDARP00000047200
ENSORLP00000000015	ENSDARP00000118986
ENSORLP00000021608	ENSDARP00000076873
ENSORLP00000006974	ENSDARP00000093925
ENSORLP00000013016	ENSDARP00000054451
ENSORLP00000010417	ENSDARP00000113100
ENSORLP00000020789	ENSDARP00000002935
ENSORLP00000016157	ENSDARP00000124605
ENSORLP00000004278	ENSDARP00000066410
ENSORLP00000020050	ENSDARP00000086549
ENSORLP00000008218	ENSDARP00000073621
ENSORLP00000012723	ENSDARP00000107675
ENSORLP00000007001	ENSDARP00000003397
ENSORLP00000002142	ENSDARP00000108198
ENSORLP00000014484	ENSDARP00000124029
ENSORLP00000021697	ENSDARP00000104823
ENSORLP00000010702	ENSDARP00000014929
ENSORLP00000008138	ENSDARP00000094162
ENSORLP00000019891	ENSDARP00000094885
ENSORLP00000001824	ENSDARP00000111917
ENSORLP00000002382	ENSDARP00000123895
ENSORLP00000004957	ENSDARP00000044079
ENSORLP00000019309	ENSDARP00000092351
ENSORLP00000009470	ENSDARP00000018393
ENSORLP00000006865	ENSDARP00000073394
ENSORLP00000013786	ENSDARP00000098436
ENSORLP00000004088	ENSDARP00000102728
ENSORLP00000005176	ENSDARP00000098758
ENSORLP00000005255	ENSDARP00000011500
ENSORLP00000010903	ENSDARP00000119695
ENSORLP00000003924	ENSDARP00000107042
ENSORLP00000005958	ENSDARP00000121180
ENSORLP00000009004	ENSDARP00000083949
ENSORLP00000011879	ENSDARP00000018087
ENSORLP00000017466	ENSDARP00000099244
ENSORLP00000016407	ENSDARP00000064832
ENSORLP00000002498	ENSDARP00000064615
ENSORLP00000005899	ENSDARP00000118205
ENSORLP00000000178	ENSDARP00000047006
ENSORLP00000018925	ENSDARP00000091933
ENSORLP00000003200	ENSDARP00000070437
ENSORLP00000016932	ENSDARP00000098418
ENSORLP00000013330	ENSDARP00000067816
ENSORLP00000006703	ENSDARP00000025120
ENSORLP00000020649	ENSDARP00000116922
ENSORLP00000013120	ENSDARP00000094377
ENSORLP00000021408	ENSDARP00000113955
ENSORLP00000017806	ENSDARP00000003150
ENSORLP00000015964	ENSDARP00000008085
ENSORLP00000022239	ENSDARP00000049108
ENSORLP00000024786	ENSDARP00000046612
ENSORLP00000000640	ENSDARP00000102140
ENSORLP00000012533	ENSDARP00000013329
ENSORLP00000004693	ENSDARP00000106067
ENSORLP00000022311	ENSDARP00000012255
ENSORLP00000021091	ENSDARP00000087115
ENSORLP00000009845	ENSDARP00000070464
ENSORLP00000006238	ENSDARP00000093348
ENSORLP00000011233	ENSDARP00000051004
ENSORLP00000021090	ENSDARP00000057304
ENSORLP00000025382	ENSDARP00000108943
ENSORLP00000013273	ENSDARP00000093167
ENSORLP00000025778	ENSDARP00000002460
ENSORLP00000019118	ENSDARP00000055349
ENSORLP00000016480	ENSDARP00000085707
ENSORLP00000018319	ENSDARP00000103082
ENSORLP00000021518	ENSDARP00000117915
ENSORLP00000019101	ENSDARP00000107971
ENSORLP00000016960	ENSDARP00000101176
ENSORLP00000017089	ENSDARP00000101258
ENSORLP00000001810	ENSDARP00000085013
ENSORLP00000013547	ENSDARP00000040556
ENSORLP00000008804	ENSDARP00000048886
ENSORLP00000010408	ENSDARP00000002532
ENSORLP00000015382	ENSDARP00000014325
ENSORLP00000000955	ENSDARP00000053403
ENSORLP00000024303	ENSDARP00000091516
ENSORLP00000007370	ENSDARP00000069657
ENSORLP00000011202	ENSDARP00000123484
ENSORLP00000021670	ENSDARP00000101201
ENSORLP00000002453	ENSDARP00000069669
ENSORLP00000001945	ENSDARP00000095533
ENSORLP00000021417	ENSDARP00000069870
ENSORLP00000014546	ENSDARP00000050176
ENSORLP00000024006	ENSDARP00000105882
ENSORLP00000014533	ENSDARP00000006228
ENSORLP00000025283	ENSDARP00000014980
ENSORLP00000023562	ENSDARP00000108067
ENSORLP00000025361	ENSDARP00000065669
ENSORLP00000011970	ENSDARP00000110712
ENSORLP00000002544	ENSDARP00000111556
ENSORLP00000013157	ENSDARP00000111169
ENSORLP00000017189	ENSDARP00000123464
ENSORLP00000014924	ENSDARP00000113432
ENSORLP00000019751	ENSDARP00000121566
ENSORLP00000008039	ENSDARP00000078258
ENSORLP00000020092	ENSDARP00000093285
ENSORLP00000007978	ENSDARP00000101777
ENSORLP00000019342	ENSDARP00000099736
ENSORLP00000022468	ENSDARP00000106854
ENSORLP00000007005	ENSDARP00000112558
ENSORLP00000009287	ENSDARP00000018055
ENSORLP00000024202	ENSDARP00000117469
ENSORLP00000003686	ENSDARP00000100341
ENSORLP00000015046	ENSDARP00000058495
ENSORLP00000006193	ENSDARP00000128615
ENSORLP00000018788	ENSDARP00000016314
ENSORLP00000000587	ENSDARP00000121973
ENSORLP00000015748	ENSDARP00000046688
ENSORLP00000006268	ENSDARP00000067665
ENSORLP00000008504	ENSDARP00000047070
ENSORLP00000018750	ENSDARP00000098435
ENSORLP00000002291	ENSDARP00000014840
ENSORLP00000019066	ENSDARP00000042677
ENSORLP00000021048	ENSDARP00000111799
ENSORLP00000019227	ENSDARP00000043315
ENSORLP00000014904	ENSDARP00000064900
ENSORLP00000015634	ENSDARP00000024085
ENSORLP00000006852	ENSDARP00000043161
ENSORLP00000019932	ENSDARP00000123784
ENSORLP00000018275	ENSDARP00000023124
ENSORLP00000006617	ENSDARP00000065555
ENSORLP00000015378	ENSDARP00000098660
ENSORLP00000007697	ENSDARP00000105864
ENSORLP00000001913	ENSDARP00000079991
ENSORLP00000014432	ENSDARP00000013812
ENSORLP00000009759	ENSDARP00000014065
ENSORLP00000006622	ENSDARP00000082723
ENSORLP00000021170	ENSDARP00000089458
ENSORLP00000006700	ENSDARP00000051165
ENSORLP00000017682	ENSDARP00000062698
ENSORLP00000006016	ENSDARP00000065233
ENSORLP00000008593	ENSDARP00000110875
ENSORLP00000004579	ENSDARP00000124944
ENSORLP00000005540	ENSDARP00000100285
ENSORLP00000010020	ENSDARP00000066702
ENSORLP00000021423	ENSDARP00000065852
ENSORLP00000005433	ENSDARP00000105717
ENSORLP00000016275	ENSDARP00000015825
ENSORLP00000017243	ENSDARP00000005989
ENSORLP00000001337	ENSDARP00000119398
ENSORLP00000005361	ENSDARP00000105402
ENSORLP00000024525	ENSDARP00000111705
ENSORLP00000009575	ENSDARP00000056285
ENSORLP00000008967	ENSDARP00000128984
ENSORLP00000007415	ENSDARP00000068140
ENSORLP00000019121	ENSDARP00000050618
ENSORLP00000024813	ENSDARP00000024256
ENSORLP00000000315	ENSDARP00000019940
