ENSLOCP00000009128	ENSMGAP00000004951
ENSLOCP00000012061	ENSMGAP00000004973
ENSLOCP00000009990	ENSMGAP00000015643
ENSLOCP00000003317	ENSMGAP00000005906
ENSLOCP00000011989	ENSMGAP00000012790
ENSLOCP00000015226	ENSMGAP00000003923
ENSLOCP00000017354	ENSMGAP00000005521
ENSLOCP00000012353	ENSMGAP00000013787
ENSLOCP00000020601	ENSMGAP00000013930
ENSLOCP00000007900	ENSMGAP00000006584
ENSLOCP00000004830	ENSMGAP00000004536
ENSLOCP00000020756	ENSMGAP00000017297
ENSLOCP00000013047	ENSMGAP00000013514
ENSLOCP00000012968	ENSMGAP00000002404
ENSLOCP00000016356	ENSMGAP00000006458
ENSLOCP00000011681	ENSMGAP00000002526
ENSLOCP00000014277	ENSMGAP00000010940
ENSLOCP00000008437	ENSMGAP00000009863
ENSLOCP00000020956	ENSMGAP00000014406
ENSLOCP00000015752	ENSMGAP00000007874
ENSLOCP00000017705	ENSMGAP00000009216
ENSLOCP00000011055	ENSMGAP00000006576
ENSLOCP00000010892	ENSMGAP00000002105
ENSLOCP00000006526	ENSMGAP00000000989
ENSLOCP00000001142	ENSMGAP00000001972
ENSLOCP00000020785	ENSMGAP00000014828
ENSLOCP00000007583	ENSMGAP00000002149
ENSLOCP00000004907	ENSMGAP00000006655
ENSLOCP00000006346	ENSMGAP00000008809
ENSLOCP00000020036	ENSMGAP00000011192
ENSLOCP00000008734	ENSMGAP00000007478
ENSLOCP00000014576	ENSMGAP00000000881
ENSLOCP00000005356	ENSMGAP00000017442
ENSLOCP00000004761	ENSMGAP00000011996
ENSLOCP00000006533	ENSMGAP00000007423
ENSLOCP00000019487	ENSMGAP00000015017
ENSLOCP00000013471	ENSMGAP00000013335
ENSLOCP00000001954	ENSMGAP00000001910
ENSLOCP00000001962	ENSMGAP00000004502
ENSLOCP00000002578	ENSMGAP00000004061
ENSLOCP00000017726	ENSMGAP00000009429
ENSLOCP00000005920	ENSMGAP00000001781
ENSLOCP00000019306	ENSMGAP00000000418
ENSLOCP00000006448	ENSMGAP00000007539
ENSLOCP00000011240	ENSMGAP00000011139
ENSLOCP00000006499	ENSMGAP00000011894
ENSLOCP00000005310	ENSMGAP00000015236
ENSLOCP00000002972	ENSMGAP00000003757
ENSLOCP00000017649	ENSMGAP00000010071
ENSLOCP00000013021	ENSMGAP00000009399
ENSLOCP00000004694	ENSMGAP00000008128
ENSLOCP00000008680	ENSMGAP00000007518
ENSLOCP00000018185	ENSMGAP00000014040
ENSLOCP00000020346	ENSMGAP00000010374
ENSLOCP00000019133	ENSMGAP00000001944
ENSLOCP00000012778	ENSMGAP00000013734
ENSLOCP00000006828	ENSMGAP00000000217
ENSLOCP00000018546	ENSMGAP00000002878
ENSLOCP00000006853	ENSMGAP00000000231
ENSLOCP00000019163	ENSMGAP00000001795
ENSLOCP00000010916	ENSMGAP00000012130
ENSLOCP00000015072	ENSMGAP00000005494
ENSLOCP00000011033	ENSMGAP00000000432
ENSLOCP00000003380	ENSMGAP00000010996
ENSLOCP00000002426	ENSMGAP00000004600
ENSLOCP00000012613	ENSMGAP00000004769
ENSLOCP00000019084	ENSMGAP00000008135
ENSLOCP00000016794	ENSMGAP00000007577
ENSLOCP00000007049	ENSMGAP00000010974
ENSLOCP00000021122	ENSMGAP00000013515
ENSLOCP00000004953	ENSMGAP00000011943
ENSLOCP00000012614	ENSMGAP00000000964
ENSLOCP00000003234	ENSMGAP00000003538
ENSLOCP00000009421	ENSMGAP00000006673
ENSLOCP00000010161	ENSMGAP00000019154
ENSLOCP00000005393	ENSMGAP00000018976
ENSLOCP00000012552	ENSMGAP00000008306
ENSLOCP00000012928	ENSMGAP00000008756
ENSLOCP00000014564	ENSMGAP00000005181
ENSLOCP00000019362	ENSMGAP00000012044
ENSLOCP00000009470	ENSMGAP00000015568
ENSLOCP00000012355	ENSMGAP00000015570
ENSLOCP00000019262	ENSMGAP00000003190
ENSLOCP00000011077	ENSMGAP00000001772
ENSLOCP00000017982	ENSMGAP00000005589
ENSLOCP00000011435	ENSMGAP00000007854
ENSLOCP00000003826	ENSMGAP00000006564
ENSLOCP00000011874	ENSMGAP00000000062
ENSLOCP00000020061	ENSMGAP00000013566
ENSLOCP00000021247	ENSMGAP00000014847
ENSLOCP00000018907	ENSMGAP00000008226
ENSLOCP00000014009	ENSMGAP00000019750
ENSLOCP00000011105	ENSMGAP00000001752
ENSLOCP00000012449	ENSMGAP00000008466
ENSLOCP00000014471	ENSMGAP00000001356
ENSLOCP00000019926	ENSMGAP00000014625
ENSLOCP00000014491	ENSMGAP00000013090
ENSLOCP00000016691	ENSMGAP00000007848
ENSLOCP00000010143	ENSMGAP00000010300
ENSLOCP00000003063	ENSMGAP00000003617
ENSLOCP00000003082	ENSMGAP00000003530
ENSLOCP00000010983	ENSMGAP00000009825
ENSLOCP00000018480	ENSMGAP00000000737
ENSLOCP00000001148	ENSMGAP00000011815
ENSLOCP00000007419	ENSMGAP00000011218
ENSLOCP00000003101	ENSMGAP00000012705
ENSLOCP00000015600	ENSMGAP00000007078
ENSLOCP00000014762	ENSMGAP00000011134
ENSLOCP00000014741	ENSMGAP00000017509
ENSLOCP00000012489	ENSMGAP00000013574
ENSLOCP00000016111	ENSMGAP00000000718
ENSLOCP00000016120	ENSMGAP00000000730
ENSLOCP00000011258	ENSMGAP00000012182
ENSLOCP00000008502	ENSMGAP00000018544
ENSLOCP00000010754	ENSMGAP00000015716
ENSLOCP00000005040	ENSMGAP00000003367
ENSLOCP00000004226	ENSMGAP00000009944
ENSLOCP00000005055	ENSMGAP00000003349
ENSLOCP00000004207	ENSMGAP00000009979
ENSLOCP00000020195	ENSMGAP00000016886
ENSLOCP00000020758	ENSMGAP00000009563
ENSLOCP00000005716	ENSMGAP00000002250
ENSLOCP00000003844	ENSMGAP00000013153
ENSLOCP00000016149	ENSMGAP00000007392
ENSLOCP00000013403	ENSMGAP00000006485
ENSLOCP00000003765	ENSMGAP00000003262
ENSLOCP00000008575	ENSMGAP00000012561
ENSLOCP00000015536	ENSMGAP00000003178
ENSLOCP00000002907	ENSMGAP00000010564
ENSLOCP00000021066	ENSMGAP00000011128
ENSLOCP00000015909	ENSMGAP00000007926
ENSLOCP00000019661	ENSMGAP00000006160
ENSLOCP00000012721	ENSMGAP00000014264
ENSLOCP00000014558	ENSMGAP00000010923
ENSLOCP00000014569	ENSMGAP00000010925
ENSLOCP00000021145	ENSMGAP00000014141
ENSLOCP00000021146	ENSMGAP00000014140
ENSLOCP00000003977	ENSMGAP00000012934
ENSLOCP00000017733	ENSMGAP00000009394
ENSLOCP00000001796	ENSMGAP00000008318
ENSLOCP00000006578	ENSMGAP00000009205
ENSLOCP00000005658	ENSMGAP00000010936
ENSLOCP00000000809	ENSMGAP00000011774
ENSLOCP00000016973	ENSMGAP00000006256
ENSLOCP00000012649	ENSMGAP00000009009
ENSLOCP00000015071	ENSMGAP00000011385
ENSLOCP00000001084	ENSMGAP00000001142
ENSLOCP00000018253	ENSMGAP00000003590
ENSLOCP00000007361	ENSMGAP00000004457
ENSLOCP00000013226	ENSMGAP00000008988
ENSLOCP00000013456	ENSMGAP00000008872
ENSLOCP00000008342	ENSMGAP00000010443
ENSLOCP00000002711	ENSMGAP00000000679
ENSLOCP00000014306	ENSMGAP00000014048
ENSLOCP00000015075	ENSMGAP00000012880
ENSLOCP00000019744	ENSMGAP00000004391
ENSLOCP00000020291	ENSMGAP00000014779
ENSLOCP00000021287	ENSMGAP00000014780
ENSLOCP00000002663	ENSMGAP00000004289
ENSLOCP00000020394	ENSMGAP00000018702
ENSLOCP00000001781	ENSMGAP00000008743
ENSLOCP00000014227	ENSMGAP00000010280
ENSLOCP00000004757	ENSMGAP00000011153
ENSLOCP00000014258	ENSMGAP00000016657
ENSLOCP00000013970	ENSMGAP00000006427
ENSLOCP00000018471	ENSMGAP00000016637
ENSLOCP00000006667	ENSMGAP00000009178
ENSLOCP00000017850	ENSMGAP00000009175
ENSLOCP00000005447	ENSMGAP00000005907
ENSLOCP00000020933	ENSMGAP00000013873
ENSLOCP00000017282	ENSMGAP00000010650
ENSLOCP00000001146	ENSMGAP00000010259
ENSLOCP00000008429	ENSMGAP00000007940
ENSLOCP00000019522	ENSMGAP00000008522
ENSLOCP00000019528	ENSMGAP00000008533
ENSLOCP00000017521	ENSMGAP00000000892
ENSLOCP00000017582	ENSMGAP00000005766
ENSLOCP00000016494	ENSMGAP00000010471
ENSLOCP00000001689	ENSMGAP00000009748
ENSLOCP00000019939	ENSMGAP00000014629
ENSLOCP00000015630	ENSMGAP00000013528
ENSLOCP00000001021	ENSMGAP00000007961
ENSLOCP00000007379	ENSMGAP00000008585
ENSLOCP00000012349	ENSMGAP00000014342
ENSLOCP00000012326	ENSMGAP00000014345
ENSLOCP00000008344	ENSMGAP00000013739
ENSLOCP00000014722	ENSMGAP00000003888
ENSLOCP00000004731	ENSMGAP00000000980
ENSLOCP00000006899	ENSMGAP00000011431
ENSLOCP00000019725	ENSMGAP00000005911
ENSLOCP00000014625	ENSMGAP00000014536
ENSLOCP00000011702	ENSMGAP00000017551
ENSLOCP00000004154	ENSMGAP00000003873
ENSLOCP00000004137	ENSMGAP00000002322
ENSLOCP00000011163	ENSMGAP00000013170
ENSLOCP00000020251	ENSMGAP00000019340
ENSLOCP00000020287	ENSMGAP00000014778
ENSLOCP00000007217	ENSMGAP00000011272
ENSLOCP00000000876	ENSMGAP00000001815
ENSLOCP00000003376	ENSMGAP00000008157
ENSLOCP00000011255	ENSMGAP00000013247
ENSLOCP00000021189	ENSMGAP00000014108
ENSLOCP00000002235	ENSMGAP00000000499
ENSLOCP00000003249	ENSMGAP00000001575
ENSLOCP00000019473	ENSMGAP00000015092
ENSLOCP00000013472	ENSMGAP00000015391
ENSLOCP00000018778	ENSMGAP00000001688
ENSLOCP00000019433	ENSMGAP00000007468
ENSLOCP00000003471	ENSMGAP00000007893
ENSLOCP00000001969	ENSMGAP00000003355
ENSLOCP00000022429	ENSMGAP00000016365
ENSLOCP00000021935	ENSMGAP00000016855
ENSLOCP00000019632	ENSMGAP00000011869
ENSLOCP00000019295	ENSMGAP00000004109
ENSLOCP00000011741	ENSMGAP00000007245
ENSLOCP00000000046	ENSMGAP00000008731
ENSLOCP00000016875	ENSMGAP00000000086
ENSLOCP00000014518	ENSMGAP00000002593
ENSLOCP00000010114	ENSMGAP00000014707
ENSLOCP00000011158	ENSMGAP00000001163
ENSLOCP00000006055	ENSMGAP00000001348
ENSLOCP00000013253	ENSMGAP00000007519
ENSLOCP00000021070	ENSMGAP00000011156
ENSLOCP00000001317	ENSMGAP00000000369
ENSLOCP00000001059	ENSMGAP00000001091
ENSLOCP00000018776	ENSMGAP00000013568
ENSLOCP00000007029	ENSMGAP00000004554
ENSLOCP00000016847	ENSMGAP00000008420
ENSLOCP00000013710	ENSMGAP00000000085
ENSLOCP00000015642	ENSMGAP00000018204
ENSLOCP00000005107	ENSMGAP00000006390
ENSLOCP00000010365	ENSMGAP00000000887
ENSLOCP00000011542	ENSMGAP00000002328
ENSLOCP00000012590	ENSMGAP00000008286
ENSLOCP00000004821	ENSMGAP00000015441
ENSLOCP00000001873	ENSMGAP00000000762
ENSLOCP00000000044	ENSMGAP00000008714
ENSLOCP00000020944	ENSMGAP00000014425
ENSLOCP00000009374	ENSMGAP00000000509
ENSLOCP00000002575	ENSMGAP00000010586
ENSLOCP00000013512	ENSMGAP00000008852
ENSLOCP00000003206	ENSMGAP00000001395
ENSLOCP00000014668	ENSMGAP00000009255
ENSLOCP00000015875	ENSMGAP00000008040
ENSLOCP00000006242	ENSMGAP00000008876
ENSLOCP00000007493	ENSMGAP00000004670
ENSLOCP00000009760	ENSMGAP00000003422
ENSLOCP00000005861	ENSMGAP00000015273
ENSLOCP00000008179	ENSMGAP00000003689
ENSLOCP00000020161	ENSMGAP00000011606
ENSLOCP00000020208	ENSMGAP00000011689
ENSLOCP00000003504	ENSMGAP00000015781
ENSLOCP00000018276	ENSMGAP00000009299
ENSLOCP00000011557	ENSMGAP00000015201
ENSLOCP00000002245	ENSMGAP00000003710
ENSLOCP00000005952	ENSMGAP00000011655
ENSLOCP00000017532	ENSMGAP00000008858
ENSLOCP00000021347	ENSMGAP00000014047
ENSLOCP00000006072	ENSMGAP00000011625
ENSLOCP00000015051	ENSMGAP00000011759
ENSLOCP00000015458	ENSMGAP00000000744
ENSLOCP00000006402	ENSMGAP00000005385
ENSLOCP00000002216	ENSMGAP00000005473
ENSLOCP00000019565	ENSMGAP00000014873
ENSLOCP00000014030	ENSMGAP00000004123
ENSLOCP00000004614	ENSMGAP00000006694
ENSLOCP00000004050	ENSMGAP00000012758
ENSLOCP00000011185	ENSMGAP00000002056
ENSLOCP00000004811	ENSMGAP00000016378
ENSLOCP00000006604	ENSMGAP00000006418
ENSLOCP00000013803	ENSMGAP00000013338
ENSLOCP00000016806	ENSMGAP00000007499
ENSLOCP00000003170	ENSMGAP00000007180
ENSLOCP00000003174	ENSMGAP00000002574
ENSLOCP00000021302	ENSMGAP00000014767
ENSLOCP00000002027	ENSMGAP00000004080
ENSLOCP00000013996	ENSMGAP00000014427
ENSLOCP00000000159	ENSMGAP00000006889
ENSLOCP00000005911	ENSMGAP00000002312
ENSLOCP00000003804	ENSMGAP00000013161
ENSLOCP00000009318	ENSMGAP00000010402
ENSLOCP00000013492	ENSMGAP00000010056
ENSLOCP00000000003	ENSMGAP00000009371
ENSLOCP00000005353	ENSMGAP00000003946
ENSLOCP00000008839	ENSMGAP00000007704
ENSLOCP00000013953	ENSMGAP00000000859
ENSLOCP00000010520	ENSMGAP00000011580
ENSLOCP00000010551	ENSMGAP00000019406
ENSLOCP00000011038	ENSMGAP00000002371
ENSLOCP00000010581	ENSMGAP00000015954
ENSLOCP00000006693	ENSMGAP00000008030
ENSLOCP00000018383	ENSMGAP00000002720
ENSLOCP00000005593	ENSMGAP00000002995
ENSLOCP00000022225	ENSMGAP00000013724
ENSLOCP00000015485	ENSMGAP00000005211
ENSLOCP00000001520	ENSMGAP00000002247
ENSLOCP00000021137	ENSMGAP00000014035
ENSLOCP00000019545	ENSMGAP00000008702
ENSLOCP00000006609	ENSMGAP00000005660
ENSLOCP00000007633	ENSMGAP00000008955
ENSLOCP00000002749	ENSMGAP00000006471
ENSLOCP00000017868	ENSMGAP00000009069
ENSLOCP00000007449	ENSMGAP00000003984
ENSLOCP00000020390	ENSMGAP00000012377
ENSLOCP00000019935	ENSMGAP00000014886
ENSLOCP00000011379	ENSMGAP00000011317
ENSLOCP00000000818	ENSMGAP00000007542
ENSLOCP00000002181	ENSMGAP00000007616
ENSLOCP00000018932	ENSMGAP00000014484
ENSLOCP00000015379	ENSMGAP00000012667
ENSLOCP00000020033	ENSMGAP00000012872
ENSLOCP00000001598	ENSMGAP00000004677
ENSLOCP00000007296	ENSMGAP00000003309
ENSLOCP00000014096	ENSMGAP00000005030
ENSLOCP00000007844	ENSMGAP00000011808
ENSLOCP00000014117	ENSMGAP00000017043
ENSLOCP00000002613	ENSMGAP00000003362
ENSLOCP00000008628	ENSMGAP00000010091
ENSLOCP00000009922	ENSMGAP00000005287
ENSLOCP00000004498	ENSMGAP00000012887
ENSLOCP00000014035	ENSMGAP00000004102
ENSLOCP00000009982	ENSMGAP00000006474
ENSLOCP00000016722	ENSMGAP00000019025
ENSLOCP00000011965	ENSMGAP00000001538
ENSLOCP00000020080	ENSMGAP00000011398
ENSLOCP00000005783	ENSMGAP00000001897
ENSLOCP00000019185	ENSMGAP00000009060
ENSLOCP00000012674	ENSMGAP00000004606
ENSLOCP00000005296	ENSMGAP00000000642
ENSLOCP00000003287	ENSMGAP00000012789
ENSLOCP00000010604	ENSMGAP00000009313
ENSLOCP00000003378	ENSMGAP00000008536
ENSLOCP00000010054	ENSMGAP00000007353
ENSLOCP00000007257	ENSMGAP00000016272
ENSLOCP00000021652	ENSMGAP00000009488
ENSLOCP00000022460	ENSMGAP00000005069
ENSLOCP00000019618	ENSMGAP00000009336
ENSLOCP00000004204	ENSMGAP00000006249
ENSLOCP00000008543	ENSMGAP00000008115
ENSLOCP00000013145	ENSMGAP00000005020
ENSLOCP00000021590	ENSMGAP00000016743
ENSLOCP00000002170	ENSMGAP00000011387
ENSLOCP00000008685	ENSMGAP00000010642
ENSLOCP00000008726	ENSMGAP00000003290
ENSLOCP00000008789	ENSMGAP00000010616
ENSLOCP00000010061	ENSMGAP00000014760
ENSLOCP00000011092	ENSMGAP00000013176
ENSLOCP00000021278	ENSMGAP00000014789
ENSLOCP00000017639	ENSMGAP00000010924
ENSLOCP00000012831	ENSMGAP00000008195
ENSLOCP00000003355	ENSMGAP00000008829
ENSLOCP00000021018	ENSMGAP00000013287
ENSLOCP00000000167	ENSMGAP00000016002
ENSLOCP00000015252	ENSMGAP00000004273
ENSLOCP00000000654	ENSMGAP00000004013
ENSLOCP00000011013	ENSMGAP00000006825
ENSLOCP00000011651	ENSMGAP00000010088
ENSLOCP00000013287	ENSMGAP00000013864
ENSLOCP00000008358	ENSMGAP00000003424
ENSLOCP00000020447	ENSMGAP00000014323
ENSLOCP00000014891	ENSMGAP00000008303
ENSLOCP00000002608	ENSMGAP00000013753
ENSLOCP00000006896	ENSMGAP00000015086
ENSLOCP00000018708	ENSMGAP00000001419
ENSLOCP00000006698	ENSMGAP00000003442
ENSLOCP00000001338	ENSMGAP00000001207
ENSLOCP00000015784	ENSMGAP00000017075
ENSLOCP00000018164	ENSMGAP00000004136
ENSLOCP00000009322	ENSMGAP00000019054
ENSLOCP00000012690	ENSMGAP00000009053
ENSLOCP00000010217	ENSMGAP00000011324
ENSLOCP00000010059	ENSMGAP00000015982
ENSLOCP00000016032	ENSMGAP00000012956
ENSLOCP00000011120	ENSMGAP00000013146
ENSLOCP00000004451	ENSMGAP00000012051
ENSLOCP00000003772	ENSMGAP00000005889
ENSLOCP00000014513	ENSMGAP00000010883
ENSLOCP00000005710	ENSMGAP00000008681
ENSLOCP00000004014	ENSMGAP00000005466
ENSLOCP00000007253	ENSMGAP00000013654
ENSLOCP00000019030	ENSMGAP00000012674
ENSLOCP00000014694	ENSMGAP00000003801
ENSLOCP00000004225	ENSMGAP00000008615
ENSLOCP00000003011	ENSMGAP00000009543
ENSLOCP00000007157	ENSMGAP00000002974
ENSLOCP00000017345	ENSMGAP00000012582
ENSLOCP00000016622	ENSMGAP00000009859
ENSLOCP00000019775	ENSMGAP00000018681
ENSLOCP00000007894	ENSMGAP00000009417
ENSLOCP00000020501	ENSMGAP00000013979
ENSLOCP00000003311	ENSMGAP00000008333
ENSLOCP00000008481	ENSMGAP00000012517
ENSLOCP00000005652	ENSMGAP00000001548
ENSLOCP00000009356	ENSMGAP00000010456
ENSLOCP00000001805	ENSMGAP00000015665
ENSLOCP00000014068	ENSMGAP00000007322
ENSLOCP00000020186	ENSMGAP00000011636
ENSLOCP00000010723	ENSMGAP00000012013
ENSLOCP00000010751	ENSMGAP00000012026
ENSLOCP00000009672	ENSMGAP00000005302
ENSLOCP00000021427	ENSMGAP00000016750
ENSLOCP00000006662	ENSMGAP00000004470
ENSLOCP00000010135	ENSMGAP00000010142
ENSLOCP00000006228	ENSMGAP00000011560
ENSLOCP00000000800	ENSMGAP00000002069
ENSLOCP00000008781	ENSMGAP00000004515
ENSLOCP00000003646	ENSMGAP00000015154
ENSLOCP00000000240	ENSMGAP00000000834
ENSLOCP00000018454	ENSMGAP00000001088
ENSLOCP00000006716	ENSMGAP00000003283
ENSLOCP00000019560	ENSMGAP00000015103
ENSLOCP00000005913	ENSMGAP00000011665
ENSLOCP00000016038	ENSMGAP00000018477
ENSLOCP00000012784	ENSMGAP00000012426
ENSLOCP00000005472	ENSMGAP00000015431
ENSLOCP00000005232	ENSMGAP00000004052
ENSLOCP00000014168	ENSMGAP00000007852
ENSLOCP00000004123	ENSMGAP00000012793
ENSLOCP00000009388	ENSMGAP00000010423
ENSLOCP00000005993	ENSMGAP00000006493
ENSLOCP00000016715	ENSMGAP00000002459
ENSLOCP00000002485	ENSMGAP00000007000
ENSLOCP00000018255	ENSMGAP00000005320
ENSLOCP00000007915	ENSMGAP00000012292
ENSLOCP00000010992	ENSMGAP00000003179
ENSLOCP00000006907	ENSMGAP00000016183
ENSLOCP00000017392	ENSMGAP00000012498
ENSLOCP00000018843	ENSMGAP00000011284
ENSLOCP00000011223	ENSMGAP00000004241
ENSLOCP00000015154	ENSMGAP00000004359
ENSLOCP00000015904	ENSMGAP00000005564
ENSLOCP00000009105	ENSMGAP00000010368
ENSLOCP00000002324	ENSMGAP00000011345
ENSLOCP00000018143	ENSMGAP00000017489
ENSLOCP00000004176	ENSMGAP00000005791
ENSLOCP00000004282	ENSMGAP00000000187
ENSLOCP00000002233	ENSMGAP00000003686
ENSLOCP00000021344	ENSMGAP00000014073
ENSLOCP00000017437	ENSMGAP00000010967
ENSLOCP00000007332	ENSMGAP00000003799
ENSLOCP00000003351	ENSMGAP00000019424
ENSLOCP00000016692	ENSMGAP00000006067
ENSLOCP00000009637	ENSMGAP00000001692
ENSLOCP00000005346	ENSMGAP00000000222
ENSLOCP00000019684	ENSMGAP00000006182
ENSLOCP00000020448	ENSMGAP00000019133
ENSLOCP00000020509	ENSMGAP00000014252
ENSLOCP00000010718	ENSMGAP00000016530
ENSLOCP00000018366	ENSMGAP00000001734
ENSLOCP00000013425	ENSMGAP00000007819
ENSLOCP00000014830	ENSMGAP00000013445
ENSLOCP00000007760	ENSMGAP00000019781
ENSLOCP00000004463	ENSMGAP00000016437
ENSLOCP00000009722	ENSMGAP00000017228
ENSLOCP00000002448	ENSMGAP00000016406
ENSLOCP00000002374	ENSMGAP00000000443
ENSLOCP00000001500	ENSMGAP00000007199
ENSLOCP00000004242	ENSMGAP00000010914
ENSLOCP00000011089	ENSMGAP00000005390
ENSLOCP00000016565	ENSMGAP00000008577
ENSLOCP00000018142	ENSMGAP00000009032
ENSLOCP00000017846	ENSMGAP00000008400
ENSLOCP00000014700	ENSMGAP00000012893
ENSLOCP00000007534	ENSMGAP00000002200
ENSLOCP00000003529	ENSMGAP00000008339
ENSLOCP00000016401	ENSMGAP00000009787
ENSLOCP00000010689	ENSMGAP00000015712
ENSLOCP00000014210	ENSMGAP00000005690
ENSLOCP00000018245	ENSMGAP00000003532
ENSLOCP00000004841	ENSMGAP00000002285
ENSLOCP00000005570	ENSMGAP00000003792
ENSLOCP00000016283	ENSMGAP00000001471
ENSLOCP00000016582	ENSMGAP00000005995
ENSLOCP00000019749	ENSMGAP00000004414
ENSLOCP00000018694	ENSMGAP00000018341
ENSLOCP00000018478	ENSMGAP00000013737
ENSLOCP00000020976	ENSMGAP00000014138
ENSLOCP00000020203	ENSMGAP00000010085
ENSLOCP00000012519	ENSMGAP00000014303
ENSLOCP00000014207	ENSMGAP00000014086
ENSLOCP00000020679	ENSMGAP00000003393
ENSLOCP00000012005	ENSMGAP00000011526
ENSLOCP00000003330	ENSMGAP00000012814
ENSLOCP00000002611	ENSMGAP00000011679
ENSLOCP00000001895	ENSMGAP00000007789
ENSLOCP00000018089	ENSMGAP00000003057
ENSLOCP00000005462	ENSMGAP00000000986
ENSLOCP00000002743	ENSMGAP00000002904
ENSLOCP00000017875	ENSMGAP00000006908
ENSLOCP00000007152	ENSMGAP00000016162
ENSLOCP00000018765	ENSMGAP00000007799
ENSLOCP00000012122	ENSMGAP00000015733
ENSLOCP00000009744	ENSMGAP00000006170
ENSLOCP00000010411	ENSMGAP00000015182
ENSLOCP00000007095	ENSMGAP00000008545
ENSLOCP00000004760	ENSMGAP00000008887
ENSLOCP00000009579	ENSMGAP00000001786
ENSLOCP00000002781	ENSMGAP00000009648
ENSLOCP00000009822	ENSMGAP00000003766
ENSLOCP00000004134	ENSMGAP00000015790
ENSLOCP00000017556	ENSMGAP00000002674
ENSLOCP00000007716	ENSMGAP00000003647
ENSLOCP00000009183	ENSMGAP00000003351
ENSLOCP00000008045	ENSMGAP00000003196
ENSLOCP00000002797	ENSMGAP00000003198
ENSLOCP00000011743	ENSMGAP00000013062
ENSLOCP00000014275	ENSMGAP00000014064
ENSLOCP00000014296	ENSMGAP00000008325
ENSLOCP00000014267	ENSMGAP00000014066
ENSLOCP00000017734	ENSMGAP00000008904
ENSLOCP00000007190	ENSMGAP00000019426
ENSLOCP00000007552	ENSMGAP00000011684
ENSLOCP00000008912	ENSMGAP00000006542
ENSLOCP00000014255	ENSMGAP00000010260
ENSLOCP00000010755	ENSMGAP00000014993
ENSLOCP00000010301	ENSMGAP00000008086
ENSLOCP00000004403	ENSMGAP00000009827
ENSLOCP00000016384	ENSMGAP00000001561
ENSLOCP00000019211	ENSMGAP00000002954
ENSLOCP00000007969	ENSMGAP00000000108
ENSLOCP00000014935	ENSMGAP00000003907
