ENSTNIP00000006282	ENSDARP00000122973
ENSTNIP00000006171	ENSDARP00000043235
ENSTNIP00000011460	ENSDARP00000112135
ENSTNIP00000019469	ENSDARP00000020894
ENSTNIP00000017513	ENSDARP00000117890
ENSTNIP00000005138	ENSDARP00000105765
ENSTNIP00000016461	ENSDARP00000016657
ENSTNIP00000013509	ENSDARP00000043465
ENSTNIP00000011878	ENSDARP00000117927
ENSTNIP00000012472	ENSDARP00000036715
ENSTNIP00000019321	ENSDARP00000013849
ENSTNIP00000011270	ENSDARP00000128322
ENSTNIP00000005780	ENSDARP00000122573
ENSTNIP00000005826	ENSDARP00000096293
ENSTNIP00000011480	ENSDARP00000097747
ENSTNIP00000016134	ENSDARP00000102479
ENSTNIP00000021647	ENSDARP00000039324
ENSTNIP00000021926	ENSDARP00000017456
ENSTNIP00000012710	ENSDARP00000118774
ENSTNIP00000017166	ENSDARP00000104468
ENSTNIP00000020273	ENSDARP00000097050
ENSTNIP00000018299	ENSDARP00000025441
ENSTNIP00000020489	ENSDARP00000097768
ENSTNIP00000003418	ENSDARP00000060526
ENSTNIP00000004064	ENSDARP00000102702
ENSTNIP00000010518	ENSDARP00000128832
ENSTNIP00000010517	ENSDARP00000128926
ENSTNIP00000018824	ENSDARP00000105356
ENSTNIP00000013569	ENSDARP00000072778
ENSTNIP00000010483	ENSDARP00000123389
ENSTNIP00000013568	ENSDARP00000072786
ENSTNIP00000015078	ENSDARP00000129163
ENSTNIP00000017450	ENSDARP00000083020
ENSTNIP00000018141	ENSDARP00000036929
ENSTNIP00000006801	ENSDARP00000114466
ENSTNIP00000016676	ENSDARP00000109018
ENSTNIP00000009262	ENSDARP00000098378
ENSTNIP00000009047	ENSDARP00000053157
ENSTNIP00000016121	ENSDARP00000099910
ENSTNIP00000005821	ENSDARP00000121246
ENSTNIP00000018140	ENSDARP00000007140
ENSTNIP00000014336	ENSDARP00000104491
ENSTNIP00000020689	ENSDARP00000099879
ENSTNIP00000010887	ENSDARP00000076418
ENSTNIP00000022426	ENSDARP00000052791
ENSTNIP00000021883	ENSDARP00000070109
ENSTNIP00000021431	ENSDARP00000002973
ENSTNIP00000018584	ENSDARP00000087079
ENSTNIP00000020641	ENSDARP00000067607
ENSTNIP00000019827	ENSDARP00000071278
ENSTNIP00000002296	ENSDARP00000016139
ENSTNIP00000001653	ENSDARP00000087500
ENSTNIP00000019957	ENSDARP00000009865
ENSTNIP00000003727	ENSDARP00000103041
ENSTNIP00000005723	ENSDARP00000106740
ENSTNIP00000018097	ENSDARP00000105608
ENSTNIP00000020081	ENSDARP00000062853
ENSTNIP00000000829	ENSDARP00000015027
ENSTNIP00000006467	ENSDARP00000036016
ENSTNIP00000000186	ENSDARP00000104838
ENSTNIP00000009228	ENSDARP00000110537
ENSTNIP00000020402	ENSDARP00000100111
ENSTNIP00000007715	ENSDARP00000101968
ENSTNIP00000004648	ENSDARP00000056678
ENSTNIP00000021157	ENSDARP00000122393
ENSTNIP00000011922	ENSDARP00000060945
ENSTNIP00000017400	ENSDARP00000086789
ENSTNIP00000006361	ENSDARP00000078040
ENSTNIP00000021648	ENSDARP00000110256
ENSTNIP00000008907	ENSDARP00000020784
ENSTNIP00000004911	ENSDARP00000111457
ENSTNIP00000005718	ENSDARP00000013157
ENSTNIP00000011862	ENSDARP00000052440
ENSTNIP00000019644	ENSDARP00000105799
ENSTNIP00000011017	ENSDARP00000107372
ENSTNIP00000020846	ENSDARP00000129253
ENSTNIP00000015267	ENSDARP00000107527
ENSTNIP00000001471	ENSDARP00000107947
ENSTNIP00000015450	ENSDARP00000053660
ENSTNIP00000019426	ENSDARP00000063724
ENSTNIP00000014174	ENSDARP00000114340
ENSTNIP00000003920	ENSDARP00000117746
ENSTNIP00000011501	ENSDARP00000005170
ENSTNIP00000006548	ENSDARP00000101407
ENSTNIP00000018720	ENSDARP00000056104
ENSTNIP00000015252	ENSDARP00000118166
ENSTNIP00000022495	ENSDARP00000041684
ENSTNIP00000006011	ENSDARP00000098075
ENSTNIP00000018500	ENSDARP00000057623
ENSTNIP00000016574	ENSDARP00000052306
ENSTNIP00000012789	ENSDARP00000069080
ENSTNIP00000007675	ENSDARP00000052420
ENSTNIP00000011305	ENSDARP00000109966
ENSTNIP00000005906	ENSDARP00000010384
ENSTNIP00000019554	ENSDARP00000086597
ENSTNIP00000022151	ENSDARP00000106043
ENSTNIP00000017016	ENSDARP00000016959
ENSTNIP00000002037	ENSDARP00000003829
ENSTNIP00000007548	ENSDARP00000086523
ENSTNIP00000003018	ENSDARP00000036828
ENSTNIP00000008097	ENSDARP00000123474
ENSTNIP00000008591	ENSDARP00000098876
ENSTNIP00000011488	ENSDARP00000049623
ENSTNIP00000020186	ENSDARP00000119476
ENSTNIP00000011323	ENSDARP00000105575
ENSTNIP00000014635	ENSDARP00000055224
ENSTNIP00000020177	ENSDARP00000005680
ENSTNIP00000017366	ENSDARP00000129595
ENSTNIP00000014001	ENSDARP00000052060
ENSTNIP00000008502	ENSDARP00000129116
ENSTNIP00000011795	ENSDARP00000008475
ENSTNIP00000008278	ENSDARP00000058968
ENSTNIP00000018932	ENSDARP00000113959
ENSTNIP00000016220	ENSDARP00000074144
ENSTNIP00000007358	ENSDARP00000098571
ENSTNIP00000019819	ENSDARP00000079823
ENSTNIP00000003984	ENSDARP00000008223
ENSTNIP00000020469	ENSDARP00000104791
ENSTNIP00000020539	ENSDARP00000127915
ENSTNIP00000012306	ENSDARP00000108980
ENSTNIP00000004866	ENSDARP00000019171
ENSTNIP00000018333	ENSDARP00000098897
ENSTNIP00000007331	ENSDARP00000039553
ENSTNIP00000016977	ENSDARP00000052983
ENSTNIP00000007401	ENSDARP00000007058
ENSTNIP00000018800	ENSDARP00000105944
ENSTNIP00000000638	ENSDARP00000106138
ENSTNIP00000020868	ENSDARP00000123199
ENSTNIP00000012825	ENSDARP00000102786
ENSTNIP00000005462	ENSDARP00000084650
ENSTNIP00000007968	ENSDARP00000084598
ENSTNIP00000019825	ENSDARP00000088628
ENSTNIP00000019031	ENSDARP00000121158
ENSTNIP00000016206	ENSDARP00000102048
ENSTNIP00000011294	ENSDARP00000101583
ENSTNIP00000015043	ENSDARP00000099266
ENSTNIP00000019913	ENSDARP00000097967
ENSTNIP00000013793	ENSDARP00000063051
ENSTNIP00000006090	ENSDARP00000036150
ENSTNIP00000011747	ENSDARP00000113492
ENSTNIP00000017521	ENSDARP00000044573
ENSTNIP00000003575	ENSDARP00000115965
ENSTNIP00000007340	ENSDARP00000101420
ENSTNIP00000016040	ENSDARP00000112407
ENSTNIP00000014011	ENSDARP00000013006
ENSTNIP00000021443	ENSDARP00000064825
ENSTNIP00000019065	ENSDARP00000040837
ENSTNIP00000001502	ENSDARP00000042673
ENSTNIP00000005691	ENSDARP00000018863
ENSTNIP00000017462	ENSDARP00000026323
ENSTNIP00000011020	ENSDARP00000110909
ENSTNIP00000009412	ENSDARP00000013506
ENSTNIP00000016188	ENSDARP00000102910
ENSTNIP00000021725	ENSDARP00000102260
ENSTNIP00000002453	ENSDARP00000012147
ENSTNIP00000010487	ENSDARP00000073893
ENSTNIP00000019645	ENSDARP00000104859
ENSTNIP00000001588	ENSDARP00000025072
ENSTNIP00000021255	ENSDARP00000057731
ENSTNIP00000013536	ENSDARP00000075572
ENSTNIP00000002745	ENSDARP00000093847
ENSTNIP00000002580	ENSDARP00000087820
ENSTNIP00000010184	ENSDARP00000002635
ENSTNIP00000011332	ENSDARP00000108255
ENSTNIP00000016915	ENSDARP00000073523
ENSTNIP00000019096	ENSDARP00000105139
ENSTNIP00000008096	ENSDARP00000112991
ENSTNIP00000011744	ENSDARP00000030625
ENSTNIP00000007098	ENSDARP00000014061
ENSTNIP00000018861	ENSDARP00000054692
ENSTNIP00000012246	ENSDARP00000084007
ENSTNIP00000015807	ENSDARP00000078442
ENSTNIP00000004001	ENSDARP00000124333
ENSTNIP00000015237	ENSDARP00000118167
ENSTNIP00000022499	ENSDARP00000129724
ENSTNIP00000009462	ENSDARP00000091436
ENSTNIP00000019057	ENSDARP00000109870
ENSTNIP00000004593	ENSDARP00000124246
ENSTNIP00000005847	ENSDARP00000128596
ENSTNIP00000017010	ENSDARP00000100072
ENSTNIP00000019191	ENSDARP00000129124
ENSTNIP00000017983	ENSDARP00000070686
ENSTNIP00000012711	ENSDARP00000092253
ENSTNIP00000016696	ENSDARP00000080769
ENSTNIP00000012359	ENSDARP00000087935
ENSTNIP00000009909	ENSDARP00000052637
ENSTNIP00000016697	ENSDARP00000109838
ENSTNIP00000005696	ENSDARP00000106457
ENSTNIP00000016193	ENSDARP00000012791
ENSTNIP00000021720	ENSDARP00000006540
ENSTNIP00000013737	ENSDARP00000056073
ENSTNIP00000005501	ENSDARP00000105119
ENSTNIP00000022314	ENSDARP00000111869
ENSTNIP00000002392	ENSDARP00000065396
ENSTNIP00000017622	ENSDARP00000053775
ENSTNIP00000021604	ENSDARP00000059618
ENSTNIP00000018794	ENSDARP00000106564
ENSTNIP00000020092	ENSDARP00000022147
ENSTNIP00000009396	ENSDARP00000066366
ENSTNIP00000005167	ENSDARP00000095220
ENSTNIP00000006348	ENSDARP00000099181
ENSTNIP00000016316	ENSDARP00000127731
ENSTNIP00000017394	ENSDARP00000129655
ENSTNIP00000018191	ENSDARP00000119088
ENSTNIP00000010080	ENSDARP00000121875
ENSTNIP00000013946	ENSDARP00000073048
ENSTNIP00000005481	ENSDARP00000109154
ENSTNIP00000003187	ENSDARP00000019674
ENSTNIP00000003719	ENSDARP00000056452
ENSTNIP00000011174	ENSDARP00000068816
ENSTNIP00000011717	ENSDARP00000019643
ENSTNIP00000010479	ENSDARP00000106374
ENSTNIP00000016889	ENSDARP00000122397
ENSTNIP00000002630	ENSDARP00000053606
ENSTNIP00000013618	ENSDARP00000063586
ENSTNIP00000005469	ENSDARP00000116789
ENSTNIP00000006525	ENSDARP00000095720
ENSTNIP00000013679	ENSDARP00000022487
ENSTNIP00000004028	ENSDARP00000071274
ENSTNIP00000008113	ENSDARP00000050473
ENSTNIP00000007337	ENSDARP00000074794
ENSTNIP00000012410	ENSDARP00000025373
ENSTNIP00000004170	ENSDARP00000046044
ENSTNIP00000000096	ENSDARP00000063985
ENSTNIP00000019810	ENSDARP00000062984
ENSTNIP00000004172	ENSDARP00000117105
ENSTNIP00000018390	ENSDARP00000080352
ENSTNIP00000007392	ENSDARP00000128741
ENSTNIP00000005750	ENSDARP00000109601
ENSTNIP00000007463	ENSDARP00000039906
ENSTNIP00000015048	ENSDARP00000091774
ENSTNIP00000006337	ENSDARP00000099065
ENSTNIP00000018112	ENSDARP00000028904
ENSTNIP00000017584	ENSDARP00000114008
ENSTNIP00000000796	ENSDARP00000010917
ENSTNIP00000010808	ENSDARP00000025094
ENSTNIP00000022432	ENSDARP00000001617
ENSTNIP00000016575	ENSDARP00000080655
ENSTNIP00000021248	ENSDARP00000097784
ENSTNIP00000005097	ENSDARP00000098809
ENSTNIP00000015493	ENSDARP00000020703
ENSTNIP00000006412	ENSDARP00000072810
ENSTNIP00000008008	ENSDARP00000092056
ENSTNIP00000013057	ENSDARP00000052905
ENSTNIP00000021220	ENSDARP00000039916
ENSTNIP00000019177	ENSDARP00000079273
ENSTNIP00000017433	ENSDARP00000123999
ENSTNIP00000013744	ENSDARP00000053749
ENSTNIP00000006953	ENSDARP00000107734
ENSTNIP00000000410	ENSDARP00000047652
ENSTNIP00000022974	ENSDARP00000081855
ENSTNIP00000014125	ENSDARP00000091926
ENSTNIP00000002900	ENSDARP00000109462
ENSTNIP00000006791	ENSDARP00000076606
ENSTNIP00000015607	ENSDARP00000025648
ENSTNIP00000015045	ENSDARP00000098282
ENSTNIP00000004007	ENSDARP00000011426
ENSTNIP00000003017	ENSDARP00000089635
ENSTNIP00000000369	ENSDARP00000107258
ENSTNIP00000001462	ENSDARP00000109709
ENSTNIP00000013657	ENSDARP00000045814
ENSTNIP00000010056	ENSDARP00000019206
ENSTNIP00000020379	ENSDARP00000060763
ENSTNIP00000007156	ENSDARP00000068773
ENSTNIP00000008352	ENSDARP00000046463
ENSTNIP00000011972	ENSDARP00000043960
ENSTNIP00000009314	ENSDARP00000010533
ENSTNIP00000007481	ENSDARP00000105365
ENSTNIP00000016052	ENSDARP00000094247
ENSTNIP00000020615	ENSDARP00000069273
ENSTNIP00000019677	ENSDARP00000091908
ENSTNIP00000017029	ENSDARP00000106068
ENSTNIP00000014034	ENSDARP00000020217
ENSTNIP00000003024	ENSDARP00000113517
ENSTNIP00000009421	ENSDARP00000106281
ENSTNIP00000010293	ENSDARP00000124516
ENSTNIP00000013063	ENSDARP00000120338
ENSTNIP00000009402	ENSDARP00000064175
ENSTNIP00000014457	ENSDARP00000012382
ENSTNIP00000015608	ENSDARP00000049239
ENSTNIP00000013944	ENSDARP00000031665
ENSTNIP00000010409	ENSDARP00000050948
ENSTNIP00000000680	ENSDARP00000129242
ENSTNIP00000018493	ENSDARP00000078459
ENSTNIP00000014875	ENSDARP00000106886
ENSTNIP00000013202	ENSDARP00000078354
ENSTNIP00000018958	ENSDARP00000089497
ENSTNIP00000011931	ENSDARP00000127848
ENSTNIP00000006044	ENSDARP00000075190
ENSTNIP00000004644	ENSDARP00000096338
ENSTNIP00000023021	ENSDARP00000117865
ENSTNIP00000012426	ENSDARP00000045678
ENSTNIP00000012427	ENSDARP00000109120
ENSTNIP00000010696	ENSDARP00000122069
ENSTNIP00000000583	ENSDARP00000128113
ENSTNIP00000013315	ENSDARP00000068002
ENSTNIP00000007749	ENSDARP00000114765
ENSTNIP00000014995	ENSDARP00000122045
ENSTNIP00000003726	ENSDARP00000068054
ENSTNIP00000020639	ENSDARP00000128272
ENSTNIP00000014072	ENSDARP00000054743
ENSTNIP00000021071	ENSDARP00000012600
ENSTNIP00000015466	ENSDARP00000102221
ENSTNIP00000019074	ENSDARP00000059513
ENSTNIP00000017165	ENSDARP00000079805
ENSTNIP00000013799	ENSDARP00000122368
ENSTNIP00000005762	ENSDARP00000108227
ENSTNIP00000012469	ENSDARP00000077949
ENSTNIP00000005334	ENSDARP00000026364
ENSTNIP00000010559	ENSDARP00000123087
ENSTNIP00000020483	ENSDARP00000028379
ENSTNIP00000010273	ENSDARP00000075251
ENSTNIP00000020485	ENSDARP00000110487
ENSTNIP00000006251	ENSDARP00000093395
ENSTNIP00000014486	ENSDARP00000102577
ENSTNIP00000015355	ENSDARP00000069214
ENSTNIP00000020495	ENSDARP00000116818
ENSTNIP00000010366	ENSDARP00000077012
ENSTNIP00000006777	ENSDARP00000077905
ENSTNIP00000004232	ENSDARP00000079578
ENSTNIP00000011229	ENSDARP00000077013
ENSTNIP00000017504	ENSDARP00000034827
ENSTNIP00000014347	ENSDARP00000118891
ENSTNIP00000015091	ENSDARP00000103999
ENSTNIP00000021464	ENSDARP00000117089
ENSTNIP00000006009	ENSDARP00000064393
ENSTNIP00000015472	ENSDARP00000113608
ENSTNIP00000014070	ENSDARP00000044422
ENSTNIP00000022535	ENSDARP00000106287
ENSTNIP00000013166	ENSDARP00000126959
ENSTNIP00000017385	ENSDARP00000075402
ENSTNIP00000021633	ENSDARP00000098186
ENSTNIP00000006529	ENSDARP00000015303
ENSTNIP00000012589	ENSDARP00000109941
ENSTNIP00000019489	ENSDARP00000089603
ENSTNIP00000008351	ENSDARP00000077021
ENSTNIP00000011343	ENSDARP00000083042
ENSTNIP00000009832	ENSDARP00000104940
ENSTNIP00000011695	ENSDARP00000067932
ENSTNIP00000012507	ENSDARP00000061163
ENSTNIP00000010059	ENSDARP00000061134
ENSTNIP00000008124	ENSDARP00000076249
ENSTNIP00000005460	ENSDARP00000119520
ENSTNIP00000020028	ENSDARP00000035859
ENSTNIP00000009807	ENSDARP00000030813
ENSTNIP00000016240	ENSDARP00000088399
ENSTNIP00000018847	ENSDARP00000014010
ENSTNIP00000022138	ENSDARP00000109557
ENSTNIP00000005351	ENSDARP00000040307
ENSTNIP00000004489	ENSDARP00000011705
ENSTNIP00000006781	ENSDARP00000117905
ENSTNIP00000019601	ENSDARP00000006334
ENSTNIP00000018159	ENSDARP00000114769
ENSTNIP00000018605	ENSDARP00000105398
ENSTNIP00000017718	ENSDARP00000037689
ENSTNIP00000015414	ENSDARP00000072911
ENSTNIP00000000110	ENSDARP00000066933
ENSTNIP00000012771	ENSDARP00000092355
ENSTNIP00000016036	ENSDARP00000001039
ENSTNIP00000008856	ENSDARP00000095486
ENSTNIP00000005107	ENSDARP00000127303
ENSTNIP00000011131	ENSDARP00000098618
ENSTNIP00000013828	ENSDARP00000098410
ENSTNIP00000017790	ENSDARP00000128029
ENSTNIP00000009154	ENSDARP00000098684
ENSTNIP00000014948	ENSDARP00000111989
ENSTNIP00000022040	ENSDARP00000077638
ENSTNIP00000001447	ENSDARP00000102224
ENSTNIP00000008569	ENSDARP00000111319
ENSTNIP00000005153	ENSDARP00000028542
ENSTNIP00000007319	ENSDARP00000097773
ENSTNIP00000021294	ENSDARP00000108057
ENSTNIP00000011909	ENSDARP00000041235
ENSTNIP00000017076	ENSDARP00000124460
ENSTNIP00000005877	ENSDARP00000104544
ENSTNIP00000015101	ENSDARP00000032295
ENSTNIP00000012610	ENSDARP00000116051
ENSTNIP00000016469	ENSDARP00000126208
ENSTNIP00000022225	ENSDARP00000109588
ENSTNIP00000005455	ENSDARP00000038316
ENSTNIP00000009582	ENSDARP00000066188
ENSTNIP00000018175	ENSDARP00000116649
ENSTNIP00000012645	ENSDARP00000126663
ENSTNIP00000012663	ENSDARP00000111119
ENSTNIP00000011128	ENSDARP00000104626
ENSTNIP00000018971	ENSDARP00000121795
ENSTNIP00000015857	ENSDARP00000068089
ENSTNIP00000021291	ENSDARP00000024335
ENSTNIP00000008855	ENSDARP00000098001
ENSTNIP00000005864	ENSDARP00000101793
ENSTNIP00000004290	ENSDARP00000110965
ENSTNIP00000000564	ENSDARP00000120365
ENSTNIP00000004971	ENSDARP00000082784
ENSTNIP00000015609	ENSDARP00000098142
ENSTNIP00000022187	ENSDARP00000062190
ENSTNIP00000012230	ENSDARP00000077039
ENSTNIP00000008957	ENSDARP00000111021
ENSTNIP00000013606	ENSDARP00000091264
ENSTNIP00000018400	ENSDARP00000110333
ENSTNIP00000008151	ENSDARP00000067629
ENSTNIP00000001004	ENSDARP00000085044
ENSTNIP00000005989	ENSDARP00000005975
ENSTNIP00000005236	ENSDARP00000007836
ENSTNIP00000022156	ENSDARP00000018632
ENSTNIP00000001946	ENSDARP00000095328
ENSTNIP00000005006	ENSDARP00000032601
ENSTNIP00000000517	ENSDARP00000092425
ENSTNIP00000009610	ENSDARP00000092068
ENSTNIP00000009607	ENSDARP00000084700
ENSTNIP00000000276	ENSDARP00000103451
ENSTNIP00000011635	ENSDARP00000051104
ENSTNIP00000013963	ENSDARP00000067260
ENSTNIP00000016718	ENSDARP00000128595
ENSTNIP00000008250	ENSDARP00000086446
ENSTNIP00000018027	ENSDARP00000109667
ENSTNIP00000022375	ENSDARP00000113889
ENSTNIP00000015408	ENSDARP00000094710
ENSTNIP00000005958	ENSDARP00000117556
ENSTNIP00000013297	ENSDARP00000095187
ENSTNIP00000012416	ENSDARP00000026805
ENSTNIP00000005978	ENSDARP00000069597
ENSTNIP00000009886	ENSDARP00000109180
ENSTNIP00000021184	ENSDARP00000093113
ENSTNIP00000012902	ENSDARP00000091828
ENSTNIP00000011486	ENSDARP00000057524
ENSTNIP00000013856	ENSDARP00000077702
ENSTNIP00000008963	ENSDARP00000080290
ENSTNIP00000004438	ENSDARP00000101110
ENSTNIP00000014678	ENSDARP00000073439
ENSTNIP00000012223	ENSDARP00000106240
ENSTNIP00000005888	ENSDARP00000118753
ENSTNIP00000010928	ENSDARP00000119475
ENSTNIP00000021358	ENSDARP00000122486
ENSTNIP00000017140	ENSDARP00000126045
ENSTNIP00000014563	ENSDARP00000098491
ENSTNIP00000008143	ENSDARP00000055022
ENSTNIP00000014905	ENSDARP00000099217
ENSTNIP00000010929	ENSDARP00000094670
ENSTNIP00000008080	ENSDARP00000078963
ENSTNIP00000014536	ENSDARP00000043931
ENSTNIP00000001002	ENSDARP00000096674
ENSTNIP00000001466	ENSDARP00000121065
ENSTNIP00000014393	ENSDARP00000113858
ENSTNIP00000020628	ENSDARP00000076873
ENSTNIP00000012089	ENSDARP00000093925
ENSTNIP00000015747	ENSDARP00000054451
ENSTNIP00000008779	ENSDARP00000113100
ENSTNIP00000021891	ENSDARP00000002935
ENSTNIP00000015555	ENSDARP00000124605
ENSTNIP00000015859	ENSDARP00000066410
ENSTNIP00000018329	ENSDARP00000086549
ENSTNIP00000012257	ENSDARP00000073621
ENSTNIP00000020893	ENSDARP00000107675
ENSTNIP00000022303	ENSDARP00000003397
ENSTNIP00000015197	ENSDARP00000124029
ENSTNIP00000020055	ENSDARP00000104823
ENSTNIP00000018071	ENSDARP00000014929
ENSTNIP00000021451	ENSDARP00000094162
ENSTNIP00000011646	ENSDARP00000094885
ENSTNIP00000012443	ENSDARP00000111917
ENSTNIP00000011287	ENSDARP00000123895
ENSTNIP00000014958	ENSDARP00000044079
ENSTNIP00000003806	ENSDARP00000092351
ENSTNIP00000018639	ENSDARP00000018393
ENSTNIP00000018217	ENSDARP00000073394
ENSTNIP00000020248	ENSDARP00000098436
ENSTNIP00000014676	ENSDARP00000102728
ENSTNIP00000012347	ENSDARP00000098758
ENSTNIP00000002910	ENSDARP00000119695
ENSTNIP00000022222	ENSDARP00000107042
ENSTNIP00000012854	ENSDARP00000121180
ENSTNIP00000011254	ENSDARP00000083949
ENSTNIP00000021024	ENSDARP00000018087
ENSTNIP00000010120	ENSDARP00000099244
ENSTNIP00000003138	ENSDARP00000064832
ENSTNIP00000020783	ENSDARP00000064615
ENSTNIP00000002365	ENSDARP00000044859
ENSTNIP00000007116	ENSDARP00000118205
ENSTNIP00000007873	ENSDARP00000106725
ENSTNIP00000003073	ENSDARP00000047006
ENSTNIP00000015440	ENSDARP00000091933
ENSTNIP00000002945	ENSDARP00000058513
ENSTNIP00000010493	ENSDARP00000098418
ENSTNIP00000000910	ENSDARP00000067816
ENSTNIP00000003161	ENSDARP00000102083
ENSTNIP00000000060	ENSDARP00000025120
ENSTNIP00000011180	ENSDARP00000116922
ENSTNIP00000012573	ENSDARP00000094377
ENSTNIP00000018552	ENSDARP00000113955
ENSTNIP00000015480	ENSDARP00000003150
ENSTNIP00000005714	ENSDARP00000008085
ENSTNIP00000019833	ENSDARP00000049108
ENSTNIP00000009287	ENSDARP00000046612
ENSTNIP00000001236	ENSDARP00000098114
ENSTNIP00000014332	ENSDARP00000059885
ENSTNIP00000013368	ENSDARP00000048506
ENSTNIP00000010042	ENSDARP00000013329
ENSTNIP00000019093	ENSDARP00000106067
ENSTNIP00000015175	ENSDARP00000012255
ENSTNIP00000020582	ENSDARP00000087115
ENSTNIP00000012955	ENSDARP00000070464
ENSTNIP00000017286	ENSDARP00000093348
ENSTNIP00000023097	ENSDARP00000057304
ENSTNIP00000001903	ENSDARP00000057589
ENSTNIP00000001272	ENSDARP00000108943
ENSTNIP00000021258	ENSDARP00000093167
ENSTNIP00000018716	ENSDARP00000002460
ENSTNIP00000018715	ENSDARP00000051145
ENSTNIP00000007349	ENSDARP00000055349
ENSTNIP00000007586	ENSDARP00000085707
ENSTNIP00000017585	ENSDARP00000103082
ENSTNIP00000005255	ENSDARP00000117915
ENSTNIP00000018154	ENSDARP00000110688
ENSTNIP00000005456	ENSDARP00000073434
ENSTNIP00000013171	ENSDARP00000107971
ENSTNIP00000016401	ENSDARP00000101176
ENSTNIP00000022967	ENSDARP00000101258
ENSTNIP00000008550	ENSDARP00000085013
ENSTNIP00000008002	ENSDARP00000040556
ENSTNIP00000007796	ENSDARP00000014325
ENSTNIP00000012491	ENSDARP00000053403
ENSTNIP00000019154	ENSDARP00000091516
ENSTNIP00000009836	ENSDARP00000069657
ENSTNIP00000006621	ENSDARP00000123484
ENSTNIP00000019998	ENSDARP00000101201
ENSTNIP00000020394	ENSDARP00000129096
ENSTNIP00000011285	ENSDARP00000069669
ENSTNIP00000019855	ENSDARP00000069870
ENSTNIP00000007224	ENSDARP00000105882
ENSTNIP00000009040	ENSDARP00000006228
ENSTNIP00000005096	ENSDARP00000014980
ENSTNIP00000021793	ENSDARP00000108067
ENSTNIP00000021927	ENSDARP00000065669
ENSTNIP00000000313	ENSDARP00000118761
ENSTNIP00000012144	ENSDARP00000110712
ENSTNIP00000011303	ENSDARP00000111556
ENSTNIP00000002396	ENSDARP00000111169
ENSTNIP00000011379	ENSDARP00000113432
ENSTNIP00000014388	ENSDARP00000121566
ENSTNIP00000021459	ENSDARP00000078258
ENSTNIP00000010066	ENSDARP00000093285
ENSTNIP00000018178	ENSDARP00000101777
ENSTNIP00000001223	ENSDARP00000099736
ENSTNIP00000011712	ENSDARP00000106854
ENSTNIP00000018212	ENSDARP00000112558
ENSTNIP00000021471	ENSDARP00000018055
ENSTNIP00000006003	ENSDARP00000117469
ENSTNIP00000017954	ENSDARP00000010335
ENSTNIP00000006744	ENSDARP00000100341
ENSTNIP00000010877	ENSDARP00000058495
ENSTNIP00000020441	ENSDARP00000016314
ENSTNIP00000016515	ENSDARP00000121973
ENSTNIP00000014310	ENSDARP00000046688
ENSTNIP00000005774	ENSDARP00000067665
ENSTNIP00000008942	ENSDARP00000047070
ENSTNIP00000017111	ENSDARP00000098435
ENSTNIP00000008951	ENSDARP00000014840
ENSTNIP00000011694	ENSDARP00000042677
ENSTNIP00000018284	ENSDARP00000111799
ENSTNIP00000005265	ENSDARP00000043315
ENSTNIP00000007364	ENSDARP00000064900
