ENSMGAP00000004951	ENSP00000262384
ENSMGAP00000016788	ENSP00000252660
ENSMGAP00000002878	ENSP00000377836
ENSMGAP00000002860	ENSP00000359864
ENSMGAP00000000231	ENSP00000264039
ENSMGAP00000019713	ENSP00000412940
ENSMGAP00000005399	ENSP00000264895
ENSMGAP00000013813	ENSP00000374507
ENSMGAP00000001795	ENSP00000338728
ENSMGAP00000012130	ENSP00000360252
ENSMGAP00000005494	ENSP00000370713
ENSMGAP00000000432	ENSP00000441897
ENSMGAP00000006701	ENSP00000357459
ENSMGAP00000010996	ENSP00000296513
ENSMGAP00000004600	ENSP00000262803
ENSMGAP00000004769	ENSP00000399797
ENSMGAP00000007577	ENSP00000351524
ENSMGAP00000011438	ENSP00000424737
ENSMGAP00000007028	ENSP00000417401
ENSMGAP00000010974	ENSP00000394314
ENSMGAP00000005346	ENSP00000253008
ENSMGAP00000000964	ENSP00000354960
ENSMGAP00000003538	ENSP00000361929
ENSMGAP00000006152	ENSP00000196061
ENSMGAP00000006673	ENSP00000282903
ENSMGAP00000019154	ENSP00000292807
ENSMGAP00000018976	ENSP00000347408
ENSMGAP00000002706	ENSP00000428787
ENSMGAP00000005664	ENSP00000388996
ENSMGAP00000008306	ENSP00000406472
ENSMGAP00000008756	ENSP00000265741
ENSMGAP00000005181	ENSP00000423665
ENSMGAP00000007164	ENSP00000296525
ENSMGAP00000015568	ENSP00000417914
ENSMGAP00000003190	ENSP00000350331
ENSMGAP00000001772	ENSP00000264607
ENSMGAP00000005589	ENSP00000355195
ENSMGAP00000007854	ENSP00000363512
ENSMGAP00000006564	ENSP00000305426
ENSMGAP00000014728	ENSP00000380321
ENSMGAP00000000062	ENSP00000229771
ENSMGAP00000014847	ENSP00000314444
ENSMGAP00000008226	ENSP00000216271
ENSMGAP00000010913	ENSP00000080059
ENSMGAP00000008466	ENSP00000346236
ENSMGAP00000001356	ENSP00000464050
ENSMGAP00000013090	ENSP00000380033
ENSMGAP00000007848	ENSP00000225792
ENSMGAP00000006346	ENSP00000263093
ENSMGAP00000010300	ENSP00000262462
ENSMGAP00000003617	ENSP00000300456
ENSMGAP00000003530	ENSP00000252595
ENSMGAP00000009825	ENSP00000359520
ENSMGAP00000000737	ENSP00000351520
ENSMGAP00000001802	ENSP00000347213
ENSMGAP00000011815	ENSP00000301825
ENSMGAP00000011218	ENSP00000222803
ENSMGAP00000012705	ENSP00000242209
ENSMGAP00000007078	ENSP00000317232
ENSMGAP00000011134	ENSP00000345964
ENSMGAP00000017509	ENSP00000358715
ENSMGAP00000000718	ENSP00000370473
ENSMGAP00000000730	ENSP00000275525
ENSMGAP00000012182	ENSP00000233809
ENSMGAP00000002485	ENSP00000269593
ENSMGAP00000018544	ENSP00000169298
ENSMGAP00000015716	ENSP00000386942
ENSMGAP00000003367	ENSP00000362239
ENSMGAP00000009944	ENSP00000417583
ENSMGAP00000016886	ENSP00000355968
ENSMGAP00000002250	ENSP00000363394
ENSMGAP00000013153	ENSP00000415011
ENSMGAP00000007392	ENSP00000261867
ENSMGAP00000005750	ENSP00000415900
ENSMGAP00000003262	ENSP00000362195
ENSMGAP00000012561	ENSP00000262345
ENSMGAP00000010564	ENSP00000395461
ENSMGAP00000007926	ENSP00000261721
ENSMGAP00000006160	ENSP00000384545
ENSMGAP00000014264	ENSP00000376337
ENSMGAP00000014136	ENSP00000385836
ENSMGAP00000010923	ENSP00000260743
ENSMGAP00000010925	ENSP00000329926
ENSMGAP00000014140	ENSP00000357588
ENSMGAP00000008318	ENSP00000424126
ENSMGAP00000009205	ENSP00000340594
ENSMGAP00000009009	ENSP00000368566
ENSMGAP00000011385	ENSP00000348429
ENSMGAP00000003590	ENSP00000258873
ENSMGAP00000004457	ENSP00000233156
ENSMGAP00000008988	ENSP00000222543
ENSMGAP00000008872	ENSP00000311184
ENSMGAP00000010443	ENSP00000324763
ENSMGAP00000000679	ENSP00000265132
ENSMGAP00000014048	ENSP00000376652
ENSMGAP00000008543	ENSP00000355809
ENSMGAP00000004391	ENSP00000348753
ENSMGAP00000013592	ENSP00000348108
ENSMGAP00000018702	ENSP00000355094
ENSMGAP00000008743	ENSP00000328694
ENSMGAP00000010280	ENSP00000379366
ENSMGAP00000011153	ENSP00000271139
ENSMGAP00000008868	ENSP00000427695
ENSMGAP00000016657	ENSP00000331305
ENSMGAP00000006427	ENSP00000290551
ENSMGAP00000003533	ENSP00000348300
ENSMGAP00000009178	ENSP00000423541
ENSMGAP00000005907	ENSP00000299134
ENSMGAP00000010650	ENSP00000452871
ENSMGAP00000007940	ENSP00000353224
ENSMGAP00000008522	ENSP00000345849
ENSMGAP00000000892	ENSP00000401853
ENSMGAP00000000865	ENSP00000266031
ENSMGAP00000005766	ENSP00000337425
ENSMGAP00000009232	ENSP00000350937
ENSMGAP00000010471	ENSP00000157600
ENSMGAP00000009367	ENSP00000295902
ENSMGAP00000009748	ENSP00000401060
ENSMGAP00000006262	ENSP00000404911
ENSMGAP00000013528	ENSP00000373648
ENSMGAP00000008585	ENSP00000337354
ENSMGAP00000014342	ENSP00000216513
ENSMGAP00000009243	ENSP00000264380
ENSMGAP00000000980	ENSP00000390941
ENSMGAP00000011431	ENSP00000310491
ENSMGAP00000005911	ENSP00000346151
ENSMGAP00000018438	ENSP00000304604
ENSMGAP00000014536	ENSP00000324729
ENSMGAP00000017551	ENSP00000325663
ENSMGAP00000019340	ENSP00000275015
ENSMGAP00000014778	ENSP00000311837
ENSMGAP00000011272	ENSP00000429842
ENSMGAP00000001815	ENSP00000217381
ENSMGAP00000008157	ENSP00000338191
ENSMGAP00000013247	ENSP00000378965
ENSMGAP00000014108	ENSP00000357484
ENSMGAP00000000499	ENSP00000419378
ENSMGAP00000001688	ENSP00000358460
ENSMGAP00000007893	ENSP00000414921
ENSMGAP00000016365	ENSP00000410811
ENSMGAP00000016855	ENSP00000333836
ENSMGAP00000007245	ENSP00000354724
ENSMGAP00000008731	ENSP00000337500
ENSMGAP00000000086	ENSP00000461961
ENSMGAP00000014707	ENSP00000056217
ENSMGAP00000001163	ENSP00000264051
ENSMGAP00000001348	ENSP00000367629
ENSMGAP00000011290	ENSP00000348828
ENSMGAP00000007519	ENSP00000366477
ENSMGAP00000011156	ENSP00000402584
ENSMGAP00000000369	ENSP00000319388
ENSMGAP00000014124	ENSP00000332208
ENSMGAP00000015691	ENSP00000401536
ENSMGAP00000001278	ENSP00000293272
ENSMGAP00000007400	ENSP00000248948
ENSMGAP00000004554	ENSP00000369702
ENSMGAP00000008420	ENSP00000287585
ENSMGAP00000018204	ENSP00000441214
ENSMGAP00000006573	ENSP00000342222
ENSMGAP00000006790	ENSP00000301365
ENSMGAP00000006390	ENSP00000406191
ENSMGAP00000002328	ENSP00000313670
ENSMGAP00000008286	ENSP00000264276
ENSMGAP00000015441	ENSP00000291536
ENSMGAP00000004156	ENSP00000347486
ENSMGAP00000000762	ENSP00000356436
ENSMGAP00000010097	ENSP00000306163
ENSMGAP00000008714	ENSP00000360762
ENSMGAP00000014425	ENSP00000430985
ENSMGAP00000010586	ENSP00000250894
ENSMGAP00000008852	ENSP00000262013
ENSMGAP00000009255	ENSP00000369981
ENSMGAP00000008876	ENSP00000418744
ENSMGAP00000004670	ENSP00000361645
ENSMGAP00000003422	ENSP00000278937
ENSMGAP00000015273	ENSP00000352513
ENSMGAP00000003689	ENSP00000322460
ENSMGAP00000003725	ENSP00000278949
ENSMGAP00000011689	ENSP00000266712
ENSMGAP00000014117	ENSP00000442046
ENSMGAP00000015781	ENSP00000343871
ENSMGAP00000009299	ENSP00000362824
ENSMGAP00000015109	ENSP00000283296
ENSMGAP00000015201	ENSP00000273352
ENSMGAP00000003710	ENSP00000361995
ENSMGAP00000008858	ENSP00000268125
ENSMGAP00000014047	ENSP00000275162
ENSMGAP00000011625	ENSP00000428402
ENSMGAP00000000744	ENSP00000302843
ENSMGAP00000004123	ENSP00000347872
ENSMGAP00000006694	ENSP00000303129
ENSMGAP00000012758	ENSP00000399805
ENSMGAP00000016378	ENSP00000323678
ENSMGAP00000006418	ENSP00000005284
ENSMGAP00000013338	ENSP00000300105
ENSMGAP00000007499	ENSP00000262138
ENSMGAP00000003711	ENSP00000440045
ENSMGAP00000014767	ENSP00000400258
ENSMGAP00000004080	ENSP00000362444
ENSMGAP00000014427	ENSP00000247191
ENSMGAP00000006889	ENSP00000359132
ENSMGAP00000002312	ENSP00000363398
ENSMGAP00000013161	ENSP00000367446
ENSMGAP00000010402	ENSP00000388658
ENSMGAP00000010056	ENSP00000400101
ENSMGAP00000009371	ENSP00000322020
ENSMGAP00000001532	ENSP00000367714
ENSMGAP00000000859	ENSP00000307513
ENSMGAP00000011580	ENSP00000283243
ENSMGAP00000002371	ENSP00000356587
ENSMGAP00000015954	ENSP00000368952
ENSMGAP00000002720	ENSP00000319323
ENSMGAP00000013724	ENSP00000328364
ENSMGAP00000016876	ENSP00000345393
ENSMGAP00000005211	ENSP00000350369
ENSMGAP00000002247	ENSP00000344903
ENSMGAP00000014035	ENSP00000297282
ENSMGAP00000008702	ENSP00000194130
ENSMGAP00000005660	ENSP00000392411
ENSMGAP00000008955	ENSP00000406220
ENSMGAP00000006471	ENSP00000365251
ENSMGAP00000003984	ENSP00000435582
ENSMGAP00000012377	ENSP00000388275
ENSMGAP00000014886	ENSP00000353249
ENSMGAP00000011317	ENSP00000360905
ENSMGAP00000005972	ENSP00000350854
ENSMGAP00000007616	ENSP00000379500
ENSMGAP00000012872	ENSP00000355751
ENSMGAP00000004677	ENSP00000222271
ENSMGAP00000003309	ENSP00000339730
ENSMGAP00000011808	ENSP00000360500
ENSMGAP00000017043	ENSP00000371686
ENSMGAP00000019018	ENSP00000190165
ENSMGAP00000010091	ENSP00000227451
ENSMGAP00000005287	ENSP00000257600
ENSMGAP00000002106	ENSP00000410852
ENSMGAP00000006474	ENSP00000005286
ENSMGAP00000001538	ENSP00000356275
ENSMGAP00000001897	ENSP00000431813
ENSMGAP00000009060	ENSP00000160373
ENSMGAP00000004606	ENSP00000271277
ENSMGAP00000000642	ENSP00000303758
ENSMGAP00000000728	ENSP00000261889
ENSMGAP00000008536	ENSP00000363349
ENSMGAP00000016272	ENSP00000238994
ENSMGAP00000009488	ENSP00000308318
ENSMGAP00000005069	ENSP00000360035
ENSMGAP00000009336	ENSP00000284601
ENSMGAP00000008115	ENSP00000336630
ENSMGAP00000005020	ENSP00000356205
ENSMGAP00000016743	ENSP00000276218
ENSMGAP00000010642	ENSP00000391299
ENSMGAP00000003290	ENSP00000342313
ENSMGAP00000014760	ENSP00000440674
ENSMGAP00000013176	ENSP00000332723
ENSMGAP00000014789	ENSP00000411770
ENSMGAP00000008195	ENSP00000359305
ENSMGAP00000013287	ENSP00000356381
ENSMGAP00000016002	ENSP00000369989
ENSMGAP00000004013	ENSP00000233596
ENSMGAP00000006825	ENSP00000368959
ENSMGAP00000010088	ENSP00000254901
ENSMGAP00000013864	ENSP00000438346
ENSMGAP00000003424	ENSP00000362863
ENSMGAP00000014323	ENSP00000358159
ENSMGAP00000008303	ENSP00000295488
ENSMGAP00000013753	ENSP00000435506
ENSMGAP00000015086	ENSP00000264233
ENSMGAP00000001419	ENSP00000317123
ENSMGAP00000003442	ENSP00000253083
ENSMGAP00000017075	ENSP00000267984
ENSMGAP00000019054	ENSP00000365411
ENSMGAP00000011324	ENSP00000263915
ENSMGAP00000019123	ENSP00000381793
ENSMGAP00000015982	ENSP00000369442
ENSMGAP00000012956	ENSP00000257408
ENSMGAP00000013146	ENSP00000264162
ENSMGAP00000012051	ENSP00000240285
ENSMGAP00000005889	ENSP00000365397
ENSMGAP00000007733	ENSP00000351035
ENSMGAP00000010883	ENSP00000358854
ENSMGAP00000008681	ENSP00000262394
ENSMGAP00000005466	ENSP00000319474
ENSMGAP00000013654	ENSP00000387078
ENSMGAP00000003801	ENSP00000349727
ENSMGAP00000008615	ENSP00000372160
ENSMGAP00000009543	ENSP00000262593
ENSMGAP00000002974	ENSP00000344277
ENSMGAP00000012582	ENSP00000273861
ENSMGAP00000009859	ENSP00000313681
ENSMGAP00000018681	ENSP00000216264
ENSMGAP00000013979	ENSP00000347581
ENSMGAP00000004205	ENSP00000361800
ENSMGAP00000012517	ENSP00000360065
ENSMGAP00000001548	ENSP00000242317
ENSMGAP00000010456	ENSP00000380308
ENSMGAP00000015665	ENSP00000264968
ENSMGAP00000007322	ENSP00000338487
ENSMGAP00000011636	ENSP00000474896
ENSMGAP00000012013	ENSP00000354458
ENSMGAP00000012026	ENSP00000360281
ENSMGAP00000005302	ENSP00000322061
ENSMGAP00000016750	ENSP00000309270
ENSMGAP00000004470	ENSP00000362207
ENSMGAP00000017241	ENSP00000307911
ENSMGAP00000011560	ENSP00000354842
ENSMGAP00000002069	ENSP00000344724
ENSMGAP00000004515	ENSP00000219746
ENSMGAP00000001088	ENSP00000311657
ENSMGAP00000010087	ENSP00000346206
ENSMGAP00000003283	ENSP00000440288
ENSMGAP00000015103	ENSP00000275016
ENSMGAP00000011665	ENSP00000310721
ENSMGAP00000011513	ENSP00000301645
ENSMGAP00000016934	ENSP00000318867
ENSMGAP00000018477	ENSP00000259808
ENSMGAP00000012426	ENSP00000220751
ENSMGAP00000015431	ENSP00000332454
ENSMGAP00000004052	ENSP00000306678
ENSMGAP00000007852	ENSP00000363852
ENSMGAP00000012793	ENSP00000359892
ENSMGAP00000010423	ENSP00000262032
ENSMGAP00000006493	ENSP00000413025
ENSMGAP00000002459	ENSP00000344544
ENSMGAP00000012144	ENSP00000357881
ENSMGAP00000012292	ENSP00000343526
ENSMGAP00000003179	ENSP00000303434
ENSMGAP00000004359	ENSP00000292432
ENSMGAP00000005564	ENSP00000295256
ENSMGAP00000017391	ENSP00000367542
ENSMGAP00000003686	ENSP00000340243
ENSMGAP00000014073	ENSP00000342962
ENSMGAP00000010967	ENSP00000319796
ENSMGAP00000003799	ENSP00000420863
ENSMGAP00000004977	ENSP00000262809
ENSMGAP00000017055	ENSP00000215061
ENSMGAP00000006067	ENSP00000274140
ENSMGAP00000001692	ENSP00000427223
ENSMGAP00000000222	ENSP00000471536
ENSMGAP00000014252	ENSP00000385824
ENSMGAP00000001734	ENSP00000363377
ENSMGAP00000007819	ENSP00000366746
ENSMGAP00000013445	ENSP00000413697
ENSMGAP00000019781	ENSP00000330631
ENSMGAP00000016437	ENSP00000043402
ENSMGAP00000017228	ENSP00000335397
ENSMGAP00000016406	ENSP00000340328
ENSMGAP00000000443	ENSP00000263212
ENSMGAP00000007199	ENSP00000312411
ENSMGAP00000010914	ENSP00000417659
ENSMGAP00000005390	ENSP00000254654
ENSMGAP00000008577	ENSP00000477341
ENSMGAP00000009032	ENSP00000343909
ENSMGAP00000008400	ENSP00000378830
ENSMGAP00000008339	ENSP00000338673
ENSMGAP00000009787	ENSP00000376345
ENSMGAP00000012996	ENSP00000339186
ENSMGAP00000003532	ENSP00000378324
ENSMGAP00000002285	ENSP00000414398
ENSMGAP00000003792	ENSP00000307280
ENSMGAP00000001471	ENSP00000347055
ENSMGAP00000002363	ENSP00000379210
ENSMGAP00000002136	ENSP00000229824
ENSMGAP00000005995	ENSP00000379601
ENSMGAP00000001423	ENSP00000316674
ENSMGAP00000018341	ENSP00000330247
ENSMGAP00000000315	ENSP00000406933
ENSMGAP00000013737	ENSP00000376615
ENSMGAP00000010085	ENSP00000261461
ENSMGAP00000003393	ENSP00000417963
ENSMGAP00000011526	ENSP00000412733
ENSMGAP00000012814	ENSP00000296220
ENSMGAP00000011679	ENSP00000379804
ENSMGAP00000007789	ENSP00000263650
ENSMGAP00000003057	ENSP00000378349
ENSMGAP00000002904	ENSP00000353094
ENSMGAP00000007394	ENSP00000320893
ENSMGAP00000009656	ENSP00000328327
ENSMGAP00000007799	ENSP00000218008
ENSMGAP00000015733	ENSP00000334216
ENSMGAP00000015182	ENSP00000356790
ENSMGAP00000008545	ENSP00000473410
ENSMGAP00000011073	ENSP00000381476
ENSMGAP00000005179	ENSP00000407158
ENSMGAP00000008887	ENSP00000396538
ENSMGAP00000009648	ENSP00000379330
ENSMGAP00000002674	ENSP00000377867
ENSMGAP00000003647	ENSP00000325748
ENSMGAP00000003351	ENSP00000361892
ENSMGAP00000013495	ENSP00000344546
ENSMGAP00000002440	ENSP00000343126
ENSMGAP00000003196	ENSP00000368189
ENSMGAP00000003198	ENSP00000263620
ENSMGAP00000014064	ENSP00000352167
ENSMGAP00000008325	ENSP00000413049
ENSMGAP00000014066	ENSP00000354886
ENSMGAP00000008904	ENSP00000326305
ENSMGAP00000019426	ENSP00000397563
ENSMGAP00000011684	ENSP00000257177
ENSMGAP00000006557	ENSP00000365130
ENSMGAP00000006542	ENSP00000263063
ENSMGAP00000014993	ENSP00000344465
ENSMGAP00000008086	ENSP00000274473
ENSMGAP00000009827	ENSP00000266214
ENSMGAP00000001561	ENSP00000259021
ENSMGAP00000006085	ENSP00000287239
ENSMGAP00000002954	ENSP00000380136
ENSMGAP00000007779	ENSP00000316948
ENSMGAP00000007773	ENSP00000394734
ENSMGAP00000003907	ENSP00000337194
ENSMGAP00000014907	ENSP00000379602
ENSMGAP00000015144	ENSP00000264245
ENSMGAP00000000401	ENSP00000310561
ENSMGAP00000004288	ENSP00000410561
ENSMGAP00000017667	ENSP00000266970
ENSMGAP00000014049	ENSP00000272433
ENSMGAP00000011841	ENSP00000347924
ENSMGAP00000003649	ENSP00000316905
ENSMGAP00000010597	ENSP00000224807
ENSMGAP00000002082	ENSP00000266771
ENSMGAP00000019772	ENSP00000340402
ENSMGAP00000015789	ENSP00000365686
ENSMGAP00000012602	ENSP00000417085
ENSMGAP00000015233	ENSP00000418070
ENSMGAP00000001937	ENSP00000264025
ENSMGAP00000007252	ENSP00000359000
ENSMGAP00000000396	ENSP00000274710
ENSMGAP00000007728	ENSP00000324127
ENSMGAP00000007106	ENSP00000020673
ENSMGAP00000015737	ENSP00000417706
ENSMGAP00000009840	ENSP00000292782
ENSMGAP00000010777	ENSP00000319482
ENSMGAP00000012525	ENSP00000334625
ENSMGAP00000004913	ENSP00000298139
ENSMGAP00000004813	ENSP00000317636
ENSMGAP00000010503	ENSP00000269228
ENSMGAP00000001131	ENSP00000265565
ENSMGAP00000006608	ENSP00000332353
ENSMGAP00000010628	ENSP00000361266
ENSMGAP00000000869	ENSP00000396722
ENSMGAP00000000926	ENSP00000330862
ENSMGAP00000018261	ENSP00000350364
ENSMGAP00000006235	ENSP00000264668
ENSMGAP00000005646	ENSP00000297494
ENSMGAP00000003569	ENSP00000419970
ENSMGAP00000018863	ENSP00000283122
ENSMGAP00000005345	ENSP00000319052
ENSMGAP00000011946	ENSP00000355480
ENSMGAP00000015516	ENSP00000387536
ENSMGAP00000017832	ENSP00000282077
ENSMGAP00000009966	ENSP00000005178
ENSMGAP00000004713	ENSP00000333633
ENSMGAP00000014952	ENSP00000349076
ENSMGAP00000015175	ENSP00000417654
ENSMGAP00000008949	ENSP00000320566
ENSMGAP00000003065	ENSP00000322142
ENSMGAP00000014916	ENSP00000380024
ENSMGAP00000016461	ENSP00000364929
ENSMGAP00000006505	ENSP00000307183
ENSMGAP00000015068	ENSP00000377265
ENSMGAP00000003778	ENSP00000362332
ENSMGAP00000009483	ENSP00000201031
ENSMGAP00000015069	ENSP00000008391
ENSMGAP00000015772	ENSP00000267273
ENSMGAP00000018368	ENSP00000406482
ENSMGAP00000013822	ENSP00000290902
ENSMGAP00000007654	ENSP00000316881
ENSMGAP00000012365	ENSP00000323696
ENSMGAP00000004747	ENSP00000347649
ENSMGAP00000006906	ENSP00000236040
ENSMGAP00000014934	ENSP00000379951
ENSMGAP00000013880	ENSP00000340507
ENSMGAP00000006513	ENSP00000384876
ENSMGAP00000006120	ENSP00000302630
ENSMGAP00000005148	ENSP00000261726
ENSMGAP00000018346	ENSP00000396935
ENSMGAP00000008515	ENSP00000417003
ENSMGAP00000008609	ENSP00000268676
ENSMGAP00000011472	ENSP00000304277
ENSMGAP00000011465	ENSP00000305852
ENSMGAP00000011756	ENSP00000373272
ENSMGAP00000015074	ENSP00000256649
ENSMGAP00000000291	ENSP00000338964
ENSMGAP00000007996	ENSP00000381340
ENSMGAP00000004429	ENSP00000323714
ENSMGAP00000009942	ENSP00000393324
ENSMGAP00000009834	ENSP00000239938
ENSMGAP00000014061	ENSP00000445626
ENSMGAP00000000956	ENSP00000331327
ENSMGAP00000006562	ENSP00000177694
ENSMGAP00000012088	ENSP00000409738
ENSMGAP00000011647	ENSP00000321951
ENSMGAP00000014948	ENSP00000437402
ENSMGAP00000011735	ENSP00000387194
ENSMGAP00000001231	ENSP00000357106
ENSMGAP00000001477	ENSP00000227348
ENSMGAP00000002712	ENSP00000395359
ENSMGAP00000004568	ENSP00000475496
ENSMGAP00000001925	ENSP00000268099
ENSMGAP00000014796	ENSP00000302177
ENSMGAP00000002186	ENSP00000324944
ENSMGAP00000016662	ENSP00000314196
ENSMGAP00000014966	ENSP00000261407
ENSMGAP00000015104	ENSP00000346065
ENSMGAP00000018791	ENSP00000384376
ENSMGAP00000016052	ENSP00000255324
ENSMGAP00000004144	ENSP00000414624
ENSMGAP00000002187	ENSP00000325674
ENSMGAP00000014152	ENSP00000452634
ENSMGAP00000014149	ENSP00000369409
ENSMGAP00000008484	ENSP00000284073
ENSMGAP00000006714	ENSP00000349415
ENSMGAP00000009177	ENSP00000229340
ENSMGAP00000001320	ENSP00000257017
ENSMGAP00000002522	ENSP00000306496
ENSMGAP00000004870	ENSP00000358644
ENSMGAP00000010407	ENSP00000393987
ENSMGAP00000009628	ENSP00000295569
ENSMGAP00000009625	ENSP00000418575
ENSMGAP00000019682	ENSP00000263519
ENSMGAP00000002983	ENSP00000318234
ENSMGAP00000009938	ENSP00000254528
ENSMGAP00000003132	ENSP00000332806
ENSMGAP00000009858	ENSP00000325355
ENSMGAP00000006133	ENSP00000345436
ENSMGAP00000015213	ENSP00000396421
ENSMGAP00000003838	ENSP00000274289
ENSMGAP00000010556	ENSP00000361275
ENSMGAP00000008270	ENSP00000253159
ENSMGAP00000001856	ENSP00000441823
ENSMGAP00000004539	ENSP00000251020
ENSMGAP00000003615	ENSP00000259708
ENSMGAP00000012408	ENSP00000228936
ENSMGAP00000005078	ENSP00000320543
ENSMGAP00000011154	ENSP00000419952
ENSMGAP00000007148	ENSP00000344208
ENSMGAP00000005812	ENSP00000410403
ENSMGAP00000000399	ENSP00000465419
ENSMGAP00000004799	ENSP00000281537
ENSMGAP00000010016	ENSP00000355938
ENSMGAP00000007230	ENSP00000320234
ENSMGAP00000005998	ENSP00000371419
ENSMGAP00000009269	ENSP00000398688
ENSMGAP00000002504	ENSP00000221957
ENSMGAP00000008575	ENSP00000300055
ENSMGAP00000009864	ENSP00000405514
ENSMGAP00000008447	ENSP00000424474
ENSMGAP00000018296	ENSP00000226574
ENSMGAP00000019614	ENSP00000295025
ENSMGAP00000008207	ENSP00000329468
ENSMGAP00000011481	ENSP00000353078
ENSMGAP00000007476	ENSP00000366326
ENSMGAP00000003679	ENSP00000338348
ENSMGAP00000009062	ENSP00000341346
ENSMGAP00000003497	ENSP00000207457
ENSMGAP00000002920	ENSP00000379263
ENSMGAP00000008618	ENSP00000283025
ENSMGAP00000004966	ENSP00000259339
ENSMGAP00000004995	ENSP00000345719
ENSMGAP00000002159	ENSP00000356599
ENSMGAP00000016715	ENSP00000350102
ENSMGAP00000011542	ENSP00000378292
ENSMGAP00000002388	ENSP00000078445
ENSMGAP00000001509	ENSP00000342136
ENSMGAP00000014004	ENSP00000329140
ENSMGAP00000011517	ENSP00000434939
ENSMGAP00000012027	ENSP00000273062
ENSMGAP00000017536	ENSP00000273179
ENSMGAP00000008745	ENSP00000411145
ENSMGAP00000009152	ENSP00000283268
ENSMGAP00000008371	ENSP00000359357
