ENSP00000262384	ENSLOCP00000009128
ENSP00000423665	ENSLOCP00000014564
ENSP00000417914	ENSLOCP00000009470
ENSP00000350331	ENSLOCP00000019262
ENSP00000264607	ENSLOCP00000011077
ENSP00000355195	ENSLOCP00000017982
ENSP00000363512	ENSLOCP00000011435
ENSP00000305426	ENSLOCP00000003826
ENSP00000229771	ENSLOCP00000011874
ENSP00000314444	ENSLOCP00000021247
ENSP00000216271	ENSLOCP00000018907
ENSP00000334061	ENSLOCP00000018175
ENSP00000346236	ENSLOCP00000012449
ENSP00000464050	ENSLOCP00000014471
ENSP00000380033	ENSLOCP00000014491
ENSP00000225792	ENSLOCP00000016691
ENSP00000357650	ENSLOCP00000010175
ENSP00000262462	ENSLOCP00000010143
ENSP00000300456	ENSLOCP00000003063
ENSP00000252595	ENSLOCP00000003082
ENSP00000359520	ENSLOCP00000010983
ENSP00000351520	ENSLOCP00000018480
ENSP00000301825	ENSLOCP00000001148
ENSP00000222803	ENSLOCP00000007419
ENSP00000413152	ENSLOCP00000007580
ENSP00000242209	ENSLOCP00000003101
ENSP00000317232	ENSLOCP00000015600
ENSP00000345964	ENSLOCP00000014762
ENSP00000358715	ENSLOCP00000014741
ENSP00000370473	ENSLOCP00000016111
ENSP00000301464	ENSLOCP00000004793
ENSP00000275525	ENSLOCP00000016120
ENSP00000233809	ENSLOCP00000011258
ENSP00000169298	ENSLOCP00000008502
ENSP00000386942	ENSLOCP00000010754
ENSP00000362239	ENSLOCP00000005040
ENSP00000417583	ENSLOCP00000004226
ENSP00000444688	ENSLOCP00000005477
ENSP00000355968	ENSLOCP00000020195
ENSP00000233535	ENSLOCP00000019518
ENSP00000363394	ENSLOCP00000005716
ENSP00000415011	ENSLOCP00000003844
ENSP00000261867	ENSLOCP00000016149
ENSP00000362195	ENSLOCP00000003765
ENSP00000262345	ENSLOCP00000008575
ENSP00000263409	ENSLOCP00000015553
ENSP00000395461	ENSLOCP00000002907
ENSP00000261721	ENSLOCP00000015909
ENSP00000384545	ENSLOCP00000019661
ENSP00000376337	ENSLOCP00000012721
ENSP00000260743	ENSLOCP00000014558
ENSP00000329926	ENSLOCP00000014569
ENSP00000357588	ENSLOCP00000021146
ENSP00000445952	ENSLOCP00000004485
ENSP00000251527	ENSLOCP00000015256
ENSP00000424126	ENSLOCP00000001796
ENSP00000340594	ENSLOCP00000006578
ENSP00000341489	ENSLOCP00000010716
ENSP00000368566	ENSLOCP00000012649
ENSP00000348429	ENSLOCP00000015071
ENSP00000258873	ENSLOCP00000018253
ENSP00000233156	ENSLOCP00000007361
ENSP00000222543	ENSLOCP00000013226
ENSP00000311184	ENSLOCP00000013456
ENSP00000324763	ENSLOCP00000008342
ENSP00000265132	ENSLOCP00000002711
ENSP00000376652	ENSLOCP00000014306
ENSP00000348753	ENSLOCP00000019744
ENSP00000348645	ENSLOCP00000007166
ENSP00000281156	ENSLOCP00000021031
ENSP00000355094	ENSLOCP00000020394
ENSP00000328694	ENSLOCP00000001781
ENSP00000379366	ENSLOCP00000014227
ENSP00000349575	ENSLOCP00000001299
ENSP00000271139	ENSLOCP00000004757
ENSP00000331305	ENSLOCP00000014258
ENSP00000290551	ENSLOCP00000013970
ENSP00000423541	ENSLOCP00000006667
ENSP00000358142	ENSLOCP00000011010
ENSP00000299134	ENSLOCP00000005447
ENSP00000452871	ENSLOCP00000017282
ENSP00000353224	ENSLOCP00000008429
ENSP00000420525	ENSLOCP00000016725
ENSP00000345849	ENSLOCP00000019522
ENSP00000223026	ENSLOCP00000019526
ENSP00000401853	ENSLOCP00000017521
ENSP00000337425	ENSLOCP00000017582
ENSP00000157600	ENSLOCP00000016494
ENSP00000401060	ENSLOCP00000001689
ENSP00000373648	ENSLOCP00000015630
ENSP00000262916	ENSLOCP00000001541
ENSP00000337354	ENSLOCP00000007379
ENSP00000316842	ENSLOCP00000018274
ENSP00000216513	ENSLOCP00000012349
ENSP00000247182	ENSLOCP00000012336
ENSP00000304502	ENSLOCP00000020213
ENSP00000260653	ENSLOCP00000020214
ENSP00000337159	ENSLOCP00000006247
ENSP00000216602	ENSLOCP00000012176
ENSP00000390941	ENSLOCP00000004731
ENSP00000357927	ENSLOCP00000009358
ENSP00000310491	ENSLOCP00000006899
ENSP00000346151	ENSLOCP00000019725
ENSP00000324729	ENSLOCP00000014625
ENSP00000325663	ENSLOCP00000011702
ENSP00000312988	ENSLOCP00000017471
ENSP00000275015	ENSLOCP00000020251
ENSP00000311837	ENSLOCP00000020287
ENSP00000429842	ENSLOCP00000007217
ENSP00000217381	ENSLOCP00000000876
ENSP00000338191	ENSLOCP00000003376
ENSP00000378965	ENSLOCP00000011255
ENSP00000357484	ENSLOCP00000021189
ENSP00000419378	ENSLOCP00000002235
ENSP00000358460	ENSLOCP00000018778
ENSP00000414921	ENSLOCP00000003471
ENSP00000410811	ENSLOCP00000022429
ENSP00000333836	ENSLOCP00000021935
ENSP00000266041	ENSLOCP00000017842
ENSP00000218436	ENSLOCP00000019045
ENSP00000233630	ENSLOCP00000002207
ENSP00000354724	ENSLOCP00000011741
ENSP00000337500	ENSLOCP00000000046
ENSP00000461961	ENSLOCP00000016875
ENSP00000355026	ENSLOCP00000017175
ENSP00000056217	ENSLOCP00000010114
ENSP00000264051	ENSLOCP00000011158
ENSP00000367629	ENSLOCP00000006055
ENSP00000366477	ENSLOCP00000013253
ENSP00000402584	ENSLOCP00000021070
ENSP00000319388	ENSLOCP00000001317
ENSP00000369702	ENSLOCP00000007029
ENSP00000287585	ENSLOCP00000016847
ENSP00000441214	ENSLOCP00000015642
ENSP00000406191	ENSLOCP00000005107
ENSP00000313670	ENSLOCP00000011542
ENSP00000264276	ENSLOCP00000012590
ENSP00000291536	ENSLOCP00000004821
ENSP00000367792	ENSLOCP00000006897
ENSP00000356436	ENSLOCP00000001873
ENSP00000360762	ENSLOCP00000000044
ENSP00000430985	ENSLOCP00000020944
ENSP00000263674	ENSLOCP00000007623
ENSP00000250894	ENSLOCP00000002575
ENSP00000262013	ENSLOCP00000013512
ENSP00000369981	ENSLOCP00000014668
ENSP00000418744	ENSLOCP00000006242
ENSP00000361645	ENSLOCP00000007493
ENSP00000278937	ENSLOCP00000009760
ENSP00000352513	ENSLOCP00000005861
ENSP00000432943	ENSLOCP00000001848
ENSP00000278947	ENSLOCP00000008215
ENSP00000322460	ENSLOCP00000008179
ENSP00000266712	ENSLOCP00000020208
ENSP00000343871	ENSLOCP00000003504
ENSP00000362824	ENSLOCP00000018276
ENSP00000273352	ENSLOCP00000011557
ENSP00000361995	ENSLOCP00000002245
ENSP00000268125	ENSLOCP00000017532
ENSP00000275162	ENSLOCP00000021347
ENSP00000428402	ENSLOCP00000006072
ENSP00000302843	ENSLOCP00000015458
ENSP00000347872	ENSLOCP00000014030
ENSP00000303129	ENSLOCP00000004614
ENSP00000399805	ENSLOCP00000004050
ENSP00000323678	ENSLOCP00000004811
ENSP00000375647	ENSLOCP00000000246
ENSP00000436836	ENSLOCP00000016808
ENSP00000005284	ENSLOCP00000006604
ENSP00000300105	ENSLOCP00000013803
ENSP00000262138	ENSLOCP00000016806
ENSP00000270458	ENSLOCP00000000222
ENSP00000376914	ENSLOCP00000001823
ENSP00000400258	ENSLOCP00000021302
ENSP00000362444	ENSLOCP00000002027
ENSP00000247191	ENSLOCP00000013996
ENSP00000359132	ENSLOCP00000000159
ENSP00000379032	ENSLOCP00000003313
ENSP00000363398	ENSLOCP00000005911
ENSP00000367446	ENSLOCP00000003804
ENSP00000220562	ENSLOCP00000019706
ENSP00000388658	ENSLOCP00000009318
ENSP00000400101	ENSLOCP00000013492
ENSP00000322020	ENSLOCP00000000003
ENSP00000329033	ENSLOCP00000020482
ENSP00000272937	ENSLOCP00000005332
ENSP00000367065	ENSLOCP00000006122
ENSP00000307513	ENSLOCP00000013953
ENSP00000283243	ENSLOCP00000010520
ENSP00000356587	ENSLOCP00000011038
ENSP00000368952	ENSLOCP00000010581
ENSP00000319323	ENSLOCP00000018383
ENSP00000348886	ENSLOCP00000005299
ENSP00000327048	ENSLOCP00000000480
ENSP00000328364	ENSLOCP00000022225
ENSP00000350369	ENSLOCP00000015485
ENSP00000344903	ENSLOCP00000001520
ENSP00000297282	ENSLOCP00000021137
ENSP00000194130	ENSLOCP00000019545
ENSP00000279027	ENSLOCP00000002445
ENSP00000392411	ENSLOCP00000006609
ENSP00000406220	ENSLOCP00000007633
ENSP00000365251	ENSLOCP00000002749
ENSP00000435582	ENSLOCP00000007449
ENSP00000388275	ENSLOCP00000020390
ENSP00000353249	ENSLOCP00000019935
ENSP00000360905	ENSLOCP00000011379
ENSP00000353422	ENSLOCP00000012033
ENSP00000379500	ENSLOCP00000002181
ENSP00000355751	ENSLOCP00000020033
ENSP00000222271	ENSLOCP00000001598
ENSP00000339730	ENSLOCP00000007296
ENSP00000383909	ENSLOCP00000011440
ENSP00000319651	ENSLOCP00000015471
ENSP00000360500	ENSLOCP00000007844
ENSP00000371686	ENSLOCP00000014117
ENSP00000227451	ENSLOCP00000008628
ENSP00000257600	ENSLOCP00000009922
ENSP00000447873	ENSLOCP00000008910
ENSP00000316532	ENSLOCP00000002496
ENSP00000005286	ENSLOCP00000009982
ENSP00000361650	ENSLOCP00000019193
ENSP00000356275	ENSLOCP00000011965
ENSP00000431813	ENSLOCP00000005783
ENSP00000160373	ENSLOCP00000019185
ENSP00000271277	ENSLOCP00000012674
ENSP00000237172	ENSLOCP00000020893
ENSP00000346560	ENSLOCP00000011473
ENSP00000303758	ENSLOCP00000005296
ENSP00000363349	ENSLOCP00000003378
ENSP00000238994	ENSLOCP00000007257
ENSP00000308318	ENSLOCP00000021652
ENSP00000393832	ENSLOCP00000014321
ENSP00000360035	ENSLOCP00000022460
ENSP00000284601	ENSLOCP00000019618
ENSP00000336630	ENSLOCP00000008543
ENSP00000356205	ENSLOCP00000013145
ENSP00000276218	ENSLOCP00000021590
ENSP00000391299	ENSLOCP00000008685
ENSP00000342313	ENSLOCP00000008726
ENSP00000440674	ENSLOCP00000010061
ENSP00000332723	ENSLOCP00000011092
ENSP00000411770	ENSLOCP00000021278
ENSP00000214869	ENSLOCP00000010840
ENSP00000359305	ENSLOCP00000012831
ENSP00000356381	ENSLOCP00000021018
ENSP00000369989	ENSLOCP00000000167
ENSP00000233596	ENSLOCP00000000654
ENSP00000368959	ENSLOCP00000011013
ENSP00000254901	ENSLOCP00000011651
ENSP00000438346	ENSLOCP00000013287
ENSP00000362863	ENSLOCP00000008358
ENSP00000358159	ENSLOCP00000020447
ENSP00000295488	ENSLOCP00000014891
ENSP00000435506	ENSLOCP00000002608
ENSP00000264233	ENSLOCP00000006896
ENSP00000317123	ENSLOCP00000018708
ENSP00000253083	ENSLOCP00000006698
ENSP00000267984	ENSLOCP00000015784
ENSP00000365411	ENSLOCP00000009322
ENSP00000263915	ENSLOCP00000010217
ENSP00000403459	ENSLOCP00000015129
ENSP00000343490	ENSLOCP00000017122
ENSP00000369442	ENSLOCP00000010059
ENSP00000257408	ENSLOCP00000016032
ENSP00000264162	ENSLOCP00000011120
ENSP00000240285	ENSLOCP00000004451
ENSP00000365397	ENSLOCP00000003772
ENSP00000358854	ENSLOCP00000014513
ENSP00000262394	ENSLOCP00000005710
ENSP00000319474	ENSLOCP00000004014
ENSP00000387078	ENSLOCP00000007253
ENSP00000344504	ENSLOCP00000022199
ENSP00000349727	ENSLOCP00000014694
ENSP00000372160	ENSLOCP00000004225
ENSP00000262593	ENSLOCP00000003011
ENSP00000344277	ENSLOCP00000007157
ENSP00000263512	ENSLOCP00000021695
ENSP00000273905	ENSLOCP00000005017
ENSP00000245312	ENSLOCP00000010525
ENSP00000273861	ENSLOCP00000017345
ENSP00000216540	ENSLOCP00000015305
ENSP00000313681	ENSLOCP00000016622
ENSP00000216264	ENSLOCP00000019775
ENSP00000347581	ENSLOCP00000020501
ENSP00000404121	ENSLOCP00000010259
ENSP00000262961	ENSLOCP00000004705
ENSP00000265069	ENSLOCP00000008128
ENSP00000360065	ENSLOCP00000008481
ENSP00000242317	ENSLOCP00000005652
ENSP00000380308	ENSLOCP00000009356
ENSP00000264968	ENSLOCP00000001805
ENSP00000338487	ENSLOCP00000014068
ENSP00000474896	ENSLOCP00000020186
ENSP00000354458	ENSLOCP00000010723
ENSP00000360281	ENSLOCP00000010751
ENSP00000322061	ENSLOCP00000009672
ENSP00000263413	ENSLOCP00000009644
ENSP00000309270	ENSLOCP00000021427
ENSP00000362207	ENSLOCP00000006662
ENSP00000276055	ENSLOCP00000021899
ENSP00000354842	ENSLOCP00000006228
ENSP00000344724	ENSLOCP00000000800
ENSP00000219746	ENSLOCP00000008781
ENSP00000436500	ENSLOCP00000002761
ENSP00000441032	ENSLOCP00000005977
ENSP00000311657	ENSLOCP00000018454
ENSP00000440288	ENSLOCP00000006716
ENSP00000351717	ENSLOCP00000011321
ENSP00000275016	ENSLOCP00000019560
ENSP00000310721	ENSLOCP00000005913
ENSP00000244043	ENSLOCP00000003782
ENSP00000259808	ENSLOCP00000016038
ENSP00000220751	ENSLOCP00000012784
ENSP00000332454	ENSLOCP00000005472
ENSP00000306678	ENSLOCP00000005232
ENSP00000363852	ENSLOCP00000014168
ENSP00000229729	ENSLOCP00000000168
ENSP00000336888	ENSLOCP00000010130
ENSP00000359892	ENSLOCP00000004123
ENSP00000262032	ENSLOCP00000009388
ENSP00000413025	ENSLOCP00000005993
ENSP00000344544	ENSLOCP00000016715
ENSP00000473474	ENSLOCP00000010022
ENSP00000297679	ENSLOCP00000004068
ENSP00000343526	ENSLOCP00000007915
ENSP00000303434	ENSLOCP00000010992
ENSP00000346643	ENSLOCP00000011195
ENSP00000292432	ENSLOCP00000015154
ENSP00000223366	ENSLOCP00000018674
ENSP00000295256	ENSLOCP00000015904
ENSP00000340243	ENSLOCP00000002233
ENSP00000342962	ENSLOCP00000021344
ENSP00000319796	ENSLOCP00000017437
ENSP00000420863	ENSLOCP00000007332
ENSP00000320346	ENSLOCP00000017678
ENSP00000274140	ENSLOCP00000016692
ENSP00000427223	ENSLOCP00000009637
ENSP00000379118	ENSLOCP00000011477
ENSP00000309141	ENSLOCP00000010337
ENSP00000471536	ENSLOCP00000005346
ENSP00000385824	ENSLOCP00000020509
ENSP00000361672	ENSLOCP00000003567
ENSP00000363377	ENSLOCP00000018366
ENSP00000366746	ENSLOCP00000013425
ENSP00000413697	ENSLOCP00000014830
ENSP00000330631	ENSLOCP00000007760
ENSP00000043402	ENSLOCP00000004463
ENSP00000335397	ENSLOCP00000009722
ENSP00000399441	ENSLOCP00000009569
ENSP00000340328	ENSLOCP00000002448
ENSP00000294635	ENSLOCP00000004011
ENSP00000263212	ENSLOCP00000002374
ENSP00000312411	ENSLOCP00000001500
ENSP00000417659	ENSLOCP00000004242
ENSP00000254654	ENSLOCP00000011089
ENSP00000477341	ENSLOCP00000016565
ENSP00000343909	ENSLOCP00000018142
ENSP00000378830	ENSLOCP00000017846
ENSP00000338673	ENSLOCP00000003529
ENSP00000376345	ENSLOCP00000016401
ENSP00000378324	ENSLOCP00000018245
ENSP00000414398	ENSLOCP00000004841
ENSP00000307280	ENSLOCP00000005570
ENSP00000347055	ENSLOCP00000016283
ENSP00000365630	ENSLOCP00000002447
ENSP00000262094	ENSLOCP00000004148
ENSP00000379601	ENSLOCP00000016582
ENSP00000330247	ENSLOCP00000018694
ENSP00000376615	ENSLOCP00000018478
ENSP00000261461	ENSLOCP00000020203
ENSP00000417963	ENSLOCP00000020679
ENSP00000412733	ENSLOCP00000012005
ENSP00000296220	ENSLOCP00000003330
ENSP00000379804	ENSLOCP00000002611
ENSP00000263650	ENSLOCP00000001895
ENSP00000378349	ENSLOCP00000018089
ENSP00000353094	ENSLOCP00000002743
ENSP00000215941	ENSLOCP00000014848
ENSP00000218008	ENSLOCP00000018765
ENSP00000334216	ENSLOCP00000012122
ENSP00000250111	ENSLOCP00000016689
ENSP00000356790	ENSLOCP00000010411
ENSP00000473410	ENSLOCP00000007095
ENSP00000396538	ENSLOCP00000004760
ENSP00000379330	ENSLOCP00000002781
ENSP00000377867	ENSLOCP00000017556
ENSP00000325748	ENSLOCP00000007716
ENSP00000361892	ENSLOCP00000009183
ENSP00000429744	ENSLOCP00000011977
ENSP00000320485	ENSLOCP00000004543
ENSP00000368189	ENSLOCP00000008045
ENSP00000263620	ENSLOCP00000002797
ENSP00000263270	ENSLOCP00000018336
ENSP00000336666	ENSLOCP00000017324
ENSP00000379891	ENSLOCP00000004852
ENSP00000352167	ENSLOCP00000014275
ENSP00000413049	ENSLOCP00000014296
ENSP00000354886	ENSLOCP00000014267
ENSP00000326305	ENSLOCP00000017734
ENSP00000397563	ENSLOCP00000007190
ENSP00000257177	ENSLOCP00000007552
ENSP00000263063	ENSLOCP00000008912
ENSP00000373420	ENSLOCP00000011268
ENSP00000325594	ENSLOCP00000015416
ENSP00000410862	ENSLOCP00000014402
ENSP00000344465	ENSLOCP00000010755
ENSP00000274473	ENSLOCP00000010301
ENSP00000266214	ENSLOCP00000004403
ENSP00000259021	ENSLOCP00000016384
ENSP00000380136	ENSLOCP00000019211
ENSP00000337194	ENSLOCP00000014935
ENSP00000356992	ENSLOCP00000001191
ENSP00000264245	ENSLOCP00000003263
ENSP00000266970	ENSLOCP00000004920
ENSP00000347924	ENSLOCP00000011921
ENSP00000316905	ENSLOCP00000013274
ENSP00000224807	ENSLOCP00000015509
ENSP00000358909	ENSLOCP00000000745
ENSP00000266771	ENSLOCP00000007657
ENSP00000340402	ENSLOCP00000019895
ENSP00000365686	ENSLOCP00000004097
ENSP00000417085	ENSLOCP00000002772
ENSP00000356991	ENSLOCP00000001134
ENSP00000418070	ENSLOCP00000011424
ENSP00000264025	ENSLOCP00000007064
ENSP00000359000	ENSLOCP00000011679
ENSP00000245796	ENSLOCP00000018784
ENSP00000274710	ENSLOCP00000015542
ENSP00000020673	ENSLOCP00000015277
ENSP00000417706	ENSLOCP00000012075
ENSP00000292782	ENSLOCP00000000813
ENSP00000319482	ENSLOCP00000009666
ENSP00000334625	ENSLOCP00000017376
ENSP00000298139	ENSLOCP00000013227
ENSP00000317636	ENSLOCP00000014125
ENSP00000269228	ENSLOCP00000001838
ENSP00000361266	ENSLOCP00000002962
ENSP00000350364	ENSLOCP00000010450
ENSP00000270642	ENSLOCP00000006384
ENSP00000264668	ENSLOCP00000016723
ENSP00000337459	ENSLOCP00000004098
ENSP00000297494	ENSLOCP00000005348
ENSP00000419970	ENSLOCP00000001908
ENSP00000283122	ENSLOCP00000002105
ENSP00000355480	ENSLOCP00000020568
ENSP00000282077	ENSLOCP00000009151
ENSP00000005178	ENSLOCP00000013460
ENSP00000378405	ENSLOCP00000003278
ENSP00000333633	ENSLOCP00000017197
ENSP00000417654	ENSLOCP00000002012
ENSP00000247138	ENSLOCP00000017946
ENSP00000320566	ENSLOCP00000019441
ENSP00000322142	ENSLOCP00000008031
ENSP00000380024	ENSLOCP00000008516
ENSP00000364929	ENSLOCP00000011043
ENSP00000377265	ENSLOCP00000020169
ENSP00000362332	ENSLOCP00000000807
ENSP00000368924	ENSLOCP00000016251
ENSP00000201031	ENSLOCP00000008421
ENSP00000008391	ENSLOCP00000020167
ENSP00000300209	ENSLOCP00000004616
ENSP00000267273	ENSLOCP00000012285
ENSP00000406482	ENSLOCP00000013735
ENSP00000290902	ENSLOCP00000013449
ENSP00000316881	ENSLOCP00000006181
ENSP00000323696	ENSLOCP00000003148
ENSP00000236040	ENSLOCP00000001086
ENSP00000379951	ENSLOCP00000009464
ENSP00000253024	ENSLOCP00000021150
ENSP00000351250	ENSLOCP00000012853
ENSP00000384876	ENSLOCP00000003947
ENSP00000419185	ENSLOCP00000004308
ENSP00000302630	ENSLOCP00000016541
ENSP00000371786	ENSLOCP00000007164
ENSP00000261726	ENSLOCP00000009019
ENSP00000417003	ENSLOCP00000005080
ENSP00000270560	ENSLOCP00000017420
ENSP00000305852	ENSLOCP00000001998
ENSP00000433102	ENSLOCP00000010504
ENSP00000373272	ENSLOCP00000001425
ENSP00000256649	ENSLOCP00000013636
ENSP00000323714	ENSLOCP00000014553
ENSP00000393324	ENSLOCP00000012228
ENSP00000318057	ENSLOCP00000018388
ENSP00000239938	ENSLOCP00000011630
ENSP00000177694	ENSLOCP00000016440
ENSP00000374205	ENSLOCP00000010439
ENSP00000321951	ENSLOCP00000007490
ENSP00000314380	ENSLOCP00000010438
ENSP00000387194	ENSLOCP00000011725
ENSP00000221476	ENSLOCP00000018155
ENSP00000357106	ENSLOCP00000001788
ENSP00000384193	ENSLOCP00000010951
ENSP00000222374	ENSLOCP00000005139
ENSP00000475496	ENSLOCP00000007013
ENSP00000355387	ENSLOCP00000017561
ENSP00000316007	ENSLOCP00000007882
ENSP00000302177	ENSLOCP00000020782
ENSP00000324944	ENSLOCP00000010907
ENSP00000245615	ENSLOCP00000009708
ENSP00000261407	ENSLOCP00000009331
ENSP00000406052	ENSLOCP00000011051
ENSP00000346065	ENSLOCP00000020362
ENSP00000384376	ENSLOCP00000021272
ENSP00000255324	ENSLOCP00000013196
ENSP00000414624	ENSLOCP00000016583
ENSP00000325674	ENSLOCP00000004572
ENSP00000452634	ENSLOCP00000012068
ENSP00000284073	ENSLOCP00000005599
ENSP00000233078	ENSLOCP00000002644
ENSP00000257017	ENSLOCP00000018900
ENSP00000393987	ENSLOCP00000020306
ENSP00000383933	ENSLOCP00000019769
ENSP00000295569	ENSLOCP00000012411
ENSP00000263519	ENSLOCP00000019139
ENSP00000369677	ENSLOCP00000019635
ENSP00000335481	ENSLOCP00000009904
ENSP00000318234	ENSLOCP00000001806
ENSP00000254528	ENSLOCP00000013616
ENSP00000325355	ENSLOCP00000013981
ENSP00000345436	ENSLOCP00000006928
ENSP00000396421	ENSLOCP00000011695
ENSP00000274289	ENSLOCP00000009231
ENSP00000361275	ENSLOCP00000002893
ENSP00000253159	ENSLOCP00000004693
ENSP00000441823	ENSLOCP00000009506
ENSP00000251020	ENSLOCP00000008821
ENSP00000375810	ENSLOCP00000018162
ENSP00000259708	ENSLOCP00000001715
ENSP00000320543	ENSLOCP00000007117
ENSP00000419952	ENSLOCP00000003854
ENSP00000302719	ENSLOCP00000016880
ENSP00000344208	ENSLOCP00000013736
