ENSP00000262384	ENSGACP00000003450
ENSP00000343871	ENSGACP00000002501
ENSP00000362824	ENSGACP00000024161
ENSP00000361995	ENSGACP00000015186
ENSP00000268125	ENSGACP00000009364
ENSP00000268125	ENSGACP00000022283
ENSP00000275162	ENSGACP00000016040
ENSP00000302843	ENSGACP00000027323
ENSP00000347872	ENSGACP00000012004
ENSP00000347872	ENSGACP00000008427
ENSP00000303129	ENSGACP00000020774
ENSP00000399805	ENSGACP00000019686
ENSP00000323678	ENSGACP00000007393
ENSP00000375647	ENSGACP00000014077
ENSP00000375647	ENSGACP00000002623
ENSP00000436836	ENSGACP00000015404
ENSP00000436836	ENSGACP00000024486
ENSP00000005284	ENSGACP00000018930
ENSP00000005284	ENSGACP00000022151
ENSP00000262138	ENSGACP00000024490
ENSP00000262138	ENSGACP00000016156
ENSP00000270458	ENSGACP00000014072
ENSP00000376914	ENSGACP00000003890
ENSP00000400258	ENSGACP00000008971
ENSP00000400258	ENSGACP00000010715
ENSP00000362444	ENSGACP00000009867
ENSP00000247191	ENSGACP00000012507
ENSP00000359132	ENSGACP00000018335
ENSP00000379032	ENSGACP00000020593
ENSP00000363398	ENSGACP00000003601
ENSP00000367446	ENSGACP00000008287
ENSP00000367446	ENSGACP00000003954
ENSP00000220562	ENSGACP00000011110
ENSP00000400101	ENSGACP00000008952
ENSP00000322020	ENSGACP00000007269
ENSP00000329033	ENSGACP00000018118
ENSP00000272937	ENSGACP00000017819
ENSP00000307513	ENSGACP00000011957
ENSP00000283243	ENSGACP00000020024
ENSP00000356587	ENSGACP00000010507
ENSP00000368952	ENSGACP00000015759
ENSP00000368952	ENSGACP00000027242
ENSP00000319323	ENSGACP00000006238
ENSP00000328364	ENSGACP00000007062
ENSP00000345393	ENSGACP00000006011
ENSP00000344903	ENSGACP00000018621
ENSP00000297282	ENSGACP00000025390
ENSP00000279027	ENSGACP00000015595
ENSP00000392411	ENSGACP00000027075
ENSP00000392411	ENSGACP00000011371
ENSP00000406220	ENSGACP00000014438
ENSP00000406220	ENSGACP00000002482
ENSP00000365251	ENSGACP00000010138
ENSP00000435582	ENSGACP00000014484
ENSP00000353249	ENSGACP00000007335
ENSP00000360905	ENSGACP00000014770
ENSP00000353422	ENSGACP00000010547
ENSP00000379500	ENSGACP00000014826
ENSP00000355751	ENSGACP00000007626
ENSP00000222271	ENSGACP00000011322
ENSP00000339730	ENSGACP00000021331
ENSP00000339730	ENSGACP00000013049
ENSP00000383909	ENSGACP00000014740
ENSP00000319651	ENSGACP00000025750
ENSP00000371686	ENSGACP00000019139
ENSP00000227451	ENSGACP00000021558
ENSP00000227451	ENSGACP00000025677
ENSP00000257600	ENSGACP00000015799
ENSP00000447873	ENSGACP00000011290
ENSP00000005286	ENSGACP00000021467
ENSP00000356275	ENSGACP00000006721
ENSP00000356275	ENSGACP00000012822
ENSP00000431813	ENSGACP00000022562
ENSP00000160373	ENSGACP00000011924
ENSP00000271277	ENSGACP00000008097
ENSP00000271277	ENSGACP00000013458
ENSP00000346560	ENSGACP00000018946
ENSP00000303758	ENSGACP00000012763
ENSP00000363349	ENSGACP00000023501
ENSP00000238994	ENSGACP00000014637
ENSP00000308318	ENSGACP00000017766
ENSP00000336630	ENSGACP00000017720
ENSP00000336630	ENSGACP00000023168
ENSP00000356205	ENSGACP00000000388
ENSP00000356205	ENSGACP00000010687
ENSP00000276218	ENSGACP00000027546
ENSP00000391299	ENSGACP00000022436
ENSP00000342313	ENSGACP00000009783
ENSP00000440674	ENSGACP00000013794
ENSP00000440674	ENSGACP00000002583
ENSP00000332723	ENSGACP00000008851
ENSP00000411770	ENSGACP00000011962
ENSP00000214869	ENSGACP00000013617
ENSP00000214869	ENSGACP00000024845
ENSP00000359305	ENSGACP00000007476
ENSP00000356381	ENSGACP00000008862
ENSP00000369989	ENSGACP00000002243
ENSP00000233596	ENSGACP00000004347
ENSP00000368959	ENSGACP00000024642
ENSP00000254901	ENSGACP00000023961
ENSP00000438346	ENSGACP00000010920
ENSP00000362863	ENSGACP00000020256
ENSP00000358159	ENSGACP00000018674
ENSP00000295488	ENSGACP00000001541
ENSP00000435506	ENSGACP00000025293
ENSP00000264233	ENSGACP00000021244
ENSP00000317123	ENSGACP00000015197
ENSP00000253083	ENSGACP00000010883
ENSP00000267984	ENSGACP00000016455
ENSP00000263915	ENSGACP00000007247
ENSP00000381793	ENSGACP00000008515
ENSP00000381793	ENSGACP00000010891
ENSP00000403459	ENSGACP00000005764
ENSP00000343490	ENSGACP00000006690
ENSP00000369442	ENSGACP00000027174
ENSP00000257408	ENSGACP00000023717
ENSP00000240285	ENSGACP00000003615
ENSP00000365397	ENSGACP00000005917
ENSP00000358854	ENSGACP00000024117
ENSP00000262394	ENSGACP00000018050
ENSP00000319474	ENSGACP00000018757
ENSP00000387078	ENSGACP00000020047
ENSP00000387078	ENSGACP00000007585
ENSP00000344504	ENSGACP00000011922
ENSP00000372160	ENSGACP00000003547
ENSP00000344277	ENSGACP00000019183
ENSP00000263512	ENSGACP00000002744
ENSP00000245312	ENSGACP00000002016
ENSP00000273861	ENSGACP00000018705
ENSP00000216540	ENSGACP00000010376
ENSP00000216540	ENSGACP00000007930
ENSP00000313681	ENSGACP00000025486
ENSP00000313681	ENSGACP00000016795
ENSP00000245222	ENSGACP00000015259
ENSP00000216264	ENSGACP00000025138
ENSP00000216264	ENSGACP00000011755
ENSP00000347581	ENSGACP00000018076
ENSP00000404121	ENSGACP00000008295
ENSP00000262961	ENSGACP00000014107
ENSP00000265069	ENSGACP00000006667
ENSP00000361800	ENSGACP00000024356
ENSP00000242317	ENSGACP00000011466
ENSP00000264968	ENSGACP00000003847
ENSP00000338487	ENSGACP00000022310
ENSP00000354458	ENSGACP00000021571
ENSP00000360281	ENSGACP00000021553
ENSP00000322061	ENSGACP00000023675
ENSP00000322061	ENSGACP00000009161
ENSP00000263413	ENSGACP00000023666
ENSP00000309270	ENSGACP00000022606
ENSP00000362207	ENSGACP00000003183
ENSP00000362207	ENSGACP00000011082
ENSP00000276055	ENSGACP00000018264
ENSP00000344724	ENSGACP00000008056
ENSP00000344724	ENSGACP00000009168
ENSP00000219746	ENSGACP00000022048
ENSP00000441032	ENSGACP00000016335
ENSP00000346206	ENSGACP00000017279
ENSP00000440288	ENSGACP00000006884
ENSP00000351717	ENSGACP00000023755
ENSP00000310721	ENSGACP00000002114
ENSP00000301645	ENSGACP00000019214
ENSP00000318867	ENSGACP00000023011
ENSP00000244043	ENSGACP00000001216
ENSP00000244043	ENSGACP00000001729
ENSP00000259808	ENSGACP00000017178
ENSP00000220751	ENSGACP00000021150
ENSP00000332454	ENSGACP00000026689
ENSP00000306678	ENSGACP00000012092
ENSP00000363852	ENSGACP00000023826
ENSP00000363852	ENSGACP00000021508
ENSP00000229729	ENSGACP00000003882
ENSP00000336888	ENSGACP00000008443
ENSP00000336888	ENSGACP00000025295
ENSP00000359892	ENSGACP00000015893
ENSP00000359892	ENSGACP00000019478
ENSP00000262032	ENSGACP00000012018
ENSP00000262032	ENSGACP00000000954
ENSP00000413025	ENSGACP00000003981
ENSP00000344544	ENSGACP00000023947
ENSP00000473474	ENSGACP00000015247
ENSP00000297679	ENSGACP00000018081
ENSP00000343526	ENSGACP00000009082
ENSP00000303434	ENSGACP00000022777
ENSP00000346643	ENSGACP00000021216
ENSP00000292432	ENSGACP00000027504
ENSP00000223366	ENSGACP00000005858
ENSP00000340243	ENSGACP00000015141
ENSP00000342962	ENSGACP00000005329
ENSP00000319796	ENSGACP00000023030
ENSP00000420863	ENSGACP00000013038
ENSP00000320346	ENSGACP00000014266
ENSP00000320346	ENSGACP00000021767
ENSP00000379118	ENSGACP00000010282
ENSP00000361672	ENSGACP00000018424
ENSP00000361672	ENSGACP00000010363
ENSP00000363377	ENSGACP00000022490
ENSP00000366746	ENSGACP00000022529
ENSP00000413697	ENSGACP00000025239
ENSP00000413697	ENSGACP00000009059
ENSP00000330631	ENSGACP00000014363
ENSP00000330631	ENSGACP00000027136
ENSP00000043402	ENSGACP00000018567
ENSP00000335397	ENSGACP00000023567
ENSP00000335397	ENSGACP00000024371
ENSP00000340328	ENSGACP00000010873
ENSP00000263212	ENSGACP00000005024
ENSP00000312411	ENSGACP00000027593
ENSP00000417659	ENSGACP00000013327
ENSP00000417659	ENSGACP00000018279
ENSP00000254654	ENSGACP00000006461
ENSP00000477341	ENSGACP00000022880
ENSP00000477341	ENSGACP00000024592
ENSP00000378830	ENSGACP00000003771
ENSP00000378830	ENSGACP00000002157
ENSP00000338673	ENSGACP00000002749
ENSP00000376345	ENSGACP00000009150
ENSP00000378324	ENSGACP00000013757
ENSP00000414398	ENSGACP00000011965
ENSP00000307280	ENSGACP00000008707
ENSP00000229824	ENSGACP00000001910
ENSP00000365630	ENSGACP00000009985
ENSP00000262094	ENSGACP00000023614
ENSP00000379601	ENSGACP00000020929
ENSP00000330247	ENSGACP00000022776
ENSP00000376615	ENSGACP00000013315
ENSP00000261461	ENSGACP00000013188
ENSP00000164133	ENSGACP00000026173
ENSP00000417963	ENSGACP00000016187
ENSP00000412733	ENSGACP00000014581
ENSP00000296220	ENSGACP00000019677
ENSP00000379804	ENSGACP00000004083
ENSP00000379804	ENSGACP00000005781
ENSP00000263650	ENSGACP00000014663
ENSP00000378349	ENSGACP00000013881
ENSP00000353094	ENSGACP00000014852
ENSP00000328327	ENSGACP00000018462
ENSP00000218008	ENSGACP00000023022
ENSP00000334216	ENSGACP00000020220
ENSP00000250111	ENSGACP00000026953
ENSP00000250111	ENSGACP00000001525
ENSP00000356790	ENSGACP00000018045
ENSP00000356790	ENSGACP00000020202
ENSP00000473410	ENSGACP00000019892
ENSP00000216139	ENSGACP00000011155
ENSP00000396538	ENSGACP00000020784
ENSP00000396538	ENSGACP00000016165
ENSP00000379330	ENSGACP00000014657
ENSP00000325748	ENSGACP00000020761
ENSP00000361892	ENSGACP00000000023
ENSP00000429744	ENSGACP00000004790
ENSP00000320485	ENSGACP00000010121
ENSP00000320485	ENSGACP00000009597
ENSP00000263620	ENSGACP00000011075
ENSP00000263270	ENSGACP00000012573
ENSP00000336666	ENSGACP00000000936
ENSP00000379891	ENSGACP00000018533
ENSP00000379891	ENSGACP00000000313
ENSP00000413049	ENSGACP00000022262
ENSP00000381782	ENSGACP00000007179
ENSP00000354886	ENSGACP00000017069
ENSP00000326305	ENSGACP00000001537
ENSP00000397563	ENSGACP00000013067
ENSP00000257177	ENSGACP00000007024
ENSP00000263063	ENSGACP00000002168
ENSP00000373420	ENSGACP00000021273
ENSP00000325594	ENSGACP00000024268
ENSP00000410862	ENSGACP00000012836
ENSP00000410862	ENSGACP00000009393
ENSP00000344465	ENSGACP00000017596
ENSP00000274473	ENSGACP00000024684
ENSP00000266214	ENSGACP00000018570
ENSP00000340330	ENSGACP00000026977
ENSP00000259021	ENSGACP00000007863
ENSP00000380136	ENSGACP00000017301
ENSP00000406037	ENSGACP00000019702
ENSP00000337194	ENSGACP00000006403
ENSP00000263864	ENSGACP00000017980
ENSP00000356992	ENSGACP00000023413
ENSP00000264245	ENSGACP00000027353
ENSP00000266970	ENSGACP00000000699
ENSP00000347924	ENSGACP00000004151
ENSP00000316905	ENSGACP00000023997
ENSP00000224807	ENSGACP00000010622
ENSP00000358909	ENSGACP00000004019
ENSP00000266771	ENSGACP00000016125
ENSP00000340402	ENSGACP00000014496
ENSP00000365686	ENSGACP00000018285
ENSP00000365686	ENSGACP00000005651
ENSP00000417085	ENSGACP00000019208
ENSP00000356991	ENSGACP00000026444
ENSP00000356991	ENSGACP00000023425
ENSP00000418070	ENSGACP00000014984
ENSP00000418070	ENSGACP00000026896
ENSP00000264025	ENSGACP00000016192
ENSP00000264025	ENSGACP00000027292
ENSP00000359000	ENSGACP00000019290
ENSP00000245796	ENSGACP00000022105
ENSP00000274710	ENSGACP00000024689
ENSP00000020673	ENSGACP00000001742
ENSP00000020673	ENSGACP00000005540
ENSP00000292782	ENSGACP00000021178
ENSP00000319482	ENSGACP00000011308
ENSP00000334625	ENSGACP00000018744
ENSP00000317636	ENSGACP00000017560
ENSP00000269228	ENSGACP00000022840
ENSP00000265565	ENSGACP00000016689
ENSP00000361266	ENSGACP00000018236
ENSP00000350364	ENSGACP00000012510
ENSP00000270642	ENSGACP00000016479
ENSP00000264668	ENSGACP00000003484
ENSP00000337459	ENSGACP00000018708
ENSP00000419970	ENSGACP00000010198
ENSP00000283122	ENSGACP00000020504
ENSP00000355480	ENSGACP00000019135
ENSP00000282077	ENSGACP00000006442
ENSP00000005178	ENSGACP00000008923
ENSP00000333633	ENSGACP00000014890
ENSP00000349076	ENSGACP00000013221
ENSP00000417654	ENSGACP00000012239
ENSP00000247138	ENSGACP00000000363
ENSP00000320566	ENSGACP00000000841
ENSP00000322142	ENSGACP00000014629
ENSP00000364929	ENSGACP00000004599
ENSP00000307183	ENSGACP00000001097
ENSP00000362332	ENSGACP00000003493
ENSP00000368924	ENSGACP00000003037
ENSP00000201031	ENSGACP00000007881
ENSP00000008391	ENSGACP00000009707
ENSP00000300209	ENSGACP00000000594
ENSP00000267273	ENSGACP00000004030
ENSP00000406482	ENSGACP00000017015
ENSP00000406482	ENSGACP00000000088
ENSP00000290902	ENSGACP00000021696
ENSP00000316881	ENSGACP00000013298
ENSP00000323696	ENSGACP00000006321
ENSP00000236040	ENSGACP00000014620
ENSP00000379951	ENSGACP00000013026
ENSP00000321005	ENSGACP00000024852
ENSP00000351250	ENSGACP00000006576
ENSP00000384876	ENSGACP00000020648
ENSP00000302630	ENSGACP00000021822
ENSP00000261726	ENSGACP00000017880
ENSP00000417003	ENSGACP00000002740
ENSP00000270560	ENSGACP00000025449
ENSP00000305852	ENSGACP00000008433
ENSP00000433102	ENSGACP00000027200
ENSP00000433102	ENSGACP00000015452
ENSP00000373272	ENSGACP00000010991
ENSP00000256649	ENSGACP00000010960
ENSP00000381340	ENSGACP00000022519
ENSP00000381340	ENSGACP00000016643
ENSP00000393324	ENSGACP00000004443
ENSP00000393324	ENSGACP00000015655
ENSP00000318057	ENSGACP00000014318
ENSP00000239938	ENSGACP00000023964
ENSP00000177694	ENSGACP00000005023
ENSP00000374205	ENSGACP00000007470
ENSP00000321951	ENSGACP00000012323
ENSP00000321951	ENSGACP00000000795
ENSP00000314380	ENSGACP00000006963
ENSP00000387194	ENSGACP00000019319
ENSP00000221476	ENSGACP00000026643
ENSP00000221476	ENSGACP00000016500
ENSP00000384193	ENSGACP00000015626
ENSP00000384193	ENSGACP00000027248
ENSP00000227348	ENSGACP00000026577
ENSP00000307275	ENSGACP00000004344
ENSP00000355387	ENSGACP00000008376
ENSP00000355387	ENSGACP00000021839
ENSP00000316007	ENSGACP00000019024
ENSP00000302177	ENSGACP00000018252
ENSP00000314196	ENSGACP00000018145
ENSP00000245615	ENSGACP00000015136
ENSP00000261407	ENSGACP00000013136
ENSP00000255324	ENSGACP00000001739
ENSP00000414624	ENSGACP00000017767
ENSP00000414624	ENSGACP00000025597
ENSP00000325674	ENSGACP00000002920
ENSP00000369409	ENSGACP00000006170
ENSP00000233078	ENSGACP00000010967
ENSP00000257017	ENSGACP00000024788
ENSP00000358644	ENSGACP00000012622
ENSP00000393987	ENSGACP00000025282
ENSP00000383933	ENSGACP00000025134
ENSP00000369677	ENSGACP00000005951
ENSP00000335481	ENSGACP00000011391
ENSP00000345436	ENSGACP00000007695
ENSP00000345436	ENSGACP00000022143
ENSP00000361275	ENSGACP00000018222
ENSP00000253159	ENSGACP00000007366
ENSP00000441823	ENSGACP00000007268
ENSP00000441823	ENSGACP00000003320
ENSP00000251020	ENSGACP00000022052
ENSP00000375810	ENSGACP00000016423
ENSP00000399403	ENSGACP00000025143
ENSP00000320543	ENSGACP00000016788
ENSP00000419952	ENSGACP00000009357
ENSP00000419952	ENSGACP00000019831
ENSP00000302719	ENSGACP00000027367
ENSP00000302719	ENSGACP00000001479
ENSP00000285208	ENSGACP00000004908
ENSP00000285208	ENSGACP00000018138
ENSP00000410403	ENSGACP00000014833
ENSP00000465419	ENSGACP00000017486
ENSP00000281537	ENSGACP00000020545
ENSP00000281537	ENSGACP00000008214
ENSP00000355938	ENSGACP00000015883
ENSP00000320234	ENSGACP00000022168
ENSP00000437041	ENSGACP00000003217
ENSP00000371419	ENSGACP00000011271
ENSP00000398688	ENSGACP00000019889
ENSP00000405514	ENSGACP00000008823
ENSP00000424474	ENSGACP00000019530
ENSP00000226574	ENSGACP00000022290
ENSP00000358983	ENSGACP00000001732
ENSP00000221452	ENSGACP00000012747
ENSP00000384273	ENSGACP00000026471
ENSP00000329468	ENSGACP00000016398
ENSP00000329468	ENSGACP00000025666
