ENSMODP00000016222	ENSACAP00000005936
ENSMODP00000006081	ENSACAP00000012838
ENSMODP00000017560	ENSACAP00000009680
ENSMODP00000026600	ENSACAP00000007792
ENSMODP00000026601	ENSACAP00000018412
ENSMODP00000035510	ENSACAP00000017761
ENSMODP00000035512	ENSACAP00000019211
ENSMODP00000035509	ENSACAP00000007789
ENSMODP00000037658	ENSACAP00000017650
ENSMODP00000014612	ENSACAP00000008106
ENSMODP00000000679	ENSACAP00000012446
ENSMODP00000025796	ENSACAP00000006460
ENSMODP00000010442	ENSACAP00000003419
ENSMODP00000008107	ENSACAP00000015858
ENSMODP00000010998	ENSACAP00000001119
ENSMODP00000019519	ENSACAP00000000552
ENSMODP00000011474	ENSACAP00000015929
ENSMODP00000009649	ENSACAP00000007492
ENSMODP00000026122	ENSACAP00000011870
ENSMODP00000010914	ENSACAP00000000777
ENSMODP00000023478	ENSACAP00000011796
ENSMODP00000015235	ENSACAP00000009619
ENSMODP00000041284	ENSACAP00000001319
ENSMODP00000003832	ENSACAP00000006086
ENSMODP00000006867	ENSACAP00000016842
ENSMODP00000000092	ENSACAP00000001864
ENSMODP00000000179	ENSACAP00000002959
ENSMODP00000014712	ENSACAP00000011884
ENSMODP00000004891	ENSACAP00000016298
ENSMODP00000006523	ENSACAP00000000477
ENSMODP00000000959	ENSACAP00000013286
ENSMODP00000012028	ENSACAP00000011970
ENSMODP00000029754	ENSACAP00000014097
ENSMODP00000012160	ENSACAP00000005123
ENSMODP00000004041	ENSACAP00000012263
ENSMODP00000022102	ENSACAP00000016998
ENSMODP00000025585	ENSACAP00000009190
ENSMODP00000016495	ENSACAP00000000083
ENSMODP00000024060	ENSACAP00000004428
ENSMODP00000014171	ENSACAP00000002974
ENSMODP00000015986	ENSACAP00000013481
ENSMODP00000003492	ENSACAP00000008599
ENSMODP00000013925	ENSACAP00000000242
ENSMODP00000007364	ENSACAP00000013864
ENSMODP00000007623	ENSACAP00000022297
ENSMODP00000002626	ENSACAP00000015728
ENSMODP00000013412	ENSACAP00000011579
ENSMODP00000012859	ENSACAP00000006096
ENSMODP00000040508	ENSACAP00000013141
ENSMODP00000016741	ENSACAP00000004949
ENSMODP00000037068	ENSACAP00000007355
ENSMODP00000015720	ENSACAP00000018297
ENSMODP00000000761	ENSACAP00000008830
ENSMODP00000013478	ENSACAP00000017368
ENSMODP00000036453	ENSACAP00000014517
ENSMODP00000024298	ENSACAP00000016774
ENSMODP00000011108	ENSACAP00000007485
ENSMODP00000029024	ENSACAP00000006473
ENSMODP00000007844	ENSACAP00000006842
ENSMODP00000002121	ENSACAP00000019597
ENSMODP00000019696	ENSACAP00000021579
ENSMODP00000021361	ENSACAP00000003327
ENSMODP00000025206	ENSACAP00000013174
ENSMODP00000016010	ENSACAP00000000079
ENSMODP00000023381	ENSACAP00000001174
ENSMODP00000019361	ENSACAP00000019956
ENSMODP00000022856	ENSACAP00000009131
ENSMODP00000033704	ENSACAP00000015102
ENSMODP00000011376	ENSACAP00000015338
ENSMODP00000014984	ENSACAP00000007490
ENSMODP00000020886	ENSACAP00000010928
ENSMODP00000013331	ENSACAP00000010696
ENSMODP00000017273	ENSACAP00000005094
ENSMODP00000013863	ENSACAP00000016443
ENSMODP00000036044	ENSACAP00000012452
ENSMODP00000017182	ENSACAP00000001895
ENSMODP00000022560	ENSACAP00000014884
ENSMODP00000008288	ENSACAP00000016759
ENSMODP00000013900	ENSACAP00000005904
ENSMODP00000017320	ENSACAP00000012803
ENSMODP00000015229	ENSACAP00000008215
ENSMODP00000025996	ENSACAP00000009961
ENSMODP00000016389	ENSACAP00000013070
ENSMODP00000000402	ENSACAP00000014146
ENSMODP00000009650	ENSACAP00000013946
ENSMODP00000002182	ENSACAP00000011702
ENSMODP00000019074	ENSACAP00000015780
ENSMODP00000016852	ENSACAP00000002299
ENSMODP00000000500	ENSACAP00000003195
ENSMODP00000026029	ENSACAP00000006047
ENSMODP00000024292	ENSACAP00000015236
ENSMODP00000003122	ENSACAP00000009598
ENSMODP00000013464	ENSACAP00000003471
ENSMODP00000008628	ENSACAP00000003380
ENSMODP00000004044	ENSACAP00000007070
ENSMODP00000002679	ENSACAP00000007401
ENSMODP00000007893	ENSACAP00000019189
ENSMODP00000021412	ENSACAP00000018998
ENSMODP00000006018	ENSACAP00000000860
ENSMODP00000023606	ENSACAP00000011711
ENSMODP00000039634	ENSACAP00000017664
ENSMODP00000037970	ENSACAP00000002249
ENSMODP00000004963	ENSACAP00000000195
ENSMODP00000007067	ENSACAP00000010451
ENSMODP00000021169	ENSACAP00000011342
ENSMODP00000024799	ENSACAP00000014285
ENSMODP00000001757	ENSACAP00000014668
ENSMODP00000016775	ENSACAP00000003308
ENSMODP00000005386	ENSACAP00000015061
ENSMODP00000005390	ENSACAP00000016420
ENSMODP00000013628	ENSACAP00000011989
ENSMODP00000006172	ENSACAP00000004060
ENSMODP00000026554	ENSACAP00000006661
ENSMODP00000004039	ENSACAP00000010344
ENSMODP00000005255	ENSACAP00000011938
ENSMODP00000000790	ENSACAP00000008723
ENSMODP00000012861	ENSACAP00000012354
ENSMODP00000031750	ENSACAP00000008800
ENSMODP00000020405	ENSACAP00000000609
ENSMODP00000013151	ENSACAP00000015558
ENSMODP00000013497	ENSACAP00000005087
ENSMODP00000002193	ENSACAP00000014183
ENSMODP00000009886	ENSACAP00000013350
ENSMODP00000004613	ENSACAP00000005792
ENSMODP00000021509	ENSACAP00000010506
ENSMODP00000002877	ENSACAP00000009513
ENSMODP00000008929	ENSACAP00000002901
ENSMODP00000013499	ENSACAP00000013575
ENSMODP00000034760	ENSACAP00000012544
ENSMODP00000022870	ENSACAP00000015144
ENSMODP00000017133	ENSACAP00000016973
ENSMODP00000031383	ENSACAP00000020331
ENSMODP00000027887	ENSACAP00000007051
ENSMODP00000006876	ENSACAP00000019114
ENSMODP00000012731	ENSACAP00000007918
ENSMODP00000032765	ENSACAP00000004435
ENSMODP00000020580	ENSACAP00000009498
ENSMODP00000017923	ENSACAP00000001475
ENSMODP00000012407	ENSACAP00000003976
ENSMODP00000012104	ENSACAP00000008062
ENSMODP00000007382	ENSACAP00000010217
ENSMODP00000005455	ENSACAP00000004865
ENSMODP00000004284	ENSACAP00000003655
ENSMODP00000020969	ENSACAP00000011875
ENSMODP00000021367	ENSACAP00000008565
ENSMODP00000019075	ENSACAP00000002928
ENSMODP00000019115	ENSACAP00000000868
ENSMODP00000012345	ENSACAP00000016976
ENSMODP00000026928	ENSACAP00000009221
ENSMODP00000018395	ENSACAP00000016880
ENSMODP00000013531	ENSACAP00000005302
ENSMODP00000035351	ENSACAP00000001932
ENSMODP00000016287	ENSACAP00000002551
ENSMODP00000002515	ENSACAP00000010646
ENSMODP00000011895	ENSACAP00000007917
ENSMODP00000033297	ENSACAP00000007896
ENSMODP00000019398	ENSACAP00000004457
ENSMODP00000016469	ENSACAP00000015885
ENSMODP00000016648	ENSACAP00000002426
ENSMODP00000003179	ENSACAP00000002385
ENSMODP00000007000	ENSACAP00000017474
ENSMODP00000024699	ENSACAP00000005740
ENSMODP00000006196	ENSACAP00000003383
ENSMODP00000003320	ENSACAP00000016069
ENSMODP00000005329	ENSACAP00000001093
ENSMODP00000017619	ENSACAP00000017526
ENSMODP00000021986	ENSACAP00000015435
ENSMODP00000024349	ENSACAP00000014650
ENSMODP00000024346	ENSACAP00000014665
ENSMODP00000022203	ENSACAP00000000942
ENSMODP00000025425	ENSACAP00000009728
ENSMODP00000039684	ENSACAP00000018182
ENSMODP00000016658	ENSACAP00000014024
ENSMODP00000024177	ENSACAP00000013525
ENSMODP00000006059	ENSACAP00000001427
ENSMODP00000032132	ENSACAP00000015468
ENSMODP00000013827	ENSACAP00000004783
ENSMODP00000013818	ENSACAP00000008216
ENSMODP00000013808	ENSACAP00000004784
ENSMODP00000023168	ENSACAP00000009388
ENSMODP00000016086	ENSACAP00000001385
ENSMODP00000025150	ENSACAP00000018145
ENSMODP00000000370	ENSACAP00000012872
ENSMODP00000018131	ENSACAP00000019293
ENSMODP00000005345	ENSACAP00000016705
ENSMODP00000012520	ENSACAP00000016101
ENSMODP00000012871	ENSACAP00000002577
ENSMODP00000017612	ENSACAP00000012146
ENSMODP00000012865	ENSACAP00000009720
ENSMODP00000014616	ENSACAP00000005943
ENSMODP00000013397	ENSACAP00000000973
ENSMODP00000015857	ENSACAP00000001579
ENSMODP00000020847	ENSACAP00000012461
ENSMODP00000031789	ENSACAP00000022538
ENSMODP00000035173	ENSACAP00000005645
ENSMODP00000033636	ENSACAP00000015655
ENSMODP00000028502	ENSACAP00000001953
ENSMODP00000017863	ENSACAP00000005411
ENSMODP00000038839	ENSACAP00000016164
ENSMODP00000023326	ENSACAP00000006602
ENSMODP00000007984	ENSACAP00000003200
ENSMODP00000013862	ENSACAP00000009074
ENSMODP00000023828	ENSACAP00000012719
ENSMODP00000005289	ENSACAP00000010570
ENSMODP00000002353	ENSACAP00000001753
ENSMODP00000015862	ENSACAP00000001589
ENSMODP00000020662	ENSACAP00000019903
ENSMODP00000001296	ENSACAP00000009777
ENSMODP00000018114	ENSACAP00000006466
ENSMODP00000003778	ENSACAP00000008206
ENSMODP00000016652	ENSACAP00000004741
ENSMODP00000003368	ENSACAP00000015089
ENSMODP00000023888	ENSACAP00000010728
ENSMODP00000000346	ENSACAP00000010782
ENSMODP00000034629	ENSACAP00000014628
ENSMODP00000003237	ENSACAP00000014585
ENSMODP00000004030	ENSACAP00000014351
ENSMODP00000012753	ENSACAP00000006234
ENSMODP00000005649	ENSACAP00000019708
ENSMODP00000019189	ENSACAP00000018133
ENSMODP00000015197	ENSACAP00000008532
ENSMODP00000014605	ENSACAP00000006579
ENSMODP00000015236	ENSACAP00000008554
ENSMODP00000019764	ENSACAP00000006509
ENSMODP00000005729	ENSACAP00000004623
ENSMODP00000003767	ENSACAP00000000901
ENSMODP00000011064	ENSACAP00000003028
ENSMODP00000031267	ENSACAP00000002875
ENSMODP00000001454	ENSACAP00000010760
ENSMODP00000021931	ENSACAP00000012326
ENSMODP00000020631	ENSACAP00000014689
ENSMODP00000024509	ENSACAP00000008887
ENSMODP00000010755	ENSACAP00000006450
ENSMODP00000010746	ENSACAP00000020101
ENSMODP00000000909	ENSACAP00000003697
ENSMODP00000000902	ENSACAP00000003684
ENSMODP00000019865	ENSACAP00000009858
ENSMODP00000000908	ENSACAP00000008000
ENSMODP00000024234	ENSACAP00000010293
ENSMODP00000016933	ENSACAP00000023319
ENSMODP00000005846	ENSACAP00000005594
ENSMODP00000013547	ENSACAP00000015543
ENSMODP00000024821	ENSACAP00000022398
ENSMODP00000021392	ENSACAP00000008947
ENSMODP00000001044	ENSACAP00000000177
ENSMODP00000016401	ENSACAP00000014072
ENSMODP00000026088	ENSACAP00000009330
ENSMODP00000002302	ENSACAP00000011900
ENSMODP00000017574	ENSACAP00000019169
ENSMODP00000016796	ENSACAP00000009364
ENSMODP00000017858	ENSACAP00000005299
ENSMODP00000012397	ENSACAP00000012130
ENSMODP00000003704	ENSACAP00000008363
ENSMODP00000003835	ENSACAP00000003188
ENSMODP00000002775	ENSACAP00000009106
ENSMODP00000022195	ENSACAP00000014036
ENSMODP00000019036	ENSACAP00000017049
ENSMODP00000021585	ENSACAP00000007060
ENSMODP00000017428	ENSACAP00000017578
ENSMODP00000026323	ENSACAP00000005032
ENSMODP00000016781	ENSACAP00000009679
ENSMODP00000006815	ENSACAP00000017072
ENSMODP00000007822	ENSACAP00000012489
ENSMODP00000033334	ENSACAP00000020615
ENSMODP00000007124	ENSACAP00000000594
ENSMODP00000019317	ENSACAP00000000809
ENSMODP00000026127	ENSACAP00000011635
ENSMODP00000035640	ENSACAP00000021872
ENSMODP00000006054	ENSACAP00000000027
ENSMODP00000007035	ENSACAP00000000226
ENSMODP00000008417	ENSACAP00000007738
ENSMODP00000015774	ENSACAP00000013047
ENSMODP00000011325	ENSACAP00000020901
ENSMODP00000009929	ENSACAP00000003852
ENSMODP00000002001	ENSACAP00000002156
ENSMODP00000013128	ENSACAP00000006137
ENSMODP00000026470	ENSACAP00000017488
ENSMODP00000019748	ENSACAP00000006741
ENSMODP00000003420	ENSACAP00000021155
ENSMODP00000016349	ENSACAP00000000981
ENSMODP00000016685	ENSACAP00000009209
ENSMODP00000019237	ENSACAP00000003253
ENSMODP00000015089	ENSACAP00000015434
ENSMODP00000022209	ENSACAP00000013959
ENSMODP00000024626	ENSACAP00000012315
ENSMODP00000039119	ENSACAP00000016268
ENSMODP00000017180	ENSACAP00000016828
ENSMODP00000010022	ENSACAP00000012882
ENSMODP00000014063	ENSACAP00000006310
ENSMODP00000017347	ENSACAP00000005065
ENSMODP00000020407	ENSACAP00000000988
ENSMODP00000026357	ENSACAP00000002892
ENSMODP00000014773	ENSACAP00000002010
ENSMODP00000004906	ENSACAP00000002775
ENSMODP00000008455	ENSACAP00000007811
ENSMODP00000020030	ENSACAP00000006245
ENSMODP00000022788	ENSACAP00000014205
ENSMODP00000023496	ENSACAP00000003957
ENSMODP00000002747	ENSACAP00000004115
ENSMODP00000009509	ENSACAP00000019837
ENSMODP00000017746	ENSACAP00000005055
ENSMODP00000020177	ENSACAP00000003452
ENSMODP00000015849	ENSACAP00000022607
ENSMODP00000001111	ENSACAP00000001464
ENSMODP00000040020	ENSACAP00000023161
ENSMODP00000016929	ENSACAP00000007133
ENSMODP00000016948	ENSACAP00000007144
ENSMODP00000016950	ENSACAP00000007166
ENSMODP00000025635	ENSACAP00000014451
ENSMODP00000025666	ENSACAP00000011447
ENSMODP00000012544	ENSACAP00000012845
ENSMODP00000009215	ENSACAP00000003423
ENSMODP00000005689	ENSACAP00000014516
ENSMODP00000023558	ENSACAP00000013145
ENSMODP00000019713	ENSACAP00000008617
ENSMODP00000020264	ENSACAP00000016589
ENSMODP00000010276	ENSACAP00000016612
ENSMODP00000024418	ENSACAP00000000766
ENSMODP00000022105	ENSACAP00000001550
ENSMODP00000010406	ENSACAP00000005884
ENSMODP00000014796	ENSACAP00000016217
ENSMODP00000037021	ENSACAP00000001002
ENSMODP00000018917	ENSACAP00000013260
ENSMODP00000010074	ENSACAP00000010212
ENSMODP00000023816	ENSACAP00000011210
ENSMODP00000007213	ENSACAP00000012546
ENSMODP00000015433	ENSACAP00000005192
ENSMODP00000017578	ENSACAP00000016275
ENSMODP00000036263	ENSACAP00000016014
ENSMODP00000004989	ENSACAP00000000189
ENSMODP00000015030	ENSACAP00000002209
ENSMODP00000005946	ENSACAP00000007863
ENSMODP00000017783	ENSACAP00000005144
ENSMODP00000029570	ENSACAP00000013190
ENSMODP00000035344	ENSACAP00000021368
ENSMODP00000001726	ENSACAP00000009646
ENSMODP00000004225	ENSACAP00000003038
ENSMODP00000024791	ENSACAP00000014062
ENSMODP00000017558	ENSACAP00000017531
ENSMODP00000005034	ENSACAP00000008252
ENSMODP00000011019	ENSACAP00000016064
ENSMODP00000023005	ENSACAP00000012143
ENSMODP00000013329	ENSACAP00000020312
ENSMODP00000012713	ENSACAP00000013258
ENSMODP00000006389	ENSACAP00000012231
ENSMODP00000007629	ENSACAP00000012123
ENSMODP00000034116	ENSACAP00000015884
ENSMODP00000023356	ENSACAP00000008258
ENSMODP00000003753	ENSACAP00000010223
ENSMODP00000011237	ENSACAP00000011216
ENSMODP00000034145	ENSACAP00000011928
ENSMODP00000034463	ENSACAP00000006406
ENSMODP00000029074	ENSACAP00000016440
ENSMODP00000028794	ENSACAP00000011920
ENSMODP00000020748	ENSACAP00000011449
ENSMODP00000001616	ENSACAP00000019094
ENSMODP00000001739	ENSACAP00000003257
ENSMODP00000010196	ENSACAP00000000792
ENSMODP00000024853	ENSACAP00000019131
ENSMODP00000028979	ENSACAP00000008195
ENSMODP00000001626	ENSACAP00000021848
ENSMODP00000034890	ENSACAP00000005631
ENSMODP00000007927	ENSACAP00000000062
ENSMODP00000007157	ENSACAP00000002993
ENSMODP00000004469	ENSACAP00000014378
ENSMODP00000024590	ENSACAP00000016349
ENSMODP00000021330	ENSACAP00000002530
ENSMODP00000001502	ENSACAP00000007132
ENSMODP00000004693	ENSACAP00000017264
ENSMODP00000000505	ENSACAP00000008704
ENSMODP00000004192	ENSACAP00000002301
ENSMODP00000004169	ENSACAP00000002289
ENSMODP00000028503	ENSACAP00000000982
ENSMODP00000025233	ENSACAP00000006631
ENSMODP00000031563	ENSACAP00000004423
ENSMODP00000028859	ENSACAP00000011435
ENSMODP00000019532	ENSACAP00000014149
ENSMODP00000018295	ENSACAP00000013251
ENSMODP00000018283	ENSACAP00000018385
ENSMODP00000035883	ENSACAP00000003635
ENSMODP00000011235	ENSACAP00000015536
ENSMODP00000019655	ENSACAP00000007357
ENSMODP00000001450	ENSACAP00000017648
ENSMODP00000023063	ENSACAP00000004922
ENSMODP00000037216	ENSACAP00000010908
ENSMODP00000020163	ENSACAP00000016710
ENSMODP00000022916	ENSACAP00000022499
ENSMODP00000013652	ENSACAP00000006787
ENSMODP00000037031	ENSACAP00000017120
ENSMODP00000004914	ENSACAP00000000624
ENSMODP00000008363	ENSACAP00000007712
ENSMODP00000023740	ENSACAP00000002813
ENSMODP00000029161	ENSACAP00000003779
ENSMODP00000005601	ENSACAP00000006029
ENSMODP00000019802	ENSACAP00000006838
ENSMODP00000004893	ENSACAP00000003121
ENSMODP00000035754	ENSACAP00000004681
ENSMODP00000024714	ENSACAP00000008548
ENSMODP00000020099	ENSACAP00000019498
ENSMODP00000040556	ENSACAP00000008475
ENSMODP00000022442	ENSACAP00000017189
ENSMODP00000001816	ENSACAP00000004772
ENSMODP00000001836	ENSACAP00000017734
ENSMODP00000004958	ENSACAP00000008306
ENSMODP00000018134	ENSACAP00000016647
ENSMODP00000017089	ENSACAP00000022446
ENSMODP00000006025	ENSACAP00000005587
ENSMODP00000003796	ENSACAP00000003316
ENSMODP00000020994	ENSACAP00000006756
ENSMODP00000011509	ENSACAP00000005040
ENSMODP00000004108	ENSACAP00000011813
ENSMODP00000016598	ENSACAP00000007413
ENSMODP00000015178	ENSACAP00000007085
ENSMODP00000011747	ENSACAP00000011502
ENSMODP00000011985	ENSACAP00000007942
ENSMODP00000021456	ENSACAP00000010004
ENSMODP00000022547	ENSACAP00000010045
ENSMODP00000025985	ENSACAP00000020018
ENSMODP00000037000	ENSACAP00000011328
ENSMODP00000010540	ENSACAP00000000445
ENSMODP00000015462	ENSACAP00000015725
ENSMODP00000028490	ENSACAP00000015191
ENSMODP00000035353	ENSACAP00000011167
ENSMODP00000009224	ENSACAP00000011157
ENSMODP00000014112	ENSACAP00000008017
ENSMODP00000010677	ENSACAP00000008008
ENSMODP00000007192	ENSACAP00000000803
ENSMODP00000011498	ENSACAP00000008345
ENSMODP00000033084	ENSACAP00000003367
ENSMODP00000000673	ENSACAP00000000928
ENSMODP00000012043	ENSACAP00000004184
ENSMODP00000025712	ENSACAP00000007474
ENSMODP00000036164	ENSACAP00000001458
ENSMODP00000008837	ENSACAP00000014103
ENSMODP00000035049	ENSACAP00000014765
ENSMODP00000013890	ENSACAP00000004657
ENSMODP00000023997	ENSACAP00000008815
ENSMODP00000019174	ENSACAP00000016406
ENSMODP00000006105	ENSACAP00000010376
ENSMODP00000011310	ENSACAP00000001164
ENSMODP00000005837	ENSACAP00000009122
ENSMODP00000005759	ENSACAP00000005810
ENSMODP00000038432	ENSACAP00000011557
ENSMODP00000020495	ENSACAP00000015652
ENSMODP00000016953	ENSACAP00000013834
ENSMODP00000038094	ENSACAP00000020730
ENSMODP00000007186	ENSACAP00000002635
ENSMODP00000025808	ENSACAP00000006227
ENSMODP00000014214	ENSACAP00000005008
ENSMODP00000011506	ENSACAP00000008138
ENSMODP00000019642	ENSACAP00000004083
ENSMODP00000034038	ENSACAP00000011214
ENSMODP00000024630	ENSACAP00000011080
ENSMODP00000007314	ENSACAP00000015437
ENSMODP00000025533	ENSACAP00000007790
ENSMODP00000037316	ENSACAP00000011160
ENSMODP00000009993	ENSACAP00000005916
ENSMODP00000035575	ENSACAP00000016208
ENSMODP00000037551	ENSACAP00000012562
ENSMODP00000004628	ENSACAP00000015914
ENSMODP00000038315	ENSACAP00000002378
ENSMODP00000025647	ENSACAP00000010954
ENSMODP00000004183	ENSACAP00000006737
ENSMODP00000037028	ENSACAP00000006791
ENSMODP00000025394	ENSACAP00000010102
ENSMODP00000034209	ENSACAP00000014348
ENSMODP00000000451	ENSACAP00000017517
ENSMODP00000002643	ENSACAP00000021427
ENSMODP00000026551	ENSACAP00000009392
ENSMODP00000025104	ENSACAP00000007409
ENSMODP00000010843	ENSACAP00000005518
ENSMODP00000003741	ENSACAP00000008283
ENSMODP00000016415	ENSACAP00000012104
ENSMODP00000007578	ENSACAP00000002914
ENSMODP00000034504	ENSACAP00000004731
ENSMODP00000017159	ENSACAP00000005602
ENSMODP00000022651	ENSACAP00000009797
ENSMODP00000002321	ENSACAP00000020911
ENSMODP00000015526	ENSACAP00000015474
ENSMODP00000004828	ENSACAP00000003716
ENSMODP00000023572	ENSACAP00000012914
ENSMODP00000010212	ENSACAP00000016554
ENSMODP00000011028	ENSACAP00000005262
ENSMODP00000020372	ENSACAP00000015593
ENSMODP00000010574	ENSACAP00000017421
ENSMODP00000009583	ENSACAP00000010082
ENSMODP00000026216	ENSACAP00000005303
ENSMODP00000020345	ENSACAP00000008303
ENSMODP00000005460	ENSACAP00000004789
ENSMODP00000018923	ENSACAP00000010652
ENSMODP00000033680	ENSACAP00000015583
ENSMODP00000038197	ENSACAP00000011008
ENSMODP00000002177	ENSACAP00000005226
ENSMODP00000011613	ENSACAP00000008088
ENSMODP00000016140	ENSACAP00000003237
ENSMODP00000009690	ENSACAP00000017194
ENSMODP00000018953	ENSACAP00000002437
ENSMODP00000009558	ENSACAP00000001065
ENSMODP00000002133	ENSACAP00000007432
ENSMODP00000006650	ENSACAP00000007938
ENSMODP00000007345	ENSACAP00000015545
ENSMODP00000001843	ENSACAP00000007692
ENSMODP00000000384	ENSACAP00000002841
ENSMODP00000005851	ENSACAP00000012202
ENSMODP00000025829	ENSACAP00000005799
ENSMODP00000014169	ENSACAP00000005716
ENSMODP00000013383	ENSACAP00000009466
ENSMODP00000006152	ENSACAP00000006764
ENSMODP00000020206	ENSACAP00000011676
ENSMODP00000021326	ENSACAP00000000292
ENSMODP00000020260	ENSACAP00000016592
ENSMODP00000022127	ENSACAP00000004700
ENSMODP00000024585	ENSACAP00000016253
ENSMODP00000032312	ENSACAP00000010516
ENSMODP00000025101	ENSACAP00000012677
ENSMODP00000002965	ENSACAP00000002693
ENSMODP00000002646	ENSACAP00000005027
ENSMODP00000037712	ENSACAP00000020603
ENSMODP00000022880	ENSACAP00000015074
ENSMODP00000021633	ENSACAP00000000234
ENSMODP00000012958	ENSACAP00000016353
ENSMODP00000006141	ENSACAP00000014973
ENSMODP00000004975	ENSACAP00000012451
ENSMODP00000012151	ENSACAP00000005221
ENSMODP00000018598	ENSACAP00000017129
ENSMODP00000017580	ENSACAP00000009754
ENSMODP00000038229	ENSACAP00000019924
ENSMODP00000013223	ENSACAP00000021507
ENSMODP00000011589	ENSACAP00000018980
ENSMODP00000000422	ENSACAP00000011453
ENSMODP00000022092	ENSACAP00000001435
ENSMODP00000018288	ENSACAP00000010853
ENSMODP00000020371	ENSACAP00000020401
ENSMODP00000019866	ENSACAP00000006453
ENSMODP00000024020	ENSACAP00000012667
ENSMODP00000005441	ENSACAP00000020519
ENSMODP00000027864	ENSACAP00000012381
ENSMODP00000035953	ENSACAP00000004402
ENSMODP00000004283	ENSACAP00000016922
ENSMODP00000009105	ENSACAP00000006419
ENSMODP00000001146	ENSACAP00000008402
ENSMODP00000036832	ENSACAP00000007282
ENSMODP00000003094	ENSACAP00000010275
ENSMODP00000014640	ENSACAP00000005918
ENSMODP00000016074	ENSACAP00000013459
ENSMODP00000016641	ENSACAP00000008890
ENSMODP00000019725	ENSACAP00000010473
ENSMODP00000017432	ENSACAP00000005023
ENSMODP00000016921	ENSACAP00000016397
ENSMODP00000011273	ENSACAP00000002138
ENSMODP00000025604	ENSACAP00000008651
ENSMODP00000009936	ENSACAP00000006753
ENSMODP00000004115	ENSACAP00000001891
ENSMODP00000034984	ENSACAP00000003485
ENSMODP00000032087	ENSACAP00000002637
ENSMODP00000013955	ENSACAP00000004576
ENSMODP00000020508	ENSACAP00000012645
ENSMODP00000014185	ENSACAP00000006956
ENSMODP00000002789	ENSACAP00000016035
ENSMODP00000022250	ENSACAP00000012239
ENSMODP00000003583	ENSACAP00000022406
ENSMODP00000011192	ENSACAP00000015850
ENSMODP00000016585	ENSACAP00000000098
ENSMODP00000023723	ENSACAP00000005328
ENSMODP00000001117	ENSACAP00000007568
ENSMODP00000022920	ENSACAP00000009697
ENSMODP00000025602	ENSACAP00000006761
ENSMODP00000033234	ENSACAP00000000069
ENSMODP00000015131	ENSACAP00000011496
ENSMODP00000017053	ENSACAP00000013638
ENSMODP00000012030	ENSACAP00000002360
ENSMODP00000014545	ENSACAP00000011764
ENSMODP00000005518	ENSACAP00000001354
ENSMODP00000015214	ENSACAP00000009596
ENSMODP00000012900	ENSACAP00000003677
ENSMODP00000009001	ENSACAP00000014160
ENSMODP00000003619	ENSACAP00000010477
ENSMODP00000017304	ENSACAP00000022938
ENSMODP00000038324	ENSACAP00000004163
ENSMODP00000003336	ENSACAP00000003541
