ENSTGUP00000008915	ENSCAFP00000014731
ENSTGUP00000007870	ENSCAFP00000012263
ENSTGUP00000015337	ENSCAFP00000006886
ENSTGUP00000009228	ENSCAFP00000013729
ENSTGUP00000014507	ENSCAFP00000021570
ENSTGUP00000003709	ENSCAFP00000013230
ENSTGUP00000014278	ENSCAFP00000025076
ENSTGUP00000009575	ENSCAFP00000038471
ENSTGUP00000005669	ENSCAFP00000002925
ENSTGUP00000005672	ENSCAFP00000002924
ENSTGUP00000007357	ENSCAFP00000011342
ENSTGUP00000005160	ENSCAFP00000027100
ENSTGUP00000005026	ENSCAFP00000010211
ENSTGUP00000006525	ENSCAFP00000024154
ENSTGUP00000017458	ENSCAFP00000027229
ENSTGUP00000001355	ENSCAFP00000038401
ENSTGUP00000016201	ENSCAFP00000013877
ENSTGUP00000004958	ENSCAFP00000005116
ENSTGUP00000017828	ENSCAFP00000020107
ENSTGUP00000013013	ENSCAFP00000003966
ENSTGUP00000014041	ENSCAFP00000013583
ENSTGUP00000001481	ENSCAFP00000019645
ENSTGUP00000004758	ENSCAFP00000025091
ENSTGUP00000001284	ENSCAFP00000004554
ENSTGUP00000008758	ENSCAFP00000042713
ENSTGUP00000005051	ENSCAFP00000009964
ENSTGUP00000008220	ENSCAFP00000018157
ENSTGUP00000005553	ENSCAFP00000004942
ENSTGUP00000010366	ENSCAFP00000020374
ENSTGUP00000001424	ENSCAFP00000015121
ENSTGUP00000018065	ENSCAFP00000027678
ENSTGUP00000011327	ENSCAFP00000021753
ENSTGUP00000004064	ENSCAFP00000028620
ENSTGUP00000012708	ENSCAFP00000038936
ENSTGUP00000013371	ENSCAFP00000004845
ENSTGUP00000006126	ENSCAFP00000029873
ENSTGUP00000011714	ENSCAFP00000000550
ENSTGUP00000012054	ENSCAFP00000009897
ENSTGUP00000000875	ENSCAFP00000031869
ENSTGUP00000001057	ENSCAFP00000032071
ENSTGUP00000000004	ENSCAFP00000001786
ENSTGUP00000011132	ENSCAFP00000038509
ENSTGUP00000016601	ENSCAFP00000014184
ENSTGUP00000005347	ENSCAFP00000037679
ENSTGUP00000012638	ENSCAFP00000005292
ENSTGUP00000002235	ENSCAFP00000013398
ENSTGUP00000010871	ENSCAFP00000035883
ENSTGUP00000008191	ENSCAFP00000020404
ENSTGUP00000001177	ENSCAFP00000006427
ENSTGUP00000007219	ENSCAFP00000015605
ENSTGUP00000008212	ENSCAFP00000005101
ENSTGUP00000002306	ENSCAFP00000024052
ENSTGUP00000012158	ENSCAFP00000009488
ENSTGUP00000009157	ENSCAFP00000023599
ENSTGUP00000012145	ENSCAFP00000007651
ENSTGUP00000002564	ENSCAFP00000024108
ENSTGUP00000010617	ENSCAFP00000015277
ENSTGUP00000015957	ENSCAFP00000014581
ENSTGUP00000012594	ENSCAFP00000035619
ENSTGUP00000000419	ENSCAFP00000024019
ENSTGUP00000009545	ENSCAFP00000031589
ENSTGUP00000008754	ENSCAFP00000017479
ENSTGUP00000005134	ENSCAFP00000036252
ENSTGUP00000011142	ENSCAFP00000008996
ENSTGUP00000008315	ENSCAFP00000002884
ENSTGUP00000011770	ENSCAFP00000024409
ENSTGUP00000003893	ENSCAFP00000001057
ENSTGUP00000011981	ENSCAFP00000005803
ENSTGUP00000014107	ENSCAFP00000026118
ENSTGUP00000001972	ENSCAFP00000027873
ENSTGUP00000004174	ENSCAFP00000029704
ENSTGUP00000010482	ENSCAFP00000027380
ENSTGUP00000001775	ENSCAFP00000040628
ENSTGUP00000008537	ENSCAFP00000018734
ENSTGUP00000010492	ENSCAFP00000003369
ENSTGUP00000008173	ENSCAFP00000008964
ENSTGUP00000009905	ENSCAFP00000027972
ENSTGUP00000009932	ENSCAFP00000027955
ENSTGUP00000002273	ENSCAFP00000027458
ENSTGUP00000011073	ENSCAFP00000013818
ENSTGUP00000004253	ENSCAFP00000021258
ENSTGUP00000008979	ENSCAFP00000011826
ENSTGUP00000011516	ENSCAFP00000010606
ENSTGUP00000007729	ENSCAFP00000014278
ENSTGUP00000004537	ENSCAFP00000026031
ENSTGUP00000010327	ENSCAFP00000017880
ENSTGUP00000015676	ENSCAFP00000001198
ENSTGUP00000005720	ENSCAFP00000011396
ENSTGUP00000013634	ENSCAFP00000002982
ENSTGUP00000011596	ENSCAFP00000010757
ENSTGUP00000011472	ENSCAFP00000010535
ENSTGUP00000000259	ENSCAFP00000008003
ENSTGUP00000002243	ENSCAFP00000013721
ENSTGUP00000012150	ENSCAFP00000013170
ENSTGUP00000005584	ENSCAFP00000014998
ENSTGUP00000000273	ENSCAFP00000020477
ENSTGUP00000000348	ENSCAFP00000004081
ENSTGUP00000014702	ENSCAFP00000026148
ENSTGUP00000010766	ENSCAFP00000030253
ENSTGUP00000008158	ENSCAFP00000005014
ENSTGUP00000002315	ENSCAFP00000024021
ENSTGUP00000011706	ENSCAFP00000035949
ENSTGUP00000004524	ENSCAFP00000038277
ENSTGUP00000013743	ENSCAFP00000014770
ENSTGUP00000010115	ENSCAFP00000027739
ENSTGUP00000002464	ENSCAFP00000005389
ENSTGUP00000011921	ENSCAFP00000022385
ENSTGUP00000004045	ENSCAFP00000035961
ENSTGUP00000000496	ENSCAFP00000024410
ENSTGUP00000003646	ENSCAFP00000004364
ENSTGUP00000003236	ENSCAFP00000014759
ENSTGUP00000003922	ENSCAFP00000025527
ENSTGUP00000005396	ENSCAFP00000013933
ENSTGUP00000012194	ENSCAFP00000001409
ENSTGUP00000010522	ENSCAFP00000019708
ENSTGUP00000003660	ENSCAFP00000013071
ENSTGUP00000001065	ENSCAFP00000021775
ENSTGUP00000007834	ENSCAFP00000014784
ENSTGUP00000005998	ENSCAFP00000012942
ENSTGUP00000008103	ENSCAFP00000034803
ENSTGUP00000000081	ENSCAFP00000027335
ENSTGUP00000012497	ENSCAFP00000005627
ENSTGUP00000012368	ENSCAFP00000008944
ENSTGUP00000007495	ENSCAFP00000024882
ENSTGUP00000001329	ENSCAFP00000006746
ENSTGUP00000011194	ENSCAFP00000002508
ENSTGUP00000005970	ENSCAFP00000037475
ENSTGUP00000006607	ENSCAFP00000021028
ENSTGUP00000007643	ENSCAFP00000042451
ENSTGUP00000011495	ENSCAFP00000021134
ENSTGUP00000006741	ENSCAFP00000042686
ENSTGUP00000002579	ENSCAFP00000014131
ENSTGUP00000007324	ENSCAFP00000025104
ENSTGUP00000009243	ENSCAFP00000017529
ENSTGUP00000008195	ENSCAFP00000029349
ENSTGUP00000008899	ENSCAFP00000042579
ENSTGUP00000003402	ENSCAFP00000020955
ENSTGUP00000006993	ENSCAFP00000019966
ENSTGUP00000001979	ENSCAFP00000020220
ENSTGUP00000000210	ENSCAFP00000020040
ENSTGUP00000017749	ENSCAFP00000002028
ENSTGUP00000006703	ENSCAFP00000023411
ENSTGUP00000002413	ENSCAFP00000004772
ENSTGUP00000017924	ENSCAFP00000011043
ENSTGUP00000006076	ENSCAFP00000013536
ENSTGUP00000011559	ENSCAFP00000010967
ENSTGUP00000003197	ENSCAFP00000018144
ENSTGUP00000005123	ENSCAFP00000002550
ENSTGUP00000004095	ENSCAFP00000018686
ENSTGUP00000003775	ENSCAFP00000008070
ENSTGUP00000003758	ENSCAFP00000026719
ENSTGUP00000004184	ENSCAFP00000033564
ENSTGUP00000004199	ENSCAFP00000033192
ENSTGUP00000003641	ENSCAFP00000013266
ENSTGUP00000009111	ENSCAFP00000015703
ENSTGUP00000008695	ENSCAFP00000011460
ENSTGUP00000013829	ENSCAFP00000022476
ENSTGUP00000010235	ENSCAFP00000016511
ENSTGUP00000003491	ENSCAFP00000041279
ENSTGUP00000008367	ENSCAFP00000030051
ENSTGUP00000006292	ENSCAFP00000008426
ENSTGUP00000005243	ENSCAFP00000014145
ENSTGUP00000011463	ENSCAFP00000000859
ENSTGUP00000001022	ENSCAFP00000018208
ENSTGUP00000004138	ENSCAFP00000026472
ENSTGUP00000001800	ENSCAFP00000026469
ENSTGUP00000008143	ENSCAFP00000023862
ENSTGUP00000013134	ENSCAFP00000040579
ENSTGUP00000001280	ENSCAFP00000036692
ENSTGUP00000009392	ENSCAFP00000017789
ENSTGUP00000003813	ENSCAFP00000013295
ENSTGUP00000009322	ENSCAFP00000005569
ENSTGUP00000000638	ENSCAFP00000001916
ENSTGUP00000001078	ENSCAFP00000005913
ENSTGUP00000003805	ENSCAFP00000020169
ENSTGUP00000001706	ENSCAFP00000004319
ENSTGUP00000001137	ENSCAFP00000000488
ENSTGUP00000017246	ENSCAFP00000031973
ENSTGUP00000006709	ENSCAFP00000000867
ENSTGUP00000010923	ENSCAFP00000041094
ENSTGUP00000001933	ENSCAFP00000024952
ENSTGUP00000006836	ENSCAFP00000022633
ENSTGUP00000005580	ENSCAFP00000008454
ENSTGUP00000016909	ENSCAFP00000024968
ENSTGUP00000001189	ENSCAFP00000000360
ENSTGUP00000002295	ENSCAFP00000013819
ENSTGUP00000013733	ENSCAFP00000022317
ENSTGUP00000013795	ENSCAFP00000039921
ENSTGUP00000000592	ENSCAFP00000015042
ENSTGUP00000008403	ENSCAFP00000007463
ENSTGUP00000015811	ENSCAFP00000013151
ENSTGUP00000011455	ENSCAFP00000017820
ENSTGUP00000000350	ENSCAFP00000024586
ENSTGUP00000010374	ENSCAFP00000014427
ENSTGUP00000004992	ENSCAFP00000010182
ENSTGUP00000012752	ENSCAFP00000018594
ENSTGUP00000011386	ENSCAFP00000041042
ENSTGUP00000000411	ENSCAFP00000017680
ENSTGUP00000007694	ENSCAFP00000014886
ENSTGUP00000007820	ENSCAFP00000014939
ENSTGUP00000009536	ENSCAFP00000041584
ENSTGUP00000010849	ENSCAFP00000017275
ENSTGUP00000009494	ENSCAFP00000026384
ENSTGUP00000008190	ENSCAFP00000037413
ENSTGUP00000001824	ENSCAFP00000009638
ENSTGUP00000008731	ENSCAFP00000007269
ENSTGUP00000010802	ENSCAFP00000026870
ENSTGUP00000015194	ENSCAFP00000019461
ENSTGUP00000000560	ENSCAFP00000001826
ENSTGUP00000007994	ENSCAFP00000007005
ENSTGUP00000000712	ENSCAFP00000014637
ENSTGUP00000000702	ENSCAFP00000014469
ENSTGUP00000010703	ENSCAFP00000030275
ENSTGUP00000007952	ENSCAFP00000014869
ENSTGUP00000010731	ENSCAFP00000014452
ENSTGUP00000004821	ENSCAFP00000019835
ENSTGUP00000000696	ENSCAFP00000038493
ENSTGUP00000005644	ENSCAFP00000039324
ENSTGUP00000002072	ENSCAFP00000039860
ENSTGUP00000008622	ENSCAFP00000036390
ENSTGUP00000007416	ENSCAFP00000019855
ENSTGUP00000001637	ENSCAFP00000003118
ENSTGUP00000017492	ENSCAFP00000027224
ENSTGUP00000013684	ENSCAFP00000034848
ENSTGUP00000013822	ENSCAFP00000015466
ENSTGUP00000004796	ENSCAFP00000005192
ENSTGUP00000006097	ENSCAFP00000019298
ENSTGUP00000006752	ENSCAFP00000011661
ENSTGUP00000013659	ENSCAFP00000003144
ENSTGUP00000008641	ENSCAFP00000017664
ENSTGUP00000013657	ENSCAFP00000003141
ENSTGUP00000005289	ENSCAFP00000012337
ENSTGUP00000009658	ENSCAFP00000020603
ENSTGUP00000001820	ENSCAFP00000006920
ENSTGUP00000002495	ENSCAFP00000023397
ENSTGUP00000017533	ENSCAFP00000003692
ENSTGUP00000001056	ENSCAFP00000013912
ENSTGUP00000017782	ENSCAFP00000000189
ENSTGUP00000006820	ENSCAFP00000023336
ENSTGUP00000000215	ENSCAFP00000028793
ENSTGUP00000006661	ENSCAFP00000012593
ENSTGUP00000012645	ENSCAFP00000006678
ENSTGUP00000006055	ENSCAFP00000019114
ENSTGUP00000011776	ENSCAFP00000012257
ENSTGUP00000011771	ENSCAFP00000033932
ENSTGUP00000003891	ENSCAFP00000035463
ENSTGUP00000013758	ENSCAFP00000014481
ENSTGUP00000010418	ENSCAFP00000020481
ENSTGUP00000000519	ENSCAFP00000024482
ENSTGUP00000010238	ENSCAFP00000009645
ENSTGUP00000000002	ENSCAFP00000001811
ENSTGUP00000005046	ENSCAFP00000011048
ENSTGUP00000006891	ENSCAFP00000014694
ENSTGUP00000005433	ENSCAFP00000021584
ENSTGUP00000004276	ENSCAFP00000035067
ENSTGUP00000016586	ENSCAFP00000002091
ENSTGUP00000006809	ENSCAFP00000000527
ENSTGUP00000013686	ENSCAFP00000021430
ENSTGUP00000011384	ENSCAFP00000017503
ENSTGUP00000000491	ENSCAFP00000017201
ENSTGUP00000003997	ENSCAFP00000037565
ENSTGUP00000004067	ENSCAFP00000026535
ENSTGUP00000016945	ENSCAFP00000041877
ENSTGUP00000004000	ENSCAFP00000026565
ENSTGUP00000000277	ENSCAFP00000038444
ENSTGUP00000007209	ENSCAFP00000012085
ENSTGUP00000013391	ENSCAFP00000004976
ENSTGUP00000006497	ENSCAFP00000014992
ENSTGUP00000014977	ENSCAFP00000003932
ENSTGUP00000013662	ENSCAFP00000021277
ENSTGUP00000017665	ENSCAFP00000020370
ENSTGUP00000013625	ENSCAFP00000002995
ENSTGUP00000013565	ENSCAFP00000038986
ENSTGUP00000008232	ENSCAFP00000037092
ENSTGUP00000005563	ENSCAFP00000030225
ENSTGUP00000009824	ENSCAFP00000015120
ENSTGUP00000009649	ENSCAFP00000014902
ENSTGUP00000005378	ENSCAFP00000027665
ENSTGUP00000002506	ENSCAFP00000005521
ENSTGUP00000017809	ENSCAFP00000019697
ENSTGUP00000006422	ENSCAFP00000042142
ENSTGUP00000003932	ENSCAFP00000001041
ENSTGUP00000009978	ENSCAFP00000009830
ENSTGUP00000015343	ENSCAFP00000006943
ENSTGUP00000004486	ENSCAFP00000020319
ENSTGUP00000010406	ENSCAFP00000027206
ENSTGUP00000005017	ENSCAFP00000013499
ENSTGUP00000008834	ENSCAFP00000007147
ENSTGUP00000006485	ENSCAFP00000028698
ENSTGUP00000014021	ENSCAFP00000014147
ENSTGUP00000002695	ENSCAFP00000010386
ENSTGUP00000007964	ENSCAFP00000007056
ENSTGUP00000006722	ENSCAFP00000000016
ENSTGUP00000007732	ENSCAFP00000014336
ENSTGUP00000004961	ENSCAFP00000002599
ENSTGUP00000007240	ENSCAFP00000026912
