ENSMGAP00000004951	ENSCAFP00000014731
ENSMGAP00000006493	ENSCAFP00000005014
ENSMGAP00000002459	ENSCAFP00000024021
ENSMGAP00000012144	ENSCAFP00000035949
ENSMGAP00000007000	ENSCAFP00000038277
ENSMGAP00000012292	ENSCAFP00000027739
ENSMGAP00000003179	ENSCAFP00000005389
ENSMGAP00000016019	ENSCAFP00000022385
ENSMGAP00000011284	ENSCAFP00000012208
ENSMGAP00000004359	ENSCAFP00000024410
ENSMGAP00000005564	ENSCAFP00000014759
ENSMGAP00000003686	ENSCAFP00000013933
ENSMGAP00000014073	ENSCAFP00000001409
ENSMGAP00000010967	ENSCAFP00000019708
ENSMGAP00000003799	ENSCAFP00000013071
ENSMGAP00000004977	ENSCAFP00000021775
ENSMGAP00000017055	ENSCAFP00000036417
ENSMGAP00000006067	ENSCAFP00000014784
ENSMGAP00000001692	ENSCAFP00000012942
ENSMGAP00000000222	ENSCAFP00000027335
ENSMGAP00000019133	ENSCAFP00000023001
ENSMGAP00000014252	ENSCAFP00000005627
ENSMGAP00000016530	ENSCAFP00000008944
ENSMGAP00000001734	ENSCAFP00000024882
ENSMGAP00000007819	ENSCAFP00000006746
ENSMGAP00000013445	ENSCAFP00000002508
ENSMGAP00000019781	ENSCAFP00000037475
ENSMGAP00000017228	ENSCAFP00000041417
ENSMGAP00000016406	ENSCAFP00000021028
ENSMGAP00000000443	ENSCAFP00000022735
ENSMGAP00000007199	ENSCAFP00000042451
ENSMGAP00000010914	ENSCAFP00000021134
ENSMGAP00000005390	ENSCAFP00000042686
ENSMGAP00000008577	ENSCAFP00000014131
ENSMGAP00000009032	ENSCAFP00000025104
ENSMGAP00000008400	ENSCAFP00000017529
ENSMGAP00000002200	ENSCAFP00000028361
ENSMGAP00000008339	ENSCAFP00000029349
ENSMGAP00000009787	ENSCAFP00000042579
ENSMGAP00000012996	ENSCAFP00000001854
ENSMGAP00000003532	ENSCAFP00000020955
ENSMGAP00000002285	ENSCAFP00000019966
ENSMGAP00000003792	ENSCAFP00000020445
ENSMGAP00000001471	ENSCAFP00000020220
ENSMGAP00000002363	ENSCAFP00000020040
ENSMGAP00000002136	ENSCAFP00000002028
ENSMGAP00000005995	ENSCAFP00000023411
ENSMGAP00000004414	ENSCAFP00000004772
ENSMGAP00000001423	ENSCAFP00000027393
ENSMGAP00000000315	ENSCAFP00000013536
ENSMGAP00000013737	ENSCAFP00000010967
ENSMGAP00000010085	ENSCAFP00000018144
ENSMGAP00000003393	ENSCAFP00000002550
ENSMGAP00000012814	ENSCAFP00000018686
ENSMGAP00000011679	ENSCAFP00000008070
ENSMGAP00000007789	ENSCAFP00000015204
ENSMGAP00000003057	ENSCAFP00000026719
ENSMGAP00000002904	ENSCAFP00000033564
ENSMGAP00000006908	ENSCAFP00000033192
ENSMGAP00000007394	ENSCAFP00000013266
ENSMGAP00000009656	ENSCAFP00000015703
ENSMGAP00000007799	ENSCAFP00000027307
ENSMGAP00000015733	ENSCAFP00000009569
ENSMGAP00000006170	ENSCAFP00000011460
ENSMGAP00000015182	ENSCAFP00000022476
ENSMGAP00000008545	ENSCAFP00000016511
ENSMGAP00000011073	ENSCAFP00000041279
ENSMGAP00000005179	ENSCAFP00000010131
ENSMGAP00000008887	ENSCAFP00000030051
ENSMGAP00000009648	ENSCAFP00000017095
ENSMGAP00000003647	ENSCAFP00000008426
ENSMGAP00000003351	ENSCAFP00000014145
ENSMGAP00000013495	ENSCAFP00000000859
ENSMGAP00000002440	ENSCAFP00000026472
ENSMGAP00000003196	ENSCAFP00000026469
ENSMGAP00000003198	ENSCAFP00000029071
ENSMGAP00000014064	ENSCAFP00000040579
ENSMGAP00000008325	ENSCAFP00000036692
ENSMGAP00000014066	ENSCAFP00000026420
ENSMGAP00000008904	ENSCAFP00000017789
ENSMGAP00000019426	ENSCAFP00000013295
ENSMGAP00000011684	ENSCAFP00000005569
ENSMGAP00000006557	ENSCAFP00000001916
ENSMGAP00000006542	ENSCAFP00000005913
ENSMGAP00000010260	ENSCAFP00000004319
ENSMGAP00000014993	ENSCAFP00000024294
ENSMGAP00000008086	ENSCAFP00000000867
ENSMGAP00000009827	ENSCAFP00000041094
ENSMGAP00000001561	ENSCAFP00000024952
ENSMGAP00000006085	ENSCAFP00000022633
ENSMGAP00000002954	ENSCAFP00000008454
ENSMGAP00000000108	ENSCAFP00000024968
ENSMGAP00000007779	ENSCAFP00000000360
ENSMGAP00000007773	ENSCAFP00000017572
ENSMGAP00000003907	ENSCAFP00000013819
ENSMGAP00000014907	ENSCAFP00000022317
ENSMGAP00000015144	ENSCAFP00000039921
ENSMGAP00000000401	ENSCAFP00000015042
ENSMGAP00000004288	ENSCAFP00000007463
ENSMGAP00000017667	ENSCAFP00000000121
ENSMGAP00000014049	ENSCAFP00000013151
ENSMGAP00000011841	ENSCAFP00000017820
ENSMGAP00000003649	ENSCAFP00000024586
ENSMGAP00000010597	ENSCAFP00000014427
ENSMGAP00000002082	ENSCAFP00000010182
ENSMGAP00000019772	ENSCAFP00000018594
ENSMGAP00000015789	ENSCAFP00000041042
ENSMGAP00000012602	ENSCAFP00000017213
ENSMGAP00000015233	ENSCAFP00000015207
ENSMGAP00000001937	ENSCAFP00000017680
ENSMGAP00000007252	ENSCAFP00000014886
ENSMGAP00000000396	ENSCAFP00000008566
ENSMGAP00000007728	ENSCAFP00000007929
ENSMGAP00000007106	ENSCAFP00000014939
ENSMGAP00000015737	ENSCAFP00000041584
ENSMGAP00000009840	ENSCAFP00000017275
ENSMGAP00000010777	ENSCAFP00000026384
ENSMGAP00000012525	ENSCAFP00000037413
ENSMGAP00000004913	ENSCAFP00000009638
ENSMGAP00000004813	ENSCAFP00000007269
ENSMGAP00000010503	ENSCAFP00000026870
ENSMGAP00000001131	ENSCAFP00000019461
ENSMGAP00000006608	ENSCAFP00000001826
ENSMGAP00000010628	ENSCAFP00000007005
ENSMGAP00000000869	ENSCAFP00000014637
ENSMGAP00000000926	ENSCAFP00000014469
ENSMGAP00000018261	ENSCAFP00000030275
ENSMGAP00000006235	ENSCAFP00000014869
ENSMGAP00000005646	ENSCAFP00000006985
ENSMGAP00000003569	ENSCAFP00000019835
ENSMGAP00000018863	ENSCAFP00000038493
ENSMGAP00000005345	ENSCAFP00000039324
ENSMGAP00000010973	ENSCAFP00000039860
ENSMGAP00000011946	ENSCAFP00000036390
ENSMGAP00000015516	ENSCAFP00000019855
ENSMGAP00000009966	ENSCAFP00000003118
ENSMGAP00000004713	ENSCAFP00000027224
ENSMGAP00000014952	ENSCAFP00000034848
ENSMGAP00000015175	ENSCAFP00000015466
ENSMGAP00000008949	ENSCAFP00000005192
ENSMGAP00000003065	ENSCAFP00000019298
ENSMGAP00000006505	ENSCAFP00000011661
ENSMGAP00000015068	ENSCAFP00000003144
ENSMGAP00000009483	ENSCAFP00000017664
ENSMGAP00000015069	ENSCAFP00000003141
ENSMGAP00000015767	ENSCAFP00000037362
ENSMGAP00000015772	ENSCAFP00000035063
ENSMGAP00000000586	ENSCAFP00000012337
ENSMGAP00000013822	ENSCAFP00000024551
ENSMGAP00000007654	ENSCAFP00000020603
ENSMGAP00000012365	ENSCAFP00000006920
ENSMGAP00000004747	ENSCAFP00000023397
ENSMGAP00000006906	ENSCAFP00000003692
ENSMGAP00000014934	ENSCAFP00000021617
ENSMGAP00000006513	ENSCAFP00000010288
ENSMGAP00000006120	ENSCAFP00000023336
ENSMGAP00000005148	ENSCAFP00000012593
ENSMGAP00000018346	ENSCAFP00000006678
ENSMGAP00000008609	ENSCAFP00000029327
ENSMGAP00000002996	ENSCAFP00000019114
ENSMGAP00000011472	ENSCAFP00000012257
ENSMGAP00000011465	ENSCAFP00000033932
ENSMGAP00000011756	ENSCAFP00000035463
ENSMGAP00000015074	ENSCAFP00000014481
ENSMGAP00000000291	ENSCAFP00000011267
ENSMGAP00000008049	ENSCAFP00000020481
