ENSLOCP00000009128	ENSGALP00000006197
ENSLOCP00000009990	ENSGALP00000035809
ENSLOCP00000003317	ENSGALP00000006776
ENSLOCP00000011989	ENSGALP00000035831
ENSLOCP00000015226	ENSGALP00000004717
ENSLOCP00000017354	ENSGALP00000008354
ENSLOCP00000012353	ENSGALP00000000103
ENSLOCP00000020601	ENSGALP00000020923
ENSLOCP00000015688	ENSGALP00000023528
ENSLOCP00000010023	ENSGALP00000017712
ENSLOCP00000004830	ENSGALP00000004991
ENSLOCP00000020756	ENSGALP00000015926
ENSLOCP00000013047	ENSGALP00000016880
ENSLOCP00000012968	ENSGALP00000015871
ENSLOCP00000016356	ENSGALP00000009004
ENSLOCP00000012360	ENSGALP00000009685
ENSLOCP00000011681	ENSGALP00000010541
ENSLOCP00000014277	ENSGALP00000017856
ENSLOCP00000008437	ENSGALP00000032649
ENSLOCP00000020956	ENSGALP00000025114
ENSLOCP00000015752	ENSGALP00000014101
ENSLOCP00000013775	ENSGALP00000042998
ENSLOCP00000017705	ENSGALP00000011134
ENSLOCP00000011055	ENSGALP00000041611
ENSLOCP00000010892	ENSGALP00000036527
ENSLOCP00000006526	ENSGALP00000042712
ENSLOCP00000001142	ENSGALP00000042464
ENSLOCP00000020785	ENSGALP00000030960
ENSLOCP00000007583	ENSGALP00000002638
ENSLOCP00000006346	ENSGALP00000009200
ENSLOCP00000017659	ENSGALP00000040642
ENSLOCP00000020036	ENSGALP00000016547
ENSLOCP00000008734	ENSGALP00000021543
ENSLOCP00000014576	ENSGALP00000003847
ENSLOCP00000005356	ENSGALP00000008131
ENSLOCP00000004761	ENSGALP00000035892
ENSLOCP00000006533	ENSGALP00000010428
ENSLOCP00000019487	ENSGALP00000026821
ENSLOCP00000001361	ENSGALP00000025899
ENSLOCP00000013471	ENSGALP00000026322
ENSLOCP00000001954	ENSGALP00000013796
ENSLOCP00000001962	ENSGALP00000043032
ENSLOCP00000002578	ENSGALP00000005571
ENSLOCP00000017726	ENSGALP00000011333
ENSLOCP00000005920	ENSGALP00000006299
ENSLOCP00000019609	ENSGALP00000038075
ENSLOCP00000019306	ENSGALP00000000412
ENSLOCP00000006448	ENSGALP00000039341
ENSLOCP00000011240	ENSGALP00000008661
ENSLOCP00000006499	ENSGALP00000018503
ENSLOCP00000005310	ENSGALP00000024768
ENSLOCP00000002972	ENSGALP00000041815
ENSLOCP00000017649	ENSGALP00000007547
ENSLOCP00000004694	ENSGALP00000009611
ENSLOCP00000008680	ENSGALP00000017701
ENSLOCP00000018185	ENSGALP00000018224
ENSLOCP00000020346	ENSGALP00000016105
ENSLOCP00000019133	ENSGALP00000013191
ENSLOCP00000012778	ENSGALP00000017290
ENSLOCP00000005737	ENSGALP00000027271
ENSLOCP00000006828	ENSGALP00000010863
ENSLOCP00000018546	ENSGALP00000009806
ENSLOCP00000005812	ENSGALP00000027267
ENSLOCP00000006853	ENSGALP00000003684
ENSLOCP00000008505	ENSGALP00000032215
ENSLOCP00000019163	ENSGALP00000013142
ENSLOCP00000010916	ENSGALP00000017678
ENSLOCP00000003607	ENSGALP00000001334
ENSLOCP00000015072	ENSGALP00000010979
ENSLOCP00000011033	ENSGALP00000038745
ENSLOCP00000003380	ENSGALP00000019325
ENSLOCP00000002426	ENSGALP00000005090
ENSLOCP00000012613	ENSGALP00000002366
ENSLOCP00000019084	ENSGALP00000038404
ENSLOCP00000007049	ENSGALP00000013052
ENSLOCP00000021122	ENSGALP00000020571
ENSLOCP00000010539	ENSGALP00000008574
ENSLOCP00000004953	ENSGALP00000035907
ENSLOCP00000012614	ENSGALP00000038563
ENSLOCP00000003234	ENSGALP00000007976
ENSLOCP00000009421	ENSGALP00000010958
ENSLOCP00000010161	ENSGALP00000013724
ENSLOCP00000005393	ENSGALP00000008112
ENSLOCP00000012552	ENSGALP00000013714
ENSLOCP00000012928	ENSGALP00000014734
ENSLOCP00000014564	ENSGALP00000000973
ENSLOCP00000019362	ENSGALP00000018656
ENSLOCP00000011332	ENSGALP00000041492
ENSLOCP00000009470	ENSGALP00000026677
ENSLOCP00000012355	ENSGALP00000026679
ENSLOCP00000019262	ENSGALP00000013670
ENSLOCP00000011077	ENSGALP00000006782
ENSLOCP00000017982	ENSGALP00000012265
ENSLOCP00000011435	ENSGALP00000009402
ENSLOCP00000003826	ENSGALP00000009612
ENSLOCP00000011874	ENSGALP00000010281
ENSLOCP00000020061	ENSGALP00000022282
ENSLOCP00000021247	ENSGALP00000036082
ENSLOCP00000018907	ENSGALP00000014065
ENSLOCP00000014009	ENSGALP00000017619
ENSLOCP00000011105	ENSGALP00000033098
ENSLOCP00000012449	ENSGALP00000010325
ENSLOCP00000014471	ENSGALP00000000810
ENSLOCP00000019926	ENSGALP00000025626
ENSLOCP00000014491	ENSGALP00000019975
ENSLOCP00000016691	ENSGALP00000005576
ENSLOCP00000010143	ENSGALP00000000239
ENSLOCP00000003063	ENSGALP00000007948
ENSLOCP00000003082	ENSGALP00000021686
ENSLOCP00000010983	ENSGALP00000038787
ENSLOCP00000018480	ENSGALP00000000530
ENSLOCP00000001148	ENSGALP00000018774
ENSLOCP00000007419	ENSGALP00000018209
ENSLOCP00000007580	ENSGALP00000014878
ENSLOCP00000003101	ENSGALP00000019882
ENSLOCP00000015600	ENSGALP00000041356
ENSLOCP00000014762	ENSGALP00000013781
ENSLOCP00000014741	ENSGALP00000013726
ENSLOCP00000016111	ENSGALP00000020311
ENSLOCP00000016120	ENSGALP00000020307
ENSLOCP00000011258	ENSGALP00000018675
ENSLOCP00000008502	ENSGALP00000008889
ENSLOCP00000010754	ENSGALP00000027075
ENSLOCP00000005040	ENSGALP00000008481
ENSLOCP00000004226	ENSGALP00000014663
ENSLOCP00000005055	ENSGALP00000008104
ENSLOCP00000004207	ENSGALP00000014672
ENSLOCP00000020195	ENSGALP00000016015
ENSLOCP00000020758	ENSGALP00000041013
ENSLOCP00000005716	ENSGALP00000016884
ENSLOCP00000003844	ENSGALP00000025920
ENSLOCP00000016149	ENSGALP00000009133
ENSLOCP00000013403	ENSGALP00000023682
ENSLOCP00000003765	ENSGALP00000003295
ENSLOCP00000008575	ENSGALP00000018278
ENSLOCP00000015553	ENSGALP00000005914
ENSLOCP00000015536	ENSGALP00000005933
ENSLOCP00000002907	ENSGALP00000043195
ENSLOCP00000021066	ENSGALP00000037396
ENSLOCP00000015909	ENSGALP00000009678
ENSLOCP00000019661	ENSGALP00000014673
ENSLOCP00000012721	ENSGALP00000019114
ENSLOCP00000014558	ENSGALP00000013447
ENSLOCP00000014569	ENSGALP00000013448
ENSLOCP00000021145	ENSGALP00000024083
ENSLOCP00000021146	ENSGALP00000024082
ENSLOCP00000003977	ENSGALP00000019723
ENSLOCP00000017733	ENSGALP00000011296
ENSLOCP00000001796	ENSGALP00000023592
ENSLOCP00000006578	ENSGALP00000014112
ENSLOCP00000010716	ENSGALP00000041748
ENSLOCP00000005658	ENSGALP00000010121
ENSLOCP00000000809	ENSGALP00000018337
ENSLOCP00000016973	ENSGALP00000017274
ENSLOCP00000012649	ENSGALP00000010722
ENSLOCP00000015071	ENSGALP00000041770
ENSLOCP00000001084	ENSGALP00000040940
ENSLOCP00000018253	ENSGALP00000005190
ENSLOCP00000007361	ENSGALP00000033380
ENSLOCP00000013226	ENSGALP00000015469
ENSLOCP00000013456	ENSGALP00000011904
ENSLOCP00000008342	ENSGALP00000000058
ENSLOCP00000002711	ENSGALP00000014581
ENSLOCP00000014306	ENSGALP00000018258
ENSLOCP00000015075	ENSGALP00000042267
ENSLOCP00000019744	ENSGALP00000014259
ENSLOCP00000020291	ENSGALP00000026355
ENSLOCP00000021287	ENSGALP00000026363
ENSLOCP00000002663	ENSGALP00000005166
ENSLOCP00000021031	ENSGALP00000026192
ENSLOCP00000020394	ENSGALP00000018821
ENSLOCP00000001781	ENSGALP00000010760
ENSLOCP00000014227	ENSGALP00000018856
ENSLOCP00000001299	ENSGALP00000016984
ENSLOCP00000004757	ENSGALP00000041658
ENSLOCP00000014258	ENSGALP00000037169
ENSLOCP00000013970	ENSGALP00000042394
ENSLOCP00000018471	ENSGALP00000018378
ENSLOCP00000006667	ENSGALP00000032209
ENSLOCP00000017850	ENSGALP00000011089
ENSLOCP00000011010	ENSGALP00000042413
ENSLOCP00000005447	ENSGALP00000007956
ENSLOCP00000020933	ENSGALP00000020873
ENSLOCP00000007685	ENSGALP00000041496
ENSLOCP00000017282	ENSGALP00000013164
ENSLOCP00000012148	ENSGALP00000020507
ENSLOCP00000001146	ENSGALP00000038688
ENSLOCP00000008429	ENSGALP00000012087
ENSLOCP00000019522	ENSGALP00000014237
ENSLOCP00000019528	ENSGALP00000030077
ENSLOCP00000017521	ENSGALP00000003336
ENSLOCP00000017582	ENSGALP00000040977
ENSLOCP00000016494	ENSGALP00000013575
ENSLOCP00000001689	ENSGALP00000015542
ENSLOCP00000019939	ENSGALP00000025631
ENSLOCP00000015630	ENSGALP00000026153
ENSLOCP00000001021	ENSGALP00000038530
ENSLOCP00000007379	ENSGALP00000010290
ENSLOCP00000012349	ENSGALP00000028023
ENSLOCP00000012336	ENSGALP00000036578
ENSLOCP00000020213	ENSGALP00000043451
ENSLOCP00000012326	ENSGALP00000036574
ENSLOCP00000006247	ENSGALP00000025071
ENSLOCP00000012176	ENSGALP00000018782
ENSLOCP00000008344	ENSGALP00000025254
ENSLOCP00000014722	ENSGALP00000043236
ENSLOCP00000004731	ENSGALP00000040460
ENSLOCP00000019725	ENSGALP00000038910
ENSLOCP00000014625	ENSGALP00000020137
ENSLOCP00000011702	ENSGALP00000024720
ENSLOCP00000004154	ENSGALP00000041141
ENSLOCP00000004137	ENSGALP00000033738
ENSLOCP00000011163	ENSGALP00000041417
ENSLOCP00000020251	ENSGALP00000016518
ENSLOCP00000020287	ENSGALP00000026350
ENSLOCP00000007217	ENSGALP00000024556
ENSLOCP00000000876	ENSGALP00000040830
ENSLOCP00000003376	ENSGALP00000043176
ENSLOCP00000011255	ENSGALP00000026399
ENSLOCP00000021189	ENSGALP00000023990
ENSLOCP00000002235	ENSGALP00000040961
ENSLOCP00000003249	ENSGALP00000001914
ENSLOCP00000019473	ENSGALP00000030892
ENSLOCP00000013472	ENSGALP00000025760
ENSLOCP00000018778	ENSGALP00000007523
ENSLOCP00000019433	ENSGALP00000013837
ENSLOCP00000003471	ENSGALP00000025221
ENSLOCP00000001969	ENSGALP00000003035
ENSLOCP00000022429	ENSGALP00000043302
ENSLOCP00000021935	ENSGALP00000037618
ENSLOCP00000022309	ENSGALP00000009621
ENSLOCP00000019632	ENSGALP00000017259
ENSLOCP00000019045	ENSGALP00000042449
ENSLOCP00000019295	ENSGALP00000011148
ENSLOCP00000014495	ENSGALP00000013380
ENSLOCP00000002207	ENSGALP00000040755
ENSLOCP00000011741	ENSGALP00000024701
ENSLOCP00000000046	ENSGALP00000010493
ENSLOCP00000016875	ENSGALP00000039384
ENSLOCP00000014518	ENSGALP00000041259
ENSLOCP00000010114	ENSGALP00000027876
ENSLOCP00000011158	ENSGALP00000002287
ENSLOCP00000006055	ENSGALP00000001583
ENSLOCP00000013253	ENSGALP00000013830
ENSLOCP00000021070	ENSGALP00000016475
ENSLOCP00000001317	ENSGALP00000039646
ENSLOCP00000001059	ENSGALP00000002721
ENSLOCP00000018776	ENSGALP00000020611
ENSLOCP00000007029	ENSGALP00000007049
ENSLOCP00000016847	ENSGALP00000041378
ENSLOCP00000013710	ENSGALP00000001317
ENSLOCP00000015642	ENSGALP00000042939
ENSLOCP00000005107	ENSGALP00000008256
ENSLOCP00000010365	ENSGALP00000005438
ENSLOCP00000011542	ENSGALP00000008707
ENSLOCP00000012590	ENSGALP00000013692
ENSLOCP00000004821	ENSGALP00000026019
ENSLOCP00000001873	ENSGALP00000008107
ENSLOCP00000000044	ENSGALP00000010477
ENSLOCP00000020944	ENSGALP00000025385
ENSLOCP00000021298	ENSGALP00000026323
ENSLOCP00000002575	ENSGALP00000002718
ENSLOCP00000013512	ENSGALP00000011876
ENSLOCP00000003206	ENSGALP00000003502
ENSLOCP00000014668	ENSGALP00000024312
ENSLOCP00000015875	ENSGALP00000009724
ENSLOCP00000006242	ENSGALP00000007174
ENSLOCP00000009760	ENSGALP00000011976
ENSLOCP00000005861	ENSGALP00000024855
ENSLOCP00000001848	ENSGALP00000042850
ENSLOCP00000008215	ENSGALP00000033652
ENSLOCP00000008179	ENSGALP00000011971
ENSLOCP00000020161	ENSGALP00000017858
ENSLOCP00000020208	ENSGALP00000018235
ENSLOCP00000003504	ENSGALP00000027206
ENSLOCP00000018276	ENSGALP00000008699
ENSLOCP00000011557	ENSGALP00000036123
ENSLOCP00000002245	ENSGALP00000006738
ENSLOCP00000005952	ENSGALP00000024953
ENSLOCP00000017532	ENSGALP00000041666
ENSLOCP00000021347	ENSGALP00000023925
ENSLOCP00000006072	ENSGALP00000024913
ENSLOCP00000005221	ENSGALP00000042630
ENSLOCP00000015051	ENSGALP00000022679
ENSLOCP00000015458	ENSGALP00000003973
ENSLOCP00000006402	ENSGALP00000039901
ENSLOCP00000002216	ENSGALP00000022198
ENSLOCP00000019565	ENSGALP00000026568
ENSLOCP00000014030	ENSGALP00000004444
ENSLOCP00000004614	ENSGALP00000021570
ENSLOCP00000004050	ENSGALP00000018510
ENSLOCP00000011185	ENSGALP00000006916
ENSLOCP00000004811	ENSGALP00000036151
ENSLOCP00000006604	ENSGALP00000040814
ENSLOCP00000013803	ENSGALP00000040622
ENSLOCP00000003170	ENSGALP00000008931
ENSLOCP00000003174	ENSGALP00000002373
ENSLOCP00000021302	ENSGALP00000026331
ENSLOCP00000002027	ENSGALP00000003970
ENSLOCP00000013996	ENSGALP00000019842
ENSLOCP00000000159	ENSGALP00000043429
ENSLOCP00000005911	ENSGALP00000040906
ENSLOCP00000009318	ENSGALP00000015519
ENSLOCP00000013492	ENSGALP00000015517
ENSLOCP00000000003	ENSGALP00000000410
ENSLOCP00000005353	ENSGALP00000042261
ENSLOCP00000008839	ENSGALP00000003190
ENSLOCP00000013953	ENSGALP00000000626
ENSLOCP00000010520	ENSGALP00000032471
ENSLOCP00000010551	ENSGALP00000018165
ENSLOCP00000011038	ENSGALP00000006610
ENSLOCP00000010581	ENSGALP00000027477
ENSLOCP00000006693	ENSGALP00000034251
ENSLOCP00000018383	ENSGALP00000002224
ENSLOCP00000005299	ENSGALP00000003207
ENSLOCP00000000480	ENSGALP00000041121
ENSLOCP00000022225	ENSGALP00000042973
ENSLOCP00000015485	ENSGALP00000011799
ENSLOCP00000001520	ENSGALP00000006645
ENSLOCP00000021137	ENSGALP00000021021
ENSLOCP00000019545	ENSGALP00000014400
ENSLOCP00000002445	ENSGALP00000007061
ENSLOCP00000006609	ENSGALP00000034297
ENSLOCP00000007633	ENSGALP00000009628
ENSLOCP00000002749	ENSGALP00000020540
ENSLOCP00000017868	ENSGALP00000011010
ENSLOCP00000007449	ENSGALP00000039900
ENSLOCP00000020390	ENSGALP00000019136
ENSLOCP00000019935	ENSGALP00000026608
ENSLOCP00000018190	ENSGALP00000005861
ENSLOCP00000000818	ENSGALP00000038626
ENSLOCP00000002181	ENSGALP00000010237
ENSLOCP00000018932	ENSGALP00000041792
ENSLOCP00000015379	ENSGALP00000015662
ENSLOCP00000020033	ENSGALP00000018239
ENSLOCP00000001598	ENSGALP00000005183
ENSLOCP00000007296	ENSGALP00000023854
ENSLOCP00000014096	ENSGALP00000037648
ENSLOCP00000007844	ENSGALP00000042279
ENSLOCP00000014117	ENSGALP00000043296
ENSLOCP00000002613	ENSGALP00000002940
ENSLOCP00000008628	ENSGALP00000017594
ENSLOCP00000009922	ENSGALP00000042395
ENSLOCP00000004498	ENSGALP00000019701
ENSLOCP00000014035	ENSGALP00000004449
ENSLOCP00000002496	ENSGALP00000003605
ENSLOCP00000016722	ENSGALP00000004366
ENSLOCP00000011965	ENSGALP00000000423
ENSLOCP00000020080	ENSGALP00000043387
ENSLOCP00000005783	ENSGALP00000006426
ENSLOCP00000019185	ENSGALP00000014860
ENSLOCP00000012674	ENSGALP00000041570
ENSLOCP00000020893	ENSGALP00000025581
ENSLOCP00000011473	ENSGALP00000024602
ENSLOCP00000005296	ENSGALP00000041590
ENSLOCP00000003287	ENSGALP00000019663
ENSLOCP00000010604	ENSGALP00000008547
ENSLOCP00000003378	ENSGALP00000025200
ENSLOCP00000010054	ENSGALP00000008787
ENSLOCP00000007257	ENSGALP00000010774
ENSLOCP00000021652	ENSGALP00000041595
ENSLOCP00000022460	ENSGALP00000033543
ENSLOCP00000019618	ENSGALP00000038111
ENSLOCP00000004204	ENSGALP00000027991
ENSLOCP00000008543	ENSGALP00000033249
ENSLOCP00000013145	ENSGALP00000000223
ENSLOCP00000021590	ENSGALP00000006462
ENSLOCP00000002170	ENSGALP00000032309
ENSLOCP00000008685	ENSGALP00000015273
ENSLOCP00000008726	ENSGALP00000003483
ENSLOCP00000004373	ENSGALP00000043309
ENSLOCP00000008789	ENSGALP00000015251
ENSLOCP00000010061	ENSGALP00000023027
ENSLOCP00000011092	ENSGALP00000043336
ENSLOCP00000021278	ENSGALP00000042407
ENSLOCP00000017639	ENSGALP00000013449
ENSLOCP00000012831	ENSGALP00000009483
ENSLOCP00000003355	ENSGALP00000037994
ENSLOCP00000021018	ENSGALP00000041928
ENSLOCP00000000167	ENSGALP00000027543
ENSLOCP00000015252	ENSGALP00000002864
ENSLOCP00000000654	ENSGALP00000024461
ENSLOCP00000011013	ENSGALP00000037103
ENSLOCP00000011651	ENSGALP00000027996
ENSLOCP00000013287	ENSGALP00000025409
ENSLOCP00000008358	ENSGALP00000004574
ENSLOCP00000020447	ENSGALP00000024889
ENSLOCP00000014891	ENSGALP00000018252
ENSLOCP00000002608	ENSGALP00000025261
ENSLOCP00000006896	ENSGALP00000024026
ENSLOCP00000006698	ENSGALP00000038592
ENSLOCP00000001338	ENSGALP00000001365
ENSLOCP00000015784	ENSGALP00000010316
ENSLOCP00000018164	ENSGALP00000038766
ENSLOCP00000009322	ENSGALP00000012240
ENSLOCP00000012690	ENSGALP00000014104
ENSLOCP00000010217	ENSGALP00000032500
ENSLOCP00000015129	ENSGALP00000043046
ENSLOCP00000010059	ENSGALP00000027517
ENSLOCP00000016032	ENSGALP00000023080
ENSLOCP00000011120	ENSGALP00000020127
ENSLOCP00000004451	ENSGALP00000043303
ENSLOCP00000003772	ENSGALP00000006759
ENSLOCP00000014513	ENSGALP00000013398
ENSLOCP00000005710	ENSGALP00000009076
ENSLOCP00000004014	ENSGALP00000013225
ENSLOCP00000007253	ENSGALP00000020504
ENSLOCP00000019030	ENSGALP00000018059
ENSLOCP00000014694	ENSGALP00000041481
ENSLOCP00000004225	ENSGALP00000022304
ENSLOCP00000003011	ENSGALP00000012613
ENSLOCP00000007157	ENSGALP00000001743
ENSLOCP00000010525	ENSGALP00000027184
ENSLOCP00000017345	ENSGALP00000022799
ENSLOCP00000015305	ENSGALP00000015323
ENSLOCP00000016622	ENSGALP00000038332
ENSLOCP00000019775	ENSGALP00000030103
ENSLOCP00000007894	ENSGALP00000014475
ENSLOCP00000020501	ENSGALP00000020966
ENSLOCP00000003311	ENSGALP00000001800
ENSLOCP00000008481	ENSGALP00000018083
ENSLOCP00000005652	ENSGALP00000009349
ENSLOCP00000009356	ENSGALP00000015531
ENSLOCP00000001805	ENSGALP00000027001
ENSLOCP00000014068	ENSGALP00000009513
ENSLOCP00000020186	ENSGALP00000042648
ENSLOCP00000010723	ENSGALP00000017612
ENSLOCP00000010751	ENSGALP00000017617
ENSLOCP00000009672	ENSGALP00000023901
ENSLOCP00000021427	ENSGALP00000013735
ENSLOCP00000006662	ENSGALP00000039792
ENSLOCP00000010135	ENSGALP00000012145
ENSLOCP00000006228	ENSGALP00000024866
ENSLOCP00000000800	ENSGALP00000033981
ENSLOCP00000008781	ENSGALP00000005919
ENSLOCP00000003646	ENSGALP00000024366
ENSLOCP00000010444	ENSGALP00000013389
ENSLOCP00000018454	ENSGALP00000003108
ENSLOCP00000006716	ENSGALP00000005918
ENSLOCP00000019560	ENSGALP00000026916
ENSLOCP00000005913	ENSGALP00000024965
ENSLOCP00000016038	ENSGALP00000036419
ENSLOCP00000012784	ENSGALP00000040927
ENSLOCP00000007220	ENSGALP00000033747
ENSLOCP00000005472	ENSGALP00000025962
ENSLOCP00000005232	ENSGALP00000012668
ENSLOCP00000014168	ENSGALP00000024856
ENSLOCP00000010130	ENSGALP00000042108
ENSLOCP00000004123	ENSGALP00000018540
ENSLOCP00000005379	ENSGALP00000039156
ENSLOCP00000005993	ENSGALP00000021333
ENSLOCP00000016715	ENSGALP00000021927
ENSLOCP00000002485	ENSGALP00000008742
ENSLOCP00000013462	ENSGALP00000029846
ENSLOCP00000018255	ENSGALP00000031700
ENSLOCP00000007915	ENSGALP00000017812
ENSLOCP00000010992	ENSGALP00000016052
ENSLOCP00000017392	ENSGALP00000031452
ENSLOCP00000018843	ENSGALP00000015855
ENSLOCP00000011195	ENSGALP00000006706
ENSLOCP00000011223	ENSGALP00000006708
ENSLOCP00000015154	ENSGALP00000041197
ENSLOCP00000018674	ENSGALP00000042434
ENSLOCP00000015904	ENSGALP00000016919
ENSLOCP00000009105	ENSGALP00000014921
ENSLOCP00000002324	ENSGALP00000016865
ENSLOCP00000004176	ENSGALP00000038490
ENSLOCP00000004282	ENSGALP00000034548
ENSLOCP00000002233	ENSGALP00000006699
ENSLOCP00000021344	ENSGALP00000023943
ENSLOCP00000017437	ENSGALP00000022517
ENSLOCP00000007332	ENSGALP00000023842
ENSLOCP00000005108	ENSGALP00000042744
ENSLOCP00000016692	ENSGALP00000021227
ENSLOCP00000009637	ENSGALP00000031642
ENSLOCP00000011477	ENSGALP00000009416
ENSLOCP00000010337	ENSGALP00000042029
ENSLOCP00000005346	ENSGALP00000000835
ENSLOCP00000019684	ENSGALP00000013472
ENSLOCP00000020448	ENSGALP00000021851
ENSLOCP00000020509	ENSGALP00000024641
ENSLOCP00000003567	ENSGALP00000041822
ENSLOCP00000010718	ENSGALP00000027470
ENSLOCP00000018366	ENSGALP00000009065
ENSLOCP00000013425	ENSGALP00000014081
ENSLOCP00000014830	ENSGALP00000020470
ENSLOCP00000007760	ENSGALP00000034313
ENSLOCP00000004463	ENSGALP00000012522
ENSLOCP00000009722	ENSGALP00000037969
ENSLOCP00000002448	ENSGALP00000029689
ENSLOCP00000002374	ENSGALP00000002266
ENSLOCP00000001500	ENSGALP00000008101
ENSLOCP00000004242	ENSGALP00000015507
ENSLOCP00000011089	ENSGALP00000010092
ENSLOCP00000016565	ENSGALP00000018364
ENSLOCP00000013304	ENSGALP00000042785
ENSLOCP00000018142	ENSGALP00000008859
ENSLOCP00000017846	ENSGALP00000011107
ENSLOCP00000014700	ENSGALP00000020098
ENSLOCP00000007534	ENSGALP00000002102
ENSLOCP00000003529	ENSGALP00000009912
ENSLOCP00000016401	ENSGALP00000012993
ENSLOCP00000007057	ENSGALP00000033231
ENSLOCP00000010689	ENSGALP00000027070
ENSLOCP00000014210	ENSGALP00000036774
ENSLOCP00000018245	ENSGALP00000005132
ENSLOCP00000004841	ENSGALP00000010583
ENSLOCP00000005570	ENSGALP00000004578
ENSLOCP00000016283	ENSGALP00000000815
ENSLOCP00000002447	ENSGALP00000020510
ENSLOCP00000016582	ENSGALP00000007047
ENSLOCP00000019749	ENSGALP00000014260
ENSLOCP00000018478	ENSGALP00000020754
ENSLOCP00000020976	ENSGALP00000024086
ENSLOCP00000020203	ENSGALP00000015963
ENSLOCP00000012519	ENSGALP00000019298
ENSLOCP00000014207	ENSGALP00000018352
ENSLOCP00000020679	ENSGALP00000013883
ENSLOCP00000012005	ENSGALP00000017157
ENSLOCP00000003330	ENSGALP00000019672
ENSLOCP00000002611	ENSGALP00000018684
ENSLOCP00000001895	ENSGALP00000010319
ENSLOCP00000018089	ENSGALP00000004476
ENSLOCP00000005462	ENSGALP00000039313
ENSLOCP00000002743	ENSGALP00000002903
ENSLOCP00000017875	ENSGALP00000013470
ENSLOCP00000007152	ENSGALP00000027832
ENSLOCP00000018765	ENSGALP00000038293
ENSLOCP00000012122	ENSGALP00000027108
ENSLOCP00000009744	ENSGALP00000004355
ENSLOCP00000010411	ENSGALP00000024537
ENSLOCP00000007095	ENSGALP00000007090
ENSLOCP00000004760	ENSGALP00000000945
ENSLOCP00000009579	ENSGALP00000020619
ENSLOCP00000002781	ENSGALP00000012917
ENSLOCP00000009822	ENSGALP00000005357
ENSLOCP00000004134	ENSGALP00000027233
ENSLOCP00000017556	ENSGALP00000009728
ENSLOCP00000007716	ENSGALP00000009265
ENSLOCP00000009183	ENSGALP00000006511
ENSLOCP00000008045	ENSGALP00000009365
ENSLOCP00000002797	ENSGALP00000041111
