ENSP00000262384	ENSGALP00000006197
ENSP00000355195	ENSGALP00000012265
ENSP00000363512	ENSGALP00000009402
ENSP00000305426	ENSGALP00000009612
ENSP00000380321	ENSGALP00000021856
ENSP00000229771	ENSGALP00000010281
ENSP00000314444	ENSGALP00000036082
ENSP00000216271	ENSGALP00000014065
ENSP00000080059	ENSGALP00000041045
ENSP00000346236	ENSGALP00000010325
ENSP00000464050	ENSGALP00000000810
ENSP00000380033	ENSGALP00000019975
ENSP00000225792	ENSGALP00000005576
ENSP00000263093	ENSGALP00000042896
ENSP00000262462	ENSGALP00000000239
ENSP00000300456	ENSGALP00000007948
ENSP00000252595	ENSGALP00000021686
ENSP00000359520	ENSGALP00000038787
ENSP00000351520	ENSGALP00000000530
ENSP00000347213	ENSGALP00000039421
ENSP00000301825	ENSGALP00000018774
ENSP00000222803	ENSGALP00000018209
ENSP00000413152	ENSGALP00000014878
ENSP00000242209	ENSGALP00000019882
ENSP00000317232	ENSGALP00000041356
ENSP00000345964	ENSGALP00000013781
ENSP00000358715	ENSGALP00000013726
ENSP00000370473	ENSGALP00000020311
ENSP00000275525	ENSGALP00000020307
ENSP00000233809	ENSGALP00000018675
ENSP00000269593	ENSGALP00000040685
ENSP00000169298	ENSGALP00000008889
ENSP00000386942	ENSGALP00000027075
ENSP00000362239	ENSGALP00000008481
ENSP00000417583	ENSGALP00000014663
ENSP00000355968	ENSGALP00000016015
ENSP00000363394	ENSGALP00000016884
ENSP00000415011	ENSGALP00000025920
ENSP00000261867	ENSGALP00000009133
ENSP00000362195	ENSGALP00000003295
ENSP00000262345	ENSGALP00000018278
ENSP00000263409	ENSGALP00000005914
ENSP00000395461	ENSGALP00000043195
ENSP00000261721	ENSGALP00000009678
ENSP00000384545	ENSGALP00000014673
ENSP00000376337	ENSGALP00000019114
ENSP00000385836	ENSGALP00000024076
ENSP00000260743	ENSGALP00000013447
ENSP00000329926	ENSGALP00000013448
ENSP00000357588	ENSGALP00000024082
ENSP00000424126	ENSGALP00000023592
ENSP00000340594	ENSGALP00000014112
ENSP00000341489	ENSGALP00000041748
ENSP00000368566	ENSGALP00000010722
ENSP00000348429	ENSGALP00000041770
ENSP00000258873	ENSGALP00000005190
ENSP00000233156	ENSGALP00000033380
ENSP00000222543	ENSGALP00000015469
ENSP00000311184	ENSGALP00000011904
ENSP00000324763	ENSGALP00000000058
ENSP00000265132	ENSGALP00000014581
ENSP00000376652	ENSGALP00000018258
ENSP00000355809	ENSGALP00000015125
ENSP00000348753	ENSGALP00000014259
ENSP00000281156	ENSGALP00000026192
ENSP00000348108	ENSGALP00000026072
ENSP00000355094	ENSGALP00000018821
ENSP00000328694	ENSGALP00000010760
ENSP00000379366	ENSGALP00000018856
ENSP00000349575	ENSGALP00000016984
ENSP00000271139	ENSGALP00000041658
ENSP00000427695	ENSGALP00000011895
ENSP00000331305	ENSGALP00000037169
ENSP00000290551	ENSGALP00000042394
ENSP00000348300	ENSGALP00000012308
ENSP00000423541	ENSGALP00000032209
ENSP00000358142	ENSGALP00000042413
ENSP00000299134	ENSGALP00000007956
ENSP00000221561	ENSGALP00000041485
ENSP00000452871	ENSGALP00000013164
ENSP00000365735	ENSGALP00000032172
ENSP00000256999	ENSGALP00000027805
ENSP00000432481	ENSGALP00000027801
ENSP00000353224	ENSGALP00000012087
ENSP00000345849	ENSGALP00000014237
ENSP00000401853	ENSGALP00000003336
ENSP00000266031	ENSGALP00000001136
ENSP00000337425	ENSGALP00000040977
ENSP00000350937	ENSGALP00000015293
ENSP00000157600	ENSGALP00000013575
ENSP00000295902	ENSGALP00000011851
ENSP00000401060	ENSGALP00000015542
ENSP00000404911	ENSGALP00000042747
ENSP00000373648	ENSGALP00000026153
ENSP00000337354	ENSGALP00000010290
ENSP00000216513	ENSGALP00000028023
ENSP00000247182	ENSGALP00000036578
ENSP00000304502	ENSGALP00000043451
ENSP00000264380	ENSGALP00000014354
ENSP00000337159	ENSGALP00000025071
ENSP00000216602	ENSGALP00000018782
ENSP00000390941	ENSGALP00000040460
ENSP00000346151	ENSGALP00000038910
ENSP00000304604	ENSGALP00000002804
ENSP00000324729	ENSGALP00000020137
ENSP00000325663	ENSGALP00000024720
ENSP00000275015	ENSGALP00000016518
ENSP00000311837	ENSGALP00000026350
ENSP00000429842	ENSGALP00000024556
ENSP00000217381	ENSGALP00000040830
ENSP00000338191	ENSGALP00000043176
ENSP00000378965	ENSGALP00000026399
ENSP00000357484	ENSGALP00000023990
ENSP00000419378	ENSGALP00000040961
ENSP00000358460	ENSGALP00000007523
ENSP00000414921	ENSGALP00000025221
ENSP00000410811	ENSGALP00000043302
ENSP00000333836	ENSGALP00000037618
ENSP00000218436	ENSGALP00000042449
ENSP00000233630	ENSGALP00000040755
ENSP00000354724	ENSGALP00000024701
ENSP00000337500	ENSGALP00000010493
ENSP00000461961	ENSGALP00000039384
ENSP00000056217	ENSGALP00000027876
ENSP00000264051	ENSGALP00000002287
ENSP00000367629	ENSGALP00000001583
ENSP00000348828	ENSGALP00000016838
ENSP00000366477	ENSGALP00000013830
ENSP00000402584	ENSGALP00000016475
ENSP00000319388	ENSGALP00000039646
ENSP00000371434	ENSGALP00000016529
ENSP00000332208	ENSGALP00000024015
ENSP00000401536	ENSGALP00000029600
ENSP00000293272	ENSGALP00000039846
ENSP00000248948	ENSGALP00000033374
ENSP00000369702	ENSGALP00000007049
ENSP00000368908	ENSGALP00000027473
ENSP00000287585	ENSGALP00000041378
ENSP00000441214	ENSGALP00000042939
ENSP00000342222	ENSGALP00000007183
ENSP00000301365	ENSGALP00000007413
ENSP00000406191	ENSGALP00000008256
ENSP00000313670	ENSGALP00000008707
ENSP00000264276	ENSGALP00000013692
ENSP00000291536	ENSGALP00000026019
ENSP00000347486	ENSGALP00000006744
ENSP00000356436	ENSGALP00000008107
ENSP00000306163	ENSGALP00000012178
ENSP00000360762	ENSGALP00000010477
ENSP00000430985	ENSGALP00000025385
ENSP00000250894	ENSGALP00000002718
ENSP00000262013	ENSGALP00000011876
ENSP00000369981	ENSGALP00000024312
ENSP00000418744	ENSGALP00000007174
ENSP00000278937	ENSGALP00000011976
ENSP00000352513	ENSGALP00000024855
ENSP00000432943	ENSGALP00000042850
ENSP00000278947	ENSGALP00000033652
ENSP00000322460	ENSGALP00000011971
ENSP00000278949	ENSGALP00000033649
ENSP00000266712	ENSGALP00000018235
ENSP00000442046	ENSGALP00000021103
ENSP00000343871	ENSGALP00000027206
ENSP00000362824	ENSGALP00000008699
ENSP00000283296	ENSGALP00000026929
ENSP00000273352	ENSGALP00000036123
ENSP00000361995	ENSGALP00000006738
ENSP00000268125	ENSGALP00000041666
ENSP00000275162	ENSGALP00000023925
ENSP00000428402	ENSGALP00000024913
ENSP00000302843	ENSGALP00000003973
ENSP00000347872	ENSGALP00000004444
ENSP00000303129	ENSGALP00000021570
ENSP00000399805	ENSGALP00000018510
ENSP00000323678	ENSGALP00000036151
ENSP00000005284	ENSGALP00000040814
ENSP00000300105	ENSGALP00000040622
ENSP00000440045	ENSGALP00000038523
ENSP00000400258	ENSGALP00000026331
ENSP00000362444	ENSGALP00000003970
ENSP00000247191	ENSGALP00000019842
ENSP00000359132	ENSGALP00000043429
ENSP00000363398	ENSGALP00000040906
ENSP00000388658	ENSGALP00000015519
ENSP00000400101	ENSGALP00000015517
ENSP00000322020	ENSGALP00000000410
ENSP00000367714	ENSGALP00000001713
ENSP00000307513	ENSGALP00000000626
ENSP00000283243	ENSGALP00000032471
ENSP00000356587	ENSGALP00000006610
ENSP00000368952	ENSGALP00000027477
ENSP00000319323	ENSGALP00000002224
ENSP00000348886	ENSGALP00000003207
ENSP00000327048	ENSGALP00000041121
ENSP00000328364	ENSGALP00000042973
ENSP00000345393	ENSGALP00000020036
ENSP00000350369	ENSGALP00000011799
ENSP00000344903	ENSGALP00000006645
ENSP00000297282	ENSGALP00000021021
ENSP00000194130	ENSGALP00000014400
ENSP00000279027	ENSGALP00000007061
ENSP00000392411	ENSGALP00000034297
ENSP00000406220	ENSGALP00000009628
ENSP00000365251	ENSGALP00000020540
ENSP00000435582	ENSGALP00000039900
ENSP00000388275	ENSGALP00000019136
ENSP00000353249	ENSGALP00000026608
ENSP00000350854	ENSGALP00000006816
ENSP00000379500	ENSGALP00000010237
ENSP00000355751	ENSGALP00000018239
ENSP00000222271	ENSGALP00000005183
ENSP00000339730	ENSGALP00000023854
ENSP00000360500	ENSGALP00000042279
ENSP00000371686	ENSGALP00000043296
ENSP00000190165	ENSGALP00000016504
ENSP00000227451	ENSGALP00000017594
ENSP00000257600	ENSGALP00000042395
ENSP00000316532	ENSGALP00000003605
ENSP00000410852	ENSGALP00000004272
ENSP00000356275	ENSGALP00000000423
ENSP00000431813	ENSGALP00000006426
ENSP00000160373	ENSGALP00000014860
ENSP00000271277	ENSGALP00000041570
ENSP00000237172	ENSGALP00000025581
ENSP00000346560	ENSGALP00000024602
ENSP00000303758	ENSGALP00000041590
ENSP00000261889	ENSGALP00000034083
ENSP00000363349	ENSGALP00000025200
ENSP00000238994	ENSGALP00000010774
ENSP00000308318	ENSGALP00000041595
ENSP00000360035	ENSGALP00000033543
ENSP00000284601	ENSGALP00000038111
ENSP00000336630	ENSGALP00000033249
ENSP00000356205	ENSGALP00000000223
ENSP00000276218	ENSGALP00000006462
ENSP00000391299	ENSGALP00000015273
ENSP00000342313	ENSGALP00000003483
ENSP00000440674	ENSGALP00000023027
ENSP00000332723	ENSGALP00000043336
ENSP00000411770	ENSGALP00000042407
ENSP00000359305	ENSGALP00000009483
ENSP00000356381	ENSGALP00000041928
ENSP00000369989	ENSGALP00000027543
ENSP00000233596	ENSGALP00000024461
ENSP00000368959	ENSGALP00000037103
ENSP00000254901	ENSGALP00000027996
ENSP00000438346	ENSGALP00000025409
ENSP00000362863	ENSGALP00000004574
ENSP00000358159	ENSGALP00000024889
ENSP00000295488	ENSGALP00000018252
ENSP00000435506	ENSGALP00000025261
ENSP00000264233	ENSGALP00000024026
ENSP00000253083	ENSGALP00000038592
ENSP00000267984	ENSGALP00000010316
ENSP00000365411	ENSGALP00000012240
ENSP00000263915	ENSGALP00000032500
ENSP00000381793	ENSGALP00000021356
ENSP00000403459	ENSGALP00000043046
ENSP00000369442	ENSGALP00000027517
ENSP00000257408	ENSGALP00000023080
ENSP00000264162	ENSGALP00000020127
ENSP00000240285	ENSGALP00000043303
ENSP00000365397	ENSGALP00000006759
ENSP00000358854	ENSGALP00000013398
ENSP00000262394	ENSGALP00000009076
ENSP00000319474	ENSGALP00000013225
ENSP00000387078	ENSGALP00000020504
ENSP00000276420	ENSGALP00000042157
ENSP00000349727	ENSGALP00000041481
ENSP00000372160	ENSGALP00000022304
ENSP00000262593	ENSGALP00000012613
ENSP00000344277	ENSGALP00000001743
ENSP00000245312	ENSGALP00000027184
ENSP00000273861	ENSGALP00000022799
ENSP00000216540	ENSGALP00000015323
ENSP00000313681	ENSGALP00000038332
ENSP00000216264	ENSGALP00000030103
ENSP00000347581	ENSGALP00000020966
ENSP00000361800	ENSGALP00000007477
ENSP00000360065	ENSGALP00000018083
ENSP00000242317	ENSGALP00000009349
ENSP00000380308	ENSGALP00000015531
ENSP00000264968	ENSGALP00000027001
ENSP00000338487	ENSGALP00000009513
ENSP00000474896	ENSGALP00000042648
ENSP00000354458	ENSGALP00000017612
ENSP00000360281	ENSGALP00000017617
ENSP00000322061	ENSGALP00000023901
ENSP00000309270	ENSGALP00000013735
ENSP00000362207	ENSGALP00000039792
ENSP00000307911	ENSGALP00000042131
ENSP00000354842	ENSGALP00000024866
ENSP00000344724	ENSGALP00000033981
ENSP00000219746	ENSGALP00000005919
ENSP00000311657	ENSGALP00000003108
ENSP00000346206	ENSGALP00000041758
ENSP00000440288	ENSGALP00000005918
ENSP00000275016	ENSGALP00000026916
ENSP00000310721	ENSGALP00000024965
ENSP00000301645	ENSGALP00000024844
ENSP00000259808	ENSGALP00000036419
ENSP00000220751	ENSGALP00000040927
ENSP00000332454	ENSGALP00000025962
ENSP00000306678	ENSGALP00000012668
ENSP00000363852	ENSGALP00000024856
ENSP00000336888	ENSGALP00000042108
ENSP00000359892	ENSGALP00000018540
ENSP00000413025	ENSGALP00000021333
ENSP00000344544	ENSGALP00000021927
ENSP00000357881	ENSGALP00000042828
ENSP00000343526	ENSGALP00000017812
ENSP00000303434	ENSGALP00000016052
ENSP00000346643	ENSGALP00000006706
ENSP00000292432	ENSGALP00000041197
ENSP00000223366	ENSGALP00000042434
ENSP00000295256	ENSGALP00000016919
ENSP00000340243	ENSGALP00000006699
ENSP00000342962	ENSGALP00000023943
ENSP00000319796	ENSGALP00000022517
ENSP00000420863	ENSGALP00000023842
ENSP00000262809	ENSGALP00000005320
ENSP00000274140	ENSGALP00000021227
ENSP00000427223	ENSGALP00000031642
ENSP00000379118	ENSGALP00000009416
ENSP00000309141	ENSGALP00000042029
ENSP00000471536	ENSGALP00000000835
ENSP00000385824	ENSGALP00000024641
ENSP00000361672	ENSGALP00000041822
ENSP00000363377	ENSGALP00000009065
ENSP00000366746	ENSGALP00000014081
ENSP00000413697	ENSGALP00000020470
ENSP00000330631	ENSGALP00000034313
ENSP00000043402	ENSGALP00000012522
ENSP00000335397	ENSGALP00000037969
ENSP00000340328	ENSGALP00000029689
ENSP00000263212	ENSGALP00000002266
ENSP00000312411	ENSGALP00000008101
ENSP00000417659	ENSGALP00000015507
ENSP00000254654	ENSGALP00000010092
ENSP00000477341	ENSGALP00000018364
ENSP00000343909	ENSGALP00000008859
ENSP00000378830	ENSGALP00000011107
ENSP00000338673	ENSGALP00000009912
ENSP00000376345	ENSGALP00000012993
ENSP00000339186	ENSGALP00000019667
ENSP00000378324	ENSGALP00000005132
ENSP00000414398	ENSGALP00000010583
ENSP00000307280	ENSGALP00000004578
ENSP00000347055	ENSGALP00000000815
ENSP00000379210	ENSGALP00000043277
ENSP00000229824	ENSGALP00000034605
ENSP00000365630	ENSGALP00000020510
ENSP00000379601	ENSGALP00000007047
ENSP00000316674	ENSGALP00000002190
ENSP00000406933	ENSGALP00000002380
ENSP00000376615	ENSGALP00000020754
ENSP00000261461	ENSGALP00000015963
ENSP00000417963	ENSGALP00000013883
ENSP00000412733	ENSGALP00000017157
ENSP00000296220	ENSGALP00000019672
ENSP00000379804	ENSGALP00000018684
ENSP00000263650	ENSGALP00000010319
ENSP00000378349	ENSGALP00000004476
ENSP00000353094	ENSGALP00000002903
ENSP00000320893	ENSGALP00000021645
ENSP00000328327	ENSGALP00000011511
ENSP00000218008	ENSGALP00000038293
ENSP00000334216	ENSGALP00000027108
ENSP00000356790	ENSGALP00000024537
ENSP00000473410	ENSGALP00000007090
ENSP00000381476	ENSGALP00000009799
ENSP00000407158	ENSGALP00000008508
ENSP00000396538	ENSGALP00000000945
ENSP00000379330	ENSGALP00000012917
ENSP00000377867	ENSGALP00000009728
ENSP00000325748	ENSGALP00000009265
ENSP00000361892	ENSGALP00000006511
ENSP00000344546	ENSGALP00000022208
ENSP00000343126	ENSGALP00000002095
ENSP00000368189	ENSGALP00000009365
ENSP00000263620	ENSGALP00000041111
ENSP00000263270	ENSGALP00000000595
ENSP00000352167	ENSGALP00000018274
ENSP00000413049	ENSGALP00000010236
ENSP00000354886	ENSGALP00000031875
ENSP00000326305	ENSGALP00000043043
ENSP00000397563	ENSGALP00000023865
ENSP00000257177	ENSGALP00000017275
ENSP00000365130	ENSGALP00000033266
ENSP00000263063	ENSGALP00000011874
ENSP00000325594	ENSGALP00000009617
ENSP00000410862	ENSGALP00000041518
ENSP00000344465	ENSGALP00000041263
ENSP00000274473	ENSGALP00000023648
ENSP00000266214	ENSGALP00000033003
ENSP00000340330	ENSGALP00000041010
ENSP00000259021	ENSGALP00000016147
ENSP00000287239	ENSGALP00000008060
ENSP00000380136	ENSGALP00000005756
ENSP00000316948	ENSGALP00000009752
ENSP00000394734	ENSGALP00000041260
ENSP00000337194	ENSGALP00000020874
ENSP00000379602	ENSGALP00000023265
ENSP00000264245	ENSGALP00000024275
ENSP00000310561	ENSGALP00000001806
ENSP00000410561	ENSGALP00000028780
ENSP00000266970	ENSGALP00000041027
ENSP00000272433	ENSGALP00000025887
ENSP00000347924	ENSGALP00000015211
ENSP00000316905	ENSGALP00000005157
ENSP00000224807	ENSGALP00000038512
ENSP00000266771	ENSGALP00000004240
ENSP00000340402	ENSGALP00000021351
ENSP00000365686	ENSGALP00000027228
ENSP00000417085	ENSGALP00000019052
ENSP00000418070	ENSGALP00000024751
ENSP00000264025	ENSGALP00000010887
ENSP00000359000	ENSGALP00000009030
ENSP00000274710	ENSGALP00000001319
ENSP00000020673	ENSGALP00000009095
ENSP00000417706	ENSGALP00000041662
ENSP00000292782	ENSGALP00000014300
ENSP00000319482	ENSGALP00000003552
ENSP00000334625	ENSGALP00000022752
ENSP00000298139	ENSGALP00000016701
ENSP00000317636	ENSGALP00000003806
ENSP00000269228	ENSGALP00000024194
ENSP00000265565	ENSGALP00000008116
ENSP00000332353	ENSGALP00000020572
ENSP00000361266	ENSGALP00000016460
ENSP00000396722	ENSGALP00000002185
ENSP00000330862	ENSGALP00000033890
ENSP00000350364	ENSGALP00000018497
ENSP00000264668	ENSGALP00000021275
ENSP00000337459	ENSGALP00000013280
ENSP00000419970	ENSGALP00000003187
ENSP00000283122	ENSGALP00000023563
ENSP00000319052	ENSGALP00000012127
ENSP00000355480	ENSGALP00000041233
ENSP00000387536	ENSGALP00000026284
ENSP00000282077	ENSGALP00000021580
ENSP00000005178	ENSGALP00000015774
ENSP00000333633	ENSGALP00000004425
ENSP00000349076	ENSGALP00000023430
ENSP00000417654	ENSGALP00000024472
ENSP00000320566	ENSGALP00000014665
ENSP00000322142	ENSGALP00000032950
ENSP00000380024	ENSGALP00000023298
ENSP00000364929	ENSGALP00000027168
ENSP00000307183	ENSGALP00000017323
ENSP00000377265	ENSGALP00000026865
ENSP00000362332	ENSGALP00000003759
ENSP00000201031	ENSGALP00000012451
ENSP00000008391	ENSGALP00000030899
ENSP00000267273	ENSGALP00000027192
ENSP00000406482	ENSGALP00000017421
ENSP00000290902	ENSGALP00000043075
ENSP00000316881	ENSGALP00000011808
ENSP00000323696	ENSGALP00000036750
ENSP00000347649	ENSGALP00000041385
ENSP00000236040	ENSGALP00000007707
ENSP00000379951	ENSGALP00000023347
ENSP00000340507	ENSGALP00000020886
ENSP00000351250	ENSGALP00000003066
ENSP00000384876	ENSGALP00000009567
ENSP00000419185	ENSGALP00000040858
ENSP00000371786	ENSGALP00000041186
ENSP00000261726	ENSGALP00000007307
ENSP00000396935	ENSGALP00000027394
ENSP00000417003	ENSGALP00000013802
ENSP00000268676	ENSGALP00000042085
ENSP00000304277	ENSGALP00000032293
ENSP00000305852	ENSGALP00000016960
ENSP00000433102	ENSGALP00000029287
ENSP00000373272	ENSGALP00000030515
ENSP00000256649	ENSGALP00000023879
ENSP00000338964	ENSGALP00000001587
ENSP00000381340	ENSGALP00000010490
ENSP00000323714	ENSGALP00000042248
ENSP00000393324	ENSGALP00000012607
ENSP00000239938	ENSGALP00000012417
ENSP00000445626	ENSGALP00000025873
ENSP00000331327	ENSGALP00000019761
ENSP00000374205	ENSGALP00000018106
ENSP00000409738	ENSGALP00000018627
ENSP00000437402	ENSGALP00000023398
ENSP00000387194	ENSGALP00000015047
ENSP00000357106	ENSGALP00000042206
ENSP00000227348	ENSGALP00000010537
ENSP00000395359	ENSGALP00000023468
ENSP00000475496	ENSGALP00000007035
ENSP00000268099	ENSGALP00000002580
ENSP00000307275	ENSGALP00000041725
ENSP00000355387	ENSGALP00000022809
ENSP00000316007	ENSGALP00000001525
ENSP00000419101	ENSGALP00000008660
ENSP00000302177	ENSGALP00000026423
ENSP00000324944	ENSGALP00000020661
ENSP00000314196	ENSGALP00000018654
ENSP00000261407	ENSGALP00000023450
ENSP00000406052	ENSGALP00000006571
ENSP00000346065	ENSGALP00000043110
ENSP00000384376	ENSGALP00000026552
ENSP00000255324	ENSGALP00000027645
ENSP00000414624	ENSGALP00000002881
ENSP00000325674	ENSGALP00000002611
ENSP00000452634	ENSGALP00000018643
ENSP00000369409	ENSGALP00000018636
ENSP00000284073	ENSGALP00000008916
ENSP00000257552	ENSGALP00000008910
ENSP00000233078	ENSGALP00000024479
ENSP00000349415	ENSGALP00000012019
ENSP00000229340	ENSGALP00000011814
ENSP00000257017	ENSGALP00000039779
ENSP00000306496	ENSGALP00000015909
ENSP00000358644	ENSGALP00000040646
ENSP00000393987	ENSGALP00000030045
ENSP00000383933	ENSGALP00000038439
ENSP00000295569	ENSGALP00000041219
ENSP00000418575	ENSGALP00000042380
ENSP00000335481	ENSGALP00000040736
ENSP00000254528	ENSGALP00000023875
ENSP00000332806	ENSGALP00000041478
ENSP00000325355	ENSGALP00000013016
ENSP00000345436	ENSGALP00000009374
ENSP00000396421	ENSGALP00000024716
ENSP00000274289	ENSGALP00000023702
ENSP00000361275	ENSGALP00000016453
ENSP00000253159	ENSGALP00000022167
ENSP00000441823	ENSGALP00000030451
ENSP00000251020	ENSGALP00000005923
ENSP00000259708	ENSGALP00000031347
ENSP00000228936	ENSGALP00000019151
ENSP00000419952	ENSGALP00000032335
ENSP00000344208	ENSGALP00000024674
ENSP00000410403	ENSGALP00000042693
ENSP00000465419	ENSGALP00000001085
ENSP00000281537	ENSGALP00000033875
ENSP00000355938	ENSGALP00000015935
ENSP00000320234	ENSGALP00000037040
ENSP00000437041	ENSGALP00000008475
ENSP00000398688	ENSGALP00000041217
ENSP00000221957	ENSGALP00000034742
ENSP00000300055	ENSGALP00000037830
ENSP00000431905	ENSGALP00000042105
ENSP00000405514	ENSGALP00000015748
ENSP00000424474	ENSGALP00000042533
ENSP00000226574	ENSGALP00000036814
ENSP00000358983	ENSGALP00000042025
ENSP00000295025	ENSGALP00000039504
ENSP00000329468	ENSGALP00000005249
ENSP00000353078	ENSGALP00000014482
ENSP00000338348	ENSGALP00000009075
ENSP00000341346	ENSGALP00000009768
ENSP00000207457	ENSGALP00000003644
ENSP00000379263	ENSGALP00000002056
ENSP00000283025	ENSGALP00000011735
