ENSACAP00000008923	ENSLOCP00000011371
ENSACAP00000000083	ENSLOCP00000017705
ENSACAP00000004428	ENSLOCP00000011055
ENSACAP00000002974	ENSLOCP00000010892
ENSACAP00000013481	ENSLOCP00000006526
ENSACAP00000008599	ENSLOCP00000001142
ENSACAP00000000242	ENSLOCP00000020785
ENSACAP00000022297	ENSLOCP00000007583
ENSACAP00000011579	ENSLOCP00000006346
ENSACAP00000006096	ENSLOCP00000017659
ENSACAP00000004949	ENSLOCP00000000889
ENSACAP00000007355	ENSLOCP00000020036
ENSACAP00000018297	ENSLOCP00000008734
ENSACAP00000015927	ENSLOCP00000014576
ENSACAP00000008830	ENSLOCP00000005356
ENSACAP00000014517	ENSLOCP00000004761
ENSACAP00000016774	ENSLOCP00000006533
ENSACAP00000007485	ENSLOCP00000019487
ENSACAP00000019597	ENSLOCP00000007874
ENSACAP00000003327	ENSLOCP00000001954
ENSACAP00000013174	ENSLOCP00000001962
ENSACAP00000000079	ENSLOCP00000017726
ENSACAP00000001174	ENSLOCP00000009983
ENSACAP00000003140	ENSLOCP00000015449
ENSACAP00000015338	ENSLOCP00000005920
ENSACAP00000005084	ENSLOCP00000019609
ENSACAP00000010928	ENSLOCP00000019306
ENSACAP00000010696	ENSLOCP00000006448
ENSACAP00000005094	ENSLOCP00000011240
ENSACAP00000012452	ENSLOCP00000006499
ENSACAP00000008056	ENSLOCP00000009471
ENSACAP00000014884	ENSLOCP00000005310
ENSACAP00000016759	ENSLOCP00000009918
ENSACAP00000005904	ENSLOCP00000017649
ENSACAP00000012803	ENSLOCP00000013021
ENSACAP00000008215	ENSLOCP00000006143
ENSACAP00000009961	ENSLOCP00000008680
ENSACAP00000011440	ENSLOCP00000018224
ENSACAP00000013070	ENSLOCP00000018185
ENSACAP00000014146	ENSLOCP00000020346
ENSACAP00000011702	ENSLOCP00000019133
ENSACAP00000015780	ENSLOCP00000018546
ENSACAP00000002299	ENSLOCP00000006853
ENSACAP00000003195	ENSLOCP00000010912
ENSACAP00000020267	ENSLOCP00000012104
ENSACAP00000015236	ENSLOCP00000008505
ENSACAP00000002335	ENSLOCP00000017548
ENSACAP00000003471	ENSLOCP00000019163
ENSACAP00000003380	ENSLOCP00000009632
ENSACAP00000007070	ENSLOCP00000010916
ENSACAP00000007401	ENSLOCP00000003607
ENSACAP00000019189	ENSLOCP00000015072
ENSACAP00000009600	ENSLOCP00000011033
ENSACAP00000011711	ENSLOCP00000003380
ENSACAP00000017664	ENSLOCP00000012613
ENSACAP00000002249	ENSLOCP00000019084
ENSACAP00000000195	ENSLOCP00000016794
ENSACAP00000014285	ENSLOCP00000007049
ENSACAP00000014668	ENSLOCP00000021122
ENSACAP00000003308	ENSLOCP00000010539
ENSACAP00000014909	ENSLOCP00000000660
ENSACAP00000015061	ENSLOCP00000012614
ENSACAP00000016420	ENSLOCP00000010397
ENSACAP00000004060	ENSLOCP00000017388
ENSACAP00000006661	ENSLOCP00000009421
ENSACAP00000010344	ENSLOCP00000010161
ENSACAP00000011938	ENSLOCP00000016126
ENSACAP00000008723	ENSLOCP00000005393
ENSACAP00000008800	ENSLOCP00000004568
ENSACAP00000000609	ENSLOCP00000012552
ENSACAP00000015558	ENSLOCP00000012928
ENSACAP00000014183	ENSLOCP00000014564
ENSACAP00000013350	ENSLOCP00000019362
ENSACAP00000010506	ENSLOCP00000009470
ENSACAP00000009513	ENSLOCP00000011077
ENSACAP00000002901	ENSLOCP00000017982
ENSACAP00000013575	ENSLOCP00000011435
ENSACAP00000012544	ENSLOCP00000003826
ENSACAP00000020331	ENSLOCP00000011874
ENSACAP00000022081	ENSLOCP00000020061
ENSACAP00000007051	ENSLOCP00000021247
ENSACAP00000019114	ENSLOCP00000018907
ENSACAP00000007918	ENSLOCP00000018175
ENSACAP00000009498	ENSLOCP00000011105
ENSACAP00000001475	ENSLOCP00000012449
ENSACAP00000003976	ENSLOCP00000014471
ENSACAP00000004307	ENSLOCP00000019926
ENSACAP00000008062	ENSLOCP00000014491
ENSACAP00000001594	ENSLOCP00000010143
ENSACAP00000010217	ENSLOCP00000003063
ENSACAP00000004865	ENSLOCP00000003082
ENSACAP00000003655	ENSLOCP00000010983
ENSACAP00000011875	ENSLOCP00000018480
ENSACAP00000002928	ENSLOCP00000001148
ENSACAP00000008095	ENSLOCP00000009433
ENSACAP00000000868	ENSLOCP00000007419
ENSACAP00000016976	ENSLOCP00000007580
ENSACAP00000009221	ENSLOCP00000003101
ENSACAP00000016880	ENSLOCP00000015600
ENSACAP00000005302	ENSLOCP00000014741
ENSACAP00000001932	ENSLOCP00000012489
ENSACAP00000007917	ENSLOCP00000016111
ENSACAP00000019641	ENSLOCP00000004793
ENSACAP00000007896	ENSLOCP00000016120
ENSACAP00000004457	ENSLOCP00000011258
ENSACAP00000002426	ENSLOCP00000008502
ENSACAP00000002385	ENSLOCP00000010754
ENSACAP00000017474	ENSLOCP00000005040
ENSACAP00000005740	ENSLOCP00000004226
ENSACAP00000000523	ENSLOCP00000005055
ENSACAP00000005682	ENSLOCP00000004207
ENSACAP00000015820	ENSLOCP00000002039
ENSACAP00000010069	ENSLOCP00000004212
ENSACAP00000016069	ENSLOCP00000020195
ENSACAP00000001093	ENSLOCP00000020758
ENSACAP00000007667	ENSLOCP00000019518
ENSACAP00000017526	ENSLOCP00000005716
ENSACAP00000010676	ENSLOCP00000003844
ENSACAP00000015435	ENSLOCP00000016149
ENSACAP00000014650	ENSLOCP00000013403
ENSACAP00000000942	ENSLOCP00000003765
ENSACAP00000009728	ENSLOCP00000015553
ENSACAP00000009731	ENSLOCP00000015536
ENSACAP00000018182	ENSLOCP00000002907
ENSACAP00000014024	ENSLOCP00000021066
ENSACAP00000013525	ENSLOCP00000015909
ENSACAP00000001427	ENSLOCP00000019661
ENSACAP00000015468	ENSLOCP00000012721
ENSACAP00000004783	ENSLOCP00000014558
ENSACAP00000008216	ENSLOCP00000014569
ENSACAP00000013542	ENSLOCP00000021145
ENSACAP00000007865	ENSLOCP00000004485
ENSACAP00000009388	ENSLOCP00000003977
ENSACAP00000001385	ENSLOCP00000017733
ENSACAP00000018145	ENSLOCP00000001796
ENSACAP00000012872	ENSLOCP00000006578
ENSACAP00000019293	ENSLOCP00000010716
ENSACAP00000016705	ENSLOCP00000005658
ENSACAP00000012594	ENSLOCP00000000809
ENSACAP00000002577	ENSLOCP00000016973
ENSACAP00000012146	ENSLOCP00000012649
ENSACAP00000009720	ENSLOCP00000015071
ENSACAP00000005943	ENSLOCP00000018253
ENSACAP00000000973	ENSLOCP00000007361
ENSACAP00000013030	ENSLOCP00000013226
ENSACAP00000001579	ENSLOCP00000013456
ENSACAP00000012461	ENSLOCP00000008342
ENSACAP00000005813	ENSLOCP00000018119
ENSACAP00000022538	ENSLOCP00000014306
ENSACAP00000015655	ENSLOCP00000015075
ENSACAP00000001953	ENSLOCP00000019744
ENSACAP00000005411	ENSLOCP00000020291
ENSACAP00000005523	ENSLOCP00000021287
ENSACAP00000016164	ENSLOCP00000002488
ENSACAP00000011534	ENSLOCP00000002663
ENSACAP00000006602	ENSLOCP00000021031
ENSACAP00000011843	ENSLOCP00000004459
ENSACAP00000003200	ENSLOCP00000020394
ENSACAP00000009074	ENSLOCP00000001781
ENSACAP00000012719	ENSLOCP00000014227
ENSACAP00000010570	ENSLOCP00000003808
ENSACAP00000001753	ENSLOCP00000004757
ENSACAP00000019903	ENSLOCP00000014258
ENSACAP00000009777	ENSLOCP00000013970
ENSACAP00000012169	ENSLOCP00000018471
ENSACAP00000008206	ENSLOCP00000006667
ENSACAP00000004741	ENSLOCP00000017850
ENSACAP00000015089	ENSLOCP00000005447
ENSACAP00000013366	ENSLOCP00000020933
ENSACAP00000010782	ENSLOCP00000007685
ENSACAP00000014628	ENSLOCP00000017282
ENSACAP00000002673	ENSLOCP00000012148
ENSACAP00000022504	ENSLOCP00000001146
ENSACAP00000000607	ENSLOCP00000008429
ENSACAP00000019708	ENSLOCP00000016725
ENSACAP00000018133	ENSLOCP00000019526
ENSACAP00000008532	ENSLOCP00000017521
ENSACAP00000008554	ENSLOCP00000017582
ENSACAP00000004623	ENSLOCP00000016494
ENSACAP00000003028	ENSLOCP00000001689
ENSACAP00000004244	ENSLOCP00000019939
ENSACAP00000010760	ENSLOCP00000015630
ENSACAP00000012326	ENSLOCP00000001541
ENSACAP00000004205	ENSLOCP00000020623
ENSACAP00000022123	ENSLOCP00000001021
ENSACAP00000008887	ENSLOCP00000007379
ENSACAP00000006450	ENSLOCP00000012349
ENSACAP00000020101	ENSLOCP00000012336
ENSACAP00000003697	ENSLOCP00000020213
ENSACAP00000003684	ENSLOCP00000020214
ENSACAP00000021004	ENSLOCP00000001894
ENSACAP00000010293	ENSLOCP00000006247
ENSACAP00000023319	ENSLOCP00000012176
ENSACAP00000005594	ENSLOCP00000014722
ENSACAP00000008109	ENSLOCP00000009358
ENSACAP00000015543	ENSLOCP00000020426
ENSACAP00000022398	ENSLOCP00000006899
ENSACAP00000008947	ENSLOCP00000019725
ENSACAP00000010774	ENSLOCP00000018203
ENSACAP00000014072	ENSLOCP00000014625
ENSACAP00000011900	ENSLOCP00000011702
ENSACAP00000020690	ENSLOCP00000004154
ENSACAP00000009364	ENSLOCP00000017471
ENSACAP00000001779	ENSLOCP00000011163
ENSACAP00000005299	ENSLOCP00000020287
ENSACAP00000012130	ENSLOCP00000007217
ENSACAP00000008363	ENSLOCP00000000876
ENSACAP00000003188	ENSLOCP00000003376
ENSACAP00000009106	ENSLOCP00000011255
ENSACAP00000014036	ENSLOCP00000021189
ENSACAP00000007060	ENSLOCP00000002235
ENSACAP00000017578	ENSLOCP00000003249
ENSACAP00000012829	ENSLOCP00000019473
ENSACAP00000005032	ENSLOCP00000013472
ENSACAP00000005870	ENSLOCP00000019433
ENSACAP00000009679	ENSLOCP00000017623
ENSACAP00000017072	ENSLOCP00000003471
ENSACAP00000012489	ENSLOCP00000001969
ENSACAP00000020615	ENSLOCP00000022429
ENSACAP00000000594	ENSLOCP00000021935
ENSACAP00000016644	ENSLOCP00000022309
ENSACAP00000000809	ENSLOCP00000019632
ENSACAP00000008014	ENSLOCP00000017842
ENSACAP00000011635	ENSLOCP00000019045
ENSACAP00000004810	ENSLOCP00000019295
ENSACAP00000021872	ENSLOCP00000014495
ENSACAP00000000027	ENSLOCP00000002207
ENSACAP00000000226	ENSLOCP00000011741
ENSACAP00000007738	ENSLOCP00000000046
ENSACAP00000013047	ENSLOCP00000016875
ENSACAP00000020901	ENSLOCP00000014518
ENSACAP00000003852	ENSLOCP00000017175
ENSACAP00000002156	ENSLOCP00000010114
ENSACAP00000006137	ENSLOCP00000011158
ENSACAP00000017488	ENSLOCP00000006055
ENSACAP00000021463	ENSLOCP00000013253
ENSACAP00000000981	ENSLOCP00000013984
ENSACAP00000009209	ENSLOCP00000021070
ENSACAP00000015115	ENSLOCP00000018776
ENSACAP00000012315	ENSLOCP00000007029
ENSACAP00000021250	ENSLOCP00000016847
ENSACAP00000016828	ENSLOCP00000013710
ENSACAP00000010767	ENSLOCP00000018177
ENSACAP00000016001	ENSLOCP00000015642
ENSACAP00000005065	ENSLOCP00000011542
ENSACAP00000000988	ENSLOCP00000012590
ENSACAP00000002892	ENSLOCP00000004821
ENSACAP00000001851	ENSLOCP00000006185
ENSACAP00000002010	ENSLOCP00000001873
ENSACAP00000007811	ENSLOCP00000000044
ENSACAP00000014205	ENSLOCP00000020944
ENSACAP00000003957	ENSLOCP00000009374
ENSACAP00000019837	ENSLOCP00000007623
ENSACAP00000005055	ENSLOCP00000021298
ENSACAP00000003452	ENSLOCP00000002575
ENSACAP00000022607	ENSLOCP00000013512
ENSACAP00000022561	ENSLOCP00000009795
ENSACAP00000007418	ENSLOCP00000003206
ENSACAP00000010717	ENSLOCP00000015875
ENSACAP00000023161	ENSLOCP00000006242
ENSACAP00000007133	ENSLOCP00000009760
ENSACAP00000009262	ENSLOCP00000005861
ENSACAP00000007144	ENSLOCP00000008215
ENSACAP00000007166	ENSLOCP00000008179
ENSACAP00000014451	ENSLOCP00000020161
ENSACAP00000011447	ENSLOCP00000020208
ENSACAP00000003423	ENSLOCP00000003504
ENSACAP00000014516	ENSLOCP00000018276
ENSACAP00000016589	ENSLOCP00000002245
ENSACAP00000016612	ENSLOCP00000005952
ENSACAP00000000766	ENSLOCP00000017532
ENSACAP00000001550	ENSLOCP00000021347
ENSACAP00000005884	ENSLOCP00000006072
ENSACAP00000015136	ENSLOCP00000005221
ENSACAP00000016217	ENSLOCP00000015458
ENSACAP00000001002	ENSLOCP00000006402
ENSACAP00000013260	ENSLOCP00000014030
ENSACAP00000010212	ENSLOCP00000004614
ENSACAP00000011210	ENSLOCP00000004050
ENSACAP00000012546	ENSLOCP00000011185
ENSACAP00000005192	ENSLOCP00000004811
ENSACAP00000016275	ENSLOCP00000000246
ENSACAP00000011119	ENSLOCP00000016808
ENSACAP00000016014	ENSLOCP00000013803
ENSACAP00000000189	ENSLOCP00000016806
ENSACAP00000018669	ENSLOCP00000000222
ENSACAP00000002209	ENSLOCP00000001823
ENSACAP00000007863	ENSLOCP00000003170
ENSACAP00000005144	ENSLOCP00000021302
ENSACAP00000013190	ENSLOCP00000002027
ENSACAP00000015982	ENSLOCP00000013996
ENSACAP00000003038	ENSLOCP00000000159
ENSACAP00000014062	ENSLOCP00000003313
ENSACAP00000017531	ENSLOCP00000005911
ENSACAP00000008252	ENSLOCP00000003804
ENSACAP00000016064	ENSLOCP00000009318
ENSACAP00000014392	ENSLOCP00000013492
ENSACAP00000022803	ENSLOCP00000000003
ENSACAP00000012143	ENSLOCP00000020482
ENSACAP00000002627	ENSLOCP00000005353
ENSACAP00000020312	ENSLOCP00000005332
ENSACAP00000001514	ENSLOCP00000008839
ENSACAP00000013258	ENSLOCP00000013953
ENSACAP00000012231	ENSLOCP00000010520
ENSACAP00000012123	ENSLOCP00000011038
ENSACAP00000010223	ENSLOCP00000015485
ENSACAP00000011216	ENSLOCP00000001520
ENSACAP00000011928	ENSLOCP00000021137
ENSACAP00000006406	ENSLOCP00000019545
ENSACAP00000016440	ENSLOCP00000002445
ENSACAP00000011920	ENSLOCP00000006609
ENSACAP00000011449	ENSLOCP00000007633
ENSACAP00000000792	ENSLOCP00000002749
ENSACAP00000019131	ENSLOCP00000007449
ENSACAP00000010667	ENSLOCP00000020390
ENSACAP00000008195	ENSLOCP00000019935
ENSACAP00000021848	ENSLOCP00000011379
ENSACAP00000009117	ENSLOCP00000017777
ENSACAP00000015939	ENSLOCP00000018190
ENSACAP00000005631	ENSLOCP00000012033
ENSACAP00000000060	ENSLOCP00000000818
ENSACAP00000000062	ENSLOCP00000002181
ENSACAP00000016848	ENSLOCP00000018932
ENSACAP00000002993	ENSLOCP00000020033
ENSACAP00000014378	ENSLOCP00000001598
ENSACAP00000016349	ENSLOCP00000007296
ENSACAP00000007132	ENSLOCP00000011440
ENSACAP00000017264	ENSLOCP00000015471
ENSACAP00000002280	ENSLOCP00000014096
ENSACAP00000008704	ENSLOCP00000007844
ENSACAP00000002301	ENSLOCP00000014117
ENSACAP00000000982	ENSLOCP00000002613
ENSACAP00000006631	ENSLOCP00000008628
ENSACAP00000004423	ENSLOCP00000009922
ENSACAP00000009525	ENSLOCP00000004498
ENSACAP00000019584	ENSLOCP00000008910
ENSACAP00000011435	ENSLOCP00000002496
ENSACAP00000017519	ENSLOCP00000009982
ENSACAP00000018385	ENSLOCP00000016722
ENSACAP00000003635	ENSLOCP00000011965
ENSACAP00000006532	ENSLOCP00000020080
ENSACAP00000015536	ENSLOCP00000005783
ENSACAP00000007357	ENSLOCP00000019185
ENSACAP00000017648	ENSLOCP00000012674
ENSACAP00000004922	ENSLOCP00000020893
ENSACAP00000010908	ENSLOCP00000011473
ENSACAP00000016710	ENSLOCP00000005296
ENSACAP00000022499	ENSLOCP00000003287
ENSACAP00000003450	ENSLOCP00000010604
ENSACAP00000017120	ENSLOCP00000003378
ENSACAP00000000624	ENSLOCP00000010054
ENSACAP00000007712	ENSLOCP00000007257
ENSACAP00000002813	ENSLOCP00000021652
ENSACAP00000003779	ENSLOCP00000022460
ENSACAP00000006838	ENSLOCP00000019618
ENSACAP00000003121	ENSLOCP00000008543
ENSACAP00000004681	ENSLOCP00000013145
ENSACAP00000008548	ENSLOCP00000021590
ENSACAP00000007583	ENSLOCP00000002170
ENSACAP00000019498	ENSLOCP00000008685
ENSACAP00000008475	ENSLOCP00000008726
ENSACAP00000004126	ENSLOCP00000004373
ENSACAP00000015588	ENSLOCP00000008789
ENSACAP00000017189	ENSLOCP00000010061
ENSACAP00000008306	ENSLOCP00000011092
ENSACAP00000016647	ENSLOCP00000021278
ENSACAP00000015154	ENSLOCP00000010840
ENSACAP00000005587	ENSLOCP00000012831
ENSACAP00000003316	ENSLOCP00000003355
ENSACAP00000006756	ENSLOCP00000021018
ENSACAP00000005040	ENSLOCP00000000167
ENSACAP00000011813	ENSLOCP00000015252
ENSACAP00000007413	ENSLOCP00000011013
ENSACAP00000007085	ENSLOCP00000011651
ENSACAP00000011502	ENSLOCP00000013287
ENSACAP00000010004	ENSLOCP00000008358
ENSACAP00000010045	ENSLOCP00000020447
ENSACAP00000020018	ENSLOCP00000014891
ENSACAP00000011328	ENSLOCP00000006896
ENSACAP00000000445	ENSLOCP00000018708
ENSACAP00000015725	ENSLOCP00000006698
ENSACAP00000015191	ENSLOCP00000001338
ENSACAP00000011167	ENSLOCP00000015784
ENSACAP00000008017	ENSLOCP00000018164
ENSACAP00000008008	ENSLOCP00000009322
ENSACAP00000004399	ENSLOCP00000012690
ENSACAP00000000803	ENSLOCP00000010217
ENSACAP00000003367	ENSLOCP00000015129
ENSACAP00000004184	ENSLOCP00000010059
ENSACAP00000007474	ENSLOCP00000016032
ENSACAP00000001458	ENSLOCP00000011120
ENSACAP00000014103	ENSLOCP00000004451
ENSACAP00000014765	ENSLOCP00000003772
ENSACAP00000004657	ENSLOCP00000014513
ENSACAP00000008815	ENSLOCP00000005710
ENSACAP00000016406	ENSLOCP00000004014
ENSACAP00000010376	ENSLOCP00000007253
ENSACAP00000001164	ENSLOCP00000019030
ENSACAP00000005810	ENSLOCP00000014694
ENSACAP00000011557	ENSLOCP00000004225
ENSACAP00000015652	ENSLOCP00000003011
ENSACAP00000013834	ENSLOCP00000007157
ENSACAP00000020730	ENSLOCP00000021695
ENSACAP00000002635	ENSLOCP00000010525
ENSACAP00000006227	ENSLOCP00000017345
ENSACAP00000005008	ENSLOCP00000015305
ENSACAP00000008138	ENSLOCP00000016622
ENSACAP00000004083	ENSLOCP00000019775
ENSACAP00000012175	ENSLOCP00000017587
ENSACAP00000011214	ENSLOCP00000020501
ENSACAP00000011080	ENSLOCP00000003311
ENSACAP00000015437	ENSLOCP00000010259
ENSACAP00000007790	ENSLOCP00000008128
ENSACAP00000011160	ENSLOCP00000008481
ENSACAP00000005916	ENSLOCP00000005652
ENSACAP00000016208	ENSLOCP00000009356
ENSACAP00000012562	ENSLOCP00000001805
ENSACAP00000015914	ENSLOCP00000014068
ENSACAP00000010954	ENSLOCP00000020186
ENSACAP00000021470	ENSLOCP00000013068
ENSACAP00000006737	ENSLOCP00000010723
ENSACAP00000006791	ENSLOCP00000010751
ENSACAP00000009962	ENSLOCP00000013990
ENSACAP00000010102	ENSLOCP00000009672
ENSACAP00000014348	ENSLOCP00000021427
ENSACAP00000017517	ENSLOCP00000006662
ENSACAP00000007409	ENSLOCP00000010135
ENSACAP00000005518	ENSLOCP00000006228
ENSACAP00000008283	ENSLOCP00000000800
ENSACAP00000012104	ENSLOCP00000008781
ENSACAP00000004731	ENSLOCP00000002761
ENSACAP00000005602	ENSLOCP00000005977
ENSACAP00000009797	ENSLOCP00000003646
ENSACAP00000020911	ENSLOCP00000018454
ENSACAP00000015474	ENSLOCP00000006716
ENSACAP00000003716	ENSLOCP00000011321
ENSACAP00000012914	ENSLOCP00000019560
ENSACAP00000016554	ENSLOCP00000005913
ENSACAP00000015593	ENSLOCP00000003782
ENSACAP00000017421	ENSLOCP00000016038
ENSACAP00000010082	ENSLOCP00000012784
ENSACAP00000019370	ENSLOCP00000007220
ENSACAP00000005303	ENSLOCP00000005472
ENSACAP00000008303	ENSLOCP00000014168
ENSACAP00000010652	ENSLOCP00000000168
ENSACAP00000015583	ENSLOCP00000010130
ENSACAP00000011008	ENSLOCP00000004123
ENSACAP00000020481	ENSLOCP00000005379
ENSACAP00000005226	ENSLOCP00000009388
ENSACAP00000008088	ENSLOCP00000005993
ENSACAP00000003237	ENSLOCP00000016715
ENSACAP00000002437	ENSLOCP00000002485
ENSACAP00000001065	ENSLOCP00000010022
ENSACAP00000007432	ENSLOCP00000004068
ENSACAP00000007938	ENSLOCP00000013462
ENSACAP00000015545	ENSLOCP00000018255
ENSACAP00000007692	ENSLOCP00000007915
ENSACAP00000002841	ENSLOCP00000010992
ENSACAP00000012202	ENSLOCP00000006907
ENSACAP00000005799	ENSLOCP00000017392
ENSACAP00000005716	ENSLOCP00000018843
ENSACAP00000009466	ENSLOCP00000011195
ENSACAP00000006764	ENSLOCP00000015154
ENSACAP00000011676	ENSLOCP00000018674
ENSACAP00000016136	ENSLOCP00000009105
ENSACAP00000007832	ENSLOCP00000002324
ENSACAP00000008342	ENSLOCP00000004176
ENSACAP00000000292	ENSLOCP00000004282
ENSACAP00000016592	ENSLOCP00000002233
ENSACAP00000001387	ENSLOCP00000021344
ENSACAP00000004700	ENSLOCP00000017437
ENSACAP00000016253	ENSLOCP00000007332
ENSACAP00000002693	ENSLOCP00000016692
ENSACAP00000005027	ENSLOCP00000009637
ENSACAP00000020603	ENSLOCP00000011477
ENSACAP00000002664	ENSLOCP00000010337
ENSACAP00000006327	ENSLOCP00000019684
ENSACAP00000015074	ENSLOCP00000020448
ENSACAP00000000234	ENSLOCP00000003567
ENSACAP00000016353	ENSLOCP00000010718
ENSACAP00000014973	ENSLOCP00000018366
ENSACAP00000005221	ENSLOCP00000013425
ENSACAP00000019924	ENSLOCP00000014830
ENSACAP00000021507	ENSLOCP00000007760
ENSACAP00000018980	ENSLOCP00000004463
ENSACAP00000007124	ENSLOCP00000009722
ENSACAP00000017651	ENSLOCP00000002448
ENSACAP00000021076	ENSLOCP00000003932
ENSACAP00000011453	ENSLOCP00000004011
ENSACAP00000001435	ENSLOCP00000002374
ENSACAP00000010853	ENSLOCP00000001500
ENSACAP00000020401	ENSLOCP00000004242
ENSACAP00000006453	ENSLOCP00000011089
ENSACAP00000012667	ENSLOCP00000016565
ENSACAP00000002092	ENSLOCP00000013304
ENSACAP00000020519	ENSLOCP00000018142
ENSACAP00000012381	ENSLOCP00000017846
ENSACAP00000017326	ENSLOCP00000014700
ENSACAP00000004402	ENSLOCP00000007534
ENSACAP00000016922	ENSLOCP00000003529
ENSACAP00000006419	ENSLOCP00000016401
ENSACAP00000008402	ENSLOCP00000007057
ENSACAP00000010275	ENSLOCP00000010689
ENSACAP00000003460	ENSLOCP00000014210
ENSACAP00000005918	ENSLOCP00000018245
ENSACAP00000008890	ENSLOCP00000004841
ENSACAP00000010473	ENSLOCP00000005570
ENSACAP00000002138	ENSLOCP00000002447
ENSACAP00000008651	ENSLOCP00000004148
ENSACAP00000006753	ENSLOCP00000016582
ENSACAP00000001891	ENSLOCP00000019749
ENSACAP00000012645	ENSLOCP00000017826
ENSACAP00000016035	ENSLOCP00000018478
ENSACAP00000012239	ENSLOCP00000020976
ENSACAP00000022406	ENSLOCP00000020203
ENSACAP00000015850	ENSLOCP00000012519
ENSACAP00000000098	ENSLOCP00000014207
ENSACAP00000005328	ENSLOCP00000020679
