ENSGALP00000006197	ENSMGAP00000004951
ENSGALP00000043459	ENSMGAP00000019775
ENSGALP00000011134	ENSMGAP00000009216
ENSGALP00000041611	ENSMGAP00000006576
ENSGALP00000036527	ENSMGAP00000002105
ENSGALP00000042712	ENSMGAP00000000989
ENSGALP00000042464	ENSMGAP00000001972
ENSGALP00000030960	ENSMGAP00000014828
ENSGALP00000030213	ENSMGAP00000012273
ENSGALP00000002638	ENSMGAP00000002149
ENSGALP00000011413	ENSMGAP00000006010
ENSGALP00000009200	ENSMGAP00000008809
ENSGALP00000016547	ENSMGAP00000011192
ENSGALP00000021543	ENSMGAP00000007478
ENSGALP00000003847	ENSMGAP00000000881
ENSGALP00000008131	ENSMGAP00000017442
ENSGALP00000001054	ENSMGAP00000000569
ENSGALP00000035892	ENSMGAP00000011996
ENSGALP00000026853	ENSMGAP00000015040
ENSGALP00000010428	ENSMGAP00000007423
ENSGALP00000026821	ENSMGAP00000015017
ENSGALP00000000107	ENSMGAP00000009294
ENSGALP00000038965	ENSMGAP00000009228
ENSGALP00000002593	ENSMGAP00000001262
ENSGALP00000026322	ENSMGAP00000013335
ENSGALP00000026707	ENSMGAP00000014950
ENSGALP00000013796	ENSMGAP00000001910
ENSGALP00000043032	ENSMGAP00000004502
ENSGALP00000005571	ENSMGAP00000004061
ENSGALP00000011333	ENSMGAP00000009429
ENSGALP00000021646	ENSMGAP00000014704
ENSGALP00000006299	ENSMGAP00000001781
ENSGALP00000003671	ENSMGAP00000001755
ENSGALP00000000412	ENSMGAP00000000418
ENSGALP00000042330	ENSMGAP00000009743
ENSGALP00000041808	ENSMGAP00000000202
ENSGALP00000003234	ENSMGAP00000001603
ENSGALP00000039341	ENSMGAP00000007539
ENSGALP00000009803	ENSMGAP00000007950
ENSGALP00000008661	ENSMGAP00000011139
ENSGALP00000040060	ENSMGAP00000017915
ENSGALP00000018503	ENSMGAP00000011894
ENSGALP00000042768	ENSMGAP00000004635
ENSGALP00000019399	ENSMGAP00000003014
ENSGALP00000024768	ENSMGAP00000015236
ENSGALP00000041815	ENSMGAP00000003757
ENSGALP00000038287	ENSMGAP00000007537
ENSGALP00000007547	ENSMGAP00000010071
ENSGALP00000039976	ENSMGAP00000001751
ENSGALP00000009611	ENSMGAP00000008128
ENSGALP00000017701	ENSMGAP00000007518
ENSGALP00000018224	ENSMGAP00000014040
ENSGALP00000016105	ENSMGAP00000010374
ENSGALP00000013191	ENSMGAP00000001944
ENSGALP00000017290	ENSMGAP00000013734
ENSGALP00000018964	ENSMGAP00000016788
ENSGALP00000010863	ENSMGAP00000000217
ENSGALP00000009806	ENSMGAP00000002878
ENSGALP00000009798	ENSMGAP00000002860
ENSGALP00000003684	ENSMGAP00000000231
ENSGALP00000008702	ENSMGAP00000004553
ENSGALP00000037588	ENSMGAP00000005399
ENSGALP00000004211	ENSMGAP00000002512
ENSGALP00000017417	ENSMGAP00000013813
ENSGALP00000013142	ENSMGAP00000001795
ENSGALP00000017678	ENSMGAP00000012130
ENSGALP00000024782	ENSMGAP00000007701
ENSGALP00000010979	ENSMGAP00000005494
ENSGALP00000038745	ENSMGAP00000000432
ENSGALP00000039924	ENSMGAP00000006701
ENSGALP00000019325	ENSMGAP00000010996
ENSGALP00000005090	ENSMGAP00000004600
ENSGALP00000002366	ENSMGAP00000004769
ENSGALP00000038404	ENSMGAP00000008135
ENSGALP00000019689	ENSMGAP00000011438
ENSGALP00000009892	ENSMGAP00000007028
ENSGALP00000013052	ENSMGAP00000010974
ENSGALP00000020571	ENSMGAP00000013515
ENSGALP00000006182	ENSMGAP00000005346
ENSGALP00000035907	ENSMGAP00000011943
ENSGALP00000017281	ENSMGAP00000003870
ENSGALP00000038563	ENSMGAP00000000964
ENSGALP00000007976	ENSMGAP00000003538
ENSGALP00000007204	ENSMGAP00000006152
ENSGALP00000010958	ENSMGAP00000006673
ENSGALP00000013724	ENSMGAP00000019154
ENSGALP00000008112	ENSMGAP00000018976
ENSGALP00000005789	ENSMGAP00000002706
ENSGALP00000006300	ENSMGAP00000005664
ENSGALP00000013714	ENSMGAP00000008306
ENSGALP00000014734	ENSMGAP00000008756
ENSGALP00000000973	ENSMGAP00000005181
ENSGALP00000018656	ENSMGAP00000012044
ENSGALP00000017596	ENSMGAP00000007164
ENSGALP00000026677	ENSMGAP00000015568
ENSGALP00000026679	ENSMGAP00000015570
ENSGALP00000013670	ENSMGAP00000003190
ENSGALP00000006782	ENSMGAP00000001772
ENSGALP00000012265	ENSMGAP00000005589
ENSGALP00000009402	ENSMGAP00000007854
ENSGALP00000009612	ENSMGAP00000006564
ENSGALP00000021856	ENSMGAP00000014728
ENSGALP00000010281	ENSMGAP00000000062
ENSGALP00000022282	ENSMGAP00000013566
ENSGALP00000036082	ENSMGAP00000014847
ENSGALP00000014065	ENSMGAP00000008226
ENSGALP00000041045	ENSMGAP00000010913
ENSGALP00000017619	ENSMGAP00000019750
ENSGALP00000033098	ENSMGAP00000001752
ENSGALP00000010325	ENSMGAP00000008466
ENSGALP00000000810	ENSMGAP00000001356
ENSGALP00000025626	ENSMGAP00000014625
ENSGALP00000019975	ENSMGAP00000013090
ENSGALP00000005576	ENSMGAP00000007848
ENSGALP00000042896	ENSMGAP00000006346
ENSGALP00000000239	ENSMGAP00000010300
ENSGALP00000007948	ENSMGAP00000003617
ENSGALP00000021686	ENSMGAP00000003530
ENSGALP00000038787	ENSMGAP00000009825
ENSGALP00000000530	ENSMGAP00000000737
ENSGALP00000011453	ENSMGAP00000009657
ENSGALP00000039421	ENSMGAP00000001802
ENSGALP00000014728	ENSMGAP00000000491
ENSGALP00000014501	ENSMGAP00000001010
ENSGALP00000014500	ENSMGAP00000000893
ENSGALP00000014506	ENSMGAP00000017672
ENSGALP00000018774	ENSMGAP00000011815
ENSGALP00000018209	ENSMGAP00000011218
ENSGALP00000019882	ENSMGAP00000012705
ENSGALP00000041356	ENSMGAP00000007078
ENSGALP00000013781	ENSMGAP00000011134
ENSGALP00000013726	ENSMGAP00000017509
ENSGALP00000010625	ENSMGAP00000001590
ENSGALP00000020311	ENSMGAP00000000718
ENSGALP00000020307	ENSMGAP00000000730
ENSGALP00000018675	ENSMGAP00000012182
ENSGALP00000040685	ENSMGAP00000002485
ENSGALP00000008889	ENSMGAP00000018544
ENSGALP00000027075	ENSMGAP00000015716
ENSGALP00000008481	ENSMGAP00000003367
ENSGALP00000014663	ENSMGAP00000009944
ENSGALP00000008104	ENSMGAP00000003349
ENSGALP00000014672	ENSMGAP00000009979
ENSGALP00000024150	ENSMGAP00000015126
ENSGALP00000010431	ENSMGAP00000001319
ENSGALP00000016015	ENSMGAP00000016886
ENSGALP00000041013	ENSMGAP00000009563
ENSGALP00000016884	ENSMGAP00000002250
ENSGALP00000025920	ENSMGAP00000013153
ENSGALP00000009133	ENSMGAP00000007392
ENSGALP00000023682	ENSMGAP00000006485
ENSGALP00000003295	ENSMGAP00000003262
ENSGALP00000018278	ENSMGAP00000012561
ENSGALP00000005933	ENSMGAP00000003178
ENSGALP00000043195	ENSMGAP00000010564
ENSGALP00000037396	ENSMGAP00000011128
ENSGALP00000009678	ENSMGAP00000007926
ENSGALP00000014673	ENSMGAP00000006160
ENSGALP00000019114	ENSMGAP00000014264
ENSGALP00000024076	ENSMGAP00000014136
ENSGALP00000013447	ENSMGAP00000010923
ENSGALP00000013448	ENSMGAP00000010925
ENSGALP00000013450	ENSMGAP00000010926
ENSGALP00000024083	ENSMGAP00000014141
ENSGALP00000024082	ENSMGAP00000014140
ENSGALP00000019723	ENSMGAP00000012934
ENSGALP00000010556	ENSMGAP00000019333
ENSGALP00000011296	ENSMGAP00000009394
ENSGALP00000023592	ENSMGAP00000008318
ENSGALP00000014112	ENSMGAP00000009205
ENSGALP00000010121	ENSMGAP00000010936
ENSGALP00000018337	ENSMGAP00000011774
ENSGALP00000006947	ENSMGAP00000006503
ENSGALP00000010805	ENSMGAP00000008212
ENSGALP00000017274	ENSMGAP00000006256
ENSGALP00000010722	ENSMGAP00000009009
ENSGALP00000041770	ENSMGAP00000011385
ENSGALP00000040940	ENSMGAP00000001142
ENSGALP00000005190	ENSMGAP00000003590
ENSGALP00000033380	ENSMGAP00000004457
ENSGALP00000015469	ENSMGAP00000008988
ENSGALP00000011904	ENSMGAP00000008872
ENSGALP00000000058	ENSMGAP00000010443
ENSGALP00000014581	ENSMGAP00000000679
ENSGALP00000018258	ENSMGAP00000014048
ENSGALP00000015125	ENSMGAP00000008543
ENSGALP00000042267	ENSMGAP00000012880
ENSGALP00000014259	ENSMGAP00000004391
ENSGALP00000026355	ENSMGAP00000014779
ENSGALP00000001480	ENSMGAP00000001404
ENSGALP00000001445	ENSMGAP00000001360
ENSGALP00000009449	ENSMGAP00000006544
ENSGALP00000026363	ENSMGAP00000014780
ENSGALP00000005166	ENSMGAP00000004289
ENSGALP00000026072	ENSMGAP00000013592
ENSGALP00000018821	ENSMGAP00000018702
ENSGALP00000010760	ENSMGAP00000008743
ENSGALP00000041626	ENSMGAP00000009271
ENSGALP00000018856	ENSMGAP00000010280
ENSGALP00000033993	ENSMGAP00000008915
ENSGALP00000041658	ENSMGAP00000011153
ENSGALP00000011895	ENSMGAP00000008868
ENSGALP00000037169	ENSMGAP00000016657
ENSGALP00000042394	ENSMGAP00000006427
ENSGALP00000018378	ENSMGAP00000016637
ENSGALP00000012308	ENSMGAP00000003533
ENSGALP00000016177	ENSMGAP00000010985
ENSGALP00000032209	ENSMGAP00000009178
ENSGALP00000011089	ENSMGAP00000009175
ENSGALP00000007956	ENSMGAP00000005907
ENSGALP00000020873	ENSMGAP00000013873
ENSGALP00000013164	ENSMGAP00000010650
ENSGALP00000038688	ENSMGAP00000010259
ENSGALP00000012087	ENSMGAP00000007940
ENSGALP00000014237	ENSMGAP00000008522
ENSGALP00000030077	ENSMGAP00000008533
ENSGALP00000003336	ENSMGAP00000000892
ENSGALP00000001136	ENSMGAP00000000865
ENSGALP00000040977	ENSMGAP00000005766
ENSGALP00000015293	ENSMGAP00000009232
ENSGALP00000013575	ENSMGAP00000010471
ENSGALP00000011851	ENSMGAP00000009367
ENSGALP00000015542	ENSMGAP00000009748
ENSGALP00000042747	ENSMGAP00000006262
ENSGALP00000025631	ENSMGAP00000014629
ENSGALP00000026153	ENSMGAP00000013528
ENSGALP00000009339	ENSMGAP00000006394
ENSGALP00000039974	ENSMGAP00000006461
ENSGALP00000038530	ENSMGAP00000007961
ENSGALP00000005663	ENSMGAP00000001311
ENSGALP00000005693	ENSMGAP00000002246
ENSGALP00000010175	ENSMGAP00000008436
ENSGALP00000010172	ENSMGAP00000008451
ENSGALP00000010290	ENSMGAP00000008585
ENSGALP00000028023	ENSMGAP00000014342
ENSGALP00000036574	ENSMGAP00000014345
ENSGALP00000014354	ENSMGAP00000009243
ENSGALP00000017249	ENSMGAP00000011687
ENSGALP00000025254	ENSMGAP00000013739
ENSGALP00000043236	ENSMGAP00000003888
ENSGALP00000040460	ENSMGAP00000000980
ENSGALP00000006001	ENSMGAP00000004449
ENSGALP00000022941	ENSMGAP00000014595
ENSGALP00000038910	ENSMGAP00000005911
ENSGALP00000002804	ENSMGAP00000018438
ENSGALP00000012015	ENSMGAP00000009521
ENSGALP00000020137	ENSMGAP00000014536
ENSGALP00000024720	ENSMGAP00000017551
ENSGALP00000041141	ENSMGAP00000003873
ENSGALP00000033738	ENSMGAP00000002322
ENSGALP00000041417	ENSMGAP00000013170
ENSGALP00000016518	ENSMGAP00000019340
ENSGALP00000026350	ENSMGAP00000014778
ENSGALP00000024556	ENSMGAP00000011272
ENSGALP00000040830	ENSMGAP00000001815
ENSGALP00000043176	ENSMGAP00000008157
ENSGALP00000026399	ENSMGAP00000013247
ENSGALP00000023990	ENSMGAP00000014108
ENSGALP00000042552	ENSMGAP00000001358
ENSGALP00000001014	ENSMGAP00000000448
ENSGALP00000035062	ENSMGAP00000005918
ENSGALP00000040961	ENSMGAP00000000499
ENSGALP00000001914	ENSMGAP00000001575
ENSGALP00000030892	ENSMGAP00000015092
ENSGALP00000025760	ENSMGAP00000015391
ENSGALP00000007523	ENSMGAP00000001688
ENSGALP00000013837	ENSMGAP00000007468
ENSGALP00000041533	ENSMGAP00000003683
ENSGALP00000008892	ENSMGAP00000007440
ENSGALP00000025221	ENSMGAP00000007893
ENSGALP00000003035	ENSMGAP00000003355
ENSGALP00000043302	ENSMGAP00000016365
ENSGALP00000037618	ENSMGAP00000016855
ENSGALP00000017259	ENSMGAP00000011869
ENSGALP00000006331	ENSMGAP00000002479
ENSGALP00000002604	ENSMGAP00000000518
ENSGALP00000011148	ENSMGAP00000004109
ENSGALP00000011044	ENSMGAP00000004197
ENSGALP00000024701	ENSMGAP00000007245
ENSGALP00000010493	ENSMGAP00000008731
ENSGALP00000039384	ENSMGAP00000000086
ENSGALP00000041259	ENSMGAP00000002593
ENSGALP00000027876	ENSMGAP00000014707
ENSGALP00000002287	ENSMGAP00000001163
ENSGALP00000001583	ENSMGAP00000001348
ENSGALP00000016838	ENSMGAP00000011290
ENSGALP00000024341	ENSMGAP00000005748
ENSGALP00000013830	ENSMGAP00000007519
ENSGALP00000019943	ENSMGAP00000014476
ENSGALP00000016475	ENSMGAP00000011156
ENSGALP00000039646	ENSMGAP00000000369
ENSGALP00000002721	ENSMGAP00000001091
ENSGALP00000020611	ENSMGAP00000013568
ENSGALP00000024015	ENSMGAP00000014124
ENSGALP00000029600	ENSMGAP00000015691
ENSGALP00000039846	ENSMGAP00000001278
ENSGALP00000033374	ENSMGAP00000007400
ENSGALP00000007049	ENSMGAP00000004554
ENSGALP00000041378	ENSMGAP00000008420
ENSGALP00000001317	ENSMGAP00000000085
ENSGALP00000007603	ENSMGAP00000004074
ENSGALP00000042939	ENSMGAP00000018204
ENSGALP00000023733	ENSMGAP00000015021
ENSGALP00000007183	ENSMGAP00000006573
ENSGALP00000007393	ENSMGAP00000006764
ENSGALP00000007413	ENSMGAP00000006790
ENSGALP00000008256	ENSMGAP00000006390
ENSGALP00000005438	ENSMGAP00000000887
ENSGALP00000008707	ENSMGAP00000002328
ENSGALP00000013692	ENSMGAP00000008286
ENSGALP00000026019	ENSMGAP00000015441
ENSGALP00000006744	ENSMGAP00000004156
ENSGALP00000014186	ENSMGAP00000011837
ENSGALP00000014563	ENSMGAP00000011911
ENSGALP00000008107	ENSMGAP00000000762
ENSGALP00000012178	ENSMGAP00000010097
ENSGALP00000010477	ENSMGAP00000008714
ENSGALP00000025385	ENSMGAP00000014425
ENSGALP00000037959	ENSMGAP00000007650
ENSGALP00000027946	ENSMGAP00000005028
ENSGALP00000039879	ENSMGAP00000000097
ENSGALP00000002718	ENSMGAP00000010586
ENSGALP00000011876	ENSMGAP00000008852
ENSGALP00000003502	ENSMGAP00000001395
ENSGALP00000043188	ENSMGAP00000005769
ENSGALP00000001688	ENSMGAP00000002271
ENSGALP00000024312	ENSMGAP00000009255
ENSGALP00000009724	ENSMGAP00000008040
ENSGALP00000007174	ENSMGAP00000008876
ENSGALP00000011976	ENSMGAP00000003422
ENSGALP00000024855	ENSMGAP00000015273
ENSGALP00000011971	ENSMGAP00000003689
ENSGALP00000033649	ENSMGAP00000003725
ENSGALP00000017858	ENSMGAP00000011606
ENSGALP00000018235	ENSMGAP00000011689
ENSGALP00000021103	ENSMGAP00000014117
ENSGALP00000027206	ENSMGAP00000015781
ENSGALP00000008699	ENSMGAP00000009299
ENSGALP00000026929	ENSMGAP00000015109
ENSGALP00000026936	ENSMGAP00000015118
ENSGALP00000036123	ENSMGAP00000015201
ENSGALP00000006738	ENSMGAP00000003710
ENSGALP00000024953	ENSMGAP00000011655
ENSGALP00000041666	ENSMGAP00000008858
ENSGALP00000023925	ENSMGAP00000014047
ENSGALP00000024913	ENSMGAP00000011625
ENSGALP00000022679	ENSMGAP00000011759
ENSGALP00000003973	ENSMGAP00000000744
ENSGALP00000039901	ENSMGAP00000005385
ENSGALP00000022198	ENSMGAP00000005473
ENSGALP00000026568	ENSMGAP00000014873
ENSGALP00000004444	ENSMGAP00000004123
ENSGALP00000021570	ENSMGAP00000006694
ENSGALP00000018510	ENSMGAP00000012758
ENSGALP00000006916	ENSMGAP00000002056
ENSGALP00000036151	ENSMGAP00000016378
ENSGALP00000040814	ENSMGAP00000006418
ENSGALP00000040622	ENSMGAP00000013338
ENSGALP00000018880	ENSMGAP00000011954
ENSGALP00000008931	ENSMGAP00000007180
ENSGALP00000002373	ENSMGAP00000002574
ENSGALP00000038523	ENSMGAP00000003711
ENSGALP00000026331	ENSMGAP00000014767
ENSGALP00000003970	ENSMGAP00000004080
ENSGALP00000041434	ENSMGAP00000009801
ENSGALP00000001565	ENSMGAP00000000265
ENSGALP00000019842	ENSMGAP00000014427
ENSGALP00000043429	ENSMGAP00000006889
ENSGALP00000012996	ENSMGAP00000010920
ENSGALP00000040906	ENSMGAP00000002312
ENSGALP00000026794	ENSMGAP00000015001
ENSGALP00000015519	ENSMGAP00000010402
ENSGALP00000015517	ENSMGAP00000010056
ENSGALP00000000410	ENSMGAP00000009371
ENSGALP00000021743	ENSMGAP00000000497
ENSGALP00000001713	ENSMGAP00000001532
ENSGALP00000041507	ENSMGAP00000001518
ENSGALP00000034554	ENSMGAP00000001508
ENSGALP00000042261	ENSMGAP00000003946
ENSGALP00000003190	ENSMGAP00000007704
ENSGALP00000014047	ENSMGAP00000007770
ENSGALP00000042876	ENSMGAP00000007698
ENSGALP00000000626	ENSMGAP00000000859
ENSGALP00000032471	ENSMGAP00000011580
ENSGALP00000018165	ENSMGAP00000019406
ENSGALP00000006610	ENSMGAP00000002371
ENSGALP00000027477	ENSMGAP00000015954
ENSGALP00000034251	ENSMGAP00000008030
ENSGALP00000002224	ENSMGAP00000002720
ENSGALP00000042973	ENSMGAP00000013724
ENSGALP00000020036	ENSMGAP00000016876
ENSGALP00000011799	ENSMGAP00000005211
ENSGALP00000006645	ENSMGAP00000002247
ENSGALP00000021021	ENSMGAP00000014035
ENSGALP00000014400	ENSMGAP00000008702
ENSGALP00000034297	ENSMGAP00000005660
ENSGALP00000009628	ENSMGAP00000008955
ENSGALP00000005554	ENSMGAP00000006415
ENSGALP00000020540	ENSMGAP00000006471
ENSGALP00000011010	ENSMGAP00000009069
ENSGALP00000039900	ENSMGAP00000003984
ENSGALP00000019136	ENSMGAP00000012377
ENSGALP00000026608	ENSMGAP00000014886
ENSGALP00000007476	ENSMGAP00000004230
ENSGALP00000006816	ENSMGAP00000005972
ENSGALP00000038626	ENSMGAP00000007542
ENSGALP00000010237	ENSMGAP00000007616
ENSGALP00000041792	ENSMGAP00000014484
ENSGALP00000015662	ENSMGAP00000012667
ENSGALP00000018239	ENSMGAP00000012872
ENSGALP00000005183	ENSMGAP00000004677
ENSGALP00000023854	ENSMGAP00000003309
ENSGALP00000037648	ENSMGAP00000005030
ENSGALP00000042279	ENSMGAP00000011808
ENSGALP00000043296	ENSMGAP00000017043
ENSGALP00000016504	ENSMGAP00000019018
ENSGALP00000002940	ENSMGAP00000003362
ENSGALP00000017594	ENSMGAP00000010091
ENSGALP00000042395	ENSMGAP00000005287
ENSGALP00000019701	ENSMGAP00000012887
ENSGALP00000004449	ENSMGAP00000004102
ENSGALP00000004272	ENSMGAP00000002106
ENSGALP00000004197	ENSMGAP00000002027
ENSGALP00000004365	ENSMGAP00000004874
ENSGALP00000004366	ENSMGAP00000019025
ENSGALP00000000423	ENSMGAP00000001538
ENSGALP00000043387	ENSMGAP00000011398
ENSGALP00000006426	ENSMGAP00000001897
ENSGALP00000014860	ENSMGAP00000009060
ENSGALP00000041570	ENSMGAP00000004606
ENSGALP00000041590	ENSMGAP00000000642
ENSGALP00000019663	ENSMGAP00000012789
ENSGALP00000034083	ENSMGAP00000000728
ENSGALP00000008547	ENSMGAP00000009313
ENSGALP00000025200	ENSMGAP00000008536
ENSGALP00000008787	ENSMGAP00000007353
ENSGALP00000005517	ENSMGAP00000003187
ENSGALP00000010774	ENSMGAP00000016272
ENSGALP00000041595	ENSMGAP00000009488
ENSGALP00000033543	ENSMGAP00000005069
ENSGALP00000038111	ENSMGAP00000009336
ENSGALP00000027991	ENSMGAP00000006249
ENSGALP00000033249	ENSMGAP00000008115
ENSGALP00000041936	ENSMGAP00000004377
ENSGALP00000000223	ENSMGAP00000005020
ENSGALP00000006462	ENSMGAP00000016743
ENSGALP00000032309	ENSMGAP00000011387
ENSGALP00000015273	ENSMGAP00000010642
ENSGALP00000003483	ENSMGAP00000003290
ENSGALP00000015251	ENSMGAP00000010616
ENSGALP00000023027	ENSMGAP00000014760
ENSGALP00000040351	ENSMGAP00000000456
ENSGALP00000003921	ENSMGAP00000000424
ENSGALP00000042366	ENSMGAP00000000429
ENSGALP00000043336	ENSMGAP00000013176
ENSGALP00000042407	ENSMGAP00000014789
ENSGALP00000005231	ENSMGAP00000018162
ENSGALP00000013449	ENSMGAP00000010924
ENSGALP00000041195	ENSMGAP00000009145
ENSGALP00000009483	ENSMGAP00000008195
ENSGALP00000037994	ENSMGAP00000008829
ENSGALP00000020977	ENSMGAP00000004589
ENSGALP00000041928	ENSMGAP00000013287
ENSGALP00000027543	ENSMGAP00000016002
ENSGALP00000002864	ENSMGAP00000004273
ENSGALP00000024461	ENSMGAP00000004013
ENSGALP00000037103	ENSMGAP00000006825
ENSGALP00000027996	ENSMGAP00000010088
ENSGALP00000025409	ENSMGAP00000013864
ENSGALP00000004574	ENSMGAP00000003424
ENSGALP00000024889	ENSMGAP00000014323
ENSGALP00000018252	ENSMGAP00000008303
ENSGALP00000034775	ENSMGAP00000015102
ENSGALP00000025261	ENSMGAP00000013753
ENSGALP00000024026	ENSMGAP00000015086
ENSGALP00000038592	ENSMGAP00000003442
ENSGALP00000001365	ENSMGAP00000001207
ENSGALP00000010316	ENSMGAP00000017075
ENSGALP00000004013	ENSMGAP00000017633
ENSGALP00000038766	ENSMGAP00000004136
ENSGALP00000012240	ENSMGAP00000019054
ENSGALP00000014104	ENSMGAP00000009053
ENSGALP00000032500	ENSMGAP00000011324
ENSGALP00000021356	ENSMGAP00000019123
ENSGALP00000027517	ENSMGAP00000015982
ENSGALP00000023080	ENSMGAP00000012956
ENSGALP00000020127	ENSMGAP00000013146
ENSGALP00000043303	ENSMGAP00000012051
ENSGALP00000006759	ENSMGAP00000005889
ENSGALP00000024821	ENSMGAP00000011490
ENSGALP00000013398	ENSMGAP00000010883
ENSGALP00000009076	ENSMGAP00000008681
ENSGALP00000013225	ENSMGAP00000005466
ENSGALP00000020504	ENSMGAP00000013654
ENSGALP00000018059	ENSMGAP00000012674
ENSGALP00000019163	ENSMGAP00000012433
ENSGALP00000026664	ENSMGAP00000016592
ENSGALP00000040665	ENSMGAP00000010880
ENSGALP00000041481	ENSMGAP00000003801
ENSGALP00000022304	ENSMGAP00000008615
ENSGALP00000012613	ENSMGAP00000009543
