ENSTNIP00000004863	ENSGALP00000006197
ENSTNIP00000008502	ENSGALP00000007547
ENSTNIP00000018932	ENSGALP00000039976
ENSTNIP00000016220	ENSGALP00000039976
ENSTNIP00000019819	ENSGALP00000017701
ENSTNIP00000020469	ENSGALP00000018224
ENSTNIP00000016383	ENSGALP00000016105
ENSTNIP00000020539	ENSGALP00000017290
ENSTNIP00000012306	ENSGALP00000027271
ENSTNIP00000004866	ENSGALP00000010863
ENSTNIP00000018333	ENSGALP00000010863
ENSTNIP00000007331	ENSGALP00000009806
ENSTNIP00000012305	ENSGALP00000027267
ENSTNIP00000016977	ENSGALP00000027267
ENSTNIP00000018334	ENSGALP00000003684
ENSTNIP00000000638	ENSGALP00000003684
ENSTNIP00000019031	ENSGALP00000032215
ENSTNIP00000016206	ENSGALP00000032215
ENSTNIP00000010267	ENSGALP00000013142
ENSTNIP00000013793	ENSGALP00000017678
ENSTNIP00000010816	ENSGALP00000010979
ENSTNIP00000003575	ENSGALP00000039924
ENSTNIP00000016040	ENSGALP00000019325
ENSTNIP00000014011	ENSGALP00000005090
ENSTNIP00000002898	ENSGALP00000005090
ENSTNIP00000021443	ENSGALP00000002366
ENSTNIP00000019065	ENSGALP00000038404
ENSTNIP00000007089	ENSGALP00000008574
ENSTNIP00000011020	ENSGALP00000035907
ENSTNIP00000009412	ENSGALP00000038563
ENSTNIP00000016188	ENSGALP00000007976
ENSTNIP00000002453	ENSGALP00000010958
ENSTNIP00000019645	ENSGALP00000008112
ENSTNIP00000013536	ENSGALP00000013714
ENSTNIP00000010184	ENSGALP00000000973
ENSTNIP00000011332	ENSGALP00000041492
ENSTNIP00000016915	ENSGALP00000026677
ENSTNIP00000016960	ENSGALP00000026679
ENSTNIP00000011744	ENSGALP00000006782
ENSTNIP00000007098	ENSGALP00000012265
ENSTNIP00000018861	ENSGALP00000012265
ENSTNIP00000011521	ENSGALP00000009402
ENSTNIP00000012246	ENSGALP00000009612
ENSTNIP00000004001	ENSGALP00000010281
ENSTNIP00000015237	ENSGALP00000022282
ENSTNIP00000022499	ENSGALP00000022282
ENSTNIP00000009462	ENSGALP00000036082
ENSTNIP00000019057	ENSGALP00000014065
ENSTNIP00000021609	ENSGALP00000017619
ENSTNIP00000019191	ENSGALP00000010325
ENSTNIP00000017983	ENSGALP00000000810
ENSTNIP00000012711	ENSGALP00000025626
ENSTNIP00000020654	ENSGALP00000005576
ENSTNIP00000005696	ENSGALP00000000239
ENSTNIP00000016193	ENSGALP00000007948
ENSTNIP00000004730	ENSGALP00000038787
ENSTNIP00000013737	ENSGALP00000000530
ENSTNIP00000005501	ENSGALP00000011453
ENSTNIP00000022314	ENSGALP00000018774
ENSTNIP00000021604	ENSGALP00000018209
ENSTNIP00000012073	ENSGALP00000018209
ENSTNIP00000018794	ENSGALP00000014878
ENSTNIP00000020092	ENSGALP00000019882
ENSTNIP00000009396	ENSGALP00000041356
ENSTNIP00000005167	ENSGALP00000041356
ENSTNIP00000006348	ENSGALP00000013781
ENSTNIP00000016316	ENSGALP00000013726
ENSTNIP00000003187	ENSGALP00000020307
ENSTNIP00000003719	ENSGALP00000020307
ENSTNIP00000011174	ENSGALP00000018675
ENSTNIP00000011717	ENSGALP00000018675
ENSTNIP00000016889	ENSGALP00000027075
ENSTNIP00000002630	ENSGALP00000008481
ENSTNIP00000013618	ENSGALP00000014663
ENSTNIP00000005469	ENSGALP00000014672
ENSTNIP00000013679	ENSGALP00000016015
ENSTNIP00000007337	ENSGALP00000025920
ENSTNIP00000012410	ENSGALP00000009133
ENSTNIP00000004170	ENSGALP00000023682
ENSTNIP00000000096	ENSGALP00000003295
ENSTNIP00000004169	ENSGALP00000018278
ENSTNIP00000019810	ENSGALP00000005914
ENSTNIP00000004172	ENSGALP00000005933
ENSTNIP00000008001	ENSGALP00000037396
ENSTNIP00000012366	ENSGALP00000009678
ENSTNIP00000005750	ENSGALP00000014673
ENSTNIP00000015048	ENSGALP00000013448
ENSTNIP00000000796	ENSGALP00000019723
ENSTNIP00000022432	ENSGALP00000011296
ENSTNIP00000016575	ENSGALP00000023592
ENSTNIP00000021248	ENSGALP00000014112
ENSTNIP00000005097	ENSGALP00000041748
ENSTNIP00000015493	ENSGALP00000010121
ENSTNIP00000006412	ENSGALP00000018337
ENSTNIP00000021220	ENSGALP00000017274
ENSTNIP00000019177	ENSGALP00000010722
ENSTNIP00000017433	ENSGALP00000041770
ENSTNIP00000006953	ENSGALP00000040940
ENSTNIP00000000410	ENSGALP00000033380
ENSTNIP00000022974	ENSGALP00000015469
ENSTNIP00000006791	ENSGALP00000011904
ENSTNIP00000015607	ENSGALP00000011904
ENSTNIP00000015045	ENSGALP00000000058
ENSTNIP00000004007	ENSGALP00000014581
ENSTNIP00000001462	ENSGALP00000018258
ENSTNIP00000013657	ENSGALP00000018258
ENSTNIP00000020379	ENSGALP00000042267
ENSTNIP00000008352	ENSGALP00000026355
ENSTNIP00000001079	ENSGALP00000026363
ENSTNIP00000016052	ENSGALP00000005166
ENSTNIP00000020615	ENSGALP00000005166
ENSTNIP00000019677	ENSGALP00000026192
ENSTNIP00000009421	ENSGALP00000010760
ENSTNIP00000013063	ENSGALP00000016984
ENSTNIP00000009402	ENSGALP00000041658
ENSTNIP00000004502	ENSGALP00000037169
ENSTNIP00000013944	ENSGALP00000018378
ENSTNIP00000010409	ENSGALP00000012308
ENSTNIP00000017707	ENSGALP00000032209
ENSTNIP00000018493	ENSGALP00000032209
ENSTNIP00000014875	ENSGALP00000011089
ENSTNIP00000013202	ENSGALP00000042413
ENSTNIP00000012018	ENSGALP00000042413
ENSTNIP00000018958	ENSGALP00000007956
ENSTNIP00000006044	ENSGALP00000020873
ENSTNIP00000023021	ENSGALP00000041496
ENSTNIP00000012426	ENSGALP00000013164
ENSTNIP00000012427	ENSGALP00000013164
ENSTNIP00000016631	ENSGALP00000012087
ENSTNIP00000010696	ENSGALP00000012087
ENSTNIP00000013315	ENSGALP00000030077
ENSTNIP00000007749	ENSGALP00000040977
ENSTNIP00000020639	ENSGALP00000013575
ENSTNIP00000019074	ENSGALP00000015542
ENSTNIP00000017165	ENSGALP00000025631
ENSTNIP00000008726	ENSGALP00000026153
ENSTNIP00000012469	ENSGALP00000038530
ENSTNIP00000005334	ENSGALP00000010290
ENSTNIP00000002104	ENSGALP00000028023
ENSTNIP00000020483	ENSGALP00000036578
ENSTNIP00000010273	ENSGALP00000043451
ENSTNIP00000020485	ENSGALP00000036574
ENSTNIP00000015355	ENSGALP00000018782
ENSTNIP00000020495	ENSGALP00000025254
ENSTNIP00000006777	ENSGALP00000040460
ENSTNIP00000018579	ENSGALP00000040460
ENSTNIP00000014347	ENSGALP00000038910
ENSTNIP00000015091	ENSGALP00000038910
ENSTNIP00000022535	ENSGALP00000020137
ENSTNIP00000013166	ENSGALP00000024720
ENSTNIP00000017385	ENSGALP00000041141
ENSTNIP00000006529	ENSGALP00000041417
ENSTNIP00000012589	ENSGALP00000041417
ENSTNIP00000019489	ENSGALP00000016518
ENSTNIP00000008351	ENSGALP00000026350
ENSTNIP00000011343	ENSGALP00000024556
ENSTNIP00000009832	ENSGALP00000040830
ENSTNIP00000011695	ENSGALP00000043176
ENSTNIP00000012507	ENSGALP00000026399
ENSTNIP00000010059	ENSGALP00000023990
ENSTNIP00000005460	ENSGALP00000040961
ENSTNIP00000020028	ENSGALP00000001914
ENSTNIP00000000589	ENSGALP00000030892
ENSTNIP00000009807	ENSGALP00000030892
ENSTNIP00000016240	ENSGALP00000025760
ENSTNIP00000018847	ENSGALP00000007523
ENSTNIP00000005351	ENSGALP00000025221
ENSTNIP00000004489	ENSGALP00000003035
ENSTNIP00000006781	ENSGALP00000043302
ENSTNIP00000019601	ENSGALP00000037618
ENSTNIP00000018159	ENSGALP00000009621
ENSTNIP00000000759	ENSGALP00000009621
ENSTNIP00000015414	ENSGALP00000042449
ENSTNIP00000000110	ENSGALP00000011148
ENSTNIP00000012771	ENSGALP00000013380
ENSTNIP00000016036	ENSGALP00000040755
ENSTNIP00000008856	ENSGALP00000010493
ENSTNIP00000017156	ENSGALP00000039384
ENSTNIP00000010967	ENSGALP00000041259
ENSTNIP00000011131	ENSGALP00000027876
ENSTNIP00000009154	ENSGALP00000002287
ENSTNIP00000009164	ENSGALP00000002287
ENSTNIP00000014948	ENSGALP00000001583
ENSTNIP00000008569	ENSGALP00000013830
ENSTNIP00000007319	ENSGALP00000016475
ENSTNIP00000007704	ENSGALP00000039646
ENSTNIP00000021294	ENSGALP00000002721
ENSTNIP00000015101	ENSGALP00000020611
ENSTNIP00000016469	ENSGALP00000007049
ENSTNIP00000009582	ENSGALP00000001317
ENSTNIP00000018175	ENSGALP00000001317
ENSTNIP00000012663	ENSGALP00000042939
ENSTNIP00000018971	ENSGALP00000008256
ENSTNIP00000015857	ENSGALP00000005438
ENSTNIP00000021291	ENSGALP00000008107
ENSTNIP00000008855	ENSGALP00000010477
ENSTNIP00000000564	ENSGALP00000002718
ENSTNIP00000004971	ENSGALP00000011876
ENSTNIP00000019862	ENSGALP00000003502
ENSTNIP00000008151	ENSGALP00000024312
ENSTNIP00000001004	ENSGALP00000024312
ENSTNIP00000005236	ENSGALP00000009724
ENSTNIP00000022156	ENSGALP00000007174
ENSTNIP00000001946	ENSGALP00000011976
ENSTNIP00000005006	ENSGALP00000011976
ENSTNIP00000000517	ENSGALP00000024855
ENSTNIP00000009610	ENSGALP00000033652
ENSTNIP00000009607	ENSGALP00000011971
ENSTNIP00000000276	ENSGALP00000033649
ENSTNIP00000011635	ENSGALP00000017858
ENSTNIP00000013963	ENSGALP00000017858
ENSTNIP00000016718	ENSGALP00000018235
ENSTNIP00000018027	ENSGALP00000027206
ENSTNIP00000011823	ENSGALP00000008699
ENSTNIP00000022878	ENSGALP00000036123
ENSTNIP00000015408	ENSGALP00000006738
ENSTNIP00000005958	ENSGALP00000024953
ENSTNIP00000013297	ENSGALP00000041666
ENSTNIP00000012416	ENSGALP00000041666
ENSTNIP00000005978	ENSGALP00000023925
ENSTNIP00000009466	ENSGALP00000024913
ENSTNIP00000009886	ENSGALP00000042630
ENSTNIP00000021184	ENSGALP00000022679
ENSTNIP00000012902	ENSGALP00000003973
ENSTNIP00000011486	ENSGALP00000039901
ENSTNIP00000013856	ENSGALP00000022198
ENSTNIP00000008963	ENSGALP00000022198
ENSTNIP00000004438	ENSGALP00000026568
ENSTNIP00000014678	ENSGALP00000004444
ENSTNIP00000012223	ENSGALP00000021570
ENSTNIP00000005888	ENSGALP00000018510
ENSTNIP00000014563	ENSGALP00000040814
ENSTNIP00000008143	ENSGALP00000040814
ENSTNIP00000001466	ENSGALP00000002373
ENSTNIP00000020628	ENSGALP00000026331
ENSTNIP00000013668	ENSGALP00000026331
ENSTNIP00000012089	ENSGALP00000003970
ENSTNIP00000015859	ENSGALP00000019842
ENSTNIP00000018329	ENSGALP00000043429
ENSTNIP00000020893	ENSGALP00000040906
ENSTNIP00000019168	ENSGALP00000000410
ENSTNIP00000011334	ENSGALP00000021743
ENSTNIP00000003806	ENSGALP00000042261
ENSTNIP00000018217	ENSGALP00000003190
ENSTNIP00000014676	ENSGALP00000000626
ENSTNIP00000012347	ENSGALP00000032471
ENSTNIP00000002910	ENSGALP00000006610
ENSTNIP00000022222	ENSGALP00000027477
ENSTNIP00000012854	ENSGALP00000027477
ENSTNIP00000011254	ENSGALP00000002224
ENSTNIP00000003138	ENSGALP00000042973
ENSTNIP00000002365	ENSGALP00000020036
ENSTNIP00000007116	ENSGALP00000006645
ENSTNIP00000007873	ENSGALP00000021021
ENSTNIP00000003073	ENSGALP00000014400
ENSTNIP00000015440	ENSGALP00000007061
ENSTNIP00000002945	ENSGALP00000009628
ENSTNIP00000010493	ENSGALP00000009628
ENSTNIP00000000060	ENSGALP00000020540
ENSTNIP00000011180	ENSGALP00000039900
ENSTNIP00000012573	ENSGALP00000026608
ENSTNIP00000014332	ENSGALP00000038626
ENSTNIP00000013368	ENSGALP00000010237
ENSTNIP00000010042	ENSGALP00000041792
ENSTNIP00000019093	ENSGALP00000041792
ENSTNIP00000015175	ENSGALP00000015662
ENSTNIP00000020582	ENSGALP00000015662
ENSTNIP00000019695	ENSGALP00000018239
ENSTNIP00000012955	ENSGALP00000005183
ENSTNIP00000017286	ENSGALP00000023854
ENSTNIP00000001272	ENSGALP00000037648
ENSTNIP00000018716	ENSGALP00000043296
ENSTNIP00000007349	ENSGALP00000002940
ENSTNIP00000008800	ENSGALP00000017594
ENSTNIP00000007586	ENSGALP00000042395
ENSTNIP00000017585	ENSGALP00000019701
ENSTNIP00000005456	ENSGALP00000004449
ENSTNIP00000013171	ENSGALP00000003605
ENSTNIP00000007796	ENSGALP00000043387
ENSTNIP00000012491	ENSGALP00000006426
ENSTNIP00000019154	ENSGALP00000014860
ENSTNIP00000009836	ENSGALP00000041570
ENSTNIP00000006621	ENSGALP00000041570
ENSTNIP00000013169	ENSGALP00000024602
ENSTNIP00000020394	ENSGALP00000041590
ENSTNIP00000019855	ENSGALP00000008547
ENSTNIP00000007224	ENSGALP00000008787
ENSTNIP00000005096	ENSGALP00000010774
ENSTNIP00000021793	ENSGALP00000010774
ENSTNIP00000021927	ENSGALP00000041595
ENSTNIP00000000313	ENSGALP00000033543
ENSTNIP00000011303	ENSGALP00000038111
ENSTNIP00000002396	ENSGALP00000038111
ENSTNIP00000011379	ENSGALP00000027991
ENSTNIP00000014388	ENSGALP00000033249
ENSTNIP00000008007	ENSGALP00000033249
ENSTNIP00000010066	ENSGALP00000000223
ENSTNIP00000018178	ENSGALP00000000223
ENSTNIP00000001223	ENSGALP00000006462
ENSTNIP00000011712	ENSGALP00000015273
ENSTNIP00000018212	ENSGALP00000003483
ENSTNIP00000021471	ENSGALP00000043309
ENSTNIP00000006003	ENSGALP00000043309
ENSTNIP00000017954	ENSGALP00000015251
ENSTNIP00000006744	ENSGALP00000015251
ENSTNIP00000010877	ENSGALP00000023027
ENSTNIP00000008480	ENSGALP00000023027
ENSTNIP00000020441	ENSGALP00000042407
ENSTNIP00000014310	ENSGALP00000013449
ENSTNIP00000008951	ENSGALP00000009483
ENSTNIP00000011694	ENSGALP00000037994
ENSTNIP00000005265	ENSGALP00000041928
ENSTNIP00000018050	ENSGALP00000027543
ENSTNIP00000007364	ENSGALP00000002864
ENSTNIP00000005574	ENSGALP00000024461
ENSTNIP00000022651	ENSGALP00000037103
ENSTNIP00000013428	ENSGALP00000027996
ENSTNIP00000004379	ENSGALP00000025409
ENSTNIP00000006105	ENSGALP00000004574
ENSTNIP00000007744	ENSGALP00000024889
ENSTNIP00000008380	ENSGALP00000018252
ENSTNIP00000016861	ENSGALP00000025261
ENSTNIP00000018912	ENSGALP00000038592
ENSTNIP00000000581	ENSGALP00000038592
ENSTNIP00000017196	ENSGALP00000001365
ENSTNIP00000009478	ENSGALP00000010316
ENSTNIP00000014487	ENSGALP00000014104
ENSTNIP00000017549	ENSGALP00000014104
ENSTNIP00000019602	ENSGALP00000032500
ENSTNIP00000022315	ENSGALP00000021356
ENSTNIP00000012118	ENSGALP00000021356
ENSTNIP00000014813	ENSGALP00000043046
ENSTNIP00000004852	ENSGALP00000027517
ENSTNIP00000017224	ENSGALP00000023080
ENSTNIP00000001031	ENSGALP00000020127
ENSTNIP00000011008	ENSGALP00000043303
ENSTNIP00000015169	ENSGALP00000006759
ENSTNIP00000015050	ENSGALP00000013398
ENSTNIP00000007650	ENSGALP00000009076
ENSTNIP00000018688	ENSGALP00000013225
ENSTNIP00000012343	ENSGALP00000020504
ENSTNIP00000009061	ENSGALP00000018059
ENSTNIP00000011001	ENSGALP00000022304
ENSTNIP00000020983	ENSGALP00000027184
ENSTNIP00000020818	ENSGALP00000022799
ENSTNIP00000020662	ENSGALP00000038332
ENSTNIP00000014553	ENSGALP00000038332
ENSTNIP00000013389	ENSGALP00000030103
ENSTNIP00000011277	ENSGALP00000030103
ENSTNIP00000006122	ENSGALP00000014475
ENSTNIP00000011641	ENSGALP00000020966
ENSTNIP00000007612	ENSGALP00000001800
ENSTNIP00000019840	ENSGALP00000001800
ENSTNIP00000016879	ENSGALP00000027001
ENSTNIP00000010691	ENSGALP00000017612
ENSTNIP00000010690	ENSGALP00000017617
ENSTNIP00000001130	ENSGALP00000023901
ENSTNIP00000005961	ENSGALP00000013735
ENSTNIP00000012480	ENSGALP00000013735
ENSTNIP00000008075	ENSGALP00000039792
ENSTNIP00000011492	ENSGALP00000039792
ENSTNIP00000016114	ENSGALP00000012145
ENSTNIP00000009833	ENSGALP00000033981
ENSTNIP00000008391	ENSGALP00000033981
ENSTNIP00000007696	ENSGALP00000005919
ENSTNIP00000019853	ENSGALP00000013389
ENSTNIP00000016462	ENSGALP00000013389
ENSTNIP00000005231	ENSGALP00000003108
ENSTNIP00000020838	ENSGALP00000018057
ENSTNIP00000004071	ENSGALP00000000236
ENSTNIP00000014797	ENSGALP00000000236
ENSTNIP00000004847	ENSGALP00000041758
ENSTNIP00000022051	ENSGALP00000005918
ENSTNIP00000021309	ENSGALP00000024844
ENSTNIP00000006568	ENSGALP00000036419
ENSTNIP00000010646	ENSGALP00000040927
ENSTNIP00000011422	ENSGALP00000025962
ENSTNIP00000010597	ENSGALP00000012668
ENSTNIP00000001510	ENSGALP00000042108
ENSTNIP00000002866	ENSGALP00000018540
ENSTNIP00000000411	ENSGALP00000018540
ENSTNIP00000019535	ENSGALP00000039156
ENSTNIP00000006780	ENSGALP00000021333
ENSTNIP00000017158	ENSGALP00000021927
ENSTNIP00000007680	ENSGALP00000008742
ENSTNIP00000018739	ENSGALP00000029846
ENSTNIP00000011826	ENSGALP00000031700
ENSTNIP00000021262	ENSGALP00000017812
ENSTNIP00000020866	ENSGALP00000016052
ENSTNIP00000020812	ENSGALP00000031452
ENSTNIP00000019885	ENSGALP00000015855
ENSTNIP00000016795	ENSGALP00000006706
ENSTNIP00000010428	ENSGALP00000041197
ENSTNIP00000019018	ENSGALP00000042434
ENSTNIP00000011550	ENSGALP00000014921
ENSTNIP00000009447	ENSGALP00000014921
ENSTNIP00000010515	ENSGALP00000016865
ENSTNIP00000017940	ENSGALP00000038490
ENSTNIP00000017046	ENSGALP00000034548
ENSTNIP00000012546	ENSGALP00000034548
ENSTNIP00000006405	ENSGALP00000006699
ENSTNIP00000022845	ENSGALP00000023943
ENSTNIP00000021960	ENSGALP00000022517
ENSTNIP00000018476	ENSGALP00000023842
ENSTNIP00000016528	ENSGALP00000042744
ENSTNIP00000007195	ENSGALP00000042744
ENSTNIP00000011522	ENSGALP00000009416
ENSTNIP00000015086	ENSGALP00000013472
ENSTNIP00000014339	ENSGALP00000021851
ENSTNIP00000005917	ENSGALP00000041822
ENSTNIP00000012692	ENSGALP00000041822
ENSTNIP00000022223	ENSGALP00000027470
ENSTNIP00000014710	ENSGALP00000027470
ENSTNIP00000001157	ENSGALP00000009065
ENSTNIP00000021828	ENSGALP00000014081
ENSTNIP00000015014	ENSGALP00000020470
ENSTNIP00000002105	ENSGALP00000020470
ENSTNIP00000019290	ENSGALP00000034313
ENSTNIP00000019257	ENSGALP00000034313
ENSTNIP00000016106	ENSGALP00000037969
ENSTNIP00000015319	ENSGALP00000037969
ENSTNIP00000014520	ENSGALP00000029689
ENSTNIP00000010470	ENSGALP00000008101
ENSTNIP00000010528	ENSGALP00000015507
ENSTNIP00000018325	ENSGALP00000015507
ENSTNIP00000013983	ENSGALP00000018364
ENSTNIP00000018752	ENSGALP00000042785
ENSTNIP00000021073	ENSGALP00000011107
ENSTNIP00000017705	ENSGALP00000011107
ENSTNIP00000013822	ENSGALP00000002102
ENSTNIP00000011693	ENSGALP00000009912
ENSTNIP00000006587	ENSGALP00000012993
ENSTNIP00000007298	ENSGALP00000033231
ENSTNIP00000014555	ENSGALP00000033231
ENSTNIP00000011236	ENSGALP00000005132
ENSTNIP00000009498	ENSGALP00000010583
ENSTNIP00000001680	ENSGALP00000004578
ENSTNIP00000011155	ENSGALP00000004578
ENSTNIP00000017756	ENSGALP00000034605
ENSTNIP00000000616	ENSGALP00000011094
ENSTNIP00000008752	ENSGALP00000020510
ENSTNIP00000012183	ENSGALP00000007047
ENSTNIP00000019113	ENSGALP00000020754
ENSTNIP00000007834	ENSGALP00000024086
ENSTNIP00000013674	ENSGALP00000015963
ENSTNIP00000015346	ENSGALP00000019298
ENSTNIP00000016368	ENSGALP00000013883
ENSTNIP00000002824	ENSGALP00000017157
ENSTNIP00000011151	ENSGALP00000019672
ENSTNIP00000013376	ENSGALP00000010319
ENSTNIP00000000423	ENSGALP00000004476
ENSTNIP00000016807	ENSGALP00000039313
ENSTNIP00000002777	ENSGALP00000013470
ENSTNIP00000021687	ENSGALP00000020073
ENSTNIP00000009476	ENSGALP00000011511
ENSTNIP00000018844	ENSGALP00000038293
ENSTNIP00000010661	ENSGALP00000004355
ENSTNIP00000000098	ENSGALP00000004355
ENSTNIP00000016779	ENSGALP00000024537
ENSTNIP00000017498	ENSGALP00000024537
ENSTNIP00000018352	ENSGALP00000007090
ENSTNIP00000012220	ENSGALP00000000945
ENSTNIP00000015072	ENSGALP00000000945
ENSTNIP00000005497	ENSGALP00000020619
ENSTNIP00000021437	ENSGALP00000012917
ENSTNIP00000014296	ENSGALP00000005357
ENSTNIP00000016990	ENSGALP00000027233
ENSTNIP00000016268	ENSGALP00000027233
ENSTNIP00000014178	ENSGALP00000009728
ENSTNIP00000010668	ENSGALP00000009265
ENSTNIP00000007894	ENSGALP00000006511
ENSTNIP00000009503	ENSGALP00000041111
ENSTNIP00000010572	ENSGALP00000000595
ENSTNIP00000005158	ENSGALP00000016137
ENSTNIP00000015935	ENSGALP00000010236
ENSTNIP00000013902	ENSGALP00000031875
ENSTNIP00000017695	ENSGALP00000043043
ENSTNIP00000018480	ENSGALP00000023865
ENSTNIP00000005346	ENSGALP00000017275
ENSTNIP00000011559	ENSGALP00000011874
ENSTNIP00000018413	ENSGALP00000018837
ENSTNIP00000011852	ENSGALP00000009617
ENSTNIP00000017986	ENSGALP00000041518
ENSTNIP00000022115	ENSGALP00000041518
ENSTNIP00000007120	ENSGALP00000041263
ENSTNIP00000022823	ENSGALP00000004458
ENSTNIP00000018674	ENSGALP00000033003
ENSTNIP00000014694	ENSGALP00000041010
ENSTNIP00000014081	ENSGALP00000016147
ENSTNIP00000019882	ENSGALP00000005756
ENSTNIP00000020719	ENSGALP00000023538
ENSTNIP00000016667	ENSGALP00000020874
ENSTNIP00000005205	ENSGALP00000005156
ENSTNIP00000012925	ENSGALP00000024275
ENSTNIP00000020923	ENSGALP00000015412
ENSTNIP00000005755	ENSGALP00000042598
ENSTNIP00000021416	ENSGALP00000041027
ENSTNIP00000007972	ENSGALP00000015296
ENSTNIP00000011784	ENSGALP00000005157
ENSTNIP00000011511	ENSGALP00000038512
ENSTNIP00000016400	ENSGALP00000004240
ENSTNIP00000011179	ENSGALP00000021351
ENSTNIP00000004831	ENSGALP00000027228
ENSTNIP00000016989	ENSGALP00000027228
ENSTNIP00000018778	ENSGALP00000019052
ENSTNIP00000019336	ENSGALP00000024751
ENSTNIP00000014761	ENSGALP00000024751
ENSTNIP00000019391	ENSGALP00000010887
ENSTNIP00000012876	ENSGALP00000010887
ENSTNIP00000006894	ENSGALP00000009030
ENSTNIP00000007289	ENSGALP00000001319
