ENSMODP00000016222	ENSCAFP00000014731
ENSMODP00000010442	ENSCAFP00000025582
ENSMODP00000016379	ENSCAFP00000019089
ENSMODP00000008107	ENSCAFP00000035150
ENSMODP00000022950	ENSCAFP00000040283
ENSMODP00000010998	ENSCAFP00000003298
ENSMODP00000011474	ENSCAFP00000002012
ENSMODP00000026122	ENSCAFP00000024137
ENSMODP00000010914	ENSCAFP00000003277
ENSMODP00000023478	ENSCAFP00000018115
ENSMODP00000015235	ENSCAFP00000015735
ENSMODP00000041284	ENSCAFP00000017392
ENSMODP00000004541	ENSCAFP00000030690
ENSMODP00000003832	ENSCAFP00000018258
ENSMODP00000006867	ENSCAFP00000025261
ENSMODP00000000179	ENSCAFP00000011525
ENSMODP00000014712	ENSCAFP00000012786
ENSMODP00000004891	ENSCAFP00000000688
ENSMODP00000006523	ENSCAFP00000028846
ENSMODP00000000959	ENSCAFP00000004119
ENSMODP00000012028	ENSCAFP00000019894
ENSMODP00000026239	ENSCAFP00000012830
ENSMODP00000029754	ENSCAFP00000041229
ENSMODP00000012160	ENSCAFP00000039048
ENSMODP00000004041	ENSCAFP00000025974
ENSMODP00000022102	ENSCAFP00000017436
ENSMODP00000025585	ENSCAFP00000000191
ENSMODP00000016495	ENSCAFP00000016481
ENSMODP00000024060	ENSCAFP00000011295
ENSMODP00000014171	ENSCAFP00000041377
ENSMODP00000003492	ENSCAFP00000011055
ENSMODP00000007623	ENSCAFP00000037675
ENSMODP00000013412	ENSCAFP00000028469
ENSMODP00000016741	ENSCAFP00000005175
ENSMODP00000037068	ENSCAFP00000000678
ENSMODP00000015720	ENSCAFP00000004185
ENSMODP00000036453	ENSCAFP00000034643
ENSMODP00000028839	ENSCAFP00000036968
ENSMODP00000024298	ENSCAFP00000010553
ENSMODP00000011108	ENSCAFP00000011914
ENSMODP00000013611	ENSCAFP00000013282
ENSMODP00000029024	ENSCAFP00000003505
ENSMODP00000002121	ENSCAFP00000012034
ENSMODP00000034167	ENSCAFP00000001467
ENSMODP00000019696	ENSCAFP00000006614
ENSMODP00000021361	ENSCAFP00000028666
ENSMODP00000014344	ENSCAFP00000022241
ENSMODP00000016010	ENSCAFP00000016043
ENSMODP00000023381	ENSCAFP00000016786
ENSMODP00000022856	ENSCAFP00000022750
ENSMODP00000029105	ENSCAFP00000030540
ENSMODP00000019240	ENSCAFP00000003011
ENSMODP00000011376	ENSCAFP00000035073
ENSMODP00000019937	ENSCAFP00000004908
ENSMODP00000013234	ENSCAFP00000019326
ENSMODP00000020886	ENSCAFP00000013243
ENSMODP00000008745	ENSCAFP00000024998
ENSMODP00000013331	ENSCAFP00000014218
ENSMODP00000017273	ENSCAFP00000042751
ENSMODP00000013863	ENSCAFP00000019792
ENSMODP00000036044	ENSCAFP00000022068
ENSMODP00000012564	ENSCAFP00000017397
ENSMODP00000032324	ENSCAFP00000021938
ENSMODP00000013900	ENSCAFP00000023624
ENSMODP00000017320	ENSCAFP00000001306
ENSMODP00000015229	ENSCAFP00000020713
ENSMODP00000002540	ENSCAFP00000023867
ENSMODP00000025996	ENSCAFP00000013047
ENSMODP00000026913	ENSCAFP00000006577
ENSMODP00000016389	ENSCAFP00000026382
ENSMODP00000000402	ENSCAFP00000009752
ENSMODP00000009650	ENSCAFP00000023231
ENSMODP00000003858	ENSCAFP00000025744
ENSMODP00000004985	ENSCAFP00000034903
ENSMODP00000011765	ENSCAFP00000007928
ENSMODP00000019074	ENSCAFP00000027825
ENSMODP00000019101	ENSCAFP00000027822
ENSMODP00000005435	ENSCAFP00000021439
ENSMODP00000016852	ENSCAFP00000018637
ENSMODP00000012769	ENSCAFP00000009013
ENSMODP00000018745	ENSCAFP00000002219
ENSMODP00000026029	ENSCAFP00000038852
ENSMODP00000003122	ENSCAFP00000036156
ENSMODP00000013464	ENSCAFP00000004138
ENSMODP00000008628	ENSCAFP00000025317
ENSMODP00000004044	ENSCAFP00000027841
ENSMODP00000002679	ENSCAFP00000029742
ENSMODP00000021412	ENSCAFP00000025289
ENSMODP00000006018	ENSCAFP00000029577
ENSMODP00000023606	ENSCAFP00000005947
ENSMODP00000004519	ENSCAFP00000021524
ENSMODP00000039634	ENSCAFP00000019815
ENSMODP00000004963	ENSCAFP00000016801
ENSMODP00000007067	ENSCAFP00000017186
ENSMODP00000021169	ENSCAFP00000019101
ENSMODP00000016775	ENSCAFP00000031903
ENSMODP00000015165	ENSCAFP00000030461
ENSMODP00000005386	ENSCAFP00000019811
ENSMODP00000007425	ENSCAFP00000029719
ENSMODP00000005390	ENSCAFP00000022462
ENSMODP00000013628	ENSCAFP00000024310
ENSMODP00000006172	ENSCAFP00000020467
ENSMODP00000026554	ENSCAFP00000011995
ENSMODP00000004039	ENSCAFP00000018117
ENSMODP00000005255	ENSCAFP00000021690
ENSMODP00000000790	ENSCAFP00000022596
ENSMODP00000012861	ENSCAFP00000008348
ENSMODP00000031750	ENSCAFP00000023182
ENSMODP00000020405	ENSCAFP00000018253
ENSMODP00000013151	ENSCAFP00000002791
ENSMODP00000013497	ENSCAFP00000022118
ENSMODP00000002193	ENSCAFP00000014825
ENSMODP00000005016	ENSCAFP00000007048
ENSMODP00000004613	ENSCAFP00000012387
ENSMODP00000021509	ENSCAFP00000017550
ENSMODP00000021545	ENSCAFP00000037940
ENSMODP00000023068	ENSCAFP00000007818
ENSMODP00000002877	ENSCAFP00000018354
ENSMODP00000008929	ENSCAFP00000024345
ENSMODP00000009518	ENSCAFP00000024930
ENSMODP00000009560	ENSCAFP00000024944
ENSMODP00000013499	ENSCAFP00000010341
ENSMODP00000034760	ENSCAFP00000010262
ENSMODP00000022870	ENSCAFP00000022958
ENSMODP00000017133	ENSCAFP00000005775
ENSMODP00000031383	ENSCAFP00000001922
ENSMODP00000009533	ENSCAFP00000000922
ENSMODP00000027887	ENSCAFP00000005678
ENSMODP00000006876	ENSCAFP00000000979
ENSMODP00000012731	ENSCAFP00000022990
ENSMODP00000032765	ENSCAFP00000021172
ENSMODP00000020580	ENSCAFP00000018541
ENSMODP00000017923	ENSCAFP00000001491
ENSMODP00000012407	ENSCAFP00000018897
ENSMODP00000012104	ENSCAFP00000002001
ENSMODP00000004582	ENSCAFP00000017225
ENSMODP00000002826	ENSCAFP00000022190
ENSMODP00000021647	ENSCAFP00000025707
ENSMODP00000007382	ENSCAFP00000029725
ENSMODP00000005455	ENSCAFP00000022577
ENSMODP00000004284	ENSCAFP00000013959
ENSMODP00000020969	ENSCAFP00000013459
ENSMODP00000006113	ENSCAFP00000012396
ENSMODP00000021538	ENSCAFP00000028861
ENSMODP00000021495	ENSCAFP00000028733
ENSMODP00000019075	ENSCAFP00000007656
ENSMODP00000019115	ENSCAFP00000004543
ENSMODP00000012345	ENSCAFP00000042734
ENSMODP00000026928	ENSCAFP00000004699
ENSMODP00000018395	ENSCAFP00000023374
ENSMODP00000013451	ENSCAFP00000033673
ENSMODP00000013531	ENSCAFP00000015628
ENSMODP00000002515	ENSCAFP00000029371
ENSMODP00000019396	ENSCAFP00000021360
ENSMODP00000011895	ENSCAFP00000018107
ENSMODP00000033297	ENSCAFP00000018097
ENSMODP00000019398	ENSCAFP00000021381
ENSMODP00000016469	ENSCAFP00000023677
ENSMODP00000016648	ENSCAFP00000020181
ENSMODP00000003179	ENSCAFP00000003057
ENSMODP00000007000	ENSCAFP00000042913
ENSMODP00000024699	ENSCAFP00000030233
ENSMODP00000003320	ENSCAFP00000041421
ENSMODP00000017619	ENSCAFP00000018683
ENSMODP00000021986	ENSCAFP00000032670
ENSMODP00000024346	ENSCAFP00000010258
ENSMODP00000022203	ENSCAFP00000005013
ENSMODP00000001020	ENSCAFP00000027366
ENSMODP00000025425	ENSCAFP00000027533
ENSMODP00000025415	ENSCAFP00000027517
ENSMODP00000039684	ENSCAFP00000037510
ENSMODP00000024177	ENSCAFP00000019445
ENSMODP00000006059	ENSCAFP00000042805
ENSMODP00000032132	ENSCAFP00000027189
ENSMODP00000022238	ENSCAFP00000001269
ENSMODP00000013827	ENSCAFP00000015344
ENSMODP00000013818	ENSCAFP00000015347
ENSMODP00000022239	ENSCAFP00000001267
ENSMODP00000006713	ENSCAFP00000007816
ENSMODP00000025150	ENSCAFP00000011829
ENSMODP00000000370	ENSCAFP00000030086
ENSMODP00000018131	ENSCAFP00000023803
ENSMODP00000017612	ENSCAFP00000001165
ENSMODP00000012865	ENSCAFP00000016128
ENSMODP00000014616	ENSCAFP00000020918
ENSMODP00000013397	ENSCAFP00000040632
ENSMODP00000015857	ENSCAFP00000025369
ENSMODP00000020847	ENSCAFP00000029086
ENSMODP00000004951	ENSCAFP00000004896
ENSMODP00000031789	ENSCAFP00000026399
ENSMODP00000035173	ENSCAFP00000023863
ENSMODP00000028502	ENSCAFP00000004789
ENSMODP00000018421	ENSCAFP00000025760
ENSMODP00000018431	ENSCAFP00000025737
ENSMODP00000012360	ENSCAFP00000010033
ENSMODP00000038839	ENSCAFP00000021003
ENSMODP00000023326	ENSCAFP00000003598
ENSMODP00000001162	ENSCAFP00000001665
ENSMODP00000007984	ENSCAFP00000030367
ENSMODP00000013862	ENSCAFP00000014716
ENSMODP00000023828	ENSCAFP00000004331
ENSMODP00000005289	ENSCAFP00000002488
ENSMODP00000005633	ENSCAFP00000028722
ENSMODP00000002353	ENSCAFP00000034674
ENSMODP00000015862	ENSCAFP00000025245
ENSMODP00000020662	ENSCAFP00000030999
ENSMODP00000001296	ENSCAFP00000013904
ENSMODP00000018114	ENSCAFP00000020942
ENSMODP00000026437	ENSCAFP00000013149
ENSMODP00000023397	ENSCAFP00000036371
ENSMODP00000003368	ENSCAFP00000016465
ENSMODP00000034629	ENSCAFP00000025949
ENSMODP00000004030	ENSCAFP00000006408
ENSMODP00000012753	ENSCAFP00000020623
ENSMODP00000005649	ENSCAFP00000021123
ENSMODP00000019186	ENSCAFP00000002566
ENSMODP00000019189	ENSCAFP00000002572
ENSMODP00000019192	ENSCAFP00000002573
ENSMODP00000015197	ENSCAFP00000015681
ENSMODP00000015236	ENSCAFP00000015697
ENSMODP00000019764	ENSCAFP00000005055
ENSMODP00000005729	ENSCAFP00000008315
ENSMODP00000003767	ENSCAFP00000010158
ENSMODP00000011064	ENSCAFP00000014368
ENSMODP00000031267	ENSCAFP00000002336
ENSMODP00000023136	ENSCAFP00000003856
ENSMODP00000001454	ENSCAFP00000001557
ENSMODP00000029199	ENSCAFP00000019049
ENSMODP00000021931	ENSCAFP00000004162
ENSMODP00000020624	ENSCAFP00000031975
ENSMODP00000020631	ENSCAFP00000031518
ENSMODP00000024509	ENSCAFP00000023110
ENSMODP00000010755	ENSCAFP00000022969
ENSMODP00000010746	ENSCAFP00000040206
ENSMODP00000000909	ENSCAFP00000003716
ENSMODP00000000902	ENSCAFP00000003708
ENSMODP00000019865	ENSCAFP00000020170
ENSMODP00000024234	ENSCAFP00000012996
ENSMODP00000016933	ENSCAFP00000027024
ENSMODP00000000835	ENSCAFP00000028252
ENSMODP00000013547	ENSCAFP00000001241
ENSMODP00000024821	ENSCAFP00000013467
ENSMODP00000021392	ENSCAFP00000006489
ENSMODP00000001044	ENSCAFP00000019378
ENSMODP00000016401	ENSCAFP00000021364
ENSMODP00000026088	ENSCAFP00000006932
ENSMODP00000002302	ENSCAFP00000014166
ENSMODP00000017574	ENSCAFP00000009996
ENSMODP00000023618	ENSCAFP00000002917
ENSMODP00000017858	ENSCAFP00000004775
ENSMODP00000012397	ENSCAFP00000010009
ENSMODP00000003704	ENSCAFP00000011007
ENSMODP00000003835	ENSCAFP00000030087
ENSMODP00000002775	ENSCAFP00000001366
ENSMODP00000022195	ENSCAFP00000001321
ENSMODP00000021585	ENSCAFP00000043077
ENSMODP00000007727	ENSCAFP00000041266
ENSMODP00000010717	ENSCAFP00000040267
ENSMODP00000005193	ENSCAFP00000029783
ENSMODP00000006815	ENSCAFP00000004485
ENSMODP00000033334	ENSCAFP00000040526
ENSMODP00000007124	ENSCAFP00000015470
ENSMODP00000020830	ENSCAFP00000007605
ENSMODP00000006054	ENSCAFP00000012421
ENSMODP00000007035	ENSCAFP00000024642
ENSMODP00000008417	ENSCAFP00000010770
ENSMODP00000015774	ENSCAFP00000024338
ENSMODP00000011325	ENSCAFP00000006187
ENSMODP00000009929	ENSCAFP00000025113
ENSMODP00000002001	ENSCAFP00000005216
ENSMODP00000013128	ENSCAFP00000017041
ENSMODP00000026470	ENSCAFP00000039810
ENSMODP00000019748	ENSCAFP00000012677
ENSMODP00000003420	ENSCAFP00000002774
ENSMODP00000016349	ENSCAFP00000020878
ENSMODP00000016685	ENSCAFP00000002131
ENSMODP00000021636	ENSCAFP00000028913
ENSMODP00000019237	ENSCAFP00000003031
ENSMODP00000015089	ENSCAFP00000024289
ENSMODP00000002032	ENSCAFP00000002647
ENSMODP00000022209	ENSCAFP00000001307
ENSMODP00000038261	ENSCAFP00000003191
ENSMODP00000023864	ENSCAFP00000026835
ENSMODP00000024626	ENSCAFP00000042339
ENSMODP00000039119	ENSCAFP00000008984
ENSMODP00000006288	ENSCAFP00000031106
ENSMODP00000001215	ENSCAFP00000005476
ENSMODP00000014063	ENSCAFP00000026616
ENSMODP00000010191	ENSCAFP00000022787
ENSMODP00000017347	ENSCAFP00000041145
ENSMODP00000020407	ENSCAFP00000018218
ENSMODP00000026357	ENSCAFP00000031887
ENSMODP00000038369	ENSCAFP00000028664
ENSMODP00000015151	ENSCAFP00000012092
ENSMODP00000022375	ENSCAFP00000014665
ENSMODP00000022379	ENSCAFP00000014661
ENSMODP00000014773	ENSCAFP00000020325
ENSMODP00000004906	ENSCAFP00000035638
ENSMODP00000008455	ENSCAFP00000010756
ENSMODP00000022788	ENSCAFP00000004620
ENSMODP00000009509	ENSCAFP00000008390
ENSMODP00000020177	ENSCAFP00000028873
ENSMODP00000015849	ENSCAFP00000025456
ENSMODP00000034626	ENSCAFP00000011411
ENSMODP00000039941	ENSCAFP00000011534
ENSMODP00000001111	ENSCAFP00000028160
ENSMODP00000018579	ENSCAFP00000002279
ENSMODP00000040020	ENSCAFP00000030020
ENSMODP00000029534	ENSCAFP00000029648
ENSMODP00000016929	ENSCAFP00000018839
ENSMODP00000006206	ENSCAFP00000019099
ENSMODP00000016948	ENSCAFP00000042471
ENSMODP00000016950	ENSCAFP00000037953
ENSMODP00000016932	ENSCAFP00000018846
ENSMODP00000038231	ENSCAFP00000035771
ENSMODP00000025666	ENSCAFP00000009132
ENSMODP00000012544	ENSCAFP00000015936
ENSMODP00000009215	ENSCAFP00000008783
ENSMODP00000023558	ENSCAFP00000003035
ENSMODP00000023531	ENSCAFP00000003076
ENSMODP00000023534	ENSCAFP00000003070
ENSMODP00000023556	ENSCAFP00000003047
ENSMODP00000019713	ENSCAFP00000031600
ENSMODP00000020264	ENSCAFP00000013874
ENSMODP00000010276	ENSCAFP00000039644
ENSMODP00000024418	ENSCAFP00000017037
ENSMODP00000022105	ENSCAFP00000001426
ENSMODP00000010406	ENSCAFP00000010681
ENSMODP00000014796	ENSCAFP00000008523
ENSMODP00000004354	ENSCAFP00000023944
ENSMODP00000018917	ENSCAFP00000021553
ENSMODP00000010074	ENSCAFP00000029683
ENSMODP00000007213	ENSCAFP00000020737
ENSMODP00000015433	ENSCAFP00000000032
ENSMODP00000020393	ENSCAFP00000025905
ENSMODP00000036263	ENSCAFP00000039613
ENSMODP00000015030	ENSCAFP00000029570
ENSMODP00000014631	ENSCAFP00000025477
ENSMODP00000017783	ENSCAFP00000024003
ENSMODP00000029570	ENSCAFP00000005367
ENSMODP00000004225	ENSCAFP00000029639
ENSMODP00000024791	ENSCAFP00000013939
ENSMODP00000017558	ENSCAFP00000018700
ENSMODP00000005034	ENSCAFP00000001191
ENSMODP00000028670	ENSCAFP00000012166
ENSMODP00000011019	ENSCAFP00000018942
ENSMODP00000023005	ENSCAFP00000023790
ENSMODP00000010206	ENSCAFP00000028708
ENSMODP00000013329	ENSCAFP00000018292
ENSMODP00000023250	ENSCAFP00000028585
ENSMODP00000007619	ENSCAFP00000028954
ENSMODP00000012713	ENSCAFP00000019683
ENSMODP00000006389	ENSCAFP00000014137
ENSMODP00000007629	ENSCAFP00000020384
ENSMODP00000012781	ENSCAFP00000009003
ENSMODP00000037511	ENSCAFP00000026323
ENSMODP00000014248	ENSCAFP00000037494
ENSMODP00000034116	ENSCAFP00000017429
ENSMODP00000023356	ENSCAFP00000036652
ENSMODP00000003753	ENSCAFP00000008824
ENSMODP00000011237	ENSCAFP00000024276
ENSMODP00000034145	ENSCAFP00000004919
ENSMODP00000034463	ENSCAFP00000005317
ENSMODP00000029074	ENSCAFP00000015478
ENSMODP00000028794	ENSCAFP00000027600
ENSMODP00000020748	ENSCAFP00000022673
ENSMODP00000001267	ENSCAFP00000015089
ENSMODP00000001616	ENSCAFP00000020233
ENSMODP00000010196	ENSCAFP00000001958
ENSMODP00000024853	ENSCAFP00000012263
ENSMODP00000028979	ENSCAFP00000006886
ENSMODP00000015585	ENSCAFP00000024133
ENSMODP00000007960	ENSCAFP00000000746
ENSMODP00000034890	ENSCAFP00000002376
ENSMODP00000008077	ENSCAFP00000013600
ENSMODP00000007927	ENSCAFP00000013729
ENSMODP00000004469	ENSCAFP00000021570
ENSMODP00000024590	ENSCAFP00000013230
ENSMODP00000021330	ENSCAFP00000025076
ENSMODP00000001502	ENSCAFP00000036551
ENSMODP00000004693	ENSCAFP00000002446
ENSMODP00000000505	ENSCAFP00000038471
ENSMODP00000004192	ENSCAFP00000002925
ENSMODP00000004169	ENSCAFP00000002924
ENSMODP00000025233	ENSCAFP00000011342
ENSMODP00000028859	ENSCAFP00000027100
ENSMODP00000019532	ENSCAFP00000010211
ENSMODP00000019523	ENSCAFP00000040184
ENSMODP00000023680	ENSCAFP00000002697
ENSMODP00000018283	ENSCAFP00000027229
ENSMODP00000035883	ENSCAFP00000038401
ENSMODP00000011235	ENSCAFP00000013877
ENSMODP00000019655	ENSCAFP00000005116
ENSMODP00000001450	ENSCAFP00000020107
ENSMODP00000023063	ENSCAFP00000003966
ENSMODP00000037216	ENSCAFP00000013583
ENSMODP00000020163	ENSCAFP00000019645
ENSMODP00000013652	ENSCAFP00000025091
ENSMODP00000037031	ENSCAFP00000004554
ENSMODP00000008363	ENSCAFP00000042713
ENSMODP00000023740	ENSCAFP00000009964
ENSMODP00000029161	ENSCAFP00000018157
ENSMODP00000005601	ENSCAFP00000016851
ENSMODP00000019802	ENSCAFP00000004942
ENSMODP00000004893	ENSCAFP00000020374
ENSMODP00000001608	ENSCAFP00000031533
ENSMODP00000035754	ENSCAFP00000015121
ENSMODP00000024714	ENSCAFP00000027678
ENSMODP00000020099	ENSCAFP00000021753
ENSMODP00000040556	ENSCAFP00000028620
ENSMODP00000022442	ENSCAFP00000020375
ENSMODP00000001836	ENSCAFP00000036831
ENSMODP00000004958	ENSCAFP00000038936
ENSMODP00000018134	ENSCAFP00000004845
ENSMODP00000017089	ENSCAFP00000000299
ENSMODP00000006025	ENSCAFP00000029873
ENSMODP00000006515	ENSCAFP00000000100
ENSMODP00000020994	ENSCAFP00000000550
ENSMODP00000011509	ENSCAFP00000009897
ENSMODP00000006215	ENSCAFP00000031869
ENSMODP00000016598	ENSCAFP00000032071
ENSMODP00000015178	ENSCAFP00000001786
ENSMODP00000011747	ENSCAFP00000038509
ENSMODP00000011985	ENSCAFP00000014184
ENSMODP00000021456	ENSCAFP00000037679
ENSMODP00000022547	ENSCAFP00000005292
ENSMODP00000025985	ENSCAFP00000013398
ENSMODP00000035244	ENSCAFP00000035883
ENSMODP00000015462	ENSCAFP00000011536
ENSMODP00000035353	ENSCAFP00000020404
ENSMODP00000009224	ENSCAFP00000003172
ENSMODP00000010677	ENSCAFP00000006427
ENSMODP00000007192	ENSCAFP00000015605
ENSMODP00000011498	ENSCAFP00000005101
ENSMODP00000033084	ENSCAFP00000024052
ENSMODP00000000673	ENSCAFP00000024306
ENSMODP00000012038	ENSCAFP00000025530
ENSMODP00000012043	ENSCAFP00000009488
ENSMODP00000025712	ENSCAFP00000023599
ENSMODP00000036164	ENSCAFP00000007651
ENSMODP00000008837	ENSCAFP00000011875
ENSMODP00000035049	ENSCAFP00000024108
ENSMODP00000011340	ENSCAFP00000010491
ENSMODP00000013890	ENSCAFP00000015277
ENSMODP00000023997	ENSCAFP00000027492
ENSMODP00000019174	ENSCAFP00000014581
ENSMODP00000006105	ENSCAFP00000035619
ENSMODP00000025395	ENSCAFP00000031240
ENSMODP00000012182	ENSCAFP00000014749
ENSMODP00000005759	ENSCAFP00000024019
ENSMODP00000038432	ENSCAFP00000031589
ENSMODP00000020495	ENSCAFP00000017479
ENSMODP00000016953	ENSCAFP00000036252
ENSMODP00000038094	ENSCAFP00000036663
ENSMODP00000025949	ENSCAFP00000013903
ENSMODP00000007186	ENSCAFP00000008996
ENSMODP00000025808	ENSCAFP00000002884
ENSMODP00000014214	ENSCAFP00000024409
ENSMODP00000011506	ENSCAFP00000007560
ENSMODP00000019642	ENSCAFP00000001057
ENSMODP00000034038	ENSCAFP00000005803
ENSMODP00000007314	ENSCAFP00000026118
ENSMODP00000000807	ENSCAFP00000028279
ENSMODP00000025533	ENSCAFP00000027873
ENSMODP00000007786	ENSCAFP00000029704
ENSMODP00000037316	ENSCAFP00000027380
ENSMODP00000009993	ENSCAFP00000040628
ENSMODP00000035575	ENSCAFP00000018734
ENSMODP00000037551	ENSCAFP00000003369
ENSMODP00000004628	ENSCAFP00000000511
ENSMODP00000039322	ENSCAFP00000040310
ENSMODP00000025647	ENSCAFP00000008964
ENSMODP00000004183	ENSCAFP00000027972
ENSMODP00000037028	ENSCAFP00000027955
ENSMODP00000025406	ENSCAFP00000027486
ENSMODP00000025394	ENSCAFP00000027458
ENSMODP00000025382	ENSCAFP00000027446
ENSMODP00000034209	ENSCAFP00000013818
ENSMODP00000000451	ENSCAFP00000021258
ENSMODP00000002643	ENSCAFP00000029749
ENSMODP00000037704	ENSCAFP00000021749
ENSMODP00000026551	ENSCAFP00000011826
ENSMODP00000010843	ENSCAFP00000010606
ENSMODP00000003741	ENSCAFP00000013783
ENSMODP00000016415	ENSCAFP00000014278
ENSMODP00000007578	ENSCAFP00000008430
ENSMODP00000034504	ENSCAFP00000017072
ENSMODP00000017159	ENSCAFP00000010647
ENSMODP00000002321	ENSCAFP00000026031
ENSMODP00000017940	ENSCAFP00000001198
ENSMODP00000015526	ENSCAFP00000011396
ENSMODP00000004828	ENSCAFP00000007003
ENSMODP00000023572	ENSCAFP00000002982
ENSMODP00000010212	ENSCAFP00000010757
ENSMODP00000011028	ENSCAFP00000010535
ENSMODP00000020372	ENSCAFP00000016804
ENSMODP00000010574	ENSCAFP00000013721
ENSMODP00000009583	ENSCAFP00000013170
ENSMODP00000026216	ENSCAFP00000014998
ENSMODP00000017759	ENSCAFP00000020477
ENSMODP00000020345	ENSCAFP00000004081
ENSMODP00000018923	ENSCAFP00000000938
ENSMODP00000033680	ENSCAFP00000026148
ENSMODP00000038197	ENSCAFP00000030253
ENSMODP00000019572	ENSCAFP00000020999
ENSMODP00000002177	ENSCAFP00000036535
ENSMODP00000011613	ENSCAFP00000005014
ENSMODP00000016140	ENSCAFP00000024021
ENSMODP00000009690	ENSCAFP00000035949
ENSMODP00000018953	ENSCAFP00000038277
ENSMODP00000002133	ENSCAFP00000024667
ENSMODP00000006650	ENSCAFP00000014770
ENSMODP00000001843	ENSCAFP00000027739
ENSMODP00000000384	ENSCAFP00000005389
ENSMODP00000014169	ENSCAFP00000012208
ENSMODP00000013383	ENSCAFP00000035961
ENSMODP00000006152	ENSCAFP00000024410
ENSMODP00000020206	ENSCAFP00000004364
ENSMODP00000023460	ENSCAFP00000003270
ENSMODP00000024048	ENSCAFP00000014759
ENSMODP00000026649	ENSCAFP00000042187
ENSMODP00000021531	ENSCAFP00000025527
ENSMODP00000009260	ENSCAFP00000003067
ENSMODP00000020260	ENSCAFP00000013933
ENSMODP00000022127	ENSCAFP00000019708
ENSMODP00000024585	ENSCAFP00000013071
ENSMODP00000022138	ENSCAFP00000019667
ENSMODP00000032312	ENSCAFP00000021775
ENSMODP00000018806	ENSCAFP00000036417
ENSMODP00000002965	ENSCAFP00000014784
ENSMODP00000002646	ENSCAFP00000012942
ENSMODP00000037712	ENSCAFP00000034803
ENSMODP00000004691	ENSCAFP00000027335
ENSMODP00000021474	ENSCAFP00000006306
ENSMODP00000022880	ENSCAFP00000023001
ENSMODP00000022440	ENSCAFP00000005627
ENSMODP00000021633	ENSCAFP00000042901
ENSMODP00000012958	ENSCAFP00000008944
ENSMODP00000006141	ENSCAFP00000024882
ENSMODP00000012151	ENSCAFP00000006746
ENSMODP00000017580	ENSCAFP00000027221
ENSMODP00000038229	ENSCAFP00000002508
ENSMODP00000013223	ENSCAFP00000037475
ENSMODP00000022092	ENSCAFP00000022735
ENSMODP00000018288	ENSCAFP00000042451
ENSMODP00000020371	ENSCAFP00000021134
