ENSMODP00000016222	ENSP00000262384
ENSMODP00000019186	ENSP00000345849
ENSMODP00000019189	ENSP00000223026
ENSMODP00000015197	ENSP00000401853
ENSMODP00000015236	ENSP00000337425
ENSMODP00000019764	ENSP00000350937
ENSMODP00000005729	ENSP00000157600
ENSMODP00000003767	ENSP00000295902
ENSMODP00000011064	ENSP00000401060
ENSMODP00000031267	ENSP00000404911
ENSMODP00000023136	ENSP00000345055
ENSMODP00000001454	ENSP00000373648
ENSMODP00000029199	ENSP00000352035
ENSMODP00000021931	ENSP00000262916
ENSMODP00000020624	ENSP00000361007
ENSMODP00000020674	ENSP00000383923
ENSMODP00000020631	ENSP00000383901
ENSMODP00000024509	ENSP00000337354
ENSMODP00000010755	ENSP00000216513
ENSMODP00000010746	ENSP00000247182
ENSMODP00000000909	ENSP00000304502
ENSMODP00000000902	ENSP00000260653
ENSMODP00000019865	ENSP00000264380
ENSMODP00000024234	ENSP00000337159
ENSMODP00000016933	ENSP00000216602
ENSMODP00000000835	ENSP00000390941
ENSMODP00000024821	ENSP00000310491
ENSMODP00000021392	ENSP00000346151
ENSMODP00000001044	ENSP00000304604
ENSMODP00000034172	ENSP00000385450
ENSMODP00000016401	ENSP00000324729
ENSMODP00000026088	ENSP00000164227
ENSMODP00000002302	ENSP00000325663
ENSMODP00000017574	ENSP00000380109
ENSMODP00000016796	ENSP00000312988
ENSMODP00000023618	ENSP00000275015
ENSMODP00000017858	ENSP00000311837
ENSMODP00000012397	ENSP00000429842
ENSMODP00000003704	ENSP00000217381
ENSMODP00000003835	ENSP00000338191
ENSMODP00000002775	ENSP00000378965
ENSMODP00000022195	ENSP00000357484
ENSMODP00000021585	ENSP00000419378
ENSMODP00000007727	ENSP00000358460
ENSMODP00000010717	ENSP00000387088
ENSMODP00000005193	ENSP00000412788
ENSMODP00000006815	ENSP00000414921
ENSMODP00000033334	ENSP00000410811
ENSMODP00000007124	ENSP00000333836
ENSMODP00000009331	ENSP00000387347
ENSMODP00000026127	ENSP00000218436
ENSMODP00000020830	ENSP00000256861
ENSMODP00000006054	ENSP00000233630
ENSMODP00000007035	ENSP00000354724
ENSMODP00000008417	ENSP00000337500
ENSMODP00000015774	ENSP00000461961
ENSMODP00000009929	ENSP00000355026
ENSMODP00000002001	ENSP00000056217
ENSMODP00000013128	ENSP00000264051
ENSMODP00000026470	ENSP00000367629
ENSMODP00000019748	ENSP00000348828
ENSMODP00000003420	ENSP00000366387
ENSMODP00000016685	ENSP00000402584
ENSMODP00000021636	ENSP00000319388
ENSMODP00000019237	ENSP00000371434
ENSMODP00000015089	ENSP00000254325
ENSMODP00000002032	ENSP00000350552
ENSMODP00000022209	ENSP00000332208
ENSMODP00000038261	ENSP00000401536
ENSMODP00000023864	ENSP00000293272
ENSMODP00000024626	ENSP00000369702
ENSMODP00000039119	ENSP00000368908
ENSMODP00000006288	ENSP00000361036
ENSMODP00000001736	ENSP00000423333
ENSMODP00000001244	ENSP00000265310
ENSMODP00000001215	ENSP00000352358
ENSMODP00000014063	ENSP00000342222
ENSMODP00000017347	ENSP00000313670
ENSMODP00000020407	ENSP00000264276
ENSMODP00000026357	ENSP00000291536
ENSMODP00000038369	ENSP00000367792
ENSMODP00000015151	ENSP00000347486
ENSMODP00000022375	ENSP00000290472
ENSMODP00000022379	ENSP00000382434
ENSMODP00000014773	ENSP00000356436
ENSMODP00000004906	ENSP00000306163
ENSMODP00000008455	ENSP00000360762
ENSMODP00000020030	ENSP00000321679
ENSMODP00000022788	ENSP00000430985
ENSMODP00000009509	ENSP00000263674
ENSMODP00000020177	ENSP00000250894
ENSMODP00000015849	ENSP00000262013
ENSMODP00000034626	ENSP00000227756
ENSMODP00000018579	ENSP00000369981
ENSMODP00000040020	ENSP00000418744
ENSMODP00000029534	ENSP00000361645
ENSMODP00000016929	ENSP00000278937
ENSMODP00000006206	ENSP00000432943
ENSMODP00000016948	ENSP00000278947
ENSMODP00000016950	ENSP00000322460
ENSMODP00000016932	ENSP00000278949
ENSMODP00000038231	ENSP00000240618
ENSMODP00000025666	ENSP00000266712
ENSMODP00000012544	ENSP00000442046
ENSMODP00000009215	ENSP00000343871
ENSMODP00000005689	ENSP00000362824
ENSMODP00000023558	ENSP00000283296
ENSMODP00000023531	ENSP00000283303
ENSMODP00000023534	ENSP00000296862
ENSMODP00000023556	ENSP00000360299
ENSMODP00000019713	ENSP00000307831
ENSMODP00000020264	ENSP00000361995
ENSMODP00000024418	ENSP00000268125
ENSMODP00000022105	ENSP00000275162
ENSMODP00000010406	ENSP00000428402
ENSMODP00000014796	ENSP00000302843
ENSMODP00000004354	ENSP00000365007
ENSMODP00000018917	ENSP00000347872
ENSMODP00000010074	ENSP00000303129
ENSMODP00000023816	ENSP00000399805
ENSMODP00000015433	ENSP00000323678
ENSMODP00000017578	ENSP00000375647
ENSMODP00000020393	ENSP00000005284
ENSMODP00000036263	ENSP00000300105
ENSMODP00000004989	ENSP00000262138
ENSMODP00000015030	ENSP00000376914
ENSMODP00000014631	ENSP00000440045
ENSMODP00000017783	ENSP00000400258
ENSMODP00000029570	ENSP00000362444
ENSMODP00000004225	ENSP00000359132
ENSMODP00000024791	ENSP00000379032
ENSMODP00000017558	ENSP00000363398
ENSMODP00000005034	ENSP00000367446
ENSMODP00000028670	ENSP00000220562
ENSMODP00000011019	ENSP00000388658
ENSMODP00000023005	ENSP00000329033
ENSMODP00000010206	ENSP00000367714
ENSMODP00000013329	ENSP00000272937
ENSMODP00000024752	ENSP00000232424
ENSMODP00000023250	ENSP00000393198
ENSMODP00000007619	ENSP00000367065
ENSMODP00000012713	ENSP00000307513
ENSMODP00000006389	ENSP00000283243
ENSMODP00000007629	ENSP00000356587
ENSMODP00000012781	ENSP00000368952
ENSMODP00000037511	ENSP00000319323
ENSMODP00000009598	ENSP00000348886
ENSMODP00000028169	ENSP00000327048
ENSMODP00000014248	ENSP00000328364
ENSMODP00000034116	ENSP00000454062
ENSMODP00000023356	ENSP00000345393
ENSMODP00000003753	ENSP00000350369
ENSMODP00000011237	ENSP00000344903
ENSMODP00000034145	ENSP00000297282
ENSMODP00000034463	ENSP00000194130
ENSMODP00000029074	ENSP00000279027
ENSMODP00000028794	ENSP00000392411
ENSMODP00000020748	ENSP00000406220
ENSMODP00000001804	ENSP00000437082
ENSMODP00000001267	ENSP00000255409
ENSMODP00000035744	ENSP00000356198
ENSMODP00000001616	ENSP00000358747
ENSMODP00000010196	ENSP00000365251
ENSMODP00000024853	ENSP00000435582
ENSMODP00000028979	ENSP00000353249
ENSMODP00000001626	ENSP00000360905
ENSMODP00000015585	ENSP00000350854
ENSMODP00000007960	ENSP00000351346
ENSMODP00000034890	ENSP00000353422
ENSMODP00000008077	ENSP00000437783
ENSMODP00000007927	ENSP00000379500
ENSMODP00000007157	ENSP00000355751
ENSMODP00000004469	ENSP00000222271
ENSMODP00000024590	ENSP00000339730
ENSMODP00000021330	ENSP00000357362
ENSMODP00000001502	ENSP00000383909
ENSMODP00000004693	ENSP00000319651
ENSMODP00000000505	ENSP00000360500
ENSMODP00000004192	ENSP00000371686
ENSMODP00000004169	ENSP00000190165
ENSMODP00000025233	ENSP00000227451
ENSMODP00000031563	ENSP00000257600
ENSMODP00000028859	ENSP00000316532
ENSMODP00000019532	ENSP00000410852
ENSMODP00000019523	ENSP00000408581
ENSMODP00000023680	ENSP00000361650
ENSMODP00000035883	ENSP00000356275
ENSMODP00000011235	ENSP00000431813
ENSMODP00000019655	ENSP00000160373
ENSMODP00000001450	ENSP00000271277
ENSMODP00000023063	ENSP00000237172
ENSMODP00000037216	ENSP00000346560
ENSMODP00000020163	ENSP00000303758
ENSMODP00000013652	ENSP00000261889
ENSMODP00000037031	ENSP00000363349
ENSMODP00000008363	ENSP00000238994
ENSMODP00000023740	ENSP00000308318
ENSMODP00000029161	ENSP00000360035
ENSMODP00000005601	ENSP00000408288
ENSMODP00000019802	ENSP00000284601
ENSMODP00000004893	ENSP00000336630
ENSMODP00000035754	ENSP00000356205
ENSMODP00000024714	ENSP00000276218
ENSMODP00000020099	ENSP00000391299
ENSMODP00000040556	ENSP00000342313
ENSMODP00000022442	ENSP00000440674
ENSMODP00000004958	ENSP00000332723
ENSMODP00000018134	ENSP00000411770
ENSMODP00000006025	ENSP00000359305
ENSMODP00000006515	ENSP00000238497
ENSMODP00000020994	ENSP00000356381
ENSMODP00000011509	ENSP00000369989
ENSMODP00000006215	ENSP00000233596
ENSMODP00000016598	ENSP00000368959
ENSMODP00000015178	ENSP00000254901
ENSMODP00000011747	ENSP00000438346
ENSMODP00000011985	ENSP00000303482
ENSMODP00000021456	ENSP00000362863
ENSMODP00000022547	ENSP00000358159
ENSMODP00000025985	ENSP00000295488
ENSMODP00000035244	ENSP00000435506
ENSMODP00000037000	ENSP00000264233
ENSMODP00000010540	ENSP00000317123
ENSMODP00000015462	ENSP00000253083
ENSMODP00000035353	ENSP00000267984
ENSMODP00000009224	ENSP00000316029
ENSMODP00000010677	ENSP00000365411
ENSMODP00000007192	ENSP00000263915
ENSMODP00000011498	ENSP00000381793
ENSMODP00000033084	ENSP00000403459
ENSMODP00000000673	ENSP00000427458
ENSMODP00000012038	ENSP00000343490
ENSMODP00000012043	ENSP00000369442
ENSMODP00000025712	ENSP00000257408
ENSMODP00000036164	ENSP00000264162
ENSMODP00000008837	ENSP00000240285
ENSMODP00000035049	ENSP00000365397
ENSMODP00000025938	ENSP00000351035
ENSMODP00000011340	ENSP00000307607
ENSMODP00000013890	ENSP00000358854
ENSMODP00000023997	ENSP00000262394
ENSMODP00000019174	ENSP00000319474
ENSMODP00000006105	ENSP00000387078
ENSMODP00000025395	ENSP00000254691
ENSMODP00000012182	ENSP00000276420
ENSMODP00000005759	ENSP00000349727
ENSMODP00000038432	ENSP00000372160
ENSMODP00000020495	ENSP00000262593
ENSMODP00000016953	ENSP00000344277
ENSMODP00000038094	ENSP00000263512
ENSMODP00000036539	ENSP00000428612
ENSMODP00000025949	ENSP00000273905
ENSMODP00000007186	ENSP00000245312
ENSMODP00000025808	ENSP00000273861
ENSMODP00000014214	ENSP00000216540
ENSMODP00000011506	ENSP00000313681
ENSMODP00000019642	ENSP00000216264
ENSMODP00000034038	ENSP00000347581
ENSMODP00000007314	ENSP00000404121
ENSMODP00000000807	ENSP00000262961
ENSMODP00000025533	ENSP00000265069
ENSMODP00000007786	ENSP00000361800
ENSMODP00000037316	ENSP00000360065
ENSMODP00000009993	ENSP00000242317
ENSMODP00000035575	ENSP00000380308
ENSMODP00000037551	ENSP00000264968
ENSMODP00000004628	ENSP00000338487
ENSMODP00000039322	ENSP00000426225
ENSMODP00000025647	ENSP00000474896
ENSMODP00000004183	ENSP00000354458
ENSMODP00000037028	ENSP00000360281
ENSMODP00000025406	ENSP00000263408
ENSMODP00000025394	ENSP00000322061
ENSMODP00000025382	ENSP00000263413
ENSMODP00000034209	ENSP00000309270
ENSMODP00000000451	ENSP00000362207
ENSMODP00000037704	ENSP00000276055
ENSMODP00000026551	ENSP00000307911
ENSMODP00000010843	ENSP00000354842
ENSMODP00000003741	ENSP00000344724
ENSMODP00000016415	ENSP00000219746
ENSMODP00000034504	ENSP00000436500
ENSMODP00000017159	ENSP00000441032
ENSMODP00000002321	ENSP00000311657
ENSMODP00000017940	ENSP00000346206
ENSMODP00000015526	ENSP00000440288
ENSMODP00000004828	ENSP00000351717
ENSMODP00000023572	ENSP00000275016
ENSMODP00000010212	ENSP00000310721
ENSMODP00000011028	ENSP00000301645
ENSMODP00000020372	ENSP00000244043
ENSMODP00000010574	ENSP00000259808
ENSMODP00000009583	ENSP00000220751
ENSMODP00000026216	ENSP00000332454
ENSMODP00000017759	ENSP00000306678
ENSMODP00000020345	ENSP00000363852
ENSMODP00000018923	ENSP00000229729
ENSMODP00000033680	ENSP00000336888
ENSMODP00000038197	ENSP00000359892
ENSMODP00000019572	ENSP00000410447
ENSMODP00000002177	ENSP00000262032
ENSMODP00000011613	ENSP00000413025
ENSMODP00000016140	ENSP00000344544
ENSMODP00000009690	ENSP00000357881
ENSMODP00000009558	ENSP00000473474
ENSMODP00000002133	ENSP00000297679
ENSMODP00000001843	ENSP00000343526
ENSMODP00000000384	ENSP00000303434
ENSMODP00000013383	ENSP00000346643
ENSMODP00000006152	ENSP00000292432
ENSMODP00000020206	ENSP00000223366
ENSMODP00000023459	ENSP00000360002
ENSMODP00000024048	ENSP00000295256
ENSMODP00000026649	ENSP00000442464
ENSMODP00000020260	ENSP00000340243
ENSMODP00000022127	ENSP00000319796
ENSMODP00000024585	ENSP00000420863
ENSMODP00000022138	ENSP00000320346
ENSMODP00000032312	ENSP00000262809
ENSMODP00000018806	ENSP00000215061
ENSMODP00000002965	ENSP00000274140
ENSMODP00000002646	ENSP00000427223
ENSMODP00000037712	ENSP00000379118
ENSMODP00000004691	ENSP00000471536
ENSMODP00000021474	ENSP00000319412
ENSMODP00000022440	ENSP00000385824
ENSMODP00000021633	ENSP00000361672
ENSMODP00000006141	ENSP00000363377
ENSMODP00000012151	ENSP00000366746
ENSMODP00000017580	ENSP00000368818
ENSMODP00000038229	ENSP00000413697
ENSMODP00000013223	ENSP00000330631
ENSMODP00000011589	ENSP00000043402
ENSMODP00000000422	ENSP00000294635
ENSMODP00000022092	ENSP00000263212
ENSMODP00000018288	ENSP00000312411
ENSMODP00000020371	ENSP00000417659
ENSMODP00000019866	ENSP00000254654
ENSMODP00000024020	ENSP00000477341
ENSMODP00000010064	ENSP00000372322
ENSMODP00000005441	ENSP00000343909
ENSMODP00000027864	ENSP00000378830
ENSMODP00000004283	ENSP00000338673
ENSMODP00000009105	ENSP00000376345
ENSMODP00000036832	ENSP00000339186
ENSMODP00000014640	ENSP00000378324
ENSMODP00000016641	ENSP00000414398
ENSMODP00000019725	ENSP00000307280
ENSMODP00000013632	ENSP00000347055
ENSMODP00000017432	ENSP00000379210
ENSMODP00000016921	ENSP00000229824
ENSMODP00000011273	ENSP00000365630
ENSMODP00000025604	ENSP00000262094
ENSMODP00000009936	ENSP00000379601
ENSMODP00000034982	ENSP00000363799
ENSMODP00000034984	ENSP00000334300
ENSMODP00000032087	ENSP00000316674
ENSMODP00000003631	ENSP00000329647
ENSMODP00000017343	ENSP00000330247
ENSMODP00000014185	ENSP00000406933
ENSMODP00000002789	ENSP00000376615
ENSMODP00000003583	ENSP00000261461
ENSMODP00000023723	ENSP00000417963
ENSMODP00000001117	ENSP00000412733
ENSMODP00000022920	ENSP00000296220
ENSMODP00000033234	ENSP00000263650
ENSMODP00000015131	ENSP00000378349
ENSMODP00000020543	ENSP00000353094
ENSMODP00000015214	ENSP00000328327
ENSMODP00000012900	ENSP00000218008
ENSMODP00000037115	ENSP00000334216
ENSMODP00000009001	ENSP00000250111
ENSMODP00000003619	ENSP00000356790
ENSMODP00000038324	ENSP00000407158
ENSMODP00000003336	ENSP00000396538
ENSMODP00000020450	ENSP00000379330
ENSMODP00000003636	ENSP00000388910
ENSMODP00000020169	ENSP00000366378
ENSMODP00000010948	ENSP00000325682
ENSMODP00000024947	ENSP00000334456
ENSMODP00000019135	ENSP00000377867
ENSMODP00000020242	ENSP00000361892
ENSMODP00000008035	ENSP00000429744
ENSMODP00000010042	ENSP00000344546
ENSMODP00000017981	ENSP00000320485
ENSMODP00000011835	ENSP00000343126
ENSMODP00000040608	ENSP00000368189
ENSMODP00000007047	ENSP00000263620
ENSMODP00000011322	ENSP00000263270
ENSMODP00000006088	ENSP00000336666
ENSMODP00000026493	ENSP00000379891
ENSMODP00000016433	ENSP00000352167
ENSMODP00000018082	ENSP00000413049
ENSMODP00000012224	ENSP00000381782
ENSMODP00000016445	ENSP00000354886
ENSMODP00000037709	ENSP00000397563
ENSMODP00000000740	ENSP00000257177
ENSMODP00000004328	ENSP00000365130
ENSMODP00000009858	ENSP00000263063
ENSMODP00000021575	ENSP00000373420
ENSMODP00000011718	ENSP00000325594
ENSMODP00000012877	ENSP00000337732
ENSMODP00000014505	ENSP00000410862
ENSMODP00000020838	ENSP00000344465
ENSMODP00000012242	ENSP00000386908
ENSMODP00000019625	ENSP00000274473
ENSMODP00000011971	ENSP00000340330
ENSMODP00000015208	ENSP00000259021
ENSMODP00000000887	ENSP00000287239
ENSMODP00000017666	ENSP00000380136
ENSMODP00000002268	ENSP00000406037
ENSMODP00000005073	ENSP00000316948
ENSMODP00000018787	ENSP00000394734
ENSMODP00000012204	ENSP00000337194
ENSMODP00000019477	ENSP00000263864
ENSMODP00000006685	ENSP00000356992
ENSMODP00000037070	ENSP00000264245
ENSMODP00000005983	ENSP00000310561
ENSMODP00000017552	ENSP00000320038
ENSMODP00000009741	ENSP00000410561
ENSMODP00000031304	ENSP00000236877
ENSMODP00000025280	ENSP00000384582
ENSMODP00000023927	ENSP00000272433
ENSMODP00000007285	ENSP00000316905
