ENSORLP00000011382	ENSGACP00000024945
ENSORLP00000020818	ENSGACP00000014142
ENSORLP00000016131	ENSGACP00000006410
ENSORLP00000021474	ENSGACP00000017305
ENSORLP00000002773	ENSGACP00000018854
ENSORLP00000018416	ENSGACP00000003269
ENSORLP00000003316	ENSGACP00000023946
ENSORLP00000024376	ENSGACP00000027538
ENSORLP00000015721	ENSGACP00000004022
ENSORLP00000005075	ENSGACP00000021129
ENSORLP00000004108	ENSGACP00000021829
ENSORLP00000005033	ENSGACP00000015846
ENSORLP00000005082	ENSGACP00000021132
ENSORLP00000004103	ENSGACP00000021827
ENSORLP00000008843	ENSGACP00000002554
ENSORLP00000003294	ENSGACP00000023370
ENSORLP00000015324	ENSGACP00000013084
ENSORLP00000011019	ENSGACP00000016079
ENSORLP00000002202	ENSGACP00000003931
ENSORLP00000003059	ENSGACP00000022235
ENSORLP00000018136	ENSGACP00000018219
ENSORLP00000018833	ENSGACP00000019166
ENSORLP00000004173	ENSGACP00000008117
ENSORLP00000002542	ENSGACP00000005801
ENSORLP00000025253	ENSGACP00000002055
ENSORLP00000018825	ENSGACP00000020184
ENSORLP00000004274	ENSGACP00000019859
ENSORLP00000015164	ENSGACP00000005941
ENSORLP00000022396	ENSGACP00000006396
ENSORLP00000016308	ENSGACP00000025436
ENSORLP00000001218	ENSGACP00000005130
ENSORLP00000024941	ENSGACP00000005832
ENSORLP00000024951	ENSGACP00000005837
ENSORLP00000009657	ENSGACP00000012209
ENSORLP00000018316	ENSGACP00000000820
ENSORLP00000007380	ENSGACP00000023196
ENSORLP00000013444	ENSGACP00000005211
ENSORLP00000018715	ENSGACP00000019610
ENSORLP00000010626	ENSGACP00000017490
ENSORLP00000012886	ENSGACP00000013771
ENSORLP00000001311	ENSGACP00000020523
ENSORLP00000013607	ENSGACP00000008747
ENSORLP00000025288	ENSGACP00000013296
ENSORLP00000020897	ENSGACP00000010880
ENSORLP00000013845	ENSGACP00000026778
ENSORLP00000013381	ENSGACP00000023174
ENSORLP00000008608	ENSGACP00000025537
ENSORLP00000010861	ENSGACP00000024826
ENSORLP00000001374	ENSGACP00000027605
ENSORLP00000014802	ENSGACP00000004758
ENSORLP00000013843	ENSGACP00000014374
ENSORLP00000011582	ENSGACP00000010091
ENSORLP00000018111	ENSGACP00000003129
ENSORLP00000005218	ENSGACP00000008282
ENSORLP00000009200	ENSGACP00000006053
ENSORLP00000013299	ENSGACP00000016640
ENSORLP00000016364	ENSGACP00000025425
ENSORLP00000016628	ENSGACP00000008872
ENSORLP00000019561	ENSGACP00000011374
ENSORLP00000011906	ENSGACP00000016639
ENSORLP00000016312	ENSGACP00000013919
ENSORLP00000003022	ENSGACP00000000216
ENSORLP00000002839	ENSGACP00000017297
ENSORLP00000022007	ENSGACP00000007495
ENSORLP00000007991	ENSGACP00000011163
ENSORLP00000007691	ENSGACP00000007430
ENSORLP00000022338	ENSGACP00000017514
ENSORLP00000014848	ENSGACP00000001068
ENSORLP00000025861	ENSGACP00000012167
ENSORLP00000021466	ENSGACP00000008702
ENSORLP00000012741	ENSGACP00000008073
ENSORLP00000016856	ENSGACP00000011673
ENSORLP00000015714	ENSGACP00000012756
ENSORLP00000011487	ENSGACP00000017036
ENSORLP00000007848	ENSGACP00000011015
ENSORLP00000011358	ENSGACP00000010177
ENSORLP00000020718	ENSGACP00000015729
ENSORLP00000025692	ENSGACP00000006616
ENSORLP00000013293	ENSGACP00000016633
ENSORLP00000017749	ENSGACP00000010104
ENSORLP00000019122	ENSGACP00000026169
ENSORLP00000019397	ENSGACP00000027541
ENSORLP00000015603	ENSGACP00000026691
ENSORLP00000007945	ENSGACP00000009975
ENSORLP00000019211	ENSGACP00000024176
ENSORLP00000002458	ENSGACP00000009650
ENSORLP00000002704	ENSGACP00000020789
ENSORLP00000011850	ENSGACP00000013293
ENSORLP00000018365	ENSGACP00000019511
ENSORLP00000020399	ENSGACP00000017434
ENSORLP00000003855	ENSGACP00000005074
ENSORLP00000008892	ENSGACP00000011768
ENSORLP00000024191	ENSGACP00000000857
ENSORLP00000017815	ENSGACP00000012964
ENSORLP00000021096	ENSGACP00000015212
ENSORLP00000021088	ENSGACP00000015220
ENSORLP00000008411	ENSGACP00000006905
ENSORLP00000002451	ENSGACP00000022342
ENSORLP00000002066	ENSGACP00000006402
ENSORLP00000006366	ENSGACP00000009977
ENSORLP00000013901	ENSGACP00000010517
ENSORLP00000001579	ENSGACP00000018068
ENSORLP00000016596	ENSGACP00000007159
ENSORLP00000012171	ENSGACP00000021629
ENSORLP00000000614	ENSGACP00000011521
ENSORLP00000000631	ENSGACP00000011518
ENSORLP00000000643	ENSGACP00000011514
ENSORLP00000004624	ENSGACP00000001686
ENSORLP00000002777	ENSGACP00000002031
ENSORLP00000003863	ENSGACP00000007653
ENSORLP00000003521	ENSGACP00000007537
ENSORLP00000024553	ENSGACP00000012152
ENSORLP00000003946	ENSGACP00000005156
ENSORLP00000010202	ENSGACP00000012277
ENSORLP00000013325	ENSGACP00000003753
ENSORLP00000018264	ENSGACP00000015987
ENSORLP00000004025	ENSGACP00000005372
ENSORLP00000002826	ENSGACP00000015965
ENSORLP00000003087	ENSGACP00000023911
ENSORLP00000008236	ENSGACP00000020863
ENSORLP00000001054	ENSGACP00000006133
ENSORLP00000015074	ENSGACP00000006436
ENSORLP00000025646	ENSGACP00000013194
ENSORLP00000008488	ENSGACP00000012821
ENSORLP00000019732	ENSGACP00000011152
ENSORLP00000019739	ENSGACP00000011147
ENSORLP00000005562	ENSGACP00000014281
ENSORLP00000008483	ENSGACP00000012830
ENSORLP00000019744	ENSGACP00000011138
ENSORLP00000012924	ENSGACP00000003663
ENSORLP00000010004	ENSGACP00000025165
ENSORLP00000004538	ENSGACP00000021908
ENSORLP00000022406	ENSGACP00000006350
ENSORLP00000019916	ENSGACP00000010944
ENSORLP00000006018	ENSGACP00000021347
ENSORLP00000007203	ENSGACP00000010572
ENSORLP00000022541	ENSGACP00000022338
ENSORLP00000021818	ENSGACP00000014096
ENSORLP00000001585	ENSGACP00000013148
ENSORLP00000009486	ENSGACP00000014174
ENSORLP00000024109	ENSGACP00000020152
ENSORLP00000020061	ENSGACP00000026379
ENSORLP00000013463	ENSGACP00000015814
ENSORLP00000009537	ENSGACP00000006309
ENSORLP00000019839	ENSGACP00000014601
ENSORLP00000018070	ENSGACP00000016075
ENSORLP00000010133	ENSGACP00000012318
ENSORLP00000013279	ENSGACP00000003744
ENSORLP00000011283	ENSGACP00000015693
ENSORLP00000008432	ENSGACP00000010283
ENSORLP00000022136	ENSGACP00000016549
ENSORLP00000019865	ENSGACP00000006709
ENSORLP00000022013	ENSGACP00000007480
ENSORLP00000021863	ENSGACP00000023702
ENSORLP00000007508	ENSGACP00000008047
ENSORLP00000019672	ENSGACP00000007682
ENSORLP00000002659	ENSGACP00000003774
ENSORLP00000013177	ENSGACP00000023139
ENSORLP00000021900	ENSGACP00000009670
ENSORLP00000012795	ENSGACP00000016283
ENSORLP00000005479	ENSGACP00000019711
ENSORLP00000025635	ENSGACP00000020139
ENSORLP00000001420	ENSGACP00000022997
ENSORLP00000001235	ENSGACP00000025901
ENSORLP00000000891	ENSGACP00000016288
ENSORLP00000000591	ENSGACP00000026639
ENSORLP00000023919	ENSGACP00000001220
ENSORLP00000017003	ENSGACP00000019660
ENSORLP00000017575	ENSGACP00000017963
ENSORLP00000014312	ENSGACP00000014611
ENSORLP00000021168	ENSGACP00000007261
ENSORLP00000008713	ENSGACP00000011199
ENSORLP00000015312	ENSGACP00000005865
ENSORLP00000006956	ENSGACP00000013405
ENSORLP00000020381	ENSGACP00000015077
ENSORLP00000021195	ENSGACP00000026557
ENSORLP00000021465	ENSGACP00000026559
ENSORLP00000002046	ENSGACP00000003636
ENSORLP00000025494	ENSGACP00000022041
ENSORLP00000013846	ENSGACP00000022171
ENSORLP00000004640	ENSGACP00000014617
ENSORLP00000003433	ENSGACP00000023960
ENSORLP00000009051	ENSGACP00000003253
ENSORLP00000008276	ENSGACP00000025585
ENSORLP00000014984	ENSGACP00000013823
ENSORLP00000005319	ENSGACP00000008541
ENSORLP00000007383	ENSGACP00000013570
ENSORLP00000016940	ENSGACP00000023733
ENSORLP00000018843	ENSGACP00000016976
ENSORLP00000014859	ENSGACP00000021564
ENSORLP00000017630	ENSGACP00000023933
ENSORLP00000011608	ENSGACP00000010018
ENSORLP00000009706	ENSGACP00000022273
ENSORLP00000014784	ENSGACP00000025098
ENSORLP00000012878	ENSGACP00000016434
ENSORLP00000013942	ENSGACP00000015645
ENSORLP00000023283	ENSGACP00000007726
ENSORLP00000004076	ENSGACP00000007964
ENSORLP00000003771	ENSGACP00000015785
ENSORLP00000001487	ENSGACP00000004902
ENSORLP00000019927	ENSGACP00000026399
ENSORLP00000020153	ENSGACP00000010158
ENSORLP00000008018	ENSGACP00000010766
ENSORLP00000024390	ENSGACP00000007266
ENSORLP00000009719	ENSGACP00000014594
ENSORLP00000014935	ENSGACP00000013836
ENSORLP00000014367	ENSGACP00000026761
ENSORLP00000009264	ENSGACP00000012065
ENSORLP00000000031	ENSGACP00000019790
ENSORLP00000019354	ENSGACP00000009184
ENSORLP00000016385	ENSGACP00000002976
ENSORLP00000010653	ENSGACP00000022477
ENSORLP00000011881	ENSGACP00000009782
ENSORLP00000004619	ENSGACP00000014610
ENSORLP00000001629	ENSGACP00000013156
ENSORLP00000012934	ENSGACP00000010870
ENSORLP00000011736	ENSGACP00000016740
ENSORLP00000021464	ENSGACP00000005835
ENSORLP00000014691	ENSGACP00000017221
ENSORLP00000025699	ENSGACP00000006610
ENSORLP00000013267	ENSGACP00000016627
ENSORLP00000014496	ENSGACP00000014035
ENSORLP00000019803	ENSGACP00000026291
ENSORLP00000009187	ENSGACP00000020724
ENSORLP00000004783	ENSGACP00000016230
ENSORLP00000018713	ENSGACP00000020231
ENSORLP00000025092	ENSGACP00000024519
ENSORLP00000008947	ENSGACP00000022977
ENSORLP00000023765	ENSGACP00000018950
ENSORLP00000007330	ENSGACP00000002710
ENSORLP00000021066	ENSGACP00000004756
ENSORLP00000017966	ENSGACP00000024428
ENSORLP00000019821	ENSGACP00000008120
ENSORLP00000011260	ENSGACP00000026911
ENSORLP00000003189	ENSGACP00000023362
ENSORLP00000015135	ENSGACP00000009622
ENSORLP00000015125	ENSGACP00000009627
ENSORLP00000011254	ENSGACP00000026912
ENSORLP00000020032	ENSGACP00000018009
ENSORLP00000018578	ENSGACP00000026115
ENSORLP00000024718	ENSGACP00000012368
ENSORLP00000016238	ENSGACP00000025431
ENSORLP00000013929	ENSGACP00000002501
ENSORLP00000007935	ENSGACP00000024161
ENSORLP00000019558	ENSGACP00000005622
ENSORLP00000019521	ENSGACP00000005650
ENSORLP00000020501	ENSGACP00000015186
ENSORLP00000005391	ENSGACP00000019007
ENSORLP00000001836	ENSGACP00000009364
ENSORLP00000002802	ENSGACP00000022283
ENSORLP00000019486	ENSGACP00000000574
ENSORLP00000007785	ENSGACP00000027323
ENSORLP00000008561	ENSGACP00000011344
ENSORLP00000003224	ENSGACP00000007394
ENSORLP00000020210	ENSGACP00000010244
ENSORLP00000003955	ENSGACP00000012004
ENSORLP00000005716	ENSGACP00000008427
ENSORLP00000009447	ENSGACP00000020774
ENSORLP00000016755	ENSGACP00000019686
ENSORLP00000025680	ENSGACP00000007393
ENSORLP00000014402	ENSGACP00000014077
ENSORLP00000017370	ENSGACP00000024486
ENSORLP00000015976	ENSGACP00000018930
ENSORLP00000010846	ENSGACP00000022151
ENSORLP00000012076	ENSGACP00000016156
ENSORLP00000014408	ENSGACP00000014072
ENSORLP00000015224	ENSGACP00000017424
ENSORLP00000007474	ENSGACP00000009823
ENSORLP00000014665	ENSGACP00000026723
ENSORLP00000019899	ENSGACP00000017760
ENSORLP00000013511	ENSGACP00000023207
ENSORLP00000000015	ENSGACP00000021575
ENSORLP00000021608	ENSGACP00000008971
ENSORLP00000014160	ENSGACP00000010715
ENSORLP00000006974	ENSGACP00000009867
ENSORLP00000013016	ENSGACP00000005055
ENSORLP00000010417	ENSGACP00000019506
ENSORLP00000020789	ENSGACP00000010781
ENSORLP00000016157	ENSGACP00000004213
ENSORLP00000004278	ENSGACP00000012507
ENSORLP00000020050	ENSGACP00000018335
ENSORLP00000008218	ENSGACP00000020593
ENSORLP00000012723	ENSGACP00000003601
ENSORLP00000007001	ENSGACP00000008287
ENSORLP00000002142	ENSGACP00000003954
ENSORLP00000014484	ENSGACP00000011110
ENSORLP00000021697	ENSGACP00000006586
ENSORLP00000017936	ENSGACP00000020347
ENSORLP00000010702	ENSGACP00000013060
ENSORLP00000008138	ENSGACP00000006976
ENSORLP00000007930	ENSGACP00000007269
ENSORLP00000019891	ENSGACP00000018118
ENSORLP00000001824	ENSGACP00000023081
ENSORLP00000002382	ENSGACP00000009773
ENSORLP00000004957	ENSGACP00000008404
ENSORLP00000004962	ENSGACP00000008408
ENSORLP00000020797	ENSGACP00000017819
ENSORLP00000005762	ENSGACP00000021075
ENSORLP00000009470	ENSGACP00000012231
ENSORLP00000006865	ENSGACP00000009734
ENSORLP00000005349	ENSGACP00000008554
ENSORLP00000013786	ENSGACP00000005364
ENSORLP00000022414	ENSGACP00000022514
ENSORLP00000004088	ENSGACP00000011957
ENSORLP00000005176	ENSGACP00000020024
ENSORLP00000005255	ENSGACP00000020028
ENSORLP00000010903	ENSGACP00000010507
ENSORLP00000003924	ENSGACP00000015759
ENSORLP00000005958	ENSGACP00000027242
ENSORLP00000015481	ENSGACP00000023978
ENSORLP00000009004	ENSGACP00000006238
ENSORLP00000023060	ENSGACP00000024077
ENSORLP00000012905	ENSGACP00000016176
ENSORLP00000012089	ENSGACP00000021087
