ENSCAFP00000014731	ENSLOCP00000009128
ENSCAFP00000004185	ENSLOCP00000008734
ENSCAFP00000001898	ENSLOCP00000014576
ENSCAFP00000019583	ENSLOCP00000005373
ENSCAFP00000034643	ENSLOCP00000004761
ENSCAFP00000010553	ENSLOCP00000006533
ENSCAFP00000011914	ENSLOCP00000019487
ENSCAFP00000013282	ENSLOCP00000001361
ENSCAFP00000012034	ENSLOCP00000007874
ENSCAFP00000001467	ENSLOCP00000013471
ENSCAFP00000028666	ENSLOCP00000001954
ENSCAFP00000022241	ENSLOCP00000002578
ENSCAFP00000016043	ENSLOCP00000017726
ENSCAFP00000016786	ENSLOCP00000009983
ENSCAFP00000018033	ENSLOCP00000012953
ENSCAFP00000030540	ENSLOCP00000021847
ENSCAFP00000035073	ENSLOCP00000005920
ENSCAFP00000013243	ENSLOCP00000019306
ENSCAFP00000014218	ENSLOCP00000006448
ENSCAFP00000042751	ENSLOCP00000011240
ENSCAFP00000022068	ENSLOCP00000006499
ENSCAFP00000021938	ENSLOCP00000001682
ENSCAFP00000023624	ENSLOCP00000017649
ENSCAFP00000001306	ENSLOCP00000013021
ENSCAFP00000020713	ENSLOCP00000006143
ENSCAFP00000023867	ENSLOCP00000004694
ENSCAFP00000013047	ENSLOCP00000008680
ENSCAFP00000026382	ENSLOCP00000018185
ENSCAFP00000009752	ENSLOCP00000020346
ENSCAFP00000007928	ENSLOCP00000005737
ENSCAFP00000027825	ENSLOCP00000018546
ENSCAFP00000021439	ENSLOCP00000016171
ENSCAFP00000018637	ENSLOCP00000006853
ENSCAFP00000004138	ENSLOCP00000019163
ENSCAFP00000025317	ENSLOCP00000009632
ENSCAFP00000027841	ENSLOCP00000010916
ENSCAFP00000029742	ENSLOCP00000003607
ENSCAFP00000016350	ENSLOCP00000011033
ENSCAFP00000005947	ENSLOCP00000003380
ENSCAFP00000021524	ENSLOCP00000002426
ENSCAFP00000019815	ENSLOCP00000012613
ENSCAFP00000016801	ENSLOCP00000016794
ENSCAFP00000031903	ENSLOCP00000010539
ENSCAFP00000030461	ENSLOCP00000006545
ENSCAFP00000036507	ENSLOCP00000000660
ENSCAFP00000019811	ENSLOCP00000012614
ENSCAFP00000029719	ENSLOCP00000003234
ENSCAFP00000022462	ENSLOCP00000010397
ENSCAFP00000020467	ENSLOCP00000017388
ENSCAFP00000011995	ENSLOCP00000009421
ENSCAFP00000018117	ENSLOCP00000010161
ENSCAFP00000021690	ENSLOCP00000016126
ENSCAFP00000022596	ENSLOCP00000005393
ENSCAFP00000023182	ENSLOCP00000004568
ENSCAFP00000018253	ENSLOCP00000012552
ENSCAFP00000002791	ENSLOCP00000012928
ENSCAFP00000014825	ENSLOCP00000014564
ENSCAFP00000007048	ENSLOCP00000011332
ENSCAFP00000017550	ENSLOCP00000009470
ENSCAFP00000037940	ENSLOCP00000012355
ENSCAFP00000007818	ENSLOCP00000019262
ENSCAFP00000018354	ENSLOCP00000011077
ENSCAFP00000024345	ENSLOCP00000017982
ENSCAFP00000010341	ENSLOCP00000011435
ENSCAFP00000010262	ENSLOCP00000003826
ENSCAFP00000001922	ENSLOCP00000011874
ENSCAFP00000005678	ENSLOCP00000021247
ENSCAFP00000000979	ENSLOCP00000018907
ENSCAFP00000022990	ENSLOCP00000018175
ENSCAFP00000018541	ENSLOCP00000011105
ENSCAFP00000001491	ENSLOCP00000012449
ENSCAFP00000018897	ENSLOCP00000014471
ENSCAFP00000002001	ENSLOCP00000014491
ENSCAFP00000017225	ENSLOCP00000016691
ENSCAFP00000025707	ENSLOCP00000010175
ENSCAFP00000001025	ENSLOCP00000010143
ENSCAFP00000029725	ENSLOCP00000003063
ENSCAFP00000022577	ENSLOCP00000003082
ENSCAFP00000013959	ENSLOCP00000010983
ENSCAFP00000013459	ENSLOCP00000018480
ENSCAFP00000007656	ENSLOCP00000001148
ENSCAFP00000004543	ENSLOCP00000007419
ENSCAFP00000042734	ENSLOCP00000007580
ENSCAFP00000004699	ENSLOCP00000003101
ENSCAFP00000023374	ENSLOCP00000015600
ENSCAFP00000033673	ENSLOCP00000014762
ENSCAFP00000015628	ENSLOCP00000014741
ENSCAFP00000018107	ENSLOCP00000016111
ENSCAFP00000041937	ENSLOCP00000004793
ENSCAFP00000018097	ENSLOCP00000016120
ENSCAFP00000021381	ENSLOCP00000011258
ENSCAFP00000020181	ENSLOCP00000008502
ENSCAFP00000003057	ENSLOCP00000010754
ENSCAFP00000042913	ENSLOCP00000005040
ENSCAFP00000030233	ENSLOCP00000004226
ENSCAFP00000007396	ENSLOCP00000005477
ENSCAFP00000041421	ENSLOCP00000020195
ENSCAFP00000007210	ENSLOCP00000019518
ENSCAFP00000018683	ENSLOCP00000005716
ENSCAFP00000001179	ENSLOCP00000003844
ENSCAFP00000032670	ENSLOCP00000016149
ENSCAFP00000005013	ENSLOCP00000003765
ENSCAFP00000027366	ENSLOCP00000008575
ENSCAFP00000027533	ENSLOCP00000015553
ENSCAFP00000037510	ENSLOCP00000002907
ENSCAFP00000019445	ENSLOCP00000015909
ENSCAFP00000042805	ENSLOCP00000019661
ENSCAFP00000027189	ENSLOCP00000012721
ENSCAFP00000015344	ENSLOCP00000014558
ENSCAFP00000015347	ENSLOCP00000014569
ENSCAFP00000001267	ENSLOCP00000021146
ENSCAFP00000036079	ENSLOCP00000004485
ENSCAFP00000007816	ENSLOCP00000015256
ENSCAFP00000011829	ENSLOCP00000001796
ENSCAFP00000030086	ENSLOCP00000006578
ENSCAFP00000023803	ENSLOCP00000010716
ENSCAFP00000001165	ENSLOCP00000012649
ENSCAFP00000016128	ENSLOCP00000015071
ENSCAFP00000020918	ENSLOCP00000018253
ENSCAFP00000040632	ENSLOCP00000007361
ENSCAFP00000003004	ENSLOCP00000013226
ENSCAFP00000025369	ENSLOCP00000013456
ENSCAFP00000029086	ENSLOCP00000008342
ENSCAFP00000004896	ENSLOCP00000002711
ENSCAFP00000026399	ENSLOCP00000014306
ENSCAFP00000004789	ENSLOCP00000019744
ENSCAFP00000010033	ENSLOCP00000007166
ENSCAFP00000021003	ENSLOCP00000002488
ENSCAFP00000003598	ENSLOCP00000021031
ENSCAFP00000030367	ENSLOCP00000020394
ENSCAFP00000014716	ENSLOCP00000001781
ENSCAFP00000004331	ENSLOCP00000014227
ENSCAFP00000002488	ENSLOCP00000003808
ENSCAFP00000028722	ENSLOCP00000001299
ENSCAFP00000034674	ENSLOCP00000004757
ENSCAFP00000030999	ENSLOCP00000014258
ENSCAFP00000013904	ENSLOCP00000013970
ENSCAFP00000009236	ENSLOCP00000018471
ENSCAFP00000036371	ENSLOCP00000011010
ENSCAFP00000016465	ENSLOCP00000005447
ENSCAFP00000025949	ENSLOCP00000017282
ENSCAFP00000019067	ENSLOCP00000008429
ENSCAFP00000021123	ENSLOCP00000016725
ENSCAFP00000002566	ENSLOCP00000019522
ENSCAFP00000002572	ENSLOCP00000019526
ENSCAFP00000002573	ENSLOCP00000019528
ENSCAFP00000015681	ENSLOCP00000017521
ENSCAFP00000015697	ENSLOCP00000017582
ENSCAFP00000008315	ENSLOCP00000016494
ENSCAFP00000014368	ENSLOCP00000001689
ENSCAFP00000001557	ENSLOCP00000015630
ENSCAFP00000004162	ENSLOCP00000001541
ENSCAFP00000023110	ENSLOCP00000007379
ENSCAFP00000006542	ENSLOCP00000018274
ENSCAFP00000022969	ENSLOCP00000012349
ENSCAFP00000040206	ENSLOCP00000012336
ENSCAFP00000003716	ENSLOCP00000020213
ENSCAFP00000003708	ENSLOCP00000020214
ENSCAFP00000012996	ENSLOCP00000006247
ENSCAFP00000027024	ENSLOCP00000012176
ENSCAFP00000028252	ENSLOCP00000004731
ENSCAFP00000018239	ENSLOCP00000009358
ENSCAFP00000001241	ENSLOCP00000020426
ENSCAFP00000013467	ENSLOCP00000006899
ENSCAFP00000006489	ENSLOCP00000019725
ENSCAFP00000021364	ENSLOCP00000014625
ENSCAFP00000014166	ENSLOCP00000011702
ENSCAFP00000002917	ENSLOCP00000020251
ENSCAFP00000004775	ENSLOCP00000020287
ENSCAFP00000010009	ENSLOCP00000007217
ENSCAFP00000011007	ENSLOCP00000000876
ENSCAFP00000030087	ENSLOCP00000003376
ENSCAFP00000001366	ENSLOCP00000011255
ENSCAFP00000001321	ENSLOCP00000021189
ENSCAFP00000043077	ENSLOCP00000002235
ENSCAFP00000041266	ENSLOCP00000018778
ENSCAFP00000004485	ENSLOCP00000003471
ENSCAFP00000040526	ENSLOCP00000022429
ENSCAFP00000015470	ENSLOCP00000021935
ENSCAFP00000042532	ENSLOCP00000022309
ENSCAFP00000035513	ENSLOCP00000017842
ENSCAFP00000012421	ENSLOCP00000002207
ENSCAFP00000024642	ENSLOCP00000011741
ENSCAFP00000010770	ENSLOCP00000000046
ENSCAFP00000024338	ENSLOCP00000016875
ENSCAFP00000006187	ENSLOCP00000014518
ENSCAFP00000025113	ENSLOCP00000017175
ENSCAFP00000005216	ENSLOCP00000010114
ENSCAFP00000017041	ENSLOCP00000011158
ENSCAFP00000039810	ENSLOCP00000006055
ENSCAFP00000020878	ENSLOCP00000013984
ENSCAFP00000002131	ENSLOCP00000021070
ENSCAFP00000028913	ENSLOCP00000001317
ENSCAFP00000042339	ENSLOCP00000007029
ENSCAFP00000036076	ENSLOCP00000016847
ENSCAFP00000008259	ENSLOCP00000015642
ENSCAFP00000022787	ENSLOCP00000010365
ENSCAFP00000041145	ENSLOCP00000011542
ENSCAFP00000018218	ENSLOCP00000012590
ENSCAFP00000031887	ENSLOCP00000004821
ENSCAFP00000028664	ENSLOCP00000006897
ENSCAFP00000020325	ENSLOCP00000001873
ENSCAFP00000010756	ENSLOCP00000000044
ENSCAFP00000004620	ENSLOCP00000020944
ENSCAFP00000008390	ENSLOCP00000007623
ENSCAFP00000028873	ENSLOCP00000002575
ENSCAFP00000025456	ENSLOCP00000013512
ENSCAFP00000002279	ENSLOCP00000014668
ENSCAFP00000030020	ENSLOCP00000006242
ENSCAFP00000029648	ENSLOCP00000007493
ENSCAFP00000018839	ENSLOCP00000009760
ENSCAFP00000041849	ENSLOCP00000005861
ENSCAFP00000019099	ENSLOCP00000001848
ENSCAFP00000042471	ENSLOCP00000008215
ENSCAFP00000037953	ENSLOCP00000008179
ENSCAFP00000009132	ENSLOCP00000020208
ENSCAFP00000008783	ENSLOCP00000003504
ENSCAFP00000013874	ENSLOCP00000002245
ENSCAFP00000039644	ENSLOCP00000005952
ENSCAFP00000017037	ENSLOCP00000017532
ENSCAFP00000001426	ENSLOCP00000021347
ENSCAFP00000010681	ENSLOCP00000006072
ENSCAFP00000008523	ENSLOCP00000015458
ENSCAFP00000021553	ENSLOCP00000014030
ENSCAFP00000029683	ENSLOCP00000004614
ENSCAFP00000020737	ENSLOCP00000011185
ENSCAFP00000000032	ENSLOCP00000004811
ENSCAFP00000039820	ENSLOCP00000016808
ENSCAFP00000025905	ENSLOCP00000006604
ENSCAFP00000039613	ENSLOCP00000013803
ENSCAFP00000037408	ENSLOCP00000000222
ENSCAFP00000029570	ENSLOCP00000001823
ENSCAFP00000024003	ENSLOCP00000021302
ENSCAFP00000005367	ENSLOCP00000002027
ENSCAFP00000022150	ENSLOCP00000013996
ENSCAFP00000029639	ENSLOCP00000000159
ENSCAFP00000013939	ENSLOCP00000003313
ENSCAFP00000018700	ENSLOCP00000005911
ENSCAFP00000001191	ENSLOCP00000003804
ENSCAFP00000012166	ENSLOCP00000019706
ENSCAFP00000018942	ENSLOCP00000009318
ENSCAFP00000003177	ENSLOCP00000013492
ENSCAFP00000023790	ENSLOCP00000020482
ENSCAFP00000018292	ENSLOCP00000005332
ENSCAFP00000028954	ENSLOCP00000006122
ENSCAFP00000019683	ENSLOCP00000013953
ENSCAFP00000014137	ENSLOCP00000010520
ENSCAFP00000020384	ENSLOCP00000011038
ENSCAFP00000009003	ENSLOCP00000010581
ENSCAFP00000026323	ENSLOCP00000018383
ENSCAFP00000037494	ENSLOCP00000022225
ENSCAFP00000008824	ENSLOCP00000015485
ENSCAFP00000024276	ENSLOCP00000001520
ENSCAFP00000004919	ENSLOCP00000021137
ENSCAFP00000005317	ENSLOCP00000019545
ENSCAFP00000015478	ENSLOCP00000002445
ENSCAFP00000027600	ENSLOCP00000006609
ENSCAFP00000022673	ENSLOCP00000007633
ENSCAFP00000001958	ENSLOCP00000002749
ENSCAFP00000012263	ENSLOCP00000007449
ENSCAFP00000004740	ENSLOCP00000020390
ENSCAFP00000006886	ENSLOCP00000019935
ENSCAFP00000002376	ENSLOCP00000012033
ENSCAFP00000013729	ENSLOCP00000002181
ENSCAFP00000021570	ENSLOCP00000001598
ENSCAFP00000013230	ENSLOCP00000007296
ENSCAFP00000036551	ENSLOCP00000011440
ENSCAFP00000002446	ENSLOCP00000015471
ENSCAFP00000038471	ENSLOCP00000007844
ENSCAFP00000002925	ENSLOCP00000014117
ENSCAFP00000011342	ENSLOCP00000008628
ENSCAFP00000031222	ENSLOCP00000008910
ENSCAFP00000027100	ENSLOCP00000002496
ENSCAFP00000024154	ENSLOCP00000009982
ENSCAFP00000002697	ENSLOCP00000019193
ENSCAFP00000027229	ENSLOCP00000016722
ENSCAFP00000038401	ENSLOCP00000011965
ENSCAFP00000013877	ENSLOCP00000005783
ENSCAFP00000005116	ENSLOCP00000019185
ENSCAFP00000020107	ENSLOCP00000012674
ENSCAFP00000003966	ENSLOCP00000020893
ENSCAFP00000013583	ENSLOCP00000011473
ENSCAFP00000019645	ENSLOCP00000005296
ENSCAFP00000004554	ENSLOCP00000003378
ENSCAFP00000042713	ENSLOCP00000007257
ENSCAFP00000009964	ENSLOCP00000021652
ENSCAFP00000018157	ENSLOCP00000022460
ENSCAFP00000004942	ENSLOCP00000019618
ENSCAFP00000020374	ENSLOCP00000008543
ENSCAFP00000015121	ENSLOCP00000013145
ENSCAFP00000027678	ENSLOCP00000021590
ENSCAFP00000021753	ENSLOCP00000008685
ENSCAFP00000028620	ENSLOCP00000008726
ENSCAFP00000020375	ENSLOCP00000010061
ENSCAFP00000038936	ENSLOCP00000011092
ENSCAFP00000004845	ENSLOCP00000021278
ENSCAFP00000026000	ENSLOCP00000010840
ENSCAFP00000029873	ENSLOCP00000012831
ENSCAFP00000000550	ENSLOCP00000021018
ENSCAFP00000009897	ENSLOCP00000000167
ENSCAFP00000031869	ENSLOCP00000000654
ENSCAFP00000032071	ENSLOCP00000011013
ENSCAFP00000001786	ENSLOCP00000011651
ENSCAFP00000038509	ENSLOCP00000013287
ENSCAFP00000037679	ENSLOCP00000008358
ENSCAFP00000005292	ENSLOCP00000020447
ENSCAFP00000013398	ENSLOCP00000014891
ENSCAFP00000035883	ENSLOCP00000002608
ENSCAFP00000011536	ENSLOCP00000006698
ENSCAFP00000020404	ENSLOCP00000015784
ENSCAFP00000006427	ENSLOCP00000009322
ENSCAFP00000015605	ENSLOCP00000010217
ENSCAFP00000024052	ENSLOCP00000015129
ENSCAFP00000025530	ENSLOCP00000017122
ENSCAFP00000009488	ENSLOCP00000010059
ENSCAFP00000023599	ENSLOCP00000016032
ENSCAFP00000007651	ENSLOCP00000011120
ENSCAFP00000011875	ENSLOCP00000004451
ENSCAFP00000024108	ENSLOCP00000003772
ENSCAFP00000015277	ENSLOCP00000014513
ENSCAFP00000027492	ENSLOCP00000005710
ENSCAFP00000014581	ENSLOCP00000004014
ENSCAFP00000035619	ENSLOCP00000007253
ENSCAFP00000024019	ENSLOCP00000014694
ENSCAFP00000031589	ENSLOCP00000004225
ENSCAFP00000017479	ENSLOCP00000003011
ENSCAFP00000036252	ENSLOCP00000007157
ENSCAFP00000036663	ENSLOCP00000021695
ENSCAFP00000013903	ENSLOCP00000005017
ENSCAFP00000008996	ENSLOCP00000010525
ENSCAFP00000002884	ENSLOCP00000017345
ENSCAFP00000024409	ENSLOCP00000015305
ENSCAFP00000007560	ENSLOCP00000016622
ENSCAFP00000001057	ENSLOCP00000019775
ENSCAFP00000005803	ENSLOCP00000020501
ENSCAFP00000026118	ENSLOCP00000010259
ENSCAFP00000028279	ENSLOCP00000004705
ENSCAFP00000027873	ENSLOCP00000008128
ENSCAFP00000027380	ENSLOCP00000008481
ENSCAFP00000040628	ENSLOCP00000005652
ENSCAFP00000018734	ENSLOCP00000009356
ENSCAFP00000003369	ENSLOCP00000001805
ENSCAFP00000000511	ENSLOCP00000014068
ENSCAFP00000008964	ENSLOCP00000020186
ENSCAFP00000027972	ENSLOCP00000010723
ENSCAFP00000027955	ENSLOCP00000010751
ENSCAFP00000027458	ENSLOCP00000009672
ENSCAFP00000027446	ENSLOCP00000009644
ENSCAFP00000013818	ENSLOCP00000021427
ENSCAFP00000021258	ENSLOCP00000006662
ENSCAFP00000021749	ENSLOCP00000021899
ENSCAFP00000010606	ENSLOCP00000006228
ENSCAFP00000013783	ENSLOCP00000000800
ENSCAFP00000014278	ENSLOCP00000008781
ENSCAFP00000017072	ENSLOCP00000002761
ENSCAFP00000010647	ENSLOCP00000005977
ENSCAFP00000026031	ENSLOCP00000018454
ENSCAFP00000011396	ENSLOCP00000006716
ENSCAFP00000007003	ENSLOCP00000011321
ENSCAFP00000002982	ENSLOCP00000019560
ENSCAFP00000010757	ENSLOCP00000005913
ENSCAFP00000016804	ENSLOCP00000003782
ENSCAFP00000013721	ENSLOCP00000016038
ENSCAFP00000013170	ENSLOCP00000012784
ENSCAFP00000014998	ENSLOCP00000005472
ENSCAFP00000020477	ENSLOCP00000005232
ENSCAFP00000004081	ENSLOCP00000014168
ENSCAFP00000000938	ENSLOCP00000000168
ENSCAFP00000026148	ENSLOCP00000010130
ENSCAFP00000030253	ENSLOCP00000004123
ENSCAFP00000036535	ENSLOCP00000009388
ENSCAFP00000005014	ENSLOCP00000005993
ENSCAFP00000024021	ENSLOCP00000016715
ENSCAFP00000038277	ENSLOCP00000002485
ENSCAFP00000024667	ENSLOCP00000004068
ENSCAFP00000014770	ENSLOCP00000013462
ENSCAFP00000027739	ENSLOCP00000007915
ENSCAFP00000005389	ENSLOCP00000010992
ENSCAFP00000012208	ENSLOCP00000018843
ENSCAFP00000035961	ENSLOCP00000011195
ENSCAFP00000024410	ENSLOCP00000015154
ENSCAFP00000004364	ENSLOCP00000018674
ENSCAFP00000014759	ENSLOCP00000015904
ENSCAFP00000013933	ENSLOCP00000002233
ENSCAFP00000001409	ENSLOCP00000021344
ENSCAFP00000019708	ENSLOCP00000017437
ENSCAFP00000013071	ENSLOCP00000007332
ENSCAFP00000019667	ENSLOCP00000017678
ENSCAFP00000014784	ENSLOCP00000016692
ENSCAFP00000012942	ENSLOCP00000009637
ENSCAFP00000034803	ENSLOCP00000011477
ENSCAFP00000035306	ENSLOCP00000010337
ENSCAFP00000027335	ENSLOCP00000005346
ENSCAFP00000023001	ENSLOCP00000020448
ENSCAFP00000005627	ENSLOCP00000020509
ENSCAFP00000042901	ENSLOCP00000003567
ENSCAFP00000008944	ENSLOCP00000010718
ENSCAFP00000024882	ENSLOCP00000018366
ENSCAFP00000006746	ENSLOCP00000013425
ENSCAFP00000002508	ENSLOCP00000014830
ENSCAFP00000037475	ENSLOCP00000007760
ENSCAFP00000041417	ENSLOCP00000009722
ENSCAFP00000021028	ENSLOCP00000002448
ENSCAFP00000022735	ENSLOCP00000002374
ENSCAFP00000042451	ENSLOCP00000001500
ENSCAFP00000021134	ENSLOCP00000004242
ENSCAFP00000042686	ENSLOCP00000011089
ENSCAFP00000014131	ENSLOCP00000016565
ENSCAFP00000025104	ENSLOCP00000018142
ENSCAFP00000017529	ENSLOCP00000017846
ENSCAFP00000028361	ENSLOCP00000007534
ENSCAFP00000029349	ENSLOCP00000003529
ENSCAFP00000042579	ENSLOCP00000016401
ENSCAFP00000020955	ENSLOCP00000018245
ENSCAFP00000019966	ENSLOCP00000004841
ENSCAFP00000020445	ENSLOCP00000005570
ENSCAFP00000020220	ENSLOCP00000016283
ENSCAFP00000000213	ENSLOCP00000004148
ENSCAFP00000023411	ENSLOCP00000016582
ENSCAFP00000004772	ENSLOCP00000019749
ENSCAFP00000010967	ENSLOCP00000018478
ENSCAFP00000018144	ENSLOCP00000020203
ENSCAFP00000002550	ENSLOCP00000020679
ENSCAFP00000018686	ENSLOCP00000003330
ENSCAFP00000008070	ENSLOCP00000002611
ENSCAFP00000015204	ENSLOCP00000001895
ENSCAFP00000026719	ENSLOCP00000018089
ENSCAFP00000033564	ENSLOCP00000002743
ENSCAFP00000033192	ENSLOCP00000017875
ENSCAFP00000031787	ENSLOCP00000014848
ENSCAFP00000027307	ENSLOCP00000018765
ENSCAFP00000009569	ENSLOCP00000012122
ENSCAFP00000024567	ENSLOCP00000016689
ENSCAFP00000011460	ENSLOCP00000009744
ENSCAFP00000022476	ENSLOCP00000010411
ENSCAFP00000016511	ENSLOCP00000007095
ENSCAFP00000030051	ENSLOCP00000004760
ENSCAFP00000017095	ENSLOCP00000002781
ENSCAFP00000008426	ENSLOCP00000007716
ENSCAFP00000014145	ENSLOCP00000009183
ENSCAFP00000000711	ENSLOCP00000011977
ENSCAFP00000018208	ENSLOCP00000004543
ENSCAFP00000026469	ENSLOCP00000008045
ENSCAFP00000029071	ENSLOCP00000002797
ENSCAFP00000006235	ENSLOCP00000018336
ENSCAFP00000020484	ENSLOCP00000017324
ENSCAFP00000023862	ENSLOCP00000004852
ENSCAFP00000040579	ENSLOCP00000014275
ENSCAFP00000036692	ENSLOCP00000014296
ENSCAFP00000026420	ENSLOCP00000014267
ENSCAFP00000017789	ENSLOCP00000017734
ENSCAFP00000013295	ENSLOCP00000007190
ENSCAFP00000005569	ENSLOCP00000007552
ENSCAFP00000005913	ENSLOCP00000008912
ENSCAFP00000020169	ENSLOCP00000011268
ENSCAFP00000004319	ENSLOCP00000014255
ENSCAFP00000000488	ENSLOCP00000015416
ENSCAFP00000020929	ENSLOCP00000014402
ENSCAFP00000024294	ENSLOCP00000010755
ENSCAFP00000000867	ENSLOCP00000010301
ENSCAFP00000041094	ENSLOCP00000004403
ENSCAFP00000024952	ENSLOCP00000016384
ENSCAFP00000008454	ENSLOCP00000019211
ENSCAFP00000024968	ENSLOCP00000007969
ENSCAFP00000013819	ENSLOCP00000014935
ENSCAFP00000018695	ENSLOCP00000001191
ENSCAFP00000039921	ENSLOCP00000003263
ENSCAFP00000000121	ENSLOCP00000004920
ENSCAFP00000017820	ENSLOCP00000011921
ENSCAFP00000024586	ENSLOCP00000013274
ENSCAFP00000014427	ENSLOCP00000015509
ENSCAFP00000015058	ENSLOCP00000000745
ENSCAFP00000010182	ENSLOCP00000007657
ENSCAFP00000018594	ENSLOCP00000019895
ENSCAFP00000041042	ENSLOCP00000004097
ENSCAFP00000017213	ENSLOCP00000002772
ENSCAFP00000018712	ENSLOCP00000001134
ENSCAFP00000015207	ENSLOCP00000011424
ENSCAFP00000017680	ENSLOCP00000007064
ENSCAFP00000014886	ENSLOCP00000011679
ENSCAFP00000010829	ENSLOCP00000018784
ENSCAFP00000008566	ENSLOCP00000015542
ENSCAFP00000014939	ENSLOCP00000015277
ENSCAFP00000041584	ENSLOCP00000012075
ENSCAFP00000017275	ENSLOCP00000000813
ENSCAFP00000026384	ENSLOCP00000009666
ENSCAFP00000037413	ENSLOCP00000017376
ENSCAFP00000009638	ENSLOCP00000013227
ENSCAFP00000007269	ENSLOCP00000014125
ENSCAFP00000026870	ENSLOCP00000001838
ENSCAFP00000007005	ENSLOCP00000002962
ENSCAFP00000030275	ENSLOCP00000010450
ENSCAFP00000004219	ENSLOCP00000006384
ENSCAFP00000014869	ENSLOCP00000016723
ENSCAFP00000014452	ENSLOCP00000004098
ENSCAFP00000006985	ENSLOCP00000005348
ENSCAFP00000019835	ENSLOCP00000001908
ENSCAFP00000038493	ENSLOCP00000002105
ENSCAFP00000039860	ENSLOCP00000003347
ENSCAFP00000036390	ENSLOCP00000020568
ENSCAFP00000003118	ENSLOCP00000013460
ENSCAFP00000024747	ENSLOCP00000003278
ENSCAFP00000027224	ENSLOCP00000017197
ENSCAFP00000015466	ENSLOCP00000002012
ENSCAFP00000023037	ENSLOCP00000017946
ENSCAFP00000005192	ENSLOCP00000019441
