ENSACAP00000005936	ENSMUSP00000034074
ENSACAP00000001319	ENSMUSP00000028426
ENSACAP00000016817	ENSMUSP00000023762
ENSACAP00000006086	ENSMUSP00000064556
ENSACAP00000016842	ENSMUSP00000021682
ENSACAP00000002959	ENSMUSP00000059666
ENSACAP00000011884	ENSMUSP00000108629
ENSACAP00000016298	ENSMUSP00000020624
ENSACAP00000000477	ENSMUSP00000101004
ENSACAP00000013286	ENSMUSP00000031841
ENSACAP00000019060	ENSMUSP00000122476
ENSACAP00000011970	ENSMUSP00000099733
ENSACAP00000012809	ENSMUSP00000005103
ENSACAP00000014097	ENSMUSP00000103815
ENSACAP00000005123	ENSMUSP00000003509
ENSACAP00000012263	ENSMUSP00000074764
ENSACAP00000016998	ENSMUSP00000032421
ENSACAP00000009190	ENSMUSP00000025477
ENSACAP00000000083	ENSMUSP00000026896
ENSACAP00000004428	ENSMUSP00000043477
ENSACAP00000002974	ENSMUSP00000100012
ENSACAP00000008599	ENSMUSP00000099434
ENSACAP00000022297	ENSMUSP00000015003
ENSACAP00000011579	ENSMUSP00000050496
ENSACAP00000004949	ENSMUSP00000048260
ENSACAP00000007355	ENSMUSP00000020339
ENSACAP00000018297	ENSMUSP00000036487
ENSACAP00000015927	ENSMUSP00000049007
ENSACAP00000014517	ENSMUSP00000085900
ENSACAP00000016774	ENSMUSP00000049346
ENSACAP00000007485	ENSMUSP00000113708
ENSACAP00000019597	ENSMUSP00000105240
ENSACAP00000021579	ENSMUSP00000073803
ENSACAP00000003327	ENSMUSP00000028349
ENSACAP00000000079	ENSMUSP00000044578
ENSACAP00000001174	ENSMUSP00000102710
ENSACAP00000009131	ENSMUSP00000032500
ENSACAP00000015338	ENSMUSP00000032715
ENSACAP00000010928	ENSMUSP00000036674
ENSACAP00000010696	ENSMUSP00000042867
ENSACAP00000005094	ENSMUSP00000104411
ENSACAP00000016443	ENSMUSP00000018630
ENSACAP00000012452	ENSMUSP00000006718
ENSACAP00000016759	ENSMUSP00000001384
ENSACAP00000005904	ENSMUSP00000024049
ENSACAP00000012803	ENSMUSP00000018382
ENSACAP00000008215	ENSMUSP00000039653
ENSACAP00000009961	ENSMUSP00000031278
ENSACAP00000013070	ENSMUSP00000105486
ENSACAP00000014146	ENSMUSP00000094528
ENSACAP00000013946	ENSMUSP00000093960
ENSACAP00000015780	ENSMUSP00000064131
ENSACAP00000002299	ENSMUSP00000047199
ENSACAP00000003195	ENSMUSP00000038015
ENSACAP00000006047	ENSMUSP00000043250
ENSACAP00000015236	ENSMUSP00000119993
ENSACAP00000009598	ENSMUSP00000068629
ENSACAP00000003471	ENSMUSP00000048978
ENSACAP00000003380	ENSMUSP00000067752
ENSACAP00000007070	ENSMUSP00000030306
ENSACAP00000007401	ENSMUSP00000034427
ENSACAP00000019189	ENSMUSP00000064775
ENSACAP00000009600	ENSMUSP00000101046
ENSACAP00000018998	ENSMUSP00000103028
ENSACAP00000000860	ENSMUSP00000095964
ENSACAP00000011711	ENSMUSP00000115260
ENSACAP00000017664	ENSMUSP00000126897
ENSACAP00000000195	ENSMUSP00000074533
ENSACAP00000010451	ENSMUSP00000044432
ENSACAP00000011342	ENSMUSP00000104459
ENSACAP00000014285	ENSMUSP00000106905
ENSACAP00000003308	ENSMUSP00000089513
ENSACAP00000014909	ENSMUSP00000044245
ENSACAP00000015061	ENSMUSP00000037532
ENSACAP00000016420	ENSMUSP00000047923
ENSACAP00000011989	ENSMUSP00000019199
ENSACAP00000004060	ENSMUSP00000004968
ENSACAP00000006661	ENSMUSP00000125373
ENSACAP00000010344	ENSMUSP00000007216
ENSACAP00000011938	ENSMUSP00000019662
ENSACAP00000008723	ENSMUSP00000117346
ENSACAP00000012354	ENSMUSP00000128446
ENSACAP00000008800	ENSMUSP00000003117
ENSACAP00000000609	ENSMUSP00000109886
ENSACAP00000015558	ENSMUSP00000030763
ENSACAP00000005087	ENSMUSP00000033380
ENSACAP00000014183	ENSMUSP00000027697
ENSACAP00000005792	ENSMUSP00000033918
ENSACAP00000010506	ENSMUSP00000033755
ENSACAP00000009513	ENSMUSP00000027538
ENSACAP00000002901	ENSMUSP00000033549
ENSACAP00000013575	ENSMUSP00000026795
ENSACAP00000012544	ENSMUSP00000033341
ENSACAP00000015144	ENSMUSP00000001562
ENSACAP00000016973	ENSMUSP00000103391
ENSACAP00000020331	ENSMUSP00000049070
ENSACAP00000007051	ENSMUSP00000082895
ENSACAP00000019114	ENSMUSP00000080832
ENSACAP00000007918	ENSMUSP00000033501
ENSACAP00000015012	ENSMUSP00000112110
ENSACAP00000004435	ENSMUSP00000102770
ENSACAP00000001475	ENSMUSP00000133245
ENSACAP00000003976	ENSMUSP00000021046
ENSACAP00000008062	ENSMUSP00000055535
ENSACAP00000001594	ENSMUSP00000025500
ENSACAP00000010217	ENSMUSP00000078971
ENSACAP00000004865	ENSMUSP00000034267
ENSACAP00000003655	ENSMUSP00000079864
ENSACAP00000011875	ENSMUSP00000138944
ENSACAP00000002928	ENSMUSP00000036830
ENSACAP00000000665	ENSMUSP00000066839
ENSACAP00000016976	ENSMUSP00000002809
ENSACAP00000009221	ENSMUSP00000031795
ENSACAP00000016880	ENSMUSP00000001595
ENSACAP00000005302	ENSMUSP00000077919
ENSACAP00000010646	ENSMUSP00000099692
ENSACAP00000007917	ENSMUSP00000020702
ENSACAP00000019641	ENSMUSP00000023807
ENSACAP00000007896	ENSMUSP00000020704
ENSACAP00000004457	ENSMUSP00000046610
ENSACAP00000015885	ENSMUSP00000017637
ENSACAP00000002426	ENSMUSP00000023601
ENSACAP00000002385	ENSMUSP00000084091
ENSACAP00000017474	ENSMUSP00000092654
ENSACAP00000005740	ENSMUSP00000036227
ENSACAP00000016069	ENSMUSP00000042410
ENSACAP00000007667	ENSMUSP00000031037
ENSACAP00000017526	ENSMUSP00000101500
ENSACAP00000010676	ENSMUSP00000035257
ENSACAP00000015435	ENSMUSP00000005952
ENSACAP00000014665	ENSMUSP00000058045
ENSACAP00000000942	ENSMUSP00000101768
ENSACAP00000009728	ENSMUSP00000126137
ENSACAP00000018182	ENSMUSP00000138230
ENSACAP00000013525	ENSMUSP00000026093
ENSACAP00000001427	ENSMUSP00000074864
ENSACAP00000015468	ENSMUSP00000002880
ENSACAP00000004783	ENSMUSP00000047278
ENSACAP00000008216	ENSMUSP00000107444
ENSACAP00000007865	ENSMUSP00000026427
ENSACAP00000018145	ENSMUSP00000105212
ENSACAP00000012872	ENSMUSP00000041897
ENSACAP00000019293	ENSMUSP00000043085
ENSACAP00000012146	ENSMUSP00000104533
ENSACAP00000009720	ENSMUSP00000046585
ENSACAP00000005943	ENSMUSP00000034822
ENSACAP00000000973	ENSMUSP00000107347
ENSACAP00000013030	ENSMUSP00000031674
ENSACAP00000001579	ENSMUSP00000053238
ENSACAP00000012461	ENSMUSP00000093141
ENSACAP00000020075	ENSMUSP00000096695
ENSACAP00000022538	ENSMUSP00000021689
ENSACAP00000005645	ENSMUSP00000077781
ENSACAP00000001953	ENSMUSP00000090987
ENSACAP00000002296	ENSMUSP00000046216
ENSACAP00000016164	ENSMUSP00000121309
ENSACAP00000006602	ENSMUSP00000027226
ENSACAP00000003200	ENSMUSP00000095025
ENSACAP00000009074	ENSMUSP00000081455
ENSACAP00000012719	ENSMUSP00000006424
ENSACAP00000001753	ENSMUSP00000030477
ENSACAP00000019903	ENSMUSP00000061390
ENSACAP00000009777	ENSMUSP00000020692
ENSACAP00000006466	ENSMUSP00000110074
ENSACAP00000013796	ENSMUSP00000099512
ENSACAP00000008206	ENSMUSP00000124473
ENSACAP00000015089	ENSMUSP00000050730
ENSACAP00000010728	ENSMUSP00000121125
ENSACAP00000010728	ENSMUSP00000002518
ENSACAP00000014628	ENSMUSP00000124131
ENSACAP00000002919	ENSMUSP00000057527
ENSACAP00000014585	ENSMUSP00000001824
ENSACAP00000014351	ENSMUSP00000128674
ENSACAP00000006234	ENSMUSP00000044231
ENSACAP00000000607	ENSMUSP00000023486
ENSACAP00000019708	ENSMUSP00000031729
ENSACAP00000018133	ENSMUSP00000031691
ENSACAP00000008532	ENSMUSP00000010191
ENSACAP00000019778	ENSMUSP00000010195
ENSACAP00000008554	ENSMUSP00000042667
ENSACAP00000004623	ENSMUSP00000032376
ENSACAP00000000901	ENSMUSP00000032093
ENSACAP00000010851	ENSMUSP00000127892
ENSACAP00000003028	ENSMUSP00000104878
ENSACAP00000010760	ENSMUSP00000063380
ENSACAP00000012326	ENSMUSP00000030376
ENSACAP00000014689	ENSMUSP00000025685
ENSACAP00000008887	ENSMUSP00000053270
ENSACAP00000006450	ENSMUSP00000036150
ENSACAP00000020101	ENSMUSP00000059026
ENSACAP00000003697	ENSMUSP00000125871
ENSACAP00000003684	ENSMUSP00000135677
ENSACAP00000016389	ENSMUSP00000021519
ENSACAP00000009858	ENSMUSP00000079926
ENSACAP00000010293	ENSMUSP00000022217
ENSACAP00000023319	ENSMUSP00000021714
ENSACAP00000008109	ENSMUSP00000102813
ENSACAP00000015543	ENSMUSP00000132008
ENSACAP00000022398	ENSMUSP00000106963
ENSACAP00000008947	ENSMUSP00000085872
ENSACAP00000000177	ENSMUSP00000112934
ENSACAP00000014072	ENSMUSP00000021467
ENSACAP00000009330	ENSMUSP00000113851
ENSACAP00000011900	ENSMUSP00000041173
ENSACAP00000019169	ENSMUSP00000042317
ENSACAP00000009364	ENSMUSP00000032815
ENSACAP00000005299	ENSMUSP00000021004
ENSACAP00000012130	ENSMUSP00000111151
ENSACAP00000008363	ENSMUSP00000105350
ENSACAP00000003188	ENSMUSP00000037324
ENSACAP00000009106	ENSMUSP00000041294
ENSACAP00000014036	ENSMUSP00000020008
ENSACAP00000017049	ENSMUSP00000007257
ENSACAP00000007060	ENSMUSP00000109904
ENSACAP00000017072	ENSMUSP00000099947
ENSACAP00000020615	ENSMUSP00000126340
ENSACAP00000000594	ENSMUSP00000122855
ENSACAP00000016644	ENSMUSP00000137256
ENSACAP00000008014	ENSMUSP00000006703
ENSACAP00000000027	ENSMUSP00000090277
ENSACAP00000000226	ENSMUSP00000041790
ENSACAP00000007738	ENSMUSP00000058730
ENSACAP00000013047	ENSMUSP00000137517
ENSACAP00000020901	ENSMUSP00000028071
ENSACAP00000003852	ENSMUSP00000104311
ENSACAP00000002156	ENSMUSP00000031750
ENSACAP00000006137	ENSMUSP00000066894
ENSACAP00000017488	ENSMUSP00000030898
ENSACAP00000006741	ENSMUSP00000078281
ENSACAP00000021155	ENSMUSP00000045432
ENSACAP00000009209	ENSMUSP00000073246
ENSACAP00000003253	ENSMUSP00000126313
ENSACAP00000015434	ENSMUSP00000005600
ENSACAP00000013959	ENSMUSP00000116057
ENSACAP00000012315	ENSMUSP00000062239
ENSACAP00000016268	ENSMUSP00000056364
ENSACAP00000021250	ENSMUSP00000124470
ENSACAP00000016001	ENSMUSP00000101903
ENSACAP00000006310	ENSMUSP00000018651
ENSACAP00000013784	ENSMUSP00000099585
ENSACAP00000001714	ENSMUSP00000053755
ENSACAP00000005065	ENSMUSP00000115718
ENSACAP00000000988	ENSMUSP00000027178
ENSACAP00000002892	ENSMUSP00000024832
ENSACAP00000002010	ENSMUSP00000070868
ENSACAP00000002775	ENSMUSP00000026172
ENSACAP00000007811	ENSMUSP00000025718
ENSACAP00000006245	ENSMUSP00000061168
ENSACAP00000014205	ENSMUSP00000041300
ENSACAP00000019837	ENSMUSP00000102647
ENSACAP00000003452	ENSMUSP00000085683
ENSACAP00000022607	ENSMUSP00000042271
ENSACAP00000001464	ENSMUSP00000003268
ENSACAP00000023161	ENSMUSP00000129800
ENSACAP00000007133	ENSMUSP00000034600
ENSACAP00000009262	ENSMUSP00000107062
ENSACAP00000007144	ENSMUSP00000126826
ENSACAP00000007166	ENSMUSP00000062507
ENSACAP00000011447	ENSMUSP00000061470
ENSACAP00000012845	ENSMUSP00000056353
ENSACAP00000003423	ENSMUSP00000046368
ENSACAP00000014516	ENSMUSP00000045409
ENSACAP00000013145	ENSMUSP00000109229
ENSACAP00000008617	ENSMUSP00000110422
ENSACAP00000016589	ENSMUSP00000128922
ENSACAP00000016612	ENSMUSP00000095845
ENSACAP00000000766	ENSMUSP00000054545
ENSACAP00000001550	ENSMUSP00000019920
ENSACAP00000005884	ENSMUSP00000035649
ENSACAP00000016217	ENSMUSP00000025208
ENSACAP00000013260	ENSMUSP00000048350
ENSACAP00000010212	ENSMUSP00000053431
ENSACAP00000011210	ENSMUSP00000029850
ENSACAP00000012546	ENSMUSP00000044945
ENSACAP00000005192	ENSMUSP00000052544
ENSACAP00000016275	ENSMUSP00000090567
ENSACAP00000011119	ENSMUSP00000047888
ENSACAP00000016014	ENSMUSP00000019290
ENSACAP00000000189	ENSMUSP00000021066
ENSACAP00000018669	ENSMUSP00000138618
ENSACAP00000002209	ENSMUSP00000082220
ENSACAP00000005144	ENSMUSP00000123078
ENSACAP00000013190	ENSMUSP00000101700
ENSACAP00000015982	ENSMUSP00000040416
ENSACAP00000003038	ENSMUSP00000029575
ENSACAP00000014062	ENSMUSP00000028623
ENSACAP00000017531	ENSMUSP00000030643
ENSACAP00000008252	ENSMUSP00000076505
ENSACAP00000016064	ENSMUSP00000122103
ENSACAP00000014392	ENSMUSP00000015256
ENSACAP00000022803	ENSMUSP00000019226
ENSACAP00000012143	ENSMUSP00000108302
ENSACAP00000020312	ENSMUSP00000084062
ENSACAP00000013258	ENSMUSP00000097909
ENSACAP00000012231	ENSMUSP00000065205
ENSACAP00000012123	ENSMUSP00000027896
ENSACAP00000015884	ENSMUSP00000107035
ENSACAP00000008258	ENSMUSP00000094076
ENSACAP00000010223	ENSMUSP00000053899
ENSACAP00000011216	ENSMUSP00000106460
ENSACAP00000011928	ENSMUSP00000031868
ENSACAP00000006406	ENSMUSP00000031713
ENSACAP00000016440	ENSMUSP00000029208
ENSACAP00000011920	ENSMUSP00000001122
ENSACAP00000011449	ENSMUSP00000021161
ENSACAP00000019094	ENSMUSP00000000573
ENSACAP00000000792	ENSMUSP00000022040
ENSACAP00000019131	ENSMUSP00000129216
ENSACAP00000010667	ENSMUSP00000110669
ENSACAP00000008195	ENSMUSP00000110348
ENSACAP00000021848	ENSMUSP00000095533
ENSACAP00000005631	ENSMUSP00000068716
ENSACAP00000000062	ENSMUSP00000091964
ENSACAP00000002993	ENSMUSP00000128308
ENSACAP00000014378	ENSMUSP00000003659
ENSACAP00000016349	ENSMUSP00000022213
ENSACAP00000002530	ENSMUSP00000029682
ENSACAP00000007132	ENSMUSP00000060441
ENSACAP00000017264	ENSMUSP00000057488
ENSACAP00000008704	ENSMUSP00000064220
ENSACAP00000002301	ENSMUSP00000059654
ENSACAP00000002289	ENSMUSP00000046812
ENSACAP00000006631	ENSMUSP00000040229
ENSACAP00000004423	ENSMUSP00000031607
ENSACAP00000019584	ENSMUSP00000044627
ENSACAP00000011435	ENSMUSP00000090528
ENSACAP00000014149	ENSMUSP00000113090
ENSACAP00000017519	ENSMUSP00000025645
ENSACAP00000018385	ENSMUSP00000006523
ENSACAP00000003635	ENSMUSP00000095169
ENSACAP00000015536	ENSMUSP00000129378
ENSACAP00000007357	ENSMUSP00000088089
ENSACAP00000017648	ENSMUSP00000076751
ENSACAP00000004922	ENSMUSP00000091329
ENSACAP00000010908	ENSMUSP00000124179
ENSACAP00000016710	ENSMUSP00000130758
ENSACAP00000006787	ENSMUSP00000034946
ENSACAP00000017120	ENSMUSP00000030080
ENSACAP00000007712	ENSMUSP00000084578
ENSACAP00000002813	ENSMUSP00000065679
ENSACAP00000003779	ENSMUSP00000061402
ENSACAP00000006029	ENSMUSP00000134894
ENSACAP00000006838	ENSMUSP00000049054
ENSACAP00000003121	ENSMUSP00000101060
ENSACAP00000004681	ENSMUSP00000043522
ENSACAP00000008548	ENSMUSP00000060591
ENSACAP00000019498	ENSMUSP00000103897
ENSACAP00000008475	ENSMUSP00000136611
ENSACAP00000017189	ENSMUSP00000125580
ENSACAP00000004745	ENSMUSP00000076383
ENSACAP00000017734	ENSMUSP00000129696
ENSACAP00000008306	ENSMUSP00000037867
ENSACAP00000016647	ENSMUSP00000049285
ENSACAP00000022446	ENSMUSP00000066239
ENSACAP00000015154	ENSMUSP00000034698
ENSACAP00000005587	ENSMUSP00000002837
ENSACAP00000006756	ENSMUSP00000132514
ENSACAP00000005040	ENSMUSP00000043210
ENSACAP00000007413	ENSMUSP00000006027
ENSACAP00000007085	ENSMUSP00000036065
ENSACAP00000011502	ENSMUSP00000112662
ENSACAP00000007942	ENSMUSP00000040162
ENSACAP00000010004	ENSMUSP00000020023
ENSACAP00000010045	ENSMUSP00000036726
ENSACAP00000020018	ENSMUSP00000041599
ENSACAP00000011328	ENSMUSP00000059757
ENSACAP00000000445	ENSMUSP00000099509
ENSACAP00000015725	ENSMUSP00000000939
ENSACAP00000011167	ENSMUSP00000091769
ENSACAP00000011157	ENSMUSP00000030187
ENSACAP00000008008	ENSMUSP00000014290
ENSACAP00000000803	ENSMUSP00000028252
ENSACAP00000008345	ENSMUSP00000091011
ENSACAP00000003367	ENSMUSP00000019456
ENSACAP00000004184	ENSMUSP00000077899
ENSACAP00000007474	ENSMUSP00000031096
ENSACAP00000001458	ENSMUSP00000073190
ENSACAP00000014103	ENSMUSP00000027053
ENSACAP00000014765	ENSMUSP00000122552
ENSACAP00000004657	ENSMUSP00000026027
ENSACAP00000008815	ENSMUSP00000017821
ENSACAP00000016406	ENSMUSP00000031309
ENSACAP00000010376	ENSMUSP00000028368
ENSACAP00000005810	ENSMUSP00000046695
ENSACAP00000011557	ENSMUSP00000095103
ENSACAP00000015652	ENSMUSP00000029075
ENSACAP00000013834	ENSMUSP00000043554
ENSACAP00000020730	ENSMUSP00000045150
ENSACAP00000002635	ENSMUSP00000023835
ENSACAP00000005008	ENSMUSP00000093229
ENSACAP00000008138	ENSMUSP00000131010
ENSACAP00000015424	ENSMUSP00000103366
ENSACAP00000004083	ENSMUSP00000038203
ENSACAP00000011214	ENSMUSP00000031977
ENSACAP00000015437	ENSMUSP00000065770
ENSACAP00000007790	ENSMUSP00000118911
ENSACAP00000011160	ENSMUSP00000102481
ENSACAP00000005916	ENSMUSP00000100028
ENSACAP00000016208	ENSMUSP00000107770
ENSACAP00000012562	ENSMUSP00000114175
ENSACAP00000010954	ENSMUSP00000135959
ENSACAP00000006737	ENSMUSP00000067541
ENSACAP00000006791	ENSMUSP00000031663
ENSACAP00000010102	ENSMUSP00000106317
ENSACAP00000014348	ENSMUSP00000064246
ENSACAP00000017517	ENSMUSP00000126281
ENSACAP00000021427	ENSMUSP00000034430
ENSACAP00000007540	ENSMUSP00000104845
ENSACAP00000009392	ENSMUSP00000040775
ENSACAP00000005518	ENSMUSP00000037966
ENSACAP00000008283	ENSMUSP00000126243
ENSACAP00000012104	ENSMUSP00000105250
ENSACAP00000004731	ENSMUSP00000130050
ENSACAP00000005602	ENSMUSP00000001280
ENSACAP00000020911	ENSMUSP00000096258
ENSACAP00000001116	ENSMUSP00000075011
ENSACAP00000006511	ENSMUSP00000025197
ENSACAP00000015474	ENSMUSP00000031354
ENSACAP00000003716	ENSMUSP00000110729
ENSACAP00000012914	ENSMUSP00000130073
ENSACAP00000016554	ENSMUSP00000037487
ENSACAP00000005262	ENSMUSP00000029905
ENSACAP00000006654	ENSMUSP00000052989
ENSACAP00000015593	ENSMUSP00000018113
ENSACAP00000017421	ENSMUSP00000129831
ENSACAP00000010082	ENSMUSP00000038833
ENSACAP00000005303	ENSMUSP00000019386
ENSACAP00000008303	ENSMUSP00000099975
ENSACAP00000010652	ENSMUSP00000007249
ENSACAP00000015583	ENSMUSP00000034697
ENSACAP00000011008	ENSMUSP00000087394
ENSACAP00000005226	ENSMUSP00000114404
ENSACAP00000008088	ENSMUSP00000075992
ENSACAP00000003237	ENSMUSP00000099430
ENSACAP00000017194	ENSMUSP00000035583
ENSACAP00000002437	ENSMUSP00000044457
ENSACAP00000007432	ENSMUSP00000036245
ENSACAP00000007692	ENSMUSP00000030289
ENSACAP00000002841	ENSMUSP00000039943
ENSACAP00000003050	ENSMUSP00000082754
ENSACAP00000005799	ENSMUSP00000070554
ENSACAP00000005716	ENSMUSP00000000642
ENSACAP00000009466	ENSMUSP00000020277
ENSACAP00000006764	ENSMUSP00000051215
ENSACAP00000011676	ENSMUSP00000099984
ENSACAP00000010363	ENSMUSP00000062920
ENSACAP00000016592	ENSMUSP00000017851
ENSACAP00000001387	ENSMUSP00000020027
ENSACAP00000004700	ENSMUSP00000051261
ENSACAP00000016253	ENSMUSP00000047547
ENSACAP00000010516	ENSMUSP00000091163
ENSACAP00000002693	ENSMUSP00000087694
ENSACAP00000005027	ENSMUSP00000105884
ENSACAP00000020603	ENSMUSP00000098594
ENSACAP00000002664	ENSMUSP00000099976
ENSACAP00000000234	ENSMUSP00000099716
ENSACAP00000016353	ENSMUSP00000055308
ENSACAP00000014973	ENSMUSP00000059420
ENSACAP00000005221	ENSMUSP00000100025
ENSACAP00000009754	ENSMUSP00000099744
ENSACAP00000021507	ENSMUSP00000099572
ENSACAP00000018980	ENSMUSP00000062924
ENSACAP00000007124	ENSMUSP00000057725
ENSACAP00000017651	ENSMUSP00000056313
ENSACAP00000018027	ENSMUSP00000053644
ENSACAP00000022709	ENSMUSP00000053644
ENSACAP00000021076	ENSMUSP00000053644
ENSACAP00000001435	ENSMUSP00000027373
ENSACAP00000010853	ENSMUSP00000061278
ENSACAP00000020401	ENSMUSP00000029355
ENSACAP00000006453	ENSMUSP00000027534
ENSACAP00000012667	ENSMUSP00000041395
ENSACAP00000020519	ENSMUSP00000068197
ENSACAP00000012381	ENSMUSP00000006851
ENSACAP00000004402	ENSMUSP00000101225
ENSACAP00000016922	ENSMUSP00000045527
ENSACAP00000006419	ENSMUSP00000021090
ENSACAP00000007282	ENSMUSP00000046532
ENSACAP00000005918	ENSMUSP00000070413
ENSACAP00000008890	ENSMUSP00000126828
ENSACAP00000010473	ENSMUSP00000027151
ENSACAP00000021421	ENSMUSP00000026428
ENSACAP00000005023	ENSMUSP00000078715
ENSACAP00000016397	ENSMUSP00000085253
ENSACAP00000002138	ENSMUSP00000062771
ENSACAP00000008651	ENSMUSP00000114094
ENSACAP00000006753	ENSMUSP00000139310
ENSACAP00000001891	ENSMUSP00000000137
ENSACAP00000003485	ENSMUSP00000092692
ENSACAP00000006956	ENSMUSP00000087680
ENSACAP00000016035	ENSMUSP00000096994
ENSACAP00000012239	ENSMUSP00000047126
ENSACAP00000022406	ENSMUSP00000070726
ENSACAP00000005328	ENSMUSP00000002839
ENSACAP00000007568	ENSMUSP00000124370
ENSACAP00000009697	ENSMUSP00000039632
ENSACAP00000014333	ENSMUSP00000038013
ENSACAP00000000069	ENSMUSP00000020411
ENSACAP00000011496	ENSMUSP00000109915
ENSACAP00000011764	ENSMUSP00000033805
ENSACAP00000005420	ENSMUSP00000115813
ENSACAP00000009596	ENSMUSP00000122395
ENSACAP00000013561	ENSMUSP00000057416
ENSACAP00000003677	ENSMUSP00000016471
ENSACAP00000014160	ENSMUSP00000047353
ENSACAP00000004990	ENSMUSP00000034983
ENSACAP00000010477	ENSMUSP00000027863
ENSACAP00000010901	ENSMUSP00000138773
ENSACAP00000004163	ENSMUSP00000102366
ENSACAP00000003541	ENSMUSP00000127784
ENSACAP00000012873	ENSMUSP00000074198
ENSACAP00000009101	ENSMUSP00000024179
ENSACAP00000009314	ENSMUSP00000033444
ENSACAP00000001074	ENSMUSP00000027498
ENSACAP00000011982	ENSMUSP00000018353
ENSACAP00000015922	ENSMUSP00000018476
ENSACAP00000005063	ENSMUSP00000111463
ENSACAP00000016351	ENSMUSP00000101517
ENSACAP00000014875	ENSMUSP00000130173
ENSACAP00000021025	ENSMUSP00000127678
ENSACAP00000011452	ENSMUSP00000083281
ENSACAP00000004483	ENSMUSP00000125268
ENSACAP00000022711	ENSMUSP00000021693
ENSACAP00000001127	ENSMUSP00000021971
ENSACAP00000012621	ENSMUSP00000025732
ENSACAP00000013194	ENSMUSP00000050329
ENSACAP00000011919	ENSMUSP00000035222
ENSACAP00000016452	ENSMUSP00000048124
ENSACAP00000008110	ENSMUSP00000044836
ENSACAP00000000313	ENSMUSP00000071623
ENSACAP00000007345	ENSMUSP00000025077
ENSACAP00000010090	ENSMUSP00000113429
ENSACAP00000012660	ENSMUSP00000031229
ENSACAP00000016181	ENSMUSP00000020643
ENSACAP00000017024	ENSMUSP00000006750
ENSACAP00000014873	ENSMUSP00000133474
ENSACAP00000002634	ENSMUSP00000075174
ENSACAP00000010493	ENSMUSP00000012161
ENSACAP00000008731	ENSMUSP00000109271
ENSACAP00000004991	ENSMUSP00000103362
ENSACAP00000008638	ENSMUSP00000138377
ENSACAP00000012299	ENSMUSP00000038181
ENSACAP00000006585	ENSMUSP00000033070
ENSACAP00000002580	ENSMUSP00000113390
ENSACAP00000016562	ENSMUSP00000090820
ENSACAP00000016745	ENSMUSP00000034868
ENSACAP00000017382	ENSMUSP00000077019
