ENSACAP00000008923	ENSORLP00000011382
ENSACAP00000003452	ENSORLP00000014691
ENSACAP00000022607	ENSORLP00000025699
ENSACAP00000022561	ENSORLP00000014496
ENSACAP00000007418	ENSORLP00000018746
ENSACAP00000023161	ENSORLP00000007330
ENSACAP00000007133	ENSORLP00000019821
ENSACAP00000007133	ENSORLP00000011260
ENSACAP00000007144	ENSORLP00000015135
ENSACAP00000007166	ENSORLP00000015125
ENSACAP00000007166	ENSORLP00000011254
ENSACAP00000014451	ENSORLP00000020032
ENSACAP00000014451	ENSORLP00000018578
ENSACAP00000011447	ENSORLP00000024718
ENSACAP00000003423	ENSORLP00000013929
ENSACAP00000014516	ENSORLP00000007935
ENSACAP00000016589	ENSORLP00000020501
ENSACAP00000016612	ENSORLP00000005391
ENSACAP00000000766	ENSORLP00000001836
ENSACAP00000000766	ENSORLP00000002802
ENSACAP00000005884	ENSORLP00000004251
ENSACAP00000015136	ENSORLP00000019486
ENSACAP00000016217	ENSORLP00000007785
ENSACAP00000001002	ENSORLP00000008561
ENSACAP00000013260	ENSORLP00000003955
ENSACAP00000013260	ENSORLP00000005716
ENSACAP00000010212	ENSORLP00000009447
ENSACAP00000011210	ENSORLP00000016755
ENSACAP00000005192	ENSORLP00000025680
ENSACAP00000016275	ENSORLP00000014402
ENSACAP00000011119	ENSORLP00000017370
ENSACAP00000000189	ENSORLP00000012076
ENSACAP00000018669	ENSORLP00000014408
ENSACAP00000005618	ENSORLP00000015224
ENSACAP00000005618	ENSORLP00000007474
ENSACAP00000005144	ENSORLP00000021608
ENSACAP00000005144	ENSORLP00000014160
ENSACAP00000013190	ENSORLP00000006974
ENSACAP00000015982	ENSORLP00000004278
ENSACAP00000003038	ENSORLP00000020050
ENSACAP00000014062	ENSORLP00000008218
ENSACAP00000017531	ENSORLP00000012723
ENSACAP00000008252	ENSORLP00000007001
ENSACAP00000008252	ENSORLP00000002142
ENSACAP00000022803	ENSORLP00000007930
ENSACAP00000012143	ENSORLP00000019891
ENSACAP00000002627	ENSORLP00000019309
ENSACAP00000020312	ENSORLP00000019320
ENSACAP00000020312	ENSORLP00000020797
ENSACAP00000001514	ENSORLP00000006865
ENSACAP00000013258	ENSORLP00000004088
ENSACAP00000012231	ENSORLP00000005176
ENSACAP00000012123	ENSORLP00000010903
ENSACAP00000015884	ENSORLP00000002498
ENSACAP00000011216	ENSORLP00000005899
ENSACAP00000006406	ENSORLP00000000178
ENSACAP00000016440	ENSORLP00000018925
ENSACAP00000011920	ENSORLP00000003200
ENSACAP00000011449	ENSORLP00000016932
ENSACAP00000000792	ENSORLP00000006703
ENSACAP00000019131	ENSORLP00000020649
ENSACAP00000008195	ENSORLP00000013120
ENSACAP00000021848	ENSORLP00000021408
ENSACAP00000009117	ENSORLP00000017806
ENSACAP00000015939	ENSORLP00000000640
ENSACAP00000016848	ENSORLP00000012533
ENSACAP00000016848	ENSORLP00000004693
ENSACAP00000002993	ENSORLP00000013449
ENSACAP00000014378	ENSORLP00000009845
ENSACAP00000016349	ENSORLP00000006238
ENSACAP00000016349	ENSORLP00000011233
ENSACAP00000017264	ENSORLP00000005200
ENSACAP00000002280	ENSORLP00000025382
ENSACAP00000002301	ENSORLP00000025778
ENSACAP00000000982	ENSORLP00000019118
ENSACAP00000006631	ENSORLP00000002793
ENSACAP00000006631	ENSORLP00000007565
ENSACAP00000004423	ENSORLP00000016480
ENSACAP00000009525	ENSORLP00000018319
ENSACAP00000011435	ENSORLP00000019101
ENSACAP00000003635	ENSORLP00000008804
ENSACAP00000003635	ENSORLP00000010408
ENSACAP00000006532	ENSORLP00000015382
ENSACAP00000015536	ENSORLP00000000955
ENSACAP00000007357	ENSORLP00000024303
ENSACAP00000017648	ENSORLP00000007370
ENSACAP00000017648	ENSORLP00000011202
ENSACAP00000010908	ENSORLP00000002460
ENSACAP00000003450	ENSORLP00000021417
ENSACAP00000017120	ENSORLP00000014546
ENSACAP00000000624	ENSORLP00000024006
ENSACAP00000007712	ENSORLP00000025283
ENSACAP00000007712	ENSORLP00000023562
ENSACAP00000002813	ENSORLP00000025361
ENSACAP00000006838	ENSORLP00000002544
ENSACAP00000006838	ENSORLP00000013157
ENSACAP00000003121	ENSORLP00000019751
ENSACAP00000003121	ENSORLP00000013289
ENSACAP00000004681	ENSORLP00000020092
ENSACAP00000004681	ENSORLP00000007978
ENSACAP00000008548	ENSORLP00000019342
ENSACAP00000019498	ENSORLP00000022468
ENSACAP00000008475	ENSORLP00000007005
ENSACAP00000004126	ENSORLP00000009287
ENSACAP00000004126	ENSORLP00000024202
ENSACAP00000015588	ENSORLP00000003686
ENSACAP00000017189	ENSORLP00000015046
ENSACAP00000017189	ENSORLP00000007689
ENSACAP00000008306	ENSORLP00000006193
ENSACAP00000016647	ENSORLP00000018788
ENSACAP00000015154	ENSORLP00000008504
ENSACAP00000015154	ENSORLP00000018750
ENSACAP00000005587	ENSORLP00000002291
ENSACAP00000003316	ENSORLP00000019066
ENSACAP00000006756	ENSORLP00000019227
ENSACAP00000005040	ENSORLP00000014563
ENSACAP00000011813	ENSORLP00000014904
ENSACAP00000007413	ENSORLP00000018166
ENSACAP00000007085	ENSORLP00000006852
ENSACAP00000011502	ENSORLP00000019932
ENSACAP00000010004	ENSORLP00000018275
ENSACAP00000010045	ENSORLP00000005287
ENSACAP00000011328	ENSORLP00000006617
ENSACAP00000000445	ENSORLP00000015378
ENSACAP00000015725	ENSORLP00000007697
ENSACAP00000015725	ENSORLP00000001913
ENSACAP00000015191	ENSORLP00000014432
ENSACAP00000004399	ENSORLP00000006622
ENSACAP00000000803	ENSORLP00000021170
ENSACAP00000008345	ENSORLP00000006700
ENSACAP00000003367	ENSORLP00000017682
ENSACAP00000004184	ENSORLP00000004579
ENSACAP00000007474	ENSORLP00000005540
ENSACAP00000001458	ENSORLP00000022648
ENSACAP00000015622	ENSORLP00000000764
ENSACAP00000014103	ENSORLP00000010020
ENSACAP00000014765	ENSORLP00000021423
ENSACAP00000004657	ENSORLP00000016275
ENSACAP00000008815	ENSORLP00000017243
ENSACAP00000016406	ENSORLP00000001337
ENSACAP00000010376	ENSORLP00000005361
ENSACAP00000010376	ENSORLP00000020996
ENSACAP00000001164	ENSORLP00000024525
ENSACAP00000011557	ENSORLP00000009804
ENSACAP00000020730	ENSORLP00000019121
ENSACAP00000002635	ENSORLP00000024813
ENSACAP00000006227	ENSORLP00000000315
ENSACAP00000005008	ENSORLP00000021052
ENSACAP00000008138	ENSORLP00000000841
ENSACAP00000008138	ENSORLP00000015688
ENSACAP00000015424	ENSORLP00000013754
ENSACAP00000004083	ENSORLP00000014648
ENSACAP00000012175	ENSORLP00000008846
ENSACAP00000011214	ENSORLP00000019946
ENSACAP00000011080	ENSORLP00000012742
ENSACAP00000015437	ENSORLP00000020510
ENSACAP00000007790	ENSORLP00000021576
ENSACAP00000012562	ENSORLP00000015424
ENSACAP00000015914	ENSORLP00000023222
ENSACAP00000006737	ENSORLP00000012302
ENSACAP00000006791	ENSORLP00000012334
ENSACAP00000009962	ENSORLP00000003701
ENSACAP00000010102	ENSORLP00000018569
ENSACAP00000010102	ENSORLP00000005246
ENSACAP00000014348	ENSORLP00000000570
ENSACAP00000014348	ENSORLP00000001147
ENSACAP00000017517	ENSORLP00000011697
ENSACAP00000017517	ENSORLP00000008639
ENSACAP00000007409	ENSORLP00000004401
ENSACAP00000005518	ENSORLP00000016781
ENSACAP00000008283	ENSORLP00000007482
ENSACAP00000008283	ENSORLP00000006064
ENSACAP00000002914	ENSORLP00000015107
ENSACAP00000002914	ENSORLP00000011026
ENSACAP00000005602	ENSORLP00000020990
ENSACAP00000001116	ENSORLP00000013665
ENSACAP00000006511	ENSORLP00000008309
ENSACAP00000006511	ENSORLP00000015790
ENSACAP00000015474	ENSORLP00000023486
ENSACAP00000003716	ENSORLP00000021952
ENSACAP00000016554	ENSORLP00000009060
ENSACAP00000005262	ENSORLP00000009935
ENSACAP00000006654	ENSORLP00000022033
ENSACAP00000015593	ENSORLP00000000805
ENSACAP00000017421	ENSORLP00000021561
ENSACAP00000010082	ENSORLP00000010554
ENSACAP00000005303	ENSORLP00000015653
ENSACAP00000008303	ENSORLP00000007507
ENSACAP00000008303	ENSORLP00000025418
ENSACAP00000010652	ENSORLP00000002376
ENSACAP00000015583	ENSORLP00000020582
ENSACAP00000015583	ENSORLP00000023533
ENSACAP00000011008	ENSORLP00000005021
ENSACAP00000020481	ENSORLP00000020066
ENSACAP00000005226	ENSORLP00000009566
ENSACAP00000005226	ENSORLP00000001925
ENSACAP00000008088	ENSORLP00000025471
ENSACAP00000003237	ENSORLP00000003329
ENSACAP00000002437	ENSORLP00000017612
ENSACAP00000001065	ENSORLP00000010833
ENSACAP00000007432	ENSORLP00000002721
ENSACAP00000007938	ENSORLP00000010780
ENSACAP00000015545	ENSORLP00000008011
ENSACAP00000007692	ENSORLP00000013167
ENSACAP00000002841	ENSORLP00000023378
ENSACAP00000005799	ENSORLP00000000556
ENSACAP00000005716	ENSORLP00000019339
ENSACAP00000009466	ENSORLP00000012858
ENSACAP00000006764	ENSORLP00000024341
ENSACAP00000011676	ENSORLP00000002505
ENSACAP00000016136	ENSORLP00000016642
ENSACAP00000016136	ENSORLP00000014817
ENSACAP00000007832	ENSORLP00000007491
ENSACAP00000000292	ENSORLP00000010552
ENSACAP00000000292	ENSORLP00000024673
ENSACAP00000016592	ENSORLP00000012495
ENSACAP00000001387	ENSORLP00000019452
ENSACAP00000004700	ENSORLP00000023753
ENSACAP00000016253	ENSORLP00000011177
ENSACAP00000020603	ENSORLP00000009376
ENSACAP00000006327	ENSORLP00000013283
ENSACAP00000015074	ENSORLP00000020197
ENSACAP00000000234	ENSORLP00000017836
ENSACAP00000000234	ENSORLP00000010308
ENSACAP00000016353	ENSORLP00000003871
ENSACAP00000016353	ENSORLP00000009664
ENSACAP00000005221	ENSORLP00000022395
ENSACAP00000019924	ENSORLP00000018310
ENSACAP00000019924	ENSORLP00000019175
ENSACAP00000021507	ENSORLP00000006121
ENSACAP00000021507	ENSORLP00000004141
ENSACAP00000007124	ENSORLP00000004548
ENSACAP00000007124	ENSORLP00000013610
ENSACAP00000017651	ENSORLP00000017101
ENSACAP00000011453	ENSORLP00000016759
ENSACAP00000001435	ENSORLP00000021644
ENSACAP00000010853	ENSORLP00000017858
ENSACAP00000020401	ENSORLP00000007854
ENSACAP00000020401	ENSORLP00000020087
ENSACAP00000006453	ENSORLP00000023047
ENSACAP00000012667	ENSORLP00000008712
ENSACAP00000012667	ENSORLP00000003369
ENSACAP00000002092	ENSORLP00000016209
ENSACAP00000012381	ENSORLP00000013373
ENSACAP00000012381	ENSORLP00000003415
ENSACAP00000004402	ENSORLP00000000238
ENSACAP00000016922	ENSORLP00000019096
ENSACAP00000006419	ENSORLP00000019098
ENSACAP00000008402	ENSORLP00000011080
ENSACAP00000008402	ENSORLP00000015725
ENSACAP00000003460	ENSORLP00000007866
ENSACAP00000005918	ENSORLP00000009345
ENSACAP00000010473	ENSORLP00000020004
ENSACAP00000010473	ENSORLP00000003021
ENSACAP00000016397	ENSORLP00000024871
ENSACAP00000002138	ENSORLP00000006399
ENSACAP00000008651	ENSORLP00000018782
ENSACAP00000006753	ENSORLP00000010963
ENSACAP00000012645	ENSORLP00000017568
ENSACAP00000016035	ENSORLP00000005390
ENSACAP00000012239	ENSORLP00000022513
ENSACAP00000022406	ENSORLP00000015200
ENSACAP00000015850	ENSORLP00000022595
ENSACAP00000005328	ENSORLP00000003948
ENSACAP00000007568	ENSORLP00000021534
ENSACAP00000009697	ENSORLP00000002389
ENSACAP00000014333	ENSORLP00000002820
ENSACAP00000000069	ENSORLP00000019504
ENSACAP00000011496	ENSORLP00000009948
ENSACAP00000013638	ENSORLP00000021650
ENSACAP00000002360	ENSORLP00000012393
ENSACAP00000011764	ENSORLP00000010119
ENSACAP00000015166	ENSORLP00000019214
ENSACAP00000003677	ENSORLP00000001322
ENSACAP00000014160	ENSORLP00000010128
ENSACAP00000004990	ENSORLP00000005919
ENSACAP00000010477	ENSORLP00000019655
ENSACAP00000010901	ENSORLP00000019708
ENSACAP00000003541	ENSORLP00000009527
ENSACAP00000003541	ENSORLP00000012965
ENSACAP00000001030	ENSORLP00000025656
ENSACAP00000001030	ENSORLP00000010102
ENSACAP00000012873	ENSORLP00000020236
ENSACAP00000009688	ENSORLP00000014987
ENSACAP00000016226	ENSORLP00000022063
ENSACAP00000016226	ENSORLP00000003559
ENSACAP00000009314	ENSORLP00000004136
ENSACAP00000001074	ENSORLP00000006042
ENSACAP00000011982	ENSORLP00000024937
ENSACAP00000015922	ENSORLP00000023002
ENSACAP00000016351	ENSORLP00000005534
ENSACAP00000021025	ENSORLP00000021704
ENSACAP00000011452	ENSORLP00000008681
ENSACAP00000014831	ENSORLP00000013360
ENSACAP00000004483	ENSORLP00000019892
ENSACAP00000004483	ENSORLP00000011572
ENSACAP00000001127	ENSORLP00000014379
ENSACAP00000013194	ENSORLP00000021970
ENSACAP00000011919	ENSORLP00000023141
ENSACAP00000016452	ENSORLP00000011273
ENSACAP00000008110	ENSORLP00000016465
ENSACAP00000007345	ENSORLP00000005631
ENSACAP00000004248	ENSORLP00000005442
ENSACAP00000010090	ENSORLP00000013229
ENSACAP00000012660	ENSORLP00000024752
ENSACAP00000016181	ENSORLP00000008749
ENSACAP00000017024	ENSORLP00000003095
ENSACAP00000017024	ENSORLP00000007089
ENSACAP00000002634	ENSORLP00000018447
ENSACAP00000014510	ENSORLP00000010115
ENSACAP00000010493	ENSORLP00000001033
ENSACAP00000008731	ENSORLP00000009350
ENSACAP00000004991	ENSORLP00000020926
ENSACAP00000012299	ENSORLP00000019177
ENSACAP00000006585	ENSORLP00000001403
ENSACAP00000002580	ENSORLP00000003191
ENSACAP00000017382	ENSORLP00000015686
ENSACAP00000012459	ENSORLP00000002367
ENSACAP00000019166	ENSORLP00000012914
ENSACAP00000004525	ENSORLP00000008375
ENSACAP00000003480	ENSORLP00000005056
ENSACAP00000015035	ENSORLP00000005122
