ENSGACP00000003450	ENSGALP00000006197
ENSGACP00000005885	ENSGALP00000032649
ENSGACP00000008256	ENSGALP00000025114
ENSGACP00000021278	ENSGALP00000042998
ENSGACP00000026085	ENSGALP00000021550
ENSGACP00000014218	ENSGALP00000011134
ENSGACP00000008788	ENSGALP00000036527
ENSGACP00000012624	ENSGALP00000042712
ENSGACP00000006233	ENSGALP00000042464
ENSGACP00000022472	ENSGALP00000030213
ENSGACP00000018261	ENSGALP00000002638
ENSGACP00000007046	ENSGALP00000009200
ENSGACP00000017631	ENSGALP00000040642
ENSGACP00000010215	ENSGALP00000016547
ENSGACP00000007839	ENSGALP00000021543
ENSGACP00000024328	ENSGALP00000003847
ENSGACP00000002797	ENSGALP00000008131
ENSGACP00000008850	ENSGALP00000008131
ENSGACP00000003687	ENSGALP00000035892
ENSGACP00000013891	ENSGALP00000010428
ENSGACP00000015752	ENSGALP00000010428
ENSGACP00000024876	ENSGALP00000025899
ENSGACP00000011056	ENSGALP00000026322
ENSGACP00000023914	ENSGALP00000013796
ENSGACP00000004412	ENSGALP00000013796
ENSGACP00000013838	ENSGALP00000043032
ENSGACP00000010614	ENSGALP00000005571
ENSGACP00000022578	ENSGALP00000006299
ENSGACP00000025019	ENSGALP00000038075
ENSGACP00000016521	ENSGALP00000000412
ENSGACP00000011213	ENSGALP00000039341
ENSGACP00000023031	ENSGALP00000008661
ENSGACP00000018735	ENSGALP00000040060
ENSGACP00000010089	ENSGALP00000018503
ENSGACP00000003980	ENSGALP00000024768
ENSGACP00000020505	ENSGALP00000041815
ENSGACP00000024791	ENSGALP00000007547
ENSGACP00000011235	ENSGALP00000039976
ENSGACP00000023409	ENSGALP00000039976
ENSGACP00000002405	ENSGALP00000017701
ENSGACP00000011399	ENSGALP00000018224
ENSGACP00000016404	ENSGALP00000016105
ENSGACP00000026319	ENSGALP00000013191
ENSGACP00000015343	ENSGALP00000013191
ENSGACP00000010214	ENSGALP00000017290
ENSGACP00000020270	ENSGALP00000027271
ENSGACP00000018406	ENSGALP00000010863
ENSGACP00000024658	ENSGALP00000009806
ENSGACP00000020271	ENSGALP00000027267
ENSGACP00000005379	ENSGALP00000027267
ENSGACP00000018417	ENSGALP00000003684
ENSGACP00000008623	ENSGALP00000003684
ENSGACP00000006111	ENSGALP00000032215
ENSGACP00000023493	ENSGALP00000032215
ENSGACP00000014394	ENSGALP00000013142
ENSGACP00000019210	ENSGALP00000017678
ENSGACP00000002834	ENSGALP00000001334
ENSGACP00000002348	ENSGALP00000010979
ENSGACP00000023091	ENSGALP00000010979
ENSGACP00000015815	ENSGALP00000039924
ENSGACP00000022066	ENSGALP00000019325
ENSGACP00000010750	ENSGALP00000005090
ENSGACP00000012695	ENSGALP00000002366
ENSGACP00000007203	ENSGALP00000002366
ENSGACP00000005237	ENSGALP00000038404
ENSGACP00000025056	ENSGALP00000020571
ENSGACP00000003704	ENSGALP00000035907
ENSGACP00000016370	ENSGALP00000038563
ENSGACP00000022984	ENSGALP00000007976
ENSGACP00000004888	ENSGALP00000010958
ENSGACP00000008807	ENSGALP00000008112
ENSGACP00000022304	ENSGALP00000006300
ENSGACP00000020352	ENSGALP00000013714
ENSGACP00000018750	ENSGALP00000014734
ENSGACP00000014494	ENSGALP00000000973
ENSGACP00000023747	ENSGALP00000041492
ENSGACP00000004440	ENSGALP00000026677
ENSGACP00000005070	ENSGALP00000026679
ENSGACP00000002886	ENSGALP00000006782
ENSGACP00000007201	ENSGALP00000012265
ENSGACP00000024497	ENSGALP00000012265
ENSGACP00000010311	ENSGALP00000009402
ENSGACP00000020639	ENSGALP00000009612
ENSGACP00000006806	ENSGALP00000010281
ENSGACP00000011680	ENSGALP00000022282
ENSGACP00000015215	ENSGALP00000022282
ENSGACP00000017136	ENSGALP00000036082
ENSGACP00000005071	ENSGALP00000014065
ENSGACP00000010693	ENSGALP00000017619
ENSGACP00000000220	ENSGALP00000010325
ENSGACP00000012914	ENSGALP00000000810
ENSGACP00000015985	ENSGALP00000025626
ENSGACP00000009347	ENSGALP00000005576
ENSGACP00000025450	ENSGALP00000005576
ENSGACP00000024263	ENSGALP00000000239
ENSGACP00000023016	ENSGALP00000007948
ENSGACP00000019572	ENSGALP00000038787
ENSGACP00000014238	ENSGALP00000000530
ENSGACP00000003505	ENSGALP00000011453
ENSGACP00000008454	ENSGALP00000018774
ENSGACP00000010767	ENSGALP00000018209
ENSGACP00000009332	ENSGALP00000018209
ENSGACP00000003473	ENSGALP00000014878
ENSGACP00000006347	ENSGALP00000019882
ENSGACP00000008366	ENSGALP00000041356
ENSGACP00000011689	ENSGALP00000041356
ENSGACP00000021542	ENSGALP00000013781
ENSGACP00000012439	ENSGALP00000013781
ENSGACP00000012414	ENSGALP00000013726
ENSGACP00000006410	ENSGALP00000020307
ENSGACP00000017305	ENSGALP00000020307
ENSGACP00000018854	ENSGALP00000018675
ENSGACP00000003269	ENSGALP00000018675
ENSGACP00000004022	ENSGALP00000027075
ENSGACP00000021129	ENSGALP00000008481
ENSGACP00000021829	ENSGALP00000014663
ENSGACP00000015846	ENSGALP00000014663
ENSGACP00000021132	ENSGALP00000008104
ENSGACP00000021827	ENSGALP00000014672
ENSGACP00000013084	ENSGALP00000016015
ENSGACP00000003931	ENSGALP00000025920
ENSGACP00000022235	ENSGALP00000009133
ENSGACP00000024618	ENSGALP00000023682
ENSGACP00000018219	ENSGALP00000003295
ENSGACP00000019166	ENSGALP00000018278
ENSGACP00000008117	ENSGALP00000005914
ENSGACP00000005801	ENSGALP00000005933
ENSGACP00000002055	ENSGALP00000037396
ENSGACP00000019859	ENSGALP00000009678
ENSGACP00000005941	ENSGALP00000014673
ENSGACP00000005138	ENSGALP00000013447
ENSGACP00000025436	ENSGALP00000013448
ENSGACP00000005832	ENSGALP00000024083
ENSGACP00000005837	ENSGALP00000024082
ENSGACP00000019610	ENSGALP00000011296
ENSGACP00000017490	ENSGALP00000011296
ENSGACP00000013771	ENSGALP00000023592
ENSGACP00000020523	ENSGALP00000023592
ENSGACP00000008747	ENSGALP00000014112
ENSGACP00000013296	ENSGALP00000041748
ENSGACP00000023395	ENSGALP00000017274
ENSGACP00000024826	ENSGALP00000017274
ENSGACP00000027605	ENSGALP00000010722
ENSGACP00000004758	ENSGALP00000041770
ENSGACP00000010091	ENSGALP00000040940
ENSGACP00000003129	ENSGALP00000033380
ENSGACP00000008282	ENSGALP00000015469
ENSGACP00000007790	ENSGALP00000011904
ENSGACP00000016640	ENSGALP00000011904
ENSGACP00000025425	ENSGALP00000000058
ENSGACP00000023045	ENSGALP00000014581
ENSGACP00000011374	ENSGALP00000018258
ENSGACP00000016639	ENSGALP00000018258
ENSGACP00000013919	ENSGALP00000042267
ENSGACP00000007495	ENSGALP00000026355
ENSGACP00000017514	ENSGALP00000026363
ENSGACP00000012167	ENSGALP00000005166
ENSGACP00000008702	ENSGALP00000005166
ENSGACP00000008073	ENSGALP00000026192
ENSGACP00000014609	ENSGALP00000010760
ENSGACP00000010177	ENSGALP00000016984
ENSGACP00000015729	ENSGALP00000041658
ENSGACP00000010104	ENSGALP00000037169
ENSGACP00000026169	ENSGALP00000018378
ENSGACP00000027541	ENSGALP00000012308
ENSGACP00000020789	ENSGALP00000032209
ENSGACP00000013293	ENSGALP00000032209
ENSGACP00000019511	ENSGALP00000011089
ENSGACP00000017434	ENSGALP00000042413
ENSGACP00000005074	ENSGALP00000042413
ENSGACP00000011768	ENSGALP00000007956
ENSGACP00000000857	ENSGALP00000020873
ENSGACP00000015220	ENSGALP00000041496
ENSGACP00000006905	ENSGALP00000013164
ENSGACP00000022342	ENSGALP00000013164
ENSGACP00000009977	ENSGALP00000020507
ENSGACP00000007159	ENSGALP00000012087
ENSGACP00000021629	ENSGALP00000012087
ENSGACP00000011514	ENSGALP00000030077
ENSGACP00000007653	ENSGALP00000040977
ENSGACP00000005156	ENSGALP00000013575
ENSGACP00000005372	ENSGALP00000015542
ENSGACP00000015965	ENSGALP00000025631
ENSGACP00000023911	ENSGALP00000025631
ENSGACP00000020863	ENSGALP00000026153
ENSGACP00000022656	ENSGALP00000038530
ENSGACP00000013194	ENSGALP00000010290
ENSGACP00000011152	ENSGALP00000028023
ENSGACP00000011147	ENSGALP00000036578
ENSGACP00000014281	ENSGALP00000043451
ENSGACP00000011138	ENSGALP00000036574
ENSGACP00000006350	ENSGALP00000018782
ENSGACP00000010944	ENSGALP00000025254
ENSGACP00000022338	ENSGALP00000040460
ENSGACP00000014096	ENSGALP00000040460
ENSGACP00000026379	ENSGALP00000038910
ENSGACP00000015814	ENSGALP00000038910
ENSGACP00000015693	ENSGALP00000020137
ENSGACP00000018115	ENSGALP00000024720
ENSGACP00000016549	ENSGALP00000041417
ENSGACP00000006709	ENSGALP00000041417
ENSGACP00000017867	ENSGALP00000016518
ENSGACP00000007480	ENSGALP00000026350
ENSGACP00000023702	ENSGALP00000024556
ENSGACP00000008047	ENSGALP00000040830
ENSGACP00000002773	ENSGALP00000043176
ENSGACP00000009197	ENSGALP00000026399
ENSGACP00000007682	ENSGALP00000023990
ENSGACP00000023139	ENSGALP00000040961
ENSGACP00000009670	ENSGALP00000001914
ENSGACP00000016283	ENSGALP00000030892
ENSGACP00000019711	ENSGALP00000030892
ENSGACP00000020139	ENSGALP00000025760
ENSGACP00000022997	ENSGALP00000007523
ENSGACP00000017963	ENSGALP00000003035
ENSGACP00000014611	ENSGALP00000003035
ENSGACP00000003972	ENSGALP00000043302
ENSGACP00000007261	ENSGALP00000037618
ENSGACP00000011199	ENSGALP00000009621
ENSGACP00000005865	ENSGALP00000017259
ENSGACP00000015077	ENSGALP00000042449
ENSGACP00000026557	ENSGALP00000011148
ENSGACP00000003636	ENSGALP00000013380
ENSGACP00000022041	ENSGALP00000040755
ENSGACP00000022171	ENSGALP00000024701
ENSGACP00000014617	ENSGALP00000010493
ENSGACP00000023960	ENSGALP00000039384
ENSGACP00000003253	ENSGALP00000041259
ENSGACP00000013823	ENSGALP00000027876
ENSGACP00000000546	ENSGALP00000002287
ENSGACP00000008541	ENSGALP00000001583
ENSGACP00000005245	ENSGALP00000013830
ENSGACP00000021564	ENSGALP00000016475
ENSGACP00000023933	ENSGALP00000039646
ENSGACP00000010018	ENSGALP00000002721
ENSGACP00000015645	ENSGALP00000020611
ENSGACP00000010158	ENSGALP00000001317
ENSGACP00000010766	ENSGALP00000001317
ENSGACP00000014594	ENSGALP00000042939
ENSGACP00000012065	ENSGALP00000008256
ENSGACP00000002976	ENSGALP00000026019
ENSGACP00000009782	ENSGALP00000008107
ENSGACP00000014610	ENSGALP00000010477
ENSGACP00000017221	ENSGALP00000002718
ENSGACP00000006610	ENSGALP00000011876
ENSGACP00000024519	ENSGALP00000024312
ENSGACP00000022977	ENSGALP00000024312
ENSGACP00000002710	ENSGALP00000007174
ENSGACP00000008120	ENSGALP00000011976
ENSGACP00000026911	ENSGALP00000011976
ENSGACP00000023362	ENSGALP00000042850
ENSGACP00000009622	ENSGALP00000033652
ENSGACP00000009627	ENSGALP00000011971
ENSGACP00000026912	ENSGALP00000011971
ENSGACP00000008126	ENSGALP00000033649
ENSGACP00000018009	ENSGALP00000017858
ENSGACP00000026115	ENSGALP00000017858
ENSGACP00000012368	ENSGALP00000018235
ENSGACP00000002501	ENSGALP00000027206
ENSGACP00000024161	ENSGALP00000008699
ENSGACP00000015186	ENSGALP00000006738
ENSGACP00000019007	ENSGALP00000024953
ENSGACP00000009364	ENSGALP00000041666
ENSGACP00000022283	ENSGALP00000041666
ENSGACP00000016040	ENSGALP00000023925
ENSGACP00000000574	ENSGALP00000042630
ENSGACP00000023040	ENSGALP00000022679
ENSGACP00000027323	ENSGALP00000003973
ENSGACP00000011344	ENSGALP00000039901
ENSGACP00000007394	ENSGALP00000022198
ENSGACP00000010244	ENSGALP00000022198
ENSGACP00000015467	ENSGALP00000026568
ENSGACP00000012004	ENSGALP00000004444
ENSGACP00000008427	ENSGALP00000004444
ENSGACP00000020774	ENSGALP00000021570
ENSGACP00000019686	ENSGALP00000018510
ENSGACP00000007393	ENSGALP00000036151
ENSGACP00000018930	ENSGALP00000040814
ENSGACP00000022151	ENSGALP00000040814
ENSGACP00000026723	ENSGALP00000002373
ENSGACP00000008971	ENSGALP00000026331
ENSGACP00000010715	ENSGALP00000026331
ENSGACP00000009867	ENSGALP00000003970
ENSGACP00000012507	ENSGALP00000019842
ENSGACP00000018335	ENSGALP00000043429
ENSGACP00000003601	ENSGALP00000040906
ENSGACP00000008952	ENSGALP00000015517
ENSGACP00000007269	ENSGALP00000000410
ENSGACP00000023726	ENSGALP00000021743
ENSGACP00000009734	ENSGALP00000003190
ENSGACP00000011957	ENSGALP00000000626
ENSGACP00000020024	ENSGALP00000032471
ENSGACP00000020028	ENSGALP00000018165
ENSGACP00000010507	ENSGALP00000006610
ENSGACP00000015759	ENSGALP00000027477
ENSGACP00000027242	ENSGALP00000027477
ENSGACP00000006238	ENSGALP00000002224
ENSGACP00000007062	ENSGALP00000042973
ENSGACP00000006011	ENSGALP00000020036
ENSGACP00000018621	ENSGALP00000006645
ENSGACP00000025390	ENSGALP00000021021
ENSGACP00000015595	ENSGALP00000007061
ENSGACP00000027075	ENSGALP00000034297
ENSGACP00000011371	ENSGALP00000034297
ENSGACP00000014438	ENSGALP00000009628
ENSGACP00000002482	ENSGALP00000009628
ENSGACP00000010138	ENSGALP00000020540
ENSGACP00000002636	ENSGALP00000011010
ENSGACP00000014484	ENSGALP00000039900
ENSGACP00000007335	ENSGALP00000026608
ENSGACP00000023333	ENSGALP00000005861
ENSGACP00000014945	ENSGALP00000038626
ENSGACP00000014826	ENSGALP00000010237
ENSGACP00000001426	ENSGALP00000041792
ENSGACP00000005705	ENSGALP00000041792
ENSGACP00000010458	ENSGALP00000015662
ENSGACP00000007957	ENSGALP00000015662
ENSGACP00000007626	ENSGALP00000018239
ENSGACP00000011322	ENSGALP00000005183
ENSGACP00000021331	ENSGALP00000023854
ENSGACP00000013049	ENSGALP00000023854
ENSGACP00000019148	ENSGALP00000037648
ENSGACP00000019139	ENSGALP00000043296
ENSGACP00000021558	ENSGALP00000017594
ENSGACP00000025677	ENSGALP00000017594
ENSGACP00000015799	ENSGALP00000042395
ENSGACP00000000812	ENSGALP00000019701
ENSGACP00000006721	ENSGALP00000000423
ENSGACP00000012822	ENSGALP00000000423
ENSGACP00000025732	ENSGALP00000043387
ENSGACP00000022562	ENSGALP00000006426
ENSGACP00000011924	ENSGALP00000014860
ENSGACP00000008097	ENSGALP00000041570
ENSGACP00000013458	ENSGALP00000041570
ENSGACP00000018946	ENSGALP00000024602
ENSGACP00000012763	ENSGALP00000041590
ENSGACP00000002436	ENSGALP00000008547
ENSGACP00000023501	ENSGALP00000025200
ENSGACP00000001210	ENSGALP00000008787
ENSGACP00000014637	ENSGALP00000010774
ENSGACP00000017766	ENSGALP00000041595
ENSGACP00000026775	ENSGALP00000027991
ENSGACP00000017720	ENSGALP00000033249
ENSGACP00000023168	ENSGALP00000033249
ENSGACP00000000388	ENSGALP00000000223
ENSGACP00000010687	ENSGALP00000000223
ENSGACP00000027546	ENSGALP00000006462
ENSGACP00000022436	ENSGALP00000015273
ENSGACP00000009783	ENSGALP00000003483
ENSGACP00000006438	ENSGALP00000043309
ENSGACP00000017556	ENSGALP00000043309
ENSGACP00000022395	ENSGALP00000015251
ENSGACP00000016553	ENSGALP00000015251
ENSGACP00000013794	ENSGALP00000023027
ENSGACP00000002583	ENSGALP00000023027
ENSGACP00000008851	ENSGALP00000043336
ENSGACP00000011962	ENSGALP00000042407
ENSGACP00000021742	ENSGALP00000013449
ENSGACP00000007476	ENSGALP00000009483
ENSGACP00000002768	ENSGALP00000037994
ENSGACP00000008862	ENSGALP00000041928
ENSGACP00000002243	ENSGALP00000027543
ENSGACP00000023563	ENSGALP00000002864
ENSGACP00000004347	ENSGALP00000024461
ENSGACP00000024642	ENSGALP00000037103
ENSGACP00000023961	ENSGALP00000027996
ENSGACP00000010920	ENSGALP00000025409
ENSGACP00000020256	ENSGALP00000004574
ENSGACP00000018674	ENSGALP00000024889
ENSGACP00000001541	ENSGALP00000018252
ENSGACP00000025293	ENSGALP00000025261
ENSGACP00000021244	ENSGALP00000024026
ENSGACP00000010883	ENSGALP00000038592
ENSGACP00000010157	ENSGALP00000001365
ENSGACP00000016455	ENSGALP00000010316
ENSGACP00000011325	ENSGALP00000014104
ENSGACP00000019984	ENSGALP00000014104
ENSGACP00000007247	ENSGALP00000032500
ENSGACP00000008515	ENSGALP00000021356
ENSGACP00000010891	ENSGALP00000021356
ENSGACP00000005764	ENSGALP00000043046
ENSGACP00000027174	ENSGALP00000027517
ENSGACP00000023717	ENSGALP00000023080
ENSGACP00000003615	ENSGALP00000043303
ENSGACP00000005917	ENSGALP00000006759
ENSGACP00000024117	ENSGALP00000013398
ENSGACP00000018050	ENSGALP00000009076
ENSGACP00000018757	ENSGALP00000013225
ENSGACP00000020047	ENSGALP00000020504
ENSGACP00000007585	ENSGALP00000020504
ENSGACP00000026129	ENSGALP00000018059
ENSGACP00000003547	ENSGALP00000022304
ENSGACP00000019183	ENSGALP00000001743
ENSGACP00000002016	ENSGALP00000027184
ENSGACP00000018705	ENSGALP00000022799
ENSGACP00000010376	ENSGALP00000015323
ENSGACP00000007930	ENSGALP00000015323
ENSGACP00000025486	ENSGALP00000038332
ENSGACP00000016795	ENSGALP00000038332
ENSGACP00000025138	ENSGALP00000030103
ENSGACP00000011755	ENSGALP00000030103
ENSGACP00000002674	ENSGALP00000014475
ENSGACP00000018076	ENSGALP00000020966
ENSGACP00000022972	ENSGALP00000001800
ENSGACP00000024356	ENSGALP00000007477
ENSGACP00000011466	ENSGALP00000009349
ENSGACP00000003847	ENSGALP00000027001
ENSGACP00000022310	ENSGALP00000009513
ENSGACP00000021571	ENSGALP00000017612
ENSGACP00000021553	ENSGALP00000017617
ENSGACP00000023675	ENSGALP00000023901
ENSGACP00000009161	ENSGALP00000023901
ENSGACP00000022606	ENSGALP00000013735
ENSGACP00000003183	ENSGALP00000039792
ENSGACP00000011082	ENSGALP00000039792
ENSGACP00000023531	ENSGALP00000012145
ENSGACP00000008056	ENSGALP00000033981
ENSGACP00000009168	ENSGALP00000033981
ENSGACP00000022048	ENSGALP00000005919
ENSGACP00000019459	ENSGALP00000013389
ENSGACP00000020854	ENSGALP00000013389
ENSGACP00000021346	ENSGALP00000018057
ENSGACP00000005446	ENSGALP00000000236
ENSGACP00000017279	ENSGALP00000041758
ENSGACP00000006884	ENSGALP00000005918
ENSGACP00000002114	ENSGALP00000024965
ENSGACP00000019214	ENSGALP00000024844
ENSGACP00000017178	ENSGALP00000036419
ENSGACP00000021150	ENSGALP00000040927
ENSGACP00000026689	ENSGALP00000025962
ENSGACP00000012092	ENSGALP00000012668
ENSGACP00000023826	ENSGALP00000024856
ENSGACP00000021508	ENSGALP00000024856
ENSGACP00000008443	ENSGALP00000042108
ENSGACP00000025295	ENSGALP00000042108
ENSGACP00000015893	ENSGALP00000018540
ENSGACP00000019478	ENSGALP00000018540
ENSGACP00000008584	ENSGALP00000039156
ENSGACP00000003981	ENSGALP00000021333
ENSGACP00000023947	ENSGALP00000021927
ENSGACP00000019749	ENSGALP00000008742
ENSGACP00000001845	ENSGALP00000029846
ENSGACP00000024168	ENSGALP00000031700
ENSGACP00000009082	ENSGALP00000017812
ENSGACP00000022777	ENSGALP00000016052
ENSGACP00000018775	ENSGALP00000031452
ENSGACP00000017417	ENSGALP00000015855
ENSGACP00000021216	ENSGALP00000006706
ENSGACP00000027504	ENSGALP00000041197
ENSGACP00000005858	ENSGALP00000042434
ENSGACP00000002229	ENSGALP00000014921
ENSGACP00000014456	ENSGALP00000014921
ENSGACP00000013539	ENSGALP00000016865
ENSGACP00000022298	ENSGALP00000038490
ENSGACP00000010265	ENSGALP00000034548
ENSGACP00000009778	ENSGALP00000034548
ENSGACP00000015141	ENSGALP00000006699
ENSGACP00000005329	ENSGALP00000023943
ENSGACP00000023030	ENSGALP00000022517
ENSGACP00000013038	ENSGALP00000023842
ENSGACP00000000463	ENSGALP00000042744
ENSGACP00000004984	ENSGALP00000042744
ENSGACP00000010282	ENSGALP00000009416
ENSGACP00000015912	ENSGALP00000013472
ENSGACP00000026330	ENSGALP00000021851
ENSGACP00000018424	ENSGALP00000041822
ENSGACP00000010363	ENSGALP00000041822
ENSGACP00000015764	ENSGALP00000027470
ENSGACP00000027003	ENSGALP00000027470
ENSGACP00000022490	ENSGALP00000009065
ENSGACP00000022529	ENSGALP00000014081
ENSGACP00000025239	ENSGALP00000020470
ENSGACP00000009059	ENSGALP00000020470
ENSGACP00000014363	ENSGALP00000034313
ENSGACP00000027136	ENSGALP00000034313
ENSGACP00000018567	ENSGALP00000012522
ENSGACP00000023567	ENSGALP00000037969
ENSGACP00000024371	ENSGALP00000037969
ENSGACP00000010873	ENSGALP00000029689
ENSGACP00000005024	ENSGALP00000002266
ENSGACP00000027593	ENSGALP00000008101
ENSGACP00000013327	ENSGALP00000015507
ENSGACP00000018279	ENSGALP00000015507
ENSGACP00000006461	ENSGALP00000010092
ENSGACP00000022880	ENSGALP00000018364
ENSGACP00000024592	ENSGALP00000018364
ENSGACP00000001770	ENSGALP00000042785
ENSGACP00000003771	ENSGALP00000011107
ENSGACP00000002157	ENSGALP00000011107
ENSGACP00000006853	ENSGALP00000002102
ENSGACP00000002749	ENSGALP00000009912
ENSGACP00000009150	ENSGALP00000012993
ENSGACP00000022120	ENSGALP00000033231
ENSGACP00000016791	ENSGALP00000033231
ENSGACP00000023632	ENSGALP00000036774
ENSGACP00000013757	ENSGALP00000005132
ENSGACP00000011965	ENSGALP00000010583
ENSGACP00000008707	ENSGALP00000004578
ENSGACP00000001910	ENSGALP00000034605
ENSGACP00000007127	ENSGALP00000011094
ENSGACP00000009985	ENSGALP00000020510
ENSGACP00000020929	ENSGALP00000007047
ENSGACP00000013315	ENSGALP00000020754
ENSGACP00000008151	ENSGALP00000024086
ENSGACP00000013188	ENSGALP00000015963
ENSGACP00000014372	ENSGALP00000019298
ENSGACP00000016187	ENSGALP00000013883
ENSGACP00000014581	ENSGALP00000017157
ENSGACP00000019677	ENSGALP00000019672
ENSGACP00000004083	ENSGALP00000018684
ENSGACP00000005781	ENSGALP00000018684
ENSGACP00000014663	ENSGALP00000010319
ENSGACP00000013881	ENSGALP00000004476
ENSGACP00000021151	ENSGALP00000039313
ENSGACP00000014852	ENSGALP00000002903
ENSGACP00000024470	ENSGALP00000013470
ENSGACP00000008949	ENSGALP00000020073
ENSGACP00000018462	ENSGALP00000011511
ENSGACP00000023022	ENSGALP00000038293
ENSGACP00000020220	ENSGALP00000027108
ENSGACP00000020796	ENSGALP00000004355
ENSGACP00000018045	ENSGALP00000024537
ENSGACP00000020202	ENSGALP00000024537
ENSGACP00000019892	ENSGALP00000007090
ENSGACP00000020784	ENSGALP00000000945
ENSGACP00000016165	ENSGALP00000000945
ENSGACP00000007257	ENSGALP00000020619
ENSGACP00000003332	ENSGALP00000020619
ENSGACP00000014657	ENSGALP00000012917
ENSGACP00000021601	ENSGALP00000005357
ENSGACP00000005673	ENSGALP00000027233
ENSGACP00000018309	ENSGALP00000027233
ENSGACP00000020761	ENSGALP00000009265
ENSGACP00000000023	ENSGALP00000006511
ENSGACP00000011075	ENSGALP00000041111
ENSGACP00000012573	ENSGALP00000000595
ENSGACP00000017025	ENSGALP00000016137
ENSGACP00000022262	ENSGALP00000010236
ENSGACP00000017069	ENSGALP00000031875
ENSGACP00000001537	ENSGALP00000043043
ENSGACP00000013067	ENSGALP00000023865
ENSGACP00000007024	ENSGALP00000017275
ENSGACP00000002168	ENSGALP00000011874
ENSGACP00000019076	ENSGALP00000018837
ENSGACP00000024268	ENSGALP00000009617
ENSGACP00000012836	ENSGALP00000041518
ENSGACP00000009393	ENSGALP00000041518
ENSGACP00000017596	ENSGALP00000041263
ENSGACP00000024684	ENSGALP00000023648
ENSGACP00000011332	ENSGALP00000004458
ENSGACP00000018570	ENSGALP00000033003
ENSGACP00000026977	ENSGALP00000041010
ENSGACP00000007863	ENSGALP00000016147
ENSGACP00000017301	ENSGALP00000005756
ENSGACP00000004232	ENSGALP00000023538
ENSGACP00000006403	ENSGALP00000020874
ENSGACP00000000415	ENSGALP00000034600
