ENSTNIP00000006282	ENSLOCP00000011371
ENSTNIP00000017048	ENSLOCP00000012214
ENSTNIP00000006662	ENSLOCP00000011625
ENSTNIP00000006171	ENSLOCP00000007649
ENSTNIP00000011460	ENSLOCP00000007649
ENSTNIP00000019469	ENSLOCP00000000762
ENSTNIP00000017513	ENSLOCP00000012473
ENSTNIP00000005138	ENSLOCP00000012015
ENSTNIP00000016461	ENSLOCP00000001624
ENSTNIP00000013509	ENSLOCP00000001624
ENSTNIP00000011878	ENSLOCP00000000941
ENSTNIP00000012472	ENSLOCP00000001262
ENSTNIP00000019321	ENSLOCP00000007089
ENSTNIP00000011270	ENSLOCP00000017180
ENSTNIP00000005780	ENSLOCP00000008030
ENSTNIP00000005826	ENSLOCP00000007201
ENSTNIP00000011480	ENSLOCP00000005887
ENSTNIP00000016134	ENSLOCP00000005887
ENSTNIP00000006909	ENSLOCP00000003218
ENSTNIP00000021926	ENSLOCP00000005999
ENSTNIP00000012710	ENSLOCP00000019922
ENSTNIP00000017166	ENSLOCP00000019922
ENSTNIP00000020273	ENSLOCP00000013825
ENSTNIP00000018299	ENSLOCP00000010959
ENSTNIP00000020489	ENSLOCP00000012282
ENSTNIP00000003517	ENSLOCP00000017952
ENSTNIP00000003418	ENSLOCP00000010721
ENSTNIP00000004064	ENSLOCP00000002259
ENSTNIP00000010518	ENSLOCP00000021480
ENSTNIP00000010517	ENSLOCP00000002287
ENSTNIP00000018824	ENSLOCP00000018849
ENSTNIP00000010483	ENSLOCP00000012061
ENSTNIP00000013568	ENSLOCP00000009990
ENSTNIP00000016288	ENSLOCP00000011989
ENSTNIP00000015078	ENSLOCP00000020953
ENSTNIP00000018141	ENSLOCP00000018208
ENSTNIP00000006801	ENSLOCP00000019753
ENSTNIP00000016676	ENSLOCP00000012353
ENSTNIP00000009262	ENSLOCP00000004132
ENSTNIP00000009047	ENSLOCP00000006157
ENSTNIP00000005821	ENSLOCP00000010044
ENSTNIP00000018140	ENSLOCP00000018214
ENSTNIP00000014336	ENSLOCP00000020601
ENSTNIP00000020689	ENSLOCP00000007900
ENSTNIP00000010887	ENSLOCP00000007900
ENSTNIP00000022426	ENSLOCP00000015688
ENSTNIP00000021883	ENSLOCP00000010023
ENSTNIP00000021431	ENSLOCP00000006473
ENSTNIP00000018584	ENSLOCP00000004830
ENSTNIP00000020563	ENSLOCP00000013047
ENSTNIP00000020641	ENSLOCP00000016356
ENSTNIP00000019827	ENSLOCP00000009007
ENSTNIP00000007081	ENSLOCP00000012360
ENSTNIP00000002296	ENSLOCP00000011681
ENSTNIP00000020347	ENSLOCP00000011681
ENSTNIP00000019957	ENSLOCP00000018637
ENSTNIP00000003727	ENSLOCP00000016536
ENSTNIP00000018097	ENSLOCP00000007849
ENSTNIP00000020081	ENSLOCP00000008437
ENSTNIP00000000829	ENSLOCP00000014423
ENSTNIP00000006467	ENSLOCP00000020956
ENSTNIP00000000186	ENSLOCP00000015752
ENSTNIP00000009228	ENSLOCP00000013775
ENSTNIP00000012496	ENSLOCP00000010892
ENSTNIP00000020402	ENSLOCP00000006526
ENSTNIP00000007715	ENSLOCP00000001142
ENSTNIP00000021157	ENSLOCP00000017090
ENSTNIP00000011922	ENSLOCP00000004907
ENSTNIP00000017400	ENSLOCP00000006346
ENSTNIP00000006361	ENSLOCP00000017659
ENSTNIP00000008907	ENSLOCP00000000889
ENSTNIP00000004911	ENSLOCP00000020036
ENSTNIP00000005718	ENSLOCP00000008734
ENSTNIP00000011862	ENSLOCP00000014576
ENSTNIP00000013215	ENSLOCP00000005356
ENSTNIP00000019644	ENSLOCP00000005356
ENSTNIP00000011017	ENSLOCP00000004761
ENSTNIP00000015267	ENSLOCP00000000938
ENSTNIP00000001471	ENSLOCP00000006533
ENSTNIP00000015450	ENSLOCP00000006533
ENSTNIP00000021301	ENSLOCP00000006691
ENSTNIP00000014174	ENSLOCP00000001361
ENSTNIP00000003920	ENSLOCP00000006948
ENSTNIP00000011501	ENSLOCP00000006948
ENSTNIP00000006548	ENSLOCP00000007874
ENSTNIP00000018720	ENSLOCP00000013471
ENSTNIP00000015252	ENSLOCP00000019945
ENSTNIP00000022495	ENSLOCP00000019945
ENSTNIP00000006011	ENSLOCP00000001954
ENSTNIP00000012789	ENSLOCP00000001962
ENSTNIP00000007675	ENSLOCP00000009983
ENSTNIP00000011305	ENSLOCP00000019179
ENSTNIP00000019554	ENSLOCP00000012953
ENSTNIP00000022151	ENSLOCP00000021847
ENSTNIP00000017016	ENSLOCP00000007340
ENSTNIP00000002037	ENSLOCP00000005920
ENSTNIP00000007548	ENSLOCP00000016604
ENSTNIP00000021047	ENSLOCP00000016604
ENSTNIP00000003018	ENSLOCP00000019609
ENSTNIP00000008097	ENSLOCP00000019306
ENSTNIP00000008591	ENSLOCP00000011895
ENSTNIP00000011488	ENSLOCP00000006448
ENSTNIP00000020186	ENSLOCP00000011962
ENSTNIP00000011323	ENSLOCP00000011240
ENSTNIP00000020177	ENSLOCP00000006499
ENSTNIP00000017366	ENSLOCP00000007628
ENSTNIP00000015675	ENSLOCP00000005310
ENSTNIP00000014001	ENSLOCP00000002972
ENSTNIP00000014004	ENSLOCP00000001682
ENSTNIP00000008502	ENSLOCP00000017649
ENSTNIP00000011795	ENSLOCP00000013021
ENSTNIP00000008278	ENSLOCP00000006143
ENSTNIP00000019819	ENSLOCP00000008680
ENSTNIP00000003984	ENSLOCP00000018224
ENSTNIP00000020469	ENSLOCP00000018185
ENSTNIP00000016383	ENSLOCP00000020346
ENSTNIP00000020539	ENSLOCP00000012778
ENSTNIP00000012306	ENSLOCP00000005737
ENSTNIP00000004866	ENSLOCP00000006828
ENSTNIP00000018333	ENSLOCP00000006828
ENSTNIP00000007331	ENSLOCP00000018546
ENSTNIP00000012305	ENSLOCP00000005812
ENSTNIP00000016977	ENSLOCP00000005812
ENSTNIP00000007401	ENSLOCP00000018544
ENSTNIP00000018800	ENSLOCP00000016171
ENSTNIP00000018334	ENSLOCP00000006853
ENSTNIP00000000638	ENSLOCP00000006853
ENSTNIP00000020868	ENSLOCP00000010912
ENSTNIP00000012825	ENSLOCP00000010447
ENSTNIP00000005462	ENSLOCP00000012104
ENSTNIP00000007968	ENSLOCP00000013595
ENSTNIP00000019825	ENSLOCP00000008955
ENSTNIP00000019031	ENSLOCP00000008505
ENSTNIP00000016206	ENSLOCP00000008505
ENSTNIP00000011294	ENSLOCP00000017548
ENSTNIP00000010267	ENSLOCP00000019163
ENSTNIP00000013793	ENSLOCP00000010916
ENSTNIP00000010816	ENSLOCP00000015072
ENSTNIP00000016040	ENSLOCP00000003380
ENSTNIP00000014011	ENSLOCP00000002426
ENSTNIP00000002898	ENSLOCP00000002426
ENSTNIP00000021443	ENSLOCP00000012613
ENSTNIP00000019065	ENSLOCP00000019084
ENSTNIP00000001502	ENSLOCP00000016794
ENSTNIP00000005691	ENSLOCP00000002147
ENSTNIP00000007089	ENSLOCP00000010539
ENSTNIP00000008582	ENSLOCP00000006545
ENSTNIP00000011876	ENSLOCP00000006545
ENSTNIP00000011020	ENSLOCP00000004953
ENSTNIP00000011020	ENSLOCP00000000660
ENSTNIP00000009412	ENSLOCP00000012614
ENSTNIP00000016188	ENSLOCP00000003234
ENSTNIP00000005272	ENSLOCP00000017388
ENSTNIP00000002453	ENSLOCP00000009421
ENSTNIP00000010487	ENSLOCP00000016126
ENSTNIP00000019645	ENSLOCP00000005393
ENSTNIP00000001588	ENSLOCP00000019213
ENSTNIP00000021255	ENSLOCP00000007722
ENSTNIP00000013536	ENSLOCP00000012552
ENSTNIP00000010184	ENSLOCP00000014564
ENSTNIP00000011332	ENSLOCP00000011332
ENSTNIP00000016915	ENSLOCP00000009470
ENSTNIP00000016960	ENSLOCP00000012355
ENSTNIP00000011744	ENSLOCP00000011077
ENSTNIP00000007098	ENSLOCP00000017982
ENSTNIP00000018861	ENSLOCP00000017982
ENSTNIP00000011521	ENSLOCP00000011435
ENSTNIP00000012246	ENSLOCP00000003826
ENSTNIP00000004001	ENSLOCP00000011874
ENSTNIP00000015237	ENSLOCP00000020061
ENSTNIP00000022499	ENSLOCP00000020061
ENSTNIP00000009462	ENSLOCP00000021247
ENSTNIP00000019057	ENSLOCP00000018907
ENSTNIP00000004593	ENSLOCP00000018175
ENSTNIP00000000291	ENSLOCP00000006280
ENSTNIP00000017010	ENSLOCP00000016135
ENSTNIP00000021609	ENSLOCP00000014009
ENSTNIP00000019191	ENSLOCP00000012449
ENSTNIP00000017983	ENSLOCP00000014471
ENSTNIP00000012711	ENSLOCP00000019926
ENSTNIP00000020654	ENSLOCP00000016691
ENSTNIP00000012359	ENSLOCP00000016003
ENSTNIP00000009909	ENSLOCP00000016017
ENSTNIP00000005696	ENSLOCP00000010143
ENSTNIP00000016193	ENSLOCP00000003063
ENSTNIP00000021720	ENSLOCP00000010443
ENSTNIP00000004730	ENSLOCP00000010983
ENSTNIP00000013737	ENSLOCP00000018480
ENSTNIP00000022314	ENSLOCP00000001148
ENSTNIP00000017622	ENSLOCP00000009433
ENSTNIP00000021604	ENSLOCP00000007419
ENSTNIP00000012073	ENSLOCP00000007419
ENSTNIP00000018794	ENSLOCP00000007580
ENSTNIP00000020092	ENSLOCP00000003101
ENSTNIP00000009396	ENSLOCP00000015600
ENSTNIP00000005167	ENSLOCP00000015600
ENSTNIP00000006348	ENSLOCP00000014762
ENSTNIP00000016316	ENSLOCP00000014741
ENSTNIP00000017394	ENSLOCP00000007457
ENSTNIP00000018191	ENSLOCP00000015152
ENSTNIP00000010080	ENSLOCP00000015152
ENSTNIP00000013946	ENSLOCP00000019453
ENSTNIP00000011716	ENSLOCP00000011251
ENSTNIP00000005481	ENSLOCP00000004793
ENSTNIP00000003187	ENSLOCP00000016120
ENSTNIP00000003719	ENSLOCP00000016120
ENSTNIP00000011174	ENSLOCP00000011258
ENSTNIP00000011717	ENSLOCP00000011258
ENSTNIP00000017159	ENSLOCP00000016726
ENSTNIP00000010479	ENSLOCP00000017308
ENSTNIP00000016889	ENSLOCP00000010754
ENSTNIP00000002630	ENSLOCP00000005040
ENSTNIP00000013618	ENSLOCP00000004226
ENSTNIP00000005469	ENSLOCP00000004207
ENSTNIP00000013679	ENSLOCP00000020195
ENSTNIP00000008113	ENSLOCP00000019518
ENSTNIP00000007337	ENSLOCP00000003844
ENSTNIP00000012410	ENSLOCP00000016149
ENSTNIP00000004170	ENSLOCP00000013403
ENSTNIP00000000096	ENSLOCP00000003765
ENSTNIP00000004169	ENSLOCP00000008575
ENSTNIP00000019810	ENSLOCP00000015553
ENSTNIP00000004172	ENSLOCP00000015536
ENSTNIP00000008001	ENSLOCP00000021066
ENSTNIP00000018390	ENSLOCP00000007452
ENSTNIP00000012366	ENSLOCP00000015909
ENSTNIP00000005750	ENSLOCP00000019661
ENSTNIP00000015048	ENSLOCP00000014569
ENSTNIP00000006337	ENSLOCP00000014579
ENSTNIP00000018112	ENSLOCP00000004485
ENSTNIP00000017584	ENSLOCP00000004485
ENSTNIP00000000796	ENSLOCP00000003977
ENSTNIP00000010808	ENSLOCP00000015256
ENSTNIP00000008567	ENSLOCP00000015256
ENSTNIP00000022432	ENSLOCP00000017733
ENSTNIP00000016575	ENSLOCP00000001796
ENSTNIP00000021248	ENSLOCP00000006578
ENSTNIP00000005097	ENSLOCP00000010716
ENSTNIP00000015493	ENSLOCP00000005658
ENSTNIP00000006412	ENSLOCP00000000809
ENSTNIP00000009433	ENSLOCP00000004271
ENSTNIP00000008008	ENSLOCP00000008619
ENSTNIP00000013057	ENSLOCP00000017785
ENSTNIP00000021220	ENSLOCP00000016973
ENSTNIP00000019177	ENSLOCP00000012649
ENSTNIP00000017433	ENSLOCP00000015071
ENSTNIP00000013744	ENSLOCP00000019197
ENSTNIP00000006953	ENSLOCP00000001084
ENSTNIP00000000410	ENSLOCP00000007361
ENSTNIP00000022974	ENSLOCP00000013226
ENSTNIP00000014125	ENSLOCP00000018127
ENSTNIP00000002900	ENSLOCP00000018322
ENSTNIP00000006791	ENSLOCP00000013456
ENSTNIP00000015607	ENSLOCP00000013456
ENSTNIP00000015045	ENSLOCP00000008342
ENSTNIP00000004007	ENSLOCP00000002711
ENSTNIP00000003017	ENSLOCP00000018119
ENSTNIP00000000369	ENSLOCP00000018119
ENSTNIP00000001462	ENSLOCP00000014306
ENSTNIP00000013657	ENSLOCP00000014306
ENSTNIP00000010056	ENSLOCP00000019589
ENSTNIP00000020379	ENSLOCP00000015075
ENSTNIP00000008352	ENSLOCP00000020291
ENSTNIP00000009314	ENSLOCP00000008490
ENSTNIP00000001079	ENSLOCP00000021287
ENSTNIP00000007481	ENSLOCP00000002488
ENSTNIP00000016052	ENSLOCP00000002663
ENSTNIP00000020615	ENSLOCP00000002663
ENSTNIP00000019677	ENSLOCP00000021031
ENSTNIP00000017029	ENSLOCP00000004459
ENSTNIP00000020397	ENSLOCP00000005530
ENSTNIP00000003024	ENSLOCP00000020773
ENSTNIP00000009421	ENSLOCP00000001781
ENSTNIP00000013063	ENSLOCP00000001299
ENSTNIP00000009402	ENSLOCP00000004757
ENSTNIP00000015608	ENSLOCP00000013465
ENSTNIP00000004502	ENSLOCP00000014258
ENSTNIP00000013944	ENSLOCP00000018471
ENSTNIP00000011284	ENSLOCP00000018476
ENSTNIP00000017707	ENSLOCP00000006667
ENSTNIP00000018493	ENSLOCP00000006667
ENSTNIP00000014875	ENSLOCP00000017850
ENSTNIP00000013202	ENSLOCP00000011010
ENSTNIP00000012018	ENSLOCP00000011010
ENSTNIP00000018958	ENSLOCP00000005447
ENSTNIP00000006044	ENSLOCP00000020933
ENSTNIP00000001381	ENSLOCP00000007705
ENSTNIP00000023021	ENSLOCP00000007685
ENSTNIP00000012426	ENSLOCP00000017282
ENSTNIP00000012427	ENSLOCP00000017282
ENSTNIP00000019044	ENSLOCP00000012111
ENSTNIP00000016631	ENSLOCP00000008429
ENSTNIP00000010696	ENSLOCP00000008429
ENSTNIP00000007261	ENSLOCP00000016725
ENSTNIP00000000583	ENSLOCP00000019526
ENSTNIP00000013315	ENSLOCP00000019528
ENSTNIP00000007749	ENSLOCP00000017582
ENSTNIP00000014995	ENSLOCP00000017755
ENSTNIP00000003726	ENSLOCP00000019207
ENSTNIP00000020639	ENSLOCP00000016494
ENSTNIP00000014072	ENSLOCP00000012612
ENSTNIP00000019074	ENSLOCP00000001689
ENSTNIP00000017165	ENSLOCP00000019939
ENSTNIP00000008726	ENSLOCP00000015630
ENSTNIP00000005762	ENSLOCP00000001541
ENSTNIP00000005999	ENSLOCP00000020623
ENSTNIP00000012469	ENSLOCP00000001021
ENSTNIP00000005334	ENSLOCP00000007379
ENSTNIP00000010559	ENSLOCP00000018274
ENSTNIP00000002104	ENSLOCP00000012349
ENSTNIP00000020483	ENSLOCP00000012336
ENSTNIP00000010273	ENSLOCP00000020213
ENSTNIP00000010274	ENSLOCP00000020214
ENSTNIP00000020485	ENSLOCP00000012326
ENSTNIP00000006251	ENSLOCP00000001894
ENSTNIP00000014486	ENSLOCP00000004623
ENSTNIP00000002694	ENSLOCP00000004643
ENSTNIP00000009400	ENSLOCP00000004643
ENSTNIP00000015355	ENSLOCP00000012176
ENSTNIP00000020495	ENSLOCP00000008344
ENSTNIP00000010366	ENSLOCP00000012014
ENSTNIP00000006777	ENSLOCP00000004731
ENSTNIP00000018579	ENSLOCP00000004731
ENSTNIP00000004232	ENSLOCP00000009358
ENSTNIP00000021319	ENSLOCP00000009358
ENSTNIP00000011229	ENSLOCP00000018216
ENSTNIP00000017504	ENSLOCP00000006899
ENSTNIP00000014347	ENSLOCP00000019725
ENSTNIP00000015091	ENSLOCP00000019725
ENSTNIP00000006009	ENSLOCP00000018203
ENSTNIP00000015472	ENSLOCP00000018203
ENSTNIP00000014070	ENSLOCP00000012560
ENSTNIP00000022535	ENSLOCP00000014625
ENSTNIP00000013166	ENSLOCP00000011702
ENSTNIP00000017385	ENSLOCP00000004154
ENSTNIP00000021633	ENSLOCP00000004516
ENSTNIP00000006529	ENSLOCP00000011163
ENSTNIP00000012589	ENSLOCP00000011163
ENSTNIP00000019489	ENSLOCP00000020251
ENSTNIP00000008351	ENSLOCP00000020287
ENSTNIP00000011343	ENSLOCP00000007217
ENSTNIP00000009832	ENSLOCP00000000876
ENSTNIP00000011695	ENSLOCP00000003376
ENSTNIP00000012507	ENSLOCP00000011255
ENSTNIP00000010059	ENSLOCP00000021189
ENSTNIP00000005460	ENSLOCP00000002235
ENSTNIP00000020028	ENSLOCP00000003249
ENSTNIP00000000589	ENSLOCP00000019473
ENSTNIP00000009807	ENSLOCP00000019473
ENSTNIP00000016240	ENSLOCP00000013472
ENSTNIP00000018847	ENSLOCP00000018778
ENSTNIP00000002068	ENSLOCP00000017623
ENSTNIP00000022138	ENSLOCP00000009993
ENSTNIP00000005351	ENSLOCP00000003471
ENSTNIP00000004489	ENSLOCP00000001969
ENSTNIP00000006781	ENSLOCP00000022429
ENSTNIP00000019601	ENSLOCP00000021935
ENSTNIP00000018159	ENSLOCP00000022309
ENSTNIP00000000759	ENSLOCP00000022309
ENSTNIP00000018605	ENSLOCP00000011378
ENSTNIP00000017718	ENSLOCP00000017842
ENSTNIP00000015414	ENSLOCP00000019045
ENSTNIP00000000110	ENSLOCP00000019295
ENSTNIP00000012771	ENSLOCP00000014495
ENSTNIP00000016036	ENSLOCP00000002207
ENSTNIP00000008856	ENSLOCP00000000046
ENSTNIP00000017156	ENSLOCP00000016875
ENSTNIP00000010967	ENSLOCP00000014518
ENSTNIP00000005107	ENSLOCP00000017175
ENSTNIP00000011131	ENSLOCP00000010114
ENSTNIP00000013828	ENSLOCP00000009013
ENSTNIP00000017790	ENSLOCP00000009065
ENSTNIP00000009154	ENSLOCP00000011158
ENSTNIP00000009164	ENSLOCP00000011158
ENSTNIP00000014948	ENSLOCP00000006055
ENSTNIP00000010510	ENSLOCP00000002443
ENSTNIP00000022040	ENSLOCP00000011588
ENSTNIP00000008569	ENSLOCP00000013253
ENSTNIP00000006689	ENSLOCP00000013271
ENSTNIP00000005153	ENSLOCP00000013984
ENSTNIP00000013909	ENSLOCP00000013984
ENSTNIP00000007319	ENSLOCP00000021070
ENSTNIP00000007704	ENSLOCP00000001317
ENSTNIP00000021294	ENSLOCP00000001059
ENSTNIP00000011909	ENSLOCP00000015979
ENSTNIP00000005877	ENSLOCP00000007485
ENSTNIP00000015101	ENSLOCP00000018776
ENSTNIP00000012610	ENSLOCP00000021177
ENSTNIP00000016469	ENSLOCP00000007029
ENSTNIP00000022225	ENSLOCP00000010750
ENSTNIP00000005455	ENSLOCP00000019055
ENSTNIP00000003237	ENSLOCP00000019055
ENSTNIP00000009582	ENSLOCP00000013710
ENSTNIP00000018175	ENSLOCP00000013710
ENSTNIP00000012663	ENSLOCP00000015642
ENSTNIP00000011128	ENSLOCP00000010004
ENSTNIP00000009206	ENSLOCP00000003959
ENSTNIP00000018971	ENSLOCP00000005107
ENSTNIP00000015857	ENSLOCP00000010365
ENSTNIP00000021291	ENSLOCP00000001873
ENSTNIP00000008855	ENSLOCP00000000044
ENSTNIP00000005864	ENSLOCP00000003613
ENSTNIP00000004290	ENSLOCP00000003613
ENSTNIP00000000564	ENSLOCP00000002575
ENSTNIP00000004971	ENSLOCP00000013512
ENSTNIP00000019862	ENSLOCP00000003206
ENSTNIP00000022187	ENSLOCP00000004778
ENSTNIP00000012230	ENSLOCP00000004697
ENSTNIP00000008957	ENSLOCP00000004697
ENSTNIP00000013606	ENSLOCP00000008012
ENSTNIP00000018400	ENSLOCP00000008012
ENSTNIP00000008151	ENSLOCP00000014668
ENSTNIP00000001004	ENSLOCP00000014668
ENSTNIP00000005236	ENSLOCP00000015875
ENSTNIP00000022156	ENSLOCP00000006242
ENSTNIP00000001946	ENSLOCP00000009760
ENSTNIP00000005006	ENSLOCP00000009760
ENSTNIP00000000517	ENSLOCP00000005861
ENSTNIP00000009610	ENSLOCP00000008215
ENSTNIP00000009607	ENSLOCP00000008179
ENSTNIP00000011635	ENSLOCP00000020161
ENSTNIP00000013963	ENSLOCP00000020161
ENSTNIP00000016718	ENSLOCP00000020208
ENSTNIP00000008250	ENSLOCP00000018594
ENSTNIP00000018027	ENSLOCP00000003504
ENSTNIP00000011823	ENSLOCP00000018276
ENSTNIP00000022878	ENSLOCP00000011557
ENSTNIP00000015408	ENSLOCP00000002245
ENSTNIP00000005958	ENSLOCP00000005952
ENSTNIP00000013297	ENSLOCP00000017532
ENSTNIP00000012416	ENSLOCP00000017532
ENSTNIP00000005978	ENSLOCP00000021347
ENSTNIP00000009466	ENSLOCP00000006072
ENSTNIP00000009886	ENSLOCP00000005221
ENSTNIP00000021184	ENSLOCP00000015051
ENSTNIP00000012902	ENSLOCP00000015458
ENSTNIP00000011486	ENSLOCP00000006402
ENSTNIP00000013856	ENSLOCP00000002216
ENSTNIP00000008963	ENSLOCP00000002216
ENSTNIP00000004438	ENSLOCP00000019565
ENSTNIP00000014678	ENSLOCP00000014030
ENSTNIP00000012223	ENSLOCP00000004614
ENSTNIP00000005888	ENSLOCP00000004050
ENSTNIP00000010928	ENSLOCP00000000246
ENSTNIP00000021358	ENSLOCP00000000246
ENSTNIP00000017140	ENSLOCP00000016808
ENSTNIP00000014563	ENSLOCP00000006604
ENSTNIP00000008143	ENSLOCP00000006604
ENSTNIP00000014905	ENSLOCP00000016806
ENSTNIP00000010929	ENSLOCP00000000222
ENSTNIP00000008080	ENSLOCP00000001823
ENSTNIP00000001466	ENSLOCP00000003174
ENSTNIP00000014393	ENSLOCP00000008710
ENSTNIP00000020628	ENSLOCP00000021302
ENSTNIP00000013668	ENSLOCP00000021302
ENSTNIP00000012089	ENSLOCP00000002027
ENSTNIP00000015747	ENSLOCP00000003711
ENSTNIP00000008779	ENSLOCP00000003711
ENSTNIP00000021891	ENSLOCP00000001407
ENSTNIP00000015859	ENSLOCP00000013996
ENSTNIP00000018329	ENSLOCP00000000159
ENSTNIP00000012257	ENSLOCP00000003313
ENSTNIP00000020893	ENSLOCP00000005911
ENSTNIP00000022303	ENSLOCP00000003804
ENSTNIP00000015197	ENSLOCP00000019706
ENSTNIP00000021451	ENSLOCP00000013006
ENSTNIP00000019168	ENSLOCP00000000003
ENSTNIP00000011646	ENSLOCP00000020482
ENSTNIP00000012443	ENSLOCP00000018516
ENSTNIP00000014957	ENSLOCP00000005726
ENSTNIP00000003806	ENSLOCP00000005353
ENSTNIP00000017340	ENSLOCP00000005332
ENSTNIP00000018295	ENSLOCP00000005332
ENSTNIP00000018639	ENSLOCP00000006003
ENSTNIP00000018217	ENSLOCP00000008839
ENSTNIP00000012346	ENSLOCP00000000307
ENSTNIP00000001891	ENSLOCP00000013830
ENSTNIP00000020248	ENSLOCP00000013373
ENSTNIP00000014676	ENSLOCP00000013953
ENSTNIP00000012347	ENSLOCP00000010520
ENSTNIP00000010345	ENSLOCP00000004872
ENSTNIP00000002910	ENSLOCP00000011038
ENSTNIP00000022222	ENSLOCP00000010581
ENSTNIP00000012854	ENSLOCP00000010581
ENSTNIP00000011254	ENSLOCP00000018383
ENSTNIP00000021024	ENSLOCP00000005593
ENSTNIP00000010120	ENSLOCP00000005593
ENSTNIP00000003138	ENSLOCP00000022225
ENSTNIP00000007116	ENSLOCP00000001520
ENSTNIP00000007873	ENSLOCP00000021137
ENSTNIP00000003073	ENSLOCP00000019545
ENSTNIP00000015440	ENSLOCP00000002445
ENSTNIP00000002945	ENSLOCP00000007633
ENSTNIP00000010493	ENSLOCP00000007633
ENSTNIP00000000060	ENSLOCP00000002749
ENSTNIP00000011180	ENSLOCP00000007449
ENSTNIP00000012573	ENSLOCP00000019935
ENSTNIP00000018552	ENSLOCP00000011379
ENSTNIP00000015480	ENSLOCP00000017777
ENSTNIP00000005714	ENSLOCP00000007280
ENSTNIP00000009287	ENSLOCP00000003880
ENSTNIP00000001236	ENSLOCP00000012033
ENSTNIP00000014332	ENSLOCP00000000818
ENSTNIP00000013368	ENSLOCP00000002181
ENSTNIP00000010042	ENSLOCP00000018932
ENSTNIP00000019093	ENSLOCP00000018932
ENSTNIP00000015175	ENSLOCP00000015379
ENSTNIP00000020582	ENSLOCP00000015379
ENSTNIP00000019695	ENSLOCP00000020033
ENSTNIP00000012955	ENSLOCP00000001598
ENSTNIP00000017286	ENSLOCP00000007296
ENSTNIP00000023097	ENSLOCP00000010070
ENSTNIP00000001903	ENSLOCP00000011440
ENSTNIP00000005786	ENSLOCP00000015471
ENSTNIP00000001272	ENSLOCP00000014096
ENSTNIP00000021258	ENSLOCP00000007824
ENSTNIP00000018716	ENSLOCP00000014117
ENSTNIP00000018715	ENSLOCP00000014107
ENSTNIP00000007349	ENSLOCP00000002613
ENSTNIP00000008800	ENSLOCP00000008628
ENSTNIP00000007586	ENSLOCP00000009922
ENSTNIP00000017585	ENSLOCP00000004498
ENSTNIP00000005255	ENSLOCP00000008216
ENSTNIP00000018154	ENSLOCP00000008910
ENSTNIP00000005456	ENSLOCP00000014035
ENSTNIP00000013171	ENSLOCP00000002496
ENSTNIP00000016401	ENSLOCP00000007723
ENSTNIP00000022967	ENSLOCP00000007620
ENSTNIP00000006084	ENSLOCP00000007620
ENSTNIP00000008550	ENSLOCP00000002225
ENSTNIP00000007796	ENSLOCP00000020080
ENSTNIP00000012491	ENSLOCP00000005783
ENSTNIP00000019154	ENSLOCP00000019185
ENSTNIP00000009836	ENSLOCP00000012674
ENSTNIP00000006621	ENSLOCP00000012674
ENSTNIP00000013169	ENSLOCP00000011473
ENSTNIP00000020394	ENSLOCP00000005296
ENSTNIP00000019855	ENSLOCP00000010604
ENSTNIP00000007224	ENSLOCP00000010054
ENSTNIP00000009040	ENSLOCP00000019819
ENSTNIP00000005096	ENSLOCP00000007257
ENSTNIP00000021793	ENSLOCP00000007257
