ENSTGUP00000008915	ENSACAP00000005936
ENSTGUP00000001335	ENSACAP00000005123
ENSTGUP00000001616	ENSACAP00000012263
ENSTGUP00000012121	ENSACAP00000016998
ENSTGUP00000017784	ENSACAP00000009190
ENSTGUP00000008788	ENSACAP00000000083
ENSTGUP00000000920	ENSACAP00000004428
ENSTGUP00000006514	ENSACAP00000002974
ENSTGUP00000000930	ENSACAP00000013481
ENSTGUP00000013468	ENSACAP00000000242
ENSTGUP00000012077	ENSACAP00000013864
ENSTGUP00000005575	ENSACAP00000022297
ENSTGUP00000003238	ENSACAP00000015728
ENSTGUP00000007512	ENSACAP00000007355
ENSTGUP00000008852	ENSACAP00000018297
ENSTGUP00000015232	ENSACAP00000015927
ENSTGUP00000000891	ENSACAP00000017368
ENSTGUP00000006775	ENSACAP00000016774
ENSTGUP00000011382	ENSACAP00000017702
ENSTGUP00000013703	ENSACAP00000007485
ENSTGUP00000014768	ENSACAP00000006473
ENSTGUP00000009104	ENSACAP00000006842
ENSTGUP00000000722	ENSACAP00000013174
ENSTGUP00000008875	ENSACAP00000000079
ENSTGUP00000014710	ENSACAP00000004792
ENSTGUP00000013567	ENSACAP00000009131
ENSTGUP00000016110	ENSACAP00000015338
ENSTGUP00000004977	ENSACAP00000007490
ENSTGUP00000005741	ENSACAP00000005084
ENSTGUP00000016820	ENSACAP00000007285
ENSTGUP00000004581	ENSACAP00000010928
ENSTGUP00000007902	ENSACAP00000010696
ENSTGUP00000001208	ENSACAP00000016713
ENSTGUP00000000228	ENSACAP00000005094
ENSTGUP00000002076	ENSACAP00000016443
ENSTGUP00000000180	ENSACAP00000001895
ENSTGUP00000013997	ENSACAP00000014884
ENSTGUP00000005782	ENSACAP00000004742
ENSTGUP00000005006	ENSACAP00000005904
ENSTGUP00000013118	ENSACAP00000013070
ENSTGUP00000003528	ENSACAP00000014146
ENSTGUP00000007385	ENSACAP00000011702
ENSTGUP00000003067	ENSACAP00000015780
ENSTGUP00000005646	ENSACAP00000002299
ENSTGUP00000004744	ENSACAP00000017514
ENSTGUP00000001808	ENSACAP00000006047
ENSTGUP00000007259	ENSACAP00000003471
ENSTGUP00000010021	ENSACAP00000007070
ENSTGUP00000000269	ENSACAP00000005752
ENSTGUP00000008703	ENSACAP00000007401
ENSTGUP00000000869	ENSACAP00000019189
ENSTGUP00000011510	ENSACAP00000009600
ENSTGUP00000004236	ENSACAP00000018998
ENSTGUP00000002050	ENSACAP00000011711
ENSTGUP00000017815	ENSACAP00000017664
ENSTGUP00000004062	ENSACAP00000002249
ENSTGUP00000004566	ENSACAP00000000195
ENSTGUP00000001855	ENSACAP00000010451
ENSTGUP00000007193	ENSACAP00000011342
ENSTGUP00000010614	ENSACAP00000014285
ENSTGUP00000001146	ENSACAP00000003308
ENSTGUP00000009073	ENSACAP00000006661
ENSTGUP00000010457	ENSACAP00000010344
ENSTGUP00000006886	ENSACAP00000008723
ENSTGUP00000005604	ENSACAP00000012354
ENSTGUP00000000719	ENSACAP00000008800
ENSTGUP00000010484	ENSACAP00000000609
ENSTGUP00000001484	ENSACAP00000015558
ENSTGUP00000017785	ENSACAP00000014183
ENSTGUP00000008916	ENSACAP00000013350
ENSTGUP00000008359	ENSACAP00000010506
ENSTGUP00000003284	ENSACAP00000009513
ENSTGUP00000005747	ENSACAP00000002901
ENSTGUP00000008668	ENSACAP00000012544
ENSTGUP00000013552	ENSACAP00000015144
ENSTGUP00000001739	ENSACAP00000020331
ENSTGUP00000011408	ENSACAP00000022081
ENSTGUP00000013534	ENSACAP00000007051
ENSTGUP00000004152	ENSACAP00000019114
ENSTGUP00000003859	ENSACAP00000015012
ENSTGUP00000014941	ENSACAP00000004435
ENSTGUP00000003338	ENSACAP00000009498
ENSTGUP00000001990	ENSACAP00000003976
ENSTGUP00000013056	ENSACAP00000004307
ENSTGUP00000000367	ENSACAP00000001594
ENSTGUP00000003797	ENSACAP00000010217
ENSTGUP00000009690	ENSACAP00000003655
ENSTGUP00000002403	ENSACAP00000015880
ENSTGUP00000002610	ENSACAP00000008565
ENSTGUP00000004020	ENSACAP00000002928
ENSTGUP00000015654	ENSACAP00000008095
ENSTGUP00000009469	ENSACAP00000016976
ENSTGUP00000002508	ENSACAP00000016880
ENSTGUP00000010505	ENSACAP00000001932
ENSTGUP00000007392	ENSACAP00000007917
ENSTGUP00000007382	ENSACAP00000007896
ENSTGUP00000005260	ENSACAP00000004457
ENSTGUP00000002415	ENSACAP00000015885
ENSTGUP00000005613	ENSACAP00000002426
ENSTGUP00000010013	ENSACAP00000002385
ENSTGUP00000003654	ENSACAP00000017474
ENSTGUP00000007258	ENSACAP00000005740
ENSTGUP00000003652	ENSACAP00000000523
ENSTGUP00000007261	ENSACAP00000005682
ENSTGUP00000013781	ENSACAP00000003383
ENSTGUP00000003258	ENSACAP00000016069
ENSTGUP00000002891	ENSACAP00000001093
ENSTGUP00000015287	ENSACAP00000007667
ENSTGUP00000001094	ENSACAP00000017526
ENSTGUP00000007581	ENSACAP00000015435
ENSTGUP00000002648	ENSACAP00000014650
ENSTGUP00000002636	ENSACAP00000014665
ENSTGUP00000001638	ENSACAP00000000942
ENSTGUP00000002188	ENSACAP00000009728
ENSTGUP00000002190	ENSACAP00000009731
ENSTGUP00000008066	ENSACAP00000014024
ENSTGUP00000002551	ENSACAP00000001427
ENSTGUP00000013312	ENSACAP00000015468
ENSTGUP00000010642	ENSACAP00000004783
ENSTGUP00000010646	ENSACAP00000008216
ENSTGUP00000010652	ENSACAP00000004784
ENSTGUP00000012303	ENSACAP00000013542
ENSTGUP00000011871	ENSACAP00000009388
ENSTGUP00000000742	ENSACAP00000018145
ENSTGUP00000006629	ENSACAP00000012872
ENSTGUP00000003796	ENSACAP00000016705
ENSTGUP00000006828	ENSACAP00000016101
ENSTGUP00000010330	ENSACAP00000003008
ENSTGUP00000006934	ENSACAP00000002577
ENSTGUP00000011117	ENSACAP00000009720
ENSTGUP00000011415	ENSACAP00000000973
ENSTGUP00000001560	ENSACAP00000013030
ENSTGUP00000009514	ENSACAP00000001579
ENSTGUP00000013124	ENSACAP00000022538
ENSTGUP00000004234	ENSACAP00000005645
ENSTGUP00000012102	ENSACAP00000015655
ENSTGUP00000002417	ENSACAP00000001953
ENSTGUP00000013346	ENSACAP00000005411
ENSTGUP00000003376	ENSACAP00000000088
ENSTGUP00000003334	ENSACAP00000013225
ENSTGUP00000007617	ENSACAP00000006078
ENSTGUP00000013353	ENSACAP00000005523
ENSTGUP00000016403	ENSACAP00000016164
ENSTGUP00000017623	ENSACAP00000011534
ENSTGUP00000013167	ENSACAP00000006602
ENSTGUP00000009670	ENSACAP00000003200
ENSTGUP00000009752	ENSACAP00000009074
ENSTGUP00000008638	ENSACAP00000001753
ENSTGUP00000009518	ENSACAP00000001589
ENSTGUP00000010255	ENSACAP00000019903
ENSTGUP00000008451	ENSACAP00000012169
ENSTGUP00000000354	ENSACAP00000006466
ENSTGUP00000004287	ENSACAP00000008206
ENSTGUP00000008720	ENSACAP00000004741
ENSTGUP00000007254	ENSACAP00000015089
ENSTGUP00000000578	ENSACAP00000010728
ENSTGUP00000000599	ENSACAP00000010782
ENSTGUP00000003357	ENSACAP00000002673
ENSTGUP00000013264	ENSACAP00000014351
ENSTGUP00000009842	ENSACAP00000000607
ENSTGUP00000004777	ENSACAP00000008532
ENSTGUP00000014311	ENSACAP00000008554
ENSTGUP00000005434	ENSACAP00000006509
ENSTGUP00000010722	ENSACAP00000004623
ENSTGUP00000009765	ENSACAP00000000901
ENSTGUP00000006018	ENSACAP00000003028
ENSTGUP00000017723	ENSACAP00000002875
ENSTGUP00000013065	ENSACAP00000004244
ENSTGUP00000012921	ENSACAP00000010760
ENSTGUP00000007668	ENSACAP00000005855
ENSTGUP00000013073	ENSACAP00000004205
ENSTGUP00000009461	ENSACAP00000022123
ENSTGUP00000005049	ENSACAP00000014691
ENSTGUP00000005107	ENSACAP00000022035
ENSTGUP00000008600	ENSACAP00000008887
ENSTGUP00000013380	ENSACAP00000006450
ENSTGUP00000003980	ENSACAP00000003697
ENSTGUP00000003970	ENSACAP00000003684
ENSTGUP00000009936	ENSACAP00000009858
ENSTGUP00000017814	ENSACAP00000010293
ENSTGUP00000013262	ENSACAP00000023319
ENSTGUP00000010929	ENSACAP00000022398
ENSTGUP00000002766	ENSACAP00000008947
ENSTGUP00000017804	ENSACAP00000000177
ENSTGUP00000009875	ENSACAP00000002350
ENSTGUP00000013550	ENSACAP00000014072
ENSTGUP00000012344	ENSACAP00000001779
ENSTGUP00000013344	ENSACAP00000005299
ENSTGUP00000011271	ENSACAP00000012130
ENSTGUP00000003913	ENSACAP00000008363
ENSTGUP00000012263	ENSACAP00000014036
ENSTGUP00000002408	ENSACAP00000007060
ENSTGUP00000013640	ENSACAP00000012829
ENSTGUP00000004846	ENSACAP00000005032
ENSTGUP00000002184	ENSACAP00000005870
ENSTGUP00000017308	ENSACAP00000009679
ENSTGUP00000005736	ENSACAP00000005546
ENSTGUP00000001303	ENSACAP00000017072
ENSTGUP00000000660	ENSACAP00000012489
ENSTGUP00000008161	ENSACAP00000020615
ENSTGUP00000007176	ENSACAP00000000594
ENSTGUP00000017739	ENSACAP00000016644
ENSTGUP00000008762	ENSACAP00000000809
ENSTGUP00000002152	ENSACAP00000004810
ENSTGUP00000002182	ENSACAP00000004629
ENSTGUP00000010598	ENSACAP00000021872
ENSTGUP00000000131	ENSACAP00000000226
ENSTGUP00000001243	ENSACAP00000020901
ENSTGUP00000007549	ENSACAP00000006137
ENSTGUP00000011679	ENSACAP00000006741
ENSTGUP00000000911	ENSACAP00000000905
ENSTGUP00000001271	ENSACAP00000021463
ENSTGUP00000008110	ENSACAP00000009209
ENSTGUP00000005472	ENSACAP00000003253
ENSTGUP00000011372	ENSACAP00000015115
ENSTGUP00000012284	ENSACAP00000013959
ENSTGUP00000003950	ENSACAP00000012315
ENSTGUP00000012352	ENSACAP00000016268
ENSTGUP00000008770	ENSACAP00000021250
ENSTGUP00000002994	ENSACAP00000010157
ENSTGUP00000001715	ENSACAP00000016828
ENSTGUP00000007703	ENSACAP00000001504
ENSTGUP00000009107	ENSACAP00000012882
ENSTGUP00000016151	ENSACAP00000016001
ENSTGUP00000007045	ENSACAP00000006310
ENSTGUP00000000219	ENSACAP00000005065
ENSTGUP00000010553	ENSACAP00000000988
ENSTGUP00000005825	ENSACAP00000002892
ENSTGUP00000011373	ENSACAP00000014900
ENSTGUP00000011300	ENSACAP00000014551
ENSTGUP00000011346	ENSACAP00000014771
ENSTGUP00000011340	ENSACAP00000014705
ENSTGUP00000003563	ENSACAP00000002010
ENSTGUP00000008691	ENSACAP00000007811
ENSTGUP00000012771	ENSACAP00000014205
ENSTGUP00000013311	ENSACAP00000005055
ENSTGUP00000003264	ENSACAP00000003452
ENSTGUP00000009628	ENSACAP00000022607
ENSTGUP00000008404	ENSACAP00000007418
ENSTGUP00000016541	ENSACAP00000009843
ENSTGUP00000007997	ENSACAP00000010717
ENSTGUP00000006527	ENSACAP00000023161
ENSTGUP00000000237	ENSACAP00000007133
ENSTGUP00000013904	ENSACAP00000009262
ENSTGUP00000017637	ENSACAP00000007144
ENSTGUP00000000233	ENSACAP00000007166
ENSTGUP00000008091	ENSACAP00000014451
ENSTGUP00000008275	ENSACAP00000011447
ENSTGUP00000011791	ENSACAP00000012845
ENSTGUP00000011245	ENSACAP00000003423
ENSTGUP00000007184	ENSACAP00000014516
ENSTGUP00000013609	ENSACAP00000013145
ENSTGUP00000005413	ENSACAP00000016589
ENSTGUP00000011588	ENSACAP00000016612
ENSTGUP00000008513	ENSACAP00000000766
ENSTGUP00000012176	ENSACAP00000001550
ENSTGUP00000011569	ENSACAP00000005884
ENSTGUP00000015744	ENSACAP00000015136
ENSTGUP00000015009	ENSACAP00000016217
ENSTGUP00000004590	ENSACAP00000001002
ENSTGUP00000002938	ENSACAP00000013260
ENSTGUP00000009423	ENSACAP00000010212
ENSTGUP00000010729	ENSACAP00000011210
ENSTGUP00000009389	ENSACAP00000005192
ENSTGUP00000004504	ENSACAP00000011119
ENSTGUP00000011052	ENSACAP00000016014
ENSTGUP00000004516	ENSACAP00000000189
ENSTGUP00000004460	ENSACAP00000007863
ENSTGUP00000013320	ENSACAP00000005144
ENSTGUP00000001792	ENSACAP00000013190
ENSTGUP00000010333	ENSACAP00000021368
ENSTGUP00000003524	ENSACAP00000009646
ENSTGUP00000013464	ENSACAP00000015982
ENSTGUP00000005217	ENSACAP00000003038
ENSTGUP00000012701	ENSACAP00000008252
ENSTGUP00000013721	ENSACAP00000010036
ENSTGUP00000008583	ENSACAP00000016064
ENSTGUP00000001687	ENSACAP00000014392
ENSTGUP00000010139	ENSACAP00000022803
ENSTGUP00000002961	ENSACAP00000003080
ENSTGUP00000005561	ENSACAP00000002627
ENSTGUP00000009410	ENSACAP00000003987
ENSTGUP00000003162	ENSACAP00000013258
ENSTGUP00000006712	ENSACAP00000012231
ENSTGUP00000017666	ENSACAP00000012123
ENSTGUP00000010757	ENSACAP00000008258
ENSTGUP00000003663	ENSACAP00000010223
ENSTGUP00000008481	ENSACAP00000011216
ENSTGUP00000011888	ENSACAP00000011928
ENSTGUP00000004522	ENSACAP00000006406
ENSTGUP00000005546	ENSACAP00000016440
ENSTGUP00000006158	ENSACAP00000011920
ENSTGUP00000009193	ENSACAP00000011449
ENSTGUP00000007870	ENSACAP00000019131
ENSTGUP00000015337	ENSACAP00000008195
ENSTGUP00000008844	ENSACAP00000021848
ENSTGUP00000012400	ENSACAP00000016076
ENSTGUP00000009196	ENSACAP00000000060
ENSTGUP00000009228	ENSACAP00000000062
ENSTGUP00000012466	ENSACAP00000016848
ENSTGUP00000010031	ENSACAP00000002993
ENSTGUP00000014507	ENSACAP00000014378
ENSTGUP00000003709	ENSACAP00000016349
ENSTGUP00000014278	ENSACAP00000002530
ENSTGUP00000005681	ENSACAP00000002280
ENSTGUP00000009575	ENSACAP00000008704
ENSTGUP00000005669	ENSACAP00000002301
ENSTGUP00000005672	ENSACAP00000002289
ENSTGUP00000004672	ENSACAP00000000982
ENSTGUP00000007357	ENSACAP00000006631
ENSTGUP00000003986	ENSACAP00000009525
ENSTGUP00000005160	ENSACAP00000011435
ENSTGUP00000005026	ENSACAP00000014149
ENSTGUP00000006525	ENSACAP00000017519
ENSTGUP00000017474	ENSACAP00000013251
ENSTGUP00000017458	ENSACAP00000018385
ENSTGUP00000001355	ENSACAP00000003635
ENSTGUP00000007730	ENSACAP00000006532
ENSTGUP00000016201	ENSACAP00000015536
ENSTGUP00000004958	ENSACAP00000007357
ENSTGUP00000017828	ENSACAP00000017648
ENSTGUP00000013013	ENSACAP00000004922
ENSTGUP00000014041	ENSACAP00000010908
ENSTGUP00000001481	ENSACAP00000016710
ENSTGUP00000004119	ENSACAP00000022499
ENSTGUP00000004758	ENSACAP00000006787
ENSTGUP00000001167	ENSACAP00000003450
ENSTGUP00000001284	ENSACAP00000017120
ENSTGUP00000005641	ENSACAP00000000624
ENSTGUP00000005351	ENSACAP00000000588
ENSTGUP00000008758	ENSACAP00000007712
ENSTGUP00000005051	ENSACAP00000002813
ENSTGUP00000008220	ENSACAP00000003779
ENSTGUP00000005553	ENSACAP00000006838
ENSTGUP00000010366	ENSACAP00000003121
ENSTGUP00000001424	ENSACAP00000004681
ENSTGUP00000018065	ENSACAP00000008548
ENSTGUP00000011327	ENSACAP00000019498
ENSTGUP00000004064	ENSACAP00000008475
ENSTGUP00000012708	ENSACAP00000008306
ENSTGUP00000013371	ENSACAP00000016647
ENSTGUP00000006126	ENSACAP00000005587
ENSTGUP00000002118	ENSACAP00000017342
ENSTGUP00000011714	ENSACAP00000006756
ENSTGUP00000012054	ENSACAP00000005040
ENSTGUP00000001057	ENSACAP00000007413
ENSTGUP00000000004	ENSACAP00000007085
ENSTGUP00000011132	ENSACAP00000011502
ENSTGUP00000016601	ENSACAP00000007942
ENSTGUP00000005347	ENSACAP00000010004
ENSTGUP00000012638	ENSACAP00000010045
ENSTGUP00000002235	ENSACAP00000020018
ENSTGUP00000014902	ENSACAP00000000445
ENSTGUP00000003269	ENSACAP00000015191
ENSTGUP00000008191	ENSACAP00000011167
ENSTGUP00000001177	ENSACAP00000008008
ENSTGUP00000010058	ENSACAP00000004399
ENSTGUP00000007219	ENSACAP00000000803
ENSTGUP00000008212	ENSACAP00000008345
ENSTGUP00000002306	ENSACAP00000003367
ENSTGUP00000012158	ENSACAP00000004184
ENSTGUP00000009157	ENSACAP00000007474
ENSTGUP00000012145	ENSACAP00000001458
ENSTGUP00000002564	ENSACAP00000014765
ENSTGUP00000010617	ENSACAP00000004657
ENSTGUP00000015957	ENSACAP00000016406
ENSTGUP00000012594	ENSACAP00000010376
ENSTGUP00000010318	ENSACAP00000001164
ENSTGUP00000000419	ENSACAP00000005810
ENSTGUP00000009545	ENSACAP00000011557
ENSTGUP00000008754	ENSACAP00000015652
ENSTGUP00000005134	ENSACAP00000013834
ENSTGUP00000011142	ENSACAP00000002635
ENSTGUP00000008315	ENSACAP00000006227
ENSTGUP00000011770	ENSACAP00000005008
ENSTGUP00000003893	ENSACAP00000004083
ENSTGUP00000011981	ENSACAP00000011214
ENSTGUP00000007205	ENSACAP00000011080
ENSTGUP00000014107	ENSACAP00000015437
ENSTGUP00000001972	ENSACAP00000007790
ENSTGUP00000010482	ENSACAP00000011160
ENSTGUP00000001775	ENSACAP00000005916
ENSTGUP00000008537	ENSACAP00000016208
ENSTGUP00000001667	ENSACAP00000014283
ENSTGUP00000010492	ENSACAP00000012562
ENSTGUP00000002386	ENSACAP00000002378
ENSTGUP00000001392	ENSACAP00000004847
ENSTGUP00000008173	ENSACAP00000010954
ENSTGUP00000009905	ENSACAP00000006737
ENSTGUP00000009932	ENSACAP00000006791
ENSTGUP00000002220	ENSACAP00000009962
ENSTGUP00000002273	ENSACAP00000010102
ENSTGUP00000002291	ENSACAP00000019044
ENSTGUP00000011073	ENSACAP00000014348
ENSTGUP00000004253	ENSACAP00000017517
ENSTGUP00000008979	ENSACAP00000009392
ENSTGUP00000007190	ENSACAP00000007409
ENSTGUP00000011516	ENSACAP00000005518
ENSTGUP00000007729	ENSACAP00000012104
ENSTGUP00000013806	ENSACAP00000009797
ENSTGUP00000004537	ENSACAP00000020911
ENSTGUP00000010327	ENSACAP00000001116
ENSTGUP00000005720	ENSACAP00000015474
ENSTGUP00000013634	ENSACAP00000012914
ENSTGUP00000011596	ENSACAP00000016554
ENSTGUP00000011472	ENSACAP00000005262
ENSTGUP00000000259	ENSACAP00000006654
ENSTGUP00000002243	ENSACAP00000017421
ENSTGUP00000012150	ENSACAP00000010082
ENSTGUP00000007063	ENSACAP00000019370
ENSTGUP00000005584	ENSACAP00000005303
ENSTGUP00000000348	ENSACAP00000008303
ENSTGUP00000005800	ENSACAP00000004789
ENSTGUP00000014702	ENSACAP00000015583
ENSTGUP00000010766	ENSACAP00000011008
ENSTGUP00000002968	ENSACAP00000020481
ENSTGUP00000008158	ENSACAP00000008088
ENSTGUP00000002315	ENSACAP00000003237
ENSTGUP00000011706	ENSACAP00000017194
ENSTGUP00000004524	ENSACAP00000002437
ENSTGUP00000013743	ENSACAP00000007938
ENSTGUP00000010115	ENSACAP00000007692
ENSTGUP00000002464	ENSACAP00000002841
ENSTGUP00000013397	ENSACAP00000012202
ENSTGUP00000011921	ENSACAP00000003050
ENSTGUP00000008113	ENSACAP00000005799
ENSTGUP00000004045	ENSACAP00000009466
ENSTGUP00000000496	ENSACAP00000006764
ENSTGUP00000003646	ENSACAP00000011676
ENSTGUP00000013258	ENSACAP00000008668
ENSTGUP00000011148	ENSACAP00000016136
ENSTGUP00000001928	ENSACAP00000010706
ENSTGUP00000000739	ENSACAP00000008342
ENSTGUP00000014708	ENSACAP00000000292
ENSTGUP00000005396	ENSACAP00000016592
ENSTGUP00000012194	ENSACAP00000001387
ENSTGUP00000010522	ENSACAP00000004700
ENSTGUP00000003660	ENSACAP00000016253
ENSTGUP00000001065	ENSACAP00000010516
ENSTGUP00000007834	ENSACAP00000002693
ENSTGUP00000005998	ENSACAP00000005027
ENSTGUP00000008103	ENSACAP00000020603
ENSTGUP00000002845	ENSACAP00000006327
ENSTGUP00000012368	ENSACAP00000016353
ENSTGUP00000007495	ENSACAP00000014973
ENSTGUP00000001329	ENSACAP00000005221
ENSTGUP00000009743	ENSACAP00000017129
ENSTGUP00000007525	ENSACAP00000021532
ENSTGUP00000011194	ENSACAP00000019924
ENSTGUP00000005970	ENSACAP00000021507
ENSTGUP00000010901	ENSACAP00000018980
ENSTGUP00000006607	ENSACAP00000017651
ENSTGUP00000003184	ENSACAP00000004689
ENSTGUP00000007643	ENSACAP00000010853
ENSTGUP00000011495	ENSACAP00000020401
ENSTGUP00000006741	ENSACAP00000006453
ENSTGUP00000002579	ENSACAP00000012667
ENSTGUP00000007324	ENSACAP00000020519
ENSTGUP00000001772	ENSACAP00000013054
ENSTGUP00000009243	ENSACAP00000012381
ENSTGUP00000001909	ENSACAP00000017326
ENSTGUP00000008195	ENSACAP00000016922
ENSTGUP00000008899	ENSACAP00000006419
ENSTGUP00000007251	ENSACAP00000008402
ENSTGUP00000010036	ENSACAP00000010275
ENSTGUP00000001501	ENSACAP00000003460
ENSTGUP00000015876	ENSACAP00000020676
ENSTGUP00000003402	ENSACAP00000005918
ENSTGUP00000009080	ENSACAP00000013459
ENSTGUP00000006993	ENSACAP00000008890
ENSTGUP00000000210	ENSACAP00000005023
ENSTGUP00000017749	ENSACAP00000016397
ENSTGUP00000013564	ENSACAP00000009213
ENSTGUP00000003320	ENSACAP00000002138
ENSTGUP00000006703	ENSACAP00000006753
ENSTGUP00000002413	ENSACAP00000001891
ENSTGUP00000010588	ENSACAP00000004576
ENSTGUP00000006076	ENSACAP00000006956
ENSTGUP00000011559	ENSACAP00000016035
ENSTGUP00000012311	ENSACAP00000012239
ENSTGUP00000003197	ENSACAP00000022406
ENSTGUP00000013348	ENSACAP00000015850
ENSTGUP00000013170	ENSACAP00000000098
ENSTGUP00000005123	ENSACAP00000005328
ENSTGUP00000004095	ENSACAP00000009697
ENSTGUP00000003775	ENSACAP00000014333
ENSTGUP00000007691	ENSACAP00000006761
ENSTGUP00000003758	ENSACAP00000011496
ENSTGUP00000016505	ENSACAP00000008788
ENSTGUP00000004199	ENSACAP00000011764
ENSTGUP00000010834	ENSACAP00000015166
ENSTGUP00000003641	ENSACAP00000005420
ENSTGUP00000013333	ENSACAP00000001354
ENSTGUP00000009111	ENSACAP00000009596
ENSTGUP00000008695	ENSACAP00000004990
ENSTGUP00000013829	ENSACAP00000010477
ENSTGUP00000010235	ENSACAP00000010901
ENSTGUP00000008367	ENSACAP00000003541
ENSTGUP00000006827	ENSACAP00000001030
ENSTGUP00000007212	ENSACAP00000009688
ENSTGUP00000011398	ENSACAP00000016226
ENSTGUP00000006292	ENSACAP00000001074
ENSTGUP00000005243	ENSACAP00000011982
ENSTGUP00000011463	ENSACAP00000005063
ENSTGUP00000001022	ENSACAP00000016351
ENSTGUP00000004138	ENSACAP00000014875
ENSTGUP00000001800	ENSACAP00000021025
ENSTGUP00000012221	ENSACAP00000014831
ENSTGUP00000008199	ENSACAP00000016769
ENSTGUP00000008143	ENSACAP00000004483
ENSTGUP00000013134	ENSACAP00000022711
ENSTGUP00000001280	ENSACAP00000001127
ENSTGUP00000009392	ENSACAP00000011919
ENSTGUP00000003813	ENSACAP00000016452
ENSTGUP00000009322	ENSACAP00000008110
ENSTGUP00000000638	ENSACAP00000000313
ENSTGUP00000001078	ENSACAP00000007345
ENSTGUP00000003805	ENSACAP00000010090
ENSTGUP00000001706	ENSACAP00000012660
ENSTGUP00000001137	ENSACAP00000016181
ENSTGUP00000001431	ENSACAP00000015873
ENSTGUP00000009595	ENSACAP00000019224
