ENSCAFP00000014731	ENSORLP00000017023
ENSCAFP00000003598	ENSORLP00000012741
ENSCAFP00000028722	ENSORLP00000011358
ENSCAFP00000034674	ENSORLP00000020718
ENSCAFP00000030999	ENSORLP00000017749
ENSCAFP00000009236	ENSORLP00000019122
ENSCAFP00000020942	ENSORLP00000019397
ENSCAFP00000036371	ENSORLP00000020399
ENSCAFP00000036371	ENSORLP00000003855
ENSCAFP00000016465	ENSORLP00000008892
ENSCAFP00000025949	ENSORLP00000008411
ENSCAFP00000025949	ENSORLP00000002451
ENSCAFP00000020623	ENSORLP00000001579
ENSCAFP00000019067	ENSORLP00000016596
ENSCAFP00000019067	ENSORLP00000012171
ENSCAFP00000002572	ENSORLP00000000631
ENSCAFP00000002573	ENSORLP00000000643
ENSCAFP00000015697	ENSORLP00000003863
ENSCAFP00000008315	ENSORLP00000003946
ENSCAFP00000023232	ENSORLP00000018264
ENSCAFP00000014368	ENSORLP00000004025
ENSCAFP00000001557	ENSORLP00000008236
ENSCAFP00000004162	ENSORLP00000015074
ENSCAFP00000023110	ENSORLP00000025646
ENSCAFP00000006542	ENSORLP00000008488
ENSCAFP00000022969	ENSORLP00000019732
ENSCAFP00000040206	ENSORLP00000019739
ENSCAFP00000003716	ENSORLP00000005562
ENSCAFP00000003708	ENSORLP00000005568
ENSCAFP00000012996	ENSORLP00000000954
ENSCAFP00000027024	ENSORLP00000022406
ENSCAFP00000028252	ENSORLP00000022541
ENSCAFP00000028252	ENSORLP00000021818
ENSCAFP00000018239	ENSORLP00000001585
ENSCAFP00000013467	ENSORLP00000024109
ENSCAFP00000006489	ENSORLP00000020061
ENSCAFP00000006489	ENSORLP00000013463
ENSCAFP00000021364	ENSORLP00000011283
ENSCAFP00000004775	ENSORLP00000022013
ENSCAFP00000010009	ENSORLP00000021863
ENSCAFP00000011007	ENSORLP00000007508
ENSCAFP00000001321	ENSORLP00000019672
ENSCAFP00000043077	ENSORLP00000013177
ENSCAFP00000041266	ENSORLP00000001420
ENSCAFP00000015470	ENSORLP00000021168
ENSCAFP00000015470	ENSORLP00000004254
ENSCAFP00000042532	ENSORLP00000008713
ENSCAFP00000042532	ENSORLP00000023858
ENSCAFP00000012421	ENSORLP00000025494
ENSCAFP00000024642	ENSORLP00000013846
ENSCAFP00000010770	ENSORLP00000004640
ENSCAFP00000024338	ENSORLP00000003433
ENSCAFP00000006187	ENSORLP00000009051
ENSCAFP00000025113	ENSORLP00000008276
ENSCAFP00000005216	ENSORLP00000014984
ENSCAFP00000017041	ENSORLP00000018887
ENSCAFP00000039810	ENSORLP00000005319
ENSCAFP00000020878	ENSORLP00000018843
ENSCAFP00000002131	ENSORLP00000014859
ENSCAFP00000028913	ENSORLP00000017630
ENSCAFP00000042339	ENSORLP00000002967
ENSCAFP00000008259	ENSORLP00000009719
ENSCAFP00000031887	ENSORLP00000016385
ENSCAFP00000020325	ENSORLP00000011881
ENSCAFP00000010756	ENSORLP00000004619
ENSCAFP00000008390	ENSORLP00000012934
ENSCAFP00000028873	ENSORLP00000014691
ENSCAFP00000025456	ENSORLP00000025699
ENSCAFP00000002279	ENSORLP00000025092
ENSCAFP00000002279	ENSORLP00000008947
ENSCAFP00000030020	ENSORLP00000007330
ENSCAFP00000029648	ENSORLP00000021066
ENSCAFP00000029648	ENSORLP00000017966
ENSCAFP00000018839	ENSORLP00000019821
ENSCAFP00000018839	ENSORLP00000011260
ENSCAFP00000019099	ENSORLP00000003189
ENSCAFP00000042471	ENSORLP00000015135
ENSCAFP00000037953	ENSORLP00000015125
ENSCAFP00000037953	ENSORLP00000011254
ENSCAFP00000009132	ENSORLP00000024718
ENSCAFP00000008783	ENSORLP00000013929
ENSCAFP00000013874	ENSORLP00000020501
ENSCAFP00000039644	ENSORLP00000005391
ENSCAFP00000017037	ENSORLP00000001836
ENSCAFP00000017037	ENSORLP00000002802
ENSCAFP00000010681	ENSORLP00000004251
ENSCAFP00000008523	ENSORLP00000007785
ENSCAFP00000021553	ENSORLP00000003955
ENSCAFP00000021553	ENSORLP00000005716
ENSCAFP00000029683	ENSORLP00000009447
ENSCAFP00000000032	ENSORLP00000025680
ENSCAFP00000039820	ENSORLP00000017370
ENSCAFP00000025905	ENSORLP00000015976
ENSCAFP00000025905	ENSORLP00000010846
ENSCAFP00000037408	ENSORLP00000014408
ENSCAFP00000024003	ENSORLP00000021608
ENSCAFP00000024003	ENSORLP00000014160
ENSCAFP00000005367	ENSORLP00000006974
ENSCAFP00000022150	ENSORLP00000004278
ENSCAFP00000029639	ENSORLP00000020050
ENSCAFP00000013939	ENSORLP00000008218
ENSCAFP00000018700	ENSORLP00000012723
ENSCAFP00000001191	ENSORLP00000007001
ENSCAFP00000001191	ENSORLP00000002142
ENSCAFP00000012166	ENSORLP00000014484
ENSCAFP00000023790	ENSORLP00000019891
ENSCAFP00000018292	ENSORLP00000019320
ENSCAFP00000018292	ENSORLP00000020797
ENSCAFP00000019683	ENSORLP00000004088
ENSCAFP00000014137	ENSORLP00000005176
ENSCAFP00000020384	ENSORLP00000010903
ENSCAFP00000009003	ENSORLP00000003924
ENSCAFP00000009003	ENSORLP00000005958
ENSCAFP00000026323	ENSORLP00000009004
ENSCAFP00000037494	ENSORLP00000016407
ENSCAFP00000017429	ENSORLP00000002498
ENSCAFP00000024276	ENSORLP00000005899
ENSCAFP00000005317	ENSORLP00000000178
ENSCAFP00000015478	ENSORLP00000018925
ENSCAFP00000027600	ENSORLP00000003200
ENSCAFP00000022673	ENSORLP00000016932
ENSCAFP00000001958	ENSORLP00000006703
ENSCAFP00000012263	ENSORLP00000020649
ENSCAFP00000006886	ENSORLP00000013120
ENSCAFP00000021570	ENSORLP00000009845
ENSCAFP00000013230	ENSORLP00000006238
ENSCAFP00000013230	ENSORLP00000011233
ENSCAFP00000002446	ENSORLP00000005200
ENSCAFP00000002925	ENSORLP00000025778
ENSCAFP00000011342	ENSORLP00000002793
ENSCAFP00000011342	ENSORLP00000007565
ENSCAFP00000027100	ENSORLP00000019101
ENSCAFP00000038401	ENSORLP00000008804
ENSCAFP00000038401	ENSORLP00000010408
ENSCAFP00000013877	ENSORLP00000000955
ENSCAFP00000005116	ENSORLP00000024303
ENSCAFP00000020107	ENSORLP00000007370
ENSCAFP00000020107	ENSORLP00000011202
ENSCAFP00000013583	ENSORLP00000002460
ENSCAFP00000004554	ENSORLP00000014546
ENSCAFP00000042713	ENSORLP00000025283
ENSCAFP00000042713	ENSORLP00000023562
ENSCAFP00000009964	ENSORLP00000025361
ENSCAFP00000004942	ENSORLP00000002544
ENSCAFP00000004942	ENSORLP00000013157
ENSCAFP00000020374	ENSORLP00000019751
ENSCAFP00000020374	ENSORLP00000013289
ENSCAFP00000015121	ENSORLP00000020092
ENSCAFP00000015121	ENSORLP00000007978
ENSCAFP00000027678	ENSORLP00000019342
ENSCAFP00000021753	ENSORLP00000022468
ENSCAFP00000028620	ENSORLP00000007005
ENSCAFP00000020375	ENSORLP00000015046
ENSCAFP00000020375	ENSORLP00000007689
ENSCAFP00000038936	ENSORLP00000006193
ENSCAFP00000004845	ENSORLP00000018788
ENSCAFP00000026000	ENSORLP00000008504
ENSCAFP00000026000	ENSORLP00000018750
ENSCAFP00000029873	ENSORLP00000002291
ENSCAFP00000000550	ENSORLP00000019227
ENSCAFP00000009897	ENSORLP00000014563
ENSCAFP00000031869	ENSORLP00000016522
ENSCAFP00000032071	ENSORLP00000018166
ENSCAFP00000001786	ENSORLP00000006852
ENSCAFP00000038509	ENSORLP00000019932
ENSCAFP00000037679	ENSORLP00000018275
ENSCAFP00000005292	ENSORLP00000005287
ENSCAFP00000011536	ENSORLP00000007697
ENSCAFP00000011536	ENSORLP00000001913
ENSCAFP00000015605	ENSORLP00000021170
ENSCAFP00000005101	ENSORLP00000006700
ENSCAFP00000024052	ENSORLP00000017682
ENSCAFP00000025530	ENSORLP00000008593
ENSCAFP00000009488	ENSORLP00000004579
ENSCAFP00000023599	ENSORLP00000005540
ENSCAFP00000007651	ENSORLP00000022648
ENSCAFP00000011875	ENSORLP00000010020
ENSCAFP00000024108	ENSORLP00000021423
ENSCAFP00000015277	ENSORLP00000016275
ENSCAFP00000027492	ENSORLP00000017243
ENSCAFP00000014581	ENSORLP00000001337
ENSCAFP00000035619	ENSORLP00000005361
ENSCAFP00000035619	ENSORLP00000020996
ENSCAFP00000031589	ENSORLP00000009804
ENSCAFP00000036663	ENSORLP00000019121
ENSCAFP00000008996	ENSORLP00000024813
ENSCAFP00000002884	ENSORLP00000000315
ENSCAFP00000024409	ENSORLP00000021052
ENSCAFP00000007560	ENSORLP00000000841
ENSCAFP00000007560	ENSORLP00000015688
ENSCAFP00000005895	ENSORLP00000013754
ENSCAFP00000001057	ENSORLP00000014648
ENSCAFP00000005803	ENSORLP00000019946
ENSCAFP00000026118	ENSORLP00000020510
ENSCAFP00000028279	ENSORLP00000021804
ENSCAFP00000027873	ENSORLP00000021576
ENSCAFP00000029704	ENSORLP00000015998
ENSCAFP00000003369	ENSORLP00000015424
ENSCAFP00000000511	ENSORLP00000023222
ENSCAFP00000027972	ENSORLP00000012302
ENSCAFP00000027955	ENSORLP00000012334
ENSCAFP00000027458	ENSORLP00000018569
ENSCAFP00000027458	ENSORLP00000005246
ENSCAFP00000027446	ENSORLP00000018612
ENSCAFP00000013818	ENSORLP00000000570
ENSCAFP00000013818	ENSORLP00000001147
ENSCAFP00000021258	ENSORLP00000011697
ENSCAFP00000021258	ENSORLP00000008639
ENSCAFP00000021749	ENSORLP00000020054
ENSCAFP00000010606	ENSORLP00000016781
ENSCAFP00000013783	ENSORLP00000007482
ENSCAFP00000013783	ENSORLP00000006064
ENSCAFP00000008430	ENSORLP00000015107
ENSCAFP00000008430	ENSORLP00000011026
ENSCAFP00000010647	ENSORLP00000020990
ENSCAFP00000017880	ENSORLP00000013665
ENSCAFP00000001183	ENSORLP00000008309
ENSCAFP00000001183	ENSORLP00000015790
ENSCAFP00000001198	ENSORLP00000020220
ENSCAFP00000011396	ENSORLP00000023486
ENSCAFP00000007003	ENSORLP00000021952
ENSCAFP00000010757	ENSORLP00000009060
ENSCAFP00000010535	ENSORLP00000009935
ENSCAFP00000008003	ENSORLP00000022033
ENSCAFP00000016804	ENSORLP00000000805
ENSCAFP00000013721	ENSORLP00000021561
ENSCAFP00000013170	ENSORLP00000010554
ENSCAFP00000014998	ENSORLP00000015653
ENSCAFP00000020477	ENSORLP00000009407
ENSCAFP00000004081	ENSORLP00000007507
ENSCAFP00000004081	ENSORLP00000025418
ENSCAFP00000000938	ENSORLP00000002376
ENSCAFP00000026148	ENSORLP00000020582
ENSCAFP00000026148	ENSORLP00000023533
ENSCAFP00000030253	ENSORLP00000005021
ENSCAFP00000036535	ENSORLP00000009566
ENSCAFP00000036535	ENSORLP00000001925
ENSCAFP00000005014	ENSORLP00000025471
ENSCAFP00000024021	ENSORLP00000003329
ENSCAFP00000038277	ENSORLP00000017612
ENSCAFP00000024667	ENSORLP00000002721
ENSCAFP00000014770	ENSORLP00000010780
ENSCAFP00000027739	ENSORLP00000013167
ENSCAFP00000005389	ENSORLP00000023378
ENSCAFP00000012208	ENSORLP00000019339
ENSCAFP00000035961	ENSORLP00000012858
ENSCAFP00000024410	ENSORLP00000024341
ENSCAFP00000004364	ENSORLP00000002505
ENSCAFP00000013933	ENSORLP00000012495
ENSCAFP00000001409	ENSORLP00000019452
ENSCAFP00000019708	ENSORLP00000023753
ENSCAFP00000013071	ENSORLP00000011177
ENSCAFP00000019667	ENSORLP00000010429
ENSCAFP00000019667	ENSORLP00000015853
ENSCAFP00000034803	ENSORLP00000009376
ENSCAFP00000023001	ENSORLP00000020197
ENSCAFP00000042901	ENSORLP00000017836
ENSCAFP00000042901	ENSORLP00000010308
ENSCAFP00000008944	ENSORLP00000003871
ENSCAFP00000008944	ENSORLP00000009664
ENSCAFP00000006746	ENSORLP00000022395
ENSCAFP00000002508	ENSORLP00000018310
ENSCAFP00000002508	ENSORLP00000019175
ENSCAFP00000037475	ENSORLP00000006121
ENSCAFP00000037475	ENSORLP00000004141
ENSCAFP00000041417	ENSORLP00000004548
ENSCAFP00000041417	ENSORLP00000013610
ENSCAFP00000021028	ENSORLP00000017101
ENSCAFP00000022735	ENSORLP00000021644
ENSCAFP00000042451	ENSORLP00000017858
ENSCAFP00000021134	ENSORLP00000007854
ENSCAFP00000021134	ENSORLP00000020087
ENSCAFP00000042686	ENSORLP00000023047
ENSCAFP00000014131	ENSORLP00000008712
ENSCAFP00000014131	ENSORLP00000003369
ENSCAFP00000017529	ENSORLP00000013373
ENSCAFP00000017529	ENSORLP00000003415
ENSCAFP00000028361	ENSORLP00000000238
ENSCAFP00000029349	ENSORLP00000019096
ENSCAFP00000042579	ENSORLP00000019098
ENSCAFP00000020955	ENSORLP00000009345
ENSCAFP00000020445	ENSORLP00000020004
ENSCAFP00000020445	ENSORLP00000003021
ENSCAFP00000002028	ENSORLP00000024871
ENSCAFP00000000213	ENSORLP00000018782
ENSCAFP00000023411	ENSORLP00000010963
ENSCAFP00000010967	ENSORLP00000005390
ENSCAFP00000018144	ENSORLP00000015200
ENSCAFP00000020719	ENSORLP00000006988
ENSCAFP00000002550	ENSORLP00000003948
ENSCAFP00000018686	ENSORLP00000002389
ENSCAFP00000008070	ENSORLP00000002820
ENSCAFP00000015204	ENSORLP00000019504
ENSCAFP00000026719	ENSORLP00000009948
ENSCAFP00000033564	ENSORLP00000020094
ENSCAFP00000033192	ENSORLP00000010119
ENSCAFP00000015703	ENSORLP00000024224
ENSCAFP00000027307	ENSORLP00000001322
ENSCAFP00000024567	ENSORLP00000010128
ENSCAFP00000011460	ENSORLP00000005919
ENSCAFP00000022476	ENSORLP00000019655
ENSCAFP00000016511	ENSORLP00000019708
ENSCAFP00000000786	ENSORLP00000008667
ENSCAFP00000030051	ENSORLP00000009527
ENSCAFP00000030051	ENSORLP00000012965
ENSCAFP00000017095	ENSORLP00000020236
ENSCAFP00000008426	ENSORLP00000006042
ENSCAFP00000014145	ENSORLP00000024937
ENSCAFP00000000711	ENSORLP00000023002
ENSCAFP00000018208	ENSORLP00000005534
ENSCAFP00000026469	ENSORLP00000021704
ENSCAFP00000029071	ENSORLP00000010296
ENSCAFP00000006235	ENSORLP00000008681
ENSCAFP00000020484	ENSORLP00000013025
ENSCAFP00000023862	ENSORLP00000019892
ENSCAFP00000023862	ENSORLP00000011572
ENSCAFP00000036692	ENSORLP00000014379
ENSCAFP00000026420	ENSORLP00000021970
ENSCAFP00000017789	ENSORLP00000023141
ENSCAFP00000013295	ENSORLP00000011273
ENSCAFP00000005569	ENSORLP00000016465
ENSCAFP00000005913	ENSORLP00000005631
ENSCAFP00000020169	ENSORLP00000013229
ENSCAFP00000004319	ENSORLP00000024752
ENSCAFP00000000488	ENSORLP00000008749
ENSCAFP00000020929	ENSORLP00000003095
ENSCAFP00000020929	ENSORLP00000007089
ENSCAFP00000000867	ENSORLP00000018447
ENSCAFP00000041094	ENSORLP00000001033
ENSCAFP00000019618	ENSORLP00000009350
ENSCAFP00000024952	ENSORLP00000020926
ENSCAFP00000008454	ENSORLP00000019177
ENSCAFP00000024765	ENSORLP00000001403
ENSCAFP00000024968	ENSORLP00000003191
ENSCAFP00000013819	ENSORLP00000015686
ENSCAFP00000018695	ENSORLP00000003431
ENSCAFP00000039921	ENSORLP00000008375
ENSCAFP00000000121	ENSORLP00000018768
ENSCAFP00000024586	ENSORLP00000007024
ENSCAFP00000014427	ENSORLP00000009202
ENSCAFP00000015058	ENSORLP00000013725
ENSCAFP00000010182	ENSORLP00000017009
ENSCAFP00000018594	ENSORLP00000020666
ENSCAFP00000041042	ENSORLP00000003654
ENSCAFP00000041042	ENSORLP00000022073
ENSCAFP00000017213	ENSORLP00000012544
ENSCAFP00000018712	ENSORLP00000003476
ENSCAFP00000015207	ENSORLP00000005239
ENSCAFP00000015207	ENSORLP00000011455
ENSCAFP00000017680	ENSORLP00000003137
ENSCAFP00000017680	ENSORLP00000007160
ENSCAFP00000014886	ENSORLP00000001406
ENSCAFP00000010829	ENSORLP00000009050
ENSCAFP00000008566	ENSORLP00000012144
ENSCAFP00000014939	ENSORLP00000003645
ENSCAFP00000014939	ENSORLP00000016043
ENSCAFP00000017275	ENSORLP00000011059
ENSCAFP00000026384	ENSORLP00000010245
ENSCAFP00000037413	ENSORLP00000000220
ENSCAFP00000007269	ENSORLP00000015387
ENSCAFP00000026870	ENSORLP00000022133
ENSCAFP00000007005	ENSORLP00000020198
ENSCAFP00000004219	ENSORLP00000018854
ENSCAFP00000014869	ENSORLP00000009678
ENSCAFP00000014452	ENSORLP00000001295
ENSCAFP00000019835	ENSORLP00000014273
ENSCAFP00000038493	ENSORLP00000001266
ENSCAFP00000039860	ENSORLP00000025832
ENSCAFP00000036390	ENSORLP00000013872
ENSCAFP00000003118	ENSORLP00000005600
ENSCAFP00000027224	ENSORLP00000013956
ENSCAFP00000015466	ENSORLP00000016851
ENSCAFP00000023037	ENSORLP00000023310
ENSCAFP00000019298	ENSORLP00000001915
ENSCAFP00000011661	ENSORLP00000015380
ENSCAFP00000014194	ENSORLP00000008328
ENSCAFP00000017664	ENSORLP00000007748
ENSCAFP00000003141	ENSORLP00000022151
ENSCAFP00000000408	ENSORLP00000019445
ENSCAFP00000037362	ENSORLP00000006247
ENSCAFP00000024551	ENSORLP00000000336
ENSCAFP00000020603	ENSORLP00000007094
ENSCAFP00000006920	ENSORLP00000014849
ENSCAFP00000003692	ENSORLP00000015732
ENSCAFP00000021617	ENSORLP00000015914
ENSCAFP00000013912	ENSORLP00000000400
ENSCAFP00000010288	ENSORLP00000008644
ENSCAFP00000023336	ENSORLP00000016208
ENSCAFP00000012593	ENSORLP00000019992
ENSCAFP00000023342	ENSORLP00000009003
ENSCAFP00000033932	ENSORLP00000014146
ENSCAFP00000009658	ENSORLP00000005243
ENSCAFP00000009658	ENSORLP00000004364
ENSCAFP00000035463	ENSORLP00000007029
ENSCAFP00000014481	ENSORLP00000010482
ENSCAFP00000009645	ENSORLP00000016792
ENSCAFP00000009645	ENSORLP00000013757
ENSCAFP00000013621	ENSORLP00000013777
ENSCAFP00000001811	ENSORLP00000006860
ENSCAFP00000024565	ENSORLP00000015259
ENSCAFP00000014694	ENSORLP00000021053
ENSCAFP00000002899	ENSORLP00000006822
ENSCAFP00000035067	ENSORLP00000009802
ENSCAFP00000035067	ENSORLP00000019285
ENSCAFP00000002091	ENSORLP00000015837
ENSCAFP00000006727	ENSORLP00000000553
ENSCAFP00000006727	ENSORLP00000001972
ENSCAFP00000011557	ENSORLP00000004064
ENSCAFP00000011557	ENSORLP00000006133
ENSCAFP00000037714	ENSORLP00000017659
ENSCAFP00000041877	ENSORLP00000000772
ENSCAFP00000026565	ENSORLP00000006273
ENSCAFP00000026565	ENSORLP00000016293
ENSCAFP00000038444	ENSORLP00000019064
ENSCAFP00000003932	ENSORLP00000014092
ENSCAFP00000021277	ENSORLP00000015815
ENSCAFP00000011031	ENSORLP00000016050
ENSCAFP00000037092	ENSORLP00000015650
ENSCAFP00000037092	ENSORLP00000000265
ENSCAFP00000030225	ENSORLP00000018809
ENSCAFP00000026876	ENSORLP00000022449
ENSCAFP00000028871	ENSORLP00000010391
ENSCAFP00000027665	ENSORLP00000011341
ENSCAFP00000019697	ENSORLP00000010111
ENSCAFP00000042142	ENSORLP00000011469
