ENSDARP00000122973	ENSACAP00000008923
ENSDARP00000128041	ENSACAP00000001174
ENSDARP00000118811	ENSACAP00000003140
ENSDARP00000003829	ENSACAP00000015338
ENSDARP00000036828	ENSACAP00000005084
ENSDARP00000082250	ENSACAP00000005084
ENSDARP00000123474	ENSACAP00000010928
ENSDARP00000049623	ENSACAP00000010696
ENSDARP00000105575	ENSACAP00000005094
ENSDARP00000055224	ENSACAP00000016443
ENSDARP00000005680	ENSACAP00000012452
ENSDARP00000059973	ENSACAP00000008056
ENSDARP00000121183	ENSACAP00000016759
ENSDARP00000003525	ENSACAP00000016759
ENSDARP00000129116	ENSACAP00000005904
ENSDARP00000008475	ENSACAP00000012803
ENSDARP00000058968	ENSACAP00000008215
ENSDARP00000079823	ENSACAP00000009961
ENSDARP00000008223	ENSACAP00000011440
ENSDARP00000104791	ENSACAP00000013070
ENSDARP00000075280	ENSACAP00000013946
ENSDARP00000079585	ENSACAP00000011702
ENSDARP00000039553	ENSACAP00000015780
ENSDARP00000106138	ENSACAP00000002299
ENSDARP00000123199	ENSACAP00000003195
ENSDARP00000084650	ENSACAP00000020267
ENSDARP00000121158	ENSACAP00000015236
ENSDARP00000102048	ENSACAP00000015236
ENSDARP00000101583	ENSACAP00000002335
ENSDARP00000057433	ENSACAP00000003380
ENSDARP00000063051	ENSACAP00000007070
ENSDARP00000081844	ENSACAP00000007401
ENSDARP00000115372	ENSACAP00000019189
ENSDARP00000115965	ENSACAP00000018998
ENSDARP00000101420	ENSACAP00000000860
ENSDARP00000112407	ENSACAP00000011711
ENSDARP00000064825	ENSACAP00000017664
ENSDARP00000040837	ENSACAP00000002249
ENSDARP00000042673	ENSACAP00000000195
ENSDARP00000127476	ENSACAP00000014285
ENSDARP00000099506	ENSACAP00000014668
ENSDARP00000013506	ENSACAP00000015061
ENSDARP00000117090	ENSACAP00000015061
ENSDARP00000012147	ENSACAP00000006661
ENSDARP00000073893	ENSACAP00000011938
ENSDARP00000104859	ENSACAP00000008723
ENSDARP00000053426	ENSACAP00000008800
ENSDARP00000075572	ENSACAP00000000609
ENSDARP00000091375	ENSACAP00000015558
ENSDARP00000087820	ENSACAP00000005087
ENSDARP00000002635	ENSACAP00000014183
ENSDARP00000093844	ENSACAP00000013350
ENSDARP00000073523	ENSACAP00000010506
ENSDARP00000030625	ENSACAP00000009513
ENSDARP00000014061	ENSACAP00000002901
ENSDARP00000054692	ENSACAP00000002901
ENSDARP00000084007	ENSACAP00000012544
ENSDARP00000078442	ENSACAP00000016973
ENSDARP00000124333	ENSACAP00000020331
ENSDARP00000099556	ENSACAP00000020331
ENSDARP00000118167	ENSACAP00000022081
ENSDARP00000129724	ENSACAP00000022081
ENSDARP00000091436	ENSACAP00000007051
ENSDARP00000109870	ENSACAP00000019114
ENSDARP00000124246	ENSACAP00000007918
ENSDARP00000110473	ENSACAP00000009498
ENSDARP00000129124	ENSACAP00000001475
ENSDARP00000070686	ENSACAP00000003976
ENSDARP00000092253	ENSACAP00000004307
ENSDARP00000106457	ENSACAP00000001594
ENSDARP00000012791	ENSACAP00000010217
ENSDARP00000056073	ENSACAP00000011875
ENSDARP00000105119	ENSACAP00000004311
ENSDARP00000111869	ENSACAP00000002928
ENSDARP00000065396	ENSACAP00000000665
ENSDARP00000053775	ENSACAP00000008095
ENSDARP00000059618	ENSACAP00000000868
ENSDARP00000106564	ENSACAP00000016976
ENSDARP00000022147	ENSACAP00000009221
ENSDARP00000066366	ENSACAP00000016880
ENSDARP00000095220	ENSACAP00000016880
ENSDARP00000100931	ENSACAP00000005302
ENSDARP00000127731	ENSACAP00000005302
ENSDARP00000101400	ENSACAP00000001932
ENSDARP00000027644	ENSACAP00000007917
ENSDARP00000095343	ENSACAP00000019641
ENSDARP00000109154	ENSACAP00000019641
ENSDARP00000019674	ENSACAP00000007896
ENSDARP00000056452	ENSACAP00000007896
ENSDARP00000068816	ENSACAP00000004457
ENSDARP00000019643	ENSACAP00000004457
ENSDARP00000122397	ENSACAP00000002385
ENSDARP00000129467	ENSACAP00000002385
ENSDARP00000053606	ENSACAP00000017474
ENSDARP00000057298	ENSACAP00000005740
ENSDARP00000063586	ENSACAP00000005740
ENSDARP00000064460	ENSACAP00000000523
ENSDARP00000116789	ENSACAP00000005682
ENSDARP00000024272	ENSACAP00000015820
ENSDARP00000022487	ENSACAP00000016069
ENSDARP00000071274	ENSACAP00000020120
ENSDARP00000052075	ENSACAP00000001093
ENSDARP00000050473	ENSACAP00000007667
ENSDARP00000074794	ENSACAP00000010676
ENSDARP00000025373	ENSACAP00000015435
ENSDARP00000046044	ENSACAP00000014650
ENSDARP00000063985	ENSACAP00000000942
ENSDARP00000058305	ENSACAP00000009728
ENSDARP00000062984	ENSACAP00000009728
ENSDARP00000117105	ENSACAP00000009731
ENSDARP00000069251	ENSACAP00000014024
ENSDARP00000109601	ENSACAP00000001427
ENSDARP00000091774	ENSACAP00000008216
ENSDARP00000104127	ENSACAP00000008216
ENSDARP00000092792	ENSACAP00000013542
ENSDARP00000028904	ENSACAP00000007865
ENSDARP00000114008	ENSACAP00000007865
ENSDARP00000010917	ENSACAP00000009388
ENSDARP00000101279	ENSACAP00000001385
ENSDARP00000001617	ENSACAP00000001385
ENSDARP00000097628	ENSACAP00000018145
ENSDARP00000080655	ENSACAP00000018145
ENSDARP00000097784	ENSACAP00000012872
ENSDARP00000098809	ENSACAP00000019293
ENSDARP00000020703	ENSACAP00000016705
ENSDARP00000072810	ENSACAP00000012594
ENSDARP00000039916	ENSACAP00000002577
ENSDARP00000109890	ENSACAP00000002577
ENSDARP00000079273	ENSACAP00000012146
ENSDARP00000123999	ENSACAP00000009720
ENSDARP00000083765	ENSACAP00000005943
ENSDARP00000047652	ENSACAP00000000973
ENSDARP00000081855	ENSACAP00000013030
ENSDARP00000076606	ENSACAP00000001579
ENSDARP00000025648	ENSACAP00000001579
ENSDARP00000098282	ENSACAP00000012461
ENSDARP00000089635	ENSACAP00000005813
ENSDARP00000107258	ENSACAP00000005813
ENSDARP00000109709	ENSACAP00000022538
ENSDARP00000045814	ENSACAP00000022538
ENSDARP00000060763	ENSACAP00000015655
ENSDARP00000046463	ENSACAP00000005411
ENSDARP00000105365	ENSACAP00000016164
ENSDARP00000094247	ENSACAP00000011534
ENSDARP00000069273	ENSACAP00000011534
ENSDARP00000091908	ENSACAP00000006602
ENSDARP00000106068	ENSACAP00000011843
ENSDARP00000014920	ENSACAP00000003200
ENSDARP00000106281	ENSACAP00000009074
ENSDARP00000108347	ENSACAP00000009074
ENSDARP00000088385	ENSACAP00000012719
ENSDARP00000064175	ENSACAP00000001753
ENSDARP00000006800	ENSACAP00000009777
ENSDARP00000031665	ENSACAP00000012169
ENSDARP00000050948	ENSACAP00000006466
ENSDARP00000078459	ENSACAP00000008206
ENSDARP00000106886	ENSACAP00000004741
ENSDARP00000089497	ENSACAP00000015089
ENSDARP00000075190	ENSACAP00000013366
ENSDARP00000117865	ENSACAP00000010782
ENSDARP00000045678	ENSACAP00000014628
ENSDARP00000109120	ENSACAP00000014628
ENSDARP00000073505	ENSACAP00000006234
ENSDARP00000122069	ENSACAP00000000607
ENSDARP00000128113	ENSACAP00000018133
ENSDARP00000114765	ENSACAP00000008554
ENSDARP00000128272	ENSACAP00000004623
ENSDARP00000102221	ENSACAP00000010851
ENSDARP00000059513	ENSACAP00000003028
ENSDARP00000067176	ENSACAP00000003028
ENSDARP00000093008	ENSACAP00000004244
ENSDARP00000079805	ENSACAP00000004244
ENSDARP00000108227	ENSACAP00000012326
ENSDARP00000077949	ENSACAP00000022123
ENSDARP00000026364	ENSACAP00000008887
ENSDARP00000028379	ENSACAP00000020101
ENSDARP00000075251	ENSACAP00000003697
ENSDARP00000071623	ENSACAP00000003697
ENSDARP00000093395	ENSACAP00000021004
ENSDARP00000114103	ENSACAP00000010293
ENSDARP00000069214	ENSACAP00000023319
ENSDARP00000079578	ENSACAP00000008109
ENSDARP00000034827	ENSACAP00000022398
ENSDARP00000118891	ENSACAP00000008947
ENSDARP00000103999	ENSACAP00000008947
ENSDARP00000064393	ENSACAP00000010774
ENSDARP00000113608	ENSACAP00000010774
ENSDARP00000106287	ENSACAP00000014072
ENSDARP00000112109	ENSACAP00000009330
ENSDARP00000126959	ENSACAP00000011900
ENSDARP00000075402	ENSACAP00000020690
ENSDARP00000045035	ENSACAP00000009364
ENSDARP00000015303	ENSACAP00000001779
ENSDARP00000109941	ENSACAP00000001779
ENSDARP00000077021	ENSACAP00000005299
ENSDARP00000083042	ENSACAP00000012130
ENSDARP00000104940	ENSACAP00000008363
ENSDARP00000067932	ENSACAP00000003188
ENSDARP00000061163	ENSACAP00000009106
ENSDARP00000061134	ENSACAP00000014036
ENSDARP00000076249	ENSACAP00000017049
ENSDARP00000119520	ENSACAP00000007060
ENSDARP00000035859	ENSACAP00000017578
ENSDARP00000030813	ENSACAP00000012829
ENSDARP00000088399	ENSACAP00000005032
ENSDARP00000110320	ENSACAP00000009679
ENSDARP00000040307	ENSACAP00000017072
ENSDARP00000039821	ENSACAP00000012489
ENSDARP00000011705	ENSACAP00000012489
ENSDARP00000117905	ENSACAP00000020615
ENSDARP00000006334	ENSACAP00000000594
ENSDARP00000109638	ENSACAP00000000594
ENSDARP00000114769	ENSACAP00000016644
ENSDARP00000029675	ENSACAP00000000809
ENSDARP00000037689	ENSACAP00000008014
ENSDARP00000072911	ENSACAP00000011635
ENSDARP00000066933	ENSACAP00000004810
ENSDARP00000092355	ENSACAP00000021872
ENSDARP00000001039	ENSACAP00000000027
ENSDARP00000095486	ENSACAP00000007738
ENSDARP00000080646	ENSACAP00000007738
ENSDARP00000127303	ENSACAP00000003852
ENSDARP00000122795	ENSACAP00000003852
ENSDARP00000098618	ENSACAP00000002156
ENSDARP00000098684	ENSACAP00000006137
ENSDARP00000111989	ENSACAP00000017488
ENSDARP00000111319	ENSACAP00000021463
ENSDARP00000028542	ENSACAP00000000981
ENSDARP00000097773	ENSACAP00000009209
ENSDARP00000032295	ENSACAP00000015115
ENSDARP00000126208	ENSACAP00000012315
ENSDARP00000101821	ENSACAP00000021250
ENSDARP00000066188	ENSACAP00000016828
ENSDARP00000116649	ENSACAP00000016828
ENSDARP00000058320	ENSACAP00000010767
ENSDARP00000111119	ENSACAP00000016001
ENSDARP00000094167	ENSACAP00000002892
ENSDARP00000099261	ENSACAP00000001851
ENSDARP00000024335	ENSACAP00000002010
ENSDARP00000090686	ENSACAP00000002010
ENSDARP00000069315	ENSACAP00000002775
ENSDARP00000097889	ENSACAP00000007811
ENSDARP00000098001	ENSACAP00000007811
ENSDARP00000027821	ENSACAP00000003957
ENSDARP00000111756	ENSACAP00000003957
ENSDARP00000124695	ENSACAP00000005055
ENSDARP00000120365	ENSACAP00000003452
ENSDARP00000082784	ENSACAP00000022607
ENSDARP00000103750	ENSACAP00000022561
ENSDARP00000007836	ENSACAP00000010717
ENSDARP00000018632	ENSACAP00000023161
ENSDARP00000045932	ENSACAP00000023161
ENSDARP00000095328	ENSACAP00000007133
ENSDARP00000032601	ENSACAP00000007133
ENSDARP00000092425	ENSACAP00000009262
ENSDARP00000092068	ENSACAP00000007144
ENSDARP00000084700	ENSACAP00000007166
ENSDARP00000079303	ENSACAP00000007166
ENSDARP00000051104	ENSACAP00000014451
ENSDARP00000067260	ENSACAP00000014451
ENSDARP00000128595	ENSACAP00000011447
ENSDARP00000109667	ENSACAP00000003423
ENSDARP00000094710	ENSACAP00000016589
ENSDARP00000117556	ENSACAP00000016612
ENSDARP00000095187	ENSACAP00000000766
ENSDARP00000026805	ENSACAP00000000766
ENSDARP00000069597	ENSACAP00000001550
ENSDARP00000109180	ENSACAP00000015136
ENSDARP00000091828	ENSACAP00000016217
ENSDARP00000057524	ENSACAP00000001002
ENSDARP00000073439	ENSACAP00000013260
ENSDARP00000106240	ENSACAP00000010212
ENSDARP00000118753	ENSACAP00000011210
ENSDARP00000119475	ENSACAP00000016275
ENSDARP00000122486	ENSACAP00000016275
ENSDARP00000128562	ENSACAP00000011119
ENSDARP00000126045	ENSACAP00000011119
ENSDARP00000057324	ENSACAP00000000189
ENSDARP00000099217	ENSACAP00000000189
ENSDARP00000118548	ENSACAP00000018669
ENSDARP00000094670	ENSACAP00000018669
ENSDARP00000078963	ENSACAP00000002209
ENSDARP00000043931	ENSACAP00000005618
ENSDARP00000096674	ENSACAP00000005618
ENSDARP00000076873	ENSACAP00000005144
ENSDARP00000093925	ENSACAP00000013190
ENSDARP00000066410	ENSACAP00000015982
ENSDARP00000086549	ENSACAP00000003038
ENSDARP00000073621	ENSACAP00000014062
ENSDARP00000107675	ENSACAP00000017531
ENSDARP00000003397	ENSACAP00000008252
ENSDARP00000108198	ENSACAP00000008252
ENSDARP00000093555	ENSACAP00000014392
ENSDARP00000094885	ENSACAP00000012143
ENSDARP00000092351	ENSACAP00000002627
ENSDARP00000073394	ENSACAP00000001514
ENSDARP00000102728	ENSACAP00000013258
ENSDARP00000098758	ENSACAP00000012231
ENSDARP00000119695	ENSACAP00000012123
ENSDARP00000101942	ENSACAP00000021643
ENSDARP00000064615	ENSACAP00000015884
ENSDARP00000044859	ENSACAP00000008258
ENSDARP00000118205	ENSACAP00000011216
ENSDARP00000106725	ENSACAP00000011928
ENSDARP00000047006	ENSACAP00000006406
ENSDARP00000091933	ENSACAP00000016440
ENSDARP00000070437	ENSACAP00000011920
ENSDARP00000058513	ENSACAP00000011449
ENSDARP00000098418	ENSACAP00000011449
ENSDARP00000025120	ENSACAP00000000792
ENSDARP00000116922	ENSACAP00000019131
ENSDARP00000094377	ENSACAP00000008195
ENSDARP00000113955	ENSACAP00000021848
ENSDARP00000003150	ENSACAP00000009117
ENSDARP00000102140	ENSACAP00000015939
ENSDARP00000098114	ENSACAP00000005631
ENSDARP00000059885	ENSACAP00000000060
ENSDARP00000048506	ENSACAP00000000062
ENSDARP00000013329	ENSACAP00000016848
ENSDARP00000106067	ENSACAP00000016848
ENSDARP00000102127	ENSACAP00000002993
ENSDARP00000070464	ENSACAP00000014378
ENSDARP00000093348	ENSACAP00000016349
ENSDARP00000051004	ENSACAP00000016349
ENSDARP00000057589	ENSACAP00000007132
ENSDARP00000108943	ENSACAP00000002280
ENSDARP00000002460	ENSACAP00000002301
ENSDARP00000055349	ENSACAP00000000982
ENSDARP00000085707	ENSACAP00000004423
ENSDARP00000103082	ENSACAP00000009525
ENSDARP00000110688	ENSACAP00000019584
ENSDARP00000107971	ENSACAP00000011435
ENSDARP00000108491	ENSACAP00000017519
ENSDARP00000112846	ENSACAP00000018385
ENSDARP00000048886	ENSACAP00000003635
ENSDARP00000002532	ENSACAP00000003635
ENSDARP00000014325	ENSACAP00000006532
ENSDARP00000053403	ENSACAP00000015536
ENSDARP00000091516	ENSACAP00000007357
ENSDARP00000069657	ENSACAP00000017648
ENSDARP00000123484	ENSACAP00000017648
ENSDARP00000129096	ENSACAP00000016710
ENSDARP00000033122	ENSACAP00000022499
ENSDARP00000069870	ENSACAP00000003450
ENSDARP00000050176	ENSACAP00000017120
ENSDARP00000105882	ENSACAP00000000624
ENSDARP00000014980	ENSACAP00000007712
ENSDARP00000108067	ENSACAP00000007712
ENSDARP00000065669	ENSACAP00000002813
ENSDARP00000118761	ENSACAP00000003779
ENSDARP00000129035	ENSACAP00000003779
ENSDARP00000111556	ENSACAP00000006838
ENSDARP00000111169	ENSACAP00000006838
ENSDARP00000121566	ENSACAP00000003121
ENSDARP00000093285	ENSACAP00000004681
ENSDARP00000101777	ENSACAP00000004681
ENSDARP00000099736	ENSACAP00000008548
ENSDARP00000106854	ENSACAP00000019498
ENSDARP00000112558	ENSACAP00000008475
ENSDARP00000018055	ENSACAP00000004126
ENSDARP00000117469	ENSACAP00000004126
ENSDARP00000010335	ENSACAP00000015588
ENSDARP00000100341	ENSACAP00000015588
ENSDARP00000058495	ENSACAP00000017189
ENSDARP00000128615	ENSACAP00000008306
ENSDARP00000016314	ENSACAP00000016647
ENSDARP00000047070	ENSACAP00000015154
ENSDARP00000098435	ENSACAP00000015154
ENSDARP00000014840	ENSACAP00000005587
ENSDARP00000042677	ENSACAP00000003316
ENSDARP00000043315	ENSACAP00000006756
ENSDARP00000064900	ENSACAP00000011813
ENSDARP00000043161	ENSACAP00000007085
ENSDARP00000123784	ENSACAP00000011502
ENSDARP00000023124	ENSACAP00000010004
ENSDARP00000019093	ENSACAP00000010004
ENSDARP00000104305	ENSACAP00000020018
ENSDARP00000065555	ENSACAP00000011328
ENSDARP00000098660	ENSACAP00000000445
ENSDARP00000105864	ENSACAP00000015725
ENSDARP00000079991	ENSACAP00000015725
ENSDARP00000013812	ENSACAP00000015191
ENSDARP00000102404	ENSACAP00000011167
ENSDARP00000117778	ENSACAP00000008008
ENSDARP00000061155	ENSACAP00000004399
ENSDARP00000082723	ENSACAP00000004399
ENSDARP00000089458	ENSACAP00000000803
ENSDARP00000051165	ENSACAP00000008345
ENSDARP00000042171	ENSACAP00000008345
ENSDARP00000062698	ENSACAP00000003367
ENSDARP00000124944	ENSACAP00000004184
ENSDARP00000100285	ENSACAP00000007474
ENSDARP00000041176	ENSACAP00000015622
ENSDARP00000066702	ENSACAP00000014103
ENSDARP00000104887	ENSACAP00000014103
ENSDARP00000065852	ENSACAP00000014765
ENSDARP00000066124	ENSACAP00000014765
ENSDARP00000015825	ENSACAP00000004657
ENSDARP00000005989	ENSACAP00000008815
ENSDARP00000119398	ENSACAP00000016406
ENSDARP00000105402	ENSACAP00000010376
ENSDARP00000111705	ENSACAP00000001164
ENSDARP00000111440	ENSACAP00000005810
ENSDARP00000102258	ENSACAP00000013834
ENSDARP00000050618	ENSACAP00000020730
ENSDARP00000024256	ENSACAP00000002635
ENSDARP00000019940	ENSACAP00000006227
ENSDARP00000113054	ENSACAP00000005008
ENSDARP00000101191	ENSACAP00000008138
ENSDARP00000113801	ENSACAP00000015424
ENSDARP00000036893	ENSACAP00000012175
ENSDARP00000011155	ENSACAP00000011214
ENSDARP00000106616	ENSACAP00000011080
ENSDARP00000019087	ENSACAP00000015437
ENSDARP00000069275	ENSACAP00000007790
ENSDARP00000065205	ENSACAP00000011160
ENSDARP00000123093	ENSACAP00000012562
ENSDARP00000000748	ENSACAP00000015914
ENSDARP00000098822	ENSACAP00000010954
ENSDARP00000119169	ENSACAP00000006737
ENSDARP00000057735	ENSACAP00000006791
ENSDARP00000121323	ENSACAP00000009962
ENSDARP00000114284	ENSACAP00000010102
ENSDARP00000118698	ENSACAP00000010102
ENSDARP00000108405	ENSACAP00000014348
ENSDARP00000101408	ENSACAP00000017517
ENSDARP00000127739	ENSACAP00000017517
ENSDARP00000044370	ENSACAP00000005518
ENSDARP00000101166	ENSACAP00000012104
ENSDARP00000056543	ENSACAP00000002914
ENSDARP00000087133	ENSACAP00000002914
ENSDARP00000100378	ENSACAP00000005602
ENSDARP00000129043	ENSACAP00000009797
ENSDARP00000068009	ENSACAP00000020911
ENSDARP00000107380	ENSACAP00000020911
ENSDARP00000082438	ENSACAP00000001116
ENSDARP00000028924	ENSACAP00000006511
ENSDARP00000127120	ENSACAP00000006511
ENSDARP00000073110	ENSACAP00000015474
ENSDARP00000073658	ENSACAP00000003716
ENSDARP00000020000	ENSACAP00000016554
ENSDARP00000113850	ENSACAP00000005262
ENSDARP00000078769	ENSACAP00000015593
ENSDARP00000101760	ENSACAP00000017421
ENSDARP00000043125	ENSACAP00000010082
ENSDARP00000107242	ENSACAP00000019370
ENSDARP00000106580	ENSACAP00000005303
ENSDARP00000007186	ENSACAP00000008303
ENSDARP00000030718	ENSACAP00000010652
ENSDARP00000023293	ENSACAP00000015583
ENSDARP00000109007	ENSACAP00000015583
ENSDARP00000074529	ENSACAP00000011008
ENSDARP00000121140	ENSACAP00000011008
ENSDARP00000091084	ENSACAP00000020481
ENSDARP00000116091	ENSACAP00000005226
ENSDARP00000013960	ENSACAP00000008088
ENSDARP00000005772	ENSACAP00000002437
ENSDARP00000078285	ENSACAP00000001065
ENSDARP00000053683	ENSACAP00000007432
ENSDARP00000074907	ENSACAP00000015545
ENSDARP00000073367	ENSACAP00000007692
ENSDARP00000101307	ENSACAP00000002841
ENSDARP00000066677	ENSACAP00000005799
ENSDARP00000111926	ENSACAP00000005716
ENSDARP00000056522	ENSACAP00000009466
ENSDARP00000112428	ENSACAP00000011676
ENSDARP00000122149	ENSACAP00000016136
ENSDARP00000087565	ENSACAP00000007832
ENSDARP00000026726	ENSACAP00000000292
ENSDARP00000069945	ENSACAP00000000292
ENSDARP00000110892	ENSACAP00000016592
ENSDARP00000027703	ENSACAP00000001387
ENSDARP00000089585	ENSACAP00000004700
ENSDARP00000087966	ENSACAP00000016253
ENSDARP00000098249	ENSACAP00000002693
ENSDARP00000115648	ENSACAP00000020603
ENSDARP00000086016	ENSACAP00000006327
ENSDARP00000009248	ENSACAP00000015074
ENSDARP00000103866	ENSACAP00000000234
ENSDARP00000107114	ENSACAP00000000234
ENSDARP00000087386	ENSACAP00000016353
ENSDARP00000072649	ENSACAP00000014973
ENSDARP00000120829	ENSACAP00000005221
ENSDARP00000064077	ENSACAP00000019924
ENSDARP00000072426	ENSACAP00000021507
ENSDARP00000024471	ENSACAP00000021507
ENSDARP00000054597	ENSACAP00000007124
ENSDARP00000068226	ENSACAP00000007124
ENSDARP00000083002	ENSACAP00000017651
ENSDARP00000127790	ENSACAP00000011453
ENSDARP00000051665	ENSACAP00000001435
ENSDARP00000063550	ENSACAP00000010853
ENSDARP00000109769	ENSACAP00000020401
ENSDARP00000086614	ENSACAP00000020401
ENSDARP00000104731	ENSACAP00000006453
ENSDARP00000008977	ENSACAP00000012667
ENSDARP00000103131	ENSACAP00000012667
ENSDARP00000114731	ENSACAP00000002092
ENSDARP00000040170	ENSACAP00000012381
ENSDARP00000078136	ENSACAP00000004402
ENSDARP00000045176	ENSACAP00000016922
ENSDARP00000055472	ENSACAP00000006419
ENSDARP00000007188	ENSACAP00000006419
ENSDARP00000122058	ENSACAP00000008402
ENSDARP00000055170	ENSACAP00000008402
ENSDARP00000011428	ENSACAP00000003460
ENSDARP00000067931	ENSACAP00000005918
ENSDARP00000107433	ENSACAP00000008890
ENSDARP00000004932	ENSACAP00000010473
ENSDARP00000018197	ENSACAP00000010473
ENSDARP00000066500	ENSACAP00000005023
ENSDARP00000125663	ENSACAP00000016397
ENSDARP00000102663	ENSACAP00000002138
ENSDARP00000125623	ENSACAP00000008651
ENSDARP00000059319	ENSACAP00000006753
ENSDARP00000077543	ENSACAP00000012645
ENSDARP00000085982	ENSACAP00000016035
ENSDARP00000011866	ENSACAP00000012239
ENSDARP00000019419	ENSACAP00000022406
ENSDARP00000103928	ENSACAP00000000098
ENSDARP00000093469	ENSACAP00000005328
ENSDARP00000091500	ENSACAP00000007568
ENSDARP00000098790	ENSACAP00000009697
ENSDARP00000058551	ENSACAP00000014333
