ENSMGAP00000004951	ENSTNIP00000004863
ENSMGAP00000009863	ENSTNIP00000020081
ENSMGAP00000014406	ENSTNIP00000006467
ENSMGAP00000007874	ENSTNIP00000000186
ENSMGAP00000014447	ENSTNIP00000013970
ENSMGAP00000002105	ENSTNIP00000012496
ENSMGAP00000000989	ENSTNIP00000020402
ENSMGAP00000001972	ENSTNIP00000007715
ENSMGAP00000012273	ENSTNIP00000004648
ENSMGAP00000006655	ENSTNIP00000011922
ENSMGAP00000008809	ENSTNIP00000017400
ENSMGAP00000011192	ENSTNIP00000004911
ENSMGAP00000007478	ENSTNIP00000005718
ENSMGAP00000000881	ENSTNIP00000011862
ENSMGAP00000017442	ENSTNIP00000013215
ENSMGAP00000017442	ENSTNIP00000019644
ENSMGAP00000011996	ENSTNIP00000011017
ENSMGAP00000007423	ENSTNIP00000001471
ENSMGAP00000007423	ENSTNIP00000015450
ENSMGAP00000013335	ENSTNIP00000018720
ENSMGAP00000001910	ENSTNIP00000006011
ENSMGAP00000004502	ENSTNIP00000012789
ENSMGAP00000001781	ENSTNIP00000002037
ENSMGAP00000000418	ENSTNIP00000008097
ENSMGAP00000001614	ENSTNIP00000005017
ENSMGAP00000007539	ENSTNIP00000011488
ENSMGAP00000011139	ENSTNIP00000011323
ENSMGAP00000017915	ENSTNIP00000014635
ENSMGAP00000011894	ENSTNIP00000020177
ENSMGAP00000015236	ENSTNIP00000015675
ENSMGAP00000003757	ENSTNIP00000014001
ENSMGAP00000010071	ENSTNIP00000008502
ENSMGAP00000009399	ENSTNIP00000011795
ENSMGAP00000001751	ENSTNIP00000018932
ENSMGAP00000001751	ENSTNIP00000016220
ENSMGAP00000007518	ENSTNIP00000019819
ENSMGAP00000014040	ENSTNIP00000020469
ENSMGAP00000010374	ENSTNIP00000016383
ENSMGAP00000013734	ENSTNIP00000020539
ENSMGAP00000000217	ENSTNIP00000004866
ENSMGAP00000000217	ENSTNIP00000018333
ENSMGAP00000002878	ENSTNIP00000007331
ENSMGAP00000000231	ENSTNIP00000018334
ENSMGAP00000000231	ENSTNIP00000000638
ENSMGAP00000001795	ENSTNIP00000010267
ENSMGAP00000012130	ENSTNIP00000013793
ENSMGAP00000005494	ENSTNIP00000010816
ENSMGAP00000006701	ENSTNIP00000003575
ENSMGAP00000010996	ENSTNIP00000016040
ENSMGAP00000004600	ENSTNIP00000014011
ENSMGAP00000004600	ENSTNIP00000002898
ENSMGAP00000004769	ENSTNIP00000021443
ENSMGAP00000008135	ENSTNIP00000019065
ENSMGAP00000007577	ENSTNIP00000001502
ENSMGAP00000011943	ENSTNIP00000011020
ENSMGAP00000000964	ENSTNIP00000009412
ENSMGAP00000003538	ENSTNIP00000016188
ENSMGAP00000006673	ENSTNIP00000002453
ENSMGAP00000018976	ENSTNIP00000019645
ENSMGAP00000008306	ENSTNIP00000013536
ENSMGAP00000005181	ENSTNIP00000010184
ENSMGAP00000015568	ENSTNIP00000016915
ENSMGAP00000015570	ENSTNIP00000016960
ENSMGAP00000001772	ENSTNIP00000011744
ENSMGAP00000005589	ENSTNIP00000007098
ENSMGAP00000005589	ENSTNIP00000018861
ENSMGAP00000007854	ENSTNIP00000011521
ENSMGAP00000006564	ENSTNIP00000012246
ENSMGAP00000000062	ENSTNIP00000004001
ENSMGAP00000013566	ENSTNIP00000015237
ENSMGAP00000013566	ENSTNIP00000022499
ENSMGAP00000014847	ENSTNIP00000009462
ENSMGAP00000008226	ENSTNIP00000019057
ENSMGAP00000019750	ENSTNIP00000021609
ENSMGAP00000008466	ENSTNIP00000019191
ENSMGAP00000001356	ENSTNIP00000017983
ENSMGAP00000014625	ENSTNIP00000012711
ENSMGAP00000007848	ENSTNIP00000020654
ENSMGAP00000010300	ENSTNIP00000005696
ENSMGAP00000003617	ENSTNIP00000016193
ENSMGAP00000009825	ENSTNIP00000004730
ENSMGAP00000000737	ENSTNIP00000013737
ENSMGAP00000009657	ENSTNIP00000005501
ENSMGAP00000011815	ENSTNIP00000022314
ENSMGAP00000011218	ENSTNIP00000021604
ENSMGAP00000011218	ENSTNIP00000012073
ENSMGAP00000012705	ENSTNIP00000020092
ENSMGAP00000007078	ENSTNIP00000009396
ENSMGAP00000007078	ENSTNIP00000005167
ENSMGAP00000011134	ENSTNIP00000006348
ENSMGAP00000017509	ENSTNIP00000016316
ENSMGAP00000000730	ENSTNIP00000003187
ENSMGAP00000000730	ENSTNIP00000003719
ENSMGAP00000012182	ENSTNIP00000011174
ENSMGAP00000012182	ENSTNIP00000011717
ENSMGAP00000015716	ENSTNIP00000016889
ENSMGAP00000003367	ENSTNIP00000002630
ENSMGAP00000009944	ENSTNIP00000013618
ENSMGAP00000009979	ENSTNIP00000005469
ENSMGAP00000016886	ENSTNIP00000013679
ENSMGAP00000013153	ENSTNIP00000007337
ENSMGAP00000007392	ENSTNIP00000012410
ENSMGAP00000006485	ENSTNIP00000004170
ENSMGAP00000003262	ENSTNIP00000000096
ENSMGAP00000012561	ENSTNIP00000004169
ENSMGAP00000003178	ENSTNIP00000004172
ENSMGAP00000011128	ENSTNIP00000008001
ENSMGAP00000007926	ENSTNIP00000012366
ENSMGAP00000006160	ENSTNIP00000005750
ENSMGAP00000010925	ENSTNIP00000015048
ENSMGAP00000012934	ENSTNIP00000000796
ENSMGAP00000009394	ENSTNIP00000022432
ENSMGAP00000008318	ENSTNIP00000016575
ENSMGAP00000009205	ENSTNIP00000021248
ENSMGAP00000010936	ENSTNIP00000015493
ENSMGAP00000011774	ENSTNIP00000006412
ENSMGAP00000006256	ENSTNIP00000021220
ENSMGAP00000009009	ENSTNIP00000019177
ENSMGAP00000011385	ENSTNIP00000017433
ENSMGAP00000001142	ENSTNIP00000006953
ENSMGAP00000004457	ENSTNIP00000000410
ENSMGAP00000008988	ENSTNIP00000022974
ENSMGAP00000008872	ENSTNIP00000006791
ENSMGAP00000008872	ENSTNIP00000015607
ENSMGAP00000010443	ENSTNIP00000015045
ENSMGAP00000000679	ENSTNIP00000004007
ENSMGAP00000014048	ENSTNIP00000001462
ENSMGAP00000014048	ENSTNIP00000013657
ENSMGAP00000012880	ENSTNIP00000020379
ENSMGAP00000014779	ENSTNIP00000008352
ENSMGAP00000014780	ENSTNIP00000001079
ENSMGAP00000004289	ENSTNIP00000016052
ENSMGAP00000004289	ENSTNIP00000020615
ENSMGAP00000008743	ENSTNIP00000009421
ENSMGAP00000011153	ENSTNIP00000009402
ENSMGAP00000016657	ENSTNIP00000004502
ENSMGAP00000016637	ENSTNIP00000013944
ENSMGAP00000003533	ENSTNIP00000010409
ENSMGAP00000009178	ENSTNIP00000017707
ENSMGAP00000009178	ENSTNIP00000018493
ENSMGAP00000009175	ENSTNIP00000014875
ENSMGAP00000005907	ENSTNIP00000018958
ENSMGAP00000013873	ENSTNIP00000006044
ENSMGAP00000010650	ENSTNIP00000012426
ENSMGAP00000010650	ENSTNIP00000012427
ENSMGAP00000007940	ENSTNIP00000016631
ENSMGAP00000007940	ENSTNIP00000010696
ENSMGAP00000008533	ENSTNIP00000013315
ENSMGAP00000005766	ENSTNIP00000007749
ENSMGAP00000010471	ENSTNIP00000020639
ENSMGAP00000009748	ENSTNIP00000019074
ENSMGAP00000014629	ENSTNIP00000017165
ENSMGAP00000013528	ENSTNIP00000008726
ENSMGAP00000007961	ENSTNIP00000012469
ENSMGAP00000008585	ENSTNIP00000005334
ENSMGAP00000014342	ENSTNIP00000002104
ENSMGAP00000014345	ENSTNIP00000020485
ENSMGAP00000013739	ENSTNIP00000020495
ENSMGAP00000000980	ENSTNIP00000006777
ENSMGAP00000000980	ENSTNIP00000018579
ENSMGAP00000011431	ENSTNIP00000017504
ENSMGAP00000005911	ENSTNIP00000014347
ENSMGAP00000005911	ENSTNIP00000015091
ENSMGAP00000014536	ENSTNIP00000022535
ENSMGAP00000017551	ENSTNIP00000013166
ENSMGAP00000003873	ENSTNIP00000017385
ENSMGAP00000013170	ENSTNIP00000006529
ENSMGAP00000013170	ENSTNIP00000012589
ENSMGAP00000019340	ENSTNIP00000019489
ENSMGAP00000014778	ENSTNIP00000008351
ENSMGAP00000011272	ENSTNIP00000011343
ENSMGAP00000001815	ENSTNIP00000009832
ENSMGAP00000008157	ENSTNIP00000011695
ENSMGAP00000013247	ENSTNIP00000012507
ENSMGAP00000014108	ENSTNIP00000010059
ENSMGAP00000000499	ENSTNIP00000005460
ENSMGAP00000001575	ENSTNIP00000020028
ENSMGAP00000015092	ENSTNIP00000000589
ENSMGAP00000015092	ENSTNIP00000009807
ENSMGAP00000015391	ENSTNIP00000016240
ENSMGAP00000001688	ENSTNIP00000018847
ENSMGAP00000007893	ENSTNIP00000005351
ENSMGAP00000003355	ENSTNIP00000004489
ENSMGAP00000016365	ENSTNIP00000006781
ENSMGAP00000016855	ENSTNIP00000019601
ENSMGAP00000004109	ENSTNIP00000000110
ENSMGAP00000008731	ENSTNIP00000008856
ENSMGAP00000000086	ENSTNIP00000017156
ENSMGAP00000002593	ENSTNIP00000010967
ENSMGAP00000014707	ENSTNIP00000011131
ENSMGAP00000001163	ENSTNIP00000009154
ENSMGAP00000001163	ENSTNIP00000009164
ENSMGAP00000001348	ENSTNIP00000014948
ENSMGAP00000007519	ENSTNIP00000008569
ENSMGAP00000011156	ENSTNIP00000007319
ENSMGAP00000000369	ENSTNIP00000007704
ENSMGAP00000001091	ENSTNIP00000021294
ENSMGAP00000013568	ENSTNIP00000015101
ENSMGAP00000004554	ENSTNIP00000016469
ENSMGAP00000000085	ENSTNIP00000009582
ENSMGAP00000000085	ENSTNIP00000018175
ENSMGAP00000018204	ENSTNIP00000012663
ENSMGAP00000006390	ENSTNIP00000018971
ENSMGAP00000000887	ENSTNIP00000015857
ENSMGAP00000000762	ENSTNIP00000021291
ENSMGAP00000008714	ENSTNIP00000008855
ENSMGAP00000010586	ENSTNIP00000000564
ENSMGAP00000008852	ENSTNIP00000004971
ENSMGAP00000001395	ENSTNIP00000019862
ENSMGAP00000006785	ENSTNIP00000004957
ENSMGAP00000009255	ENSTNIP00000008151
ENSMGAP00000009255	ENSTNIP00000001004
ENSMGAP00000008040	ENSTNIP00000005236
ENSMGAP00000008876	ENSTNIP00000022156
ENSMGAP00000003422	ENSTNIP00000001946
ENSMGAP00000003422	ENSTNIP00000005006
ENSMGAP00000015273	ENSTNIP00000000517
ENSMGAP00000003689	ENSTNIP00000009607
ENSMGAP00000003725	ENSTNIP00000000276
ENSMGAP00000011606	ENSTNIP00000011635
ENSMGAP00000011606	ENSTNIP00000013963
ENSMGAP00000011689	ENSTNIP00000016718
ENSMGAP00000015781	ENSTNIP00000018027
ENSMGAP00000009299	ENSTNIP00000011823
ENSMGAP00000015201	ENSTNIP00000022878
ENSMGAP00000003710	ENSTNIP00000015408
ENSMGAP00000011655	ENSTNIP00000005958
ENSMGAP00000008858	ENSTNIP00000013297
ENSMGAP00000008858	ENSTNIP00000012416
ENSMGAP00000014047	ENSTNIP00000005978
ENSMGAP00000011625	ENSTNIP00000009466
ENSMGAP00000011759	ENSTNIP00000021184
ENSMGAP00000000744	ENSTNIP00000012902
ENSMGAP00000005385	ENSTNIP00000011486
ENSMGAP00000005473	ENSTNIP00000013856
ENSMGAP00000005473	ENSTNIP00000008963
ENSMGAP00000014873	ENSTNIP00000004438
ENSMGAP00000004123	ENSTNIP00000014678
ENSMGAP00000006694	ENSTNIP00000012223
ENSMGAP00000012758	ENSTNIP00000005888
ENSMGAP00000006418	ENSTNIP00000014563
ENSMGAP00000006418	ENSTNIP00000008143
ENSMGAP00000007499	ENSTNIP00000014905
ENSMGAP00000002574	ENSTNIP00000001466
ENSMGAP00000014767	ENSTNIP00000020628
ENSMGAP00000014767	ENSTNIP00000013668
ENSMGAP00000004080	ENSTNIP00000012089
ENSMGAP00000014427	ENSTNIP00000015859
ENSMGAP00000006889	ENSTNIP00000018329
ENSMGAP00000002312	ENSTNIP00000020893
ENSMGAP00000013161	ENSTNIP00000022303
ENSMGAP00000009371	ENSTNIP00000019168
ENSMGAP00000000497	ENSTNIP00000011334
ENSMGAP00000003946	ENSTNIP00000003806
ENSMGAP00000007704	ENSTNIP00000018217
ENSMGAP00000000859	ENSTNIP00000014676
ENSMGAP00000011580	ENSTNIP00000012347
ENSMGAP00000002371	ENSTNIP00000002910
ENSMGAP00000015954	ENSTNIP00000022222
ENSMGAP00000015954	ENSTNIP00000012854
ENSMGAP00000002720	ENSTNIP00000011254
ENSMGAP00000002995	ENSTNIP00000021024
ENSMGAP00000002995	ENSTNIP00000010120
ENSMGAP00000013724	ENSTNIP00000003138
ENSMGAP00000016876	ENSTNIP00000002365
ENSMGAP00000002247	ENSTNIP00000007116
ENSMGAP00000014035	ENSTNIP00000007873
ENSMGAP00000008702	ENSTNIP00000003073
ENSMGAP00000008955	ENSTNIP00000002945
ENSMGAP00000008955	ENSTNIP00000010493
ENSMGAP00000006471	ENSTNIP00000000060
ENSMGAP00000003984	ENSTNIP00000011180
ENSMGAP00000014886	ENSTNIP00000012573
ENSMGAP00000011317	ENSTNIP00000018552
ENSMGAP00000007542	ENSTNIP00000014332
ENSMGAP00000007616	ENSTNIP00000013368
ENSMGAP00000014484	ENSTNIP00000010042
ENSMGAP00000014484	ENSTNIP00000019093
ENSMGAP00000012667	ENSTNIP00000015175
ENSMGAP00000012667	ENSTNIP00000020582
ENSMGAP00000012872	ENSTNIP00000019695
ENSMGAP00000004677	ENSTNIP00000012955
ENSMGAP00000003309	ENSTNIP00000017286
ENSMGAP00000005030	ENSTNIP00000001272
ENSMGAP00000017043	ENSTNIP00000018716
ENSMGAP00000003362	ENSTNIP00000007349
ENSMGAP00000010091	ENSTNIP00000008800
ENSMGAP00000005287	ENSTNIP00000007586
ENSMGAP00000012887	ENSTNIP00000017585
ENSMGAP00000004102	ENSTNIP00000005456
ENSMGAP00000011398	ENSTNIP00000007796
ENSMGAP00000001897	ENSTNIP00000012491
ENSMGAP00000009060	ENSTNIP00000019154
ENSMGAP00000004606	ENSTNIP00000009836
ENSMGAP00000004606	ENSTNIP00000006621
ENSMGAP00000000642	ENSTNIP00000020394
ENSMGAP00000009313	ENSTNIP00000019855
ENSMGAP00000007353	ENSTNIP00000007224
ENSMGAP00000016272	ENSTNIP00000005096
ENSMGAP00000016272	ENSTNIP00000021793
ENSMGAP00000009488	ENSTNIP00000021927
ENSMGAP00000005069	ENSTNIP00000000313
ENSMGAP00000009336	ENSTNIP00000011303
ENSMGAP00000009336	ENSTNIP00000002396
ENSMGAP00000006249	ENSTNIP00000011379
ENSMGAP00000008115	ENSTNIP00000014388
ENSMGAP00000008115	ENSTNIP00000008007
ENSMGAP00000005020	ENSTNIP00000010066
ENSMGAP00000005020	ENSTNIP00000018178
ENSMGAP00000016743	ENSTNIP00000001223
ENSMGAP00000010642	ENSTNIP00000011712
ENSMGAP00000003290	ENSTNIP00000018212
ENSMGAP00000010616	ENSTNIP00000017954
ENSMGAP00000010616	ENSTNIP00000006744
ENSMGAP00000014760	ENSTNIP00000010877
ENSMGAP00000014760	ENSTNIP00000008480
ENSMGAP00000014789	ENSTNIP00000020441
ENSMGAP00000010924	ENSTNIP00000014310
ENSMGAP00000008195	ENSTNIP00000008951
ENSMGAP00000008829	ENSTNIP00000011694
ENSMGAP00000013287	ENSTNIP00000005265
ENSMGAP00000016002	ENSTNIP00000018050
ENSMGAP00000004273	ENSTNIP00000007364
ENSMGAP00000004013	ENSTNIP00000005574
ENSMGAP00000006825	ENSTNIP00000022651
ENSMGAP00000010088	ENSTNIP00000013428
ENSMGAP00000013864	ENSTNIP00000004379
ENSMGAP00000003424	ENSTNIP00000006105
ENSMGAP00000014323	ENSTNIP00000007744
ENSMGAP00000008303	ENSTNIP00000008380
ENSMGAP00000013753	ENSTNIP00000016861
ENSMGAP00000001419	ENSTNIP00000006950
ENSMGAP00000003442	ENSTNIP00000018912
ENSMGAP00000003442	ENSTNIP00000000581
ENSMGAP00000001207	ENSTNIP00000017196
ENSMGAP00000017075	ENSTNIP00000009478
ENSMGAP00000009053	ENSTNIP00000014487
ENSMGAP00000009053	ENSTNIP00000017549
ENSMGAP00000011324	ENSTNIP00000019602
ENSMGAP00000019123	ENSTNIP00000022315
ENSMGAP00000019123	ENSTNIP00000012118
ENSMGAP00000015982	ENSTNIP00000004852
ENSMGAP00000012956	ENSTNIP00000017224
ENSMGAP00000013146	ENSTNIP00000001031
ENSMGAP00000012051	ENSTNIP00000011008
ENSMGAP00000005889	ENSTNIP00000015169
ENSMGAP00000010883	ENSTNIP00000015050
ENSMGAP00000008681	ENSTNIP00000007650
ENSMGAP00000005466	ENSTNIP00000018688
ENSMGAP00000013654	ENSTNIP00000012343
ENSMGAP00000012674	ENSTNIP00000009061
ENSMGAP00000008615	ENSTNIP00000011001
ENSMGAP00000012582	ENSTNIP00000020818
ENSMGAP00000009859	ENSTNIP00000020662
ENSMGAP00000009859	ENSTNIP00000014553
ENSMGAP00000018681	ENSTNIP00000013389
ENSMGAP00000018681	ENSTNIP00000011277
ENSMGAP00000009417	ENSTNIP00000006122
ENSMGAP00000013979	ENSTNIP00000011641
ENSMGAP00000008333	ENSTNIP00000007612
ENSMGAP00000008333	ENSTNIP00000019840
ENSMGAP00000015665	ENSTNIP00000016879
ENSMGAP00000012013	ENSTNIP00000010691
ENSMGAP00000012026	ENSTNIP00000010690
ENSMGAP00000005302	ENSTNIP00000001130
ENSMGAP00000016750	ENSTNIP00000005961
ENSMGAP00000016750	ENSTNIP00000012480
ENSMGAP00000004470	ENSTNIP00000008075
ENSMGAP00000004470	ENSTNIP00000011492
ENSMGAP00000010142	ENSTNIP00000016114
ENSMGAP00000002069	ENSTNIP00000009833
ENSMGAP00000002069	ENSTNIP00000008391
ENSMGAP00000004515	ENSTNIP00000007696
ENSMGAP00000000834	ENSTNIP00000012973
ENSMGAP00000000834	ENSTNIP00000018403
ENSMGAP00000001088	ENSTNIP00000005231
ENSMGAP00000017435	ENSTNIP00000020838
ENSMGAP00000018236	ENSTNIP00000004071
ENSMGAP00000018236	ENSTNIP00000014797
ENSMGAP00000010087	ENSTNIP00000004847
ENSMGAP00000003283	ENSTNIP00000022051
ENSMGAP00000011513	ENSTNIP00000021309
ENSMGAP00000018477	ENSTNIP00000006568
ENSMGAP00000012426	ENSTNIP00000010646
ENSMGAP00000015431	ENSTNIP00000011422
ENSMGAP00000004052	ENSTNIP00000010597
ENSMGAP00000012793	ENSTNIP00000002866
ENSMGAP00000012793	ENSTNIP00000000411
ENSMGAP00000010423	ENSTNIP00000018118
ENSMGAP00000010423	ENSTNIP00000003737
ENSMGAP00000006493	ENSTNIP00000006780
ENSMGAP00000002459	ENSTNIP00000017158
ENSMGAP00000007000	ENSTNIP00000007680
ENSMGAP00000005320	ENSTNIP00000011826
ENSMGAP00000012292	ENSTNIP00000021262
ENSMGAP00000003179	ENSTNIP00000020866
ENSMGAP00000012498	ENSTNIP00000020812
ENSMGAP00000011284	ENSTNIP00000019885
ENSMGAP00000004359	ENSTNIP00000010428
ENSMGAP00000010368	ENSTNIP00000011550
ENSMGAP00000010368	ENSTNIP00000009447
ENSMGAP00000011345	ENSTNIP00000010515
ENSMGAP00000017489	ENSTNIP00000004723
ENSMGAP00000005791	ENSTNIP00000017940
ENSMGAP00000000187	ENSTNIP00000017046
ENSMGAP00000000187	ENSTNIP00000012546
ENSMGAP00000003686	ENSTNIP00000006405
ENSMGAP00000014073	ENSTNIP00000022845
ENSMGAP00000010967	ENSTNIP00000021960
ENSMGAP00000003799	ENSTNIP00000018476
ENSMGAP00000006182	ENSTNIP00000015086
ENSMGAP00000019133	ENSTNIP00000014339
ENSMGAP00000016530	ENSTNIP00000022223
ENSMGAP00000016530	ENSTNIP00000014710
ENSMGAP00000001734	ENSTNIP00000001157
ENSMGAP00000007819	ENSTNIP00000021828
ENSMGAP00000013445	ENSTNIP00000015014
ENSMGAP00000013445	ENSTNIP00000002105
ENSMGAP00000019781	ENSTNIP00000019290
ENSMGAP00000019781	ENSTNIP00000019257
ENSMGAP00000017228	ENSTNIP00000016106
ENSMGAP00000017228	ENSTNIP00000015319
ENSMGAP00000016406	ENSTNIP00000014520
ENSMGAP00000007199	ENSTNIP00000010470
ENSMGAP00000010914	ENSTNIP00000010528
ENSMGAP00000010914	ENSTNIP00000018325
ENSMGAP00000008577	ENSTNIP00000013983
ENSMGAP00000008400	ENSTNIP00000021073
ENSMGAP00000008400	ENSTNIP00000017705
ENSMGAP00000002200	ENSTNIP00000013822
ENSMGAP00000008339	ENSTNIP00000011693
ENSMGAP00000009787	ENSTNIP00000006587
ENSMGAP00000003532	ENSTNIP00000011236
ENSMGAP00000002285	ENSTNIP00000009498
ENSMGAP00000003792	ENSTNIP00000001680
ENSMGAP00000003792	ENSTNIP00000011155
ENSMGAP00000002136	ENSTNIP00000017756
ENSMGAP00000009274	ENSTNIP00000000616
ENSMGAP00000005995	ENSTNIP00000012183
ENSMGAP00000019673	ENSTNIP00000004829
ENSMGAP00000018341	ENSTNIP00000011984
ENSMGAP00000013737	ENSTNIP00000019113
ENSMGAP00000014138	ENSTNIP00000007834
ENSMGAP00000010085	ENSTNIP00000013674
ENSMGAP00000014303	ENSTNIP00000015346
ENSMGAP00000003393	ENSTNIP00000016368
ENSMGAP00000011526	ENSTNIP00000002824
ENSMGAP00000012814	ENSTNIP00000011151
ENSMGAP00000007789	ENSTNIP00000013376
ENSMGAP00000003057	ENSTNIP00000000423
ENSMGAP00000000986	ENSTNIP00000016807
ENSMGAP00000006908	ENSTNIP00000002777
ENSMGAP00000013141	ENSTNIP00000021687
ENSMGAP00000009656	ENSTNIP00000009476
ENSMGAP00000007799	ENSTNIP00000018844
ENSMGAP00000006170	ENSTNIP00000010661
ENSMGAP00000006170	ENSTNIP00000000098
ENSMGAP00000015182	ENSTNIP00000016779
ENSMGAP00000015182	ENSTNIP00000017498
ENSMGAP00000008545	ENSTNIP00000018352
ENSMGAP00000008887	ENSTNIP00000012220
ENSMGAP00000008887	ENSTNIP00000015072
ENSMGAP00000001786	ENSTNIP00000005497
ENSMGAP00000009648	ENSTNIP00000021437
ENSMGAP00000003766	ENSTNIP00000014296
ENSMGAP00000015790	ENSTNIP00000016990
ENSMGAP00000015790	ENSTNIP00000016268
ENSMGAP00000002674	ENSTNIP00000014178
ENSMGAP00000003647	ENSTNIP00000010668
ENSMGAP00000003351	ENSTNIP00000007894
ENSMGAP00000003198	ENSTNIP00000009503
ENSMGAP00000013062	ENSTNIP00000005158
ENSMGAP00000008325	ENSTNIP00000015935
ENSMGAP00000014066	ENSTNIP00000013902
ENSMGAP00000008904	ENSTNIP00000017695
ENSMGAP00000019426	ENSTNIP00000018480
ENSMGAP00000011684	ENSTNIP00000005346
ENSMGAP00000006542	ENSTNIP00000011559
ENSMGAP00000010260	ENSTNIP00000018413
ENSMGAP00000014993	ENSTNIP00000007120
ENSMGAP00000005024	ENSTNIP00000022823
ENSMGAP00000009827	ENSTNIP00000018674
ENSMGAP00000001561	ENSTNIP00000014081
ENSMGAP00000002954	ENSTNIP00000019882
ENSMGAP00000000108	ENSTNIP00000020719
ENSMGAP00000003907	ENSTNIP00000016667
ENSMGAP00000003944	ENSTNIP00000005205
ENSMGAP00000015144	ENSTNIP00000012925
ENSMGAP00000009074	ENSTNIP00000020923
ENSMGAP00000002614	ENSTNIP00000005755
ENSMGAP00000017667	ENSTNIP00000021416
ENSMGAP00000012381	ENSTNIP00000007972
ENSMGAP00000003649	ENSTNIP00000011784
ENSMGAP00000010597	ENSTNIP00000011511
ENSMGAP00000002082	ENSTNIP00000016400
ENSMGAP00000019772	ENSTNIP00000011179
ENSMGAP00000015789	ENSTNIP00000004831
ENSMGAP00000015789	ENSTNIP00000016989
ENSMGAP00000012602	ENSTNIP00000018778
ENSMGAP00000015233	ENSTNIP00000019336
ENSMGAP00000015233	ENSTNIP00000014761
ENSMGAP00000001937	ENSTNIP00000019391
ENSMGAP00000001937	ENSTNIP00000012876
ENSMGAP00000007252	ENSTNIP00000006894
ENSMGAP00000000396	ENSTNIP00000007289
ENSMGAP00000007106	ENSTNIP00000016351
ENSMGAP00000007106	ENSTNIP00000014803
ENSMGAP00000009840	ENSTNIP00000010643
ENSMGAP00000010777	ENSTNIP00000015818
ENSMGAP00000012525	ENSTNIP00000020815
ENSMGAP00000014409	ENSTNIP00000010045
ENSMGAP00000010882	ENSTNIP00000022447
ENSMGAP00000004813	ENSTNIP00000014542
ENSMGAP00000010503	ENSTNIP00000017880
ENSMGAP00000001131	ENSTNIP00000006749
ENSMGAP00000010628	ENSTNIP00000001875
ENSMGAP00000018261	ENSTNIP00000013408
ENSMGAP00000006235	ENSTNIP00000010992
ENSMGAP00000003569	ENSTNIP00000006669
ENSMGAP00000010973	ENSTNIP00000016041
ENSMGAP00000011946	ENSTNIP00000020843
ENSMGAP00000017832	ENSTNIP00000020062
