ENSTGUP00000008915	ENSGACP00000003450
ENSTGUP00000000719	ENSGACP00000022304
ENSTGUP00000010484	ENSGACP00000020352
ENSTGUP00000001484	ENSGACP00000018750
ENSTGUP00000017785	ENSGACP00000014494
ENSTGUP00000008359	ENSGACP00000004440
ENSTGUP00000003284	ENSGACP00000002886
ENSTGUP00000005747	ENSGACP00000007201
ENSTGUP00000005747	ENSGACP00000024497
ENSTGUP00000008668	ENSGACP00000020639
ENSTGUP00000001739	ENSGACP00000006806
ENSTGUP00000011408	ENSGACP00000011680
ENSTGUP00000011408	ENSGACP00000015215
ENSTGUP00000013534	ENSGACP00000017136
ENSTGUP00000004152	ENSGACP00000005071
ENSTGUP00000002713	ENSGACP00000010693
ENSTGUP00000001990	ENSGACP00000012914
ENSTGUP00000013056	ENSGACP00000015985
ENSTGUP00000004793	ENSGACP00000009347
ENSTGUP00000004793	ENSGACP00000025450
ENSTGUP00000000367	ENSGACP00000024263
ENSTGUP00000003797	ENSGACP00000023016
ENSTGUP00000009690	ENSGACP00000019572
ENSTGUP00000004020	ENSGACP00000008454
ENSTGUP00000015654	ENSGACP00000000960
ENSTGUP00000009469	ENSGACP00000003473
ENSTGUP00000002508	ENSGACP00000008366
ENSTGUP00000002508	ENSGACP00000011689
ENSTGUP00000010870	ENSGACP00000021542
ENSTGUP00000010870	ENSGACP00000012439
ENSTGUP00000007382	ENSGACP00000006410
ENSTGUP00000007382	ENSGACP00000017305
ENSTGUP00000005260	ENSGACP00000018854
ENSTGUP00000005260	ENSGACP00000003269
ENSTGUP00000010013	ENSGACP00000004022
ENSTGUP00000003654	ENSGACP00000021129
ENSTGUP00000007258	ENSGACP00000021829
ENSTGUP00000007258	ENSGACP00000015846
ENSTGUP00000003652	ENSGACP00000021132
ENSTGUP00000007261	ENSGACP00000021827
ENSTGUP00000003258	ENSGACP00000013084
ENSTGUP00000015287	ENSGACP00000016079
ENSTGUP00000007581	ENSGACP00000022235
ENSTGUP00000002648	ENSGACP00000024618
ENSTGUP00000001638	ENSGACP00000018219
ENSTGUP00000002188	ENSGACP00000008117
ENSTGUP00000002190	ENSGACP00000005801
ENSTGUP00000008066	ENSGACP00000002055
ENSTGUP00000002551	ENSGACP00000005941
ENSTGUP00000010642	ENSGACP00000005138
ENSTGUP00000010646	ENSGACP00000025436
ENSTGUP00000012303	ENSGACP00000005832
ENSTGUP00000012301	ENSGACP00000005837
ENSTGUP00000000742	ENSGACP00000013771
ENSTGUP00000000742	ENSGACP00000020523
ENSTGUP00000006629	ENSGACP00000008747
ENSTGUP00000006934	ENSGACP00000023395
ENSTGUP00000006934	ENSGACP00000024826
ENSTGUP00000011117	ENSGACP00000004758
ENSTGUP00000000374	ENSGACP00000010091
ENSTGUP00000011415	ENSGACP00000003129
ENSTGUP00000001560	ENSGACP00000008282
ENSTGUP00000009514	ENSGACP00000007790
ENSTGUP00000009514	ENSGACP00000016640
ENSTGUP00000002561	ENSGACP00000023045
ENSTGUP00000013124	ENSGACP00000011374
ENSTGUP00000013124	ENSGACP00000016639
ENSTGUP00000012102	ENSGACP00000013919
ENSTGUP00000013346	ENSGACP00000007495
ENSTGUP00000013353	ENSGACP00000017514
ENSTGUP00000016403	ENSGACP00000001068
ENSTGUP00000017623	ENSGACP00000012167
ENSTGUP00000017623	ENSGACP00000008702
ENSTGUP00000013167	ENSGACP00000008073
ENSTGUP00000009752	ENSGACP00000014609
ENSTGUP00000000287	ENSGACP00000010177
ENSTGUP00000008638	ENSGACP00000015729
ENSTGUP00000010255	ENSGACP00000010104
ENSTGUP00000008451	ENSGACP00000026169
ENSTGUP00000000354	ENSGACP00000027541
ENSTGUP00000004287	ENSGACP00000020789
ENSTGUP00000004287	ENSGACP00000013293
ENSTGUP00000008720	ENSGACP00000019511
ENSTGUP00000007254	ENSGACP00000011768
ENSTGUP00000000599	ENSGACP00000015220
ENSTGUP00000003357	ENSGACP00000009977
ENSTGUP00000009842	ENSGACP00000007159
ENSTGUP00000009842	ENSGACP00000021629
ENSTGUP00000004395	ENSGACP00000011514
ENSTGUP00000014311	ENSGACP00000007653
ENSTGUP00000010722	ENSGACP00000005156
ENSTGUP00000006018	ENSGACP00000005372
ENSTGUP00000013065	ENSGACP00000015965
ENSTGUP00000013065	ENSGACP00000023911
ENSTGUP00000012921	ENSGACP00000020863
ENSTGUP00000009461	ENSGACP00000022656
ENSTGUP00000008600	ENSGACP00000013194
ENSTGUP00000013380	ENSGACP00000011152
ENSTGUP00000003980	ENSGACP00000014281
ENSTGUP00000013381	ENSGACP00000011138
ENSTGUP00000013262	ENSGACP00000006350
ENSTGUP00000001041	ENSGACP00000022338
ENSTGUP00000001041	ENSGACP00000014096
ENSTGUP00000010929	ENSGACP00000020152
ENSTGUP00000002766	ENSGACP00000026379
ENSTGUP00000002766	ENSGACP00000015814
ENSTGUP00000013550	ENSGACP00000015693
ENSTGUP00000012344	ENSGACP00000016549
ENSTGUP00000012344	ENSGACP00000006709
ENSTGUP00000008206	ENSGACP00000017867
ENSTGUP00000013344	ENSGACP00000007480
ENSTGUP00000011271	ENSGACP00000023702
ENSTGUP00000003913	ENSGACP00000008047
ENSTGUP00000012263	ENSGACP00000007682
ENSTGUP00000002408	ENSGACP00000023139
ENSTGUP00000013640	ENSGACP00000016283
ENSTGUP00000013640	ENSGACP00000019711
ENSTGUP00000004846	ENSGACP00000020139
ENSTGUP00000005066	ENSGACP00000022997
ENSTGUP00000017308	ENSGACP00000016288
ENSTGUP00000017308	ENSGACP00000026639
ENSTGUP00000000660	ENSGACP00000017963
ENSTGUP00000000660	ENSGACP00000014611
ENSTGUP00000008161	ENSGACP00000003972
ENSTGUP00000007176	ENSGACP00000007261
ENSTGUP00000017739	ENSGACP00000011199
ENSTGUP00000008762	ENSGACP00000005865
ENSTGUP00000002152	ENSGACP00000026557
ENSTGUP00000010598	ENSGACP00000003636
ENSTGUP00000000131	ENSGACP00000022171
ENSTGUP00000001243	ENSGACP00000003253
ENSTGUP00000007549	ENSGACP00000000546
ENSTGUP00000001271	ENSGACP00000005245
ENSTGUP00000008110	ENSGACP00000021564
ENSTGUP00000002531	ENSGACP00000023933
ENSTGUP00000000391	ENSGACP00000010018
ENSTGUP00000011372	ENSGACP00000015645
ENSTGUP00000001715	ENSGACP00000010158
ENSTGUP00000001715	ENSGACP00000010766
ENSTGUP00000016151	ENSGACP00000014594
ENSTGUP00000007634	ENSGACP00000012065
ENSTGUP00000005825	ENSGACP00000002976
ENSTGUP00000003563	ENSGACP00000009782
ENSTGUP00000008691	ENSGACP00000014610
ENSTGUP00000003264	ENSGACP00000017221
ENSTGUP00000009628	ENSGACP00000006610
ENSTGUP00000004600	ENSGACP00000024519
ENSTGUP00000004600	ENSGACP00000022977
ENSTGUP00000006527	ENSGACP00000002710
ENSTGUP00000000237	ENSGACP00000008120
ENSTGUP00000000237	ENSGACP00000026911
ENSTGUP00000017637	ENSGACP00000009622
ENSTGUP00000000233	ENSGACP00000009627
ENSTGUP00000000233	ENSGACP00000026912
ENSTGUP00000008091	ENSGACP00000018009
ENSTGUP00000008091	ENSGACP00000026115
ENSTGUP00000008275	ENSGACP00000012368
ENSTGUP00000011245	ENSGACP00000002501
ENSTGUP00000007184	ENSGACP00000024161
ENSTGUP00000005413	ENSGACP00000015186
ENSTGUP00000011588	ENSGACP00000019007
ENSTGUP00000008513	ENSGACP00000009364
ENSTGUP00000008513	ENSGACP00000022283
ENSTGUP00000012176	ENSGACP00000016040
ENSTGUP00000015744	ENSGACP00000000574
ENSTGUP00000003599	ENSGACP00000023040
ENSTGUP00000015009	ENSGACP00000027323
ENSTGUP00000004590	ENSGACP00000011344
ENSTGUP00000017430	ENSGACP00000007394
ENSTGUP00000017430	ENSGACP00000010244
ENSTGUP00000013582	ENSGACP00000015467
ENSTGUP00000002938	ENSGACP00000012004
ENSTGUP00000002938	ENSGACP00000008427
ENSTGUP00000009423	ENSGACP00000020774
ENSTGUP00000010729	ENSGACP00000019686
ENSTGUP00000009389	ENSGACP00000007393
ENSTGUP00000004504	ENSGACP00000015404
ENSTGUP00000004504	ENSGACP00000024486
ENSTGUP00000006373	ENSGACP00000018930
ENSTGUP00000006373	ENSGACP00000022151
ENSTGUP00000004516	ENSGACP00000024490
ENSTGUP00000004516	ENSGACP00000016156
ENSTGUP00000004279	ENSGACP00000026723
ENSTGUP00000013320	ENSGACP00000008971
ENSTGUP00000013320	ENSGACP00000010715
ENSTGUP00000001792	ENSGACP00000009867
ENSTGUP00000013464	ENSGACP00000012507
ENSTGUP00000005217	ENSGACP00000018335
ENSTGUP00000012701	ENSGACP00000008287
ENSTGUP00000012701	ENSGACP00000003954
ENSTGUP00000001687	ENSGACP00000008952
ENSTGUP00000010139	ENSGACP00000007269
ENSTGUP00000000051	ENSGACP00000023726
ENSTGUP00000003162	ENSGACP00000011957
ENSTGUP00000006712	ENSGACP00000020024
ENSTGUP00000017666	ENSGACP00000010507
ENSTGUP00000004803	ENSGACP00000013450
ENSTGUP00000013116	ENSGACP00000007062
ENSTGUP00000010757	ENSGACP00000006011
ENSTGUP00000008481	ENSGACP00000018621
ENSTGUP00000011888	ENSGACP00000025390
ENSTGUP00000005546	ENSGACP00000015595
ENSTGUP00000006158	ENSGACP00000027075
ENSTGUP00000006158	ENSGACP00000011371
ENSTGUP00000009193	ENSGACP00000014438
ENSTGUP00000009193	ENSGACP00000002482
ENSTGUP00000008651	ENSGACP00000002636
ENSTGUP00000007870	ENSGACP00000014484
ENSTGUP00000015337	ENSGACP00000007335
ENSTGUP00000008844	ENSGACP00000014770
ENSTGUP00000009196	ENSGACP00000014945
ENSTGUP00000009228	ENSGACP00000014826
ENSTGUP00000012466	ENSGACP00000001426
ENSTGUP00000012466	ENSGACP00000005705
ENSTGUP00000010031	ENSGACP00000007626
ENSTGUP00000014507	ENSGACP00000011322
ENSTGUP00000003709	ENSGACP00000021331
ENSTGUP00000003709	ENSGACP00000013049
ENSTGUP00000005681	ENSGACP00000019148
ENSTGUP00000005669	ENSGACP00000019139
ENSTGUP00000007357	ENSGACP00000021558
ENSTGUP00000007357	ENSGACP00000025677
ENSTGUP00000003986	ENSGACP00000000812
ENSTGUP00000006525	ENSGACP00000021467
ENSTGUP00000001355	ENSGACP00000006721
ENSTGUP00000001355	ENSGACP00000012822
ENSTGUP00000007730	ENSGACP00000025732
ENSTGUP00000016201	ENSGACP00000022562
ENSTGUP00000004958	ENSGACP00000011924
ENSTGUP00000017828	ENSGACP00000008097
ENSTGUP00000017828	ENSGACP00000013458
ENSTGUP00000014041	ENSGACP00000018946
ENSTGUP00000001481	ENSGACP00000012763
ENSTGUP00000001167	ENSGACP00000002436
ENSTGUP00000001284	ENSGACP00000023501
ENSTGUP00000005641	ENSGACP00000001210
ENSTGUP00000008758	ENSGACP00000014637
ENSTGUP00000005051	ENSGACP00000017766
ENSTGUP00000006849	ENSGACP00000026775
ENSTGUP00000010366	ENSGACP00000017720
ENSTGUP00000010366	ENSGACP00000023168
ENSTGUP00000001424	ENSGACP00000000388
ENSTGUP00000001424	ENSGACP00000010687
ENSTGUP00000018065	ENSGACP00000027546
ENSTGUP00000011327	ENSGACP00000022436
ENSTGUP00000004064	ENSGACP00000009783
ENSTGUP00000012708	ENSGACP00000008851
ENSTGUP00000013371	ENSGACP00000011962
ENSTGUP00000014657	ENSGACP00000021742
ENSTGUP00000006126	ENSGACP00000007476
ENSTGUP00000011714	ENSGACP00000008862
ENSTGUP00000012054	ENSGACP00000002243
ENSTGUP00000000875	ENSGACP00000004347
ENSTGUP00000001057	ENSGACP00000024642
ENSTGUP00000000004	ENSGACP00000023961
ENSTGUP00000011132	ENSGACP00000010920
ENSTGUP00000005347	ENSGACP00000020256
ENSTGUP00000012638	ENSGACP00000018674
ENSTGUP00000002235	ENSGACP00000001541
ENSTGUP00000010871	ENSGACP00000025293
ENSTGUP00000014902	ENSGACP00000015197
ENSTGUP00000003269	ENSGACP00000010157
ENSTGUP00000008191	ENSGACP00000016455
ENSTGUP00000010058	ENSGACP00000011325
ENSTGUP00000010058	ENSGACP00000019984
ENSTGUP00000007219	ENSGACP00000007247
ENSTGUP00000008212	ENSGACP00000008515
ENSTGUP00000008212	ENSGACP00000010891
ENSTGUP00000002306	ENSGACP00000005764
ENSTGUP00000012158	ENSGACP00000027174
ENSTGUP00000009157	ENSGACP00000023717
ENSTGUP00000002564	ENSGACP00000005917
ENSTGUP00000010617	ENSGACP00000024117
ENSTGUP00000015957	ENSGACP00000018757
ENSTGUP00000012594	ENSGACP00000020047
ENSTGUP00000012594	ENSGACP00000007585
ENSTGUP00000010318	ENSGACP00000026129
ENSTGUP00000010848	ENSGACP00000011922
ENSTGUP00000009545	ENSGACP00000003547
ENSTGUP00000005134	ENSGACP00000019183
ENSTGUP00000011142	ENSGACP00000002016
ENSTGUP00000008315	ENSGACP00000018705
ENSTGUP00000011770	ENSGACP00000010376
ENSTGUP00000011770	ENSGACP00000007930
ENSTGUP00000003893	ENSGACP00000025138
ENSTGUP00000003893	ENSGACP00000011755
ENSTGUP00000009747	ENSGACP00000002674
ENSTGUP00000011981	ENSGACP00000018076
ENSTGUP00000007205	ENSGACP00000022972
ENSTGUP00000014107	ENSGACP00000008295
ENSTGUP00000001972	ENSGACP00000006667
ENSTGUP00000004174	ENSGACP00000024356
ENSTGUP00000001775	ENSGACP00000011466
ENSTGUP00000010492	ENSGACP00000003847
ENSTGUP00000009905	ENSGACP00000021571
ENSTGUP00000009932	ENSGACP00000021553
ENSTGUP00000002220	ENSGACP00000020928
ENSTGUP00000002273	ENSGACP00000023675
ENSTGUP00000002273	ENSGACP00000009161
ENSTGUP00000011073	ENSGACP00000022606
ENSTGUP00000004253	ENSGACP00000003183
ENSTGUP00000004253	ENSGACP00000011082
ENSTGUP00000007190	ENSGACP00000023531
ENSTGUP00000007729	ENSGACP00000022048
ENSTGUP00000001358	ENSGACP00000019459
ENSTGUP00000001358	ENSGACP00000020854
ENSTGUP00000010327	ENSGACP00000021346
ENSTGUP00000015676	ENSGACP00000017279
ENSTGUP00000005720	ENSGACP00000006884
ENSTGUP00000011596	ENSGACP00000002114
ENSTGUP00000011472	ENSGACP00000019214
ENSTGUP00000000259	ENSGACP00000023011
ENSTGUP00000002243	ENSGACP00000017178
ENSTGUP00000012150	ENSGACP00000021150
ENSTGUP00000005584	ENSGACP00000026689
ENSTGUP00000000273	ENSGACP00000012092
ENSTGUP00000000348	ENSGACP00000023826
ENSTGUP00000000348	ENSGACP00000021508
ENSTGUP00000014702	ENSGACP00000008443
ENSTGUP00000014702	ENSGACP00000025295
ENSTGUP00000010766	ENSGACP00000015893
ENSTGUP00000010766	ENSGACP00000019478
ENSTGUP00000002968	ENSGACP00000008584
ENSTGUP00000008158	ENSGACP00000003981
ENSTGUP00000002315	ENSGACP00000023947
ENSTGUP00000004524	ENSGACP00000019749
ENSTGUP00000013743	ENSGACP00000001845
ENSTGUP00000010115	ENSGACP00000009082
ENSTGUP00000002464	ENSGACP00000022777
ENSTGUP00000008113	ENSGACP00000018775
ENSTGUP00000004045	ENSGACP00000021216
ENSTGUP00000000496	ENSGACP00000027504
ENSTGUP00000003646	ENSGACP00000005858
ENSTGUP00000011148	ENSGACP00000002229
ENSTGUP00000011148	ENSGACP00000014456
ENSTGUP00000000739	ENSGACP00000022298
ENSTGUP00000014708	ENSGACP00000010265
ENSTGUP00000014708	ENSGACP00000009778
ENSTGUP00000005396	ENSGACP00000015141
ENSTGUP00000012194	ENSGACP00000005329
ENSTGUP00000010522	ENSGACP00000023030
ENSTGUP00000003660	ENSGACP00000013038
ENSTGUP00000001609	ENSGACP00000000463
ENSTGUP00000001609	ENSGACP00000004984
ENSTGUP00000008103	ENSGACP00000010282
ENSTGUP00000002845	ENSGACP00000015912
ENSTGUP00000012368	ENSGACP00000015764
ENSTGUP00000012368	ENSGACP00000027003
ENSTGUP00000007495	ENSGACP00000022490
ENSTGUP00000001329	ENSGACP00000022529
ENSTGUP00000011194	ENSGACP00000025239
ENSTGUP00000011194	ENSGACP00000009059
ENSTGUP00000005970	ENSGACP00000014363
ENSTGUP00000005970	ENSGACP00000027136
ENSTGUP00000010901	ENSGACP00000018567
ENSTGUP00000006607	ENSGACP00000010873
ENSTGUP00000007643	ENSGACP00000027593
ENSTGUP00000011495	ENSGACP00000013327
ENSTGUP00000011495	ENSGACP00000018279
ENSTGUP00000006741	ENSGACP00000006461
ENSTGUP00000002579	ENSGACP00000022880
ENSTGUP00000002579	ENSGACP00000024592
ENSTGUP00000009243	ENSGACP00000003771
ENSTGUP00000009243	ENSGACP00000002157
ENSTGUP00000008195	ENSGACP00000002749
ENSTGUP00000008899	ENSGACP00000009150
ENSTGUP00000007251	ENSGACP00000022120
ENSTGUP00000007251	ENSGACP00000016791
ENSTGUP00000001501	ENSGACP00000023632
ENSTGUP00000003402	ENSGACP00000013757
ENSTGUP00000006993	ENSGACP00000011965
ENSTGUP00000017749	ENSGACP00000001910
ENSTGUP00000010084	ENSGACP00000007127
ENSTGUP00000003320	ENSGACP00000009985
ENSTGUP00000006703	ENSGACP00000020929
ENSTGUP00000007893	ENSGACP00000000447
ENSTGUP00000003515	ENSGACP00000022776
ENSTGUP00000011559	ENSGACP00000013315
ENSTGUP00000012311	ENSGACP00000008151
ENSTGUP00000003197	ENSGACP00000013188
ENSTGUP00000013348	ENSGACP00000014372
ENSTGUP00000005123	ENSGACP00000016187
ENSTGUP00000004095	ENSGACP00000019677
ENSTGUP00000003775	ENSGACP00000004083
ENSTGUP00000003775	ENSGACP00000005781
ENSTGUP00000003758	ENSGACP00000013881
ENSTGUP00000004184	ENSGACP00000014852
ENSTGUP00000004199	ENSGACP00000024470
ENSTGUP00000010834	ENSGACP00000008949
ENSTGUP00000009111	ENSGACP00000018462
ENSTGUP00000008695	ENSGACP00000020796
ENSTGUP00000013829	ENSGACP00000018045
ENSTGUP00000013829	ENSGACP00000020202
ENSTGUP00000010235	ENSGACP00000019892
ENSTGUP00000008367	ENSGACP00000020784
ENSTGUP00000008367	ENSGACP00000016165
ENSTGUP00000006827	ENSGACP00000007257
ENSTGUP00000006827	ENSGACP00000003332
ENSTGUP00000007212	ENSGACP00000021601
ENSTGUP00000011398	ENSGACP00000005673
ENSTGUP00000011398	ENSGACP00000018309
ENSTGUP00000006292	ENSGACP00000020761
ENSTGUP00000005243	ENSGACP00000000023
ENSTGUP00000001022	ENSGACP00000010121
ENSTGUP00000001022	ENSGACP00000009597
ENSTGUP00000012221	ENSGACP00000017025
ENSTGUP00000008143	ENSGACP00000018533
ENSTGUP00000008143	ENSGACP00000000313
ENSTGUP00000001280	ENSGACP00000022262
ENSTGUP00000009392	ENSGACP00000001537
ENSTGUP00000003813	ENSGACP00000013067
ENSTGUP00000009322	ENSGACP00000007024
ENSTGUP00000001078	ENSGACP00000002168
ENSTGUP00000003805	ENSGACP00000021273
ENSTGUP00000001706	ENSGACP00000019076
ENSTGUP00000001137	ENSGACP00000024268
ENSTGUP00000006709	ENSGACP00000024684
ENSTGUP00000005796	ENSGACP00000011332
ENSTGUP00000010923	ENSGACP00000018570
ENSTGUP00000001933	ENSGACP00000007863
ENSTGUP00000005580	ENSGACP00000017301
ENSTGUP00000016909	ENSGACP00000004232
ENSTGUP00000002295	ENSGACP00000006403
ENSTGUP00000013795	ENSGACP00000027353
ENSTGUP00000001543	ENSGACP00000008387
ENSTGUP00000005490	ENSGACP00000003296
ENSTGUP00000011756	ENSGACP00000016034
ENSTGUP00000011455	ENSGACP00000004151
ENSTGUP00000000350	ENSGACP00000023997
ENSTGUP00000010374	ENSGACP00000010622
ENSTGUP00000004992	ENSGACP00000016125
ENSTGUP00000012752	ENSGACP00000014496
ENSTGUP00000011386	ENSGACP00000018285
ENSTGUP00000011386	ENSGACP00000005651
ENSTGUP00000000411	ENSGACP00000016192
ENSTGUP00000000411	ENSGACP00000027292
ENSTGUP00000007694	ENSGACP00000019290
ENSTGUP00000007820	ENSGACP00000001742
ENSTGUP00000007820	ENSGACP00000005540
ENSTGUP00000010849	ENSGACP00000021178
ENSTGUP00000009494	ENSGACP00000011308
ENSTGUP00000013097	ENSGACP00000017588
ENSTGUP00000008190	ENSGACP00000018744
ENSTGUP00000012093	ENSGACP00000001313
ENSTGUP00000010286	ENSGACP00000014383
ENSTGUP00000008731	ENSGACP00000017560
ENSTGUP00000010802	ENSGACP00000022840
ENSTGUP00000015194	ENSGACP00000016689
ENSTGUP00000007994	ENSGACP00000018236
ENSTGUP00000010703	ENSGACP00000012510
ENSTGUP00000007952	ENSGACP00000003484
ENSTGUP00000010731	ENSGACP00000018708
ENSTGUP00000004821	ENSGACP00000010198
ENSTGUP00000000696	ENSGACP00000020504
ENSTGUP00000002072	ENSGACP00000022073
ENSTGUP00000008622	ENSGACP00000019135
ENSTGUP00000008792	ENSGACP00000006442
ENSTGUP00000015019	ENSGACP00000005009
ENSTGUP00000015019	ENSGACP00000007584
ENSTGUP00000001637	ENSGACP00000008923
ENSTGUP00000015594	ENSGACP00000001028
ENSTGUP00000017492	ENSGACP00000014890
ENSTGUP00000013684	ENSGACP00000013221
ENSTGUP00000013822	ENSGACP00000012239
ENSTGUP00000001646	ENSGACP00000023801
ENSTGUP00000012821	ENSGACP00000010872
ENSTGUP00000004796	ENSGACP00000000841
ENSTGUP00000006097	ENSGACP00000014629
ENSTGUP00000009109	ENSGACP00000004599
ENSTGUP00000006752	ENSGACP00000001097
ENSTGUP00000001729	ENSGACP00000003493
ENSTGUP00000008641	ENSGACP00000007881
ENSTGUP00000013657	ENSGACP00000009707
ENSTGUP00000010367	ENSGACP00000019422
ENSTGUP00000013586	ENSGACP00000010552
ENSTGUP00000012185	ENSGACP00000009667
ENSTGUP00000002478	ENSGACP00000017015
ENSTGUP00000002478	ENSGACP00000000088
ENSTGUP00000009658	ENSGACP00000013298
ENSTGUP00000001820	ENSGACP00000006321
ENSTGUP00000017533	ENSGACP00000014620
ENSTGUP00000001056	ENSGACP00000006576
ENSTGUP00000007779	ENSGACP00000003419
ENSTGUP00000013125	ENSGACP00000027283
ENSTGUP00000003825	ENSGACP00000024474
ENSTGUP00000006820	ENSGACP00000021822
ENSTGUP00000006661	ENSGACP00000017880
