ENSDARP00000074624	ENSMODP00000016222
ENSDARP00000091375	ENSMODP00000013151
ENSDARP00000087820	ENSMODP00000013497
ENSDARP00000002635	ENSMODP00000002193
ENSDARP00000093844	ENSMODP00000009886
ENSDARP00000108255	ENSMODP00000005016
ENSDARP00000073523	ENSMODP00000021509
ENSDARP00000030625	ENSMODP00000002877
ENSDARP00000014061	ENSMODP00000008929
ENSDARP00000054692	ENSMODP00000008929
ENSDARP00000084007	ENSMODP00000034760
ENSDARP00000078442	ENSMODP00000017133
ENSDARP00000124333	ENSMODP00000031383
ENSDARP00000099556	ENSMODP00000031383
ENSDARP00000091436	ENSMODP00000027887
ENSDARP00000109870	ENSMODP00000006876
ENSDARP00000124246	ENSMODP00000012731
ENSDARP00000110473	ENSMODP00000020580
ENSDARP00000129124	ENSMODP00000017923
ENSDARP00000070686	ENSMODP00000012407
ENSDARP00000055491	ENSMODP00000004582
ENSDARP00000067708	ENSMODP00000021647
ENSDARP00000012791	ENSMODP00000007382
ENSDARP00000056073	ENSMODP00000020969
ENSDARP00000111869	ENSMODP00000019075
ENSDARP00000059618	ENSMODP00000019115
ENSDARP00000106564	ENSMODP00000012345
ENSDARP00000022147	ENSMODP00000026928
ENSDARP00000066366	ENSMODP00000018395
ENSDARP00000095220	ENSMODP00000018395
ENSDARP00000099181	ENSMODP00000013451
ENSDARP00000100931	ENSMODP00000013531
ENSDARP00000127731	ENSMODP00000013531
ENSDARP00000101400	ENSMODP00000035351
ENSDARP00000027644	ENSMODP00000011895
ENSDARP00000019674	ENSMODP00000033297
ENSDARP00000056452	ENSMODP00000033297
ENSDARP00000068816	ENSMODP00000019398
ENSDARP00000019643	ENSMODP00000019398
ENSDARP00000122397	ENSMODP00000003179
ENSDARP00000129467	ENSMODP00000003179
ENSDARP00000053606	ENSMODP00000007000
ENSDARP00000057298	ENSMODP00000024699
ENSDARP00000063586	ENSMODP00000024699
ENSDARP00000022487	ENSMODP00000003320
ENSDARP00000052075	ENSMODP00000005329
ENSDARP00000025373	ENSMODP00000021986
ENSDARP00000046044	ENSMODP00000024349
ENSDARP00000063985	ENSMODP00000022203
ENSDARP00000058305	ENSMODP00000025425
ENSDARP00000062984	ENSMODP00000025425
ENSDARP00000069251	ENSMODP00000016658
ENSDARP00000109601	ENSMODP00000006059
ENSDARP00000091774	ENSMODP00000013818
ENSDARP00000104127	ENSMODP00000013818
ENSDARP00000010917	ENSMODP00000023168
ENSDARP00000025094	ENSMODP00000006713
ENSDARP00000101279	ENSMODP00000016086
ENSDARP00000001617	ENSMODP00000016086
ENSDARP00000097628	ENSMODP00000025150
ENSDARP00000080655	ENSMODP00000025150
ENSDARP00000097784	ENSMODP00000000370
ENSDARP00000098809	ENSMODP00000018131
ENSDARP00000020703	ENSMODP00000005345
ENSDARP00000039916	ENSMODP00000012871
ENSDARP00000109890	ENSMODP00000012871
ENSDARP00000079273	ENSMODP00000017612
ENSDARP00000123999	ENSMODP00000012865
ENSDARP00000083765	ENSMODP00000014616
ENSDARP00000047652	ENSMODP00000013397
ENSDARP00000076606	ENSMODP00000015857
ENSDARP00000025648	ENSMODP00000015857
ENSDARP00000098282	ENSMODP00000020847
ENSDARP00000011426	ENSMODP00000004951
ENSDARP00000109709	ENSMODP00000031789
ENSDARP00000045814	ENSMODP00000031789
ENSDARP00000060763	ENSMODP00000033636
ENSDARP00000046463	ENSMODP00000017863
ENSDARP00000105365	ENSMODP00000038839
ENSDARP00000091908	ENSMODP00000023326
ENSDARP00000014920	ENSMODP00000007984
ENSDARP00000106281	ENSMODP00000013862
ENSDARP00000108347	ENSMODP00000013862
ENSDARP00000088385	ENSMODP00000023828
ENSDARP00000120338	ENSMODP00000005633
ENSDARP00000064175	ENSMODP00000002353
ENSDARP00000006800	ENSMODP00000001296
ENSDARP00000050948	ENSMODP00000018114
ENSDARP00000078459	ENSMODP00000003778
ENSDARP00000106886	ENSMODP00000016652
ENSDARP00000078354	ENSMODP00000023397
ENSDARP00000089497	ENSMODP00000003368
ENSDARP00000117865	ENSMODP00000000346
ENSDARP00000045678	ENSMODP00000034629
ENSDARP00000109120	ENSMODP00000034629
ENSDARP00000073505	ENSMODP00000012753
ENSDARP00000128113	ENSMODP00000019189
ENSDARP00000068002	ENSMODP00000019192
ENSDARP00000114765	ENSMODP00000015236
ENSDARP00000128272	ENSMODP00000005729
ENSDARP00000059513	ENSMODP00000011064
ENSDARP00000067176	ENSMODP00000011064
ENSDARP00000108227	ENSMODP00000021931
ENSDARP00000026364	ENSMODP00000024509
ENSDARP00000028379	ENSMODP00000010746
ENSDARP00000075251	ENSMODP00000000909
ENSDARP00000071623	ENSMODP00000000909
ENSDARP00000110487	ENSMODP00000010740
ENSDARP00000030834	ENSMODP00000010740
ENSDARP00000114103	ENSMODP00000024234
ENSDARP00000069214	ENSMODP00000016933
ENSDARP00000116818	ENSMODP00000035258
ENSDARP00000077905	ENSMODP00000000835
ENSDARP00000034827	ENSMODP00000024821
ENSDARP00000118891	ENSMODP00000021392
ENSDARP00000103999	ENSMODP00000021392
ENSDARP00000106287	ENSMODP00000016401
ENSDARP00000112109	ENSMODP00000026088
ENSDARP00000126959	ENSMODP00000002302
ENSDARP00000045035	ENSMODP00000016796
ENSDARP00000089603	ENSMODP00000023618
ENSDARP00000077021	ENSMODP00000017858
ENSDARP00000083042	ENSMODP00000012397
ENSDARP00000104940	ENSMODP00000003704
ENSDARP00000067932	ENSMODP00000003835
ENSDARP00000061163	ENSMODP00000002775
ENSDARP00000061134	ENSMODP00000022195
ENSDARP00000076249	ENSMODP00000019036
ENSDARP00000119520	ENSMODP00000021585
ENSDARP00000035859	ENSMODP00000017428
ENSDARP00000088399	ENSMODP00000026323
ENSDARP00000014010	ENSMODP00000007727
ENSDARP00000110320	ENSMODP00000016781
ENSDARP00000040307	ENSMODP00000006815
ENSDARP00000039821	ENSMODP00000007822
ENSDARP00000011705	ENSMODP00000007822
ENSDARP00000117905	ENSMODP00000033334
ENSDARP00000006334	ENSMODP00000007124
ENSDARP00000109638	ENSMODP00000007124
ENSDARP00000029675	ENSMODP00000019317
ENSDARP00000072911	ENSMODP00000026127
ENSDARP00000092355	ENSMODP00000035640
ENSDARP00000001039	ENSMODP00000006054
ENSDARP00000095486	ENSMODP00000008417
ENSDARP00000080646	ENSMODP00000008417
ENSDARP00000127303	ENSMODP00000009929
ENSDARP00000122795	ENSMODP00000009929
ENSDARP00000098618	ENSMODP00000002001
ENSDARP00000098410	ENSMODP00000004035
ENSDARP00000098684	ENSMODP00000013128
ENSDARP00000111989	ENSMODP00000026470
ENSDARP00000028542	ENSMODP00000016349
ENSDARP00000097773	ENSMODP00000016685
ENSDARP00000108057	ENSMODP00000001690
ENSDARP00000126208	ENSMODP00000024626
ENSDARP00000066188	ENSMODP00000017180
ENSDARP00000116649	ENSMODP00000017180
ENSDARP00000068089	ENSMODP00000010191
ENSDARP00000094167	ENSMODP00000026357
ENSDARP00000024335	ENSMODP00000014773
ENSDARP00000090686	ENSMODP00000014773
ENSDARP00000069315	ENSMODP00000004906
ENSDARP00000097889	ENSMODP00000008455
ENSDARP00000098001	ENSMODP00000008455
ENSDARP00000027821	ENSMODP00000023496
ENSDARP00000111756	ENSMODP00000023496
ENSDARP00000124695	ENSMODP00000017746
ENSDARP00000120365	ENSMODP00000020177
ENSDARP00000082784	ENSMODP00000015849
ENSDARP00000067629	ENSMODP00000018579
ENSDARP00000085044	ENSMODP00000018579
ENSDARP00000018632	ENSMODP00000040020
ENSDARP00000045932	ENSMODP00000040020
ENSDARP00000051402	ENSMODP00000029534
ENSDARP00000114502	ENSMODP00000029534
ENSDARP00000095328	ENSMODP00000016929
ENSDARP00000032601	ENSMODP00000016929
ENSDARP00000101478	ENSMODP00000006206
ENSDARP00000092068	ENSMODP00000016948
ENSDARP00000084700	ENSMODP00000016950
ENSDARP00000079303	ENSMODP00000016950
ENSDARP00000103451	ENSMODP00000016932
ENSDARP00000051104	ENSMODP00000025635
ENSDARP00000067260	ENSMODP00000025635
ENSDARP00000128595	ENSMODP00000025666
ENSDARP00000109667	ENSMODP00000009215
ENSDARP00000094710	ENSMODP00000020264
ENSDARP00000117556	ENSMODP00000010276
ENSDARP00000095187	ENSMODP00000024418
ENSDARP00000026805	ENSMODP00000024418
ENSDARP00000069597	ENSMODP00000022105
ENSDARP00000091828	ENSMODP00000014796
ENSDARP00000057524	ENSMODP00000037021
ENSDARP00000101110	ENSMODP00000002608
ENSDARP00000073439	ENSMODP00000018917
ENSDARP00000106240	ENSMODP00000010074
ENSDARP00000118753	ENSMODP00000023816
ENSDARP00000119475	ENSMODP00000017578
ENSDARP00000122486	ENSMODP00000017578
ENSDARP00000098491	ENSMODP00000020393
ENSDARP00000055022	ENSMODP00000020393
ENSDARP00000057324	ENSMODP00000004989
ENSDARP00000099217	ENSMODP00000004989
ENSDARP00000078963	ENSMODP00000015030
ENSDARP00000076873	ENSMODP00000017783
ENSDARP00000093925	ENSMODP00000029570
ENSDARP00000086549	ENSMODP00000004225
ENSDARP00000073621	ENSMODP00000024791
ENSDARP00000107675	ENSMODP00000017558
ENSDARP00000003397	ENSMODP00000005034
ENSDARP00000108198	ENSMODP00000005034
ENSDARP00000124029	ENSMODP00000028670
ENSDARP00000094885	ENSMODP00000023005
ENSDARP00000102728	ENSMODP00000012713
ENSDARP00000098758	ENSMODP00000006389
ENSDARP00000011500	ENSMODP00000006313
ENSDARP00000119695	ENSMODP00000007629
ENSDARP00000107042	ENSMODP00000012781
ENSDARP00000121180	ENSMODP00000012781
ENSDARP00000120230	ENSMODP00000024518
ENSDARP00000083949	ENSMODP00000037511
ENSDARP00000064746	ENSMODP00000009598
ENSDARP00000108993	ENSMODP00000028169
ENSDARP00000018087	ENSMODP00000000643
ENSDARP00000099244	ENSMODP00000000643
ENSDARP00000064832	ENSMODP00000014248
ENSDARP00000064615	ENSMODP00000034116
ENSDARP00000044859	ENSMODP00000023356
ENSDARP00000118205	ENSMODP00000011237
ENSDARP00000106725	ENSMODP00000034145
ENSDARP00000047006	ENSMODP00000034463
ENSDARP00000091933	ENSMODP00000029074
ENSDARP00000070437	ENSMODP00000028794
ENSDARP00000058513	ENSMODP00000020748
ENSDARP00000098418	ENSMODP00000020748
ENSDARP00000025120	ENSMODP00000010196
ENSDARP00000116922	ENSMODP00000024853
ENSDARP00000094377	ENSMODP00000028979
ENSDARP00000113955	ENSMODP00000001626
ENSDARP00000098114	ENSMODP00000034890
ENSDARP00000048506	ENSMODP00000007927
ENSDARP00000012255	ENSMODP00000000814
ENSDARP00000087115	ENSMODP00000000814
ENSDARP00000102127	ENSMODP00000007157
ENSDARP00000070464	ENSMODP00000004469
ENSDARP00000093348	ENSMODP00000024590
ENSDARP00000051004	ENSMODP00000024590
ENSDARP00000057589	ENSMODP00000001502
ENSDARP00000002460	ENSMODP00000004192
ENSDARP00000055349	ENSMODP00000028503
ENSDARP00000085707	ENSMODP00000031563
ENSDARP00000107971	ENSMODP00000028859
ENSDARP00000063703	ENSMODP00000023680
ENSDARP00000112846	ENSMODP00000018283
ENSDARP00000048886	ENSMODP00000035883
ENSDARP00000002532	ENSMODP00000035883
ENSDARP00000053403	ENSMODP00000011235
ENSDARP00000091516	ENSMODP00000019655
ENSDARP00000069657	ENSMODP00000001450
ENSDARP00000123484	ENSMODP00000001450
ENSDARP00000129096	ENSMODP00000020163
ENSDARP00000033122	ENSMODP00000022916
ENSDARP00000050176	ENSMODP00000037031
ENSDARP00000105882	ENSMODP00000004914
ENSDARP00000014980	ENSMODP00000008363
ENSDARP00000108067	ENSMODP00000008363
ENSDARP00000065669	ENSMODP00000023740
ENSDARP00000118761	ENSMODP00000029161
ENSDARP00000129035	ENSMODP00000029161
ENSDARP00000111556	ENSMODP00000019802
ENSDARP00000111169	ENSMODP00000019802
ENSDARP00000113432	ENSMODP00000013887
ENSDARP00000121566	ENSMODP00000004893
ENSDARP00000093285	ENSMODP00000035754
ENSDARP00000101777	ENSMODP00000035754
ENSDARP00000099736	ENSMODP00000024714
ENSDARP00000106854	ENSMODP00000020099
ENSDARP00000112558	ENSMODP00000040556
ENSDARP00000058495	ENSMODP00000022442
ENSDARP00000128615	ENSMODP00000004958
ENSDARP00000016314	ENSMODP00000018134
ENSDARP00000046688	ENSMODP00000024244
ENSDARP00000014840	ENSMODP00000006025
ENSDARP00000042677	ENSMODP00000003796
ENSDARP00000043315	ENSMODP00000020994
ENSDARP00000064900	ENSMODP00000004108
ENSDARP00000043161	ENSMODP00000015178
ENSDARP00000123784	ENSMODP00000011747
ENSDARP00000023124	ENSMODP00000021456
ENSDARP00000019093	ENSMODP00000021456
ENSDARP00000104305	ENSMODP00000025985
ENSDARP00000099211	ENSMODP00000035244
ENSDARP00000065555	ENSMODP00000037000
ENSDARP00000098660	ENSMODP00000010540
ENSDARP00000105864	ENSMODP00000015462
ENSDARP00000079991	ENSMODP00000015462
ENSDARP00000013812	ENSMODP00000028490
ENSDARP00000102404	ENSMODP00000035353
ENSDARP00000117778	ENSMODP00000010677
ENSDARP00000089458	ENSMODP00000007192
ENSDARP00000051165	ENSMODP00000011498
ENSDARP00000042171	ENSMODP00000011498
ENSDARP00000062698	ENSMODP00000033084
ENSDARP00000110875	ENSMODP00000012038
ENSDARP00000052476	ENSMODP00000012038
ENSDARP00000124944	ENSMODP00000012043
ENSDARP00000100285	ENSMODP00000025712
ENSDARP00000066702	ENSMODP00000008837
ENSDARP00000104887	ENSMODP00000008837
ENSDARP00000065852	ENSMODP00000035049
ENSDARP00000066124	ENSMODP00000035049
ENSDARP00000015825	ENSMODP00000013890
ENSDARP00000005989	ENSMODP00000023997
ENSDARP00000119398	ENSMODP00000019174
ENSDARP00000105402	ENSMODP00000006105
ENSDARP00000111705	ENSMODP00000011310
ENSDARP00000111440	ENSMODP00000005759
ENSDARP00000102258	ENSMODP00000016953
ENSDARP00000050618	ENSMODP00000038094
ENSDARP00000024256	ENSMODP00000007186
ENSDARP00000019940	ENSMODP00000025808
ENSDARP00000113054	ENSMODP00000014214
ENSDARP00000101191	ENSMODP00000011506
ENSDARP00000098560	ENSMODP00000013017
ENSDARP00000011155	ENSMODP00000034038
ENSDARP00000106616	ENSMODP00000024630
ENSDARP00000019087	ENSMODP00000007314
ENSDARP00000107390	ENSMODP00000000807
ENSDARP00000069275	ENSMODP00000025533
ENSDARP00000074797	ENSMODP00000007786
ENSDARP00000065205	ENSMODP00000037316
ENSDARP00000123093	ENSMODP00000037551
ENSDARP00000000748	ENSMODP00000004628
ENSDARP00000101204	ENSMODP00000001075
ENSDARP00000098822	ENSMODP00000025647
ENSDARP00000119169	ENSMODP00000004183
ENSDARP00000057735	ENSMODP00000037028
ENSDARP00000114284	ENSMODP00000025394
ENSDARP00000118698	ENSMODP00000025394
ENSDARP00000108405	ENSMODP00000034209
ENSDARP00000101408	ENSMODP00000000451
ENSDARP00000127739	ENSMODP00000000451
ENSDARP00000065118	ENSMODP00000037704
ENSDARP00000044370	ENSMODP00000010843
ENSDARP00000101166	ENSMODP00000016415
ENSDARP00000056543	ENSMODP00000007578
ENSDARP00000087133	ENSMODP00000007578
ENSDARP00000100378	ENSMODP00000017159
ENSDARP00000129043	ENSMODP00000022651
ENSDARP00000107840	ENSMODP00000001221
ENSDARP00000068009	ENSMODP00000002321
ENSDARP00000107380	ENSMODP00000002321
ENSDARP00000124923	ENSMODP00000017940
ENSDARP00000073110	ENSMODP00000015526
ENSDARP00000073658	ENSMODP00000004828
ENSDARP00000020000	ENSMODP00000010212
ENSDARP00000113850	ENSMODP00000011028
ENSDARP00000078769	ENSMODP00000020372
ENSDARP00000101760	ENSMODP00000010574
ENSDARP00000043125	ENSMODP00000009583
ENSDARP00000106580	ENSMODP00000026216
ENSDARP00000073959	ENSMODP00000017759
ENSDARP00000007186	ENSMODP00000020345
ENSDARP00000030718	ENSMODP00000018923
ENSDARP00000023293	ENSMODP00000033680
ENSDARP00000109007	ENSMODP00000033680
ENSDARP00000074529	ENSMODP00000038197
ENSDARP00000121140	ENSMODP00000038197
ENSDARP00000116091	ENSMODP00000002177
ENSDARP00000013960	ENSMODP00000011613
ENSDARP00000005772	ENSMODP00000018953
ENSDARP00000078285	ENSMODP00000009558
ENSDARP00000053683	ENSMODP00000002133
ENSDARP00000074907	ENSMODP00000007345
ENSDARP00000073367	ENSMODP00000001843
ENSDARP00000101307	ENSMODP00000000384
ENSDARP00000066677	ENSMODP00000025829
ENSDARP00000111926	ENSMODP00000014169
ENSDARP00000056522	ENSMODP00000013383
ENSDARP00000057637	ENSMODP00000013333
ENSDARP00000112428	ENSMODP00000020206
ENSDARP00000026726	ENSMODP00000021326
ENSDARP00000069945	ENSMODP00000021326
ENSDARP00000110892	ENSMODP00000020260
ENSDARP00000089585	ENSMODP00000022127
ENSDARP00000087966	ENSMODP00000024585
ENSDARP00000090285	ENSMODP00000022138
ENSDARP00000123346	ENSMODP00000024224
ENSDARP00000122328	ENSMODP00000024224
ENSDARP00000098249	ENSMODP00000002965
ENSDARP00000115648	ENSMODP00000037712
ENSDARP00000082852	ENSMODP00000004691
ENSDARP00000009248	ENSMODP00000022880
ENSDARP00000103866	ENSMODP00000021633
ENSDARP00000107114	ENSMODP00000021633
ENSDARP00000087386	ENSMODP00000012958
ENSDARP00000072649	ENSMODP00000006141
ENSDARP00000120829	ENSMODP00000012151
ENSDARP00000064077	ENSMODP00000038229
ENSDARP00000072426	ENSMODP00000013223
ENSDARP00000024471	ENSMODP00000013223
ENSDARP00000127790	ENSMODP00000000422
ENSDARP00000051665	ENSMODP00000022092
ENSDARP00000063550	ENSMODP00000018288
ENSDARP00000109769	ENSMODP00000020371
ENSDARP00000086614	ENSMODP00000020371
ENSDARP00000104731	ENSMODP00000019866
ENSDARP00000008977	ENSMODP00000024020
ENSDARP00000103131	ENSMODP00000024020
ENSDARP00000040170	ENSMODP00000027864
ENSDARP00000065858	ENSMODP00000006870
ENSDARP00000078136	ENSMODP00000035953
ENSDARP00000045176	ENSMODP00000004283
ENSDARP00000055472	ENSMODP00000009105
ENSDARP00000007188	ENSMODP00000009105
ENSDARP00000122058	ENSMODP00000001146
ENSDARP00000055170	ENSMODP00000001146
ENSDARP00000121375	ENSMODP00000023122
ENSDARP00000102138	ENSMODP00000023122
ENSDARP00000067931	ENSMODP00000014640
ENSDARP00000107433	ENSMODP00000016641
ENSDARP00000004932	ENSMODP00000019725
ENSDARP00000018197	ENSMODP00000019725
ENSDARP00000066500	ENSMODP00000017432
ENSDARP00000125663	ENSMODP00000016921
ENSDARP00000102663	ENSMODP00000011273
ENSDARP00000125623	ENSMODP00000025604
ENSDARP00000059319	ENSMODP00000009936
ENSDARP00000020283	ENSMODP00000017343
ENSDARP00000077543	ENSMODP00000020508
ENSDARP00000085982	ENSMODP00000002789
ENSDARP00000011866	ENSMODP00000022250
ENSDARP00000019419	ENSMODP00000003583
ENSDARP00000103928	ENSMODP00000016585
ENSDARP00000093469	ENSMODP00000023723
ENSDARP00000091500	ENSMODP00000001117
ENSDARP00000098790	ENSMODP00000022920
ENSDARP00000099232	ENSMODP00000033234
ENSDARP00000115356	ENSMODP00000015131
ENSDARP00000055323	ENSMODP00000017053
ENSDARP00000093139	ENSMODP00000012030
ENSDARP00000094806	ENSMODP00000020543
ENSDARP00000010745	ENSMODP00000014545
ENSDARP00000106315	ENSMODP00000015214
ENSDARP00000069762	ENSMODP00000012900
ENSDARP00000088594	ENSMODP00000009001
ENSDARP00000083835	ENSMODP00000009001
ENSDARP00000003281	ENSMODP00000003619
ENSDARP00000115804	ENSMODP00000003619
ENSDARP00000019575	ENSMODP00000003336
ENSDARP00000006495	ENSMODP00000003336
ENSDARP00000101834	ENSMODP00000020450
ENSDARP00000098057	ENSMODP00000020450
ENSDARP00000067888	ENSMODP00000006508
ENSDARP00000104333	ENSMODP00000003636
ENSDARP00000093770	ENSMODP00000010412
ENSDARP00000084749	ENSMODP00000010412
ENSDARP00000079474	ENSMODP00000019135
ENSDARP00000015367	ENSMODP00000008035
ENSDARP00000118392	ENSMODP00000017981
ENSDARP00000118182	ENSMODP00000017981
ENSDARP00000088317	ENSMODP00000040608
ENSDARP00000095133	ENSMODP00000007047
ENSDARP00000031559	ENSMODP00000011322
ENSDARP00000061852	ENSMODP00000021927
ENSDARP00000122727	ENSMODP00000021453
ENSDARP00000091884	ENSMODP00000006088
ENSDARP00000038591	ENSMODP00000026493
ENSDARP00000101636	ENSMODP00000026493
ENSDARP00000040954	ENSMODP00000018082
ENSDARP00000105896	ENSMODP00000016445
ENSDARP00000078311	ENSMODP00000016445
ENSDARP00000093754	ENSMODP00000000740
ENSDARP00000100165	ENSMODP00000009858
ENSDARP00000074395	ENSMODP00000009575
ENSDARP00000083566	ENSMODP00000021575
ENSDARP00000107838	ENSMODP00000038702
ENSDARP00000101331	ENSMODP00000011718
ENSDARP00000024532	ENSMODP00000014505
ENSDARP00000106658	ENSMODP00000014505
ENSDARP00000118126	ENSMODP00000020838
ENSDARP00000129223	ENSMODP00000019625
ENSDARP00000101342	ENSMODP00000020159
ENSDARP00000093977	ENSMODP00000015208
ENSDARP00000021648	ENSMODP00000015208
ENSDARP00000014581	ENSMODP00000017666
