ENSTNIP00000006282	ENSGACP00000024945
ENSTNIP00000013568	ENSGACP00000018209
ENSTNIP00000016288	ENSGACP00000004603
ENSTNIP00000015078	ENSGACP00000016002
ENSTNIP00000017450	ENSGACP00000019518
ENSTNIP00000017717	ENSGACP00000002074
ENSTNIP00000021092	ENSGACP00000000105
ENSTNIP00000018141	ENSGACP00000011567
ENSTNIP00000006801	ENSGACP00000013013
ENSTNIP00000020860	ENSGACP00000021448
ENSTNIP00000016676	ENSGACP00000006206
ENSTNIP00000009262	ENSGACP00000019496
ENSTNIP00000009047	ENSGACP00000015690
ENSTNIP00000016121	ENSGACP00000023440
ENSTNIP00000005821	ENSGACP00000021682
ENSTNIP00000018140	ENSGACP00000011590
ENSTNIP00000014336	ENSGACP00000026389
ENSTNIP00000014013	ENSGACP00000020448
ENSTNIP00000020689	ENSGACP00000004274
ENSTNIP00000010887	ENSGACP00000015475
ENSTNIP00000022426	ENSGACP00000017407
ENSTNIP00000021883	ENSGACP00000007063
ENSTNIP00000021431	ENSGACP00000007544
ENSTNIP00000021057	ENSGACP00000003609
ENSTNIP00000018584	ENSGACP00000013968
ENSTNIP00000020563	ENSGACP00000009933
ENSTNIP00000017263	ENSGACP00000025933
ENSTNIP00000015314	ENSGACP00000024414
ENSTNIP00000020641	ENSGACP00000005141
ENSTNIP00000007081	ENSGACP00000023842
ENSTNIP00000002296	ENSGACP00000007915
ENSTNIP00000020347	ENSGACP00000013351
ENSTNIP00000019957	ENSGACP00000022780
ENSTNIP00000003727	ENSGACP00000005129
ENSTNIP00000005723	ENSGACP00000007455
ENSTNIP00000018097	ENSGACP00000012449
ENSTNIP00000020081	ENSGACP00000005885
ENSTNIP00000000829	ENSGACP00000009355
ENSTNIP00000022215	ENSGACP00000015603
ENSTNIP00000006467	ENSGACP00000008256
ENSTNIP00000009228	ENSGACP00000021278
ENSTNIP00000013970	ENSGACP00000026085
ENSTNIP00000002168	ENSGACP00000018289
ENSTNIP00000012496	ENSGACP00000008788
ENSTNIP00000020402	ENSGACP00000012624
ENSTNIP00000007715	ENSGACP00000006233
ENSTNIP00000013635	ENSGACP00000015833
ENSTNIP00000004648	ENSGACP00000022472
ENSTNIP00000021157	ENSGACP00000015509
ENSTNIP00000011922	ENSGACP00000022347
ENSTNIP00000017400	ENSGACP00000007046
ENSTNIP00000006361	ENSGACP00000017631
ENSTNIP00000021648	ENSGACP00000010032
ENSTNIP00000008907	ENSGACP00000016853
ENSTNIP00000004911	ENSGACP00000010215
ENSTNIP00000005718	ENSGACP00000007839
ENSTNIP00000011862	ENSGACP00000024328
ENSTNIP00000013215	ENSGACP00000002797
ENSTNIP00000019644	ENSGACP00000008850
ENSTNIP00000011017	ENSGACP00000003687
ENSTNIP00000015267	ENSGACP00000012330
ENSTNIP00000001471	ENSGACP00000013891
ENSTNIP00000015450	ENSGACP00000015752
ENSTNIP00000021301	ENSGACP00000019427
ENSTNIP00000019426	ENSGACP00000014390
ENSTNIP00000017283	ENSGACP00000019719
ENSTNIP00000014174	ENSGACP00000024876
ENSTNIP00000003920	ENSGACP00000012938
ENSTNIP00000011501	ENSGACP00000010785
ENSTNIP00000006548	ENSGACP00000005558
ENSTNIP00000018720	ENSGACP00000011056
ENSTNIP00000015252	ENSGACP00000011849
ENSTNIP00000022495	ENSGACP00000015166
ENSTNIP00000006011	ENSGACP00000023914
ENSTNIP00000001925	ENSGACP00000013440
ENSTNIP00000018500	ENSGACP00000013445
ENSTNIP00000003898	ENSGACP00000013434
ENSTNIP00000016574	ENSGACP00000020513
ENSTNIP00000012789	ENSGACP00000013838
ENSTNIP00000007675	ENSGACP00000000678
ENSTNIP00000011305	ENSGACP00000004693
ENSTNIP00000005906	ENSGACP00000006490
ENSTNIP00000011632	ENSGACP00000017987
ENSTNIP00000019554	ENSGACP00000008325
ENSTNIP00000022151	ENSGACP00000002669
ENSTNIP00000017016	ENSGACP00000007346
ENSTNIP00000002037	ENSGACP00000022578
ENSTNIP00000007548	ENSGACP00000000019
ENSTNIP00000021047	ENSGACP00000003509
ENSTNIP00000003018	ENSGACP00000025019
ENSTNIP00000008097	ENSGACP00000016521
ENSTNIP00000008591	ENSGACP00000023637
ENSTNIP00000011488	ENSGACP00000011213
ENSTNIP00000020186	ENSGACP00000024426
ENSTNIP00000011323	ENSGACP00000023031
ENSTNIP00000014635	ENSGACP00000018735
ENSTNIP00000020177	ENSGACP00000010089
ENSTNIP00000017366	ENSGACP00000007945
ENSTNIP00000015675	ENSGACP00000003980
ENSTNIP00000014001	ENSGACP00000020505
ENSTNIP00000008502	ENSGACP00000024791
ENSTNIP00000011795	ENSGACP00000024033
ENSTNIP00000008278	ENSGACP00000003038
ENSTNIP00000018932	ENSGACP00000011235
ENSTNIP00000016220	ENSGACP00000023409
ENSTNIP00000019625	ENSGACP00000009451
ENSTNIP00000019819	ENSGACP00000002405
ENSTNIP00000003984	ENSGACP00000016753
ENSTNIP00000020469	ENSGACP00000011399
ENSTNIP00000016383	ENSGACP00000016404
ENSTNIP00000020539	ENSGACP00000010214
ENSTNIP00000012306	ENSGACP00000020270
ENSTNIP00000018333	ENSGACP00000018406
ENSTNIP00000007331	ENSGACP00000024658
ENSTNIP00000012305	ENSGACP00000020271
ENSTNIP00000016977	ENSGACP00000005379
ENSTNIP00000007401	ENSGACP00000024661
ENSTNIP00000018800	ENSGACP00000021658
ENSTNIP00000018334	ENSGACP00000018417
ENSTNIP00000000638	ENSGACP00000008623
ENSTNIP00000020868	ENSGACP00000022764
ENSTNIP00000012825	ENSGACP00000027196
ENSTNIP00000005462	ENSGACP00000004121
ENSTNIP00000007968	ENSGACP00000001213
ENSTNIP00000019031	ENSGACP00000006111
ENSTNIP00000016206	ENSGACP00000023493
ENSTNIP00000011294	ENSGACP00000009940
ENSTNIP00000010267	ENSGACP00000014394
ENSTNIP00000015043	ENSGACP00000025422
ENSTNIP00000019913	ENSGACP00000022344
ENSTNIP00000013793	ENSGACP00000019210
ENSTNIP00000006090	ENSGACP00000023316
ENSTNIP00000010816	ENSGACP00000023091
ENSTNIP00000011747	ENSGACP00000002879
ENSTNIP00000017521	ENSGACP00000020109
ENSTNIP00000003575	ENSGACP00000015815
ENSTNIP00000016040	ENSGACP00000022066
ENSTNIP00000002898	ENSGACP00000010750
ENSTNIP00000021443	ENSGACP00000007203
ENSTNIP00000019065	ENSGACP00000005237
ENSTNIP00000001502	ENSGACP00000024500
ENSTNIP00000005691	ENSGACP00000015235
ENSTNIP00000017462	ENSGACP00000004374
ENSTNIP00000011876	ENSGACP00000022065
ENSTNIP00000011020	ENSGACP00000003704
ENSTNIP00000009412	ENSGACP00000016370
ENSTNIP00000016188	ENSGACP00000022984
ENSTNIP00000017116	ENSGACP00000024827
ENSTNIP00000021725	ENSGACP00000013455
ENSTNIP00000002453	ENSGACP00000004888
ENSTNIP00000014024	ENSGACP00000020376
ENSTNIP00000010487	ENSGACP00000002403
ENSTNIP00000019645	ENSGACP00000008807
ENSTNIP00000001588	ENSGACP00000017318
ENSTNIP00000021255	ENSGACP00000008998
ENSTNIP00000013536	ENSGACP00000020352
ENSTNIP00000002580	ENSGACP00000000372
ENSTNIP00000010184	ENSGACP00000014494
ENSTNIP00000009698	ENSGACP00000025317
ENSTNIP00000019101	ENSGACP00000005952
ENSTNIP00000011332	ENSGACP00000023747
ENSTNIP00000016007	ENSGACP00000021799
ENSTNIP00000005820	ENSGACP00000021695
ENSTNIP00000016915	ENSGACP00000004440
ENSTNIP00000016960	ENSGACP00000005070
ENSTNIP00000019096	ENSGACP00000005802
ENSTNIP00000008096	ENSGACP00000025572
ENSTNIP00000011744	ENSGACP00000002886
ENSTNIP00000007098	ENSGACP00000007201
ENSTNIP00000018861	ENSGACP00000024497
ENSTNIP00000011521	ENSGACP00000010311
ENSTNIP00000012246	ENSGACP00000020639
ENSTNIP00000015807	ENSGACP00000011727
ENSTNIP00000004001	ENSGACP00000006806
ENSTNIP00000015237	ENSGACP00000011680
ENSTNIP00000022499	ENSGACP00000015215
ENSTNIP00000009462	ENSGACP00000017136
ENSTNIP00000019057	ENSGACP00000005071
ENSTNIP00000004593	ENSGACP00000001491
ENSTNIP00000005847	ENSGACP00000010554
ENSTNIP00000017010	ENSGACP00000006953
ENSTNIP00000021609	ENSGACP00000010693
ENSTNIP00000022824	ENSGACP00000002894
ENSTNIP00000000138	ENSGACP00000019223
ENSTNIP00000019191	ENSGACP00000000220
ENSTNIP00000017983	ENSGACP00000012914
ENSTNIP00000012711	ENSGACP00000015985
ENSTNIP00000020654	ENSGACP00000025450
ENSTNIP00000012359	ENSGACP00000019821
ENSTNIP00000012383	ENSGACP00000019817
ENSTNIP00000016697	ENSGACP00000008225
ENSTNIP00000005696	ENSGACP00000024263
ENSTNIP00000016193	ENSGACP00000023016
ENSTNIP00000021720	ENSGACP00000013546
ENSTNIP00000004730	ENSGACP00000019572
ENSTNIP00000013737	ENSGACP00000014238
ENSTNIP00000005501	ENSGACP00000003505
ENSTNIP00000022314	ENSGACP00000008454
ENSTNIP00000002392	ENSGACP00000008243
ENSTNIP00000017622	ENSGACP00000000960
ENSTNIP00000021604	ENSGACP00000010767
ENSTNIP00000012073	ENSGACP00000009332
ENSTNIP00000018794	ENSGACP00000003473
ENSTNIP00000020092	ENSGACP00000006347
ENSTNIP00000009396	ENSGACP00000008366
ENSTNIP00000005167	ENSGACP00000011689
ENSTNIP00000006348	ENSGACP00000021542
ENSTNIP00000007889	ENSGACP00000021535
ENSTNIP00000016316	ENSGACP00000012414
ENSTNIP00000017394	ENSGACP00000006985
ENSTNIP00000018191	ENSGACP00000010409
ENSTNIP00000010080	ENSGACP00000000436
ENSTNIP00000013946	ENSGACP00000026167
ENSTNIP00000011716	ENSGACP00000003272
ENSTNIP00000011173	ENSGACP00000018845
ENSTNIP00000009218	ENSGACP00000006395
ENSTNIP00000005793	ENSGACP00000017308
ENSTNIP00000005481	ENSGACP00000014142
ENSTNIP00000003187	ENSGACP00000006410
ENSTNIP00000003719	ENSGACP00000017305
ENSTNIP00000011174	ENSGACP00000018854
ENSTNIP00000011717	ENSGACP00000003269
ENSTNIP00000017159	ENSGACP00000023946
ENSTNIP00000010479	ENSGACP00000027538
ENSTNIP00000016889	ENSGACP00000004022
ENSTNIP00000002630	ENSGACP00000021129
ENSTNIP00000013618	ENSGACP00000015846
ENSTNIP00000005469	ENSGACP00000021827
ENSTNIP00000020240	ENSGACP00000012580
ENSTNIP00000006525	ENSGACP00000002554
ENSTNIP00000013679	ENSGACP00000013084
ENSTNIP00000004028	ENSGACP00000012713
ENSTNIP00000008113	ENSGACP00000016079
ENSTNIP00000022522	ENSGACP00000015487
ENSTNIP00000007337	ENSGACP00000003931
ENSTNIP00000012410	ENSGACP00000022235
ENSTNIP00000004170	ENSGACP00000024618
ENSTNIP00000000096	ENSGACP00000018219
ENSTNIP00000004169	ENSGACP00000019166
ENSTNIP00000019810	ENSGACP00000008117
ENSTNIP00000004172	ENSGACP00000005801
ENSTNIP00000008001	ENSGACP00000002055
ENSTNIP00000018390	ENSGACP00000020184
ENSTNIP00000012366	ENSGACP00000019859
ENSTNIP00000007392	ENSGACP00000026040
ENSTNIP00000005750	ENSGACP00000005941
ENSTNIP00000015353	ENSGACP00000006396
ENSTNIP00000015048	ENSGACP00000025436
ENSTNIP00000006337	ENSGACP00000005130
ENSTNIP00000018112	ENSGACP00000012209
ENSTNIP00000017584	ENSGACP00000000820
ENSTNIP00000010808	ENSGACP00000023196
ENSTNIP00000008567	ENSGACP00000005211
ENSTNIP00000022432	ENSGACP00000017490
ENSTNIP00000016575	ENSGACP00000020523
ENSTNIP00000021248	ENSGACP00000008747
ENSTNIP00000005097	ENSGACP00000013296
ENSTNIP00000013925	ENSGACP00000010880
ENSTNIP00000009433	ENSGACP00000026778
ENSTNIP00000008008	ENSGACP00000023174
ENSTNIP00000013057	ENSGACP00000025537
ENSTNIP00000021220	ENSGACP00000023395
ENSTNIP00000019177	ENSGACP00000027605
ENSTNIP00000017433	ENSGACP00000004758
ENSTNIP00000013744	ENSGACP00000014374
ENSTNIP00000006953	ENSGACP00000010091
ENSTNIP00000000410	ENSGACP00000003129
ENSTNIP00000022974	ENSGACP00000008282
ENSTNIP00000014125	ENSGACP00000001795
ENSTNIP00000002900	ENSGACP00000006053
ENSTNIP00000006791	ENSGACP00000007790
ENSTNIP00000015607	ENSGACP00000016640
ENSTNIP00000015045	ENSGACP00000025425
ENSTNIP00000004007	ENSGACP00000023045
ENSTNIP00000003017	ENSGACP00000008872
ENSTNIP00000001462	ENSGACP00000011374
ENSTNIP00000013657	ENSGACP00000016639
ENSTNIP00000010056	ENSGACP00000005392
ENSTNIP00000020379	ENSGACP00000013919
ENSTNIP00000012718	ENSGACP00000000216
ENSTNIP00000007156	ENSGACP00000025984
ENSTNIP00000001947	ENSGACP00000017297
ENSTNIP00000008352	ENSGACP00000007495
ENSTNIP00000011972	ENSGACP00000022681
ENSTNIP00000018929	ENSGACP00000011163
ENSTNIP00000009314	ENSGACP00000007430
ENSTNIP00000001079	ENSGACP00000017514
ENSTNIP00000007481	ENSGACP00000001068
ENSTNIP00000016052	ENSGACP00000012167
ENSTNIP00000020615	ENSGACP00000008702
ENSTNIP00000019677	ENSGACP00000008073
ENSTNIP00000017029	ENSGACP00000011673
ENSTNIP00000020397	ENSGACP00000012756
ENSTNIP00000014034	ENSGACP00000004199
ENSTNIP00000003024	ENSGACP00000017036
ENSTNIP00000009421	ENSGACP00000014609
ENSTNIP00000018920	ENSGACP00000011015
ENSTNIP00000010293	ENSGACP00000020943
ENSTNIP00000013063	ENSGACP00000010177
ENSTNIP00000009402	ENSGACP00000015729
ENSTNIP00000014457	ENSGACP00000006616
ENSTNIP00000015608	ENSGACP00000016633
ENSTNIP00000004502	ENSGACP00000010104
ENSTNIP00000013944	ENSGACP00000026169
ENSTNIP00000010409	ENSGACP00000027541
ENSTNIP00000000680	ENSGACP00000009975
ENSTNIP00000017205	ENSGACP00000024176
ENSTNIP00000011284	ENSGACP00000009650
ENSTNIP00000017707	ENSGACP00000020789
ENSTNIP00000018493	ENSGACP00000013293
ENSTNIP00000014875	ENSGACP00000019511
ENSTNIP00000013202	ENSGACP00000017434
ENSTNIP00000012018	ENSGACP00000005074
ENSTNIP00000018958	ENSGACP00000011768
ENSTNIP00000011931	ENSGACP00000022403
ENSTNIP00000006044	ENSGACP00000000857
ENSTNIP00000004644	ENSGACP00000015212
ENSTNIP00000023021	ENSGACP00000015220
ENSTNIP00000012426	ENSGACP00000006905
ENSTNIP00000012427	ENSGACP00000022342
ENSTNIP00000019044	ENSGACP00000006402
ENSTNIP00000004610	ENSGACP00000010517
ENSTNIP00000016631	ENSGACP00000007159
ENSTNIP00000010696	ENSGACP00000021629
ENSTNIP00000007261	ENSGACP00000001510
ENSTNIP00000000583	ENSGACP00000011518
ENSTNIP00000013315	ENSGACP00000011514
ENSTNIP00000017802	ENSGACP00000001686
ENSTNIP00000017728	ENSGACP00000002031
ENSTNIP00000007749	ENSGACP00000007653
ENSTNIP00000014995	ENSGACP00000007537
ENSTNIP00000003726	ENSGACP00000012152
ENSTNIP00000020639	ENSGACP00000005156
ENSTNIP00000014072	ENSGACP00000012277
ENSTNIP00000021071	ENSGACP00000003753
ENSTNIP00000015466	ENSGACP00000015987
ENSTNIP00000019074	ENSGACP00000005372
ENSTNIP00000021675	ENSGACP00000024930
ENSTNIP00000017165	ENSGACP00000023911
ENSTNIP00000008726	ENSGACP00000020863
ENSTNIP00000005557	ENSGACP00000004195
ENSTNIP00000013799	ENSGACP00000006133
ENSTNIP00000005762	ENSGACP00000006436
ENSTNIP00000012469	ENSGACP00000022656
ENSTNIP00000005334	ENSGACP00000013194
ENSTNIP00000010559	ENSGACP00000012821
ENSTNIP00000002104	ENSGACP00000011152
ENSTNIP00000020483	ENSGACP00000011147
ENSTNIP00000010273	ENSGACP00000014281
ENSTNIP00000020485	ENSGACP00000011138
ENSTNIP00000006251	ENSGACP00000025165
ENSTNIP00000014486	ENSGACP00000011630
ENSTNIP00000002694	ENSGACP00000021908
ENSTNIP00000015355	ENSGACP00000006350
ENSTNIP00000020495	ENSGACP00000010944
ENSTNIP00000010366	ENSGACP00000021347
ENSTNIP00000018895	ENSGACP00000010572
ENSTNIP00000006777	ENSGACP00000022338
ENSTNIP00000018579	ENSGACP00000014096
ENSTNIP00000021319	ENSGACP00000013148
ENSTNIP00000011229	ENSGACP00000014174
ENSTNIP00000017504	ENSGACP00000020152
ENSTNIP00000014347	ENSGACP00000026379
ENSTNIP00000015091	ENSGACP00000015814
ENSTNIP00000021464	ENSGACP00000006309
ENSTNIP00000006009	ENSGACP00000001037
ENSTNIP00000015472	ENSGACP00000016075
ENSTNIP00000014070	ENSGACP00000012318
ENSTNIP00000022535	ENSGACP00000015693
ENSTNIP00000013166	ENSGACP00000018115
ENSTNIP00000021633	ENSGACP00000010283
ENSTNIP00000006529	ENSGACP00000016549
ENSTNIP00000012589	ENSGACP00000006709
ENSTNIP00000019489	ENSGACP00000017867
ENSTNIP00000008351	ENSGACP00000007480
ENSTNIP00000011343	ENSGACP00000023702
ENSTNIP00000009832	ENSGACP00000008047
ENSTNIP00000011695	ENSGACP00000002773
ENSTNIP00000012507	ENSGACP00000009197
ENSTNIP00000010059	ENSGACP00000007682
ENSTNIP00000008124	ENSGACP00000003774
ENSTNIP00000005460	ENSGACP00000023139
ENSTNIP00000020028	ENSGACP00000009670
ENSTNIP00000000589	ENSGACP00000016283
ENSTNIP00000009807	ENSGACP00000019711
ENSTNIP00000016240	ENSGACP00000020139
ENSTNIP00000018847	ENSGACP00000022997
ENSTNIP00000005756	ENSGACP00000003278
ENSTNIP00000002068	ENSGACP00000016288
ENSTNIP00000022138	ENSGACP00000001220
ENSTNIP00000004489	ENSGACP00000014611
ENSTNIP00000006781	ENSGACP00000003972
ENSTNIP00000019601	ENSGACP00000007261
ENSTNIP00000018159	ENSGACP00000011199
ENSTNIP00000018605	ENSGACP00000013405
ENSTNIP00000015414	ENSGACP00000015077
ENSTNIP00000000110	ENSGACP00000026557
ENSTNIP00000012771	ENSGACP00000003636
ENSTNIP00000016036	ENSGACP00000022041
ENSTNIP00000008856	ENSGACP00000014617
ENSTNIP00000017156	ENSGACP00000023960
ENSTNIP00000010967	ENSGACP00000003253
ENSTNIP00000005107	ENSGACP00000025585
ENSTNIP00000011131	ENSGACP00000013823
ENSTNIP00000013828	ENSGACP00000006910
ENSTNIP00000009164	ENSGACP00000000546
ENSTNIP00000014948	ENSGACP00000008541
ENSTNIP00000010510	ENSGACP00000013570
ENSTNIP00000022040	ENSGACP00000006743
ENSTNIP00000001447	ENSGACP00000023733
ENSTNIP00000008569	ENSGACP00000005245
ENSTNIP00000006689	ENSGACP00000022509
ENSTNIP00000013909	ENSGACP00000016976
ENSTNIP00000007319	ENSGACP00000021564
ENSTNIP00000007704	ENSGACP00000023933
ENSTNIP00000021294	ENSGACP00000010018
ENSTNIP00000011909	ENSGACP00000022273
ENSTNIP00000017076	ENSGACP00000025098
ENSTNIP00000005877	ENSGACP00000016434
ENSTNIP00000015101	ENSGACP00000015645
ENSTNIP00000012610	ENSGACP00000007726
ENSTNIP00000018450	ENSGACP00000007964
ENSTNIP00000022225	ENSGACP00000015785
ENSTNIP00000014871	ENSGACP00000004902
ENSTNIP00000005455	ENSGACP00000026399
ENSTNIP00000003237	ENSGACP00000013147
ENSTNIP00000009582	ENSGACP00000010158
ENSTNIP00000018175	ENSGACP00000010766
ENSTNIP00000010208	ENSGACP00000007266
ENSTNIP00000012663	ENSGACP00000014594
ENSTNIP00000011128	ENSGACP00000013836
ENSTNIP00000011373	ENSGACP00000026761
ENSTNIP00000018971	ENSGACP00000012065
ENSTNIP00000020317	ENSGACP00000019790
ENSTNIP00000006380	ENSGACP00000009184
ENSTNIP00000021291	ENSGACP00000009782
ENSTNIP00000008855	ENSGACP00000014610
ENSTNIP00000010055	ENSGACP00000016113
ENSTNIP00000007470	ENSGACP00000013156
ENSTNIP00000005864	ENSGACP00000016740
ENSTNIP00000004290	ENSGACP00000005835
ENSTNIP00000000564	ENSGACP00000017221
ENSTNIP00000004971	ENSGACP00000006610
ENSTNIP00000015609	ENSGACP00000016627
ENSTNIP00000006036	ENSGACP00000012843
ENSTNIP00000011649	ENSGACP00000018139
ENSTNIP00000012230	ENSGACP00000020724
ENSTNIP00000008957	ENSGACP00000003172
ENSTNIP00000013606	ENSGACP00000016230
ENSTNIP00000018400	ENSGACP00000020231
ENSTNIP00000008151	ENSGACP00000024519
ENSTNIP00000001004	ENSGACP00000022977
ENSTNIP00000005989	ENSGACP00000018950
ENSTNIP00000022641	ENSGACP00000014331
ENSTNIP00000022156	ENSGACP00000002710
ENSTNIP00000001946	ENSGACP00000008120
ENSTNIP00000005006	ENSGACP00000026911
ENSTNIP00000009610	ENSGACP00000009622
ENSTNIP00000009607	ENSGACP00000009627
ENSTNIP00000000276	ENSGACP00000008126
ENSTNIP00000011635	ENSGACP00000018009
ENSTNIP00000013963	ENSGACP00000026115
ENSTNIP00000016718	ENSGACP00000012368
ENSTNIP00000008250	ENSGACP00000025431
ENSTNIP00000018027	ENSGACP00000002501
ENSTNIP00000011823	ENSGACP00000024161
ENSTNIP00000003620	ENSGACP00000005622
ENSTNIP00000022375	ENSGACP00000005650
ENSTNIP00000015408	ENSGACP00000015186
ENSTNIP00000005958	ENSGACP00000019007
ENSTNIP00000013297	ENSGACP00000009364
ENSTNIP00000012416	ENSGACP00000022283
ENSTNIP00000005978	ENSGACP00000016040
ENSTNIP00000009886	ENSGACP00000000574
ENSTNIP00000021184	ENSGACP00000023040
ENSTNIP00000012902	ENSGACP00000027323
ENSTNIP00000022599	ENSGACP00000003121
ENSTNIP00000011486	ENSGACP00000011344
ENSTNIP00000013856	ENSGACP00000007394
ENSTNIP00000008963	ENSGACP00000010244
ENSTNIP00000004438	ENSGACP00000015467
ENSTNIP00000014678	ENSGACP00000012004
ENSTNIP00000012223	ENSGACP00000020774
ENSTNIP00000005888	ENSGACP00000019686
ENSTNIP00000010928	ENSGACP00000014077
ENSTNIP00000021358	ENSGACP00000002623
ENSTNIP00000017140	ENSGACP00000024486
ENSTNIP00000014563	ENSGACP00000018930
ENSTNIP00000008143	ENSGACP00000022151
ENSTNIP00000014905	ENSGACP00000016156
ENSTNIP00000004552	ENSGACP00000002616
ENSTNIP00000010929	ENSGACP00000014072
ENSTNIP00000008080	ENSGACP00000003890
ENSTNIP00000014536	ENSGACP00000017424
ENSTNIP00000001002	ENSGACP00000009823
ENSTNIP00000001466	ENSGACP00000026723
ENSTNIP00000014393	ENSGACP00000017760
ENSTNIP00000020628	ENSGACP00000008971
ENSTNIP00000013668	ENSGACP00000010715
ENSTNIP00000012089	ENSGACP00000009867
ENSTNIP00000015747	ENSGACP00000005055
ENSTNIP00000008779	ENSGACP00000019506
ENSTNIP00000021891	ENSGACP00000010781
ENSTNIP00000015555	ENSGACP00000004213
ENSTNIP00000015859	ENSGACP00000012507
ENSTNIP00000018329	ENSGACP00000018335
ENSTNIP00000012257	ENSGACP00000020593
ENSTNIP00000020893	ENSGACP00000003601
ENSTNIP00000022303	ENSGACP00000008287
ENSTNIP00000022359	ENSGACP00000009174
ENSTNIP00000015197	ENSGACP00000011110
ENSTNIP00000020055	ENSGACP00000006586
ENSTNIP00000000468	ENSGACP00000020347
ENSTNIP00000018071	ENSGACP00000013060
ENSTNIP00000021451	ENSGACP00000006976
ENSTNIP00000019168	ENSGACP00000007269
ENSTNIP00000011646	ENSGACP00000018118
ENSTNIP00000012443	ENSGACP00000023081
ENSTNIP00000011287	ENSGACP00000009773
ENSTNIP00000011334	ENSGACP00000023726
ENSTNIP00000014958	ENSGACP00000008404
