ENSGACP00000003450	ENSMUSP00000034074
ENSGACP00000020047	ENSMUSP00000028368
ENSGACP00000007585	ENSMUSP00000028368
ENSGACP00000011922	ENSMUSP00000137309
ENSGACP00000003547	ENSMUSP00000095103
ENSGACP00000019183	ENSMUSP00000043554
ENSGACP00000002744	ENSMUSP00000045150
ENSGACP00000002016	ENSMUSP00000023835
ENSGACP00000010376	ENSMUSP00000093229
ENSGACP00000007930	ENSMUSP00000093229
ENSGACP00000025486	ENSMUSP00000131010
ENSGACP00000016795	ENSMUSP00000131010
ENSGACP00000015259	ENSMUSP00000103366
ENSGACP00000025138	ENSMUSP00000038203
ENSGACP00000011755	ENSMUSP00000038203
ENSGACP00000018076	ENSMUSP00000031977
ENSGACP00000008295	ENSMUSP00000065770
ENSGACP00000014107	ENSMUSP00000113913
ENSGACP00000006667	ENSMUSP00000118911
ENSGACP00000024356	ENSMUSP00000109340
ENSGACP00000011466	ENSMUSP00000100028
ENSGACP00000003847	ENSMUSP00000114175
ENSGACP00000021571	ENSMUSP00000067541
ENSGACP00000021553	ENSMUSP00000031663
ENSGACP00000023675	ENSMUSP00000106317
ENSGACP00000009161	ENSMUSP00000106317
ENSGACP00000023666	ENSMUSP00000124417
ENSGACP00000022606	ENSMUSP00000064246
ENSGACP00000003183	ENSMUSP00000126281
ENSGACP00000011082	ENSMUSP00000126281
ENSGACP00000018264	ENSMUSP00000043222
ENSGACP00000008056	ENSMUSP00000126243
ENSGACP00000009168	ENSMUSP00000126243
ENSGACP00000022048	ENSMUSP00000105250
ENSGACP00000016335	ENSMUSP00000001280
ENSGACP00000021346	ENSMUSP00000075011
ENSGACP00000005446	ENSMUSP00000025197
ENSGACP00000017279	ENSMUSP00000128401
ENSGACP00000006884	ENSMUSP00000031354
ENSGACP00000023755	ENSMUSP00000110729
ENSGACP00000002114	ENSMUSP00000037487
ENSGACP00000019214	ENSMUSP00000029905
ENSGACP00000023011	ENSMUSP00000052989
ENSGACP00000001216	ENSMUSP00000018113
ENSGACP00000001729	ENSMUSP00000018113
ENSGACP00000017178	ENSMUSP00000129831
ENSGACP00000021150	ENSMUSP00000038833
ENSGACP00000026689	ENSMUSP00000019386
ENSGACP00000012092	ENSMUSP00000034792
ENSGACP00000023826	ENSMUSP00000099975
ENSGACP00000021508	ENSMUSP00000099975
ENSGACP00000003882	ENSMUSP00000007249
ENSGACP00000008443	ENSMUSP00000034697
ENSGACP00000025295	ENSMUSP00000034697
ENSGACP00000015893	ENSMUSP00000087394
ENSGACP00000019478	ENSMUSP00000087394
ENSGACP00000012018	ENSMUSP00000114404
ENSGACP00000000954	ENSMUSP00000114404
ENSGACP00000003981	ENSMUSP00000075992
ENSGACP00000023947	ENSMUSP00000099430
ENSGACP00000019749	ENSMUSP00000044457
ENSGACP00000018081	ENSMUSP00000036245
ENSGACP00000009082	ENSMUSP00000030289
ENSGACP00000022777	ENSMUSP00000039943
ENSGACP00000018775	ENSMUSP00000070554
ENSGACP00000017417	ENSMUSP00000000642
ENSGACP00000021216	ENSMUSP00000020277
ENSGACP00000027504	ENSMUSP00000051215
ENSGACP00000005858	ENSMUSP00000099984
ENSGACP00000015141	ENSMUSP00000017851
ENSGACP00000005329	ENSMUSP00000020027
ENSGACP00000023030	ENSMUSP00000051261
ENSGACP00000013038	ENSMUSP00000047547
ENSGACP00000014266	ENSMUSP00000028679
ENSGACP00000021767	ENSMUSP00000028679
ENSGACP00000010282	ENSMUSP00000098594
ENSGACP00000018424	ENSMUSP00000099716
ENSGACP00000010363	ENSMUSP00000099716
ENSGACP00000015764	ENSMUSP00000055308
ENSGACP00000027003	ENSMUSP00000055308
ENSGACP00000022490	ENSMUSP00000059420
ENSGACP00000022529	ENSMUSP00000100025
ENSGACP00000014363	ENSMUSP00000099572
ENSGACP00000027136	ENSMUSP00000099572
ENSGACP00000018567	ENSMUSP00000062924
ENSGACP00000023567	ENSMUSP00000057725
ENSGACP00000024371	ENSMUSP00000057725
ENSGACP00000010873	ENSMUSP00000056313
ENSGACP00000005024	ENSMUSP00000027373
ENSGACP00000027593	ENSMUSP00000061278
ENSGACP00000013327	ENSMUSP00000029355
ENSGACP00000018279	ENSMUSP00000029355
ENSGACP00000006461	ENSMUSP00000027534
ENSGACP00000022880	ENSMUSP00000041395
ENSGACP00000024592	ENSMUSP00000041395
ENSGACP00000003771	ENSMUSP00000006851
ENSGACP00000002157	ENSMUSP00000006851
ENSGACP00000006853	ENSMUSP00000101225
ENSGACP00000002749	ENSMUSP00000045527
ENSGACP00000009150	ENSMUSP00000021090
ENSGACP00000013757	ENSMUSP00000070413
ENSGACP00000011965	ENSMUSP00000126828
ENSGACP00000008707	ENSMUSP00000027151
ENSGACP00000001910	ENSMUSP00000085253
ENSGACP00000009985	ENSMUSP00000062771
ENSGACP00000023614	ENSMUSP00000114094
ENSGACP00000020929	ENSMUSP00000139310
ENSGACP00000013315	ENSMUSP00000096994
ENSGACP00000008151	ENSMUSP00000047126
ENSGACP00000013188	ENSMUSP00000070726
ENSGACP00000026173	ENSMUSP00000025695
ENSGACP00000016187	ENSMUSP00000002839
ENSGACP00000014581	ENSMUSP00000124370
ENSGACP00000019677	ENSMUSP00000039632
ENSGACP00000004083	ENSMUSP00000038013
ENSGACP00000005781	ENSMUSP00000038013
ENSGACP00000014663	ENSMUSP00000020411
ENSGACP00000013881	ENSMUSP00000109915
ENSGACP00000014852	ENSMUSP00000053175
ENSGACP00000024470	ENSMUSP00000033805
ENSGACP00000018462	ENSMUSP00000122395
ENSGACP00000023022	ENSMUSP00000016471
ENSGACP00000020220	ENSMUSP00000033826
ENSGACP00000026953	ENSMUSP00000047353
ENSGACP00000001525	ENSMUSP00000047353
ENSGACP00000020796	ENSMUSP00000034983
ENSGACP00000018045	ENSMUSP00000027863
ENSGACP00000020202	ENSMUSP00000027863
ENSGACP00000019892	ENSMUSP00000138773
ENSGACP00000011155	ENSMUSP00000023295
ENSGACP00000020784	ENSMUSP00000127784
ENSGACP00000016165	ENSMUSP00000127784
ENSGACP00000014657	ENSMUSP00000074198
ENSGACP00000020761	ENSMUSP00000027498
ENSGACP00000000023	ENSMUSP00000018353
ENSGACP00000004790	ENSMUSP00000018476
ENSGACP00000010121	ENSMUSP00000101517
ENSGACP00000009597	ENSMUSP00000101517
ENSGACP00000011075	ENSMUSP00000019708
ENSGACP00000012573	ENSMUSP00000083281
ENSGACP00000000936	ENSMUSP00000106709
ENSGACP00000018533	ENSMUSP00000125268
ENSGACP00000000313	ENSMUSP00000125268
ENSGACP00000022262	ENSMUSP00000021971
ENSGACP00000007179	ENSMUSP00000025732
ENSGACP00000017069	ENSMUSP00000050329
ENSGACP00000001537	ENSMUSP00000035222
ENSGACP00000013067	ENSMUSP00000048124
ENSGACP00000007024	ENSMUSP00000044836
ENSGACP00000002168	ENSMUSP00000025077
ENSGACP00000021273	ENSMUSP00000113429
ENSGACP00000019076	ENSMUSP00000031229
ENSGACP00000024268	ENSMUSP00000020643
ENSGACP00000012836	ENSMUSP00000006750
ENSGACP00000009393	ENSMUSP00000006750
ENSGACP00000017596	ENSMUSP00000133474
ENSGACP00000024684	ENSMUSP00000075174
ENSGACP00000018570	ENSMUSP00000012161
ENSGACP00000026977	ENSMUSP00000109271
ENSGACP00000007863	ENSMUSP00000103362
ENSGACP00000017301	ENSMUSP00000038181
ENSGACP00000019702	ENSMUSP00000033070
ENSGACP00000004232	ENSMUSP00000113390
ENSGACP00000006403	ENSMUSP00000077019
ENSGACP00000017980	ENSMUSP00000059501
ENSGACP00000026819	ENSMUSP00000021273
ENSGACP00000023413	ENSMUSP00000059389
ENSGACP00000027353	ENSMUSP00000023487
ENSGACP00000000699	ENSMUSP00000026416
ENSGACP00000004151	ENSMUSP00000118743
ENSGACP00000023997	ENSMUSP00000021930
ENSGACP00000010622	ENSMUSP00000059419
ENSGACP00000004019	ENSMUSP00000026011
ENSGACP00000016125	ENSMUSP00000031367
ENSGACP00000014496	ENSMUSP00000129239
ENSGACP00000018285	ENSMUSP00000085728
ENSGACP00000005651	ENSMUSP00000085728
ENSGACP00000019208	ENSMUSP00000023616
ENSGACP00000026444	ENSMUSP00000006578
ENSGACP00000023425	ENSMUSP00000006578
ENSGACP00000014984	ENSMUSP00000023334
ENSGACP00000026896	ENSMUSP00000023334
ENSGACP00000016192	ENSMUSP00000034510
ENSGACP00000027292	ENSMUSP00000034510
ENSGACP00000019290	ENSMUSP00000026254
ENSGACP00000022105	ENSMUSP00000100006
ENSGACP00000024689	ENSMUSP00000111381
ENSGACP00000001742	ENSMUSP00000039728
ENSGACP00000005540	ENSMUSP00000039728
ENSGACP00000021178	ENSMUSP00000103817
ENSGACP00000011308	ENSMUSP00000058968
ENSGACP00000018744	ENSMUSP00000084427
ENSGACP00000017560	ENSMUSP00000021097
ENSGACP00000022840	ENSMUSP00000025279
ENSGACP00000016689	ENSMUSP00000095953
ENSGACP00000018236	ENSMUSP00000030443
ENSGACP00000012510	ENSMUSP00000073664
ENSGACP00000016479	ENSMUSP00000103608
ENSGACP00000003484	ENSMUSP00000039810
ENSGACP00000018708	ENSMUSP00000120421
ENSGACP00000010198	ENSMUSP00000005651
