ENSP00000371994	ENSMUSP00000129557
ENSP00000380692	ENSMUSP00000002305
ENSP00000251363	ENSMUSP00000138819
ENSP00000271688	ENSMUSP00000015858
ENSP00000284382	ENSMUSP00000069238
ENSP00000376453	ENSMUSP00000028426
ENSP00000325485	ENSMUSP00000023762
ENSP00000402697	ENSMUSP00000120598
ENSP00000355929	ENSMUSP00000064556
ENSP00000251089	ENSMUSP00000021682
ENSP00000309142	ENSMUSP00000059666
ENSP00000264903	ENSMUSP00000108629
ENSP00000377024	ENSMUSP00000020624
ENSP00000416959	ENSMUSP00000124846
ENSP00000365950	ENSMUSP00000038964
ENSP00000468788	ENSMUSP00000101004
ENSP00000297071	ENSMUSP00000031841
ENSP00000354855	ENSMUSP00000080467
ENSP00000439120	ENSMUSP00000122476
ENSP00000380252	ENSMUSP00000099733
ENSP00000382805	ENSMUSP00000026703
ENSP00000257749	ENSMUSP00000103815
ENSP00000366827	ENSMUSP00000003509
ENSP00000321343	ENSMUSP00000074764
ENSP00000379353	ENSMUSP00000032421
ENSP00000320431	ENSMUSP00000025477
ENSP00000268164	ENSMUSP00000026896
ENSP00000231461	ENSMUSP00000043477
ENSP00000262904	ENSMUSP00000100012
ENSP00000355249	ENSMUSP00000050047
ENSP00000345571	ENSMUSP00000099434
ENSP00000398124	ENSMUSP00000029069
ENSP00000368686	ENSMUSP00000015003
ENSP00000309794	ENSMUSP00000048516
ENSP00000268989	ENSMUSP00000050496
ENSP00000365962	ENSMUSP00000047838
ENSP00000221543	ENSMUSP00000048260
ENSP00000448182	ENSMUSP00000020339
ENSP00000320434	ENSMUSP00000036487
ENSP00000418191	ENSMUSP00000124376
ENSP00000304669	ENSMUSP00000049007
ENSP00000389714	ENSMUSP00000101080
ENSP00000386141	ENSMUSP00000085900
ENSP00000477059	ENSMUSP00000049346
ENSP00000328326	ENSMUSP00000070648
ENSP00000416707	ENSMUSP00000113708
ENSP00000386881	ENSMUSP00000080579
ENSP00000352208	ENSMUSP00000045036
ENSP00000428280	ENSMUSP00000125718
ENSP00000272371	ENSMUSP00000073803
ENSP00000360475	ENSMUSP00000028349
ENSP00000265138	ENSMUSP00000096957
ENSP00000222250	ENSMUSP00000002989
ENSP00000268042	ENSMUSP00000044578
ENSP00000358323	ENSMUSP00000102710
ENSP00000265224	ENSMUSP00000111054
ENSP00000372067	ENSMUSP00000032500
ENSP00000380759	ENSMUSP00000097166
ENSP00000359095	ENSMUSP00000102177
ENSP00000325690	ENSMUSP00000034703
ENSP00000331879	ENSMUSP00000032715
ENSP00000266037	ENSMUSP00000047652
ENSP00000280333	ENSMUSP00000081531
ENSP00000276440	ENSMUSP00000036674
ENSP00000256935	ENSMUSP00000090884
ENSP00000340677	ENSMUSP00000042867
ENSP00000381739	ENSMUSP00000012426
ENSP00000272164	ENSMUSP00000104411
ENSP00000290015	ENSMUSP00000018630
ENSP00000258411	ENSMUSP00000006718
ENSP00000301061	ENSMUSP00000023732
ENSP00000357077	ENSMUSP00000106861
ENSP00000263097	ENSMUSP00000004784
ENSP00000252456	ENSMUSP00000001384
ENSP00000252809	ENSMUSP00000003808
ENSP00000252677	ENSMUSP00000024049
ENSP00000367942	ENSMUSP00000018382
ENSP00000287139	ENSMUSP00000039653
ENSP00000224605	ENSMUSP00000128621
ENSP00000282701	ENSMUSP00000031278
ENSP00000468312	ENSMUSP00000037654
ENSP00000334314	ENSMUSP00000105486
ENSP00000320663	ENSMUSP00000094528
ENSP00000378254	ENSMUSP00000093960
ENSP00000348842	ENSMUSP00000051080
ENSP00000451998	ENSMUSP00000065643
ENSP00000252660	ENSMUSP00000086409
ENSP00000309782	ENSMUSP00000033386
ENSP00000393251	ENSMUSP00000058000
ENSP00000310631	ENSMUSP00000063021
ENSP00000366267	ENSMUSP00000022707
ENSP00000377836	ENSMUSP00000064131
ENSP00000366246	ENSMUSP00000120362
ENSP00000359864	ENSMUSP00000033450
ENSP00000292377	ENSMUSP00000124459
ENSP00000264039	ENSMUSP00000047199
ENSP00000332886	ENSMUSP00000038015
ENSP00000280481	ENSMUSP00000088670
ENSP00000412940	ENSMUSP00000071627
ENSP00000264895	ENSMUSP00000043250
ENSP00000374507	ENSMUSP00000068629
ENSP00000338728	ENSMUSP00000048978
ENSP00000349238	ENSMUSP00000109067
ENSP00000380785	ENSMUSP00000067752
ENSP00000360252	ENSMUSP00000030306
ENSP00000305699	ENSMUSP00000046788
ENSP00000310015	ENSMUSP00000034427
ENSP00000370713	ENSMUSP00000064775
ENSP00000441897	ENSMUSP00000101046
ENSP00000357459	ENSMUSP00000103028
ENSP00000268624	ENSMUSP00000095964
ENSP00000296513	ENSMUSP00000115260
ENSP00000262803	ENSMUSP00000075089
ENSP00000399797	ENSMUSP00000126897
ENSP00000262794	ENSMUSP00000015509
ENSP00000351524	ENSMUSP00000074533
ENSP00000424737	ENSMUSP00000044432
ENSP00000417401	ENSMUSP00000104459
ENSP00000394314	ENSMUSP00000106905
ENSP00000228437	ENSMUSP00000041942
ENSP00000384725	ENSMUSP00000089513
ENSP00000253008	ENSMUSP00000109098
ENSP00000276594	ENSMUSP00000044245
ENSP00000354960	ENSMUSP00000037532
ENSP00000361929	ENSMUSP00000041622
ENSP00000252599	ENSMUSP00000047923
ENSP00000196061	ENSMUSP00000019199
ENSP00000223127	ENSMUSP00000004968
ENSP00000282903	ENSMUSP00000125373
ENSP00000292807	ENSMUSP00000007216
ENSP00000352603	ENSMUSP00000019662
ENSP00000347408	ENSMUSP00000117346
ENSP00000428787	ENSMUSP00000128446
ENSP00000250244	ENSMUSP00000111093
ENSP00000388996	ENSMUSP00000003117
ENSP00000406472	ENSMUSP00000109886
ENSP00000265741	ENSMUSP00000030763
ENSP00000276052	ENSMUSP00000033380
ENSP00000423665	ENSMUSP00000027697
ENSP00000296525	ENSMUSP00000033918
ENSP00000417914	ENSMUSP00000033755
ENSP00000350331	ENSMUSP00000046476
ENSP00000264607	ENSMUSP00000027538
ENSP00000355195	ENSMUSP00000033549
ENSP00000251535	ENSMUSP00000000329
ENSP00000458832	ENSMUSP00000019068
ENSP00000369530	ENSMUSP00000021262
ENSP00000315167	ENSMUSP00000035250
ENSP00000314879	ENSMUSP00000021268
ENSP00000363512	ENSMUSP00000026795
ENSP00000305426	ENSMUSP00000033341
ENSP00000380321	ENSMUSP00000001562
ENSP00000221399	ENSMUSP00000103391
ENSP00000229771	ENSMUSP00000049070
ENSP00000356064	ENSMUSP00000049248
ENSP00000314444	ENSMUSP00000082895
ENSP00000216271	ENSMUSP00000080832
ENSP00000334061	ENSMUSP00000033501
ENSP00000080059	ENSMUSP00000112110
ENSP00000225983	ENSMUSP00000102770
ENSP00000264606	ENSMUSP00000008995
ENSP00000346236	ENSMUSP00000133245
ENSP00000464050	ENSMUSP00000021046
ENSP00000359361	ENSMUSP00000108994
ENSP00000380033	ENSMUSP00000055535
ENSP00000225792	ENSMUSP00000021062
ENSP00000267842	ENSMUSP00000057595
ENSP00000263093	ENSMUSP00000032539
ENSP00000357650	ENSMUSP00000029541
ENSP00000262462	ENSMUSP00000025500
ENSP00000300456	ENSMUSP00000078971
ENSP00000252595	ENSMUSP00000034267
ENSP00000359520	ENSMUSP00000079864
ENSP00000351520	ENSMUSP00000138944
ENSP00000360250	ENSMUSP00000107850
ENSP00000347213	ENSMUSP00000028328
ENSP00000360561	ENSMUSP00000110022
ENSP00000301825	ENSMUSP00000036830
ENSP00000378046	ENSMUSP00000066839
ENSP00000449751	ENSMUSP00000003445
ENSP00000413152	ENSMUSP00000002809
ENSP00000242209	ENSMUSP00000031795
ENSP00000317232	ENSMUSP00000001595
ENSP00000345964	ENSMUSP00000072472
ENSP00000358715	ENSMUSP00000077919
ENSP00000260197	ENSMUSP00000058613
ENSP00000256637	ENSMUSP00000099692
ENSP00000233813	ENSMUSP00000027377
ENSP00000370473	ENSMUSP00000020702
ENSP00000301464	ENSMUSP00000023807
ENSP00000275525	ENSMUSP00000020704
ENSP00000233809	ENSMUSP00000046610
ENSP00000269593	ENSMUSP00000017637
ENSP00000169298	ENSMUSP00000023601
ENSP00000386942	ENSMUSP00000084091
ENSP00000362239	ENSMUSP00000092654
ENSP00000417583	ENSMUSP00000036227
ENSP00000336733	ENSMUSP00000099882
ENSP00000444688	ENSMUSP00000099922
ENSP00000354490	ENSMUSP00000083077
ENSP00000357060	ENSMUSP00000106874
ENSP00000445306	ENSMUSP00000039657
ENSP00000262623	ENSMUSP00000131964
ENSP00000218548	ENSMUSP00000007340
ENSP00000355968	ENSMUSP00000042410
ENSP00000355893	ENSMUSP00000053181
ENSP00000233535	ENSMUSP00000031037
ENSP00000363394	ENSMUSP00000101500
ENSP00000415011	ENSMUSP00000035257
ENSP00000261867	ENSMUSP00000005952
ENSP00000415900	ENSMUSP00000058045
ENSP00000362195	ENSMUSP00000101768
ENSP00000262345	ENSMUSP00000010605
ENSP00000263409	ENSMUSP00000126137
ENSP00000274276	ENSMUSP00000022746
ENSP00000395461	ENSMUSP00000138230
ENSP00000418751	ENSMUSP00000127300
ENSP00000255608	ENSMUSP00000003434
ENSP00000261721	ENSMUSP00000026093
ENSP00000384545	ENSMUSP00000074864
ENSP00000376337	ENSMUSP00000002880
ENSP00000385836	ENSMUSP00000042466
ENSP00000260743	ENSMUSP00000047278
ENSP00000329926	ENSMUSP00000107444
ENSP00000357588	ENSMUSP00000064462
ENSP00000445952	ENSMUSP00000026427
ENSP00000374218	ENSMUSP00000038757
ENSP00000251527	ENSMUSP00000098548
ENSP00000424126	ENSMUSP00000105212
ENSP00000340594	ENSMUSP00000041897
ENSP00000341489	ENSMUSP00000043085
ENSP00000413241	ENSMUSP00000126417
ENSP00000422607	ENSMUSP00000034046
ENSP00000368566	ENSMUSP00000104533
ENSP00000348429	ENSMUSP00000046585
ENSP00000465589	ENSMUSP00000042352
ENSP00000258873	ENSMUSP00000034822
ENSP00000233156	ENSMUSP00000107347
ENSP00000222543	ENSMUSP00000031674
ENSP00000311184	ENSMUSP00000053238
ENSP00000324763	ENSMUSP00000093141
ENSP00000265132	ENSMUSP00000030041
ENSP00000217428	ENSMUSP00000096695
ENSP00000376652	ENSMUSP00000021689
ENSP00000355809	ENSMUSP00000077781
ENSP00000348753	ENSMUSP00000090987
ENSP00000345405	ENSMUSP00000046216
ENSP00000318820	ENSMUSP00000021005
ENSP00000225275	ENSMUSP00000020779
ENSP00000225371	ENSMUSP00000050497
ENSP00000262290	ENSMUSP00000099466
ENSP00000252804	ENSMUSP00000113703
ENSP00000313829	ENSMUSP00000066516
ENSP00000281156	ENSMUSP00000027226
ENSP00000348108	ENSMUSP00000022954
ENSP00000355094	ENSMUSP00000095025
ENSP00000328694	ENSMUSP00000081455
ENSP00000379366	ENSMUSP00000006424
ENSP00000349575	ENSMUSP00000003438
ENSP00000271139	ENSMUSP00000030477
ENSP00000331305	ENSMUSP00000061390
ENSP00000290551	ENSMUSP00000020692
ENSP00000348300	ENSMUSP00000110074
ENSP00000468094	ENSMUSP00000021328
ENSP00000269053	ENSMUSP00000099512
ENSP00000287748	ENSMUSP00000076887
ENSP00000301046	ENSMUSP00000023726
ENSP00000423541	ENSMUSP00000124473
ENSP00000358142	ENSMUSP00000037576
ENSP00000299134	ENSMUSP00000050730
ENSP00000405482	ENSMUSP00000093743
ENSP00000262953	ENSMUSP00000121125
ENSP00000221561	ENSMUSP00000002518
ENSP00000246112	ENSMUSP00000071905
ENSP00000452871	ENSMUSP00000124131
ENSP00000365735	ENSMUSP00000057527
ENSP00000256999	ENSMUSP00000001824
ENSP00000432481	ENSMUSP00000128674
ENSP00000351484	ENSMUSP00000044231
ENSP00000353224	ENSMUSP00000023486
ENSP00000420525	ENSMUSP00000031729
ENSP00000223026	ENSMUSP00000031691
ENSP00000401853	ENSMUSP00000010191
ENSP00000266031	ENSMUSP00000010195
ENSP00000337425	ENSMUSP00000042667
ENSP00000157600	ENSMUSP00000032376
ENSP00000295902	ENSMUSP00000032093
ENSP00000365494	ENSMUSP00000127892
ENSP00000401060	ENSMUSP00000104878
ENSP00000345055	ENSMUSP00000110955
ENSP00000373648	ENSMUSP00000063380
ENSP00000352035	ENSMUSP00000122915
ENSP00000262916	ENSMUSP00000030376
ENSP00000155840	ENSMUSP00000009689
ENSP00000383900	ENSMUSP00000053913
ENSP00000377900	ENSMUSP00000025680
ENSP00000383923	ENSMUSP00000025682
ENSP00000383901	ENSMUSP00000025685
ENSP00000337354	ENSMUSP00000053270
ENSP00000316842	ENSMUSP00000045973
ENSP00000216513	ENSMUSP00000036150
ENSP00000247182	ENSMUSP00000059026
ENSP00000304502	ENSMUSP00000125871
ENSP00000260653	ENSMUSP00000135677
ENSP00000328596	ENSMUSP00000021519
ENSP00000264380	ENSMUSP00000079926
ENSP00000337159	ENSMUSP00000022217
ENSP00000216602	ENSMUSP00000021714
ENSP00000290974	ENSMUSP00000092464
ENSP00000365908	ENSMUSP00000084977
ENSP00000390941	ENSMUSP00000036721
ENSP00000357927	ENSMUSP00000102813
ENSP00000310491	ENSMUSP00000106963
ENSP00000387928	ENSMUSP00000111359
ENSP00000346151	ENSMUSP00000085872
ENSP00000304604	ENSMUSP00000112934
ENSP00000385450	ENSMUSP00000086730
ENSP00000324729	ENSMUSP00000021467
ENSP00000164227	ENSMUSP00000113851
ENSP00000325663	ENSMUSP00000041173
ENSP00000380109	ENSMUSP00000042317
ENSP00000312988	ENSMUSP00000032815
ENSP00000275015	ENSMUSP00000024742
ENSP00000311837	ENSMUSP00000021004
ENSP00000429842	ENSMUSP00000111151
ENSP00000217381	ENSMUSP00000105350
ENSP00000338191	ENSMUSP00000037324
ENSP00000378965	ENSMUSP00000041294
ENSP00000357484	ENSMUSP00000020008
ENSP00000340396	ENSMUSP00000087587
ENSP00000419378	ENSMUSP00000109904
ENSP00000185206	ENSMUSP00000024755
ENSP00000387088	ENSMUSP00000058308
ENSP00000412788	ENSMUSP00000029780
ENSP00000414921	ENSMUSP00000099947
ENSP00000410811	ENSMUSP00000126340
ENSP00000333836	ENSMUSP00000122855
ENSP00000387347	ENSMUSP00000108717
ENSP00000415769	ENSMUSP00000006697
ENSP00000273283	ENSMUSP00000126449
ENSP00000266041	ENSMUSP00000006703
ENSP00000256861	ENSMUSP00000026886
ENSP00000233630	ENSMUSP00000090277
ENSP00000354724	ENSMUSP00000041790
ENSP00000337500	ENSMUSP00000058730
ENSP00000461961	ENSMUSP00000137517
ENSP00000355026	ENSMUSP00000104311
ENSP00000056217	ENSMUSP00000031750
ENSP00000264051	ENSMUSP00000066894
ENSP00000367629	ENSMUSP00000030898
ENSP00000348828	ENSMUSP00000078281
ENSP00000366387	ENSMUSP00000045432
ENSP00000402584	ENSMUSP00000073246
ENSP00000319388	ENSMUSP00000092735
ENSP00000306335	ENSMUSP00000002444
ENSP00000371434	ENSMUSP00000126313
ENSP00000254325	ENSMUSP00000005600
ENSP00000350552	ENSMUSP00000051107
ENSP00000332208	ENSMUSP00000116057
ENSP00000401536	ENSMUSP00000121212
ENSP00000293272	ENSMUSP00000039600
ENSP00000378365	ENSMUSP00000091779
ENSP00000248948	ENSMUSP00000000926
ENSP00000369702	ENSMUSP00000062239
ENSP00000368908	ENSMUSP00000056364
ENSP00000361036	ENSMUSP00000044054
ENSP00000287585	ENSMUSP00000124470
ENSP00000261497	ENSMUSP00000041263
ENSP00000423333	ENSMUSP00000093427
ENSP00000475071	ENSMUSP00000111409
ENSP00000441214	ENSMUSP00000101903
ENSP00000265310	ENSMUSP00000031901
ENSP00000352358	ENSMUSP00000031902
ENSP00000342222	ENSMUSP00000018651
ENSP00000301365	ENSMUSP00000053755
ENSP00000406191	ENSMUSP00000071859
ENSP00000313670	ENSMUSP00000115718
ENSP00000264276	ENSMUSP00000027178
ENSP00000291536	ENSMUSP00000024832
ENSP00000367792	ENSMUSP00000030915
ENSP00000347486	ENSMUSP00000031437
ENSP00000371833	ENSMUSP00000062607
ENSP00000290472	ENSMUSP00000092252
ENSP00000382434	ENSMUSP00000087525
ENSP00000472546	ENSMUSP00000104168
ENSP00000356436	ENSMUSP00000070868
ENSP00000306163	ENSMUSP00000026172
ENSP00000360762	ENSMUSP00000025718
ENSP00000321679	ENSMUSP00000061168
ENSP00000430985	ENSMUSP00000041300
ENSP00000220429	ENSMUSP00000099517
ENSP00000263674	ENSMUSP00000102647
ENSP00000340297	ENSMUSP00000081225
ENSP00000355060	ENSMUSP00000040531
ENSP00000250894	ENSMUSP00000085683
ENSP00000262013	ENSMUSP00000042271
ENSP00000380488	ENSMUSP00000038633
ENSP00000227756	ENSMUSP00000043636
ENSP00000369981	ENSMUSP00000030212
ENSP00000391372	ENSMUSP00000032874
ENSP00000418744	ENSMUSP00000129800
ENSP00000361645	ENSMUSP00000028214
ENSP00000278937	ENSMUSP00000034600
ENSP00000352513	ENSMUSP00000107062
ENSP00000432943	ENSMUSP00000066701
ENSP00000278947	ENSMUSP00000126826
ENSP00000322460	ENSMUSP00000062507
ENSP00000278949	ENSMUSP00000110311
ENSP00000240618	ENSMUSP00000032252
ENSP00000266712	ENSMUSP00000061470
ENSP00000442046	ENSMUSP00000056353
ENSP00000343871	ENSMUSP00000046368
ENSP00000362824	ENSMUSP00000045409
ENSP00000283296	ENSMUSP00000109229
ENSP00000283303	ENSMUSP00000024711
ENSP00000296862	ENSMUSP00000109244
ENSP00000360299	ENSMUSP00000049380
ENSP00000307831	ENSMUSP00000110422
ENSP00000273352	ENSMUSP00000023437
ENSP00000361995	ENSMUSP00000128922
ENSP00000268125	ENSMUSP00000054545
ENSP00000275162	ENSMUSP00000019920
ENSP00000428402	ENSMUSP00000035649
ENSP00000302843	ENSMUSP00000025208
ENSP00000365007	ENSMUSP00000048714
ENSP00000347872	ENSMUSP00000048350
ENSP00000303129	ENSMUSP00000053431
ENSP00000399805	ENSMUSP00000029850
ENSP00000323678	ENSMUSP00000052544
ENSP00000375647	ENSMUSP00000090567
ENSP00000436836	ENSMUSP00000047888
ENSP00000005284	ENSMUSP00000081664
ENSP00000300105	ENSMUSP00000019290
ENSP00000262138	ENSMUSP00000021066
ENSP00000270458	ENSMUSP00000138618
ENSP00000376914	ENSMUSP00000082220
ENSP00000262429	ENSMUSP00000092794
ENSP00000349595	ENSMUSP00000032974
ENSP00000353072	ENSMUSP00000021142
ENSP00000440045	ENSMUSP00000031423
ENSP00000400258	ENSMUSP00000123078
ENSP00000362444	ENSMUSP00000101700
ENSP00000316377	ENSMUSP00000122896
ENSP00000247191	ENSMUSP00000040416
ENSP00000359132	ENSMUSP00000029575
ENSP00000379032	ENSMUSP00000028623
ENSP00000363398	ENSMUSP00000030643
ENSP00000367446	ENSMUSP00000076505
ENSP00000220562	ENSMUSP00000022550
ENSP00000388658	ENSMUSP00000122103
ENSP00000400101	ENSMUSP00000015256
ENSP00000322020	ENSMUSP00000019226
ENSP00000329033	ENSMUSP00000108302
ENSP00000274764	ENSMUSP00000056604
ENSP00000367714	ENSMUSP00000051118
ENSP00000272937	ENSMUSP00000084062
ENSP00000232424	ENSMUSP00000023171
ENSP00000367065	ENSMUSP00000030782
ENSP00000307513	ENSMUSP00000097909
ENSP00000283243	ENSMUSP00000065205
ENSP00000356587	ENSMUSP00000027896
ENSP00000368952	ENSMUSP00000029307
ENSP00000319323	ENSMUSP00000034883
ENSP00000348886	ENSMUSP00000030169
ENSP00000327048	ENSMUSP00000104732
ENSP00000362410	ENSMUSP00000096728
ENSP00000328364	ENSMUSP00000054226
ENSP00000454062	ENSMUSP00000107035
ENSP00000345393	ENSMUSP00000094076
ENSP00000350369	ENSMUSP00000053899
ENSP00000344903	ENSMUSP00000106460
ENSP00000297282	ENSMUSP00000031868
ENSP00000194130	ENSMUSP00000031713
ENSP00000279027	ENSMUSP00000029208
ENSP00000392411	ENSMUSP00000001122
ENSP00000406220	ENSMUSP00000021161
ENSP00000255409	ENSMUSP00000080717
ENSP00000356198	ENSMUSP00000123979
ENSP00000358747	ENSMUSP00000000573
ENSP00000365251	ENSMUSP00000022040
ENSP00000435582	ENSMUSP00000129216
ENSP00000388275	ENSMUSP00000110669
ENSP00000353249	ENSMUSP00000110348
ENSP00000360905	ENSMUSP00000095533
ENSP00000357597	ENSMUSP00000063051
ENSP00000410943	ENSMUSP00000036360
ENSP00000322802	ENSMUSP00000045542
ENSP00000364591	ENSMUSP00000046782
ENSP00000350854	ENSMUSP00000020441
ENSP00000351346	ENSMUSP00000045490
ENSP00000261517	ENSMUSP00000077040
ENSP00000353422	ENSMUSP00000068716
ENSP00000437783	ENSMUSP00000014545
ENSP00000379500	ENSMUSP00000091964
ENSP00000260356	ENSMUSP00000044903
ENSP00000355751	ENSMUSP00000128308
ENSP00000222271	ENSMUSP00000003659
ENSP00000339730	ENSMUSP00000022213
ENSP00000357362	ENSMUSP00000029682
ENSP00000383909	ENSMUSP00000060441
ENSP00000319651	ENSMUSP00000057488
ENSP00000371711	ENSMUSP00000025755
ENSP00000360500	ENSMUSP00000064220
ENSP00000371686	ENSMUSP00000059654
ENSP00000190165	ENSMUSP00000046812
ENSP00000227451	ENSMUSP00000040229
ENSP00000257600	ENSMUSP00000031607
ENSP00000447873	ENSMUSP00000044627
ENSP00000316532	ENSMUSP00000090528
ENSP00000410852	ENSMUSP00000113090
ENSP00000408581	ENSMUSP00000043633
ENSP00000299308	ENSMUSP00000031446
ENSP00000005286	ENSMUSP00000025645
ENSP00000361650	ENSMUSP00000109092
ENSP00000356275	ENSMUSP00000095169
ENSP00000431813	ENSMUSP00000129378
ENSP00000160373	ENSMUSP00000088089
ENSP00000271277	ENSMUSP00000076751
ENSP00000237172	ENSMUSP00000091329
ENSP00000346560	ENSMUSP00000124179
ENSP00000303758	ENSMUSP00000130758
ENSP00000251775	ENSMUSP00000023502
ENSP00000261889	ENSMUSP00000034946
ENSP00000368831	ENSMUSP00000039243
ENSP00000363349	ENSMUSP00000030080
ENSP00000238994	ENSMUSP00000084578
ENSP00000308318	ENSMUSP00000065679
ENSP00000393832	ENSMUSP00000122712
ENSP00000360035	ENSMUSP00000061402
ENSP00000408288	ENSMUSP00000134894
ENSP00000284601	ENSMUSP00000049054
ENSP00000336630	ENSMUSP00000101060
ENSP00000356205	ENSMUSP00000043522
ENSP00000276218	ENSMUSP00000060591
ENSP00000391299	ENSMUSP00000103897
ENSP00000342313	ENSMUSP00000136611
ENSP00000440674	ENSMUSP00000125580
ENSP00000361366	ENSMUSP00000076383
ENSP00000363079	ENSMUSP00000025797
ENSP00000332723	ENSMUSP00000037867
ENSP00000411770	ENSMUSP00000049285
ENSP00000262225	ENSMUSP00000054834
ENSP00000405926	ENSMUSP00000120904
ENSP00000214869	ENSMUSP00000034698
ENSP00000359305	ENSMUSP00000002837
ENSP00000238497	ENSMUSP00000092230
ENSP00000356381	ENSMUSP00000132514
ENSP00000369989	ENSMUSP00000043210
ENSP00000245121	ENSMUSP00000026486
ENSP00000233596	ENSMUSP00000100991
ENSP00000368959	ENSMUSP00000006027
ENSP00000254901	ENSMUSP00000036065
ENSP00000438346	ENSMUSP00000112662
ENSP00000303482	ENSMUSP00000040162
ENSP00000362863	ENSMUSP00000020023
ENSP00000358159	ENSMUSP00000036726
ENSP00000295488	ENSMUSP00000041599
ENSP00000435506	ENSMUSP00000036110
ENSP00000264233	ENSMUSP00000059757
ENSP00000317123	ENSMUSP00000099509
ENSP00000253083	ENSMUSP00000000939
ENSP00000336747	ENSMUSP00000059033
ENSP00000267984	ENSMUSP00000091769
ENSP00000316029	ENSMUSP00000030187
ENSP00000453508	ENSMUSP00000039633
ENSP00000365411	ENSMUSP00000014290
ENSP00000263915	ENSMUSP00000028252
ENSP00000381793	ENSMUSP00000091011
ENSP00000403459	ENSMUSP00000019456
ENSP00000343490	ENSMUSP00000034969
ENSP00000369442	ENSMUSP00000077899
ENSP00000257408	ENSMUSP00000031096
ENSP00000264162	ENSMUSP00000073190
ENSP00000240285	ENSMUSP00000027053
ENSP00000365397	ENSMUSP00000122552
ENSP00000351035	ENSMUSP00000031251
ENSP00000333300	ENSMUSP00000046772
ENSP00000307607	ENSMUSP00000046298
