ENSGACP00000003450	ENSMODP00000016222
ENSGACP00000013505	ENSMODP00000035512
ENSGACP00000023103	ENSMODP00000014612
ENSGACP00000002295	ENSMODP00000010442
ENSGACP00000012521	ENSMODP00000016379
ENSGACP00000004603	ENSMODP00000008107
ENSGACP00000011567	ENSMODP00000026124
ENSGACP00000006206	ENSMODP00000011474
ENSGACP00000011590	ENSMODP00000026122
ENSGACP00000004274	ENSMODP00000023478
ENSGACP00000015475	ENSMODP00000023478
ENSGACP00000017407	ENSMODP00000015235
ENSGACP00000007063	ENSMODP00000041284
ENSGACP00000013968	ENSMODP00000004541
ENSGACP00000015931	ENSMODP00000003832
ENSGACP00000009933	ENSMODP00000006867
ENSGACP00000005141	ENSMODP00000000179
ENSGACP00000023842	ENSMODP00000004891
ENSGACP00000009128	ENSMODP00000000959
ENSGACP00000005885	ENSMODP00000012028
ENSGACP00000008256	ENSMODP00000029754
ENSGACP00000021278	ENSMODP00000004041
ENSGACP00000026085	ENSMODP00000022102
ENSGACP00000024121	ENSMODP00000025585
ENSGACP00000014218	ENSMODP00000016495
ENSGACP00000008788	ENSMODP00000014171
ENSGACP00000012624	ENSMODP00000015986
ENSGACP00000006233	ENSMODP00000003492
ENSGACP00000022472	ENSMODP00000007364
ENSGACP00000018261	ENSMODP00000007623
ENSGACP00000022347	ENSMODP00000030239
ENSGACP00000007046	ENSMODP00000013412
ENSGACP00000017631	ENSMODP00000012859
ENSGACP00000010032	ENSMODP00000040508
ENSGACP00000016853	ENSMODP00000016741
ENSGACP00000010215	ENSMODP00000037068
ENSGACP00000007839	ENSMODP00000015720
ENSGACP00000002797	ENSMODP00000000761
ENSGACP00000008850	ENSMODP00000000761
ENSGACP00000003687	ENSMODP00000036453
ENSGACP00000013891	ENSMODP00000024298
ENSGACP00000015752	ENSMODP00000024298
ENSGACP00000024876	ENSMODP00000013611
ENSGACP00000005558	ENSMODP00000002121
ENSGACP00000011056	ENSMODP00000034167
ENSGACP00000023914	ENSMODP00000021361
ENSGACP00000004412	ENSMODP00000021361
ENSGACP00000013838	ENSMODP00000025206
ENSGACP00000010614	ENSMODP00000014344
ENSGACP00000000678	ENSMODP00000023381
ENSGACP00000002669	ENSMODP00000029105
ENSGACP00000022578	ENSMODP00000011376
ENSGACP00000016521	ENSMODP00000020886
ENSGACP00000011213	ENSMODP00000013331
ENSGACP00000023031	ENSMODP00000017273
ENSGACP00000018735	ENSMODP00000013863
ENSGACP00000010089	ENSMODP00000036044
ENSGACP00000003980	ENSMODP00000022560
ENSGACP00000020505	ENSMODP00000006951
ENSGACP00000008514	ENSMODP00000008288
ENSGACP00000024791	ENSMODP00000013900
ENSGACP00000024033	ENSMODP00000017320
ENSGACP00000003038	ENSMODP00000015229
ENSGACP00000002405	ENSMODP00000025996
ENSGACP00000011399	ENSMODP00000016389
ENSGACP00000016404	ENSMODP00000000402
ENSGACP00000001035	ENSMODP00000009650
ENSGACP00000026319	ENSMODP00000002182
ENSGACP00000015343	ENSMODP00000002182
ENSGACP00000020270	ENSMODP00000011765
ENSGACP00000024658	ENSMODP00000019074
ENSGACP00000021658	ENSMODP00000005435
ENSGACP00000018417	ENSMODP00000016852
ENSGACP00000008623	ENSMODP00000016852
ENSGACP00000022764	ENSMODP00000000500
ENSGACP00000006111	ENSMODP00000024292
ENSGACP00000023493	ENSMODP00000024292
ENSGACP00000014394	ENSMODP00000013464
ENSGACP00000008802	ENSMODP00000008628
ENSGACP00000019210	ENSMODP00000004044
ENSGACP00000002834	ENSMODP00000002679
ENSGACP00000002348	ENSMODP00000007893
ENSGACP00000023091	ENSMODP00000007893
ENSGACP00000015815	ENSMODP00000021412
ENSGACP00000022066	ENSMODP00000023606
ENSGACP00000010750	ENSMODP00000004519
ENSGACP00000012695	ENSMODP00000039634
ENSGACP00000007203	ENSMODP00000039634
ENSGACP00000005237	ENSMODP00000037970
ENSGACP00000024500	ENSMODP00000004963
ENSGACP00000025056	ENSMODP00000001757
ENSGACP00000003704	ENSMODP00000036437
ENSGACP00000016370	ENSMODP00000005386
ENSGACP00000022984	ENSMODP00000007425
ENSGACP00000004888	ENSMODP00000026554
ENSGACP00000002403	ENSMODP00000005255
ENSGACP00000008807	ENSMODP00000000790
ENSGACP00000022304	ENSMODP00000031750
ENSGACP00000020352	ENSMODP00000020405
ENSGACP00000018750	ENSMODP00000013151
ENSGACP00000000372	ENSMODP00000013497
ENSGACP00000014494	ENSMODP00000002193
ENSGACP00000023747	ENSMODP00000005016
ENSGACP00000004440	ENSMODP00000021509
ENSGACP00000005070	ENSMODP00000021545
ENSGACP00000002886	ENSMODP00000002877
ENSGACP00000007201	ENSMODP00000008929
ENSGACP00000024497	ENSMODP00000008929
ENSGACP00000010311	ENSMODP00000013499
ENSGACP00000020639	ENSMODP00000034760
ENSGACP00000011727	ENSMODP00000017133
ENSGACP00000006806	ENSMODP00000031383
ENSGACP00000017136	ENSMODP00000027887
ENSGACP00000005071	ENSMODP00000006876
ENSGACP00000001491	ENSMODP00000012731
ENSGACP00000010693	ENSMODP00000001749
ENSGACP00000000220	ENSMODP00000017923
ENSGACP00000012914	ENSMODP00000012407
ENSGACP00000009347	ENSMODP00000004582
ENSGACP00000025450	ENSMODP00000004582
ENSGACP00000024285	ENSMODP00000021647
ENSGACP00000023016	ENSMODP00000007382
ENSGACP00000019572	ENSMODP00000004284
ENSGACP00000014238	ENSMODP00000020969
ENSGACP00000008454	ENSMODP00000019075
ENSGACP00000010767	ENSMODP00000019115
ENSGACP00000009332	ENSMODP00000019115
ENSGACP00000003473	ENSMODP00000012345
ENSGACP00000006347	ENSMODP00000026928
ENSGACP00000008366	ENSMODP00000018395
ENSGACP00000011689	ENSMODP00000018395
ENSGACP00000021542	ENSMODP00000013451
ENSGACP00000012439	ENSMODP00000013451
ENSGACP00000012414	ENSMODP00000013531
ENSGACP00000006410	ENSMODP00000033297
ENSGACP00000017305	ENSMODP00000033297
ENSGACP00000018854	ENSMODP00000019398
ENSGACP00000003269	ENSMODP00000019398
ENSGACP00000004022	ENSMODP00000003179
ENSGACP00000021129	ENSMODP00000007000
ENSGACP00000021829	ENSMODP00000024699
ENSGACP00000015846	ENSMODP00000024699
ENSGACP00000013084	ENSMODP00000003320
ENSGACP00000022235	ENSMODP00000021986
ENSGACP00000024618	ENSMODP00000024349
ENSGACP00000018219	ENSMODP00000022203
ENSGACP00000019166	ENSMODP00000001020
ENSGACP00000008117	ENSMODP00000025425
ENSGACP00000002055	ENSMODP00000016658
ENSGACP00000019859	ENSMODP00000024177
ENSGACP00000005941	ENSMODP00000006059
ENSGACP00000005138	ENSMODP00000013827
ENSGACP00000025436	ENSMODP00000013818
ENSGACP00000005837	ENSMODP00000022239
ENSGACP00000023196	ENSMODP00000006713
ENSGACP00000005211	ENSMODP00000006713
ENSGACP00000019610	ENSMODP00000016086
ENSGACP00000017490	ENSMODP00000016086
ENSGACP00000013771	ENSMODP00000025150
ENSGACP00000020523	ENSMODP00000025150
ENSGACP00000008747	ENSMODP00000000370
ENSGACP00000013296	ENSMODP00000018131
ENSGACP00000023395	ENSMODP00000012871
ENSGACP00000024826	ENSMODP00000012871
ENSGACP00000027605	ENSMODP00000017612
ENSGACP00000004758	ENSMODP00000012865
ENSGACP00000003129	ENSMODP00000013397
ENSGACP00000007790	ENSMODP00000015857
ENSGACP00000016640	ENSMODP00000015857
ENSGACP00000025425	ENSMODP00000020847
ENSGACP00000023045	ENSMODP00000004951
ENSGACP00000011374	ENSMODP00000031789
ENSGACP00000016639	ENSMODP00000031789
ENSGACP00000013919	ENSMODP00000033636
ENSGACP00000007495	ENSMODP00000017863
ENSGACP00000001068	ENSMODP00000038839
ENSGACP00000008073	ENSMODP00000023326
ENSGACP00000014609	ENSMODP00000013862
ENSGACP00000010177	ENSMODP00000005633
ENSGACP00000015729	ENSMODP00000002353
ENSGACP00000010104	ENSMODP00000020662
ENSGACP00000027541	ENSMODP00000018114
ENSGACP00000020789	ENSMODP00000003778
ENSGACP00000013293	ENSMODP00000003778
ENSGACP00000019511	ENSMODP00000016652
ENSGACP00000017434	ENSMODP00000023397
ENSGACP00000005074	ENSMODP00000023397
ENSGACP00000011768	ENSMODP00000003368
ENSGACP00000015220	ENSMODP00000000346
ENSGACP00000006905	ENSMODP00000034629
ENSGACP00000022342	ENSMODP00000034629
ENSGACP00000018068	ENSMODP00000012753
ENSGACP00000001510	ENSMODP00000005649
ENSGACP00000011518	ENSMODP00000019189
ENSGACP00000011514	ENSMODP00000019192
ENSGACP00000007653	ENSMODP00000015236
ENSGACP00000005156	ENSMODP00000005729
ENSGACP00000005372	ENSMODP00000011064
ENSGACP00000020863	ENSMODP00000001454
ENSGACP00000006436	ENSMODP00000021931
ENSGACP00000013194	ENSMODP00000024509
ENSGACP00000011152	ENSMODP00000010755
ENSGACP00000011147	ENSMODP00000010746
ENSGACP00000014281	ENSMODP00000000909
ENSGACP00000011138	ENSMODP00000010740
ENSGACP00000006350	ENSMODP00000016933
ENSGACP00000010944	ENSMODP00000035258
ENSGACP00000022338	ENSMODP00000000835
ENSGACP00000014096	ENSMODP00000000835
ENSGACP00000020152	ENSMODP00000024821
ENSGACP00000026379	ENSMODP00000021392
ENSGACP00000015814	ENSMODP00000021392
ENSGACP00000015693	ENSMODP00000016401
ENSGACP00000018115	ENSMODP00000002302
ENSGACP00000017867	ENSMODP00000023618
ENSGACP00000007480	ENSMODP00000017858
ENSGACP00000023702	ENSMODP00000012397
ENSGACP00000008047	ENSMODP00000003704
ENSGACP00000002773	ENSMODP00000003835
ENSGACP00000009197	ENSMODP00000002775
ENSGACP00000007682	ENSMODP00000022195
ENSGACP00000003774	ENSMODP00000019036
ENSGACP00000023139	ENSMODP00000021585
ENSGACP00000009670	ENSMODP00000017428
ENSGACP00000020139	ENSMODP00000026323
ENSGACP00000022997	ENSMODP00000007727
ENSGACP00000016288	ENSMODP00000016781
ENSGACP00000026639	ENSMODP00000016781
ENSGACP00000017963	ENSMODP00000007822
ENSGACP00000014611	ENSMODP00000007822
ENSGACP00000003972	ENSMODP00000033334
ENSGACP00000007261	ENSMODP00000007124
ENSGACP00000005865	ENSMODP00000019317
ENSGACP00000015077	ENSMODP00000026127
ENSGACP00000003636	ENSMODP00000035640
ENSGACP00000022041	ENSMODP00000006054
ENSGACP00000022171	ENSMODP00000007035
ENSGACP00000014617	ENSMODP00000008417
ENSGACP00000023960	ENSMODP00000015774
ENSGACP00000003253	ENSMODP00000011325
ENSGACP00000025585	ENSMODP00000009929
ENSGACP00000013823	ENSMODP00000002001
ENSGACP00000006910	ENSMODP00000004035
ENSGACP00000000546	ENSMODP00000013128
ENSGACP00000008541	ENSMODP00000026470
ENSGACP00000016976	ENSMODP00000016349
ENSGACP00000021564	ENSMODP00000016685
ENSGACP00000023933	ENSMODP00000021636
ENSGACP00000010018	ENSMODP00000001690
ENSGACP00000010158	ENSMODP00000017180
ENSGACP00000010766	ENSMODP00000017180
ENSGACP00000002976	ENSMODP00000026357
ENSGACP00000009782	ENSMODP00000014773
ENSGACP00000014610	ENSMODP00000008455
ENSGACP00000010870	ENSMODP00000009509
ENSGACP00000017221	ENSMODP00000020177
ENSGACP00000006610	ENSMODP00000015849
ENSGACP00000024519	ENSMODP00000018579
ENSGACP00000022977	ENSMODP00000018579
ENSGACP00000002710	ENSMODP00000040020
ENSGACP00000004756	ENSMODP00000029534
ENSGACP00000024428	ENSMODP00000029534
ENSGACP00000008120	ENSMODP00000016929
ENSGACP00000026911	ENSMODP00000016929
ENSGACP00000023362	ENSMODP00000006206
ENSGACP00000009622	ENSMODP00000016948
ENSGACP00000009627	ENSMODP00000016950
ENSGACP00000026912	ENSMODP00000016950
ENSGACP00000008126	ENSMODP00000016932
ENSGACP00000018009	ENSMODP00000025635
ENSGACP00000026115	ENSMODP00000025635
ENSGACP00000012368	ENSMODP00000025666
ENSGACP00000002501	ENSMODP00000009215
ENSGACP00000024161	ENSMODP00000005689
ENSGACP00000015186	ENSMODP00000020264
ENSGACP00000019007	ENSMODP00000010276
ENSGACP00000009364	ENSMODP00000024418
ENSGACP00000022283	ENSMODP00000024418
ENSGACP00000016040	ENSMODP00000022105
ENSGACP00000027323	ENSMODP00000014796
ENSGACP00000011344	ENSMODP00000037021
ENSGACP00000015467	ENSMODP00000002608
ENSGACP00000012004	ENSMODP00000018917
ENSGACP00000008427	ENSMODP00000018917
ENSGACP00000020774	ENSMODP00000010074
ENSGACP00000019686	ENSMODP00000023816
ENSGACP00000007393	ENSMODP00000015433
ENSGACP00000014077	ENSMODP00000017578
ENSGACP00000002623	ENSMODP00000017578
ENSGACP00000018930	ENSMODP00000020393
ENSGACP00000022151	ENSMODP00000020393
ENSGACP00000024490	ENSMODP00000004989
ENSGACP00000016156	ENSMODP00000004989
ENSGACP00000003890	ENSMODP00000015030
ENSGACP00000008971	ENSMODP00000017783
ENSGACP00000010715	ENSMODP00000017783
ENSGACP00000009867	ENSMODP00000029570
ENSGACP00000018335	ENSMODP00000004225
ENSGACP00000020593	ENSMODP00000024791
ENSGACP00000003601	ENSMODP00000017558
ENSGACP00000008287	ENSMODP00000005034
ENSGACP00000003954	ENSMODP00000005034
ENSGACP00000011110	ENSMODP00000028670
ENSGACP00000018118	ENSMODP00000023005
ENSGACP00000017819	ENSMODP00000013329
ENSGACP00000011957	ENSMODP00000012713
ENSGACP00000020024	ENSMODP00000006389
ENSGACP00000020028	ENSMODP00000006313
ENSGACP00000010507	ENSMODP00000007629
ENSGACP00000015759	ENSMODP00000012781
ENSGACP00000027242	ENSMODP00000012781
ENSGACP00000006238	ENSMODP00000037511
ENSGACP00000013450	ENSMODP00000000643
ENSGACP00000007062	ENSMODP00000014248
ENSGACP00000006011	ENSMODP00000023356
ENSGACP00000018621	ENSMODP00000011237
ENSGACP00000025390	ENSMODP00000034145
ENSGACP00000015595	ENSMODP00000029074
ENSGACP00000027075	ENSMODP00000028794
ENSGACP00000011371	ENSMODP00000028794
ENSGACP00000014438	ENSMODP00000020748
ENSGACP00000002482	ENSMODP00000020748
ENSGACP00000010138	ENSMODP00000010196
ENSGACP00000002636	ENSMODP00000024458
ENSGACP00000014484	ENSMODP00000024853
ENSGACP00000007335	ENSMODP00000028979
ENSGACP00000014770	ENSMODP00000001626
ENSGACP00000010547	ENSMODP00000034890
ENSGACP00000014826	ENSMODP00000007927
ENSGACP00000010458	ENSMODP00000000814
ENSGACP00000007957	ENSMODP00000000814
ENSGACP00000007626	ENSMODP00000007157
ENSGACP00000011322	ENSMODP00000004469
ENSGACP00000021331	ENSMODP00000024590
ENSGACP00000013049	ENSMODP00000024590
ENSGACP00000014740	ENSMODP00000001502
ENSGACP00000025750	ENSMODP00000004693
ENSGACP00000019139	ENSMODP00000004192
ENSGACP00000021558	ENSMODP00000025233
ENSGACP00000025677	ENSMODP00000025233
ENSGACP00000015799	ENSMODP00000031563
ENSGACP00000006721	ENSMODP00000035883
ENSGACP00000012822	ENSMODP00000035883
ENSGACP00000022562	ENSMODP00000011235
ENSGACP00000011924	ENSMODP00000019655
ENSGACP00000008097	ENSMODP00000001450
ENSGACP00000013458	ENSMODP00000001450
ENSGACP00000018946	ENSMODP00000037216
ENSGACP00000012763	ENSMODP00000020163
ENSGACP00000023501	ENSMODP00000037031
ENSGACP00000001210	ENSMODP00000004914
ENSGACP00000014637	ENSMODP00000008363
ENSGACP00000017766	ENSMODP00000023740
ENSGACP00000026775	ENSMODP00000013887
ENSGACP00000017720	ENSMODP00000004893
ENSGACP00000023168	ENSMODP00000004893
ENSGACP00000000388	ENSMODP00000035754
ENSGACP00000010687	ENSMODP00000035754
ENSGACP00000027546	ENSMODP00000024714
ENSGACP00000022436	ENSMODP00000020099
ENSGACP00000009783	ENSMODP00000040556
ENSGACP00000013794	ENSMODP00000022442
ENSGACP00000002583	ENSMODP00000022442
ENSGACP00000008851	ENSMODP00000004958
ENSGACP00000011962	ENSMODP00000018134
ENSGACP00000021742	ENSMODP00000024244
ENSGACP00000007476	ENSMODP00000006025
ENSGACP00000002768	ENSMODP00000003796
ENSGACP00000008862	ENSMODP00000020994
ENSGACP00000002243	ENSMODP00000011509
ENSGACP00000023563	ENSMODP00000004108
ENSGACP00000004347	ENSMODP00000006215
ENSGACP00000024642	ENSMODP00000016598
ENSGACP00000023961	ENSMODP00000015178
ENSGACP00000010920	ENSMODP00000011747
ENSGACP00000020256	ENSMODP00000021456
ENSGACP00000018674	ENSMODP00000022547
ENSGACP00000001541	ENSMODP00000025985
ENSGACP00000025293	ENSMODP00000035244
ENSGACP00000021244	ENSMODP00000037000
ENSGACP00000015197	ENSMODP00000010540
ENSGACP00000010883	ENSMODP00000015462
ENSGACP00000010157	ENSMODP00000028490
ENSGACP00000016455	ENSMODP00000035353
ENSGACP00000007247	ENSMODP00000007192
ENSGACP00000008515	ENSMODP00000011498
ENSGACP00000010891	ENSMODP00000011498
ENSGACP00000005764	ENSMODP00000033084
ENSGACP00000006690	ENSMODP00000012038
ENSGACP00000027174	ENSMODP00000012043
ENSGACP00000023717	ENSMODP00000025712
ENSGACP00000003615	ENSMODP00000008837
ENSGACP00000005917	ENSMODP00000035049
ENSGACP00000024117	ENSMODP00000013890
ENSGACP00000018050	ENSMODP00000023997
ENSGACP00000018757	ENSMODP00000019174
ENSGACP00000020047	ENSMODP00000006105
ENSGACP00000007585	ENSMODP00000006105
ENSGACP00000026129	ENSMODP00000011310
ENSGACP00000003547	ENSMODP00000038432
ENSGACP00000019183	ENSMODP00000016953
ENSGACP00000002744	ENSMODP00000038094
ENSGACP00000002016	ENSMODP00000007186
ENSGACP00000018705	ENSMODP00000025808
ENSGACP00000010376	ENSMODP00000014214
ENSGACP00000007930	ENSMODP00000014214
ENSGACP00000025486	ENSMODP00000011506
ENSGACP00000016795	ENSMODP00000011506
ENSGACP00000025138	ENSMODP00000019642
ENSGACP00000011755	ENSMODP00000019642
ENSGACP00000002674	ENSMODP00000013017
ENSGACP00000018076	ENSMODP00000034038
ENSGACP00000022972	ENSMODP00000024630
ENSGACP00000008295	ENSMODP00000007314
ENSGACP00000014107	ENSMODP00000000807
ENSGACP00000006667	ENSMODP00000025533
ENSGACP00000024356	ENSMODP00000007786
ENSGACP00000011466	ENSMODP00000009993
ENSGACP00000003847	ENSMODP00000037551
ENSGACP00000022310	ENSMODP00000004628
ENSGACP00000017391	ENSMODP00000001075
ENSGACP00000021571	ENSMODP00000004183
ENSGACP00000021553	ENSMODP00000037028
ENSGACP00000023675	ENSMODP00000025394
ENSGACP00000009161	ENSMODP00000025394
ENSGACP00000023666	ENSMODP00000025382
ENSGACP00000022606	ENSMODP00000034209
ENSGACP00000003183	ENSMODP00000000451
ENSGACP00000011082	ENSMODP00000000451
ENSGACP00000018264	ENSMODP00000037704
ENSGACP00000023531	ENSMODP00000025104
ENSGACP00000008056	ENSMODP00000003741
ENSGACP00000009168	ENSMODP00000003741
ENSGACP00000022048	ENSMODP00000016415
ENSGACP00000018629	ENSMODP00000007578
ENSGACP00000024982	ENSMODP00000007578
ENSGACP00000016335	ENSMODP00000017159
ENSGACP00000019459	ENSMODP00000001221
ENSGACP00000020854	ENSMODP00000001221
ENSGACP00000017279	ENSMODP00000017940
ENSGACP00000006884	ENSMODP00000015526
ENSGACP00000023755	ENSMODP00000004828
ENSGACP00000002114	ENSMODP00000010212
ENSGACP00000019214	ENSMODP00000011028
ENSGACP00000001216	ENSMODP00000020372
ENSGACP00000001729	ENSMODP00000020372
ENSGACP00000017178	ENSMODP00000010574
ENSGACP00000021150	ENSMODP00000009583
ENSGACP00000026689	ENSMODP00000026216
ENSGACP00000012092	ENSMODP00000017759
ENSGACP00000023826	ENSMODP00000020345
ENSGACP00000021508	ENSMODP00000020345
ENSGACP00000003882	ENSMODP00000018923
ENSGACP00000008443	ENSMODP00000033680
ENSGACP00000025295	ENSMODP00000033680
ENSGACP00000015893	ENSMODP00000038197
ENSGACP00000019478	ENSMODP00000038197
ENSGACP00000012018	ENSMODP00000002177
ENSGACP00000000954	ENSMODP00000002177
ENSGACP00000003981	ENSMODP00000011613
ENSGACP00000023947	ENSMODP00000016140
ENSGACP00000019749	ENSMODP00000018953
ENSGACP00000015247	ENSMODP00000009558
ENSGACP00000018081	ENSMODP00000002133
ENSGACP00000001845	ENSMODP00000006650
ENSGACP00000024168	ENSMODP00000007345
ENSGACP00000009082	ENSMODP00000001843
ENSGACP00000022777	ENSMODP00000000384
ENSGACP00000018775	ENSMODP00000025829
ENSGACP00000017417	ENSMODP00000014169
ENSGACP00000021216	ENSMODP00000013383
ENSGACP00000027504	ENSMODP00000006152
ENSGACP00000005858	ENSMODP00000020206
ENSGACP00000010265	ENSMODP00000021326
ENSGACP00000009778	ENSMODP00000021326
ENSGACP00000015141	ENSMODP00000020260
ENSGACP00000023030	ENSMODP00000022127
ENSGACP00000013038	ENSMODP00000024585
ENSGACP00000014266	ENSMODP00000022138
ENSGACP00000021767	ENSMODP00000022138
ENSGACP00000000463	ENSMODP00000024224
ENSGACP00000004984	ENSMODP00000024224
ENSGACP00000010282	ENSMODP00000037712
ENSGACP00000026330	ENSMODP00000022880
ENSGACP00000018424	ENSMODP00000021633
ENSGACP00000010363	ENSMODP00000021633
ENSGACP00000015764	ENSMODP00000012958
ENSGACP00000027003	ENSMODP00000012958
ENSGACP00000022490	ENSMODP00000006141
ENSGACP00000022529	ENSMODP00000012151
ENSGACP00000025239	ENSMODP00000038229
ENSGACP00000009059	ENSMODP00000038229
ENSGACP00000014363	ENSMODP00000013223
ENSGACP00000027136	ENSMODP00000013223
ENSGACP00000018567	ENSMODP00000011589
ENSGACP00000005024	ENSMODP00000022092
ENSGACP00000027593	ENSMODP00000018288
ENSGACP00000013327	ENSMODP00000020371
ENSGACP00000018279	ENSMODP00000020371
ENSGACP00000006461	ENSMODP00000019866
ENSGACP00000022880	ENSMODP00000024020
ENSGACP00000024592	ENSMODP00000024020
ENSGACP00000003771	ENSMODP00000027864
ENSGACP00000002157	ENSMODP00000027864
ENSGACP00000024480	ENSMODP00000006870
ENSGACP00000006853	ENSMODP00000035953
ENSGACP00000002749	ENSMODP00000004283
ENSGACP00000009150	ENSMODP00000009105
ENSGACP00000022120	ENSMODP00000001146
ENSGACP00000016791	ENSMODP00000001146
ENSGACP00000004728	ENSMODP00000023122
ENSGACP00000013757	ENSMODP00000014640
ENSGACP00000011965	ENSMODP00000016641
ENSGACP00000008707	ENSMODP00000019725
ENSGACP00000001910	ENSMODP00000016921
ENSGACP00000009985	ENSMODP00000011273
ENSGACP00000023614	ENSMODP00000025604
ENSGACP00000020929	ENSMODP00000009936
ENSGACP00000022776	ENSMODP00000017343
ENSGACP00000016320	ENSMODP00000020508
ENSGACP00000013315	ENSMODP00000002789
ENSGACP00000008151	ENSMODP00000022250
ENSGACP00000013188	ENSMODP00000003583
ENSGACP00000014372	ENSMODP00000011192
ENSGACP00000016187	ENSMODP00000023723
ENSGACP00000014581	ENSMODP00000001117
ENSGACP00000019677	ENSMODP00000022920
ENSGACP00000014663	ENSMODP00000033234
ENSGACP00000013881	ENSMODP00000015131
ENSGACP00000006303	ENSMODP00000017053
ENSGACP00000021151	ENSMODP00000012030
ENSGACP00000014852	ENSMODP00000020543
ENSGACP00000024470	ENSMODP00000014545
ENSGACP00000018462	ENSMODP00000015214
ENSGACP00000023022	ENSMODP00000012900
ENSGACP00000020220	ENSMODP00000037115
ENSGACP00000026953	ENSMODP00000009001
ENSGACP00000001525	ENSMODP00000009001
ENSGACP00000018045	ENSMODP00000003619
ENSGACP00000020202	ENSMODP00000003619
ENSGACP00000020784	ENSMODP00000003336
ENSGACP00000016165	ENSMODP00000003336
ENSGACP00000014657	ENSMODP00000020450
ENSGACP00000021601	ENSMODP00000006508
ENSGACP00000005673	ENSMODP00000010412
ENSGACP00000018309	ENSMODP00000010412
ENSGACP00000000023	ENSMODP00000020242
ENSGACP00000004790	ENSMODP00000008035
ENSGACP00000010121	ENSMODP00000017981
ENSGACP00000009597	ENSMODP00000017981
ENSGACP00000011075	ENSMODP00000007047
ENSGACP00000012573	ENSMODP00000011322
ENSGACP00000017025	ENSMODP00000021927
ENSGACP00000000936	ENSMODP00000006088
ENSGACP00000018533	ENSMODP00000026493
ENSGACP00000000313	ENSMODP00000026493
ENSGACP00000022262	ENSMODP00000018082
ENSGACP00000007179	ENSMODP00000012224
ENSGACP00000017069	ENSMODP00000016445
ENSGACP00000013067	ENSMODP00000037709
ENSGACP00000007024	ENSMODP00000000740
ENSGACP00000002168	ENSMODP00000009858
ENSGACP00000013160	ENSMODP00000009575
ENSGACP00000021273	ENSMODP00000021575
ENSGACP00000019076	ENSMODP00000038702
ENSGACP00000024268	ENSMODP00000011718
ENSGACP00000012836	ENSMODP00000014505
ENSGACP00000009393	ENSMODP00000014505
ENSGACP00000017596	ENSMODP00000020838
ENSGACP00000024684	ENSMODP00000019625
ENSGACP00000026977	ENSMODP00000011971
ENSGACP00000007863	ENSMODP00000015208
ENSGACP00000017301	ENSMODP00000017666
ENSGACP00000019702	ENSMODP00000002268
ENSGACP00000004232	ENSMODP00000033852
ENSGACP00000006403	ENSMODP00000012204
ENSGACP00000017980	ENSMODP00000019477
ENSGACP00000026819	ENSMODP00000009679
ENSGACP00000023413	ENSMODP00000006685
ENSGACP00000027353	ENSMODP00000037070
ENSGACP00000021996	ENSMODP00000026793
ENSGACP00000008387	ENSMODP00000013501
ENSGACP00000023997	ENSMODP00000007285
ENSGACP00000010622	ENSMODP00000014942
ENSGACP00000016125	ENSMODP00000019529
ENSGACP00000014496	ENSMODP00000022314
