ENSP00000262384	ENSTNIP00000004863
ENSP00000357927	ENSTNIP00000004232
ENSP00000357927	ENSTNIP00000021319
ENSP00000310491	ENSTNIP00000017504
ENSP00000346151	ENSTNIP00000014347
ENSP00000346151	ENSTNIP00000015091
ENSP00000324729	ENSTNIP00000022535
ENSP00000325663	ENSTNIP00000013166
ENSP00000275015	ENSTNIP00000019489
ENSP00000311837	ENSTNIP00000008351
ENSP00000429842	ENSTNIP00000011343
ENSP00000217381	ENSTNIP00000009832
ENSP00000338191	ENSTNIP00000011695
ENSP00000378965	ENSTNIP00000012507
ENSP00000357484	ENSTNIP00000010059
ENSP00000419378	ENSTNIP00000005460
ENSP00000358460	ENSTNIP00000018847
ENSP00000414921	ENSTNIP00000005351
ENSP00000410811	ENSTNIP00000006781
ENSP00000333836	ENSTNIP00000019601
ENSP00000266041	ENSTNIP00000017718
ENSP00000218436	ENSTNIP00000015414
ENSP00000233630	ENSTNIP00000016036
ENSP00000337500	ENSTNIP00000008856
ENSP00000461961	ENSTNIP00000017156
ENSP00000355026	ENSTNIP00000005107
ENSP00000056217	ENSTNIP00000011131
ENSP00000264051	ENSTNIP00000009154
ENSP00000264051	ENSTNIP00000009164
ENSP00000367629	ENSTNIP00000014948
ENSP00000366477	ENSTNIP00000008569
ENSP00000402584	ENSTNIP00000007319
ENSP00000319388	ENSTNIP00000007704
ENSP00000369702	ENSTNIP00000016469
ENSP00000441214	ENSTNIP00000012663
ENSP00000406191	ENSTNIP00000018971
ENSP00000356436	ENSTNIP00000021291
ENSP00000360762	ENSTNIP00000008855
ENSP00000250894	ENSTNIP00000000564
ENSP00000262013	ENSTNIP00000004971
ENSP00000369981	ENSTNIP00000008151
ENSP00000369981	ENSTNIP00000001004
ENSP00000418744	ENSTNIP00000022156
ENSP00000278937	ENSTNIP00000001946
ENSP00000278937	ENSTNIP00000005006
ENSP00000352513	ENSTNIP00000000517
ENSP00000278947	ENSTNIP00000009610
ENSP00000322460	ENSTNIP00000009607
ENSP00000278949	ENSTNIP00000000276
ENSP00000266712	ENSTNIP00000016718
ENSP00000343871	ENSTNIP00000018027
ENSP00000362824	ENSTNIP00000011823
ENSP00000273352	ENSTNIP00000022878
ENSP00000361995	ENSTNIP00000015408
ENSP00000268125	ENSTNIP00000013297
ENSP00000268125	ENSTNIP00000012416
ENSP00000275162	ENSTNIP00000005978
ENSP00000428402	ENSTNIP00000009466
ENSP00000302843	ENSTNIP00000012902
ENSP00000347872	ENSTNIP00000014678
ENSP00000303129	ENSTNIP00000012223
ENSP00000399805	ENSTNIP00000005888
ENSP00000375647	ENSTNIP00000010928
ENSP00000375647	ENSTNIP00000021358
ENSP00000436836	ENSTNIP00000017140
ENSP00000005284	ENSTNIP00000014563
ENSP00000005284	ENSTNIP00000008143
ENSP00000262138	ENSTNIP00000014905
ENSP00000270458	ENSTNIP00000010929
ENSP00000376914	ENSTNIP00000008080
ENSP00000400258	ENSTNIP00000020628
ENSP00000400258	ENSTNIP00000013668
ENSP00000362444	ENSTNIP00000012089
ENSP00000247191	ENSTNIP00000015859
ENSP00000359132	ENSTNIP00000018329
ENSP00000379032	ENSTNIP00000012257
ENSP00000363398	ENSTNIP00000020893
ENSP00000367446	ENSTNIP00000022303
ENSP00000220562	ENSTNIP00000015197
ENSP00000322020	ENSTNIP00000019168
ENSP00000329033	ENSTNIP00000011646
ENSP00000272937	ENSTNIP00000017340
ENSP00000272937	ENSTNIP00000018295
ENSP00000307513	ENSTNIP00000014676
ENSP00000283243	ENSTNIP00000012347
ENSP00000356587	ENSTNIP00000002910
ENSP00000368952	ENSTNIP00000022222
ENSP00000368952	ENSTNIP00000012854
ENSP00000319323	ENSTNIP00000011254
ENSP00000328364	ENSTNIP00000003138
ENSP00000454062	ENSTNIP00000020783
ENSP00000345393	ENSTNIP00000002365
ENSP00000344903	ENSTNIP00000007116
ENSP00000297282	ENSTNIP00000007873
ENSP00000194130	ENSTNIP00000003073
ENSP00000279027	ENSTNIP00000015440
ENSP00000406220	ENSTNIP00000002945
ENSP00000406220	ENSTNIP00000010493
ENSP00000365251	ENSTNIP00000000060
ENSP00000435582	ENSTNIP00000011180
ENSP00000353249	ENSTNIP00000012573
ENSP00000360905	ENSTNIP00000018552
ENSP00000353422	ENSTNIP00000001236
ENSP00000379500	ENSTNIP00000013368
ENSP00000355751	ENSTNIP00000019695
ENSP00000222271	ENSTNIP00000012955
ENSP00000339730	ENSTNIP00000017286
ENSP00000383909	ENSTNIP00000001903
ENSP00000319651	ENSTNIP00000005786
ENSP00000371686	ENSTNIP00000018716
ENSP00000227451	ENSTNIP00000008800
ENSP00000257600	ENSTNIP00000007586
ENSP00000447873	ENSTNIP00000018154
ENSP00000316532	ENSTNIP00000013171
ENSP00000431813	ENSTNIP00000012491
ENSP00000160373	ENSTNIP00000019154
ENSP00000271277	ENSTNIP00000009836
ENSP00000271277	ENSTNIP00000006621
ENSP00000346560	ENSTNIP00000013169
ENSP00000303758	ENSTNIP00000020394
ENSP00000238994	ENSTNIP00000005096
ENSP00000238994	ENSTNIP00000021793
ENSP00000308318	ENSTNIP00000021927
ENSP00000360035	ENSTNIP00000000313
ENSP00000284601	ENSTNIP00000011303
ENSP00000284601	ENSTNIP00000002396
ENSP00000336630	ENSTNIP00000014388
ENSP00000336630	ENSTNIP00000008007
ENSP00000356205	ENSTNIP00000010066
ENSP00000356205	ENSTNIP00000018178
ENSP00000276218	ENSTNIP00000001223
ENSP00000391299	ENSTNIP00000011712
ENSP00000342313	ENSTNIP00000018212
ENSP00000440674	ENSTNIP00000010877
ENSP00000440674	ENSTNIP00000008480
ENSP00000411770	ENSTNIP00000020441
ENSP00000214869	ENSTNIP00000008942
ENSP00000214869	ENSTNIP00000017111
ENSP00000359305	ENSTNIP00000008951
ENSP00000356381	ENSTNIP00000005265
ENSP00000369989	ENSTNIP00000018050
ENSP00000233596	ENSTNIP00000005574
ENSP00000368959	ENSTNIP00000022651
ENSP00000254901	ENSTNIP00000013428
ENSP00000438346	ENSTNIP00000004379
ENSP00000362863	ENSTNIP00000006105
ENSP00000358159	ENSTNIP00000007744
ENSP00000295488	ENSTNIP00000008380
ENSP00000435506	ENSTNIP00000016861
ENSP00000317123	ENSTNIP00000006950
ENSP00000253083	ENSTNIP00000018912
ENSP00000253083	ENSTNIP00000000581
ENSP00000267984	ENSTNIP00000009478
ENSP00000263915	ENSTNIP00000019602
ENSP00000381793	ENSTNIP00000022315
ENSP00000381793	ENSTNIP00000012118
ENSP00000403459	ENSTNIP00000014813
ENSP00000343490	ENSTNIP00000011266
ENSP00000343490	ENSTNIP00000004367
ENSP00000369442	ENSTNIP00000004852
ENSP00000257408	ENSTNIP00000017224
ENSP00000264162	ENSTNIP00000001031
ENSP00000240285	ENSTNIP00000011008
ENSP00000365397	ENSTNIP00000015169
ENSP00000358854	ENSTNIP00000015050
ENSP00000262394	ENSTNIP00000007650
ENSP00000319474	ENSTNIP00000018688
ENSP00000387078	ENSTNIP00000012343
ENSP00000344504	ENSTNIP00000015798
ENSP00000372160	ENSTNIP00000011001
ENSP00000263512	ENSTNIP00000003743
ENSP00000245312	ENSTNIP00000020983
ENSP00000273861	ENSTNIP00000020818
ENSP00000313681	ENSTNIP00000020662
ENSP00000313681	ENSTNIP00000014553
ENSP00000245222	ENSTNIP00000010902
ENSP00000216264	ENSTNIP00000013389
ENSP00000216264	ENSTNIP00000011277
ENSP00000347581	ENSTNIP00000011641
ENSP00000404121	ENSTNIP00000011159
ENSP00000262961	ENSTNIP00000018578
ENSP00000265069	ENSTNIP00000022041
ENSP00000264968	ENSTNIP00000016879
ENSP00000354458	ENSTNIP00000010691
ENSP00000360281	ENSTNIP00000010690
ENSP00000322061	ENSTNIP00000001130
ENSP00000263413	ENSTNIP00000004602
ENSP00000309270	ENSTNIP00000005961
ENSP00000309270	ENSTNIP00000012480
ENSP00000362207	ENSTNIP00000008075
ENSP00000362207	ENSTNIP00000011492
ENSP00000344724	ENSTNIP00000009833
ENSP00000344724	ENSTNIP00000008391
ENSP00000219746	ENSTNIP00000007696
ENSP00000441032	ENSTNIP00000007904
ENSP00000311657	ENSTNIP00000005231
ENSP00000346206	ENSTNIP00000004847
ENSP00000440288	ENSTNIP00000022051
ENSP00000351717	ENSTNIP00000011331
ENSP00000301645	ENSTNIP00000021309
ENSP00000244043	ENSTNIP00000017657
ENSP00000259808	ENSTNIP00000006568
ENSP00000220751	ENSTNIP00000010646
ENSP00000332454	ENSTNIP00000011422
ENSP00000306678	ENSTNIP00000010597
ENSP00000229729	ENSTNIP00000006474
ENSP00000336888	ENSTNIP00000001510
ENSP00000359892	ENSTNIP00000002866
ENSP00000359892	ENSTNIP00000000411
ENSP00000262032	ENSTNIP00000018118
ENSP00000262032	ENSTNIP00000003737
ENSP00000413025	ENSTNIP00000006780
ENSP00000344544	ENSTNIP00000017158
ENSP00000473474	ENSTNIP00000004308
ENSP00000297679	ENSTNIP00000017975
ENSP00000343526	ENSTNIP00000021262
ENSP00000303434	ENSTNIP00000020866
ENSP00000346643	ENSTNIP00000016795
ENSP00000292432	ENSTNIP00000010428
ENSP00000223366	ENSTNIP00000019018
ENSP00000340243	ENSTNIP00000006405
ENSP00000342962	ENSTNIP00000022845
ENSP00000319796	ENSTNIP00000021960
ENSP00000420863	ENSTNIP00000018476
ENSP00000320346	ENSTNIP00000022437
ENSP00000320346	ENSTNIP00000013136
ENSP00000379118	ENSTNIP00000011522
ENSP00000361672	ENSTNIP00000005917
ENSP00000361672	ENSTNIP00000012692
ENSP00000363377	ENSTNIP00000001157
ENSP00000366746	ENSTNIP00000021828
ENSP00000413697	ENSTNIP00000015014
ENSP00000413697	ENSTNIP00000002105
ENSP00000330631	ENSTNIP00000019290
ENSP00000330631	ENSTNIP00000019257
ENSP00000335397	ENSTNIP00000016106
ENSP00000335397	ENSTNIP00000015319
ENSP00000340328	ENSTNIP00000014520
ENSP00000312411	ENSTNIP00000010470
ENSP00000417659	ENSTNIP00000010528
ENSP00000417659	ENSTNIP00000018325
ENSP00000477341	ENSTNIP00000013983
ENSP00000378830	ENSTNIP00000021073
ENSP00000378830	ENSTNIP00000017705
ENSP00000338673	ENSTNIP00000011693
ENSP00000376345	ENSTNIP00000006587
ENSP00000378324	ENSTNIP00000011236
ENSP00000414398	ENSTNIP00000009498
ENSP00000307280	ENSTNIP00000001680
ENSP00000307280	ENSTNIP00000011155
ENSP00000229824	ENSTNIP00000017756
ENSP00000365630	ENSTNIP00000008752
ENSP00000262094	ENSTNIP00000013233
ENSP00000379601	ENSTNIP00000012183
ENSP00000330247	ENSTNIP00000011984
ENSP00000376615	ENSTNIP00000019113
ENSP00000261461	ENSTNIP00000013674
ENSP00000164133	ENSTNIP00000016835
ENSP00000417963	ENSTNIP00000016368
ENSP00000412733	ENSTNIP00000002824
ENSP00000296220	ENSTNIP00000011151
ENSP00000263650	ENSTNIP00000013376
ENSP00000378349	ENSTNIP00000000423
ENSP00000328327	ENSTNIP00000009476
ENSP00000218008	ENSTNIP00000018844
ENSP00000250111	ENSTNIP00000014728
ENSP00000250111	ENSTNIP00000007486
ENSP00000356790	ENSTNIP00000016779
ENSP00000356790	ENSTNIP00000017498
ENSP00000473410	ENSTNIP00000018352
ENSP00000396538	ENSTNIP00000012220
ENSP00000396538	ENSTNIP00000015072
ENSP00000379330	ENSTNIP00000021437
ENSP00000388910	ENSTNIP00000006205
ENSP00000377867	ENSTNIP00000014178
ENSP00000325748	ENSTNIP00000010668
ENSP00000361892	ENSTNIP00000007894
ENSP00000429744	ENSTNIP00000012004
ENSP00000320485	ENSTNIP00000008339
ENSP00000320485	ENSTNIP00000012537
ENSP00000263620	ENSTNIP00000009503
ENSP00000263270	ENSTNIP00000010572
ENSP00000379891	ENSTNIP00000017321
ENSP00000413049	ENSTNIP00000015935
ENSP00000354886	ENSTNIP00000013902
ENSP00000326305	ENSTNIP00000017695
ENSP00000397563	ENSTNIP00000018480
ENSP00000257177	ENSTNIP00000005346
ENSP00000263063	ENSTNIP00000011559
ENSP00000373420	ENSTNIP00000016789
ENSP00000325594	ENSTNIP00000011852
ENSP00000410862	ENSTNIP00000017986
ENSP00000410862	ENSTNIP00000022115
ENSP00000344465	ENSTNIP00000007120
ENSP00000266214	ENSTNIP00000018674
ENSP00000340330	ENSTNIP00000014694
ENSP00000259021	ENSTNIP00000014081
ENSP00000380136	ENSTNIP00000019882
ENSP00000406037	ENSTNIP00000014236
ENSP00000337194	ENSTNIP00000016667
ENSP00000356992	ENSTNIP00000022713
ENSP00000264245	ENSTNIP00000012925
ENSP00000266970	ENSTNIP00000021416
ENSP00000316905	ENSTNIP00000011784
ENSP00000224807	ENSTNIP00000011511
ENSP00000358909	ENSTNIP00000006978
ENSP00000266771	ENSTNIP00000016400
ENSP00000340402	ENSTNIP00000011179
ENSP00000365686	ENSTNIP00000004831
ENSP00000365686	ENSTNIP00000016989
ENSP00000417085	ENSTNIP00000018778
ENSP00000356991	ENSTNIP00000006446
ENSP00000356991	ENSTNIP00000003653
ENSP00000418070	ENSTNIP00000019336
ENSP00000418070	ENSTNIP00000014761
ENSP00000264025	ENSTNIP00000019391
ENSP00000264025	ENSTNIP00000012876
ENSP00000359000	ENSTNIP00000006894
ENSP00000245796	ENSTNIP00000011884
ENSP00000274710	ENSTNIP00000007289
ENSP00000020673	ENSTNIP00000016351
ENSP00000020673	ENSTNIP00000014803
ENSP00000292782	ENSTNIP00000010643
ENSP00000319482	ENSTNIP00000015818
ENSP00000334625	ENSTNIP00000020815
ENSP00000317636	ENSTNIP00000014542
ENSP00000269228	ENSTNIP00000017880
ENSP00000265565	ENSTNIP00000006749
ENSP00000361266	ENSTNIP00000001875
ENSP00000350364	ENSTNIP00000013408
ENSP00000270642	ENSTNIP00000015062
ENSP00000264668	ENSTNIP00000010992
ENSP00000337459	ENSTNIP00000002713
ENSP00000419970	ENSTNIP00000006669
ENSP00000355480	ENSTNIP00000020843
ENSP00000282077	ENSTNIP00000020062
ENSP00000333633	ENSTNIP00000022474
ENSP00000349076	ENSTNIP00000006067
ENSP00000417654	ENSTNIP00000014513
ENSP00000247138	ENSTNIP00000005424
ENSP00000322142	ENSTNIP00000020777
ENSP00000380024	ENSTNIP00000010867
ENSP00000364929	ENSTNIP00000016923
ENSP00000362332	ENSTNIP00000007240
ENSP00000368924	ENSTNIP00000008450
ENSP00000201031	ENSTNIP00000006442
ENSP00000008391	ENSTNIP00000006604
ENSP00000267273	ENSTNIP00000016892
ENSP00000406482	ENSTNIP00000014602
ENSP00000406482	ENSTNIP00000008968
ENSP00000290902	ENSTNIP00000010201
ENSP00000316881	ENSTNIP00000018612
ENSP00000323696	ENSTNIP00000020093
ENSP00000236040	ENSTNIP00000010191
ENSP00000379951	ENSTNIP00000010847
ENSP00000384876	ENSTNIP00000003156
ENSP00000384876	ENSTNIP00000016743
ENSP00000302630	ENSTNIP00000014315
ENSP00000261726	ENSTNIP00000014400
ENSP00000417003	ENSTNIP00000008244
ENSP00000270560	ENSTNIP00000015983
ENSP00000305852	ENSTNIP00000005903
ENSP00000433102	ENSTNIP00000012827
ENSP00000433102	ENSTNIP00000019366
ENSP00000373272	ENSTNIP00000012114
ENSP00000256649	ENSTNIP00000018732
ENSP00000381340	ENSTNIP00000011940
ENSP00000393324	ENSTNIP00000015535
ENSP00000393324	ENSTNIP00000010163
ENSP00000318057	ENSTNIP00000013742
ENSP00000239938	ENSTNIP00000002484
ENSP00000177694	ENSTNIP00000013001
ENSP00000374205	ENSTNIP00000019596
ENSP00000321951	ENSTNIP00000018105
ENSP00000321951	ENSTNIP00000017590
ENSP00000314380	ENSTNIP00000002204
ENSP00000221476	ENSTNIP00000009544
ENSP00000221476	ENSTNIP00000022170
ENSP00000357106	ENSTNIP00000005626
ENSP00000384193	ENSTNIP00000022218
ENSP00000384193	ENSTNIP00000012858
ENSP00000222374	ENSTNIP00000007519
ENSP00000307275	ENSTNIP00000020693
ENSP00000355387	ENSTNIP00000016710
ENSP00000355387	ENSTNIP00000021717
ENSP00000316007	ENSTNIP00000016161
ENSP00000324944	ENSTNIP00000012497
ENSP00000245615	ENSTNIP00000003113
ENSP00000261407	ENSTNIP00000010852
ENSP00000406052	ENSTNIP00000013070
ENSP00000346065	ENSTNIP00000022519
ENSP00000384376	ENSTNIP00000002325
ENSP00000255324	ENSTNIP00000018756
ENSP00000414624	ENSTNIP00000014550
ENSP00000325674	ENSTNIP00000008975
ENSP00000452634	ENSTNIP00000001988
ENSP00000369409	ENSTNIP00000003546
ENSP00000284073	ENSTNIP00000014788
ENSP00000233078	ENSTNIP00000013100
ENSP00000257017	ENSTNIP00000013020
ENSP00000358644	ENSTNIP00000018093
ENSP00000383933	ENSTNIP00000001791
ENSP00000295569	ENSTNIP00000014063
ENSP00000418575	ENSTNIP00000015527
ENSP00000369677	ENSTNIP00000013126
ENSP00000369677	ENSTNIP00000002187
ENSP00000335481	ENSTNIP00000018941
ENSP00000318234	ENSTNIP00000010541
ENSP00000345436	ENSTNIP00000017023
ENSP00000345436	ENSTNIP00000007293
ENSP00000361275	ENSTNIP00000018308
ENSP00000441823	ENSTNIP00000002946
ENSP00000251020	ENSTNIP00000006886
ENSP00000333537	ENSTNIP00000010754
ENSP00000333537	ENSTNIP00000015987
ENSP00000375810	ENSTNIP00000022169
ENSP00000399403	ENSTNIP00000009640
ENSP00000320543	ENSTNIP00000003072
ENSP00000302719	ENSTNIP00000012938
ENSP00000302719	ENSTNIP00000005628
ENSP00000285208	ENSTNIP00000018316
ENSP00000410403	ENSTNIP00000019324
ENSP00000465419	ENSTNIP00000016172
ENSP00000281537	ENSTNIP00000012264
ENSP00000281537	ENSTNIP00000003655
ENSP00000355938	ENSTNIP00000005073
ENSP00000371419	ENSTNIP00000004824
ENSP00000398688	ENSTNIP00000018351
ENSP00000424474	ENSTNIP00000003927
ENSP00000226574	ENSTNIP00000005249
ENSP00000358983	ENSTNIP00000016350
ENSP00000221452	ENSTNIP00000010563
ENSP00000295025	ENSTNIP00000020242
ENSP00000329468	ENSTNIP00000005814
ENSP00000353078	ENSTNIP00000022077
ENSP00000338348	ENSTNIP00000005578
ENSP00000341346	ENSTNIP00000002676
ENSP00000207457	ENSTNIP00000022777
ENSP00000379263	ENSTNIP00000017468
ENSP00000356599	ENSTNIP00000018563
ENSP00000350102	ENSTNIP00000016523
ENSP00000378292	ENSTNIP00000001367
ENSP00000078445	ENSTNIP00000013546
ENSP00000078445	ENSTNIP00000018391
ENSP00000342136	ENSTNIP00000019774
ENSP00000434939	ENSTNIP00000006873
ENSP00000273179	ENSTNIP00000010744
ENSP00000273179	ENSTNIP00000015714
ENSP00000411145	ENSTNIP00000013321
ENSP00000283268	ENSTNIP00000017267
ENSP00000342137	ENSTNIP00000008774
ENSP00000337701	ENSTNIP00000019170
ENSP00000378072	ENSTNIP00000018077
ENSP00000370430	ENSTNIP00000017509
ENSP00000265838	ENSTNIP00000005871
ENSP00000356015	ENSTNIP00000015257
ENSP00000295709	ENSTNIP00000014704
