ENSMGAP00000004951	ENSACAP00000005936
ENSMGAP00000001450	ENSACAP00000004798
ENSMGAP00000005019	ENSACAP00000001088
ENSMGAP00000000922	ENSACAP00000015698
ENSMGAP00000014622	ENSACAP00000004467
ENSMGAP00000017433	ENSACAP00000005873
ENSMGAP00000003400	ENSACAP00000001835
ENSMGAP00000018942	ENSACAP00000014840
ENSMGAP00000004974	ENSACAP00000008406
ENSMGAP00000000263	ENSACAP00000012838
ENSMGAP00000004440	ENSACAP00000009680
ENSMGAP00000011375	ENSACAP00000018412
ENSMGAP00000018280	ENSACAP00000020838
ENSMGAP00000015477	ENSACAP00000017650
ENSMGAP00000009720	ENSACAP00000008106
ENSMGAP00000015641	ENSACAP00000012446
ENSMGAP00000012633	ENSACAP00000006460
ENSMGAP00000004973	ENSACAP00000003419
ENSMGAP00000015643	ENSACAP00000012467
ENSMGAP00000012790	ENSACAP00000015858
ENSMGAP00000014176	ENSACAP00000000029
ENSMGAP00000003923	ENSACAP00000013670
ENSMGAP00000005521	ENSACAP00000001119
ENSMGAP00000014885	ENSACAP00000000552
ENSMGAP00000013787	ENSACAP00000015929
ENSMGAP00000010708	ENSACAP00000007492
ENSMGAP00000005425	ENSACAP00000000777
ENSMGAP00000013930	ENSACAP00000012669
ENSMGAP00000006584	ENSACAP00000011796
ENSMGAP00000010970	ENSACAP00000016817
ENSMGAP00000017297	ENSACAP00000006086
ENSMGAP00000013514	ENSACAP00000016842
ENSMGAP00000002404	ENSACAP00000001864
ENSMGAP00000006458	ENSACAP00000002959
ENSMGAP00000002526	ENSACAP00000022391
ENSMGAP00000010640	ENSACAP00000000477
ENSMGAP00000010940	ENSACAP00000013286
ENSMGAP00000009863	ENSACAP00000011970
ENSMGAP00000015359	ENSACAP00000001909
ENSMGAP00000014406	ENSACAP00000014097
ENSMGAP00000007874	ENSACAP00000005123
ENSMGAP00000014447	ENSACAP00000016998
ENSMGAP00000009216	ENSACAP00000000083
ENSMGAP00000006576	ENSACAP00000004428
ENSMGAP00000002105	ENSACAP00000002974
ENSMGAP00000000989	ENSACAP00000013481
ENSMGAP00000001972	ENSACAP00000008599
ENSMGAP00000014828	ENSACAP00000000242
ENSMGAP00000012273	ENSACAP00000013864
ENSMGAP00000002149	ENSACAP00000022297
ENSMGAP00000006010	ENSACAP00000015728
ENSMGAP00000008809	ENSACAP00000011579
ENSMGAP00000011192	ENSACAP00000007355
ENSMGAP00000007478	ENSACAP00000018297
ENSMGAP00000000881	ENSACAP00000015927
ENSMGAP00000017442	ENSACAP00000008830
ENSMGAP00000000569	ENSACAP00000017368
ENSMGAP00000011996	ENSACAP00000014517
ENSMGAP00000007423	ENSACAP00000016774
ENSMGAP00000015017	ENSACAP00000007485
ENSMGAP00000009294	ENSACAP00000006473
ENSMGAP00000009228	ENSACAP00000006842
ENSMGAP00000014950	ENSACAP00000021579
ENSMGAP00000001910	ENSACAP00000003327
ENSMGAP00000004502	ENSACAP00000013174
ENSMGAP00000009429	ENSACAP00000000079
ENSMGAP00000014704	ENSACAP00000009131
ENSMGAP00000001781	ENSACAP00000015338
ENSMGAP00000001755	ENSACAP00000007490
ENSMGAP00000000418	ENSACAP00000010928
ENSMGAP00000001603	ENSACAP00000015916
ENSMGAP00000007539	ENSACAP00000010696
ENSMGAP00000007950	ENSACAP00000016713
ENSMGAP00000011139	ENSACAP00000005094
ENSMGAP00000017915	ENSACAP00000016443
ENSMGAP00000011894	ENSACAP00000012452
ENSMGAP00000003014	ENSACAP00000001895
ENSMGAP00000015236	ENSACAP00000014884
ENSMGAP00000007537	ENSACAP00000004742
ENSMGAP00000010071	ENSACAP00000005904
ENSMGAP00000009399	ENSACAP00000012803
ENSMGAP00000007518	ENSACAP00000009961
ENSMGAP00000014040	ENSACAP00000013070
ENSMGAP00000010374	ENSACAP00000014146
ENSMGAP00000001944	ENSACAP00000011702
ENSMGAP00000002878	ENSACAP00000015780
ENSMGAP00000000231	ENSACAP00000002299
ENSMGAP00000004553	ENSACAP00000017514
ENSMGAP00000005399	ENSACAP00000006047
ENSMGAP00000013813	ENSACAP00000009598
ENSMGAP00000001795	ENSACAP00000003471
ENSMGAP00000012130	ENSACAP00000007070
ENSMGAP00000007701	ENSACAP00000005752
ENSMGAP00000005494	ENSACAP00000019189
ENSMGAP00000000432	ENSACAP00000009600
ENSMGAP00000006701	ENSACAP00000018998
ENSMGAP00000010996	ENSACAP00000011711
ENSMGAP00000004769	ENSACAP00000017664
ENSMGAP00000008135	ENSACAP00000002249
ENSMGAP00000007577	ENSACAP00000000195
ENSMGAP00000011438	ENSACAP00000010451
ENSMGAP00000007028	ENSACAP00000011342
ENSMGAP00000010974	ENSACAP00000014285
ENSMGAP00000013515	ENSACAP00000014668
ENSMGAP00000003870	ENSACAP00000011031
ENSMGAP00000000964	ENSACAP00000015061
ENSMGAP00000006152	ENSACAP00000011989
ENSMGAP00000006673	ENSACAP00000006661
ENSMGAP00000019154	ENSACAP00000010344
ENSMGAP00000018976	ENSACAP00000008723
ENSMGAP00000002706	ENSACAP00000012354
ENSMGAP00000005664	ENSACAP00000008800
ENSMGAP00000008306	ENSACAP00000000609
ENSMGAP00000008756	ENSACAP00000015558
ENSMGAP00000005181	ENSACAP00000014183
ENSMGAP00000012044	ENSACAP00000013350
ENSMGAP00000007164	ENSACAP00000005792
ENSMGAP00000015568	ENSACAP00000010506
ENSMGAP00000001772	ENSACAP00000009513
ENSMGAP00000005589	ENSACAP00000002901
ENSMGAP00000007854	ENSACAP00000013575
ENSMGAP00000006564	ENSACAP00000012544
ENSMGAP00000014728	ENSACAP00000015144
ENSMGAP00000000062	ENSACAP00000020331
ENSMGAP00000013566	ENSACAP00000022081
ENSMGAP00000014847	ENSACAP00000007051
ENSMGAP00000008226	ENSACAP00000019114
ENSMGAP00000010913	ENSACAP00000015012
ENSMGAP00000001752	ENSACAP00000009498
ENSMGAP00000008466	ENSACAP00000001475
ENSMGAP00000001356	ENSACAP00000003976
ENSMGAP00000014625	ENSACAP00000004307
ENSMGAP00000013090	ENSACAP00000008062
ENSMGAP00000001838	ENSACAP00000013423
ENSMGAP00000010300	ENSACAP00000001594
ENSMGAP00000003617	ENSACAP00000010217
ENSMGAP00000003530	ENSACAP00000004865
ENSMGAP00000009825	ENSACAP00000003655
ENSMGAP00000000737	ENSACAP00000011875
ENSMGAP00000009657	ENSACAP00000004311
ENSMGAP00000000491	ENSACAP00000015880
ENSMGAP00000001010	ENSACAP00000008565
ENSMGAP00000011815	ENSACAP00000002928
ENSMGAP00000011218	ENSACAP00000000868
ENSMGAP00000012705	ENSACAP00000009221
ENSMGAP00000007078	ENSACAP00000016880
ENSMGAP00000017509	ENSACAP00000005302
ENSMGAP00000013574	ENSACAP00000001932
ENSMGAP00000001590	ENSACAP00000002551
ENSMGAP00000000718	ENSACAP00000007917
ENSMGAP00000000730	ENSACAP00000007896
ENSMGAP00000012182	ENSACAP00000004457
ENSMGAP00000002485	ENSACAP00000015885
ENSMGAP00000018544	ENSACAP00000002426
ENSMGAP00000015716	ENSACAP00000002385
ENSMGAP00000003367	ENSACAP00000017474
ENSMGAP00000009944	ENSACAP00000005740
ENSMGAP00000003349	ENSACAP00000000523
ENSMGAP00000009979	ENSACAP00000005682
ENSMGAP00000015126	ENSACAP00000003383
ENSMGAP00000001319	ENSACAP00000009862
ENSMGAP00000016886	ENSACAP00000016069
ENSMGAP00000009563	ENSACAP00000001093
ENSMGAP00000002250	ENSACAP00000017526
ENSMGAP00000013153	ENSACAP00000010676
ENSMGAP00000007392	ENSACAP00000015435
ENSMGAP00000006485	ENSACAP00000014650
ENSMGAP00000005750	ENSACAP00000014665
ENSMGAP00000003262	ENSACAP00000000942
ENSMGAP00000003178	ENSACAP00000009731
ENSMGAP00000010564	ENSACAP00000018182
ENSMGAP00000011128	ENSACAP00000014024
ENSMGAP00000007926	ENSACAP00000013525
ENSMGAP00000006160	ENSACAP00000001427
ENSMGAP00000014264	ENSACAP00000015468
ENSMGAP00000010923	ENSACAP00000004783
ENSMGAP00000010925	ENSACAP00000008216
ENSMGAP00000010926	ENSACAP00000004784
ENSMGAP00000014141	ENSACAP00000013542
ENSMGAP00000012934	ENSACAP00000009388
ENSMGAP00000009394	ENSACAP00000001385
ENSMGAP00000008318	ENSACAP00000018145
ENSMGAP00000009205	ENSACAP00000012872
ENSMGAP00000010936	ENSACAP00000016705
ENSMGAP00000011774	ENSACAP00000012594
ENSMGAP00000006503	ENSACAP00000016101
ENSMGAP00000008212	ENSACAP00000003008
ENSMGAP00000006256	ENSACAP00000002577
ENSMGAP00000009009	ENSACAP00000012146
ENSMGAP00000011385	ENSACAP00000009720
ENSMGAP00000003590	ENSACAP00000005943
ENSMGAP00000004457	ENSACAP00000000973
ENSMGAP00000008988	ENSACAP00000013030
ENSMGAP00000008872	ENSACAP00000001579
ENSMGAP00000010443	ENSACAP00000012461
ENSMGAP00000014048	ENSACAP00000022538
ENSMGAP00000008543	ENSACAP00000005645
ENSMGAP00000012880	ENSACAP00000015655
ENSMGAP00000004391	ENSACAP00000001953
ENSMGAP00000014779	ENSACAP00000005411
ENSMGAP00000001404	ENSACAP00000000088
ENSMGAP00000001360	ENSACAP00000013225
ENSMGAP00000006544	ENSACAP00000006078
ENSMGAP00000014780	ENSACAP00000005523
ENSMGAP00000004289	ENSACAP00000011534
ENSMGAP00000018702	ENSACAP00000003200
ENSMGAP00000008743	ENSACAP00000009074
ENSMGAP00000010280	ENSACAP00000012719
ENSMGAP00000011153	ENSACAP00000001753
ENSMGAP00000008868	ENSACAP00000001589
ENSMGAP00000016657	ENSACAP00000019903
ENSMGAP00000006427	ENSACAP00000009777
ENSMGAP00000016637	ENSACAP00000012169
ENSMGAP00000003533	ENSACAP00000006466
ENSMGAP00000009178	ENSACAP00000008206
ENSMGAP00000009175	ENSACAP00000004741
ENSMGAP00000005907	ENSACAP00000015089
ENSMGAP00000013873	ENSACAP00000013366
ENSMGAP00000010650	ENSACAP00000014628
ENSMGAP00000010259	ENSACAP00000022504
ENSMGAP00000007940	ENSACAP00000000607
ENSMGAP00000000892	ENSACAP00000008532
ENSMGAP00000000865	ENSACAP00000019778
ENSMGAP00000005766	ENSACAP00000008554
ENSMGAP00000009232	ENSACAP00000006509
ENSMGAP00000010471	ENSACAP00000004623
ENSMGAP00000009367	ENSACAP00000000901
ENSMGAP00000009748	ENSACAP00000003028
ENSMGAP00000006262	ENSACAP00000002875
ENSMGAP00000014629	ENSACAP00000004244
ENSMGAP00000013528	ENSACAP00000010760
ENSMGAP00000006394	ENSACAP00000005855
ENSMGAP00000007961	ENSACAP00000022123
ENSMGAP00000001311	ENSACAP00000014691
ENSMGAP00000002246	ENSACAP00000022035
ENSMGAP00000008585	ENSACAP00000008887
ENSMGAP00000014342	ENSACAP00000006450
ENSMGAP00000009243	ENSACAP00000009858
ENSMGAP00000011687	ENSACAP00000008000
ENSMGAP00000003888	ENSACAP00000005594
ENSMGAP00000011431	ENSACAP00000022398
ENSMGAP00000005911	ENSACAP00000008947
ENSMGAP00000018438	ENSACAP00000000177
ENSMGAP00000009521	ENSACAP00000002350
ENSMGAP00000014536	ENSACAP00000014072
ENSMGAP00000017551	ENSACAP00000011900
ENSMGAP00000003873	ENSACAP00000020690
ENSMGAP00000013170	ENSACAP00000001779
ENSMGAP00000014778	ENSACAP00000005299
ENSMGAP00000011272	ENSACAP00000012130
ENSMGAP00000001815	ENSACAP00000008363
ENSMGAP00000008157	ENSACAP00000003188
ENSMGAP00000013247	ENSACAP00000009106
ENSMGAP00000014108	ENSACAP00000014036
ENSMGAP00000000499	ENSACAP00000007060
ENSMGAP00000001575	ENSACAP00000017578
ENSMGAP00000015092	ENSACAP00000012829
ENSMGAP00000015391	ENSACAP00000005032
ENSMGAP00000007468	ENSACAP00000005870
ENSMGAP00000007440	ENSACAP00000005546
ENSMGAP00000007893	ENSACAP00000017072
ENSMGAP00000003355	ENSACAP00000012489
ENSMGAP00000016365	ENSACAP00000020615
ENSMGAP00000016855	ENSACAP00000000594
ENSMGAP00000011869	ENSACAP00000000809
ENSMGAP00000004109	ENSACAP00000004810
ENSMGAP00000004197	ENSACAP00000004629
ENSMGAP00000007245	ENSACAP00000000226
ENSMGAP00000008731	ENSACAP00000007738
ENSMGAP00000000086	ENSACAP00000013047
ENSMGAP00000002593	ENSACAP00000020901
ENSMGAP00000014707	ENSACAP00000002156
ENSMGAP00000001163	ENSACAP00000006137
ENSMGAP00000001348	ENSACAP00000017488
ENSMGAP00000011290	ENSACAP00000006741
ENSMGAP00000005748	ENSACAP00000000905
ENSMGAP00000007519	ENSACAP00000021463
ENSMGAP00000011156	ENSACAP00000009209
ENSMGAP00000013568	ENSACAP00000015115
ENSMGAP00000014124	ENSACAP00000013959
ENSMGAP00000004554	ENSACAP00000012315
ENSMGAP00000008420	ENSACAP00000021250
ENSMGAP00000000085	ENSACAP00000016828
ENSMGAP00000004074	ENSACAP00000001504
ENSMGAP00000000745	ENSACAP00000012882
ENSMGAP00000018204	ENSACAP00000016001
ENSMGAP00000015021	ENSACAP00000000861
ENSMGAP00000006573	ENSACAP00000006310
ENSMGAP00000006764	ENSACAP00000013784
ENSMGAP00000006790	ENSACAP00000001714
ENSMGAP00000002328	ENSACAP00000005065
ENSMGAP00000008286	ENSACAP00000000988
ENSMGAP00000015441	ENSACAP00000002892
ENSMGAP00000011947	ENSACAP00000014900
ENSMGAP00000011837	ENSACAP00000014551
ENSMGAP00000011911	ENSACAP00000014705
ENSMGAP00000000762	ENSACAP00000002010
ENSMGAP00000010097	ENSACAP00000002775
ENSMGAP00000008714	ENSACAP00000007811
ENSMGAP00000014425	ENSACAP00000014205
ENSMGAP00000000509	ENSACAP00000003957
ENSMGAP00000010586	ENSACAP00000003452
ENSMGAP00000008852	ENSACAP00000022607
ENSMGAP00000001395	ENSACAP00000007418
ENSMGAP00000005769	ENSACAP00000009843
ENSMGAP00000008040	ENSACAP00000010717
ENSMGAP00000008876	ENSACAP00000023161
ENSMGAP00000003422	ENSACAP00000007133
ENSMGAP00000015273	ENSACAP00000009262
ENSMGAP00000003689	ENSACAP00000007166
ENSMGAP00000011606	ENSACAP00000014451
ENSMGAP00000011689	ENSACAP00000011447
ENSMGAP00000014117	ENSACAP00000012845
ENSMGAP00000015781	ENSACAP00000003423
ENSMGAP00000009299	ENSACAP00000014516
ENSMGAP00000015109	ENSACAP00000013145
ENSMGAP00000003710	ENSACAP00000016589
ENSMGAP00000011655	ENSACAP00000016612
ENSMGAP00000008858	ENSACAP00000000766
ENSMGAP00000014047	ENSACAP00000001550
ENSMGAP00000011625	ENSACAP00000005884
ENSMGAP00000000744	ENSACAP00000016217
ENSMGAP00000005385	ENSACAP00000001002
ENSMGAP00000004123	ENSACAP00000013260
ENSMGAP00000006694	ENSACAP00000010212
ENSMGAP00000012758	ENSACAP00000011210
ENSMGAP00000002056	ENSACAP00000012546
ENSMGAP00000016378	ENSACAP00000005192
ENSMGAP00000013338	ENSACAP00000016014
ENSMGAP00000007499	ENSACAP00000000189
ENSMGAP00000007180	ENSACAP00000007863
ENSMGAP00000014767	ENSACAP00000005144
ENSMGAP00000004080	ENSACAP00000013190
ENSMGAP00000000265	ENSACAP00000009646
ENSMGAP00000014427	ENSACAP00000015982
ENSMGAP00000006889	ENSACAP00000003038
ENSMGAP00000002312	ENSACAP00000017531
ENSMGAP00000013161	ENSACAP00000008252
ENSMGAP00000015001	ENSACAP00000010036
ENSMGAP00000010402	ENSACAP00000016064
ENSMGAP00000010056	ENSACAP00000014392
ENSMGAP00000009371	ENSACAP00000022803
ENSMGAP00000001518	ENSACAP00000003080
ENSMGAP00000003946	ENSACAP00000002627
ENSMGAP00000007704	ENSACAP00000001514
ENSMGAP00000007770	ENSACAP00000005355
ENSMGAP00000000859	ENSACAP00000013258
ENSMGAP00000011580	ENSACAP00000012231
ENSMGAP00000002371	ENSACAP00000012123
ENSMGAP00000016876	ENSACAP00000008258
ENSMGAP00000005211	ENSACAP00000010223
ENSMGAP00000002247	ENSACAP00000011216
ENSMGAP00000014035	ENSACAP00000011928
ENSMGAP00000008702	ENSACAP00000006406
ENSMGAP00000005660	ENSACAP00000011920
ENSMGAP00000008955	ENSACAP00000011449
ENSMGAP00000006471	ENSACAP00000000792
ENSMGAP00000003984	ENSACAP00000019131
ENSMGAP00000012377	ENSACAP00000010667
ENSMGAP00000014886	ENSACAP00000008195
ENSMGAP00000011317	ENSACAP00000021848
ENSMGAP00000007542	ENSACAP00000000060
ENSMGAP00000007616	ENSACAP00000000062
ENSMGAP00000014484	ENSACAP00000016848
ENSMGAP00000012872	ENSACAP00000002993
ENSMGAP00000004677	ENSACAP00000014378
ENSMGAP00000003309	ENSACAP00000016349
ENSMGAP00000005030	ENSACAP00000002280
ENSMGAP00000011808	ENSACAP00000008704
ENSMGAP00000017043	ENSACAP00000002301
ENSMGAP00000019018	ENSACAP00000002289
ENSMGAP00000003362	ENSACAP00000000982
ENSMGAP00000010091	ENSACAP00000006631
ENSMGAP00000005287	ENSACAP00000004423
ENSMGAP00000012887	ENSACAP00000009525
ENSMGAP00000002106	ENSACAP00000014149
ENSMGAP00000006474	ENSACAP00000017519
ENSMGAP00000004874	ENSACAP00000013251
ENSMGAP00000019025	ENSACAP00000018385
ENSMGAP00000001538	ENSACAP00000003635
ENSMGAP00000011398	ENSACAP00000006532
ENSMGAP00000001897	ENSACAP00000015536
ENSMGAP00000009060	ENSACAP00000007357
ENSMGAP00000004606	ENSACAP00000017648
ENSMGAP00000000642	ENSACAP00000016710
ENSMGAP00000012789	ENSACAP00000022499
ENSMGAP00000000728	ENSACAP00000006787
ENSMGAP00000009313	ENSACAP00000003450
ENSMGAP00000008536	ENSACAP00000017120
ENSMGAP00000007353	ENSACAP00000000624
ENSMGAP00000003187	ENSACAP00000000588
ENSMGAP00000016272	ENSACAP00000007712
ENSMGAP00000009488	ENSACAP00000002813
ENSMGAP00000005069	ENSACAP00000003779
ENSMGAP00000009336	ENSACAP00000006838
ENSMGAP00000008115	ENSACAP00000003121
ENSMGAP00000004377	ENSACAP00000006004
ENSMGAP00000005020	ENSACAP00000004681
ENSMGAP00000016743	ENSACAP00000008548
ENSMGAP00000011387	ENSACAP00000007583
ENSMGAP00000010642	ENSACAP00000019498
ENSMGAP00000003290	ENSACAP00000008475
ENSMGAP00000010616	ENSACAP00000015588
ENSMGAP00000014760	ENSACAP00000017189
ENSMGAP00000000456	ENSACAP00000004772
ENSMGAP00000013176	ENSACAP00000008306
ENSMGAP00000014789	ENSACAP00000016647
ENSMGAP00000018162	ENSACAP00000015123
ENSMGAP00000009145	ENSACAP00000007875
ENSMGAP00000008195	ENSACAP00000005587
ENSMGAP00000008829	ENSACAP00000003316
ENSMGAP00000004589	ENSACAP00000017342
ENSMGAP00000013287	ENSACAP00000006756
ENSMGAP00000016002	ENSACAP00000005040
ENSMGAP00000004273	ENSACAP00000011813
ENSMGAP00000006825	ENSACAP00000007413
ENSMGAP00000010088	ENSACAP00000007085
ENSMGAP00000013864	ENSACAP00000011502
ENSMGAP00000003424	ENSACAP00000010004
ENSMGAP00000014323	ENSACAP00000010045
ENSMGAP00000008303	ENSACAP00000020018
ENSMGAP00000015086	ENSACAP00000011328
ENSMGAP00000001419	ENSACAP00000000445
ENSMGAP00000003442	ENSACAP00000015725
ENSMGAP00000001207	ENSACAP00000015191
ENSMGAP00000017075	ENSACAP00000011167
ENSMGAP00000004136	ENSACAP00000008017
ENSMGAP00000019054	ENSACAP00000008008
ENSMGAP00000009053	ENSACAP00000004399
ENSMGAP00000011324	ENSACAP00000000803
ENSMGAP00000019123	ENSACAP00000008345
ENSMGAP00000015982	ENSACAP00000004184
ENSMGAP00000012956	ENSACAP00000007474
ENSMGAP00000013146	ENSACAP00000001458
ENSMGAP00000012051	ENSACAP00000014103
ENSMGAP00000005889	ENSACAP00000014765
ENSMGAP00000011490	ENSACAP00000017720
ENSMGAP00000010883	ENSACAP00000004657
ENSMGAP00000008681	ENSACAP00000008815
ENSMGAP00000005466	ENSACAP00000016406
ENSMGAP00000013654	ENSACAP00000010376
ENSMGAP00000012674	ENSACAP00000001164
ENSMGAP00000010880	ENSACAP00000009122
ENSMGAP00000003801	ENSACAP00000005810
ENSMGAP00000008615	ENSACAP00000011557
ENSMGAP00000009543	ENSACAP00000015652
ENSMGAP00000002974	ENSACAP00000013834
ENSMGAP00000012582	ENSACAP00000006227
ENSMGAP00000009859	ENSACAP00000008138
ENSMGAP00000018681	ENSACAP00000004083
ENSMGAP00000013979	ENSACAP00000011214
ENSMGAP00000008333	ENSACAP00000011080
ENSMGAP00000012517	ENSACAP00000011160
ENSMGAP00000001548	ENSACAP00000005916
ENSMGAP00000010456	ENSACAP00000016208
ENSMGAP00000015665	ENSACAP00000012562
ENSMGAP00000007322	ENSACAP00000015914
ENSMGAP00000002696	ENSACAP00000002378
ENSMGAP00000001583	ENSACAP00000004847
ENSMGAP00000011636	ENSACAP00000010954
ENSMGAP00000012013	ENSACAP00000006737
ENSMGAP00000012026	ENSACAP00000006791
ENSMGAP00000005302	ENSACAP00000010102
ENSMGAP00000010401	ENSACAP00000019044
ENSMGAP00000016750	ENSACAP00000014348
ENSMGAP00000004470	ENSACAP00000017517
ENSMGAP00000017241	ENSACAP00000009392
ENSMGAP00000010142	ENSACAP00000007409
ENSMGAP00000011560	ENSACAP00000005518
ENSMGAP00000002069	ENSACAP00000008283
ENSMGAP00000004515	ENSACAP00000012104
ENSMGAP00000015154	ENSACAP00000009797
ENSMGAP00000001088	ENSACAP00000020911
ENSMGAP00000017435	ENSACAP00000001116
ENSMGAP00000018236	ENSACAP00000006511
ENSMGAP00000003283	ENSACAP00000015474
ENSMGAP00000015103	ENSACAP00000012914
ENSMGAP00000011665	ENSACAP00000016554
ENSMGAP00000011513	ENSACAP00000005262
ENSMGAP00000016934	ENSACAP00000006654
ENSMGAP00000018477	ENSACAP00000017421
ENSMGAP00000012426	ENSACAP00000010082
ENSMGAP00000015431	ENSACAP00000005303
ENSMGAP00000007852	ENSACAP00000008303
ENSMGAP00000007586	ENSACAP00000004789
ENSMGAP00000012793	ENSACAP00000011008
ENSMGAP00000010423	ENSACAP00000005226
ENSMGAP00000006493	ENSACAP00000008088
ENSMGAP00000002459	ENSACAP00000003237
ENSMGAP00000012144	ENSACAP00000017194
ENSMGAP00000007000	ENSACAP00000002437
ENSMGAP00000005320	ENSACAP00000015545
ENSMGAP00000012292	ENSACAP00000007692
ENSMGAP00000003179	ENSACAP00000002841
ENSMGAP00000016183	ENSACAP00000012202
ENSMGAP00000005890	ENSACAP00000002560
ENSMGAP00000016019	ENSACAP00000003050
ENSMGAP00000012498	ENSACAP00000005799
ENSMGAP00000011284	ENSACAP00000005716
ENSMGAP00000004359	ENSACAP00000006764
ENSMGAP00000014741	ENSACAP00000008668
ENSMGAP00000010368	ENSACAP00000016136
ENSMGAP00000011345	ENSACAP00000007832
ENSMGAP00000017391	ENSACAP00000010706
ENSMGAP00000005791	ENSACAP00000008342
ENSMGAP00000000187	ENSACAP00000000292
ENSMGAP00000003686	ENSACAP00000016592
ENSMGAP00000014073	ENSACAP00000001387
ENSMGAP00000010967	ENSACAP00000004700
ENSMGAP00000003799	ENSACAP00000016253
ENSMGAP00000004977	ENSACAP00000010516
ENSMGAP00000006067	ENSACAP00000002693
ENSMGAP00000001692	ENSACAP00000005027
ENSMGAP00000006182	ENSACAP00000006327
ENSMGAP00000019133	ENSACAP00000015074
ENSMGAP00000016530	ENSACAP00000016353
ENSMGAP00000001734	ENSACAP00000014973
ENSMGAP00000007819	ENSACAP00000005221
ENSMGAP00000008651	ENSACAP00000017129
ENSMGAP00000004409	ENSACAP00000021532
ENSMGAP00000013445	ENSACAP00000019924
ENSMGAP00000019781	ENSACAP00000021507
ENSMGAP00000016437	ENSACAP00000018980
ENSMGAP00000017228	ENSACAP00000007124
ENSMGAP00000016406	ENSACAP00000017651
ENSMGAP00000017742	ENSACAP00000004689
ENSMGAP00000000443	ENSACAP00000001435
ENSMGAP00000007199	ENSACAP00000010853
ENSMGAP00000010914	ENSACAP00000020401
ENSMGAP00000005390	ENSACAP00000006453
ENSMGAP00000008577	ENSACAP00000012667
ENSMGAP00000009032	ENSACAP00000020519
ENSMGAP00000003987	ENSACAP00000013054
ENSMGAP00000008400	ENSACAP00000012381
ENSMGAP00000012893	ENSACAP00000017326
ENSMGAP00000002200	ENSACAP00000004402
ENSMGAP00000008339	ENSACAP00000016922
ENSMGAP00000009787	ENSACAP00000006419
ENSMGAP00000012996	ENSACAP00000007282
ENSMGAP00000015712	ENSACAP00000010275
ENSMGAP00000005690	ENSACAP00000003460
ENSMGAP00000004158	ENSACAP00000020676
ENSMGAP00000003532	ENSACAP00000005918
ENSMGAP00000005084	ENSACAP00000013459
ENSMGAP00000002285	ENSACAP00000008890
ENSMGAP00000003792	ENSACAP00000010473
ENSMGAP00000002363	ENSACAP00000005023
ENSMGAP00000002136	ENSACAP00000016397
ENSMGAP00000005995	ENSACAP00000006753
ENSMGAP00000004414	ENSACAP00000001891
ENSMGAP00000001423	ENSACAP00000002637
ENSMGAP00000010866	ENSACAP00000004576
ENSMGAP00000000315	ENSACAP00000006956
ENSMGAP00000013737	ENSACAP00000016035
