ENSDARP00000074624	ENSMUSP00000034074
ENSDARP00000105365	ENSMUSP00000121309
ENSDARP00000091908	ENSMUSP00000027226
ENSDARP00000014920	ENSMUSP00000095025
ENSDARP00000106281	ENSMUSP00000081455
ENSDARP00000108347	ENSMUSP00000081455
ENSDARP00000088385	ENSMUSP00000006424
ENSDARP00000120338	ENSMUSP00000003438
ENSDARP00000064175	ENSMUSP00000030477
ENSDARP00000006800	ENSMUSP00000020692
ENSDARP00000050948	ENSMUSP00000110074
ENSDARP00000074998	ENSMUSP00000076887
ENSDARP00000078459	ENSMUSP00000124473
ENSDARP00000078354	ENSMUSP00000037576
ENSDARP00000089497	ENSMUSP00000050730
ENSDARP00000045678	ENSMUSP00000124131
ENSDARP00000109120	ENSMUSP00000124131
ENSDARP00000073505	ENSMUSP00000044231
ENSDARP00000122069	ENSMUSP00000023486
ENSDARP00000128113	ENSMUSP00000031691
ENSDARP00000068002	ENSMUSP00000031690
ENSDARP00000114765	ENSMUSP00000042667
ENSDARP00000128272	ENSMUSP00000032376
ENSDARP00000102221	ENSMUSP00000127892
ENSDARP00000059513	ENSMUSP00000104878
ENSDARP00000067176	ENSMUSP00000104878
ENSDARP00000108227	ENSMUSP00000030376
ENSDARP00000026364	ENSMUSP00000053270
ENSDARP00000123087	ENSMUSP00000045973
ENSDARP00000028379	ENSMUSP00000059026
ENSDARP00000075251	ENSMUSP00000125871
ENSDARP00000071623	ENSMUSP00000125871
ENSDARP00000114103	ENSMUSP00000022217
ENSDARP00000069214	ENSMUSP00000021714
ENSDARP00000077905	ENSMUSP00000036721
ENSDARP00000079578	ENSMUSP00000102813
ENSDARP00000034827	ENSMUSP00000106963
ENSDARP00000118891	ENSMUSP00000085872
ENSDARP00000103999	ENSMUSP00000085872
ENSDARP00000106287	ENSMUSP00000021467
ENSDARP00000112109	ENSMUSP00000113851
ENSDARP00000126959	ENSMUSP00000041173
ENSDARP00000045035	ENSMUSP00000032815
ENSDARP00000089603	ENSMUSP00000024742
ENSDARP00000077021	ENSMUSP00000021004
ENSDARP00000083042	ENSMUSP00000111151
ENSDARP00000104940	ENSMUSP00000105350
ENSDARP00000067932	ENSMUSP00000037324
ENSDARP00000061163	ENSMUSP00000041294
ENSDARP00000061134	ENSMUSP00000020008
ENSDARP00000076249	ENSMUSP00000007257
ENSDARP00000119520	ENSMUSP00000109904
ENSDARP00000040307	ENSMUSP00000099947
ENSDARP00000117905	ENSMUSP00000126340
ENSDARP00000006334	ENSMUSP00000122855
ENSDARP00000109638	ENSMUSP00000122855
ENSDARP00000114769	ENSMUSP00000137256
ENSDARP00000037689	ENSMUSP00000006703
ENSDARP00000001039	ENSMUSP00000090277
ENSDARP00000095486	ENSMUSP00000058730
ENSDARP00000080646	ENSMUSP00000058730
ENSDARP00000127303	ENSMUSP00000104311
ENSDARP00000122795	ENSMUSP00000104311
ENSDARP00000098618	ENSMUSP00000031750
ENSDARP00000098684	ENSMUSP00000066894
ENSDARP00000111989	ENSMUSP00000030898
ENSDARP00000097773	ENSMUSP00000073246
ENSDARP00000126208	ENSMUSP00000062239
ENSDARP00000101821	ENSMUSP00000124470
ENSDARP00000111119	ENSMUSP00000101903
ENSDARP00000121795	ENSMUSP00000071859
ENSDARP00000068089	ENSMUSP00000132687
ENSDARP00000094167	ENSMUSP00000024832
ENSDARP00000024335	ENSMUSP00000070868
ENSDARP00000090686	ENSMUSP00000070868
ENSDARP00000069315	ENSMUSP00000026172
ENSDARP00000097889	ENSMUSP00000025718
ENSDARP00000098001	ENSMUSP00000025718
ENSDARP00000120365	ENSMUSP00000085683
ENSDARP00000082784	ENSMUSP00000042271
ENSDARP00000067629	ENSMUSP00000030212
ENSDARP00000085044	ENSMUSP00000030212
ENSDARP00000018632	ENSMUSP00000129800
ENSDARP00000045932	ENSMUSP00000129800
ENSDARP00000051402	ENSMUSP00000028214
ENSDARP00000114502	ENSMUSP00000028214
ENSDARP00000095328	ENSMUSP00000034600
ENSDARP00000032601	ENSMUSP00000034600
ENSDARP00000092425	ENSMUSP00000107062
ENSDARP00000101478	ENSMUSP00000066701
ENSDARP00000092068	ENSMUSP00000126826
ENSDARP00000084700	ENSMUSP00000062507
ENSDARP00000079303	ENSMUSP00000062507
ENSDARP00000103451	ENSMUSP00000110311
ENSDARP00000128595	ENSMUSP00000061470
ENSDARP00000109667	ENSMUSP00000046368
ENSDARP00000094710	ENSMUSP00000128922
ENSDARP00000117556	ENSMUSP00000095845
ENSDARP00000095187	ENSMUSP00000054545
ENSDARP00000026805	ENSMUSP00000054545
ENSDARP00000069597	ENSMUSP00000019920
ENSDARP00000091828	ENSMUSP00000025208
ENSDARP00000073439	ENSMUSP00000048350
ENSDARP00000106240	ENSMUSP00000053431
ENSDARP00000118753	ENSMUSP00000029850
ENSDARP00000119475	ENSMUSP00000090567
ENSDARP00000122486	ENSMUSP00000090567
ENSDARP00000128562	ENSMUSP00000047888
ENSDARP00000126045	ENSMUSP00000047888
ENSDARP00000098491	ENSMUSP00000081664
ENSDARP00000055022	ENSMUSP00000081664
ENSDARP00000057324	ENSMUSP00000021066
ENSDARP00000099217	ENSMUSP00000021066
ENSDARP00000118548	ENSMUSP00000138618
ENSDARP00000094670	ENSMUSP00000138618
ENSDARP00000078963	ENSMUSP00000082220
ENSDARP00000076873	ENSMUSP00000123078
ENSDARP00000093925	ENSMUSP00000101700
ENSDARP00000066410	ENSMUSP00000040416
ENSDARP00000086549	ENSMUSP00000029575
ENSDARP00000073621	ENSMUSP00000028623
ENSDARP00000107675	ENSMUSP00000030643
ENSDARP00000003397	ENSMUSP00000076505
ENSDARP00000108198	ENSMUSP00000076505
ENSDARP00000124029	ENSMUSP00000022550
ENSDARP00000093555	ENSMUSP00000015256
ENSDARP00000094885	ENSMUSP00000108302
ENSDARP00000102728	ENSMUSP00000097909
ENSDARP00000098758	ENSMUSP00000065205
ENSDARP00000011500	ENSMUSP00000028362
ENSDARP00000119695	ENSMUSP00000027896
ENSDARP00000107042	ENSMUSP00000029307
ENSDARP00000121180	ENSMUSP00000029307
ENSDARP00000083949	ENSMUSP00000034883
ENSDARP00000064746	ENSMUSP00000030169
ENSDARP00000108993	ENSMUSP00000104732
ENSDARP00000064832	ENSMUSP00000054226
ENSDARP00000064615	ENSMUSP00000107035
ENSDARP00000044859	ENSMUSP00000094076
ENSDARP00000118205	ENSMUSP00000106460
ENSDARP00000106725	ENSMUSP00000031868
ENSDARP00000047006	ENSMUSP00000031713
ENSDARP00000091933	ENSMUSP00000029208
ENSDARP00000070437	ENSMUSP00000001122
ENSDARP00000058513	ENSMUSP00000021161
ENSDARP00000098418	ENSMUSP00000021161
ENSDARP00000025120	ENSMUSP00000022040
ENSDARP00000116922	ENSMUSP00000129216
ENSDARP00000094377	ENSMUSP00000110348
ENSDARP00000113955	ENSMUSP00000095533
ENSDARP00000098114	ENSMUSP00000068716
ENSDARP00000048506	ENSMUSP00000091964
ENSDARP00000102127	ENSMUSP00000128308
ENSDARP00000070464	ENSMUSP00000003659
ENSDARP00000093348	ENSMUSP00000022213
ENSDARP00000051004	ENSMUSP00000022213
ENSDARP00000057589	ENSMUSP00000060441
ENSDARP00000002460	ENSMUSP00000059654
ENSDARP00000085707	ENSMUSP00000031607
ENSDARP00000110688	ENSMUSP00000044627
ENSDARP00000107971	ENSMUSP00000090528
ENSDARP00000108491	ENSMUSP00000025645
ENSDARP00000063703	ENSMUSP00000109092
ENSDARP00000112846	ENSMUSP00000006523
ENSDARP00000048886	ENSMUSP00000095169
ENSDARP00000002532	ENSMUSP00000095169
ENSDARP00000053403	ENSMUSP00000129378
ENSDARP00000091516	ENSMUSP00000088089
ENSDARP00000069657	ENSMUSP00000076751
ENSDARP00000123484	ENSMUSP00000076751
ENSDARP00000129096	ENSMUSP00000130758
ENSDARP00000050176	ENSMUSP00000030080
ENSDARP00000014980	ENSMUSP00000084578
ENSDARP00000108067	ENSMUSP00000084578
ENSDARP00000065669	ENSMUSP00000065679
ENSDARP00000118761	ENSMUSP00000061402
ENSDARP00000129035	ENSMUSP00000061402
ENSDARP00000111556	ENSMUSP00000049054
ENSDARP00000111169	ENSMUSP00000049054
ENSDARP00000121566	ENSMUSP00000101060
ENSDARP00000093285	ENSMUSP00000043522
ENSDARP00000101777	ENSMUSP00000043522
ENSDARP00000099736	ENSMUSP00000060591
ENSDARP00000106854	ENSMUSP00000103897
ENSDARP00000112558	ENSMUSP00000136611
ENSDARP00000058495	ENSMUSP00000125580
ENSDARP00000128615	ENSMUSP00000037867
ENSDARP00000016314	ENSMUSP00000049285
ENSDARP00000047070	ENSMUSP00000034698
ENSDARP00000098435	ENSMUSP00000034698
ENSDARP00000014840	ENSMUSP00000002837
ENSDARP00000043315	ENSMUSP00000132514
ENSDARP00000043161	ENSMUSP00000036065
ENSDARP00000123784	ENSMUSP00000112662
ENSDARP00000023124	ENSMUSP00000020023
ENSDARP00000019093	ENSMUSP00000020023
ENSDARP00000104305	ENSMUSP00000041599
ENSDARP00000099211	ENSMUSP00000036110
ENSDARP00000065555	ENSMUSP00000059757
ENSDARP00000098660	ENSMUSP00000099509
ENSDARP00000105864	ENSMUSP00000000939
ENSDARP00000079991	ENSMUSP00000000939
ENSDARP00000102404	ENSMUSP00000091769
ENSDARP00000117778	ENSMUSP00000014290
ENSDARP00000089458	ENSMUSP00000028252
ENSDARP00000051165	ENSMUSP00000091011
ENSDARP00000042171	ENSMUSP00000091011
ENSDARP00000062698	ENSMUSP00000019456
ENSDARP00000110875	ENSMUSP00000034969
ENSDARP00000052476	ENSMUSP00000034969
ENSDARP00000124944	ENSMUSP00000077899
ENSDARP00000100285	ENSMUSP00000031096
ENSDARP00000066702	ENSMUSP00000027053
ENSDARP00000104887	ENSMUSP00000027053
ENSDARP00000065852	ENSMUSP00000122552
ENSDARP00000066124	ENSMUSP00000122552
ENSDARP00000015825	ENSMUSP00000026027
ENSDARP00000005989	ENSMUSP00000017821
ENSDARP00000119398	ENSMUSP00000031309
ENSDARP00000105402	ENSMUSP00000028368
ENSDARP00000056285	ENSMUSP00000137309
ENSDARP00000111440	ENSMUSP00000046695
ENSDARP00000102258	ENSMUSP00000043554
ENSDARP00000050618	ENSMUSP00000045150
ENSDARP00000024256	ENSMUSP00000023835
ENSDARP00000113054	ENSMUSP00000093229
ENSDARP00000101191	ENSMUSP00000131010
ENSDARP00000113801	ENSMUSP00000103366
ENSDARP00000011155	ENSMUSP00000031977
ENSDARP00000019087	ENSMUSP00000065770
ENSDARP00000107390	ENSMUSP00000113913
ENSDARP00000069275	ENSMUSP00000118911
ENSDARP00000074797	ENSMUSP00000109340
ENSDARP00000065205	ENSMUSP00000102481
ENSDARP00000123093	ENSMUSP00000114175
ENSDARP00000098822	ENSMUSP00000135959
ENSDARP00000119169	ENSMUSP00000067541
ENSDARP00000057735	ENSMUSP00000031663
ENSDARP00000114284	ENSMUSP00000106317
ENSDARP00000118698	ENSMUSP00000106317
ENSDARP00000108405	ENSMUSP00000064246
ENSDARP00000101408	ENSMUSP00000126281
ENSDARP00000127739	ENSMUSP00000126281
ENSDARP00000065118	ENSMUSP00000043222
ENSDARP00000044370	ENSMUSP00000037966
ENSDARP00000101166	ENSMUSP00000105250
ENSDARP00000100378	ENSMUSP00000001280
ENSDARP00000068009	ENSMUSP00000096258
ENSDARP00000107380	ENSMUSP00000096258
ENSDARP00000082438	ENSMUSP00000075011
ENSDARP00000028924	ENSMUSP00000025197
ENSDARP00000127120	ENSMUSP00000025197
ENSDARP00000124923	ENSMUSP00000128401
ENSDARP00000073110	ENSMUSP00000031354
ENSDARP00000073658	ENSMUSP00000110729
ENSDARP00000020000	ENSMUSP00000037487
ENSDARP00000113850	ENSMUSP00000029905
ENSDARP00000078769	ENSMUSP00000018113
ENSDARP00000101760	ENSMUSP00000129831
ENSDARP00000043125	ENSMUSP00000038833
ENSDARP00000106580	ENSMUSP00000019386
ENSDARP00000073959	ENSMUSP00000034792
ENSDARP00000007186	ENSMUSP00000099975
ENSDARP00000030718	ENSMUSP00000007249
ENSDARP00000023293	ENSMUSP00000034697
ENSDARP00000109007	ENSMUSP00000034697
ENSDARP00000074529	ENSMUSP00000087394
ENSDARP00000121140	ENSMUSP00000087394
ENSDARP00000116091	ENSMUSP00000114404
ENSDARP00000013960	ENSMUSP00000075992
ENSDARP00000005772	ENSMUSP00000044457
ENSDARP00000053683	ENSMUSP00000036245
ENSDARP00000073367	ENSMUSP00000030289
ENSDARP00000101307	ENSMUSP00000039943
ENSDARP00000066677	ENSMUSP00000070554
ENSDARP00000111926	ENSMUSP00000000642
ENSDARP00000056522	ENSMUSP00000020277
ENSDARP00000112428	ENSMUSP00000099984
ENSDARP00000110892	ENSMUSP00000017851
ENSDARP00000027703	ENSMUSP00000020027
ENSDARP00000089585	ENSMUSP00000051261
ENSDARP00000087966	ENSMUSP00000047547
ENSDARP00000090285	ENSMUSP00000028679
ENSDARP00000098249	ENSMUSP00000087694
ENSDARP00000115648	ENSMUSP00000098594
ENSDARP00000082852	ENSMUSP00000065225
ENSDARP00000103866	ENSMUSP00000099716
ENSDARP00000107114	ENSMUSP00000099716
ENSDARP00000087386	ENSMUSP00000055308
ENSDARP00000072649	ENSMUSP00000059420
ENSDARP00000120829	ENSMUSP00000100025
ENSDARP00000072426	ENSMUSP00000099572
ENSDARP00000024471	ENSMUSP00000099572
ENSDARP00000054597	ENSMUSP00000057725
ENSDARP00000068226	ENSMUSP00000057725
ENSDARP00000083002	ENSMUSP00000056313
ENSDARP00000051665	ENSMUSP00000027373
ENSDARP00000063550	ENSMUSP00000061278
ENSDARP00000109769	ENSMUSP00000029355
ENSDARP00000086614	ENSMUSP00000029355
ENSDARP00000104731	ENSMUSP00000027534
ENSDARP00000008977	ENSMUSP00000041395
ENSDARP00000103131	ENSMUSP00000041395
ENSDARP00000040170	ENSMUSP00000006851
ENSDARP00000078136	ENSMUSP00000101225
ENSDARP00000045176	ENSMUSP00000045527
ENSDARP00000055472	ENSMUSP00000021090
ENSDARP00000007188	ENSMUSP00000021090
ENSDARP00000067931	ENSMUSP00000070413
ENSDARP00000107433	ENSMUSP00000126828
ENSDARP00000004932	ENSMUSP00000027151
ENSDARP00000018197	ENSMUSP00000027151
ENSDARP00000066500	ENSMUSP00000078715
ENSDARP00000125663	ENSMUSP00000085253
ENSDARP00000102663	ENSMUSP00000062771
ENSDARP00000125623	ENSMUSP00000114094
ENSDARP00000059319	ENSMUSP00000139310
ENSDARP00000085982	ENSMUSP00000096994
ENSDARP00000011866	ENSMUSP00000047126
ENSDARP00000019419	ENSMUSP00000070726
ENSDARP00000071683	ENSMUSP00000025695
ENSDARP00000093469	ENSMUSP00000002839
ENSDARP00000091500	ENSMUSP00000124370
ENSDARP00000098790	ENSMUSP00000039632
ENSDARP00000058551	ENSMUSP00000038013
ENSDARP00000043822	ENSMUSP00000038013
ENSDARP00000099232	ENSMUSP00000020411
ENSDARP00000115356	ENSMUSP00000109915
ENSDARP00000094806	ENSMUSP00000053175
ENSDARP00000010745	ENSMUSP00000033805
ENSDARP00000106315	ENSMUSP00000122395
ENSDARP00000069762	ENSMUSP00000016471
ENSDARP00000088594	ENSMUSP00000047353
ENSDARP00000083835	ENSMUSP00000047353
ENSDARP00000013993	ENSMUSP00000034983
ENSDARP00000062873	ENSMUSP00000034983
ENSDARP00000003281	ENSMUSP00000027863
ENSDARP00000115804	ENSMUSP00000027863
ENSDARP00000069637	ENSMUSP00000138773
ENSDARP00000119579	ENSMUSP00000093914
ENSDARP00000118661	ENSMUSP00000023295
ENSDARP00000019575	ENSMUSP00000127784
ENSDARP00000006495	ENSMUSP00000127784
ENSDARP00000101834	ENSMUSP00000074198
ENSDARP00000098057	ENSMUSP00000074198
ENSDARP00000104333	ENSMUSP00000024179
ENSDARP00000079474	ENSMUSP00000033444
ENSDARP00000056962	ENSMUSP00000027498
ENSDARP00000110937	ENSMUSP00000027498
ENSDARP00000015367	ENSMUSP00000018476
ENSDARP00000118392	ENSMUSP00000101517
ENSDARP00000118182	ENSMUSP00000101517
ENSDARP00000088317	ENSMUSP00000127678
ENSDARP00000095133	ENSMUSP00000019708
ENSDARP00000031559	ENSMUSP00000083281
ENSDARP00000091884	ENSMUSP00000106709
ENSDARP00000038591	ENSMUSP00000125268
ENSDARP00000101636	ENSMUSP00000125268
ENSDARP00000040954	ENSMUSP00000021971
ENSDARP00000105896	ENSMUSP00000050329
ENSDARP00000078311	ENSMUSP00000050329
ENSDARP00000059139	ENSMUSP00000035222
ENSDARP00000093754	ENSMUSP00000044836
ENSDARP00000100165	ENSMUSP00000025077
ENSDARP00000083566	ENSMUSP00000113429
ENSDARP00000107838	ENSMUSP00000031229
ENSDARP00000101331	ENSMUSP00000020643
ENSDARP00000024532	ENSMUSP00000006750
ENSDARP00000106658	ENSMUSP00000006750
ENSDARP00000118126	ENSMUSP00000133474
ENSDARP00000129223	ENSMUSP00000075174
ENSDARP00000098193	ENSMUSP00000012161
ENSDARP00000093977	ENSMUSP00000103362
ENSDARP00000021648	ENSMUSP00000103362
ENSDARP00000014581	ENSMUSP00000038181
ENSDARP00000122112	ENSMUSP00000033070
ENSDARP00000085966	ENSMUSP00000113390
ENSDARP00000078148	ENSMUSP00000113390
ENSDARP00000089604	ENSMUSP00000077019
ENSDARP00000121254	ENSMUSP00000077019
ENSDARP00000032940	ENSMUSP00000059501
ENSDARP00000073910	ENSMUSP00000021273
ENSDARP00000115419	ENSMUSP00000023487
ENSDARP00000032448	ENSMUSP00000026416
ENSDARP00000092724	ENSMUSP00000118743
ENSDARP00000121626	ENSMUSP00000021930
ENSDARP00000057866	ENSMUSP00000059419
ENSDARP00000036949	ENSMUSP00000026011
ENSDARP00000070580	ENSMUSP00000031367
ENSDARP00000129510	ENSMUSP00000129239
ENSDARP00000047895	ENSMUSP00000085728
ENSDARP00000120021	ENSMUSP00000085728
ENSDARP00000091395	ENSMUSP00000023616
ENSDARP00000098890	ENSMUSP00000006578
ENSDARP00000074512	ENSMUSP00000023334
ENSDARP00000121706	ENSMUSP00000023334
ENSDARP00000078889	ENSMUSP00000034510
ENSDARP00000102277	ENSMUSP00000034510
ENSDARP00000086172	ENSMUSP00000111381
ENSDARP00000098718	ENSMUSP00000039728
ENSDARP00000106714	ENSMUSP00000103817
ENSDARP00000114663	ENSMUSP00000058968
ENSDARP00000114939	ENSMUSP00000084427
ENSDARP00000115423	ENSMUSP00000033990
ENSDARP00000077321	ENSMUSP00000021097
ENSDARP00000094372	ENSMUSP00000025279
ENSDARP00000005085	ENSMUSP00000095953
ENSDARP00000071771	ENSMUSP00000030443
ENSDARP00000038588	ENSMUSP00000073664
