ENSMGAP00000004951	ENSMUSP00000034074
ENSMGAP00000007874	ENSMUSP00000003509
ENSMGAP00000014447	ENSMUSP00000032421
ENSMGAP00000009216	ENSMUSP00000026896
ENSMGAP00000006576	ENSMUSP00000043477
ENSMGAP00000002105	ENSMUSP00000100012
ENSMGAP00000001972	ENSMUSP00000099434
ENSMGAP00000002149	ENSMUSP00000015003
ENSMGAP00000008809	ENSMUSP00000050496
ENSMGAP00000011192	ENSMUSP00000020339
ENSMGAP00000007478	ENSMUSP00000036487
ENSMGAP00000000881	ENSMUSP00000049007
ENSMGAP00000011996	ENSMUSP00000085900
ENSMGAP00000015040	ENSMUSP00000093089
ENSMGAP00000007423	ENSMUSP00000049346
ENSMGAP00000015017	ENSMUSP00000113708
ENSMGAP00000013335	ENSMUSP00000125718
ENSMGAP00000014950	ENSMUSP00000073803
ENSMGAP00000001910	ENSMUSP00000028349
ENSMGAP00000004061	ENSMUSP00000002989
ENSMGAP00000009429	ENSMUSP00000044578
ENSMGAP00000014704	ENSMUSP00000032500
ENSMGAP00000001781	ENSMUSP00000032715
ENSMGAP00000000418	ENSMUSP00000036674
ENSMGAP00000007539	ENSMUSP00000042867
ENSMGAP00000011139	ENSMUSP00000104411
ENSMGAP00000017915	ENSMUSP00000018630
ENSMGAP00000011894	ENSMUSP00000006718
ENSMGAP00000010071	ENSMUSP00000024049
ENSMGAP00000009399	ENSMUSP00000018382
ENSMGAP00000008128	ENSMUSP00000128621
ENSMGAP00000007518	ENSMUSP00000031278
ENSMGAP00000014040	ENSMUSP00000105486
ENSMGAP00000010374	ENSMUSP00000094528
ENSMGAP00000016788	ENSMUSP00000086409
ENSMGAP00000002878	ENSMUSP00000064131
ENSMGAP00000002860	ENSMUSP00000033450
ENSMGAP00000000231	ENSMUSP00000047199
ENSMGAP00000019713	ENSMUSP00000071627
ENSMGAP00000005399	ENSMUSP00000043250
ENSMGAP00000013813	ENSMUSP00000068629
ENSMGAP00000001795	ENSMUSP00000048978
ENSMGAP00000012130	ENSMUSP00000030306
ENSMGAP00000005494	ENSMUSP00000064775
ENSMGAP00000000432	ENSMUSP00000101046
ENSMGAP00000006701	ENSMUSP00000103028
ENSMGAP00000010996	ENSMUSP00000115260
ENSMGAP00000004600	ENSMUSP00000075089
ENSMGAP00000004769	ENSMUSP00000126897
ENSMGAP00000007577	ENSMUSP00000074533
ENSMGAP00000011438	ENSMUSP00000044432
ENSMGAP00000007028	ENSMUSP00000104459
ENSMGAP00000010974	ENSMUSP00000106905
ENSMGAP00000005346	ENSMUSP00000109098
ENSMGAP00000000964	ENSMUSP00000037532
ENSMGAP00000003538	ENSMUSP00000041622
ENSMGAP00000006152	ENSMUSP00000019199
ENSMGAP00000006673	ENSMUSP00000125373
ENSMGAP00000019154	ENSMUSP00000007216
ENSMGAP00000018976	ENSMUSP00000117346
ENSMGAP00000002706	ENSMUSP00000128446
ENSMGAP00000005664	ENSMUSP00000003117
ENSMGAP00000008306	ENSMUSP00000109886
ENSMGAP00000008756	ENSMUSP00000030763
ENSMGAP00000005181	ENSMUSP00000027697
ENSMGAP00000007164	ENSMUSP00000033918
ENSMGAP00000015568	ENSMUSP00000033755
ENSMGAP00000015570	ENSMUSP00000033756
ENSMGAP00000003190	ENSMUSP00000046476
ENSMGAP00000001772	ENSMUSP00000027538
ENSMGAP00000005589	ENSMUSP00000033549
ENSMGAP00000007854	ENSMUSP00000026795
ENSMGAP00000006564	ENSMUSP00000033341
ENSMGAP00000014728	ENSMUSP00000001562
ENSMGAP00000000062	ENSMUSP00000049070
ENSMGAP00000014847	ENSMUSP00000082895
ENSMGAP00000008226	ENSMUSP00000080832
ENSMGAP00000010913	ENSMUSP00000112110
ENSMGAP00000008466	ENSMUSP00000133245
ENSMGAP00000001356	ENSMUSP00000021046
ENSMGAP00000013090	ENSMUSP00000055535
ENSMGAP00000007848	ENSMUSP00000021062
ENSMGAP00000006346	ENSMUSP00000032539
ENSMGAP00000010300	ENSMUSP00000025500
ENSMGAP00000003617	ENSMUSP00000078971
ENSMGAP00000003530	ENSMUSP00000034267
ENSMGAP00000009825	ENSMUSP00000079864
ENSMGAP00000000737	ENSMUSP00000138944
ENSMGAP00000001802	ENSMUSP00000028328
ENSMGAP00000011815	ENSMUSP00000036830
ENSMGAP00000012705	ENSMUSP00000031795
ENSMGAP00000007078	ENSMUSP00000001595
ENSMGAP00000011134	ENSMUSP00000072472
ENSMGAP00000017509	ENSMUSP00000077919
ENSMGAP00000000718	ENSMUSP00000020702
ENSMGAP00000000730	ENSMUSP00000020704
ENSMGAP00000012182	ENSMUSP00000046610
ENSMGAP00000002485	ENSMUSP00000017637
ENSMGAP00000018544	ENSMUSP00000023601
ENSMGAP00000015716	ENSMUSP00000084091
ENSMGAP00000003367	ENSMUSP00000092654
ENSMGAP00000009944	ENSMUSP00000036227
ENSMGAP00000016886	ENSMUSP00000042410
ENSMGAP00000002250	ENSMUSP00000101500
ENSMGAP00000013153	ENSMUSP00000035257
ENSMGAP00000007392	ENSMUSP00000005952
ENSMGAP00000005750	ENSMUSP00000058045
ENSMGAP00000003262	ENSMUSP00000101768
ENSMGAP00000012561	ENSMUSP00000010605
ENSMGAP00000010564	ENSMUSP00000138230
ENSMGAP00000007926	ENSMUSP00000026093
ENSMGAP00000006160	ENSMUSP00000074864
ENSMGAP00000014264	ENSMUSP00000002880
ENSMGAP00000014136	ENSMUSP00000042466
ENSMGAP00000010923	ENSMUSP00000047278
ENSMGAP00000010925	ENSMUSP00000107444
ENSMGAP00000014140	ENSMUSP00000064462
ENSMGAP00000008318	ENSMUSP00000105212
ENSMGAP00000009205	ENSMUSP00000041897
ENSMGAP00000009009	ENSMUSP00000104533
ENSMGAP00000011385	ENSMUSP00000046585
ENSMGAP00000003590	ENSMUSP00000034822
ENSMGAP00000004457	ENSMUSP00000107347
ENSMGAP00000008988	ENSMUSP00000031674
ENSMGAP00000008872	ENSMUSP00000053238
ENSMGAP00000010443	ENSMUSP00000093141
ENSMGAP00000000679	ENSMUSP00000030041
ENSMGAP00000014048	ENSMUSP00000021689
ENSMGAP00000008543	ENSMUSP00000077781
ENSMGAP00000004391	ENSMUSP00000090987
ENSMGAP00000013592	ENSMUSP00000022954
ENSMGAP00000018702	ENSMUSP00000095025
ENSMGAP00000008743	ENSMUSP00000081455
ENSMGAP00000010280	ENSMUSP00000006424
ENSMGAP00000011153	ENSMUSP00000030477
ENSMGAP00000016657	ENSMUSP00000061390
ENSMGAP00000006427	ENSMUSP00000020692
ENSMGAP00000003533	ENSMUSP00000110074
ENSMGAP00000009178	ENSMUSP00000124473
ENSMGAP00000005907	ENSMUSP00000050730
ENSMGAP00000010650	ENSMUSP00000124131
ENSMGAP00000007940	ENSMUSP00000023486
ENSMGAP00000008533	ENSMUSP00000031690
ENSMGAP00000000892	ENSMUSP00000010191
ENSMGAP00000000865	ENSMUSP00000010195
ENSMGAP00000005766	ENSMUSP00000042667
ENSMGAP00000010471	ENSMUSP00000032376
ENSMGAP00000009367	ENSMUSP00000032093
ENSMGAP00000009748	ENSMUSP00000104878
ENSMGAP00000013528	ENSMUSP00000063380
ENSMGAP00000008585	ENSMUSP00000053270
ENSMGAP00000014342	ENSMUSP00000036150
ENSMGAP00000009243	ENSMUSP00000079926
ENSMGAP00000000980	ENSMUSP00000036721
ENSMGAP00000011431	ENSMUSP00000106963
ENSMGAP00000005911	ENSMUSP00000085872
ENSMGAP00000018438	ENSMUSP00000112934
ENSMGAP00000014536	ENSMUSP00000021467
ENSMGAP00000017551	ENSMUSP00000041173
ENSMGAP00000019340	ENSMUSP00000024742
ENSMGAP00000014778	ENSMUSP00000021004
ENSMGAP00000011272	ENSMUSP00000111151
ENSMGAP00000001815	ENSMUSP00000105350
ENSMGAP00000008157	ENSMUSP00000037324
ENSMGAP00000013247	ENSMUSP00000041294
ENSMGAP00000014108	ENSMUSP00000020008
ENSMGAP00000000499	ENSMUSP00000109904
ENSMGAP00000007893	ENSMUSP00000099947
ENSMGAP00000016365	ENSMUSP00000126340
ENSMGAP00000016855	ENSMUSP00000122855
ENSMGAP00000007245	ENSMUSP00000041790
ENSMGAP00000008731	ENSMUSP00000058730
ENSMGAP00000000086	ENSMUSP00000137517
ENSMGAP00000002593	ENSMUSP00000028071
ENSMGAP00000014707	ENSMUSP00000031750
ENSMGAP00000001163	ENSMUSP00000066894
ENSMGAP00000001348	ENSMUSP00000030898
ENSMGAP00000011290	ENSMUSP00000078281
ENSMGAP00000011156	ENSMUSP00000073246
ENSMGAP00000000369	ENSMUSP00000092735
ENSMGAP00000014124	ENSMUSP00000116057
ENSMGAP00000015691	ENSMUSP00000121212
ENSMGAP00000001278	ENSMUSP00000039600
ENSMGAP00000007400	ENSMUSP00000000926
ENSMGAP00000004554	ENSMUSP00000062239
ENSMGAP00000008420	ENSMUSP00000124470
ENSMGAP00000018204	ENSMUSP00000101903
ENSMGAP00000006573	ENSMUSP00000018651
ENSMGAP00000006764	ENSMUSP00000099585
ENSMGAP00000006790	ENSMUSP00000053755
ENSMGAP00000006390	ENSMUSP00000071859
ENSMGAP00000000887	ENSMUSP00000132687
ENSMGAP00000002328	ENSMUSP00000115718
ENSMGAP00000008286	ENSMUSP00000027178
ENSMGAP00000015441	ENSMUSP00000024832
ENSMGAP00000004156	ENSMUSP00000031437
ENSMGAP00000000762	ENSMUSP00000070868
ENSMGAP00000010097	ENSMUSP00000026172
ENSMGAP00000008714	ENSMUSP00000025718
ENSMGAP00000014425	ENSMUSP00000041300
ENSMGAP00000010586	ENSMUSP00000085683
ENSMGAP00000008852	ENSMUSP00000042271
ENSMGAP00000006785	ENSMUSP00000076660
ENSMGAP00000009255	ENSMUSP00000030212
ENSMGAP00000008876	ENSMUSP00000129800
ENSMGAP00000004670	ENSMUSP00000028214
ENSMGAP00000003422	ENSMUSP00000034600
ENSMGAP00000015273	ENSMUSP00000107062
ENSMGAP00000003689	ENSMUSP00000062507
ENSMGAP00000003725	ENSMUSP00000110311
ENSMGAP00000011689	ENSMUSP00000061470
ENSMGAP00000014117	ENSMUSP00000056353
ENSMGAP00000015781	ENSMUSP00000046368
ENSMGAP00000009299	ENSMUSP00000045409
ENSMGAP00000015109	ENSMUSP00000109229
ENSMGAP00000015201	ENSMUSP00000023437
ENSMGAP00000003710	ENSMUSP00000128922
ENSMGAP00000011655	ENSMUSP00000095845
ENSMGAP00000008858	ENSMUSP00000054545
ENSMGAP00000014047	ENSMUSP00000019920
ENSMGAP00000011625	ENSMUSP00000035649
ENSMGAP00000000744	ENSMUSP00000025208
ENSMGAP00000004123	ENSMUSP00000048350
ENSMGAP00000006694	ENSMUSP00000053431
ENSMGAP00000012758	ENSMUSP00000029850
ENSMGAP00000002056	ENSMUSP00000044945
ENSMGAP00000016378	ENSMUSP00000052544
ENSMGAP00000006418	ENSMUSP00000081664
ENSMGAP00000013338	ENSMUSP00000019290
ENSMGAP00000007499	ENSMUSP00000021066
ENSMGAP00000003711	ENSMUSP00000031423
ENSMGAP00000014767	ENSMUSP00000123078
ENSMGAP00000004080	ENSMUSP00000101700
ENSMGAP00000014427	ENSMUSP00000040416
ENSMGAP00000006889	ENSMUSP00000029575
ENSMGAP00000002312	ENSMUSP00000030643
ENSMGAP00000013161	ENSMUSP00000076505
ENSMGAP00000010402	ENSMUSP00000122103
ENSMGAP00000010056	ENSMUSP00000015256
ENSMGAP00000009371	ENSMUSP00000019226
ENSMGAP00000001532	ENSMUSP00000051118
ENSMGAP00000000859	ENSMUSP00000097909
ENSMGAP00000011580	ENSMUSP00000065205
ENSMGAP00000019406	ENSMUSP00000028362
ENSMGAP00000002371	ENSMUSP00000027896
ENSMGAP00000015954	ENSMUSP00000029307
ENSMGAP00000002720	ENSMUSP00000034883
ENSMGAP00000013724	ENSMUSP00000054226
ENSMGAP00000016876	ENSMUSP00000094076
ENSMGAP00000005211	ENSMUSP00000053899
ENSMGAP00000002247	ENSMUSP00000106460
ENSMGAP00000014035	ENSMUSP00000031868
ENSMGAP00000008702	ENSMUSP00000031713
ENSMGAP00000005660	ENSMUSP00000001122
ENSMGAP00000008955	ENSMUSP00000021161
ENSMGAP00000006471	ENSMUSP00000022040
ENSMGAP00000003984	ENSMUSP00000129216
ENSMGAP00000012377	ENSMUSP00000110669
ENSMGAP00000014886	ENSMUSP00000110348
ENSMGAP00000011317	ENSMUSP00000095533
ENSMGAP00000005972	ENSMUSP00000020441
ENSMGAP00000007616	ENSMUSP00000091964
ENSMGAP00000012872	ENSMUSP00000128308
ENSMGAP00000004677	ENSMUSP00000003659
ENSMGAP00000003309	ENSMUSP00000022213
ENSMGAP00000011808	ENSMUSP00000064220
ENSMGAP00000017043	ENSMUSP00000059654
ENSMGAP00000019018	ENSMUSP00000046812
ENSMGAP00000010091	ENSMUSP00000040229
ENSMGAP00000005287	ENSMUSP00000031607
ENSMGAP00000002106	ENSMUSP00000113090
ENSMGAP00000006474	ENSMUSP00000025645
ENSMGAP00000019025	ENSMUSP00000006523
ENSMGAP00000001538	ENSMUSP00000095169
ENSMGAP00000001897	ENSMUSP00000129378
ENSMGAP00000009060	ENSMUSP00000088089
ENSMGAP00000004606	ENSMUSP00000076751
ENSMGAP00000000642	ENSMUSP00000130758
ENSMGAP00000000728	ENSMUSP00000034946
ENSMGAP00000008536	ENSMUSP00000030080
ENSMGAP00000016272	ENSMUSP00000084578
ENSMGAP00000009488	ENSMUSP00000065679
ENSMGAP00000005069	ENSMUSP00000061402
ENSMGAP00000009336	ENSMUSP00000049054
ENSMGAP00000008115	ENSMUSP00000101060
ENSMGAP00000005020	ENSMUSP00000043522
ENSMGAP00000016743	ENSMUSP00000060591
ENSMGAP00000010642	ENSMUSP00000103897
ENSMGAP00000003290	ENSMUSP00000136611
ENSMGAP00000014760	ENSMUSP00000125580
ENSMGAP00000013176	ENSMUSP00000037867
ENSMGAP00000014789	ENSMUSP00000049285
ENSMGAP00000008195	ENSMUSP00000002837
ENSMGAP00000013287	ENSMUSP00000132514
ENSMGAP00000016002	ENSMUSP00000043210
ENSMGAP00000004013	ENSMUSP00000100991
ENSMGAP00000006825	ENSMUSP00000006027
ENSMGAP00000010088	ENSMUSP00000036065
ENSMGAP00000013864	ENSMUSP00000112662
ENSMGAP00000003424	ENSMUSP00000020023
ENSMGAP00000014323	ENSMUSP00000036726
ENSMGAP00000008303	ENSMUSP00000041599
ENSMGAP00000013753	ENSMUSP00000036110
ENSMGAP00000015086	ENSMUSP00000059757
ENSMGAP00000001419	ENSMUSP00000099509
ENSMGAP00000003442	ENSMUSP00000000939
ENSMGAP00000017075	ENSMUSP00000091769
ENSMGAP00000019054	ENSMUSP00000014290
ENSMGAP00000011324	ENSMUSP00000028252
ENSMGAP00000019123	ENSMUSP00000091011
ENSMGAP00000015982	ENSMUSP00000077899
ENSMGAP00000012956	ENSMUSP00000031096
ENSMGAP00000013146	ENSMUSP00000073190
ENSMGAP00000012051	ENSMUSP00000027053
ENSMGAP00000005889	ENSMUSP00000122552
ENSMGAP00000007733	ENSMUSP00000031251
ENSMGAP00000010883	ENSMUSP00000026027
ENSMGAP00000008681	ENSMUSP00000017821
ENSMGAP00000005466	ENSMUSP00000031309
ENSMGAP00000013654	ENSMUSP00000028368
ENSMGAP00000003801	ENSMUSP00000046695
ENSMGAP00000008615	ENSMUSP00000095103
ENSMGAP00000009543	ENSMUSP00000029075
ENSMGAP00000002974	ENSMUSP00000043554
ENSMGAP00000009859	ENSMUSP00000131010
ENSMGAP00000018681	ENSMUSP00000038203
ENSMGAP00000013979	ENSMUSP00000031977
ENSMGAP00000004205	ENSMUSP00000109340
ENSMGAP00000012517	ENSMUSP00000102481
ENSMGAP00000001548	ENSMUSP00000100028
ENSMGAP00000010456	ENSMUSP00000107770
ENSMGAP00000015665	ENSMUSP00000114175
ENSMGAP00000011636	ENSMUSP00000135959
ENSMGAP00000012013	ENSMUSP00000067541
ENSMGAP00000012026	ENSMUSP00000031663
ENSMGAP00000005302	ENSMUSP00000106317
ENSMGAP00000016750	ENSMUSP00000064246
ENSMGAP00000004470	ENSMUSP00000126281
ENSMGAP00000017241	ENSMUSP00000040775
ENSMGAP00000011560	ENSMUSP00000037966
ENSMGAP00000002069	ENSMUSP00000126243
ENSMGAP00000004515	ENSMUSP00000105250
ENSMGAP00000001088	ENSMUSP00000096258
ENSMGAP00000017435	ENSMUSP00000075011
ENSMGAP00000018236	ENSMUSP00000025197
ENSMGAP00000010087	ENSMUSP00000128401
ENSMGAP00000003283	ENSMUSP00000031354
ENSMGAP00000015103	ENSMUSP00000130073
ENSMGAP00000011665	ENSMUSP00000037487
ENSMGAP00000011513	ENSMUSP00000029905
ENSMGAP00000016934	ENSMUSP00000052989
ENSMGAP00000018477	ENSMUSP00000129831
ENSMGAP00000012426	ENSMUSP00000038833
ENSMGAP00000015431	ENSMUSP00000019386
ENSMGAP00000004052	ENSMUSP00000034792
ENSMGAP00000007852	ENSMUSP00000099975
ENSMGAP00000012793	ENSMUSP00000087394
ENSMGAP00000010423	ENSMUSP00000114404
ENSMGAP00000006493	ENSMUSP00000075992
ENSMGAP00000002459	ENSMUSP00000099430
ENSMGAP00000012144	ENSMUSP00000035583
ENSMGAP00000007000	ENSMUSP00000044457
ENSMGAP00000012292	ENSMUSP00000030289
ENSMGAP00000003179	ENSMUSP00000039943
ENSMGAP00000016019	ENSMUSP00000082754
ENSMGAP00000012498	ENSMUSP00000070554
ENSMGAP00000011284	ENSMUSP00000000642
ENSMGAP00000004359	ENSMUSP00000051215
ENSMGAP00000005564	ENSMUSP00000031982
ENSMGAP00000003686	ENSMUSP00000017851
ENSMGAP00000014073	ENSMUSP00000020027
ENSMGAP00000010967	ENSMUSP00000051261
ENSMGAP00000003799	ENSMUSP00000047547
ENSMGAP00000004977	ENSMUSP00000091163
ENSMGAP00000017055	ENSMUSP00000002469
ENSMGAP00000006067	ENSMUSP00000087694
ENSMGAP00000001692	ENSMUSP00000105884
ENSMGAP00000000222	ENSMUSP00000065225
ENSMGAP00000014252	ENSMUSP00000101141
ENSMGAP00000016530	ENSMUSP00000055308
ENSMGAP00000001734	ENSMUSP00000059420
ENSMGAP00000007819	ENSMUSP00000100025
ENSMGAP00000019781	ENSMUSP00000099572
ENSMGAP00000016437	ENSMUSP00000062924
ENSMGAP00000017228	ENSMUSP00000057725
ENSMGAP00000016406	ENSMUSP00000056313
ENSMGAP00000000443	ENSMUSP00000027373
ENSMGAP00000007199	ENSMUSP00000061278
ENSMGAP00000010914	ENSMUSP00000029355
ENSMGAP00000005390	ENSMUSP00000027534
ENSMGAP00000008577	ENSMUSP00000041395
ENSMGAP00000009032	ENSMUSP00000068197
ENSMGAP00000008400	ENSMUSP00000006851
ENSMGAP00000002200	ENSMUSP00000101225
ENSMGAP00000008339	ENSMUSP00000045527
ENSMGAP00000009787	ENSMUSP00000021090
ENSMGAP00000012996	ENSMUSP00000046532
ENSMGAP00000003532	ENSMUSP00000070413
ENSMGAP00000002285	ENSMUSP00000126828
ENSMGAP00000003792	ENSMUSP00000027151
ENSMGAP00000001471	ENSMUSP00000102570
ENSMGAP00000002363	ENSMUSP00000078715
ENSMGAP00000002136	ENSMUSP00000085253
ENSMGAP00000005995	ENSMUSP00000139310
ENSMGAP00000004414	ENSMUSP00000000137
ENSMGAP00000000315	ENSMUSP00000087680
ENSMGAP00000013737	ENSMUSP00000096994
ENSMGAP00000014138	ENSMUSP00000047126
ENSMGAP00000010085	ENSMUSP00000070726
ENSMGAP00000003393	ENSMUSP00000002839
ENSMGAP00000011526	ENSMUSP00000124370
ENSMGAP00000012814	ENSMUSP00000039632
ENSMGAP00000011679	ENSMUSP00000038013
ENSMGAP00000007789	ENSMUSP00000020411
ENSMGAP00000003057	ENSMUSP00000109915
ENSMGAP00000002904	ENSMUSP00000053175
ENSMGAP00000006908	ENSMUSP00000033805
ENSMGAP00000007394	ENSMUSP00000115813
ENSMGAP00000009656	ENSMUSP00000122395
ENSMGAP00000007799	ENSMUSP00000016471
ENSMGAP00000015733	ENSMUSP00000033826
ENSMGAP00000006170	ENSMUSP00000034983
ENSMGAP00000015182	ENSMUSP00000027863
ENSMGAP00000008545	ENSMUSP00000138773
ENSMGAP00000011073	ENSMUSP00000093914
ENSMGAP00000005179	ENSMUSP00000102366
ENSMGAP00000008887	ENSMUSP00000127784
ENSMGAP00000009648	ENSMUSP00000074198
ENSMGAP00000002674	ENSMUSP00000033444
ENSMGAP00000003647	ENSMUSP00000027498
ENSMGAP00000003351	ENSMUSP00000018353
ENSMGAP00000013495	ENSMUSP00000111463
ENSMGAP00000002440	ENSMUSP00000130173
ENSMGAP00000003196	ENSMUSP00000127678
ENSMGAP00000003198	ENSMUSP00000019708
ENSMGAP00000014064	ENSMUSP00000021693
ENSMGAP00000008325	ENSMUSP00000021971
ENSMGAP00000014066	ENSMUSP00000050329
ENSMGAP00000008904	ENSMUSP00000035222
ENSMGAP00000019426	ENSMUSP00000048124
ENSMGAP00000011684	ENSMUSP00000044836
ENSMGAP00000006557	ENSMUSP00000071623
ENSMGAP00000006542	ENSMUSP00000025077
ENSMGAP00000010260	ENSMUSP00000031229
ENSMGAP00000014993	ENSMUSP00000133474
ENSMGAP00000008086	ENSMUSP00000075174
ENSMGAP00000009827	ENSMUSP00000012161
ENSMGAP00000001561	ENSMUSP00000103362
ENSMGAP00000006085	ENSMUSP00000138377
ENSMGAP00000002954	ENSMUSP00000038181
ENSMGAP00000000108	ENSMUSP00000113390
ENSMGAP00000007779	ENSMUSP00000090820
ENSMGAP00000007773	ENSMUSP00000034868
ENSMGAP00000003907	ENSMUSP00000077019
ENSMGAP00000014907	ENSMUSP00000032487
ENSMGAP00000015144	ENSMUSP00000023487
ENSMGAP00000000401	ENSMUSP00000133898
ENSMGAP00000004288	ENSMUSP00000134251
ENSMGAP00000017667	ENSMUSP00000026416
ENSMGAP00000014049	ENSMUSP00000041872
ENSMGAP00000011841	ENSMUSP00000118743
ENSMGAP00000003649	ENSMUSP00000021930
ENSMGAP00000010597	ENSMUSP00000059419
ENSMGAP00000002082	ENSMUSP00000031367
ENSMGAP00000019772	ENSMUSP00000129239
ENSMGAP00000015789	ENSMUSP00000085728
ENSMGAP00000012602	ENSMUSP00000023616
ENSMGAP00000015233	ENSMUSP00000023334
ENSMGAP00000001937	ENSMUSP00000034510
ENSMGAP00000007252	ENSMUSP00000026254
ENSMGAP00000000396	ENSMUSP00000111381
ENSMGAP00000007728	ENSMUSP00000091178
ENSMGAP00000007106	ENSMUSP00000039728
ENSMGAP00000015737	ENSMUSP00000047208
ENSMGAP00000009840	ENSMUSP00000103817
ENSMGAP00000010777	ENSMUSP00000058968
ENSMGAP00000012525	ENSMUSP00000084427
ENSMGAP00000004913	ENSMUSP00000033990
ENSMGAP00000004813	ENSMUSP00000021097
ENSMGAP00000010503	ENSMUSP00000025279
ENSMGAP00000001131	ENSMUSP00000095953
ENSMGAP00000006608	ENSMUSP00000021921
ENSMGAP00000010628	ENSMUSP00000030443
ENSMGAP00000000869	ENSMUSP00000074578
ENSMGAP00000000926	ENSMUSP00000110898
ENSMGAP00000018261	ENSMUSP00000073664
ENSMGAP00000006235	ENSMUSP00000039810
ENSMGAP00000005646	ENSMUSP00000030834
ENSMGAP00000003569	ENSMUSP00000005651
ENSMGAP00000018863	ENSMUSP00000022009
ENSMGAP00000005345	ENSMUSP00000057392
ENSMGAP00000011946	ENSMUSP00000027775
ENSMGAP00000015516	ENSMUSP00000036604
ENSMGAP00000017832	ENSMUSP00000006669
ENSMGAP00000009966	ENSMUSP00000019721
ENSMGAP00000004713	ENSMUSP00000105348
ENSMGAP00000014952	ENSMUSP00000085695
ENSMGAP00000015175	ENSMUSP00000023344
ENSMGAP00000008949	ENSMUSP00000031680
ENSMGAP00000003065	ENSMUSP00000027505
ENSMGAP00000014916	ENSMUSP00000032480
ENSMGAP00000016461	ENSMUSP00000062593
ENSMGAP00000006505	ENSMUSP00000079226
ENSMGAP00000015068	ENSMUSP00000027059
ENSMGAP00000003778	ENSMUSP00000035902
ENSMGAP00000009483	ENSMUSP00000129922
ENSMGAP00000015069	ENSMUSP00000037699
ENSMGAP00000015767	ENSMUSP00000056481
ENSMGAP00000015772	ENSMUSP00000061229
ENSMGAP00000000586	ENSMUSP00000041157
ENSMGAP00000018368	ENSMUSP00000040176
ENSMGAP00000013822	ENSMUSP00000042701
ENSMGAP00000007654	ENSMUSP00000038056
ENSMGAP00000012365	ENSMUSP00000081941
ENSMGAP00000004747	ENSMUSP00000065278
ENSMGAP00000006906	ENSMUSP00000099723
ENSMGAP00000014934	ENSMUSP00000023958
ENSMGAP00000013880	ENSMUSP00000031859
ENSMGAP00000006513	ENSMUSP00000102352
