ENSGALP00000006197	ENSCAFP00000014731
ENSGALP00000003847	ENSCAFP00000001898
ENSGALP00000035892	ENSCAFP00000034643
ENSGALP00000026853	ENSCAFP00000036968
ENSGALP00000010428	ENSCAFP00000010553
ENSGALP00000026821	ENSCAFP00000011914
ENSGALP00000025899	ENSCAFP00000013282
ENSGALP00000000107	ENSCAFP00000003505
ENSGALP00000026322	ENSCAFP00000001467
ENSGALP00000026707	ENSCAFP00000006614
ENSGALP00000013796	ENSCAFP00000028666
ENSGALP00000005571	ENSCAFP00000022241
ENSGALP00000011333	ENSCAFP00000016043
ENSGALP00000021646	ENSCAFP00000022750
ENSGALP00000006299	ENSCAFP00000035073
ENSGALP00000000412	ENSCAFP00000013243
ENSGALP00000039341	ENSCAFP00000014218
ENSGALP00000008661	ENSCAFP00000042751
ENSGALP00000040060	ENSCAFP00000019792
ENSGALP00000018503	ENSCAFP00000022068
ENSGALP00000042171	ENSCAFP00000017397
ENSGALP00000007547	ENSCAFP00000023624
ENSGALP00000009611	ENSCAFP00000023867
ENSGALP00000017701	ENSCAFP00000013047
ENSGALP00000018224	ENSCAFP00000026382
ENSGALP00000016105	ENSCAFP00000009752
ENSGALP00000027271	ENSCAFP00000007928
ENSGALP00000009806	ENSCAFP00000027825
ENSGALP00000009798	ENSCAFP00000027822
ENSGALP00000003684	ENSCAFP00000018637
ENSGALP00000027482	ENSCAFP00000009013
ENSGALP00000037588	ENSCAFP00000038852
ENSGALP00000017417	ENSCAFP00000036156
ENSGALP00000013142	ENSCAFP00000004138
ENSGALP00000017678	ENSCAFP00000027841
ENSGALP00000001334	ENSCAFP00000029742
ENSGALP00000038745	ENSCAFP00000016350
ENSGALP00000039924	ENSCAFP00000025289
ENSGALP00000019325	ENSCAFP00000005947
ENSGALP00000005090	ENSCAFP00000021524
ENSGALP00000002366	ENSCAFP00000019815
ENSGALP00000019689	ENSCAFP00000017186
ENSGALP00000009892	ENSCAFP00000019101
ENSGALP00000008574	ENSCAFP00000031903
ENSGALP00000006182	ENSCAFP00000030461
ENSGALP00000038563	ENSCAFP00000019811
ENSGALP00000007976	ENSCAFP00000029719
ENSGALP00000007204	ENSCAFP00000024310
ENSGALP00000010958	ENSCAFP00000011995
ENSGALP00000013724	ENSCAFP00000018117
ENSGALP00000008112	ENSCAFP00000022596
ENSGALP00000005789	ENSCAFP00000008348
ENSGALP00000006300	ENSCAFP00000023182
ENSGALP00000013714	ENSCAFP00000018253
ENSGALP00000014734	ENSCAFP00000002791
ENSGALP00000000973	ENSCAFP00000014825
ENSGALP00000041492	ENSCAFP00000007048
ENSGALP00000017596	ENSCAFP00000012387
ENSGALP00000026677	ENSCAFP00000017550
ENSGALP00000026679	ENSCAFP00000037940
ENSGALP00000013670	ENSCAFP00000007818
ENSGALP00000006782	ENSCAFP00000018354
ENSGALP00000012265	ENSCAFP00000024345
ENSGALP00000009402	ENSCAFP00000010341
ENSGALP00000009612	ENSCAFP00000010262
ENSGALP00000021856	ENSCAFP00000022958
ENSGALP00000010281	ENSCAFP00000001922
ENSGALP00000036082	ENSCAFP00000005678
ENSGALP00000014065	ENSCAFP00000000979
ENSGALP00000041045	ENSCAFP00000013479
ENSGALP00000033098	ENSCAFP00000018541
ENSGALP00000010325	ENSCAFP00000001491
ENSGALP00000000810	ENSCAFP00000018897
ENSGALP00000019975	ENSCAFP00000002001
ENSGALP00000005576	ENSCAFP00000017225
ENSGALP00000000239	ENSCAFP00000001025
ENSGALP00000007948	ENSCAFP00000029725
ENSGALP00000021686	ENSCAFP00000022577
ENSGALP00000038787	ENSCAFP00000013959
ENSGALP00000000530	ENSCAFP00000013459
ENSGALP00000039421	ENSCAFP00000028861
ENSGALP00000018774	ENSCAFP00000007656
ENSGALP00000018209	ENSCAFP00000004543
ENSGALP00000014878	ENSCAFP00000042734
ENSGALP00000019882	ENSCAFP00000004699
ENSGALP00000041356	ENSCAFP00000023374
ENSGALP00000013781	ENSCAFP00000033673
ENSGALP00000013726	ENSCAFP00000015628
ENSGALP00000020311	ENSCAFP00000018107
ENSGALP00000020307	ENSCAFP00000018097
ENSGALP00000018675	ENSCAFP00000021381
ENSGALP00000040685	ENSCAFP00000023677
ENSGALP00000008889	ENSCAFP00000020181
ENSGALP00000027075	ENSCAFP00000003057
ENSGALP00000008481	ENSCAFP00000042913
ENSGALP00000014663	ENSCAFP00000030233
ENSGALP00000016015	ENSCAFP00000041421
ENSGALP00000016884	ENSCAFP00000018683
ENSGALP00000025920	ENSCAFP00000001179
ENSGALP00000009133	ENSCAFP00000032670
ENSGALP00000003295	ENSCAFP00000005013
ENSGALP00000018278	ENSCAFP00000027366
ENSGALP00000005914	ENSCAFP00000027533
ENSGALP00000043195	ENSCAFP00000037510
ENSGALP00000009678	ENSCAFP00000019445
ENSGALP00000014673	ENSCAFP00000042805
ENSGALP00000019114	ENSCAFP00000027189
ENSGALP00000024076	ENSCAFP00000001269
ENSGALP00000013447	ENSCAFP00000015344
ENSGALP00000013448	ENSCAFP00000015347
ENSGALP00000024082	ENSCAFP00000001267
ENSGALP00000023592	ENSCAFP00000011829
ENSGALP00000014112	ENSCAFP00000030086
ENSGALP00000041748	ENSCAFP00000023803
ENSGALP00000010722	ENSCAFP00000001165
ENSGALP00000041770	ENSCAFP00000016128
ENSGALP00000005190	ENSCAFP00000020918
ENSGALP00000033380	ENSCAFP00000040632
ENSGALP00000015469	ENSCAFP00000003004
ENSGALP00000011904	ENSCAFP00000025369
ENSGALP00000000058	ENSCAFP00000029086
ENSGALP00000014581	ENSCAFP00000004896
ENSGALP00000018258	ENSCAFP00000026399
ENSGALP00000015125	ENSCAFP00000023863
ENSGALP00000014259	ENSCAFP00000004789
ENSGALP00000026192	ENSCAFP00000003598
ENSGALP00000026072	ENSCAFP00000001665
ENSGALP00000018821	ENSCAFP00000030367
ENSGALP00000010760	ENSCAFP00000014716
ENSGALP00000018856	ENSCAFP00000004331
ENSGALP00000016984	ENSCAFP00000028722
ENSGALP00000041658	ENSCAFP00000034674
ENSGALP00000011895	ENSCAFP00000025245
ENSGALP00000037169	ENSCAFP00000030999
ENSGALP00000042394	ENSCAFP00000013904
ENSGALP00000018378	ENSCAFP00000009236
ENSGALP00000012308	ENSCAFP00000020942
ENSGALP00000042413	ENSCAFP00000036371
ENSGALP00000007956	ENSCAFP00000016465
ENSGALP00000013164	ENSCAFP00000025949
ENSGALP00000027801	ENSCAFP00000006408
ENSGALP00000012087	ENSCAFP00000019067
ENSGALP00000014237	ENSCAFP00000002566
ENSGALP00000030077	ENSCAFP00000002573
ENSGALP00000003336	ENSCAFP00000015681
ENSGALP00000001136	ENSCAFP00000015600
ENSGALP00000040977	ENSCAFP00000015697
ENSGALP00000015293	ENSCAFP00000005055
ENSGALP00000013575	ENSCAFP00000008315
ENSGALP00000011851	ENSCAFP00000010158
ENSGALP00000015542	ENSCAFP00000014368
ENSGALP00000042747	ENSCAFP00000002336
ENSGALP00000026153	ENSCAFP00000001557
ENSGALP00000010290	ENSCAFP00000023110
ENSGALP00000028023	ENSCAFP00000022969
ENSGALP00000036578	ENSCAFP00000040206
ENSGALP00000043451	ENSCAFP00000003716
ENSGALP00000014354	ENSCAFP00000020170
ENSGALP00000025071	ENSCAFP00000012996
ENSGALP00000018782	ENSCAFP00000027024
ENSGALP00000040460	ENSCAFP00000028252
ENSGALP00000038910	ENSCAFP00000006489
ENSGALP00000002804	ENSCAFP00000019378
ENSGALP00000020137	ENSCAFP00000021364
ENSGALP00000024720	ENSCAFP00000014166
ENSGALP00000016518	ENSCAFP00000002917
ENSGALP00000026350	ENSCAFP00000004775
ENSGALP00000024556	ENSCAFP00000010009
ENSGALP00000040830	ENSCAFP00000011007
ENSGALP00000043176	ENSCAFP00000030087
ENSGALP00000026399	ENSCAFP00000001366
ENSGALP00000023990	ENSCAFP00000001321
ENSGALP00000040961	ENSCAFP00000043077
ENSGALP00000007523	ENSCAFP00000041266
ENSGALP00000025221	ENSCAFP00000004485
ENSGALP00000043302	ENSCAFP00000040526
ENSGALP00000037618	ENSCAFP00000015470
ENSGALP00000009621	ENSCAFP00000042532
ENSGALP00000040755	ENSCAFP00000012421
ENSGALP00000024701	ENSCAFP00000024642
ENSGALP00000010493	ENSCAFP00000010770
ENSGALP00000039384	ENSCAFP00000024338
ENSGALP00000041259	ENSCAFP00000006187
ENSGALP00000027876	ENSCAFP00000005216
ENSGALP00000002287	ENSCAFP00000017041
ENSGALP00000001583	ENSCAFP00000039810
ENSGALP00000016838	ENSCAFP00000012677
ENSGALP00000016475	ENSCAFP00000002131
ENSGALP00000039646	ENSCAFP00000028913
ENSGALP00000016529	ENSCAFP00000003031
ENSGALP00000024015	ENSCAFP00000001307
ENSGALP00000029600	ENSCAFP00000003191
ENSGALP00000039846	ENSCAFP00000026835
ENSGALP00000033374	ENSCAFP00000020819
ENSGALP00000007049	ENSCAFP00000042339
ENSGALP00000027473	ENSCAFP00000008984
ENSGALP00000041378	ENSCAFP00000036076
ENSGALP00000042939	ENSCAFP00000008259
ENSGALP00000007183	ENSCAFP00000026616
ENSGALP00000007393	ENSCAFP00000028568
ENSGALP00000007413	ENSCAFP00000028560
ENSGALP00000005438	ENSCAFP00000022787
ENSGALP00000008707	ENSCAFP00000041145
ENSGALP00000013692	ENSCAFP00000018218
ENSGALP00000026019	ENSCAFP00000031887
ENSGALP00000006744	ENSCAFP00000012092
ENSGALP00000008107	ENSCAFP00000020325
ENSGALP00000012178	ENSCAFP00000035638
ENSGALP00000010477	ENSCAFP00000010756
ENSGALP00000025385	ENSCAFP00000004620
ENSGALP00000002718	ENSCAFP00000028873
ENSGALP00000011876	ENSCAFP00000025456
ENSGALP00000024312	ENSCAFP00000002279
ENSGALP00000007174	ENSCAFP00000030020
ENSGALP00000011976	ENSCAFP00000018839
ENSGALP00000024855	ENSCAFP00000041849
ENSGALP00000042850	ENSCAFP00000019099
ENSGALP00000033652	ENSCAFP00000042471
ENSGALP00000011971	ENSCAFP00000037953
ENSGALP00000033649	ENSCAFP00000018846
ENSGALP00000018235	ENSCAFP00000009132
ENSGALP00000021103	ENSCAFP00000015936
ENSGALP00000027206	ENSCAFP00000008783
ENSGALP00000026929	ENSCAFP00000003035
ENSGALP00000006738	ENSCAFP00000013874
ENSGALP00000024953	ENSCAFP00000039644
ENSGALP00000041666	ENSCAFP00000017037
ENSGALP00000023925	ENSCAFP00000001426
ENSGALP00000024913	ENSCAFP00000010681
ENSGALP00000003973	ENSCAFP00000008523
ENSGALP00000004444	ENSCAFP00000021553
ENSGALP00000021570	ENSCAFP00000029683
ENSGALP00000006916	ENSCAFP00000020737
ENSGALP00000036151	ENSCAFP00000000032
ENSGALP00000040814	ENSCAFP00000025905
ENSGALP00000040622	ENSCAFP00000039613
ENSGALP00000038523	ENSCAFP00000025477
ENSGALP00000026331	ENSCAFP00000024003
ENSGALP00000003970	ENSCAFP00000005367
ENSGALP00000019842	ENSCAFP00000022150
ENSGALP00000043429	ENSCAFP00000029639
ENSGALP00000040906	ENSCAFP00000018700
ENSGALP00000015519	ENSCAFP00000018942
ENSGALP00000015517	ENSCAFP00000003177
ENSGALP00000021743	ENSCAFP00000041233
ENSGALP00000001713	ENSCAFP00000028708
ENSGALP00000000626	ENSCAFP00000019683
ENSGALP00000032471	ENSCAFP00000014137
ENSGALP00000006610	ENSCAFP00000020384
ENSGALP00000027477	ENSCAFP00000009003
ENSGALP00000002224	ENSCAFP00000026323
ENSGALP00000042973	ENSCAFP00000037494
ENSGALP00000020036	ENSCAFP00000036652
ENSGALP00000011799	ENSCAFP00000008824
ENSGALP00000006645	ENSCAFP00000024276
ENSGALP00000021021	ENSCAFP00000004919
ENSGALP00000014400	ENSCAFP00000005317
ENSGALP00000007061	ENSCAFP00000015478
ENSGALP00000034297	ENSCAFP00000027600
ENSGALP00000009628	ENSCAFP00000022673
ENSGALP00000020540	ENSCAFP00000001958
ENSGALP00000039900	ENSCAFP00000012263
ENSGALP00000019136	ENSCAFP00000004740
ENSGALP00000026608	ENSCAFP00000006886
ENSGALP00000006816	ENSCAFP00000024133
ENSGALP00000010237	ENSCAFP00000013729
ENSGALP00000005183	ENSCAFP00000021570
ENSGALP00000023854	ENSCAFP00000013230
ENSGALP00000042279	ENSCAFP00000038471
ENSGALP00000043296	ENSCAFP00000002925
ENSGALP00000016504	ENSCAFP00000002924
ENSGALP00000017594	ENSCAFP00000011342
ENSGALP00000003605	ENSCAFP00000027100
ENSGALP00000004272	ENSCAFP00000010211
ENSGALP00000004366	ENSCAFP00000027229
ENSGALP00000000423	ENSCAFP00000038401
ENSGALP00000006426	ENSCAFP00000013877
ENSGALP00000014860	ENSCAFP00000005116
ENSGALP00000041570	ENSCAFP00000020107
ENSGALP00000025581	ENSCAFP00000003966
ENSGALP00000024602	ENSCAFP00000013583
ENSGALP00000041590	ENSCAFP00000019645
ENSGALP00000034083	ENSCAFP00000025091
ENSGALP00000025200	ENSCAFP00000004554
ENSGALP00000010774	ENSCAFP00000042713
ENSGALP00000041595	ENSCAFP00000009964
ENSGALP00000033543	ENSCAFP00000018157
ENSGALP00000038111	ENSCAFP00000004942
ENSGALP00000033249	ENSCAFP00000020374
ENSGALP00000000223	ENSCAFP00000015121
ENSGALP00000006462	ENSCAFP00000027678
ENSGALP00000015273	ENSCAFP00000021753
ENSGALP00000003483	ENSCAFP00000028620
ENSGALP00000023027	ENSCAFP00000020375
ENSGALP00000043336	ENSCAFP00000038936
ENSGALP00000042407	ENSCAFP00000004845
ENSGALP00000005231	ENSCAFP00000036441
ENSGALP00000009483	ENSCAFP00000029873
ENSGALP00000041928	ENSCAFP00000000550
ENSGALP00000027543	ENSCAFP00000009897
ENSGALP00000024461	ENSCAFP00000031869
ENSGALP00000037103	ENSCAFP00000032071
ENSGALP00000027996	ENSCAFP00000001786
ENSGALP00000025409	ENSCAFP00000038509
ENSGALP00000004574	ENSCAFP00000037679
ENSGALP00000024889	ENSCAFP00000005292
ENSGALP00000018252	ENSCAFP00000013398
ENSGALP00000025261	ENSCAFP00000035883
ENSGALP00000038592	ENSCAFP00000011536
ENSGALP00000010316	ENSCAFP00000020404
ENSGALP00000012240	ENSCAFP00000006427
ENSGALP00000032500	ENSCAFP00000015605
ENSGALP00000021356	ENSCAFP00000005101
ENSGALP00000043046	ENSCAFP00000024052
ENSGALP00000027517	ENSCAFP00000009488
ENSGALP00000023080	ENSCAFP00000023599
ENSGALP00000020127	ENSCAFP00000007651
ENSGALP00000043303	ENSCAFP00000011875
ENSGALP00000006759	ENSCAFP00000024108
ENSGALP00000013398	ENSCAFP00000015277
ENSGALP00000009076	ENSCAFP00000027492
ENSGALP00000013225	ENSCAFP00000014581
ENSGALP00000020504	ENSCAFP00000035619
ENSGALP00000042157	ENSCAFP00000014749
ENSGALP00000041481	ENSCAFP00000024019
ENSGALP00000022304	ENSCAFP00000031589
ENSGALP00000012613	ENSCAFP00000017479
ENSGALP00000001743	ENSCAFP00000036252
ENSGALP00000027184	ENSCAFP00000008996
ENSGALP00000022799	ENSCAFP00000002884
ENSGALP00000015323	ENSCAFP00000024409
ENSGALP00000038332	ENSCAFP00000007560
ENSGALP00000030103	ENSCAFP00000001057
ENSGALP00000020966	ENSCAFP00000005803
ENSGALP00000007477	ENSCAFP00000029704
ENSGALP00000018083	ENSCAFP00000027380
ENSGALP00000009349	ENSCAFP00000040628
ENSGALP00000015531	ENSCAFP00000018734
ENSGALP00000027001	ENSCAFP00000003369
ENSGALP00000009513	ENSCAFP00000000511
ENSGALP00000042648	ENSCAFP00000008964
ENSGALP00000017612	ENSCAFP00000027972
ENSGALP00000017617	ENSCAFP00000027955
ENSGALP00000023901	ENSCAFP00000027458
ENSGALP00000013735	ENSCAFP00000013818
ENSGALP00000039792	ENSCAFP00000021258
ENSGALP00000042131	ENSCAFP00000011826
ENSGALP00000024866	ENSCAFP00000010606
ENSGALP00000033981	ENSCAFP00000013783
ENSGALP00000005919	ENSCAFP00000014278
ENSGALP00000003108	ENSCAFP00000026031
ENSGALP00000018057	ENSCAFP00000017880
ENSGALP00000000236	ENSCAFP00000001183
ENSGALP00000041758	ENSCAFP00000001198
ENSGALP00000005918	ENSCAFP00000011396
ENSGALP00000026916	ENSCAFP00000002982
ENSGALP00000024965	ENSCAFP00000010757
ENSGALP00000024844	ENSCAFP00000010535
ENSGALP00000036419	ENSCAFP00000013721
ENSGALP00000040927	ENSCAFP00000013170
ENSGALP00000025962	ENSCAFP00000014998
ENSGALP00000012668	ENSCAFP00000020477
ENSGALP00000024856	ENSCAFP00000004081
ENSGALP00000042108	ENSCAFP00000026148
ENSGALP00000018540	ENSCAFP00000030253
ENSGALP00000021333	ENSCAFP00000005014
ENSGALP00000021927	ENSCAFP00000024021
ENSGALP00000042828	ENSCAFP00000035949
ENSGALP00000008742	ENSCAFP00000038277
ENSGALP00000029846	ENSCAFP00000014770
ENSGALP00000017812	ENSCAFP00000027739
ENSGALP00000016052	ENSCAFP00000005389
ENSGALP00000027572	ENSCAFP00000022385
ENSGALP00000015855	ENSCAFP00000012208
ENSGALP00000006706	ENSCAFP00000035961
ENSGALP00000041197	ENSCAFP00000024410
ENSGALP00000042434	ENSCAFP00000004364
ENSGALP00000016919	ENSCAFP00000014759
ENSGALP00000041062	ENSCAFP00000003067
ENSGALP00000006699	ENSCAFP00000013933
ENSGALP00000023943	ENSCAFP00000001409
ENSGALP00000022517	ENSCAFP00000019708
ENSGALP00000023842	ENSCAFP00000013071
ENSGALP00000005320	ENSCAFP00000021775
ENSGALP00000021227	ENSCAFP00000014784
ENSGALP00000031642	ENSCAFP00000012942
ENSGALP00000009416	ENSCAFP00000034803
ENSGALP00000042029	ENSCAFP00000035306
ENSGALP00000000835	ENSCAFP00000027335
ENSGALP00000021851	ENSCAFP00000023001
ENSGALP00000024641	ENSCAFP00000005627
ENSGALP00000041822	ENSCAFP00000042901
ENSGALP00000027470	ENSCAFP00000008944
ENSGALP00000009065	ENSCAFP00000024882
ENSGALP00000014081	ENSCAFP00000006746
ENSGALP00000020470	ENSCAFP00000002508
ENSGALP00000034313	ENSCAFP00000037475
ENSGALP00000037969	ENSCAFP00000041417
ENSGALP00000029689	ENSCAFP00000021028
ENSGALP00000002266	ENSCAFP00000022735
ENSGALP00000008101	ENSCAFP00000042451
ENSGALP00000015507	ENSCAFP00000021134
ENSGALP00000010092	ENSCAFP00000042686
ENSGALP00000018364	ENSCAFP00000014131
ENSGALP00000008859	ENSCAFP00000025104
ENSGALP00000011107	ENSCAFP00000017529
ENSGALP00000002102	ENSCAFP00000028361
ENSGALP00000009912	ENSCAFP00000029349
ENSGALP00000012993	ENSCAFP00000042579
ENSGALP00000019667	ENSCAFP00000001854
ENSGALP00000005132	ENSCAFP00000020955
ENSGALP00000010583	ENSCAFP00000019966
ENSGALP00000004578	ENSCAFP00000020445
ENSGALP00000000815	ENSCAFP00000020220
ENSGALP00000043277	ENSCAFP00000020040
ENSGALP00000034605	ENSCAFP00000002028
ENSGALP00000007047	ENSCAFP00000023411
ENSGALP00000014260	ENSCAFP00000004772
ENSGALP00000002190	ENSCAFP00000027393
ENSGALP00000002380	ENSCAFP00000013536
ENSGALP00000020754	ENSCAFP00000010967
ENSGALP00000015963	ENSCAFP00000018144
ENSGALP00000013883	ENSCAFP00000002550
ENSGALP00000019672	ENSCAFP00000018686
ENSGALP00000018684	ENSCAFP00000008070
ENSGALP00000010319	ENSCAFP00000015204
ENSGALP00000004476	ENSCAFP00000026719
ENSGALP00000002903	ENSCAFP00000033564
ENSGALP00000013470	ENSCAFP00000033192
ENSGALP00000021645	ENSCAFP00000013266
ENSGALP00000011511	ENSCAFP00000015703
ENSGALP00000038293	ENSCAFP00000027307
ENSGALP00000027108	ENSCAFP00000009569
ENSGALP00000004355	ENSCAFP00000011460
ENSGALP00000024537	ENSCAFP00000022476
ENSGALP00000007090	ENSCAFP00000016511
ENSGALP00000009799	ENSCAFP00000041279
ENSGALP00000008508	ENSCAFP00000010131
ENSGALP00000000945	ENSCAFP00000030051
ENSGALP00000012917	ENSCAFP00000017095
ENSGALP00000009265	ENSCAFP00000008426
ENSGALP00000006511	ENSCAFP00000014145
ENSGALP00000022208	ENSCAFP00000000859
ENSGALP00000002095	ENSCAFP00000026472
ENSGALP00000009365	ENSCAFP00000026469
ENSGALP00000041111	ENSCAFP00000029071
ENSGALP00000000595	ENSCAFP00000006235
ENSGALP00000018274	ENSCAFP00000040579
ENSGALP00000010236	ENSCAFP00000036692
ENSGALP00000031875	ENSCAFP00000026420
ENSGALP00000043043	ENSCAFP00000017789
ENSGALP00000023865	ENSCAFP00000013295
ENSGALP00000017275	ENSCAFP00000005569
ENSGALP00000033266	ENSCAFP00000001916
ENSGALP00000011874	ENSCAFP00000005913
ENSGALP00000018837	ENSCAFP00000004319
ENSGALP00000009617	ENSCAFP00000000488
ENSGALP00000041518	ENSCAFP00000020929
ENSGALP00000041263	ENSCAFP00000024294
ENSGALP00000023648	ENSCAFP00000000867
ENSGALP00000033003	ENSCAFP00000041094
ENSGALP00000041010	ENSCAFP00000019618
ENSGALP00000016147	ENSCAFP00000024952
ENSGALP00000008060	ENSCAFP00000022633
ENSGALP00000005756	ENSCAFP00000008454
ENSGALP00000023538	ENSCAFP00000024968
ENSGALP00000009752	ENSCAFP00000000360
ENSGALP00000041260	ENSCAFP00000017572
ENSGALP00000020874	ENSCAFP00000013819
ENSGALP00000023265	ENSCAFP00000022317
ENSGALP00000024275	ENSCAFP00000039921
ENSGALP00000001806	ENSCAFP00000015042
ENSGALP00000028780	ENSCAFP00000007463
ENSGALP00000041027	ENSCAFP00000000121
ENSGALP00000025887	ENSCAFP00000013151
ENSGALP00000015211	ENSCAFP00000017820
ENSGALP00000005157	ENSCAFP00000024586
ENSGALP00000038512	ENSCAFP00000014427
ENSGALP00000004240	ENSCAFP00000010182
ENSGALP00000021351	ENSCAFP00000018594
ENSGALP00000027228	ENSCAFP00000041042
ENSGALP00000019052	ENSCAFP00000017213
ENSGALP00000024751	ENSCAFP00000015207
ENSGALP00000010887	ENSCAFP00000017680
ENSGALP00000009030	ENSCAFP00000014886
ENSGALP00000001319	ENSCAFP00000008566
ENSGALP00000009095	ENSCAFP00000014939
ENSGALP00000041662	ENSCAFP00000041584
ENSGALP00000014300	ENSCAFP00000017275
ENSGALP00000003552	ENSCAFP00000026384
ENSGALP00000022752	ENSCAFP00000037413
ENSGALP00000016701	ENSCAFP00000009638
ENSGALP00000003806	ENSCAFP00000007269
ENSGALP00000024194	ENSCAFP00000026870
ENSGALP00000008116	ENSCAFP00000019461
ENSGALP00000020572	ENSCAFP00000001826
ENSGALP00000016460	ENSCAFP00000007005
ENSGALP00000002185	ENSCAFP00000014637
ENSGALP00000033890	ENSCAFP00000014469
ENSGALP00000018497	ENSCAFP00000030275
ENSGALP00000021275	ENSCAFP00000014869
ENSGALP00000013280	ENSCAFP00000014452
ENSGALP00000003187	ENSCAFP00000019835
ENSGALP00000023563	ENSCAFP00000038493
ENSGALP00000012127	ENSCAFP00000039324
ENSGALP00000042990	ENSCAFP00000039860
ENSGALP00000041233	ENSCAFP00000036390
ENSGALP00000026284	ENSCAFP00000019855
ENSGALP00000015774	ENSCAFP00000003118
ENSGALP00000004425	ENSCAFP00000027224
ENSGALP00000023430	ENSCAFP00000034848
ENSGALP00000024472	ENSCAFP00000015466
ENSGALP00000014665	ENSCAFP00000005192
ENSGALP00000032950	ENSCAFP00000019298
ENSGALP00000017323	ENSCAFP00000011661
ENSGALP00000026865	ENSCAFP00000003144
ENSGALP00000012451	ENSCAFP00000017664
ENSGALP00000030899	ENSCAFP00000003141
ENSGALP00000027185	ENSCAFP00000037362
ENSGALP00000027192	ENSCAFP00000035063
ENSGALP00000039229	ENSCAFP00000012337
ENSGALP00000043075	ENSCAFP00000024551
ENSGALP00000011808	ENSCAFP00000020603
