ENSCAFP00000018255	ENSP00000371994
ENSCAFP00000005476	ENSP00000352358
ENSCAFP00000026616	ENSP00000342222
ENSCAFP00000028560	ENSP00000301365
ENSCAFP00000041145	ENSP00000313670
ENSCAFP00000018218	ENSP00000264276
ENSCAFP00000031887	ENSP00000291536
ENSCAFP00000028664	ENSP00000367792
ENSCAFP00000012092	ENSP00000347486
ENSCAFP00000014679	ENSP00000371833
ENSCAFP00000014665	ENSP00000290472
ENSCAFP00000014661	ENSP00000382434
ENSCAFP00000020325	ENSP00000356436
ENSCAFP00000035638	ENSP00000306163
ENSCAFP00000010756	ENSP00000360762
ENSCAFP00000004620	ENSP00000430985
ENSCAFP00000008390	ENSP00000263674
ENSCAFP00000020133	ENSP00000340297
ENSCAFP00000023125	ENSP00000355060
ENSCAFP00000028873	ENSP00000250894
ENSCAFP00000025456	ENSP00000262013
ENSCAFP00000009449	ENSP00000380488
ENSCAFP00000016450	ENSP00000329654
ENSCAFP00000022568	ENSP00000252318
ENSCAFP00000011411	ENSP00000227756
ENSCAFP00000002279	ENSP00000369981
ENSCAFP00000019561	ENSP00000391372
ENSCAFP00000030020	ENSP00000418744
ENSCAFP00000029648	ENSP00000361645
ENSCAFP00000006483	ENSP00000474003
ENSCAFP00000018839	ENSP00000278937
ENSCAFP00000041849	ENSP00000352513
ENSCAFP00000019099	ENSP00000432943
ENSCAFP00000042471	ENSP00000278947
ENSCAFP00000037953	ENSP00000322460
ENSCAFP00000018846	ENSP00000278949
ENSCAFP00000035771	ENSP00000240618
ENSCAFP00000008864	ENSP00000322300
ENSCAFP00000009132	ENSP00000266712
ENSCAFP00000015936	ENSP00000442046
ENSCAFP00000008783	ENSP00000343871
ENSCAFP00000003035	ENSP00000283296
ENSCAFP00000003076	ENSP00000283303
ENSCAFP00000003070	ENSP00000296862
ENSCAFP00000003047	ENSP00000360299
ENSCAFP00000031600	ENSP00000307831
ENSCAFP00000013874	ENSP00000361995
ENSCAFP00000017037	ENSP00000268125
ENSCAFP00000001426	ENSP00000275162
ENSCAFP00000010681	ENSP00000428402
ENSCAFP00000015608	ENSP00000404381
ENSCAFP00000008523	ENSP00000302843
ENSCAFP00000023944	ENSP00000365007
ENSCAFP00000005896	ENSP00000238721
ENSCAFP00000021553	ENSP00000347872
ENSCAFP00000029683	ENSP00000303129
ENSCAFP00000000032	ENSP00000323678
ENSCAFP00000039820	ENSP00000436836
ENSCAFP00000025905	ENSP00000005284
ENSCAFP00000039613	ENSP00000300105
ENSCAFP00000037408	ENSP00000270458
ENSCAFP00000029570	ENSP00000376914
ENSCAFP00000038266	ENSP00000262429
ENSCAFP00000025459	ENSP00000349595
ENSCAFP00000020631	ENSP00000353072
ENSCAFP00000025477	ENSP00000440045
ENSCAFP00000024003	ENSP00000400258
ENSCAFP00000005367	ENSP00000362444
ENSCAFP00000027357	ENSP00000316377
ENSCAFP00000012515	ENSP00000363023
ENSCAFP00000022150	ENSP00000247191
ENSCAFP00000029639	ENSP00000359132
ENSCAFP00000013939	ENSP00000379032
ENSCAFP00000018700	ENSP00000363398
ENSCAFP00000001191	ENSP00000367446
ENSCAFP00000012166	ENSP00000220562
ENSCAFP00000018942	ENSP00000388658
ENSCAFP00000003177	ENSP00000400101
ENSCAFP00000023790	ENSP00000329033
ENSCAFP00000028708	ENSP00000367714
ENSCAFP00000018292	ENSP00000272937
ENSCAFP00000028585	ENSP00000393198
ENSCAFP00000028954	ENSP00000367065
ENSCAFP00000019683	ENSP00000307513
ENSCAFP00000014137	ENSP00000283243
ENSCAFP00000020384	ENSP00000356587
ENSCAFP00000009003	ENSP00000368952
ENSCAFP00000026323	ENSP00000319323
ENSCAFP00000034242	ENSP00000362410
ENSCAFP00000037494	ENSP00000328364
ENSCAFP00000017429	ENSP00000454062
ENSCAFP00000036652	ENSP00000345393
ENSCAFP00000008824	ENSP00000350369
ENSCAFP00000024276	ENSP00000344903
ENSCAFP00000004919	ENSP00000297282
ENSCAFP00000005317	ENSP00000194130
ENSCAFP00000015478	ENSP00000279027
ENSCAFP00000027600	ENSP00000392411
ENSCAFP00000022673	ENSP00000406220
ENSCAFP00000015089	ENSP00000255409
ENSCAFP00000020233	ENSP00000358747
ENSCAFP00000032028	ENSP00000358755
ENSCAFP00000001958	ENSP00000365251
ENSCAFP00000012263	ENSP00000435582
ENSCAFP00000004740	ENSP00000388275
ENSCAFP00000006886	ENSP00000353249
ENSCAFP00000032079	ENSP00000357597
ENSCAFP00000032168	ENSP00000410943
ENSCAFP00000040333	ENSP00000322802
ENSCAFP00000023693	ENSP00000364591
ENSCAFP00000024133	ENSP00000350854
ENSCAFP00000000746	ENSP00000351346
ENSCAFP00000002376	ENSP00000353422
ENSCAFP00000013600	ENSP00000437783
ENSCAFP00000013729	ENSP00000379500
ENSCAFP00000012843	ENSP00000260356
ENSCAFP00000021570	ENSP00000222271
ENSCAFP00000013230	ENSP00000339730
ENSCAFP00000025076	ENSP00000357362
ENSCAFP00000036551	ENSP00000383909
ENSCAFP00000002446	ENSP00000319651
ENSCAFP00000002919	ENSP00000371711
ENSCAFP00000038471	ENSP00000360500
ENSCAFP00000002925	ENSP00000371686
ENSCAFP00000002924	ENSP00000190165
ENSCAFP00000011342	ENSP00000227451
ENSCAFP00000017579	ENSP00000296161
ENSCAFP00000031222	ENSP00000447873
ENSCAFP00000027100	ENSP00000316532
ENSCAFP00000010211	ENSP00000410852
ENSCAFP00000040184	ENSP00000408581
ENSCAFP00000010222	ENSP00000299308
ENSCAFP00000024154	ENSP00000005286
ENSCAFP00000002697	ENSP00000361650
ENSCAFP00000038401	ENSP00000356275
ENSCAFP00000013877	ENSP00000431813
ENSCAFP00000005116	ENSP00000160373
ENSCAFP00000020107	ENSP00000271277
ENSCAFP00000003966	ENSP00000237172
ENSCAFP00000013583	ENSP00000346560
ENSCAFP00000019645	ENSP00000303758
ENSCAFP00000018635	ENSP00000251775
ENSCAFP00000025091	ENSP00000261889
ENSCAFP00000034493	ENSP00000368831
ENSCAFP00000004554	ENSP00000363349
ENSCAFP00000042713	ENSP00000238994
ENSCAFP00000009964	ENSP00000308318
ENSCAFP00000018157	ENSP00000360035
ENSCAFP00000016851	ENSP00000408288
ENSCAFP00000004942	ENSP00000284601
ENSCAFP00000020374	ENSP00000336630
ENSCAFP00000015121	ENSP00000356205
ENSCAFP00000027678	ENSP00000276218
ENSCAFP00000021753	ENSP00000391299
ENSCAFP00000028620	ENSP00000342313
ENSCAFP00000015226	ENSP00000257118
ENSCAFP00000020375	ENSP00000440674
ENSCAFP00000023164	ENSP00000361366
ENSCAFP00000038936	ENSP00000332723
ENSCAFP00000004845	ENSP00000411770
ENSCAFP00000011095	ENSP00000262225
ENSCAFP00000026000	ENSP00000214869
ENSCAFP00000029873	ENSP00000359305
ENSCAFP00000000100	ENSP00000238497
ENSCAFP00000000550	ENSP00000356381
ENSCAFP00000009897	ENSP00000369989
ENSCAFP00000025922	ENSP00000245121
ENSCAFP00000031869	ENSP00000233596
ENSCAFP00000032071	ENSP00000368959
ENSCAFP00000001786	ENSP00000254901
ENSCAFP00000038509	ENSP00000438346
ENSCAFP00000014184	ENSP00000303482
ENSCAFP00000037679	ENSP00000362863
ENSCAFP00000005292	ENSP00000358159
ENSCAFP00000013398	ENSP00000295488
ENSCAFP00000035883	ENSP00000435506
ENSCAFP00000011536	ENSP00000253083
ENSCAFP00000019716	ENSP00000336747
ENSCAFP00000020404	ENSP00000267984
ENSCAFP00000003172	ENSP00000316029
ENSCAFP00000024901	ENSP00000453508
ENSCAFP00000006427	ENSP00000365411
ENSCAFP00000036986	ENSP00000316543
ENSCAFP00000015605	ENSP00000263915
ENSCAFP00000005101	ENSP00000381793
ENSCAFP00000024052	ENSP00000403459
ENSCAFP00000024306	ENSP00000427458
ENSCAFP00000025530	ENSP00000343490
ENSCAFP00000009488	ENSP00000369442
ENSCAFP00000023599	ENSP00000257408
ENSCAFP00000007651	ENSP00000264162
ENSCAFP00000011875	ENSP00000240285
ENSCAFP00000024108	ENSP00000365397
ENSCAFP00000013982	ENSP00000333300
ENSCAFP00000010491	ENSP00000307607
ENSCAFP00000015277	ENSP00000358854
ENSCAFP00000027492	ENSP00000262394
ENSCAFP00000014581	ENSP00000319474
ENSCAFP00000035619	ENSP00000387078
ENSCAFP00000017862	ENSP00000258281
ENSCAFP00000033087	ENSP00000244573
ENSCAFP00000016102	ENSP00000341214
ENSCAFP00000042530	ENSP00000307705
ENSCAFP00000031240	ENSP00000254691
ENSCAFP00000014749	ENSP00000276420
ENSCAFP00000024019	ENSP00000349727
ENSCAFP00000031589	ENSP00000372160
ENSCAFP00000017479	ENSP00000262593
ENSCAFP00000036252	ENSP00000344277
ENSCAFP00000035777	ENSP00000347003
ENSCAFP00000036663	ENSP00000263512
ENSCAFP00000013903	ENSP00000273905
ENSCAFP00000008996	ENSP00000245312
ENSCAFP00000002884	ENSP00000273861
ENSCAFP00000024409	ENSP00000216540
ENSCAFP00000007560	ENSP00000313681
