ENSTNIP00000004863	ENSTGUP00000008915
ENSTNIP00000012410	ENSTGUP00000007581
ENSTNIP00000004170	ENSTGUP00000002648
ENSTNIP00000000096	ENSTGUP00000001638
ENSTNIP00000019810	ENSTGUP00000002188
ENSTNIP00000004172	ENSTGUP00000002190
ENSTNIP00000008001	ENSTGUP00000008066
ENSTNIP00000005750	ENSTGUP00000002551
ENSTNIP00000015048	ENSTGUP00000010646
ENSTNIP00000000796	ENSTGUP00000011871
ENSTNIP00000016575	ENSTGUP00000000742
ENSTNIP00000021248	ENSTGUP00000006629
ENSTNIP00000015493	ENSTGUP00000003796
ENSTNIP00000021220	ENSTGUP00000006934
ENSTNIP00000017433	ENSTGUP00000011117
ENSTNIP00000006953	ENSTGUP00000000374
ENSTNIP00000000410	ENSTGUP00000011415
ENSTNIP00000022974	ENSTGUP00000001560
ENSTNIP00000006791	ENSTGUP00000009514
ENSTNIP00000015607	ENSTGUP00000009514
ENSTNIP00000004007	ENSTGUP00000002561
ENSTNIP00000001462	ENSTGUP00000013124
ENSTNIP00000013657	ENSTGUP00000013124
ENSTNIP00000020379	ENSTGUP00000012102
ENSTNIP00000008352	ENSTGUP00000013346
ENSTNIP00000001079	ENSTGUP00000013353
ENSTNIP00000007481	ENSTGUP00000016403
ENSTNIP00000016052	ENSTGUP00000017623
ENSTNIP00000020615	ENSTGUP00000017623
ENSTNIP00000019677	ENSTGUP00000013167
ENSTNIP00000009421	ENSTGUP00000009752
ENSTNIP00000013063	ENSTGUP00000000287
ENSTNIP00000009402	ENSTGUP00000008638
ENSTNIP00000004502	ENSTGUP00000010255
ENSTNIP00000013944	ENSTGUP00000008451
ENSTNIP00000010409	ENSTGUP00000000354
ENSTNIP00000017707	ENSTGUP00000004287
ENSTNIP00000018493	ENSTGUP00000004287
ENSTNIP00000014875	ENSTGUP00000008720
ENSTNIP00000018958	ENSTGUP00000007254
ENSTNIP00000023021	ENSTGUP00000000599
ENSTNIP00000016631	ENSTGUP00000009842
ENSTNIP00000010696	ENSTGUP00000009842
ENSTNIP00000013315	ENSTGUP00000004395
ENSTNIP00000007749	ENSTGUP00000014311
ENSTNIP00000020639	ENSTGUP00000010722
ENSTNIP00000019074	ENSTGUP00000006018
ENSTNIP00000017165	ENSTGUP00000013065
ENSTNIP00000008726	ENSTGUP00000012921
ENSTNIP00000005999	ENSTGUP00000013073
ENSTNIP00000012469	ENSTGUP00000009461
ENSTNIP00000005334	ENSTGUP00000008600
ENSTNIP00000002104	ENSTGUP00000013380
ENSTNIP00000010273	ENSTGUP00000003980
ENSTNIP00000010274	ENSTGUP00000003970
ENSTNIP00000020485	ENSTGUP00000013381
ENSTNIP00000015355	ENSTGUP00000013262
ENSTNIP00000006777	ENSTGUP00000001041
ENSTNIP00000018579	ENSTGUP00000001041
ENSTNIP00000017504	ENSTGUP00000010929
ENSTNIP00000014347	ENSTGUP00000002766
ENSTNIP00000015091	ENSTGUP00000002766
ENSTNIP00000022535	ENSTGUP00000013550
ENSTNIP00000006529	ENSTGUP00000012344
ENSTNIP00000012589	ENSTGUP00000012344
ENSTNIP00000019489	ENSTGUP00000008206
ENSTNIP00000008351	ENSTGUP00000013344
ENSTNIP00000011343	ENSTGUP00000011271
ENSTNIP00000009832	ENSTGUP00000003913
ENSTNIP00000010059	ENSTGUP00000012263
ENSTNIP00000005460	ENSTGUP00000002408
ENSTNIP00000000589	ENSTGUP00000013640
ENSTNIP00000009807	ENSTGUP00000013640
ENSTNIP00000016240	ENSTGUP00000004846
ENSTNIP00000018847	ENSTGUP00000005066
ENSTNIP00000002068	ENSTGUP00000017308
ENSTNIP00000005351	ENSTGUP00000001303
ENSTNIP00000004489	ENSTGUP00000000660
ENSTNIP00000006781	ENSTGUP00000008161
ENSTNIP00000019601	ENSTGUP00000007176
ENSTNIP00000018159	ENSTGUP00000017739
ENSTNIP00000000759	ENSTGUP00000017739
ENSTNIP00000000110	ENSTGUP00000002152
ENSTNIP00000012771	ENSTGUP00000010598
ENSTNIP00000010967	ENSTGUP00000001243
ENSTNIP00000009154	ENSTGUP00000007549
ENSTNIP00000009164	ENSTGUP00000007549
ENSTNIP00000008569	ENSTGUP00000001271
ENSTNIP00000007319	ENSTGUP00000008110
ENSTNIP00000007704	ENSTGUP00000002531
ENSTNIP00000021294	ENSTGUP00000000391
ENSTNIP00000015101	ENSTGUP00000011372
ENSTNIP00000016469	ENSTGUP00000003950
ENSTNIP00000009582	ENSTGUP00000001715
ENSTNIP00000018175	ENSTGUP00000001715
ENSTNIP00000012663	ENSTGUP00000016151
ENSTNIP00000018971	ENSTGUP00000007634
ENSTNIP00000015857	ENSTGUP00000009034
ENSTNIP00000021291	ENSTGUP00000003563
ENSTNIP00000008855	ENSTGUP00000008691
ENSTNIP00000000564	ENSTGUP00000003264
ENSTNIP00000004971	ENSTGUP00000009628
ENSTNIP00000019862	ENSTGUP00000008404
ENSTNIP00000008151	ENSTGUP00000004600
ENSTNIP00000001004	ENSTGUP00000004600
ENSTNIP00000005236	ENSTGUP00000007997
ENSTNIP00000022156	ENSTGUP00000006527
ENSTNIP00000001946	ENSTGUP00000000237
ENSTNIP00000005006	ENSTGUP00000000237
ENSTNIP00000000517	ENSTGUP00000013904
ENSTNIP00000009610	ENSTGUP00000017637
ENSTNIP00000009607	ENSTGUP00000000233
ENSTNIP00000011635	ENSTGUP00000008091
ENSTNIP00000013963	ENSTGUP00000008091
ENSTNIP00000016718	ENSTGUP00000008275
ENSTNIP00000018027	ENSTGUP00000011245
ENSTNIP00000011823	ENSTGUP00000007184
ENSTNIP00000015408	ENSTGUP00000005413
ENSTNIP00000005958	ENSTGUP00000011588
ENSTNIP00000013297	ENSTGUP00000008513
ENSTNIP00000012416	ENSTGUP00000008513
ENSTNIP00000005978	ENSTGUP00000012176
ENSTNIP00000009466	ENSTGUP00000011569
ENSTNIP00000009886	ENSTGUP00000015744
ENSTNIP00000021184	ENSTGUP00000003599
ENSTNIP00000012902	ENSTGUP00000015009
ENSTNIP00000011486	ENSTGUP00000004590
ENSTNIP00000013856	ENSTGUP00000017430
ENSTNIP00000008963	ENSTGUP00000017430
ENSTNIP00000004438	ENSTGUP00000013582
ENSTNIP00000014678	ENSTGUP00000002938
ENSTNIP00000012223	ENSTGUP00000009423
ENSTNIP00000005888	ENSTGUP00000010729
ENSTNIP00000017140	ENSTGUP00000004504
ENSTNIP00000014563	ENSTGUP00000006373
ENSTNIP00000008143	ENSTGUP00000006373
ENSTNIP00000014905	ENSTGUP00000004516
ENSTNIP00000001466	ENSTGUP00000004279
ENSTNIP00000020628	ENSTGUP00000013320
ENSTNIP00000013668	ENSTGUP00000013320
ENSTNIP00000012089	ENSTGUP00000001792
ENSTNIP00000015859	ENSTGUP00000013464
ENSTNIP00000018329	ENSTGUP00000005217
ENSTNIP00000022303	ENSTGUP00000012701
ENSTNIP00000019168	ENSTGUP00000010139
ENSTNIP00000011334	ENSTGUP00000000051
ENSTNIP00000003806	ENSTGUP00000005561
ENSTNIP00000014676	ENSTGUP00000003162
ENSTNIP00000012347	ENSTGUP00000006712
ENSTNIP00000002910	ENSTGUP00000017666
ENSTNIP00000021024	ENSTGUP00000004803
ENSTNIP00000010120	ENSTGUP00000004803
ENSTNIP00000003138	ENSTGUP00000013116
ENSTNIP00000002365	ENSTGUP00000010757
ENSTNIP00000007116	ENSTGUP00000008481
ENSTNIP00000007873	ENSTGUP00000011888
ENSTNIP00000003073	ENSTGUP00000004522
ENSTNIP00000015440	ENSTGUP00000005546
ENSTNIP00000002945	ENSTGUP00000009193
ENSTNIP00000010493	ENSTGUP00000009193
ENSTNIP00000011180	ENSTGUP00000007870
ENSTNIP00000012573	ENSTGUP00000015337
ENSTNIP00000018552	ENSTGUP00000008844
ENSTNIP00000014332	ENSTGUP00000009196
ENSTNIP00000013368	ENSTGUP00000009228
ENSTNIP00000010042	ENSTGUP00000012466
ENSTNIP00000019093	ENSTGUP00000012466
ENSTNIP00000019695	ENSTGUP00000010031
ENSTNIP00000012955	ENSTGUP00000014507
ENSTNIP00000017286	ENSTGUP00000003709
ENSTNIP00000001272	ENSTGUP00000005681
ENSTNIP00000018716	ENSTGUP00000005669
ENSTNIP00000007349	ENSTGUP00000004672
ENSTNIP00000008800	ENSTGUP00000007357
ENSTNIP00000017585	ENSTGUP00000003986
ENSTNIP00000005456	ENSTGUP00000002936
ENSTNIP00000013171	ENSTGUP00000005160
ENSTNIP00000007796	ENSTGUP00000007730
ENSTNIP00000012491	ENSTGUP00000016201
ENSTNIP00000019154	ENSTGUP00000004958
ENSTNIP00000009836	ENSTGUP00000017828
ENSTNIP00000006621	ENSTGUP00000017828
ENSTNIP00000013169	ENSTGUP00000014041
ENSTNIP00000020394	ENSTGUP00000001481
ENSTNIP00000019855	ENSTGUP00000001167
ENSTNIP00000007224	ENSTGUP00000005641
ENSTNIP00000005096	ENSTGUP00000008758
ENSTNIP00000021793	ENSTGUP00000008758
ENSTNIP00000021927	ENSTGUP00000005051
ENSTNIP00000000313	ENSTGUP00000008220
ENSTNIP00000011303	ENSTGUP00000005553
ENSTNIP00000002396	ENSTGUP00000005553
ENSTNIP00000011379	ENSTGUP00000006849
ENSTNIP00000014388	ENSTGUP00000010366
ENSTNIP00000008007	ENSTGUP00000010366
ENSTNIP00000010066	ENSTGUP00000001424
ENSTNIP00000018178	ENSTGUP00000001424
ENSTNIP00000001223	ENSTGUP00000018065
ENSTNIP00000011712	ENSTGUP00000011327
ENSTNIP00000018212	ENSTGUP00000004064
ENSTNIP00000020441	ENSTGUP00000013371
ENSTNIP00000014310	ENSTGUP00000014657
ENSTNIP00000008951	ENSTGUP00000006126
ENSTNIP00000005265	ENSTGUP00000011714
ENSTNIP00000018050	ENSTGUP00000012054
ENSTNIP00000005574	ENSTGUP00000000875
ENSTNIP00000022651	ENSTGUP00000001057
ENSTNIP00000013428	ENSTGUP00000000004
ENSTNIP00000004379	ENSTGUP00000011132
ENSTNIP00000006105	ENSTGUP00000005347
ENSTNIP00000007744	ENSTGUP00000012638
ENSTNIP00000008380	ENSTGUP00000002235
ENSTNIP00000016861	ENSTGUP00000010871
ENSTNIP00000006950	ENSTGUP00000014902
ENSTNIP00000017196	ENSTGUP00000003269
ENSTNIP00000009478	ENSTGUP00000008191
ENSTNIP00000014487	ENSTGUP00000010058
ENSTNIP00000017549	ENSTGUP00000010058
ENSTNIP00000019602	ENSTGUP00000007219
ENSTNIP00000022315	ENSTGUP00000008212
ENSTNIP00000012118	ENSTGUP00000008212
ENSTNIP00000014813	ENSTGUP00000002306
ENSTNIP00000004852	ENSTGUP00000012158
ENSTNIP00000017224	ENSTGUP00000009157
ENSTNIP00000001031	ENSTGUP00000012145
ENSTNIP00000015169	ENSTGUP00000002564
ENSTNIP00000015050	ENSTGUP00000010617
ENSTNIP00000018688	ENSTGUP00000015957
ENSTNIP00000012343	ENSTGUP00000012594
ENSTNIP00000009061	ENSTGUP00000010318
ENSTNIP00000015798	ENSTGUP00000010848
ENSTNIP00000011001	ENSTGUP00000009545
ENSTNIP00000020983	ENSTGUP00000011142
ENSTNIP00000020818	ENSTGUP00000008315
ENSTNIP00000013389	ENSTGUP00000003893
ENSTNIP00000011277	ENSTGUP00000003893
ENSTNIP00000006122	ENSTGUP00000009747
ENSTNIP00000011641	ENSTGUP00000011981
ENSTNIP00000007612	ENSTGUP00000007205
ENSTNIP00000019840	ENSTGUP00000007205
ENSTNIP00000011159	ENSTGUP00000014107
ENSTNIP00000022041	ENSTGUP00000001972
ENSTNIP00000016879	ENSTGUP00000010492
ENSTNIP00000010691	ENSTGUP00000009905
ENSTNIP00000010690	ENSTGUP00000009932
ENSTNIP00000016441	ENSTGUP00000002220
ENSTNIP00000001130	ENSTGUP00000002273
ENSTNIP00000005961	ENSTGUP00000011073
ENSTNIP00000012480	ENSTGUP00000011073
ENSTNIP00000008075	ENSTGUP00000004253
ENSTNIP00000011492	ENSTGUP00000004253
ENSTNIP00000016114	ENSTGUP00000007190
ENSTNIP00000007696	ENSTGUP00000007729
ENSTNIP00000019853	ENSTGUP00000001358
ENSTNIP00000016462	ENSTGUP00000001358
ENSTNIP00000005231	ENSTGUP00000004537
ENSTNIP00000020838	ENSTGUP00000010327
ENSTNIP00000004847	ENSTGUP00000015676
ENSTNIP00000022051	ENSTGUP00000005720
ENSTNIP00000021309	ENSTGUP00000011472
ENSTNIP00000006568	ENSTGUP00000002243
ENSTNIP00000010646	ENSTGUP00000012150
ENSTNIP00000011422	ENSTGUP00000005584
ENSTNIP00000010597	ENSTGUP00000000273
ENSTNIP00000001510	ENSTGUP00000014702
ENSTNIP00000002866	ENSTGUP00000010766
ENSTNIP00000000411	ENSTGUP00000010766
ENSTNIP00000019535	ENSTGUP00000002968
ENSTNIP00000006780	ENSTGUP00000008158
ENSTNIP00000017158	ENSTGUP00000002315
ENSTNIP00000007680	ENSTGUP00000004524
ENSTNIP00000018739	ENSTGUP00000013743
ENSTNIP00000021262	ENSTGUP00000010115
ENSTNIP00000020866	ENSTGUP00000002464
ENSTNIP00000020812	ENSTGUP00000008113
ENSTNIP00000016795	ENSTGUP00000004045
ENSTNIP00000010428	ENSTGUP00000000496
ENSTNIP00000019018	ENSTGUP00000003646
ENSTNIP00000011550	ENSTGUP00000011148
ENSTNIP00000009447	ENSTGUP00000011148
ENSTNIP00000017940	ENSTGUP00000000739
ENSTNIP00000017046	ENSTGUP00000014708
ENSTNIP00000012546	ENSTGUP00000014708
ENSTNIP00000006405	ENSTGUP00000005396
ENSTNIP00000022845	ENSTGUP00000012194
ENSTNIP00000021960	ENSTGUP00000010522
ENSTNIP00000018476	ENSTGUP00000003660
ENSTNIP00000016528	ENSTGUP00000001609
ENSTNIP00000007195	ENSTGUP00000001609
ENSTNIP00000011522	ENSTGUP00000008103
ENSTNIP00000015086	ENSTGUP00000002845
ENSTNIP00000022223	ENSTGUP00000012368
ENSTNIP00000014710	ENSTGUP00000012368
ENSTNIP00000001157	ENSTGUP00000007495
ENSTNIP00000021828	ENSTGUP00000001329
ENSTNIP00000015014	ENSTGUP00000011194
ENSTNIP00000002105	ENSTGUP00000011194
ENSTNIP00000019290	ENSTGUP00000005970
ENSTNIP00000019257	ENSTGUP00000005970
ENSTNIP00000014520	ENSTGUP00000006607
ENSTNIP00000010470	ENSTGUP00000007643
ENSTNIP00000010528	ENSTGUP00000011495
ENSTNIP00000018325	ENSTGUP00000011495
ENSTNIP00000013983	ENSTGUP00000002579
ENSTNIP00000021073	ENSTGUP00000009243
ENSTNIP00000017705	ENSTGUP00000009243
ENSTNIP00000011693	ENSTGUP00000008195
ENSTNIP00000006587	ENSTGUP00000008899
ENSTNIP00000007298	ENSTGUP00000007251
ENSTNIP00000014555	ENSTGUP00000007251
ENSTNIP00000011236	ENSTGUP00000003402
ENSTNIP00000009498	ENSTGUP00000006993
ENSTNIP00000017756	ENSTGUP00000017749
ENSTNIP00000000616	ENSTGUP00000010084
ENSTNIP00000008752	ENSTGUP00000003320
ENSTNIP00000012183	ENSTGUP00000006703
ENSTNIP00000004829	ENSTGUP00000007893
ENSTNIP00000011984	ENSTGUP00000003515
ENSTNIP00000019113	ENSTGUP00000011559
ENSTNIP00000007834	ENSTGUP00000012311
ENSTNIP00000013674	ENSTGUP00000003197
ENSTNIP00000015346	ENSTGUP00000013348
ENSTNIP00000016368	ENSTGUP00000005123
ENSTNIP00000011151	ENSTGUP00000004095
ENSTNIP00000000423	ENSTGUP00000003758
ENSTNIP00000002777	ENSTGUP00000004199
ENSTNIP00000021687	ENSTGUP00000010834
ENSTNIP00000009476	ENSTGUP00000009111
ENSTNIP00000010661	ENSTGUP00000008695
ENSTNIP00000000098	ENSTGUP00000008695
ENSTNIP00000016779	ENSTGUP00000013829
ENSTNIP00000017498	ENSTGUP00000013829
ENSTNIP00000018352	ENSTGUP00000010235
ENSTNIP00000012220	ENSTGUP00000008367
ENSTNIP00000015072	ENSTGUP00000008367
ENSTNIP00000005497	ENSTGUP00000006827
ENSTNIP00000014296	ENSTGUP00000007212
ENSTNIP00000016990	ENSTGUP00000011398
ENSTNIP00000016268	ENSTGUP00000011398
ENSTNIP00000010668	ENSTGUP00000006292
ENSTNIP00000007894	ENSTGUP00000005243
ENSTNIP00000008339	ENSTGUP00000001022
ENSTNIP00000012537	ENSTGUP00000001022
ENSTNIP00000005158	ENSTGUP00000012221
ENSTNIP00000017321	ENSTGUP00000008143
ENSTNIP00000015935	ENSTGUP00000001280
ENSTNIP00000017695	ENSTGUP00000009392
ENSTNIP00000018480	ENSTGUP00000003813
ENSTNIP00000005346	ENSTGUP00000009322
ENSTNIP00000011559	ENSTGUP00000001078
ENSTNIP00000016789	ENSTGUP00000003805
ENSTNIP00000018413	ENSTGUP00000001706
ENSTNIP00000011852	ENSTGUP00000001137
ENSTNIP00000022823	ENSTGUP00000005796
ENSTNIP00000018674	ENSTGUP00000010923
ENSTNIP00000014081	ENSTGUP00000001933
ENSTNIP00000019882	ENSTGUP00000005580
ENSTNIP00000020719	ENSTGUP00000016909
ENSTNIP00000016667	ENSTGUP00000002295
ENSTNIP00000005205	ENSTGUP00000017565
ENSTNIP00000012925	ENSTGUP00000013795
ENSTNIP00000020923	ENSTGUP00000001543
ENSTNIP00000005755	ENSTGUP00000005490
ENSTNIP00000007972	ENSTGUP00000011756
ENSTNIP00000011784	ENSTGUP00000000350
ENSTNIP00000011511	ENSTGUP00000010374
ENSTNIP00000016400	ENSTGUP00000004992
ENSTNIP00000011179	ENSTGUP00000012752
ENSTNIP00000004831	ENSTGUP00000011386
ENSTNIP00000016989	ENSTGUP00000011386
ENSTNIP00000019391	ENSTGUP00000000411
ENSTNIP00000012876	ENSTGUP00000000411
ENSTNIP00000006894	ENSTGUP00000007694
ENSTNIP00000016351	ENSTGUP00000007820
ENSTNIP00000014803	ENSTGUP00000007820
ENSTNIP00000010643	ENSTGUP00000010849
ENSTNIP00000015818	ENSTGUP00000009494
ENSTNIP00000020815	ENSTGUP00000008190
ENSTNIP00000010045	ENSTGUP00000012093
ENSTNIP00000022447	ENSTGUP00000010286
ENSTNIP00000014542	ENSTGUP00000008731
ENSTNIP00000017880	ENSTGUP00000010802
ENSTNIP00000006749	ENSTGUP00000015194
ENSTNIP00000001875	ENSTGUP00000007994
ENSTNIP00000013408	ENSTGUP00000010703
ENSTNIP00000010992	ENSTGUP00000007952
ENSTNIP00000002713	ENSTGUP00000010731
ENSTNIP00000006669	ENSTGUP00000004821
ENSTNIP00000016041	ENSTGUP00000002072
ENSTNIP00000020843	ENSTGUP00000008622
ENSTNIP00000020062	ENSTGUP00000008792
ENSTNIP00000020088	ENSTGUP00000015019
ENSTNIP00000007222	ENSTGUP00000015594
ENSTNIP00000022474	ENSTGUP00000017492
ENSTNIP00000006067	ENSTGUP00000013684
ENSTNIP00000014513	ENSTGUP00000013822
ENSTNIP00000017242	ENSTGUP00000001646
ENSTNIP00000019503	ENSTGUP00000012821
ENSTNIP00000020777	ENSTGUP00000006097
ENSTNIP00000010867	ENSTGUP00000013715
ENSTNIP00000016923	ENSTGUP00000009109
ENSTNIP00000007240	ENSTGUP00000001729
ENSTNIP00000006442	ENSTGUP00000008641
ENSTNIP00000006604	ENSTGUP00000013657
ENSTNIP00000011170	ENSTGUP00000010367
ENSTNIP00000020513	ENSTGUP00000013586
ENSTNIP00000001464	ENSTGUP00000012185
ENSTNIP00000014602	ENSTGUP00000002478
ENSTNIP00000008968	ENSTGUP00000002478
ENSTNIP00000018612	ENSTGUP00000009658
ENSTNIP00000020093	ENSTGUP00000001820
ENSTNIP00000010191	ENSTGUP00000017533
ENSTNIP00000018315	ENSTGUP00000017724
ENSTNIP00000006583	ENSTGUP00000007779
ENSTNIP00000012883	ENSTGUP00000013125
ENSTNIP00000018867	ENSTGUP00000003825
ENSTNIP00000014315	ENSTGUP00000006820
ENSTNIP00000014400	ENSTGUP00000006661
ENSTNIP00000010539	ENSTGUP00000004557
ENSTNIP00000001072	ENSTGUP00000009938
ENSTNIP00000008244	ENSTGUP00000010389
ENSTNIP00000005903	ENSTGUP00000011771
ENSTNIP00000002780	ENSTGUP00000011932
ENSTNIP00000009911	ENSTGUP00000005259
ENSTNIP00000012114	ENSTGUP00000003891
ENSTNIP00000018732	ENSTGUP00000013758
ENSTNIP00000011940	ENSTGUP00000010432
ENSTNIP00000002504	ENSTGUP00000007872
ENSTNIP00000015535	ENSTGUP00000010238
ENSTNIP00000010163	ENSTGUP00000010238
ENSTNIP00000002484	ENSTGUP00000000002
ENSTNIP00000022310	ENSTGUP00000003655
ENSTNIP00000020728	ENSTGUP00000003655
ENSTNIP00000019596	ENSTGUP00000006891
ENSTNIP00000018105	ENSTGUP00000004276
ENSTNIP00000017590	ENSTGUP00000004276
ENSTNIP00000002204	ENSTGUP00000016586
ENSTNIP00000005910	ENSTGUP00000013686
ENSTNIP00000003642	ENSTGUP00000010596
ENSTNIP00000020693	ENSTGUP00000016945
ENSTNIP00000016710	ENSTGUP00000004000
ENSTNIP00000021717	ENSTGUP00000004000
ENSTNIP00000016161	ENSTGUP00000000277
