ENSORLP00000017023	ENSGALP00000006197
ENSORLP00000000034	ENSGALP00000038787
ENSORLP00000013671	ENSGALP00000000530
ENSORLP00000012537	ENSGALP00000011453
ENSORLP00000006742	ENSGALP00000018774
ENSORLP00000009294	ENSGALP00000018209
ENSORLP00000006181	ENSGALP00000018209
ENSORLP00000018956	ENSGALP00000014878
ENSORLP00000014883	ENSGALP00000019882
ENSORLP00000017224	ENSGALP00000041356
ENSORLP00000004455	ENSGALP00000041356
ENSORLP00000007557	ENSGALP00000013781
ENSORLP00000007575	ENSGALP00000013726
ENSORLP00000016131	ENSGALP00000020307
ENSORLP00000021474	ENSGALP00000020307
ENSORLP00000002773	ENSGALP00000018675
ENSORLP00000018416	ENSGALP00000018675
ENSORLP00000015721	ENSGALP00000027075
ENSORLP00000005075	ENSGALP00000008481
ENSORLP00000004108	ENSGALP00000014663
ENSORLP00000005033	ENSGALP00000014663
ENSORLP00000005082	ENSGALP00000008104
ENSORLP00000004103	ENSGALP00000014672
ENSORLP00000015324	ENSGALP00000016015
ENSORLP00000002202	ENSGALP00000025920
ENSORLP00000003059	ENSGALP00000009133
ENSORLP00000018136	ENSGALP00000003295
ENSORLP00000018833	ENSGALP00000018278
ENSORLP00000004173	ENSGALP00000005914
ENSORLP00000002542	ENSGALP00000005933
ENSORLP00000025253	ENSGALP00000037396
ENSORLP00000004274	ENSGALP00000009678
ENSORLP00000015164	ENSGALP00000014673
ENSORLP00000016308	ENSGALP00000013448
ENSORLP00000024941	ENSGALP00000024083
ENSORLP00000024951	ENSGALP00000024082
ENSORLP00000022635	ENSGALP00000019723
ENSORLP00000018715	ENSGALP00000011296
ENSORLP00000010626	ENSGALP00000011296
ENSORLP00000012886	ENSGALP00000023592
ENSORLP00000001311	ENSGALP00000023592
ENSORLP00000013607	ENSGALP00000014112
ENSORLP00000025288	ENSGALP00000041748
ENSORLP00000019460	ENSGALP00000010121
ENSORLP00000017788	ENSGALP00000018337
ENSORLP00000010861	ENSGALP00000017274
ENSORLP00000001374	ENSGALP00000010722
ENSORLP00000014802	ENSGALP00000041770
ENSORLP00000011582	ENSGALP00000040940
ENSORLP00000018111	ENSGALP00000033380
ENSORLP00000005218	ENSGALP00000015469
ENSORLP00000013299	ENSGALP00000011904
ENSORLP00000016364	ENSGALP00000000058
ENSORLP00000019561	ENSGALP00000018258
ENSORLP00000011906	ENSGALP00000018258
ENSORLP00000016312	ENSGALP00000042267
ENSORLP00000022007	ENSGALP00000026355
ENSORLP00000022338	ENSGALP00000026363
ENSORLP00000025861	ENSGALP00000005166
ENSORLP00000021466	ENSGALP00000005166
ENSORLP00000012741	ENSGALP00000026192
ENSORLP00000011358	ENSGALP00000016984
ENSORLP00000020718	ENSGALP00000041658
ENSORLP00000017749	ENSGALP00000037169
ENSORLP00000019122	ENSGALP00000018378
ENSORLP00000019397	ENSGALP00000012308
ENSORLP00000002704	ENSGALP00000032209
ENSORLP00000011850	ENSGALP00000032209
ENSORLP00000018351	ENSGALP00000011089
ENSORLP00000018365	ENSGALP00000011089
ENSORLP00000020399	ENSGALP00000042413
ENSORLP00000003855	ENSGALP00000042413
ENSORLP00000008892	ENSGALP00000007956
ENSORLP00000024191	ENSGALP00000020873
ENSORLP00000021088	ENSGALP00000041496
ENSORLP00000008411	ENSGALP00000013164
ENSORLP00000002451	ENSGALP00000013164
ENSORLP00000006366	ENSGALP00000020507
ENSORLP00000016596	ENSGALP00000012087
ENSORLP00000012171	ENSGALP00000012087
ENSORLP00000000643	ENSGALP00000030077
ENSORLP00000003863	ENSGALP00000040977
ENSORLP00000003946	ENSGALP00000013575
ENSORLP00000004025	ENSGALP00000015542
ENSORLP00000002826	ENSGALP00000025631
ENSORLP00000003087	ENSGALP00000025631
ENSORLP00000008236	ENSGALP00000026153
ENSORLP00000025646	ENSGALP00000010290
ENSORLP00000019732	ENSGALP00000028023
ENSORLP00000019739	ENSGALP00000036578
ENSORLP00000005562	ENSGALP00000043451
ENSORLP00000019744	ENSGALP00000036574
ENSORLP00000000954	ENSGALP00000025071
ENSORLP00000022406	ENSGALP00000018782
ENSORLP00000019916	ENSGALP00000025254
ENSORLP00000022541	ENSGALP00000040460
ENSORLP00000021818	ENSGALP00000040460
ENSORLP00000020061	ENSGALP00000038910
ENSORLP00000013463	ENSGALP00000038910
ENSORLP00000011283	ENSGALP00000020137
ENSORLP00000022136	ENSGALP00000041417
ENSORLP00000019865	ENSGALP00000041417
ENSORLP00000022013	ENSGALP00000026350
ENSORLP00000021863	ENSGALP00000024556
ENSORLP00000007508	ENSGALP00000040830
ENSORLP00000019672	ENSGALP00000023990
ENSORLP00000013177	ENSGALP00000040961
ENSORLP00000021900	ENSGALP00000001914
ENSORLP00000012795	ENSGALP00000030892
ENSORLP00000005479	ENSGALP00000030892
ENSORLP00000025635	ENSGALP00000025760
ENSORLP00000001420	ENSGALP00000007523
ENSORLP00000017575	ENSGALP00000003035
ENSORLP00000014312	ENSGALP00000003035
ENSORLP00000021168	ENSGALP00000037618
ENSORLP00000004254	ENSGALP00000037618
ENSORLP00000008713	ENSGALP00000009621
ENSORLP00000023858	ENSGALP00000009621
ENSORLP00000015312	ENSGALP00000017259
ENSORLP00000020381	ENSGALP00000042449
ENSORLP00000021195	ENSGALP00000011148
ENSORLP00000002046	ENSGALP00000013380
ENSORLP00000025494	ENSGALP00000040755
ENSORLP00000013846	ENSGALP00000024701
ENSORLP00000004640	ENSGALP00000010493
ENSORLP00000003433	ENSGALP00000039384
ENSORLP00000009051	ENSGALP00000041259
ENSORLP00000014984	ENSGALP00000027876
ENSORLP00000018887	ENSGALP00000002287
ENSORLP00000005319	ENSGALP00000001583
ENSORLP00000014859	ENSGALP00000016475
ENSORLP00000017630	ENSGALP00000039646
ENSORLP00000011608	ENSGALP00000002721
ENSORLP00000013942	ENSGALP00000020611
ENSORLP00000002967	ENSGALP00000007049
ENSORLP00000020153	ENSGALP00000001317
ENSORLP00000008018	ENSGALP00000001317
ENSORLP00000009719	ENSGALP00000042939
ENSORLP00000009264	ENSGALP00000008256
ENSORLP00000016385	ENSGALP00000026019
ENSORLP00000011881	ENSGALP00000008107
ENSORLP00000004619	ENSGALP00000010477
ENSORLP00000014691	ENSGALP00000002718
ENSORLP00000025699	ENSGALP00000011876
ENSORLP00000018746	ENSGALP00000003502
ENSORLP00000025092	ENSGALP00000024312
ENSORLP00000008947	ENSGALP00000024312
ENSORLP00000007330	ENSGALP00000007174
ENSORLP00000019821	ENSGALP00000011976
ENSORLP00000011260	ENSGALP00000011976
ENSORLP00000003189	ENSGALP00000042850
ENSORLP00000015135	ENSGALP00000033652
ENSORLP00000015125	ENSGALP00000011971
ENSORLP00000011254	ENSGALP00000011971
ENSORLP00000020032	ENSGALP00000017858
ENSORLP00000018578	ENSGALP00000017858
ENSORLP00000024718	ENSGALP00000018235
ENSORLP00000013929	ENSGALP00000027206
ENSORLP00000007935	ENSGALP00000008699
ENSORLP00000020501	ENSGALP00000006738
ENSORLP00000005391	ENSGALP00000024953
ENSORLP00000001836	ENSGALP00000041666
ENSORLP00000002802	ENSGALP00000041666
ENSORLP00000004251	ENSGALP00000024913
ENSORLP00000019486	ENSGALP00000042630
ENSORLP00000007785	ENSGALP00000003973
ENSORLP00000008561	ENSGALP00000039901
ENSORLP00000003224	ENSGALP00000022198
ENSORLP00000020210	ENSGALP00000022198
ENSORLP00000003955	ENSGALP00000004444
ENSORLP00000005716	ENSGALP00000004444
ENSORLP00000009447	ENSGALP00000021570
ENSORLP00000016755	ENSGALP00000018510
ENSORLP00000025680	ENSGALP00000036151
ENSORLP00000015976	ENSGALP00000040814
ENSORLP00000010846	ENSGALP00000040814
ENSORLP00000014665	ENSGALP00000002373
ENSORLP00000021608	ENSGALP00000026331
ENSORLP00000014160	ENSGALP00000026331
ENSORLP00000006974	ENSGALP00000003970
ENSORLP00000004278	ENSGALP00000019842
ENSORLP00000020050	ENSGALP00000043429
ENSORLP00000012723	ENSGALP00000040906
ENSORLP00000007930	ENSGALP00000000410
ENSORLP00000019309	ENSGALP00000042261
ENSORLP00000006865	ENSGALP00000003190
ENSORLP00000004088	ENSGALP00000000626
ENSORLP00000005176	ENSGALP00000032471
ENSORLP00000005255	ENSGALP00000018165
ENSORLP00000010903	ENSGALP00000006610
ENSORLP00000003924	ENSGALP00000027477
ENSORLP00000005958	ENSGALP00000027477
ENSORLP00000009004	ENSGALP00000002224
ENSORLP00000016407	ENSGALP00000042973
ENSORLP00000005899	ENSGALP00000006645
ENSORLP00000000178	ENSGALP00000014400
ENSORLP00000018925	ENSGALP00000007061
ENSORLP00000003200	ENSGALP00000034297
ENSORLP00000016932	ENSGALP00000009628
ENSORLP00000006703	ENSGALP00000020540
ENSORLP00000020649	ENSGALP00000039900
ENSORLP00000013120	ENSGALP00000026608
ENSORLP00000000640	ENSGALP00000005861
ENSORLP00000012533	ENSGALP00000041792
ENSORLP00000004693	ENSGALP00000041792
ENSORLP00000022311	ENSGALP00000015662
ENSORLP00000021091	ENSGALP00000015662
ENSORLP00000013449	ENSGALP00000018239
ENSORLP00000009845	ENSGALP00000005183
ENSORLP00000006238	ENSGALP00000023854
ENSORLP00000011233	ENSGALP00000023854
ENSORLP00000025382	ENSGALP00000037648
ENSORLP00000025778	ENSGALP00000043296
ENSORLP00000019118	ENSGALP00000002940
ENSORLP00000002793	ENSGALP00000017594
ENSORLP00000007565	ENSGALP00000017594
ENSORLP00000016480	ENSGALP00000042395
ENSORLP00000018319	ENSGALP00000019701
ENSORLP00000019101	ENSGALP00000003605
ENSORLP00000008804	ENSGALP00000000423
ENSORLP00000010408	ENSGALP00000000423
ENSORLP00000015382	ENSGALP00000043387
ENSORLP00000000955	ENSGALP00000006426
ENSORLP00000024303	ENSGALP00000014860
ENSORLP00000007370	ENSGALP00000041570
ENSORLP00000011202	ENSGALP00000041570
ENSORLP00000002460	ENSGALP00000024602
ENSORLP00000021417	ENSGALP00000008547
ENSORLP00000014546	ENSGALP00000025200
ENSORLP00000024006	ENSGALP00000008787
ENSORLP00000025283	ENSGALP00000010774
ENSORLP00000023562	ENSGALP00000010774
ENSORLP00000025361	ENSGALP00000041595
ENSORLP00000002544	ENSGALP00000038111
ENSORLP00000013157	ENSGALP00000038111
ENSORLP00000014924	ENSGALP00000027991
ENSORLP00000019751	ENSGALP00000033249
ENSORLP00000013289	ENSGALP00000033249
ENSORLP00000020092	ENSGALP00000000223
ENSORLP00000007978	ENSGALP00000000223
ENSORLP00000019342	ENSGALP00000006462
ENSORLP00000022468	ENSGALP00000015273
ENSORLP00000007005	ENSGALP00000003483
ENSORLP00000009287	ENSGALP00000043309
ENSORLP00000024202	ENSGALP00000043309
ENSORLP00000003686	ENSGALP00000015251
ENSORLP00000015046	ENSGALP00000023027
ENSORLP00000007689	ENSGALP00000023027
ENSORLP00000006193	ENSGALP00000043336
ENSORLP00000018788	ENSGALP00000042407
ENSORLP00000015748	ENSGALP00000013449
ENSORLP00000002291	ENSGALP00000009483
ENSORLP00000019066	ENSGALP00000037994
ENSORLP00000019227	ENSGALP00000041928
ENSORLP00000014563	ENSGALP00000027543
ENSORLP00000014904	ENSGALP00000002864
ENSORLP00000016522	ENSGALP00000024461
ENSORLP00000018166	ENSGALP00000037103
ENSORLP00000006852	ENSGALP00000027996
ENSORLP00000019932	ENSGALP00000025409
ENSORLP00000018275	ENSGALP00000004574
ENSORLP00000005287	ENSGALP00000024889
ENSORLP00000006617	ENSGALP00000024026
ENSORLP00000007697	ENSGALP00000038592
ENSORLP00000001913	ENSGALP00000038592
ENSORLP00000014432	ENSGALP00000001365
ENSORLP00000006622	ENSGALP00000014104
ENSORLP00000021170	ENSGALP00000032500
ENSORLP00000006700	ENSGALP00000021356
ENSORLP00000017682	ENSGALP00000043046
ENSORLP00000004579	ENSGALP00000027517
ENSORLP00000005540	ENSGALP00000023080
ENSORLP00000022648	ENSGALP00000020127
ENSORLP00000010020	ENSGALP00000043303
ENSORLP00000021423	ENSGALP00000006759
ENSORLP00000016275	ENSGALP00000013398
ENSORLP00000017243	ENSGALP00000009076
ENSORLP00000001337	ENSGALP00000013225
ENSORLP00000005361	ENSGALP00000020504
ENSORLP00000020996	ENSGALP00000020504
ENSORLP00000024525	ENSGALP00000018059
ENSORLP00000009804	ENSGALP00000022304
ENSORLP00000024813	ENSGALP00000027184
ENSORLP00000000315	ENSGALP00000022799
ENSORLP00000021052	ENSGALP00000015323
ENSORLP00000000841	ENSGALP00000038332
ENSORLP00000015688	ENSGALP00000038332
ENSORLP00000014648	ENSGALP00000030103
ENSORLP00000013260	ENSGALP00000014475
ENSORLP00000019946	ENSGALP00000020966
ENSORLP00000012742	ENSGALP00000001800
ENSORLP00000015998	ENSGALP00000007477
ENSORLP00000015424	ENSGALP00000027001
ENSORLP00000023222	ENSGALP00000009513
ENSORLP00000012302	ENSGALP00000017612
ENSORLP00000012334	ENSGALP00000017617
ENSORLP00000018569	ENSGALP00000023901
ENSORLP00000005246	ENSGALP00000023901
ENSORLP00000000570	ENSGALP00000013735
ENSORLP00000001147	ENSGALP00000013735
ENSORLP00000011697	ENSGALP00000039792
ENSORLP00000008639	ENSGALP00000039792
ENSORLP00000004401	ENSGALP00000012145
ENSORLP00000016781	ENSGALP00000024866
ENSORLP00000007482	ENSGALP00000033981
ENSORLP00000006064	ENSGALP00000033981
ENSORLP00000013665	ENSGALP00000018057
ENSORLP00000008309	ENSGALP00000000236
ENSORLP00000015790	ENSGALP00000000236
ENSORLP00000020220	ENSGALP00000041758
ENSORLP00000023486	ENSGALP00000005918
ENSORLP00000009060	ENSGALP00000024965
ENSORLP00000009935	ENSGALP00000024844
ENSORLP00000021561	ENSGALP00000036419
ENSORLP00000010554	ENSGALP00000040927
ENSORLP00000015653	ENSGALP00000025962
ENSORLP00000009407	ENSGALP00000012668
ENSORLP00000007507	ENSGALP00000024856
ENSORLP00000025418	ENSGALP00000024856
ENSORLP00000020582	ENSGALP00000042108
ENSORLP00000023533	ENSGALP00000042108
ENSORLP00000005021	ENSGALP00000018540
ENSORLP00000020066	ENSGALP00000039156
ENSORLP00000025471	ENSGALP00000021333
ENSORLP00000003329	ENSGALP00000021927
ENSORLP00000017612	ENSGALP00000008742
ENSORLP00000010780	ENSGALP00000029846
ENSORLP00000008011	ENSGALP00000031700
ENSORLP00000013167	ENSGALP00000017812
ENSORLP00000023378	ENSGALP00000016052
ENSORLP00000000556	ENSGALP00000031452
ENSORLP00000019339	ENSGALP00000015855
ENSORLP00000012858	ENSGALP00000006706
ENSORLP00000024341	ENSGALP00000041197
ENSORLP00000002505	ENSGALP00000042434
ENSORLP00000016642	ENSGALP00000014921
ENSORLP00000014817	ENSGALP00000014921
ENSORLP00000007491	ENSGALP00000016865
ENSORLP00000010552	ENSGALP00000034548
ENSORLP00000024673	ENSGALP00000034548
ENSORLP00000012495	ENSGALP00000006699
ENSORLP00000019452	ENSGALP00000023943
ENSORLP00000023753	ENSGALP00000022517
ENSORLP00000011177	ENSGALP00000023842
ENSORLP00000000800	ENSGALP00000042744
ENSORLP00000021619	ENSGALP00000042744
ENSORLP00000009376	ENSGALP00000009416
ENSORLP00000013283	ENSGALP00000013472
ENSORLP00000020197	ENSGALP00000021851
ENSORLP00000017836	ENSGALP00000041822
ENSORLP00000010308	ENSGALP00000041822
ENSORLP00000003871	ENSGALP00000027470
ENSORLP00000009664	ENSGALP00000027470
ENSORLP00000022395	ENSGALP00000014081
ENSORLP00000018310	ENSGALP00000020470
ENSORLP00000019175	ENSGALP00000020470
ENSORLP00000006121	ENSGALP00000034313
ENSORLP00000004141	ENSGALP00000034313
ENSORLP00000004548	ENSGALP00000037969
ENSORLP00000013610	ENSGALP00000037969
ENSORLP00000017101	ENSGALP00000029689
ENSORLP00000021644	ENSGALP00000002266
ENSORLP00000017858	ENSGALP00000008101
ENSORLP00000007854	ENSGALP00000015507
ENSORLP00000020087	ENSGALP00000015507
ENSORLP00000023047	ENSGALP00000010092
ENSORLP00000008712	ENSGALP00000018364
ENSORLP00000003369	ENSGALP00000018364
ENSORLP00000016209	ENSGALP00000042785
ENSORLP00000013373	ENSGALP00000011107
ENSORLP00000003415	ENSGALP00000011107
ENSORLP00000000238	ENSGALP00000002102
ENSORLP00000019096	ENSGALP00000009912
ENSORLP00000019098	ENSGALP00000012993
ENSORLP00000011080	ENSGALP00000033231
ENSORLP00000015725	ENSGALP00000033231
ENSORLP00000007866	ENSGALP00000036774
ENSORLP00000009345	ENSGALP00000005132
ENSORLP00000020004	ENSGALP00000004578
ENSORLP00000003021	ENSGALP00000004578
ENSORLP00000024871	ENSGALP00000034605
ENSORLP00000006399	ENSGALP00000020510
ENSORLP00000010963	ENSGALP00000007047
ENSORLP00000005390	ENSGALP00000020754
ENSORLP00000022513	ENSGALP00000024086
ENSORLP00000015200	ENSGALP00000015963
ENSORLP00000022595	ENSGALP00000019298
ENSORLP00000003948	ENSGALP00000013883
ENSORLP00000021534	ENSGALP00000017157
ENSORLP00000002389	ENSGALP00000019672
ENSORLP00000002820	ENSGALP00000018684
ENSORLP00000019504	ENSGALP00000010319
ENSORLP00000009948	ENSGALP00000004476
ENSORLP00000012393	ENSGALP00000039313
ENSORLP00000020094	ENSGALP00000002903
ENSORLP00000010119	ENSGALP00000013470
ENSORLP00000019214	ENSGALP00000020073
ENSORLP00000024224	ENSGALP00000011511
ENSORLP00000001322	ENSGALP00000038293
ENSORLP00000005919	ENSGALP00000004355
ENSORLP00000019655	ENSGALP00000024537
ENSORLP00000019708	ENSGALP00000007090
ENSORLP00000009527	ENSGALP00000000945
ENSORLP00000012965	ENSGALP00000000945
ENSORLP00000025656	ENSGALP00000020619
ENSORLP00000010102	ENSGALP00000020619
ENSORLP00000020236	ENSGALP00000012917
ENSORLP00000014987	ENSGALP00000005357
ENSORLP00000022063	ENSGALP00000027233
ENSORLP00000003559	ENSGALP00000027233
ENSORLP00000004136	ENSGALP00000009728
ENSORLP00000006042	ENSGALP00000009265
ENSORLP00000024937	ENSGALP00000006511
ENSORLP00000021704	ENSGALP00000009365
ENSORLP00000010296	ENSGALP00000041111
ENSORLP00000008681	ENSGALP00000000595
ENSORLP00000013360	ENSGALP00000016137
ENSORLP00000014379	ENSGALP00000010236
ENSORLP00000021970	ENSGALP00000031875
ENSORLP00000023141	ENSGALP00000043043
ENSORLP00000011273	ENSGALP00000023865
ENSORLP00000016465	ENSGALP00000017275
ENSORLP00000005631	ENSGALP00000011874
ENSORLP00000024752	ENSGALP00000018837
ENSORLP00000008749	ENSGALP00000009617
ENSORLP00000003095	ENSGALP00000041518
ENSORLP00000007089	ENSGALP00000041518
ENSORLP00000018447	ENSGALP00000023648
ENSORLP00000010115	ENSGALP00000004458
ENSORLP00000001033	ENSGALP00000033003
ENSORLP00000009350	ENSGALP00000041010
ENSORLP00000020926	ENSGALP00000016147
ENSORLP00000019177	ENSGALP00000005756
ENSORLP00000003191	ENSGALP00000023538
ENSORLP00000015686	ENSGALP00000020874
ENSORLP00000002367	ENSGALP00000005156
ENSORLP00000008375	ENSGALP00000024275
ENSORLP00000005056	ENSGALP00000036114
ENSORLP00000005122	ENSGALP00000015412
ENSORLP00000024000	ENSGALP00000042598
ENSORLP00000018768	ENSGALP00000041027
ENSORLP00000011835	ENSGALP00000015296
ENSORLP00000007024	ENSGALP00000005157
ENSORLP00000009202	ENSGALP00000038512
ENSORLP00000017009	ENSGALP00000004240
ENSORLP00000020666	ENSGALP00000021351
ENSORLP00000003654	ENSGALP00000027228
ENSORLP00000022073	ENSGALP00000027228
ENSORLP00000012544	ENSGALP00000019052
ENSORLP00000005239	ENSGALP00000024751
ENSORLP00000011455	ENSGALP00000024751
ENSORLP00000003137	ENSGALP00000010887
ENSORLP00000007160	ENSGALP00000010887
ENSORLP00000001406	ENSGALP00000009030
ENSORLP00000012144	ENSGALP00000001319
ENSORLP00000003645	ENSGALP00000009095
ENSORLP00000016043	ENSGALP00000009095
ENSORLP00000011059	ENSGALP00000014300
ENSORLP00000010245	ENSGALP00000003552
ENSORLP00000002565	ENSGALP00000027704
ENSORLP00000000220	ENSGALP00000022752
ENSORLP00000016099	ENSGALP00000021484
ENSORLP00000010178	ENSGALP00000013422
ENSORLP00000015387	ENSGALP00000003806
ENSORLP00000022133	ENSGALP00000024194
ENSORLP00000020198	ENSGALP00000016460
ENSORLP00000009678	ENSGALP00000021275
ENSORLP00000001295	ENSGALP00000013280
ENSORLP00000014273	ENSGALP00000003187
ENSORLP00000001266	ENSGALP00000023563
ENSORLP00000025832	ENSGALP00000042990
ENSORLP00000013872	ENSGALP00000041233
ENSORLP00000021782	ENSGALP00000021580
ENSORLP00000005600	ENSGALP00000015774
ENSORLP00000013956	ENSGALP00000004425
ENSORLP00000016851	ENSGALP00000024472
ENSORLP00000014269	ENSGALP00000025442
ENSORLP00000001915	ENSGALP00000032950
