ENSTNIP00000006282	ENSACAP00000008923
ENSTNIP00000010267	ENSACAP00000003471
ENSTNIP00000013793	ENSACAP00000007070
ENSTNIP00000010816	ENSACAP00000019189
ENSTNIP00000003575	ENSACAP00000018998
ENSTNIP00000007340	ENSACAP00000000860
ENSTNIP00000016040	ENSACAP00000011711
ENSTNIP00000021443	ENSACAP00000017664
ENSTNIP00000019065	ENSACAP00000002249
ENSTNIP00000001502	ENSACAP00000000195
ENSTNIP00000007089	ENSACAP00000003308
ENSTNIP00000011020	ENSACAP00000014909
ENSTNIP00000009412	ENSACAP00000015061
ENSTNIP00000005272	ENSACAP00000004060
ENSTNIP00000002453	ENSACAP00000006661
ENSTNIP00000010487	ENSACAP00000011938
ENSTNIP00000019645	ENSACAP00000008723
ENSTNIP00000013536	ENSACAP00000000609
ENSTNIP00000002580	ENSACAP00000005087
ENSTNIP00000010184	ENSACAP00000014183
ENSTNIP00000016915	ENSACAP00000010506
ENSTNIP00000011744	ENSACAP00000009513
ENSTNIP00000007098	ENSACAP00000002901
ENSTNIP00000018861	ENSACAP00000002901
ENSTNIP00000011521	ENSACAP00000013575
ENSTNIP00000012246	ENSACAP00000012544
ENSTNIP00000015807	ENSACAP00000016973
ENSTNIP00000004001	ENSACAP00000020331
ENSTNIP00000015237	ENSACAP00000022081
ENSTNIP00000022499	ENSACAP00000022081
ENSTNIP00000009462	ENSACAP00000007051
ENSTNIP00000019057	ENSACAP00000019114
ENSTNIP00000004593	ENSACAP00000007918
ENSTNIP00000019191	ENSACAP00000001475
ENSTNIP00000017983	ENSACAP00000003976
ENSTNIP00000012711	ENSACAP00000004307
ENSTNIP00000005696	ENSACAP00000001594
ENSTNIP00000016193	ENSACAP00000010217
ENSTNIP00000004730	ENSACAP00000003655
ENSTNIP00000013737	ENSACAP00000011875
ENSTNIP00000005501	ENSACAP00000004311
ENSTNIP00000022314	ENSACAP00000002928
ENSTNIP00000002392	ENSACAP00000000665
ENSTNIP00000017622	ENSACAP00000008095
ENSTNIP00000021604	ENSACAP00000000868
ENSTNIP00000012073	ENSACAP00000000868
ENSTNIP00000018794	ENSACAP00000016976
ENSTNIP00000020092	ENSACAP00000009221
ENSTNIP00000009396	ENSACAP00000016880
ENSTNIP00000005167	ENSACAP00000016880
ENSTNIP00000016316	ENSACAP00000005302
ENSTNIP00000005481	ENSACAP00000019641
ENSTNIP00000003187	ENSACAP00000007896
ENSTNIP00000003719	ENSACAP00000007896
ENSTNIP00000011174	ENSACAP00000004457
ENSTNIP00000011717	ENSACAP00000004457
ENSTNIP00000016889	ENSACAP00000002385
ENSTNIP00000002630	ENSACAP00000017474
ENSTNIP00000013618	ENSACAP00000005740
ENSTNIP00000005469	ENSACAP00000005682
ENSTNIP00000013679	ENSACAP00000016069
ENSTNIP00000004028	ENSACAP00000020120
ENSTNIP00000008113	ENSACAP00000007667
ENSTNIP00000007337	ENSACAP00000010676
ENSTNIP00000012410	ENSACAP00000015435
ENSTNIP00000004170	ENSACAP00000014650
ENSTNIP00000000096	ENSACAP00000000942
ENSTNIP00000019810	ENSACAP00000009728
ENSTNIP00000004172	ENSACAP00000009731
ENSTNIP00000008001	ENSACAP00000014024
ENSTNIP00000012366	ENSACAP00000013525
ENSTNIP00000005750	ENSACAP00000001427
ENSTNIP00000015048	ENSACAP00000008216
ENSTNIP00000018112	ENSACAP00000007865
ENSTNIP00000017584	ENSACAP00000007865
ENSTNIP00000000796	ENSACAP00000009388
ENSTNIP00000022432	ENSACAP00000001385
ENSTNIP00000016575	ENSACAP00000018145
ENSTNIP00000021248	ENSACAP00000012872
ENSTNIP00000005097	ENSACAP00000019293
ENSTNIP00000015493	ENSACAP00000016705
ENSTNIP00000006412	ENSACAP00000012594
ENSTNIP00000021220	ENSACAP00000002577
ENSTNIP00000019177	ENSACAP00000012146
ENSTNIP00000017433	ENSACAP00000009720
ENSTNIP00000000410	ENSACAP00000000973
ENSTNIP00000022974	ENSACAP00000013030
ENSTNIP00000006791	ENSACAP00000001579
ENSTNIP00000015607	ENSACAP00000001579
ENSTNIP00000015045	ENSACAP00000012461
ENSTNIP00000003017	ENSACAP00000005813
ENSTNIP00000000369	ENSACAP00000005813
ENSTNIP00000001462	ENSACAP00000022538
ENSTNIP00000013657	ENSACAP00000022538
ENSTNIP00000020379	ENSACAP00000015655
ENSTNIP00000001947	ENSACAP00000002296
ENSTNIP00000008352	ENSACAP00000005411
ENSTNIP00000001079	ENSACAP00000005523
ENSTNIP00000007481	ENSACAP00000016164
ENSTNIP00000016052	ENSACAP00000011534
ENSTNIP00000020615	ENSACAP00000011534
ENSTNIP00000019677	ENSACAP00000006602
ENSTNIP00000017029	ENSACAP00000011843
ENSTNIP00000009421	ENSACAP00000009074
ENSTNIP00000009402	ENSACAP00000001753
ENSTNIP00000004502	ENSACAP00000019903
ENSTNIP00000013944	ENSACAP00000012169
ENSTNIP00000010409	ENSACAP00000006466
ENSTNIP00000017707	ENSACAP00000008206
ENSTNIP00000018493	ENSACAP00000008206
ENSTNIP00000014875	ENSACAP00000004741
ENSTNIP00000018958	ENSACAP00000015089
ENSTNIP00000006044	ENSACAP00000013366
ENSTNIP00000023021	ENSACAP00000010782
ENSTNIP00000012426	ENSACAP00000014628
ENSTNIP00000012427	ENSACAP00000014628
ENSTNIP00000016631	ENSACAP00000000607
ENSTNIP00000010696	ENSACAP00000000607
ENSTNIP00000007261	ENSACAP00000019708
ENSTNIP00000000583	ENSACAP00000018133
ENSTNIP00000007749	ENSACAP00000008554
ENSTNIP00000020639	ENSACAP00000004623
ENSTNIP00000015466	ENSACAP00000010851
ENSTNIP00000019074	ENSACAP00000003028
ENSTNIP00000017165	ENSACAP00000004244
ENSTNIP00000008726	ENSACAP00000010760
ENSTNIP00000005762	ENSACAP00000012326
ENSTNIP00000000686	ENSACAP00000012326
ENSTNIP00000005999	ENSACAP00000004205
ENSTNIP00000012469	ENSACAP00000022123
ENSTNIP00000005334	ENSACAP00000008887
ENSTNIP00000002104	ENSACAP00000006450
ENSTNIP00000020483	ENSACAP00000020101
ENSTNIP00000010273	ENSACAP00000003697
ENSTNIP00000010274	ENSACAP00000003684
ENSTNIP00000006251	ENSACAP00000021004
ENSTNIP00000015355	ENSACAP00000023319
ENSTNIP00000004232	ENSACAP00000008109
ENSTNIP00000021319	ENSACAP00000008109
ENSTNIP00000017504	ENSACAP00000022398
ENSTNIP00000014347	ENSACAP00000008947
ENSTNIP00000015091	ENSACAP00000008947
ENSTNIP00000006009	ENSACAP00000010774
ENSTNIP00000015472	ENSACAP00000010774
ENSTNIP00000022535	ENSACAP00000014072
ENSTNIP00000013166	ENSACAP00000011900
ENSTNIP00000017385	ENSACAP00000020690
ENSTNIP00000006529	ENSACAP00000001779
ENSTNIP00000012589	ENSACAP00000001779
ENSTNIP00000008351	ENSACAP00000005299
ENSTNIP00000011343	ENSACAP00000012130
ENSTNIP00000009832	ENSACAP00000008363
ENSTNIP00000011695	ENSACAP00000003188
ENSTNIP00000012507	ENSACAP00000009106
ENSTNIP00000010059	ENSACAP00000014036
ENSTNIP00000008124	ENSACAP00000017049
ENSTNIP00000005460	ENSACAP00000007060
ENSTNIP00000020028	ENSACAP00000017578
ENSTNIP00000000589	ENSACAP00000012829
ENSTNIP00000009807	ENSACAP00000012829
ENSTNIP00000016240	ENSACAP00000005032
ENSTNIP00000002068	ENSACAP00000009679
ENSTNIP00000005351	ENSACAP00000017072
ENSTNIP00000004489	ENSACAP00000012489
ENSTNIP00000006781	ENSACAP00000020615
ENSTNIP00000019601	ENSACAP00000000594
ENSTNIP00000018159	ENSACAP00000016644
ENSTNIP00000000759	ENSACAP00000016644
ENSTNIP00000017718	ENSACAP00000008014
ENSTNIP00000015414	ENSACAP00000011635
ENSTNIP00000000110	ENSACAP00000004810
ENSTNIP00000012771	ENSACAP00000021872
ENSTNIP00000016036	ENSACAP00000000027
ENSTNIP00000008856	ENSACAP00000007738
ENSTNIP00000017156	ENSACAP00000013047
ENSTNIP00000010967	ENSACAP00000020901
ENSTNIP00000005107	ENSACAP00000003852
ENSTNIP00000011131	ENSACAP00000002156
ENSTNIP00000009154	ENSACAP00000006137
ENSTNIP00000009164	ENSACAP00000006137
ENSTNIP00000014948	ENSACAP00000017488
ENSTNIP00000008569	ENSACAP00000021463
ENSTNIP00000005153	ENSACAP00000000981
ENSTNIP00000013909	ENSACAP00000000981
ENSTNIP00000007319	ENSACAP00000009209
ENSTNIP00000015101	ENSACAP00000015115
ENSTNIP00000016469	ENSACAP00000012315
ENSTNIP00000009582	ENSACAP00000016828
ENSTNIP00000018175	ENSACAP00000016828
ENSTNIP00000012663	ENSACAP00000016001
ENSTNIP00000021291	ENSACAP00000002010
ENSTNIP00000008855	ENSACAP00000007811
ENSTNIP00000000564	ENSACAP00000003452
ENSTNIP00000004971	ENSACAP00000022607
ENSTNIP00000019862	ENSACAP00000007418
ENSTNIP00000005236	ENSACAP00000010717
ENSTNIP00000022156	ENSACAP00000023161
ENSTNIP00000001946	ENSACAP00000007133
ENSTNIP00000005006	ENSACAP00000007133
ENSTNIP00000000517	ENSACAP00000009262
ENSTNIP00000009610	ENSACAP00000007144
ENSTNIP00000009607	ENSACAP00000007166
ENSTNIP00000011635	ENSACAP00000014451
ENSTNIP00000013963	ENSACAP00000014451
ENSTNIP00000016718	ENSACAP00000011447
ENSTNIP00000018027	ENSACAP00000003423
ENSTNIP00000011823	ENSACAP00000014516
ENSTNIP00000015408	ENSACAP00000016589
ENSTNIP00000005958	ENSACAP00000016612
ENSTNIP00000013297	ENSACAP00000000766
ENSTNIP00000012416	ENSACAP00000000766
ENSTNIP00000005978	ENSACAP00000001550
ENSTNIP00000009466	ENSACAP00000005884
ENSTNIP00000009886	ENSACAP00000015136
ENSTNIP00000012902	ENSACAP00000016217
ENSTNIP00000011486	ENSACAP00000001002
ENSTNIP00000014678	ENSACAP00000013260
ENSTNIP00000012223	ENSACAP00000010212
ENSTNIP00000005888	ENSACAP00000011210
ENSTNIP00000010928	ENSACAP00000016275
ENSTNIP00000021358	ENSACAP00000016275
ENSTNIP00000017140	ENSACAP00000011119
ENSTNIP00000014905	ENSACAP00000000189
ENSTNIP00000010929	ENSACAP00000018669
ENSTNIP00000008080	ENSACAP00000002209
ENSTNIP00000014536	ENSACAP00000005618
ENSTNIP00000001002	ENSACAP00000005618
ENSTNIP00000020628	ENSACAP00000005144
ENSTNIP00000013668	ENSACAP00000005144
ENSTNIP00000012089	ENSACAP00000013190
ENSTNIP00000015859	ENSACAP00000015982
ENSTNIP00000018329	ENSACAP00000003038
ENSTNIP00000012257	ENSACAP00000014062
ENSTNIP00000020893	ENSACAP00000017531
ENSTNIP00000022303	ENSACAP00000008252
ENSTNIP00000019168	ENSACAP00000022803
ENSTNIP00000011646	ENSACAP00000012143
ENSTNIP00000003806	ENSACAP00000002627
ENSTNIP00000017340	ENSACAP00000020312
ENSTNIP00000018295	ENSACAP00000020312
ENSTNIP00000018217	ENSACAP00000001514
ENSTNIP00000014676	ENSACAP00000013258
ENSTNIP00000012347	ENSACAP00000012231
ENSTNIP00000002910	ENSACAP00000012123
ENSTNIP00000020783	ENSACAP00000015884
ENSTNIP00000002365	ENSACAP00000008258
ENSTNIP00000007116	ENSACAP00000011216
ENSTNIP00000007873	ENSACAP00000011928
ENSTNIP00000003073	ENSACAP00000006406
ENSTNIP00000015440	ENSACAP00000016440
ENSTNIP00000002945	ENSACAP00000011449
ENSTNIP00000010493	ENSACAP00000011449
ENSTNIP00000000060	ENSACAP00000000792
ENSTNIP00000011180	ENSACAP00000019131
ENSTNIP00000012573	ENSACAP00000008195
ENSTNIP00000018552	ENSACAP00000021848
ENSTNIP00000015480	ENSACAP00000009117
ENSTNIP00000001236	ENSACAP00000005631
ENSTNIP00000014332	ENSACAP00000000060
ENSTNIP00000013368	ENSACAP00000000062
ENSTNIP00000010042	ENSACAP00000016848
ENSTNIP00000019093	ENSACAP00000016848
ENSTNIP00000019695	ENSACAP00000002993
ENSTNIP00000012955	ENSACAP00000014378
ENSTNIP00000017286	ENSACAP00000016349
ENSTNIP00000001903	ENSACAP00000007132
ENSTNIP00000005786	ENSACAP00000017264
ENSTNIP00000001272	ENSACAP00000002280
ENSTNIP00000018716	ENSACAP00000002301
ENSTNIP00000007349	ENSACAP00000000982
ENSTNIP00000008800	ENSACAP00000006631
ENSTNIP00000007586	ENSACAP00000004423
ENSTNIP00000017585	ENSACAP00000009525
ENSTNIP00000018154	ENSACAP00000019584
ENSTNIP00000013171	ENSACAP00000011435
ENSTNIP00000007796	ENSACAP00000006532
ENSTNIP00000012491	ENSACAP00000015536
ENSTNIP00000019154	ENSACAP00000007357
ENSTNIP00000009836	ENSACAP00000017648
ENSTNIP00000006621	ENSACAP00000017648
ENSTNIP00000013169	ENSACAP00000010908
ENSTNIP00000020394	ENSACAP00000016710
ENSTNIP00000019855	ENSACAP00000003450
ENSTNIP00000007224	ENSACAP00000000624
ENSTNIP00000005096	ENSACAP00000007712
ENSTNIP00000021793	ENSACAP00000007712
ENSTNIP00000021927	ENSACAP00000002813
ENSTNIP00000000313	ENSACAP00000003779
ENSTNIP00000011303	ENSACAP00000006838
ENSTNIP00000002396	ENSACAP00000006838
ENSTNIP00000014388	ENSACAP00000003121
ENSTNIP00000008007	ENSACAP00000003121
ENSTNIP00000010066	ENSACAP00000004681
ENSTNIP00000018178	ENSACAP00000004681
ENSTNIP00000001223	ENSACAP00000008548
ENSTNIP00000011712	ENSACAP00000019498
ENSTNIP00000018212	ENSACAP00000008475
ENSTNIP00000021471	ENSACAP00000004126
ENSTNIP00000006003	ENSACAP00000004126
ENSTNIP00000017954	ENSACAP00000015588
ENSTNIP00000006744	ENSACAP00000015588
ENSTNIP00000010877	ENSACAP00000017189
ENSTNIP00000008480	ENSACAP00000017189
ENSTNIP00000020441	ENSACAP00000016647
ENSTNIP00000008942	ENSACAP00000015154
ENSTNIP00000017111	ENSACAP00000015154
ENSTNIP00000008951	ENSACAP00000005587
ENSTNIP00000011694	ENSACAP00000003316
ENSTNIP00000005265	ENSACAP00000006756
ENSTNIP00000018050	ENSACAP00000005040
ENSTNIP00000007364	ENSACAP00000011813
ENSTNIP00000022651	ENSACAP00000007413
ENSTNIP00000013428	ENSACAP00000007085
ENSTNIP00000004379	ENSACAP00000011502
ENSTNIP00000006105	ENSACAP00000010004
ENSTNIP00000007744	ENSACAP00000010045
ENSTNIP00000008380	ENSACAP00000020018
ENSTNIP00000006950	ENSACAP00000000445
ENSTNIP00000018912	ENSACAP00000015725
ENSTNIP00000000581	ENSACAP00000015725
ENSTNIP00000017196	ENSACAP00000015191
ENSTNIP00000009478	ENSACAP00000011167
ENSTNIP00000014487	ENSACAP00000004399
ENSTNIP00000017549	ENSACAP00000004399
ENSTNIP00000019602	ENSACAP00000000803
ENSTNIP00000022315	ENSACAP00000008345
ENSTNIP00000012118	ENSACAP00000008345
ENSTNIP00000014813	ENSACAP00000003367
ENSTNIP00000004852	ENSACAP00000004184
ENSTNIP00000017224	ENSACAP00000007474
ENSTNIP00000001031	ENSACAP00000001458
ENSTNIP00000017769	ENSACAP00000015622
ENSTNIP00000017659	ENSACAP00000015622
ENSTNIP00000011008	ENSACAP00000014103
ENSTNIP00000015169	ENSACAP00000014765
ENSTNIP00000015050	ENSACAP00000004657
ENSTNIP00000007650	ENSACAP00000008815
ENSTNIP00000018688	ENSACAP00000016406
ENSTNIP00000012343	ENSACAP00000010376
ENSTNIP00000009061	ENSACAP00000001164
ENSTNIP00000011001	ENSACAP00000011557
ENSTNIP00000003743	ENSACAP00000020730
ENSTNIP00000020983	ENSACAP00000002635
ENSTNIP00000020818	ENSACAP00000006227
ENSTNIP00000020662	ENSACAP00000008138
ENSTNIP00000014553	ENSACAP00000008138
ENSTNIP00000010902	ENSACAP00000015424
ENSTNIP00000013389	ENSACAP00000004083
ENSTNIP00000011277	ENSACAP00000004083
ENSTNIP00000018148	ENSACAP00000012175
ENSTNIP00000011641	ENSACAP00000011214
ENSTNIP00000007612	ENSACAP00000011080
ENSTNIP00000019840	ENSACAP00000011080
ENSTNIP00000011159	ENSACAP00000015437
ENSTNIP00000022041	ENSACAP00000007790
ENSTNIP00000016879	ENSACAP00000012562
ENSTNIP00000010691	ENSACAP00000006737
ENSTNIP00000010690	ENSACAP00000006791
ENSTNIP00000016441	ENSACAP00000009962
ENSTNIP00000001130	ENSACAP00000010102
ENSTNIP00000005961	ENSACAP00000014348
ENSTNIP00000012480	ENSACAP00000014348
ENSTNIP00000008075	ENSACAP00000017517
ENSTNIP00000011492	ENSACAP00000017517
ENSTNIP00000016114	ENSACAP00000007409
ENSTNIP00000009833	ENSACAP00000008283
ENSTNIP00000008391	ENSACAP00000008283
ENSTNIP00000007696	ENSACAP00000012104
ENSTNIP00000010751	ENSACAP00000002914
ENSTNIP00000006288	ENSACAP00000002914
ENSTNIP00000007904	ENSACAP00000005602
ENSTNIP00000005231	ENSACAP00000020911
ENSTNIP00000020838	ENSACAP00000001116
ENSTNIP00000004071	ENSACAP00000006511
ENSTNIP00000014797	ENSACAP00000006511
ENSTNIP00000022051	ENSACAP00000015474
ENSTNIP00000011331	ENSACAP00000003716
ENSTNIP00000021309	ENSACAP00000005262
ENSTNIP00000017657	ENSACAP00000015593
ENSTNIP00000006568	ENSACAP00000017421
ENSTNIP00000010646	ENSACAP00000010082
ENSTNIP00000011422	ENSACAP00000005303
ENSTNIP00000006474	ENSACAP00000010652
ENSTNIP00000001510	ENSACAP00000015583
ENSTNIP00000002866	ENSACAP00000011008
ENSTNIP00000000411	ENSACAP00000011008
ENSTNIP00000019535	ENSACAP00000020481
ENSTNIP00000018118	ENSACAP00000005226
ENSTNIP00000003737	ENSACAP00000005226
ENSTNIP00000006780	ENSACAP00000008088
ENSTNIP00000017158	ENSACAP00000003237
ENSTNIP00000007680	ENSACAP00000002437
ENSTNIP00000004308	ENSACAP00000001065
ENSTNIP00000017975	ENSACAP00000007432
ENSTNIP00000018739	ENSACAP00000007938
ENSTNIP00000011826	ENSACAP00000015545
ENSTNIP00000021262	ENSACAP00000007692
ENSTNIP00000020866	ENSACAP00000002841
ENSTNIP00000020812	ENSACAP00000005799
ENSTNIP00000019885	ENSACAP00000005716
ENSTNIP00000016795	ENSACAP00000009466
ENSTNIP00000010428	ENSACAP00000006764
ENSTNIP00000019018	ENSACAP00000011676
ENSTNIP00000011550	ENSACAP00000016136
ENSTNIP00000009447	ENSACAP00000016136
ENSTNIP00000010515	ENSACAP00000007832
ENSTNIP00000017940	ENSACAP00000008342
ENSTNIP00000017046	ENSACAP00000000292
ENSTNIP00000012546	ENSACAP00000000292
ENSTNIP00000006405	ENSACAP00000016592
ENSTNIP00000022845	ENSACAP00000001387
ENSTNIP00000021960	ENSACAP00000004700
ENSTNIP00000018476	ENSACAP00000016253
ENSTNIP00000011522	ENSACAP00000020603
ENSTNIP00000015086	ENSACAP00000006327
ENSTNIP00000014339	ENSACAP00000015074
ENSTNIP00000005917	ENSACAP00000000234
ENSTNIP00000012692	ENSACAP00000000234
ENSTNIP00000022223	ENSACAP00000016353
ENSTNIP00000014710	ENSACAP00000016353
ENSTNIP00000001157	ENSACAP00000014973
ENSTNIP00000021828	ENSACAP00000005221
ENSTNIP00000015014	ENSACAP00000019924
ENSTNIP00000002105	ENSACAP00000019924
ENSTNIP00000019290	ENSACAP00000021507
ENSTNIP00000019257	ENSACAP00000021507
ENSTNIP00000016106	ENSACAP00000007124
ENSTNIP00000015319	ENSACAP00000007124
ENSTNIP00000014520	ENSACAP00000017651
ENSTNIP00000004094	ENSACAP00000018027
ENSTNIP00000010470	ENSACAP00000010853
ENSTNIP00000010528	ENSACAP00000020401
ENSTNIP00000018325	ENSACAP00000020401
ENSTNIP00000013983	ENSACAP00000012667
ENSTNIP00000018752	ENSACAP00000002092
ENSTNIP00000021073	ENSACAP00000012381
ENSTNIP00000017705	ENSACAP00000012381
ENSTNIP00000013822	ENSACAP00000004402
ENSTNIP00000011693	ENSACAP00000016922
ENSTNIP00000006587	ENSACAP00000006419
ENSTNIP00000007298	ENSACAP00000008402
ENSTNIP00000014555	ENSACAP00000008402
ENSTNIP00000011236	ENSACAP00000005918
ENSTNIP00000009498	ENSACAP00000008890
ENSTNIP00000001680	ENSACAP00000010473
ENSTNIP00000011155	ENSACAP00000010473
ENSTNIP00000017756	ENSACAP00000016397
ENSTNIP00000008752	ENSACAP00000002138
ENSTNIP00000013233	ENSACAP00000008651
ENSTNIP00000012183	ENSACAP00000006753
ENSTNIP00000015509	ENSACAP00000012645
ENSTNIP00000019113	ENSACAP00000016035
ENSTNIP00000007834	ENSACAP00000012239
ENSTNIP00000013674	ENSACAP00000022406
ENSTNIP00000015346	ENSACAP00000015850
ENSTNIP00000016368	ENSACAP00000005328
ENSTNIP00000002824	ENSACAP00000007568
ENSTNIP00000011151	ENSACAP00000009697
ENSTNIP00000013376	ENSACAP00000000069
ENSTNIP00000000423	ENSACAP00000011496
ENSTNIP00000008611	ENSACAP00000013638
ENSTNIP00000016807	ENSACAP00000002360
ENSTNIP00000002777	ENSACAP00000011764
ENSTNIP00000021687	ENSACAP00000015166
ENSTNIP00000018844	ENSACAP00000003677
ENSTNIP00000014728	ENSACAP00000014160
ENSTNIP00000007486	ENSACAP00000014160
ENSTNIP00000010661	ENSACAP00000004990
ENSTNIP00000000098	ENSACAP00000004990
ENSTNIP00000016779	ENSACAP00000010477
ENSTNIP00000017498	ENSACAP00000010477
ENSTNIP00000018352	ENSACAP00000010901
ENSTNIP00000012220	ENSACAP00000003541
ENSTNIP00000015072	ENSACAP00000003541
ENSTNIP00000005497	ENSACAP00000001030
ENSTNIP00000021437	ENSACAP00000012873
ENSTNIP00000014296	ENSACAP00000009688
ENSTNIP00000006205	ENSACAP00000009101
ENSTNIP00000016990	ENSACAP00000016226
ENSTNIP00000016268	ENSACAP00000016226
ENSTNIP00000014178	ENSACAP00000009314
ENSTNIP00000010668	ENSACAP00000001074
ENSTNIP00000007894	ENSACAP00000011982
ENSTNIP00000012004	ENSACAP00000015922
ENSTNIP00000008339	ENSACAP00000016351
ENSTNIP00000012537	ENSACAP00000016351
ENSTNIP00000010572	ENSACAP00000011452
ENSTNIP00000005158	ENSACAP00000014831
ENSTNIP00000017321	ENSACAP00000004483
ENSTNIP00000015935	ENSACAP00000001127
