ENSORLP00000017023	ENSTGUP00000008915
ENSORLP00000005874	ENSTGUP00000002880
ENSORLP00000021980	ENSTGUP00000009297
ENSORLP00000022436	ENSTGUP00000012744
ENSORLP00000003775	ENSTGUP00000001335
ENSORLP00000006361	ENSTGUP00000001616
ENSORLP00000018342	ENSTGUP00000012121
ENSORLP00000018930	ENSTGUP00000017784
ENSORLP00000010509	ENSTGUP00000008788
ENSORLP00000017999	ENSTGUP00000000930
ENSORLP00000022426	ENSTGUP00000012077
ENSORLP00000019667	ENSTGUP00000005575
ENSORLP00000010168	ENSTGUP00000007749
ENSORLP00000000244	ENSTGUP00000007512
ENSORLP00000004298	ENSTGUP00000008852
ENSORLP00000009022	ENSTGUP00000015232
ENSORLP00000020930	ENSTGUP00000006775
ENSORLP00000018662	ENSTGUP00000006775
ENSORLP00000013008	ENSTGUP00000000722
ENSORLP00000010763	ENSTGUP00000000421
ENSORLP00000001018	ENSTGUP00000016110
ENSORLP00000013287	ENSTGUP00000005741
ENSORLP00000018097	ENSTGUP00000004581
ENSORLP00000008607	ENSTGUP00000007902
ENSORLP00000022020	ENSTGUP00000000228
ENSORLP00000005695	ENSTGUP00000002076
ENSORLP00000010876	ENSTGUP00000013997
ENSORLP00000007022	ENSTGUP00000000954
ENSORLP00000010817	ENSTGUP00000005006
ENSORLP00000008226	ENSTGUP00000004870
ENSORLP00000014132	ENSTGUP00000004870
ENSORLP00000019505	ENSTGUP00000013118
ENSORLP00000004295	ENSTGUP00000003528
ENSORLP00000002403	ENSTGUP00000007385
ENSORLP00000020546	ENSTGUP00000012794
ENSORLP00000013879	ENSTGUP00000005627
ENSORLP00000020030	ENSTGUP00000005627
ENSORLP00000012324	ENSTGUP00000003067
ENSORLP00000020019	ENSTGUP00000005646
ENSORLP00000013874	ENSTGUP00000005646
ENSORLP00000005351	ENSTGUP00000007259
ENSORLP00000018585	ENSTGUP00000010021
ENSORLP00000018984	ENSTGUP00000008703
ENSORLP00000006254	ENSTGUP00000000869
ENSORLP00000007804	ENSTGUP00000000869
ENSORLP00000012489	ENSTGUP00000004236
ENSORLP00000025830	ENSTGUP00000002050
ENSORLP00000010622	ENSTGUP00000001084
ENSORLP00000010171	ENSTGUP00000017815
ENSORLP00000003679	ENSTGUP00000004062
ENSORLP00000021378	ENSTGUP00000001146
ENSORLP00000010172	ENSTGUP00000011805
ENSORLP00000012679	ENSTGUP00000009073
ENSORLP00000011838	ENSTGUP00000006886
ENSORLP00000022565	ENSTGUP00000000719
ENSORLP00000015239	ENSTGUP00000017785
ENSORLP00000011216	ENSTGUP00000008359
ENSORLP00000022670	ENSTGUP00000003284
ENSORLP00000010397	ENSTGUP00000005747
ENSORLP00000008594	ENSTGUP00000008668
ENSORLP00000008023	ENSTGUP00000001739
ENSORLP00000022797	ENSTGUP00000013534
ENSORLP00000011723	ENSTGUP00000004152
ENSORLP00000009115	ENSTGUP00000002713
ENSORLP00000002977	ENSTGUP00000001990
ENSORLP00000002814	ENSTGUP00000013056
ENSORLP00000018923	ENSTGUP00000004793
ENSORLP00000023720	ENSTGUP00000000367
ENSORLP00000012925	ENSTGUP00000003797
ENSORLP00000000034	ENSTGUP00000009690
ENSORLP00000006742	ENSTGUP00000004020
ENSORLP00000001903	ENSTGUP00000015654
ENSORLP00000018956	ENSTGUP00000009469
ENSORLP00000017224	ENSTGUP00000002508
ENSORLP00000004455	ENSTGUP00000002508
ENSORLP00000007557	ENSTGUP00000010870
ENSORLP00000016131	ENSTGUP00000007382
ENSORLP00000021474	ENSTGUP00000007382
ENSORLP00000002773	ENSTGUP00000005260
ENSORLP00000018416	ENSTGUP00000005260
ENSORLP00000015721	ENSTGUP00000010013
ENSORLP00000005075	ENSTGUP00000003654
ENSORLP00000004108	ENSTGUP00000007258
ENSORLP00000005033	ENSTGUP00000007258
ENSORLP00000005082	ENSTGUP00000003652
ENSORLP00000004103	ENSTGUP00000007261
ENSORLP00000015324	ENSTGUP00000003258
ENSORLP00000011019	ENSTGUP00000015287
ENSORLP00000003059	ENSTGUP00000007581
ENSORLP00000018136	ENSTGUP00000001638
ENSORLP00000004173	ENSTGUP00000002188
ENSORLP00000002542	ENSTGUP00000002190
ENSORLP00000025253	ENSTGUP00000008066
ENSORLP00000015164	ENSTGUP00000002551
ENSORLP00000016308	ENSTGUP00000010646
ENSORLP00000024941	ENSTGUP00000012303
ENSORLP00000024951	ENSTGUP00000012301
ENSORLP00000022635	ENSTGUP00000011871
ENSORLP00000012886	ENSTGUP00000000742
ENSORLP00000001311	ENSTGUP00000000742
ENSORLP00000013607	ENSTGUP00000006629
ENSORLP00000019460	ENSTGUP00000003796
ENSORLP00000010861	ENSTGUP00000006934
ENSORLP00000014802	ENSTGUP00000011117
ENSORLP00000011582	ENSTGUP00000000374
ENSORLP00000018111	ENSTGUP00000011415
ENSORLP00000005218	ENSTGUP00000001560
ENSORLP00000013299	ENSTGUP00000009514
ENSORLP00000019561	ENSTGUP00000013124
ENSORLP00000011906	ENSTGUP00000013124
ENSORLP00000016312	ENSTGUP00000012102
ENSORLP00000022007	ENSTGUP00000013346
ENSORLP00000022338	ENSTGUP00000013353
ENSORLP00000014848	ENSTGUP00000016403
ENSORLP00000025861	ENSTGUP00000017623
ENSORLP00000021466	ENSTGUP00000017623
ENSORLP00000012741	ENSTGUP00000013167
ENSORLP00000011358	ENSTGUP00000000287
ENSORLP00000020718	ENSTGUP00000008638
ENSORLP00000017749	ENSTGUP00000010255
ENSORLP00000019122	ENSTGUP00000008451
ENSORLP00000019397	ENSTGUP00000000354
ENSORLP00000002704	ENSTGUP00000004287
ENSORLP00000011850	ENSTGUP00000004287
ENSORLP00000018351	ENSTGUP00000008720
ENSORLP00000018365	ENSTGUP00000008720
ENSORLP00000008892	ENSTGUP00000007254
ENSORLP00000021088	ENSTGUP00000000599
ENSORLP00000006366	ENSTGUP00000003357
ENSORLP00000016596	ENSTGUP00000009842
ENSORLP00000012171	ENSTGUP00000009842
ENSORLP00000000643	ENSTGUP00000004395
ENSORLP00000003863	ENSTGUP00000014311
ENSORLP00000003946	ENSTGUP00000010722
ENSORLP00000004025	ENSTGUP00000006018
ENSORLP00000002826	ENSTGUP00000013065
ENSORLP00000003087	ENSTGUP00000013065
ENSORLP00000008236	ENSTGUP00000012921
ENSORLP00000001383	ENSTGUP00000015657
ENSORLP00000025646	ENSTGUP00000008600
ENSORLP00000019732	ENSTGUP00000013380
ENSORLP00000005562	ENSTGUP00000003980
ENSORLP00000005568	ENSTGUP00000003970
ENSORLP00000019744	ENSTGUP00000013381
ENSORLP00000000954	ENSTGUP00000017814
ENSORLP00000022406	ENSTGUP00000013262
ENSORLP00000022541	ENSTGUP00000001041
ENSORLP00000021818	ENSTGUP00000001041
ENSORLP00000024109	ENSTGUP00000010929
ENSORLP00000020061	ENSTGUP00000002766
ENSORLP00000013463	ENSTGUP00000002766
ENSORLP00000011283	ENSTGUP00000013550
ENSORLP00000022136	ENSTGUP00000012344
ENSORLP00000019865	ENSTGUP00000012344
ENSORLP00000022013	ENSTGUP00000013344
ENSORLP00000021863	ENSTGUP00000011271
ENSORLP00000007508	ENSTGUP00000003913
ENSORLP00000019672	ENSTGUP00000012263
ENSORLP00000013177	ENSTGUP00000002408
ENSORLP00000012795	ENSTGUP00000013640
ENSORLP00000005479	ENSTGUP00000013640
ENSORLP00000025635	ENSTGUP00000004846
ENSORLP00000001420	ENSTGUP00000005066
ENSORLP00000000891	ENSTGUP00000017308
ENSORLP00000000591	ENSTGUP00000017308
ENSORLP00000017575	ENSTGUP00000000660
ENSORLP00000014312	ENSTGUP00000000660
ENSORLP00000021168	ENSTGUP00000007176
ENSORLP00000004254	ENSTGUP00000007176
ENSORLP00000008713	ENSTGUP00000017739
ENSORLP00000023858	ENSTGUP00000017739
ENSORLP00000015312	ENSTGUP00000008762
ENSORLP00000021195	ENSTGUP00000002152
ENSORLP00000002046	ENSTGUP00000010598
ENSORLP00000013846	ENSTGUP00000000131
ENSORLP00000009051	ENSTGUP00000001243
ENSORLP00000018887	ENSTGUP00000007549
ENSORLP00000014859	ENSTGUP00000008110
ENSORLP00000017630	ENSTGUP00000002531
ENSORLP00000011608	ENSTGUP00000000391
ENSORLP00000013942	ENSTGUP00000011372
ENSORLP00000002967	ENSTGUP00000003950
ENSORLP00000020153	ENSTGUP00000001715
ENSORLP00000008018	ENSTGUP00000001715
ENSORLP00000009719	ENSTGUP00000016151
ENSORLP00000009264	ENSTGUP00000007634
ENSORLP00000016385	ENSTGUP00000005825
ENSORLP00000011881	ENSTGUP00000003563
ENSORLP00000004619	ENSTGUP00000008691
ENSORLP00000014691	ENSTGUP00000003264
ENSORLP00000025699	ENSTGUP00000009628
ENSORLP00000018746	ENSTGUP00000008404
ENSORLP00000025092	ENSTGUP00000004600
ENSORLP00000008947	ENSTGUP00000004600
ENSORLP00000007330	ENSTGUP00000006527
ENSORLP00000019821	ENSTGUP00000000237
ENSORLP00000011260	ENSTGUP00000000237
ENSORLP00000015135	ENSTGUP00000017637
ENSORLP00000015125	ENSTGUP00000000233
ENSORLP00000011254	ENSTGUP00000000233
ENSORLP00000020032	ENSTGUP00000008091
ENSORLP00000018578	ENSTGUP00000008091
ENSORLP00000024718	ENSTGUP00000008275
ENSORLP00000013929	ENSTGUP00000011245
ENSORLP00000007935	ENSTGUP00000007184
ENSORLP00000020501	ENSTGUP00000005413
ENSORLP00000005391	ENSTGUP00000011588
ENSORLP00000001836	ENSTGUP00000008513
ENSORLP00000002802	ENSTGUP00000008513
ENSORLP00000004251	ENSTGUP00000011569
ENSORLP00000019486	ENSTGUP00000015744
ENSORLP00000007785	ENSTGUP00000015009
ENSORLP00000008561	ENSTGUP00000004590
ENSORLP00000003224	ENSTGUP00000017430
ENSORLP00000020210	ENSTGUP00000017430
ENSORLP00000003955	ENSTGUP00000002938
ENSORLP00000005716	ENSTGUP00000002938
ENSORLP00000009447	ENSTGUP00000009423
ENSORLP00000016755	ENSTGUP00000010729
ENSORLP00000025680	ENSTGUP00000009389
ENSORLP00000017370	ENSTGUP00000004504
ENSORLP00000015976	ENSTGUP00000006373
ENSORLP00000010846	ENSTGUP00000006373
ENSORLP00000012076	ENSTGUP00000004516
ENSORLP00000014665	ENSTGUP00000004279
ENSORLP00000021608	ENSTGUP00000013320
ENSORLP00000014160	ENSTGUP00000013320
ENSORLP00000006974	ENSTGUP00000001792
ENSORLP00000004278	ENSTGUP00000013464
ENSORLP00000020050	ENSTGUP00000005217
ENSORLP00000007001	ENSTGUP00000012701
ENSORLP00000002142	ENSTGUP00000012701
ENSORLP00000007930	ENSTGUP00000010139
ENSORLP00000019309	ENSTGUP00000005561
ENSORLP00000004088	ENSTGUP00000003162
ENSORLP00000005176	ENSTGUP00000006712
ENSORLP00000010903	ENSTGUP00000017666
ENSORLP00000011879	ENSTGUP00000004803
ENSORLP00000017466	ENSTGUP00000004803
ENSORLP00000016407	ENSTGUP00000013116
ENSORLP00000005899	ENSTGUP00000008481
ENSORLP00000000178	ENSTGUP00000004522
ENSORLP00000018925	ENSTGUP00000005546
ENSORLP00000003200	ENSTGUP00000006158
ENSORLP00000016932	ENSTGUP00000009193
ENSORLP00000020649	ENSTGUP00000007870
ENSORLP00000013120	ENSTGUP00000015337
ENSORLP00000021408	ENSTGUP00000008844
ENSORLP00000012533	ENSTGUP00000012466
ENSORLP00000004693	ENSTGUP00000012466
ENSORLP00000013449	ENSTGUP00000010031
ENSORLP00000009845	ENSTGUP00000014507
ENSORLP00000006238	ENSTGUP00000003709
ENSORLP00000011233	ENSTGUP00000003709
ENSORLP00000025382	ENSTGUP00000005681
ENSORLP00000025778	ENSTGUP00000005669
ENSORLP00000019118	ENSTGUP00000004672
ENSORLP00000002793	ENSTGUP00000007357
ENSORLP00000007565	ENSTGUP00000007357
ENSORLP00000018319	ENSTGUP00000003986
ENSORLP00000019101	ENSTGUP00000005160
ENSORLP00000008804	ENSTGUP00000001355
ENSORLP00000010408	ENSTGUP00000001355
ENSORLP00000015382	ENSTGUP00000007730
ENSORLP00000000955	ENSTGUP00000016201
ENSORLP00000024303	ENSTGUP00000004958
ENSORLP00000007370	ENSTGUP00000017828
ENSORLP00000011202	ENSTGUP00000017828
ENSORLP00000002460	ENSTGUP00000014041
ENSORLP00000021417	ENSTGUP00000001167
ENSORLP00000014546	ENSTGUP00000001284
ENSORLP00000024006	ENSTGUP00000005641
ENSORLP00000025283	ENSTGUP00000008758
ENSORLP00000023562	ENSTGUP00000008758
ENSORLP00000025361	ENSTGUP00000005051
ENSORLP00000002544	ENSTGUP00000005553
ENSORLP00000013157	ENSTGUP00000005553
ENSORLP00000014924	ENSTGUP00000006849
ENSORLP00000019751	ENSTGUP00000010366
ENSORLP00000013289	ENSTGUP00000010366
ENSORLP00000020092	ENSTGUP00000001424
ENSORLP00000007978	ENSTGUP00000001424
ENSORLP00000019342	ENSTGUP00000018065
ENSORLP00000022468	ENSTGUP00000011327
ENSORLP00000007005	ENSTGUP00000004064
ENSORLP00000006193	ENSTGUP00000012708
ENSORLP00000018788	ENSTGUP00000013371
ENSORLP00000015748	ENSTGUP00000014657
ENSORLP00000002291	ENSTGUP00000006126
ENSORLP00000019227	ENSTGUP00000011714
ENSORLP00000014563	ENSTGUP00000012054
ENSORLP00000016522	ENSTGUP00000000875
ENSORLP00000018166	ENSTGUP00000001057
ENSORLP00000006852	ENSTGUP00000000004
ENSORLP00000019932	ENSTGUP00000011132
ENSORLP00000018275	ENSTGUP00000005347
ENSORLP00000005287	ENSTGUP00000012638
ENSORLP00000015378	ENSTGUP00000014902
ENSORLP00000014432	ENSTGUP00000003269
ENSORLP00000006622	ENSTGUP00000010058
ENSORLP00000021170	ENSTGUP00000007219
ENSORLP00000006700	ENSTGUP00000008212
ENSORLP00000017682	ENSTGUP00000002306
ENSORLP00000004579	ENSTGUP00000012158
ENSORLP00000005540	ENSTGUP00000009157
ENSORLP00000022648	ENSTGUP00000012145
ENSORLP00000021423	ENSTGUP00000002564
ENSORLP00000016275	ENSTGUP00000010617
ENSORLP00000001337	ENSTGUP00000015957
ENSORLP00000005361	ENSTGUP00000012594
ENSORLP00000020996	ENSTGUP00000012594
ENSORLP00000024525	ENSTGUP00000010318
ENSORLP00000009575	ENSTGUP00000010848
ENSORLP00000009804	ENSTGUP00000009545
ENSORLP00000024813	ENSTGUP00000011142
ENSORLP00000000315	ENSTGUP00000008315
ENSORLP00000021052	ENSTGUP00000011770
ENSORLP00000014648	ENSTGUP00000003893
ENSORLP00000013260	ENSTGUP00000009747
ENSORLP00000019946	ENSTGUP00000011981
ENSORLP00000012742	ENSTGUP00000007205
ENSORLP00000020510	ENSTGUP00000014107
ENSORLP00000021576	ENSTGUP00000001972
ENSORLP00000015998	ENSTGUP00000004174
ENSORLP00000015424	ENSTGUP00000010492
ENSORLP00000012302	ENSTGUP00000009905
ENSORLP00000012334	ENSTGUP00000009932
ENSORLP00000003701	ENSTGUP00000002220
ENSORLP00000018569	ENSTGUP00000002273
ENSORLP00000005246	ENSTGUP00000002273
ENSORLP00000000570	ENSTGUP00000011073
ENSORLP00000001147	ENSTGUP00000011073
ENSORLP00000011697	ENSTGUP00000004253
ENSORLP00000008639	ENSTGUP00000004253
ENSORLP00000004401	ENSTGUP00000007190
ENSORLP00000016781	ENSTGUP00000011516
ENSORLP00000013665	ENSTGUP00000010327
ENSORLP00000020220	ENSTGUP00000015676
ENSORLP00000023486	ENSTGUP00000005720
ENSORLP00000009060	ENSTGUP00000011596
ENSORLP00000009935	ENSTGUP00000011472
ENSORLP00000022033	ENSTGUP00000000259
ENSORLP00000021561	ENSTGUP00000002243
ENSORLP00000010554	ENSTGUP00000012150
ENSORLP00000015653	ENSTGUP00000005584
ENSORLP00000009407	ENSTGUP00000000273
ENSORLP00000007507	ENSTGUP00000000348
ENSORLP00000025418	ENSTGUP00000000348
ENSORLP00000020582	ENSTGUP00000014702
ENSORLP00000023533	ENSTGUP00000014702
ENSORLP00000005021	ENSTGUP00000010766
ENSORLP00000020066	ENSTGUP00000002968
ENSORLP00000025471	ENSTGUP00000008158
ENSORLP00000003329	ENSTGUP00000002315
ENSORLP00000017612	ENSTGUP00000004524
ENSORLP00000010780	ENSTGUP00000013743
ENSORLP00000013167	ENSTGUP00000010115
ENSORLP00000023378	ENSTGUP00000002464
ENSORLP00000000556	ENSTGUP00000008113
ENSORLP00000012858	ENSTGUP00000004045
ENSORLP00000024341	ENSTGUP00000000496
ENSORLP00000002505	ENSTGUP00000003646
ENSORLP00000016642	ENSTGUP00000011148
ENSORLP00000014817	ENSTGUP00000011148
ENSORLP00000010552	ENSTGUP00000014708
ENSORLP00000024673	ENSTGUP00000014708
ENSORLP00000012495	ENSTGUP00000005396
ENSORLP00000019452	ENSTGUP00000012194
ENSORLP00000023753	ENSTGUP00000010522
ENSORLP00000011177	ENSTGUP00000003660
ENSORLP00000000800	ENSTGUP00000001609
ENSORLP00000021619	ENSTGUP00000001609
ENSORLP00000009376	ENSTGUP00000008103
ENSORLP00000013283	ENSTGUP00000002845
ENSORLP00000003871	ENSTGUP00000012368
ENSORLP00000009664	ENSTGUP00000012368
ENSORLP00000022395	ENSTGUP00000001329
ENSORLP00000018310	ENSTGUP00000011194
ENSORLP00000019175	ENSTGUP00000011194
ENSORLP00000006121	ENSTGUP00000005970
ENSORLP00000004141	ENSTGUP00000005970
ENSORLP00000017101	ENSTGUP00000006607
ENSORLP00000017858	ENSTGUP00000007643
ENSORLP00000007854	ENSTGUP00000011495
ENSORLP00000020087	ENSTGUP00000011495
ENSORLP00000023047	ENSTGUP00000006741
ENSORLP00000008712	ENSTGUP00000002579
ENSORLP00000003369	ENSTGUP00000002579
ENSORLP00000013373	ENSTGUP00000009243
ENSORLP00000003415	ENSTGUP00000009243
ENSORLP00000019096	ENSTGUP00000008195
ENSORLP00000019098	ENSTGUP00000008899
ENSORLP00000011080	ENSTGUP00000007251
ENSORLP00000015725	ENSTGUP00000007251
ENSORLP00000007866	ENSTGUP00000001501
ENSORLP00000009345	ENSTGUP00000003402
ENSORLP00000024871	ENSTGUP00000017749
ENSORLP00000006399	ENSTGUP00000003320
ENSORLP00000010963	ENSTGUP00000006703
ENSORLP00000012068	ENSTGUP00000003515
ENSORLP00000005390	ENSTGUP00000011559
ENSORLP00000022513	ENSTGUP00000012311
ENSORLP00000015200	ENSTGUP00000003197
ENSORLP00000022595	ENSTGUP00000013348
ENSORLP00000003948	ENSTGUP00000005123
ENSORLP00000002389	ENSTGUP00000004095
ENSORLP00000002820	ENSTGUP00000003775
ENSORLP00000009948	ENSTGUP00000003758
ENSORLP00000020094	ENSTGUP00000004184
ENSORLP00000010119	ENSTGUP00000004199
ENSORLP00000019214	ENSTGUP00000010834
ENSORLP00000024224	ENSTGUP00000009111
ENSORLP00000005919	ENSTGUP00000008695
ENSORLP00000019655	ENSTGUP00000013829
ENSORLP00000019708	ENSTGUP00000010235
ENSORLP00000009527	ENSTGUP00000008367
ENSORLP00000012965	ENSTGUP00000008367
ENSORLP00000025656	ENSTGUP00000006827
ENSORLP00000010102	ENSTGUP00000006827
ENSORLP00000014987	ENSTGUP00000007212
ENSORLP00000022063	ENSTGUP00000011398
ENSORLP00000003559	ENSTGUP00000011398
ENSORLP00000006042	ENSTGUP00000006292
ENSORLP00000024937	ENSTGUP00000005243
ENSORLP00000005534	ENSTGUP00000001022
ENSORLP00000021704	ENSTGUP00000001800
ENSORLP00000013360	ENSTGUP00000012221
ENSORLP00000019892	ENSTGUP00000008143
ENSORLP00000011572	ENSTGUP00000008143
ENSORLP00000014379	ENSTGUP00000001280
ENSORLP00000023141	ENSTGUP00000009392
ENSORLP00000011273	ENSTGUP00000003813
ENSORLP00000016465	ENSTGUP00000009322
ENSORLP00000005631	ENSTGUP00000001078
ENSORLP00000013229	ENSTGUP00000003805
ENSORLP00000024752	ENSTGUP00000001706
ENSORLP00000008749	ENSTGUP00000001137
ENSORLP00000018447	ENSTGUP00000006709
ENSORLP00000010115	ENSTGUP00000005796
ENSORLP00000001033	ENSTGUP00000010923
ENSORLP00000020926	ENSTGUP00000001933
ENSORLP00000019177	ENSTGUP00000005580
ENSORLP00000003191	ENSTGUP00000016909
ENSORLP00000015686	ENSTGUP00000002295
ENSORLP00000002367	ENSTGUP00000017565
ENSORLP00000008375	ENSTGUP00000013795
ENSORLP00000005122	ENSTGUP00000001543
ENSORLP00000024000	ENSTGUP00000005490
ENSORLP00000011835	ENSTGUP00000011756
ENSORLP00000007024	ENSTGUP00000000350
ENSORLP00000009202	ENSTGUP00000010374
ENSORLP00000017009	ENSTGUP00000004992
ENSORLP00000020666	ENSTGUP00000012752
ENSORLP00000003654	ENSTGUP00000011386
ENSORLP00000022073	ENSTGUP00000011386
ENSORLP00000003137	ENSTGUP00000000411
ENSORLP00000007160	ENSTGUP00000000411
ENSORLP00000001406	ENSTGUP00000007694
ENSORLP00000003645	ENSTGUP00000007820
ENSORLP00000016043	ENSTGUP00000007820
ENSORLP00000011059	ENSTGUP00000010849
ENSORLP00000010245	ENSTGUP00000009494
ENSORLP00000002565	ENSTGUP00000013097
ENSORLP00000000220	ENSTGUP00000008190
ENSORLP00000016099	ENSTGUP00000012093
ENSORLP00000010178	ENSTGUP00000010286
ENSORLP00000015387	ENSTGUP00000008731
ENSORLP00000022133	ENSTGUP00000010802
ENSORLP00000020198	ENSTGUP00000007994
ENSORLP00000009678	ENSTGUP00000007952
ENSORLP00000001295	ENSTGUP00000010731
ENSORLP00000014273	ENSTGUP00000004821
ENSORLP00000001266	ENSTGUP00000000696
ENSORLP00000025832	ENSTGUP00000002072
ENSORLP00000013872	ENSTGUP00000008622
ENSORLP00000021782	ENSTGUP00000008792
ENSORLP00000015232	ENSTGUP00000015019
ENSORLP00000005600	ENSTGUP00000001637
ENSORLP00000014788	ENSTGUP00000015594
ENSORLP00000013956	ENSTGUP00000017492
ENSORLP00000016851	ENSTGUP00000013822
ENSORLP00000014269	ENSTGUP00000012821
ENSORLP00000001915	ENSTGUP00000006097
ENSORLP00000015230	ENSTGUP00000013715
ENSORLP00000022617	ENSTGUP00000009109
ENSORLP00000015380	ENSTGUP00000006752
ENSORLP00000007748	ENSTGUP00000008641
ENSORLP00000022151	ENSTGUP00000013657
ENSORLP00000002888	ENSTGUP00000010367
ENSORLP00000020194	ENSTGUP00000013586
ENSORLP00000025390	ENSTGUP00000012185
ENSORLP00000020763	ENSTGUP00000002478
ENSORLP00000012940	ENSTGUP00000002478
ENSORLP00000007094	ENSTGUP00000009658
ENSORLP00000014849	ENSTGUP00000001820
ENSORLP00000015732	ENSTGUP00000017533
ENSORLP00000020378	ENSTGUP00000017724
ENSORLP00000000400	ENSTGUP00000001056
ENSORLP00000012199	ENSTGUP00000007779
ENSORLP00000006992	ENSTGUP00000013125
ENSORLP00000010149	ENSTGUP00000003825
ENSORLP00000016208	ENSTGUP00000006820
ENSORLP00000019992	ENSTGUP00000006661
ENSORLP00000009150	ENSTGUP00000009938
ENSORLP00000013015	ENSTGUP00000010389
ENSORLP00000014146	ENSTGUP00000011771
ENSORLP00000011048	ENSTGUP00000011932
ENSORLP00000010567	ENSTGUP00000005259
ENSORLP00000003207	ENSTGUP00000005259
ENSORLP00000007029	ENSTGUP00000003891
ENSORLP00000010482	ENSTGUP00000013758
ENSORLP00000010906	ENSTGUP00000010432
ENSORLP00000018286	ENSTGUP00000010432
ENSORLP00000004294	ENSTGUP00000007872
ENSORLP00000019702	ENSTGUP00000010281
ENSORLP00000016792	ENSTGUP00000010238
ENSORLP00000013757	ENSTGUP00000010238
ENSORLP00000006860	ENSTGUP00000000002
ENSORLP00000006797	ENSTGUP00000003655
ENSORLP00000002878	ENSTGUP00000003655
ENSORLP00000021053	ENSTGUP00000006891
ENSORLP00000009802	ENSTGUP00000004276
ENSORLP00000019285	ENSTGUP00000004276
ENSORLP00000015837	ENSTGUP00000016586
ENSORLP00000008004	ENSTGUP00000013686
ENSORLP00000015753	ENSTGUP00000013686
ENSORLP00000001793	ENSTGUP00000010596
ENSORLP00000000772	ENSTGUP00000016945
ENSORLP00000006273	ENSTGUP00000004000
ENSORLP00000016293	ENSTGUP00000004000
ENSORLP00000019064	ENSTGUP00000000277
ENSORLP00000020289	ENSTGUP00000002652
ENSORLP00000019006	ENSTGUP00000002652
ENSORLP00000014092	ENSTGUP00000014977
ENSORLP00000015815	ENSTGUP00000013662
ENSORLP00000006085	ENSTGUP00000011255
ENSORLP00000008370	ENSTGUP00000008508
ENSORLP00000015650	ENSTGUP00000008232
ENSORLP00000000265	ENSTGUP00000008232
ENSORLP00000005273	ENSTGUP00000008971
ENSORLP00000018809	ENSTGUP00000005563
ENSORLP00000012129	ENSTGUP00000008709
ENSORLP00000004478	ENSTGUP00000003359
ENSORLP00000006537	ENSTGUP00000003359
ENSORLP00000011341	ENSTGUP00000005378
ENSORLP00000010111	ENSTGUP00000017809
ENSORLP00000011469	ENSTGUP00000006422
ENSORLP00000010016	ENSTGUP00000009978
ENSORLP00000017034	ENSTGUP00000009975
ENSORLP00000018317	ENSTGUP00000008400
