ENSTNIP00000004863	ENSMODP00000016222
ENSTNIP00000018800	ENSMODP00000005435
ENSTNIP00000018334	ENSMODP00000016852
ENSTNIP00000000638	ENSMODP00000016852
ENSTNIP00000020868	ENSMODP00000000500
ENSTNIP00000019031	ENSMODP00000024292
ENSTNIP00000016206	ENSMODP00000024292
ENSTNIP00000010267	ENSMODP00000013464
ENSTNIP00000013793	ENSMODP00000004044
ENSTNIP00000010816	ENSMODP00000007893
ENSTNIP00000003575	ENSMODP00000021412
ENSTNIP00000007340	ENSMODP00000006018
ENSTNIP00000016040	ENSMODP00000023606
ENSTNIP00000014011	ENSMODP00000004519
ENSTNIP00000002898	ENSMODP00000004519
ENSTNIP00000021443	ENSMODP00000039634
ENSTNIP00000019065	ENSMODP00000037970
ENSTNIP00000001502	ENSMODP00000004963
ENSTNIP00000007089	ENSMODP00000016775
ENSTNIP00000011020	ENSMODP00000036437
ENSTNIP00000009412	ENSMODP00000005386
ENSTNIP00000016188	ENSMODP00000007425
ENSTNIP00000005272	ENSMODP00000006172
ENSTNIP00000002453	ENSMODP00000026554
ENSTNIP00000010487	ENSMODP00000005255
ENSTNIP00000019645	ENSMODP00000000790
ENSTNIP00000013536	ENSMODP00000020405
ENSTNIP00000002580	ENSMODP00000013497
ENSTNIP00000010184	ENSMODP00000002193
ENSTNIP00000011332	ENSMODP00000005016
ENSTNIP00000016915	ENSMODP00000021509
ENSTNIP00000016960	ENSMODP00000021545
ENSTNIP00000011744	ENSMODP00000002877
ENSTNIP00000007098	ENSMODP00000008929
ENSTNIP00000018861	ENSMODP00000008929
ENSTNIP00000011521	ENSMODP00000013499
ENSTNIP00000012246	ENSMODP00000034760
ENSTNIP00000015807	ENSMODP00000017133
ENSTNIP00000004001	ENSMODP00000031383
ENSTNIP00000009462	ENSMODP00000027887
ENSTNIP00000019057	ENSMODP00000006876
ENSTNIP00000004593	ENSMODP00000012731
ENSTNIP00000021609	ENSMODP00000001749
ENSTNIP00000019191	ENSMODP00000017923
ENSTNIP00000017983	ENSMODP00000012407
ENSTNIP00000020654	ENSMODP00000004582
ENSTNIP00000016193	ENSMODP00000007382
ENSTNIP00000004730	ENSMODP00000004284
ENSTNIP00000013737	ENSMODP00000020969
ENSTNIP00000022314	ENSMODP00000019075
ENSTNIP00000021604	ENSMODP00000019115
ENSTNIP00000012073	ENSMODP00000019115
ENSTNIP00000018794	ENSMODP00000012345
ENSTNIP00000020092	ENSMODP00000026928
ENSTNIP00000009396	ENSMODP00000018395
ENSTNIP00000005167	ENSMODP00000018395
ENSTNIP00000006348	ENSMODP00000013451
ENSTNIP00000016316	ENSMODP00000013531
ENSTNIP00000003187	ENSMODP00000033297
ENSTNIP00000003719	ENSMODP00000033297
ENSTNIP00000011174	ENSMODP00000019398
ENSTNIP00000011717	ENSMODP00000019398
ENSTNIP00000016889	ENSMODP00000003179
ENSTNIP00000002630	ENSMODP00000007000
ENSTNIP00000013618	ENSMODP00000024699
ENSTNIP00000013679	ENSMODP00000003320
ENSTNIP00000012410	ENSMODP00000021986
ENSTNIP00000004170	ENSMODP00000024349
ENSTNIP00000000096	ENSMODP00000022203
ENSTNIP00000004169	ENSMODP00000001020
ENSTNIP00000019810	ENSMODP00000025425
ENSTNIP00000008001	ENSMODP00000016658
ENSTNIP00000012366	ENSMODP00000024177
ENSTNIP00000005750	ENSMODP00000006059
ENSTNIP00000015048	ENSMODP00000013818
ENSTNIP00000000796	ENSMODP00000023168
ENSTNIP00000010808	ENSMODP00000006713
ENSTNIP00000008567	ENSMODP00000006713
ENSTNIP00000022432	ENSMODP00000016086
ENSTNIP00000016575	ENSMODP00000025150
ENSTNIP00000021248	ENSMODP00000000370
ENSTNIP00000005097	ENSMODP00000018131
ENSTNIP00000015493	ENSMODP00000005345
ENSTNIP00000021220	ENSMODP00000012871
ENSTNIP00000019177	ENSMODP00000017612
ENSTNIP00000017433	ENSMODP00000012865
ENSTNIP00000000410	ENSMODP00000013397
ENSTNIP00000006791	ENSMODP00000015857
ENSTNIP00000015607	ENSMODP00000015857
ENSTNIP00000015045	ENSMODP00000020847
ENSTNIP00000004007	ENSMODP00000004951
ENSTNIP00000001462	ENSMODP00000031789
ENSTNIP00000013657	ENSMODP00000031789
ENSTNIP00000020379	ENSMODP00000033636
ENSTNIP00000008352	ENSMODP00000017863
ENSTNIP00000007481	ENSMODP00000038839
ENSTNIP00000019677	ENSMODP00000023326
ENSTNIP00000009421	ENSMODP00000013862
ENSTNIP00000013063	ENSMODP00000005633
ENSTNIP00000009402	ENSMODP00000002353
ENSTNIP00000004502	ENSMODP00000020662
ENSTNIP00000010409	ENSMODP00000018114
ENSTNIP00000017707	ENSMODP00000003778
ENSTNIP00000018493	ENSMODP00000003778
ENSTNIP00000014875	ENSMODP00000016652
ENSTNIP00000013202	ENSMODP00000023397
ENSTNIP00000012018	ENSMODP00000023397
ENSTNIP00000018958	ENSMODP00000003368
ENSTNIP00000023021	ENSMODP00000000346
ENSTNIP00000012426	ENSMODP00000034629
ENSTNIP00000012427	ENSMODP00000034629
ENSTNIP00000007261	ENSMODP00000005649
ENSTNIP00000000583	ENSMODP00000019189
ENSTNIP00000013315	ENSMODP00000019192
ENSTNIP00000007749	ENSMODP00000015236
ENSTNIP00000020639	ENSMODP00000005729
ENSTNIP00000019074	ENSMODP00000011064
ENSTNIP00000008726	ENSMODP00000001454
ENSTNIP00000005762	ENSMODP00000021931
ENSTNIP00000000686	ENSMODP00000021931
ENSTNIP00000005334	ENSMODP00000024509
ENSTNIP00000002104	ENSMODP00000010755
ENSTNIP00000020483	ENSMODP00000010746
ENSTNIP00000010273	ENSMODP00000000909
ENSTNIP00000010274	ENSMODP00000000902
ENSTNIP00000020485	ENSMODP00000010740
ENSTNIP00000015355	ENSMODP00000016933
ENSTNIP00000020495	ENSMODP00000035258
ENSTNIP00000006777	ENSMODP00000000835
ENSTNIP00000018579	ENSMODP00000000835
ENSTNIP00000017504	ENSMODP00000024821
ENSTNIP00000014347	ENSMODP00000021392
ENSTNIP00000015091	ENSMODP00000021392
ENSTNIP00000022535	ENSMODP00000016401
ENSTNIP00000013166	ENSMODP00000002302
ENSTNIP00000019489	ENSMODP00000023618
ENSTNIP00000008351	ENSMODP00000017858
ENSTNIP00000011343	ENSMODP00000012397
ENSTNIP00000009832	ENSMODP00000003704
ENSTNIP00000011695	ENSMODP00000003835
ENSTNIP00000012507	ENSMODP00000002775
ENSTNIP00000010059	ENSMODP00000022195
ENSTNIP00000008124	ENSMODP00000019036
ENSTNIP00000005460	ENSMODP00000021585
ENSTNIP00000020028	ENSMODP00000017428
ENSTNIP00000016240	ENSMODP00000026323
ENSTNIP00000018847	ENSMODP00000007727
ENSTNIP00000002068	ENSMODP00000016781
ENSTNIP00000005351	ENSMODP00000006815
ENSTNIP00000004489	ENSMODP00000007822
ENSTNIP00000006781	ENSMODP00000033334
ENSTNIP00000019601	ENSMODP00000007124
ENSTNIP00000015414	ENSMODP00000026127
ENSTNIP00000012771	ENSMODP00000035640
ENSTNIP00000016036	ENSMODP00000006054
ENSTNIP00000008856	ENSMODP00000008417
ENSTNIP00000017156	ENSMODP00000015774
ENSTNIP00000010967	ENSMODP00000011325
ENSTNIP00000005107	ENSMODP00000009929
ENSTNIP00000011131	ENSMODP00000002001
ENSTNIP00000013828	ENSMODP00000004035
ENSTNIP00000009154	ENSMODP00000013128
ENSTNIP00000009164	ENSMODP00000013128
ENSTNIP00000014948	ENSMODP00000026470
ENSTNIP00000005153	ENSMODP00000016349
ENSTNIP00000013909	ENSMODP00000016349
ENSTNIP00000007319	ENSMODP00000016685
ENSTNIP00000007704	ENSMODP00000021636
ENSTNIP00000021294	ENSMODP00000001690
ENSTNIP00000016469	ENSMODP00000024626
ENSTNIP00000009582	ENSMODP00000017180
ENSTNIP00000018175	ENSMODP00000017180
ENSTNIP00000015857	ENSMODP00000010191
ENSTNIP00000021291	ENSMODP00000014773
ENSTNIP00000008855	ENSMODP00000008455
ENSTNIP00000000564	ENSMODP00000020177
ENSTNIP00000004971	ENSMODP00000015849
ENSTNIP00000004957	ENSMODP00000039941
ENSTNIP00000008151	ENSMODP00000018579
ENSTNIP00000001004	ENSMODP00000018579
ENSTNIP00000022156	ENSMODP00000040020
ENSTNIP00000001946	ENSMODP00000016929
ENSTNIP00000005006	ENSMODP00000016929
ENSTNIP00000009610	ENSMODP00000016948
ENSTNIP00000009607	ENSMODP00000016950
ENSTNIP00000000276	ENSMODP00000016932
ENSTNIP00000011635	ENSMODP00000025635
ENSTNIP00000013963	ENSMODP00000025635
ENSTNIP00000016718	ENSMODP00000025666
ENSTNIP00000018027	ENSMODP00000009215
ENSTNIP00000011823	ENSMODP00000005689
ENSTNIP00000015408	ENSMODP00000020264
ENSTNIP00000005958	ENSMODP00000010276
ENSTNIP00000013297	ENSMODP00000024418
ENSTNIP00000012416	ENSMODP00000024418
ENSTNIP00000005978	ENSMODP00000022105
ENSTNIP00000009466	ENSMODP00000010406
ENSTNIP00000012902	ENSMODP00000014796
ENSTNIP00000011486	ENSMODP00000037021
ENSTNIP00000004438	ENSMODP00000002608
ENSTNIP00000014678	ENSMODP00000018917
ENSTNIP00000012223	ENSMODP00000010074
ENSTNIP00000005888	ENSMODP00000023816
ENSTNIP00000010928	ENSMODP00000017578
ENSTNIP00000021358	ENSMODP00000017578
ENSTNIP00000014563	ENSMODP00000020393
ENSTNIP00000008143	ENSMODP00000020393
ENSTNIP00000014905	ENSMODP00000004989
ENSTNIP00000008080	ENSMODP00000015030
ENSTNIP00000020628	ENSMODP00000017783
ENSTNIP00000013668	ENSMODP00000017783
ENSTNIP00000012089	ENSMODP00000029570
ENSTNIP00000018329	ENSMODP00000004225
ENSTNIP00000012257	ENSMODP00000024791
ENSTNIP00000020893	ENSMODP00000017558
ENSTNIP00000022303	ENSMODP00000005034
ENSTNIP00000015197	ENSMODP00000028670
ENSTNIP00000011646	ENSMODP00000023005
ENSTNIP00000017340	ENSMODP00000013329
ENSTNIP00000018295	ENSMODP00000013329
ENSTNIP00000014676	ENSMODP00000012713
ENSTNIP00000012347	ENSMODP00000006389
ENSTNIP00000002910	ENSMODP00000007629
ENSTNIP00000022222	ENSMODP00000012781
ENSTNIP00000012854	ENSMODP00000012781
ENSTNIP00000011254	ENSMODP00000037511
ENSTNIP00000021024	ENSMODP00000000643
ENSTNIP00000010120	ENSMODP00000000643
ENSTNIP00000003138	ENSMODP00000014248
ENSTNIP00000020783	ENSMODP00000034116
ENSTNIP00000002365	ENSMODP00000023356
ENSTNIP00000007116	ENSMODP00000011237
ENSTNIP00000007873	ENSMODP00000034145
ENSTNIP00000003073	ENSMODP00000034463
ENSTNIP00000015440	ENSMODP00000029074
ENSTNIP00000002945	ENSMODP00000020748
ENSTNIP00000010493	ENSMODP00000020748
ENSTNIP00000000060	ENSMODP00000010196
ENSTNIP00000011180	ENSMODP00000024853
ENSTNIP00000012573	ENSMODP00000028979
ENSTNIP00000018552	ENSMODP00000001626
ENSTNIP00000001236	ENSMODP00000034890
ENSTNIP00000013368	ENSMODP00000007927
ENSTNIP00000015175	ENSMODP00000000814
ENSTNIP00000020582	ENSMODP00000000814
ENSTNIP00000019695	ENSMODP00000007157
ENSTNIP00000012955	ENSMODP00000004469
ENSTNIP00000017286	ENSMODP00000024590
ENSTNIP00000001903	ENSMODP00000001502
ENSTNIP00000005786	ENSMODP00000004693
ENSTNIP00000018716	ENSMODP00000004192
ENSTNIP00000007349	ENSMODP00000028503
ENSTNIP00000008800	ENSMODP00000025233
ENSTNIP00000007586	ENSMODP00000031563
ENSTNIP00000013171	ENSMODP00000028859
ENSTNIP00000012491	ENSMODP00000011235
ENSTNIP00000019154	ENSMODP00000019655
ENSTNIP00000009836	ENSMODP00000001450
ENSTNIP00000006621	ENSMODP00000001450
ENSTNIP00000013169	ENSMODP00000037216
ENSTNIP00000020394	ENSMODP00000020163
ENSTNIP00000007224	ENSMODP00000004914
ENSTNIP00000005096	ENSMODP00000008363
ENSTNIP00000021793	ENSMODP00000008363
ENSTNIP00000021927	ENSMODP00000023740
ENSTNIP00000000313	ENSMODP00000029161
ENSTNIP00000011303	ENSMODP00000019802
ENSTNIP00000002396	ENSMODP00000019802
ENSTNIP00000011379	ENSMODP00000013887
ENSTNIP00000014388	ENSMODP00000004893
ENSTNIP00000008007	ENSMODP00000004893
ENSTNIP00000010066	ENSMODP00000035754
ENSTNIP00000018178	ENSMODP00000035754
ENSTNIP00000001223	ENSMODP00000024714
ENSTNIP00000011712	ENSMODP00000020099
ENSTNIP00000018212	ENSMODP00000040556
ENSTNIP00000010877	ENSMODP00000022442
ENSTNIP00000008480	ENSMODP00000022442
ENSTNIP00000020441	ENSMODP00000018134
ENSTNIP00000014310	ENSMODP00000024244
ENSTNIP00000008951	ENSMODP00000006025
ENSTNIP00000011694	ENSMODP00000003796
ENSTNIP00000005265	ENSMODP00000020994
ENSTNIP00000018050	ENSMODP00000011509
ENSTNIP00000007364	ENSMODP00000004108
ENSTNIP00000005574	ENSMODP00000006215
ENSTNIP00000022651	ENSMODP00000016598
ENSTNIP00000013428	ENSMODP00000015178
ENSTNIP00000004379	ENSMODP00000011747
ENSTNIP00000006105	ENSMODP00000021456
ENSTNIP00000007744	ENSMODP00000022547
ENSTNIP00000008380	ENSMODP00000025985
ENSTNIP00000016861	ENSMODP00000035244
ENSTNIP00000006950	ENSMODP00000010540
ENSTNIP00000018912	ENSMODP00000015462
ENSTNIP00000000581	ENSMODP00000015462
ENSTNIP00000017196	ENSMODP00000028490
ENSTNIP00000009478	ENSMODP00000035353
ENSTNIP00000019602	ENSMODP00000007192
ENSTNIP00000022315	ENSMODP00000011498
ENSTNIP00000012118	ENSMODP00000011498
ENSTNIP00000014813	ENSMODP00000033084
ENSTNIP00000011266	ENSMODP00000012038
ENSTNIP00000004367	ENSMODP00000012038
ENSTNIP00000004852	ENSMODP00000012043
ENSTNIP00000017224	ENSMODP00000025712
ENSTNIP00000001031	ENSMODP00000036164
ENSTNIP00000011008	ENSMODP00000008837
ENSTNIP00000015169	ENSMODP00000035049
ENSTNIP00000015050	ENSMODP00000013890
ENSTNIP00000007650	ENSMODP00000023997
ENSTNIP00000018688	ENSMODP00000019174
ENSTNIP00000012343	ENSMODP00000006105
ENSTNIP00000009061	ENSMODP00000011310
ENSTNIP00000011001	ENSMODP00000038432
ENSTNIP00000003743	ENSMODP00000038094
ENSTNIP00000020983	ENSMODP00000007186
ENSTNIP00000020818	ENSMODP00000025808
ENSTNIP00000020662	ENSMODP00000011506
ENSTNIP00000014553	ENSMODP00000011506
ENSTNIP00000013389	ENSMODP00000019642
ENSTNIP00000011277	ENSMODP00000019642
ENSTNIP00000006122	ENSMODP00000013017
ENSTNIP00000011641	ENSMODP00000034038
ENSTNIP00000007612	ENSMODP00000024630
ENSTNIP00000019840	ENSMODP00000024630
ENSTNIP00000011159	ENSMODP00000007314
ENSTNIP00000018578	ENSMODP00000000807
ENSTNIP00000022041	ENSMODP00000025533
ENSTNIP00000016879	ENSMODP00000037551
ENSTNIP00000009284	ENSMODP00000001075
ENSTNIP00000010691	ENSMODP00000004183
ENSTNIP00000010690	ENSMODP00000037028
ENSTNIP00000001130	ENSMODP00000025394
ENSTNIP00000004602	ENSMODP00000025382
ENSTNIP00000005961	ENSMODP00000034209
ENSTNIP00000012480	ENSMODP00000034209
ENSTNIP00000008075	ENSMODP00000000451
ENSTNIP00000011492	ENSMODP00000000451
ENSTNIP00000016114	ENSMODP00000025104
ENSTNIP00000009833	ENSMODP00000003741
ENSTNIP00000008391	ENSMODP00000003741
ENSTNIP00000007696	ENSMODP00000016415
ENSTNIP00000010751	ENSMODP00000007578
ENSTNIP00000006288	ENSMODP00000007578
ENSTNIP00000007904	ENSMODP00000017159
ENSTNIP00000019853	ENSMODP00000001221
ENSTNIP00000016462	ENSMODP00000001221
ENSTNIP00000005231	ENSMODP00000002321
ENSTNIP00000004847	ENSMODP00000017940
ENSTNIP00000022051	ENSMODP00000015526
ENSTNIP00000011331	ENSMODP00000004828
ENSTNIP00000021309	ENSMODP00000011028
ENSTNIP00000017657	ENSMODP00000020372
ENSTNIP00000006568	ENSMODP00000010574
ENSTNIP00000010646	ENSMODP00000009583
ENSTNIP00000011422	ENSMODP00000026216
ENSTNIP00000010597	ENSMODP00000017759
ENSTNIP00000006474	ENSMODP00000018923
ENSTNIP00000001510	ENSMODP00000033680
ENSTNIP00000002866	ENSMODP00000038197
ENSTNIP00000000411	ENSMODP00000038197
ENSTNIP00000018118	ENSMODP00000002177
ENSTNIP00000003737	ENSMODP00000002177
ENSTNIP00000006780	ENSMODP00000011613
ENSTNIP00000017158	ENSMODP00000016140
ENSTNIP00000007680	ENSMODP00000018953
ENSTNIP00000004308	ENSMODP00000009558
ENSTNIP00000017975	ENSMODP00000002133
ENSTNIP00000018739	ENSMODP00000006650
ENSTNIP00000011826	ENSMODP00000007345
ENSTNIP00000021262	ENSMODP00000001843
ENSTNIP00000020866	ENSMODP00000000384
ENSTNIP00000020812	ENSMODP00000025829
ENSTNIP00000019885	ENSMODP00000014169
ENSTNIP00000016795	ENSMODP00000013383
ENSTNIP00000010428	ENSMODP00000006152
ENSTNIP00000019018	ENSMODP00000020206
ENSTNIP00000017046	ENSMODP00000021326
ENSTNIP00000012546	ENSMODP00000021326
ENSTNIP00000006405	ENSMODP00000020260
ENSTNIP00000021960	ENSMODP00000022127
ENSTNIP00000018476	ENSMODP00000024585
ENSTNIP00000022437	ENSMODP00000022138
ENSTNIP00000013136	ENSMODP00000022138
ENSTNIP00000016528	ENSMODP00000024224
ENSTNIP00000007195	ENSMODP00000024224
ENSTNIP00000011522	ENSMODP00000037712
ENSTNIP00000014339	ENSMODP00000022880
ENSTNIP00000005917	ENSMODP00000021633
ENSTNIP00000012692	ENSMODP00000021633
ENSTNIP00000022223	ENSMODP00000012958
ENSTNIP00000014710	ENSMODP00000012958
ENSTNIP00000001157	ENSMODP00000006141
ENSTNIP00000021828	ENSMODP00000012151
ENSTNIP00000015014	ENSMODP00000038229
ENSTNIP00000002105	ENSMODP00000038229
ENSTNIP00000019290	ENSMODP00000013223
ENSTNIP00000019257	ENSMODP00000013223
ENSTNIP00000010470	ENSMODP00000018288
ENSTNIP00000010528	ENSMODP00000020371
ENSTNIP00000018325	ENSMODP00000020371
ENSTNIP00000013983	ENSMODP00000024020
ENSTNIP00000021073	ENSMODP00000027864
ENSTNIP00000017705	ENSMODP00000027864
ENSTNIP00000013822	ENSMODP00000035953
ENSTNIP00000011693	ENSMODP00000004283
ENSTNIP00000006587	ENSMODP00000009105
ENSTNIP00000007298	ENSMODP00000001146
ENSTNIP00000014555	ENSMODP00000001146
ENSTNIP00000015727	ENSMODP00000023122
ENSTNIP00000011236	ENSMODP00000014640
ENSTNIP00000009498	ENSMODP00000016641
ENSTNIP00000001680	ENSMODP00000019725
ENSTNIP00000011155	ENSMODP00000019725
ENSTNIP00000017756	ENSMODP00000016921
ENSTNIP00000008752	ENSMODP00000011273
ENSTNIP00000013233	ENSMODP00000025604
ENSTNIP00000012183	ENSMODP00000009936
ENSTNIP00000011984	ENSMODP00000017343
ENSTNIP00000015509	ENSMODP00000020508
ENSTNIP00000019113	ENSMODP00000002789
ENSTNIP00000007834	ENSMODP00000022250
ENSTNIP00000013674	ENSMODP00000003583
ENSTNIP00000015346	ENSMODP00000011192
ENSTNIP00000016368	ENSMODP00000023723
ENSTNIP00000002824	ENSMODP00000001117
ENSTNIP00000011151	ENSMODP00000022920
ENSTNIP00000013376	ENSMODP00000033234
ENSTNIP00000000423	ENSMODP00000015131
ENSTNIP00000008611	ENSMODP00000017053
ENSTNIP00000016807	ENSMODP00000012030
ENSTNIP00000002777	ENSMODP00000014545
ENSTNIP00000009476	ENSMODP00000015214
ENSTNIP00000018844	ENSMODP00000012900
ENSTNIP00000014728	ENSMODP00000009001
ENSTNIP00000007486	ENSMODP00000009001
ENSTNIP00000016779	ENSMODP00000003619
ENSTNIP00000017498	ENSMODP00000003619
ENSTNIP00000012220	ENSMODP00000003336
ENSTNIP00000015072	ENSMODP00000003336
ENSTNIP00000021437	ENSMODP00000020450
ENSTNIP00000014296	ENSMODP00000006508
ENSTNIP00000006205	ENSMODP00000003636
ENSTNIP00000016990	ENSMODP00000010412
ENSTNIP00000016268	ENSMODP00000010412
ENSTNIP00000014178	ENSMODP00000019135
ENSTNIP00000007894	ENSMODP00000020242
ENSTNIP00000012004	ENSMODP00000008035
ENSTNIP00000008339	ENSMODP00000017981
ENSTNIP00000012537	ENSMODP00000017981
ENSTNIP00000009503	ENSMODP00000007047
ENSTNIP00000010572	ENSMODP00000011322
ENSTNIP00000005158	ENSMODP00000021927
ENSTNIP00000017321	ENSMODP00000026493
ENSTNIP00000015935	ENSMODP00000018082
ENSTNIP00000013902	ENSMODP00000016445
ENSTNIP00000018480	ENSMODP00000037709
ENSTNIP00000005346	ENSMODP00000000740
ENSTNIP00000011559	ENSMODP00000009858
ENSTNIP00000015827	ENSMODP00000009575
ENSTNIP00000016789	ENSMODP00000021575
ENSTNIP00000018413	ENSMODP00000038702
ENSTNIP00000011852	ENSMODP00000011718
ENSTNIP00000017986	ENSMODP00000014505
ENSTNIP00000022115	ENSMODP00000014505
ENSTNIP00000007120	ENSMODP00000020838
ENSTNIP00000014694	ENSMODP00000011971
ENSTNIP00000014081	ENSMODP00000015208
ENSTNIP00000019882	ENSMODP00000017666
ENSTNIP00000014236	ENSMODP00000002268
ENSTNIP00000020719	ENSMODP00000033852
ENSTNIP00000016667	ENSMODP00000012204
ENSTNIP00000013704	ENSMODP00000009679
ENSTNIP00000022713	ENSMODP00000006685
ENSTNIP00000012925	ENSMODP00000037070
ENSTNIP00000020923	ENSMODP00000013501
ENSTNIP00000011784	ENSMODP00000007285
ENSTNIP00000011511	ENSMODP00000014942
ENSTNIP00000016400	ENSMODP00000019529
ENSTNIP00000011179	ENSMODP00000022314
ENSTNIP00000004831	ENSMODP00000010391
ENSTNIP00000016989	ENSMODP00000010391
ENSTNIP00000018778	ENSMODP00000022783
ENSTNIP00000006446	ENSMODP00000006646
ENSTNIP00000003653	ENSMODP00000006646
ENSTNIP00000019336	ENSMODP00000022543
ENSTNIP00000014761	ENSMODP00000022543
ENSTNIP00000019391	ENSMODP00000016502
ENSTNIP00000012876	ENSMODP00000016502
ENSTNIP00000006894	ENSMODP00000014221
ENSTNIP00000011884	ENSMODP00000017230
ENSTNIP00000007289	ENSMODP00000014738
ENSTNIP00000016351	ENSMODP00000035593
ENSTNIP00000014803	ENSMODP00000035593
ENSTNIP00000015818	ENSMODP00000008768
ENSTNIP00000020815	ENSMODP00000025824
ENSTNIP00000010045	ENSMODP00000022198
ENSTNIP00000022447	ENSMODP00000024262
ENSTNIP00000014542	ENSMODP00000009347
ENSTNIP00000017880	ENSMODP00000026857
ENSTNIP00000006374	ENSMODP00000020173
ENSTNIP00000006749	ENSMODP00000017698
ENSTNIP00000001875	ENSMODP00000003066
