ENSP00000262384	ENSORLP00000017023
ENSP00000358142	ENSORLP00000003855
ENSP00000299134	ENSORLP00000008892
ENSP00000452871	ENSORLP00000008411
ENSP00000452871	ENSORLP00000002451
ENSP00000351484	ENSORLP00000001579
ENSP00000353224	ENSORLP00000016596
ENSP00000353224	ENSORLP00000012171
ENSP00000223026	ENSORLP00000000631
ENSP00000337425	ENSORLP00000003863
ENSP00000157600	ENSORLP00000003946
ENSP00000365494	ENSORLP00000018264
ENSP00000401060	ENSORLP00000004025
ENSP00000373648	ENSORLP00000008236
ENSP00000262916	ENSORLP00000015074
ENSP00000337354	ENSORLP00000025646
ENSP00000316842	ENSORLP00000008488
ENSP00000216513	ENSORLP00000019732
ENSP00000247182	ENSORLP00000019739
ENSP00000304502	ENSORLP00000005562
ENSP00000260653	ENSORLP00000005568
ENSP00000337159	ENSORLP00000000954
ENSP00000216602	ENSORLP00000022406
ENSP00000390941	ENSORLP00000022541
ENSP00000390941	ENSORLP00000021818
ENSP00000357927	ENSORLP00000001585
ENSP00000310491	ENSORLP00000024109
ENSP00000346151	ENSORLP00000020061
ENSP00000346151	ENSORLP00000013463
ENSP00000324729	ENSORLP00000011283
ENSP00000311837	ENSORLP00000022013
ENSP00000429842	ENSORLP00000021863
ENSP00000217381	ENSORLP00000007508
ENSP00000357484	ENSORLP00000019672
ENSP00000419378	ENSORLP00000013177
ENSP00000358460	ENSORLP00000001420
ENSP00000333836	ENSORLP00000021168
ENSP00000333836	ENSORLP00000004254
ENSP00000218436	ENSORLP00000020381
ENSP00000233630	ENSORLP00000025494
ENSP00000354724	ENSORLP00000013846
ENSP00000337500	ENSORLP00000004640
ENSP00000461961	ENSORLP00000003433
ENSP00000355026	ENSORLP00000008276
ENSP00000056217	ENSORLP00000014984
ENSP00000264051	ENSORLP00000018887
ENSP00000367629	ENSORLP00000005319
ENSP00000402584	ENSORLP00000014859
ENSP00000319388	ENSORLP00000017630
ENSP00000369702	ENSORLP00000002967
ENSP00000441214	ENSORLP00000009719
ENSP00000406191	ENSORLP00000009264
ENSP00000291536	ENSORLP00000016385
ENSP00000356436	ENSORLP00000011881
ENSP00000360762	ENSORLP00000004619
ENSP00000263674	ENSORLP00000012934
ENSP00000250894	ENSORLP00000014691
ENSP00000262013	ENSORLP00000025699
ENSP00000369981	ENSORLP00000025092
ENSP00000369981	ENSORLP00000008947
ENSP00000418744	ENSORLP00000007330
ENSP00000361645	ENSORLP00000021066
ENSP00000361645	ENSORLP00000017966
ENSP00000278937	ENSORLP00000019821
ENSP00000278937	ENSORLP00000011260
ENSP00000432943	ENSORLP00000003189
ENSP00000278947	ENSORLP00000015135
ENSP00000322460	ENSORLP00000015125
ENSP00000322460	ENSORLP00000011254
ENSP00000266712	ENSORLP00000024718
ENSP00000343871	ENSORLP00000013929
ENSP00000362824	ENSORLP00000007935
ENSP00000361995	ENSORLP00000020501
ENSP00000268125	ENSORLP00000001836
ENSP00000268125	ENSORLP00000002802
ENSP00000428402	ENSORLP00000004251
ENSP00000302843	ENSORLP00000007785
ENSP00000347872	ENSORLP00000003955
ENSP00000347872	ENSORLP00000005716
ENSP00000303129	ENSORLP00000009447
ENSP00000399805	ENSORLP00000016755
ENSP00000323678	ENSORLP00000025680
ENSP00000375647	ENSORLP00000014402
ENSP00000436836	ENSORLP00000017370
ENSP00000005284	ENSORLP00000015976
ENSP00000005284	ENSORLP00000010846
ENSP00000262138	ENSORLP00000012076
ENSP00000270458	ENSORLP00000014408
ENSP00000400258	ENSORLP00000021608
ENSP00000400258	ENSORLP00000014160
ENSP00000362444	ENSORLP00000006974
ENSP00000247191	ENSORLP00000004278
ENSP00000359132	ENSORLP00000020050
ENSP00000379032	ENSORLP00000008218
ENSP00000363398	ENSORLP00000012723
ENSP00000367446	ENSORLP00000007001
ENSP00000367446	ENSORLP00000002142
ENSP00000220562	ENSORLP00000014484
ENSP00000322020	ENSORLP00000007930
ENSP00000329033	ENSORLP00000019891
ENSP00000272937	ENSORLP00000019320
ENSP00000272937	ENSORLP00000020797
ENSP00000307513	ENSORLP00000004088
ENSP00000283243	ENSORLP00000005176
ENSP00000356587	ENSORLP00000010903
ENSP00000368952	ENSORLP00000003924
ENSP00000368952	ENSORLP00000005958
ENSP00000319323	ENSORLP00000009004
ENSP00000328364	ENSORLP00000016407
ENSP00000454062	ENSORLP00000002498
ENSP00000344903	ENSORLP00000005899
ENSP00000194130	ENSORLP00000000178
ENSP00000279027	ENSORLP00000018925
ENSP00000392411	ENSORLP00000003200
ENSP00000406220	ENSORLP00000016932
ENSP00000365251	ENSORLP00000006703
ENSP00000435582	ENSORLP00000020649
ENSP00000353249	ENSORLP00000013120
ENSP00000360905	ENSORLP00000021408
ENSP00000355751	ENSORLP00000013449
ENSP00000222271	ENSORLP00000009845
ENSP00000339730	ENSORLP00000006238
ENSP00000339730	ENSORLP00000011233
ENSP00000319651	ENSORLP00000005200
ENSP00000371686	ENSORLP00000025778
ENSP00000227451	ENSORLP00000002793
ENSP00000227451	ENSORLP00000007565
ENSP00000257600	ENSORLP00000016480
ENSP00000316532	ENSORLP00000019101
ENSP00000356275	ENSORLP00000008804
ENSP00000356275	ENSORLP00000010408
ENSP00000431813	ENSORLP00000000955
ENSP00000160373	ENSORLP00000024303
ENSP00000271277	ENSORLP00000007370
ENSP00000271277	ENSORLP00000011202
ENSP00000346560	ENSORLP00000002460
ENSP00000363349	ENSORLP00000014546
ENSP00000238994	ENSORLP00000025283
ENSP00000238994	ENSORLP00000023562
ENSP00000308318	ENSORLP00000025361
ENSP00000284601	ENSORLP00000002544
ENSP00000284601	ENSORLP00000013157
ENSP00000336630	ENSORLP00000019751
ENSP00000336630	ENSORLP00000013289
ENSP00000356205	ENSORLP00000020092
ENSP00000356205	ENSORLP00000007978
ENSP00000276218	ENSORLP00000019342
ENSP00000391299	ENSORLP00000022468
ENSP00000342313	ENSORLP00000007005
ENSP00000440674	ENSORLP00000015046
ENSP00000440674	ENSORLP00000007689
ENSP00000332723	ENSORLP00000006193
ENSP00000411770	ENSORLP00000018788
ENSP00000214869	ENSORLP00000008504
ENSP00000214869	ENSORLP00000018750
ENSP00000359305	ENSORLP00000002291
ENSP00000356381	ENSORLP00000019227
ENSP00000369989	ENSORLP00000014563
ENSP00000233596	ENSORLP00000016522
ENSP00000368959	ENSORLP00000018166
ENSP00000254901	ENSORLP00000006852
ENSP00000438346	ENSORLP00000019932
ENSP00000362863	ENSORLP00000018275
ENSP00000358159	ENSORLP00000005287
ENSP00000264233	ENSORLP00000006617
ENSP00000317123	ENSORLP00000015378
ENSP00000253083	ENSORLP00000007697
ENSP00000253083	ENSORLP00000001913
ENSP00000263915	ENSORLP00000021170
ENSP00000381793	ENSORLP00000006700
ENSP00000403459	ENSORLP00000017682
ENSP00000343490	ENSORLP00000008593
ENSP00000369442	ENSORLP00000004579
ENSP00000257408	ENSORLP00000005540
ENSP00000264162	ENSORLP00000022648
ENSP00000240285	ENSORLP00000010020
ENSP00000365397	ENSORLP00000021423
ENSP00000358854	ENSORLP00000016275
ENSP00000262394	ENSORLP00000017243
ENSP00000319474	ENSORLP00000001337
ENSP00000387078	ENSORLP00000005361
ENSP00000387078	ENSORLP00000020996
ENSP00000344504	ENSORLP00000009575
ENSP00000372160	ENSORLP00000009804
ENSP00000263512	ENSORLP00000019121
ENSP00000245312	ENSORLP00000024813
ENSP00000273861	ENSORLP00000000315
ENSP00000216540	ENSORLP00000021052
ENSP00000313681	ENSORLP00000000841
ENSP00000313681	ENSORLP00000015688
ENSP00000245222	ENSORLP00000013754
ENSP00000216264	ENSORLP00000014648
ENSP00000347581	ENSORLP00000019946
ENSP00000404121	ENSORLP00000020510
ENSP00000262961	ENSORLP00000021804
ENSP00000265069	ENSORLP00000021576
ENSP00000361800	ENSORLP00000015998
ENSP00000264968	ENSORLP00000015424
ENSP00000338487	ENSORLP00000023222
ENSP00000354458	ENSORLP00000012302
ENSP00000360281	ENSORLP00000012334
ENSP00000322061	ENSORLP00000018569
ENSP00000322061	ENSORLP00000005246
ENSP00000263413	ENSORLP00000018612
ENSP00000309270	ENSORLP00000000570
ENSP00000309270	ENSORLP00000001147
ENSP00000362207	ENSORLP00000011697
ENSP00000362207	ENSORLP00000008639
ENSP00000276055	ENSORLP00000020054
ENSP00000354842	ENSORLP00000016781
ENSP00000344724	ENSORLP00000007482
ENSP00000344724	ENSORLP00000006064
ENSP00000441032	ENSORLP00000020990
ENSP00000346206	ENSORLP00000020220
ENSP00000440288	ENSORLP00000023486
ENSP00000351717	ENSORLP00000021952
ENSP00000310721	ENSORLP00000009060
ENSP00000301645	ENSORLP00000009935
ENSP00000318867	ENSORLP00000022033
ENSP00000244043	ENSORLP00000000805
ENSP00000259808	ENSORLP00000021561
ENSP00000220751	ENSORLP00000010554
ENSP00000332454	ENSORLP00000015653
ENSP00000306678	ENSORLP00000009407
ENSP00000363852	ENSORLP00000007507
ENSP00000363852	ENSORLP00000025418
ENSP00000229729	ENSORLP00000002376
ENSP00000336888	ENSORLP00000020582
ENSP00000336888	ENSORLP00000023533
ENSP00000359892	ENSORLP00000005021
ENSP00000262032	ENSORLP00000009566
ENSP00000262032	ENSORLP00000001925
ENSP00000413025	ENSORLP00000025471
ENSP00000344544	ENSORLP00000003329
ENSP00000473474	ENSORLP00000010833
ENSP00000297679	ENSORLP00000002721
ENSP00000343526	ENSORLP00000013167
ENSP00000303434	ENSORLP00000023378
ENSP00000346643	ENSORLP00000012858
ENSP00000292432	ENSORLP00000024341
ENSP00000223366	ENSORLP00000002505
ENSP00000340243	ENSORLP00000012495
ENSP00000342962	ENSORLP00000019452
ENSP00000319796	ENSORLP00000023753
ENSP00000420863	ENSORLP00000011177
ENSP00000320346	ENSORLP00000010429
ENSP00000320346	ENSORLP00000015853
ENSP00000379118	ENSORLP00000009376
ENSP00000361672	ENSORLP00000017836
ENSP00000361672	ENSORLP00000010308
ENSP00000366746	ENSORLP00000022395
ENSP00000413697	ENSORLP00000018310
ENSP00000413697	ENSORLP00000019175
ENSP00000330631	ENSORLP00000006121
ENSP00000330631	ENSORLP00000004141
ENSP00000335397	ENSORLP00000004548
ENSP00000335397	ENSORLP00000013610
ENSP00000340328	ENSORLP00000017101
ENSP00000294635	ENSORLP00000016759
ENSP00000263212	ENSORLP00000021644
ENSP00000312411	ENSORLP00000017858
ENSP00000417659	ENSORLP00000007854
ENSP00000417659	ENSORLP00000020087
ENSP00000254654	ENSORLP00000023047
ENSP00000477341	ENSORLP00000008712
ENSP00000477341	ENSORLP00000003369
ENSP00000378830	ENSORLP00000013373
ENSP00000378830	ENSORLP00000003415
ENSP00000338673	ENSORLP00000019096
ENSP00000376345	ENSORLP00000019098
ENSP00000378324	ENSORLP00000009345
ENSP00000307280	ENSORLP00000020004
ENSP00000307280	ENSORLP00000003021
ENSP00000229824	ENSORLP00000024871
ENSP00000365630	ENSORLP00000006399
ENSP00000262094	ENSORLP00000018782
ENSP00000379601	ENSORLP00000010963
ENSP00000330247	ENSORLP00000012068
ENSP00000376615	ENSORLP00000005390
ENSP00000261461	ENSORLP00000015200
ENSP00000164133	ENSORLP00000006988
ENSP00000417963	ENSORLP00000003948
ENSP00000412733	ENSORLP00000021534
ENSP00000296220	ENSORLP00000002389
ENSP00000379804	ENSORLP00000002820
ENSP00000263650	ENSORLP00000019504
ENSP00000378349	ENSORLP00000009948
ENSP00000353094	ENSORLP00000020094
ENSP00000328327	ENSORLP00000024224
ENSP00000218008	ENSORLP00000001322
ENSP00000250111	ENSORLP00000010128
ENSP00000356790	ENSORLP00000019655
ENSP00000473410	ENSORLP00000019708
ENSP00000216139	ENSORLP00000008667
ENSP00000396538	ENSORLP00000009527
ENSP00000396538	ENSORLP00000012965
ENSP00000379330	ENSORLP00000020236
ENSP00000377867	ENSORLP00000004136
ENSP00000325748	ENSORLP00000006042
ENSP00000361892	ENSORLP00000024937
ENSP00000429744	ENSORLP00000023002
ENSP00000320485	ENSORLP00000005534
ENSP00000368189	ENSORLP00000021704
ENSP00000263620	ENSORLP00000010296
ENSP00000263270	ENSORLP00000008681
ENSP00000336666	ENSORLP00000013025
ENSP00000379891	ENSORLP00000019892
ENSP00000379891	ENSORLP00000011572
ENSP00000413049	ENSORLP00000014379
ENSP00000354886	ENSORLP00000021970
ENSP00000326305	ENSORLP00000023141
ENSP00000397563	ENSORLP00000011273
ENSP00000257177	ENSORLP00000016465
ENSP00000263063	ENSORLP00000005631
ENSP00000373420	ENSORLP00000013229
ENSP00000325594	ENSORLP00000008749
ENSP00000410862	ENSORLP00000003095
ENSP00000410862	ENSORLP00000007089
ENSP00000274473	ENSORLP00000018447
ENSP00000266214	ENSORLP00000001033
ENSP00000340330	ENSORLP00000009350
ENSP00000259021	ENSORLP00000020926
ENSP00000380136	ENSORLP00000019177
ENSP00000406037	ENSORLP00000001403
ENSP00000337194	ENSORLP00000015686
ENSP00000356992	ENSORLP00000003431
ENSP00000264245	ENSORLP00000008375
ENSP00000266970	ENSORLP00000018768
ENSP00000316905	ENSORLP00000007024
ENSP00000224807	ENSORLP00000009202
ENSP00000358909	ENSORLP00000013725
ENSP00000266771	ENSORLP00000017009
ENSP00000340402	ENSORLP00000020666
ENSP00000365686	ENSORLP00000003654
ENSP00000365686	ENSORLP00000022073
ENSP00000417085	ENSORLP00000012544
ENSP00000356991	ENSORLP00000003476
ENSP00000418070	ENSORLP00000005239
ENSP00000418070	ENSORLP00000011455
ENSP00000264025	ENSORLP00000003137
ENSP00000264025	ENSORLP00000007160
ENSP00000359000	ENSORLP00000001406
ENSP00000245796	ENSORLP00000009050
ENSP00000274710	ENSORLP00000012144
ENSP00000020673	ENSORLP00000003645
ENSP00000020673	ENSORLP00000016043
ENSP00000292782	ENSORLP00000011059
ENSP00000319482	ENSORLP00000010245
ENSP00000334625	ENSORLP00000000220
ENSP00000317636	ENSORLP00000015387
ENSP00000269228	ENSORLP00000022133
ENSP00000361266	ENSORLP00000020198
ENSP00000270642	ENSORLP00000018854
ENSP00000264668	ENSORLP00000009678
ENSP00000337459	ENSORLP00000001295
ENSP00000419970	ENSORLP00000014273
ENSP00000283122	ENSORLP00000001266
ENSP00000355480	ENSORLP00000013872
ENSP00000282077	ENSORLP00000021782
ENSP00000005178	ENSORLP00000005600
ENSP00000333633	ENSORLP00000013956
ENSP00000417654	ENSORLP00000016851
ENSP00000247138	ENSORLP00000023310
ENSP00000322142	ENSORLP00000001915
ENSP00000380024	ENSORLP00000015230
ENSP00000364929	ENSORLP00000022617
ENSP00000307183	ENSORLP00000015380
ENSP00000368924	ENSORLP00000008328
ENSP00000201031	ENSORLP00000007748
ENSP00000008391	ENSORLP00000022151
ENSP00000300209	ENSORLP00000019445
ENSP00000406482	ENSORLP00000020763
ENSP00000406482	ENSORLP00000012940
ENSP00000290902	ENSORLP00000000336
ENSP00000316881	ENSORLP00000007094
ENSP00000323696	ENSORLP00000014849
ENSP00000236040	ENSORLP00000015732
ENSP00000379951	ENSORLP00000015914
ENSP00000351250	ENSORLP00000000400
ENSP00000384876	ENSORLP00000008644
ENSP00000302630	ENSORLP00000016208
ENSP00000261726	ENSORLP00000019992
ENSP00000417003	ENSORLP00000013015
ENSP00000270560	ENSORLP00000009003
ENSP00000305852	ENSORLP00000014146
ENSP00000433102	ENSORLP00000005243
ENSP00000433102	ENSORLP00000004364
ENSP00000373272	ENSORLP00000007029
ENSP00000256649	ENSORLP00000010482
ENSP00000381340	ENSORLP00000010906
ENSP00000381340	ENSORLP00000018286
ENSP00000393324	ENSORLP00000016792
ENSP00000393324	ENSORLP00000013757
ENSP00000318057	ENSORLP00000013777
ENSP00000239938	ENSORLP00000006860
ENSP00000177694	ENSORLP00000015259
ENSP00000374205	ENSORLP00000021053
ENSP00000321951	ENSORLP00000009802
ENSP00000321951	ENSORLP00000019285
ENSP00000314380	ENSORLP00000015837
ENSP00000221476	ENSORLP00000000553
ENSP00000221476	ENSORLP00000001972
ENSP00000384193	ENSORLP00000004064
ENSP00000384193	ENSORLP00000006133
ENSP00000222374	ENSORLP00000017659
ENSP00000307275	ENSORLP00000000772
ENSP00000355387	ENSORLP00000006273
ENSP00000355387	ENSORLP00000016293
ENSP00000316007	ENSORLP00000019064
ENSP00000245615	ENSORLP00000014092
ENSP00000261407	ENSORLP00000015815
ENSP00000255324	ENSORLP00000016050
ENSP00000414624	ENSORLP00000015650
ENSP00000414624	ENSORLP00000000265
ENSP00000325674	ENSORLP00000018809
ENSP00000452634	ENSORLP00000022449
ENSP00000284073	ENSORLP00000012129
ENSP00000233078	ENSORLP00000010391
ENSP00000257017	ENSORLP00000011341
ENSP00000358644	ENSORLP00000010111
ENSP00000393987	ENSORLP00000011469
ENSP00000295569	ENSORLP00000010016
ENSP00000418575	ENSORLP00000017034
ENSP00000369677	ENSORLP00000000669
ENSP00000369677	ENSORLP00000020214
ENSP00000335481	ENSORLP00000008445
ENSP00000345436	ENSORLP00000020827
ENSP00000345436	ENSORLP00000010979
ENSP00000361275	ENSORLP00000020295
ENSP00000253159	ENSORLP00000025674
ENSP00000441823	ENSORLP00000025658
ENSP00000441823	ENSORLP00000011141
ENSP00000251020	ENSORLP00000017336
ENSP00000375810	ENSORLP00000001960
ENSP00000399403	ENSORLP00000010212
ENSP00000320543	ENSORLP00000015767
ENSP00000419952	ENSORLP00000015693
ENSP00000419952	ENSORLP00000019843
ENSP00000302719	ENSORLP00000008717
ENSP00000285208	ENSORLP00000001140
ENSP00000285208	ENSORLP00000020394
ENSP00000410403	ENSORLP00000005508
ENSP00000465419	ENSORLP00000019329
ENSP00000281537	ENSORLP00000008010
ENSP00000281537	ENSORLP00000006581
ENSP00000355938	ENSORLP00000025402
ENSP00000320234	ENSORLP00000013821
ENSP00000437041	ENSORLP00000024053
ENSP00000371419	ENSORLP00000022745
ENSP00000398688	ENSORLP00000019733
ENSP00000405514	ENSORLP00000005546
ENSP00000358983	ENSORLP00000003676
ENSP00000221452	ENSORLP00000008526
ENSP00000384273	ENSORLP00000013930
ENSP00000295025	ENSORLP00000001967
ENSP00000329468	ENSORLP00000012779
ENSP00000329468	ENSORLP00000004346
ENSP00000353078	ENSORLP00000005986
ENSP00000338348	ENSORLP00000022686
ENSP00000341346	ENSORLP00000012051
ENSP00000207457	ENSORLP00000011339
ENSP00000379263	ENSORLP00000013949
ENSP00000356599	ENSORLP00000021489
ENSP00000350102	ENSORLP00000000650
ENSP00000378292	ENSORLP00000012769
ENSP00000078445	ENSORLP00000005793
ENSP00000357596	ENSORLP00000025795
ENSP00000434939	ENSORLP00000007563
ENSP00000273179	ENSORLP00000014895
ENSP00000273179	ENSORLP00000011900
ENSP00000411145	ENSORLP00000024811
ENSP00000283268	ENSORLP00000012733
ENSP00000342137	ENSORLP00000000565
ENSP00000337701	ENSORLP00000007881
ENSP00000378072	ENSORLP00000010638
ENSP00000265838	ENSORLP00000024345
ENSP00000356015	ENSORLP00000016574
ENSP00000361769	ENSORLP00000006562
ENSP00000439287	ENSORLP00000011935
ENSP00000384892	ENSORLP00000003005
ENSP00000384892	ENSORLP00000002035
ENSP00000428417	ENSORLP00000002178
ENSP00000428417	ENSORLP00000003215
ENSP00000323313	ENSORLP00000012347
ENSP00000264065	ENSORLP00000017025
ENSP00000381104	ENSORLP00000002917
ENSP00000360184	ENSORLP00000017941
ENSP00000216605	ENSORLP00000021416
ENSP00000379108	ENSORLP00000002160
ENSP00000265686	ENSORLP00000005823
ENSP00000332247	ENSORLP00000008502
ENSP00000332247	ENSORLP00000011510
ENSP00000264649	ENSORLP00000018108
ENSP00000264649	ENSORLP00000005181
ENSP00000336740	ENSORLP00000009831
ENSP00000336740	ENSORLP00000003480
ENSP00000338127	ENSORLP00000009603
ENSP00000338127	ENSORLP00000000006
ENSP00000361158	ENSORLP00000003456
ENSP00000349616	ENSORLP00000017157
ENSP00000421981	ENSORLP00000022274
ENSP00000421981	ENSORLP00000014310
ENSP00000430955	ENSORLP00000002831
ENSP00000366395	ENSORLP00000011764
ENSP00000326699	ENSORLP00000002509
ENSP00000264735	ENSORLP00000007395
ENSP00000261854	ENSORLP00000015899
ENSP00000288680	ENSORLP00000012111
ENSP00000229335	ENSORLP00000014673
ENSP00000244669	ENSORLP00000013484
ENSP00000244669	ENSORLP00000010247
ENSP00000297792	ENSORLP00000009698
ENSP00000216133	ENSORLP00000017392
