ENSACAP00000008923	ENSGACP00000024945
ENSACAP00000006086	ENSGACP00000015931
ENSACAP00000016842	ENSGACP00000009933
ENSACAP00000002959	ENSGACP00000005141
ENSACAP00000016298	ENSGACP00000023842
ENSACAP00000022391	ENSGACP00000007915
ENSACAP00000022391	ENSGACP00000013351
ENSACAP00000013286	ENSGACP00000009128
ENSACAP00000019060	ENSGACP00000012449
ENSACAP00000011970	ENSGACP00000005885
ENSACAP00000012809	ENSGACP00000009355
ENSACAP00000014097	ENSGACP00000008256
ENSACAP00000012263	ENSGACP00000021278
ENSACAP00000016998	ENSGACP00000026085
ENSACAP00000009190	ENSGACP00000024121
ENSACAP00000000083	ENSGACP00000014218
ENSACAP00000002974	ENSGACP00000008788
ENSACAP00000013481	ENSGACP00000012624
ENSACAP00000008599	ENSGACP00000006233
ENSACAP00000013864	ENSGACP00000022472
ENSACAP00000022297	ENSGACP00000018261
ENSACAP00000011579	ENSGACP00000007046
ENSACAP00000006096	ENSGACP00000017631
ENSACAP00000013141	ENSGACP00000010032
ENSACAP00000004949	ENSGACP00000016853
ENSACAP00000007355	ENSGACP00000010215
ENSACAP00000018297	ENSGACP00000007839
ENSACAP00000015927	ENSGACP00000024328
ENSACAP00000008830	ENSGACP00000002797
ENSACAP00000008830	ENSGACP00000008850
ENSACAP00000014517	ENSGACP00000003687
ENSACAP00000016774	ENSGACP00000013891
ENSACAP00000016774	ENSGACP00000015752
ENSACAP00000019597	ENSGACP00000005558
ENSACAP00000003327	ENSGACP00000023914
ENSACAP00000003327	ENSGACP00000004412
ENSACAP00000013174	ENSGACP00000013838
ENSACAP00000001174	ENSGACP00000000678
ENSACAP00000015338	ENSGACP00000022578
ENSACAP00000005084	ENSGACP00000025019
ENSACAP00000010928	ENSGACP00000016521
ENSACAP00000010696	ENSGACP00000011213
ENSACAP00000005094	ENSGACP00000023031
ENSACAP00000016443	ENSGACP00000018735
ENSACAP00000012452	ENSGACP00000010089
ENSACAP00000008056	ENSGACP00000012027
ENSACAP00000014884	ENSGACP00000003980
ENSACAP00000016759	ENSGACP00000008514
ENSACAP00000005904	ENSGACP00000024791
ENSACAP00000012803	ENSGACP00000024033
ENSACAP00000008215	ENSGACP00000003038
ENSACAP00000009961	ENSGACP00000002405
ENSACAP00000011440	ENSGACP00000016753
ENSACAP00000013070	ENSGACP00000011399
ENSACAP00000014146	ENSGACP00000016404
ENSACAP00000013946	ENSGACP00000001035
ENSACAP00000011702	ENSGACP00000026319
ENSACAP00000011702	ENSGACP00000015343
ENSACAP00000015780	ENSGACP00000024658
ENSACAP00000002299	ENSGACP00000018417
ENSACAP00000002299	ENSGACP00000008623
ENSACAP00000003195	ENSGACP00000022764
ENSACAP00000020267	ENSGACP00000004121
ENSACAP00000015236	ENSGACP00000006111
ENSACAP00000015236	ENSGACP00000023493
ENSACAP00000002335	ENSGACP00000009940
ENSACAP00000003471	ENSGACP00000014394
ENSACAP00000003380	ENSGACP00000008802
ENSACAP00000007070	ENSGACP00000019210
ENSACAP00000007401	ENSGACP00000002834
ENSACAP00000019189	ENSGACP00000002348
ENSACAP00000019189	ENSGACP00000023091
ENSACAP00000018998	ENSGACP00000015815
ENSACAP00000011711	ENSGACP00000022066
ENSACAP00000017664	ENSGACP00000012695
ENSACAP00000017664	ENSGACP00000007203
ENSACAP00000002249	ENSGACP00000005237
ENSACAP00000000195	ENSGACP00000024500
ENSACAP00000014668	ENSGACP00000025056
ENSACAP00000014909	ENSGACP00000003704
ENSACAP00000015061	ENSGACP00000016370
ENSACAP00000006661	ENSGACP00000004888
ENSACAP00000011938	ENSGACP00000002403
ENSACAP00000008723	ENSGACP00000008807
ENSACAP00000008800	ENSGACP00000022304
ENSACAP00000000609	ENSGACP00000020352
ENSACAP00000015558	ENSGACP00000018750
ENSACAP00000005087	ENSGACP00000000372
ENSACAP00000014183	ENSGACP00000014494
ENSACAP00000010506	ENSGACP00000004440
ENSACAP00000009513	ENSGACP00000002886
ENSACAP00000002901	ENSGACP00000007201
ENSACAP00000002901	ENSGACP00000024497
ENSACAP00000013575	ENSGACP00000010311
ENSACAP00000012544	ENSGACP00000020639
ENSACAP00000016973	ENSGACP00000011727
ENSACAP00000020331	ENSGACP00000006806
ENSACAP00000022081	ENSGACP00000011680
ENSACAP00000022081	ENSGACP00000015215
ENSACAP00000007051	ENSGACP00000017136
ENSACAP00000019114	ENSGACP00000005071
ENSACAP00000007918	ENSGACP00000001491
ENSACAP00000001475	ENSGACP00000000220
ENSACAP00000003976	ENSGACP00000012914
ENSACAP00000004307	ENSGACP00000015985
ENSACAP00000001594	ENSGACP00000024263
ENSACAP00000010217	ENSGACP00000023016
ENSACAP00000003655	ENSGACP00000019572
ENSACAP00000011875	ENSGACP00000014238
ENSACAP00000004311	ENSGACP00000003505
ENSACAP00000002928	ENSGACP00000008454
ENSACAP00000000665	ENSGACP00000008243
ENSACAP00000008095	ENSGACP00000000960
ENSACAP00000000868	ENSGACP00000010767
ENSACAP00000000868	ENSGACP00000009332
ENSACAP00000016976	ENSGACP00000003473
ENSACAP00000009221	ENSGACP00000006347
ENSACAP00000016880	ENSGACP00000008366
ENSACAP00000016880	ENSGACP00000011689
ENSACAP00000005302	ENSGACP00000012414
ENSACAP00000019641	ENSGACP00000000772
ENSACAP00000019641	ENSGACP00000014142
ENSACAP00000007896	ENSGACP00000006410
ENSACAP00000007896	ENSGACP00000017305
ENSACAP00000004457	ENSGACP00000018854
ENSACAP00000004457	ENSGACP00000003269
ENSACAP00000002385	ENSGACP00000004022
ENSACAP00000017474	ENSGACP00000021129
ENSACAP00000005740	ENSGACP00000021829
ENSACAP00000005740	ENSGACP00000015846
ENSACAP00000000523	ENSGACP00000021132
ENSACAP00000005682	ENSGACP00000021827
ENSACAP00000015820	ENSGACP00000023370
ENSACAP00000010069	ENSGACP00000011775
ENSACAP00000016069	ENSGACP00000013084
ENSACAP00000020120	ENSGACP00000012713
ENSACAP00000007667	ENSGACP00000016079
ENSACAP00000010676	ENSGACP00000003931
ENSACAP00000015435	ENSGACP00000022235
ENSACAP00000014650	ENSGACP00000024618
ENSACAP00000000942	ENSGACP00000018219
ENSACAP00000009728	ENSGACP00000008117
ENSACAP00000009731	ENSGACP00000005801
ENSACAP00000014024	ENSGACP00000002055
ENSACAP00000013525	ENSGACP00000019859
ENSACAP00000001427	ENSGACP00000005941
ENSACAP00000004783	ENSGACP00000005138
ENSACAP00000008216	ENSGACP00000025436
ENSACAP00000013542	ENSGACP00000005832
ENSACAP00000007865	ENSGACP00000012209
ENSACAP00000007865	ENSGACP00000000820
ENSACAP00000001385	ENSGACP00000019610
ENSACAP00000001385	ENSGACP00000017490
ENSACAP00000018145	ENSGACP00000013771
ENSACAP00000018145	ENSGACP00000020523
ENSACAP00000012872	ENSGACP00000008747
ENSACAP00000019293	ENSGACP00000013296
ENSACAP00000002577	ENSGACP00000023395
ENSACAP00000002577	ENSGACP00000024826
ENSACAP00000012146	ENSGACP00000027605
ENSACAP00000009720	ENSGACP00000004758
ENSACAP00000000973	ENSGACP00000003129
ENSACAP00000013030	ENSGACP00000008282
ENSACAP00000001579	ENSGACP00000007790
ENSACAP00000001579	ENSGACP00000016640
ENSACAP00000012461	ENSGACP00000025425
ENSACAP00000005813	ENSGACP00000008872
ENSACAP00000022538	ENSGACP00000011374
ENSACAP00000022538	ENSGACP00000016639
ENSACAP00000015655	ENSGACP00000013919
ENSACAP00000002296	ENSGACP00000017297
ENSACAP00000005411	ENSGACP00000007495
ENSACAP00000005523	ENSGACP00000017514
ENSACAP00000016164	ENSGACP00000001068
ENSACAP00000011534	ENSGACP00000012167
ENSACAP00000011534	ENSGACP00000008702
ENSACAP00000006602	ENSGACP00000008073
ENSACAP00000011843	ENSGACP00000011673
ENSACAP00000009074	ENSGACP00000014609
ENSACAP00000001753	ENSGACP00000015729
ENSACAP00000019903	ENSGACP00000010104
ENSACAP00000012169	ENSGACP00000026169
ENSACAP00000006466	ENSGACP00000027541
ENSACAP00000008206	ENSGACP00000020789
ENSACAP00000008206	ENSGACP00000013293
ENSACAP00000004741	ENSGACP00000019511
ENSACAP00000015089	ENSGACP00000011768
ENSACAP00000013366	ENSGACP00000000857
ENSACAP00000010782	ENSGACP00000015220
ENSACAP00000014628	ENSGACP00000006905
ENSACAP00000014628	ENSGACP00000022342
ENSACAP00000002673	ENSGACP00000009977
ENSACAP00000006234	ENSGACP00000018068
ENSACAP00000000607	ENSGACP00000007159
ENSACAP00000000607	ENSGACP00000021629
ENSACAP00000019708	ENSGACP00000001510
ENSACAP00000018133	ENSGACP00000011518
ENSACAP00000008554	ENSGACP00000007653
ENSACAP00000004623	ENSGACP00000005156
ENSACAP00000010851	ENSGACP00000015987
ENSACAP00000003028	ENSGACP00000005372
ENSACAP00000004244	ENSGACP00000015965
ENSACAP00000004244	ENSGACP00000023911
ENSACAP00000010760	ENSGACP00000020863
ENSACAP00000012326	ENSGACP00000006436
ENSACAP00000022123	ENSGACP00000022656
ENSACAP00000008887	ENSGACP00000013194
ENSACAP00000006450	ENSGACP00000011152
ENSACAP00000020101	ENSGACP00000011147
ENSACAP00000003697	ENSGACP00000014281
ENSACAP00000021004	ENSGACP00000025165
ENSACAP00000023319	ENSGACP00000006350
ENSACAP00000008109	ENSGACP00000013148
ENSACAP00000022398	ENSGACP00000020152
ENSACAP00000008947	ENSGACP00000026379
ENSACAP00000008947	ENSGACP00000015814
ENSACAP00000010774	ENSGACP00000001037
ENSACAP00000010774	ENSGACP00000016075
ENSACAP00000014072	ENSGACP00000015693
ENSACAP00000011900	ENSGACP00000018115
ENSACAP00000001779	ENSGACP00000016549
ENSACAP00000001779	ENSGACP00000006709
ENSACAP00000005299	ENSGACP00000007480
ENSACAP00000012130	ENSGACP00000023702
ENSACAP00000008363	ENSGACP00000008047
ENSACAP00000003188	ENSGACP00000002773
ENSACAP00000009106	ENSGACP00000009197
ENSACAP00000014036	ENSGACP00000007682
ENSACAP00000017049	ENSGACP00000003774
ENSACAP00000007060	ENSGACP00000023139
ENSACAP00000017578	ENSGACP00000009670
ENSACAP00000012829	ENSGACP00000016283
ENSACAP00000012829	ENSGACP00000019711
ENSACAP00000005032	ENSGACP00000020139
ENSACAP00000009679	ENSGACP00000016288
ENSACAP00000009679	ENSGACP00000026639
ENSACAP00000012489	ENSGACP00000017963
ENSACAP00000012489	ENSGACP00000014611
ENSACAP00000020615	ENSGACP00000003972
ENSACAP00000000594	ENSGACP00000007261
ENSACAP00000016644	ENSGACP00000011199
ENSACAP00000000809	ENSGACP00000005865
ENSACAP00000011635	ENSGACP00000015077
ENSACAP00000004810	ENSGACP00000026557
ENSACAP00000021872	ENSGACP00000003636
ENSACAP00000000027	ENSGACP00000022041
ENSACAP00000000226	ENSGACP00000022171
ENSACAP00000007738	ENSGACP00000014617
ENSACAP00000013047	ENSGACP00000023960
ENSACAP00000020901	ENSGACP00000003253
ENSACAP00000003852	ENSGACP00000025585
ENSACAP00000002156	ENSGACP00000013823
ENSACAP00000006137	ENSGACP00000000546
ENSACAP00000017488	ENSGACP00000008541
ENSACAP00000021463	ENSGACP00000005245
ENSACAP00000000981	ENSGACP00000016976
ENSACAP00000009209	ENSGACP00000021564
ENSACAP00000015115	ENSGACP00000015645
ENSACAP00000016828	ENSGACP00000010158
ENSACAP00000016828	ENSGACP00000010766
ENSACAP00000010767	ENSGACP00000001488
ENSACAP00000016001	ENSGACP00000014594
ENSACAP00000002892	ENSGACP00000002976
ENSACAP00000002010	ENSGACP00000009782
ENSACAP00000007811	ENSGACP00000014610
ENSACAP00000019837	ENSGACP00000010870
ENSACAP00000003452	ENSGACP00000017221
ENSACAP00000022607	ENSGACP00000006610
ENSACAP00000022561	ENSGACP00000014035
ENSACAP00000023161	ENSGACP00000002710
ENSACAP00000007133	ENSGACP00000008120
ENSACAP00000007133	ENSGACP00000026911
ENSACAP00000007144	ENSGACP00000009622
ENSACAP00000007166	ENSGACP00000009627
ENSACAP00000007166	ENSGACP00000026912
ENSACAP00000014451	ENSGACP00000018009
ENSACAP00000014451	ENSGACP00000026115
ENSACAP00000011447	ENSGACP00000012368
ENSACAP00000003423	ENSGACP00000002501
ENSACAP00000014516	ENSGACP00000024161
ENSACAP00000016589	ENSGACP00000015186
ENSACAP00000016612	ENSGACP00000019007
ENSACAP00000000766	ENSGACP00000009364
ENSACAP00000000766	ENSGACP00000022283
ENSACAP00000001550	ENSGACP00000016040
ENSACAP00000015136	ENSGACP00000000574
ENSACAP00000016217	ENSGACP00000027323
ENSACAP00000001002	ENSGACP00000011344
ENSACAP00000013260	ENSGACP00000012004
ENSACAP00000013260	ENSGACP00000008427
ENSACAP00000010212	ENSGACP00000020774
ENSACAP00000011210	ENSGACP00000019686
ENSACAP00000005192	ENSGACP00000007393
ENSACAP00000016275	ENSGACP00000014077
ENSACAP00000016275	ENSGACP00000002623
ENSACAP00000011119	ENSGACP00000015404
ENSACAP00000011119	ENSGACP00000024486
ENSACAP00000000189	ENSGACP00000024490
ENSACAP00000000189	ENSGACP00000016156
ENSACAP00000018669	ENSGACP00000014072
ENSACAP00000002209	ENSGACP00000003890
ENSACAP00000005618	ENSGACP00000017424
ENSACAP00000005618	ENSGACP00000009823
ENSACAP00000005144	ENSGACP00000008971
ENSACAP00000005144	ENSGACP00000010715
ENSACAP00000013190	ENSGACP00000009867
ENSACAP00000015982	ENSGACP00000012507
ENSACAP00000003038	ENSGACP00000018335
ENSACAP00000014062	ENSGACP00000020593
ENSACAP00000017531	ENSGACP00000003601
ENSACAP00000008252	ENSGACP00000008287
ENSACAP00000008252	ENSGACP00000003954
ENSACAP00000014392	ENSGACP00000008952
ENSACAP00000022803	ENSGACP00000007269
ENSACAP00000012143	ENSGACP00000018118
ENSACAP00000020312	ENSGACP00000017819
ENSACAP00000001514	ENSGACP00000009734
ENSACAP00000013258	ENSGACP00000011957
ENSACAP00000012231	ENSGACP00000020024
ENSACAP00000012123	ENSGACP00000010507
ENSACAP00000008258	ENSGACP00000006011
ENSACAP00000011216	ENSGACP00000018621
ENSACAP00000011928	ENSGACP00000025390
ENSACAP00000016440	ENSGACP00000015595
ENSACAP00000011920	ENSGACP00000027075
ENSACAP00000011920	ENSGACP00000011371
ENSACAP00000011449	ENSGACP00000014438
ENSACAP00000011449	ENSGACP00000002482
ENSACAP00000000792	ENSGACP00000010138
ENSACAP00000019131	ENSGACP00000014484
ENSACAP00000008195	ENSGACP00000007335
ENSACAP00000021848	ENSGACP00000014770
ENSACAP00000009117	ENSGACP00000016172
ENSACAP00000015939	ENSGACP00000023333
ENSACAP00000005631	ENSGACP00000010547
ENSACAP00000000060	ENSGACP00000014945
ENSACAP00000000062	ENSGACP00000014826
ENSACAP00000016848	ENSGACP00000001426
ENSACAP00000016848	ENSGACP00000005705
ENSACAP00000002993	ENSGACP00000007626
ENSACAP00000014378	ENSGACP00000011322
ENSACAP00000016349	ENSGACP00000021331
ENSACAP00000016349	ENSGACP00000013049
ENSACAP00000007132	ENSGACP00000014740
ENSACAP00000017264	ENSGACP00000025750
ENSACAP00000002280	ENSGACP00000019148
ENSACAP00000002301	ENSGACP00000019139
ENSACAP00000006631	ENSGACP00000021558
ENSACAP00000006631	ENSGACP00000025677
ENSACAP00000004423	ENSGACP00000015799
ENSACAP00000009525	ENSGACP00000000812
ENSACAP00000019584	ENSGACP00000011290
ENSACAP00000017519	ENSGACP00000021467
ENSACAP00000003635	ENSGACP00000006721
ENSACAP00000003635	ENSGACP00000012822
ENSACAP00000006532	ENSGACP00000025732
ENSACAP00000015536	ENSGACP00000022562
ENSACAP00000007357	ENSGACP00000011924
ENSACAP00000017648	ENSGACP00000008097
ENSACAP00000017648	ENSGACP00000013458
ENSACAP00000010908	ENSGACP00000018946
ENSACAP00000016710	ENSGACP00000012763
ENSACAP00000003450	ENSGACP00000002436
ENSACAP00000017120	ENSGACP00000023501
ENSACAP00000000624	ENSGACP00000001210
ENSACAP00000007712	ENSGACP00000014637
ENSACAP00000002813	ENSGACP00000017766
ENSACAP00000016510	ENSGACP00000020027
ENSACAP00000003121	ENSGACP00000017720
ENSACAP00000003121	ENSGACP00000023168
ENSACAP00000004681	ENSGACP00000000388
ENSACAP00000004681	ENSGACP00000010687
ENSACAP00000008548	ENSGACP00000027546
ENSACAP00000019498	ENSGACP00000022436
ENSACAP00000008475	ENSGACP00000009783
ENSACAP00000004126	ENSGACP00000006438
ENSACAP00000004126	ENSGACP00000017556
ENSACAP00000015588	ENSGACP00000022395
ENSACAP00000015588	ENSGACP00000016553
ENSACAP00000017189	ENSGACP00000013794
ENSACAP00000017189	ENSGACP00000002583
ENSACAP00000008306	ENSGACP00000008851
ENSACAP00000016647	ENSGACP00000011962
ENSACAP00000015154	ENSGACP00000013617
ENSACAP00000015154	ENSGACP00000024845
ENSACAP00000005587	ENSGACP00000007476
ENSACAP00000003316	ENSGACP00000002768
ENSACAP00000006756	ENSGACP00000008862
ENSACAP00000005040	ENSGACP00000002243
ENSACAP00000011813	ENSGACP00000023563
ENSACAP00000007413	ENSGACP00000024642
ENSACAP00000007085	ENSGACP00000023961
ENSACAP00000011502	ENSGACP00000010920
ENSACAP00000010004	ENSGACP00000020256
ENSACAP00000010045	ENSGACP00000018674
ENSACAP00000020018	ENSGACP00000001541
ENSACAP00000011328	ENSGACP00000021244
ENSACAP00000000445	ENSGACP00000015197
ENSACAP00000015725	ENSGACP00000010883
ENSACAP00000015191	ENSGACP00000010157
ENSACAP00000011167	ENSGACP00000016455
ENSACAP00000004399	ENSGACP00000011325
ENSACAP00000004399	ENSGACP00000019984
ENSACAP00000000803	ENSGACP00000007247
ENSACAP00000008345	ENSGACP00000008515
ENSACAP00000008345	ENSGACP00000010891
ENSACAP00000003367	ENSGACP00000005764
ENSACAP00000004184	ENSGACP00000027174
ENSACAP00000007474	ENSGACP00000023717
ENSACAP00000015622	ENSGACP00000001751
ENSACAP00000015622	ENSGACP00000001234
ENSACAP00000014103	ENSGACP00000003615
ENSACAP00000014765	ENSGACP00000005917
ENSACAP00000004657	ENSGACP00000024117
ENSACAP00000008815	ENSGACP00000018050
ENSACAP00000016406	ENSGACP00000018757
ENSACAP00000010376	ENSGACP00000020047
ENSACAP00000010376	ENSGACP00000007585
ENSACAP00000001164	ENSGACP00000026129
ENSACAP00000011557	ENSGACP00000003547
ENSACAP00000013834	ENSGACP00000019183
ENSACAP00000020730	ENSGACP00000002744
ENSACAP00000002635	ENSGACP00000002016
ENSACAP00000006227	ENSGACP00000018705
ENSACAP00000005008	ENSGACP00000010376
ENSACAP00000005008	ENSGACP00000007930
ENSACAP00000008138	ENSGACP00000025486
ENSACAP00000008138	ENSGACP00000016795
ENSACAP00000015424	ENSGACP00000015259
ENSACAP00000004083	ENSGACP00000025138
ENSACAP00000004083	ENSGACP00000011755
ENSACAP00000012175	ENSGACP00000011384
ENSACAP00000011214	ENSGACP00000018076
ENSACAP00000011080	ENSGACP00000022972
ENSACAP00000015437	ENSGACP00000008295
ENSACAP00000007790	ENSGACP00000006667
ENSACAP00000005916	ENSGACP00000011466
ENSACAP00000012562	ENSGACP00000003847
ENSACAP00000015914	ENSGACP00000022310
ENSACAP00000006737	ENSGACP00000021571
ENSACAP00000006791	ENSGACP00000021553
ENSACAP00000009962	ENSGACP00000020928
ENSACAP00000010102	ENSGACP00000023675
ENSACAP00000010102	ENSGACP00000009161
ENSACAP00000014348	ENSGACP00000022606
ENSACAP00000017517	ENSGACP00000003183
ENSACAP00000017517	ENSGACP00000011082
ENSACAP00000007409	ENSGACP00000023531
ENSACAP00000008283	ENSGACP00000008056
ENSACAP00000008283	ENSGACP00000009168
ENSACAP00000012104	ENSGACP00000022048
ENSACAP00000002914	ENSGACP00000018629
ENSACAP00000002914	ENSGACP00000024982
ENSACAP00000005602	ENSGACP00000016335
ENSACAP00000001116	ENSGACP00000021346
ENSACAP00000006511	ENSGACP00000005446
ENSACAP00000015474	ENSGACP00000006884
ENSACAP00000003716	ENSGACP00000023755
ENSACAP00000016554	ENSGACP00000002114
ENSACAP00000005262	ENSGACP00000019214
ENSACAP00000006654	ENSGACP00000023011
ENSACAP00000015593	ENSGACP00000001216
ENSACAP00000015593	ENSGACP00000001729
ENSACAP00000017421	ENSGACP00000017178
ENSACAP00000010082	ENSGACP00000021150
ENSACAP00000005303	ENSGACP00000026689
ENSACAP00000008303	ENSGACP00000023826
ENSACAP00000008303	ENSGACP00000021508
ENSACAP00000010652	ENSGACP00000003882
ENSACAP00000015583	ENSGACP00000008443
ENSACAP00000015583	ENSGACP00000025295
ENSACAP00000011008	ENSGACP00000015893
ENSACAP00000011008	ENSGACP00000019478
ENSACAP00000020481	ENSGACP00000008584
ENSACAP00000005226	ENSGACP00000012018
ENSACAP00000005226	ENSGACP00000000954
ENSACAP00000008088	ENSGACP00000003981
ENSACAP00000003237	ENSGACP00000023947
ENSACAP00000002437	ENSGACP00000019749
ENSACAP00000001065	ENSGACP00000015247
ENSACAP00000007432	ENSGACP00000018081
ENSACAP00000007938	ENSGACP00000001845
ENSACAP00000015545	ENSGACP00000024168
ENSACAP00000007692	ENSGACP00000009082
ENSACAP00000002841	ENSGACP00000022777
ENSACAP00000005799	ENSGACP00000018775
ENSACAP00000005716	ENSGACP00000017417
ENSACAP00000009466	ENSGACP00000021216
ENSACAP00000006764	ENSGACP00000027504
ENSACAP00000011676	ENSGACP00000005858
ENSACAP00000016136	ENSGACP00000002229
ENSACAP00000016136	ENSGACP00000014456
ENSACAP00000007832	ENSGACP00000013539
ENSACAP00000008342	ENSGACP00000022298
ENSACAP00000000292	ENSGACP00000010265
ENSACAP00000000292	ENSGACP00000009778
ENSACAP00000016592	ENSGACP00000015141
ENSACAP00000001387	ENSGACP00000005329
ENSACAP00000004700	ENSGACP00000023030
ENSACAP00000016253	ENSGACP00000013038
ENSACAP00000020603	ENSGACP00000010282
ENSACAP00000006327	ENSGACP00000015912
ENSACAP00000015074	ENSGACP00000026330
ENSACAP00000000234	ENSGACP00000018424
ENSACAP00000000234	ENSGACP00000010363
ENSACAP00000016353	ENSGACP00000015764
ENSACAP00000016353	ENSGACP00000027003
ENSACAP00000014973	ENSGACP00000022490
ENSACAP00000005221	ENSGACP00000022529
ENSACAP00000019924	ENSGACP00000025239
ENSACAP00000019924	ENSGACP00000009059
ENSACAP00000021507	ENSGACP00000014363
ENSACAP00000021507	ENSGACP00000027136
ENSACAP00000018980	ENSGACP00000018567
ENSACAP00000007124	ENSGACP00000023567
ENSACAP00000007124	ENSGACP00000024371
ENSACAP00000017651	ENSGACP00000010873
ENSACAP00000001435	ENSGACP00000005024
ENSACAP00000010853	ENSGACP00000027593
ENSACAP00000020401	ENSGACP00000013327
ENSACAP00000020401	ENSGACP00000018279
ENSACAP00000006453	ENSGACP00000006461
ENSACAP00000012667	ENSGACP00000022880
ENSACAP00000012667	ENSGACP00000024592
ENSACAP00000002092	ENSGACP00000001770
ENSACAP00000012381	ENSGACP00000003771
ENSACAP00000012381	ENSGACP00000002157
ENSACAP00000004402	ENSGACP00000006853
ENSACAP00000016922	ENSGACP00000002749
ENSACAP00000006419	ENSGACP00000009150
ENSACAP00000008402	ENSGACP00000022120
ENSACAP00000008402	ENSGACP00000016791
ENSACAP00000003460	ENSGACP00000023632
ENSACAP00000005918	ENSGACP00000013757
ENSACAP00000008890	ENSGACP00000011965
ENSACAP00000010473	ENSGACP00000008707
ENSACAP00000016397	ENSGACP00000001910
ENSACAP00000002138	ENSGACP00000009985
ENSACAP00000008651	ENSGACP00000023614
ENSACAP00000006753	ENSGACP00000020929
ENSACAP00000012645	ENSGACP00000016320
ENSACAP00000016035	ENSGACP00000013315
ENSACAP00000012239	ENSGACP00000008151
ENSACAP00000022406	ENSGACP00000013188
ENSACAP00000015850	ENSGACP00000014372
ENSACAP00000005328	ENSGACP00000016187
ENSACAP00000007568	ENSGACP00000014581
ENSACAP00000009697	ENSGACP00000019677
ENSACAP00000014333	ENSGACP00000004083
ENSACAP00000014333	ENSGACP00000005781
ENSACAP00000000069	ENSGACP00000014663
ENSACAP00000011496	ENSGACP00000013881
ENSACAP00000013638	ENSGACP00000006303
ENSACAP00000002360	ENSGACP00000021151
ENSACAP00000011764	ENSGACP00000024470
ENSACAP00000015166	ENSGACP00000008949
ENSACAP00000003677	ENSGACP00000023022
ENSACAP00000014160	ENSGACP00000026953
ENSACAP00000014160	ENSGACP00000001525
ENSACAP00000004990	ENSGACP00000020796
ENSACAP00000010477	ENSGACP00000018045
ENSACAP00000010477	ENSGACP00000020202
ENSACAP00000010901	ENSGACP00000019892
ENSACAP00000003541	ENSGACP00000020784
