ENSDARP00000074624	ENSMGAP00000004951
ENSDARP00000119695	ENSMGAP00000002371
ENSDARP00000107042	ENSMGAP00000015954
ENSDARP00000121180	ENSMGAP00000015954
ENSDARP00000120230	ENSMGAP00000008030
ENSDARP00000083949	ENSMGAP00000002720
ENSDARP00000018087	ENSMGAP00000002995
ENSDARP00000099244	ENSMGAP00000002995
ENSDARP00000064832	ENSMGAP00000013724
ENSDARP00000044859	ENSMGAP00000016876
ENSDARP00000118205	ENSMGAP00000002247
ENSDARP00000106725	ENSMGAP00000014035
ENSDARP00000047006	ENSMGAP00000008702
ENSDARP00000070437	ENSMGAP00000005660
ENSDARP00000058513	ENSMGAP00000008955
ENSDARP00000098418	ENSMGAP00000008955
ENSDARP00000025120	ENSMGAP00000006471
ENSDARP00000116922	ENSMGAP00000003984
ENSDARP00000094377	ENSMGAP00000014886
ENSDARP00000113955	ENSMGAP00000011317
ENSDARP00000059885	ENSMGAP00000007542
ENSDARP00000048506	ENSMGAP00000007616
ENSDARP00000013329	ENSMGAP00000014484
ENSDARP00000106067	ENSMGAP00000014484
ENSDARP00000012255	ENSMGAP00000012667
ENSDARP00000087115	ENSMGAP00000012667
ENSDARP00000102127	ENSMGAP00000012872
ENSDARP00000070464	ENSMGAP00000004677
ENSDARP00000093348	ENSMGAP00000003309
ENSDARP00000051004	ENSMGAP00000003309
ENSDARP00000108943	ENSMGAP00000005030
ENSDARP00000002460	ENSMGAP00000017043
ENSDARP00000055349	ENSMGAP00000003362
ENSDARP00000085707	ENSMGAP00000005287
ENSDARP00000103082	ENSMGAP00000012887
ENSDARP00000073434	ENSMGAP00000004102
ENSDARP00000108491	ENSMGAP00000006474
ENSDARP00000112846	ENSMGAP00000019025
ENSDARP00000048886	ENSMGAP00000001538
ENSDARP00000002532	ENSMGAP00000001538
ENSDARP00000014325	ENSMGAP00000011398
ENSDARP00000053403	ENSMGAP00000001897
ENSDARP00000091516	ENSMGAP00000009060
ENSDARP00000069657	ENSMGAP00000004606
ENSDARP00000123484	ENSMGAP00000004606
ENSDARP00000129096	ENSMGAP00000000642
ENSDARP00000033122	ENSMGAP00000012789
ENSDARP00000069870	ENSMGAP00000009313
ENSDARP00000050176	ENSMGAP00000008536
ENSDARP00000105882	ENSMGAP00000007353
ENSDARP00000014980	ENSMGAP00000016272
ENSDARP00000108067	ENSMGAP00000016272
ENSDARP00000065669	ENSMGAP00000009488
ENSDARP00000118761	ENSMGAP00000005069
ENSDARP00000129035	ENSMGAP00000005069
ENSDARP00000111556	ENSMGAP00000009336
ENSDARP00000111169	ENSMGAP00000009336
ENSDARP00000113432	ENSMGAP00000006249
ENSDARP00000121566	ENSMGAP00000008115
ENSDARP00000093285	ENSMGAP00000005020
ENSDARP00000101777	ENSMGAP00000005020
ENSDARP00000099736	ENSMGAP00000016743
ENSDARP00000106854	ENSMGAP00000010642
ENSDARP00000112558	ENSMGAP00000003290
ENSDARP00000010335	ENSMGAP00000010616
ENSDARP00000100341	ENSMGAP00000010616
ENSDARP00000058495	ENSMGAP00000014760
ENSDARP00000128615	ENSMGAP00000013176
ENSDARP00000016314	ENSMGAP00000014789
ENSDARP00000046688	ENSMGAP00000010924
ENSDARP00000014840	ENSMGAP00000008195
ENSDARP00000042677	ENSMGAP00000008829
ENSDARP00000043315	ENSMGAP00000013287
ENSDARP00000064900	ENSMGAP00000004273
ENSDARP00000043161	ENSMGAP00000010088
ENSDARP00000123784	ENSMGAP00000013864
ENSDARP00000023124	ENSMGAP00000003424
ENSDARP00000019093	ENSMGAP00000003424
ENSDARP00000104305	ENSMGAP00000008303
ENSDARP00000099211	ENSMGAP00000013753
ENSDARP00000065555	ENSMGAP00000015086
ENSDARP00000098660	ENSMGAP00000001419
ENSDARP00000105864	ENSMGAP00000003442
ENSDARP00000079991	ENSMGAP00000003442
ENSDARP00000013812	ENSMGAP00000001207
ENSDARP00000102404	ENSMGAP00000017075
ENSDARP00000117778	ENSMGAP00000019054
ENSDARP00000061155	ENSMGAP00000009053
ENSDARP00000082723	ENSMGAP00000009053
ENSDARP00000089458	ENSMGAP00000011324
ENSDARP00000051165	ENSMGAP00000019123
ENSDARP00000042171	ENSMGAP00000019123
ENSDARP00000124944	ENSMGAP00000015982
ENSDARP00000100285	ENSMGAP00000012956
ENSDARP00000066702	ENSMGAP00000012051
ENSDARP00000104887	ENSMGAP00000012051
ENSDARP00000065852	ENSMGAP00000005889
ENSDARP00000066124	ENSMGAP00000005889
ENSDARP00000015825	ENSMGAP00000010883
ENSDARP00000005989	ENSMGAP00000008681
ENSDARP00000119398	ENSMGAP00000005466
ENSDARP00000105402	ENSMGAP00000013654
ENSDARP00000111705	ENSMGAP00000012674
ENSDARP00000111440	ENSMGAP00000003801
ENSDARP00000102258	ENSMGAP00000002974
ENSDARP00000019940	ENSMGAP00000012582
ENSDARP00000101191	ENSMGAP00000009859
ENSDARP00000098560	ENSMGAP00000009417
ENSDARP00000011155	ENSMGAP00000013979
ENSDARP00000106616	ENSMGAP00000008333
ENSDARP00000074797	ENSMGAP00000004205
ENSDARP00000065205	ENSMGAP00000012517
ENSDARP00000123093	ENSMGAP00000015665
ENSDARP00000000748	ENSMGAP00000007322
ENSDARP00000098822	ENSMGAP00000011636
ENSDARP00000119169	ENSMGAP00000012013
ENSDARP00000057735	ENSMGAP00000012026
ENSDARP00000114284	ENSMGAP00000005302
ENSDARP00000118698	ENSMGAP00000005302
ENSDARP00000108405	ENSMGAP00000016750
ENSDARP00000101408	ENSMGAP00000004470
ENSDARP00000127739	ENSMGAP00000004470
ENSDARP00000044370	ENSMGAP00000011560
ENSDARP00000101166	ENSMGAP00000004515
ENSDARP00000129043	ENSMGAP00000015154
ENSDARP00000105606	ENSMGAP00000000834
ENSDARP00000068009	ENSMGAP00000001088
ENSDARP00000107380	ENSMGAP00000001088
ENSDARP00000082438	ENSMGAP00000017435
ENSDARP00000028924	ENSMGAP00000018236
ENSDARP00000127120	ENSMGAP00000018236
ENSDARP00000124923	ENSMGAP00000010087
ENSDARP00000073110	ENSMGAP00000003283
ENSDARP00000020000	ENSMGAP00000011665
ENSDARP00000113850	ENSMGAP00000011513
ENSDARP00000101760	ENSMGAP00000018477
ENSDARP00000043125	ENSMGAP00000012426
ENSDARP00000106580	ENSMGAP00000015431
ENSDARP00000073959	ENSMGAP00000004052
ENSDARP00000007186	ENSMGAP00000007852
ENSDARP00000074529	ENSMGAP00000012793
ENSDARP00000121140	ENSMGAP00000012793
ENSDARP00000116091	ENSMGAP00000010423
ENSDARP00000013960	ENSMGAP00000006493
ENSDARP00000005772	ENSMGAP00000007000
ENSDARP00000074907	ENSMGAP00000005320
ENSDARP00000073367	ENSMGAP00000012292
ENSDARP00000101307	ENSMGAP00000003179
ENSDARP00000066677	ENSMGAP00000012498
ENSDARP00000111926	ENSMGAP00000011284
ENSDARP00000057637	ENSMGAP00000004241
ENSDARP00000122149	ENSMGAP00000010368
ENSDARP00000087565	ENSMGAP00000011345
ENSDARP00000002483	ENSMGAP00000017489
ENSDARP00000026726	ENSMGAP00000000187
ENSDARP00000069945	ENSMGAP00000000187
ENSDARP00000110892	ENSMGAP00000003686
ENSDARP00000027703	ENSMGAP00000014073
ENSDARP00000089585	ENSMGAP00000010967
ENSDARP00000087966	ENSMGAP00000003799
ENSDARP00000083017	ENSMGAP00000019424
ENSDARP00000098249	ENSMGAP00000006067
ENSDARP00000082852	ENSMGAP00000000222
ENSDARP00000086016	ENSMGAP00000006182
ENSDARP00000009248	ENSMGAP00000019133
ENSDARP00000087386	ENSMGAP00000016530
ENSDARP00000072649	ENSMGAP00000001734
ENSDARP00000120829	ENSMGAP00000007819
ENSDARP00000064077	ENSMGAP00000013445
ENSDARP00000072426	ENSMGAP00000019781
ENSDARP00000024471	ENSMGAP00000019781
ENSDARP00000054597	ENSMGAP00000017228
ENSDARP00000068226	ENSMGAP00000017228
ENSDARP00000083002	ENSMGAP00000016406
ENSDARP00000051665	ENSMGAP00000000443
ENSDARP00000063550	ENSMGAP00000007199
ENSDARP00000109769	ENSMGAP00000010914
ENSDARP00000086614	ENSMGAP00000010914
ENSDARP00000104731	ENSMGAP00000005390
ENSDARP00000008977	ENSMGAP00000008577
ENSDARP00000103131	ENSMGAP00000008577
ENSDARP00000040170	ENSMGAP00000008400
ENSDARP00000078136	ENSMGAP00000002200
ENSDARP00000045176	ENSMGAP00000008339
ENSDARP00000055472	ENSMGAP00000009787
ENSDARP00000007188	ENSMGAP00000009787
ENSDARP00000011428	ENSMGAP00000005690
ENSDARP00000067931	ENSMGAP00000003532
ENSDARP00000107433	ENSMGAP00000002285
ENSDARP00000004932	ENSMGAP00000003792
ENSDARP00000018197	ENSMGAP00000003792
ENSDARP00000066500	ENSMGAP00000002363
ENSDARP00000125663	ENSMGAP00000002136
ENSDARP00000098359	ENSMGAP00000009274
ENSDARP00000059319	ENSMGAP00000005995
ENSDARP00000020283	ENSMGAP00000018341
ENSDARP00000085982	ENSMGAP00000013737
ENSDARP00000011866	ENSMGAP00000014138
ENSDARP00000019419	ENSMGAP00000010085
ENSDARP00000103928	ENSMGAP00000014086
ENSDARP00000093469	ENSMGAP00000003393
ENSDARP00000091500	ENSMGAP00000011526
ENSDARP00000098790	ENSMGAP00000012814
ENSDARP00000058551	ENSMGAP00000011679
ENSDARP00000043822	ENSMGAP00000011679
ENSDARP00000099232	ENSMGAP00000007789
ENSDARP00000115356	ENSMGAP00000003057
ENSDARP00000093139	ENSMGAP00000000986
ENSDARP00000094806	ENSMGAP00000002904
ENSDARP00000010745	ENSMGAP00000006908
ENSDARP00000072599	ENSMGAP00000013141
ENSDARP00000106315	ENSMGAP00000009656
ENSDARP00000069762	ENSMGAP00000007799
ENSDARP00000013993	ENSMGAP00000006170
ENSDARP00000062873	ENSMGAP00000006170
ENSDARP00000003281	ENSMGAP00000015182
ENSDARP00000115804	ENSMGAP00000015182
ENSDARP00000069637	ENSMGAP00000008545
ENSDARP00000119579	ENSMGAP00000011073
ENSDARP00000019575	ENSMGAP00000008887
ENSDARP00000006495	ENSMGAP00000008887
ENSDARP00000052520	ENSMGAP00000001786
ENSDARP00000101834	ENSMGAP00000009648
ENSDARP00000098057	ENSMGAP00000009648
ENSDARP00000067888	ENSMGAP00000003766
ENSDARP00000093770	ENSMGAP00000015790
ENSDARP00000084749	ENSMGAP00000015790
ENSDARP00000079474	ENSMGAP00000002674
ENSDARP00000056962	ENSMGAP00000003647
ENSDARP00000110937	ENSMGAP00000003647
ENSDARP00000088317	ENSMGAP00000003196
ENSDARP00000095133	ENSMGAP00000003198
ENSDARP00000061852	ENSMGAP00000013062
ENSDARP00000122727	ENSMGAP00000019578
ENSDARP00000040954	ENSMGAP00000008325
ENSDARP00000105896	ENSMGAP00000014066
ENSDARP00000078311	ENSMGAP00000014066
ENSDARP00000059139	ENSMGAP00000008904
ENSDARP00000093754	ENSMGAP00000011684
ENSDARP00000100165	ENSMGAP00000006542
ENSDARP00000107838	ENSMGAP00000010260
ENSDARP00000118126	ENSMGAP00000014993
ENSDARP00000129223	ENSMGAP00000008086
ENSDARP00000113737	ENSMGAP00000005024
ENSDARP00000098193	ENSMGAP00000009827
ENSDARP00000093977	ENSMGAP00000001561
ENSDARP00000021648	ENSMGAP00000001561
ENSDARP00000014581	ENSMGAP00000002954
ENSDARP00000085966	ENSMGAP00000000108
ENSDARP00000078148	ENSMGAP00000000108
ENSDARP00000089604	ENSMGAP00000003907
ENSDARP00000121254	ENSMGAP00000003907
ENSDARP00000111163	ENSMGAP00000003944
ENSDARP00000114025	ENSMGAP00000000402
ENSDARP00000115419	ENSMGAP00000015144
ENSDARP00000109736	ENSMGAP00000009393
ENSDARP00000093662	ENSMGAP00000009074
