ENSLOCP00000009128	ENSMUSP00000034074
ENSLOCP00000016847	ENSMUSP00000124470
ENSLOCP00000015642	ENSMUSP00000101903
ENSLOCP00000005107	ENSMUSP00000071859
ENSLOCP00000010365	ENSMUSP00000132687
ENSLOCP00000011542	ENSMUSP00000115718
ENSLOCP00000012590	ENSMUSP00000027178
ENSLOCP00000004821	ENSMUSP00000024832
ENSLOCP00000006897	ENSMUSP00000030915
ENSLOCP00000001873	ENSMUSP00000070868
ENSLOCP00000000044	ENSMUSP00000025718
ENSLOCP00000020944	ENSMUSP00000041300
ENSLOCP00000007623	ENSMUSP00000102647
ENSLOCP00000002575	ENSMUSP00000085683
ENSLOCP00000013512	ENSMUSP00000042271
ENSLOCP00000014668	ENSMUSP00000030212
ENSLOCP00000006242	ENSMUSP00000129800
ENSLOCP00000007493	ENSMUSP00000028214
ENSLOCP00000009760	ENSMUSP00000034600
ENSLOCP00000005861	ENSMUSP00000107062
ENSLOCP00000001848	ENSMUSP00000066701
ENSLOCP00000008215	ENSMUSP00000126826
ENSLOCP00000008179	ENSMUSP00000062507
ENSLOCP00000020208	ENSMUSP00000061470
ENSLOCP00000003504	ENSMUSP00000046368
ENSLOCP00000018276	ENSMUSP00000045409
ENSLOCP00000011557	ENSMUSP00000023437
ENSLOCP00000002245	ENSMUSP00000128922
ENSLOCP00000005952	ENSMUSP00000095845
ENSLOCP00000017532	ENSMUSP00000054545
ENSLOCP00000021347	ENSMUSP00000019920
ENSLOCP00000006072	ENSMUSP00000035649
ENSLOCP00000015458	ENSMUSP00000025208
ENSLOCP00000014030	ENSMUSP00000048350
ENSLOCP00000004614	ENSMUSP00000053431
ENSLOCP00000004050	ENSMUSP00000029850
ENSLOCP00000011185	ENSMUSP00000044945
ENSLOCP00000004811	ENSMUSP00000052544
ENSLOCP00000000246	ENSMUSP00000090567
ENSLOCP00000016808	ENSMUSP00000047888
ENSLOCP00000006604	ENSMUSP00000081664
ENSLOCP00000013803	ENSMUSP00000019290
ENSLOCP00000016806	ENSMUSP00000021066
ENSLOCP00000000222	ENSMUSP00000138618
ENSLOCP00000001823	ENSMUSP00000082220
ENSLOCP00000021302	ENSMUSP00000123078
ENSLOCP00000002027	ENSMUSP00000101700
ENSLOCP00000013996	ENSMUSP00000040416
ENSLOCP00000000159	ENSMUSP00000029575
ENSLOCP00000003313	ENSMUSP00000028623
ENSLOCP00000005911	ENSMUSP00000030643
ENSLOCP00000003804	ENSMUSP00000076505
ENSLOCP00000019706	ENSMUSP00000022550
ENSLOCP00000009318	ENSMUSP00000122103
ENSLOCP00000013492	ENSMUSP00000015256
ENSLOCP00000000003	ENSMUSP00000019226
ENSLOCP00000020482	ENSMUSP00000108302
ENSLOCP00000005332	ENSMUSP00000084062
ENSLOCP00000006122	ENSMUSP00000030782
ENSLOCP00000013953	ENSMUSP00000097909
ENSLOCP00000010520	ENSMUSP00000065205
ENSLOCP00000010551	ENSMUSP00000028362
ENSLOCP00000011038	ENSMUSP00000027896
ENSLOCP00000010581	ENSMUSP00000029307
ENSLOCP00000018383	ENSMUSP00000034883
ENSLOCP00000005299	ENSMUSP00000030169
ENSLOCP00000000480	ENSMUSP00000104732
ENSLOCP00000022225	ENSMUSP00000054226
ENSLOCP00000015485	ENSMUSP00000053899
ENSLOCP00000001520	ENSMUSP00000106460
ENSLOCP00000021137	ENSMUSP00000031868
ENSLOCP00000019545	ENSMUSP00000031713
ENSLOCP00000002445	ENSMUSP00000029208
ENSLOCP00000006609	ENSMUSP00000001122
ENSLOCP00000007633	ENSMUSP00000021161
ENSLOCP00000002749	ENSMUSP00000022040
ENSLOCP00000007449	ENSMUSP00000129216
ENSLOCP00000020390	ENSMUSP00000110669
ENSLOCP00000019935	ENSMUSP00000110348
ENSLOCP00000011379	ENSMUSP00000095533
ENSLOCP00000012033	ENSMUSP00000068716
ENSLOCP00000002181	ENSMUSP00000091964
ENSLOCP00000020033	ENSMUSP00000128308
ENSLOCP00000001598	ENSMUSP00000003659
ENSLOCP00000007296	ENSMUSP00000022213
ENSLOCP00000011440	ENSMUSP00000060441
ENSLOCP00000015471	ENSMUSP00000057488
ENSLOCP00000007844	ENSMUSP00000064220
ENSLOCP00000014117	ENSMUSP00000059654
ENSLOCP00000008628	ENSMUSP00000040229
ENSLOCP00000009922	ENSMUSP00000031607
ENSLOCP00000008910	ENSMUSP00000044627
ENSLOCP00000002496	ENSMUSP00000090528
ENSLOCP00000009982	ENSMUSP00000025645
ENSLOCP00000019193	ENSMUSP00000109092
ENSLOCP00000016722	ENSMUSP00000006523
ENSLOCP00000011965	ENSMUSP00000095169
ENSLOCP00000005783	ENSMUSP00000129378
ENSLOCP00000019185	ENSMUSP00000088089
ENSLOCP00000012674	ENSMUSP00000076751
ENSLOCP00000020893	ENSMUSP00000091329
ENSLOCP00000011473	ENSMUSP00000124179
ENSLOCP00000005296	ENSMUSP00000130758
ENSLOCP00000003378	ENSMUSP00000030080
ENSLOCP00000007257	ENSMUSP00000084578
ENSLOCP00000021652	ENSMUSP00000065679
ENSLOCP00000014321	ENSMUSP00000122712
ENSLOCP00000022460	ENSMUSP00000061402
ENSLOCP00000019618	ENSMUSP00000049054
ENSLOCP00000008543	ENSMUSP00000101060
ENSLOCP00000013145	ENSMUSP00000043522
ENSLOCP00000021590	ENSMUSP00000060591
ENSLOCP00000008685	ENSMUSP00000103897
ENSLOCP00000008726	ENSMUSP00000136611
ENSLOCP00000010061	ENSMUSP00000125580
ENSLOCP00000011092	ENSMUSP00000037867
ENSLOCP00000021278	ENSMUSP00000049285
ENSLOCP00000010840	ENSMUSP00000034698
ENSLOCP00000012831	ENSMUSP00000002837
ENSLOCP00000021018	ENSMUSP00000132514
ENSLOCP00000000167	ENSMUSP00000043210
ENSLOCP00000000654	ENSMUSP00000100991
ENSLOCP00000011013	ENSMUSP00000006027
ENSLOCP00000011651	ENSMUSP00000036065
ENSLOCP00000013287	ENSMUSP00000112662
ENSLOCP00000008358	ENSMUSP00000020023
ENSLOCP00000020447	ENSMUSP00000036726
ENSLOCP00000014891	ENSMUSP00000041599
ENSLOCP00000002608	ENSMUSP00000036110
ENSLOCP00000006896	ENSMUSP00000059757
ENSLOCP00000018708	ENSMUSP00000099509
ENSLOCP00000006698	ENSMUSP00000000939
ENSLOCP00000015784	ENSMUSP00000091769
ENSLOCP00000009322	ENSMUSP00000014290
ENSLOCP00000010217	ENSMUSP00000028252
ENSLOCP00000015129	ENSMUSP00000019456
ENSLOCP00000017122	ENSMUSP00000034969
ENSLOCP00000010059	ENSMUSP00000077899
ENSLOCP00000016032	ENSMUSP00000031096
ENSLOCP00000011120	ENSMUSP00000073190
ENSLOCP00000004451	ENSMUSP00000027053
ENSLOCP00000003772	ENSMUSP00000122552
ENSLOCP00000014513	ENSMUSP00000026027
ENSLOCP00000005710	ENSMUSP00000017821
ENSLOCP00000004014	ENSMUSP00000031309
ENSLOCP00000007253	ENSMUSP00000028368
ENSLOCP00000022199	ENSMUSP00000137309
ENSLOCP00000014694	ENSMUSP00000046695
ENSLOCP00000004225	ENSMUSP00000095103
ENSLOCP00000003011	ENSMUSP00000029075
ENSLOCP00000007157	ENSMUSP00000043554
ENSLOCP00000021695	ENSMUSP00000045150
ENSLOCP00000005017	ENSMUSP00000031263
ENSLOCP00000010525	ENSMUSP00000023835
ENSLOCP00000015305	ENSMUSP00000093229
ENSLOCP00000016622	ENSMUSP00000131010
ENSLOCP00000019775	ENSMUSP00000038203
ENSLOCP00000020501	ENSMUSP00000031977
ENSLOCP00000010259	ENSMUSP00000065770
ENSLOCP00000004705	ENSMUSP00000113913
ENSLOCP00000008128	ENSMUSP00000118911
ENSLOCP00000008481	ENSMUSP00000102481
ENSLOCP00000005652	ENSMUSP00000100028
ENSLOCP00000009356	ENSMUSP00000107770
ENSLOCP00000001805	ENSMUSP00000114175
ENSLOCP00000020186	ENSMUSP00000135959
ENSLOCP00000010723	ENSMUSP00000067541
ENSLOCP00000010751	ENSMUSP00000031663
ENSLOCP00000009672	ENSMUSP00000106317
ENSLOCP00000009644	ENSMUSP00000124417
ENSLOCP00000021427	ENSMUSP00000064246
ENSLOCP00000006662	ENSMUSP00000126281
ENSLOCP00000021899	ENSMUSP00000043222
ENSLOCP00000006228	ENSMUSP00000037966
ENSLOCP00000000800	ENSMUSP00000126243
ENSLOCP00000008781	ENSMUSP00000105250
ENSLOCP00000002761	ENSMUSP00000130050
ENSLOCP00000005977	ENSMUSP00000001280
ENSLOCP00000018454	ENSMUSP00000096258
ENSLOCP00000006716	ENSMUSP00000031354
ENSLOCP00000011321	ENSMUSP00000110729
ENSLOCP00000019560	ENSMUSP00000130073
ENSLOCP00000005913	ENSMUSP00000037487
ENSLOCP00000003782	ENSMUSP00000018113
ENSLOCP00000016038	ENSMUSP00000129831
ENSLOCP00000012784	ENSMUSP00000038833
ENSLOCP00000005472	ENSMUSP00000019386
ENSLOCP00000005232	ENSMUSP00000034792
ENSLOCP00000014168	ENSMUSP00000099975
ENSLOCP00000000168	ENSMUSP00000007249
ENSLOCP00000010130	ENSMUSP00000034697
ENSLOCP00000004123	ENSMUSP00000087394
ENSLOCP00000009388	ENSMUSP00000114404
ENSLOCP00000005993	ENSMUSP00000075992
ENSLOCP00000016715	ENSMUSP00000099430
ENSLOCP00000002485	ENSMUSP00000044457
ENSLOCP00000004068	ENSMUSP00000036245
ENSLOCP00000007915	ENSMUSP00000030289
ENSLOCP00000010992	ENSMUSP00000039943
ENSLOCP00000017392	ENSMUSP00000070554
ENSLOCP00000018843	ENSMUSP00000000642
ENSLOCP00000011195	ENSMUSP00000020277
ENSLOCP00000015154	ENSMUSP00000051215
ENSLOCP00000018674	ENSMUSP00000099984
ENSLOCP00000015904	ENSMUSP00000031982
ENSLOCP00000002233	ENSMUSP00000017851
ENSLOCP00000021344	ENSMUSP00000020027
ENSLOCP00000017437	ENSMUSP00000051261
ENSLOCP00000007332	ENSMUSP00000047547
ENSLOCP00000017678	ENSMUSP00000028679
ENSLOCP00000016692	ENSMUSP00000087694
ENSLOCP00000009637	ENSMUSP00000105884
ENSLOCP00000011477	ENSMUSP00000098594
ENSLOCP00000010337	ENSMUSP00000099976
ENSLOCP00000005346	ENSMUSP00000065225
ENSLOCP00000020509	ENSMUSP00000101141
ENSLOCP00000003567	ENSMUSP00000099716
ENSLOCP00000010718	ENSMUSP00000055308
ENSLOCP00000018366	ENSMUSP00000059420
ENSLOCP00000013425	ENSMUSP00000100025
ENSLOCP00000007760	ENSMUSP00000099572
ENSLOCP00000004463	ENSMUSP00000062924
ENSLOCP00000009722	ENSMUSP00000057725
ENSLOCP00000002448	ENSMUSP00000056313
ENSLOCP00000003932	ENSMUSP00000053644
ENSLOCP00000002374	ENSMUSP00000027373
ENSLOCP00000001500	ENSMUSP00000061278
ENSLOCP00000004242	ENSMUSP00000029355
ENSLOCP00000011089	ENSMUSP00000027534
ENSLOCP00000016565	ENSMUSP00000041395
ENSLOCP00000018142	ENSMUSP00000068197
ENSLOCP00000017846	ENSMUSP00000006851
ENSLOCP00000007534	ENSMUSP00000101225
ENSLOCP00000003529	ENSMUSP00000045527
ENSLOCP00000016401	ENSMUSP00000021090
ENSLOCP00000018245	ENSMUSP00000070413
ENSLOCP00000004841	ENSMUSP00000126828
ENSLOCP00000005570	ENSMUSP00000027151
ENSLOCP00000016283	ENSMUSP00000102570
ENSLOCP00000002447	ENSMUSP00000062771
ENSLOCP00000004148	ENSMUSP00000114094
ENSLOCP00000016582	ENSMUSP00000139310
ENSLOCP00000019749	ENSMUSP00000000137
ENSLOCP00000018478	ENSMUSP00000096994
ENSLOCP00000020976	ENSMUSP00000047126
ENSLOCP00000020203	ENSMUSP00000070726
ENSLOCP00000020679	ENSMUSP00000002839
ENSLOCP00000012005	ENSMUSP00000124370
ENSLOCP00000003330	ENSMUSP00000039632
ENSLOCP00000002611	ENSMUSP00000038013
ENSLOCP00000001895	ENSMUSP00000020411
ENSLOCP00000018089	ENSMUSP00000109915
ENSLOCP00000002743	ENSMUSP00000053175
ENSLOCP00000017875	ENSMUSP00000033805
ENSLOCP00000014848	ENSMUSP00000047042
ENSLOCP00000018765	ENSMUSP00000016471
ENSLOCP00000012122	ENSMUSP00000033826
ENSLOCP00000016689	ENSMUSP00000047353
ENSLOCP00000009744	ENSMUSP00000034983
ENSLOCP00000010411	ENSMUSP00000027863
ENSLOCP00000007095	ENSMUSP00000138773
ENSLOCP00000004760	ENSMUSP00000127784
ENSLOCP00000002781	ENSMUSP00000074198
ENSLOCP00000017556	ENSMUSP00000033444
ENSLOCP00000007716	ENSMUSP00000027498
ENSLOCP00000009183	ENSMUSP00000018353
ENSLOCP00000011977	ENSMUSP00000018476
ENSLOCP00000004543	ENSMUSP00000101517
ENSLOCP00000008045	ENSMUSP00000127678
ENSLOCP00000002797	ENSMUSP00000019708
ENSLOCP00000018336	ENSMUSP00000083281
ENSLOCP00000017324	ENSMUSP00000106709
ENSLOCP00000004852	ENSMUSP00000125268
ENSLOCP00000014275	ENSMUSP00000021693
ENSLOCP00000014296	ENSMUSP00000021971
ENSLOCP00000014267	ENSMUSP00000050329
ENSLOCP00000017734	ENSMUSP00000035222
ENSLOCP00000007190	ENSMUSP00000048124
ENSLOCP00000007552	ENSMUSP00000044836
ENSLOCP00000008912	ENSMUSP00000025077
ENSLOCP00000011268	ENSMUSP00000113429
ENSLOCP00000014255	ENSMUSP00000031229
ENSLOCP00000015416	ENSMUSP00000020643
ENSLOCP00000014402	ENSMUSP00000006750
ENSLOCP00000010755	ENSMUSP00000133474
ENSLOCP00000010301	ENSMUSP00000075174
ENSLOCP00000004403	ENSMUSP00000012161
ENSLOCP00000016384	ENSMUSP00000103362
ENSLOCP00000019211	ENSMUSP00000038181
ENSLOCP00000007969	ENSMUSP00000113390
ENSLOCP00000014935	ENSMUSP00000077019
ENSLOCP00000016441	ENSMUSP00000021273
ENSLOCP00000001191	ENSMUSP00000059389
ENSLOCP00000003263	ENSMUSP00000023487
ENSLOCP00000004920	ENSMUSP00000026416
ENSLOCP00000011921	ENSMUSP00000118743
ENSLOCP00000013274	ENSMUSP00000021930
ENSLOCP00000015509	ENSMUSP00000059419
ENSLOCP00000000745	ENSMUSP00000026011
ENSLOCP00000007657	ENSMUSP00000031367
ENSLOCP00000019895	ENSMUSP00000129239
ENSLOCP00000004097	ENSMUSP00000085728
ENSLOCP00000002772	ENSMUSP00000023616
ENSLOCP00000001134	ENSMUSP00000006578
ENSLOCP00000011424	ENSMUSP00000023334
ENSLOCP00000007064	ENSMUSP00000034510
ENSLOCP00000011679	ENSMUSP00000026254
ENSLOCP00000018784	ENSMUSP00000100006
ENSLOCP00000015542	ENSMUSP00000111381
ENSLOCP00000015277	ENSMUSP00000039728
ENSLOCP00000012075	ENSMUSP00000047208
ENSLOCP00000000813	ENSMUSP00000103817
ENSLOCP00000009666	ENSMUSP00000058968
ENSLOCP00000017376	ENSMUSP00000084427
ENSLOCP00000013227	ENSMUSP00000033990
ENSLOCP00000014125	ENSMUSP00000021097
ENSLOCP00000001838	ENSMUSP00000025279
