ENSGALP00000006197	ENSMUSP00000034074
ENSGALP00000000945	ENSMUSP00000127784
ENSGALP00000012917	ENSMUSP00000074198
ENSGALP00000009728	ENSMUSP00000033444
ENSGALP00000009265	ENSMUSP00000027498
ENSGALP00000006511	ENSMUSP00000018353
ENSGALP00000022208	ENSMUSP00000111463
ENSGALP00000002095	ENSMUSP00000130173
ENSGALP00000009365	ENSMUSP00000127678
ENSGALP00000041111	ENSMUSP00000019708
ENSGALP00000000595	ENSMUSP00000083281
ENSGALP00000018274	ENSMUSP00000021693
ENSGALP00000010236	ENSMUSP00000021971
ENSGALP00000031875	ENSMUSP00000050329
ENSGALP00000043043	ENSMUSP00000035222
ENSGALP00000023865	ENSMUSP00000048124
ENSGALP00000017275	ENSMUSP00000044836
ENSGALP00000033266	ENSMUSP00000071623
ENSGALP00000011874	ENSMUSP00000025077
ENSGALP00000018837	ENSMUSP00000031229
ENSGALP00000009617	ENSMUSP00000020643
ENSGALP00000041518	ENSMUSP00000006750
ENSGALP00000041263	ENSMUSP00000133474
ENSGALP00000023648	ENSMUSP00000075174
ENSGALP00000033003	ENSMUSP00000012161
ENSGALP00000041010	ENSMUSP00000109271
ENSGALP00000016147	ENSMUSP00000103362
ENSGALP00000008060	ENSMUSP00000138377
ENSGALP00000005756	ENSMUSP00000038181
ENSGALP00000023538	ENSMUSP00000113390
ENSGALP00000009752	ENSMUSP00000090820
ENSGALP00000041260	ENSMUSP00000034868
ENSGALP00000020874	ENSMUSP00000077019
ENSGALP00000023265	ENSMUSP00000032487
ENSGALP00000024275	ENSMUSP00000023487
ENSGALP00000001806	ENSMUSP00000133898
ENSGALP00000028780	ENSMUSP00000134251
ENSGALP00000041027	ENSMUSP00000026416
ENSGALP00000025887	ENSMUSP00000041872
ENSGALP00000015211	ENSMUSP00000118743
ENSGALP00000005157	ENSMUSP00000021930
ENSGALP00000038512	ENSMUSP00000059419
ENSGALP00000004240	ENSMUSP00000031367
ENSGALP00000021351	ENSMUSP00000129239
ENSGALP00000027228	ENSMUSP00000085728
ENSGALP00000019052	ENSMUSP00000023616
ENSGALP00000024751	ENSMUSP00000023334
ENSGALP00000010887	ENSMUSP00000034510
ENSGALP00000009030	ENSMUSP00000026254
ENSGALP00000001319	ENSMUSP00000111381
ENSGALP00000009095	ENSMUSP00000039728
ENSGALP00000041662	ENSMUSP00000047208
ENSGALP00000014300	ENSMUSP00000103817
ENSGALP00000003552	ENSMUSP00000058968
ENSGALP00000022752	ENSMUSP00000084427
ENSGALP00000016701	ENSMUSP00000033990
ENSGALP00000003806	ENSMUSP00000021097
ENSGALP00000024194	ENSMUSP00000025279
ENSGALP00000008116	ENSMUSP00000095953
ENSGALP00000020572	ENSMUSP00000021921
ENSGALP00000016460	ENSMUSP00000030443
ENSGALP00000002185	ENSMUSP00000074578
ENSGALP00000033890	ENSMUSP00000110898
ENSGALP00000018497	ENSMUSP00000073664
ENSGALP00000021275	ENSMUSP00000039810
ENSGALP00000013280	ENSMUSP00000120421
ENSGALP00000003187	ENSMUSP00000005651
ENSGALP00000023563	ENSMUSP00000022009
ENSGALP00000012127	ENSMUSP00000057392
ENSGALP00000041233	ENSMUSP00000027775
ENSGALP00000026284	ENSMUSP00000036604
ENSGALP00000021580	ENSMUSP00000006669
ENSGALP00000015774	ENSMUSP00000019721
ENSGALP00000004425	ENSMUSP00000105348
ENSGALP00000023430	ENSMUSP00000085695
ENSGALP00000024472	ENSMUSP00000023344
ENSGALP00000014665	ENSMUSP00000031680
ENSGALP00000032950	ENSMUSP00000027505
