ENSMGAP00000004951	ENSMODP00000016222
ENSMGAP00000004600	ENSMODP00000004519
ENSMGAP00000004769	ENSMODP00000039634
ENSMGAP00000008135	ENSMODP00000037970
ENSMGAP00000007577	ENSMODP00000004963
ENSMGAP00000011438	ENSMODP00000007067
ENSMGAP00000007028	ENSMODP00000021169
ENSMGAP00000010974	ENSMODP00000024799
ENSMGAP00000013515	ENSMODP00000001757
ENSMGAP00000005346	ENSMODP00000015165
ENSMGAP00000011943	ENSMODP00000036437
ENSMGAP00000000964	ENSMODP00000005386
ENSMGAP00000003538	ENSMODP00000007425
ENSMGAP00000006152	ENSMODP00000013628
ENSMGAP00000006673	ENSMODP00000026554
ENSMGAP00000019154	ENSMODP00000004039
ENSMGAP00000018976	ENSMODP00000000790
ENSMGAP00000002706	ENSMODP00000012861
ENSMGAP00000005664	ENSMODP00000031750
ENSMGAP00000008306	ENSMODP00000020405
ENSMGAP00000008756	ENSMODP00000013151
ENSMGAP00000005181	ENSMODP00000002193
ENSMGAP00000012044	ENSMODP00000009886
ENSMGAP00000007164	ENSMODP00000004613
ENSMGAP00000015568	ENSMODP00000021509
ENSMGAP00000015570	ENSMODP00000021545
ENSMGAP00000003190	ENSMODP00000023068
ENSMGAP00000001772	ENSMODP00000002877
ENSMGAP00000005589	ENSMODP00000008929
ENSMGAP00000007854	ENSMODP00000013499
ENSMGAP00000006564	ENSMODP00000034760
ENSMGAP00000014728	ENSMODP00000022870
ENSMGAP00000000062	ENSMODP00000031383
ENSMGAP00000014847	ENSMODP00000027887
ENSMGAP00000008226	ENSMODP00000006876
ENSMGAP00000019750	ENSMODP00000001749
ENSMGAP00000001752	ENSMODP00000020580
ENSMGAP00000008466	ENSMODP00000017923
ENSMGAP00000001356	ENSMODP00000012407
ENSMGAP00000013090	ENSMODP00000012104
ENSMGAP00000007848	ENSMODP00000004582
ENSMGAP00000006346	ENSMODP00000041023
ENSMGAP00000003617	ENSMODP00000007382
ENSMGAP00000003530	ENSMODP00000005455
ENSMGAP00000009825	ENSMODP00000004284
ENSMGAP00000000737	ENSMODP00000020969
ENSMGAP00000001802	ENSMODP00000021538
ENSMGAP00000001010	ENSMODP00000021367
ENSMGAP00000011815	ENSMODP00000019075
ENSMGAP00000011218	ENSMODP00000019115
ENSMGAP00000012705	ENSMODP00000026928
ENSMGAP00000007078	ENSMODP00000018395
ENSMGAP00000011134	ENSMODP00000013451
ENSMGAP00000017509	ENSMODP00000013531
ENSMGAP00000013574	ENSMODP00000035351
ENSMGAP00000001590	ENSMODP00000016287
ENSMGAP00000000718	ENSMODP00000011895
ENSMGAP00000000730	ENSMODP00000033297
ENSMGAP00000012182	ENSMODP00000019398
ENSMGAP00000002485	ENSMODP00000016469
ENSMGAP00000018544	ENSMODP00000016648
ENSMGAP00000015716	ENSMODP00000003179
ENSMGAP00000003367	ENSMODP00000007000
ENSMGAP00000009944	ENSMODP00000024699
ENSMGAP00000015126	ENSMODP00000006196
ENSMGAP00000016886	ENSMODP00000003320
ENSMGAP00000009563	ENSMODP00000005329
ENSMGAP00000002250	ENSMODP00000017619
ENSMGAP00000007392	ENSMODP00000021986
ENSMGAP00000006485	ENSMODP00000024349
ENSMGAP00000005750	ENSMODP00000024346
ENSMGAP00000003262	ENSMODP00000022203
ENSMGAP00000012561	ENSMODP00000001020
ENSMGAP00000010564	ENSMODP00000039684
ENSMGAP00000011128	ENSMODP00000016658
ENSMGAP00000007926	ENSMODP00000024177
ENSMGAP00000006160	ENSMODP00000006059
ENSMGAP00000014264	ENSMODP00000032132
ENSMGAP00000014136	ENSMODP00000022238
ENSMGAP00000010923	ENSMODP00000013827
ENSMGAP00000010925	ENSMODP00000013818
ENSMGAP00000010926	ENSMODP00000013808
ENSMGAP00000014140	ENSMODP00000022239
ENSMGAP00000012934	ENSMODP00000023168
ENSMGAP00000009394	ENSMODP00000016086
ENSMGAP00000008318	ENSMODP00000025150
ENSMGAP00000009205	ENSMODP00000000370
ENSMGAP00000010936	ENSMODP00000005345
ENSMGAP00000006503	ENSMODP00000012520
ENSMGAP00000006256	ENSMODP00000012871
ENSMGAP00000009009	ENSMODP00000017612
ENSMGAP00000011385	ENSMODP00000012865
ENSMGAP00000003590	ENSMODP00000014616
ENSMGAP00000004457	ENSMODP00000013397
ENSMGAP00000008872	ENSMODP00000015857
ENSMGAP00000010443	ENSMODP00000020847
ENSMGAP00000000679	ENSMODP00000004951
ENSMGAP00000014048	ENSMODP00000031789
ENSMGAP00000008543	ENSMODP00000035173
ENSMGAP00000012880	ENSMODP00000033636
ENSMGAP00000004391	ENSMODP00000028502
ENSMGAP00000014779	ENSMODP00000017863
ENSMGAP00000013592	ENSMODP00000001162
ENSMGAP00000018702	ENSMODP00000007984
ENSMGAP00000008743	ENSMODP00000013862
ENSMGAP00000010280	ENSMODP00000023828
ENSMGAP00000011153	ENSMODP00000002353
ENSMGAP00000008868	ENSMODP00000015862
ENSMGAP00000016657	ENSMODP00000020662
ENSMGAP00000006427	ENSMODP00000001296
ENSMGAP00000003533	ENSMODP00000018114
ENSMGAP00000009178	ENSMODP00000003778
ENSMGAP00000009175	ENSMODP00000016652
ENSMGAP00000005907	ENSMODP00000003368
ENSMGAP00000010650	ENSMODP00000034629
ENSMGAP00000008522	ENSMODP00000019186
ENSMGAP00000008533	ENSMODP00000019192
ENSMGAP00000000892	ENSMODP00000015197
ENSMGAP00000005766	ENSMODP00000015236
ENSMGAP00000009232	ENSMODP00000019764
ENSMGAP00000010471	ENSMODP00000005729
ENSMGAP00000009367	ENSMODP00000003767
ENSMGAP00000009748	ENSMODP00000011064
ENSMGAP00000006262	ENSMODP00000031267
ENSMGAP00000013528	ENSMODP00000001454
ENSMGAP00000008585	ENSMODP00000024509
ENSMGAP00000014342	ENSMODP00000010755
ENSMGAP00000014345	ENSMODP00000010740
ENSMGAP00000009243	ENSMODP00000019865
ENSMGAP00000011687	ENSMODP00000000908
ENSMGAP00000013739	ENSMODP00000035258
ENSMGAP00000003888	ENSMODP00000005846
ENSMGAP00000000980	ENSMODP00000000835
ENSMGAP00000004449	ENSMODP00000014562
ENSMGAP00000011431	ENSMODP00000024821
ENSMGAP00000005911	ENSMODP00000021392
ENSMGAP00000018438	ENSMODP00000001044
ENSMGAP00000014536	ENSMODP00000016401
ENSMGAP00000017551	ENSMODP00000002302
ENSMGAP00000019340	ENSMODP00000023618
ENSMGAP00000014778	ENSMODP00000017858
ENSMGAP00000011272	ENSMODP00000012397
ENSMGAP00000001815	ENSMODP00000003704
ENSMGAP00000008157	ENSMODP00000003835
ENSMGAP00000013247	ENSMODP00000002775
ENSMGAP00000014108	ENSMODP00000022195
ENSMGAP00000000499	ENSMODP00000021585
ENSMGAP00000001575	ENSMODP00000017428
ENSMGAP00000015391	ENSMODP00000026323
ENSMGAP00000001688	ENSMODP00000007727
ENSMGAP00000007893	ENSMODP00000006815
ENSMGAP00000003355	ENSMODP00000007822
ENSMGAP00000016365	ENSMODP00000033334
ENSMGAP00000016855	ENSMODP00000007124
ENSMGAP00000011869	ENSMODP00000019317
ENSMGAP00000007245	ENSMODP00000007035
ENSMGAP00000008731	ENSMODP00000008417
ENSMGAP00000000086	ENSMODP00000015774
ENSMGAP00000002593	ENSMODP00000011325
ENSMGAP00000014707	ENSMODP00000002001
ENSMGAP00000001163	ENSMODP00000013128
ENSMGAP00000001348	ENSMODP00000026470
ENSMGAP00000011290	ENSMODP00000019748
ENSMGAP00000011156	ENSMODP00000016685
ENSMGAP00000000369	ENSMODP00000021636
ENSMGAP00000001091	ENSMODP00000001690
ENSMGAP00000014124	ENSMODP00000022209
ENSMGAP00000015691	ENSMODP00000038261
ENSMGAP00000001278	ENSMODP00000023864
ENSMGAP00000004554	ENSMODP00000024626
ENSMGAP00000000085	ENSMODP00000017180
ENSMGAP00000000745	ENSMODP00000010022
ENSMGAP00000006573	ENSMODP00000014063
ENSMGAP00000000887	ENSMODP00000010191
ENSMGAP00000002328	ENSMODP00000017347
ENSMGAP00000008286	ENSMODP00000020407
ENSMGAP00000015441	ENSMODP00000026357
ENSMGAP00000004156	ENSMODP00000015151
ENSMGAP00000000762	ENSMODP00000014773
ENSMGAP00000010097	ENSMODP00000004906
ENSMGAP00000008714	ENSMODP00000008455
ENSMGAP00000014425	ENSMODP00000022788
ENSMGAP00000000509	ENSMODP00000023496
ENSMGAP00000000097	ENSMODP00000031852
ENSMGAP00000010586	ENSMODP00000020177
ENSMGAP00000008852	ENSMODP00000015849
ENSMGAP00000019077	ENSMODP00000022777
ENSMGAP00000006785	ENSMODP00000039941
ENSMGAP00000009255	ENSMODP00000018579
ENSMGAP00000008876	ENSMODP00000040020
ENSMGAP00000004670	ENSMODP00000029534
ENSMGAP00000003422	ENSMODP00000016929
ENSMGAP00000003689	ENSMODP00000016950
ENSMGAP00000003725	ENSMODP00000016932
ENSMGAP00000011606	ENSMODP00000025635
ENSMGAP00000011689	ENSMODP00000025666
ENSMGAP00000014117	ENSMODP00000012544
ENSMGAP00000015781	ENSMODP00000009215
ENSMGAP00000009299	ENSMODP00000005689
ENSMGAP00000015109	ENSMODP00000023558
ENSMGAP00000003710	ENSMODP00000020264
ENSMGAP00000011655	ENSMODP00000010276
ENSMGAP00000008858	ENSMODP00000024418
ENSMGAP00000014047	ENSMODP00000022105
ENSMGAP00000011625	ENSMODP00000010406
ENSMGAP00000000744	ENSMODP00000014796
ENSMGAP00000005385	ENSMODP00000037021
ENSMGAP00000014873	ENSMODP00000002608
ENSMGAP00000004123	ENSMODP00000018917
ENSMGAP00000006694	ENSMODP00000010074
ENSMGAP00000012758	ENSMODP00000023816
ENSMGAP00000002056	ENSMODP00000007213
ENSMGAP00000016378	ENSMODP00000015433
ENSMGAP00000006418	ENSMODP00000020393
ENSMGAP00000013338	ENSMODP00000036263
ENSMGAP00000007499	ENSMODP00000004989
ENSMGAP00000007180	ENSMODP00000005946
ENSMGAP00000003711	ENSMODP00000014631
ENSMGAP00000014767	ENSMODP00000017783
ENSMGAP00000004080	ENSMODP00000029570
ENSMGAP00000000265	ENSMODP00000001726
ENSMGAP00000006889	ENSMODP00000004225
ENSMGAP00000002312	ENSMODP00000017558
ENSMGAP00000013161	ENSMODP00000005034
ENSMGAP00000010402	ENSMODP00000011019
ENSMGAP00000017047	ENSMODP00000021110
ENSMGAP00000001532	ENSMODP00000010206
ENSMGAP00000000859	ENSMODP00000012713
ENSMGAP00000011580	ENSMODP00000006389
ENSMGAP00000019406	ENSMODP00000006313
ENSMGAP00000002371	ENSMODP00000007629
ENSMGAP00000015954	ENSMODP00000012781
ENSMGAP00000008030	ENSMODP00000024518
ENSMGAP00000002720	ENSMODP00000037511
ENSMGAP00000002995	ENSMODP00000000643
ENSMGAP00000013724	ENSMODP00000014248
ENSMGAP00000016876	ENSMODP00000023356
ENSMGAP00000005211	ENSMODP00000003753
ENSMGAP00000002247	ENSMODP00000011237
ENSMGAP00000014035	ENSMODP00000034145
ENSMGAP00000008702	ENSMODP00000034463
ENSMGAP00000005660	ENSMODP00000028794
ENSMGAP00000008955	ENSMODP00000020748
ENSMGAP00000006471	ENSMODP00000010196
ENSMGAP00000009069	ENSMODP00000024458
ENSMGAP00000003984	ENSMODP00000024853
ENSMGAP00000014886	ENSMODP00000028979
ENSMGAP00000011317	ENSMODP00000001626
ENSMGAP00000004230	ENSMODP00000007870
ENSMGAP00000005972	ENSMODP00000015585
ENSMGAP00000007616	ENSMODP00000007927
ENSMGAP00000012667	ENSMODP00000000814
ENSMGAP00000012872	ENSMODP00000007157
ENSMGAP00000004677	ENSMODP00000004469
ENSMGAP00000003309	ENSMODP00000024590
ENSMGAP00000011808	ENSMODP00000000505
ENSMGAP00000017043	ENSMODP00000004192
ENSMGAP00000019018	ENSMODP00000004169
ENSMGAP00000003362	ENSMODP00000028503
ENSMGAP00000010091	ENSMODP00000025233
ENSMGAP00000005287	ENSMODP00000031563
ENSMGAP00000002106	ENSMODP00000019532
ENSMGAP00000004874	ENSMODP00000018295
ENSMGAP00000019025	ENSMODP00000018283
ENSMGAP00000001538	ENSMODP00000035883
ENSMGAP00000001897	ENSMODP00000011235
ENSMGAP00000009060	ENSMODP00000019655
ENSMGAP00000004606	ENSMODP00000001450
ENSMGAP00000000642	ENSMODP00000020163
ENSMGAP00000012789	ENSMODP00000022916
ENSMGAP00000000728	ENSMODP00000013652
ENSMGAP00000008536	ENSMODP00000037031
ENSMGAP00000007353	ENSMODP00000004914
ENSMGAP00000016272	ENSMODP00000008363
ENSMGAP00000009488	ENSMODP00000023740
ENSMGAP00000005069	ENSMODP00000029161
ENSMGAP00000009336	ENSMODP00000019802
ENSMGAP00000006249	ENSMODP00000013887
ENSMGAP00000008115	ENSMODP00000004893
ENSMGAP00000005020	ENSMODP00000035754
ENSMGAP00000016743	ENSMODP00000024714
ENSMGAP00000010642	ENSMODP00000020099
ENSMGAP00000003290	ENSMODP00000040556
ENSMGAP00000014760	ENSMODP00000022442
ENSMGAP00000000456	ENSMODP00000001816
ENSMGAP00000013176	ENSMODP00000004958
ENSMGAP00000014789	ENSMODP00000018134
ENSMGAP00000010924	ENSMODP00000024244
ENSMGAP00000008195	ENSMODP00000006025
ENSMGAP00000008829	ENSMODP00000003796
ENSMGAP00000013287	ENSMODP00000020994
ENSMGAP00000016002	ENSMODP00000011509
ENSMGAP00000004273	ENSMODP00000004108
ENSMGAP00000004013	ENSMODP00000006215
ENSMGAP00000006825	ENSMODP00000016598
ENSMGAP00000010088	ENSMODP00000015178
ENSMGAP00000013864	ENSMODP00000011747
ENSMGAP00000003424	ENSMODP00000021456
ENSMGAP00000014323	ENSMODP00000022547
ENSMGAP00000008303	ENSMODP00000025985
ENSMGAP00000013753	ENSMODP00000035244
ENSMGAP00000015086	ENSMODP00000037000
ENSMGAP00000001419	ENSMODP00000010540
ENSMGAP00000003442	ENSMODP00000015462
ENSMGAP00000001207	ENSMODP00000028490
ENSMGAP00000017075	ENSMODP00000035353
ENSMGAP00000004136	ENSMODP00000014112
ENSMGAP00000019054	ENSMODP00000010677
ENSMGAP00000011324	ENSMODP00000007192
ENSMGAP00000019123	ENSMODP00000011498
ENSMGAP00000015982	ENSMODP00000012043
ENSMGAP00000012956	ENSMODP00000025712
ENSMGAP00000013146	ENSMODP00000036164
ENSMGAP00000012051	ENSMODP00000008837
ENSMGAP00000005889	ENSMODP00000035049
ENSMGAP00000007733	ENSMODP00000025938
ENSMGAP00000010883	ENSMODP00000013890
ENSMGAP00000008681	ENSMODP00000023997
ENSMGAP00000005466	ENSMODP00000019174
ENSMGAP00000013654	ENSMODP00000006105
ENSMGAP00000012674	ENSMODP00000011310
ENSMGAP00000010880	ENSMODP00000005837
ENSMGAP00000003801	ENSMODP00000005759
ENSMGAP00000008615	ENSMODP00000038432
ENSMGAP00000009543	ENSMODP00000020495
ENSMGAP00000002974	ENSMODP00000016953
ENSMGAP00000012582	ENSMODP00000025808
ENSMGAP00000009859	ENSMODP00000011506
ENSMGAP00000018681	ENSMODP00000019642
ENSMGAP00000009417	ENSMODP00000013017
ENSMGAP00000013979	ENSMODP00000034038
ENSMGAP00000008333	ENSMODP00000024630
ENSMGAP00000004205	ENSMODP00000007786
ENSMGAP00000012517	ENSMODP00000037316
ENSMGAP00000001548	ENSMODP00000009993
ENSMGAP00000010456	ENSMODP00000035575
ENSMGAP00000015665	ENSMODP00000037551
ENSMGAP00000007322	ENSMODP00000004628
ENSMGAP00000002696	ENSMODP00000038315
ENSMGAP00000011636	ENSMODP00000025647
ENSMGAP00000012013	ENSMODP00000004183
ENSMGAP00000012026	ENSMODP00000037028
ENSMGAP00000005302	ENSMODP00000025394
ENSMGAP00000016750	ENSMODP00000034209
ENSMGAP00000004470	ENSMODP00000000451
ENSMGAP00000017241	ENSMODP00000026551
ENSMGAP00000010142	ENSMODP00000025104
ENSMGAP00000011560	ENSMODP00000010843
ENSMGAP00000002069	ENSMODP00000003741
ENSMGAP00000004515	ENSMODP00000016415
ENSMGAP00000015154	ENSMODP00000022651
ENSMGAP00000001088	ENSMODP00000002321
ENSMGAP00000010087	ENSMODP00000017940
ENSMGAP00000003283	ENSMODP00000015526
ENSMGAP00000015103	ENSMODP00000023572
ENSMGAP00000011665	ENSMODP00000010212
ENSMGAP00000011513	ENSMODP00000011028
ENSMGAP00000018477	ENSMODP00000010574
ENSMGAP00000012426	ENSMODP00000009583
ENSMGAP00000015431	ENSMODP00000026216
ENSMGAP00000004052	ENSMODP00000017759
ENSMGAP00000007852	ENSMODP00000020345
ENSMGAP00000007586	ENSMODP00000005460
ENSMGAP00000012793	ENSMODP00000038197
ENSMGAP00000010423	ENSMODP00000002177
ENSMGAP00000006493	ENSMODP00000011613
ENSMGAP00000002459	ENSMODP00000016140
ENSMGAP00000012144	ENSMODP00000009690
ENSMGAP00000007000	ENSMODP00000018953
ENSMGAP00000005320	ENSMODP00000007345
ENSMGAP00000012292	ENSMODP00000001843
ENSMGAP00000003179	ENSMODP00000000384
ENSMGAP00000016183	ENSMODP00000005851
ENSMGAP00000012498	ENSMODP00000025829
ENSMGAP00000011284	ENSMODP00000014169
ENSMGAP00000004241	ENSMODP00000013333
ENSMGAP00000004359	ENSMODP00000006152
ENSMGAP00000005564	ENSMODP00000024048
ENSMGAP00000000187	ENSMODP00000021326
ENSMGAP00000003686	ENSMODP00000020260
ENSMGAP00000010967	ENSMODP00000022127
ENSMGAP00000003799	ENSMODP00000024585
ENSMGAP00000004977	ENSMODP00000032312
ENSMGAP00000017055	ENSMODP00000018806
ENSMGAP00000006067	ENSMODP00000002965
ENSMGAP00000001692	ENSMODP00000002646
ENSMGAP00000000222	ENSMODP00000004691
ENSMGAP00000019133	ENSMODP00000022880
ENSMGAP00000014252	ENSMODP00000022440
ENSMGAP00000016530	ENSMODP00000012958
ENSMGAP00000001734	ENSMODP00000006141
ENSMGAP00000007819	ENSMODP00000012151
ENSMGAP00000008651	ENSMODP00000018598
ENSMGAP00000013445	ENSMODP00000038229
ENSMGAP00000019781	ENSMODP00000013223
ENSMGAP00000016437	ENSMODP00000011589
ENSMGAP00000000443	ENSMODP00000022092
ENSMGAP00000007199	ENSMODP00000018288
ENSMGAP00000010914	ENSMODP00000020371
ENSMGAP00000005390	ENSMODP00000019866
ENSMGAP00000008577	ENSMODP00000024020
ENSMGAP00000009032	ENSMODP00000005441
ENSMGAP00000008400	ENSMODP00000027864
ENSMGAP00000002200	ENSMODP00000035953
ENSMGAP00000008339	ENSMODP00000004283
ENSMGAP00000009787	ENSMODP00000009105
ENSMGAP00000012996	ENSMODP00000036832
ENSMGAP00000015712	ENSMODP00000003094
ENSMGAP00000003532	ENSMODP00000014640
ENSMGAP00000005084	ENSMODP00000016074
ENSMGAP00000002285	ENSMODP00000016641
ENSMGAP00000003792	ENSMODP00000019725
ENSMGAP00000001471	ENSMODP00000013632
ENSMGAP00000002363	ENSMODP00000017432
ENSMGAP00000002136	ENSMODP00000016921
ENSMGAP00000005995	ENSMODP00000009936
ENSMGAP00000004414	ENSMODP00000004115
ENSMGAP00000001423	ENSMODP00000032087
ENSMGAP00000010866	ENSMODP00000013955
ENSMGAP00000018341	ENSMODP00000017343
ENSMGAP00000000315	ENSMODP00000014185
ENSMGAP00000013737	ENSMODP00000002789
ENSMGAP00000014138	ENSMODP00000022250
ENSMGAP00000010085	ENSMODP00000003583
ENSMGAP00000014303	ENSMODP00000011192
ENSMGAP00000014086	ENSMODP00000016585
ENSMGAP00000003393	ENSMODP00000023723
ENSMGAP00000011526	ENSMODP00000001117
ENSMGAP00000012814	ENSMODP00000022920
ENSMGAP00000007789	ENSMODP00000033234
ENSMGAP00000003057	ENSMODP00000015131
ENSMGAP00000000986	ENSMODP00000012030
ENSMGAP00000002904	ENSMODP00000020543
ENSMGAP00000006908	ENSMODP00000014545
ENSMGAP00000016162	ENSMODP00000005518
ENSMGAP00000009656	ENSMODP00000015214
ENSMGAP00000007799	ENSMODP00000012900
ENSMGAP00000015733	ENSMODP00000037115
ENSMGAP00000015182	ENSMODP00000003619
ENSMGAP00000005179	ENSMODP00000038324
ENSMGAP00000008887	ENSMODP00000003336
ENSMGAP00000009648	ENSMODP00000020450
ENSMGAP00000003766	ENSMODP00000006508
ENSMGAP00000015790	ENSMODP00000010412
ENSMGAP00000002674	ENSMODP00000019135
ENSMGAP00000003351	ENSMODP00000020242
ENSMGAP00000013495	ENSMODP00000010042
ENSMGAP00000002440	ENSMODP00000011835
ENSMGAP00000003196	ENSMODP00000040608
ENSMGAP00000003198	ENSMODP00000007047
ENSMGAP00000013062	ENSMODP00000021927
ENSMGAP00000019578	ENSMODP00000021453
ENSMGAP00000014064	ENSMODP00000016433
ENSMGAP00000008325	ENSMODP00000018082
ENSMGAP00000014066	ENSMODP00000016445
ENSMGAP00000019426	ENSMODP00000037709
ENSMGAP00000011684	ENSMODP00000000740
ENSMGAP00000006557	ENSMODP00000004328
ENSMGAP00000006542	ENSMODP00000009858
ENSMGAP00000010260	ENSMODP00000038702
ENSMGAP00000014993	ENSMODP00000020838
ENSMGAP00000008086	ENSMODP00000019625
ENSMGAP00000001561	ENSMODP00000015208
ENSMGAP00000006085	ENSMODP00000000887
ENSMGAP00000002954	ENSMODP00000017666
ENSMGAP00000002419	ENSMODP00000037455
ENSMGAP00000000108	ENSMODP00000033852
ENSMGAP00000007779	ENSMODP00000005073
ENSMGAP00000007773	ENSMODP00000018787
ENSMGAP00000003907	ENSMODP00000012204
