ENSMGAP00000004951	ENSORLP00000017023
ENSMGAP00000015391	ENSORLP00000025635
ENSMGAP00000001688	ENSORLP00000001420
ENSMGAP00000003355	ENSORLP00000017575
ENSMGAP00000003355	ENSORLP00000014312
ENSMGAP00000016855	ENSORLP00000021168
ENSMGAP00000016855	ENSORLP00000004254
ENSMGAP00000011869	ENSORLP00000015312
ENSMGAP00000004109	ENSORLP00000021195
ENSMGAP00000007245	ENSORLP00000013846
ENSMGAP00000008731	ENSORLP00000004640
ENSMGAP00000000086	ENSORLP00000003433
ENSMGAP00000002593	ENSORLP00000009051
ENSMGAP00000014707	ENSORLP00000014984
ENSMGAP00000001163	ENSORLP00000018887
ENSMGAP00000001348	ENSORLP00000005319
ENSMGAP00000011156	ENSORLP00000014859
ENSMGAP00000000369	ENSORLP00000017630
ENSMGAP00000001091	ENSORLP00000011608
ENSMGAP00000013568	ENSORLP00000013942
ENSMGAP00000004554	ENSORLP00000002967
ENSMGAP00000000085	ENSORLP00000020153
ENSMGAP00000000085	ENSORLP00000008018
ENSMGAP00000018204	ENSORLP00000009719
ENSMGAP00000006390	ENSORLP00000009264
ENSMGAP00000015441	ENSORLP00000016385
ENSMGAP00000000762	ENSORLP00000011881
ENSMGAP00000008714	ENSORLP00000004619
ENSMGAP00000010586	ENSORLP00000014691
ENSMGAP00000008852	ENSORLP00000025699
ENSMGAP00000001395	ENSORLP00000018746
ENSMGAP00000009255	ENSORLP00000025092
ENSMGAP00000009255	ENSORLP00000008947
ENSMGAP00000008876	ENSORLP00000007330
ENSMGAP00000004670	ENSORLP00000021066
ENSMGAP00000004670	ENSORLP00000017966
ENSMGAP00000003422	ENSORLP00000019821
ENSMGAP00000003422	ENSORLP00000011260
ENSMGAP00000003689	ENSORLP00000015125
ENSMGAP00000003689	ENSORLP00000011254
ENSMGAP00000011606	ENSORLP00000020032
ENSMGAP00000011606	ENSORLP00000018578
ENSMGAP00000011689	ENSORLP00000024718
ENSMGAP00000015781	ENSORLP00000013929
ENSMGAP00000009299	ENSORLP00000007935
ENSMGAP00000003710	ENSORLP00000020501
ENSMGAP00000011655	ENSORLP00000005391
ENSMGAP00000008858	ENSORLP00000001836
ENSMGAP00000008858	ENSORLP00000002802
ENSMGAP00000011625	ENSORLP00000004251
ENSMGAP00000000744	ENSORLP00000007785
ENSMGAP00000005385	ENSORLP00000008561
ENSMGAP00000005473	ENSORLP00000003224
ENSMGAP00000005473	ENSORLP00000020210
ENSMGAP00000004123	ENSORLP00000003955
ENSMGAP00000004123	ENSORLP00000005716
ENSMGAP00000006694	ENSORLP00000009447
ENSMGAP00000012758	ENSORLP00000016755
ENSMGAP00000016378	ENSORLP00000025680
ENSMGAP00000006418	ENSORLP00000015976
ENSMGAP00000006418	ENSORLP00000010846
ENSMGAP00000007499	ENSORLP00000012076
ENSMGAP00000002574	ENSORLP00000014665
ENSMGAP00000014767	ENSORLP00000021608
ENSMGAP00000014767	ENSORLP00000014160
ENSMGAP00000004080	ENSORLP00000006974
ENSMGAP00000014427	ENSORLP00000004278
ENSMGAP00000006889	ENSORLP00000020050
ENSMGAP00000002312	ENSORLP00000012723
ENSMGAP00000013161	ENSORLP00000007001
ENSMGAP00000013161	ENSORLP00000002142
ENSMGAP00000009371	ENSORLP00000007930
ENSMGAP00000003946	ENSORLP00000019309
ENSMGAP00000007704	ENSORLP00000006865
ENSMGAP00000000859	ENSORLP00000004088
ENSMGAP00000011580	ENSORLP00000005176
ENSMGAP00000019406	ENSORLP00000005255
ENSMGAP00000002371	ENSORLP00000010903
ENSMGAP00000015954	ENSORLP00000003924
ENSMGAP00000015954	ENSORLP00000005958
ENSMGAP00000002720	ENSORLP00000009004
ENSMGAP00000002995	ENSORLP00000011879
ENSMGAP00000002995	ENSORLP00000017466
ENSMGAP00000013724	ENSORLP00000016407
ENSMGAP00000002247	ENSORLP00000005899
ENSMGAP00000008702	ENSORLP00000000178
ENSMGAP00000005660	ENSORLP00000003200
ENSMGAP00000008955	ENSORLP00000016932
ENSMGAP00000006471	ENSORLP00000006703
ENSMGAP00000003984	ENSORLP00000020649
ENSMGAP00000014886	ENSORLP00000013120
ENSMGAP00000011317	ENSORLP00000021408
ENSMGAP00000014484	ENSORLP00000012533
ENSMGAP00000014484	ENSORLP00000004693
ENSMGAP00000012667	ENSORLP00000022311
ENSMGAP00000012667	ENSORLP00000021091
ENSMGAP00000012872	ENSORLP00000013449
ENSMGAP00000004677	ENSORLP00000009845
ENSMGAP00000003309	ENSORLP00000006238
ENSMGAP00000003309	ENSORLP00000011233
ENSMGAP00000005030	ENSORLP00000025382
ENSMGAP00000017043	ENSORLP00000025778
ENSMGAP00000003362	ENSORLP00000019118
ENSMGAP00000010091	ENSORLP00000002793
ENSMGAP00000010091	ENSORLP00000007565
ENSMGAP00000005287	ENSORLP00000016480
ENSMGAP00000012887	ENSORLP00000018319
ENSMGAP00000001538	ENSORLP00000008804
ENSMGAP00000001538	ENSORLP00000010408
ENSMGAP00000011398	ENSORLP00000015382
ENSMGAP00000001897	ENSORLP00000000955
ENSMGAP00000009060	ENSORLP00000024303
ENSMGAP00000004606	ENSORLP00000007370
ENSMGAP00000004606	ENSORLP00000011202
ENSMGAP00000009313	ENSORLP00000021417
ENSMGAP00000008536	ENSORLP00000014546
ENSMGAP00000007353	ENSORLP00000024006
ENSMGAP00000016272	ENSORLP00000025283
ENSMGAP00000016272	ENSORLP00000023562
ENSMGAP00000009488	ENSORLP00000025361
ENSMGAP00000009336	ENSORLP00000002544
ENSMGAP00000009336	ENSORLP00000013157
ENSMGAP00000006249	ENSORLP00000014924
ENSMGAP00000008115	ENSORLP00000019751
ENSMGAP00000008115	ENSORLP00000013289
ENSMGAP00000005020	ENSORLP00000020092
ENSMGAP00000005020	ENSORLP00000007978
ENSMGAP00000016743	ENSORLP00000019342
ENSMGAP00000010642	ENSORLP00000022468
ENSMGAP00000003290	ENSORLP00000007005
ENSMGAP00000010616	ENSORLP00000003686
ENSMGAP00000014760	ENSORLP00000015046
ENSMGAP00000014760	ENSORLP00000007689
ENSMGAP00000013176	ENSORLP00000006193
ENSMGAP00000014789	ENSORLP00000018788
ENSMGAP00000010924	ENSORLP00000015748
ENSMGAP00000008195	ENSORLP00000002291
ENSMGAP00000008829	ENSORLP00000019066
ENSMGAP00000013287	ENSORLP00000019227
ENSMGAP00000016002	ENSORLP00000014563
ENSMGAP00000004273	ENSORLP00000014904
ENSMGAP00000004013	ENSORLP00000016522
ENSMGAP00000006825	ENSORLP00000018166
ENSMGAP00000010088	ENSORLP00000006852
ENSMGAP00000013864	ENSORLP00000019932
ENSMGAP00000003424	ENSORLP00000018275
ENSMGAP00000014323	ENSORLP00000005287
ENSMGAP00000015086	ENSORLP00000006617
ENSMGAP00000001419	ENSORLP00000015378
ENSMGAP00000003442	ENSORLP00000007697
ENSMGAP00000003442	ENSORLP00000001913
ENSMGAP00000001207	ENSORLP00000014432
ENSMGAP00000009053	ENSORLP00000006622
ENSMGAP00000011324	ENSORLP00000021170
ENSMGAP00000019123	ENSORLP00000006700
ENSMGAP00000015982	ENSORLP00000004579
ENSMGAP00000012956	ENSORLP00000005540
ENSMGAP00000013146	ENSORLP00000022648
ENSMGAP00000012051	ENSORLP00000010020
ENSMGAP00000005889	ENSORLP00000021423
ENSMGAP00000010883	ENSORLP00000016275
ENSMGAP00000008681	ENSORLP00000017243
ENSMGAP00000005466	ENSORLP00000001337
ENSMGAP00000013654	ENSORLP00000005361
ENSMGAP00000013654	ENSORLP00000020996
ENSMGAP00000012674	ENSORLP00000024525
ENSMGAP00000008615	ENSORLP00000009804
ENSMGAP00000012582	ENSORLP00000000315
ENSMGAP00000009859	ENSORLP00000000841
ENSMGAP00000009859	ENSORLP00000015688
ENSMGAP00000018681	ENSORLP00000014648
ENSMGAP00000009417	ENSORLP00000013260
ENSMGAP00000013979	ENSORLP00000019946
ENSMGAP00000008333	ENSORLP00000012742
ENSMGAP00000004205	ENSORLP00000015998
ENSMGAP00000015665	ENSORLP00000015424
ENSMGAP00000007322	ENSORLP00000023222
ENSMGAP00000012013	ENSORLP00000012302
ENSMGAP00000012026	ENSORLP00000012334
ENSMGAP00000005302	ENSORLP00000018569
ENSMGAP00000005302	ENSORLP00000005246
ENSMGAP00000016750	ENSORLP00000000570
ENSMGAP00000016750	ENSORLP00000001147
ENSMGAP00000004470	ENSORLP00000011697
ENSMGAP00000004470	ENSORLP00000008639
ENSMGAP00000010142	ENSORLP00000004401
ENSMGAP00000011560	ENSORLP00000016781
ENSMGAP00000002069	ENSORLP00000007482
ENSMGAP00000002069	ENSORLP00000006064
ENSMGAP00000000834	ENSORLP00000008567
ENSMGAP00000017435	ENSORLP00000013665
ENSMGAP00000018236	ENSORLP00000008309
ENSMGAP00000018236	ENSORLP00000015790
ENSMGAP00000010087	ENSORLP00000020220
ENSMGAP00000003283	ENSORLP00000023486
ENSMGAP00000011665	ENSORLP00000009060
ENSMGAP00000011513	ENSORLP00000009935
ENSMGAP00000016934	ENSORLP00000022033
ENSMGAP00000018477	ENSORLP00000021561
ENSMGAP00000012426	ENSORLP00000010554
ENSMGAP00000015431	ENSORLP00000015653
ENSMGAP00000004052	ENSORLP00000009407
ENSMGAP00000007852	ENSORLP00000007507
ENSMGAP00000007852	ENSORLP00000025418
ENSMGAP00000012793	ENSORLP00000005021
ENSMGAP00000010423	ENSORLP00000009566
ENSMGAP00000010423	ENSORLP00000001925
ENSMGAP00000006493	ENSORLP00000025471
ENSMGAP00000002459	ENSORLP00000003329
ENSMGAP00000007000	ENSORLP00000017612
ENSMGAP00000005320	ENSORLP00000008011
ENSMGAP00000012292	ENSORLP00000013167
ENSMGAP00000003179	ENSORLP00000023378
ENSMGAP00000012498	ENSORLP00000000556
ENSMGAP00000011284	ENSORLP00000019339
ENSMGAP00000004359	ENSORLP00000024341
ENSMGAP00000010368	ENSORLP00000016642
ENSMGAP00000010368	ENSORLP00000014817
ENSMGAP00000011345	ENSORLP00000007491
ENSMGAP00000017489	ENSORLP00000009776
ENSMGAP00000000187	ENSORLP00000010552
ENSMGAP00000000187	ENSORLP00000024673
ENSMGAP00000003686	ENSORLP00000012495
ENSMGAP00000014073	ENSORLP00000019452
ENSMGAP00000010967	ENSORLP00000023753
ENSMGAP00000003799	ENSORLP00000011177
ENSMGAP00000019424	ENSORLP00000010998
ENSMGAP00000006182	ENSORLP00000013283
ENSMGAP00000019133	ENSORLP00000020197
ENSMGAP00000016530	ENSORLP00000003871
ENSMGAP00000016530	ENSORLP00000009664
ENSMGAP00000007819	ENSORLP00000022395
ENSMGAP00000013445	ENSORLP00000018310
ENSMGAP00000013445	ENSORLP00000019175
ENSMGAP00000019781	ENSORLP00000006121
ENSMGAP00000019781	ENSORLP00000004141
ENSMGAP00000017228	ENSORLP00000004548
ENSMGAP00000017228	ENSORLP00000013610
ENSMGAP00000016406	ENSORLP00000017101
ENSMGAP00000000443	ENSORLP00000021644
ENSMGAP00000007199	ENSORLP00000017858
ENSMGAP00000010914	ENSORLP00000007854
ENSMGAP00000010914	ENSORLP00000020087
ENSMGAP00000005390	ENSORLP00000023047
ENSMGAP00000008577	ENSORLP00000008712
ENSMGAP00000008577	ENSORLP00000003369
ENSMGAP00000008400	ENSORLP00000013373
ENSMGAP00000008400	ENSORLP00000003415
ENSMGAP00000002200	ENSORLP00000000238
ENSMGAP00000008339	ENSORLP00000019096
ENSMGAP00000009787	ENSORLP00000019098
ENSMGAP00000005690	ENSORLP00000007866
ENSMGAP00000003532	ENSORLP00000009345
ENSMGAP00000003792	ENSORLP00000020004
ENSMGAP00000003792	ENSORLP00000003021
ENSMGAP00000002136	ENSORLP00000024871
ENSMGAP00000005995	ENSORLP00000010963
ENSMGAP00000018341	ENSORLP00000012068
ENSMGAP00000013737	ENSORLP00000005390
ENSMGAP00000014138	ENSORLP00000022513
ENSMGAP00000010085	ENSORLP00000015200
ENSMGAP00000014303	ENSORLP00000022595
ENSMGAP00000003393	ENSORLP00000003948
ENSMGAP00000011526	ENSORLP00000021534
ENSMGAP00000012814	ENSORLP00000002389
ENSMGAP00000011679	ENSORLP00000002820
ENSMGAP00000007789	ENSORLP00000019504
ENSMGAP00000003057	ENSORLP00000009948
ENSMGAP00000000986	ENSORLP00000012393
ENSMGAP00000002904	ENSORLP00000020094
ENSMGAP00000006908	ENSORLP00000010119
ENSMGAP00000013141	ENSORLP00000019214
ENSMGAP00000009656	ENSORLP00000024224
ENSMGAP00000007799	ENSORLP00000001322
ENSMGAP00000006170	ENSORLP00000005919
ENSMGAP00000015182	ENSORLP00000019655
ENSMGAP00000008545	ENSORLP00000019708
ENSMGAP00000008887	ENSORLP00000009527
ENSMGAP00000008887	ENSORLP00000012965
ENSMGAP00000001786	ENSORLP00000025656
ENSMGAP00000001786	ENSORLP00000010102
ENSMGAP00000009648	ENSORLP00000020236
ENSMGAP00000003766	ENSORLP00000014987
ENSMGAP00000015790	ENSORLP00000022063
ENSMGAP00000015790	ENSORLP00000003559
ENSMGAP00000002674	ENSORLP00000004136
ENSMGAP00000003647	ENSORLP00000006042
ENSMGAP00000003351	ENSORLP00000024937
ENSMGAP00000003196	ENSORLP00000021704
ENSMGAP00000003198	ENSORLP00000010296
ENSMGAP00000013062	ENSORLP00000013360
ENSMGAP00000008325	ENSORLP00000014379
ENSMGAP00000014066	ENSORLP00000021970
ENSMGAP00000008904	ENSORLP00000023141
ENSMGAP00000019426	ENSORLP00000011273
ENSMGAP00000011684	ENSORLP00000016465
ENSMGAP00000006542	ENSORLP00000005631
ENSMGAP00000010260	ENSORLP00000024752
ENSMGAP00000008086	ENSORLP00000018447
ENSMGAP00000005024	ENSORLP00000010115
ENSMGAP00000009827	ENSORLP00000001033
ENSMGAP00000001561	ENSORLP00000020926
ENSMGAP00000002954	ENSORLP00000019177
ENSMGAP00000000108	ENSORLP00000003191
ENSMGAP00000003907	ENSORLP00000015686
ENSMGAP00000003944	ENSORLP00000002367
ENSMGAP00000015144	ENSORLP00000008375
ENSMGAP00000009393	ENSORLP00000005056
ENSMGAP00000009074	ENSORLP00000005122
ENSMGAP00000002614	ENSORLP00000024000
ENSMGAP00000017667	ENSORLP00000018768
ENSMGAP00000012381	ENSORLP00000011835
ENSMGAP00000003649	ENSORLP00000007024
ENSMGAP00000010597	ENSORLP00000009202
ENSMGAP00000002082	ENSORLP00000017009
ENSMGAP00000019772	ENSORLP00000020666
ENSMGAP00000015789	ENSORLP00000003654
ENSMGAP00000015789	ENSORLP00000022073
ENSMGAP00000012602	ENSORLP00000012544
ENSMGAP00000015233	ENSORLP00000005239
ENSMGAP00000015233	ENSORLP00000011455
ENSMGAP00000001937	ENSORLP00000003137
ENSMGAP00000001937	ENSORLP00000007160
ENSMGAP00000007252	ENSORLP00000001406
ENSMGAP00000000396	ENSORLP00000012144
ENSMGAP00000007106	ENSORLP00000003645
ENSMGAP00000007106	ENSORLP00000016043
ENSMGAP00000009840	ENSORLP00000011059
ENSMGAP00000010777	ENSORLP00000010245
ENSMGAP00000016088	ENSORLP00000002565
ENSMGAP00000012525	ENSORLP00000000220
ENSMGAP00000014409	ENSORLP00000016099
ENSMGAP00000010882	ENSORLP00000010178
ENSMGAP00000004813	ENSORLP00000015387
ENSMGAP00000010503	ENSORLP00000022133
ENSMGAP00000010628	ENSORLP00000020198
ENSMGAP00000006235	ENSORLP00000009678
ENSMGAP00000003569	ENSORLP00000014273
ENSMGAP00000018863	ENSORLP00000001266
ENSMGAP00000010973	ENSORLP00000025832
ENSMGAP00000011946	ENSORLP00000013872
ENSMGAP00000017832	ENSORLP00000021782
ENSMGAP00000009966	ENSORLP00000005600
ENSMGAP00000004713	ENSORLP00000013956
ENSMGAP00000015175	ENSORLP00000016851
ENSMGAP00000014453	ENSORLP00000014269
ENSMGAP00000003065	ENSORLP00000001915
ENSMGAP00000014916	ENSORLP00000015230
ENSMGAP00000016461	ENSORLP00000022617
ENSMGAP00000006505	ENSORLP00000015380
ENSMGAP00000009483	ENSORLP00000007748
ENSMGAP00000015069	ENSORLP00000022151
ENSMGAP00000015767	ENSORLP00000006247
ENSMGAP00000008552	ENSORLP00000002888
ENSMGAP00000014508	ENSORLP00000020194
ENSMGAP00000018368	ENSORLP00000020763
ENSMGAP00000018368	ENSORLP00000012940
ENSMGAP00000013822	ENSORLP00000000336
ENSMGAP00000007654	ENSORLP00000007094
ENSMGAP00000012365	ENSORLP00000014849
ENSMGAP00000006906	ENSORLP00000015732
ENSMGAP00000014934	ENSORLP00000015914
ENSMGAP00000001401	ENSORLP00000020378
