ENSDARP00000074624	ENSP00000262384
ENSDARP00000064825	ENSP00000399797
ENSDARP00000042673	ENSP00000351524
ENSDARP00000127476	ENSP00000394314
ENSDARP00000015394	ENSP00000253008
ENSDARP00000013506	ENSP00000354960
ENSDARP00000117090	ENSP00000354960
ENSDARP00000102910	ENSP00000361929
ENSDARP00000012147	ENSP00000282903
ENSDARP00000073893	ENSP00000352603
ENSDARP00000104859	ENSP00000347408
ENSDARP00000053426	ENSP00000388996
ENSDARP00000075572	ENSP00000406472
ENSDARP00000091375	ENSP00000265741
ENSDARP00000087820	ENSP00000276052
ENSDARP00000002635	ENSP00000423665
ENSDARP00000073523	ENSP00000417914
ENSDARP00000030625	ENSP00000264607
ENSDARP00000014061	ENSP00000355195
ENSDARP00000054692	ENSP00000355195
ENSDARP00000084007	ENSP00000305426
ENSDARP00000078442	ENSP00000221399
ENSDARP00000124333	ENSP00000229771
ENSDARP00000099556	ENSP00000229771
ENSDARP00000091436	ENSP00000314444
ENSDARP00000109870	ENSP00000216271
ENSDARP00000124246	ENSP00000334061
ENSDARP00000129124	ENSP00000346236
ENSDARP00000070686	ENSP00000464050
ENSDARP00000055491	ENSP00000225792
ENSDARP00000067708	ENSP00000357650
ENSDARP00000106457	ENSP00000262462
ENSDARP00000012791	ENSP00000300456
ENSDARP00000056073	ENSP00000351520
ENSDARP00000111869	ENSP00000301825
ENSDARP00000065396	ENSP00000378046
ENSDARP00000059618	ENSP00000222803
ENSDARP00000106564	ENSP00000413152
ENSDARP00000022147	ENSP00000242209
ENSDARP00000066366	ENSP00000317232
ENSDARP00000095220	ENSP00000317232
ENSDARP00000099181	ENSP00000345964
ENSDARP00000100931	ENSP00000358715
ENSDARP00000127731	ENSP00000358715
ENSDARP00000027644	ENSP00000370473
ENSDARP00000095343	ENSP00000301464
ENSDARP00000109154	ENSP00000301464
ENSDARP00000019674	ENSP00000275525
ENSDARP00000056452	ENSP00000275525
ENSDARP00000068816	ENSP00000233809
ENSDARP00000019643	ENSP00000233809
ENSDARP00000122397	ENSP00000386942
ENSDARP00000129467	ENSP00000386942
ENSDARP00000053606	ENSP00000362239
ENSDARP00000057298	ENSP00000417583
ENSDARP00000063586	ENSP00000417583
ENSDARP00000022487	ENSP00000355968
ENSDARP00000050473	ENSP00000233535
ENSDARP00000074794	ENSP00000415011
ENSDARP00000025373	ENSP00000261867
ENSDARP00000063985	ENSP00000362195
ENSDARP00000058305	ENSP00000263409
ENSDARP00000062984	ENSP00000263409
ENSDARP00000109601	ENSP00000384545
ENSDARP00000091774	ENSP00000329926
ENSDARP00000104127	ENSP00000329926
ENSDARP00000028904	ENSP00000445952
ENSDARP00000114008	ENSP00000445952
ENSDARP00000025094	ENSP00000251527
ENSDARP00000097628	ENSP00000424126
ENSDARP00000080655	ENSP00000424126
ENSDARP00000097784	ENSP00000340594
ENSDARP00000098809	ENSP00000341489
ENSDARP00000079273	ENSP00000368566
ENSDARP00000123999	ENSP00000348429
ENSDARP00000083765	ENSP00000258873
ENSDARP00000047652	ENSP00000233156
ENSDARP00000081855	ENSP00000222543
ENSDARP00000076606	ENSP00000311184
ENSDARP00000025648	ENSP00000311184
ENSDARP00000098282	ENSP00000324763
ENSDARP00000011426	ENSP00000265132
ENSDARP00000109709	ENSP00000376652
ENSDARP00000045814	ENSP00000376652
ENSDARP00000091908	ENSP00000281156
ENSDARP00000014920	ENSP00000355094
ENSDARP00000106281	ENSP00000328694
ENSDARP00000108347	ENSP00000328694
ENSDARP00000088385	ENSP00000379366
ENSDARP00000120338	ENSP00000349575
ENSDARP00000064175	ENSP00000271139
ENSDARP00000006800	ENSP00000290551
ENSDARP00000050948	ENSP00000348300
ENSDARP00000074998	ENSP00000287748
ENSDARP00000078459	ENSP00000423541
ENSDARP00000078354	ENSP00000358142
ENSDARP00000089497	ENSP00000299134
ENSDARP00000045678	ENSP00000452871
ENSDARP00000109120	ENSP00000452871
ENSDARP00000073505	ENSP00000351484
ENSDARP00000122069	ENSP00000353224
ENSDARP00000128113	ENSP00000223026
ENSDARP00000114765	ENSP00000337425
ENSDARP00000128272	ENSP00000157600
ENSDARP00000102221	ENSP00000365494
ENSDARP00000059513	ENSP00000401060
ENSDARP00000067176	ENSP00000401060
ENSDARP00000108227	ENSP00000262916
ENSDARP00000026364	ENSP00000337354
ENSDARP00000123087	ENSP00000316842
ENSDARP00000028379	ENSP00000247182
ENSDARP00000075251	ENSP00000304502
ENSDARP00000071623	ENSP00000304502
ENSDARP00000114103	ENSP00000337159
ENSDARP00000069214	ENSP00000216602
ENSDARP00000077905	ENSP00000390941
ENSDARP00000079578	ENSP00000357927
ENSDARP00000034827	ENSP00000310491
ENSDARP00000118891	ENSP00000346151
ENSDARP00000103999	ENSP00000346151
ENSDARP00000106287	ENSP00000324729
ENSDARP00000112109	ENSP00000164227
ENSDARP00000126959	ENSP00000325663
ENSDARP00000045035	ENSP00000312988
ENSDARP00000089603	ENSP00000275015
ENSDARP00000077021	ENSP00000311837
ENSDARP00000083042	ENSP00000429842
ENSDARP00000104940	ENSP00000217381
ENSDARP00000067932	ENSP00000338191
ENSDARP00000061163	ENSP00000378965
ENSDARP00000061134	ENSP00000357484
ENSDARP00000119520	ENSP00000419378
ENSDARP00000014010	ENSP00000358460
ENSDARP00000040307	ENSP00000414921
ENSDARP00000117905	ENSP00000410811
ENSDARP00000006334	ENSP00000333836
ENSDARP00000109638	ENSP00000333836
ENSDARP00000037689	ENSP00000266041
ENSDARP00000072911	ENSP00000218436
ENSDARP00000001039	ENSP00000233630
ENSDARP00000095486	ENSP00000337500
ENSDARP00000080646	ENSP00000337500
ENSDARP00000127303	ENSP00000355026
ENSDARP00000122795	ENSP00000355026
ENSDARP00000098618	ENSP00000056217
ENSDARP00000098684	ENSP00000264051
ENSDARP00000111989	ENSP00000367629
ENSDARP00000111319	ENSP00000366477
ENSDARP00000097773	ENSP00000402584
ENSDARP00000126208	ENSP00000369702
ENSDARP00000101821	ENSP00000287585
ENSDARP00000111119	ENSP00000441214
ENSDARP00000121795	ENSP00000406191
ENSDARP00000094167	ENSP00000291536
ENSDARP00000024335	ENSP00000356436
ENSDARP00000090686	ENSP00000356436
ENSDARP00000069315	ENSP00000306163
ENSDARP00000097889	ENSP00000360762
ENSDARP00000098001	ENSP00000360762
ENSDARP00000120365	ENSP00000250894
ENSDARP00000082784	ENSP00000262013
ENSDARP00000067629	ENSP00000369981
ENSDARP00000085044	ENSP00000369981
ENSDARP00000018632	ENSP00000418744
ENSDARP00000045932	ENSP00000418744
ENSDARP00000051402	ENSP00000361645
ENSDARP00000114502	ENSP00000361645
ENSDARP00000095328	ENSP00000278937
ENSDARP00000032601	ENSP00000278937
ENSDARP00000092425	ENSP00000352513
ENSDARP00000101478	ENSP00000432943
ENSDARP00000092068	ENSP00000278947
ENSDARP00000084700	ENSP00000322460
ENSDARP00000079303	ENSP00000322460
ENSDARP00000103451	ENSP00000278949
ENSDARP00000128595	ENSP00000266712
ENSDARP00000109667	ENSP00000343871
ENSDARP00000094710	ENSP00000361995
ENSDARP00000095187	ENSP00000268125
ENSDARP00000026805	ENSP00000268125
ENSDARP00000069597	ENSP00000275162
ENSDARP00000091828	ENSP00000302843
ENSDARP00000073439	ENSP00000347872
ENSDARP00000106240	ENSP00000303129
ENSDARP00000118753	ENSP00000399805
ENSDARP00000119475	ENSP00000375647
ENSDARP00000122486	ENSP00000375647
ENSDARP00000128562	ENSP00000436836
ENSDARP00000126045	ENSP00000436836
ENSDARP00000098491	ENSP00000005284
ENSDARP00000055022	ENSP00000005284
ENSDARP00000057324	ENSP00000262138
ENSDARP00000099217	ENSP00000262138
ENSDARP00000118548	ENSP00000270458
ENSDARP00000094670	ENSP00000270458
ENSDARP00000078963	ENSP00000376914
ENSDARP00000076873	ENSP00000400258
ENSDARP00000093925	ENSP00000362444
ENSDARP00000066410	ENSP00000247191
ENSDARP00000086549	ENSP00000359132
ENSDARP00000073621	ENSP00000379032
ENSDARP00000107675	ENSP00000363398
ENSDARP00000003397	ENSP00000367446
ENSDARP00000108198	ENSP00000367446
ENSDARP00000124029	ENSP00000220562
ENSDARP00000093555	ENSP00000400101
ENSDARP00000094885	ENSP00000329033
ENSDARP00000102728	ENSP00000307513
ENSDARP00000098758	ENSP00000283243
ENSDARP00000119695	ENSP00000356587
ENSDARP00000107042	ENSP00000368952
ENSDARP00000121180	ENSP00000368952
ENSDARP00000083949	ENSP00000319323
ENSDARP00000064746	ENSP00000348886
ENSDARP00000108993	ENSP00000327048
ENSDARP00000064832	ENSP00000328364
ENSDARP00000064615	ENSP00000454062
ENSDARP00000044859	ENSP00000345393
ENSDARP00000118205	ENSP00000344903
ENSDARP00000106725	ENSP00000297282
ENSDARP00000047006	ENSP00000194130
ENSDARP00000091933	ENSP00000279027
ENSDARP00000070437	ENSP00000392411
ENSDARP00000058513	ENSP00000406220
ENSDARP00000098418	ENSP00000406220
ENSDARP00000025120	ENSP00000365251
ENSDARP00000116922	ENSP00000435582
ENSDARP00000094377	ENSP00000353249
ENSDARP00000113955	ENSP00000360905
ENSDARP00000098114	ENSP00000353422
ENSDARP00000048506	ENSP00000379500
ENSDARP00000102127	ENSP00000355751
ENSDARP00000070464	ENSP00000222271
ENSDARP00000093348	ENSP00000339730
ENSDARP00000051004	ENSP00000339730
ENSDARP00000057589	ENSP00000383909
ENSDARP00000002460	ENSP00000371686
ENSDARP00000085707	ENSP00000257600
ENSDARP00000110688	ENSP00000447873
ENSDARP00000107971	ENSP00000316532
ENSDARP00000108491	ENSP00000005286
ENSDARP00000063703	ENSP00000361650
ENSDARP00000048886	ENSP00000356275
ENSDARP00000002532	ENSP00000356275
ENSDARP00000053403	ENSP00000431813
ENSDARP00000091516	ENSP00000160373
ENSDARP00000069657	ENSP00000271277
ENSDARP00000123484	ENSP00000271277
ENSDARP00000129096	ENSP00000303758
ENSDARP00000050176	ENSP00000363349
ENSDARP00000014980	ENSP00000238994
ENSDARP00000108067	ENSP00000238994
ENSDARP00000065669	ENSP00000308318
ENSDARP00000118761	ENSP00000360035
ENSDARP00000129035	ENSP00000360035
ENSDARP00000111556	ENSP00000284601
ENSDARP00000111169	ENSP00000284601
ENSDARP00000121566	ENSP00000336630
ENSDARP00000093285	ENSP00000356205
ENSDARP00000101777	ENSP00000356205
ENSDARP00000099736	ENSP00000276218
ENSDARP00000106854	ENSP00000391299
ENSDARP00000112558	ENSP00000342313
ENSDARP00000058495	ENSP00000440674
ENSDARP00000128615	ENSP00000332723
ENSDARP00000016314	ENSP00000411770
ENSDARP00000047070	ENSP00000214869
ENSDARP00000098435	ENSP00000214869
ENSDARP00000014840	ENSP00000359305
ENSDARP00000043315	ENSP00000356381
ENSDARP00000043161	ENSP00000254901
ENSDARP00000123784	ENSP00000438346
ENSDARP00000023124	ENSP00000362863
ENSDARP00000019093	ENSP00000362863
ENSDARP00000104305	ENSP00000295488
ENSDARP00000099211	ENSP00000435506
ENSDARP00000065555	ENSP00000264233
ENSDARP00000098660	ENSP00000317123
ENSDARP00000105864	ENSP00000253083
ENSDARP00000079991	ENSP00000253083
ENSDARP00000102404	ENSP00000267984
ENSDARP00000117778	ENSP00000365411
ENSDARP00000089458	ENSP00000263915
ENSDARP00000051165	ENSP00000381793
ENSDARP00000042171	ENSP00000381793
ENSDARP00000062698	ENSP00000403459
ENSDARP00000110875	ENSP00000343490
ENSDARP00000052476	ENSP00000343490
ENSDARP00000124944	ENSP00000369442
ENSDARP00000100285	ENSP00000257408
ENSDARP00000066702	ENSP00000240285
ENSDARP00000104887	ENSP00000240285
ENSDARP00000065852	ENSP00000365397
ENSDARP00000066124	ENSP00000365397
ENSDARP00000015825	ENSP00000358854
ENSDARP00000005989	ENSP00000262394
ENSDARP00000119398	ENSP00000319474
ENSDARP00000105402	ENSP00000387078
ENSDARP00000056285	ENSP00000344504
ENSDARP00000111440	ENSP00000349727
ENSDARP00000102258	ENSP00000344277
ENSDARP00000050618	ENSP00000263512
ENSDARP00000024256	ENSP00000245312
ENSDARP00000019940	ENSP00000273861
ENSDARP00000113054	ENSP00000216540
ENSDARP00000101191	ENSP00000313681
ENSDARP00000113801	ENSP00000245222
ENSDARP00000011155	ENSP00000347581
ENSDARP00000019087	ENSP00000404121
ENSDARP00000107390	ENSP00000262961
ENSDARP00000069275	ENSP00000265069
ENSDARP00000074797	ENSP00000361800
ENSDARP00000065205	ENSP00000360065
ENSDARP00000123093	ENSP00000264968
ENSDARP00000000748	ENSP00000338487
ENSDARP00000098822	ENSP00000474896
ENSDARP00000119169	ENSP00000354458
ENSDARP00000057735	ENSP00000360281
ENSDARP00000114284	ENSP00000322061
ENSDARP00000118698	ENSP00000322061
ENSDARP00000108405	ENSP00000309270
ENSDARP00000101408	ENSP00000362207
ENSDARP00000127739	ENSP00000362207
ENSDARP00000065118	ENSP00000276055
ENSDARP00000044370	ENSP00000354842
ENSDARP00000101166	ENSP00000219746
ENSDARP00000100378	ENSP00000441032
ENSDARP00000068009	ENSP00000311657
ENSDARP00000107380	ENSP00000311657
ENSDARP00000124923	ENSP00000346206
ENSDARP00000073110	ENSP00000440288
ENSDARP00000073658	ENSP00000351717
ENSDARP00000020000	ENSP00000310721
ENSDARP00000113850	ENSP00000301645
ENSDARP00000078769	ENSP00000244043
ENSDARP00000101760	ENSP00000259808
ENSDARP00000043125	ENSP00000220751
ENSDARP00000106580	ENSP00000332454
ENSDARP00000073959	ENSP00000306678
ENSDARP00000007186	ENSP00000363852
ENSDARP00000030718	ENSP00000229729
ENSDARP00000023293	ENSP00000336888
ENSDARP00000109007	ENSP00000336888
ENSDARP00000074529	ENSP00000359892
ENSDARP00000121140	ENSP00000359892
ENSDARP00000116091	ENSP00000262032
ENSDARP00000013960	ENSP00000413025
ENSDARP00000078285	ENSP00000473474
ENSDARP00000053683	ENSP00000297679
ENSDARP00000073367	ENSP00000343526
ENSDARP00000101307	ENSP00000303434
ENSDARP00000056522	ENSP00000346643
ENSDARP00000112428	ENSP00000223366
ENSDARP00000110892	ENSP00000340243
ENSDARP00000027703	ENSP00000342962
ENSDARP00000089585	ENSP00000319796
ENSDARP00000087966	ENSP00000420863
ENSDARP00000090285	ENSP00000320346
ENSDARP00000098249	ENSP00000274140
ENSDARP00000115648	ENSP00000379118
ENSDARP00000082852	ENSP00000471536
ENSDARP00000103866	ENSP00000361672
ENSDARP00000107114	ENSP00000361672
ENSDARP00000072649	ENSP00000363377
ENSDARP00000120829	ENSP00000366746
ENSDARP00000064077	ENSP00000413697
ENSDARP00000072426	ENSP00000330631
ENSDARP00000024471	ENSP00000330631
ENSDARP00000054597	ENSP00000335397
ENSDARP00000068226	ENSP00000335397
ENSDARP00000083002	ENSP00000340328
ENSDARP00000127790	ENSP00000294635
ENSDARP00000051665	ENSP00000263212
ENSDARP00000063550	ENSP00000312411
ENSDARP00000109769	ENSP00000417659
ENSDARP00000086614	ENSP00000417659
ENSDARP00000104731	ENSP00000254654
ENSDARP00000008977	ENSP00000477341
ENSDARP00000103131	ENSP00000477341
ENSDARP00000040170	ENSP00000378830
ENSDARP00000045176	ENSP00000338673
ENSDARP00000055472	ENSP00000376345
ENSDARP00000007188	ENSP00000376345
ENSDARP00000067931	ENSP00000378324
ENSDARP00000107433	ENSP00000414398
ENSDARP00000004932	ENSP00000307280
ENSDARP00000018197	ENSP00000307280
ENSDARP00000066500	ENSP00000379210
ENSDARP00000125663	ENSP00000229824
ENSDARP00000102663	ENSP00000365630
ENSDARP00000125623	ENSP00000262094
ENSDARP00000059319	ENSP00000379601
ENSDARP00000020283	ENSP00000330247
ENSDARP00000085982	ENSP00000376615
ENSDARP00000019419	ENSP00000261461
ENSDARP00000071683	ENSP00000164133
ENSDARP00000093469	ENSP00000417963
ENSDARP00000091500	ENSP00000412733
ENSDARP00000098790	ENSP00000296220
ENSDARP00000058551	ENSP00000379804
ENSDARP00000043822	ENSP00000379804
ENSDARP00000099232	ENSP00000263650
ENSDARP00000115356	ENSP00000378349
ENSDARP00000094806	ENSP00000353094
ENSDARP00000106315	ENSP00000328327
ENSDARP00000069762	ENSP00000218008
ENSDARP00000088594	ENSP00000250111
ENSDARP00000083835	ENSP00000250111
ENSDARP00000003281	ENSP00000356790
ENSDARP00000115804	ENSP00000356790
ENSDARP00000069637	ENSP00000473410
ENSDARP00000119579	ENSP00000381476
ENSDARP00000118661	ENSP00000216139
ENSDARP00000019575	ENSP00000396538
ENSDARP00000006495	ENSP00000396538
ENSDARP00000101834	ENSP00000379330
ENSDARP00000098057	ENSP00000379330
ENSDARP00000104333	ENSP00000388910
ENSDARP00000079474	ENSP00000377867
ENSDARP00000056962	ENSP00000325748
ENSDARP00000110937	ENSP00000325748
ENSDARP00000015367	ENSP00000429744
ENSDARP00000118392	ENSP00000320485
ENSDARP00000118182	ENSP00000320485
ENSDARP00000088317	ENSP00000368189
ENSDARP00000095133	ENSP00000263620
ENSDARP00000031559	ENSP00000263270
ENSDARP00000091884	ENSP00000336666
ENSDARP00000038591	ENSP00000379891
ENSDARP00000101636	ENSP00000379891
ENSDARP00000040954	ENSP00000413049
ENSDARP00000105896	ENSP00000354886
ENSDARP00000078311	ENSP00000354886
ENSDARP00000059139	ENSP00000326305
ENSDARP00000093754	ENSP00000257177
ENSDARP00000100165	ENSP00000263063
ENSDARP00000083566	ENSP00000373420
ENSDARP00000101331	ENSP00000325594
ENSDARP00000024532	ENSP00000410862
ENSDARP00000106658	ENSP00000410862
ENSDARP00000118126	ENSP00000344465
ENSDARP00000129223	ENSP00000274473
ENSDARP00000098193	ENSP00000266214
ENSDARP00000093977	ENSP00000259021
ENSDARP00000021648	ENSP00000259021
ENSDARP00000014581	ENSP00000380136
ENSDARP00000122112	ENSP00000406037
ENSDARP00000089604	ENSP00000337194
ENSDARP00000121254	ENSP00000337194
ENSDARP00000032940	ENSP00000263864
ENSDARP00000115419	ENSP00000264245
ENSDARP00000032448	ENSP00000266970
ENSDARP00000092724	ENSP00000347924
ENSDARP00000121626	ENSP00000316905
ENSDARP00000057866	ENSP00000224807
ENSDARP00000036949	ENSP00000358909
ENSDARP00000070580	ENSP00000266771
ENSDARP00000129510	ENSP00000340402
ENSDARP00000047895	ENSP00000365686
ENSDARP00000120021	ENSP00000365686
ENSDARP00000091395	ENSP00000417085
ENSDARP00000098890	ENSP00000356991
ENSDARP00000074512	ENSP00000418070
ENSDARP00000121706	ENSP00000418070
ENSDARP00000078889	ENSP00000264025
ENSDARP00000102277	ENSP00000264025
ENSDARP00000086172	ENSP00000274710
ENSDARP00000098718	ENSP00000020673
ENSDARP00000106714	ENSP00000292782
ENSDARP00000114663	ENSP00000319482
ENSDARP00000114939	ENSP00000334625
ENSDARP00000115423	ENSP00000298139
ENSDARP00000077321	ENSP00000317636
ENSDARP00000094372	ENSP00000269228
ENSDARP00000005085	ENSP00000265565
ENSDARP00000071771	ENSP00000361266
ENSDARP00000038588	ENSP00000350364
ENSDARP00000092401	ENSP00000270642
ENSDARP00000066758	ENSP00000264668
ENSDARP00000090595	ENSP00000337459
ENSDARP00000123832	ENSP00000419970
ENSDARP00000071871	ENSP00000419970
ENSDARP00000014968	ENSP00000283122
ENSDARP00000127594	ENSP00000355480
ENSDARP00000022009	ENSP00000282077
ENSDARP00000071589	ENSP00000005178
ENSDARP00000045582	ENSP00000333633
ENSDARP00000116176	ENSP00000349076
ENSDARP00000000004	ENSP00000417654
ENSDARP00000076420	ENSP00000247138
ENSDARP00000031200	ENSP00000320566
ENSDARP00000040700	ENSP00000322142
ENSDARP00000089186	ENSP00000322142
ENSDARP00000045244	ENSP00000380024
ENSDARP00000118972	ENSP00000364929
ENSDARP00000009928	ENSP00000307183
ENSDARP00000117791	ENSP00000377265
ENSDARP00000007990	ENSP00000362332
ENSDARP00000076787	ENSP00000368924
ENSDARP00000123798	ENSP00000201031
ENSDARP00000028710	ENSP00000008391
ENSDARP00000102873	ENSP00000267273
ENSDARP00000072256	ENSP00000267273
ENSDARP00000100773	ENSP00000406482
ENSDARP00000082128	ENSP00000406482
ENSDARP00000023050	ENSP00000290902
ENSDARP00000084260	ENSP00000316881
ENSDARP00000021474	ENSP00000323696
ENSDARP00000093602	ENSP00000236040
ENSDARP00000075077	ENSP00000379951
ENSDARP00000106248	ENSP00000253024
ENSDARP00000025140	ENSP00000351250
ENSDARP00000070982	ENSP00000384876
ENSDARP00000126061	ENSP00000419185
ENSDARP00000026697	ENSP00000302630
ENSDARP00000118737	ENSP00000261726
ENSDARP00000046879	ENSP00000417003
ENSDARP00000111622	ENSP00000268676
ENSDARP00000071970	ENSP00000270560
ENSDARP00000095301	ENSP00000305852
ENSDARP00000101294	ENSP00000433102
ENSDARP00000127688	ENSP00000433102
ENSDARP00000101787	ENSP00000373272
ENSDARP00000115995	ENSP00000256649
ENSDARP00000100117	ENSP00000381340
ENSDARP00000068272	ENSP00000381340
ENSDARP00000022906	ENSP00000323714
ENSDARP00000015325	ENSP00000393324
ENSDARP00000109921	ENSP00000318057
ENSDARP00000054459	ENSP00000239938
ENSDARP00000006762	ENSP00000177694
ENSDARP00000019930	ENSP00000374205
ENSDARP00000057621	ENSP00000321951
ENSDARP00000028496	ENSP00000314380
ENSDARP00000094621	ENSP00000387194
ENSDARP00000037871	ENSP00000221476
ENSDARP00000059365	ENSP00000221476
ENSDARP00000108842	ENSP00000357106
ENSDARP00000085223	ENSP00000384193
ENSDARP00000113546	ENSP00000384193
ENSDARP00000099657	ENSP00000222374
ENSDARP00000109589	ENSP00000227348
ENSDARP00000053595	ENSP00000475496
ENSDARP00000011289	ENSP00000307275
ENSDARP00000031172	ENSP00000355387
ENSDARP00000058935	ENSP00000355387
ENSDARP00000105358	ENSP00000316007
ENSDARP00000115425	ENSP00000302177
ENSDARP00000113191	ENSP00000302177
ENSDARP00000121393	ENSP00000324944
ENSDARP00000068385	ENSP00000314196
ENSDARP00000106817	ENSP00000245615
ENSDARP00000103186	ENSP00000261407
ENSDARP00000122775	ENSP00000406052
ENSDARP00000093281	ENSP00000346065
ENSDARP00000127821	ENSP00000346065
ENSDARP00000119878	ENSP00000384376
ENSDARP00000116232	ENSP00000255324
ENSDARP00000053075	ENSP00000414624
ENSDARP00000094733	ENSP00000325674
ENSDARP00000108265	ENSP00000452634
ENSDARP00000090967	ENSP00000284073
ENSDARP00000123512	ENSP00000284073
ENSDARP00000109996	ENSP00000233078
ENSDARP00000074492	ENSP00000257017
ENSDARP00000107565	ENSP00000393987
ENSDARP00000091217	ENSP00000383933
ENSDARP00000084834	ENSP00000295569
ENSDARP00000104039	ENSP00000418575
ENSDARP00000119407	ENSP00000263519
ENSDARP00000127908	ENSP00000263519
ENSDARP00000124236	ENSP00000369677
ENSDARP00000106093	ENSP00000369677
ENSDARP00000122495	ENSP00000335481
ENSDARP00000073490	ENSP00000318234
ENSDARP00000126312	ENSP00000345436
ENSDARP00000102007	ENSP00000345436
ENSDARP00000119028	ENSP00000396421
ENSDARP00000109716	ENSP00000274289
ENSDARP00000121537	ENSP00000361275
ENSDARP00000124331	ENSP00000253159
ENSDARP00000104082	ENSP00000441823
ENSDARP00000074744	ENSP00000441823
ENSDARP00000102655	ENSP00000251020
ENSDARP00000113388	ENSP00000333537
ENSDARP00000072797	ENSP00000375810
ENSDARP00000110658	ENSP00000399403
