ENSGACP00000003450	ENSMGAP00000004951
ENSGACP00000010158	ENSMGAP00000000085
ENSGACP00000010766	ENSMGAP00000000085
ENSGACP00000014594	ENSMGAP00000018204
ENSGACP00000012065	ENSMGAP00000006390
ENSGACP00000002976	ENSMGAP00000015441
ENSGACP00000009782	ENSMGAP00000000762
ENSGACP00000014610	ENSMGAP00000008714
ENSGACP00000017221	ENSMGAP00000010586
ENSGACP00000006610	ENSMGAP00000008852
ENSGACP00000024519	ENSMGAP00000009255
ENSGACP00000022977	ENSMGAP00000009255
ENSGACP00000002710	ENSMGAP00000008876
ENSGACP00000004756	ENSMGAP00000004670
ENSGACP00000024428	ENSMGAP00000004670
ENSGACP00000008120	ENSMGAP00000003422
ENSGACP00000026911	ENSMGAP00000003422
ENSGACP00000009627	ENSMGAP00000003689
ENSGACP00000026912	ENSMGAP00000003689
ENSGACP00000008126	ENSMGAP00000003725
ENSGACP00000018009	ENSMGAP00000011606
ENSGACP00000026115	ENSMGAP00000011606
ENSGACP00000012368	ENSMGAP00000011689
ENSGACP00000002501	ENSMGAP00000015781
ENSGACP00000024161	ENSMGAP00000009299
ENSGACP00000015186	ENSMGAP00000003710
ENSGACP00000019007	ENSMGAP00000011655
ENSGACP00000009364	ENSMGAP00000008858
ENSGACP00000022283	ENSMGAP00000008858
ENSGACP00000016040	ENSMGAP00000014047
ENSGACP00000023040	ENSMGAP00000011759
ENSGACP00000027323	ENSMGAP00000000744
ENSGACP00000011344	ENSMGAP00000005385
ENSGACP00000007394	ENSMGAP00000005473
ENSGACP00000010244	ENSMGAP00000005473
ENSGACP00000015467	ENSMGAP00000014873
ENSGACP00000012004	ENSMGAP00000004123
ENSGACP00000008427	ENSMGAP00000004123
ENSGACP00000020774	ENSMGAP00000006694
ENSGACP00000019686	ENSMGAP00000012758
ENSGACP00000007393	ENSMGAP00000016378
ENSGACP00000018930	ENSMGAP00000006418
ENSGACP00000022151	ENSMGAP00000006418
ENSGACP00000024490	ENSMGAP00000007499
ENSGACP00000016156	ENSMGAP00000007499
ENSGACP00000026723	ENSMGAP00000002574
ENSGACP00000008971	ENSMGAP00000014767
ENSGACP00000010715	ENSMGAP00000014767
ENSGACP00000009867	ENSMGAP00000004080
ENSGACP00000012507	ENSMGAP00000014427
ENSGACP00000018335	ENSMGAP00000006889
ENSGACP00000003601	ENSMGAP00000002312
ENSGACP00000008287	ENSMGAP00000013161
ENSGACP00000003954	ENSMGAP00000013161
ENSGACP00000008952	ENSMGAP00000010056
ENSGACP00000007269	ENSMGAP00000009371
ENSGACP00000023726	ENSMGAP00000000497
ENSGACP00000009734	ENSMGAP00000007704
ENSGACP00000011957	ENSMGAP00000000859
ENSGACP00000020024	ENSMGAP00000011580
ENSGACP00000020028	ENSMGAP00000019406
ENSGACP00000010507	ENSMGAP00000002371
ENSGACP00000015759	ENSMGAP00000015954
ENSGACP00000027242	ENSMGAP00000015954
ENSGACP00000006238	ENSMGAP00000002720
ENSGACP00000013450	ENSMGAP00000002995
ENSGACP00000007062	ENSMGAP00000013724
ENSGACP00000006011	ENSMGAP00000016876
ENSGACP00000018621	ENSMGAP00000002247
ENSGACP00000025390	ENSMGAP00000014035
ENSGACP00000027075	ENSMGAP00000005660
ENSGACP00000011371	ENSMGAP00000005660
ENSGACP00000014438	ENSMGAP00000008955
ENSGACP00000002482	ENSMGAP00000008955
ENSGACP00000010138	ENSMGAP00000006471
ENSGACP00000002636	ENSMGAP00000009069
ENSGACP00000014484	ENSMGAP00000003984
ENSGACP00000007335	ENSMGAP00000014886
ENSGACP00000014770	ENSMGAP00000011317
ENSGACP00000014945	ENSMGAP00000007542
ENSGACP00000014826	ENSMGAP00000007616
ENSGACP00000001426	ENSMGAP00000014484
ENSGACP00000005705	ENSMGAP00000014484
ENSGACP00000010458	ENSMGAP00000012667
ENSGACP00000007957	ENSMGAP00000012667
ENSGACP00000007626	ENSMGAP00000012872
ENSGACP00000011322	ENSMGAP00000004677
ENSGACP00000021331	ENSMGAP00000003309
ENSGACP00000013049	ENSMGAP00000003309
ENSGACP00000019148	ENSMGAP00000005030
ENSGACP00000019139	ENSMGAP00000017043
ENSGACP00000021558	ENSMGAP00000010091
ENSGACP00000025677	ENSMGAP00000010091
ENSGACP00000015799	ENSMGAP00000005287
ENSGACP00000000812	ENSMGAP00000012887
ENSGACP00000021467	ENSMGAP00000006474
ENSGACP00000006721	ENSMGAP00000001538
ENSGACP00000012822	ENSMGAP00000001538
ENSGACP00000025732	ENSMGAP00000011398
ENSGACP00000022562	ENSMGAP00000001897
ENSGACP00000011924	ENSMGAP00000009060
ENSGACP00000008097	ENSMGAP00000004606
ENSGACP00000013458	ENSMGAP00000004606
ENSGACP00000012763	ENSMGAP00000000642
ENSGACP00000002436	ENSMGAP00000009313
ENSGACP00000023501	ENSMGAP00000008536
ENSGACP00000001210	ENSMGAP00000007353
ENSGACP00000014637	ENSMGAP00000016272
ENSGACP00000017766	ENSMGAP00000009488
ENSGACP00000026775	ENSMGAP00000006249
ENSGACP00000017720	ENSMGAP00000008115
ENSGACP00000023168	ENSMGAP00000008115
ENSGACP00000000388	ENSMGAP00000005020
ENSGACP00000010687	ENSMGAP00000005020
ENSGACP00000027546	ENSMGAP00000016743
ENSGACP00000022436	ENSMGAP00000010642
ENSGACP00000009783	ENSMGAP00000003290
ENSGACP00000022395	ENSMGAP00000010616
ENSGACP00000016553	ENSMGAP00000010616
ENSGACP00000013794	ENSMGAP00000014760
ENSGACP00000002583	ENSMGAP00000014760
ENSGACP00000008851	ENSMGAP00000013176
ENSGACP00000011962	ENSMGAP00000014789
ENSGACP00000021742	ENSMGAP00000010924
ENSGACP00000007476	ENSMGAP00000008195
ENSGACP00000002768	ENSMGAP00000008829
ENSGACP00000008862	ENSMGAP00000013287
ENSGACP00000002243	ENSMGAP00000016002
ENSGACP00000023563	ENSMGAP00000004273
ENSGACP00000004347	ENSMGAP00000004013
ENSGACP00000024642	ENSMGAP00000006825
ENSGACP00000023961	ENSMGAP00000010088
ENSGACP00000010920	ENSMGAP00000013864
ENSGACP00000020256	ENSMGAP00000003424
ENSGACP00000018674	ENSMGAP00000014323
ENSGACP00000001541	ENSMGAP00000008303
ENSGACP00000025293	ENSMGAP00000013753
ENSGACP00000021244	ENSMGAP00000015086
ENSGACP00000015197	ENSMGAP00000001419
ENSGACP00000010883	ENSMGAP00000003442
ENSGACP00000010157	ENSMGAP00000001207
ENSGACP00000016455	ENSMGAP00000017075
ENSGACP00000011325	ENSMGAP00000009053
ENSGACP00000019984	ENSMGAP00000009053
ENSGACP00000007247	ENSMGAP00000011324
ENSGACP00000008515	ENSMGAP00000019123
ENSGACP00000010891	ENSMGAP00000019123
ENSGACP00000027174	ENSMGAP00000015982
ENSGACP00000023717	ENSMGAP00000012956
ENSGACP00000003615	ENSMGAP00000012051
ENSGACP00000005917	ENSMGAP00000005889
ENSGACP00000024117	ENSMGAP00000010883
ENSGACP00000018050	ENSMGAP00000008681
ENSGACP00000018757	ENSMGAP00000005466
ENSGACP00000020047	ENSMGAP00000013654
ENSGACP00000007585	ENSMGAP00000013654
ENSGACP00000026129	ENSMGAP00000012674
ENSGACP00000003547	ENSMGAP00000008615
ENSGACP00000019183	ENSMGAP00000002974
ENSGACP00000018705	ENSMGAP00000012582
ENSGACP00000025486	ENSMGAP00000009859
ENSGACP00000016795	ENSMGAP00000009859
ENSGACP00000025138	ENSMGAP00000018681
ENSGACP00000011755	ENSMGAP00000018681
ENSGACP00000002674	ENSMGAP00000009417
ENSGACP00000018076	ENSMGAP00000013979
ENSGACP00000022972	ENSMGAP00000008333
ENSGACP00000024356	ENSMGAP00000004205
ENSGACP00000011466	ENSMGAP00000001548
ENSGACP00000003847	ENSMGAP00000015665
ENSGACP00000022310	ENSMGAP00000007322
ENSGACP00000021571	ENSMGAP00000012013
ENSGACP00000021553	ENSMGAP00000012026
ENSGACP00000023675	ENSMGAP00000005302
ENSGACP00000009161	ENSMGAP00000005302
ENSGACP00000022606	ENSMGAP00000016750
ENSGACP00000003183	ENSMGAP00000004470
ENSGACP00000011082	ENSMGAP00000004470
ENSGACP00000023531	ENSMGAP00000010142
ENSGACP00000008056	ENSMGAP00000002069
ENSGACP00000009168	ENSMGAP00000002069
ENSGACP00000022048	ENSMGAP00000004515
ENSGACP00000011656	ENSMGAP00000000834
ENSGACP00000021346	ENSMGAP00000017435
ENSGACP00000005446	ENSMGAP00000018236
ENSGACP00000017279	ENSMGAP00000010087
ENSGACP00000006884	ENSMGAP00000003283
ENSGACP00000002114	ENSMGAP00000011665
ENSGACP00000019214	ENSMGAP00000011513
ENSGACP00000023011	ENSMGAP00000016934
ENSGACP00000017178	ENSMGAP00000018477
ENSGACP00000021150	ENSMGAP00000012426
ENSGACP00000026689	ENSMGAP00000015431
ENSGACP00000012092	ENSMGAP00000004052
ENSGACP00000023826	ENSMGAP00000007852
ENSGACP00000021508	ENSMGAP00000007852
ENSGACP00000015893	ENSMGAP00000012793
ENSGACP00000019478	ENSMGAP00000012793
ENSGACP00000012018	ENSMGAP00000010423
ENSGACP00000000954	ENSMGAP00000010423
ENSGACP00000003981	ENSMGAP00000006493
ENSGACP00000023947	ENSMGAP00000002459
ENSGACP00000019749	ENSMGAP00000007000
ENSGACP00000024168	ENSMGAP00000005320
ENSGACP00000009082	ENSMGAP00000012292
ENSGACP00000022777	ENSMGAP00000003179
ENSGACP00000018775	ENSMGAP00000012498
ENSGACP00000017417	ENSMGAP00000011284
ENSGACP00000027504	ENSMGAP00000004359
ENSGACP00000002229	ENSMGAP00000010368
ENSGACP00000014456	ENSMGAP00000010368
ENSGACP00000013539	ENSMGAP00000011345
ENSGACP00000014073	ENSMGAP00000017489
ENSGACP00000022298	ENSMGAP00000005791
ENSGACP00000010265	ENSMGAP00000000187
ENSGACP00000009778	ENSMGAP00000000187
ENSGACP00000015141	ENSMGAP00000003686
ENSGACP00000005329	ENSMGAP00000014073
ENSGACP00000023030	ENSMGAP00000010967
ENSGACP00000013038	ENSMGAP00000003799
ENSGACP00000020549	ENSMGAP00000019424
ENSGACP00000015912	ENSMGAP00000006182
ENSGACP00000026330	ENSMGAP00000019133
ENSGACP00000015764	ENSMGAP00000016530
ENSGACP00000027003	ENSMGAP00000016530
ENSGACP00000022490	ENSMGAP00000001734
ENSGACP00000022529	ENSMGAP00000007819
ENSGACP00000025239	ENSMGAP00000013445
ENSGACP00000009059	ENSMGAP00000013445
ENSGACP00000014363	ENSMGAP00000019781
ENSGACP00000027136	ENSMGAP00000019781
ENSGACP00000018567	ENSMGAP00000016437
ENSGACP00000023567	ENSMGAP00000017228
ENSGACP00000024371	ENSMGAP00000017228
ENSGACP00000010873	ENSMGAP00000016406
ENSGACP00000005024	ENSMGAP00000000443
ENSGACP00000027593	ENSMGAP00000007199
ENSGACP00000013327	ENSMGAP00000010914
ENSGACP00000018279	ENSMGAP00000010914
ENSGACP00000006461	ENSMGAP00000005390
ENSGACP00000022880	ENSMGAP00000008577
ENSGACP00000024592	ENSMGAP00000008577
ENSGACP00000003771	ENSMGAP00000008400
ENSGACP00000002157	ENSMGAP00000008400
ENSGACP00000006853	ENSMGAP00000002200
ENSGACP00000002749	ENSMGAP00000008339
ENSGACP00000009150	ENSMGAP00000009787
ENSGACP00000023632	ENSMGAP00000005690
ENSGACP00000013757	ENSMGAP00000003532
ENSGACP00000011965	ENSMGAP00000002285
ENSGACP00000008707	ENSMGAP00000003792
ENSGACP00000001910	ENSMGAP00000002136
ENSGACP00000007127	ENSMGAP00000009274
ENSGACP00000020929	ENSMGAP00000005995
ENSGACP00000000447	ENSMGAP00000019673
ENSGACP00000022776	ENSMGAP00000018341
ENSGACP00000013315	ENSMGAP00000013737
ENSGACP00000008151	ENSMGAP00000014138
ENSGACP00000013188	ENSMGAP00000010085
ENSGACP00000014372	ENSMGAP00000014303
ENSGACP00000016187	ENSMGAP00000003393
ENSGACP00000014581	ENSMGAP00000011526
ENSGACP00000019677	ENSMGAP00000012814
ENSGACP00000004083	ENSMGAP00000011679
ENSGACP00000005781	ENSMGAP00000011679
ENSGACP00000014663	ENSMGAP00000007789
ENSGACP00000013881	ENSMGAP00000003057
ENSGACP00000021151	ENSMGAP00000000986
ENSGACP00000014852	ENSMGAP00000002904
ENSGACP00000024470	ENSMGAP00000006908
ENSGACP00000008949	ENSMGAP00000013141
ENSGACP00000018462	ENSMGAP00000009656
ENSGACP00000023022	ENSMGAP00000007799
ENSGACP00000020220	ENSMGAP00000015733
ENSGACP00000020796	ENSMGAP00000006170
ENSGACP00000018045	ENSMGAP00000015182
ENSGACP00000020202	ENSMGAP00000015182
ENSGACP00000019892	ENSMGAP00000008545
ENSGACP00000020784	ENSMGAP00000008887
ENSGACP00000016165	ENSMGAP00000008887
ENSGACP00000007257	ENSMGAP00000001786
ENSGACP00000003332	ENSMGAP00000001786
ENSGACP00000014657	ENSMGAP00000009648
ENSGACP00000021601	ENSMGAP00000003766
ENSGACP00000005673	ENSMGAP00000015790
ENSGACP00000018309	ENSMGAP00000015790
ENSGACP00000020761	ENSMGAP00000003647
ENSGACP00000000023	ENSMGAP00000003351
ENSGACP00000011075	ENSMGAP00000003198
ENSGACP00000017025	ENSMGAP00000013062
ENSGACP00000022262	ENSMGAP00000008325
ENSGACP00000017069	ENSMGAP00000014066
ENSGACP00000001537	ENSMGAP00000008904
ENSGACP00000013067	ENSMGAP00000019426
ENSGACP00000007024	ENSMGAP00000011684
ENSGACP00000002168	ENSMGAP00000006542
ENSGACP00000019076	ENSMGAP00000010260
ENSGACP00000017596	ENSMGAP00000014993
ENSGACP00000024684	ENSMGAP00000008086
ENSGACP00000011332	ENSMGAP00000005024
ENSGACP00000018570	ENSMGAP00000009827
ENSGACP00000007863	ENSMGAP00000001561
ENSGACP00000017301	ENSMGAP00000002954
ENSGACP00000004232	ENSMGAP00000000108
ENSGACP00000006403	ENSMGAP00000003907
ENSGACP00000000415	ENSMGAP00000000402
ENSGACP00000027353	ENSMGAP00000015144
ENSGACP00000021996	ENSMGAP00000009393
ENSGACP00000008387	ENSMGAP00000009074
ENSGACP00000003296	ENSMGAP00000002614
ENSGACP00000000699	ENSMGAP00000017667
ENSGACP00000016034	ENSMGAP00000012381
ENSGACP00000004151	ENSMGAP00000011841
ENSGACP00000023997	ENSMGAP00000003649
ENSGACP00000010622	ENSMGAP00000010597
ENSGACP00000016125	ENSMGAP00000002082
ENSGACP00000014496	ENSMGAP00000019772
ENSGACP00000018285	ENSMGAP00000015789
ENSGACP00000005651	ENSMGAP00000015789
ENSGACP00000019208	ENSMGAP00000012602
