ENSGALP00000006197	ENSDARP00000074624
ENSGALP00000016547	ENSDARP00000111457
ENSGALP00000021543	ENSDARP00000013157
ENSGALP00000003847	ENSDARP00000052440
ENSGALP00000008131	ENSDARP00000105799
ENSGALP00000035892	ENSDARP00000107372
ENSGALP00000010428	ENSDARP00000107947
ENSGALP00000010428	ENSDARP00000053660
ENSGALP00000025899	ENSDARP00000114340
ENSGALP00000026322	ENSDARP00000056104
ENSGALP00000013796	ENSDARP00000098075
ENSGALP00000013796	ENSDARP00000089131
ENSGALP00000043032	ENSDARP00000069080
ENSGALP00000005571	ENSDARP00000017762
ENSGALP00000006299	ENSDARP00000003829
ENSGALP00000038075	ENSDARP00000036828
ENSGALP00000038075	ENSDARP00000082250
ENSGALP00000000412	ENSDARP00000123474
ENSGALP00000039341	ENSDARP00000049623
ENSGALP00000008661	ENSDARP00000105575
ENSGALP00000040060	ENSDARP00000055224
ENSGALP00000018503	ENSDARP00000005680
ENSGALP00000041815	ENSDARP00000052060
ENSGALP00000007547	ENSDARP00000129116
ENSGALP00000039976	ENSDARP00000113959
ENSGALP00000039976	ENSDARP00000074144
ENSGALP00000017701	ENSDARP00000079823
ENSGALP00000018224	ENSDARP00000104791
ENSGALP00000013191	ENSDARP00000079585
ENSGALP00000017290	ENSDARP00000127915
ENSGALP00000027271	ENSDARP00000108980
ENSGALP00000010863	ENSDARP00000019171
ENSGALP00000010863	ENSDARP00000098897
ENSGALP00000009806	ENSDARP00000039553
ENSGALP00000027267	ENSDARP00000052983
ENSGALP00000003684	ENSDARP00000106138
ENSGALP00000032215	ENSDARP00000121158
ENSGALP00000032215	ENSDARP00000102048
ENSGALP00000017678	ENSDARP00000063051
ENSGALP00000001334	ENSDARP00000081844
ENSGALP00000010979	ENSDARP00000115372
ENSGALP00000039924	ENSDARP00000115965
ENSGALP00000019325	ENSDARP00000112407
ENSGALP00000005090	ENSDARP00000013006
ENSGALP00000002366	ENSDARP00000064825
ENSGALP00000038404	ENSDARP00000040837
ENSGALP00000013052	ENSDARP00000127476
ENSGALP00000020571	ENSDARP00000099506
ENSGALP00000006182	ENSDARP00000015394
ENSGALP00000035907	ENSDARP00000110909
ENSGALP00000038563	ENSDARP00000013506
ENSGALP00000038563	ENSDARP00000117090
ENSGALP00000007976	ENSDARP00000102910
ENSGALP00000010958	ENSDARP00000012147
ENSGALP00000008112	ENSDARP00000104859
ENSGALP00000006300	ENSDARP00000053426
ENSGALP00000013714	ENSDARP00000075572
ENSGALP00000014734	ENSDARP00000091375
ENSGALP00000000973	ENSDARP00000002635
ENSGALP00000018656	ENSDARP00000093844
ENSGALP00000041492	ENSDARP00000108255
ENSGALP00000026677	ENSDARP00000073523
ENSGALP00000006782	ENSDARP00000030625
ENSGALP00000012265	ENSDARP00000014061
ENSGALP00000012265	ENSDARP00000054692
ENSGALP00000009612	ENSDARP00000084007
ENSGALP00000010281	ENSDARP00000124333
ENSGALP00000010281	ENSDARP00000099556
ENSGALP00000022282	ENSDARP00000118167
ENSGALP00000022282	ENSDARP00000129724
ENSGALP00000036082	ENSDARP00000091436
ENSGALP00000014065	ENSDARP00000109870
ENSGALP00000033098	ENSDARP00000110473
ENSGALP00000010325	ENSDARP00000129124
ENSGALP00000000810	ENSDARP00000070686
ENSGALP00000025626	ENSDARP00000092253
ENSGALP00000005576	ENSDARP00000055491
ENSGALP00000000239	ENSDARP00000106457
ENSGALP00000007948	ENSDARP00000012791
ENSGALP00000000530	ENSDARP00000056073
ENSGALP00000011453	ENSDARP00000105119
ENSGALP00000018774	ENSDARP00000111869
ENSGALP00000018209	ENSDARP00000059618
ENSGALP00000014878	ENSDARP00000106564
ENSGALP00000019882	ENSDARP00000022147
ENSGALP00000041356	ENSDARP00000066366
ENSGALP00000041356	ENSDARP00000095220
ENSGALP00000013781	ENSDARP00000099181
ENSGALP00000013726	ENSDARP00000100931
ENSGALP00000013726	ENSDARP00000127731
ENSGALP00000020311	ENSDARP00000027644
ENSGALP00000020307	ENSDARP00000019674
ENSGALP00000020307	ENSDARP00000056452
ENSGALP00000018675	ENSDARP00000068816
ENSGALP00000018675	ENSDARP00000019643
ENSGALP00000027075	ENSDARP00000122397
ENSGALP00000027075	ENSDARP00000129467
ENSGALP00000008481	ENSDARP00000053606
ENSGALP00000014663	ENSDARP00000057298
ENSGALP00000014663	ENSDARP00000063586
ENSGALP00000008104	ENSDARP00000064460
ENSGALP00000014672	ENSDARP00000116789
ENSGALP00000016015	ENSDARP00000022487
ENSGALP00000041013	ENSDARP00000052075
ENSGALP00000025920	ENSDARP00000074794
ENSGALP00000009133	ENSDARP00000025373
ENSGALP00000023682	ENSDARP00000046044
ENSGALP00000003295	ENSDARP00000063985
ENSGALP00000005914	ENSDARP00000058305
ENSGALP00000005914	ENSDARP00000062984
ENSGALP00000005933	ENSDARP00000117105
ENSGALP00000037396	ENSDARP00000069251
ENSGALP00000014673	ENSDARP00000109601
ENSGALP00000013448	ENSDARP00000091774
ENSGALP00000013448	ENSDARP00000104127
ENSGALP00000024083	ENSDARP00000092792
ENSGALP00000019723	ENSDARP00000010917
ENSGALP00000011296	ENSDARP00000101279
ENSGALP00000011296	ENSDARP00000001617
ENSGALP00000023592	ENSDARP00000097628
ENSGALP00000023592	ENSDARP00000080655
ENSGALP00000014112	ENSDARP00000097784
ENSGALP00000041748	ENSDARP00000098809
ENSGALP00000010121	ENSDARP00000020703
ENSGALP00000018337	ENSDARP00000072810
ENSGALP00000017274	ENSDARP00000039916
ENSGALP00000017274	ENSDARP00000109890
ENSGALP00000010722	ENSDARP00000079273
ENSGALP00000041770	ENSDARP00000123999
ENSGALP00000040940	ENSDARP00000107734
ENSGALP00000005190	ENSDARP00000083765
ENSGALP00000033380	ENSDARP00000047652
ENSGALP00000015469	ENSDARP00000081855
ENSGALP00000011904	ENSDARP00000076606
ENSGALP00000011904	ENSDARP00000025648
ENSGALP00000000058	ENSDARP00000098282
ENSGALP00000014581	ENSDARP00000011426
ENSGALP00000018258	ENSDARP00000109709
ENSGALP00000018258	ENSDARP00000045814
ENSGALP00000042267	ENSDARP00000060763
ENSGALP00000026355	ENSDARP00000046463
ENSGALP00000005166	ENSDARP00000094247
ENSGALP00000005166	ENSDARP00000069273
ENSGALP00000026192	ENSDARP00000091908
ENSGALP00000018821	ENSDARP00000014920
ENSGALP00000010760	ENSDARP00000106281
ENSGALP00000010760	ENSDARP00000108347
ENSGALP00000041626	ENSDARP00000068196
ENSGALP00000018856	ENSDARP00000088385
ENSGALP00000016984	ENSDARP00000120338
ENSGALP00000041658	ENSDARP00000064175
ENSGALP00000042394	ENSDARP00000006800
ENSGALP00000018378	ENSDARP00000031665
ENSGALP00000012308	ENSDARP00000050948
ENSGALP00000032209	ENSDARP00000078459
ENSGALP00000011089	ENSDARP00000106886
ENSGALP00000042413	ENSDARP00000078354
ENSGALP00000007956	ENSDARP00000089497
ENSGALP00000020873	ENSDARP00000075190
ENSGALP00000041496	ENSDARP00000117865
ENSGALP00000013164	ENSDARP00000045678
ENSGALP00000013164	ENSDARP00000109120
ENSGALP00000012087	ENSDARP00000122069
ENSGALP00000030077	ENSDARP00000068002
ENSGALP00000040977	ENSDARP00000114765
ENSGALP00000013575	ENSDARP00000128272
ENSGALP00000015542	ENSDARP00000059513
ENSGALP00000015542	ENSDARP00000067176
ENSGALP00000025631	ENSDARP00000093008
ENSGALP00000025631	ENSDARP00000079805
ENSGALP00000038530	ENSDARP00000077949
ENSGALP00000010290	ENSDARP00000026364
ENSGALP00000036578	ENSDARP00000028379
ENSGALP00000043451	ENSDARP00000075251
ENSGALP00000043451	ENSDARP00000071623
ENSGALP00000036574	ENSDARP00000110487
ENSGALP00000036574	ENSDARP00000030834
ENSGALP00000025071	ENSDARP00000114103
ENSGALP00000018782	ENSDARP00000069214
ENSGALP00000025254	ENSDARP00000116818
ENSGALP00000040460	ENSDARP00000077905
ENSGALP00000038910	ENSDARP00000118891
ENSGALP00000038910	ENSDARP00000103999
ENSGALP00000020137	ENSDARP00000106287
ENSGALP00000024720	ENSDARP00000126959
ENSGALP00000041141	ENSDARP00000075402
ENSGALP00000041417	ENSDARP00000015303
ENSGALP00000041417	ENSDARP00000109941
ENSGALP00000016518	ENSDARP00000089603
ENSGALP00000026350	ENSDARP00000077021
ENSGALP00000024556	ENSDARP00000083042
ENSGALP00000040830	ENSDARP00000104940
ENSGALP00000043176	ENSDARP00000067932
ENSGALP00000026399	ENSDARP00000061163
ENSGALP00000023990	ENSDARP00000061134
ENSGALP00000040961	ENSDARP00000119520
ENSGALP00000001914	ENSDARP00000035859
ENSGALP00000030892	ENSDARP00000030813
ENSGALP00000025760	ENSDARP00000088399
ENSGALP00000007523	ENSDARP00000014010
ENSGALP00000025221	ENSDARP00000040307
ENSGALP00000003035	ENSDARP00000039821
ENSGALP00000003035	ENSDARP00000011705
ENSGALP00000043302	ENSDARP00000117905
ENSGALP00000037618	ENSDARP00000006334
ENSGALP00000037618	ENSDARP00000109638
ENSGALP00000009621	ENSDARP00000114769
ENSGALP00000017259	ENSDARP00000029675
ENSGALP00000042449	ENSDARP00000072911
ENSGALP00000011148	ENSDARP00000066933
ENSGALP00000013380	ENSDARP00000092355
ENSGALP00000040755	ENSDARP00000001039
ENSGALP00000010493	ENSDARP00000095486
ENSGALP00000010493	ENSDARP00000080646
ENSGALP00000027876	ENSDARP00000098618
ENSGALP00000002287	ENSDARP00000098684
ENSGALP00000001583	ENSDARP00000111989
ENSGALP00000013830	ENSDARP00000111319
ENSGALP00000016475	ENSDARP00000097773
ENSGALP00000002721	ENSDARP00000108057
ENSGALP00000020611	ENSDARP00000032295
ENSGALP00000007049	ENSDARP00000126208
ENSGALP00000041378	ENSDARP00000101821
ENSGALP00000001317	ENSDARP00000066188
ENSGALP00000001317	ENSDARP00000116649
ENSGALP00000042939	ENSDARP00000111119
ENSGALP00000008256	ENSDARP00000121795
ENSGALP00000005438	ENSDARP00000068089
ENSGALP00000026019	ENSDARP00000094167
ENSGALP00000008107	ENSDARP00000024335
ENSGALP00000008107	ENSDARP00000090686
ENSGALP00000012178	ENSDARP00000069315
ENSGALP00000010477	ENSDARP00000097889
ENSGALP00000010477	ENSDARP00000098001
ENSGALP00000026323	ENSDARP00000124695
ENSGALP00000002718	ENSDARP00000120365
ENSGALP00000011876	ENSDARP00000082784
ENSGALP00000024312	ENSDARP00000067629
ENSGALP00000024312	ENSDARP00000085044
ENSGALP00000009724	ENSDARP00000007836
ENSGALP00000007174	ENSDARP00000018632
ENSGALP00000007174	ENSDARP00000045932
ENSGALP00000011976	ENSDARP00000095328
ENSGALP00000011976	ENSDARP00000032601
ENSGALP00000024855	ENSDARP00000092425
ENSGALP00000042850	ENSDARP00000101478
ENSGALP00000033652	ENSDARP00000092068
ENSGALP00000011971	ENSDARP00000084700
ENSGALP00000011971	ENSDARP00000079303
ENSGALP00000033649	ENSDARP00000103451
ENSGALP00000017858	ENSDARP00000051104
ENSGALP00000017858	ENSDARP00000067260
ENSGALP00000018235	ENSDARP00000128595
ENSGALP00000027206	ENSDARP00000109667
ENSGALP00000006738	ENSDARP00000094710
ENSGALP00000024953	ENSDARP00000117556
ENSGALP00000041666	ENSDARP00000095187
ENSGALP00000041666	ENSDARP00000026805
ENSGALP00000023925	ENSDARP00000069597
ENSGALP00000042630	ENSDARP00000109180
ENSGALP00000022679	ENSDARP00000093113
ENSGALP00000003973	ENSDARP00000091828
ENSGALP00000039901	ENSDARP00000057524
ENSGALP00000022198	ENSDARP00000077702
ENSGALP00000022198	ENSDARP00000080290
ENSGALP00000026568	ENSDARP00000101110
ENSGALP00000004444	ENSDARP00000073439
ENSGALP00000021570	ENSDARP00000106240
ENSGALP00000018510	ENSDARP00000118753
ENSGALP00000040814	ENSDARP00000098491
ENSGALP00000040814	ENSDARP00000055022
ENSGALP00000002373	ENSDARP00000121065
ENSGALP00000026331	ENSDARP00000076873
ENSGALP00000003970	ENSDARP00000093925
ENSGALP00000019842	ENSDARP00000066410
ENSGALP00000043429	ENSDARP00000086549
ENSGALP00000040906	ENSDARP00000107675
ENSGALP00000015517	ENSDARP00000093555
ENSGALP00000042261	ENSDARP00000092351
ENSGALP00000003190	ENSDARP00000073394
ENSGALP00000000626	ENSDARP00000102728
ENSGALP00000032471	ENSDARP00000098758
ENSGALP00000018165	ENSDARP00000011500
ENSGALP00000006610	ENSDARP00000119695
ENSGALP00000027477	ENSDARP00000107042
ENSGALP00000027477	ENSDARP00000121180
ENSGALP00000034251	ENSDARP00000120230
ENSGALP00000002224	ENSDARP00000083949
ENSGALP00000003207	ENSDARP00000064746
ENSGALP00000041121	ENSDARP00000108993
ENSGALP00000042973	ENSDARP00000064832
ENSGALP00000020036	ENSDARP00000044859
ENSGALP00000006645	ENSDARP00000118205
ENSGALP00000021021	ENSDARP00000106725
ENSGALP00000014400	ENSDARP00000047006
ENSGALP00000007061	ENSDARP00000091933
ENSGALP00000034297	ENSDARP00000070437
ENSGALP00000009628	ENSDARP00000058513
ENSGALP00000009628	ENSDARP00000098418
ENSGALP00000020540	ENSDARP00000025120
ENSGALP00000039900	ENSDARP00000116922
ENSGALP00000026608	ENSDARP00000094377
ENSGALP00000005861	ENSDARP00000102140
ENSGALP00000038626	ENSDARP00000059885
ENSGALP00000010237	ENSDARP00000048506
ENSGALP00000041792	ENSDARP00000013329
ENSGALP00000041792	ENSDARP00000106067
ENSGALP00000015662	ENSDARP00000012255
ENSGALP00000015662	ENSDARP00000087115
ENSGALP00000018239	ENSDARP00000102127
ENSGALP00000005183	ENSDARP00000070464
ENSGALP00000023854	ENSDARP00000093348
ENSGALP00000023854	ENSDARP00000051004
ENSGALP00000037648	ENSDARP00000108943
ENSGALP00000043296	ENSDARP00000002460
ENSGALP00000002940	ENSDARP00000055349
ENSGALP00000042395	ENSDARP00000085707
ENSGALP00000019701	ENSDARP00000103082
ENSGALP00000004449	ENSDARP00000073434
ENSGALP00000003605	ENSDARP00000107971
ENSGALP00000004366	ENSDARP00000112846
ENSGALP00000000423	ENSDARP00000048886
ENSGALP00000000423	ENSDARP00000002532
ENSGALP00000043387	ENSDARP00000014325
ENSGALP00000006426	ENSDARP00000053403
ENSGALP00000014860	ENSDARP00000091516
ENSGALP00000041570	ENSDARP00000069657
ENSGALP00000041570	ENSDARP00000123484
ENSGALP00000041590	ENSDARP00000129096
ENSGALP00000019663	ENSDARP00000033122
ENSGALP00000008547	ENSDARP00000069870
ENSGALP00000025200	ENSDARP00000050176
ENSGALP00000008787	ENSDARP00000105882
ENSGALP00000010774	ENSDARP00000014980
ENSGALP00000010774	ENSDARP00000108067
ENSGALP00000041595	ENSDARP00000065669
ENSGALP00000033543	ENSDARP00000118761
ENSGALP00000033543	ENSDARP00000129035
ENSGALP00000038111	ENSDARP00000111556
ENSGALP00000038111	ENSDARP00000111169
ENSGALP00000027991	ENSDARP00000113432
ENSGALP00000033249	ENSDARP00000121566
ENSGALP00000000223	ENSDARP00000093285
ENSGALP00000000223	ENSDARP00000101777
ENSGALP00000006462	ENSDARP00000099736
ENSGALP00000015273	ENSDARP00000106854
ENSGALP00000003483	ENSDARP00000112558
ENSGALP00000043309	ENSDARP00000018055
ENSGALP00000043309	ENSDARP00000117469
ENSGALP00000015251	ENSDARP00000010335
ENSGALP00000015251	ENSDARP00000100341
ENSGALP00000023027	ENSDARP00000058495
ENSGALP00000043336	ENSDARP00000128615
ENSGALP00000042407	ENSDARP00000016314
ENSGALP00000013449	ENSDARP00000046688
ENSGALP00000009483	ENSDARP00000014840
ENSGALP00000037994	ENSDARP00000042677
ENSGALP00000041928	ENSDARP00000043315
ENSGALP00000002864	ENSDARP00000064900
ENSGALP00000027996	ENSDARP00000043161
ENSGALP00000025409	ENSDARP00000123784
ENSGALP00000004574	ENSDARP00000023124
ENSGALP00000004574	ENSDARP00000019093
ENSGALP00000018252	ENSDARP00000104305
ENSGALP00000025261	ENSDARP00000099211
ENSGALP00000024026	ENSDARP00000065555
ENSGALP00000038592	ENSDARP00000105864
ENSGALP00000038592	ENSDARP00000079991
ENSGALP00000001365	ENSDARP00000013812
ENSGALP00000010316	ENSDARP00000102404
ENSGALP00000012240	ENSDARP00000117778
ENSGALP00000014104	ENSDARP00000061155
ENSGALP00000014104	ENSDARP00000082723
ENSGALP00000032500	ENSDARP00000089458
ENSGALP00000021356	ENSDARP00000051165
ENSGALP00000021356	ENSDARP00000042171
ENSGALP00000043046	ENSDARP00000062698
ENSGALP00000027517	ENSDARP00000124944
ENSGALP00000023080	ENSDARP00000100285
ENSGALP00000043303	ENSDARP00000066702
ENSGALP00000043303	ENSDARP00000104887
ENSGALP00000006759	ENSDARP00000065852
ENSGALP00000006759	ENSDARP00000066124
ENSGALP00000013398	ENSDARP00000015825
ENSGALP00000009076	ENSDARP00000005989
ENSGALP00000013225	ENSDARP00000119398
ENSGALP00000020504	ENSDARP00000105402
ENSGALP00000018059	ENSDARP00000111705
ENSGALP00000041481	ENSDARP00000111440
ENSGALP00000001743	ENSDARP00000102258
ENSGALP00000027184	ENSDARP00000024256
ENSGALP00000022799	ENSDARP00000019940
ENSGALP00000015323	ENSDARP00000113054
ENSGALP00000038332	ENSDARP00000101191
ENSGALP00000014475	ENSDARP00000098560
ENSGALP00000020966	ENSDARP00000011155
ENSGALP00000001800	ENSDARP00000106616
ENSGALP00000007477	ENSDARP00000074797
ENSGALP00000018083	ENSDARP00000065205
ENSGALP00000027001	ENSDARP00000123093
ENSGALP00000009513	ENSDARP00000000748
ENSGALP00000042648	ENSDARP00000098822
ENSGALP00000017612	ENSDARP00000119169
ENSGALP00000017617	ENSDARP00000057735
ENSGALP00000023901	ENSDARP00000114284
ENSGALP00000023901	ENSDARP00000118698
ENSGALP00000013735	ENSDARP00000108405
ENSGALP00000039792	ENSDARP00000101408
ENSGALP00000039792	ENSDARP00000127739
ENSGALP00000024866	ENSDARP00000044370
ENSGALP00000005919	ENSDARP00000101166
ENSGALP00000024366	ENSDARP00000129043
ENSGALP00000013389	ENSDARP00000107840
ENSGALP00000003108	ENSDARP00000068009
ENSGALP00000003108	ENSDARP00000107380
ENSGALP00000018057	ENSDARP00000082438
ENSGALP00000000236	ENSDARP00000028924
ENSGALP00000000236	ENSDARP00000127120
ENSGALP00000041758	ENSDARP00000124923
ENSGALP00000005918	ENSDARP00000073110
ENSGALP00000024965	ENSDARP00000020000
ENSGALP00000024844	ENSDARP00000113850
ENSGALP00000036419	ENSDARP00000101760
ENSGALP00000040927	ENSDARP00000043125
ENSGALP00000033747	ENSDARP00000107242
ENSGALP00000025962	ENSDARP00000106580
ENSGALP00000012668	ENSDARP00000073959
ENSGALP00000024856	ENSDARP00000007186
ENSGALP00000042108	ENSDARP00000023293
ENSGALP00000042108	ENSDARP00000109007
ENSGALP00000018540	ENSDARP00000074529
ENSGALP00000018540	ENSDARP00000121140
ENSGALP00000039156	ENSDARP00000091084
ENSGALP00000021333	ENSDARP00000013960
ENSGALP00000008742	ENSDARP00000005772
ENSGALP00000031700	ENSDARP00000074907
ENSGALP00000017812	ENSDARP00000073367
ENSGALP00000016052	ENSDARP00000101307
ENSGALP00000031452	ENSDARP00000066677
ENSGALP00000015855	ENSDARP00000111926
ENSGALP00000006706	ENSDARP00000056522
ENSGALP00000006708	ENSDARP00000057637
ENSGALP00000042434	ENSDARP00000112428
ENSGALP00000014921	ENSDARP00000122149
ENSGALP00000016865	ENSDARP00000087565
ENSGALP00000034548	ENSDARP00000026726
ENSGALP00000034548	ENSDARP00000069945
ENSGALP00000006699	ENSDARP00000110892
ENSGALP00000023943	ENSDARP00000027703
ENSGALP00000022517	ENSDARP00000089585
ENSGALP00000023842	ENSDARP00000087966
ENSGALP00000042744	ENSDARP00000123346
ENSGALP00000042744	ENSDARP00000122328
ENSGALP00000021227	ENSDARP00000098249
ENSGALP00000009416	ENSDARP00000115648
ENSGALP00000000835	ENSDARP00000082852
ENSGALP00000013472	ENSDARP00000086016
ENSGALP00000021851	ENSDARP00000009248
ENSGALP00000041822	ENSDARP00000103866
ENSGALP00000041822	ENSDARP00000107114
ENSGALP00000027470	ENSDARP00000087386
ENSGALP00000009065	ENSDARP00000072649
ENSGALP00000014081	ENSDARP00000120829
ENSGALP00000020470	ENSDARP00000064077
ENSGALP00000034313	ENSDARP00000072426
ENSGALP00000034313	ENSDARP00000024471
ENSGALP00000037969	ENSDARP00000054597
ENSGALP00000037969	ENSDARP00000068226
ENSGALP00000029689	ENSDARP00000083002
ENSGALP00000002266	ENSDARP00000051665
ENSGALP00000008101	ENSDARP00000063550
ENSGALP00000015507	ENSDARP00000109769
ENSGALP00000015507	ENSDARP00000086614
ENSGALP00000010092	ENSDARP00000104731
ENSGALP00000018364	ENSDARP00000008977
ENSGALP00000018364	ENSDARP00000103131
ENSGALP00000042785	ENSDARP00000114731
ENSGALP00000011107	ENSDARP00000040170
ENSGALP00000002102	ENSDARP00000078136
ENSGALP00000009912	ENSDARP00000045176
ENSGALP00000012993	ENSDARP00000055472
ENSGALP00000012993	ENSDARP00000007188
ENSGALP00000033231	ENSDARP00000122058
ENSGALP00000033231	ENSDARP00000055170
ENSGALP00000036774	ENSDARP00000011428
ENSGALP00000005132	ENSDARP00000067931
ENSGALP00000010583	ENSDARP00000107433
ENSGALP00000004578	ENSDARP00000004932
ENSGALP00000004578	ENSDARP00000018197
ENSGALP00000043277	ENSDARP00000066500
ENSGALP00000034605	ENSDARP00000125663
ENSGALP00000011094	ENSDARP00000098359
ENSGALP00000020510	ENSDARP00000102663
ENSGALP00000007047	ENSDARP00000059319
ENSGALP00000020754	ENSDARP00000085982
ENSGALP00000024086	ENSDARP00000011866
ENSGALP00000015963	ENSDARP00000019419
ENSGALP00000018352	ENSDARP00000103928
ENSGALP00000013883	ENSDARP00000093469
ENSGALP00000017157	ENSDARP00000091500
ENSGALP00000019672	ENSDARP00000098790
ENSGALP00000018684	ENSDARP00000058551
ENSGALP00000018684	ENSDARP00000043822
ENSGALP00000010319	ENSDARP00000099232
ENSGALP00000004476	ENSDARP00000115356
ENSGALP00000039313	ENSDARP00000093139
ENSGALP00000002903	ENSDARP00000094806
ENSGALP00000013470	ENSDARP00000010745
ENSGALP00000020073	ENSDARP00000072599
ENSGALP00000011511	ENSDARP00000106315
ENSGALP00000038293	ENSDARP00000069762
ENSGALP00000004355	ENSDARP00000013993
ENSGALP00000004355	ENSDARP00000062873
ENSGALP00000024537	ENSDARP00000003281
ENSGALP00000024537	ENSDARP00000115804
ENSGALP00000007090	ENSDARP00000069637
ENSGALP00000009799	ENSDARP00000119579
ENSGALP00000000945	ENSDARP00000019575
ENSGALP00000000945	ENSDARP00000006495
ENSGALP00000020619	ENSDARP00000052520
ENSGALP00000012917	ENSDARP00000101834
ENSGALP00000012917	ENSDARP00000098057
ENSGALP00000005357	ENSDARP00000067888
ENSGALP00000027233	ENSDARP00000093770
ENSGALP00000027233	ENSDARP00000084749
ENSGALP00000009728	ENSDARP00000079474
ENSGALP00000009265	ENSDARP00000056962
ENSGALP00000009265	ENSDARP00000110937
ENSGALP00000009365	ENSDARP00000088317
ENSGALP00000041111	ENSDARP00000095133
ENSGALP00000000595	ENSDARP00000031559
ENSGALP00000016137	ENSDARP00000061852
ENSGALP00000026659	ENSDARP00000122727
ENSGALP00000010236	ENSDARP00000040954
ENSGALP00000031875	ENSDARP00000105896
ENSGALP00000031875	ENSDARP00000078311
ENSGALP00000043043	ENSDARP00000059139
ENSGALP00000017275	ENSDARP00000093754
ENSGALP00000011874	ENSDARP00000100165
ENSGALP00000018837	ENSDARP00000107838
ENSGALP00000009617	ENSDARP00000101331
ENSGALP00000041518	ENSDARP00000024532
ENSGALP00000041518	ENSDARP00000106658
ENSGALP00000041263	ENSDARP00000118126
