ENSORLP00000017023	ENSMUSP00000034074
ENSORLP00000021812	ENSMUSP00000059666
ENSORLP00000023561	ENSMUSP00000108629
ENSORLP00000006376	ENSMUSP00000020624
ENSORLP00000019321	ENSMUSP00000101004
ENSORLP00000005874	ENSMUSP00000031841
ENSORLP00000021980	ENSMUSP00000099733
ENSORLP00000006256	ENSMUSP00000005103
ENSORLP00000022436	ENSMUSP00000103815
ENSORLP00000003775	ENSMUSP00000003509
ENSORLP00000006361	ENSMUSP00000074764
ENSORLP00000018342	ENSMUSP00000032421
ENSORLP00000018930	ENSMUSP00000025477
ENSORLP00000010509	ENSMUSP00000026896
ENSORLP00000001148	ENSMUSP00000099434
ENSORLP00000019667	ENSMUSP00000015003
ENSORLP00000010566	ENSMUSP00000050496
ENSORLP00000002272	ENSMUSP00000048260
ENSORLP00000000244	ENSMUSP00000020339
ENSORLP00000004298	ENSMUSP00000036487
ENSORLP00000009022	ENSMUSP00000049007
ENSORLP00000010106	ENSMUSP00000085900
ENSORLP00000020930	ENSMUSP00000049346
ENSORLP00000018662	ENSMUSP00000049346
ENSORLP00000004264	ENSMUSP00000080579
ENSORLP00000022821	ENSMUSP00000125718
ENSORLP00000021772	ENSMUSP00000028349
ENSORLP00000010763	ENSMUSP00000002989
ENSORLP00000013654	ENSMUSP00000102710
ENSORLP00000025491	ENSMUSP00000102710
ENSORLP00000020331	ENSMUSP00000097166
ENSORLP00000007167	ENSMUSP00000102177
ENSORLP00000001018	ENSMUSP00000032715
ENSORLP00000018097	ENSMUSP00000036674
ENSORLP00000008607	ENSMUSP00000042867
ENSORLP00000022020	ENSMUSP00000104411
ENSORLP00000005695	ENSMUSP00000018630
ENSORLP00000022851	ENSMUSP00000006718
ENSORLP00000020711	ENSMUSP00000001384
ENSORLP00000010817	ENSMUSP00000024049
ENSORLP00000007342	ENSMUSP00000018382
ENSORLP00000011413	ENSMUSP00000039653
ENSORLP00000022256	ENSMUSP00000031278
ENSORLP00000019505	ENSMUSP00000105486
ENSORLP00000004295	ENSMUSP00000094528
ENSORLP00000014720	ENSMUSP00000093960
ENSORLP00000012324	ENSMUSP00000064131
ENSORLP00000000585	ENSMUSP00000124459
ENSORLP00000020019	ENSMUSP00000047199
ENSORLP00000013874	ENSMUSP00000047199
ENSORLP00000002330	ENSMUSP00000119993
ENSORLP00000014471	ENSMUSP00000119993
ENSORLP00000005351	ENSMUSP00000048978
ENSORLP00000019519	ENSMUSP00000067752
ENSORLP00000018585	ENSMUSP00000030306
ENSORLP00000018984	ENSMUSP00000034427
ENSORLP00000006254	ENSMUSP00000064775
ENSORLP00000007804	ENSMUSP00000064775
ENSORLP00000012489	ENSMUSP00000103028
ENSORLP00000002135	ENSMUSP00000095964
ENSORLP00000025830	ENSMUSP00000115260
ENSORLP00000010622	ENSMUSP00000075089
ENSORLP00000010171	ENSMUSP00000126897
ENSORLP00000021378	ENSMUSP00000089513
ENSORLP00000021967	ENSMUSP00000109098
ENSORLP00000008922	ENSMUSP00000109098
ENSORLP00000010172	ENSMUSP00000044245
ENSORLP00000024935	ENSMUSP00000041622
ENSORLP00000012679	ENSMUSP00000125373
ENSORLP00000016516	ENSMUSP00000019662
ENSORLP00000011838	ENSMUSP00000117346
ENSORLP00000022565	ENSMUSP00000003117
ENSORLP00000015239	ENSMUSP00000027697
ENSORLP00000021947	ENSMUSP00000030814
ENSORLP00000011216	ENSMUSP00000033755
ENSORLP00000022337	ENSMUSP00000033756
ENSORLP00000022670	ENSMUSP00000027538
ENSORLP00000010397	ENSMUSP00000033549
ENSORLP00000009355	ENSMUSP00000026795
ENSORLP00000008594	ENSMUSP00000033341
ENSORLP00000008023	ENSMUSP00000049070
ENSORLP00000022797	ENSMUSP00000082895
ENSORLP00000011723	ENSMUSP00000080832
ENSORLP00000025157	ENSMUSP00000033501
ENSORLP00000001104	ENSMUSP00000133245
ENSORLP00000002977	ENSMUSP00000021046
ENSORLP00000018923	ENSMUSP00000021062
ENSORLP00000023720	ENSMUSP00000025500
ENSORLP00000012925	ENSMUSP00000078971
ENSORLP00000000034	ENSMUSP00000079864
ENSORLP00000013671	ENSMUSP00000138944
ENSORLP00000006742	ENSMUSP00000036830
ENSORLP00000014072	ENSMUSP00000066839
ENSORLP00000018956	ENSMUSP00000002809
ENSORLP00000014883	ENSMUSP00000031795
ENSORLP00000017224	ENSMUSP00000001595
ENSORLP00000004455	ENSMUSP00000001595
ENSORLP00000007557	ENSMUSP00000072472
ENSORLP00000007575	ENSMUSP00000077919
ENSORLP00000020818	ENSMUSP00000023807
ENSORLP00000016131	ENSMUSP00000020704
ENSORLP00000021474	ENSMUSP00000020704
ENSORLP00000002773	ENSMUSP00000046610
ENSORLP00000018416	ENSMUSP00000046610
ENSORLP00000015721	ENSMUSP00000084091
ENSORLP00000005075	ENSMUSP00000092654
ENSORLP00000004108	ENSMUSP00000036227
ENSORLP00000005033	ENSMUSP00000036227
ENSORLP00000015324	ENSMUSP00000042410
ENSORLP00000011019	ENSMUSP00000031037
ENSORLP00000002202	ENSMUSP00000035257
ENSORLP00000003059	ENSMUSP00000005952
ENSORLP00000018136	ENSMUSP00000101768
ENSORLP00000018833	ENSMUSP00000010605
ENSORLP00000004173	ENSMUSP00000126137
ENSORLP00000004274	ENSMUSP00000026093
ENSORLP00000015164	ENSMUSP00000074864
ENSORLP00000016308	ENSMUSP00000107444
ENSORLP00000024951	ENSMUSP00000064462
ENSORLP00000009657	ENSMUSP00000026427
ENSORLP00000018316	ENSMUSP00000026427
ENSORLP00000007380	ENSMUSP00000098548
ENSORLP00000013444	ENSMUSP00000098548
ENSORLP00000012886	ENSMUSP00000105212
ENSORLP00000001311	ENSMUSP00000105212
ENSORLP00000013607	ENSMUSP00000041897
ENSORLP00000025288	ENSMUSP00000043085
ENSORLP00000001374	ENSMUSP00000104533
ENSORLP00000014802	ENSMUSP00000046585
ENSORLP00000018111	ENSMUSP00000107347
ENSORLP00000005218	ENSMUSP00000031674
ENSORLP00000013299	ENSMUSP00000053238
ENSORLP00000016364	ENSMUSP00000093141
ENSORLP00000019561	ENSMUSP00000021689
ENSORLP00000011906	ENSMUSP00000021689
ENSORLP00000002839	ENSMUSP00000046216
ENSORLP00000014848	ENSMUSP00000121309
ENSORLP00000012741	ENSMUSP00000027226
ENSORLP00000011358	ENSMUSP00000003438
ENSORLP00000020718	ENSMUSP00000030477
ENSORLP00000017749	ENSMUSP00000061390
ENSORLP00000019397	ENSMUSP00000110074
ENSORLP00000002704	ENSMUSP00000124473
ENSORLP00000011850	ENSMUSP00000124473
ENSORLP00000020399	ENSMUSP00000037576
ENSORLP00000003855	ENSMUSP00000037576
ENSORLP00000008892	ENSMUSP00000050730
ENSORLP00000008411	ENSMUSP00000124131
ENSORLP00000002451	ENSMUSP00000124131
ENSORLP00000001579	ENSMUSP00000044231
ENSORLP00000016596	ENSMUSP00000023486
ENSORLP00000012171	ENSMUSP00000023486
ENSORLP00000000631	ENSMUSP00000031691
ENSORLP00000000643	ENSMUSP00000031690
ENSORLP00000003863	ENSMUSP00000042667
ENSORLP00000003946	ENSMUSP00000032376
ENSORLP00000018264	ENSMUSP00000127892
ENSORLP00000004025	ENSMUSP00000104878
ENSORLP00000008236	ENSMUSP00000063380
ENSORLP00000015074	ENSMUSP00000030376
ENSORLP00000025646	ENSMUSP00000053270
ENSORLP00000008488	ENSMUSP00000045973
ENSORLP00000019732	ENSMUSP00000036150
ENSORLP00000019739	ENSMUSP00000059026
ENSORLP00000005562	ENSMUSP00000125871
ENSORLP00000005568	ENSMUSP00000135677
ENSORLP00000000954	ENSMUSP00000022217
ENSORLP00000022406	ENSMUSP00000021714
ENSORLP00000022541	ENSMUSP00000036721
ENSORLP00000021818	ENSMUSP00000036721
ENSORLP00000001585	ENSMUSP00000102813
ENSORLP00000024109	ENSMUSP00000106963
ENSORLP00000020061	ENSMUSP00000085872
ENSORLP00000013463	ENSMUSP00000085872
ENSORLP00000011283	ENSMUSP00000021467
ENSORLP00000022013	ENSMUSP00000021004
ENSORLP00000021863	ENSMUSP00000111151
ENSORLP00000007508	ENSMUSP00000105350
ENSORLP00000019672	ENSMUSP00000020008
ENSORLP00000002659	ENSMUSP00000007257
ENSORLP00000013177	ENSMUSP00000109904
ENSORLP00000021168	ENSMUSP00000122855
ENSORLP00000004254	ENSMUSP00000122855
ENSORLP00000008713	ENSMUSP00000137256
ENSORLP00000023858	ENSMUSP00000137256
ENSORLP00000025494	ENSMUSP00000090277
ENSORLP00000013846	ENSMUSP00000041790
ENSORLP00000004640	ENSMUSP00000058730
ENSORLP00000003433	ENSMUSP00000137517
ENSORLP00000009051	ENSMUSP00000028071
ENSORLP00000008276	ENSMUSP00000104311
ENSORLP00000014984	ENSMUSP00000031750
ENSORLP00000018887	ENSMUSP00000066894
ENSORLP00000005319	ENSMUSP00000030898
ENSORLP00000014859	ENSMUSP00000073246
ENSORLP00000017630	ENSMUSP00000092735
ENSORLP00000002967	ENSMUSP00000062239
ENSORLP00000009719	ENSMUSP00000101903
ENSORLP00000009264	ENSMUSP00000071859
ENSORLP00000016385	ENSMUSP00000024832
ENSORLP00000011881	ENSMUSP00000070868
ENSORLP00000004619	ENSMUSP00000025718
ENSORLP00000012934	ENSMUSP00000102647
ENSORLP00000014691	ENSMUSP00000085683
ENSORLP00000025699	ENSMUSP00000042271
ENSORLP00000025092	ENSMUSP00000030212
ENSORLP00000008947	ENSMUSP00000030212
ENSORLP00000007330	ENSMUSP00000129800
ENSORLP00000021066	ENSMUSP00000028214
ENSORLP00000017966	ENSMUSP00000028214
ENSORLP00000019821	ENSMUSP00000034600
ENSORLP00000011260	ENSMUSP00000034600
ENSORLP00000003189	ENSMUSP00000066701
ENSORLP00000015135	ENSMUSP00000126826
ENSORLP00000015125	ENSMUSP00000062507
ENSORLP00000011254	ENSMUSP00000062507
ENSORLP00000024718	ENSMUSP00000061470
ENSORLP00000013929	ENSMUSP00000046368
ENSORLP00000007935	ENSMUSP00000045409
ENSORLP00000020501	ENSMUSP00000128922
ENSORLP00000005391	ENSMUSP00000095845
ENSORLP00000001836	ENSMUSP00000054545
ENSORLP00000002802	ENSMUSP00000054545
ENSORLP00000004251	ENSMUSP00000035649
ENSORLP00000007785	ENSMUSP00000025208
ENSORLP00000003955	ENSMUSP00000048350
ENSORLP00000005716	ENSMUSP00000048350
ENSORLP00000009447	ENSMUSP00000053431
ENSORLP00000016755	ENSMUSP00000029850
ENSORLP00000025680	ENSMUSP00000052544
ENSORLP00000014402	ENSMUSP00000090567
ENSORLP00000017370	ENSMUSP00000047888
ENSORLP00000015976	ENSMUSP00000081664
ENSORLP00000010846	ENSMUSP00000081664
ENSORLP00000012076	ENSMUSP00000021066
ENSORLP00000014408	ENSMUSP00000138618
ENSORLP00000021608	ENSMUSP00000123078
ENSORLP00000014160	ENSMUSP00000123078
ENSORLP00000006974	ENSMUSP00000101700
ENSORLP00000004278	ENSMUSP00000040416
ENSORLP00000020050	ENSMUSP00000029575
ENSORLP00000008218	ENSMUSP00000028623
ENSORLP00000012723	ENSMUSP00000030643
ENSORLP00000007001	ENSMUSP00000076505
ENSORLP00000002142	ENSMUSP00000076505
ENSORLP00000014484	ENSMUSP00000022550
ENSORLP00000007930	ENSMUSP00000019226
ENSORLP00000019891	ENSMUSP00000108302
ENSORLP00000019320	ENSMUSP00000084062
ENSORLP00000020797	ENSMUSP00000084062
ENSORLP00000004088	ENSMUSP00000097909
ENSORLP00000005176	ENSMUSP00000065205
ENSORLP00000005255	ENSMUSP00000028362
ENSORLP00000010903	ENSMUSP00000027896
ENSORLP00000003924	ENSMUSP00000029307
ENSORLP00000005958	ENSMUSP00000029307
ENSORLP00000009004	ENSMUSP00000034883
ENSORLP00000016407	ENSMUSP00000054226
ENSORLP00000002498	ENSMUSP00000107035
ENSORLP00000005899	ENSMUSP00000106460
ENSORLP00000000178	ENSMUSP00000031713
ENSORLP00000018925	ENSMUSP00000029208
ENSORLP00000003200	ENSMUSP00000001122
ENSORLP00000016932	ENSMUSP00000021161
ENSORLP00000006703	ENSMUSP00000022040
ENSORLP00000020649	ENSMUSP00000129216
ENSORLP00000013120	ENSMUSP00000110348
ENSORLP00000021408	ENSMUSP00000095533
ENSORLP00000013449	ENSMUSP00000128308
ENSORLP00000009845	ENSMUSP00000003659
ENSORLP00000006238	ENSMUSP00000022213
ENSORLP00000011233	ENSMUSP00000022213
ENSORLP00000005200	ENSMUSP00000057488
ENSORLP00000025778	ENSMUSP00000059654
ENSORLP00000002793	ENSMUSP00000040229
ENSORLP00000007565	ENSMUSP00000040229
ENSORLP00000016480	ENSMUSP00000031607
ENSORLP00000019101	ENSMUSP00000090528
ENSORLP00000008804	ENSMUSP00000095169
ENSORLP00000010408	ENSMUSP00000095169
ENSORLP00000000955	ENSMUSP00000129378
ENSORLP00000024303	ENSMUSP00000088089
ENSORLP00000007370	ENSMUSP00000076751
ENSORLP00000011202	ENSMUSP00000076751
ENSORLP00000002460	ENSMUSP00000124179
ENSORLP00000014546	ENSMUSP00000030080
ENSORLP00000025283	ENSMUSP00000084578
ENSORLP00000023562	ENSMUSP00000084578
ENSORLP00000025361	ENSMUSP00000065679
ENSORLP00000002544	ENSMUSP00000049054
ENSORLP00000013157	ENSMUSP00000049054
ENSORLP00000019751	ENSMUSP00000101060
ENSORLP00000013289	ENSMUSP00000101060
ENSORLP00000020092	ENSMUSP00000043522
ENSORLP00000007978	ENSMUSP00000043522
ENSORLP00000019342	ENSMUSP00000060591
ENSORLP00000022468	ENSMUSP00000103897
ENSORLP00000007005	ENSMUSP00000136611
ENSORLP00000015046	ENSMUSP00000125580
ENSORLP00000007689	ENSMUSP00000125580
ENSORLP00000006193	ENSMUSP00000037867
ENSORLP00000018788	ENSMUSP00000049285
ENSORLP00000008504	ENSMUSP00000034698
ENSORLP00000018750	ENSMUSP00000034698
ENSORLP00000002291	ENSMUSP00000002837
ENSORLP00000019227	ENSMUSP00000132514
ENSORLP00000014563	ENSMUSP00000043210
ENSORLP00000016522	ENSMUSP00000100991
ENSORLP00000018166	ENSMUSP00000006027
ENSORLP00000006852	ENSMUSP00000036065
ENSORLP00000019932	ENSMUSP00000112662
ENSORLP00000018275	ENSMUSP00000020023
ENSORLP00000005287	ENSMUSP00000036726
ENSORLP00000006617	ENSMUSP00000059757
ENSORLP00000015378	ENSMUSP00000099509
ENSORLP00000007697	ENSMUSP00000000939
ENSORLP00000001913	ENSMUSP00000000939
ENSORLP00000021170	ENSMUSP00000028252
ENSORLP00000006700	ENSMUSP00000091011
ENSORLP00000017682	ENSMUSP00000019456
ENSORLP00000008593	ENSMUSP00000034969
ENSORLP00000004579	ENSMUSP00000077899
ENSORLP00000005540	ENSMUSP00000031096
ENSORLP00000022648	ENSMUSP00000073190
ENSORLP00000010020	ENSMUSP00000027053
ENSORLP00000021423	ENSMUSP00000122552
ENSORLP00000016275	ENSMUSP00000026027
ENSORLP00000017243	ENSMUSP00000017821
ENSORLP00000001337	ENSMUSP00000031309
ENSORLP00000005361	ENSMUSP00000028368
ENSORLP00000020996	ENSMUSP00000028368
ENSORLP00000009575	ENSMUSP00000137309
ENSORLP00000009804	ENSMUSP00000095103
ENSORLP00000019121	ENSMUSP00000045150
ENSORLP00000024813	ENSMUSP00000023835
ENSORLP00000021052	ENSMUSP00000093229
ENSORLP00000000841	ENSMUSP00000131010
ENSORLP00000015688	ENSMUSP00000131010
ENSORLP00000013754	ENSMUSP00000103366
ENSORLP00000014648	ENSMUSP00000038203
ENSORLP00000019946	ENSMUSP00000031977
ENSORLP00000020510	ENSMUSP00000065770
ENSORLP00000021804	ENSMUSP00000113913
ENSORLP00000021576	ENSMUSP00000118911
ENSORLP00000015998	ENSMUSP00000109340
ENSORLP00000015424	ENSMUSP00000114175
ENSORLP00000012302	ENSMUSP00000067541
ENSORLP00000012334	ENSMUSP00000031663
ENSORLP00000018569	ENSMUSP00000106317
ENSORLP00000005246	ENSMUSP00000106317
ENSORLP00000018612	ENSMUSP00000124417
ENSORLP00000000570	ENSMUSP00000064246
ENSORLP00000001147	ENSMUSP00000064246
ENSORLP00000011697	ENSMUSP00000126281
ENSORLP00000008639	ENSMUSP00000126281
ENSORLP00000020054	ENSMUSP00000043222
ENSORLP00000016781	ENSMUSP00000037966
ENSORLP00000007482	ENSMUSP00000126243
ENSORLP00000006064	ENSMUSP00000126243
ENSORLP00000020990	ENSMUSP00000001280
ENSORLP00000013665	ENSMUSP00000075011
ENSORLP00000008309	ENSMUSP00000025197
ENSORLP00000015790	ENSMUSP00000025197
ENSORLP00000020220	ENSMUSP00000128401
ENSORLP00000023486	ENSMUSP00000031354
ENSORLP00000021952	ENSMUSP00000110729
ENSORLP00000009060	ENSMUSP00000037487
ENSORLP00000009935	ENSMUSP00000029905
ENSORLP00000022033	ENSMUSP00000052989
ENSORLP00000000805	ENSMUSP00000018113
ENSORLP00000021561	ENSMUSP00000129831
ENSORLP00000010554	ENSMUSP00000038833
ENSORLP00000015653	ENSMUSP00000019386
ENSORLP00000009407	ENSMUSP00000034792
ENSORLP00000007507	ENSMUSP00000099975
ENSORLP00000025418	ENSMUSP00000099975
ENSORLP00000002376	ENSMUSP00000007249
ENSORLP00000020582	ENSMUSP00000034697
ENSORLP00000023533	ENSMUSP00000034697
ENSORLP00000005021	ENSMUSP00000087394
ENSORLP00000009566	ENSMUSP00000114404
ENSORLP00000001925	ENSMUSP00000114404
ENSORLP00000025471	ENSMUSP00000075992
ENSORLP00000003329	ENSMUSP00000099430
ENSORLP00000017612	ENSMUSP00000044457
ENSORLP00000002721	ENSMUSP00000036245
ENSORLP00000013167	ENSMUSP00000030289
ENSORLP00000023378	ENSMUSP00000039943
ENSORLP00000000556	ENSMUSP00000070554
ENSORLP00000019339	ENSMUSP00000000642
ENSORLP00000012858	ENSMUSP00000020277
ENSORLP00000024341	ENSMUSP00000051215
ENSORLP00000002505	ENSMUSP00000099984
ENSORLP00000012495	ENSMUSP00000017851
ENSORLP00000019452	ENSMUSP00000020027
ENSORLP00000023753	ENSMUSP00000051261
ENSORLP00000011177	ENSMUSP00000047547
ENSORLP00000010429	ENSMUSP00000028679
ENSORLP00000015853	ENSMUSP00000028679
ENSORLP00000009376	ENSMUSP00000098594
ENSORLP00000017836	ENSMUSP00000099716
ENSORLP00000010308	ENSMUSP00000099716
ENSORLP00000003871	ENSMUSP00000055308
ENSORLP00000009664	ENSMUSP00000055308
ENSORLP00000022395	ENSMUSP00000100025
ENSORLP00000006121	ENSMUSP00000099572
ENSORLP00000004141	ENSMUSP00000099572
ENSORLP00000004548	ENSMUSP00000057725
ENSORLP00000013610	ENSMUSP00000057725
ENSORLP00000017101	ENSMUSP00000056313
ENSORLP00000021644	ENSMUSP00000027373
ENSORLP00000017858	ENSMUSP00000061278
ENSORLP00000007854	ENSMUSP00000029355
ENSORLP00000020087	ENSMUSP00000029355
ENSORLP00000023047	ENSMUSP00000027534
ENSORLP00000008712	ENSMUSP00000041395
ENSORLP00000003369	ENSMUSP00000041395
ENSORLP00000013373	ENSMUSP00000006851
ENSORLP00000003415	ENSMUSP00000006851
ENSORLP00000000238	ENSMUSP00000101225
ENSORLP00000019096	ENSMUSP00000045527
ENSORLP00000019098	ENSMUSP00000021090
ENSORLP00000009345	ENSMUSP00000070413
ENSORLP00000020004	ENSMUSP00000027151
ENSORLP00000003021	ENSMUSP00000027151
ENSORLP00000024871	ENSMUSP00000085253
ENSORLP00000006399	ENSMUSP00000062771
ENSORLP00000018782	ENSMUSP00000114094
ENSORLP00000010963	ENSMUSP00000139310
ENSORLP00000005390	ENSMUSP00000096994
ENSORLP00000022513	ENSMUSP00000047126
ENSORLP00000015200	ENSMUSP00000070726
ENSORLP00000006988	ENSMUSP00000025695
ENSORLP00000003948	ENSMUSP00000002839
ENSORLP00000021534	ENSMUSP00000124370
ENSORLP00000002389	ENSMUSP00000039632
ENSORLP00000002820	ENSMUSP00000038013
ENSORLP00000019504	ENSMUSP00000020411
ENSORLP00000009948	ENSMUSP00000109915
ENSORLP00000020094	ENSMUSP00000053175
ENSORLP00000010119	ENSMUSP00000033805
ENSORLP00000024224	ENSMUSP00000122395
ENSORLP00000001322	ENSMUSP00000016471
ENSORLP00000010128	ENSMUSP00000047353
ENSORLP00000005919	ENSMUSP00000034983
ENSORLP00000019655	ENSMUSP00000027863
ENSORLP00000019708	ENSMUSP00000138773
ENSORLP00000008667	ENSMUSP00000023295
ENSORLP00000009527	ENSMUSP00000127784
ENSORLP00000012965	ENSMUSP00000127784
ENSORLP00000020236	ENSMUSP00000074198
ENSORLP00000004136	ENSMUSP00000033444
ENSORLP00000006042	ENSMUSP00000027498
ENSORLP00000024937	ENSMUSP00000018353
ENSORLP00000023002	ENSMUSP00000018476
ENSORLP00000005534	ENSMUSP00000101517
ENSORLP00000021704	ENSMUSP00000127678
ENSORLP00000010296	ENSMUSP00000019708
ENSORLP00000008681	ENSMUSP00000083281
ENSORLP00000013025	ENSMUSP00000106709
ENSORLP00000019892	ENSMUSP00000125268
ENSORLP00000011572	ENSMUSP00000125268
ENSORLP00000014379	ENSMUSP00000021971
ENSORLP00000021970	ENSMUSP00000050329
ENSORLP00000023141	ENSMUSP00000035222
ENSORLP00000011273	ENSMUSP00000048124
ENSORLP00000016465	ENSMUSP00000044836
ENSORLP00000005631	ENSMUSP00000025077
ENSORLP00000013229	ENSMUSP00000113429
ENSORLP00000024752	ENSMUSP00000031229
ENSORLP00000008749	ENSMUSP00000020643
ENSORLP00000003095	ENSMUSP00000006750
ENSORLP00000007089	ENSMUSP00000006750
ENSORLP00000018447	ENSMUSP00000075174
ENSORLP00000001033	ENSMUSP00000012161
ENSORLP00000009350	ENSMUSP00000109271
ENSORLP00000020926	ENSMUSP00000103362
ENSORLP00000019177	ENSMUSP00000038181
ENSORLP00000001403	ENSMUSP00000033070
ENSORLP00000003191	ENSMUSP00000113390
ENSORLP00000015686	ENSMUSP00000077019
ENSORLP00000012914	ENSMUSP00000021273
ENSORLP00000003431	ENSMUSP00000059389
ENSORLP00000008375	ENSMUSP00000023487
ENSORLP00000018768	ENSMUSP00000026416
ENSORLP00000007024	ENSMUSP00000021930
ENSORLP00000009202	ENSMUSP00000059419
ENSORLP00000013725	ENSMUSP00000026011
ENSORLP00000017009	ENSMUSP00000031367
ENSORLP00000020666	ENSMUSP00000129239
ENSORLP00000003654	ENSMUSP00000085728
ENSORLP00000022073	ENSMUSP00000085728
ENSORLP00000012544	ENSMUSP00000023616
ENSORLP00000003476	ENSMUSP00000006578
ENSORLP00000005239	ENSMUSP00000023334
ENSORLP00000011455	ENSMUSP00000023334
ENSORLP00000003137	ENSMUSP00000034510
ENSORLP00000007160	ENSMUSP00000034510
ENSORLP00000001406	ENSMUSP00000026254
ENSORLP00000009050	ENSMUSP00000100006
ENSORLP00000012144	ENSMUSP00000111381
ENSORLP00000003645	ENSMUSP00000039728
ENSORLP00000016043	ENSMUSP00000039728
ENSORLP00000011059	ENSMUSP00000103817
ENSORLP00000010245	ENSMUSP00000058968
ENSORLP00000000220	ENSMUSP00000084427
ENSORLP00000015387	ENSMUSP00000021097
ENSORLP00000022133	ENSMUSP00000025279
ENSORLP00000020198	ENSMUSP00000030443
ENSORLP00000018854	ENSMUSP00000103608
ENSORLP00000009678	ENSMUSP00000039810
ENSORLP00000001295	ENSMUSP00000120421
ENSORLP00000014273	ENSMUSP00000005651
ENSORLP00000001266	ENSMUSP00000022009
ENSORLP00000013872	ENSMUSP00000027775
ENSORLP00000021782	ENSMUSP00000006669
ENSORLP00000005600	ENSMUSP00000019721
ENSORLP00000013956	ENSMUSP00000105348
ENSORLP00000016851	ENSMUSP00000023344
ENSORLP00000023310	ENSMUSP00000111327
ENSORLP00000001915	ENSMUSP00000027505
ENSORLP00000015230	ENSMUSP00000032480
ENSORLP00000022617	ENSMUSP00000062593
ENSORLP00000015380	ENSMUSP00000079226
ENSORLP00000008328	ENSMUSP00000105822
ENSORLP00000007748	ENSMUSP00000129922
ENSORLP00000022151	ENSMUSP00000037699
ENSORLP00000019445	ENSMUSP00000111939
ENSORLP00000006247	ENSMUSP00000056481
ENSORLP00000020763	ENSMUSP00000040176
ENSORLP00000012940	ENSMUSP00000040176
ENSORLP00000000336	ENSMUSP00000042701
ENSORLP00000007094	ENSMUSP00000038056
ENSORLP00000014849	ENSMUSP00000081941
ENSORLP00000015732	ENSMUSP00000099723
ENSORLP00000015914	ENSMUSP00000023958
ENSORLP00000000400	ENSMUSP00000029444
ENSORLP00000008644	ENSMUSP00000102352
ENSORLP00000016208	ENSMUSP00000058020
ENSORLP00000019992	ENSMUSP00000107381
ENSORLP00000013015	ENSMUSP00000095320
ENSORLP00000009003	ENSMUSP00000019063
ENSORLP00000014146	ENSMUSP00000029377
ENSORLP00000005243	ENSMUSP00000053384
ENSORLP00000004364	ENSMUSP00000053384
ENSORLP00000007029	ENSMUSP00000107447
ENSORLP00000010482	ENSMUSP00000129861
ENSORLP00000010906	ENSMUSP00000072074
ENSORLP00000018286	ENSMUSP00000072074
ENSORLP00000016792	ENSMUSP00000032151
ENSORLP00000013757	ENSMUSP00000032151
ENSORLP00000013777	ENSMUSP00000037042
ENSORLP00000006860	ENSMUSP00000069616
ENSORLP00000015259	ENSMUSP00000001484
ENSORLP00000021053	ENSMUSP00000046787
ENSORLP00000006822	ENSMUSP00000014673
ENSORLP00000009802	ENSMUSP00000023750
ENSORLP00000019285	ENSMUSP00000023750
ENSORLP00000015837	ENSMUSP00000023225
ENSORLP00000000553	ENSMUSP00000003643
ENSORLP00000001972	ENSMUSP00000003643
ENSORLP00000004064	ENSMUSP00000109931
