ENSTGUP00000008915	ENSGALP00000006197
ENSTGUP00000007517	ENSGALP00000001474
ENSTGUP00000002402	ENSGALP00000010718
ENSTGUP00000007645	ENSGALP00000036285
ENSTGUP00000006436	ENSGALP00000009351
ENSTGUP00000005879	ENSGALP00000006447
ENSTGUP00000006835	ENSGALP00000002297
ENSTGUP00000006914	ENSGALP00000005150
ENSTGUP00000007511	ENSGALP00000007847
ENSTGUP00000006599	ENSGALP00000042836
ENSTGUP00000011707	ENSGALP00000032312
ENSTGUP00000017731	ENSGALP00000016886
ENSTGUP00000011705	ENSGALP00000016882
ENSTGUP00000018265	ENSGALP00000016891
ENSTGUP00000006604	ENSGALP00000026119
ENSTGUP00000010836	ENSGALP00000026960
ENSTGUP00000010829	ENSGALP00000035809
ENSTGUP00000001184	ENSGALP00000006776
ENSTGUP00000012380	ENSGALP00000035831
ENSTGUP00000012993	ENSGALP00000021178
ENSTGUP00000002856	ENSGALP00000004717
ENSTGUP00000003773	ENSGALP00000008354
ENSTGUP00000015109	ENSGALP00000042174
ENSTGUP00000006194	ENSGALP00000006714
ENSTGUP00000006171	ENSGALP00000021661
ENSTGUP00000003831	ENSGALP00000008273
ENSTGUP00000012053	ENSGALP00000020923
ENSTGUP00000000074	ENSGALP00000000406
ENSTGUP00000009101	ENSGALP00000023528
ENSTGUP00000007812	ENSGALP00000017712
ENSTGUP00000003687	ENSGALP00000009966
ENSTGUP00000014440	ENSGALP00000004991
ENSTGUP00000003097	ENSGALP00000015926
ENSTGUP00000012631	ENSGALP00000016880
ENSTGUP00000007507	ENSGALP00000009004
ENSTGUP00000001791	ENSGALP00000016801
ENSTGUP00000001158	ENSGALP00000009685
ENSTGUP00000000912	ENSGALP00000042528
ENSTGUP00000002202	ENSGALP00000010414
ENSTGUP00000002880	ENSGALP00000017856
ENSTGUP00000015082	ENSGALP00000035379
ENSTGUP00000009297	ENSGALP00000032649
ENSTGUP00000013988	ENSGALP00000025472
ENSTGUP00000012744	ENSGALP00000025114
ENSTGUP00000001335	ENSGALP00000014101
ENSTGUP00000001616	ENSGALP00000042998
ENSTGUP00000012121	ENSGALP00000021550
ENSTGUP00000008788	ENSGALP00000011134
ENSTGUP00000000920	ENSGALP00000041611
ENSTGUP00000006514	ENSGALP00000036527
ENSTGUP00000000930	ENSGALP00000042712
ENSTGUP00000013468	ENSGALP00000030960
ENSTGUP00000012077	ENSGALP00000030213
ENSTGUP00000005575	ENSGALP00000002638
ENSTGUP00000003238	ENSGALP00000011413
ENSTGUP00000007512	ENSGALP00000016547
ENSTGUP00000008852	ENSGALP00000021543
ENSTGUP00000015232	ENSGALP00000003847
ENSTGUP00000000891	ENSGALP00000001054
ENSTGUP00000006775	ENSGALP00000010428
ENSTGUP00000013703	ENSGALP00000026821
ENSTGUP00000014768	ENSGALP00000000107
ENSTGUP00000009104	ENSGALP00000038965
ENSTGUP00000000722	ENSGALP00000043032
ENSTGUP00000000421	ENSGALP00000005571
ENSTGUP00000008875	ENSGALP00000011333
ENSTGUP00000013567	ENSGALP00000021646
ENSTGUP00000016110	ENSGALP00000006299
ENSTGUP00000004977	ENSGALP00000003671
ENSTGUP00000005741	ENSGALP00000038075
ENSTGUP00000004581	ENSGALP00000000412
ENSTGUP00000007902	ENSGALP00000039341
ENSTGUP00000001208	ENSGALP00000009803
ENSTGUP00000000228	ENSGALP00000008661
ENSTGUP00000002076	ENSGALP00000040060
ENSTGUP00000013718	ENSGALP00000042768
ENSTGUP00000000180	ENSGALP00000019399
ENSTGUP00000013997	ENSGALP00000024768
ENSTGUP00000000954	ENSGALP00000041815
ENSTGUP00000005782	ENSGALP00000038287
ENSTGUP00000005006	ENSGALP00000007547
ENSTGUP00000004870	ENSGALP00000039976
ENSTGUP00000008308	ENSGALP00000009611
ENSTGUP00000013118	ENSGALP00000018224
ENSTGUP00000003528	ENSGALP00000016105
ENSTGUP00000007385	ENSGALP00000013191
ENSTGUP00000012794	ENSGALP00000017290
ENSTGUP00000011773	ENSGALP00000018964
ENSTGUP00000011586	ENSGALP00000027271
ENSTGUP00000005627	ENSGALP00000010863
ENSTGUP00000003067	ENSGALP00000009806
ENSTGUP00000011582	ENSGALP00000027267
ENSTGUP00000005646	ENSGALP00000003684
ENSTGUP00000012331	ENSGALP00000027482
ENSTGUP00000004744	ENSGALP00000008702
ENSTGUP00000001808	ENSGALP00000037588
ENSTGUP00000007259	ENSGALP00000013142
ENSTGUP00000010021	ENSGALP00000017678
ENSTGUP00000000269	ENSGALP00000024782
ENSTGUP00000008703	ENSGALP00000001334
ENSTGUP00000000869	ENSGALP00000010979
ENSTGUP00000011510	ENSGALP00000038745
ENSTGUP00000004236	ENSGALP00000039924
ENSTGUP00000002050	ENSGALP00000019325
ENSTGUP00000001084	ENSGALP00000005090
ENSTGUP00000017815	ENSGALP00000002366
ENSTGUP00000004062	ENSGALP00000038404
ENSTGUP00000001855	ENSGALP00000019689
ENSTGUP00000007193	ENSGALP00000009892
ENSTGUP00000010614	ENSGALP00000013052
ENSTGUP00000001146	ENSGALP00000008574
ENSTGUP00000004826	ENSGALP00000006182
ENSTGUP00000011805	ENSGALP00000035907
ENSTGUP00000009073	ENSGALP00000010958
ENSTGUP00000010457	ENSGALP00000013724
ENSTGUP00000006886	ENSGALP00000008112
ENSTGUP00000005604	ENSGALP00000005789
ENSTGUP00000000719	ENSGALP00000006300
ENSTGUP00000010484	ENSGALP00000013714
ENSTGUP00000001484	ENSGALP00000014734
ENSTGUP00000017785	ENSGALP00000000973
ENSTGUP00000008916	ENSGALP00000018656
ENSTGUP00000008359	ENSGALP00000026677
ENSTGUP00000003284	ENSGALP00000006782
ENSTGUP00000005747	ENSGALP00000012265
ENSTGUP00000008668	ENSGALP00000009612
ENSTGUP00000013552	ENSGALP00000021856
ENSTGUP00000001739	ENSGALP00000010281
ENSTGUP00000011408	ENSGALP00000022282
ENSTGUP00000013534	ENSGALP00000036082
ENSTGUP00000004152	ENSGALP00000014065
ENSTGUP00000003859	ENSGALP00000041045
ENSTGUP00000002713	ENSGALP00000017619
ENSTGUP00000003338	ENSGALP00000033098
ENSTGUP00000001990	ENSGALP00000000810
ENSTGUP00000013056	ENSGALP00000025626
ENSTGUP00000004793	ENSGALP00000005576
ENSTGUP00000017288	ENSGALP00000042896
ENSTGUP00000000367	ENSGALP00000000239
ENSTGUP00000003797	ENSGALP00000007948
ENSTGUP00000009690	ENSGALP00000038787
ENSTGUP00000002403	ENSGALP00000014728
ENSTGUP00000002610	ENSGALP00000014501
ENSTGUP00000002629	ENSGALP00000014506
ENSTGUP00000004020	ENSGALP00000018774
ENSTGUP00000009469	ENSGALP00000014878
ENSTGUP00000002508	ENSGALP00000041356
ENSTGUP00000010870	ENSGALP00000013781
ENSTGUP00000007392	ENSGALP00000020311
ENSTGUP00000007382	ENSGALP00000020307
ENSTGUP00000005260	ENSGALP00000018675
ENSTGUP00000002415	ENSGALP00000040685
ENSTGUP00000005613	ENSGALP00000008889
ENSTGUP00000010013	ENSGALP00000027075
ENSTGUP00000003654	ENSGALP00000008481
ENSTGUP00000007258	ENSGALP00000014663
ENSTGUP00000003652	ENSGALP00000008104
ENSTGUP00000007261	ENSGALP00000014672
ENSTGUP00000013781	ENSGALP00000024150
ENSTGUP00000003258	ENSGALP00000016015
ENSTGUP00000002891	ENSGALP00000041013
ENSTGUP00000001094	ENSGALP00000016884
ENSTGUP00000007581	ENSGALP00000009133
ENSTGUP00000002648	ENSGALP00000023682
ENSTGUP00000001638	ENSGALP00000003295
ENSTGUP00000002188	ENSGALP00000005914
ENSTGUP00000002190	ENSGALP00000005933
ENSTGUP00000008066	ENSGALP00000037396
ENSTGUP00000000281	ENSGALP00000001500
ENSTGUP00000002551	ENSGALP00000014673
ENSTGUP00000013312	ENSGALP00000019114
ENSTGUP00000012297	ENSGALP00000024076
ENSTGUP00000010642	ENSGALP00000013447
ENSTGUP00000010646	ENSGALP00000013448
ENSTGUP00000010652	ENSGALP00000013450
ENSTGUP00000012303	ENSGALP00000024083
ENSTGUP00000012301	ENSGALP00000024082
ENSTGUP00000011871	ENSGALP00000019723
ENSTGUP00000016488	ENSGALP00000010556
ENSTGUP00000000742	ENSGALP00000023592
ENSTGUP00000006629	ENSGALP00000014112
ENSTGUP00000003796	ENSGALP00000010121
ENSTGUP00000006828	ENSGALP00000006947
ENSTGUP00000010330	ENSGALP00000010805
ENSTGUP00000006934	ENSGALP00000017274
ENSTGUP00000011117	ENSGALP00000041770
ENSTGUP00000000374	ENSGALP00000040940
ENSTGUP00000011415	ENSGALP00000033380
ENSTGUP00000001560	ENSGALP00000015469
ENSTGUP00000009514	ENSGALP00000011904
ENSTGUP00000002561	ENSGALP00000014581
ENSTGUP00000013124	ENSGALP00000018258
ENSTGUP00000004234	ENSGALP00000015125
ENSTGUP00000012102	ENSGALP00000042267
ENSTGUP00000002417	ENSGALP00000014259
ENSTGUP00000013346	ENSGALP00000026355
ENSTGUP00000003376	ENSGALP00000001480
ENSTGUP00000003334	ENSGALP00000001445
ENSTGUP00000007617	ENSGALP00000009449
ENSTGUP00000013353	ENSGALP00000026363
ENSTGUP00000017623	ENSGALP00000005166
ENSTGUP00000013167	ENSGALP00000026192
ENSTGUP00000012988	ENSGALP00000026072
ENSTGUP00000009670	ENSGALP00000018821
ENSTGUP00000009752	ENSGALP00000010760
ENSTGUP00000000287	ENSGALP00000016984
ENSTGUP00000008638	ENSGALP00000041658
ENSTGUP00000009518	ENSGALP00000011895
ENSTGUP00000010255	ENSGALP00000037169
ENSTGUP00000008451	ENSGALP00000018378
ENSTGUP00000005482	ENSGALP00000007439
ENSTGUP00000000354	ENSGALP00000012308
ENSTGUP00000004287	ENSGALP00000032209
ENSTGUP00000008720	ENSGALP00000011089
ENSTGUP00000007254	ENSGALP00000007956
ENSTGUP00000000578	ENSGALP00000041485
ENSTGUP00000000599	ENSGALP00000041496
ENSTGUP00000003357	ENSGALP00000020507
ENSTGUP00000013264	ENSGALP00000027801
ENSTGUP00000009842	ENSGALP00000012087
ENSTGUP00000004389	ENSGALP00000014237
ENSTGUP00000004395	ENSGALP00000030077
ENSTGUP00000004777	ENSGALP00000003336
ENSTGUP00000014311	ENSGALP00000040977
ENSTGUP00000005434	ENSGALP00000015293
ENSTGUP00000010722	ENSGALP00000013575
ENSTGUP00000009765	ENSGALP00000011851
ENSTGUP00000006018	ENSGALP00000015542
ENSTGUP00000017723	ENSGALP00000042747
ENSTGUP00000013065	ENSGALP00000025631
ENSTGUP00000012921	ENSGALP00000026153
ENSTGUP00000007668	ENSGALP00000009339
ENSTGUP00000009461	ENSGALP00000038530
ENSTGUP00000005049	ENSGALP00000005663
ENSTGUP00000005107	ENSGALP00000005693
ENSTGUP00000005055	ENSGALP00000005664
ENSTGUP00000008600	ENSGALP00000010290
ENSTGUP00000013380	ENSGALP00000028023
ENSTGUP00000003980	ENSGALP00000043451
ENSTGUP00000013381	ENSGALP00000036574
ENSTGUP00000009936	ENSGALP00000014354
ENSTGUP00000017814	ENSGALP00000025071
ENSTGUP00000013262	ENSGALP00000018782
ENSTGUP00000001041	ENSGALP00000040460
ENSTGUP00000005581	ENSGALP00000006001
ENSTGUP00000002766	ENSGALP00000038910
ENSTGUP00000017804	ENSGALP00000002804
ENSTGUP00000009875	ENSGALP00000012015
ENSTGUP00000013550	ENSGALP00000020137
ENSTGUP00000012344	ENSGALP00000041417
ENSTGUP00000008206	ENSGALP00000016518
ENSTGUP00000013344	ENSGALP00000026350
ENSTGUP00000011271	ENSGALP00000024556
ENSTGUP00000003913	ENSGALP00000040830
ENSTGUP00000012263	ENSGALP00000023990
ENSTGUP00000002408	ENSGALP00000040961
ENSTGUP00000013640	ENSGALP00000030892
ENSTGUP00000004846	ENSGALP00000025760
ENSTGUP00000005066	ENSGALP00000007523
ENSTGUP00000002184	ENSGALP00000013837
ENSTGUP00000005736	ENSGALP00000008892
ENSTGUP00000001303	ENSGALP00000025221
ENSTGUP00000000660	ENSGALP00000003035
ENSTGUP00000008161	ENSGALP00000043302
ENSTGUP00000007176	ENSGALP00000037618
ENSTGUP00000017739	ENSGALP00000009621
ENSTGUP00000008762	ENSGALP00000017259
ENSTGUP00000003743	ENSGALP00000006331
ENSTGUP00000005880	ENSGALP00000002604
ENSTGUP00000002152	ENSGALP00000011148
ENSTGUP00000002182	ENSGALP00000011044
ENSTGUP00000010598	ENSGALP00000013380
ENSTGUP00000000131	ENSGALP00000024701
ENSTGUP00000001243	ENSGALP00000041259
ENSTGUP00000007549	ENSGALP00000002287
ENSTGUP00000011679	ENSGALP00000016838
ENSTGUP00000000911	ENSGALP00000024341
ENSTGUP00000001271	ENSGALP00000013830
ENSTGUP00000013613	ENSGALP00000019943
ENSTGUP00000008110	ENSGALP00000016475
ENSTGUP00000002531	ENSGALP00000039646
ENSTGUP00000000391	ENSGALP00000002721
ENSTGUP00000005472	ENSGALP00000016529
ENSTGUP00000011372	ENSGALP00000020611
ENSTGUP00000012284	ENSGALP00000024015
ENSTGUP00000018091	ENSGALP00000029600
ENSTGUP00000003301	ENSGALP00000039846
ENSTGUP00000010657	ENSGALP00000033374
ENSTGUP00000003950	ENSGALP00000007049
ENSTGUP00000012352	ENSGALP00000027473
ENSTGUP00000008770	ENSGALP00000041378
ENSTGUP00000001715	ENSGALP00000001317
ENSTGUP00000007703	ENSGALP00000007603
ENSTGUP00000016151	ENSGALP00000042939
ENSTGUP00000007045	ENSGALP00000007183
ENSTGUP00000007634	ENSGALP00000008256
ENSTGUP00000009034	ENSGALP00000005438
ENSTGUP00000000219	ENSGALP00000008707
ENSTGUP00000010553	ENSGALP00000013692
ENSTGUP00000005825	ENSGALP00000026019
ENSTGUP00000006209	ENSGALP00000006744
ENSTGUP00000011300	ENSGALP00000014186
ENSTGUP00000011346	ENSGALP00000041036
ENSTGUP00000011340	ENSGALP00000014563
ENSTGUP00000003563	ENSGALP00000008107
ENSTGUP00000008691	ENSGALP00000010477
ENSTGUP00000012771	ENSGALP00000025385
ENSTGUP00000013311	ENSGALP00000026323
ENSTGUP00000003264	ENSGALP00000002718
ENSTGUP00000009628	ENSGALP00000011876
ENSTGUP00000008404	ENSGALP00000003502
ENSTGUP00000003589	ENSGALP00000001704
ENSTGUP00000016541	ENSGALP00000043188
ENSTGUP00000000840	ENSGALP00000001688
ENSTGUP00000004600	ENSGALP00000024312
ENSTGUP00000007997	ENSGALP00000009724
ENSTGUP00000006527	ENSGALP00000007174
ENSTGUP00000000237	ENSGALP00000011976
ENSTGUP00000013904	ENSGALP00000024855
ENSTGUP00000017637	ENSGALP00000033652
ENSTGUP00000000233	ENSGALP00000011971
ENSTGUP00000008091	ENSGALP00000017858
ENSTGUP00000008275	ENSGALP00000018235
ENSTGUP00000011791	ENSGALP00000021103
ENSTGUP00000011245	ENSGALP00000027206
ENSTGUP00000007184	ENSGALP00000008699
ENSTGUP00000013609	ENSGALP00000026929
ENSTGUP00000013603	ENSGALP00000026936
ENSTGUP00000005413	ENSGALP00000006738
ENSTGUP00000011588	ENSGALP00000024953
ENSTGUP00000008513	ENSGALP00000041666
ENSTGUP00000012176	ENSGALP00000023925
ENSTGUP00000011569	ENSGALP00000024913
ENSTGUP00000015744	ENSGALP00000042630
ENSTGUP00000003599	ENSGALP00000022679
ENSTGUP00000015009	ENSGALP00000003973
ENSTGUP00000004590	ENSGALP00000039901
ENSTGUP00000017430	ENSGALP00000022198
ENSTGUP00000013582	ENSGALP00000026568
ENSTGUP00000002938	ENSGALP00000004444
ENSTGUP00000009423	ENSGALP00000021570
ENSTGUP00000010729	ENSGALP00000018510
ENSTGUP00000009389	ENSGALP00000036151
ENSTGUP00000006373	ENSGALP00000040814
ENSTGUP00000011052	ENSGALP00000040622
ENSTGUP00000004301	ENSGALP00000018880
ENSTGUP00000004460	ENSGALP00000008931
ENSTGUP00000004279	ENSGALP00000002373
ENSTGUP00000005971	ENSGALP00000038523
ENSTGUP00000013320	ENSGALP00000026331
ENSTGUP00000001792	ENSGALP00000003970
ENSTGUP00000010333	ENSGALP00000023839
ENSTGUP00000003524	ENSGALP00000001565
ENSTGUP00000013464	ENSGALP00000019842
ENSTGUP00000005217	ENSGALP00000043429
ENSTGUP00000010583	ENSGALP00000012996
ENSTGUP00000013721	ENSGALP00000026794
ENSTGUP00000008583	ENSGALP00000015519
ENSTGUP00000001687	ENSGALP00000015517
ENSTGUP00000010139	ENSGALP00000000410
ENSTGUP00000000051	ENSGALP00000021743
ENSTGUP00000002961	ENSGALP00000041507
ENSTGUP00000005561	ENSGALP00000042261
ENSTGUP00000009410	ENSGALP00000042253
ENSTGUP00000001306	ENSGALP00000043318
ENSTGUP00000003162	ENSGALP00000000626
ENSTGUP00000006712	ENSGALP00000032471
ENSTGUP00000017666	ENSGALP00000006610
ENSTGUP00000006931	ENSGALP00000034251
ENSTGUP00000001831	ENSGALP00000003207
ENSTGUP00000004740	ENSGALP00000041121
ENSTGUP00000013116	ENSGALP00000042973
ENSTGUP00000010757	ENSGALP00000020036
ENSTGUP00000003663	ENSGALP00000011799
ENSTGUP00000008481	ENSGALP00000006645
ENSTGUP00000011888	ENSGALP00000021021
ENSTGUP00000004522	ENSGALP00000014400
ENSTGUP00000005546	ENSGALP00000007061
ENSTGUP00000006158	ENSGALP00000034297
ENSTGUP00000009193	ENSGALP00000009628
ENSTGUP00000008651	ENSGALP00000011010
ENSTGUP00000007870	ENSGALP00000039900
ENSTGUP00000015337	ENSGALP00000026608
ENSTGUP00000004191	ENSGALP00000007476
ENSTGUP00000012400	ENSGALP00000025776
ENSTGUP00000003581	ENSGALP00000024437
ENSTGUP00000009196	ENSGALP00000038626
ENSTGUP00000009228	ENSGALP00000010237
ENSTGUP00000012466	ENSGALP00000041792
ENSTGUP00000010031	ENSGALP00000018239
ENSTGUP00000014507	ENSGALP00000005183
ENSTGUP00000003709	ENSGALP00000023854
ENSTGUP00000005681	ENSGALP00000037648
ENSTGUP00000009575	ENSGALP00000042279
ENSTGUP00000005669	ENSGALP00000043296
ENSTGUP00000005672	ENSGALP00000016504
ENSTGUP00000004672	ENSGALP00000002940
ENSTGUP00000007357	ENSGALP00000017594
ENSTGUP00000003986	ENSGALP00000019701
ENSTGUP00000002936	ENSGALP00000004449
ENSTGUP00000005160	ENSGALP00000003605
ENSTGUP00000005026	ENSGALP00000004272
ENSTGUP00000004960	ENSGALP00000004197
ENSTGUP00000017474	ENSGALP00000004365
ENSTGUP00000017458	ENSGALP00000004366
ENSTGUP00000001355	ENSGALP00000000423
ENSTGUP00000007730	ENSGALP00000043387
ENSTGUP00000016201	ENSGALP00000006426
ENSTGUP00000004958	ENSGALP00000014860
ENSTGUP00000017828	ENSGALP00000041570
ENSTGUP00000013013	ENSGALP00000025581
ENSTGUP00000014041	ENSGALP00000024602
ENSTGUP00000001481	ENSGALP00000041590
ENSTGUP00000004119	ENSGALP00000019663
ENSTGUP00000004758	ENSGALP00000034083
ENSTGUP00000001167	ENSGALP00000008547
ENSTGUP00000001284	ENSGALP00000025200
ENSTGUP00000005641	ENSGALP00000008787
ENSTGUP00000005351	ENSGALP00000005517
ENSTGUP00000008758	ENSGALP00000010774
ENSTGUP00000005051	ENSGALP00000041595
ENSTGUP00000008220	ENSGALP00000033543
ENSTGUP00000005553	ENSGALP00000038111
ENSTGUP00000006849	ENSGALP00000027991
ENSTGUP00000010366	ENSGALP00000033249
ENSTGUP00000001424	ENSGALP00000000223
ENSTGUP00000018065	ENSGALP00000006462
ENSTGUP00000011327	ENSGALP00000015273
ENSTGUP00000004064	ENSGALP00000003483
ENSTGUP00000006355	ENSGALP00000042366
ENSTGUP00000012708	ENSGALP00000043336
ENSTGUP00000013371	ENSGALP00000042407
ENSTGUP00000014657	ENSGALP00000013449
ENSTGUP00000006126	ENSGALP00000009483
ENSTGUP00000002118	ENSGALP00000020977
ENSTGUP00000011714	ENSGALP00000041928
ENSTGUP00000012054	ENSGALP00000027543
ENSTGUP00000000875	ENSGALP00000024461
ENSTGUP00000001057	ENSGALP00000037103
ENSTGUP00000000004	ENSGALP00000027996
ENSTGUP00000011132	ENSGALP00000025409
ENSTGUP00000005347	ENSGALP00000004574
ENSTGUP00000012638	ENSGALP00000024889
ENSTGUP00000002235	ENSGALP00000018252
ENSTGUP00000010871	ENSGALP00000025261
ENSTGUP00000003269	ENSGALP00000001365
ENSTGUP00000008191	ENSGALP00000010316
ENSTGUP00000001925	ENSGALP00000004013
ENSTGUP00000001177	ENSGALP00000012240
ENSTGUP00000010058	ENSGALP00000014104
ENSTGUP00000007219	ENSGALP00000032500
ENSTGUP00000008212	ENSGALP00000021356
ENSTGUP00000002306	ENSGALP00000043046
ENSTGUP00000012158	ENSGALP00000027517
ENSTGUP00000009157	ENSGALP00000023080
ENSTGUP00000012145	ENSGALP00000020127
ENSTGUP00000002564	ENSGALP00000006759
ENSTGUP00000011451	ENSGALP00000035958
ENSTGUP00000010617	ENSGALP00000013398
ENSTGUP00000015957	ENSGALP00000013225
ENSTGUP00000012594	ENSGALP00000020504
ENSTGUP00000010318	ENSGALP00000018059
ENSTGUP00000000419	ENSGALP00000041481
ENSTGUP00000009545	ENSGALP00000022304
ENSTGUP00000008754	ENSGALP00000012613
ENSTGUP00000005134	ENSGALP00000001743
ENSTGUP00000011142	ENSGALP00000027184
ENSTGUP00000008315	ENSGALP00000022799
ENSTGUP00000011770	ENSGALP00000015323
ENSTGUP00000003893	ENSGALP00000030103
ENSTGUP00000009747	ENSGALP00000014475
ENSTGUP00000011981	ENSGALP00000020966
ENSTGUP00000007205	ENSGALP00000001800
ENSTGUP00000004174	ENSGALP00000007477
ENSTGUP00000010482	ENSGALP00000018083
ENSTGUP00000001775	ENSGALP00000009349
ENSTGUP00000008537	ENSGALP00000015531
ENSTGUP00000001667	ENSGALP00000015808
ENSTGUP00000010492	ENSGALP00000027001
ENSTGUP00000002386	ENSGALP00000015965
ENSTGUP00000001392	ENSGALP00000000302
ENSTGUP00000008173	ENSGALP00000042648
ENSTGUP00000009905	ENSGALP00000017612
ENSTGUP00000009932	ENSGALP00000017617
ENSTGUP00000002273	ENSGALP00000023901
ENSTGUP00000002291	ENSGALP00000023910
ENSTGUP00000011073	ENSGALP00000013735
ENSTGUP00000004253	ENSGALP00000039792
ENSTGUP00000008716	ENSGALP00000001340
ENSTGUP00000008640	ENSGALP00000001321
ENSTGUP00000008979	ENSGALP00000042131
ENSTGUP00000007190	ENSGALP00000012145
ENSTGUP00000011516	ENSGALP00000024866
ENSTGUP00000007729	ENSGALP00000005919
ENSTGUP00000000614	ENSGALP00000010480
ENSTGUP00000013806	ENSGALP00000024366
ENSTGUP00000001358	ENSGALP00000013389
ENSTGUP00000004537	ENSGALP00000003108
ENSTGUP00000010327	ENSGALP00000018057
ENSTGUP00000015676	ENSGALP00000041758
ENSTGUP00000005720	ENSGALP00000005918
ENSTGUP00000013634	ENSGALP00000026916
ENSTGUP00000011596	ENSGALP00000024965
ENSTGUP00000011472	ENSGALP00000024844
ENSTGUP00000002243	ENSGALP00000036419
ENSTGUP00000012150	ENSGALP00000040927
ENSTGUP00000007063	ENSGALP00000033747
ENSTGUP00000005584	ENSGALP00000025962
ENSTGUP00000000273	ENSGALP00000012668
ENSTGUP00000000348	ENSGALP00000024856
ENSTGUP00000005800	ENSGALP00000008990
ENSTGUP00000014702	ENSGALP00000042108
ENSTGUP00000010766	ENSGALP00000018540
ENSTGUP00000002968	ENSGALP00000039156
ENSTGUP00000008158	ENSGALP00000021333
ENSTGUP00000002315	ENSGALP00000021927
ENSTGUP00000011706	ENSGALP00000042828
ENSTGUP00000004524	ENSGALP00000008742
ENSTGUP00000009307	ENSGALP00000011268
ENSTGUP00000009323	ENSGALP00000042615
ENSTGUP00000004490	ENSGALP00000002749
ENSTGUP00000013743	ENSGALP00000029846
ENSTGUP00000010115	ENSGALP00000017812
ENSTGUP00000002464	ENSGALP00000016052
ENSTGUP00000011921	ENSGALP00000027572
ENSTGUP00000008113	ENSGALP00000031452
ENSTGUP00000004045	ENSGALP00000006706
ENSTGUP00000004114	ENSGALP00000006708
ENSTGUP00000000496	ENSGALP00000041197
ENSTGUP00000003646	ENSGALP00000042434
ENSTGUP00000013261	ENSGALP00000026285
ENSTGUP00000013268	ENSGALP00000026289
ENSTGUP00000013258	ENSGALP00000026283
ENSTGUP00000003236	ENSGALP00000016919
ENSTGUP00000018255	ENSGALP00000041352
ENSTGUP00000011148	ENSGALP00000014921
ENSTGUP00000005177	ENSGALP00000005562
ENSTGUP00000000739	ENSGALP00000038490
ENSTGUP00000014708	ENSGALP00000034548
ENSTGUP00000005396	ENSGALP00000006699
ENSTGUP00000012194	ENSGALP00000023943
ENSTGUP00000010522	ENSGALP00000022517
ENSTGUP00000003660	ENSGALP00000023842
ENSTGUP00000001065	ENSGALP00000005320
ENSTGUP00000001609	ENSGALP00000042744
ENSTGUP00000007834	ENSGALP00000021227
ENSTGUP00000005998	ENSGALP00000031642
ENSTGUP00000008103	ENSGALP00000009416
ENSTGUP00000000081	ENSGALP00000000835
ENSTGUP00000002845	ENSGALP00000013472
ENSTGUP00000012497	ENSGALP00000024641
ENSTGUP00000012368	ENSGALP00000027470
ENSTGUP00000007495	ENSGALP00000009065
ENSTGUP00000012460	ENSGALP00000036962
ENSTGUP00000001329	ENSGALP00000014081
ENSTGUP00000009743	ENSGALP00000034070
ENSTGUP00000007525	ENSGALP00000007825
