ENSLOCP00000011371	ENSDARP00000122973
ENSLOCP00000018208	ENSDARP00000036929
ENSLOCP00000019753	ENSDARP00000114466
ENSLOCP00000012353	ENSDARP00000109018
ENSLOCP00000012353	ENSDARP00000041145
ENSLOCP00000004132	ENSDARP00000098378
ENSLOCP00000006157	ENSDARP00000093306
ENSLOCP00000006157	ENSDARP00000053157
ENSLOCP00000010044	ENSDARP00000121246
ENSLOCP00000018214	ENSDARP00000007140
ENSLOCP00000020601	ENSDARP00000104491
ENSLOCP00000020601	ENSDARP00000050378
ENSLOCP00000005255	ENSDARP00000042193
ENSLOCP00000005255	ENSDARP00000033512
ENSLOCP00000007900	ENSDARP00000099879
ENSLOCP00000007900	ENSDARP00000076418
ENSLOCP00000015688	ENSDARP00000052791
ENSLOCP00000015688	ENSDARP00000102159
ENSLOCP00000010023	ENSDARP00000070109
ENSLOCP00000006473	ENSDARP00000002973
ENSLOCP00000004830	ENSDARP00000087079
ENSLOCP00000020756	ENSDARP00000033311
ENSLOCP00000016356	ENSDARP00000067607
ENSLOCP00000009007	ENSDARP00000071278
ENSLOCP00000011681	ENSDARP00000016139
ENSLOCP00000018637	ENSDARP00000009865
ENSLOCP00000014277	ENSDARP00000010426
ENSLOCP00000016536	ENSDARP00000103041
ENSLOCP00000007849	ENSDARP00000105608
ENSLOCP00000008437	ENSDARP00000062853
ENSLOCP00000014423	ENSDARP00000015027
ENSLOCP00000011059	ENSDARP00000047540
ENSLOCP00000020956	ENSDARP00000036016
ENSLOCP00000015752	ENSDARP00000104838
ENSLOCP00000013775	ENSDARP00000110537
ENSLOCP00000016830	ENSDARP00000070847
ENSLOCP00000004341	ENSDARP00000066622
ENSLOCP00000017705	ENSDARP00000022709
ENSLOCP00000011055	ENSDARP00000011180
ENSLOCP00000010892	ENSDARP00000109781
ENSLOCP00000006526	ENSDARP00000100111
ENSLOCP00000001142	ENSDARP00000101968
ENSLOCP00000020785	ENSDARP00000121362
ENSLOCP00000007583	ENSDARP00000011396
ENSLOCP00000017090	ENSDARP00000122393
ENSLOCP00000004907	ENSDARP00000047840
ENSLOCP00000004907	ENSDARP00000060945
ENSLOCP00000006346	ENSDARP00000086789
ENSLOCP00000017659	ENSDARP00000078040
ENSLOCP00000000889	ENSDARP00000020784
ENSLOCP00000020036	ENSDARP00000111457
ENSLOCP00000008734	ENSDARP00000013157
ENSLOCP00000014576	ENSDARP00000052440
ENSLOCP00000005356	ENSDARP00000105799
ENSLOCP00000005033	ENSDARP00000058512
ENSLOCP00000004761	ENSDARP00000107372
ENSLOCP00000000938	ENSDARP00000107527
ENSLOCP00000006533	ENSDARP00000107947
ENSLOCP00000006533	ENSDARP00000053660
ENSLOCP00000001361	ENSDARP00000114340
ENSLOCP00000006948	ENSDARP00000117746
ENSLOCP00000006948	ENSDARP00000005170
ENSLOCP00000007874	ENSDARP00000101407
ENSLOCP00000013471	ENSDARP00000056104
ENSLOCP00000019945	ENSDARP00000118166
ENSLOCP00000019945	ENSDARP00000041684
ENSLOCP00000001954	ENSDARP00000098075
ENSLOCP00000001954	ENSDARP00000089131
ENSLOCP00000001962	ENSDARP00000069080
ENSLOCP00000002578	ENSDARP00000017762
ENSLOCP00000009983	ENSDARP00000052420
ENSLOCP00000009983	ENSDARP00000128041
ENSLOCP00000019179	ENSDARP00000109966
ENSLOCP00000012953	ENSDARP00000086597
ENSLOCP00000021847	ENSDARP00000106043
ENSLOCP00000015449	ENSDARP00000118811
ENSLOCP00000007340	ENSDARP00000016959
ENSLOCP00000005920	ENSDARP00000003829
ENSLOCP00000016604	ENSDARP00000086523
ENSLOCP00000019609	ENSDARP00000036828
ENSLOCP00000019609	ENSDARP00000082250
ENSLOCP00000009405	ENSDARP00000097745
ENSLOCP00000019306	ENSDARP00000123474
ENSLOCP00000011895	ENSDARP00000098876
ENSLOCP00000006448	ENSDARP00000049623
ENSLOCP00000011962	ENSDARP00000119476
ENSLOCP00000011240	ENSDARP00000105575
ENSLOCP00000006499	ENSDARP00000005680
ENSLOCP00000009471	ENSDARP00000059973
ENSLOCP00000007628	ENSDARP00000129595
ENSLOCP00000002972	ENSDARP00000052060
ENSLOCP00000009918	ENSDARP00000121183
ENSLOCP00000009918	ENSDARP00000003525
ENSLOCP00000017649	ENSDARP00000129116
ENSLOCP00000013021	ENSDARP00000008475
ENSLOCP00000006143	ENSDARP00000058968
ENSLOCP00000008680	ENSDARP00000079823
ENSLOCP00000018224	ENSDARP00000008223
ENSLOCP00000018185	ENSDARP00000104791
ENSLOCP00000019133	ENSDARP00000079585
ENSLOCP00000012778	ENSDARP00000127915
ENSLOCP00000005737	ENSDARP00000108980
ENSLOCP00000006828	ENSDARP00000019171
ENSLOCP00000006828	ENSDARP00000098897
ENSLOCP00000018546	ENSDARP00000039553
ENSLOCP00000005812	ENSDARP00000052983
ENSLOCP00000018544	ENSDARP00000007058
ENSLOCP00000016171	ENSDARP00000105944
ENSLOCP00000006853	ENSDARP00000106138
ENSLOCP00000010912	ENSDARP00000123199
ENSLOCP00000010447	ENSDARP00000102041
ENSLOCP00000010447	ENSDARP00000102786
ENSLOCP00000012104	ENSDARP00000084650
ENSLOCP00000013595	ENSDARP00000084598
ENSLOCP00000008955	ENSDARP00000088628
ENSLOCP00000008505	ENSDARP00000121158
ENSLOCP00000008505	ENSDARP00000102048
ENSLOCP00000017548	ENSDARP00000101583
ENSLOCP00000016248	ENSDARP00000062009
ENSLOCP00000009632	ENSDARP00000057433
ENSLOCP00000010916	ENSDARP00000063051
ENSLOCP00000003607	ENSDARP00000081844
ENSLOCP00000015072	ENSDARP00000115372
ENSLOCP00000003380	ENSDARP00000112407
ENSLOCP00000002426	ENSDARP00000013006
ENSLOCP00000012613	ENSDARP00000064825
ENSLOCP00000019084	ENSDARP00000040837
ENSLOCP00000016794	ENSDARP00000042673
ENSLOCP00000002147	ENSDARP00000018863
ENSLOCP00000007049	ENSDARP00000127476
ENSLOCP00000021122	ENSDARP00000099506
ENSLOCP00000004953	ENSDARP00000110909
ENSLOCP00000012614	ENSDARP00000013506
ENSLOCP00000012614	ENSDARP00000117090
ENSLOCP00000003234	ENSDARP00000102910
ENSLOCP00000006565	ENSDARP00000077830
ENSLOCP00000009421	ENSDARP00000012147
ENSLOCP00000016126	ENSDARP00000073893
ENSLOCP00000005393	ENSDARP00000104859
ENSLOCP00000019213	ENSDARP00000025072
ENSLOCP00000007722	ENSDARP00000057731
ENSLOCP00000009447	ENSDARP00000037980
ENSLOCP00000012552	ENSDARP00000075572
ENSLOCP00000012928	ENSDARP00000091375
ENSLOCP00000014564	ENSDARP00000002635
ENSLOCP00000019362	ENSDARP00000093844
ENSLOCP00000011332	ENSDARP00000108255
ENSLOCP00000016801	ENSDARP00000069715
ENSLOCP00000009470	ENSDARP00000073523
ENSLOCP00000011077	ENSDARP00000030625
ENSLOCP00000017982	ENSDARP00000014061
ENSLOCP00000017982	ENSDARP00000054692
ENSLOCP00000017364	ENSDARP00000091900
ENSLOCP00000016800	ENSDARP00000095620
ENSLOCP00000016082	ENSDARP00000106795
ENSLOCP00000003826	ENSDARP00000084007
ENSLOCP00000020442	ENSDARP00000087668
ENSLOCP00000011874	ENSDARP00000124333
ENSLOCP00000011874	ENSDARP00000099556
ENSLOCP00000020061	ENSDARP00000118167
ENSLOCP00000020061	ENSDARP00000129724
ENSLOCP00000021247	ENSDARP00000091436
ENSLOCP00000018907	ENSDARP00000109870
ENSLOCP00000018175	ENSDARP00000124246
ENSLOCP00000016135	ENSDARP00000100072
ENSLOCP00000011105	ENSDARP00000110473
ENSLOCP00000012449	ENSDARP00000129124
ENSLOCP00000014471	ENSDARP00000070686
ENSLOCP00000019926	ENSDARP00000092253
ENSLOCP00000016691	ENSDARP00000055491
ENSLOCP00000016003	ENSDARP00000087935
ENSLOCP00000016017	ENSDARP00000052637
ENSLOCP00000010175	ENSDARP00000067708
ENSLOCP00000010143	ENSDARP00000106457
ENSLOCP00000003063	ENSDARP00000012791
ENSLOCP00000010443	ENSDARP00000101326
ENSLOCP00000010443	ENSDARP00000006540
ENSLOCP00000018480	ENSDARP00000056073
ENSLOCP00000001254	ENSDARP00000122424
ENSLOCP00000001003	ENSDARP00000008913
ENSLOCP00000001148	ENSDARP00000111869
ENSLOCP00000009433	ENSDARP00000053775
ENSLOCP00000007419	ENSDARP00000059618
ENSLOCP00000007580	ENSDARP00000106564
ENSLOCP00000003101	ENSDARP00000022147
ENSLOCP00000015600	ENSDARP00000066366
ENSLOCP00000015600	ENSDARP00000095220
ENSLOCP00000014762	ENSDARP00000099181
ENSLOCP00000014741	ENSDARP00000100931
ENSLOCP00000014741	ENSDARP00000127731
ENSLOCP00000012489	ENSDARP00000101400
ENSLOCP00000007457	ENSDARP00000129655
ENSLOCP00000015152	ENSDARP00000119088
ENSLOCP00000015152	ENSDARP00000121875
ENSLOCP00000019453	ENSDARP00000073048
ENSLOCP00000016111	ENSDARP00000027644
ENSLOCP00000004793	ENSDARP00000095343
ENSLOCP00000004793	ENSDARP00000109154
ENSLOCP00000016120	ENSDARP00000019674
ENSLOCP00000016120	ENSDARP00000056452
ENSLOCP00000011258	ENSDARP00000068816
ENSLOCP00000011258	ENSDARP00000019643
ENSLOCP00000017308	ENSDARP00000106374
ENSLOCP00000010754	ENSDARP00000122397
ENSLOCP00000010754	ENSDARP00000129467
ENSLOCP00000005040	ENSDARP00000053606
ENSLOCP00000004226	ENSDARP00000057298
ENSLOCP00000004226	ENSDARP00000063586
ENSLOCP00000005055	ENSDARP00000064460
ENSLOCP00000004207	ENSDARP00000116789
ENSLOCP00000002039	ENSDARP00000024272
ENSLOCP00000020195	ENSDARP00000022487
ENSLOCP00000020758	ENSDARP00000052075
ENSLOCP00000019518	ENSDARP00000050473
ENSLOCP00000003844	ENSDARP00000074794
ENSLOCP00000016149	ENSDARP00000025373
ENSLOCP00000013403	ENSDARP00000046044
ENSLOCP00000003765	ENSDARP00000063985
ENSLOCP00000015553	ENSDARP00000058305
ENSLOCP00000015553	ENSDARP00000062984
ENSLOCP00000015536	ENSDARP00000117105
ENSLOCP00000021066	ENSDARP00000069251
ENSLOCP00000007452	ENSDARP00000080352
ENSLOCP00000007452	ENSDARP00000080348
ENSLOCP00000019661	ENSDARP00000109601
ENSLOCP00000014569	ENSDARP00000091774
ENSLOCP00000014569	ENSDARP00000104127
ENSLOCP00000014579	ENSDARP00000099065
ENSLOCP00000021145	ENSDARP00000092792
ENSLOCP00000004485	ENSDARP00000028904
ENSLOCP00000004485	ENSDARP00000114008
ENSLOCP00000003977	ENSDARP00000010917
ENSLOCP00000015256	ENSDARP00000025094
ENSLOCP00000017733	ENSDARP00000101279
ENSLOCP00000017733	ENSDARP00000001617
ENSLOCP00000001796	ENSDARP00000097628
ENSLOCP00000001796	ENSDARP00000080655
ENSLOCP00000006578	ENSDARP00000097784
ENSLOCP00000010716	ENSDARP00000098809
ENSLOCP00000005658	ENSDARP00000020703
ENSLOCP00000000809	ENSDARP00000072810
ENSLOCP00000008619	ENSDARP00000062072
ENSLOCP00000008619	ENSDARP00000092056
ENSLOCP00000017785	ENSDARP00000052905
ENSLOCP00000016973	ENSDARP00000039916
ENSLOCP00000016973	ENSDARP00000109890
ENSLOCP00000012649	ENSDARP00000079273
ENSLOCP00000015071	ENSDARP00000123999
ENSLOCP00000019197	ENSDARP00000053749
ENSLOCP00000001084	ENSDARP00000107734
ENSLOCP00000018253	ENSDARP00000083765
ENSLOCP00000007361	ENSDARP00000047652
ENSLOCP00000013226	ENSDARP00000081855
ENSLOCP00000018127	ENSDARP00000091926
ENSLOCP00000018322	ENSDARP00000109462
ENSLOCP00000013456	ENSDARP00000076606
ENSLOCP00000013456	ENSDARP00000025648
ENSLOCP00000008342	ENSDARP00000098282
ENSLOCP00000002711	ENSDARP00000011426
ENSLOCP00000018119	ENSDARP00000089635
ENSLOCP00000018119	ENSDARP00000107258
ENSLOCP00000014306	ENSDARP00000109709
ENSLOCP00000014306	ENSDARP00000045814
ENSLOCP00000019589	ENSDARP00000019206
ENSLOCP00000015075	ENSDARP00000060763
ENSLOCP00000020291	ENSDARP00000046463
ENSLOCP00000008490	ENSDARP00000010533
ENSLOCP00000002488	ENSDARP00000105365
ENSLOCP00000002663	ENSDARP00000094247
ENSLOCP00000002663	ENSDARP00000069273
ENSLOCP00000021031	ENSDARP00000091908
ENSLOCP00000004459	ENSDARP00000106068
ENSLOCP00000020394	ENSDARP00000014920
ENSLOCP00000020773	ENSDARP00000113517
ENSLOCP00000001781	ENSDARP00000106281
ENSLOCP00000001781	ENSDARP00000108347
ENSLOCP00000014227	ENSDARP00000088385
ENSLOCP00000001299	ENSDARP00000120338
ENSLOCP00000004757	ENSDARP00000064175
ENSLOCP00000013465	ENSDARP00000049239
ENSLOCP00000013970	ENSDARP00000006800
ENSLOCP00000018471	ENSDARP00000031665
ENSLOCP00000005419	ENSDARP00000119208
ENSLOCP00000006667	ENSDARP00000078459
ENSLOCP00000017850	ENSDARP00000106886
ENSLOCP00000011010	ENSDARP00000078354
ENSLOCP00000005447	ENSDARP00000089497
ENSLOCP00000020933	ENSDARP00000075190
ENSLOCP00000007685	ENSDARP00000117865
ENSLOCP00000017282	ENSDARP00000045678
ENSLOCP00000017282	ENSDARP00000109120
ENSLOCP00000008753	ENSDARP00000016784
ENSLOCP00000008429	ENSDARP00000122069
ENSLOCP00000019524	ENSDARP00000105750
ENSLOCP00000019526	ENSDARP00000128113
ENSLOCP00000019528	ENSDARP00000068002
ENSLOCP00000017582	ENSDARP00000114765
ENSLOCP00000017755	ENSDARP00000122045
ENSLOCP00000019207	ENSDARP00000068054
ENSLOCP00000016494	ENSDARP00000128272
ENSLOCP00000012612	ENSDARP00000054743
ENSLOCP00000001689	ENSDARP00000059513
ENSLOCP00000001689	ENSDARP00000067176
ENSLOCP00000019939	ENSDARP00000093008
ENSLOCP00000019939	ENSDARP00000079805
ENSLOCP00000001541	ENSDARP00000108227
ENSLOCP00000001021	ENSDARP00000077949
ENSLOCP00000007379	ENSDARP00000026364
ENSLOCP00000018274	ENSDARP00000123087
ENSLOCP00000012336	ENSDARP00000028379
ENSLOCP00000020213	ENSDARP00000075251
ENSLOCP00000020213	ENSDARP00000071623
ENSLOCP00000018271	ENSDARP00000072527
ENSLOCP00000012326	ENSDARP00000110487
ENSLOCP00000012326	ENSDARP00000030834
ENSLOCP00000001894	ENSDARP00000093395
ENSLOCP00000004623	ENSDARP00000102577
ENSLOCP00000006247	ENSDARP00000114103
ENSLOCP00000012176	ENSDARP00000069214
ENSLOCP00000008344	ENSDARP00000116818
ENSLOCP00000012014	ENSDARP00000077012
ENSLOCP00000004731	ENSDARP00000077905
ENSLOCP00000009358	ENSDARP00000079578
ENSLOCP00000018216	ENSDARP00000077013
ENSLOCP00000006899	ENSDARP00000034827
ENSLOCP00000019725	ENSDARP00000118891
ENSLOCP00000019725	ENSDARP00000103999
ENSLOCP00000013506	ENSDARP00000099612
ENSLOCP00000018203	ENSDARP00000064393
ENSLOCP00000018203	ENSDARP00000113608
ENSLOCP00000012560	ENSDARP00000044422
ENSLOCP00000012560	ENSDARP00000119378
ENSLOCP00000014625	ENSDARP00000106287
ENSLOCP00000011702	ENSDARP00000126959
ENSLOCP00000004154	ENSDARP00000075402
ENSLOCP00000004516	ENSDARP00000098186
ENSLOCP00000017471	ENSDARP00000045035
ENSLOCP00000011163	ENSDARP00000015303
ENSLOCP00000011163	ENSDARP00000109941
ENSLOCP00000020251	ENSDARP00000089603
ENSLOCP00000020287	ENSDARP00000077021
ENSLOCP00000007217	ENSDARP00000083042
ENSLOCP00000000876	ENSDARP00000104940
ENSLOCP00000003376	ENSDARP00000067932
ENSLOCP00000011255	ENSDARP00000061163
ENSLOCP00000021189	ENSDARP00000061134
ENSLOCP00000002235	ENSDARP00000119520
ENSLOCP00000003249	ENSDARP00000035859
ENSLOCP00000019473	ENSDARP00000030813
ENSLOCP00000013472	ENSDARP00000088399
ENSLOCP00000018778	ENSDARP00000014010
ENSLOCP00000017623	ENSDARP00000110320
ENSLOCP00000009993	ENSDARP00000109557
ENSLOCP00000009993	ENSDARP00000036256
ENSLOCP00000003471	ENSDARP00000040307
ENSLOCP00000001969	ENSDARP00000039821
ENSLOCP00000001969	ENSDARP00000011705
ENSLOCP00000022429	ENSDARP00000117905
ENSLOCP00000021935	ENSDARP00000006334
ENSLOCP00000021935	ENSDARP00000109638
ENSLOCP00000022309	ENSDARP00000114769
ENSLOCP00000019632	ENSDARP00000029675
ENSLOCP00000011378	ENSDARP00000105398
ENSLOCP00000005824	ENSDARP00000104950
ENSLOCP00000017842	ENSDARP00000037689
ENSLOCP00000019045	ENSDARP00000072911
ENSLOCP00000019295	ENSDARP00000066933
ENSLOCP00000019299	ENSDARP00000066932
ENSLOCP00000014495	ENSDARP00000092355
ENSLOCP00000002207	ENSDARP00000001039
ENSLOCP00000000046	ENSDARP00000095486
ENSLOCP00000000046	ENSDARP00000080646
ENSLOCP00000017175	ENSDARP00000127303
ENSLOCP00000017175	ENSDARP00000122795
ENSLOCP00000007629	ENSDARP00000103363
ENSLOCP00000010114	ENSDARP00000098618
ENSLOCP00000009013	ENSDARP00000098410
ENSLOCP00000009065	ENSDARP00000128029
ENSLOCP00000011158	ENSDARP00000098684
ENSLOCP00000006055	ENSDARP00000111989
ENSLOCP00000011588	ENSDARP00000077638
ENSLOCP00000013253	ENSDARP00000111319
ENSLOCP00000013984	ENSDARP00000028542
ENSLOCP00000021070	ENSDARP00000097773
ENSLOCP00000001059	ENSDARP00000108057
ENSLOCP00000015979	ENSDARP00000041235
ENSLOCP00000007485	ENSDARP00000104544
ENSLOCP00000018776	ENSDARP00000032295
ENSLOCP00000021177	ENSDARP00000116051
ENSLOCP00000007029	ENSDARP00000126208
ENSLOCP00000010750	ENSDARP00000109588
ENSLOCP00000010750	ENSDARP00000007599
ENSLOCP00000016847	ENSDARP00000101821
ENSLOCP00000019055	ENSDARP00000038316
ENSLOCP00000013710	ENSDARP00000066188
ENSLOCP00000013710	ENSDARP00000116649
ENSLOCP00000018177	ENSDARP00000058320
ENSLOCP00000010257	ENSDARP00000117687
ENSLOCP00000015642	ENSDARP00000111119
ENSLOCP00000010004	ENSDARP00000104626
ENSLOCP00000003959	ENSDARP00000078166
ENSLOCP00000005107	ENSDARP00000121795
ENSLOCP00000010365	ENSDARP00000068089
ENSLOCP00000004821	ENSDARP00000094167
ENSLOCP00000006185	ENSDARP00000099261
ENSLOCP00000001873	ENSDARP00000024335
ENSLOCP00000001873	ENSDARP00000090686
ENSLOCP00000000044	ENSDARP00000097889
ENSLOCP00000000044	ENSDARP00000098001
ENSLOCP00000009374	ENSDARP00000027821
ENSLOCP00000009374	ENSDARP00000111756
ENSLOCP00000016040	ENSDARP00000104945
ENSLOCP00000021298	ENSDARP00000124695
ENSLOCP00000003613	ENSDARP00000101793
ENSLOCP00000003613	ENSDARP00000110965
ENSLOCP00000002575	ENSDARP00000120365
ENSLOCP00000013512	ENSDARP00000082784
ENSLOCP00000009795	ENSDARP00000103750
ENSLOCP00000003601	ENSDARP00000030418
ENSLOCP00000004778	ENSDARP00000062190
ENSLOCP00000004697	ENSDARP00000077039
ENSLOCP00000004697	ENSDARP00000111021
ENSLOCP00000008012	ENSDARP00000091264
ENSLOCP00000008012	ENSDARP00000110333
ENSLOCP00000014668	ENSDARP00000067629
ENSLOCP00000014668	ENSDARP00000085044
ENSLOCP00000015875	ENSDARP00000007836
ENSLOCP00000006242	ENSDARP00000018632
ENSLOCP00000006242	ENSDARP00000045932
ENSLOCP00000007493	ENSDARP00000051402
ENSLOCP00000007493	ENSDARP00000114502
ENSLOCP00000009760	ENSDARP00000095328
ENSLOCP00000009760	ENSDARP00000032601
ENSLOCP00000005861	ENSDARP00000092425
ENSLOCP00000001848	ENSDARP00000101478
ENSLOCP00000008215	ENSDARP00000092068
ENSLOCP00000008179	ENSDARP00000084700
ENSLOCP00000008179	ENSDARP00000079303
ENSLOCP00000020161	ENSDARP00000051104
ENSLOCP00000020161	ENSDARP00000067260
ENSLOCP00000020208	ENSDARP00000128595
ENSLOCP00000018594	ENSDARP00000086446
ENSLOCP00000003504	ENSDARP00000109667
ENSLOCP00000020373	ENSDARP00000129129
ENSLOCP00000002245	ENSDARP00000094710
ENSLOCP00000005952	ENSDARP00000117556
ENSLOCP00000017532	ENSDARP00000095187
ENSLOCP00000017532	ENSDARP00000026805
ENSLOCP00000021347	ENSDARP00000069597
ENSLOCP00000005221	ENSDARP00000109180
ENSLOCP00000015051	ENSDARP00000093113
ENSLOCP00000015458	ENSDARP00000091828
ENSLOCP00000006402	ENSDARP00000057524
ENSLOCP00000002216	ENSDARP00000077702
ENSLOCP00000002216	ENSDARP00000080290
ENSLOCP00000019565	ENSDARP00000101110
ENSLOCP00000014030	ENSDARP00000073439
ENSLOCP00000004614	ENSDARP00000106240
ENSLOCP00000004050	ENSDARP00000118753
ENSLOCP00000000246	ENSDARP00000119475
ENSLOCP00000000246	ENSDARP00000122486
ENSLOCP00000016808	ENSDARP00000128562
ENSLOCP00000016808	ENSDARP00000126045
ENSLOCP00000006604	ENSDARP00000098491
ENSLOCP00000006604	ENSDARP00000055022
ENSLOCP00000016806	ENSDARP00000057324
ENSLOCP00000016806	ENSDARP00000099217
ENSLOCP00000000222	ENSDARP00000118548
ENSLOCP00000000222	ENSDARP00000094670
ENSLOCP00000001823	ENSDARP00000078963
ENSLOCP00000003174	ENSDARP00000121065
ENSLOCP00000008710	ENSDARP00000113858
ENSLOCP00000008710	ENSDARP00000047200
ENSLOCP00000021302	ENSDARP00000076873
ENSLOCP00000002027	ENSDARP00000093925
ENSLOCP00000003711	ENSDARP00000054451
ENSLOCP00000003711	ENSDARP00000113100
ENSLOCP00000001407	ENSDARP00000002935
ENSLOCP00000013996	ENSDARP00000066410
ENSLOCP00000000159	ENSDARP00000086549
ENSLOCP00000003313	ENSDARP00000073621
ENSLOCP00000005911	ENSDARP00000107675
ENSLOCP00000003804	ENSDARP00000003397
ENSLOCP00000003804	ENSDARP00000108198
ENSLOCP00000019706	ENSDARP00000124029
ENSLOCP00000013492	ENSDARP00000093555
ENSLOCP00000013006	ENSDARP00000094162
ENSLOCP00000020482	ENSDARP00000094885
ENSLOCP00000018516	ENSDARP00000111917
ENSLOCP00000005643	ENSDARP00000055708
ENSLOCP00000005353	ENSDARP00000092351
ENSLOCP00000017301	ENSDARP00000111735
ENSLOCP00000006003	ENSDARP00000018393
ENSLOCP00000008839	ENSDARP00000073394
ENSLOCP00000013373	ENSDARP00000098436
ENSLOCP00000004901	ENSDARP00000108551
ENSLOCP00000013953	ENSDARP00000102728
ENSLOCP00000010520	ENSDARP00000098758
ENSLOCP00000010551	ENSDARP00000011500
ENSLOCP00000011038	ENSDARP00000119695
ENSLOCP00000010581	ENSDARP00000107042
ENSLOCP00000010581	ENSDARP00000121180
ENSLOCP00000006693	ENSDARP00000120230
ENSLOCP00000011510	ENSDARP00000117311
ENSLOCP00000018383	ENSDARP00000083949
ENSLOCP00000005299	ENSDARP00000064746
ENSLOCP00000000480	ENSDARP00000108993
ENSLOCP00000005593	ENSDARP00000018087
ENSLOCP00000005593	ENSDARP00000099244
ENSLOCP00000022225	ENSDARP00000064832
ENSLOCP00000001520	ENSDARP00000118205
ENSLOCP00000021137	ENSDARP00000106725
ENSLOCP00000019545	ENSDARP00000047006
ENSLOCP00000002445	ENSDARP00000091933
