ENSGALP00000006197	ENSACAP00000005936
ENSGALP00000040060	ENSACAP00000016443
ENSGALP00000018503	ENSACAP00000012452
ENSGALP00000019399	ENSACAP00000001895
ENSGALP00000024768	ENSACAP00000014884
ENSGALP00000038287	ENSACAP00000004742
ENSGALP00000007547	ENSACAP00000005904
ENSGALP00000017701	ENSACAP00000009961
ENSGALP00000018224	ENSACAP00000013070
ENSGALP00000016105	ENSACAP00000014146
ENSGALP00000013191	ENSACAP00000011702
ENSGALP00000009806	ENSACAP00000015780
ENSGALP00000003684	ENSACAP00000002299
ENSGALP00000008702	ENSACAP00000017514
ENSGALP00000037588	ENSACAP00000006047
ENSGALP00000032215	ENSACAP00000015236
ENSGALP00000017417	ENSACAP00000009598
ENSGALP00000013142	ENSACAP00000003471
ENSGALP00000017678	ENSACAP00000007070
ENSGALP00000024782	ENSACAP00000005752
ENSGALP00000001334	ENSACAP00000007401
ENSGALP00000010979	ENSACAP00000019189
ENSGALP00000038745	ENSACAP00000009600
ENSGALP00000039924	ENSACAP00000018998
ENSGALP00000019325	ENSACAP00000011711
ENSGALP00000002366	ENSACAP00000017664
ENSGALP00000038404	ENSACAP00000002249
ENSGALP00000019689	ENSACAP00000010451
ENSGALP00000009892	ENSACAP00000011342
ENSGALP00000013052	ENSACAP00000014285
ENSGALP00000020571	ENSACAP00000014668
ENSGALP00000008574	ENSACAP00000003308
ENSGALP00000017281	ENSACAP00000011031
ENSGALP00000038563	ENSACAP00000015061
ENSGALP00000007204	ENSACAP00000011989
ENSGALP00000010958	ENSACAP00000006661
ENSGALP00000013724	ENSACAP00000010344
ENSGALP00000008112	ENSACAP00000008723
ENSGALP00000005789	ENSACAP00000012354
ENSGALP00000006300	ENSACAP00000008800
ENSGALP00000013714	ENSACAP00000000609
ENSGALP00000014734	ENSACAP00000015558
ENSGALP00000000973	ENSACAP00000014183
ENSGALP00000018656	ENSACAP00000013350
ENSGALP00000017596	ENSACAP00000005792
ENSGALP00000026677	ENSACAP00000010506
ENSGALP00000006782	ENSACAP00000009513
ENSGALP00000012265	ENSACAP00000002901
ENSGALP00000009402	ENSACAP00000013575
ENSGALP00000009612	ENSACAP00000012544
ENSGALP00000021856	ENSACAP00000015144
ENSGALP00000010281	ENSACAP00000020331
ENSGALP00000022282	ENSACAP00000022081
ENSGALP00000036082	ENSACAP00000007051
ENSGALP00000014065	ENSACAP00000019114
ENSGALP00000041045	ENSACAP00000015012
ENSGALP00000033098	ENSACAP00000009498
ENSGALP00000010325	ENSACAP00000001475
ENSGALP00000000810	ENSACAP00000003976
ENSGALP00000025626	ENSACAP00000004307
ENSGALP00000019975	ENSACAP00000008062
ENSGALP00000000239	ENSACAP00000001594
ENSGALP00000007948	ENSACAP00000010217
ENSGALP00000021686	ENSACAP00000004865
ENSGALP00000038787	ENSACAP00000003655
ENSGALP00000000530	ENSACAP00000011875
ENSGALP00000011453	ENSACAP00000004311
ENSGALP00000014728	ENSACAP00000015880
ENSGALP00000014501	ENSACAP00000008565
ENSGALP00000018774	ENSACAP00000002928
ENSGALP00000018209	ENSACAP00000000868
ENSGALP00000014878	ENSACAP00000016976
ENSGALP00000019882	ENSACAP00000009221
ENSGALP00000041356	ENSACAP00000016880
ENSGALP00000013726	ENSACAP00000005302
ENSGALP00000010625	ENSACAP00000002551
ENSGALP00000037370	ENSACAP00000000081
ENSGALP00000020311	ENSACAP00000007917
ENSGALP00000020307	ENSACAP00000007896
ENSGALP00000018675	ENSACAP00000004457
ENSGALP00000040685	ENSACAP00000015885
ENSGALP00000008889	ENSACAP00000002426
ENSGALP00000027075	ENSACAP00000002385
ENSGALP00000008481	ENSACAP00000017474
ENSGALP00000014663	ENSACAP00000005740
ENSGALP00000008104	ENSACAP00000000523
ENSGALP00000014672	ENSACAP00000005682
ENSGALP00000024150	ENSACAP00000003383
ENSGALP00000010431	ENSACAP00000009862
ENSGALP00000016015	ENSACAP00000016069
ENSGALP00000041013	ENSACAP00000001093
ENSGALP00000016884	ENSACAP00000017526
ENSGALP00000025920	ENSACAP00000010676
ENSGALP00000009133	ENSACAP00000015435
ENSGALP00000023682	ENSACAP00000014650
ENSGALP00000003295	ENSACAP00000000942
ENSGALP00000005914	ENSACAP00000009728
ENSGALP00000005933	ENSACAP00000009731
ENSGALP00000043195	ENSACAP00000018182
ENSGALP00000037396	ENSACAP00000014024
ENSGALP00000009678	ENSACAP00000013525
ENSGALP00000014673	ENSACAP00000001427
ENSGALP00000019114	ENSACAP00000015468
ENSGALP00000013447	ENSACAP00000004783
ENSGALP00000013448	ENSACAP00000008216
ENSGALP00000013450	ENSACAP00000004784
ENSGALP00000024083	ENSACAP00000013542
ENSGALP00000019723	ENSACAP00000009388
ENSGALP00000011296	ENSACAP00000001385
ENSGALP00000023592	ENSACAP00000018145
ENSGALP00000014112	ENSACAP00000012872
ENSGALP00000041748	ENSACAP00000019293
ENSGALP00000010121	ENSACAP00000016705
ENSGALP00000018337	ENSACAP00000012594
ENSGALP00000006947	ENSACAP00000016101
ENSGALP00000010805	ENSACAP00000003008
ENSGALP00000017274	ENSACAP00000002577
ENSGALP00000010722	ENSACAP00000012146
ENSGALP00000041770	ENSACAP00000009720
ENSGALP00000005190	ENSACAP00000005943
ENSGALP00000033380	ENSACAP00000000973
ENSGALP00000015469	ENSACAP00000013030
ENSGALP00000011904	ENSACAP00000001579
ENSGALP00000000058	ENSACAP00000012461
ENSGALP00000018258	ENSACAP00000022538
ENSGALP00000015125	ENSACAP00000005645
ENSGALP00000042267	ENSACAP00000015655
ENSGALP00000014259	ENSACAP00000001953
ENSGALP00000026355	ENSACAP00000005411
ENSGALP00000001480	ENSACAP00000000088
ENSGALP00000001445	ENSACAP00000013225
ENSGALP00000009449	ENSACAP00000006078
ENSGALP00000026363	ENSACAP00000005523
ENSGALP00000005166	ENSACAP00000011534
ENSGALP00000026192	ENSACAP00000006602
ENSGALP00000018821	ENSACAP00000003200
ENSGALP00000010760	ENSACAP00000009074
ENSGALP00000018856	ENSACAP00000012719
ENSGALP00000041658	ENSACAP00000001753
ENSGALP00000011895	ENSACAP00000001589
ENSGALP00000037169	ENSACAP00000019903
ENSGALP00000042394	ENSACAP00000009777
ENSGALP00000018378	ENSACAP00000012169
ENSGALP00000012308	ENSACAP00000006466
ENSGALP00000032209	ENSACAP00000008206
ENSGALP00000011089	ENSACAP00000004741
ENSGALP00000007956	ENSACAP00000015089
ENSGALP00000020873	ENSACAP00000013366
ENSGALP00000041485	ENSACAP00000010728
ENSGALP00000041496	ENSACAP00000010782
ENSGALP00000013164	ENSACAP00000014628
ENSGALP00000032172	ENSACAP00000002919
ENSGALP00000020507	ENSACAP00000002673
ENSGALP00000038688	ENSACAP00000022504
ENSGALP00000027805	ENSACAP00000014585
ENSGALP00000027801	ENSACAP00000014351
ENSGALP00000012087	ENSACAP00000000607
ENSGALP00000003336	ENSACAP00000008532
ENSGALP00000001136	ENSACAP00000019778
ENSGALP00000040977	ENSACAP00000008554
ENSGALP00000015293	ENSACAP00000006509
ENSGALP00000013575	ENSACAP00000004623
ENSGALP00000011851	ENSACAP00000000901
ENSGALP00000015542	ENSACAP00000003028
ENSGALP00000042747	ENSACAP00000002875
ENSGALP00000025631	ENSACAP00000004244
ENSGALP00000026153	ENSACAP00000010760
ENSGALP00000009339	ENSACAP00000005855
ENSGALP00000038530	ENSACAP00000022123
ENSGALP00000005663	ENSACAP00000014691
ENSGALP00000005693	ENSACAP00000022035
ENSGALP00000010290	ENSACAP00000008887
ENSGALP00000028023	ENSACAP00000006450
ENSGALP00000036578	ENSACAP00000020101
ENSGALP00000043451	ENSACAP00000003697
ENSGALP00000014354	ENSACAP00000009858
ENSGALP00000017249	ENSACAP00000008000
ENSGALP00000025071	ENSACAP00000010293
ENSGALP00000018782	ENSACAP00000023319
ENSGALP00000043236	ENSACAP00000005594
ENSGALP00000032176	ENSACAP00000005511
ENSGALP00000038910	ENSACAP00000008947
ENSGALP00000002804	ENSACAP00000000177
ENSGALP00000012015	ENSACAP00000002350
ENSGALP00000020137	ENSACAP00000014072
ENSGALP00000024720	ENSACAP00000011900
ENSGALP00000041141	ENSACAP00000020690
ENSGALP00000041417	ENSACAP00000001779
ENSGALP00000026350	ENSACAP00000005299
ENSGALP00000024556	ENSACAP00000012130
ENSGALP00000040830	ENSACAP00000008363
ENSGALP00000043176	ENSACAP00000003188
ENSGALP00000026399	ENSACAP00000009106
ENSGALP00000023990	ENSACAP00000014036
ENSGALP00000040961	ENSACAP00000007060
ENSGALP00000001914	ENSACAP00000017578
ENSGALP00000030892	ENSACAP00000012829
ENSGALP00000025760	ENSACAP00000005032
ENSGALP00000013837	ENSACAP00000005870
ENSGALP00000008892	ENSACAP00000005546
ENSGALP00000025221	ENSACAP00000017072
ENSGALP00000003035	ENSACAP00000012489
ENSGALP00000043302	ENSACAP00000020615
ENSGALP00000037618	ENSACAP00000000594
ENSGALP00000009621	ENSACAP00000016644
ENSGALP00000017259	ENSACAP00000000809
ENSGALP00000042449	ENSACAP00000011635
ENSGALP00000011148	ENSACAP00000004810
ENSGALP00000011044	ENSACAP00000004629
ENSGALP00000013380	ENSACAP00000021872
ENSGALP00000040755	ENSACAP00000000027
ENSGALP00000024701	ENSACAP00000000226
ENSGALP00000010493	ENSACAP00000007738
ENSGALP00000039384	ENSACAP00000013047
ENSGALP00000041259	ENSACAP00000020901
ENSGALP00000027876	ENSACAP00000002156
ENSGALP00000002287	ENSACAP00000006137
ENSGALP00000001583	ENSACAP00000017488
ENSGALP00000016838	ENSACAP00000006741
ENSGALP00000024341	ENSACAP00000000905
ENSGALP00000013830	ENSACAP00000021463
ENSGALP00000016475	ENSACAP00000009209
ENSGALP00000016529	ENSACAP00000003253
ENSGALP00000020611	ENSACAP00000015115
ENSGALP00000024015	ENSACAP00000013959
ENSGALP00000007049	ENSACAP00000012315
ENSGALP00000027473	ENSACAP00000016268
ENSGALP00000041378	ENSACAP00000021250
ENSGALP00000001317	ENSACAP00000016828
ENSGALP00000007603	ENSACAP00000001504
ENSGALP00000042939	ENSACAP00000016001
ENSGALP00000023733	ENSACAP00000000861
ENSGALP00000007183	ENSACAP00000006310
ENSGALP00000007393	ENSACAP00000013784
ENSGALP00000007413	ENSACAP00000001714
ENSGALP00000008707	ENSACAP00000005065
ENSGALP00000013692	ENSACAP00000000988
ENSGALP00000026019	ENSACAP00000002892
ENSGALP00000014186	ENSACAP00000014551
ENSGALP00000041584	ENSACAP00000022278
ENSGALP00000041036	ENSACAP00000014771
ENSGALP00000014563	ENSACAP00000014705
ENSGALP00000032002	ENSACAP00000014796
ENSGALP00000008107	ENSACAP00000002010
ENSGALP00000012178	ENSACAP00000002775
ENSGALP00000010477	ENSACAP00000007811
ENSGALP00000025385	ENSACAP00000014205
ENSGALP00000026323	ENSACAP00000005055
ENSGALP00000002718	ENSACAP00000003452
ENSGALP00000011876	ENSACAP00000022607
ENSGALP00000003502	ENSACAP00000007418
ENSGALP00000043188	ENSACAP00000009843
ENSGALP00000009724	ENSACAP00000010717
ENSGALP00000007174	ENSACAP00000023161
ENSGALP00000011976	ENSACAP00000007133
ENSGALP00000024855	ENSACAP00000009262
ENSGALP00000033652	ENSACAP00000007144
ENSGALP00000011971	ENSACAP00000007166
ENSGALP00000017858	ENSACAP00000014451
ENSGALP00000018235	ENSACAP00000011447
ENSGALP00000021103	ENSACAP00000012845
ENSGALP00000027206	ENSACAP00000003423
ENSGALP00000008699	ENSACAP00000014516
ENSGALP00000026929	ENSACAP00000013145
ENSGALP00000006738	ENSACAP00000016589
ENSGALP00000024953	ENSACAP00000016612
ENSGALP00000041666	ENSACAP00000000766
ENSGALP00000023925	ENSACAP00000001550
ENSGALP00000024913	ENSACAP00000005884
ENSGALP00000042630	ENSACAP00000015136
ENSGALP00000003973	ENSACAP00000016217
ENSGALP00000039901	ENSACAP00000001002
ENSGALP00000004444	ENSACAP00000013260
ENSGALP00000021570	ENSACAP00000010212
ENSGALP00000018510	ENSACAP00000011210
ENSGALP00000006916	ENSACAP00000012546
ENSGALP00000036151	ENSACAP00000005192
ENSGALP00000040622	ENSACAP00000016014
ENSGALP00000008931	ENSACAP00000007863
ENSGALP00000026331	ENSACAP00000005144
ENSGALP00000003970	ENSACAP00000013190
ENSGALP00000023839	ENSACAP00000021368
ENSGALP00000001565	ENSACAP00000009646
ENSGALP00000019842	ENSACAP00000015982
ENSGALP00000043429	ENSACAP00000003038
ENSGALP00000040906	ENSACAP00000017531
ENSGALP00000026794	ENSACAP00000010036
ENSGALP00000015519	ENSACAP00000016064
ENSGALP00000015517	ENSACAP00000014392
ENSGALP00000000410	ENSACAP00000022803
ENSGALP00000041507	ENSACAP00000003080
ENSGALP00000042261	ENSACAP00000002627
ENSGALP00000042253	ENSACAP00000003987
ENSGALP00000003190	ENSACAP00000001514
ENSGALP00000014047	ENSACAP00000005355
ENSGALP00000000626	ENSACAP00000013258
ENSGALP00000032471	ENSACAP00000012231
ENSGALP00000006610	ENSACAP00000012123
ENSGALP00000020036	ENSACAP00000008258
ENSGALP00000011799	ENSACAP00000010223
ENSGALP00000006645	ENSACAP00000011216
ENSGALP00000021021	ENSACAP00000011928
ENSGALP00000014400	ENSACAP00000006406
ENSGALP00000007061	ENSACAP00000016440
ENSGALP00000034297	ENSACAP00000011920
ENSGALP00000009628	ENSACAP00000011449
ENSGALP00000020540	ENSACAP00000000792
ENSGALP00000039900	ENSACAP00000019131
ENSGALP00000019136	ENSACAP00000010667
ENSGALP00000026608	ENSACAP00000008195
ENSGALP00000025776	ENSACAP00000016076
ENSGALP00000005861	ENSACAP00000015939
ENSGALP00000038626	ENSACAP00000000060
ENSGALP00000010237	ENSACAP00000000062
ENSGALP00000041792	ENSACAP00000016848
ENSGALP00000018239	ENSACAP00000002993
ENSGALP00000005183	ENSACAP00000014378
ENSGALP00000023854	ENSACAP00000016349
ENSGALP00000037648	ENSACAP00000002280
ENSGALP00000042279	ENSACAP00000008704
ENSGALP00000043296	ENSACAP00000002301
ENSGALP00000016504	ENSACAP00000002289
ENSGALP00000002940	ENSACAP00000000982
ENSGALP00000017594	ENSACAP00000006631
ENSGALP00000042395	ENSACAP00000004423
ENSGALP00000019701	ENSACAP00000009525
ENSGALP00000003605	ENSACAP00000011435
ENSGALP00000004272	ENSACAP00000014149
ENSGALP00000004312	ENSACAP00000014229
ENSGALP00000004365	ENSACAP00000013251
ENSGALP00000004366	ENSACAP00000018385
ENSGALP00000000423	ENSACAP00000003635
ENSGALP00000043387	ENSACAP00000006532
ENSGALP00000006426	ENSACAP00000015536
ENSGALP00000014860	ENSACAP00000007357
ENSGALP00000041570	ENSACAP00000017648
ENSGALP00000025581	ENSACAP00000004922
ENSGALP00000024602	ENSACAP00000010908
ENSGALP00000041590	ENSACAP00000016710
ENSGALP00000019663	ENSACAP00000022499
ENSGALP00000034083	ENSACAP00000006787
ENSGALP00000008547	ENSACAP00000003450
ENSGALP00000025200	ENSACAP00000017120
ENSGALP00000008787	ENSACAP00000000624
ENSGALP00000005517	ENSACAP00000000588
ENSGALP00000010774	ENSACAP00000007712
ENSGALP00000041595	ENSACAP00000002813
ENSGALP00000033543	ENSACAP00000003779
ENSGALP00000038111	ENSACAP00000006838
ENSGALP00000033249	ENSACAP00000003121
ENSGALP00000041936	ENSACAP00000006004
ENSGALP00000000223	ENSACAP00000004681
ENSGALP00000006462	ENSACAP00000008548
ENSGALP00000032309	ENSACAP00000007583
ENSGALP00000015273	ENSACAP00000019498
ENSGALP00000003483	ENSACAP00000008475
ENSGALP00000043309	ENSACAP00000004126
ENSGALP00000015251	ENSACAP00000015588
ENSGALP00000023027	ENSACAP00000017189
ENSGALP00000040351	ENSACAP00000004772
ENSGALP00000043336	ENSACAP00000008306
ENSGALP00000042407	ENSACAP00000016647
ENSGALP00000005231	ENSACAP00000015123
ENSGALP00000041195	ENSACAP00000007875
ENSGALP00000009483	ENSACAP00000005587
ENSGALP00000037994	ENSACAP00000003316
ENSGALP00000020977	ENSACAP00000017342
ENSGALP00000041928	ENSACAP00000006756
ENSGALP00000027543	ENSACAP00000005040
ENSGALP00000002864	ENSACAP00000011813
ENSGALP00000037103	ENSACAP00000007413
ENSGALP00000027996	ENSACAP00000007085
ENSGALP00000025409	ENSACAP00000011502
ENSGALP00000004574	ENSACAP00000010004
ENSGALP00000024889	ENSACAP00000010045
ENSGALP00000018252	ENSACAP00000020018
ENSGALP00000024026	ENSACAP00000011328
ENSGALP00000038592	ENSACAP00000015725
ENSGALP00000001365	ENSACAP00000015191
ENSGALP00000010316	ENSACAP00000011167
ENSGALP00000038766	ENSACAP00000008017
ENSGALP00000012240	ENSACAP00000008008
ENSGALP00000014104	ENSACAP00000004399
ENSGALP00000032500	ENSACAP00000000803
ENSGALP00000021356	ENSACAP00000008345
ENSGALP00000043046	ENSACAP00000003367
ENSGALP00000027517	ENSACAP00000004184
ENSGALP00000023080	ENSACAP00000007474
ENSGALP00000020127	ENSACAP00000001458
ENSGALP00000043303	ENSACAP00000014103
ENSGALP00000006759	ENSACAP00000014765
ENSGALP00000024821	ENSACAP00000017720
ENSGALP00000013398	ENSACAP00000004657
ENSGALP00000009076	ENSACAP00000008815
ENSGALP00000013225	ENSACAP00000016406
ENSGALP00000020504	ENSACAP00000010376
ENSGALP00000018059	ENSACAP00000001164
ENSGALP00000040665	ENSACAP00000009122
ENSGALP00000041481	ENSACAP00000005810
ENSGALP00000022304	ENSACAP00000011557
ENSGALP00000012613	ENSACAP00000015652
ENSGALP00000001743	ENSACAP00000013834
ENSGALP00000027184	ENSACAP00000002635
ENSGALP00000022799	ENSACAP00000006227
ENSGALP00000015323	ENSACAP00000005008
ENSGALP00000038332	ENSACAP00000008138
ENSGALP00000030103	ENSACAP00000004083
ENSGALP00000020966	ENSACAP00000011214
ENSGALP00000001800	ENSACAP00000011080
ENSGALP00000018083	ENSACAP00000011160
ENSGALP00000009349	ENSACAP00000005916
ENSGALP00000015531	ENSACAP00000016208
ENSGALP00000015808	ENSACAP00000014283
ENSGALP00000027001	ENSACAP00000012562
ENSGALP00000009513	ENSACAP00000015914
ENSGALP00000015965	ENSACAP00000002378
ENSGALP00000000302	ENSACAP00000004847
ENSGALP00000042648	ENSACAP00000010954
ENSGALP00000017612	ENSACAP00000006737
ENSGALP00000017617	ENSACAP00000006791
ENSGALP00000023901	ENSACAP00000010102
ENSGALP00000023910	ENSACAP00000019044
ENSGALP00000013735	ENSACAP00000014348
ENSGALP00000039792	ENSACAP00000017517
ENSGALP00000042131	ENSACAP00000009392
ENSGALP00000012145	ENSACAP00000007409
ENSGALP00000024866	ENSACAP00000005518
ENSGALP00000033981	ENSACAP00000008283
ENSGALP00000005919	ENSACAP00000012104
ENSGALP00000024366	ENSACAP00000009797
ENSGALP00000003108	ENSACAP00000020911
ENSGALP00000018057	ENSACAP00000001116
ENSGALP00000000236	ENSACAP00000006511
ENSGALP00000005918	ENSACAP00000015474
ENSGALP00000026916	ENSACAP00000012914
ENSGALP00000024965	ENSACAP00000016554
ENSGALP00000024844	ENSACAP00000005262
ENSGALP00000036419	ENSACAP00000017421
ENSGALP00000040927	ENSACAP00000010082
ENSGALP00000033747	ENSACAP00000019370
ENSGALP00000025962	ENSACAP00000005303
ENSGALP00000024856	ENSACAP00000008303
ENSGALP00000008990	ENSACAP00000004789
ENSGALP00000042108	ENSACAP00000015583
ENSGALP00000018540	ENSACAP00000011008
ENSGALP00000039156	ENSACAP00000020481
ENSGALP00000021333	ENSACAP00000008088
ENSGALP00000021927	ENSACAP00000003237
ENSGALP00000042828	ENSACAP00000017194
ENSGALP00000008742	ENSACAP00000002437
ENSGALP00000029846	ENSACAP00000007938
ENSGALP00000031700	ENSACAP00000015545
ENSGALP00000017812	ENSACAP00000007692
ENSGALP00000016052	ENSACAP00000002841
ENSGALP00000012513	ENSACAP00000002560
ENSGALP00000027572	ENSACAP00000003050
ENSGALP00000031452	ENSACAP00000005799
ENSGALP00000015855	ENSACAP00000005716
ENSGALP00000006706	ENSACAP00000009466
ENSGALP00000041197	ENSACAP00000006764
ENSGALP00000042434	ENSACAP00000011676
ENSGALP00000026283	ENSACAP00000008668
ENSGALP00000014921	ENSACAP00000016136
ENSGALP00000016865	ENSACAP00000007832
ENSGALP00000038490	ENSACAP00000008342
ENSGALP00000034548	ENSACAP00000000292
ENSGALP00000006699	ENSACAP00000016592
ENSGALP00000023943	ENSACAP00000001387
ENSGALP00000022517	ENSACAP00000004700
ENSGALP00000023842	ENSACAP00000016253
ENSGALP00000005320	ENSACAP00000010516
ENSGALP00000021227	ENSACAP00000002693
ENSGALP00000031642	ENSACAP00000005027
ENSGALP00000009416	ENSACAP00000020603
ENSGALP00000042029	ENSACAP00000002664
ENSGALP00000013472	ENSACAP00000006327
ENSGALP00000021851	ENSACAP00000015074
ENSGALP00000041822	ENSACAP00000000234
ENSGALP00000027470	ENSACAP00000016353
ENSGALP00000009065	ENSACAP00000014973
ENSGALP00000014081	ENSACAP00000005221
ENSGALP00000034070	ENSACAP00000017129
ENSGALP00000007825	ENSACAP00000021532
ENSGALP00000020470	ENSACAP00000019924
ENSGALP00000034313	ENSACAP00000021507
ENSGALP00000012522	ENSACAP00000018980
ENSGALP00000037969	ENSACAP00000007124
ENSGALP00000029689	ENSACAP00000017651
ENSGALP00000002266	ENSACAP00000001435
ENSGALP00000008101	ENSACAP00000010853
ENSGALP00000015507	ENSACAP00000020401
ENSGALP00000010092	ENSACAP00000006453
ENSGALP00000018364	ENSACAP00000012667
ENSGALP00000042785	ENSACAP00000002092
ENSGALP00000008859	ENSACAP00000020519
ENSGALP00000003933	ENSACAP00000013054
ENSGALP00000011107	ENSACAP00000012381
ENSGALP00000020098	ENSACAP00000017326
