ENSTGUP00000008915	ENSMUSP00000034074
ENSTGUP00000009073	ENSMUSP00000125373
ENSTGUP00000010457	ENSMUSP00000007216
ENSTGUP00000006886	ENSMUSP00000117346
ENSTGUP00000005604	ENSMUSP00000128446
ENSTGUP00000000719	ENSMUSP00000003117
ENSTGUP00000010484	ENSMUSP00000109886
ENSTGUP00000001484	ENSMUSP00000030763
ENSTGUP00000017785	ENSMUSP00000027697
ENSTGUP00000008359	ENSMUSP00000033755
ENSTGUP00000003284	ENSMUSP00000027538
ENSTGUP00000005747	ENSMUSP00000033549
ENSTGUP00000008668	ENSMUSP00000033341
ENSTGUP00000013552	ENSMUSP00000001562
ENSTGUP00000001739	ENSMUSP00000049070
ENSTGUP00000013534	ENSMUSP00000082895
ENSTGUP00000004152	ENSMUSP00000080832
ENSTGUP00000003859	ENSMUSP00000112110
ENSTGUP00000014941	ENSMUSP00000102770
ENSTGUP00000001990	ENSMUSP00000021046
ENSTGUP00000004793	ENSMUSP00000021062
ENSTGUP00000017288	ENSMUSP00000032539
ENSTGUP00000000367	ENSMUSP00000025500
ENSTGUP00000003797	ENSMUSP00000078971
ENSTGUP00000009690	ENSMUSP00000079864
ENSTGUP00000004020	ENSMUSP00000036830
ENSTGUP00000009469	ENSMUSP00000002809
ENSTGUP00000002508	ENSMUSP00000001595
ENSTGUP00000010870	ENSMUSP00000072472
ENSTGUP00000007392	ENSMUSP00000020702
ENSTGUP00000007382	ENSMUSP00000020704
ENSTGUP00000005260	ENSMUSP00000046610
ENSTGUP00000002415	ENSMUSP00000017637
ENSTGUP00000005613	ENSMUSP00000023601
ENSTGUP00000010013	ENSMUSP00000084091
ENSTGUP00000003654	ENSMUSP00000092654
ENSTGUP00000007258	ENSMUSP00000036227
ENSTGUP00000015841	ENSMUSP00000007340
ENSTGUP00000003258	ENSMUSP00000042410
ENSTGUP00000015287	ENSMUSP00000031037
ENSTGUP00000001094	ENSMUSP00000101500
ENSTGUP00000007581	ENSMUSP00000005952
ENSTGUP00000002636	ENSMUSP00000058045
ENSTGUP00000001638	ENSMUSP00000101768
ENSTGUP00000002188	ENSMUSP00000126137
ENSTGUP00000002551	ENSMUSP00000074864
ENSTGUP00000013312	ENSMUSP00000002880
ENSTGUP00000012297	ENSMUSP00000042466
ENSTGUP00000010642	ENSMUSP00000047278
ENSTGUP00000010646	ENSMUSP00000107444
ENSTGUP00000012301	ENSMUSP00000064462
ENSTGUP00000000742	ENSMUSP00000105212
ENSTGUP00000006629	ENSMUSP00000041897
ENSTGUP00000011117	ENSMUSP00000046585
ENSTGUP00000011415	ENSMUSP00000107347
ENSTGUP00000001560	ENSMUSP00000031674
ENSTGUP00000009514	ENSMUSP00000053238
ENSTGUP00000002561	ENSMUSP00000030041
ENSTGUP00000013124	ENSMUSP00000021689
ENSTGUP00000004234	ENSMUSP00000077781
ENSTGUP00000002417	ENSMUSP00000090987
ENSTGUP00000016403	ENSMUSP00000121309
ENSTGUP00000013167	ENSMUSP00000027226
ENSTGUP00000012988	ENSMUSP00000022954
ENSTGUP00000009670	ENSMUSP00000095025
ENSTGUP00000009752	ENSMUSP00000081455
ENSTGUP00000000287	ENSMUSP00000003438
ENSTGUP00000008638	ENSMUSP00000030477
ENSTGUP00000010255	ENSMUSP00000061390
ENSTGUP00000000354	ENSMUSP00000110074
ENSTGUP00000004287	ENSMUSP00000124473
ENSTGUP00000007254	ENSMUSP00000050730
ENSTGUP00000000578	ENSMUSP00000121125
ENSTGUP00000000578	ENSMUSP00000002518
ENSTGUP00000013264	ENSMUSP00000128674
ENSTGUP00000009842	ENSMUSP00000023486
ENSTGUP00000004395	ENSMUSP00000031690
ENSTGUP00000004777	ENSMUSP00000010191
ENSTGUP00000014311	ENSMUSP00000042667
ENSTGUP00000010722	ENSMUSP00000032376
ENSTGUP00000009765	ENSMUSP00000032093
ENSTGUP00000006018	ENSMUSP00000104878
ENSTGUP00000012921	ENSMUSP00000063380
ENSTGUP00000008600	ENSMUSP00000053270
ENSTGUP00000013380	ENSMUSP00000036150
ENSTGUP00000003980	ENSMUSP00000125871
ENSTGUP00000003970	ENSMUSP00000135677
ENSTGUP00000009936	ENSMUSP00000079926
ENSTGUP00000017814	ENSMUSP00000022217
ENSTGUP00000013262	ENSMUSP00000021714
ENSTGUP00000001041	ENSMUSP00000036721
ENSTGUP00000010929	ENSMUSP00000106963
ENSTGUP00000002766	ENSMUSP00000085872
ENSTGUP00000017804	ENSMUSP00000112934
ENSTGUP00000013550	ENSMUSP00000021467
ENSTGUP00000008206	ENSMUSP00000024742
ENSTGUP00000013344	ENSMUSP00000021004
ENSTGUP00000011271	ENSMUSP00000111151
ENSTGUP00000003913	ENSMUSP00000105350
ENSTGUP00000012263	ENSMUSP00000020008
ENSTGUP00000002408	ENSMUSP00000109904
ENSTGUP00000001303	ENSMUSP00000099947
ENSTGUP00000008161	ENSMUSP00000126340
ENSTGUP00000007176	ENSMUSP00000122855
ENSTGUP00000017739	ENSMUSP00000137256
ENSTGUP00000000131	ENSMUSP00000041790
ENSTGUP00000001243	ENSMUSP00000028071
ENSTGUP00000007549	ENSMUSP00000066894
ENSTGUP00000011679	ENSMUSP00000078281
ENSTGUP00000008110	ENSMUSP00000073246
ENSTGUP00000002531	ENSMUSP00000092735
ENSTGUP00000005472	ENSMUSP00000126313
ENSTGUP00000012284	ENSMUSP00000116057
ENSTGUP00000018091	ENSMUSP00000121212
ENSTGUP00000003301	ENSMUSP00000039600
ENSTGUP00000010657	ENSMUSP00000000926
ENSTGUP00000003950	ENSMUSP00000062239
ENSTGUP00000012352	ENSMUSP00000056364
ENSTGUP00000008770	ENSMUSP00000124470
ENSTGUP00000016151	ENSMUSP00000101903
ENSTGUP00000007045	ENSMUSP00000018651
ENSTGUP00000007634	ENSMUSP00000071859
ENSTGUP00000009034	ENSMUSP00000132687
ENSTGUP00000000219	ENSMUSP00000115718
ENSTGUP00000010553	ENSMUSP00000027178
ENSTGUP00000005825	ENSMUSP00000024832
ENSTGUP00000006209	ENSMUSP00000031437
ENSTGUP00000003563	ENSMUSP00000070868
ENSTGUP00000008691	ENSMUSP00000025718
ENSTGUP00000012771	ENSMUSP00000041300
ENSTGUP00000003264	ENSMUSP00000085683
ENSTGUP00000009628	ENSMUSP00000042271
ENSTGUP00000004600	ENSMUSP00000030212
ENSTGUP00000006527	ENSMUSP00000129800
ENSTGUP00000000237	ENSMUSP00000034600
ENSTGUP00000013904	ENSMUSP00000107062
ENSTGUP00000017637	ENSMUSP00000126826
ENSTGUP00000000233	ENSMUSP00000062507
ENSTGUP00000008275	ENSMUSP00000061470
ENSTGUP00000011791	ENSMUSP00000056353
ENSTGUP00000011245	ENSMUSP00000046368
ENSTGUP00000007184	ENSMUSP00000045409
ENSTGUP00000013609	ENSMUSP00000109229
ENSTGUP00000005413	ENSMUSP00000128922
ENSTGUP00000011588	ENSMUSP00000095845
ENSTGUP00000008513	ENSMUSP00000054545
ENSTGUP00000012176	ENSMUSP00000019920
ENSTGUP00000011569	ENSMUSP00000035649
ENSTGUP00000015009	ENSMUSP00000025208
ENSTGUP00000002938	ENSMUSP00000048350
ENSTGUP00000009423	ENSMUSP00000053431
ENSTGUP00000010729	ENSMUSP00000029850
ENSTGUP00000009389	ENSMUSP00000052544
ENSTGUP00000004504	ENSMUSP00000047888
ENSTGUP00000006373	ENSMUSP00000081664
ENSTGUP00000011052	ENSMUSP00000019290
ENSTGUP00000004516	ENSMUSP00000021066
ENSTGUP00000005971	ENSMUSP00000031423
ENSTGUP00000013320	ENSMUSP00000123078
ENSTGUP00000001792	ENSMUSP00000101700
ENSTGUP00000013464	ENSMUSP00000040416
ENSTGUP00000005217	ENSMUSP00000029575
ENSTGUP00000012701	ENSMUSP00000076505
ENSTGUP00000008583	ENSMUSP00000122103
ENSTGUP00000001687	ENSMUSP00000015256
ENSTGUP00000010139	ENSMUSP00000019226
ENSTGUP00000003162	ENSMUSP00000097909
ENSTGUP00000006712	ENSMUSP00000065205
ENSTGUP00000017666	ENSMUSP00000027896
ENSTGUP00000001831	ENSMUSP00000030169
ENSTGUP00000004740	ENSMUSP00000104732
ENSTGUP00000013116	ENSMUSP00000054226
ENSTGUP00000010757	ENSMUSP00000094076
ENSTGUP00000003663	ENSMUSP00000053899
ENSTGUP00000008481	ENSMUSP00000106460
ENSTGUP00000011888	ENSMUSP00000031868
ENSTGUP00000004522	ENSMUSP00000031713
ENSTGUP00000005546	ENSMUSP00000029208
ENSTGUP00000006158	ENSMUSP00000001122
ENSTGUP00000009193	ENSMUSP00000021161
ENSTGUP00000007870	ENSMUSP00000129216
ENSTGUP00000015337	ENSMUSP00000110348
ENSTGUP00000008844	ENSMUSP00000095533
ENSTGUP00000009228	ENSMUSP00000091964
ENSTGUP00000010031	ENSMUSP00000128308
ENSTGUP00000014507	ENSMUSP00000003659
ENSTGUP00000003709	ENSMUSP00000022213
ENSTGUP00000014278	ENSMUSP00000029682
ENSTGUP00000009575	ENSMUSP00000064220
ENSTGUP00000005669	ENSMUSP00000059654
ENSTGUP00000005672	ENSMUSP00000046812
ENSTGUP00000007357	ENSMUSP00000040229
ENSTGUP00000005160	ENSMUSP00000090528
ENSTGUP00000005026	ENSMUSP00000113090
ENSTGUP00000006525	ENSMUSP00000025645
ENSTGUP00000017458	ENSMUSP00000006523
ENSTGUP00000001355	ENSMUSP00000095169
ENSTGUP00000016201	ENSMUSP00000129378
ENSTGUP00000004958	ENSMUSP00000088089
ENSTGUP00000017828	ENSMUSP00000076751
ENSTGUP00000013013	ENSMUSP00000091329
ENSTGUP00000014041	ENSMUSP00000124179
ENSTGUP00000001481	ENSMUSP00000130758
ENSTGUP00000004758	ENSMUSP00000034946
ENSTGUP00000001284	ENSMUSP00000030080
ENSTGUP00000008758	ENSMUSP00000084578
ENSTGUP00000005051	ENSMUSP00000065679
ENSTGUP00000008220	ENSMUSP00000061402
ENSTGUP00000005553	ENSMUSP00000049054
ENSTGUP00000010366	ENSMUSP00000101060
ENSTGUP00000001424	ENSMUSP00000043522
ENSTGUP00000018065	ENSMUSP00000060591
ENSTGUP00000011327	ENSMUSP00000103897
ENSTGUP00000004064	ENSMUSP00000136611
ENSTGUP00000012708	ENSMUSP00000037867
ENSTGUP00000013371	ENSMUSP00000049285
ENSTGUP00000006126	ENSMUSP00000002837
ENSTGUP00000011714	ENSMUSP00000132514
ENSTGUP00000012054	ENSMUSP00000043210
ENSTGUP00000000875	ENSMUSP00000100991
ENSTGUP00000001057	ENSMUSP00000006027
ENSTGUP00000000004	ENSMUSP00000036065
ENSTGUP00000011132	ENSMUSP00000112662
ENSTGUP00000016601	ENSMUSP00000040162
ENSTGUP00000005347	ENSMUSP00000020023
ENSTGUP00000012638	ENSMUSP00000036726
ENSTGUP00000002235	ENSMUSP00000041599
ENSTGUP00000010871	ENSMUSP00000036110
ENSTGUP00000014902	ENSMUSP00000099509
ENSTGUP00000008191	ENSMUSP00000091769
ENSTGUP00000001177	ENSMUSP00000014290
ENSTGUP00000007219	ENSMUSP00000028252
ENSTGUP00000008212	ENSMUSP00000091011
ENSTGUP00000002306	ENSMUSP00000019456
ENSTGUP00000012158	ENSMUSP00000077899
ENSTGUP00000009157	ENSMUSP00000031096
ENSTGUP00000012145	ENSMUSP00000073190
ENSTGUP00000002564	ENSMUSP00000122552
ENSTGUP00000010617	ENSMUSP00000026027
ENSTGUP00000015957	ENSMUSP00000031309
ENSTGUP00000012594	ENSMUSP00000028368
ENSTGUP00000010848	ENSMUSP00000137309
ENSTGUP00000000419	ENSMUSP00000046695
ENSTGUP00000009545	ENSMUSP00000095103
ENSTGUP00000008754	ENSMUSP00000029075
ENSTGUP00000005134	ENSMUSP00000043554
ENSTGUP00000011142	ENSMUSP00000023835
ENSTGUP00000011770	ENSMUSP00000093229
ENSTGUP00000003893	ENSMUSP00000038203
ENSTGUP00000011981	ENSMUSP00000031977
ENSTGUP00000014107	ENSMUSP00000065770
ENSTGUP00000001972	ENSMUSP00000118911
ENSTGUP00000004174	ENSMUSP00000109340
ENSTGUP00000010482	ENSMUSP00000102481
ENSTGUP00000001775	ENSMUSP00000100028
ENSTGUP00000008537	ENSMUSP00000107770
ENSTGUP00000010492	ENSMUSP00000114175
ENSTGUP00000008173	ENSMUSP00000135959
ENSTGUP00000009905	ENSMUSP00000067541
ENSTGUP00000009932	ENSMUSP00000031663
ENSTGUP00000002273	ENSMUSP00000106317
ENSTGUP00000011073	ENSMUSP00000064246
ENSTGUP00000004253	ENSMUSP00000126281
ENSTGUP00000008979	ENSMUSP00000040775
ENSTGUP00000011516	ENSMUSP00000037966
ENSTGUP00000007729	ENSMUSP00000105250
ENSTGUP00000004537	ENSMUSP00000096258
ENSTGUP00000010327	ENSMUSP00000075011
ENSTGUP00000015676	ENSMUSP00000128401
ENSTGUP00000005720	ENSMUSP00000031354
ENSTGUP00000013634	ENSMUSP00000130073
ENSTGUP00000011596	ENSMUSP00000037487
ENSTGUP00000011472	ENSMUSP00000029905
ENSTGUP00000000259	ENSMUSP00000052989
ENSTGUP00000002243	ENSMUSP00000129831
ENSTGUP00000012150	ENSMUSP00000038833
ENSTGUP00000005584	ENSMUSP00000019386
ENSTGUP00000000273	ENSMUSP00000034792
ENSTGUP00000000348	ENSMUSP00000099975
ENSTGUP00000014702	ENSMUSP00000034697
ENSTGUP00000010766	ENSMUSP00000087394
ENSTGUP00000008158	ENSMUSP00000075992
ENSTGUP00000002315	ENSMUSP00000099430
ENSTGUP00000011706	ENSMUSP00000035583
ENSTGUP00000004524	ENSMUSP00000044457
ENSTGUP00000010115	ENSMUSP00000030289
ENSTGUP00000002464	ENSMUSP00000039943
ENSTGUP00000011921	ENSMUSP00000082754
ENSTGUP00000008113	ENSMUSP00000070554
ENSTGUP00000004045	ENSMUSP00000020277
ENSTGUP00000000496	ENSMUSP00000051215
ENSTGUP00000003646	ENSMUSP00000099984
ENSTGUP00000003236	ENSMUSP00000031982
ENSTGUP00000005396	ENSMUSP00000017851
ENSTGUP00000012194	ENSMUSP00000020027
ENSTGUP00000010522	ENSMUSP00000051261
ENSTGUP00000003660	ENSMUSP00000047547
ENSTGUP00000001065	ENSMUSP00000091163
ENSTGUP00000007834	ENSMUSP00000087694
ENSTGUP00000005998	ENSMUSP00000105884
ENSTGUP00000008103	ENSMUSP00000098594
ENSTGUP00000000081	ENSMUSP00000065225
ENSTGUP00000012497	ENSMUSP00000101141
ENSTGUP00000012368	ENSMUSP00000055308
ENSTGUP00000007495	ENSMUSP00000059420
ENSTGUP00000001329	ENSMUSP00000100025
ENSTGUP00000005970	ENSMUSP00000099572
ENSTGUP00000010901	ENSMUSP00000062924
ENSTGUP00000006607	ENSMUSP00000056313
ENSTGUP00000007643	ENSMUSP00000061278
ENSTGUP00000011495	ENSMUSP00000029355
ENSTGUP00000006741	ENSMUSP00000027534
ENSTGUP00000002579	ENSMUSP00000041395
ENSTGUP00000007324	ENSMUSP00000068197
ENSTGUP00000009243	ENSMUSP00000006851
ENSTGUP00000008195	ENSMUSP00000045527
ENSTGUP00000008899	ENSMUSP00000021090
ENSTGUP00000003402	ENSMUSP00000070413
ENSTGUP00000006993	ENSMUSP00000126828
ENSTGUP00000001979	ENSMUSP00000102570
ENSTGUP00000000210	ENSMUSP00000078715
ENSTGUP00000017749	ENSMUSP00000085253
ENSTGUP00000003320	ENSMUSP00000062771
ENSTGUP00000006703	ENSMUSP00000139310
ENSTGUP00000002413	ENSMUSP00000000137
ENSTGUP00000017924	ENSMUSP00000100532
ENSTGUP00000006076	ENSMUSP00000087680
ENSTGUP00000011559	ENSMUSP00000096994
ENSTGUP00000012311	ENSMUSP00000047126
ENSTGUP00000003197	ENSMUSP00000070726
ENSTGUP00000005123	ENSMUSP00000002839
ENSTGUP00000004095	ENSMUSP00000039632
ENSTGUP00000003775	ENSMUSP00000038013
ENSTGUP00000003758	ENSMUSP00000109915
ENSTGUP00000004184	ENSMUSP00000053175
ENSTGUP00000004199	ENSMUSP00000033805
ENSTGUP00000003641	ENSMUSP00000115813
ENSTGUP00000009111	ENSMUSP00000122395
ENSTGUP00000008695	ENSMUSP00000034983
ENSTGUP00000013829	ENSMUSP00000027863
ENSTGUP00000010235	ENSMUSP00000138773
ENSTGUP00000003491	ENSMUSP00000093914
ENSTGUP00000008367	ENSMUSP00000127784
ENSTGUP00000006292	ENSMUSP00000027498
ENSTGUP00000005243	ENSMUSP00000018353
ENSTGUP00000011463	ENSMUSP00000111463
ENSTGUP00000001022	ENSMUSP00000101517
ENSTGUP00000004138	ENSMUSP00000130173
ENSTGUP00000001800	ENSMUSP00000127678
ENSTGUP00000008143	ENSMUSP00000125268
ENSTGUP00000013134	ENSMUSP00000021693
ENSTGUP00000001280	ENSMUSP00000021971
ENSTGUP00000009392	ENSMUSP00000035222
ENSTGUP00000003813	ENSMUSP00000048124
ENSTGUP00000009322	ENSMUSP00000044836
ENSTGUP00000000638	ENSMUSP00000071623
ENSTGUP00000001078	ENSMUSP00000025077
ENSTGUP00000003805	ENSMUSP00000113429
ENSTGUP00000001706	ENSMUSP00000031229
ENSTGUP00000001137	ENSMUSP00000020643
ENSTGUP00000017246	ENSMUSP00000040108
ENSTGUP00000006709	ENSMUSP00000075174
ENSTGUP00000010923	ENSMUSP00000012161
ENSTGUP00000001933	ENSMUSP00000103362
ENSTGUP00000006836	ENSMUSP00000138377
ENSTGUP00000005580	ENSMUSP00000038181
ENSTGUP00000016909	ENSMUSP00000113390
ENSTGUP00000001189	ENSMUSP00000090820
ENSTGUP00000002295	ENSMUSP00000077019
ENSTGUP00000013733	ENSMUSP00000032487
ENSTGUP00000013795	ENSMUSP00000023487
ENSTGUP00000000592	ENSMUSP00000133898
ENSTGUP00000008403	ENSMUSP00000134251
ENSTGUP00000015811	ENSMUSP00000041872
ENSTGUP00000011455	ENSMUSP00000118743
ENSTGUP00000000350	ENSMUSP00000021930
ENSTGUP00000010374	ENSMUSP00000059419
ENSTGUP00000004992	ENSMUSP00000031367
ENSTGUP00000012752	ENSMUSP00000129239
ENSTGUP00000011386	ENSMUSP00000085728
ENSTGUP00000000411	ENSMUSP00000034510
ENSTGUP00000007694	ENSMUSP00000026254
ENSTGUP00000007820	ENSMUSP00000039728
ENSTGUP00000009536	ENSMUSP00000047208
ENSTGUP00000010849	ENSMUSP00000103817
ENSTGUP00000009494	ENSMUSP00000058968
ENSTGUP00000008190	ENSMUSP00000084427
ENSTGUP00000001824	ENSMUSP00000033990
ENSTGUP00000008731	ENSMUSP00000021097
ENSTGUP00000010802	ENSMUSP00000025279
ENSTGUP00000015194	ENSMUSP00000095953
ENSTGUP00000000560	ENSMUSP00000021921
ENSTGUP00000007994	ENSMUSP00000030443
ENSTGUP00000000712	ENSMUSP00000074578
ENSTGUP00000000702	ENSMUSP00000110898
ENSTGUP00000010703	ENSMUSP00000073664
ENSTGUP00000007952	ENSMUSP00000039810
ENSTGUP00000010731	ENSMUSP00000120421
ENSTGUP00000004821	ENSMUSP00000005651
ENSTGUP00000000696	ENSMUSP00000022009
ENSTGUP00000005644	ENSMUSP00000057392
ENSTGUP00000008622	ENSMUSP00000027775
ENSTGUP00000007416	ENSMUSP00000036604
ENSTGUP00000008792	ENSMUSP00000006669
ENSTGUP00000001637	ENSMUSP00000019721
ENSTGUP00000017492	ENSMUSP00000105348
ENSTGUP00000013684	ENSMUSP00000085695
ENSTGUP00000013822	ENSMUSP00000023344
ENSTGUP00000004796	ENSMUSP00000031680
ENSTGUP00000006097	ENSMUSP00000027505
ENSTGUP00000013715	ENSMUSP00000032480
ENSTGUP00000009109	ENSMUSP00000062593
ENSTGUP00000006752	ENSMUSP00000079226
ENSTGUP00000013659	ENSMUSP00000027059
ENSTGUP00000001729	ENSMUSP00000035902
ENSTGUP00000008641	ENSMUSP00000129922
ENSTGUP00000013657	ENSMUSP00000037699
ENSTGUP00000005289	ENSMUSP00000041157
ENSTGUP00000002478	ENSMUSP00000040176
ENSTGUP00000009658	ENSMUSP00000038056
ENSTGUP00000001820	ENSMUSP00000081941
ENSTGUP00000002495	ENSMUSP00000065278
ENSTGUP00000017533	ENSMUSP00000099723
ENSTGUP00000012648	ENSMUSP00000031859
ENSTGUP00000001056	ENSMUSP00000029444
ENSTGUP00000017782	ENSMUSP00000110798
ENSTGUP00000006820	ENSMUSP00000058020
ENSTGUP00000000215	ENSMUSP00000053288
ENSTGUP00000006661	ENSMUSP00000107381
ENSTGUP00000012645	ENSMUSP00000045566
ENSTGUP00000010389	ENSMUSP00000095320
ENSTGUP00000006055	ENSMUSP00000110802
ENSTGUP00000011776	ENSMUSP00000130999
ENSTGUP00000011771	ENSMUSP00000029377
ENSTGUP00000003891	ENSMUSP00000107447
ENSTGUP00000013758	ENSMUSP00000129861
ENSTGUP00000010418	ENSMUSP00000006508
ENSTGUP00000010432	ENSMUSP00000072074
ENSTGUP00000000519	ENSMUSP00000105630
ENSTGUP00000010238	ENSMUSP00000032151
ENSTGUP00000000002	ENSMUSP00000069616
ENSTGUP00000005046	ENSMUSP00000117891
ENSTGUP00000006891	ENSMUSP00000046787
ENSTGUP00000005433	ENSMUSP00000109427
ENSTGUP00000004276	ENSMUSP00000023750
ENSTGUP00000016586	ENSMUSP00000023225
ENSTGUP00000006809	ENSMUSP00000020446
ENSTGUP00000013686	ENSMUSP00000004378
ENSTGUP00000011384	ENSMUSP00000062584
ENSTGUP00000000491	ENSMUSP00000137837
ENSTGUP00000003997	ENSMUSP00000022197
ENSTGUP00000004067	ENSMUSP00000038350
ENSTGUP00000016945	ENSMUSP00000029684
ENSTGUP00000004000	ENSMUSP00000035898
ENSTGUP00000000277	ENSMUSP00000078808
ENSTGUP00000007209	ENSMUSP00000022567
ENSTGUP00000013391	ENSMUSP00000106567
ENSTGUP00000006497	ENSMUSP00000045441
ENSTGUP00000014977	ENSMUSP00000037107
ENSTGUP00000013662	ENSMUSP00000004381
ENSTGUP00000003496	ENSMUSP00000005964
ENSTGUP00000017665	ENSMUSP00000137298
ENSTGUP00000013625	ENSMUSP00000131277
ENSTGUP00000008232	ENSMUSP00000101999
ENSTGUP00000008971	ENSMUSP00000039416
ENSTGUP00000005563	ENSMUSP00000053766
ENSTGUP00000013214	ENSMUSP00000072438
ENSTGUP00000008709	ENSMUSP00000090470
ENSTGUP00000009824	ENSMUSP00000120516
ENSTGUP00000009649	ENSMUSP00000031492
