ENSMODP00000016222	ENSTGUP00000008915
ENSMODP00000015720	ENSTGUP00000008852
ENSMODP00000013478	ENSTGUP00000000891
ENSMODP00000024298	ENSTGUP00000006775
ENSMODP00000011108	ENSTGUP00000013703
ENSMODP00000029024	ENSTGUP00000014768
ENSMODP00000007844	ENSTGUP00000009104
ENSMODP00000025206	ENSTGUP00000000722
ENSMODP00000014344	ENSTGUP00000000421
ENSMODP00000016010	ENSTGUP00000008875
ENSMODP00000022856	ENSTGUP00000013567
ENSMODP00000011376	ENSTGUP00000016110
ENSMODP00000014984	ENSTGUP00000004977
ENSMODP00000020886	ENSTGUP00000004581
ENSMODP00000013331	ENSTGUP00000007902
ENSMODP00000017273	ENSTGUP00000000228
ENSMODP00000013863	ENSTGUP00000002076
ENSMODP00000017182	ENSTGUP00000000180
ENSMODP00000022560	ENSTGUP00000013997
ENSMODP00000006951	ENSTGUP00000000954
ENSMODP00000013900	ENSTGUP00000005006
ENSMODP00000002540	ENSTGUP00000008308
ENSMODP00000016389	ENSTGUP00000013118
ENSMODP00000000402	ENSTGUP00000003528
ENSMODP00000002182	ENSTGUP00000007385
ENSMODP00000009150	ENSTGUP00000011773
ENSMODP00000011765	ENSTGUP00000011586
ENSMODP00000019074	ENSTGUP00000003067
ENSMODP00000016852	ENSTGUP00000005646
ENSMODP00000012769	ENSTGUP00000012331
ENSMODP00000026029	ENSTGUP00000001808
ENSMODP00000013464	ENSTGUP00000007259
ENSMODP00000004044	ENSTGUP00000010021
ENSMODP00000002679	ENSTGUP00000008703
ENSMODP00000007893	ENSTGUP00000000869
ENSMODP00000021412	ENSTGUP00000004236
ENSMODP00000023606	ENSTGUP00000002050
ENSMODP00000004519	ENSTGUP00000001084
ENSMODP00000039634	ENSTGUP00000017815
ENSMODP00000037970	ENSTGUP00000004062
ENSMODP00000004963	ENSTGUP00000004566
ENSMODP00000007067	ENSTGUP00000001855
ENSMODP00000021169	ENSTGUP00000007193
ENSMODP00000024799	ENSTGUP00000010614
ENSMODP00000016775	ENSTGUP00000001146
ENSMODP00000015165	ENSTGUP00000004826
ENSMODP00000036437	ENSTGUP00000011805
ENSMODP00000026554	ENSTGUP00000009073
ENSMODP00000004039	ENSTGUP00000010457
ENSMODP00000000790	ENSTGUP00000006886
ENSMODP00000012861	ENSTGUP00000005604
ENSMODP00000031750	ENSTGUP00000000719
ENSMODP00000020405	ENSTGUP00000010484
ENSMODP00000013151	ENSTGUP00000001484
ENSMODP00000002193	ENSTGUP00000017785
ENSMODP00000009886	ENSTGUP00000008916
ENSMODP00000021509	ENSTGUP00000008359
ENSMODP00000002877	ENSTGUP00000003284
ENSMODP00000008929	ENSTGUP00000005747
ENSMODP00000034760	ENSTGUP00000008668
ENSMODP00000022870	ENSTGUP00000013552
ENSMODP00000031383	ENSTGUP00000001739
ENSMODP00000027887	ENSTGUP00000013534
ENSMODP00000006876	ENSTGUP00000004152
ENSMODP00000032765	ENSTGUP00000014941
ENSMODP00000001749	ENSTGUP00000002713
ENSMODP00000020580	ENSTGUP00000003338
ENSMODP00000012407	ENSTGUP00000001990
ENSMODP00000004582	ENSTGUP00000004793
ENSMODP00000041023	ENSTGUP00000017288
ENSMODP00000007382	ENSTGUP00000003797
ENSMODP00000004284	ENSTGUP00000009690
ENSMODP00000021367	ENSTGUP00000002610
ENSMODP00000019075	ENSTGUP00000004020
ENSMODP00000012345	ENSTGUP00000009469
ENSMODP00000018395	ENSTGUP00000002508
ENSMODP00000013451	ENSTGUP00000010870
ENSMODP00000035351	ENSTGUP00000010505
ENSMODP00000011895	ENSTGUP00000007392
ENSMODP00000033297	ENSTGUP00000007382
ENSMODP00000019398	ENSTGUP00000005260
ENSMODP00000016469	ENSTGUP00000002415
ENSMODP00000016648	ENSTGUP00000005613
ENSMODP00000003179	ENSTGUP00000010013
ENSMODP00000007000	ENSTGUP00000003654
ENSMODP00000024699	ENSTGUP00000007258
ENSMODP00000006196	ENSTGUP00000013781
ENSMODP00000003320	ENSTGUP00000003258
ENSMODP00000005329	ENSTGUP00000002891
ENSMODP00000017619	ENSTGUP00000001094
ENSMODP00000021986	ENSTGUP00000007581
ENSMODP00000024349	ENSTGUP00000002648
ENSMODP00000024346	ENSTGUP00000002636
ENSMODP00000022203	ENSTGUP00000001638
ENSMODP00000025425	ENSTGUP00000002188
ENSMODP00000016658	ENSTGUP00000008066
ENSMODP00000005597	ENSTGUP00000000281
ENSMODP00000006059	ENSTGUP00000002551
ENSMODP00000032132	ENSTGUP00000013312
ENSMODP00000022238	ENSTGUP00000012297
ENSMODP00000013827	ENSTGUP00000010642
ENSMODP00000013818	ENSTGUP00000010646
ENSMODP00000013808	ENSTGUP00000010652
ENSMODP00000022239	ENSTGUP00000012301
ENSMODP00000023168	ENSTGUP00000011871
ENSMODP00000025150	ENSTGUP00000000742
ENSMODP00000000370	ENSTGUP00000006629
ENSMODP00000005345	ENSTGUP00000003796
ENSMODP00000012520	ENSTGUP00000006828
ENSMODP00000012871	ENSTGUP00000006934
ENSMODP00000012865	ENSTGUP00000011117
ENSMODP00000013397	ENSTGUP00000011415
ENSMODP00000015857	ENSTGUP00000009514
ENSMODP00000004951	ENSTGUP00000002561
ENSMODP00000031789	ENSTGUP00000013124
ENSMODP00000035173	ENSTGUP00000004234
ENSMODP00000033636	ENSTGUP00000012102
ENSMODP00000028502	ENSTGUP00000002417
ENSMODP00000017863	ENSTGUP00000013346
ENSMODP00000038839	ENSTGUP00000016403
ENSMODP00000023326	ENSTGUP00000013167
ENSMODP00000001162	ENSTGUP00000012988
ENSMODP00000007984	ENSTGUP00000009670
ENSMODP00000013862	ENSTGUP00000009752
ENSMODP00000005633	ENSTGUP00000000287
ENSMODP00000002353	ENSTGUP00000008638
ENSMODP00000015862	ENSTGUP00000009518
ENSMODP00000020662	ENSTGUP00000010255
ENSMODP00000018114	ENSTGUP00000000354
ENSMODP00000003778	ENSTGUP00000004287
ENSMODP00000016652	ENSTGUP00000008720
ENSMODP00000003368	ENSTGUP00000007254
ENSMODP00000023888	ENSTGUP00000000578
ENSMODP00000000346	ENSTGUP00000000599
ENSMODP00000004030	ENSTGUP00000013264
ENSMODP00000019186	ENSTGUP00000004389
ENSMODP00000019192	ENSTGUP00000004395
ENSMODP00000015197	ENSTGUP00000004777
ENSMODP00000015236	ENSTGUP00000014311
ENSMODP00000019764	ENSTGUP00000005434
ENSMODP00000005729	ENSTGUP00000010722
ENSMODP00000003767	ENSTGUP00000009765
ENSMODP00000011064	ENSTGUP00000006018
ENSMODP00000031267	ENSTGUP00000017723
ENSMODP00000001454	ENSTGUP00000012921
ENSMODP00000001163	ENSTGUP00000015657
ENSMODP00000024509	ENSTGUP00000008600
ENSMODP00000010755	ENSTGUP00000013380
ENSMODP00000000909	ENSTGUP00000003980
ENSMODP00000000902	ENSTGUP00000003970
ENSMODP00000010740	ENSTGUP00000013381
ENSMODP00000019865	ENSTGUP00000009936
ENSMODP00000024234	ENSTGUP00000017814
ENSMODP00000016933	ENSTGUP00000013262
ENSMODP00000000835	ENSTGUP00000001041
ENSMODP00000014562	ENSTGUP00000005581
ENSMODP00000024821	ENSTGUP00000010929
ENSMODP00000021392	ENSTGUP00000002766
ENSMODP00000001044	ENSTGUP00000017804
ENSMODP00000016401	ENSTGUP00000013550
ENSMODP00000023618	ENSTGUP00000008206
ENSMODP00000017858	ENSTGUP00000013344
ENSMODP00000012397	ENSTGUP00000011271
ENSMODP00000003704	ENSTGUP00000003913
ENSMODP00000022195	ENSTGUP00000012263
ENSMODP00000021585	ENSTGUP00000002408
ENSMODP00000026323	ENSTGUP00000004846
ENSMODP00000007727	ENSTGUP00000005066
ENSMODP00000016781	ENSTGUP00000017308
ENSMODP00000006815	ENSTGUP00000001303
ENSMODP00000007822	ENSTGUP00000000660
ENSMODP00000033334	ENSTGUP00000008161
ENSMODP00000007124	ENSTGUP00000007176
ENSMODP00000019317	ENSTGUP00000008762
ENSMODP00000035640	ENSTGUP00000010598
ENSMODP00000007035	ENSTGUP00000000131
ENSMODP00000011325	ENSTGUP00000001243
ENSMODP00000013128	ENSTGUP00000007549
ENSMODP00000019748	ENSTGUP00000011679
ENSMODP00000016685	ENSTGUP00000008110
ENSMODP00000021636	ENSTGUP00000002531
ENSMODP00000001690	ENSTGUP00000000391
ENSMODP00000019237	ENSTGUP00000005472
ENSMODP00000022209	ENSTGUP00000012284
ENSMODP00000038261	ENSTGUP00000018091
ENSMODP00000023864	ENSTGUP00000003301
ENSMODP00000024626	ENSTGUP00000003950
ENSMODP00000039119	ENSTGUP00000012352
ENSMODP00000017180	ENSTGUP00000001715
ENSMODP00000010022	ENSTGUP00000009107
ENSMODP00000014063	ENSTGUP00000007045
ENSMODP00000010191	ENSTGUP00000009034
ENSMODP00000017347	ENSTGUP00000000219
ENSMODP00000020407	ENSTGUP00000010553
ENSMODP00000026357	ENSTGUP00000005825
ENSMODP00000015151	ENSTGUP00000006209
ENSMODP00000014773	ENSTGUP00000003563
ENSMODP00000008455	ENSTGUP00000008691
ENSMODP00000022788	ENSTGUP00000012771
ENSMODP00000017746	ENSTGUP00000013311
ENSMODP00000020177	ENSTGUP00000003264
ENSMODP00000015849	ENSTGUP00000009628
ENSMODP00000008459	ENSTGUP00000003589
ENSMODP00000018579	ENSTGUP00000004600
ENSMODP00000040020	ENSTGUP00000006527
ENSMODP00000016929	ENSTGUP00000000237
ENSMODP00000016948	ENSTGUP00000017637
ENSMODP00000016950	ENSTGUP00000000233
ENSMODP00000025635	ENSTGUP00000008091
ENSMODP00000025666	ENSTGUP00000008275
ENSMODP00000012544	ENSTGUP00000011791
ENSMODP00000009215	ENSTGUP00000011245
ENSMODP00000005689	ENSTGUP00000007184
ENSMODP00000023558	ENSTGUP00000013609
ENSMODP00000020264	ENSTGUP00000005413
ENSMODP00000010276	ENSTGUP00000011588
ENSMODP00000024418	ENSTGUP00000008513
ENSMODP00000022105	ENSTGUP00000012176
ENSMODP00000010406	ENSTGUP00000011569
ENSMODP00000014796	ENSTGUP00000015009
ENSMODP00000037021	ENSTGUP00000004590
ENSMODP00000002608	ENSTGUP00000013582
ENSMODP00000018917	ENSTGUP00000002938
ENSMODP00000010074	ENSTGUP00000009423
ENSMODP00000023816	ENSTGUP00000010729
ENSMODP00000015433	ENSTGUP00000009389
ENSMODP00000020393	ENSTGUP00000006373
ENSMODP00000036263	ENSTGUP00000011052
ENSMODP00000004989	ENSTGUP00000004516
ENSMODP00000005946	ENSTGUP00000004460
ENSMODP00000014631	ENSTGUP00000005971
ENSMODP00000017783	ENSTGUP00000013320
ENSMODP00000029570	ENSTGUP00000001792
ENSMODP00000035344	ENSTGUP00000010333
ENSMODP00000001726	ENSTGUP00000003524
ENSMODP00000004225	ENSTGUP00000005217
ENSMODP00000005034	ENSTGUP00000012701
ENSMODP00000011019	ENSTGUP00000008583
ENSMODP00000021110	ENSTGUP00000016204
ENSMODP00000012713	ENSTGUP00000003162
ENSMODP00000006389	ENSTGUP00000006712
ENSMODP00000007629	ENSTGUP00000017666
ENSMODP00000024518	ENSTGUP00000006931
ENSMODP00000009598	ENSTGUP00000001831
ENSMODP00000028169	ENSTGUP00000004740
ENSMODP00000000643	ENSTGUP00000004803
ENSMODP00000014248	ENSTGUP00000013116
ENSMODP00000023356	ENSTGUP00000010757
ENSMODP00000003753	ENSTGUP00000003663
ENSMODP00000011237	ENSTGUP00000008481
ENSMODP00000034145	ENSTGUP00000011888
ENSMODP00000034463	ENSTGUP00000004522
ENSMODP00000029074	ENSTGUP00000005546
ENSMODP00000028794	ENSTGUP00000006158
ENSMODP00000020748	ENSTGUP00000009193
ENSMODP00000024458	ENSTGUP00000008651
ENSMODP00000024853	ENSTGUP00000007870
ENSMODP00000028979	ENSTGUP00000015337
ENSMODP00000001626	ENSTGUP00000008844
ENSMODP00000007870	ENSTGUP00000004191
ENSMODP00000007927	ENSTGUP00000009228
ENSMODP00000007157	ENSTGUP00000010031
ENSMODP00000004469	ENSTGUP00000014507
ENSMODP00000024590	ENSTGUP00000003709
ENSMODP00000021330	ENSTGUP00000014278
ENSMODP00000000505	ENSTGUP00000009575
ENSMODP00000004192	ENSTGUP00000005669
ENSMODP00000004169	ENSTGUP00000005672
ENSMODP00000028503	ENSTGUP00000004672
ENSMODP00000025233	ENSTGUP00000007357
ENSMODP00000028859	ENSTGUP00000005160
ENSMODP00000019532	ENSTGUP00000005026
ENSMODP00000018295	ENSTGUP00000017474
ENSMODP00000018283	ENSTGUP00000017458
ENSMODP00000035883	ENSTGUP00000001355
ENSMODP00000011235	ENSTGUP00000016201
ENSMODP00000019655	ENSTGUP00000004958
ENSMODP00000001450	ENSTGUP00000017828
ENSMODP00000023063	ENSTGUP00000013013
ENSMODP00000037216	ENSTGUP00000014041
ENSMODP00000020163	ENSTGUP00000001481
ENSMODP00000022916	ENSTGUP00000004119
ENSMODP00000013652	ENSTGUP00000004758
ENSMODP00000037031	ENSTGUP00000001284
ENSMODP00000004914	ENSTGUP00000005641
ENSMODP00000008363	ENSTGUP00000008758
ENSMODP00000023740	ENSTGUP00000005051
ENSMODP00000029161	ENSTGUP00000008220
ENSMODP00000019802	ENSTGUP00000005553
ENSMODP00000013887	ENSTGUP00000006849
ENSMODP00000004893	ENSTGUP00000010366
ENSMODP00000035754	ENSTGUP00000001424
ENSMODP00000024714	ENSTGUP00000018065
ENSMODP00000020099	ENSTGUP00000011327
ENSMODP00000040556	ENSTGUP00000004064
ENSMODP00000004958	ENSTGUP00000012708
ENSMODP00000018134	ENSTGUP00000013371
ENSMODP00000024244	ENSTGUP00000014657
ENSMODP00000006025	ENSTGUP00000006126
ENSMODP00000020994	ENSTGUP00000011714
ENSMODP00000011509	ENSTGUP00000012054
ENSMODP00000006215	ENSTGUP00000000875
ENSMODP00000016598	ENSTGUP00000001057
ENSMODP00000015178	ENSTGUP00000000004
ENSMODP00000011747	ENSTGUP00000011132
ENSMODP00000011985	ENSTGUP00000016601
ENSMODP00000021456	ENSTGUP00000005347
ENSMODP00000022547	ENSTGUP00000012638
ENSMODP00000025985	ENSTGUP00000002235
ENSMODP00000035244	ENSTGUP00000010871
ENSMODP00000010540	ENSTGUP00000014902
ENSMODP00000028490	ENSTGUP00000003269
ENSMODP00000035353	ENSTGUP00000008191
ENSMODP00000010677	ENSTGUP00000001177
ENSMODP00000007192	ENSTGUP00000007219
ENSMODP00000011498	ENSTGUP00000008212
ENSMODP00000033084	ENSTGUP00000002306
ENSMODP00000012043	ENSTGUP00000012158
ENSMODP00000025712	ENSTGUP00000009157
ENSMODP00000036164	ENSTGUP00000012145
ENSMODP00000035049	ENSTGUP00000002564
ENSMODP00000013890	ENSTGUP00000010617
ENSMODP00000019174	ENSTGUP00000015957
ENSMODP00000006105	ENSTGUP00000012594
ENSMODP00000011310	ENSTGUP00000010318
ENSMODP00000005759	ENSTGUP00000000419
ENSMODP00000038432	ENSTGUP00000009545
ENSMODP00000020495	ENSTGUP00000008754
ENSMODP00000016953	ENSTGUP00000005134
ENSMODP00000007186	ENSTGUP00000011142
ENSMODP00000025808	ENSTGUP00000008315
ENSMODP00000014214	ENSTGUP00000011770
ENSMODP00000019642	ENSTGUP00000003893
ENSMODP00000013017	ENSTGUP00000009747
ENSMODP00000034038	ENSTGUP00000011981
ENSMODP00000024630	ENSTGUP00000007205
ENSMODP00000007314	ENSTGUP00000014107
ENSMODP00000025533	ENSTGUP00000001972
ENSMODP00000007786	ENSTGUP00000004174
ENSMODP00000037316	ENSTGUP00000010482
ENSMODP00000009993	ENSTGUP00000001775
ENSMODP00000035575	ENSTGUP00000008537
ENSMODP00000037551	ENSTGUP00000010492
ENSMODP00000038315	ENSTGUP00000002386
ENSMODP00000025647	ENSTGUP00000008173
ENSMODP00000004183	ENSTGUP00000009905
ENSMODP00000037028	ENSTGUP00000009932
ENSMODP00000025394	ENSTGUP00000002273
ENSMODP00000034209	ENSTGUP00000011073
ENSMODP00000000451	ENSTGUP00000004253
ENSMODP00000026551	ENSTGUP00000008979
ENSMODP00000025104	ENSTGUP00000007190
ENSMODP00000010843	ENSTGUP00000011516
ENSMODP00000016415	ENSTGUP00000007729
ENSMODP00000022651	ENSTGUP00000013806
ENSMODP00000001221	ENSTGUP00000001358
ENSMODP00000002321	ENSTGUP00000004537
ENSMODP00000017940	ENSTGUP00000015676
ENSMODP00000015526	ENSTGUP00000005720
ENSMODP00000023572	ENSTGUP00000013634
ENSMODP00000010212	ENSTGUP00000011596
ENSMODP00000011028	ENSTGUP00000011472
ENSMODP00000010574	ENSTGUP00000002243
ENSMODP00000009583	ENSTGUP00000012150
ENSMODP00000026216	ENSTGUP00000005584
ENSMODP00000017759	ENSTGUP00000000273
ENSMODP00000020345	ENSTGUP00000000348
ENSMODP00000005460	ENSTGUP00000005800
ENSMODP00000033680	ENSTGUP00000014702
ENSMODP00000038197	ENSTGUP00000010766
ENSMODP00000011613	ENSTGUP00000008158
ENSMODP00000016140	ENSTGUP00000002315
ENSMODP00000009690	ENSTGUP00000011706
ENSMODP00000018953	ENSTGUP00000004524
ENSMODP00000006650	ENSTGUP00000013743
ENSMODP00000001843	ENSTGUP00000010115
ENSMODP00000000384	ENSTGUP00000002464
ENSMODP00000005851	ENSTGUP00000013397
ENSMODP00000025829	ENSTGUP00000008113
ENSMODP00000013383	ENSTGUP00000004045
ENSMODP00000013333	ENSTGUP00000004114
ENSMODP00000006152	ENSTGUP00000000496
ENSMODP00000020206	ENSTGUP00000003646
ENSMODP00000024048	ENSTGUP00000003236
ENSMODP00000018611	ENSTGUP00000005177
ENSMODP00000021531	ENSTGUP00000003922
ENSMODP00000021326	ENSTGUP00000014708
ENSMODP00000020260	ENSTGUP00000005396
ENSMODP00000022127	ENSTGUP00000010522
ENSMODP00000024585	ENSTGUP00000003660
ENSMODP00000032312	ENSTGUP00000001065
ENSMODP00000024224	ENSTGUP00000001609
ENSMODP00000002965	ENSTGUP00000007834
ENSMODP00000002646	ENSTGUP00000005998
ENSMODP00000037712	ENSTGUP00000008103
ENSMODP00000004691	ENSTGUP00000000081
ENSMODP00000022440	ENSTGUP00000012497
ENSMODP00000012958	ENSTGUP00000012368
ENSMODP00000006141	ENSTGUP00000007495
ENSMODP00000012151	ENSTGUP00000001329
ENSMODP00000018598	ENSTGUP00000009743
ENSMODP00000038229	ENSTGUP00000011194
ENSMODP00000013223	ENSTGUP00000005970
ENSMODP00000011589	ENSTGUP00000010901
ENSMODP00000018288	ENSTGUP00000007643
ENSMODP00000020371	ENSTGUP00000011495
ENSMODP00000019866	ENSTGUP00000006741
ENSMODP00000024020	ENSTGUP00000002579
ENSMODP00000005441	ENSTGUP00000007324
ENSMODP00000027864	ENSTGUP00000009243
ENSMODP00000004283	ENSTGUP00000008195
ENSMODP00000009105	ENSTGUP00000008899
ENSMODP00000001146	ENSTGUP00000007251
ENSMODP00000003094	ENSTGUP00000010036
ENSMODP00000014640	ENSTGUP00000003402
ENSMODP00000016074	ENSTGUP00000009080
ENSMODP00000016641	ENSTGUP00000006993
ENSMODP00000013632	ENSTGUP00000001979
ENSMODP00000017432	ENSTGUP00000000210
ENSMODP00000016921	ENSTGUP00000017749
ENSMODP00000011273	ENSTGUP00000003320
ENSMODP00000009936	ENSTGUP00000006703
ENSMODP00000004115	ENSTGUP00000002413
ENSMODP00000003631	ENSTGUP00000017924
ENSMODP00000013955	ENSTGUP00000010588
ENSMODP00000017343	ENSTGUP00000003515
ENSMODP00000014185	ENSTGUP00000006076
ENSMODP00000002789	ENSTGUP00000011559
ENSMODP00000022250	ENSTGUP00000012311
ENSMODP00000003583	ENSTGUP00000003197
ENSMODP00000011192	ENSTGUP00000013348
ENSMODP00000016585	ENSTGUP00000013170
ENSMODP00000023723	ENSTGUP00000005123
ENSMODP00000022920	ENSTGUP00000004095
ENSMODP00000025602	ENSTGUP00000007691
ENSMODP00000015131	ENSTGUP00000003758
ENSMODP00000020543	ENSTGUP00000004184
ENSMODP00000014545	ENSTGUP00000004199
ENSMODP00000005518	ENSTGUP00000013333
ENSMODP00000015214	ENSTGUP00000009111
ENSMODP00000003619	ENSTGUP00000013829
ENSMODP00000003336	ENSTGUP00000008367
ENSMODP00000006508	ENSTGUP00000007212
ENSMODP00000010412	ENSTGUP00000011398
ENSMODP00000020242	ENSTGUP00000005243
ENSMODP00000010042	ENSTGUP00000011463
ENSMODP00000017981	ENSTGUP00000001022
ENSMODP00000011835	ENSTGUP00000004138
ENSMODP00000040608	ENSTGUP00000001800
ENSMODP00000021927	ENSTGUP00000012221
ENSMODP00000021453	ENSTGUP00000008199
ENSMODP00000026493	ENSTGUP00000008143
ENSMODP00000016433	ENSTGUP00000013134
ENSMODP00000018082	ENSTGUP00000001280
ENSMODP00000037709	ENSTGUP00000003813
ENSMODP00000000740	ENSTGUP00000009322
ENSMODP00000004328	ENSTGUP00000000638
ENSMODP00000009858	ENSTGUP00000001078
ENSMODP00000021575	ENSTGUP00000003805
ENSMODP00000038702	ENSTGUP00000001706
ENSMODP00000011718	ENSTGUP00000001137
ENSMODP00000012877	ENSTGUP00000017246
ENSMODP00000019625	ENSTGUP00000006709
ENSMODP00000020159	ENSTGUP00000017361
ENSMODP00000015208	ENSTGUP00000001933
ENSMODP00000000887	ENSTGUP00000006836
ENSMODP00000017666	ENSTGUP00000005580
ENSMODP00000037455	ENSTGUP00000004127
ENSMODP00000033852	ENSTGUP00000016909
ENSMODP00000005073	ENSTGUP00000001189
ENSMODP00000012204	ENSTGUP00000002295
ENSMODP00000037070	ENSTGUP00000013795
ENSMODP00000005983	ENSTGUP00000000592
ENSMODP00000013501	ENSTGUP00000001543
ENSMODP00000009741	ENSTGUP00000008403
ENSMODP00000011430	ENSTGUP00000002227
ENSMODP00000023927	ENSTGUP00000015811
ENSMODP00000007285	ENSTGUP00000000350
ENSMODP00000014942	ENSTGUP00000010374
ENSMODP00000019529	ENSTGUP00000004992
ENSMODP00000022314	ENSTGUP00000012752
ENSMODP00000010391	ENSTGUP00000011386
ENSMODP00000016502	ENSTGUP00000000411
ENSMODP00000014221	ENSTGUP00000007694
ENSMODP00000035593	ENSTGUP00000007820
ENSMODP00000004665	ENSTGUP00000009536
ENSMODP00000008768	ENSTGUP00000009494
ENSMODP00000000980	ENSTGUP00000013097
ENSMODP00000025824	ENSTGUP00000008190
ENSMODP00000022198	ENSTGUP00000012093
ENSMODP00000024262	ENSTGUP00000010286
ENSMODP00000037910	ENSTGUP00000001824
ENSMODP00000009347	ENSTGUP00000008731
ENSMODP00000026857	ENSTGUP00000010802
ENSMODP00000017698	ENSTGUP00000015194
ENSMODP00000003369	ENSTGUP00000000560
ENSMODP00000003066	ENSTGUP00000007994
ENSMODP00000006561	ENSTGUP00000000712
ENSMODP00000006571	ENSTGUP00000000702
ENSMODP00000000573	ENSTGUP00000010703
ENSMODP00000002568	ENSTGUP00000007952
ENSMODP00000030466	ENSTGUP00000010731
ENSMODP00000028496	ENSTGUP00000004821
ENSMODP00000025295	ENSTGUP00000000696
ENSMODP00000040249	ENSTGUP00000008622
ENSMODP00000009219	ENSTGUP00000007416
ENSMODP00000020618	ENSTGUP00000001637
ENSMODP00000018323	ENSTGUP00000017492
ENSMODP00000000450	ENSTGUP00000003593
ENSMODP00000011583	ENSTGUP00000013684
ENSMODP00000022584	ENSTGUP00000013822
ENSMODP00000031583	ENSTGUP00000001646
ENSMODP00000004546	ENSTGUP00000005481
ENSMODP00000022830	ENSTGUP00000012821
ENSMODP00000019328	ENSTGUP00000004796
ENSMODP00000010747	ENSTGUP00000006097
ENSMODP00000022570	ENSTGUP00000013715
